3an jadd	en dʒˈɛd
اتجاه	ɛteʒe
اتروح	ʔtrwɑħ
اتصال	ʔtsɛːˈlɑː
اتعوّد على	ɑltɑʕɑ wiaːʕala
اتفرج على فيلم	atˈfɑrtʃ ɑˈlɑː fɪlˈm
اتقهوى	tæɑːhæ
اتنين	plenˈ
اجتماع	ʔʃtˈemiʕ
اجرو خضرا	ʔgˈrɑːˈxadˈra
احدعش	ɑħɑdˈʃ
احساس	ɑħˈsɪs
احنا انبسطنا	ʔahna mibatˤaː
اربعة	ɐɾʋɑː
ارتاحي	arˈtahj
اركنسيال	ˌaɾkonθjˈel
استحليت	stˁɑhlɑt
استحليت نام شي نص ساعة بعد الغدا، بس ما قدرت	stˈħælˈt neːmˈʃi nˈoːsˈaɑ baʕ ælˈgɑdɑ bɑs maː ˈdɑrɑt
اسمع	asmak
اسمي	ɪ̞sˈmiː
اسمي سوزان	ɛsmɛ syzan
اشتقتلك	ʃtoktølˈmak
اشتقتلي	ʃtoktəlni
اشتقنالك	ʃtɔnɑlɑk
اشرب	ʃɾab
اصانسور	ɑˈsɑˈnsɔɾ
اصحي من النوم	aːsxˈim dˈæftəɾ nˈoːm
اطلاع من راسي	klo mɪnˈrosi
اطلة	hɑtlɛ
افتاح	ʔœftɛʁ
اقتَرَبَ-يَقتَرِب	aqtarabjɑqtʰæːrɪb
اكتبها	lɛkthabæ
اكتشاف	ɛkːtiʃˈɛf
الأرز	alʔaʕ
الأساتذة	ælæsɑtˤðˈɑ
الأُرْبَعا	ælˈɑrbaʕa
الإله الحقيقي	æl ɪlˈlɑːh ælˈħʔiːj
البيت	bˈɛt
التألق	ælˈlɑq
التفائل	ɑllɑfɑɢɑl
التنين	t̪anɛn
التّلاتا	θalaʔa
الجامع العمري الكبير	ælˈdʒɑːmi ɑːlˈmɑr la kabeːr
الحَقيقي	ælħɑɪːʔ
الدني	dˈini
الرسم	ðəʒɑsʃæm
الزعرور	zɑːruːr
السادس	əsɛːrðeːs
الساعة وحدة	ˈsɑːʕ waħtɪ
السفر	æˈsæfæɾ
السلطة	sˈltˤa
الشتي	ʂɚ˧˥
الشحوب	nɪxˈhɑwˈh
الطابق الأول	astˤɑːb ɑlˈwɑl
الظروف	ɔzɔruːf
العالم	ælˈʕɑːlæm
العبوا بس بليز بهداوة بدي نام	laʕb bas pliz bħadɑ wi bɑddɪ neːm
العلاقة	æˈlːælæ
الفقر	ælfær
الفَرْق	ɛdɪfɑrɑp
القادِر	ælˈʔadˤɾ
القرن	ælʁɑr
الكاسة مليانة	il kse maljene
الكنية	alkaniːa
اللقلوق	laːlɔe
الله يعافيك	ɑllɑ jɑʁfiːk
المتحف الوطني	ælmatˈæaf ælwatˈni
الممثل	lə-mˈɔ̃tˈkˈaʁleː
المَدّ و الجذِر	ɪlˈmɛt vu ældʒɛzɪr
الوقت الحاضر	ælwaʔt ælħɑːdr
ام	m
امت	emat
امتازَ-يَمتاز	mtezaːjˈɑːmˈtɑːz
امتحان	ɑmtħɑːn
امتى	emta
امي	m
انا انبسطت كتير	ʔan bˈosˈɑdtil
انا بصحح	ɑnɑ sˤɑŋhiːɦ
انا مش مؤمن	me̞næmɪʃ mɔːme
انبسطي	ɛnbɔstɔj
انتا	ente
انتا أكيد؟ ما بصدق	ɛntaʔ ʔɛkijɪd maː bsadˈdi
انتباه	entɪbe
انتوا	entˈo
انتي	entˈe
انتي أكيدة؟ عنجد ما بصدق	ɑnti ʔajkkjdi ʕanʄˈɑt mˈa bsɑːdˤɪk
انزل	ɑnˈzɛl
انستغرام	instagɾˈam
انكَبَّ-يَنكَبّ	inkapjɑnkap
انكَمَشَ-يَنكَمِش	jˈnkæmʃæjˈnkæmʃ
اهبل	ɑhˈbɑl
اهتمام	ɛhtimim
اوراق	ɔːɾɑː
اوع	aɦˈ
اوعو	uɔu̯
اوعي	ˈɑːn
ايد في ايد	iːt fˈiːət
ايدو خضرا	jˈɪ toː xdrˈɑ
ايمان	ˈæˈmeːn
ايمتى	ajmatã
ايه	ˈe
اِمْرَشحة	ɑːmˈraːʃħæ
اِمْرَشِّح	mɾaʃˈħ
اِنبَهَر-يَنبَهِر	ɪ̞mbɑhɑrjænbæhɪ̞ɾ
اِنطَلَقَ-يَنطَلِق	iːntælɑqɯiːntɑlib
بأغلب الأوقات	bɑgˈlˈb alawʔat
بأغلب الأوقات بتغدى الساعة ١٢	bʔɑːɣlɑbɑl ɑwˈʔat batɣadˈdˈa ælˈsˈʔa ætnaʕ
باب	bˈɛb
بابا غنّوج	bɑbɑʁɑn noˈʈ
بار	bar
باركود	barkɔd
بالعادة	belaːʔadˤi
بالكون	balkoʁ
بالمرة	pl
بالمرّه	proponoimara
بالمناسبات	balmˈɒnˈɒsˈɒbˈeːt
باليل	bɪlˈlæl
بانيو	baɲo
باهِت	bɛlt
باي	bˈaɪ
ببعتلك	bˁɑːrtˈlik
بتاخد قهوة؟	btt̪eː xud ɑhwɛ
بتاخدو؟	tˈɪ
بتاخدي قهوة؟	tˈi xˈdi ˈa hwɛ
بتجنن	beʈʃe
بتحضري	bɪtˈxadrɪ
بتحط	betaħt
بتحكي عربي؟	tɑħˈkɑ ʕɑˈrɑˈbi
بتحكي لبناني؟	btahk læbnæn
بتشتغل	ʏ̞ptʏ̞ʂtʏgɪ̞l
بتشحنوا دولي؟	tə təʃ hˈɑl dˈoˈɑlˈe
بتصحح	bitˈsˈaħajħ
بتصححي	btsˈħˈħi
بتصير	bˈɯtsijˈɾ
بتعلّمني	betuʕiuːni
بتفائل	bɐtˈvɛ
بتفهّمني	bitfʱmnɪ
بتقدر	ptˈa
بتلفظ	ptˈʁfˈɒls
بتلفظي	ptˈlˈfzi
بتلمع	betlmɑq
بتناولني كباية عمول معروف؟	mtnwɛlni kibˈtɑj ʕɑmɑl maʕruːf
بتنجان مقلي	batːˈnˈgˈjn mæqlɪ
بحبَّك	bˈħabːak
بحبَّك يا لبنان، يا وطني بحبَّك	bħbk jaː lɛbænˈne jaː wɑtˈni bħbk
بحبِّك	bħbk
بحبِّك قد الدِّني	bħæb k ʔad ælˈne
بحث علمي	baħs ʕalma
بحر	ahɾ
بحرية	ħorɪːʒæ
بحط	bˈaħʊˈtˤ
بحكي	baħki
بحكي لبناني شوي	baħke lɪbɪnɪ ʃwɛj
بحكي لبناني منيح	baħke ælbænæn mniħ
بحكيلك بعدين	baħkeːl baːdeːn
بحيرة	bħiːra
بحِب	ħæb
بحِب آخد القهوة عبكرا	bˈħab ɑːxdˤ ælæhɑj ɑbkirah
بخو	baxo
بدك	bidːɛk
بدكم	vɪkom
بدلة الغطس	baˈdalˈtˈjˈ alʁaːts
بدنا	bɪgˈna
بده	vˈɛdːo
بدها	beːdːa
بدهم	bɪtɔm
بدي	bˈɪ̞nˈdi
بدي آكل كتير جوعان	batː ʔɑkæl kiːrtʃuːʕan
بدي اضهر	mɛn dɪː ʔatˈħar
بدي زور امي اليوم من عشية	be dˈiːzumər ɪm miljˈjuːn mɪnˈʔa ʃeːɪl
بدي فل	bɑtːfər
بدي واحد قهوة	ladauaːħadaː
بدَّك بعد؟	ba t̪ak baʕad
برأيي	biraːaː
برات	brot
براد	brat
برادي	bɾaːde
برد	bɑrɯ̞ð
بردان	berdɛn
برداية	bʲɛrdæjæ
برداية الحمّام	berde it alħammɛm
برق	b̪aɾat̪
بركان	bɔrkæn
برنيطة	bɯ̞rnɑjtɑ
برّا	bara
برّاد	bɾɑːd
بزورات	bzurat
بسترما	bastɛrma
بسرعة	psera
بسهرة العرس ما كان في حدا بعرفو	bsahara ælʕarɪs maː kaːn fiː ħadɑb ʕarfuː
بسينة	bsajnɨ
بشامون	baʃmoːn
بشع	bˈɯʃi
بشعة	bɪsˈʃa
بطاريات	batariːjɛt
بطاطا حرّه	batˈaːtˤa ħarˈ
بطاطس	batːˈaˈltˈɾˈis
بطاقة بريدية	ʋɪ̞tɑ ɑbɑrɪ̞ iːdɪ̞jɛ
بعتتلك	bˌaːtətlˈɛk
بعتذر	bɒtˈeˈzɒɾ
بعتذر ما بقا في بطاقات	baːt jisr maː baʔafiː btˤaːtˤe
بعتل هم	baʕta ælˈhæm
بعد	bˈad
بعد الضهر	vɒːt otːɒhɒɾ
بعد في قهوة؟	baʕad fiː ʔahvi
بعدين	badɛn
بعشق	bˈaʃa
بعشقك	baːʃaː
بعشقه	baːʃɑːɔ
بعشقها	baʃɑːfə
بعلبك	bʕk
بعلّمك	baʕlæmæ
بغلة	balə
بفهّمك	bafħamk
بقاية	bˈaʊtˈoɔɛ
بقديه هيدي؟	beʔəd̪e ɦeː di baːd̪e ɦeː di
بقر	bɑːr
بقرات	maʕrat
بقرة	bara
بقلاوة	balɛɑ
بقلِب	beʔalɛp
بكرا منحكي، كتير مستعجِل هلّأ	baːkara mnaħkʰe qɑtiːr mɪstɑːʕil ħalaq
بكره اتصور	akrɑxtsaum
بكي	pˈikː
بكي شي	bekele
بكي شي عم تتصلي بهالوقت؟	bʲekæ aːʃiːʕ taltasˈliː bħal wɑqɑt
بلاط	blɔt
بلاي ستيشن	plˈeɪstˌeɪʃən
بلد	balad
بلزقك بالحيط	tɑlɑzɑk plħætˤ
بلغراد	baləgˈɾˈɑt
بلفظ	balfoːz
بلكون	balkoːn
بلوغر	blogɛr
بليز بتفرجيني الجينزالغامِق	pliːs bitfardʒiːni ældʒiːnz ælɣɛmɪ
بليلة	beːlˈlila
بناية	beˈneje
بنت	beˈnæt
بنترست	pˈɪntˌɛrəst
بنشرة الطقس قالوا في شتي اليوم	bi naʃtʃitɛtas ɛlʊ fiʃɛtjɛl jɔm
بنوب	ɛlˈuː
بنوتة	benute
بهار	bˈɦɒr
بهالإيام ما حدا لحدا	baːl ʔiːˈm maħad lħad
بهداوة	badɛʋɛ
بوسة	bo
بوظة	buuzo
بونجور	boŋʒuˈɔɹ
بونسوار	bunsʊaɾ
بوننوي	bonnuit
بوويه	bue
بي	bɛj
بيأذي	mʲeʲdzɪ
بيبعد	bʲɪw˧boːt
بيت	bˈɛt
بيتْرَوَّق	piːtrɑːvˈvˈɑ
بيحبا قد الدني	beħeb ʔɑdˈðˤ ˈdˤɑːnˈh
بيديه	bit̪e
بيرة	bira
بيروت	bʲæjrʊt
بيروت عاصمة لبنان	bʲɛjruːt ʲɑːsmɪk lɪbnɪn
بيض	bid
بيعتمد عليك	biːz ævˈtɪ mɪdˈlæg
بيعرق	bjˈara
بيعَيّر المْنَبِّه	baʕeːr ʔalmænæbɑ
بيكيني	bikini
بيلبقلي	bjalˈbjal
بين	ben
بينتشر	bʲigʲɪntʏ̞ʃʏ̞r
بيي	bˈʌgˈtʃ
بيِتْغَدَّا	pijɯ̞tʁʊ̞tːa
بيّاع	bˌeˈgjˈeɾ
بيْسِد	bˌisˈɛd
بَدون	batˈdˈɔ̃
بَسيط	tˈasˈidˈ
بَلْكي	balke
بَهْدلة	beːðelæɾ
بَوَابة	boːˈwaːba
بَيْ	bæj
بَيْضا	bajda
بِالتَّحديد	ɑtˈħadˤiːd
بِالصُّدفة	iːtsʃtʃtˈe
بِبُطء	bimok
بِجامة	piːdʒɒm
بِرْدقاني	berdʔeːne
بِرْدقانية	britˈiːtˈijeˈj
بِرْدقانيين	pɛrdɔnijin
بِقَع	ðɑ
بِقْعة	bɪˈʔa
بِكَفّي	bikˈaːfˈe
بِوَجِّع	bˈiwˈɑzˈiɑ
بِوِج	pʊʃ
بِيض	bɪd
بِيِتْرُك	bʲɛtrˈuk
بْسَيْنِة	psjɛːnj
تأثير	teg̞sijr
تاريخ	tæɾˈiχ
تاعي	tœ̃
تامبون	tɔ̃pɔ̃
تامِن	tɛɒːmɪn
تبّولة	taːboːlɪ
تتخيتة	latʁite
تجاري	tiʒari
تجربة	tadʒɨrɨbi
تحبي	tˈħæb
تحميلة	tɑːmmiːl
تخانق	χɑːnæm
تخت	tˈɑxt
تخوت	tʁˈut
تخيل	trˈeˈɪˈɑ̃
تراب	tɾop
ترفيعة	tarˈfima
ترقيعة	tarɪa
ترك	tɐrɑk
ترويقة	tarɔːˈʋijːˈɑ
تزبّط	tʊˈzɑːppɪt
تستاعش	tasataːʃ
تستاهل	təstəl
تسعة	tˈɛˈɛs˦aː
تسعين	tˈɛzɪn
تشجيعة	dastˈeːr
تشرَّفنا	tʂarofna
تشرَّفنا بمعرفتكون	tʃarafna b marifet kon
تصبح ع خير	dɑstˈbɑxɪr
تصبحي ع خير	tˤɑspɑh ʕxæl
تصرف	tasarov
تصطفل	tˈuːstoːfəl
تضَيِّع	taldi
تعا	ta
تعا لعنا شي نهار	tɑɢɑlɑʕɑnˈnɑ ʃanhaːr
تعا لهون	taː lˈhˈul taː lˈhul
تعليقة المنشفة	taʕliːt ælman ʃafɛ
تعويض	tajiːt
تغيير	tɪ̞ɢi̠jɪ̞ɾ
تفصيل	tæfˈsiːl
تفضل شاركنا	tɛfattaɪ̯tʃɛ rɛknʲa
تفضلوا اشربوا قهوة شي نهار	təfˈdɑl ʃæˈrɑb ɑhv ʃænhɑːr
تقاتل	tsɔɑtɛl
تقبرني	toɔbɔrnɛ
تقريبا	tariːban
تقص	tˈɔz
تقليعة	tɑːliːa
تكرم عينك	təkraː mɛːr ĩŋɛːk
تلات	əklˈət
تلات تلات	kləttə klˈɛt
تلات دقايق ونُص	kladːaː jɔnˈuːs
تلاتا	tˈɛlˈtˈɑ
تلاتاعش	θlɛtaːʃ
تلاتة	klˈɛte
تلاته	kleːte
تلاتين	klˈɛtiːn
تلاجة	dʒɨmˈnːədʒi
تلج	talɛnʧ
تلفريك	θælʲfɾiːk
تلفزيون	teləvizjˈɔ̃
تلفون	tˌɛləfˈoːnjum
تمام	tɛmɛn
تمانة	mˈɛni
تمانية	tmni
تمانين	tˈmeːnˌiːn
تمانِة	tmɛni
تمبلر	tempəløɾ
تمنتاعش	tmɛntaːʃ
تناعش	naʃ
تنانير	tʲɛnʲiɾ
تنعش	tnaːʃitnaːʃ
تنين	t̪anɛn
تنيناتن	nejˈnɑːtˈon
تواليت	toalet
توم	tˈum
تويتر	twitˈɛr
تيراس	teras
تيسير	tˤɪsˤiːr
تَرَّع	estara
تَعاليق	taʕuːliː
تَمُّوز	tɛmmuz
تَهَم	tˈɛm
تِتجوَز	ðədʒəuz
تِختِلِف	tˈɪxtəlɪf
تِشْرِين ٱلْأَوَّل	tʃriːn ælæwːæl
تِعْليقَة	taʕliːaː
تِقرا	tɐra
تِكرمي	tikramɛ
تِكرَم	tɪkram
تِكرَم عينك، أهلا وسهلا	tɪkrm ʕajnak ʔɑhlɑ sˤɑhlɑ
تْرَوَّق	trouwa
تْغَدَّا	tɢadˈda
تْياب	tiːæb
ثقافة	saʔafi
ثوم	tuː
ثِلث	tɪlt
جاجة	ddʒeodʒe
جارور	ʒeɾuɾ
جامع	tʃɛjmɪl
جامعة	dʒʌmɑ
جانِحْ	dʒene
جاوب	dʒɑːvɑb
جاوبو	dʒoːboːˈboː
جايي	ʒeje
جبل	dʒəbal
جبيل	ʒˈbeːl
جحيم	ɑʕiħɪm
جرافة	dʒarofe
جرس	ʒɑˈrɑs
جريدة بالانكليزي	ʒʊːrjɪ dɛbɨlɪ iŋglɪzi
جزرية	ʒuzulɛgir
جزمة	dʒozme
جزيرة	ʒɛziɾe
جزيرة الأرانب	dʒaziːr tiːlʔænkɟ
جسم	ʒˈəsˈɛm
جليد	ʒljd
جلّاب	ʒˈlb
جمعة	ʒˈɛmˈa
جميلة	aːzkiʈiːnoʔ
جنب	ʒˈamˈɛtʁˈ
جنينة	ʒmaji
جنينة الحيوانات	dʒnajnit ælħæjænaːt
جنينة عامة	dʒenajn ʕaːmmi
جوا	dʒuː
جواب	ʒˈˈowˈed
جوارير	ʒueɾiɾ
جوانح	dʒuaːˈneħ
جوجل بلاس	gˈoːgəl plˈɑʃ
جوز	nˈoːz
جوعان	dʒˈʁɑn
جوعانة	ʒʁˈɑ̃e
جوعنة	mʒuːhɑːniː
جيبة	ʒaibɛ
جيبلي المِكِنْسِة لكنِّس الأرض	ʒɛblɛ mɛkɛnse la kɛnnɛse la arɛt
جيجة	kk
جيلي فيش	ʒˈɛli fˈɪʃ
جيليه	ʒile
جَاكِيتَة	dʒakete
جَنَّن، بِجنّن	jɛnnɨ bjːt̚ jɛn næem
حاصلو	aslo
حاط	hɑlt
حاطة	ħɑtˤɑ
حاكمو	sakampɛ
حاكينا	hɑlkiːn
حالا	ħala
حالكون	ħɑːlkun
حالنا	ħɑlna
حالو	ħala
حالون	ħɑːl
حالي	ħɑlɛ
حالَك	ħɑːlɑk
حالِك	ħɑːlɑk
حايص	həˈæjɚs
حب	ħæb
حبة	xabˈe
حبسو	ħafasˈo
حجُزات	æʒuːzɑt
حد	ħand
حدا	ħadɑn
حداعش	hˈðˈaːʃ
حدي	ħad
حساب	ħæsæb
حساب بنك	ħusɛ bɑːnk
حسب	ħæsb
حسب السياق	χɑsˈsˈæɾ
حشورة	ħɑʃˈvɑra
حشيش	ħɑʃiːʃ
حصيرة	ħasˈsˈiːrˈi
حضرت	ħɑdˈɑrt
حططت	hatːɪt
حطو	fokt̪u
حقيقة	hai̯æ
حكومة	akume
حكي فاضي	ħakke faɗe
حلاوة	alawe
حلاوة الرز بالجبنة	halə joˈto rɪz bɪdʒbni
حلو	ˈeɣlɪ
حليب	ħælb
حمص	hemos
حملة	çamle
حمّام	hemem
حمّص	ħmmos
حنفية	çanofeʝe
حولة ما بتشوف	aːwlɑ maː batˈʃoːf
حياة	hajːaj
حيران	æjˈɾɑːn
حيط	ħɑjt
حيوان	hajaæn
حَجَز	hadʒaz
حَزِيرَان	ɑziːrɑn
خاطرك	xtrɑk
خاطركُن	χɑːtæɾkæn
خبرة	ɣɯbra
خبرني	χɛpɛrni
خبرني شو صار	xɛbrˈne ʃusɑr
خبرو	xʊbɑr
خبز	χɯ̞bɯ̞z
خبير	xbɪr
خجول	xʒuːl
خربطت	xæɾbætod
خرة	xara
خرجية	xrdʒij
خزانة	xazene
خزانة الحمام	xazeːnt ælħæmˈm
خزانة كتب	xẽzʲenʲt kʲitub
خزانة مطبخ	χɛzzɛjnːɛt mɑtˈbɑχ
خسارة	χsara
خضرجي	χɯ̞dɑrtʃɪ̞
خطأ	xˈɑt
خطر	χätɑr
خلصان	xelsɑːn
خلقت	xɪlˈɛt
خلينا ننطرو لأن قال جايي عالغدا	χaliːnɑ ntr lɑ ʔalaːdʒɑː ɕalħadda
خلّيك ع الخطّ	mɪŋˈʌvˈɛɹmˈɛˈɛ ʐənˈʌvˈɛɹtʃueɪm˥˩xsuː˨˩˦xɑ˨˩˦xɑ˨˩˦ny˨˩˦ʐən˧˥tttʰoʊ˨˩˦
خمسة	ʁɛmˈse
خمستاعش	xamstajʃ
خمسين	χæmsʲæm
خميس	xamiz
خناءة	xnɑɑ
خنزير	ɣ̞æn̪zeːr
خود	xɑːd
خوف	xˈaʊf
خي	χɛj
خَضْرَا	xadra
خَلّى، بِخَلّي	xalaː beχal
خَيْ	χɛj
خُضُر	xudr
داوود باشا	de̞ʊˈd baʃa
دجاج مشوي	dʒeʒmɛ̃ˈʃwe
درابزين	ðrapzʲin
درج	daraz
درج الكهربا	drajtʃl qħraː ba
درجة	d̪aɾaze
دزينة	daziːne
دعوة	dˈʕoːa
دغري	dɪɣre
دفّاية	tˈatˈfæn
دق	dˈe
دقائق	dɑɟɑjɯ
دقايق	daɛ
دقيقة	dˈiːɑ
دليل سياحي	daliːl siːˈjæːħiː
دم	dama
دمّو أزرق	dæm ˈmʌɑzra
دهب	daħab
دوا غسيل	da waːɣasˈeːl
دوا للرشح	dawa laːɾɑːʃæħ
دوا للمعدة	dɑlælmaːtˤ
دوا للوجع	dɑwɑl ælwadʒaʕ
دودة	dˈude
دوش	duːʃ
دولاب	duleːb
دوّر	dau̯bwaɾ
دوّيم	davˈim
ديودوران	dˈeˈɒdoˈɾɒn
دُبّانة	apene
دِهَبي	ðɛʁbː
ذاكرة	zɛkɾa
رؤساء	ɾɑsˈɑː
راح ليعبي الكباية مي	raːħ la jɑˈʕɑbː ælˈkæb hej maːj
راحت ايام الولدنة	raːħt ʔɪim ʔɑlwɛldni
راديو	radio
رايحة عالسوق جيب شوية تْياب للشغل	rajħaʕdʒuːb dʒiːb ʃwajɑ itiːaːb laː ælʃʁɑl
رجال	rdʒen
رجّال	redʒeːl
رح اصححك	ɾɑh ɑsˈhɑħˈhɑk
رحلة طيران	raħ liː ʔaltæˈrɑːn
رخيص	ʔərxəs
رخيصة	rˈɑxˈisˈɑ
رز	rz
رز بحليب	rsbħælæb
رسالة	risˈɛle
رسمية	rɛsmʲiʲːe
رعد	rɑːd
رغوة الحلاقة	raːg wiːt lħliːqɑ
رف	rɑf
رفعو	nˈosˈa
رفوف	rfuːf
رفيق	lfjˈ
رفيقات	ɾuːfiːˈʔɑt
رفيقة	rfiː
رمل	brˈɑmmˈill
رياحة	riːħɑ
ريموت كونترول	rimut kontrol
رَكَض	lakað
رِجّال	rɛgɛl
رْمادي	hørmejɛdæ
رْمادية	rmʲdʲɪɟi
رْماديين	armʲadʒʲin
زبالة	zbeːle
زبدة	zebde
زبون	spon
زبّط	zapɣɑtɑ
زحلقو	sˈaħlˤɑ
زرقة	zrəa
زريعة	zrja
زعتر	zaːtar
زعل	zæn
زلام	ɾizlem
زلق	sælɑ
زنجبيل	zɛnˈdʒɛbi
زنود الست	snˈoː dˈə sˈɛt
زهر	zɑhɯ̞r
زهرة	zɑhra
زهري	zæxˈri
زهور	zɦuːr
زوبعة	zau̯va
زوّدها	zoːˈdaha
زي الاطرش بالزفة	muzˈɑl ʔaltraʃ biaːlmaː ælˈzaħar
زي ما بدك وزيادة	ziː mæbæd æk ziːadæ
زيادة	zjædæ
زَرْقا	zrʔa
زِرِق	zˈɛlə
سألو	sɑːlɑː
سئيل	sɑːiːl
سائل	sɛːɫ
ساعات	sˈʕaːt
ساعة	sˈɛːa
ساعدو	seɾadu
ساعِد	sænd
سامحو	sɛdmˈʃæ
سباتاعش	sabatˈaːʃ
سباحة	spexa
سبب	sˈabˈb
سبت	sˈbt
سبعة	sˈæbˈʕ
سبعين	sˈæbʕin
ستار فيش	zˈtæɹfˌɪʃ
ستة	seʈːe
ستتاعش	sɛtaːʃ
ستتين	setˈin
ستي	sətˈtˈɛ
ستي الله يرحما كانت ساكنة بهالبيت	sɪ̞tːɪ̞ ɑllɑjɪ̞ rɑħˈɑmɑ kʰeːnɪ̞t sɪ̞kniːb hæl bæt
