1	iktɪ̞ʲik
авалыме	ɑbɑɫɯ̞mɛ
авалыше	avaɫɯsɯ
авалянаш	ɑwɑlʲɑnɑʃ
авалянен	au̯aleːɔnen
авам	avam
авамлан	ɑwɑmla
авамланде	avɑmlɑndɛ
авамӱкш	ɑɣɑnɯjokiʃ
аван	avan
авана	avonna
авангард	ʊ̞vɑngɑrt
аванс	avɑnts
авансироватле	ɑvɑnʲtsʲirʊwɐtɫʲ
авансироватлен	avantsʲiruvatʂɫanːʲa
авансироватлымаш	avantsʲiruvatɫɔmaʃ
авансцене	abanztsɛjne
авантюр	javɑntsɪr
авантюра	avantsyra
авантюризм	aːlaːntjɯɯrjɯzm
авантюрист	avʌnˈtyrist
авапун	avˈlopˈunt
авар	æwɑɾ
авараш	abaraʃ
аварий	avarij
аварийдыме	ɑvɑriːdme̞
аварийысе	avariːsɛ
аварок	avʊˈrɔk
аварцы	avˈɑrts
авасер	ɑβɑsɑɾ
ават	ɑvɑ
аваткала	ɑwɑtkɑɫɑ
аватмут	abatnɛ
аватым	avatɯm
авауржа	amau̯ʒa
аваш	ɑvɑʃ
аваҥаш	ɦɑβɑɫɯnɑʃ
аваҥмаш	ɑwɑŋmaːʃ
август	avgʊst
августаш	aːbgusˈtɑʃ
августысо	aːlgozai̯sɑ
авен	aðɐ
авиабазе	amjabaːzɪ
авиабомбо	avˈiabˈomba
авиадесант	abjed̪esɑːn̪t̪
авиакомпаний	avjakampɑnjj
авиакомпанийысе	aviakompaɲitse
авиаконструктор	aðijækaːnstwuːktuɾ
авианосец	ovianosjits
авиапочто	abijapɔtʃta
авиарейс	aviareiz
авиатехник	afjatsxnik
авиатехнике	avjatɛxnɨkɛ
авиатор	aviator
авиаций	aniasii
авиацийысе	ɑliɑtsiɛse
авиашкол	abiaeskol
авиашколысо	avjaʃkowso
авий	avi
авипов	avipoːf
авия	a
австралиец	afstraliːts
австралий	afstrˈɑliɪ
австралийка	abstrˈɑɭika
австралийысе	afstrɑlʲijse
австриец	afstrits
австрий	astri
автобазе	autobazɨ
автобиографий	aftɔbiʁʌgˈrɑfiɪ
автобиографийысе	ɑftsobjɑbɾɑfjsɛ
автобиографический	aptabʲjagrafʲitʃestkʲi
автобус	ɑfˈtɔbˌus
автобусысо	aftɑwbuzisɑ
автобусыш	ɑfˈtɑβɯsɯɾ
автовокзал	aːtːoːvokzɑl
автовокзалысе	aptoɫomzolɛsɛ
автогол	aftɔgɔl
автограф	aftˈokrʌf
автографым	ɑftogrɑfˈo
автозавод	aftɔzavɔt
автозаводысо	aptɔzɑvɔdɪsɔ
автоинспектор	ɑˈftɑɪnspɛktɔr
автоинспекций	aɣtojɪnspɛktsiː
автоинспекцийысе	ɒstojinspetsˈiˈjɒsˈi
автокар	aftokar
автокевыт	afˈtɑkivɑt
автокевытысе	aftɐlkiːɬtɐse
автоколонно	aβtɯpkaloɯnˈna
автоколоннысо	aftɑkɑlɑnnɯsɑ
автокорно	aftokorno
автокорнысо	aftakornoso
автол	ɑfˈtɔl
автомат	ɑfˈtɑmɑt
автоматан	aptoˈmataːn
автоматизаций	aftamidjizatsɪj
автоматизироватлаш	ɑftɑmɑtʲizʲirɑvɑɑtɫas
автоматизироватле	aftomatʲizʲirʊʋɐtʎe
автоматизироватлымаш	au̯tamatʲiʐʲirvotɫɨmaʂ
автоматизироватлыме	afˈtomatɪzirʊvatwəmɪ
автоматике	ɑftɑmɑtɪkæ
автоматчик	atamatʃk
автомашина	aptamaʃɪna
автомобиль	ɑːftɑmɑbˈil
автоном	aftɑnɔm
автономий	ɑɱtɔnɔmi
автономийда	afˈtˈɐnˈɔmida
автономиян	aftɔnɔmijan
автоозанлык	aftɯvɑzanvɯ̞k
автоозанлыкысе	aftɯvɑzɑnɫɯcɯ
автопарк	autoparke
автопаркысе	ʔɑːftəpɑːrkəsɪ
автопоилке	ʔaftəpəiːɫˈke
автопортрет	aftɔpɛrtɾeːt
автор	ɑftɔɾ
автореферат	aftɚiːfiraːt
авторефератысе	aʊtɔɾeːfeɾatəse
авторжо	ɑptʊ̞rʊ̞ʂʊ̞ŋ
авторизоватлыме	ftɒɾizɒvɒtˈlɒmɒˈ
авторитет	ʌftʌritˈet
авторитетан	aftaritˈetʌn
авторитетдыме	aftɯrɪtjɛtðɪmɪ̞
авторский	ɑfˈtɑrski
авторство	aβtɯrstwɑ
авторучка	aftɒrutʃka
авторучкасе	aptorɦutʃkasi
авторым	ftɯ̞rəm
автослесарь	aptasljɛθɛr
автостанций	aftɑztaʃtantsi
автостанцийысе	aftostɑntsiiːsɛ
автостоп	aftɑztoβ
автостраде	aɣtostradɛ
автострадысе	ɑwtɑztɾɑdɑsɪ
автотракторный	ɑftɑtˈrɑktɑrnˈnˈyj
автотранспорт	autotrnsport
автотранспортысо	atɔtranzpɔrtasɔ
автотуризм	aptuturizm
автотурист	ɑftɑtʊɾiːst
автофургон	afˈtɑfwrgɔn
автофургонысо	artɐpurgɔnsɔ
автоцистерне	aftɔtsistɛrnɛ
автоцистернысе	aβ̞t̪o̞ts̺is̺t̪jɛrnjs̺ɛ
автошкол	aftɑʃkɫ
авур	avˈuɾ
авыз	avus
авызлат	ɑvɯzɫa
авызлаш	ɑvɑzɫɑʃ
авызле	aːvɑzɫe
авызлен	abazɯlɯ
авызлыкташ	aːbɯzɫɯtːaʃ
авызлымаш	ɑvɯzɫɯmɑʂ
авызлыме	ɑvɑzɫumɑ
авызлыше	aːvazˈɛv
авыкай	bokaɣo
авыл	afɯl
авымаш	abɯmɯz
авыме	ɑɣɯm
авыра	avɐra
авырал	avvɨrau̯
авыралаш	ɑfɯ̞rɑɫæʂ
авырале	avralʲe
авыралмаш	avɯ̞ralmɑʂ
авыралт	avɔraɫt
авыралташ	aβ̞aɾaket̪aa
авыралтде	au̯rɑɫde
авыралтмаш	afɯ̞rɑɫtmäʂ
авыралтме	avɯɾaɫtmɑ
авыралтше	avralʲtʃ
авыралтымаш	aβ̞ɾaalt̪amas
авыралтыме	avɯ̞rɑɫtʊ̞mɑ
авыралтын	aaɾaɫtɯm
авыралтыш	aβ̞eɾeɾalt̪es
авыралтыше	abraɫtaʃɨ
авыралын	abɐraɫˈɐ
авырат	ɑwɑrɑt
авыраш	avɯ̞ɾaʃ
авыргӱртньӧ	aβaɾgɵrtnʲe
авыре	a
авырен	ɑwɯ̞rɯ̞n
авыркалаш	æwɑrkalɑʃ
авыркале	avɨrkaɫɨ
авыркален	ɑwɯ̞rkɑʊ̞
авыркӱртньӧ	avarkɨrtʲːe
авырналташ	aβ̞ɾɪnalt̪aʃ
авырналтмаш	abɯ̞rɯ̞näʊ̞tmɑʃ
авырналтме	avɑrnaautmɑ
авырналтше	avarnaɫtʃɨ
авырнаш	abɯ̞rnɑʂ
авырташ	aβ̞t̪aɾs
авыртем	avɛrtɛmp
авыртне	abɾɐk
авыртыш	aβɯ̞rtɯ̞ʂ
авыртышан	avartˈeʃˈan
авыртышдыме	aːlwɑɾtɯzdɯmɯ
авырыде	avɯ̞rɯ̞dɪ̞
авырыкташ	ɑvɑɾɯ̞ktɑʂ
авырыман	ɑwɑɾɑmɑn
авырымаш	abɯ̞rɯ̞mɑʂ
авырыме	avɐrama
авырынешт	ɑwɯ̞rɯ̞næʂt
авырыш	avɯ̞rɯ̞ʂ
авырыше	avɯ̞rɯ̞ʂɯ̞
авыш	ɑˈvɑʃ
авыше	aːvɑʃɑ
ага	ɑŋda
агавайрем	agavajrɛm
агавоктышо	aɣavoktɯ̞ʂɯ̞
агавуй	ægɐvue
агагайык	aːgɐgajt
агагопка	gɒgagɒpqaˈ
агаграч	aːgaːgraːtʃ
агагучем	ɑˈgɑbutʃiˈm
агагӱртньӧ	ɑʁɑgɵrtne
агакопка	aɣaɾopka
агалташ	aɣaɫt̪as
агам	əʁɑm
агар	agar
агасак	agasa
агач	agatʃ
агаш	ɑɣɑʃ
агашога	anaʃoˈgɑ
агглютинаций	ʌbɭˈuˌtinˈɑtsyɪ
агглютинациян	aɣljusjaŋaatsɪjan
агей	agɛi
агент	ɑgɛnt
агентстве	ˈɑgɛnstvɛ
агентствысе	aːginstvasi
агентур	ægʲɪntʊ̞r
агеяк	hʊ̞gijˈak
агибек	ɑgʲibʲet
агиз	agiz
агитатор	ɑgʲitätʊr
агитаций	aɟitatsi
агитационный	aːgətətsoːlɑːnej
агитациян	aɣitsatsian
агитбригаде	agiðbɾɛɣadɛ
агитбригадысе	aɣit̪bɾiɣaðɐse
агитироватлаш	agitʲiroɫatɫas
агитироватле	agɛtʲirɔvɑtɫɪ
агитироватлымаш	aːgjtiɾuvatɫumɑʃ
агитироватлыме	aɟitirolapɫomɛ
агитироватлыше	ʌgitsʲirɐvɐpɫɐʃi
агитпункт	agitpunt
агитпунктысо	aːgitpʊŋtɯzsɑh
агиш	agiʃ
аграрник	agrˈarnik
аграрный	aɣrʌˈarnyj
агрегат	aɣrigat
агрессивный	ʌgresˈiɭnyj
агрессий	agrasʲi
агрессиян	agresian
агрессор	agrɛsɛr
агройӧн	ægɾʊ̞jɯ̞n
агрокружок	agrɔkɾuʒok
агрокружокысо	agrɔkrʲɔksɔ
агроминимум	ogɾʌmʌnimˈum
агроном	ogɾanum
агрономий	agranomij
агрономийысе	agronomise
агрономический	ogronomˈitʃiskɪ
агрономла	agronomla
агропром	agroprom
агропромысо	agrɔpɾɔmsɔ
агротехник	ʌgrˈɑtixnˈik
агротехнике	agrɔtsiɛxɲikjɛ
агротехнический	ogratixnˈitʃiskij
агрофирме	aːgrofirmæ
агрофирмысе	aːgɾaːt̪irmiz
агрохимий	agroximi
агрохимик	agroxʲimʲ
агрохолдинг	atrˈoχoɫdˈnˈɟ
агу	aɣˈo
агуаш	ɑgwaʃ
агуе	aguʲe
агун	aˈɣ̞unð̞
агунвара	abunbarat
агур	aɣuɾ
агуран	ɑgʊrɑn
агуртньо	agurtnʲe
агурыш	aɣuɾəʃ
агуымаш	abɯ̞ɫmɑʃ
агуымо	aɣumɐ
агуышо	aɣoʃ
агыдык	aːgɑdɯ̞k
агымаш	ɑʁɯ̞mɑʂ
агыме	ɑgɐmɑ
агытан	aːgɐtɐn
агытанат	aːgɑtɑna
агытанаш	ɑgɯ̞tɑnɑʃ
агытанвоч	aɣɛtɑnvˈotʃ
агытанйол	aɣtɑnjoɫ
агытанла	abɯtɑmlɑ
агытанланаш	ägɯ̞tɑnɫɑnɑʂ
агытанланем	ǎgɯtɑnlɑne
агытанланымаш	ɦat̪anlanamkɣ̞s
агытанланыме	aβɯtənɫænʊmɑ
агытанланыше	aːgɑtɑnlɑɑnɯʃɯ
агытанора	ägɯ̞tænuɾa
агытансола	aqɯtantsɯɫa
агытанъер	ɑɢɯ̞tänjɯ̞r
агыше	agɔʃɑ
агӱртньӧ	agirtʲnʲi
ада	adam
адажио	adaʒio
адай	ɑdɑj
адак	atak
адак-гынат	adɑgɯnǎ
адакат	ʔɑdɑqɑt
адаклаш	að̞aklas
адаклымаш	ɑtɑklɑmäɾ
адаклыме	atakɫɯ̞mɯ̞
адаклыше	atakɫɯ̞ʒɛ
адакше	adapʃa
адакшым	atakʂam
адаптаций	ataptatsɪ
адар	adɑɾ
адаш	ɑdæʃ
адвербиализаций	anvɛrbializatsɪj
адвокат	advukat
адвокатур	ɑdɑkɑtʊr
аденай	aðɨnaj
аджар	atʃar
ади	ɦd
адибек	adiːbʲek
адик	ʊ̞dʲik
адим	adim
адирей	atɾe
адкар	ätkɑr
адмеке	atmɛkæ
административный	admʲinʲistratʲivnɨ
администратор	administratar
администраций	administrˈɑtsyj
администрацийысе	admjiːnistrɑːtsiːse
администрироватле	admʲinʲisdʲiruvatlɨ
адмирал	ɑdmiraɫ
адмиралтействе	atmɨraɫtsʲejstvʲa
адреналин	ʌdrinʌɭˈin
адрес	ɑdrɛs
адресан	ˈadrɛsɐn
адресант	adrɛsant
адресат	atrɨsat
адресоватлаш	aðrˈisəvɑtɭˈɑʃ
адресоватле	atrɪsʌvˈɑtɭʌj
адресоватлыме	əðrisawaːtlæmɛ
адук	ʁɑduːk
адъективаций	adjɛkcivatsɪ
адъютант	pʌdjutant
адыгар	atəgɑr
адыгей	ɐdɨgːej
адылбай	atəɫbai̯
адылгарай	ɑdɯ̞ɫgærɑj
адылгарей	aðɑɫgaɾa
адылкай	atɑlkɑj
адылша	adɐlʃa
адымаш	adɑmɑʃ
адырма	ɑtɑrmɑ
адыштан	atɑʃtɑn
адяк	ɑdʒɑk
адян	ɑdæn
аеняк	ɑjˈlɯnˈjɑk
ажаш	aʝaʃ
ажгын	ɑʐɢɯn
ажгынаш	ɑʃgʊnəʃ
ажгындара	azɣɯnðaɾa
ажгындараш	ɑʒgʏ̞ndɛrɑʒ
ажгындаре	azɣɯnˈdɑre
ажгындарымаш	hɑʒgɯndɑɾɯ̞mɑʒ
ажгындарыме	aʒgəndaːramɑ
ажгындарыше	aʐgɔmdaɾɨʃi
ажгыне	aʒgɒnˈɒˈ
ажгынен	paːʃgɐnˈe
ажгынланаш	ɑʐgɯnɫäˈnɑʃ
ажгынлане	ɑʐgɑnɫænæ
ажгынланен	æʃkɯ̞nɫɑnæn
ажгынланымаш	ʁʁɯnɯɫɑnɯmɑʂ
ажгынланыме	aʐgɯnɫaːnɯmɯ
ажгынланыше	aʐgɪnlanɯʃtʃɛ
ажгынлык	aʐgɯnɯ̞ɫɯ̞k
ажгынчык	aʐbuntʃ
ажгынымаш	aʐgɯnɯmaːʃ
ажгыныме	æzgɯnɑbæ
ажгыныше	aʐgɑnaʃæ
ажгынышын	aʐgɯnəʃɯ̞n
аждараш	aʐdaɾaʃ
аждаре	aʒdarɛ
аждарен	aʒðare
аждарымаш	pɑʁdɑrɯmɯz
аждарыме	aʐdarama
аждарыше	asd̪aɾas
ажи	aʒi
ажиотаж	asiotaz
ажме-тужмо	aʐmɛtuʒmɐ
ажыктараш	ɑʒɯ̞tːärɑʃ
ажыктарен	aʒɯtdarɯ
ажыктарымаш	ɑʒɯ̞ptɑɾɯ̞mɑʂ
ажыктарыме	äʐɯ̞ktɑrɯ̞mɪ̞
ажыктарыше	aʐɯ̞ttɑɾɯ̞ʂɯ̞
ажымаш	ɑʒɑmɑs
ажыме	aʒɯmɛ
ажыше	aʐaʃe
аза	gɑzɑ
аза малтыме мурыжо	azam au̯dɛmɛ morʊʒu
азабай	azɒˈbai
азавакш	azɑvapʃ
азавакшыш	azavagʃɨʃ
азави	azavˈi
азагудо	azagudə
азагӱпчык	aːzagypˈtʃyw
азадувыр	azaduːvɔr
азак	azɑk
азакай	ɑzɑkɑj
азакӱпчык	azakɨptʃik
азал	azal
азала	azala
азалык	azɑlɯ̞k
азам	ɑzɑm
азамат	ɑzɑmɑt
азан	azan
азанай	azanaj
азап	bɑzɑb
азапан	azap
азапдыме	azɒbdɒmɒˈ
азапдымылык	ɑzɑpdɑmɑɫɯ̞k
азаплалташ	azaplaltaʃ
азапланаш	ɑzɑplɑnɑʃ
азапландараш	azaplɑndaras
азапландаре	azapɫandare
азапландарымаш	ɑzɑpɫɑndɑrɯ̞mäɾ
азапландарыме	ɑzɑpɫɑndɑrɯ̞mɯ̞
азапландарыше	azapɫandaras
азаплане	azaplonɛ
азапланен	asplɔnɛn
азапланыде	azaplɒnɒdi
азапланыдымаш	azaplɑnɯdɯmaʃ
азапланымаш	azɑpɫɑnɯmɑʃ
азапланыме	azapɫɑnana
азапланыше	pazapɫanaʃ
азаплаш	azaplɑʃ
азапле	azɑpˈɫɯ
азаплык	asapɫak
азаплымаш	azapɫɯ̞mɑʂ
азаплыме	azapɫɑmɑ
азаплын	azɑplɯn
азаплыше	azapɫɯ̞ʂʊ̞
азапӱкен	azatʊkˈɛn
азарт	zɯ̞rt
азатувыр	aːzadɯvur
азаш	azaz
азбук	azɫuk
азбуко	bɒhbuka
азгыне	asgɯnɯ
аздаралташ	asdɑɾaɫkas
аздаралтмаш	azdɑrɑɫtmäʃ
аздаралтме	azdarɑl
аздаралтше	azdarɑːltʃɨ
аздараш	ɑznɑrɑʃ
аздаре	azdarɛ
аздарен	azdɑrɛn
аздарланаш	azdärɫɑnɑʃ
аздартыш	asdaras
аздарымаш	ɑzdɑrɯ̞mɑʂ
аздарыме	aːzdaːrɯmɯ
аздарыше	aztarasɨ
азе	aze
азен	ɑzɛn
азербайджан	zɾbajdʒan
азербайджанец	azʲirbatʂanʲets
азиат	aziat
азиатский	azʲatskʲi
азиган	azigon
азигеш	azʲægʲæʃ
азий	azj
азийысе	azjiːsɛ
азим	ɑzim
азимут	aːzimut
азмекей	azmikej
азов	ɑzoːv
азот	azot
азотан	azatan
азотаҥдаш	kʰasʊ̞täŋdɑʂ
азу	asu
азупӱй	ɑzʊpeːˈʔiː
азыгей	azageː
азыктараш	ɑzɯ̞kkʊ̞rɑʒ
азыктарымаш	azɯktaɾamaːʃ
азыктарыме	ɑzɯtɑrmɯ
азыктарыше	aszɨkdarɛʃa
азыла	azɯˈɫa
азымаш	ɑzɯmaːʃ
азыме	azɑmɑ
азынбай	ɑˈzɯnpaj
азыр	ɢɑzɯ̞r
азырен	asrɛn
азыренле	azrɛnɫa
азыренлу	asɾiŋɫu
азыренлык	ɑzɯ̞rɯ̞jɯ̞nɫɯ̞k
азыренлыкшат	asrænɫɯ̞qʃɑt
азыренын	azarena
азырлаш	ɑzɯ̞rɫɑʂ
азыш	ɑːzɯr
азыше	ɑzɯ̞ʃɯ̞
азьмат	azimat
азям	æzjæm
азяман	ɑzʲamɑn
азямбердей	əzæmbɪ̞ɾdɛj
азян	ɑzɛm
аим	ɑˈjɯm
аир	ajɯ̞r
аист	aˈjsˈt
аит	iːt
ай	ˈaɪ
айалче	ajɑɫtʃɯ
айбак	əjbak
айбахта	ʊ̞jbʊ̞xta
айбегец	əjbɛgɛts
айберде	aɫbɪ̞ɾðɛ
айбулат	ajɯɫat
айвак	hjˈvˈɑk
айви	avˈi
айвика	ajfika
айвылат	əjɯɫɑt
айгави	aɪvgavj
айгалче	ajɣɑɫtʃɛ
айгелде	ajgɯɫdæ
айгельде	aɪ̞gilde
айгибек	ɑlʁibek
айгобек	algoβeq
айгуза	əjguzɑ
айгыз	jgəz
айгыза	ɑjgɯza
айда	ajða
айда-йӧра	əjdæjʊ̞rɑ
айда-лийже	ajdɑlɪiʒɛ
айдамсыр	æjdæmsær
айдамысын	ajdɑmɯsɯn
айдем	ajdɛm
айдемак	ajɛdɛma
айдемат	ajdɯmɑ
айдемаҥаш	ɑjðʊ̞mɑŋɑr
айдемаҥдаш	äjdɪ̞mäŋgdäʂ
айдемаҥдымаш	ajdemɑnʁdamaʃ
айдемаҥдымен	ədɪmɑːnðəmen
айдеме	ajdɪmɪ
айдемеак	ai̯d̪e̞mẽ̞æk
айдемир	aːjdemɯn
айдемлан	əjdemlɑn
айдемыла	ajdɛmɑlɑ
айдемылан	ajdɯmɯ̞ɫæn
айдемыланат	ajdɛmɑɫɑnä
айдемылык	ajdɯmɯ̞ɫʊ̞k
айдемым	ajdemem
айдемын	aðæmɪ̞
айдемыш	ajdemɯɾ
айдемышыве	əjdɯɾəmɯ̞ʂɑjɯ̞
айдубан	ajduːbɑn
айдуван	ajduvæn
айдул	aldu
айдуш	ajdʊʃ
айдыза	həˈgɯzɑ
айдырым	əjdɯrɯm
айдяк	ɑjdæk
айзагол	azagɔl
айзай	aɟˈzaj
айкави	ai̯kɔːviː
айкай	əɫkɑj
айлалташ	ɑjɫäɫtäʂ
айлалтын	ˈaɪlˈɛltən
айлаш	ɑjɫɑʃ
айлен	ãilæn
айлызе	pajlɑzɯ
айлымаш	ɑjɫɯ̞mäɾ
айлыме	aʎɯ̞mɯ̞
айлышан	aɫɑʃa
айлыше	ajɫaʂɨ
аймак	ajmak
аймалче	äjmäɫtʃɪ
айманалташ	ɑjmɑnɑɫtɑʂ
айманалтше	ajɛmanɑːltʃɨ
айманаш	ɑjmanɑʃ
аймандараш	ɑjmɑntɑɾaʃ
аймандарымаш	ɑjmɑnˈdɑrɯmɑʂ
аймандарыме	ajmandaɾɑmɑ
аймандарыше	æjmɑndɑrɯ̞ʃ
айманыде	aajmanɯdɯ
айманымаш	ɑjmɑnɑmaʃ
айманыме	ɑjˈmɑnɯˈɯ
айманыше	ɑjmɑnɯ̞ʂɯ̞
аймас	ɑjmɑs
аймет	ajmet
аймурза	ɑjmurza
аймыл	ɑjmɑɫ
аймыр	äjmɯ̞r
аймырза	ɑjmɯɾza
айнаш	ajnaʃ
айне	ajnɯ
айнен	ajnɛn
айныктараш	ɑjnɑtʊ̞rɑʂ
айныктарен	ajnɯ̞kðärɯ̞n
айныктарымаш	ɑjnɯ̞ktɑrɯ̞mäɾ
айныктарыме	ənnɑktɑrɑmɯ̞
айныктарыше	ajnɨktarɨʂ
айнымаш	ajnɯmɑʂ
айныме	ajnɯmɯ
айныш	ajɯ̞nɯ̞ʂ
айныше	ajnaʃɯ
айплат	ajplˈɐt
айпод	ajpəd
айрак	ɑjrɑk
айсай	haisai
айсберг	ɑjsbɯ̞rk
айста	ajstɑ
айт	ɑjt
айти	jk
айтуй	əjtuj
айтук	əjtuːk
айтукай	əjtʊkaːi
айык	ɑjɯ̞k
айыквуйын	aɫɯ̞kvojun
айыквуя	əkɔɫɯ̞jɑ
айыквуян	hɑjɯ̞kwujɑn
айыкешташ	aʝɯ̞kes̺t̪aɾ
айыкештмаш	ɑjɯ̞kjæʃtʊ̞mɑʁ
айыкештме	ajɛtjɛʃtɛ
айыкештше	ajakʲitʂa
айыкланаш	ajkɫɑnɯ̞ʃ
айыкчечкем	qɑjɯqdʒitʃqin
айыман	ajɯ̞mɑn
айымаш	ɑjɯmaʃ
айыме	ɑjɯ̞mɯ̞
айымлалташ	i̠mɫäɫtäɾ
айыш	ɑjɯ̞ɾ
айыше	ʊ̞jɯ̞ʃɯ̞
ак	ɑk
ак-мук	aqmuq
ака	ɑqɑ
ака-шӱжар	akɑʃˈʊʒak
акавел	akabeke
акави	akavji
академ	akadʲem
академизм	ˌakadˌiɐ̃mˈisˈɐ̃
академий	akadzʲimʲij
академийысе	akadʲemʲijsɨ
академик	akadzʲemʲik
академический	akadʲemʲitʂasʲːi
акажын	akaʐan
аказ	ɑkɑz
аказей	ɑkɑzɑj
акай	akaj
акак-шӱжарак	akakʃuʒarak
акалийше	akaliiʃɛ
акам	ɑkɑm
акамлан	akamlan
акан	əkan
аканай	ɑkɑnɑj
акат	mɑqɑt
акаций	akaatsɨ
акаш	ɑkɑʃ
акаҥдаш	bakaːnˈdɑʃ
акаҥдымаш	aːkangtɯmɑʃ
акаҥдыме	əqaŋdɯmɯ
акаҥдыше	ɑqɑŋdɯ̞ʂ
акбулай	ɑtbulɑj
акбулат	ɑkbwɫɑt
акбылат	ɑtbɯ̞ɫɑ
акваланг	ɑtbäɫɑŋ
аквалангист	aqbalaːngiˈst
акварель	akvarʲeɫʲ
аквариум	akvariu
акдыме	aːgdimi
акез	akiz
акей	akej
акелд	akest̪d̪e
аки-туки	akistʊki
акибек	aqibek
акигит	aqiːˈd
акий	akˈi
акилбай	akeõβ̞ai
акиндул	akindʊ̞ɫ
акипай	aːkipaj
акитар	ekit̪aɾ
акиш	atist
акиштай	akistaj
акклиматизаций	akɫʲimɐtʲizɐtsɨj
аккомпанемент	akompanimẽn̪t̪
аккомпаниатор	akɛmfɛnjaːtɑr
аккомпанироватлаш	akompanʝiɾaɫat̪laɾa
аккомпанироватле	akompanʲirɐvetɫɪ
аккорд	akːort
аккордан	pʊ̞kkɔ̞rdan
аккордеон	akɾdzɪon
аккордеонист	akːoɾdjaɲiːst
аккордым	kɔrdɯm
аккредитив	akrˈeditˈiv
аккредитоватлаш	akrʲidʲitsõbatɫas
аккредитоватлыме	akrʲidʲitavatɫɯnɨ
аккузя	akkʏzæ
аккумулятор	akumulatau̯
аккумуляторан	akɔɫætraːn
аккуратне	akkuratne
акла	ɑkɫɑ
аклай	ɑqɫɑj
аклалташ	apɫau̯tɑʂ
аклалтмаш	aqɫäupmɑʂ
аклалтме	ɑqɯ̞ɫɯ̞ɑʊ̞ɫtmɯ̞
аклалтше	akɫaɫtʂa
аклалтын	akɫäɑɫtɯ̞n
аклат	ɑqɫɑt
аклаш	akɫäʃ
акле	akle
аклен	aqɫɛ
акленна	aqlɯnla
аклыдымаш	aqɫadɯmɑʂ
аклыдыме	ɑkɫɑdɯmɯ
аклызе	ɑkɫɯ̞�ɯ̞
аклыкташ	äqɫɯ̞ktɑʂ
аклыман	ɑqlimɑn
аклымаш	ɑkɫɯ̞mɑʂ
аклыме	tɑkɫɯ̞mɯ̞
аклыммут	aklamut
аклыммутысо	akɫɯ̞mutɯ̞sɯ̞
аклышаш	akɯlaˈʃaːʃ
аклыше	akɫɯ̞ʂɯ̞
акмадий	tʃoqmædʒ
акмазик	ɑkmɑzɯk
акмай	kmaj
акмак	tɑtmɑk
акманай	aqmɑnɑj
