'	apostrof
76	sˈɛgzəlzˈɪvənsˈɔɹʃ
77	siːvənɑʊzɪvɪntsɜːʃ
78	ˈɛɹdˈɑzˈiːvənsˈɚtʃ
780	zˈivənˈɔnhˈɑːrtˈaxtsəs
79	niŋasivenkɛ
80	ɑqtseʃ
81	ʔeennɑxtsɛʃ
83	bˈɪstjaˈnɑːχtsuː
84	fajʁanˈaxtsɛs
85	fɛŋɔvɑːnˈaktʃɛs
86	sˈɛksavnˈaçtsʃˈɪk
87	sɪˌvənˈɑːnˈɑçtʃ
88	ɒɾdɒˈnɒˈhiːqsiːv
89	neŋanɑqtʃi
896	aɾtɔnˈhɑltsˈɛkzˈaɪnɔndsˈɛtʃ
9	lɪŋ
90	nõŋtsøʃ
902	nɛ̀ɲɔno˩˥ːtsʰb
92	tsvˈeːrˈanʊntsˌaʃ
93	tnajanuntses
94	fajˈɑrɑnˈunˈtsøʃ
96	sɛkzanontsøʃ
97	siːvˈinˈnaːlˈlˈontøːʃ
98	adɛnõŋtsøʃ
99	nɛŋˈanˈontsɪz
999	nɛŋhʊ̃nɑdˈɛːnɑːnɔːmtsˈɪʃ
=	asglˈaɪʃ
a	a
a begleedung vun	ˌɑːbɜ gəlˈeːdʊŋ fɔn
a beschlag huelen	aː bəʃlɛx vɪløːm
a betrib huelen	abatrɪp˥ːoːɾ˧lɛn
a graffen zich erkläert	akɾˈaft fɔn ɛɾklˈɛɾt
a lauschteren audioen	aːlʊstər ɪn ɔudə ɛjoːən
a sou	væzæɔ
a vokabele léieren	a voːkˈablə la jˈɔɾən
a wat ass?	abat az
a wat nach?	ɑːbɑːt nɑhi
a wou kënns du nëmmen un déi al kar do?	au̯vo̞kɔnʃt dʊnɛmɛnun dɪ ɑːlkɛɾduː
a wéi enger sprooch liest dir?	ˈaɪ fɛr ˌaɪnɜ ʃpɾˈoːx lˈeːɾst diːɾ
a-woch	avˈo
a-wochen	aːvɐxˈen
aacht	ɛxt
aachtafofzeg	ɛrdɑːfɔftseʃ
aachtanachzeg	hædɑnɑxtsɛʃ
aachtandrësseg	ˈɛʁdɑndˈʁɑsˈœʃ
aachtannonzeg	aːrdanõːntsøːʃ
aachtanzwanzeg	ɛrdaːntsvɑndtsøʃ
aachtasechzeg	ɒːrdɒːzəʃtsoʃ
aachtasiechzeg	ɛrdɒziʃtsoːʃ
aachtasiwwenzeg	ˈaɾədɑzɪvənsˈaʃ
aachtavéierzeg	æɾdɑːfɑjˈtsæʃ
aachtchen	ˈaxtʃən
aachteck	ɛɾdɛk
aachteckeg	ɛːrtɛkkɛs
aachtecker	ɛɾtɑːkɑː
aachtel	æxtʃatˈl
aachtelsfinalist	ɛɾtˈəʊltsfˌɪnˈalɪst
aachtelsfinalisten	ɛrtəltsfɛnaːlɪstan
aachtelsfinall	ˈɛxtrɛsfɛnɔːl
aachtelsfinallen	axtəltsfɪnɔllɛn
aachtelsnout	ˈæftəɹsnəʊt
aachten	ˈɛrtən
aachtens	ˈɛɾdənʃ
aachter	ɛɾtɔ
aachtercher	ɑχtɑːʃɑː
aachtfach	ɛrtfɑq
aachtfachem	ɛxtfˈaxeːn
aachtfachen	ɛxtfˈaɣən
aachtfacher	æɢtfɑqɑ
aachtfacht	ɛɾdfaxt
aachtmol	ɛɾsmɔːl
aafs	ɑːfs
aaft	æft
aalt	sfˈa
aangel	ˈaŋgəl
aangelen	aŋglem
aangelfësch	aŋgəlfʊʃ
aangelsbierg	tɑ̃ˈmˌsˈtiʁˈtˈti
aansebuerg	ˈaɪnzətˈuɾʃ
aarbecht	aːbost
aarbechten	æpɪ̞ʃtʊ̞n
aarbechter	ʔabʃto
aarbechterassociatioun	ˈabəʃtˈoˌasoːkˌiːɑkjˈoːn
aarbechterassociatiounen	ˈɛɾbɪʃtəˌasˌoːsiːˈaθɪˈoːnɛn
aarbechterbeweegung	abaʃtɔbavexom
aarbechterdierfer	æbʃtɑːdiːe̞fɒː
aarbechterduerf	abisdoredʊɾ
aarbechterfamill	ˈabɨʃtɑfamɪl
aarbechterfamillen	ˈaɾbɜstˌoːfhˈɑmɪllˈaɾn
aarbechterfamilljen	abɪsðafɑːmɪlɪə̯n
aarbechterhaiser	æbʃdæɾhɑjzæ
aarbechterhaus	aɾbɜstaɾhaʊs
aarbechterin	ˈaɾbɜʃtˌoːrənn
aarbechterinnen	abəʃtɔrˈiːnnɔnn
aarbechterkand	abɛʃtokond
aarbechterkanner	abɛʃtokˈaɫnˈoːm
aarbechterklass	aɾbəʃtˈɑːklˈɑːs
aarbechterklassen	abɪʃtɔklɔsʃɛn
aarbechterkummer	æbʃtɑːkɔmɑ
aarbechterkummeren	æbʃtɑːkɔːmɑːɦɑːn
aarbechterlokal	abɪsdoːrˈlokal
aarbechterlokaler	æbʃdæɾlɔːkælæ
aarbechtermamm	abɪ̞ʃtɔmɑm
aarbechtermammen	ˈabɪsdɑːrmomən
aarbechtermilieu	abəʃtomɪlˈlɪø
aarbechtermilieuen	abˌɪstɔmɪljˈoːɾn
aarbechterpartei	æbʃdæɾpɑxtɑj
aarbechterparteien	abɪstɑːpɑːxtojɪn
aarbechterstatut	æbʃtɑːrstˈatɾˈtˈ
aarbechtervéierel	ɑbaʃtɑfˈejɑːɣæl
aarbechterwunneng	abɪsdaːvʊnˈŋ
aarbechterwunnengen	apɛstaʊvʊŋeːŋɛ
aarbechtsaccident	æbɪsakkɪdænt
aarbechtsaccidenter	aːbastsˈɑksɪdɛntɔ
aarbechtsalldag	ˈɑbˈɛstsˈɑldˈɑːr
aarbechtsamt	abɯʃtʃɑnt
aarbechtsandeelung	abɛtsɑnˈdɛlum
aarbechtsandeelungen	nɛrvɛstsandɛlɔŋɛn
aarbechtsatelier	ˈaboːʃtˈɑtəlˌeː
aarbechtsatelieren	ˈe̞ʎɛstsɒtðɒljɒjˈɒn
aarbechtsausfall	aːrbəsʔœysdvˈɑl
aarbechtsautorisatioun	ʔɛbːʃɔtɔɣˈizasjon
aarbechtsautorisatiounen	abˈɔsotoɾˈisˈaːkɪɔnˈɛn
aarbechtsbedingung	nabɾeʃtsbɾɛdɪngum
aarbechtsbedingungen	ãbaʃtspətjˈɛŋməlmˈɛn
aarbechtsbedéngungen	abɨʃtspadɨŋuŋan
aarbechtsbelaaschtung	abøstʃiamklaraʃtʊŋ
aarbechtsbelaaschtungen	abøsbəlaːʃtʊŋən
aarbechtsberäich	ˈabastspagajʃ
aarbechtsberäicher	abɪstsaparajʃo
aarbechtsbeschafung	ˈabəzbəʃˈafu
aarbechtsbeschafungsmoossnam	ɛɑbɛʃtsʲbɛʃafuŋsmo˥˩ːsxnɑ˥˩m
aarbechtsbeschafungsmoossnamen	ˈɛɾbɜtsbəʃˈɑːfʊŋsmoːtsnˌɑːmən
aarbechtsbeschreiwung	ˈɛɾbəstsɛpsxˈrɛwn
aarbechtsbeschreiwungen	ˈɑɾbˌɪʃtsbˈɛçrˈʌøvˌʊŋən
aarbechtsbesuch	abəˈɪstsbəzˈuːx
aarbechtsblat	abøstsplaːt
aarbechtsblieder	apɛstspilɛdo
aarbechtscomité	aˈbostkoˈmiti
aarbechtscomitéen	æbːɪ̞skɔmɪtɪ̞ɐn
aarbechtsdag	ˈabɜststˈɛɾ
aarbechtsdauer	ˈæbɪststɔː
aarbechtsdeeg	apɛxtsteʃ
aarbechtsdokter	ɛɬpəʃtsdɔkˈtɑ
aarbechtsdokteren	aːbustztoktoɾan
aarbechtsdoktesch	aːbaststoːbkoʃ
aarbechtsdokteschen	æbɪststoːpdæɾʃɔn
aarbechtsdokument	apɛstsdokomant
aarbechtserlaabnes	albɔʃtsɔlɛpnɔs
aarbechtserlaabnesser	apɛxtsɔlɛpnɨsɔ
aarbechtserlaabnis	ɛɑpɛʃtsɔllɛːˈpnɪss
aarbechtserlaabnisser	æbæʃtˈɪˈolæbniːsɑh
aarbechtsexamen	ˈabəsəgzˈamən
aarbechtsfeld	abəsfɔlt
aarbechtsfäeg	abˈoʃtzfeɪˈɔʒ
aarbechtsfäegem	abˈastfeɪʒˈom
aarbechtsfäegen	abasfɛiʃɔm
aarbechtsfäeger	abɑtsfeːlʲɔdʒuɑ
aarbechtsfäegsten	ˈæbɪstfɛjˈeɾstən
aarbechtsfäegt	aːrsfˈeɪɾˌst
aarbechtsfäheg	ˈabəɣtsfeɪjˈoʃ
aarbechtsfähegem	ˈɛɾbɐʃtfɛjɐʒvm
aarbechtsfähegen	abˈaːstsfˈeˈɾˈɛjˈɔn
aarbechtsfähegsten	ˈabɚtfɛjˈrstɔn
aarbechtsfähegt	ˈabɜstfeijˈoʃt
aarbechtsgefier	aβ̞astzɣafiɾ
aarbechtsgefierer	abˈɪtskəlfˈiʁˌa
aarbechtsgeneemegung	abostskenemeʒum
aarbechtsgeneemegungen	abostskepavʃiman
aarbechtsgenehmegung	apast̪ɟʝanemaʝum
aarbechtsgenehmegungen	ãβ̞oztskaneɣ̞mexoŋan
aarbechtsgeriicht	abˈɪʃtʃgərˈiːʃt
aarbechtsgeschir	abˈaʃtskɐʃiːɐ
aarbechtsgesellschaft	æbæʃtsgəzˈɛltʃɑːft
aarbechtsgesetz	aβ̞aʃt̪skazat̪s
aarbechtsgezei	aːrbaztʃgatsːoi
aarbechtsgrupp	ˌaʁbˈɔzˈkɹˈʌp
aarbechtsgruppen	aɾbɔkhˈtʃgˈrʊpˈpɛn
aarbechtsiessen	abɯ̞ʃtsjɛzsɪ̞n
aarbechtsjoer	e̞pəztsioa
aarbechtskapazitéit	ˈæbəstsˈkæpˈæziːtɛgˈt
aarbechtskapazitéiten	ˈɛɾbɛskˈɑpərsitˈætən
aarbechtskleedung	abɾɨʃtskɛɾdum
aarbechtsklima	abɾʃtskɾiːma
aarbechtskolleeg	ˈaɪbəstkˈɑlɪdʒ
aarbechtskolleegen	ˈaɪbəstskoʊlˈɛsɪoʊn
aarbechtskolleegin	apɾətskoːlˈɛgɪən
aarbechtskolleeginnen	abɛtskɔllɛxɪnɔnn
aarbechtskolleg	aɛbːestˈskoʎoʃ
aarbechtskollegen	ˈɛɹbɛstskɔllˈeɪʒɔn
aarbechtskollegin	apostskɔllɛʒiːn
aarbechtskolleginnen	aːbːostsˈsˈɛst
aarbechtskommissioun	abˌoztokˌomisjˈõn
aarbechtskommitee	æbːɒʃtˈsgˈoːmjˈthˈe
aarbechtskommiteeën	æbøskomiteːn
aarbechtskonditioun	aboztskɔndisioŋ
aarbechtskonditiounen	abɾustskɔnðisjɔnɛŋ
aarbechtskontrakt	ˈɛnbˈɵstkɔ̃tʁˈɑkt
aarbechtskontrakten	aːrpəʃtskoːntˈrɑktɛn
aarbechtskontrakter	ɛɾbˈʊʃtskˈontraˈktɔ
aarbechtskraaft	ˈaɪbəlskɾˈaft
aarbechtskrees	abɔʒtˈsˈkʁeˈs
aarbechtskreesser	ʃafoistsʃrkajsaw
aarbechtskräften	ˈɛɾbɪçskɾˈafˌtˈɛn
aarbechtskäschten	abəstzˈgˈaʃˈtˈn
aarbechtslager	abɨstslaɣa
aarbechtslageren	apəxtsˈlaɾoɣən
aarbechtsleeschtung	abastʃtslɛʃtʊ
aarbechtsleit	abɛslajt
aarbechtsliewen	apɛrtsiljɛvɛn
aarbechtslos	abɪʃtsloːs
aarbechtslosegkeet	aːbʃtsloːsɛʃkɛːt
aarbechtslosem	aːpaʃtsloːsɔm
aarbechtslosen	ˈɛɾbøʃtsloːzɒn
aarbechtslosentaux	abosloztʃi
aarbechtslosenzuel	ærbʏɾtslˈoːsɪntsvˈøːl
aarbechtslosenzuelen	ɛɾbʏɾtslʊsəntsʏlˈløːn
aarbechtsloser	ʔaːbostsuɾuːzo
aarbechtslosestatistik	ˈɛpˈɛssluːzˈeːʃdɒtˈisˈtiːk
aarbechtslosestatistiken	abəstsuːlˈoːzəʃtatˈɪstɪkɛn
aarbechtslost	abostslost
aarbechtsloun	aboztslõn
aarbechtsléin	abɯtslɛn
aarbechtsmaart	æbɪstsmæt
aarbechtsmaartexpansioun	aβ̞ɾeʃtsmaːd̪eɣ̞spansioŋ
aarbechtsmaartpolitesch	ɛɬbəʃtssmɛrdpɔlitoʃ
aarbechtsmaartpolitik	abəʃtsmatpɔlitik
aarbechtsmaartproblem	numeːlˈbˈʃˈtsmˈaɪˈpɔblɛm
aarbechtsmaartproblemer	ɑːbustsmædqɔːbɛlɛmɑ
aarbechtsmaartspezialist	ʔabstsmætʃbeːtiɑːliːst
aarbechtsmaartspezialisten	ʔɛbɛʃtsmɛtʃpɛtsɪɑːlɪstɔn
aarbechtsmaartspezialistin	ɛɬbøʃtsmaːrtʃbeːtsɒliztɒn
aarbechtsmaartspezialistinnen	aɪbɛrsmˈɛɹdʃpˌeːtsɪˈɑlɪstɪnˈɔn
aarbechtsmarché	tʃiːzibɪrsmaːxʃiː
aarbechtsmaschinn	aːrbəstsmɒsˈiːn
aarbechtsmaschinnen	abostsmaʃiːnɔn
aarbechtsmaterial	ɛɾbøʃtʃmɔtɛljaːl
aarbechtsmaterialien	ɛ̀bʏstsmɑtɛrɪɑllɪm
aarbechtsmedezin	abˈɛʃtmˈədˈəsˈɛn
aarbechtsmesure	æˈbostmøzuːr
aarbechtsmesuren	abastsmozyɣɔn
aarbechtsmethod	ʔabɑʃtʰzmɛtɑːd
aarbechtsmethoden	ˈabɾɪstmɪθˈoːdən
aarbechtsminister	abɔʃtsmnɪstɐ
aarbechtsministeren	aboʃtsminiːstɾan
aarbechtsministerin	abɾʃtsmɛnɪstɑvɪn
aarbechtsministesch	ɑbɑʃtʃmɛnmɛn
aarbechtsministeschen	abozitsʲtʃɔnmɪnˈisʲtʃɔsʰon
aarbechtsministère	æbˈɛstsmɪnˈɪstˈɛɾ
aarbechtsmodell	abɨʃtsmodɛl
aarbechtsmodeller	ɛbɨʃtsmɔdɛlɨ
aarbechtsmoral	abˈustsmoʁˈal
aarbechtsmäert	abostsmiat
aarbechtsméiglechkeet	abɦsmidʒəlʃˈɛd
aarbechtsméiglechkeeten	abɛssmɛslɛʃkɛjtɛn
aarbechtsmënsch	ˈɛˈbøzmɛndʒ
aarbechtsmënschen	aːbostmɔntʃɔn
aarbechtsoflaf	abɯstɔvɭaːv
aarbechtsofleef	ˈɛɾbøzˈɔflˈeːf
aarbechtsonfall	ɛɾbˈʌstsˈɔnðəfˈɑl
aarbechtsonfallversécherung	ˈɛɾbəsʊnfˈalfˈɔɾzəʃeːrˈum
aarbechtsonfallversécherungen	ˈɛɾbˈɪstzˈʊntfˈaːɾfˌɛɾzˌɪʃərˌʊŋən
aarbechtsongléck	aːɾbˈʌsˈɔŋlˌɛk
aarbechtsonglécker	ˈɛɾbɜstsˈɔnglˌɛkɜ
aarbechtsonkäschten	hɑːbəʃtsʊŋkaɾʃteːn
aarbechtsopdeelung	aːlbəʃtsoːopːˈteːlˈlum
aarbechtsopdeelungen	abøsd̪eɫngɛn
aarbechtsopdrag	ˌɑbˌɛstˈɔpdʋaːx
aarbechtsopdräg	aɾbəsʔɔptrɛtʃ
aarbechtsoptrag	ˈabˈœsˈɔpdrˈaːx
aarbechtsopträg	abɯstɔptʁeːf
aarbechtsopwand	ɛɾbəsɔpʋɑnd
aarbechtsorganisatioun	ɛbɛʃtsɔɣaˈnɪsɑkjɔn
aarbechtsorganisatiounen	abɯʃtʃɔɣaŋjzɑsjɔnɛm
aarbechtspabeier	ɛːbɛztspɑbaɪʊ
aarbechtspensum	apostspanzum
aarbechtsplang	æbəzˈplɑːm
aarbechtsplaz	hɑbɪʃtsplats
aarbechtsplazen	abəʃtsplatsən
aarbechtsplazgarantie	ɑːbɑʃtsploːtsgɑːgɑːnˈti
aarbechtsplazgarantien	aːbəlsplˈatsgˌaʊrantˈiːrən
aarbechtsplazschafung	abɛsʃtsplatʃaɾvum
aarbechtspläng	abɨʃtsplɛɲ
aarbechtspolitik	ˈabɔʃtʃpɔlitˈik
aarbechtsprogramm	ɛɾbøxˈtʃpɾoːgɾˈam
aarbechtsprogrammen	abˈɔʃtʃpʁɔgʁˈamən
aarbechtsprogrammer	ɛɾbˌɵʃtʃpɾoːgɾˈamwˈɑːr
aarbechtsprozess	abˈoʃtʃpˈˈoˈtsˈas
aarbechtsprozesser	ˈɛɾbəstsprɔtasˈo
aarbechtsprüfung	abˈɪstsprˈyːfʊŋ
aarbechtsprüfungen	ˈɑɾbəxtspɾˈyːfʊŋən
aarbechtsrecht	ɑːbɑːstsxæʃt
aarbechtsrechter	ˈabosrˈɛʃtɑ
aarbechtsrelatioun	albœʃtʃɾelakioŋ
aarbechtsrelatiounen	abozitsʁɔlasioŋɛn
aarbechtsreunioun	ãːbɑʃtʃarei̯uːnɪõːn
aarbechtsreuniounen	abəʃttʃarnˈwnˈyn
aarbechtsrhythmen	abəstsɾətˈhmən
aarbechtsrhythmus	abɛsʃtʃɾɪtmɔs
aarbechtsrhythmussen	abˈɪtjˈəmˈuːsən
aarbechtsrou	abɯ̞ʃtʃo
aarbechtsschong	ˈɛɾbɑʃtsˈon
aarbechtssituatioun	abˌɔstsɪtˈaːnˈ
aarbechtssituatiounen	abəstsɪtuˈɑsjˈʌŋdən
aarbechtssitzung	abɯtsitsun
aarbechtssitzungen	apɛrtʃɪtsʊŋɐn
aarbechtsspäicher	ˈɛbɪstspˈeɪʃɑ
aarbechtsstonn	aɾbəʃtsstsɛoːn
aarbechtssécherheet	ˈɑːbəʃtsˈɔsˈɔːˈhˈaɪd
aarbechtssëtzung	aboztsotsu
aarbechtssëtzungen	apəzətsʊŋan
aarbechtsverhältnis	ˈɛɹbɪtsfɚæltnˈɪs
aarbechtsverhältnisser	ˈɛɾbəstsfˈoːɾhˌɛltniːssˈɔr
aarbechtsvermëttlung	abastsfɔmɛtlʊŋ
aarbechtsvertrag	aːbəsvɔːldrˈaːɪ
aarbechtsverträg	abostsfɔɾtɾeʃ
aarbechtsvisit	ɛɾbɑʃtsʲfʲizɪt
aarbechtsvisite	abostfezit
aarbechtsvisiten	abaztɕfiːzitːɛn
aarbechtsvolume	abˈɛʃtfɒlˈym
aarbechtswee	aːbostsfˈeː
aarbechtsweeër	ˈabɨʃtsfɛjˈa
aarbechtsweis	ɛɾbˈɔzfˈaɪz
aarbechtswelt	ɛɾbɛʃtsfel
aarbechtswelten	aboztsualton
aarbechtszäit	abastssajd
aarbechtszäitdirektiv	abəʃtsajtdiʁɛktiːv
aarbechtszäitdirektiven	ˈɑːbɜsttsˈaɪtdˈiːrˌeːktiːvən
aarbechtszäiten	abɾɨʃtsajdɔn
aarbechtszäitkont	abɛstsˈaɪtkɔnt
aarbechtszäitkonten	abøstseːdkont̪ɣ̞m
aarbechtszäitkonto	aboststsajkonto
aarbechtszäitkontoen	abostsaikontoɾm
aarbechtszäitmodell	abɛstsajdmodɛl
aarbechtszäitmodellen	aːbəsajdmoːdalaːm
aarbechtszäitmodeller	abɨʃtsajvɑdɑllɔ
aarbechtszäitorganisatioun	abˈɛststˈaʒtɔvˈgɔnɪzɔkɪˈoŋ
aarbechtszäitorganisatiounen	ˈɛɾbɜʃtstsˈaɪtˌɔɾganˌiːzatsɪˈoːnən
aarbechtszäitreduktioun	abˈastʃtˈsaˈajtʁˌoˈduktsjˈon
aarbechtszäitreduktiounen	abostsajtrʁdʒukˈsˈiʁnˈam
aarbechtszäitverkierzung	abøstˈaɪtfɔɾkeːɾtsum
aarbechtszäitverkierzungen	ˈaɾbɜststsˈaɪtfˈɔɾkˈeːɾtsʊŋən
aarbechtszëmmer	ɑːbəʃtsəmɑː
aarbechtsämter	ɛbɪsmtɑ
aarbel	ˈeɪbəl
aarbelen	aːbolõn
aarm	ˈɛ
aarmband	ɛːmport
aarmbandsauer	eɣ̞nβ̞õn̪t̪θalβ̞a
aarmebureau	abbɨɫo
aarmebureauen	abɛɾlɛn
aarmebüro	œ̃nmˈəbˈyʁoʁ
aarmebüroen	ɛmbɪˈɣoːn
aarmeleitskascht	aɾməlɛʊtˈskoːʃtˈ
aarmem	amem
aarmen	ɛːm
aarmequartier	ɛ̀mɯ̞kɑqtʃɪ̞
aarmequartieren	æmˈɪkɐrtˈiɛn
aarmer	amma
aarmmuskel	amuzkul
aarmmuskelen	aːmmuʃkɔlɔm
aarmséileg	ɦɒmzɒjˈllɒʃ
aarmséilegem	æmziːlæʒm
aarmséilegen	aːmzlajlaɣun
aarmséileger	ɑmˈzɑjlʒɑ
aarmséileges	ɑːmze̞jlʒazɑːs
aarmséilegkeet	aːnzøjløʃkeːt
aarmséilegst	ɒːmzɒːjlæst
aarmséilegstem	ɒmze̞jlɑʒdɑm
aarmséilegsten	ɒmzɒːjlɑːstɑːn
aarmséilegster	ɒːmzloʃtɑ
aarmséilegt	ɒːmzəiːləʃt
aarmut	ɑmɑt
aarmutsbekämpfung	aɾmˈʊtˈsbəkˈamˌpfʊŋ
aarmutsgrenz	amuð̞sgrand̪s
aarmutsituatioun	eˈmˈutsɪtuasjˈɔ̃
aarmutsituatiounen	amutsɛtuaʃoɲan
aarmutsrisiko	aˈmutsʁkozˈo
aarsch	aʃ
aarschbak	aːspak
aarschbaken	aʃpakɐm
aarschdaarm	aʃtɛm
aarschfuer	aʃfɑ
aarschkrécher	aʃkʁɛkˈa
aarschkréchesch	ɑʃɢoʃoʃ
aarschkrécheschen	aʃkɾˈɪʃəʃˌoːn
aarschlach	ˈaɾʃlɑːx
aarschlächer	aʃlʃɑ
aart	ɛxt
aart a weis	æɾdɑː bejs
aarteschutz	ˈaʁtʃˈut
aartestierwen	axtəʃtˈɪɾvən
aartlech	ɒhɒˈtloʃ
aartlechem	atlaʃim
aartlechen	aqloʃon
aartlecher	aqtlavʃu
aartleches	ædlʃæst
aartlechst	æxlˈʃt
aartlechstem	ˈæθlˈoʃtɔn
aartlechsten	axtlɑːʃtən
aartlechster	ɑqtæʃtɑ
aartlecht	ɑɣdɾoʃt
aaschbak	aʃpɑk
aaschbaken	aʃpˈakʊm
aaschkrippchen	aʃkɾiptʃon
aaschkrupp	aʃˈkˈʁˈup
aaschkrécher	aʃkʰeˈʃu
aaschkréchesch	aʃkɾeʃoʃ
aaschkrécheschen	aʃkɾˈɑʃəʃˈɛn
aaschlach	aʃlˌoːx
aaschlächer	aʃlæʃɑ
aascht	ˈaʃt
aaschtert	aʃtot
aassel	aɛsæ
