!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
"manin leal" organizou uma festa para os trabalhadores araiosenses.	mɐnˈinjmeˈɐ ɛ ˌɐlfɨnˈizw ˌumɐ fˈɛʃtɐ pˌɐɾɐ uʒ tɹˌɐbɐʎɐdˈoɾɨʒ ɐɾˈaɪʊʒˌeɪŋsɨʒ
"menina e moça" me trouxeram de casa dos meus pais. e não menina-moça	mˌenˈinɐ ˈaɪ mˈoʒ sɐ mɨ tɹˌɔsˈɛɾɐ̃ʊ̃ dɨ kˈazɐ dʊʒ mˌeʊʒ pˈaɪʃ i ˈaɪ mɨ nˌiŋɐ mˈoʒ ɐ
"meu porto, meu destino, meu abrigo, são teu corpo amante amigo em minhas mãos." (taiguara)	meʊ pˈoɾətʊ meʊ dˌɨʃtˈinʊ meʊ ɐbɹˈigʊ sɐ̃ʊ̃ tɨʊ kˈoɾəpʊ ɐmˈɐ̃ŋtɨ ɐmˈigw ˈeɪŋ mˌiɲɐʒ mˈɐ̃ʊʒ
"não espere por uma crise para descobrir o que é importante em sua vida"	nˌɐ̃ʊ̃ ˌeʃpˈɛɾɨ puɹ ˌumɐ kɹˈizɨ pˌɐɾɐ dˌɨʃkubɹˈiɹ u kɨ ɛ ˌimpuɾətˈɐ̃ŋtɨ ˈeɪŋ sˌuɐ vˈidɐ
"não fique desconfiado."	nˌɐ̃ʊ̃ fˌikɨ dˌɨʃkˌuŋfiˈadʊ
"nós num lençol de cambraia." (raimundo fagner)	nɔʒ nũŋ lˌeɪŋsˈɔl dɨ kˌɐ̃mbɹˈaɪɐ
"o amor por princípio. a ordem por base e o progresso por fim"	u ɐmˈoɹ kuɹ pɹˌiŋsˈipjʊ ɐ ˈɔɾədeɪŋ puɹ bˈazɨ i u pɹˌugɹˈɛsʊ puɹ fˈiŋ
"o amor"	vo muro
"o criminoso... substantivo comum" (caetano veloso)	u kɹˌiminˈozʊ sˌubʃtɐ̃ŋtˈivʊ kˈomũŋ
"o céu já foi azul, mas agora é cinza. e o que era verde aqui já não existe mais."	u sˈɛʊ ʒˈa foɪ ɐzˈuw mɐʒ ˌɐgˈɔɾɐ ɛ sˈiŋzɐ i u kˌeɾɐ vˈeɹ dɨ ɐkˈi ʒˈa nˌɐ̃ʊ̃ ˌezˈiʃtɨ mˈaɪʒ
"o desgosto e a alegria dependem mais do que somos do que daquilo que nos acontece" multatuli	u dˌɨʒəsɐ̃ʊ̃ i ˌɐlɨgɹˈiɐ dˌɨpeɪŋdˈeɪŋ mwˈiŋtʊ mˈaɪʒ dʊ kɨ sˈomʊʃ dʊ kɨ dˌɐkˈilʊ kɨ nʊʒ ˌɐkuŋtˈɛsɨ
"o doce mais doce é o doce de batata-doce".	u dˈosɨ mˈaɪʊʒ dˈoθɨ ɛ u dˈosɨ dɨ batˈatɐ dˈoθɨ
"o estado está intervindo na economia."	u ʃtˈadʊ estˌa ˌiŋtɨɾəvˈiŋdw nɐ ˌekunumˈiɐ
"o orvalho da noite brinca na luz do luar" (raimundo fagner)	u ʒvˈaʎɨ dɐ nˈoɪtɨ bɹˈiŋkɐ nɐ lˈuʃ dʊ lˌuˈaɹ ʁˌɐimˈũŋdʊ fˌɐgnˌi
"o sinal está fechado (...) para beijar sua menina na rua." (belchior)	u sˌinˈɑl estˌa fˌeʃˈadʊ pˌɐɾɐ bɨʒˈaɹ sˌuɐ mˌenˈinɐ nɐ ʁˈuɐ
"o sul é meu norte" (vinicius de moraes)	ʊ sˈuw ɛ meʊ nˈɔɾətɨ
"oi, vamos conversar?""agora não posso, estou ocupada."	ɔi vˈomɐ eskˌonvɨɾeswˈaɹ ˌɐŋgˈɔɾjʊ nɌɾəfˈoʃʊ kˈis tˈowɾtʊ
"pague meu dinheiro, vadia"	pˈagɨ meʊ dˌiɲˈeɪɾʊ vˈadˈiɐ
"perder tempo em aprender coisas que não interessam, priva-nos de descobrir coisas interessantes"	pɨɾˈdɨɹ tˈeɪmpʊ ˈeɪŋ ˌɐpɹeɪŋdˈeɹ kˈoɪzɐʃ kɨ nˌɐ̃ʊ̃ ˌinteɾˈa sɐ̃ʊ̃ pɹˈivɐnʊʃ dɨ dˌɨʃkubɹˈiɹ kˈo�
"pra que chorar se o sol já vai raiar" (vinícius de moraes)	pˌɐɾɐ kɨʃ ʃʊɾˈaɹ dɨ sɨ u sˈɔl ʒˈa vaɪ ʁajˈaɹ
"primeiro você me azucrina" (gonzaguinha)	pɹˌimˈeɪɾʊ vosˌe bˌiˈazʊ kɹˈimɐ
"pão de queijo. pão com queijo. queijo com pão. requeijão"	pˈoŋ bˌikˈeɪʒʊ pˈɐ̃ʊ̃ kˈom kˈeɪʒʊ kˈeʒʊ kˈom pˈɐ̃ʊ̃ ʁˌɨkˈeɪdʒɐ̃ʊ̃
"quadro de giz" ou "quadro-de-giz"?	kwˈadɹʊ dɨ ʒˈiʒ ˈow kwˈadɹʊ dɨ ʒˈiʒ
"quando o inverno chegar, eu quero estar junto a ti." (tim maia)	kwˈɐ̃ŋdʊ ˌiŋzˈɛɾənʊ ʃɨgˈaɹ eʊ kˈeɾʊ estˌaɹ ʒˈũŋtʊ ɐ tˈi
"quem não gosta de samba, é doente do pé" (dorival caymmi)	kˈem nˌɐ̃ʊ̃ gˈɔʃtɐ dɨ sˈɐ̃mbɐ ɛ dˌuˈeɪŋtɨ dʊ pˈɛ
"quem tem boca, vai à roma"	kˈem tɨ mˈbˈoɐkˈa vaɪ ɐ hˈomɐ
"radical chic" é aquele grupo esquerdista que nasceu em berço de ouro, mas ataca a "burguesia"...	ɾɐdˈikɐlʃˈikɨ ˌɐkˈelɨ gɹˈupʊ ʃkɨɾidˈiʃtɐ kɨ nɐsˈɛʊ ˌiŋbˈeɪɾəsw bɨ ˈowɾw mɐʒ ˌɐtˈakɐ bˌuɾəgɨzˈiɐ
"rio de janeiro, gosto de você" (valsa de uma cidade)	ʁˈiɲʊ dɨ ʒɐnˈeɪɾʊ gˈoʃtʊ dɨ vosˌe
"saudade tem rosto, nome e sobrenome"	sˌɑldˈadɨ teɪŋ ʁˈoʃtʊ nˈomɨ ˈaɪ sˌubɹɨnˈɔɾəmɨ
"somente quando encontramos o amor, é que descobrimos o que nos faltava na vida"	somˈeɪŋtɨ kwˈɐ̃ŋdʊ ˌeɪŋkuŋtɹˈɐ̃mʊʒ u ɐmˈoɾɐ ɛ kɨ dˌɨʃkubɹˈimʊʒ u kɨ nʊʒ fˌultˈavɐ nɐ vˈidɐ
"sorriso aberto e roupa nova" (milton nascimento)	sˌuʁˈizʊ ˌɐbˈɛɾətw i ʁˈowpɐ nˈɔvɐ
"sé"	sɛ
"telefone ao menos uma vez para 244333" (noel rosa)	tˌelɨfˈonɨɐ u mˈenʊʒ ˌumɐ fˈeʃ pˌɐɾɐ dʊʒ kwˈatɹʊ kwˈatɹʊ tɹˈeɪʃ tɹˈeɪʃ tɹˈeɪʃ
"thank " não é uma palavra da língua portuguesa! não coloquem palavras que não sejam em português aqui!	tɐ̃ŋkɨ nˌɐ̃ʊ̃ ɛ ˌumɐ pˌulɐvɐɾɐ dɐ lˌiŋgwɐ pˌuɾətugˈezɐ nˌɐ̃ʊ̃ kˈolɔkɨ ˈeɪŋ pˌɐlˈavɹɐʃ kɨ nˌɐ̃ʊ̃ s
"todo mundo espera alguma coisa de um sábado à noite" (lulu santos)	tˈodʊ mˈũŋdʊ ʃpˈɛɾɐ ˌɑlgˈumɐ kˈoɪzɐ dɨ nʊ sˈabˌɐ dʊ ˌa nˈoitɨ
"todos os verbos do mundo." (zélia duncan)	tˈodʊʃ uʒ vˈɛɾəbʊʒ dʊ mˈũŋdʊ
"um dia a areia branca seus pés irão tocar." (roberto carlos)	ũŋ dˈiɐ ɐɾˈeɪɐ bɹˈɐ̃ŋkɐ seʊʃ pˈɛis iɾˈow tukˈaɹ
"vambora" ou vamos embora.	vɐ̃mbˈɔɾɐ ˈow vˌɐ̃mʊʒ ˌeɪmbˈɔɾɐ
"você está com a faca e o queijo na mão."	vosˌe tˌaklɐ fˈakɐ i u kˈeʒʊ nɐ mˈɐ̃ʊ̃
"vou te contar, os olhos já não podem ver". (música wave, do maestro tom jobim)	vˈoŋ te kõŋtˈaɹ uʒ ˈɔʎʊʒ ʒˈa nˌɐ̃ʊ̃ pˌɔdeɪŋ vˈeɹ
"às vezes te odeio por quase um segundo." (herbert vianna)	ɐʒ vˈezɨ ʃtˌe ɔdˈeɪʊ puɹ kwˈazɨ ũŋ sˌegˈũŋdʊ
"é verdade que você já conheceu as pirâmides do egito?" "verdade"	ɛ vˌeɾədˈadɨ kɨ vosˌe ʒˈa kˌuɲɨsˈeʊ ɐʒ pˌiɾˈɐ̃mɨdɨʃ dʊ ˌeʒˈitw vˌeɾədˈadɨ
"ó astro que surges, esplendor da luz eterna, sol de justiça: vem, ilumina quem jaz nas trevas e na penumbra da morte"	vˈe ilˈumˈinɐ kɨ ɛmʒˈaɾs nˌɐs tɹˈɛvɐs i nˈɐ pˌenumβɹɐ dɛ mˈoɾtʊ
$	sifɾˈaʊ̃
%	pˌuɾəsɨntˈaʒˌeɪŋ
'	ˈɐpˈɔʃtɹufʊ
'cause	ʒˈɛz
(	tɛɾˈɛntɨs
()	ˈeɪŋtɹɨpaɾˈeɪŋtɨzɨʒ
() (závorky)	pˌɐɾɨˈeɪŋtɨzˈiʃ
(923,649) novecentos e vinte e três mil seiscentos e quarenta e nove.	nˈɔvɨ sˈeɪŋtʊʃ i vˈiŋtɨ tɹˈeɪʃ mˈil sˈeɪʒ sˈeɪŋtʊʃ i kˌɐɾˈeɪŋtɨ nˈɔvɨ
(as lojas) duty-free[slash]as lojas francas	as lˈoz as fɹˈɐ̃ŋkˌaʃ
(cortar) em juliana	æjʒuljana
(ela) leu	lˈeʊ
(elas) esperaram durante uma hora.	ˌɛlɐʒ ʃpˌeɾˈaɾɐ̃ɐ̃ʊ̃ dˌuɾˈɐ̃ŋtɨ ˌumɐ ˈɔdɐ
(eles) tinham que	ˌelɨʒ tˈiŋɛm kɨ
(escrita correta: amaldiçoou)voldemort amaldicoou harry potter.	vˈoʊldəmɚt əmˈɑnlgəs wˈɔɹ hˈɛɹi pˈɑtɚ
(eu) porei	puraj
(mas o que é isso?; que diabos é isso?).ex: béisso, tá tudo fora de ordem?	mɐʒ u kɨ ɛ ˈisw kɨ dˌiˈabʊʃ ɛ ˈisw
(para) você também	pˌɐɾɐ vosˌe tɐ̃mbˈeɪŋ
(que) diz respeito	dˈiʒ ʁˌespeɪtˈo
(que) impeçam	ˌimpˈɛɾəsɐ̃ʊ̃
(vou) faz[ê] um chá quessa (ocm esssa) foia.	fɑⁿzɛ ʃɑɾkɔ sɑ fɔjɑ
)	fˈeɪʃɐpˌɐɾiˈeɪŋtɨzˈiʒ
*	aʃtriːʃkw
+	mais
,	vˈɪrgulɐ
-	ˌifɨɲʊwtɹˈasʊˈowsˌinˈaʊdɨmˈemʊʒ
- boa noite.- boa tarde.- boa ideia.- boa notícia.	bʊɾɨ nˈoitɨ bˌuɐ tˈaɾədɨ bˈoɐ ˌidˈɛɪɐ bˈoɐ nˌutˈisjɐ
-logia	loxˈiɐ
-seu nome completo, por favor....-joana castro.	seʊ nˈomɨ kumplˈɛtʊ puɹ vɐvˈoɹ ʒˌuˈɐ̃nɐ kˈaʃtɹʊ
... quem poderia explicar o...?	kˈem pˌɐdɨɾˈiɹ ʃfliˈkˈaɹ uˈoː
... se já houve...?	sə ʒˈa ˈɔvvɛ
...aconchegando com um arrepio o casaco cor de mel ao corpo friorento	ɐkˈomʃˌegˈɐ̃ŋdʊ kˈom ɐʁˌepˈiɐ u kɐzˈakʊ kˌuɾədɨmˈɛʊ a kˈoɾəpʊ fɹˌiʊɾˈeɪŋtʊ
...determinam-no de dentro de sua existência na mundanidade...	dˌɨtɨɾəminɐ ũŋ nˈodɨ dˈeɪŋtɹʊ dɨ sˌuɐ ˌezistˈeɪŋsjɐ nɐ mˌuŋdɐnidˈadɨ
...e de repente sua vida se tornou uma folha em branco	ˈaɪ dɨ ʁˌepˈeɪŋtɨ sˌuɐ vˈidɐ sɨ tɔɾənˈow ˌumɐ fˈoʎɐ ˈeɪŋ dɹˈɐ̃ŋkʊ
...para informação, determinava-o a lei...	pˌɐɾɐ ɐ ˌiŋfuɾəmɐsˈɐ̃ʊ̃ dˌɨtɨminˈavɐ ˈuɐ lˈeɪ
...para que você realize o seu desejo.	pˌɐɾɐ kɨ vosˌe ʁˌeɐlˈizɨ u seʊ dˌɨzˈeʒʊ
.com	pɔntkɔm
.com.br	pˈũŋtʊkˈompˈũŋtʊdˈɛɾnɨ
.hollywood reinventava a tradição do homem americano	kɐ̃lˈildˈ dɨ ʁˌeɪmɨŋtˈavɐ ɐ tɹˌɐdisˈɐ̃ʊ̃ dʊ ˈomeɪŋ ˌɐmɨɾikˈɐ̃nw
.info	pˈoŋtʊˈɪnfw
.pt	pɔ̃tˈpɛtˈe
0	zˈɛɾʊ
0 - zero	zˈɛɾʊ
007	zɛrˈzɛrˈset
0197117984	sɛrɨŋnɔvɨsɛɾtʃivɔnɨmɛsɑtʃɔnɔvɛtʃua
1	ɛ̃ɑ̃n
1 - um	um
1.000 - mil	ũŋ mjˈu
1.000.000 - um milhão	ũŋ mˌiʎˈɐ̃ʊ̃
1.331.032	ũŋmˌiʎˈɐ̃ʊ̃tɹˌɨzˈeɪŋtʊʃutɹˈiŋtɨũŋmˈilitɹˈiŋtɐdˈoɪʒ
1.830 - mil oitocentos e trinta	mˈil ˈoɪtʊʒ sˈeɪŋtʊʃ i tɹˈiŋtɐ
1.epistêmico	epistemiko
10	dˈaɪs
10 - dez	dˈeʃ
10.000 ac	dˈeɪʃ mˈil ˈɐ̃ŋdɨʒ dɨ kɹˌiʃtˈo
10.000 anos atrás	dˈɛs mˌiʊlˈɐ̃ʊ̃ ˌɑŋɐʒˈɐtɹˈaɾəs
100	sen
100 - cem	fem
100.000 - cem mil	sˈeɪn mˈil
1000	mjuː
10000	dˈaːʒmjˈu
100000	sɐ̃jmɨ
1000000	ũŋmˌiʎˈaʊ̃
1000º	milésimo
100º	centésimo
101	sˈeɪŋtʊˈaɪũŋ
102	sˈɛ̃ŋtʊˈaɪdˈoɪʒ
103	sˈeɪŋtʊitɹˈeɪʃ
105	sˈeɪŋtʊˈaɪsˈiŋkʊ
107	sˈeɪŋtʊˈaɪsˈɛtɨ
10º	décimo
11	ɔ̃z
11 - 1 = 10	ˈɔ̃nze mˈeɪnʊʒ ũŋ igˈɑl ɐ dˈɛs
11 - onze	ɔ̃nzɛ
110	sˈeɪŋtʊˈaɪdˈeɪʒ
111	sˌiŋtuˈiˈɔn
115	sˈeɪŋtʊˈaɪkˈiŋzɨ
116	sˈeɪŋtɹɨdˌizɨssˈeɪʃ
118	sˈeɪŋtɐdˈisˈuɪtʊ
11º	undécimo
11º décimo primeiro	dˈɛsimʊ pɹimˈeɪʎʊ
12	dˈozɨ
12 - doze	dozɨ
12 horas	dˈoθɨ ˈɔɾɨʒ
12 vezes 13 é 156	dˈoze vˈezɨʒ tɹˈɨzeɪ ɛ sˈeɪŋtʊ i sˌiŋkwˈeɪŋtɨ ˈaɪ sˈeɪʒ
120	sˈeɪŋtʊˈeɪŋvˈiŋtɨ
121	sˈeɪŋtʊˈaɪvˈiŋtɨˈeɪŋu
124	sˈeɪŋtʊɛvˈiŋtɨkwˈatɹʊ
125	sˈeɪŋtʊˈaɪvˈiŋtɨsˈiŋkʊ
126	sˈeɪŋtʊˈaɪvˈiŋtɨsˈeɪʒ
127	sˈɛ̃ntʊˈaɪvˈiŋtɐsˈɛtɨ
128	sˈeɪŋtʊˈaɪvˈiŋtɨˈoɪtʊ
129	sˈeɪŋtʊˈaɪvˈiŋtɨnˈɔdɨ
12x12m	dˈuzɨpuɹdˈuzɨmˈɛtɹʊʒ
12º	duodécimo
12º décimo segundo	dɛssimʊ siɣunðɔ
13	tɹˈeʃ
13 - treze	tɹˈeʃ
13 de maio	tɹˈeɪŋzɨ dɨ mˈaɪʊ
130	sˈeɪtɨtɹˈiŋtɐ
134	sˈeɪŋtʊitɹˈiŋtɐikwˈadɹʊ
135	sˈeɪŋtʊitɹˈiŋtɐˈaɪkˈimkʊ
13º	tredécimo
13º décimo terceiro	dɛsjmu tixsejru
14	kɐtˈoɾəzɨ
14 - catorze[slash]quatorze	katorz
14 - quatorze	kɐtˈoɾʒ
14 de dezembro	kwatˈoɐ̃uzɨ dɨ dˌɨzˈeɪmbɹʊ
14 de julho	kwɐ dˈoɾəzi dɨ ʒˈulj
140	sˈeɪŋtʊˈaɪkˌuɐɾˈeɪŋtɐ
148	sˈeɪŋtʊikˌuɐɾˈeɪŋtɐiˈoɪtʊ
14º	décimo quarto
15	kˈi
15 - quinze	kiŋzɨ
150	sˈeɪŋtɨsˌiŋkwˈeɪŋtɐ
154	sˈeɪŋtʊˈaɪsˌiŋkwˈeɪŋtɨkwˈatɹʊ
156	sˈeɪŋtʊsˌiŋkwˈeɪŋtɨsˈeɪs
157	ũŋθˈinkosˈɛɾətɨ
158	θˈeɪŋtʊʃˌiŋkwˈeɪŋtɨˈoɪtʊ
159	sˈeɪŋtʊʃsˌiŋkwˈeɪŋtɐˈeɪŋnˈɔvɨ
15º	décimo quinto
16	dzˈɛsˈaɪʃ
16 - dezasseis[slash]dezesseis	zˈɛˈæjs
16 - dezesseis	sessˈeix
160	θˈɐ̃ŋtʊsɨsˈɛŋtɐ
161	sˈɛntʊˈaɪsˌɨsˈɛntɐˈaɪũŋ
1625	mˈilsˈeɪʃsˈeɪŋtʊʃˈaɪbˈiŋtɨsˈiŋkʊ
1630	mˈilsˈeɪskˈentʊʃitɹˈiŋθa
16º	décimo sexto
17	dˌɨzesˈɛt
17 - dezassete[slash]dezessete	θesˈɛt
17 - dezessete	dˌɨze sˈɛtɨ
170	θˈɛntʊˈeɪsˌetˈɪŋtɐ
1700	mˌilˈeɪʒˈetˈɛsˈeɪŋtʃ
1701	miwˈsœtˈɛsœntsˈɛ̃tsəŋ
1702	mˈilsˈɛtʊsˈeɪŋtʊʃedˈoɪʒ
1703	mˈilsˈɛtsˈɛntʃʊʃetɹˈeɪŋʒ
1704	mˈilsˈɛtɨsˈeɪŋtʊʃekwˈatɹʊ
1705	mˈilsˈɛtʊsˈeɪŋtʊʃesˈiŋkʊ
1706	mˈilsˈetɨsˈeɪŋtɐʃesˈeɪʒ
1707	mˈilsˈetɨsˈeɪŋtɐʃesˈɛtɨ
1708	mˈilsˈɛtɨsˈeɪŋtʊʃiˈoɪtʊ
1709	mˈilsˈɛtɨsˈeɪŋtʊʃenˈɔvɨ
171 - cento e setenta e um	ũŋ sˈɛtɨ ũŋ sˈeɪŋtʊ sˌɛtɐʃtɐ̃ŋtɐ uŋ
1710	mˈilsˈetjusˈkeɪŋtˈʊʃidˈɛɪʒ
1711	mˈilsˈɛtɨsˈeɪŋtɐziˈɔ̃nzeɪ
1712	mˈilsˈetɨsˈeɪŋtʊʃidˈoze
1713	mˈilsˈɛtɨsˈeɪŋtʊʃˈaɪtɹˈizɨ
1714	mˈilsˈetʊsˈeɪŋtʊʃikɐtˈoɾɨʃɨ
1715	mˈilʒsˈɛtɨsˈeɪŋtɐʃekˈiŋzɨ
1716	vˈiʊsˈɛtɨsˈeɪŋtʊʃedˌɨzɨʒsˈeɪtɨ
1717	mˈilsˌɛtisˈeɪŋtʊʃɨdˌɨzɨzˈɛtɨ
1718	mˈilʒsˈetɨsˈeɪŋtɐʃidˌɨzˈoɪtʊ
1719	mˈilsˈetɨsˈeɪŋtʊʃˈaɪdˌɨzɐnˈovɨ
1720	mˈilsˈetɨsˈeɪŋtɐʃevˈiŋtɨ
1721	mˈilsˈetɨsˈeɪŋtɨʃʊevˈiŋtɨũŋ
1722	mjussɐdɨsˈeɪŋtɐʃivˈiŋtɨdˈoɪʒ
1723	mˈilsˈetɨsˈeɪŋtɐʃevˈiŋtɨtɹˈeɪʃ
1724	mˈilsˈatʃˈʃˈeɪŋtˈɐʃivˈiŋtɨkwˈatɹʊ
1725	mˈilsˈɛtɨsˈeɪŋtʊʃevˈiŋtɨsˈiŋkʊ
1726	mjʊʒsˈɛtɨsˈeɪŋtʊʃivˈiŋtɨsˈeɪʒ
1727	mˈilsˈɛtɨsˈeɪŋtɐʃevˌiŋtɨsˈɛtɨ
1728	mˈilsˈɛtɨsˈeɪŋtʊʃɐvˈiŋtɨˈeɪtw
1729	mˈilsˈɛtɨsˈeɪŋtɐʃevˈiŋtɨnˈɔvɨ
1730	mjˈusˈɛtsˈɛnzitrˈɪntˈa
1731	vˈiʊsˈɛtɨsˈɛɲtʊʃetɹˈiŋtɨũŋ
1732	ʊsɛtsentsetrintaedoiʒ
1733	lɪussɛtˈsˈɛntʃʊetɹˈiŋtɐtɹˈeɪʃ
1734	vˈiʊsˈɛtɨsˈeɪŋtʊsɨtɹˈiŋtɐkwˈatɹʊ
1735	viusɛtseɪŋtseɪdɪtɹˈiŋtɐsˈinkʊ
1736	jˈusˈɛtsˈɛnzitrˈintɐsˈeɪʃ
1737	jˈusˈɛtsˈɛntsɪtˈrɪntəsˈɛtʃ
1738	mˈilsˈɛtsˈɛntʃʊsɛnˈtʃʊtɹˈiŋtɐˈoɪtʊ
1739	juːsˈɛtsˈɛntsɪtɹˈintɪnˈɑg
1740	mˈilsˈɛtsˈɛndʊzekˌuɐɾˈeɪŋtɐ
1741	sɛtˈsˈɛntʃʊʃdɨkˈɔlɨŋtɨɲˌɔ̃
1742	mˈilsˈetɨsˈeɪŋtʊʃkˈomʊkˈomʊsɛtɨsˈeɪŋtʊʃkˈomʊkˈomʊsɨʃtˈɛsˈiŋtʊʃkˈomʊuʒˈɨʃtˈɛsɛŋtˈisˈeɪŋtʊʃ
1743	ˈjuːsˈɛtsˈɛnsfɔɹiːmɪtɹɪ
1744	mˈilsˈɛtɐsˈɛŋtʊʃikˌuɐɾˈɛntɐikwˈatɹɨ
1745	mjˈilsˈɛntʃɨʃsˈeɪŋtʊʃikˌuˌɑɾəntɨsˈiŋkʊ
1746	mˈilsˈɛɾətɨsˈeɪŋtʊʃikˌɑɾəntˈeɪŋsˈeɪʃ
1747	mˈilsˈɛtɨsˈɛ̃ŋtʃʊkˌɐɾˈɐ̃ŋtɐisˈɛtɨ
1748	mjussˈɛtɨsˈɛŋtʊʃekˌɐɾˈɐ̃ŋtɨˈaɪˈoitw
1749	mjˈusˈɛtsˈiʁ
1750	mˈilsˈɛtsˈɛntʊʃ
1751	mˈilsˈɛtʃɨsˈeɪŋtʊsisˌiŋkwˈeɪŋtɐˈaɪũŋ
1752	mˈilsˈɛtsˈeɪŋkʊ
1753	mˈilsˈɛtɨsˈeʃʊ
1754	niːusatsiːants
1755	mˈilsˈetsˈɛntɨsˈɛmbɹʒ
1756	mˈilʁəʁtsˈɛtsɛttsˈjʁyʒmɛ
1757	nˈusˈɛtʃizentʃˈɪzikvəɹðˈɛsˈentʃ
