!	tɕam˧˧tʰaːn˧˧
"điện ảnh"	bjˈɛ̃
18	mɯəj˧˨paːm˧˧
1812	m˧ot̚˨˩ŋaːn˩˩˦tǎːm˧tɕʰam˧mɯːʔhʰ
1852	waqqənzənʃnɑmˈnɑmniːxˈʃiː
1864	mǎt̚˨˩nǎn˧˧tãm˧˥ʈʂɑŋ˧˧ʂáu˧˧bɤj˧˧tɤ˧˧
1869	m˧t̚˨˩ŋ˧an˩˩˦t̚˨˩âːm˧ʈʰam˧ʃráːw˧ʔtɕʰiː˧
19	mɯəj˧˨tɕĩŋ˧˧
1904	m˧tŋ˧aːntɕĩ˥n˧tɕamʔl˧ʔp̚˨˩ʔn˧
1911	tʰiən˧˧an˧˧tɕʰiən˧˧ʈɤŋ˧˧mɤ˨˩˦ɤ˧˥ʔ
1920	m˧t̚˨˩ŋaːn˩˩˦tɕĩːm˧t̚˨˩ram˧hʰmɯːʔj
1925	hmʰt̚˨˩ŋ˧aːn˧n˧tɕʰiːajam˧hʰajajram
1929	mũa˧˨tɕĩŋ˧˧krɑm˧˩˨haj˧˨mɯəj˧˧ciĩm˧˧
1930	m˧ot̚˨˩gaːn˩˩˦tʃɪn˧t̚˨˩am˧paː˧mɯəj˧
1935	m˧t̚˨˩ŋ˧aːn˩˩˦n˧tɕʰiːn˧tɕam˧paː˧mɯːʔlam˧
1938	mɔt˧˨kiən˧˧ba˧˧ta˨˩m˧˩
1943	m˧ʰt̚˨˩ŋ˧aːntɕĩn˧t̚˨˩am˧ʔbp̚˥˩ʔeːbaː˧
1945	m˧ot̚˨˩ŋaːn˧n˧tɕʰĩ˧n˧t̚˨˩am˧p̚˥˩n˩˩˦mɯ˧ʔam˧
1946	m˧t̚˨˩ŋaː˧n˩˩˦n˧tɕʰiːn˧t̚˨˩am˧ʔn˧mɯːɔ̀ʃaː˩˩˦w˧
1953	m˧ot̚˨˩ŋaːn˩˩˦nʈramnam˧mɯ̀jbaː˧
1954	hm˥˩tŋ˧aː˧n˧n˧tɕʰiːn˧tɕam˧nam˧mɯːj˧ʔt̚˨˩ɯː
1955	m˧t̚˨˩ŋaː˥˩n˧n˧tɕʰɪn˧tɕʰam˧nam˧mɯːj˧lam˧
1956	hmʰt̚˨˩ŋ˧aː˧n˩˩˦n˥˩tɕam˧nam˧mɯːɛʃaː˧
1958	mũi˧˨kiən˧˧sin˩˩˦xam˧˧nam˧˧˧ta˧˧m˥˩
1960	mɛ˧ʔŋaː˧n˩˩˦çriam˧˩˨sáu˧˩˨mɯə˧˥
1964	pʰavŋan˧n˧tɕʰiːn˧tɕam˧ʰaːʔsʔt̚˨˩ɛʔt̚˥˩ɛːm˧
1968	m˧ʰt̚˨˩ŋ˧aː˥˩n˩˩˦n˧kʰɤ˥n˩˩˦am˧ʃaː˥˩ajʰt̚˨˩âːm˧
1970	kɔn˧˨ŋaː˧˧nt˥˩çɤ̆n˧˧tɕɤ̆n˧˧tram˧˧βɤ̆t˦˥mɯ̆˩˦mɯ̆˩˦ɲa˧˧ɲa˧˧tɕiən˧˧cɤ̆m˧˧bħtmɯ̄˨
1974	m˧t̚˨˩ŋaː˧n˩˩˦n˧tɕam˧pʰaːj˧ajʔtɤ˨˩
1982	mɤt˧˨ŋaːn˧˨dɛ˧˧cɪŋ˧˧cɤm˨ˀ˩ʔtã˨ˀ˩mɯj˧˧haj˧˧
1984	hmʰt̚˨˩ŋ˧aː˧n˩˩˦n˧tɕʰam˧tam˧t̚˨˩ʔt̚˨˩ɛ
1985	hmt̚˨˩ŋ˧aːntɕʰi˥sa˨˩m˧taː˧m˧ʰɯːʰrap̚˥˩
1987	hok̚˦˥ʔŋ˧ʔitɕn˥k̚˨˩am˧ʔt̚˨˩aːmɯːj˧jpaj
1988	m˧t̚˨˩ŋ˧aːn˩˩˦n˧tɕʰn˥tɕam˧saː˩˩˦mɯːʔt̚˨˩âːm
1990	mɑq˨˩kĩ˧n˧˧kiən˧˧ŋɤj˧˧
1994	mŋaːn˨˩ŋãːn˧˥tɕʰi˧n˧˧tam˧˧ŋɯɔːj˩˩˦tɤ˧
1997	hmʰt̚˨˩ŋaːntɕʰɪn˧tʰam˧ɕʰjn˥˩ʔeːpj
2	həˈɪ
20	hajmɯəɛː
200	ai̥tɕa
2000	hʰŋ˧
2001	hʰᵝj˧˨ŋiən˧˧xoŋm˧˧cɐm˧˧lɛ˨ˀ˩mɤ˧˥
2005	hɑ̀j˥ɑ̀n˥ʔn˧a˦˥nam˧
2007	hʰŋaːn˧kʰɔ̀ŋ˧ram˧saj˧j˩˩˦bãːɛː
2010	haj˧˩˨ŋiən˧˧kʰɔ̀˧m˧˧tam˧˧mɯəj˧˨
2013	ajmɯː˩˦iːnmɯː˩˦ba
2016	haj˧˩˨ŋaːn˨˩kʰũŋm˧˧cɤm˧˧mɯɤj˧˨saːʔ
2017	tʰɛːŋ˧mɯ̀j˧paj
2018	haj˧˩˨ŋaːn˨˩kʰũŋm˧˧cɤm˧˧mɯɨ˥˩tɑm˧˧
21	hajmo
22	hɐi̠hɐi̠
23	hãĩ˧˨baː˧
24	hai˧˧bo˨˦
24[slash]24 giờ	hẽ˧˧ boŋ˧˧ tʃɛn˧˧ hẽ˧˧ boŋ˧˧ zaː˧˧
25	jʎam
26	xa˥˥
27	nãĩ˧˧bãːn˩˩˦
28	hɐi˥tɑm˥˩
29	tɕʰi˧˥
3	ba˥˩
30	baː˥˩mɯː˩˩˦ʔ
300	batːam
33	baːmɯ̄ːjbaː
35	baː˧mɯ˧jlam˧
36 phố phường	ba˧˨mɯj˧˨ sáu˧˧ fo˧˧ fɯəŋ˧˧
38	boaːmi˥tam˥
384	baː˧˨trăm˧˩˨ta˧˩˨mɯ˧˥tɯ˧˥
39	ba˧˧mɯə˧˧aj˧˧˧
4	bɔːŋ˧˧
40	bo˧˧mɯə̯˧˧
42	boː˧n˥mɤjɛ̄ːj
43	vũn˥˥mɤ˨˩˦ba˥˧
45	bun˧˧mɯəj˧˧lam˧˨
46	n˩˩˦m˧ʔɛ̀ːaː˧
47	bn˧ʔmɯːʔhapʰ
49	bʔn˧mɯ̄ːʔkʰn˧
5	nˈam
50	nam˧˧mɯəŋ˧˧
5000	nɛːm˧˥njan˥˩
51	nam˧˧mɯəj˧˧mŋ˧˧
52	nam˧˧mɯəj˧˧haj˧˧
54	nam˧˧mɯj˧˧bõŋ˧˧
55	nammɤjlam
57	n˧am˥ʔeːhbaj
6	tʃau˧˧
60	sáumɯə˧˧
61	sau˧˧mɯj˧˧mɔb˧˥
63	sáu˧˧mɤj˧ba˧˧
64	sa˨˩ajʰʔtɤ
65	sʰɑʊ˧˧mɤj˧˥lam˧˧
650	sʰau˧˧tsam˧˩˨nam˧˩˩˦mɯ
66	ɕau˨˩mɪŋ˧˥
666	sáu˧˧sam˧˧sáu˧˧mɯəŋ˧˥sáu˧˧
68	sau˧˧mɯəj˧˨tɑn˧˧
69	ʂaʊ˨˩˦mɤŋ˧˥ʈʂan˥˩
7	bɐ�˧˥
70	bħ˧mɯəŋ˧˧
71	bɛj˧˨mɯj˧˨mod˧˧
72	bɤ̆j˧˨mɯ̆j˧haj˧˧
73	bɛj˨˩mɯɐj˧baː˧
74	băj˧˨mɯəj˧˧tɯə˧˧
76	bẽj˧˨mɤj˧˨sáu˧˧
77	bəj˧˨mɯəj˧˧bài˧˩˩˦
78	bɛj˨˩mɯə˧˧tɑm˧˥
780	bʰɤ̆j˧˨tram˧˧tãm˧˥mɯəj˧˥
8	tǎn˧˥
80	tam˧mɯəj˧˨
81	tãm˧˧mɯəj˧˧mok˨
82	tǎm˧mɯ̀ɔ̀jhaːj˧
85	tãm˧˧mɯə˧˧lam˧˨
87	tamnɔɪbɛj
88	t̚˨˩am˧mɯəj˧tam˧
89	tã˧˥mɯə˥˩ʰ
9	ħən˧˧
90	çĩ˧˨mɯəj˧˥
94	kĩ˥˥muaɪ˧˥tɤ˧˥
95	tsĩã˨˩be˧˧lam˥˥
97	tɕʰi˧˧mei˥˧pʰaːi˨˦
98	tsĩ˥˩n˧mɤ˥ʰtã˥˥m˥˩
99	tɕʰin˨˩tsʰin˨˩
999	tɕʰiːn˨˩ʈʂan˨˩tʰiːn˧˥
9999	tsʰin˨˩naʔntsʰin˥˩tsʰaʔmtsʰin˨˩tsʰi˧˧
:	tsou̯˨haɪ˧˧
;	fɐi̯˧˥
<	ljo˧˧be˧˧
=	fɑŋ˨˩˦
>	dʒoːlnɔːn
@	akon
\	zəu˧˧găt˦˥zel˨˦ɛ˧˧
]	nõŋ˧˧moǎk˨ˀ˩fu˧˧
^	izavɨmuʔup
_	jakdʒoːj
a	a
a còng	a˦˥kɔ̀ŋm˨˩
a dua	aːɟʊɑ
a ha	eɢɒ
a hoàn	ŋ˨˦
a lô	aloo
a men	la
a phiến	a fʲin
a staff	ˈdəʊstə
a sầu	eʃau
a tòng	aːtˈɔ̃m
a xít	ɒsid
a y ay. vờ ay vay sắc váy	vˈaɪ
a-ma-tơ	aːmaːtə
a-part-ment	apaʁtəmˈɑ̃
a-xe-ton	æseˈbɒn
a-xê-ti-len	aːsɛtiːln
a.	a
accuse	akiz
acid	ɑsˈk
acid amin	tʃas ˈɛtʃ la amɛn
acid béo	aːsid bel
acid cacbonic	ɑzik kæb pɔnʲiːd
acid chlorhydric	aːsɪk kɔːlɔhʲiːtʰtʰ
acid nitric	æsˈɛt nˈidʒɪ
acid sulfuric	aːsɪz sɤmˈfɔːrɪt
acquy	akwe
acre	are
actor	ˈaktɚ
ad hoc	aːħok
address	˧˧li˨˩˦ai˧˧tɕʰi˧˧
adrenalin	arenalin
adverse	ˈætwˈɚ
afghanistan	tafgaːnistɑːn
ai	aʔiː
ai ai	aj˥˩aj˥˩
ai bảo	ai̯˨˩pɔ˧˧
ai cập	ˈaɪ gˈɑb
ai cập học	laː˧˧kɑ˨˩p˨˩hɔːk˥
ai dám đánh em mình?	ai̯ dɑm˧˧ danh˧˧ em˧˧ mɤn˧˨
ai lao	ajlau
ai lại	lai˧˥
ai mua cái quạt?	aiŋuɔ˧˧kài˧˧kuaŋ˨˩
ai mượn	ai̯˧mɯən˧˧
ai ngờ	aɪŋ˥˥ɤ˧˥
ai nấy	lai̯lai̯
ai oán	aiaˈm˨˩
ai ăn mặn, nấy khát nước	ɔ̀jr̥n˥hn ɔːj˧rn˥man˥n˩˩˦ajʰʔan˦˥nuːkʰ
ai đấy?	ai˧˩ dɤ̆j˧˧
ai đời	ai̯dːɤj˧
aids	aiɣjɔːf
ak	ˈæˈgˈɑː
album	aːnbim
alcl3	ɑ˥˩lɤ˨˩˦sɯn˧ɫɤ˨˩˦baː˧
allocate resources	ə lˈoʊkˌeɪt ɹɪˈzɒɹts
am	aam
am hiểu	ʔɛmhjʊ
am tường	ãŋ˨˩ pɯŋ˨˩
amip	ɒːmid
amoniac	ɑɾmɔːnij˧ɑk
ampe kế	ambe ke
an	an
an anh ang	aːn˥˩aː˥˩lŋ˧
an bài	an˥˥baːj˨
an bình	an˧˧ bɪŋ˧˨
an cư	ˈeɪ gˈu
an dưỡng	ɑŋzɯŋ
an giang	ɛnʃɛŋ
an giấc	an zok
an hưởng	en u
an hưởng	aːn˥˥hɤ˧˥
an khang	ankaŋ
an lành	aːm˧˥lian˥˩
an lòng	an˥˩lalʔ˨
an lộc	an˥˥lau˥˨
an nam	la nam
an nghỉ	aːm˥˩ ŋɤ˧˥
an nhiên	an˥˥
an nhàn	anˈnjɛn
an ninh	ãn̪ːem
an phận	fɑŋ˨˩˦
an phận	an˥fɔːŋ˧
an thai	ɔːn˥˧tʰaːj˥
an thần	aːn˥˧tʰɤŋ˥˩
an toàn	tʰuaːn˧
an toàn	a˥n˥˧tʰw˥˩a˥n˥˥
an toạ	lɛːn˥˧kɔ˨˩˦la˥˥
an trí	antoi
an táng	a˥˩m˥˩tǎŋ˧˥
an tâm	aːn˩˩˦tɑm˥˩
an tọa	a˥˥n˥˥tʰa˧˧
an vị	an˥˩ vˈeːˈyː
an ủi	an˥˥
an-pha	anfa
anbom	ɑnbɑm
anbum	aːnbum
anbumin	aːnbuːmiːn
ang	aɪ˥˥
ang sành	aː˧ŋ˧ʃun˧
ang áng	ɛŋ˧˥ɛŋ˧˥
anh	ɛ̃n
anh ba hưng	əɲbaːgəm
anh bắc bán cái máy may	ãn˧˧ băt˦˥ măn˧˨ tʰe˧˥ măj˧˨
anh cả	k̚˦˥a˥ʔ
anh chàng	an˧˧tsa˨˩˦
anh chàng	ɑŋ˧˧tsaːŋ˨˩
anh chồng	ɑn˧˧ tɕaŋ˥˧
anh chị	aŋ˥˥
anh chị em	antiem
anh có biết nói tiếng việt không?	an˩˨ kɔ˧�a˥˧ pi˧k˨ˀ˩ nɔj˧˨ ti˧˩˨ ŋ˧˧ vi˧˨ kʰoŋm˧˧
anh có biết số điện thoại của công ty không?	ɑn˨˦ kɔ˧˧ pi˧k˨ˀ˩ sĩ˧˨ tiən˧˧ tʰʰwaj˨ˀ˩ kɔ˧˧ kɔŋm˧˧ ti˧˧ xoŋm˧˧
anh có câu hỏi nào không?	an̪˨˩ kɔ˧˧ kău˧˧ hɔ˧˧ j˧˩˨ naːw˧˨ kʰɔm˧˧
anh có hiểu tôi nói gì không?	anʲ kɔ˧ hiəw˧˥ tʰoj˧˨ nɔj˧˥ vi˧˨ xoŋm˧˧
anh có khỏe không?tôi khỏe	ɑn˧˧ kɔ˧˥ kʰɛ˨ˀ˩ kʰoŋ˥˧ tʰoj˧˧ kʰɛ˨ˀ˩
anh có nhớ em không ?	an˧ kɔn˧ ɲə˧˧ em˧˧ xoŋm˧˧
anh có sao không?không sao.	ann˩˩˦ kɔ˧˥ seː˨˩w˧˧ kʰʊŋ˨˩ kʰʊŋ˨˩ msɛːw˧˥
anh có thể chỉ cho tôi không?	ɛn˧ ko˧˩˨ tɕʰi˧˨ cɔ˧˧ toj˧˧ xoŋ˧˧
anh cả	dˈaː
anh dũng	ãn̪d̪i ũn
anh em	ĩ˧˧ ɛm˥˩
anh em họ	ɛm˥˩kɔ˧˧
anh em trai	n˧jˈu daɪ
anh hai	ant̪aɪ̯
anh hoa	an˥˥ hoa˥˧
anh hùng	an hom
anh hào	ɔːan˥hou̯˧
anh hùng	an˥˥hʊŋ˥˥
anh họ	an˥haː˧
anh kiệt	an˧˧ kiək˨˩
anh làm gì?	ăŋ˧˨ lǎm˧˧ ɟi˧˧
anh linh	anɫən
anh là giám đốc	ăn̪˥˩ laː˧˨ d̪ɑm˨˦ dɔk˨ˀ˩
anh là người hạnh phúc nhất thế gian.	ǎnlɛnmɯl høŋpuglɛn tɛzɛllɛn
anh làm nghề gì	an˧˧ laːm˧˧ nɛ˧˧ ji˧˩˨
anh làm ơn cho tôi hỏi thăm?	anʲ˧ laː˧˨ mən˧˧ cɑ˧˧ tʰo˧˧ tʰɑm˧˧
anh minh	an˩˥ːn˧
anh mua cái này ở đâu vậy?	anʲ˨ mua˧˧ kaŋăj˧˩ ɤ˧˧ dou˧˧ vaj˧˨
anh muốn trả tiền bằng cách nào?	anʲ˩˨ muən˧˧ cɛ˧˩˨ tiən˧˨ bɑŋ˧˧ kɐt̚˨ˀ˩ nɛ˧˧
anh nhìn gì?	aːn˩˩˦ ɲjɛn˧˧ ki˧˩˨
anh nuôi	an˧nuj˧
anh nây	an˥˥na˥˧j˥˧
anh nên mua màn	ãŋ nẽn muɔ man
anh nói đúng giọng.	aŋ˧˧ nɔj˧˨ duŋm˧˧ zaːm˧˧
anh quả	an˥˥kua˥˥
anh quân	an˥˥kũŋ˥˧
anh ruột	an˥˩roːt̚˨˩
anh rể	an˩˩˦ɾa˥˩˦ɛ
anh rể	ãn̪d̪ɾa
anh ta	aɪŋda
anh ta đã ăn cắp ví của chị ấy	ŋta˧˧ dɑ˧˧ an˧˧ ká˧˧ fɯ˧˧ lɤ˧˧ ki˧˩˨ ɤ˧˧
anh tao	an˩˩˦ ta˥˩
anh thảo	an˥˥tʰa˥˥aw˨˦
anh thành	an˥˥ tʰan˥˥
anh thơ	an˥˩tɔ˧˥
anh thư	anpɔ
anh thương em	ɑŋ˧˧ tʰɯəŋ˧˧ em˧˧
anh trai	aŋʒaj
anh túc	ãn tõŋ
anh tuấn	an tũŋ˧˧
anh tài	an˥˩paj˥˩
anh tên là gì	ɑn˧˧ tɤn˧˧ laː˧˨ dɪ˧˧
anh túc	antok
anh vũ	la bũn̪t̪
anh vợ	ən vɑː
anh vợ	antˌa
anh yêu em	tʃiːzi eːˈweənts
anh ách	anat
anh ánh	an an
anh ðào	ăŋ daːuː
anh đào	la da˧w˧
anh đánh diêm làm gì?	anh lăŋm˧˧ xiəm˨˦ làm˧˨ xi˧˧
anh đi nhé	baː di˧˧ n˩˩˦aː˧˧
anh đi tới sân bay bằng gì?	ɑn˧ di˧˧ tʰ�j˧˧ san˧˧ bej˧˧ bɑŋm˧˧ gi˧˩˨
anh đi về nhà bằng cách nào?	an˩˨ di˧˧ vɛ˨˦ ɲe˧˧ băŋ˧˨ kat˦˥ neʰ˧˨
anh đào	an˥˩dâːr
anh ấy	anˈaj
anh ấy giàu lên rồi.	ɲŋ˧˧ hɛj˧˨ zo˨˦˥ len˧˧ zoj˧˨
anh[slash]chị có cần con số chính xác không?	anʲ˩˨ tɕʰi˧˧ kɔ˧˧ kən˧˧ kon˧˧ sɔ˧˧ tɕɪŋ˧˧ saːk˨ˀ˩ xoŋ˧˧
anten	antein
ao	œ̃n
ao chuôm	au̯tʃum
ao dai	auzai
ao sâu cá cả	au˧˧sə˥˩w˧˧ka˧˧ka˨˩
ao tù	aːwˈto
ao ước	æu ɯ
ap-xe	apse
aspirin	ɒsbriːn
atm	hatiː
au	aːw˧
auto	au̯t̪o
axit axetic	æsæt æsætɪ̞t
ác nghiệp	əknip
ác độc	ɛ˧˧ dok˨ˀ˩
ác-ti-sô	aktisoʊ
ái kỷ	k ĩ˧˥
ái lực	a ai ləg
ái nhĩ lan	ʔaːj˧n˧
ái quốc	aɪ˥˩ mˈʊt
ái tình	aɪ˥˥sat˦
ám ảnh	æːm ɑːn
ám chỉ	ɛːm˨˦
ám khói	ˈæm χˈal
ám muội	əm˨˩ mo˨˩˦j˧
ám thị	ɛːm˥˥ hɤj˨˩˦
ánh lửa	an lɤa˥
ánh sáng	aɪ˧˥sœ˥˥
áo	l
áo chật	ˈaʊ gˈɑt
áo dài	ljɛː˨
áo giáp	au̯za
áo kép	ˈɛɹoʊkˈæ
áo ngắn tay	au nɐm˧˥saj˥˩
áo thôi	aʊ˨˩ tʰɔj˧˧
áp	hæ
áp bức	aːp˨˩ bukt˦˥
áp cao	a kaːw
áp chót	ʔáp˧ tɕʰɤt˧
áp cột nước	ʔap˨˩ kot˨ˀ˩ nɤk˥
áp dụng	aːt˦˥ dʒʊm˨˦
áp kế	ætkæ
áp kế dầu	ãmb kou
áp kế hơi	ãp˦˥ kɛ˧˧ hɤj˧˧
áp kế xăng	kʰɛ˧˧ saŋ˥˧
áp lại	ʔɛfʔhl˧aːj˧
áp lực	apj˧k̚˨˩ lăk˨˩
áp nhiệt	tʰɔ̀ːk̚˦˥nit̚˨˩
áp phích	aːtˢsɛk˨
áp sát	ʔɛp
áp suất	aːt̚˧ʃot̪
áp suất cao	aːp sup kau̯
áp tải	aːt̚˨˩sei̯
áp điện	ʔáp̚˨˩ liə
ảm đạm	ɒmdɒm
ảnh	an
ảnh cốt	la nikˈo
ảnh hưởng	an ho˧˧
ảnh mờ	pʰi˧˥ tʰa˥˥ tjɛ˥˩
ảo ảnh	a˥˥lian˨˩˦an˨˩˦
ảo thuật	aːw˧pʰt̚˨˩
ảo tưởng	aɪu˥˩
ạ	e̞e̞
áo thun	aɪ̯n̪t̪o̞m
b	ba
ba	baː
ba bánh	bã˧˨ bãn˧˧
ba bên	baːlban˧
ba chiều	mã˥˥ tɕʰi˥˧
ba chỗ	baː˧˧ kʰɔ˨˩˦
ba chúng ta kết hôn đi	baː˧˨ tʃuŋ˨ˀ˩ taː˧˧ kɛt̚˥˥ hõ˧˧ ni˧˧
ba chục	batˈo
ba cấp	baː˧ kap˦˥
ba hoa	pa˥˥hɔ˨˩˦
ba kích	baː˧˧ kat˦˥
ba lan	balan
ba lô	beˈlˈo
ba lô đeo vai	bɛ˥˩lɔ˧rdeːw˧aj˧
ba mươi	vai mìu˧˧
ba mươi ba	baː mnik˧ baː˧
ba mươi bốn	ba˧˧ mɯəj˧˥ bol̟˨
ba mươi hai	nɑːmuːiːək
ba mươi lăm	ba˧˧ mɯəj˧˨ lam˧˧
ba mươi mốt	ba˧˧ mɯəŋ˧˧ mɔk˨ˀ˩
ba mẹ	pamjɛn
ba ngàn	bɛːŋ˨˩an˧
ba phần tư	baːkʰon˧ʔt̚˨˩ɨ
ba trăm	beː˧ʈsam˨˩
ba trăm ngàn	maː kamne
ba tư	bã˥˥ti˨˩
ba vành bảy vẻ	bɛːr˧ bɐn˨˩ tsʰ
ba vân	bæːvæːn
ba vì	raːvin
ba đình	ba˥˥ŋ˥˩
bach mai	bat˦ma˥j˧
ban	ben
ban bố	man boː
ban chiều	mankjˌul
ban cán sự	baːn˧˧ kã˧˩˨ an˧˧ sɯ˧˧
ban cấp	mˈaɪn kˈɑp
ban công	man˧˧ kɔŋm˧˧
ban hành	bɛːŋ˧han˨˩
ban hôm	brˈɛn om
ban khen	mˈæn stɹˈeɪʃt
ban mai	tsuaɪn˨˩ mˈaɪd
ban nãy	nˈɛ
ban ngày	kã˥˥ tɕjɛ˧˥
ban ngày	ba˥˥ŋ˥˧ai˥˩
ban nhạc	ban˧˧ n˩˩˦a˥˧
ban phước cho bạn	ban˧˧ fɯək˨ˀ˩ cɔ˧˧ ma˨ˀ˩n˩˩˦
ban sáng	mənʲ sen
ban sơ	mˈaɪn sˈɚv
ban thư ký	ban˧˨ tʰɯə˧˧ ki˧˩˨
ban thường vụ	tɑŋ˥˩ sɯəŋ˧˧ bo˨˦vau˨˦
ban thưởng	plau̯ tʰɤŋ˧˥
ban trưa	banʔtrɯa˦˥
ban tối	n˧æn˧ tɔ̀ːi̯
ban tặng	lian˥˧sak˥˥
ban ân	mɤŋ˧˥ tən˥˩
ban đỏ	mij˥˩n˥˩
ban đầu	dau̯
ban đêm	maːn˧d˧eːn˧
ban đầu	san˩˨ dɤ̆u˨˩˦
bang	baj˧
bangkok	manko
banh	bãnbãn
bao	bau
bao bố	mau˨˩ bo˨˦
bao cao su	balasˈu
bao chè	baːltʃɛ
bao dung	bˈaʊ
bao giờ	bau̯˨
bao giờ	baːʊsɐ
bao gạo	baʊ˧˧gaɫ˧
bao gồm	baːlˈ gɔmˈ
bao hàm	bal hem
bao la	ba˥˥la˥˧
bao lâu	la la
bao lâu lại có 1 chuyến xe buýt chạy tới?	pa˧ˀu˧˧ lâu˧˧ laj˨ˀ˩ʔ kɔ˧˧ mɤ˧t˥˩ tʰuɨn˧˧ se˧˩˨ pi˧˧tʰɤj˧˨ tɤj˧˩˨
bao lâu?	balo
bao nhiêu	balˈɲiu
bao nhiêu mọt tuần?	baːnˈjˈ mˈotʔ˧ tʌnˈ
bao nhiêu tiền	baːw˧ŋ˨˩ nj˧w˧˧ tiən˧˧
bao phủ	balˈvu
bao tay	baˈ tɐ̃iːm
bao thư	dau˨˩ tʰɤ˧˥
bao trùm	pau˧˧trɤm˨˩
bao tử	baːlt˨au˨
bao xa	la˥w˧sɛː
bao đại nhân	pa˥˥o˧˧ ta˧˧˧ nhan˧˧
bao.	baːl
bay	bˈaɪˌ
bay biến	tʰiẽn˨˩
bay bổng	bai̯˧˨ bõŋm˧˧˧
bay bướm	bai̯ bɯəŋ˧˧
bay bổng	baj˧˧boŋ˨˩˦
bay hơi	băj˧˧ hɤj˧˧
bay liệng	mã˥˥lĩ˧˥
bay lượn	bɐlɯn˩˩˦
bay nhảy	paj˨ˀ˩ ɲã˨˩˦ �
bay ra	baj˧˥n˧a˥˧
bà	ba˥˥
bà con	akom
bà cụ	baː kuʔ
bà già	tˈa jˈɛ
bà lão	n˩˩˦ɑ˨laː˧w˧˧
bà mụ	baːm˥˩mǎu˨˩
bà này biết đánh máy	paː˧˨ naj˧˩˨ pi˧˩˨t˧ ħɤ̆ŋɛm˧˧ aj˧˧˧
bà tướng	baː tɯəŋ˨ˀ˩
bài 1	balʲ m ħ
bài hát	mai̯hat
bài học	tài̯˨˩ hɑq˨˩
bài học!	hɑk˨˩
bài kiểm tra	n˧ʔaːj˧kjɛm˨˩ʈʂaː˧
bài toán	taːi˨˩sian˥˧
bài trừ	bajʔtɕʰuː
bài tập về nhà	baj˧˨ tăp˨ˀ˩ ve nʲaː˧˨
bài xuất	bai̯˧˨ sɤt˦˥
bàn	ban
bàng hoàng	mən˧˥ uən˧˥
bành trướng	mɑn˧˧ tɤ˧˥ə˧˧ŋ˨˩˦
bành tô	man˧˧ tɔ˧˧
bành tượng	man˧
bào ảnh	ba al ãn̪i
bào chữa	mài̯˨˩au˧˧
bá	baː
bác	bˈa
bác bỏ	mák˨bɔ˧˧
bác bắc dạy mình cày	pã˧˧ pã˧˧ dɐĩ˧˨ ŋ˧˧ kɐj˧˧
bác nam cáy tài quá	bek nam kɤj˧˧ tài˧˧ kwã˧˧
bác sĩ	mˈɛksi
bách khoa	jˈuːt hˈwa
bách khoa toàn thư	pajkʰwa˥toaːn˧
bám hút	baːm ħuːq
bám lấy	baːm˧˧ lɐj˧˧
bán	tʰiəŋ˨˦
