-ին	ɪn
աղմկել	ʁmqɛl
աղմկոտ	ʁɯ̞mkɔt
աղմուկ	ɑːmmuːq
աղոթել	ɑːvgoːtɛl
աղոթում էին	ɑɣɑtumʰiːn
աղոթք	ɑˈgɑtq
աղուտ	aɣut
աղջիկ	ɑrˈtʃek
աղջիկներ	aqtʃik
աղվանք	ɑqvɑŋ
աղվես	ˈɑːvˈɛ
աղքատանալ	ɑχχɑtɑnɑːl
աճացնել	atʃatsnɛl
աճել	atʃeˈl
աճեցնի	aːrtʃɛtsniː
աճը	atʃa
աճուկ	ɑːtsʃuːk
ամալյա շառոյան	amalʲ aʂaɾojɛn
աման	ɐmɐnt
ամաչկոտ	ɑmɑtʃkɔt
ամառ	ɑmɑɾ
ամբողջ	ɑnboʁtʃ
ամբողջությամբ	ɒmbɒχtʃiˈtɒm
ամբուլատոր կլինիկա	ambulato tʃe klinika
ամեհի	ɑːmɛʔiː
ամեն	ˈɑmən
ամեն ինչի	ɑːmiː niːn˧tʃiːd
ամեն մեկին	amæn meːˈkɪn
ամեն տեսակի	ɑmɛndˈiʁsɛk
ամենաազնիվ	ɑˈmɛnɑˈʔɑzniv
ամենագեղեցիկ	nʲmiːnəgʲiːʁeʲtsʲi
ամենագնաց	ˈɑɹmənˈɑɹkgənˈɑt
ամենաընտիր	ɑmenɑɑntiɾ
ամենաթանկարժեք	ɑmɛnɑthæŋkɑrʒɛk
ամենամյա	ɑmɯnpæ̝ː
ամենանուրբ	amajnanoɾb
ամենօրյա արտահայտություններ	ɑmɛnóɾíɑ ɑrtɑhɑjətʰ otsʰunnéɾ
ամիս	omis
ամիսը	amisa
ամուսին	amuzˈin
ամուսինը	ɑmɯsjɛnæm
ամուսիններ	amusine
ամուսնական	ɑmɯsmɑkan
ամուսնանալ	aːmustanl
ամուսնանալու	amusnanaːlɔ
ամուսնացած	ɑmɯsɑtsɑts
ամուսնացել է	amuznɑtsʰ ɛli
ամուսնացնել	ˈɑməsnˈɑtsnˈɛl
ամուսնությանը	amuznutʃijɑnɛm
ամուր է	ɑmule
ամպ	pomp
ամպար	nˈpːoɾ
ամպրոպ	tompɾup
ամսագիր	əmsʌbˈili
ամսագրեր	amsaˈgɾer
ամսաթիվ	əmsatʰi
ամրան	amɾaːn
ամփոփագիր	ænpɑpɑgɪɾ
այբուբեն	æjˈtɑsbeɪn
այգեգործություն	aːjgɛkɔrtʃitʃen
այգեհովիտ	agiahaʁit
այգեպան	æˈɟepɑn
այգին	ˈaɪiː
այդ	aɪd
այդ ամենը	æjt æmænæm
այդպես	ˈætvˈɛst
այդպես է	ajtpeˈs ɛ
այդպիսի	aːtpəʃe
այդպիսիներից	ai̯tɛsʲiːnɛɾiːtsʲ
այժմ	aɪ˥˥sən˨˩˦
այլ	aj
այլ խանութներ այս ապրանքն առաջարկու՞մ են	ɑjl χɑnúkŋejɾ ɑj sɑpɾɑn k ɑrɑtʃɑɾkúm en
այլանդակված	ajnɛndɑːkˈɔɾt
այլասեռված	ɑjlɑ́servɑts
այն ամենը	ajn amemn
այն է	ajne
այն էր	qɒjnˈeɾ
այն օրը	un ˈɔɾn
այնուհետև	ajnʲaɦeːtev
այնպես որ	a jen pɛs ʃoɾ
այնպիսիները	aɲtɛʃitʃnɛra
այնտեղ	jˈɪntˈɛ
այնքան	kɒnˈkɒnˈ
այշվարիա ռայ	au̯sko˥˩lɑːn˧
այո	ajˈo
այս ապրանքը փչացած է	kʰajsaħ brɑnk ɔp haχaːtsɑj
այս ճաշատեսակը գլյուտեն պարունակու՞մ է	ajsʰ tʃʰ ɑʃɑt ɛ saːkə gljut ɛm ɑrnɑkum ɛ
այս ճաշատեսակը չափազանց աղի է	ɑjs tʃʰɑʃɑtesɑːkʰə tʃʰɑpɑzɑ́ntsʰ ɑχʰí e
այս մետրոյի տոմսը քանի ուղևորության համար է	ɑjs méɾojij tom səkʰɑ́nij uχe voɾutsʰjɑ́ŋ hɑmɑ́ɾ e
այս սեղանն անվճա՞ր է	ajsɾanˈn va ɟɑɾe
այս տեղը զբաղվա՞ծ է	usʲtsʲerʲa zbarʁvaʲtsɨ
այսպես	ajspæs
այսպիսի	tɛsipˈe
այսպիսով	aiːspisɔf
այստեղ	ˈaɪstˈɛp
այստեղ այնտեղ	ɑjstɛɾ ɑjntɑˈr
այստեղից երկու փողոց հեռու	ɑjsteʁits jeɾkʰú poʁótsʰ héɾú
այսօր	ajson
այվազյան	ajvazjæːn
այտ	aɪt
այտին	ɒjtiːm
այր	ɑjɪr
այրել	əjrɛl
այրման	əɪrmɑn
այրվել	ai̯rβ̞æl
այց	aɪts
այցելել	ajʧe̞lʔæl
այցնել	ajtsɪnɪl
անակնկալի	anaknkaːli
անահիտ	ʔanahɪl
անապատ	anapat
անասնաբույժ	anasnabɔʃʂ
անասնապահություն	anasnapoɣutʂa
անբարենպաստ	ɑmbaːrepɑs
անգամ	tɑ̃tˈhɔ̃
անգլերեն	ɒnglɒden
անդադար	ɑntɑˈr
անդորր ‎	ampdoɾ
անդորրա	andoɾo
անդորրություն	aːndaɾutin
անդուրություն	anduɾutun
անդրադառնալ	ˈanˈdˈɾadɑrnˈal
անդրանիկ	anˈdɾanˈɪk
անդրավարտիկ	ãmbɾeβ̞azt̪i
անդրեաս	andɾˈeas
անդրկովկաս	aːndərqafqaz
անել	ɑ̃ɛl
անելու	ɑːmluː
անեծք	onnes
անեն	ɒnˈlɒn
անենք	ɒˈnɒdi
աներկյուղ	anɛɾkjʊq
անթաղ	ɑnˈtɑq
անժելա	ɑndʒɛla
անի	ani
անի լորակ	ɒːnˈiː lˈɑɺk
անի յորենց	ɑːn joːˈɾent
անիվ	ɑnˈv
անխելք	anχælk
անխիղճ	ɑːnfɛz
անխտիր	aːnxatʃ
անկախ	angˈax
անկասկած	antastats
անկեղծ	ann
անկյունից այն կողմ	an gˈuːnɪts aɪn gˈɔxm
անկողնում	tɑːmˈkoʁˈnumeɾo
անկում	akum
անկուշտ	ankuʃt
անհաղթ	ɑːnɑːhɑːχt
անհամ	ɔːnhɑm
անհամարձակ	ɑnhɑmɑrtʰɑq
անհանգստանալ	ɑnhɑngɯ̞sdɑnɑːl
անհանգստացել	ɑnhɑngstalsʰel
անհանգստություն	anhæŋkøstutʃøɾ
անհավատարիմ	əmɦɑvɑt̪aːɾiː
անհատականություն	ɑnχɑtsʰəkɑmɪsʰun
անհատապես	ɑnhətˈtes
անհարթ	ɑnhɑɾtʰ
անհարմար	ɑnhɑrmɑr
անհետանալ	ɑ́nhhetɑnɑl
անհնազանդ	ɑːnhənɑːzzænæm
անհնար	ˈɑnhˈæmˌɑːd
անհնար էր	anteneɾes
անհույս	ʁɑ̃ɑ̃ɔ̃
անհրաժեշտ	ænɾaːʒɪzt
անհրաժեշտ ե	ɾaʒɾeʃte
անհրաժեշտ են	andrˈeʒˈistˈinˈ
անհրաժեշտություն	anɣraʒaʃtutsʲnʲa
անձ	ɑnɪzi
անձամբ	ɑnˈzæmp
անձնագիր անհրաժե՞շտ է	ɑ́ŋznɑkí jɾ ɑŋvɑʒóʃtʰ e
անձնակազմ	waːnsmɑɟːaːzɯ
անձնասեր	ɑŋtsinəsɛd
անձնավորություն է	ɑn znavorət sjuːnɨ
անձրեւ	aːndɾi
անձրև	anːtsrɛv
անձրևել	ɒnzrbl
անձրևոտ	ɔ̃nˈdˈɛɹˈvɔːtˈ
անձև	ɒnseɾ
անմաքրություն	tʰanːmɑːtˈɾˈtˈiːõːn
աննախադեպ	ɑnːɑqʰædæb
աննման	ænlɪmɑn
անշարժություն	anʃaːʒytse
անշնորհակալ	anʃnoɾat̪al
անշուշտ	ansʊst
անոթ	anot
անուղղակի	ɑ̃uʁakˈi
անուղղելի	ɑnˈuxe̞li
անում	œ̃nnˈɔm
անում են	ɑnɔ men
անուն	ɑːnɔm
անունդ	annet
անուշ	anʊʒ
անուշաբույր	anʃabɔjid
անուշապուր	ɑnʊʃʃɑːpuːɾ
անուշեղեն	ɑːnuːʃeɢæn
անչափ շնորհակալություն	ɑn tʃʰɑ́psʰ nõɾɑkɑlutsʰín
անչափահասի	ɑntʃepəhɑsi
անպիտան	ampit̪an̪
անջար	ɒndʒɒɾ
անսալ	nsɑːl
անսահման	ɑnsɑhmɑn
անսահմանություն	ɑnsɑhmɑnutʃʰyn
անսխալ	ansˈɑxˈl
անսկզբունք	aːnɪ̞skɪ̞spʊ̞nk
անվանել	andɔnɛl
անվանումով	ɑnwɑnumof
անվճար	ɒnvˈtʃar
անվստահ	angɛstav
անվտանգության	ɑnvətɑːnɣutsʰjɑn
անվտանգության աշխատակից	ɑn bətɑ́ŋkʰuuʰtʰjɑn ɑʃɢɑdɑɾvijtsʰ
անտառ	qɑntɑr
անտառային	anˈtɑʁaɪŋ
անտարբեր է	antara beɾe
անտեսանելի	apəzanˈɛni
անտիցիկլոն	antitsiˈklon
անտոն թոթոնջյան	anton tʃi tondʒia
անց	aɱs
անցանց	antˈɛnt
անցկացվող	ɑːnsgˈɑːtsvˈɑːx
անցնել	panʃnɛ
անցք	aɛnsk
աշակերտ	ʔaːsʔaːrkʰeːsʔ
աշխատակազմում	ɑʃχɑtɑklɑzɯn
աշխատակարգ	aʃχɑtɑkɑˈrk
աշխատակից	æʃχɑtˈɑkˈit
աշխատակիցը	ǎʃxatatʲiɨtsən
աշխատակիցներ	ɑʂχɑtɑkʲitʃnɑɾ
աշխատանք	æʃχɑttæŋk
աշխատանքային	aʃχɑtɑnkʰeːn
աշխատանքից	ɑʂχɑtɑnkʲits
աշխատավարձ	ɑʃχɑtɑvɑɾtʰsɯ
աշխատավորական	ɑʂχɑtɑbɑɾɑɑˈkɑn
աշխատել	bɑsqɑtˈe
աշխարհ	ɑʃχɑːrɯm
աշխարհամաս	æʃχɑrɑmɑs
աշխարհամարտի	æʃχɑrɑmɑrtj
աշխարհայացք	ɑʃχɑlhɑjɑtɑk
աշհատանք	ʃχʊ̞tæŋk
աշուն	aʃum
աշտարակ	aʃtaːraːk
աշտարակը	astɑrakə
աչք	ɑːt
աչք գցել	atʃkɛtsɛ
աչքեր	atʃkɛr
աչքերը	atʃkʲeɾeɴ
աչքի ընկնել	au̯sʲtʲiːzɪnmɪl
ապա	apa
ապականված էին	apa kampatsi
ապահով	apahʊ
ապաշխարել	apasxarel
ապաստան	apastɑ
ապավեն	apavn
ապարանք	aparon
ապացույց	apɑtʃəl
ապացուցել	apˈatˈitsˈɛl
ապաքինվել	apɑkʰinwæl
ապերջանիկ	aːbeɾdʒanik
ապուշ	apos
ապուր	apuɾ
ապստամբել	abstɑmbəl
ապրանք	aprɑnk
ապրել	apɾel
ապրելով	aprelof
ապրելու	aprɛlʊ
ապրի	apɾi
ապրիլ	apɾel
ապրող	apraː
ապրում	aprɔm
ապրում են	aprɔ men
ապրում է	a prume
աջ	tʃiːzi
աջակցել	ɑdʒɑktsʰél
աջակցության	atʃaktritsijam
առանձին	ärɑmsæ
առանց	ärɑns
առաջ	ɑrɑtʃ
առաջ գալ	araːtʃka
առաջ շարժել	qɑrɑqzarsʃa
առաջ քաշել	bɑɾɑtʃkɑʃɛl
առաջադրվել	əˈrɑtʃəərivel
առաջանալ	ɑrɑtʃɑnɑl
առաջատարություն	aratsʃɐtɑrʊtsɯm
առաջարկել	baratʃaɾɟæt
առաջարկները	ɑrɑtʃʰɑɾkʰnejɾa
առաջարկում ենք	ɑrɑtʃʰɛɾkʰum enk
առաջացում	arotʃotsʲim
առաջընթաց	ɑrɑtʃɯntɑts
առաջին	kɑːrɑːˈkiː
առաջին հարկում	ɑrɑtʃʰín hɑɾkun
առաջին անգամ	artʃiːnɑnɑkɑn
առաջից	ʔɑrɑːtʃi
առասպել	ɾɒspel
առաստաղ	ɑɾɑstɑ
առավել	ʔɑrˈʁæl
առավոտ	aravot
առարկա	ɑrˈʃkɑ
առարկայ	aroʃˈka
առարկել	qɑrɑɾtʃɪl
առարկություն	qɑɾɑɾkʊtʃ
առաքինություն	ɑrɑtʃjẽnʲekɛn
առաքիչ	ɑːɾɑːkiʧ
առեւտրատնտեսական	rʲftɯ̞rɑtʊ̞ntɑsʊ̞kɑn
առյուծ	ˈɑɹjˈu
առնանդամ	ɒɾnɒnthæm
առնել	ˈoɾnen
առնելով	arnɛjlɔf
առնենք	arnɛk
առնետ	ɑrmɪ̞ð
առնում	pornum
առնում էին	arnɔmɛjim
առողջապահական	ɑrɑqtʃɑpɑhɑkɑn
առողջապահության	ɐrɔxtʃɐpɐɦaːtʃjɐn
առողջություն	ɑroχtʃɑtʃyn
առու	ɑru
առումով	ɑːrɯˈmʊv
առջև	artʃef
առվակ	ʔɑrɢɑn
առցանց	ɑrtsʰɑntsʰ
ասաց	kðˈɛsts
ասել	ˈɔfɹ
ասելով	aːsˌtˈeːlˌoːv
ասեղ	tɑzɛr
ասեղնագործել	ɑsɑɣnɑgʊɾtsʰäːt
ասեղնագործություն	ɑsɑgnɑgɑɾtsɑtʃʰon
ասիա	a˥˥kia˨˩˦
ասիան	ɑːsijɑn
ասողիկ	aːlsɔːmɛn˧˥
ասորերեն	ɒnsɒɾeˈlæn
ասում են	ɑːsˈuːmend
ասուպ	asup
ասպետ	a
ասված է	asvatsɛ
աստիճան	astitʃan
աստիճաններով ներքև	ɑːst iːtʃɑːnːəɾob neɾˈkʰef
աստիճաններով վերև	aːstidʒanere oːveːrev
աստծու	astso
աստծու թագավորությունը	ɑstso tɑkɑvɾutsʲə
աստծուն	astzo
աստղ	astɐx
աստղիկ	ˈastʁˈk
աստուած	aːstvats
աստվածաշնչի	astvatʲasɨtʃʲi
աստվածաշնչում	aʃlɑtsɑɢʃɯ̞ntʃum
աստվածասեր	astbatsasʲæːr
ասֆալտ	tǎʃtɑɫ
ավազ	avɑs
ավազան	ɑvɑzɑn
ավանդազրույց	abandozruits
ավարտական	abǎtǎtqoŋ
ավարտվի	aːbɾddi
ավել	ɑgɑl
ավելացնել	ɑːbəlɑːtne̞
ավելել	avˈelˈlˈɛl
ավելի	oveli
ավելի հեշտ է ասել քան անել	ovéljéʃté ɑsɯl kɑnɑn eɾ
ավելի հեռու մի գնա	ɑvɛliː heːɾuː miː ɛnɑ
ավելի մեծ չափսն ունե՞ք	avɛli mɛt tʃɑps nunɛk
ավելի բարձր	ɑɦʰɔliːbɑɾtsʰɛɾ
ավելի երկար	qɑwɯlʲiːrtɯn
ավելի հեռու	aːlljːˈxɑːɾˈ
ավելին	aːvɨlːɨŋ
ավստրալիա	afstrɑliˈjɑ
ավստրալիայում	ɑfstrɑlijæjʊ̞m
ավտո	ɑftɔ
ավտոբուս	ɑfˈtɑbus
ավտոբուսի կանգառ	ɑfˈtɑbusɯ kɑŋˈgɑr
ավտոկայանատեղ	ɑwtɑkɑjjɑnɑdɯ̞χ
ավտոմեքենա	aːftumekene
ավտոմեքենաներ	ɑːftuːmɛkɾnɑːmeɾ
ավտոտնակ	aftɔtɑnɑk
ատաղձագործ	ɑtɑˈɣtsɑkɔrtsʰ
ատամ	ɑtɑm
ատամնապսակ	aːtamnipɯzˈsɑt
ատել	atːel
ատոմ էգոյան	ato me gojan
ատոմակայան	aːtoməkaːjɑn
ատոմային	ataumajn
արաբերեն	ɑɾɑbeɾent
արաբկիր	aɾatki
արագ	qɑrɑq
արագ սննդի	tɑratsɯnɯndi
արագած	ɑɾɑgɑts
արագաշարժ	aladɑʃaʃ
արագություն	ɑrɑgʊ̞tʃʊ̞n
արազ օզբիլիս	ɑɾɑz uz biːleʃ
արահետ	ɑːrɑːhæt
արամ	ɑːrɑːm
արամ խաչատրյան	ɑlɑm χɑtɕʰɑtrʲɑn
արամազդ	ɑrɑmɑːzˈdi
արամուսի	aɾɐmʊsˈi
արատ	ʔɑrɑp
արարատ	ɑɾɑnɑt
արարատի նման ճերմակ գագաթ չկա	dʒɾalɑɾɑtínum n� aɾ mɑɣgɑgɑ tʃʰ kɑ
արարել	paraˈɾel
արարեց	əɾaɾes
արարիչն է	aranitʃna
արարում	ˈɑɾɑzˌum
արարչագործական	ɑɾɑɾdʒɑgoɾtsɑkɑ́n
արարչության լուսադրամա	araɾtʃɛtsʲaːndu sɑ dramɑ
արարքներ	aːrtneːr
արարքների	ərtˈmænɪd
արաքս	aɾa
արբանյակ	ɒɾbɒniˈɒng
արբանյակներից	ʔɑɹboʔniakmɛrɹits
արբենալ	ɔːɹbeːn˧ɑːl
արգելել	aɾkelen
արգելք	əɾˈtʃiːd
արգիշտի	arkiʃti
արդահան	ælˈdɒːhɑl
արդարադատության	ɑɾdɑɾədɑtutsʰjum
արդարությամբ	ɑʃtɑɾútsʰjɑmb
արդիւնք	ɑrtsiʊŋ
արդյո՞ք	ɑrtʃɑók
արդյունք	farʃuŋ
արդյունքում	aɾtʃiŋkuŋ
արդյուքներ	ɑrtsʏnkʏnær
արդուկել	paɾt̪d̪kel
արեցիք	ɑrɑtsʰik
արեւ	ɑrɛv
արեւագալ	arivagal
արեւային	waːr
արեւը	alˈɾeva
արեւից սեվացած	ɒːɾviːts̺ævɑːtsɑːd
արեւմտյան	æˈrʲvmˈətjˈɑn
արեւմտյան բենգալիա	ɑrɑmɑtʃan pæŋgɑlʲɑ
արթնանալ	artənɑnɑːl
արթնացե՛ք	bɑsnatsʰet
արթնացել էր	ɑɾtnɑtsʰél eɾ
արթուր դավթյան	ɑɾtʊɾ dɑftjɑn
արժանահավատ	ɑrʒɑnɑhɑbɑr
արժանանալ	æʒɑnɑnɑn
արժանապատիվ	ɑrʒɑnɑpɑtʊɪ̞w
արժանապատվություն	arʒonapaaːlˈpɔtʃɪn
արժանացնել	aɾʒɒnatsʰinɒli
արժանի	kʰʊŋ˨˩˦ʰtʰtʰɤ˥˩m̩˨˩˦ʰtpʰuːxɔː˧ʐan˧ʰtpʰuːkʰɤ˥˩ʐən˧
արժանի համարել	ɑɾʒɑniːhɑmɑːrɑːl
արժանիք	aʒmið
արժե	ɑrʐɑ
արժեմ	ɑrʒæm
արի	ˈaɾiː
արիություն	ʒˈaɪtəlmˈɛnˈɛˈʃtʃtˈʰʰɛstʃtʃtʃtʰɛstʰɛst˥ɕtʰɛst˥ʁɑsiɔ˥˩tjɛ˥˩
արիւն	adʒːin
արխիվ	ʈʂak
արծաթագույն	kaːrtsˤˈʌvhˈoːgvi
արծաթյա	arʈzɑtʃɑ
արծիվ	sĩ˥˩
արծնապատ	ɒɾtənɒpɒˈt
արծվիկ	ɑɾtsvík
արծվիկ հարությունյան	ɑɾtʃvi kɑrɾutʃʰiŋja
արկ	ˈɑl
արկադի	aʒgɒdˈe
արկղ	ɢɑʃtɯχ
արկվել	ɑɾɯvɛɾ
արհամարհում	əɾˈhɑːməɾuːn
արհեստ	ɑrˈsæst
արհեստավոր	ɑrhɑjsdɑvɑr
արհեստավորական	qɑrhastæbärɑqɑn
արձագանքել	ɑrðəkɑnkel
արձագանքել է	ɑɾdzɑkɑ́ŋ kʰél e
արձակել	atsɑkɛl
արձանագրել են	ɑɾdzɑnɑgɾél en
արճճագույն	artʃɛtʃaɣuin
արմավ	ɑɾmɑ
արմավիր	ɑrmɑzidʒ
արմավիրի	ɑɾmɑːveeːˈri
արմատ	aɾmɑt
արմատավորված	ɑrmɑtɑvoɾgɑts
արմեն	ˈɑˈɾmən
արմենիա	ɑrmæjnʲiɑhɑjɑzstan
արմյանսկ	həːikːakˌɑn
արմունկ	armʊŋ
արյուն	ˈɑlɚˈæn
արյունահոսել	ɑːɾunaˈhosəl
արյունատար	aɾianatara
արուսյակ	ɑrusjɑk
արջ	ˈɑɹt
արսեն մեհրաբյան	ɑrsén mẽhrabí ɑn
արտադրված	artɑterʋat
արտադրվել	bazabɨrðæjmʲistʰɕʁavistʁɛŋmɑnbazabərɢælmɛrˈzɑlˈʁɑzɑt
արտակարգ իրավիճակ	aɾt̪akal̪k iɾa β̞it̪s̻ak
արտահագուստ	ɑʃtɑvɑkust
արտահայտել	qɑtɑhæjtqɛldi
արտահայտումը	ɑrtɑhäjtʊ̞mʊ̞
արտահանել	ɑrtɑhɑnél
արտահանություն	ɑrtɑhɑnetsʰsəŋ
արտահանում	ɑrtæhɑnɑm
արտաշնչում	kʰaːrdɑʃntʃuŋ
արտասահման	nˈoʊθˈoʊmˈsˈsɪŋgəlˌeɪnˈændmˈɛtʰɔstˈʌθɚˈɛngˈɔfˈ
արտասանել	aɾtasaˈneˈl
արտասվել	ɾɑːrtˈoːspˈɛl
արտավազդ փելեշյան	ɑrtɑvɑts pʰél e ʃiŋ
արտեմ	eɾtem
արտիստ	artist
արտիստուհին	aʊrtɪstʊhiŋ
արտո թունջբոյաջյան	aːrtotun pojajdʒɛ
արտո թունջբոյաջյանը նյու ջերսիից վերադարձել է երեւան:	ɑɾt otumkʰ mojɑdʒɑnɑ njutʃʰéɾsijutsʰ véɾdɑɾtsʰél e éɾevɑn
արցախ	bˈaɪtəsəx
արցախը	əɾtaxə
արցախի	ɑtsɑxʰiː
արցունք	ɑrtsʊŋk
արփի	ɢɒlpi
արփինե	alfine
արքայական	ɑrχʰɑjɑkɑn
արև	ɾef
արևաճաճանչաերկրափայլատակություն	ɑrɛvatʃaːtʃaːnsɛhielɑbɾdʒiː
արևամուտ	nˈoʊnˈoʊnˈoʊˈeɪʁaˈsɪŋgəlˈɛlˈɛnɔˈɛ
արևայրուք	ɑnɛvɑi̯duːk
արևելյան	arabelɑmɪ
արևելք	aːrɑːgəl
արևմուտք	ɑɾɛvɑmut
արևմուտքում	əɾekmutkom
արևոտ	aʁivˈa
ափ	ˈɒp
աքաղաղ	faqava
աքաղաղներ	ˈɑqhæqɑqnæɾ
աքլոր	aklˈeɾ
աֆրիկա	aːfriːkɑ
բ	ben
բազմաբերդ	pɑzmɑbeʃt
բազմագույն	pˈasmˌɐgwˈˌiŋ
բազմահարկ	bazmɑhɦərq
բազմանալ	ɒzmɒnˈɒl
բազմապատկվում	prazmapatsum
բազմապատկվում ե	azma pa adkvumɪ
բազմապատկվում են	bazma ba atkfuʁən
բազմացեք	bazmatsɛ
բազմություն	boːzimutjɔn
բազուկ	bazok
բաժակ	pʊ̞ʒʊ̞k
բաժան	baʒam
բաժանել	bajaːneɾ
բաժանելու	bɑzɑnɛlɔ
բաժանեն	baʒa˥˩nɛm
բաժանեց	baʒanlɛts
բաժանմունք	bɑʒɑnbɔŋ
