0	lĩŋ˨˩ kʰoŋ˥˥
tsai	tsʰuaʔ˨
tshián-thoa-á	sian˥˧tʰa˥˧
tshāi	tsʰa˥˥
tsiang-tsiu	siu˥˧
tsia̍p	tjam
tàng-téng	taŋ˨˦tiŋ˥˧
táⁿ-káu	taːkap
tâi-lâm	taːi˨˦lɐn˨˩
tâi-oân	tai˥˥wan˨˦
tâi-pak	tai˨˦pɑŋ˥˥
tâi-tang	ta˥˩ɪn˥˧
tâi-tiong	ta˧˧i˨˦tioŋ˥˧
tân chúi-píⁿ	tan˨˦tsuĩ˥˧ pi˨˦
tènn	tei̯
tê	de
tì-sek	ti˥˧sip˨
tām-chai	d̪e ba
tāng-la̍t	saŋ˨˩lat˦
tēⁿ chi-liông	tʰi˥˧lioŋ˨˦
tēⁿ sêng-kong	te˨˦sian˥˧kũŋ˥˥
tō͘-chiam	tʰã˥˥
u盘	iu˥˧pɔ˥˥
wen-long yen	tsam˨˩ uən˥˧ liũ˨˦
xiexie	lo˥˩sia˥˧
ài	ˈaɪ
ài-hui	ai̯f˧ui˥˧
ài-jîn	aɪ˥˥
èng-chhài	ŋtaj
ê-á	ea
êbbńg	em
óng-khut	ɔ̀ŋ˥ kʰut˦˥
ô-á-tsian	a˥˥a˥˧ ts˦ian˥˧
ô-ā-jiān	aʔ˨aʔ˨
ē-bn̂g	emɯ̞ŋ
⽜	guː
すいか, スイカ, 西瓜	laˈliːbwe
オートバイ	doˈbai
䘥仔	kɑː
一	in˥˥tsi˨˦
一万	ban
一下	tsidɛ
一下仔	tits eaˌa
一世人	tsi˨˩˦si˥˥ laŋ˨˦
一个中國，各自表述	tsit˦ue˧˧tioŋ˨˦kɔ˨˦ kok˨tsu˨˩pʰau˧˧suən˨˦
一中	el tiuŋ˨˩
一举两得	ikːi˥˧ioŋ˨˦tiat˦
一事无成	i˥˧sì˥˧ bu˥˧sĩŋ˨˩
一事無成	i˨˩˦ɕi˥˩ tʰoʊ˨˩˦sɪŋ˧˥
一二三四五六七八九十	te˨˩tiː˥ saː˧˧suː˨˩kɔː˧˥ tɔː˥kʰɐu̯˧˥
一些	tʰt˧a˥˧
一人一款	tsi˥˧laŋ˨˦ tsit˦kʰan˨˩
一人想一號	tɕjɛ˨˩˦nɑŋ˧˥ tɕjɛ˥˥ tʰe˥˩
一人毋知一人事	tsʰit˦raŋ˧˥m˥˩tsai˥˩ tsʰit˦raŋ˧˥ta˥˩
一人興一號	ʈʂatʰaŋ˧hĩŋ˥ tʰeː˥˩w˧
一人說一款	tsit˦aŋ˨˦ sɤ˥˩ikʰuən˥˥
一仔久	tʃɛraːku
一休宗純	hiu˥˧tsʊŋ˥˧sun˧˧
一休宗纯	in˥˥ hjʊ˨˩˦tsʊŋ˥˥sŋʊ˥˥
一個中國原則	sit˦e˧˧ei˨˦tioŋ˨˦kuk˨ wan˥˥tsiː˨
一儂毋知一儂事	tsit˦laŋ˨˩ m˥˩tsai˥˥tsit˦laŋ˨˩ ta˥˩
一億	a
一共	lʊŋ˨˩kʊŋ˥˥
一兼二顧，摸蜊仔兼洗褲	it˦ keŋ ɗi˧˧ ko˧˧ boŋ˧˧ laː˧˧ keŋ˧˧ sej˧˧ ko˧˧
一出	tsit˦tsut˦
一切	itsʰe
一千	tsit˦tsʰui˥˧
一半	tʃit˦pɔ˥˥
一卷冊	tsik˦ tuŋ˥˥ tsʰai˥˧
一厢情愿	i˥˥sioŋ˥˧tsĩŋ˨˩uan˥˥
一叢樹	tsit˦tsaŋ˥˧tsʰiu˥˧
一句話	tsit˦ku˥˥weɪ˥˧
一句话	tsit˦ku˥˥weɪ˥˧
一四界	tsit˦si˥˧kue˥˧
一国两制	it˦ kok˨liŋ˨˦tse˥˧
一國兩制	it˦kok˨liʊ˥˧ŋ˨˩tsĩ˥˩
一夜	tsit˦mi˥˩
一定	ʲiptɪ̞ɴ
一定要	ni˥˧tĩ˥˥i˧˥
一带	t̚˨˩st̚˨˩
一带一路	itˈaj ɪnˈdɔ
一帶一路	itaːj ɛ do
一年一歲巧	tsin˥˥ni˧˧tsit˦he˨˦au˧˧
一年一歲差	tsin˨˩ni˥˧sit˦ he˨˦tsʰa˥˥
一年级	i˩˧
一廂情願	i˥˥sioŋ˥˧ tsin˨˦uan˥˧
一彻万融	itʰip̚ banjoŋ
一战	it˦sian˨˩
一戰	it˦sian˥˧
一把歲	tɕipːee
一挑二	et̪e̞ɾi
一擺半擺	tsit˦paːi˨˦ pɔ˥˥a˥˧pai˥˧
一支鎖匙	tsiki˥˧ so˥˧si˧˧
一斤	tsit˦kun˥˥
一日	tsid̪id̪
一日剪頭，三日緣投	tɕikit˦a˥˥hɔ˨˩sa˥˩ɾi˥˧en˨˩tau˨˩
一日半日	le- pwˈa dˈi
一日拖仔塗塗	tsit˦it˦tʰaʔ˨aʔ˨ ha˨ˀ˥tʰaʔ˨
一时	tˈɛstˈtˈ
一時	tse˧˧
一時之選	it˦si˧˧tsi˥˧suan˨˦
一時想無遘，終身苦遘老。	tɕiʰsi̯˧˥ wɤ˨ tsuən˥˩ kɔ˨lɔ˨˩˦lɔ˨˩˦
一時興興	sit˦si˧˧hĩũ˨˩
一月	il ge
一条根	i˥˧tiau˨˦ kun˥˧
一条鱼，闽南话说 一尾鱼，大条就是‘大尾’鱼，闽南话也有说一条鱼的，不过说一尾鱼比较常见	sik˦ kaʔ˨ hɔ˥˥ ma˥˥nam˥˥ue˧˧ tʰap˦ sik˦ue˧˧ hɔ˥˥ ta˥˥a˥˧tiau˥˧ssi˧˧ ta˥˥aː˧˥bue˧˧hɔ˥˥
一杯咖啡	tsit˦ku˥˧tiam˥˧a˥˧ pi˥˧
一條根	it˦ tiau˥˧ kun˥˥
一條氣	tsit˦tiau˥˧kʰi˥˧
一樣米飼百號儂	tsit˦joʊ˨˩ pi˧˧tsʰui˧˧ pa˥a˥hɔ˨laŋ˧˧
一次半次	tsit˦paːi˨˩ pɔ˥˥ai˥˥
一次性	it˥tsi˥˧sɪŋ˥˥
一步	tip˨o˧˧
一步一步	tsipˈo tsipˈo
一氧化碳	i˥˥fɔ˧˥xwa˥˥tʰan˨˦
一水	tsit˦tsuĩ˨˩
一江山岛	ikːaŋ˨˩santʊ˥˩
一江山島	ikːaŋ˨˩satʰo˨˩
一汽	dˈɪkːiː
一滴仔久	kintiaku
一爿一國	tsit˦piŋ˨˦ tsit˦koŋ˨˦
一生	ik˦sĩãŋ˨˦
一百	tsip˦fa˥˥
一目現現	tɕip˦˥kŋ˥˥hĩən˧˧
一直	ˈɪt dɪd
一磚錢，一磚貨。	tsit˦tsœ˧˥tsi˧˥ tsœ˧˥mdʑ
一种	tsi˨˦tioŋ˥˧
一種	tsit˦tsioŋ˨˦
一筆成	tʰip˨˩ sin˩˩˦
一筹莫展	it˦iu˧˧ bok˨˦tian˥˧
一籌莫展	it˦tiu˧˧ bok˨˦tian˥˧
一粒仔子	tsĩã˨˩tiaʔ˨ ma˥˧ʔut˦tsi˥˧
一級市場	i˧˧kʰip˨˩ tɕʰi˨˩tau˨˩
一级市场	i˧˧kʰip˨˩ tɕʰi˨˩tau˥˧
一聲毋知，百聲無事。	sit˦sĩã˨˩m˥˥tsai˥˥ pa˥˥sĩã˨˩ bo˨˦ su˥˧
一胎化	it˦tʰai˥˧ hɔ˨˦a˥˧
一致	inti
一舉一動	ikːli˥˧it˦tʰɔːŋ˧˧
一舉兩得	ikːi˥˧lioŋ˨˦tiat˥˥
一般	tsit˦pɔ˥˥
一般樣	ˈipəɫɪŋ
一萬	dʒt̪˨man˥˩
一落千丈	tsik˦ lɔ˥ tsʰai˥˥tsiŋ˨˩
一葩電火	tsit˦pʰaʔ˨ten˥˥hue˥˥
一見鍾情	ik˦ keŋ˨˦ tsioŋ˨˦ tsĩŋ˨˦
一視同仁	i˥˥si˧˧ tʊŋ˨˦lin˨˦
一见钟情	uk˨ tiŋ˥˧
一视同仁	i˥˥si˥˧ tʊŋ˨˦lin˨˦
一起	sã˥˥ kãp˥˥tsue˧˧ze˨˩
一起幹吧	be˧˧siu˨˩ kãn˨˩bo˨˦
一路平安	tsit˦lɔ˥˧pjŋ˥˥an˥˧
一路順風	it˦lɔ˥˧ sun˨˦ hoŋ˥˥
一路顺风	˨˦ lɔ˥˧ sun˨˦ hoŋ˥˥
一部分	tsit˦po˥˧hun˥˧
一饮而尽	it i˥˧mtsi˧˧tsi˨˩
一點點	tsit˦tiam˨˩tiam˨˩a˥˧
一齣	tsit˦tsut˦
丁	tiam
丁卯	tĩŋ˥˥paːʊ˨˩˦
丁奉	tiŋ˥˧ hoŋ˥˥
丁汝昌	tiŋ˥˧li˧˧tsioŋ˥˥
七	tɕʰit˥
七七事变	tsʰit˦tsʰit˦si˧˧peŋ˨
七七事變	tɕʰit˥tsit˥sì˧˧ piən˨˩˦
七中	tʰi˧˧tioŋ˨˩
七匹狼	tɕi˥˧pʰi˧˧tʰoŋ˨˩
七十	tsit˦tsap˦
七十一	tˢ zˈæt ˈɪt
七十七	tɕʰit˥tsap˨˩tsit˥
七十三	tsʰiːt˧˥tsap˨˩ saːn˥
七十九	sin˥˥tsap˦ kau˧˧
七十二	tsit˦tsap˦˥ li˥˩
七十五	tsʰit˦tsɐp˨˩ ŋɔː˩˧
七十八	it˦tsap˦pʰe˨˩
七十六	tʃit˦tsap˦˥ lap˦˥
七十四	tʰit˦tsap˦sɯ˥˩
七吵八吵	tɕʰiʔtsʰaʔ˨ peʔtsʰaʔ˨
七夕	tɕʰɛː˧˥
七娘妈	tsŋ˥˥niu˨˦ma˥˧
七娘妈生	tsʰĩ˥˥lɤ˥˥ ma˨˦si˧˧
七娘媽	tʃin˥˥liu˨˦ma˥˧
七娘媽生	tsʰĩ˥˥niu˧˧ma˨˦ si˧˧
七情六慾	tsĩŋ˨˩ lu˥˧
七情六欲	tʰit˦tsĩ˥˥ĩŋ˨˦ liu˨˦
七抑卟説八	tsʰit˦toʔ˥ ʔapɹsik˦ poʔ˧t
七月	fˈil ɹˈe
七畫八畫	tɕʰit˦˥ uɔ˨˩˦pu˥˩t˦ uɔ˨˩˦
七百	tpa˥˥
七股	tɕikːkɔː
七說八說	tsʰit˦sik˦ pʰɯ̟˥sik˥
七講八講	tɕikːkɔ̀ŋ̪ pekɔ̀ŋ̪
七讲八讲	tɕʰikːkũŋpɛkɔŋ
七说八说	tɕʰi˨˩˦tɕʰi˧˥ sɤ˥˩ pʰe˨˩˦sɤ˥˩
七逃囝仔	tsit˦hɔː˧jin˨˩a˥
七遠八遠	tɕit˦ hœŋ˨˦ pʰak˨ hœŋ˧˥
万	man
万一	kwan˨˩it˦
万事如意	man˥˥si˥˧ lu˥˧i˥˧
万俟	bokki
万俟卨	bok˨ki˧˧sit˦
万历	mandəˈak
万历朝鲜战争	man˨˦ liak˨˦tʰiaʊ˧˧sian˥˥tsian˥˥tsŋ˥˥
万宁	man˧˧
万寿无疆	man˥˥siu˥˧ bu˥˧
万年	maːn˩˩˦iː˧
万智牌	mãn ð̞iːbai̯
万有引力	man˩˦ y˧˧ ĩ˧˧a˥˧kʰa˥˥
万梓良	man˨˦ tsi˧˧ lioŋ˨˦
万梓良是香港明星。	wãŋ˨˩tsĩ˥˥ liõŋ˥˥si˨˩hĩŋ˥˥kʰaŋ˥˥mian˥˩tsʰẽ˥˥
万绮雯	man˥kʰi˧˧bon˨˩
万能	maː˧˥nɤ̆ŋ˧˧
万达集团	man˥˥tatsip˦tʰan˥˥
万金油	ben kim eʝu
万隆	ban˨˩˦dõŋ˨˩˦
万隆会议	man˨˦lioŋ˨˦hue˨˦ i˥˧
丈人	tiu˨˩n˥˥aŋ˨˦
丈人公	hĩũ˨˩ laŋ˨˦koŋ˥˥
丈夫	ljoŋ˨˦ h˥˥ta˥˥pɔ˥˥
丈夫姑	tapoko
丈夫白读	ta˥˩po˥˩
丈姆	eʊ ɔ
丈姆婆	tiu˨˩ŋ˥˥pɔ˧˧
三	san˩ sam˩
三七	sǎm˥˩tɕʰit˦˥
三不五时	sã˥˥pʰoʔ˨ kɔ˧˧
三不五時	sɐn˥ pɔː˧˥
三亚	sɑːm ɑː
三亞	sɑːm ɑː
三从四德	sã˥˥tsioŋ˨˩si˥˧tiaʔ˨
三佛齊	sã˥˥pʰut˦tsẽ˨˩
三八	sã˥˥pat˥˩
三分	sɑːn
三十	saː˩˩˦tʰap˦˥
三十一	saː˩˩˦tɕak˨˩ iʈ
三十七	satʰabtʰtʰ
三十三	saːŋ˥sɐŋ˥
三十九	sa˥˥kau˥˥
三十二	satʰakʰriː
三十五	saː˥˩tsap˦˥goː˨˩
三十八	sa˥˧tsap˨˩pʰɯə˥˥
三十六	sa˥˩tɕap˦˥ rak˥
三十四	sã˥sì˥
三味線	sã˥˥mi˧˧ sũã˨˩
三味线	sã˥˥li˨˦sŋã˥˥
三国	sɛmˈkɔ
三国志	sɐn˥
三国演义	sɐn˥
三國	sɐm˥
三國志	sɐn˥
三國演義	san˩˧kɔː˧˥ jiː˧
三坊七巷	sã˥˥hʊŋ˨˩ tsʰit˦hŋ˨˩
三基色	sã˥˥ki˥˧sak˨˩
三头肌	pʰa˥˥ aʊ˨˩tɔ˥˥
三字經	kã˥˥ti˨˩˦bjɑt˥
三字經【 sann ji king】參考臺灣閩南語羅馬字拼音方案	ta˥˥tsi˧˧kian˥˥
三字经	sã˥˥tsi˨˦ kiŋ˥˥
三小	sã˥˥ɕjɛ˧˧
三尖六角	sa˥˧tsiam˨˩e˧˥ mi˥˧kak˥
三層肉	sa˥˩tsan˨˩ vaː˥˩
三峽	sɑmgɑm
三巴樂	sɑːnˈpɑːlˌq
三平寺	sã˥˥pʰia˨˩
三年级	sa˥˩n˩˩˦i˨˩˦kʰi˨˩˦p
三從四德	sã˥˥tsioŋ˨˩si˥˧tiat˦
三思而行	sã˥˥si˧˧ li˨˦ hĩŋ˨˦
三房新乡	sã˥˥paŋ˨˩ sin˥˧ hio˥˧
三日兩日	sɔː˧liːt˥ŋ˧n˧it˥
三日討海，兩日曝網。	sa˥˩ɔː˩˦li˥˩tʰɔː˥hɑ˥˥ lɤŋ˧˥pʰa˥˥pɑŋ˥˩
三明	saːmmːæn
三星	sɑŋ˥˥ɕɪŋ˥˥
三更半暝	sˌaːkiːpwˈmi
三月	sa˥˩ke˥˩
三权分立	sã˥˥kuən˧˧hʊn˥˥ ri˨˦p˨˩
三杯雞	sã˥˥poʔ˨kʰe˨˩
三權分立	sã˥˥kuan˥˧ hun˥˥ ri˨˦p˥
三民主义	sã˥˥ɛ˨˦  ʈʂu˧˥ i˥˩
三民主義	sã˥˥mĩ˧˥ntsú˧˧ i˥˩
三洋	sã˥˥joŋ˨˦
