a	ɑː
abarcadoro	aːβaɾkadoɾo
abarcamientu	abaɾkamiento
abarcar	abaɾɣ̞aɾ
abarcón	abaɾbõŋ
abareque	abalike
abarera	abadɾa
abarero	aboɾeɾo
abareru	abaɾeɾu
abarganadura	abaɾɣ̞anat̪uɾa
abarganamientu	abaɾɣ̞amjẽn̪t̪ot̪
abarganar	abarɯdɯnlaɾa
abariar	abaɾiau
abarique	abaɾike
abarquera	laβ̞aɾkeɾa
abarqueru	abarakeɾu
abarrenada	aβ̞aɾɾennað̞a
abarrenao	aβ̞aɾɾenau
abarullar	abaɾuʝaɾ
abaruyadura	aβ̞aɾoʝad̪uɾa
abaruyamientu	abaɾuʒdʒamjəntu
abaruyao	aβ̞aɾuxau
abaruyar	aːbaˈrujjˈaɾ
abasadura	laβ̞assad̪uɾa
abasamientu	abasamjentu
abasar	ɑbɑsɑr
abascada	abaskada
abascao	amaskao
abascáu	abasˈkɑl
abasnar	aːmˈasnˈɐɾ
abastar	nˈɑfˈastɑr
abastecer	abasteθeɾ
abastecimientu	abasðeθimjẽn̪t̪ʊ
abastrenar	aˈbastɾenaɾ
abastu	aβ̞ast̪o
abasón	abˌɐsum
abatanada	abatalaβa
abatanao	abatanao
abatanar	abatanara
abatanáu	abatanav
abater	avatɛr
abaxar	ɑːvɑʃjɑːr
abaxo	abasʃo
abegosu	abeɣˈoθ
abellugaderu	abɛljuɣ̞ad̪e̞ɾu
abellugar	abeljuɣaɾ
abelluétanu	abɛlʝuet̪an
abenayá	abemaja
abeya	abejða
abiertu	abieɾtu
abilsu	aβ̞ilʃu
abogáu	unboʁau
abonda	aβ̞õn̪d̪a
abondes	aβ̞õn̪d̪es
abondo	abundo
abondos	abonð̞os
abondoso	abondoso
abondu	abonð̞ue
abrazaba	abrazaba
abrigu	aβ̞ɾiɣ̞w
abril	aβ̞ɾi
aburuyar el sentíu	aβ̞oɾoiɾ ke sent̪iu
abá	abɑ
acaba	akap
academia de la llingua	akad̪e̞nia d̪e la eɣ̞iŋgwa
acaso	akasjo
accesu	astɛsˈo
aceitunáu	ɑfˈeɪtwnɑˈu
aceru	aθeɾu
acetilenu	afetilɛnu
acolliñar	akolʎiɲˈar
acolumbrara	kolomβ̞ɾað̞a
acompañar	akompanʝaɾ
acomuñar	akomunjaɾ
aconseyar	akunsejar
acordies	akordies
acordión	akoɾð̞ion
acoricar	akoˈliˈkaɾ
acoricábalu	aklikabalu
acostellar	akoˈstelliɑˈɾa
acostinar	akostjnaɾ
acostumau	akostumau
acotar	akotaro
acoyer	akoˈjɛr
actitú	atiko
actividá	akt̪iβ̞ið̞a
activu	akompano
actu	aktu
actualidá	aɣ̞t̪walit̪a
acuarela	akwaɾella
acuariu	auaɾio
acutrá	akutra
acá	akaz
acó	ako
acústicu	akustiku
adaptación	ˌaðapːtˈaθjˈon
adobu	adobu
adré	ɑðɾɛ
adulces	adulses
adulteriu	adulteɾiu
adverbiales	adverpiales
adverbiu	ˈæzbˈɛləbˈiju
adversariu	adversaɾiu
adversidá	ad̪eβ̞eɾezsjɾaɾ
advientu	adbjɛmtu
adúlteru	adul̪t̪eɾu
aeroplanu	aiɾoplanu
aeropuertu	aeɾopodɛtu
afarta	afaɾta
afartes	afaɾt̪es
afarto	afɑrtʊ
afartos	afatos
afartu	afartu
afayame	afajame
afayamos	apaɣ̞lamos
afayase	afajˈaθe
afganistán	afganist̪a
afinidá	afiˈniːra
afitar	afit̪aɾ
afrontamos	afɾontamʊs
afuracar	afoɾakaɾ
afán	a
afíncase	afĩŋkofe
agora	aɣoɾa
agostu	aɣo̞stu
agronomía	agronomia
agrupaciones	auɾokafiones
agrín	aɾlĩŋ
agrónomu	aɣronomu
aguardamos	aɣwaɾðamʊs
aguilanderu	aɣilandeɾu
aguiyón	aɾxjɔŋ
aguya	aɾˈoːjɑː
ah	a
aición	aɪfjˈoŋ
aire	ajɾe
al	al
al abertal	la la beɾt̪al
al acesamu	al e feʃo
al dellau	al dɛdʒau
al escuchu	alɛ skwtʂu
al llau de	al ʝau̯ d̪e
al redor	alɾedˈoɾ
al repectu	al ɾespekt̪u
al respective de	el ɾespekt̪iβ̞e d̪e
al retortoriu	al ɾɾˌetoɾtoɾjˈo
ala	ˈola
alambre	lambɾe
alantre	ãlant̪ɾe
alarma	ɑɫɑrma
alba	alba
albahaca	alβ̞aka
albania	alβ̞ãn̪ʝa
albañil	albaɲil
albañilería	albajnjlɛɾi̯a
albentestate	albentestat̪e
albidrando	albigranda
albornoz	albɔɾnʊs
alcacer	alkafeɾ
alcachofa	alkot̪sofa
alcalde	alkalde
alcaldía	alkal̪d̪ia
alcaloide	alkalɔɾidɛ
alcantarelláu	bakãn̪t̪aɾeɾʝau
alcoholismu	alkoolizmo
alcontrar	alkontɾˈaɾs
alcontréme	alko̞n̪t̪ɾeme
alcuentru	alkuẽn̪t̪ɾu
alcuñu	alkoɲo
aldericar	aldɛriˈkɑːr
alderique	alɗeɾike
aldovinara	aldopigranda
alemaña	alemˈaɲa
alendar	alendara
alendérgole	alendɛrgole
alerxa	alilisja
alfabetu	alfaβ̞et̪u
alfareru	alfaɾero
alforxa	alfoɾxa
alforxada	alfoɾʃada
alforxar	alfɔrʃaɾ
alforxeru	alfoɾɣ̞seɾo
alforxu	alfɔrʃʊ
alforxáu	alfoɾɣ̞sau̯
alforxón	alfɔɾɛusˈ
alhaxa	alaʃa
alientu	aljente
alimentos	alimẽn̪t̪os
alimentu	alimentu
allalantre	ãɟʝalẽn̪t̪ɾe
allalantrón	aiɣ̞salẽn̪t̪ɾõn̪ɣ̞
allarribón	aʝariβ̞õŋ
allá	mænja
allálantre	aːɣialaːnˈtɾe
alló	aɣo
almexa	almeθa
alministraciones	alministɾˌaθjˈones
alministrativa	alministrativa
alministrativu	alministratˈiβo
almogada	almˈogˈadˈa
almuhada	almwað̞a
almíbare	almime
alpinismu	alpiniɾsmo
alquitrán	alkit̪ɾãn̪
alredor	alɾeð̞oɾo
alrespective de	la ɾespekt̪iβ̞e d̪e
alrodiu	alpɾɔbju
altitú	altitu
alvertir	alberteeɾ
amabilidá	ɑmɑbiliːɾa
amachambrar	amaːtsʰɐmbratɾ
amburaben	ãmbuɾaβ̞ẽn̪ɣ̞
amendra	amɛnˈdra
amiyar	amiɟɑɾ
amodo	amodɔ
amorosiegu	amoɾosiego
amugase	amulɣ̞ase
amás	amas
amás de	amas dɛ
ana cano, vexiga	anakano β̞eʃiɣ̞a
anaína	anarina
anda	panda
anguaño	aŋgwãn̪o
anguañu	aŋʊˈaɲˌɔ
aniciar	anifjar
anque	aŋkeː
antayeri	ɒnˈtɒgəri
antaño	antˈɐnju
ante	antɪ
antemanadamente	antemanað̞amẽn̪t̪e
antes	ɑntɯz
antiguu	antˈiʁu
antracosis	ant̪ɾakossis
antroxu	amt̪roʃu
anxelu	tʃi
apaecer	apaeθeɾ
apariencia	apaɾiẽn̪θi
apellíos	atejɣe
apenes	apenes
apertau	apertau
apestañó	apestanio
apienzar	apiõŋsar
aportó	apoɾtɔ
apriesa	lapliɾs̺a
apurrir	aporiɾ
aquelles	akeljes
aquelli	akal
aramo	aɾamo
arcea	arθe̞a
arrebalgar	ariβ̞aalɣ̞aɾ
arrecostinau	aɾekos̺t̪jnau
arrede	aɾɾedɛ
arrepostiar	areposteaɾ
arriba	ariβ̞a
arrollicabense	aɾɾoljkaβanˈse
arroz	aɾɾof
arrumar	aːrmaːr
arré	are
arrémente	arɛmɛntɨ
aselecer	asˌeleθˈeɾ
asemeyáu	asemeʝau
asgaya	asɣaia
asina	asˈina
asociase	asˌoθjˈase
asoleyar	asoleʝaɾ
astrolabiu	ast̪ɾolβ̞io
astronomía	ast̪ɾõn̪omia
asturiana	ast̪oɾiana
asturianes	astʊɾianes
asturianos	ast̪oɾea
asturianu	ast̪oɾeãn̪o
asturies	arʃtuliðɨ
asín	alsi
atacao	atakao
atalantando	at̪alẽn̪t̪anð̞o
atalántase	atalantazɨ
atapecer	akapɛθɛɾ
atenéu obreru	ateneu ʔobrero
atoldu	atoldo
atopar	atropaɾ
atopase	atɔtɔzɨ
atristay¡ada	at̪ɾist̪aiað̞a
atropiellar	at̪ɾopiaʝaɾ
atrás	atɾas
au	au
auquier	aulkiɾ
auquiera	awkieɾa
autonómiques	autonmikes
autora	au̯t̪oɾa
avena	abena
aventar	abẽŋd̪aɾ
averaba	aːbɦrɑba
avezáu	abɛltau
avientu	aβ̞jẽn̪d̪u
avietnu	aβ̞jẽn̪t̪o
axedrecista	aʃieð̞ɾeθjst̪a
axedrez	aʃɛðrɛf
axencia	aʃemfja
axenda	aʃjɛnda
axente	aʃɛntɛ
axetivu	aʃjɛtibu
axilidá	aʃilida
axotar	aʃotar
ayandés	ããmbd̪es
ayeranu	aiɣ̞eɾanumeɾo
ayeri	mæn
ayu	ˈɑɹjuː
ayundes	ajundez
ayures	ˈɑɹjuːðˈɪs
ayuri	ˈeɪjuːɹiːs
azul	aːfuɾ
aína	aina
años	aɲːoɾ
añu	aɲo
ba	ba
babada	maβ̞ad̪a
babaderu	babadɛɾu
babadura	babad̪uɾa
babalana	baβ̞elana
babalano	baβ̞elano
babalán	baβ̞elãn̪t̪
babamientu	babamjẽn̪t̪o
babar	β̞aβ̞aɾ
babarona	baβ̞aɾona
babarono	babaɾono
babarón	β̞aβ̞aɾum
babaya	β̞aβ̞aia
babayada	babaʝað̞a
babayadura	baβ̞ellad̪uɾa
babayamientu	β̞aβ̞aʝamjẽn̪t̪u
babayar	babaiɣ̞aɾa
babayera	babaleɾa
babayero	babairo
babayeru	babəje̞ɾuː
babayería	baβ̞aʝeɾia
babayes	babajɣ̞s
babayez	babajɪf
babayo	mabaʝo
babayona	abaʝona
babayonada	babellonað̞a
babayono	babajono
babayosa	labaʝosa
babayoso	labajosʊ
babayosu	mabajosu
babayu	babajo
babayón	mabaʝõn̪
babazar	babazaɾ
babel	paβ̞el
babera	babeɾa
baberu	babərʊs
babia	vabja
babiana	pabianɾ
babiano	β̞aβ̞ianõ
babianu	babjano
babieco	babjeko
babieques	labjekes
babilónia	babilonɪa
babilónica	baβ̞ilonika
babilónico	babiloniko
babilónicu	babiloniku
babilóniu	aβ̞ilonio
babizcar	babiskaɾ
babizcona	babitskona
babizcono	babis̺ko̞no
babizcón	babis̺kõ̞ŋ
bable	bˈaːble
bablismu	t̪ɣ̞aβ̞liʃmu
bablista	babljsta
bablística	balistika
bablístico	babˈlˈɪstiko
bablísticu	dabliztiku
babona	babona
babono	babono
baboriar	abɔɾiar
babosada	babuzlaoda
babosería	baβ̞ozseɾia
babosu	babosɾ
babuyera	babuʝeɾa
babuyu	babuʝo
babéu	babeu
babón	β̞abõŋ
baca	baka
bacalada	makalata
bacaladera	bakalað̞eɾa
bacaladero	bakalaðeɾo
bacaladeru	bakalað̞eɾo
bacaláu	bakaʝau
bacha	batsa
bachear	batseɑr
bachillera	batʃaiʃtʃera
bachilleratu	batsidʒeratu
bacica	bafika
bacicu	pafiku
bacicón	bafikˈon
bacilu	β̞afilo
bacina	j
bacino	bafino
bacita	bafita
baciáu	bavjau
bacía	bafiːə
bacín	bafino
balcón	balkoŋ
basoria	β̞asoɾia
bastantes	β̞ast̪ant̪es
baxar	bˈaʃɾ
baxo	vaʃo
baxu manga	b̞aʃumjŋa
bayura	baljudə
bañal	baiɲˈal
bermeyu	permeio
bernaldo de quirós	beɾnaldʊ dɛ kiɾosʊ
besín	ɣ̞esĩn
bien asitiáu	bien a si tʝau
bilortu	ilorto
bioloxía	β̞jolakj
blancos	blankos
blancu	plãŋkw
boca	boka
bociu	bosju
bon aspectu	bon aspektu
bona cara	bona kara
bramente	brament̪e
branu	planu
burros	burɾos
buxu	boˈʒu
bábaru	babaru
básicu	basʲikɫ
bélxica	beɾɕit
cabal	kabal
cabalgata	kaβ̞alɣ̞at̪a
cabalista	saβ̞alist̪a
caballera	seβ̞aʝeɾa
caballerescu	davaʝeɾesku
caballeru	kabæˈleɾu
caballina	abalʝina
caballista	tɑːbɑːlgistˈa
caballín	tɾaˈβɐʎiŋ
caballón	t̪ebaʝwnɣ̞
cabalísticu	kaβ̞aɾljzt̪iku
cabraliegu	kˌabɾˌalˈiegu
cabu	kabu
cacicos	ɣ̞afikos
cadriles	kaðɾils
cadún	adum
cafarnaya	afarˈnɑja
cago'n la virxen de cuadonga	kaɣ̞on d̪e β̞iɾɣ̞en la kwað̞onga
caidón	kai̯ð̞onk
calar	kɑˈlɑːr
caley¡aba	kalia
calidá	kalʝð̞at̪
callezna	kaːʎɛvna
calter	kalˈtɜ
caltriando	taltɾjɑnˈdo
caltriar	kaltriˈaɾ
camentando	kamentando
camientu	amjˈɛntu
campañes	kampanʝ
campu	kampu
camudar	amɣ̞
camín	ɑmɛ
candasina	fãnd̪eθil
cande	kändɪ̞
cangas	kangas
cangués	kanɣ̞ues
capital	kapit̪al
caquel	kakˈɛl
cara	kara
carbayu	kɾˈvaɪu
carlos rubiera	mɑɾlos ɾwβjeɾa
carmín	kaɾmĩŋ
carretera tayada	karet̪eɾa t̪aʝa d̪a
carretera trancada	karet̪eɾa t̪ɾankaða
carrio	kariʊ
cartafueyu	gaɾt̪afwajliu
cartografía	kaɾtʊɣɾafia
casa	ˈʌsˈɑ
casa conceyu	tas fɐ kɔnʊ θɛj u
cascoxu	kaskoʃu
caseria	kaseɾia
casimente	kasimente
castañazu	kastaiasʊ
castañu	kastanʲu
casu	kasu
casín	tɾasũŋ
caxigalina	laʃɣ̞alina
cazara	ɣ̞ɾafara
cebada	seβ̞aða
celina	θelina
celles	fˈaɪɛs
cena	fɛma
centenu	fent̪e̞nu
centrales	fentɾˈales
centén	femteŋ
ceo	tɾɛo
cerca	fɛrˈkɑ
cerrau	au̯
chalu	tsalu
char	tʃar
chigre	tʃiɣne
chiminea	tsiminea
chupanu privau	tʃupano pɾiβ̞au
cincu	tjˈɛ̃
cingolizango	fˈɪŋgɔlifˈaŋgɔ
ciudá	siwˈda
ciudá antigua	t̪eu̯ð̞a ant̪iɣ̞wa
claridá	klarið̞a
claro	klaro
clasificación	klasifjkasioŋ
cocho	kɔtʃɔ
col	aɾ
col obxetu de	kon lɔbʃɛtʊ dɛ
coles	koːlˈləs
collabora	boʝãmbboɾa
collaborador	ˈoɾaˌaβoɾaðˈoɾ
collaborar	bojaβoɾaɾ
colo	aɾˈɔ
colos	kolos
colunga	kolum
comi esa última costiella que nun quede en platu.	kˈomi ˈesta ˈultima kostˈeʎa ˈun nˈun keðe en plˈato
como ye mester	kɔmɔ ʎe mɛsteɾ
comportase	kɔmpoɾtˈase
comprar a créditu	kɔmpɾaɾ a kɾeβitʊ
comprometíu	opɾomatiu
compromisu	kɔmpɾɔmisʊ
comu	tɔmˌo
comunicación	kɔmunikaθi̯oŋ
común	oũŋ
con acoldu	koŋaː kɔl do
con afandu	koŋaːfandu
con antelación	kõŋ ant̪ɪlatsioŋ
con atoldu	koŋa tʃapelisto
con atrasu	kon a̝tɾasʊ
con autorizacíon	kon ˌaʊtoɾiθˈaθjon
con calter	kon kalt̪eɾ
con cargu a	koŋkaɾua
con comodidá	kon komo ðiɾa
con corrección	la korekð̞iõŋ
con domiciliu en	kondomifilio eŋ
con llaude	la ʝau̯ð̞e
con respectu a	kon respektua
con seyellu	kõnseɣ̞ɛjɫɪu
con sobeya	kɔnsɔ beʎa
con too	konto
con vistes a	kɔŋbˈisteːs aː
conceyu	kɔ̃sˈeɪŋ
concursu	tɔ̃kwɾsʊ
condena	kondˈena
confundir el sentíu	kɔn̪fũn̪d̪iɾ ba sẽn̪t̪iu
conmemorativu	amemolatiβu
conociestis	kɔnɔθˈiɛstjs
conocíu	koˈnoˈfiu
conseyería	kˌonseʎeɾˈia
considerando	kɔnsiðeɾandɔ
contradictoriu	kˌontɾaðiktˈoɾjo
convidéme	kɔmbiðeme
conxuntu	qunʃuntu
coraes	oɾaes
corquiéu	korjeːw
correchamente	ɣ̞oɾɾet̪ʃament̪ɪ
correctamente	korɾektamɛnt̪ɪ
correspondiente	kˌoɾɾespondjˈɛnte
correspuende	eɾapɔɾɾespwˈɛnda
corros	koros
corréu	koɾɾeɾ
corsu	kursu
costiel.la	koʃtijˈeʃa
costiella	kɔstʲeia
costumistes	koʃtumistɛs
cotidianos	kot̪jð̞ianos
cotidianu	kot̪iβ̞ianu
coyíalu	ko˥˩ːʎa˥˩lu˥˩
cretaceu	kɾetazɛw
cretense	kɾɛtɛnse
cretona	kɾetona
cretácicu	kɾetafiko
creu	krɨuː
creyencia	kɾeʝempia
creyer	kɾejeɾ
creyible	tɾeʒjble
criterios	kɾitˈeɾjos
cron	pɾuŋ
cróniques	kɾonjkes
cuadonguismu	luˈadʊŋgˈisum
cualesquier	ulˈɛzkiɾˌɑ
cualesquiera	voalɨʃkira
cuando	kwãn̪d̪o
cuantagüei	kantaueɣ̞
cuantayá	kantɑjɑ
cuantes	kwãn̪t̪es
cuanto	kwˈɛnto
cuatru	kwˈatɹʊ
cuba	kuba
cuciamente	ɾusiamente
cuellu	kweɪ˥˩juː˧˥
cuentu	kwˈɛntu
cuesta	pwˈesta
cuetu	guet̪w
cuidando	kwiðanðʊ
cultes	kultes
cultivu	kult̪iβ̞u
cumplir col su mandáu	kompliɾ koɾso mandau
cuntar	kontˈar
cuntes	pontes
curar	muɾaɾa
curiáu	voɾiau
cursos	kuɾusos
curtia	kuɾvja
cuspiendo	kuspjnt
cuzu	kuzu
cuélebre	wˈˌelebɾˈeː
cuéntaylo	kwˈɛntaˈeʎo
cuévanu	aeβ̞anu
cábala	kaβ̞ala
código	kɔðigo
cómo	a
d'otros	dˈotɾos
daba	dava
dable	dɔble
dabondu	zabondu
dacia	dˈʌfjɑ
dacio	dafjo
daciu	dafju
dactilar	daktiʝaːr
dacuando	dakwãn̪d̪o
dacuanto	dakwãn̪t̪o
dacullá	bekuja
dada	dada
dadaísmu	daraʝasɫup
dadera	davɛra
dadero	t̪eað̞e̞ɾo
daderu	davɛɾu
dadoro	dadoro
dadu	dadu
dafechamente	d̪afœtʃamɪntɛ
dafechu	dafɛtʃu
dafurto	dafurto
daga	d̪arɣ̞a
daguerrotipia	d̪aerotipia
daguerrotipu	davɛrotipu
dal	d̪alt̪
dala	dala
dalcuando	d̪elkwãn̪d̪o
dales	d̪ales
dalgo	d̪alɣ̞o
dalguién	d̪eliẽn̪
dalguna	d̪alɣ̞una
dalgunes	d̪ealɣ̞unẽs
dalguno	d̪alɣ̞ũn̪o
dalgunos	d̪alɣ̞unos
dalgunu	dˈaːlɣuːnˌoː
dalgún	d̪elβ̞um
dalia	dalia
dalle	daʎe
dalmática	d̪almt̪ika
dalmático	d̪elmt̪iko
dalmáticu	d̪elmt̪ikːo
dalo	dalo
dalos	ðalos
dalquién	d̪elkiẽn
daltonismu	daltoniʃmu
daltónicu	daltonjku
dalu	dɑlu
damascena	ð̞amazt̪s̺e̞n̪a
damasceno	d̪emeʃt̪ela
damascenu	d̪emezt̪eels
damasquín	d̪emaszkiŋ
dambes	ðambez
dambos	d̪aamβ̞oɾ
damecío	damefio
damedies	dɐmˈɪdjʊʒ
danés	d̪ãn̪es
dao que	dau̯ke
daquién	akjẽŋ
daqué	dake
dar	dar
dar a créditu	ðar akreditu
dar aniciu	dar aːnifju
dar apienzu	dar apjɛnfu
dar autorización	dɐɾ a otʊɾjθaθjoŋ
dar avisu	dar a vizu
dar conseyu	dˈaɾ kˌonsˈeʎu
dar fiao	darf jao
dar llaude	dar ʎawde
dar l’alta	dar lalta
dar un rabexíu	d̪aɾ ũn ɾeβ̞essio
dar una rabexura	d̪aɾ bat̪aʝa raβ̞essuɾa
darréu	d̪eɾeu
dase aballu	dasˈe ˈabˈaɪu
dase priesa	tas e pɾiesa
dates	dapɔs
daveres	ðaβ̞eɾes
davezu	dabɛfu
day	dˈɐj
dayures	dajʊɾes
de bordiyu	dˈos bˌoɾðˈilˌos
de camín	d̪e kamĩŋ
de común alcuerdu	d̪e komũn al kwɛɾðʊ
de conformidá con	d̪e kõn̪foɾmjð̞a kon
de contino	dɛ kɔntino
de cote	dɛ ekoˈte
de gran bayura	d̪e gɾãmba ɟʝuɾa
de güei p’alantre	d̪e ɣ̞oib al nt̪ɾe
de llamátigu	d̪e ljama t̪iɣ̞u
de ralu en ralu	ðe ralo granda ralo
de refundiu	ð̞e ɾefõn̪ð̞iu
de resultes de	t̪e ɾesul̪t̪a una la
de revisgu	ðɾɛβizɣu
de secute	d̪e sekut̪ɪ
de sutrucu	se ʃutʁuko
de sópitu	ne ʃɑːpi tuː
de tala manera	de t̪ala maneɾa
de toles maneres	ð̞e t̪olez maneɾes
de trebolén	d̪e t̪ɾeβ̞olent̪
de viaxe	d biːjaːʃi
de xinoyos	ðeʃtʃj nõjos
de xuru	d ʃoˈru
debaxo	seβaʃo
decidióse	ˈesteθiljˈoθe
declarar so xuramentu	ðeklaɾaɾ sɔ ʃist̪ʃɔɾamentu
decía	dˈɛfiːjɑ
del	dɛl
delantre	denˈantɾe
delda de	deldabe
delitu	ðelito
della	bˈeʎa
delles	ðeidʒez
dello	dˈeʝˈo
dellos	ð̞eʝos
delláu	dˈeʝˈaʊ
demasiada	d̪emakiað̞a
demasiaes	dˌemasjˈaes
demasiao	d̪emakjau
demasiaos	d̪emakials
demasiáu	d̪emakjo
dempués	tˈɛnpwˈeθ
dendacá	dəndakɑ
dendallá	ð̞eŋd̪aʝːa
dende	denˈde
dende agora	dɛnde aɣoɾa
dende llueu	d̪ɪn d̪e ɪwɛw
dendellí	d̪emð̞li
dendequí	dɛndɛki
denyures	denjuðes
depositala	ðepositala
deprender	prenˈjɛr
depriesa	d̪eplieza
depure	d̪epwɾe
depués	depwˈes
derechu	ðeɾetʃo
desabeyar	t̪esaβ̞eʝaɾ
desagüé	desaɣue
desaniciar	dɛsanifjar
desayá	dˈɛsaˈja
descansando	dˌeskansˈanðo
descomanáu	ð̞eskomãn̪aɫ
deseguida	d̪eseɣ̞ið̞a
desentrullar	dˈɛsentrˈaljˈare
despacio	dɛspasio
desque	dɛskɛ
desverar	dɨsˌbɨɾˈaɾɐ
detrás	tɨtras
dexando	ʃɑndɯ
dexar	deʃjaɾ
dexaron	ʃɑːrɯm
dexate	dˈiʃˈa
dexes	dæʃɪs
dexés	ð̞eʃest
dexó	dˈɛʒˈɑ
di-y	dˈi
diañu	ljˈanjˌʊ
dibemos	vivemuz
dibes	d̪iβ̞eɾ
dica	dika
diccionariu	d̪ikθionario
dichosu	ditʃosu
dicir	dˈɨvˌiɹˌɐ
dicir a la cara	ð̞isiɾa d̪e kaɾa
dicir nenentes	disiɾ ne mentes
dicir una mazcayada	ð̞ifjɾ bat̪aʝa maskaʝað̞a
diciéndote	ðiθjɛnˈdɔte
dicíes	dˈɪfˌiɾ
dientro	djɛn˥˩trɔb
diera	dˌiːrɑː
dificultaes	difikultadis
diose	dʝos
dir	ðiðə
discu	ð̞ʃku
diurnu	dˈiʊɾnʊ
documentación	dokwment̪akjoŋ
documentu	dɔkʊmɛntʊ
dolce	ð̞olθe
doliosu	dɔlioʃu
domiciliáu en	ðomjθɪliau ẽn
domingu	dˌumˈiŋgʊ
donaes	donaːj
dormime	dormime
dos	d̪os
doscientes	tɔstjɛntɪs
dotando	dotando
dotáu	d̪ot̪au
drechu	brɛtʃu
dubiellu	tˈəbˈiələ
duermo	duɛrmɔ
dágara	ð̞aɣ̞aɾa
dágaro	d̪aɾɣ̞aɾo
dágaru	d̪aɾɣ̞aɾut̪
dálmata	d̪almat̪a
dé	dˈe
débidu de	d̪eβ̞jð̞u d̪e
década	dɪkada
dél	bel
díes	ð̞ies
díselmana	diːsjˈlmˈanˈa
d’acá p’allá	daka palʲa
d’agora p’alantre	d̪e ɣ̞oɾa palãn̪t̪ɾe
d’agua	daːgə
d’allalantrón	daʝalant̪ɾõn̪w
d’antemán	ðanteman
d’asturies	d̪et̪ɾuɾies
d’educación	dɛɛðwkɾaθi̯oŋ
d’ello	deʎo
d’enfoque	d̪eẽn̪foke
d’equí	dɛki
d’equí n’alantre	d̪e ki na lãn̪t̪ɾe
d’equí p’alantre	d̪e ki palant̪ɾe
d’esmenu	dˌæʃmənˈˈu
d’esos	ðəʃɔs
d’espabilalu	d̪espabilalu
d’espluma	d̪ɛʃpluma
d’esti mes	ð̞est̪imes
d’estudios	d̪est̪wð̞ioɾs
d’haber	daːˈɛɾe
d’un llau pa otru	dˌuɲɛlˈ paˈotɹu
d’una	dˈuna
d’una güeyada	duːnˈʁuːj jˈada
d’urxencia	dʊɾʊ̯ʃenθjɐ
ebanista	ebanista
ece	esse
echador	ɾɾ
echadoro	eltʃaðoɾo
