'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
ਅਖਵਾਉਣਾ	akːavonˈa
ਅਖ਼ਬਾਰ	ɑxˈbɑːr
ਅਖ਼ਬਾਰ ਨਵੀਸ	aː xɑbɑːr noːiz
ਅਖ਼ਬਾਰ ਨਵੀਸੀ	xabˈaːr nə wesi
ਅਖ਼ਬਾਰਾਂ	akbɑːrə
ਅਖ਼ਬਾਰੀ	ɑxbaˈri
ਅਖ਼ਬਾਰੀ ਕਾਗਜ਼	ɑxbɑːɾiː kɑːgəz
ਅਖ਼ਰੋਟ	ɑxɾoːʈ
ਅਖ਼ੀਰ	əˈkʰiːɾ
ਅਖਾ	a˥˩kʰa˥˥
ਅਖਾਉਣਾ	akau˧˧la˥˧
ਅਖਾਣ	ɑːkʰaːn
ਅਖਾਣ ਪਾਉਣਾ	əkʰaːɳ pɔ̃ɳɑ
ਅਖਾਧ	akaːd
ਅਖਾੜਾ	əkʰɑːɾə
ਅਖਾੜਾ ਬੰਨ੍ਹਣਾ	äːkʰäːɾɑːpəgneɳə
ਅਖਿਲ	akˈeˈl
ਅਖੀਰ	akːiːr
ਅਖੀਰਲਾ	ɑkɪllɑ
ਅਖੁੱਟ	aːkʰoːʈ
ਅਖੇ	əˈkeɪ
ਅਖੇਪ	əkeːbˈɪt
ਅਖੇਪ ਕਰਨਾ	ɔːkʰeːiː pə gɾnaː
ਅਖੇਪਕ	au̯keːpək˥
ਅਖੌਤ	ˈæˈkɑːd
ਅਖੌਤੀ	a˥˩kʰa˥˥ti˥˩
ਅਖੰਡ	ɑqnɖʊ
ਅਖੰਡ ਪਾਠ	əxɑⁿɳɖ paːʈ
ਅਖੰਡ ਪਾਠੀ	əkʰɑːnd paːt̪ʰiː
ਅਖੰਡਿਤ	əkʰɳɖət̪
ਅਗਨ	agɑlʲ
ਅਗਨ ਕੁੰਡ	əgɐnɨkoɳɖɯ
ਅਗਨ ਬੋਟ	əgɐnˈ boːɖɐ
ਅਗਨੀ	ɑgnɛ
ਅਗਨੀ ਪ੍ਰੀਖਿਆ	əgni pɾiːd̪ kʰjə
ਅਗਰ ਆਗਮ	əgɐr ɑːgəm
ਅਗਰਗਾਮੀ	əgərgaːmʋiː
ਅਗਰਬੱਤੀ	əgɾɓt̪t̪iː
ਅਗਲਾ	agla
ਅਗਲਾ ਹਿਸਾਬ	əglaːhisaːb
ਅਗਲੇਰਾ	agliːra
ਅਗਵਾ	aːgvaː
ਅਗਵਾਈ	aːgˌoːaːiː
ਅਗਵਾਕਾਰ	əgʋɑːkɑːr
ਅਗਵਾਨੀ	əgʋɑːnːiː
ਅਗਵਾੜਾ	əgʋaːɽa
ਅਗਸਤ	aˈgast
ਅਗਾਂਹ	pagɑːn
ਅਗਾਂਹ ਲੰਘ ਜਾਣਾ	ə gɑːn ləŋg gɑːɳe
ਅਗਾਂਹ ਵਧੂ	agaːn bːəˈduː
ਅਗਾਊਂ	aˈgɐ̃um
ਅਗਾਧ	aːgaðɨ
ਅਗਾਮੀ	agammi
ਅਗਾਹ	aːgˈaː
ਅਗਾਹ ਕਰਨਾ	əgɑː kɐɾnə
ਅਗਾਹਾਂ	əgɑːhɑː
ਅਗਾੜੀ	əgaːɽiː
ਅਗਾੜੀ ਪਿਛਾੜੀ	əgäːɽiː piʈʃʰäːɽiː
ਅਗਾੜੀ ਹੋਣਾ	əˈgaːɾiː ɦoːɳe
ਅਗਿਆਤ	ogjaːtː
ਅਗਿਆਤਵਾਸ	əgeːäːtʋɑːs
ਅਗਿਆਨ	ogjaːn
ਅਗਿਆਨਤਾ	ogjaːnta
ਅਗਿਆਨੀ	əgjɑːnniː
ਅਗਿਣਤ	ageˈɳta
ਅਗੇਤ	aget
ਅਗੇਤਰ	ˈgeːt̪ər
ਅਗੇਤਰਾ	agajtra
ਅਗੇਤਾ	aɣetˈa
ਅਗੇਤੀ	əˈgeːt̪i
ਅਗੇਤੇ	aɣete
ਅਗੇਰੇ	agˈeɾe
ਅਗੋਚਰ	agotːjˈeɾ
ਅਗੰਮ	aːgamɯ
ਅਘ	agɯ
ਅਘਾ	aga
ਅਘਾਣਾ	əgaːɳa
ਅਘਾਤ	akaat
ਅਘਾਤ ਪੁਚਾਉਣਾ	fa kaːt puːtʃ oːna
ਅਘੁਲ਼	akːɔɾɐ
ਅਘੜ	agɖ
ਅਚਕ	ətʃak
ਅਚਕਣਾ	ətʃkəɳː
ਅਚਕਨ	atʃkɑnɯ
ਅਚਨਚੇਤ	atʃantʃet
ਅਚਨਚੇਤੀ	atʃəntʃt̪i
ਅਚਰਜ	atɾadɨ
ਅਚਵੀ	ɑkːʋiː
ਅਚਾਨਕ	əˈtʃɑːnk
ਅਚਾਨਕ ਆ ਜਾਣਾ	əʈːʃɑːnkə dʒɑːɳe
ਅਚਾਨਕ ਹੀ	əˈtʃɑːnk hi
ਅਚਾਰ	əːtʃɑːr
ਅਚਾਰੀਆ	ɑtʃɑːɾiːɑ
ਅਚਿੰਤ	atʃent
ਅਚਿੰਤੇ ਬਾਜ਼ ਪੈਣੇ	ə tʃnt bz pɛːne
ਅਚੁਕ	atʃokˈa
ਅਚੁਕ ਨਿਸ਼ਾਨਾ	ʈʰtʃʰok nɪˈʃɑnə
ਅਚੁੱਤ	atʃɒptˈi
ਅਚੇਤ	əʃeːt
ਅਚੰਭਾ	aːmbaː
ਅਚੱਲ	aːtʃaːnl
ਅਛਲ	ajʧaleːk
ਅਛਿੱਜ	atʃedʒɯ
ਅਛੂਤ	atʃut
ਅਛੂਤ ਉਧਾਰ	atʃud ɒdɒːɾ
ਅਛੂਤਾ	aːtʃuta
ਅਛੇਦ	atʃeːd
ਅਛੋਪ	aːtʃˈob
ਅਛੋਪਲੇ	əˈtʃoːple
ਅਛੋਹ	aː
ਅਜਕਲ ਮਾਰਕਿਟ ਵਿਚ ਨਕਲੀ ਦਵਾਈਆਂ ਬਹੁਤ ਆ ਗਈਆਂ ਹਨ	ədʒkəlːə maːɾkɛʈʰwitʃ nɐgɭiːdʋɑːɲbʰou ɑːgɑɲɑ
ਅਜਗਰ	aʒugˈaɾˈɨ
ਅਜਨਬੀ	ədʒnɑːbiː
ਅਜਨਮਾ	aːdʒɑnˈmɑː
ਅਜਨਾਲਾ	ədʒnɑːlə
ਅਜਪਾ ਜਾਪ	ədʒəpɑːdʒɑːp
ਅਜਬ	adʒabɯ
ਅਜਮੇਰ	dˈimeɪɹˈ
ਅਜਰ	dʒaːr
ਅਜਲ	tˌaʒˈaʃlɨ
ਅਜਲਾਸ	ʔɑglaːs
ਅਜਵਾਇਣ	ʈʋaːiːn
ਅਜ਼ਮਤ	azɯmɑt
ਅਜ਼ਮਾ ਕੇ ਵੇਖਣਾ	əzmɑː keː ʋəkʰɳə
ਅਜ਼ਮਾਇਸ਼	ʔmː
ਅਜ਼ਮਾਇਸ਼ੀ	æzmɑːˈiʃiː
ਅਜ਼ਮਾਉਣਾ	äzəmɑuːnə
ਅਜ਼ਰਬਾਈਜਾਨ	əgpoɪdʒan
ਅਜ਼ਰਬਾਈਜਾਨੀ	ɑzɑrbaiːjɑnːiː
ਅਜ਼ਲ	ʔazæl
ਅਜ਼ਲੀ	aðlˈi
ਅਜ਼ਾਦ	uzad
ਅਜ਼ਾਦ ਕਰਨਾ	ɑːðiːʔəd kər neʔ
ਅਜ਼ਾਦ ਖ਼ਿਆਲ	əzɑːd kʰəˈlɑː
ਅਜ਼ਾਦੀ	ɛzɑːdiː
ਅਜ਼ਾਨ	ʔðɑːn
ਅਜ਼ਾਬ	ðæb
ਅਜ਼ਾਰਬੰਦ	ɑzaːrbənd
ਅਜ਼ੀਜ਼	ɑːviːð
ਅਜ਼ੀਮ	ʔðiːm
ਅਜਾਇਬ ਘਰ	ədʒɑːjɛb kəɾ
ਅਜਾਇਬਘਰ	əˈdʒɑːbkər
ਅਜਾਈਂ	əgɑːiːn
ਅਜਾਈਂ ਜਾਣਾ	ədʒɑːiːn dʒɑːnəm
ਅਜਾਈਂ ਮੌਤ	ˌɐʒaˈiŋ mˈoɾətˈa
ਅਜਾਤ	əˈdʒɑːt
ਅਜਾਰਾ	ɑːgɑːɾə
ਅਜਾਲ਼ੀ	ədʒɑːliː
ਅਜਾਲੀ	əgɑːliː
ਅਜਿਹਾ	aːgɪɛ
ਅਜਿਹੀ	ədʒeːiː
ਅਜਿੱਤ	aːgjet̪t̪e
ਅਜੀਟਨ	ɑːgit̪ən
ਅਜੀਤ	aʒiːt
ਅਜੀਤਗੜ੍ਹ	adˈigɐɾə
ਅਜੀਬ ਸਥਿਤੀ	ɛdʒɛjːʋs dɛstɪtɪ
ਅਜੀਬੋ ਗਰੀਬ	ədʒiːbõː gɾiːb
ਅਜੀਰਨ	ədʒiːrən
ਅਜੀਰਨਤਾ	aːgirɛnta
ਅਜੀਵ	adivˈɑ
ਅਜੀਵਕਾ	adivkɐ
ਅਜੁੜਵਾਂ	əˈdʒoːɾˈʋaːn
ਅਜੁੱਟ	ədʒʌːʈ
ਅਜੂਨੀ	ədʒuːniː
ਅਜੂਬਾ	aːdʒuːpaː
ਅਜੇ	dʒiː
ਅਜੇ ਤੱਕ	aʒetq
ਅਜੈ	uaɻ˨˩lɑ˥
ਅਜੋਕਾ	adʒokːa
ਅਜੋਕੀ	adʒoːkiː
ਅਜੋਗ	adʒoɣa
ਅਜੋਨੀ	aːdʒoːniː
ਅਜੋੜ	adʒoɾ
ਅਜੋੜਾ	aʝoɾa
ਅਜੰਟ	əˈdʒɑːntə
ਅਜੰਟੀ	ʔəːnʈiː
ਅਜੰਸੀ	ədʒɑːnsiː
ਅਝਕ	atʃakə
ਅਝਕਣਾ	ətʃˈaɖeˈna
ਅਝੁਕ	atʃoˈkɯ
ਅਟਕ	əˈʈəkə
ਅਟਕਣਾ	əʈkəɳa
ਅਟਕਲ	əˈʈgəl
ਅਟਕਲ ਪੱਚੂ	ɦt̪ql paːtɕːuː
ਅਟਕਲ ਲਾਉਣਾ	əʈkələ laoɳe
ਅਟਕਵਾਉਣਾ	ɑːʈːɐkːʋaːn̪
ਅਟਕਾ	ɑːʈːɑː
ਅਟਕਾਉਣਾ	faʈakaːrɐ
ਅਟਕਾਊ	ɦɑːʈkɑːu
ਅਟਾ ਸਟਾ	ɐʈːɑːsɐʈːa
ਅਟਾਕੁਟ	ɐt̪ːkːɔːʈːɐ
ਅਟਾਰੀ	ɑːʈɑːɾiː
ਅਟਿਕਵਾਂ	ətːikːumˈan
ਅਟੁੱਟ	ədɔtːə
ਅਟੁੱਟਵਾਦ	ətʰoːtːbaːd
ਅਟੇਕ	əteːk
ਅਟੇਰਨ	baɖɐjɾenu
ਅਟੇਰਨਾ	əʈːɐjɛɾnɑː
ਅਟੰਕ	ɑːtaːŋg
ਅਟੱਲ	ʔɐt̪ɐl
ਅਠ	ɑːʈːʃə
ਅਠ ਕਰਨੀ	ɑːʈkɑrniː
ਅਠਕੋਣ	ɦt̪kɔːɳ
ਅਠਤਾਲ਼ੀ	ɑrtäːliː
ਅਠਤਾਲੀ	ɑːʈitaːliː
ਅਠਤਾਲ੍ਹੀਵਾਂ	art̪alima
ਅਠਪਹਿਰਾ	ɑːtʰpaːəɾɑː
ਅਠਪਹਿਰੀ	ɑːt̪ʰpɛɾiː
ਅਠਫਲਕ	ʔɑʈpʰəlk
ਅਠਭੁਜ	aːʈʰpdʒʈ
ਅਠਰਾ	ɑːʈ̚ɑː
ਅਠਰਾਉਣਾ	ətʰrɑːvɳj
ਅਠਵਾਂ	ɑɾtɯmɑl
ਅਠਵਾਰਾ	ɑːɖʰʊɑːɾə
ਅਠਵੰਝਵਾਂ	aːʈʰvndʒɦuaːn
ਅਠਵੰਝਾ	ɦɑʈːʰʊ̃ːɳdʒäː
ਅਠਵੰਝੀਂ	aːʈʰvndʒiːn
ਅਠਾਂਹ	ɑtʰɑ̃
ਅਠਾਈ	ɑːʈ̟ʰɑːiː
ਅਠਾਈਂ	ɑːʈ̟ʰɑːiːŋ
ਅਠਾਈਵਾਂ	əʈːɑːiːsəɳˈ
ਅਠਾਨਵਾਂ	ɑːtʰɑːnɑːˈwɑːn
ਅਠਾਨਵੇਂ	əʈʰɑ̃nʊeʔ
ਅਠਾਨ੍ਹਵੀਂ	ət̪anviː
ਅਠਾਨ੍ਹਵੇਂ	ɔːjːɑːnɨ˩w̃eː
ਅਠਾਰਾਂ	ɑːtʰɑːrəʔ
ਅਠਾਰ੍ਹਵਾਂ	ətʃʰaːrmə
ਅਠਾਰ੍ਹੀਂ	ɑːʈʰɑːriː
ਅਠਾਸੀ	ətʰɑːtˈsiː
ਅਠਾਸੀਵਾਂ	ʔɑːt̪ʰɑːsiːˈwɑːn
ਅਠਾਸ੍ਹੀਂ	ɑtʰɑsɪŋ
ਅਠਾਹਠ	ɑt̪ʰɑːt̪
ਅਠਾਹਠਵਾਂ	ɑːtʰɑːt̪ʰoːən
ਅਠਿਆਨੀ	ɦat̪e̞ɑ̃ːniː
ਅਠੂਹਾਂ	ətːuhɑː
ਅਠੋਤਰ ਸੌ	ɑːʈ̞t̪ɾsaː
ਅਠੋਤਰੀ	əʈhɦoːt̪riː
ਅਠੱਤਰ	ɦɑːt̪t̪əɾ
ਅਠੱਤਰਵਾਂ	ɑʈʰt̪ɾʋaːn
ਅਠੱਤੀ	ʔɑːt̪t̪iː
ਅਠੱਤੀਵਾਂ	ɑːɖt̪iːʋɑː
ਅਡਿੱਠ	t˨˩
ਅਡਿੱਠ ਕਰਨਾ	əɖʈʰ gɾnaː
ਅਡੋਲ	ˈædˌɔl
ਅਡੋਲਤਾ	ɖɔːlta
ਅਡੰਬਰ	əɖəmbɾu
ਅਡੰਬਰੀ	əmbri
ਅਢੁਕਵਾਂ	aːtoːkoːaːn
ਅਣਕ	quaːnk
ਅਣਕੱਜਿਆ	ɑːɳkədʒɑː
ਅਣਖ	ɔːnˈg
ਅਣਖੀ	pɐɽkiː
ਅਣਖੀਲਾ	annəkɪllaː
ਅਣਗਹਿਲੀ	æɳgjæːlːiː
ਅਣਗਿਣਤ	aːnːgneːgnt̪ːʰ
ਅਣਗੌਲਣਾ	aːngolga
ਅਣਘੜਤ	aːɳkɐrtə
ਅਣਚੋਪੜਿਆ	aːɳtɕjoːpʰɭiaː
ਅਣਛੋਹ	aɳtɕʰoː
ਅਣਜਾਣ	ɑɳdʒɑːn
ਅਣਜਾਣਪੁਣਾ	ɑɳtɕɑːnpəɳaː
ਅਣਜਾਣਾ	əɳaːnaː
ਅਣਜੰਮਿਆ	ɑːɳdʒəmɪjɑː
ਅਣਡਿੱਠ	aɳekeːʈʈə
ਅਣਥੱਕ	məɳtʰək
ਅਣਦੇਖੀ ਕਰਨਾ	əɳdeː kʰiː kɾəɳa
ਅਣਪਛਾਤਾ	äːɳepətʃʰäːtːäː
ਅਣਬਣ	ɦaːɳbaːɳ
ਅਣਭੋਲ	ˈænpˈoːl
ਅਣਮੁੱਲਾ	əɳməlaː
ਅਣਮੇਲ	əɳmeːl
ਅਣਮੋਲ	əɳmɔl
ਅਣਵਾਹੀ	ɑːɳʋaːhi
ਅਣਹੋਂਦ	ɑ̃nˈhɔ̃d
ਅਣਹੋਣੀ	ɑːnhˈlɪŋ
ਅਣਹੋਣੀਆਂ	aɳaːɣ̞oːnia
ਅਣਹੋਣੀਆਂ ਘਟਨਾਵਾਂ ਵਾਪਰ ਜਾਂਦੀਆਂ ਨੇ	ɑːɳɦoːɳjɑː kɪɾˈnɑːmɑː bɪprɨdʒɑːndiː jene
ਅਣਿਆਈ	aɳeːɑːiː
ਅਣਿਆਲਾ	əɳeːɑːlə
ਅਣੀ	ɑːnɪm
ਅਣੂ	aɳuː
ਅਣੂ ਦਰਸ਼ੀ	aːnə o dərˈʃi
ਅਣੋਖਾ	ɑːlˈwˈkʰaː
ਅਤਕਥਨੀ	ɑːt̪kɑːt̪ʰniː
ਅਤਰ	taːr
ਅਤਰ ਦਾਨੀ	ɣət̪rdɑːdˈniː
ਅਤਰ ਫੁਲੇਲ	t̪rpʰleːl
ਅਤਲਸ	atlas
ਅਤਾ ਪਤਾ	ʔˈtaˈ pˈtˈaː
ਅਤਿ	atːɯ
ਅਤਿ ਉੱਤਮ	atː ædːæm
ਅਤਿ ਜਰੂਰੀ	atːˈeʃ ɣˈeɾˈuɾi
ਅਤਿਕਥਨੀ	əʈːqaːt̪ʰɳiː
ਅਤੀਤ	ətiːt
ਅਤੀਸਾਰ	ɑt̪iːfɑːr
ਅਤੁੱਲ	atːolˈlˈ
ਅਤੇ	aːt̪e̞
ਅਤੋਲ	aːtˤoːnˤ
ਅਤੋਲਵਾਂ	tɑulɪmɑn
ਅਤ੍ਰਿਪਤ	adrɛpidɯ
ਅਥਵਾ	atʰva
ਅਥਾਹ	aːtʰaː
ਅਥਾਹ ਅਧਿਕਾਰ	ʔðaːdʊkäːr
ਅਥੱਕ	ulkoː˧
ਅਦਨਾ	adna
ਅਦਬ	ʔadːab
ਅਦਬ ਆਦਾਬ	ʔɑdˈb ʔaːdˤɑb
ਅਦਬ ਕਰਨਾ	ɑːdəb kəɾnə
ਅਦਬੀ	ˈdeːbiː
ਅਦਭੁਤ	adˈəpˈoto
ਅਦਮ	adˈɑm
ਅਦਮ ਮੌਜੂਦਗੀ	ad̪m maːdʒoːd̪giː
ਅਦਮਤਸ਼ੱਦਦ	adamtaʃadˈdar
ਅਦਮਤਾਮੀਲ	admt̪aːmiːl
ਅਦਰਕ	ʊ̞dɾɑk
ਅਦਰਿਸ਼ਟਤਾ	adr̪ʃt̪t̪aː
ਅਦਲ	adˈæl
ਅਦਲ ਬਦਲ	adəl bad̪əl
ਅਦਲਾ ਬਦਲੀ	adlaːbðliː
ਅਦਲੀ	ɑːd̪liː
ਅਦਵੈਤ	ədˈvɑːd
ਅਦਵੈਤਵਾਦ	ədʒyːtˈʁɑd
ਅਦਵੈਤਵਾਦੀ	ədʊˈʌtʊt̪diː
ਅਦਾ	adˈa
ਅਦਾਇਗੀ	ədaːgiː
ਅਦਾਕਾਰ	ədaːqɑːr
ਅਦਾਕਾਰਾ	əd̪aːqɑːrɑː
ਅਦਾਕਾਰੀ	əd̪ʱäːkɑːɾiː
ਅਦਾਰਾ	ɑdɑːraː
ਅਦਾਲਤ	adʕiːtˤ
ਅਦਾਲਤੀ	ədaːltiː
ਅਦਾਲਤੀ ਕਾਰਵਾਈ	əd̪ʱɑːlt̪iː kɑːrʋɑːi
