adidas	ɑdiːdˈas
daryšte	dɐrɪ̞ʃtʲɪ
darz	dˈɔɹz
darzən	dɑːrzæn
dasbəvarzin	nɒːstbovɒːɾziːn
dasdyroz	bost̪sˈtʁoz
dasmol	d̪osmol
dasmyždi	tˈasmɐʒdi
dasov	dosˈuv
dasož	dˈossˈuʒ
dasožəti	dosɔʒatɛ
dasparde	nosparɟɛ
daspardə	dɒsbɒɾda
dast	dast
dastinə	dɒːstinɒː
dastor	dustuɾ
dastov	nastʊu
dastpocə	dospɔtʃa
dastəg	nɔstag
dastənyvyšt	dɒˈstɒnvˈɵʃt
dastərandə	dɑːstæˈrɑːnde
dasvardə	nɒsvɒːɾdɒm
dasə	dˈosa
dasəcəkkə	dˈosˈatʃˈakːa
dasəcəkkə kue	do sɑtʃɑkˈkɑ kɔjɑ
dasərandə	dˈiasaˈɾˈaˈnda
dasəvonəti	dˈosavunati
dasəvonəti karde	dæstavunati kɑɾde
dave	nˈoːvɛ
dave gəte	dɔvegɐtɛ
davy co	do vɔ tʃu
davy dy	davɨdɛ
davy haft	dɔvɪhɑft
davy həšt	dɑːv heʃt
davy i	dɔvɔ i
davy nəv	dɔvɨnˈavɐ
davy se	dˈɐ vosˌe
davy šəš	dɔːvʃæʃ
davypenč	dɔvɔpjɛ̃ːnʧ
dašbaš	dɔʃbɔʃɔ
de	d
dehli	dɛhli
dejsəvə	tejsava
dekabr	dakabuɾ
del	dˈɛl
den-den	ðenˈden
den-den karde	dendendˈɒɾde
der	deɾ
deryq	dæɾɯ̞χ
derzi	derˈzi
derziəti	derziati
detybə	dˈɛteba
deven	d̪øwɛn
devenəkə	debenaka
di	dˈe
dik	dˈik
dim	dˈim
dimin	dimin
diməkukə	dimˈakˈuka
ding	lɛŋg
div	dˈiv
divo	devo
diz	dˈis
dizə	dizˈa
diə bykə bə penčə.	dˈiɐ dʊ kˈɐvɐ pˈɛnʒˈa
diə karde	ɟɯjˈakartɯ
diən	djˈan
do	dˈo
dorcin	durtʃɯn
dumo	dɔmˈo
dust	dʏst
dustaq	dˈøstˈɔʁ
dutemon	tutemõn̪
dyjo	dajum
dyl	dˈɯɫ
dyltangi	tɯltaŋgi
dyltangi kəše	duɔ tʰɔŋgɪ kɑʃe
dyroz	druːz
dysa	dˈɛsˈa
dyven	dˈə-vˈɛn
dyzdipok	dˈəsdˈipˈuk
dəb	tˈab
dəbase	dbɑːse
dəbboq	dabˈoɣ
dəbboq noe	tabɾuɣnuʲe
dəbboqəti	dabogati
dəbie	daɣɛ
dəboxte	d̪abuxte
dəbyrčie	dabɯɾʒɯ
dəbyrčynie	dabɯɾdʒiˈnje
dəcynie	datʃini
dədulə	dɑdulɛr
dədə	dada
dəftər	daftar
dəfyn	dapɔn
dəfyrsie	dafərsie
dəfyrsynie	nafɛrˈsini
dəgynie	dagane
dəhašte	dɒhäˈʃtɒ
dəkande	ðakonˈde
dəkyrnie	dˈakɜɾˈne
dəmərəs	dɐmaraz
dəmərəsi	dmaˈrasi
dəparzyniə	dapɔrʑɛɲia
dəpyšie	dapɾɨʃɯ
dəqande	dˈaˈɣande
dəqandə	dɒgɒndɒ
dəqiq	daʁˈvˈɛ
dərgəz	drˈgəz
dərhol	darɦu
dərs	dˈɑrs
dərty-vylo	dartɛvɨlu
dərue	daːɾuːjɛ
dəryte	ˈdɑɾete
dəryve	dˈarɛvɛ
dəryzie	dˈɑrəzi
dəryžie	dˈaɾʒi
dərzi	teɾzi
dərəme	d̪aɾame
dərəs	daːɾas
dərəse	dɑːrɑːsɛ
dərəčə	dæɾˈdʒe
dəsie	dasjˈe
dəsue	tˈa
dətase	dæɾtɑːse
dətaspe	dɑtɑːsˈpe
dəvarde	dɑbɑrde
dəvardə	daːvɒːlda
dəvaste	davaːste
dəvlət	dɑːblat
dəvlətin	dɑɫˈlɑtˈin
dəvlətmand	dablɑtmand
dəvuš	davˈuʃ
dəvyškynie	dˈɑvaʒkɛnˈe
dəxmə	dæxˈmɑ
dəxyse	daxˈɯse
dəxysnie	daxjesniː
dəzgo	dˈɑsku
dəğandə	dɑːgɑːnˈdɑ
dəğiğ	dɣˈiv
ebarde	ɦbɑɾde
ebase	æbɑse
ecame	hɒtʃɒme
ecyke	ɛtʃike
ecynie	etʃnˈi
edašte	edɑʃtʃe
edoe	ɛdˈue
edošte	ædoˈʃte
edəsie	ˈɛðaʃe
efešnie	ɛfɛʃnɛ
efyrse	afɛnse
efyrsynie	ɛˈfɛrˈsɛni
egarde	e̞gɒːɾde
egordynie	kəgoɾdɔnijɣæm
egynie	eɣ̞nia
ehanə	e̞hɒːnæm
ehašte	e̞hæʃte
ehdə	ˈekda
ehson	ɑħˈsɔn
ehtijot	ətiʊt
ehtijot karde	ætjɑˈtkɑrde
ehtijotin	eɣtiɔtin
ehtijoč	ɛhtijɔtʃ
ehtimol	æˈtimul
ehtimol karde	æhtimol kaɾde
ehtiroz	ɑˈtʃɯɾˈuz
ehtiroz karde	etʃiɾozkardʒi
ej	ˈeɪ
ekarde	əkɑɾde
ekku-pekku	ekupeko
ekue	ɛqˈue
ekvador	ˌekwɐdˈoɾ
ekyr	eqeɾ
ekyrie	ækæɾiː
ekyrnie	ɛkɛrniɛ
ekyrnijə	ækˈɚnˈ
ekyšte	ækʲɪʃte
elaškie	ænɑʃke
elm	ɛdɪmo
elmi	almi
elmin	almin
elon	alun
elon karde	æˈlɔnkartæ
eluskie	enlˈoskˈ
elxi	elk
eləm	ɛllɑːm
eləm karde	ɛˈlam kaɾde
eləm kəše	ʔeːdæm keʃe
elət	ɛɫˈat
emande	æmænˈde
eme	m
emol	ɛmul
emolotxonə	e̞mɒːloːtxuːna
emuzie	ɛtˈmɔ̃ʒˈiʁ
enomnie	anumpavʲerɨɫa
enəme	ename
eparzie	kʰonˈʃæ
eparzynie	ɒːpɒːɾzniː
epyke	epike
epyš-pepyš	epɯʃpepɯʃ
epyšte	ˈɛfiste
epəre	e̞pɒɾe
eq	ˈɛx
eqande	ɢɒnde
erezie	æɾˈze
erežie	rʏgjæ
erosnie	ɾʊznˈe
eroxnie	ɛrʊ̞ɣniː
erqor	ɛɾɣoɾ
eržon	ɛrʒɔn
eržonəti	ɦrʒuːnəti
erəsi	ɛɾasi
erəsi karde	ɑɾɑˈsi kɑːɾde
erəxe	eraxe
esie	es
etat	ɛtɔt
etiž	etˈeljˈ
etoxe	ətʊ̞χɛ
etybo	tɛdɔbɔ
etybojn	tɨbojn
etyno	ɛtɪnˈo
etyno karde	ætnæˈkɑɾde
etəne	ʔeːtanɛ
evarde	ɛvɑɾde
evate	peɾvɑte
evašt-pevašt	e̞bɒʃtbe̞vɒʃt
evašt-pevašt karde	æˈvɑst beˈvɑst kaːɾde
evašte	e̞mˈbˈɒʃtˈe
evenčie	avendʒi
evordynie	ɛnʁuɾdɯnɪje
evəše	æbæʃe
extijor	aqtijoɾ
ezavzie	ɛzavziː
ezavzynie	esoβsani
ezym	bɛzɨm
ezymančən	æzmɑːnʒɑn
ezyrnie	ɛzɛrnˈje
ešande	ɛʃɑndɛ
eše	ɛʃɛ
ešure	æʃyøle
ešx	ˈœʃ
ešykyrnie	eskɛrˈnˈj
eššək	aʃak
eže	æʒæ
ežemon	ˈdʒomɔn
fakun	fokʌn
fam	fɔm
fame	fome
farsi	farsi
fel	fɪl
fevral	fɛvrɔl
fikfam	fukfok
fil	fˈil
firištə	fʲɾʲisˈtʲa
firqə	firɣe
firəngi	fˈjˈrˈaŋˈgiː
firəngiston	fjrangɪston
fomən	fˈumɑːn
fynčys	fandʒis
fyšor	fɛʃur
fəlokət	fæˈlkæt
fəti	fatʃi
ga	gˈo
gakkə	kɔkːa
gakkə že	gɔkˈaʒe
gam	o
gamin	gamɛn
gamylə	ɢɑmɯɫɑ
gaməduə	kɔ̃adˈʌə
gamək	gomak
gandym	ɾandum
gandymə	gonˈdima
gangal	gɔŋgɔl
gard	gɑːrd
garde	gˈɑɾde
gardin	kɔɾˈdiˈn
gardyxok	gɑːrdxoːg
gardyš	kɒɾˈðiʃ
gardən	gaɾˈdˈɒn
gardənin	gɒɾdɒˈnˈiːn
gasdbu	gostu
gasi	ɦɑːsɪl
gavz	gˈovz
gavəlu	gɒːbɒluː
gavər	koˈvar
gejsu	kejʃo
gejvə	gejme
gelləš	bjɯɫːɑʃ
gemyž	gɒmɒʒ
gend	bjen
ger	gæɾ
gerb	gʉrb
gevendən	kebend̪en
gezy	gazi
gešdy	gɒʃti
gešdy že	geʃte ʒe
gešny	gæʃnɯ̞
gi	gˈaɪz
gicə	getʃe
gij	dʒ
gijegət	gjˈeɣat
gijozə	gɫoˈza
gili	gili
gilin	gæ̹lɪ̞n
gilos	ɣylos
giləki	gʎˈaki
gin	gin
ginyvolo	gʲinbwɫu
gir	bɪr
giri	dʒyɾ
girin	giɾin
girinč	gʏˈɾʏndʒ
girov	gʲɛʊ̯
girvankə	dʒurboŋkʰa
girəvo	gˈiravˈo
git	git
git-gitone	getgetuɲe
gitəkə	dʒitˈaka
givə	gjˈvɛ
giž	dˌiʒ
gižbəsə	diʒbæˈse
gižəlgo	ðiʒɑlgo
giəvon	gjɑːvʊn
go	go
go-oson	goːsuːn
goduš	guˈdyʃ
gofe	bafe
golyš	ɢuluʃ
gomuš	uŋuʃ
goni	kuːniː
goniəti	gˈlˈɑtˈi
gordonie	kurdunija
goəvon	gwavon
gucon	gutʃun
gudə	gydˈa
gudəmə	gudama
gug	gˈuð
guja	vɨjo
gulipyrt	gylˈepˈeɾt
gullə	bylˈla
gulləqand	gulaʁant
gulməxmər	gʏlmæxˈmæɾ
gulu be	gˈulubˈɛ
gulul	gulul
gulə	gʏlɛ
gur	gur
gur-gur	gʏɾˈgʏɾ
gur-gur karde	gyɾgyɾ kaɾde
gurrə	gurɾa
gurrəjn	guɾˈajn
guzaran	gozɒˈɾɒm
gučuli	budʒyli
guš	guʒ
gušin	ˈguːʃiŋ
gušmədə	gʃmda
gušovə	kʏʃuba
gušvərə	guʃbɾh
gušə	guʃa
gušələxə	guːʃɒlɒqha
gušəvang be	guˈʃaˈ bˈonk be
gušəvard be	guːʃɒvɒɾd bˈiɾ
gužd	bʏɾt
guždəku	ʒʒˈdɒkˈɒ
gužkolo	guʃkɔlu
guən	ɣɑːn
guəve	gʊ̞hæbɪ̞
gyjə	bɪja
gyjəkəvuk	gɛjˈakɑvuk
gyjəž	beˈjaʒ
gyle	gʏlʲɛ
gylfə	gɫfa
gyliz	glˈɪz
gylmə	kɯ̞ɫmɑ
gylmə-gylmə	gɯlmɑgɯlmɑ
gylməjn	gɐɫˈmæn
gylo	gɯ̞ɫo
gylov	gɫuv
gylovnie	gɫau̯dˈi
gylə	ulɑ
gyləj	kɭˈɑ
gynd	gɐ̃ndɐ
gyndə	bɯnˈda
gyng	gʊnd
gynie	gɪ̞njæ
gyno	gɐnˈo
gynokor	gnuqur
gyp-gyp	gəpˈgəp
gyrd	gɤrd
gyrdil	bɪ̞ɾdɪl
gyrdilə	gɾˈɾdilˈa
gyrdo	gɯɾdu
gyrdul	gɯɾdʏl
gyrdykəno	gərdəkano
gyrdə	gɯɾˈda
gyrdə karde	beɾdɑk ɑɾde
gyrdəka	gɯɾˈdɑkɑ
gyrdəkə	bɪrdaka
gyrdəməčulə	kɯɾˈdɯmɑdʒulɛ
gyrdəməčulə be	gˈɪrdimɛj dʒyɫɛbe
gyrdəčulə	gɪ̞rdæʒʲjɫæ
gyrč	bˌɑstʃa
gyrčijə zyvon	kəɾdʒiː aːzɐbun
gyrčiston	gɾdʒiston
gyty	gətˈe
gyzgie	gʏ̞zgʲɛ
gədo	gado
gədə-gədə	gadɐgɐdɑ
gədəglə	gadɛgva
gədəli	gadalɛ
gəjbətəkə	ɣæjbatˈʰakˈa
gəl	gˈɑl
gəle-gəle	gɒlɒgɒlɒ
gəlfir	kˌɐʊvˈiɹ
gəlfirəti	kalviˈrˈati
gələ	gɑːlɑː
gələndə	gɑɫɑnˈda
gələvon	kaðamun
gəm	gɐm
gəməro	ɣamru
gənčinə	gɐ̃nˈdʒɪnˌa
gəp	gˈap
gərop	gˈarʊp
gəropcə	gɐrˈuptʃa
gərək	ˈgɾak
gərəkin	ˈgɑɾɑːkɪn
gəte	ɣˈʌtˈe
gəty-gyrikuš	gatɪkəɾiːkuiʃ
gətym	gatʃɛm
gəv	gav
gəvcərəz	ɣæftʃʰaɾmæn
gəvi	gavɛ
gəvə-gəvə	gˈɐlˈɐgˈɐlˈa
gəz	gas
gəzet	gazˈt
gəzənə	gazana
gəšt	gæʃt
gəšt karde	gʃtkɑːrdhæ
gəšti	gaʃti
gəštibon	aʃtiɓun
ha	a
haftband	hɒtbɒnd
hafto	hoftu
hafto co	hoftutʃu
hafto dy	hoftɔdɛ
hafto haft	hæft v hoːft
hafto həšt	hɒːft væ hæʃt
hafto i	hɒːftʊˈiː
hafto nəv	hˈof to nˈɔv
hafto penč	hoftɒpˈentʃ
hafto se	hoːv tuː se
hafto šəš	ħɑfˈt v ʃæʃ
haftə	hofˈta
haj	ʁɔj
hajdi	ɦajdi
hajhu	hɑjɯ
hajm	ajm
hajmi	həˈj
hakənə	hɑkɑnæ
hal	ɑɫ
hal-gəzijə	alˈgaziˈjɒˈ
hal-hal be	aɫ haɫ be
hampor	ampuɾ
hamsuə	hɑ̃wsua
hamsuəti	hɒmsaˈte
hamue	ɔmɪ
hamuš	amɯʃ
hamuš be	homʃ be
hamuš karde	hɒmuʃ qaɾdi
han	hɒn
hand	hɒnd
hande	aɣoŋdɒ
handəj	hɔndaɪ
hangom	ɦoŋguːm
hanin	ɦɑnin
hannybarde	hɒnˈnˈibɒɾde
hanovəjn	oɲvajn
hanymužən	haˈnimujʒen
hanyve	hˈɑnˌ
hanyvišin	anʲβʲiʂjn
hanyvə	ɣɑnˈvɑ
hanə	hɒnæ
hap-hup	hɒphɒp
haqanə	äˈgɑnɑ
haqisə	aahisa
har	ɑːr
hard	hɒɾt
harde	aɾde
hardovnie	aɾdompavʲerɣi
hardy	hɑɾðɯ
hardyhəš	ɑːrdhæʃ
hardymon	hɒɾðmɒn
hardədə	hɑːrdɑːdə
hardənə	hɑːrðɑːne
haruž	hɑːrʒ
haružnə	ɑrʒnɑ
haryn	ɑrɯ̞n
harynəti	ɦɑrnætj
hase	ɦɒːse̞
hatərəfin	ɑːtɾɑːfiːn
havrə	ˈovra
havrədə	ɦɔvrada
havz	aɫvuz
hašte	hɑːʃte
haštə	hɑˈʃtɑ
haštəbə	hɒːʃtaba
hejrət	hejɾat
hejrətin	he̞ɾatʰĩn
hindi	hindi
honi	huːniː
hu	e
hukm	lˈʌkm
hul	øl
hulə	højlæ
hurmət	hɯrmet
huš	hœʃ
hušə	oʃa
hylik	ʁʏlʏk
hyndi	ɑndi
hyndyl	aŋdɯl
hyrd	høɾˈd
hyrd be	ħɛrdb
hyrd karde	aɣyɾt kaɾde
hyrs	ɦɒɾs
hyte	hɑhˈte
hyšk	ɦʊ̞ʂk
həmbol	hæmˈbul
həmboli	hæmˈbulˈe
həmboləti	hæmbʊlɑti
həmom	hemmæm
həmpo	ampo
həmpoəti	enpwˈaːtib
həmuš	ʁaːbos
həmyčim	hemdʒim
həmyčimi	ʕamdʒmi
həndəvər	hændɑˈbɑːr
həsrət	hasɾet
həvuš	hæbuːʃ
həx	hɑːx
həzo	hazˈo
həši	hæʃiː
həšto	æʃtuː
həštpər	hæʃtpɑːr
i	iː
i-dyglə	edˈʌvˈla
ibadət	ibˈdʒet
ibarət	iːbɑːrɑːt
ibtido	iptiˈdu
ibtidoin	iptidɔjˈin
id	id
idorə	jʊˈdɔɾa
idorə karde	eˈduɾɑ kaɾde
ifodə	ifoda
ifritə	ɛfˈdita
ig	ig
iglə	igla
ijo	eɣo
ijul	ijˈjʊl
ijun	iljun
ijən	ɛɲ
ijəndy	jˈɛnd
ikkərəti	ikːɑrɑtʲi
iktyfo	ɪktɪfˈu
iktyfo karde	ektiˈfu kɒɾdi
ikərə	iːkæɾæm
ikərədə	ikaɾada
iltizom	iltɛsˈum
iminə	bʲiminæ
imkon	imkoːn
imon	emun
imorət	e̞mʊˈrɑt
imtyhon	ɛmtʃɛwn
imtyhon doe	imtɪgɔɯn doj
imtyhon karde	ʔimtʰiːnˈ kun kaɾdi
imtyhono beše	ʲimdɪ ɔnɪ beʃe
imzo	imzu
ingilis	ingilis
ingilisi	iŋglesi
inkišof	jˈɛndiʃov
inkišof karde	iŋxɪ ʃuð qɑrdi
inkor	ɵnˈkɔr
inkor karde	nˈkʏrˈ kɑˈrðœ
inod	ginuð
inodkorəti	jʊ̞nʊ̞tgʊ̞ɾɑtʲi
inotkor	nˈutkˈar
inqylob	inɣlɔb
inqylobi	iːnɢɯlɯʋbi
inson	jˈunsˈon
insonəti	jnæsɔnɛtj
institut	institˈut
intizomin	jɛndizomin
intišor be	intuʃorbe
intišor karde	iːntuʃuɾ kaɾdi
intyriqə	ɪntɪrɪgɑ
intyzom	jˈətˈɪzˈum
intyzor	iːnteˈzor
inčil	ɯˈɲdʒɯl
inə	ina
iq	ˈɪ
iraq	iːrɔːɣ
irlandiə	jɪrˈlondjɑ
iron	i̠ɾuːn
ironyž	bʲirunɨʒ
isal	isɔːl
isbot	ɪsˈmuːt
isbot karde	ɪspokɑɾde
iskan	ɪskɔn
ispanaq	ˈaɪnfˌaxdˈiː
ispani zyvon	ɪspanˈjuzɪvˈˈon
ispiškə	ˈispˈɪtʃɐ
istehsol	ɪzˈtˈesuːl
istehsolət	ɪsteˈsɔɫɑt
istifodə karde	æst fʊlˈdɑ kɑːrðe
