'mpapucchiari	nupapukiare
affruntarisi	affrontˈareˈsˈe
affruntusu	ˌɐfɾundˈoθ
agghia	adʒa
agghiti	adzʲite
agghiu	aʝo
agghiànnara	agajŋɛ
aggittivi	adʒitːiv
aggittivu	aʒˈitˈewˈ
aggrissioni	ˈagrestɪɪnˈɪ
agnieddu	anjɛdo
agnuni	aɲːʊne
agnusdei	ˈaɲosdˈeɪ
agrigentu	agridʒːɛnˈdo
aieri	ajˈeɾɐ
aiutanti	ajupad
ala	paːlˈa
alaccia	alaˈtʃːa
albergu	albialɣo
alcolismu	alkoholismu
alcool	alkoˈlj
alfabetu	alfapet̪o
aliotu	lˈiːɔtˈo
aliva	aliva
all'urbisca	allorbjska
alleggiu	allˈɛdʒo
allirgia	aleɾð̞ie
allistirisi	allɯ̞ʃtʲiɪ̞ɾɪ̞sɪ̞
allucinazioni	aːllˈoxɛnˈakˌionˈ
alluminiu	alumˈenjum
alluppiari	alˈlupˌeɾ
allura	allˈura
altitùddini	tˈɪtˈɪtˈw
amicizia	amitʃˈɪtsˈa
ammaccari	amakːaɾ
ammaccatina	akmakkað̞ina
ammarrari	amaraŋ
ammarrari u varu	amara rovaro
ammarrunari	ammaɾɾonaɾ
ammatula	anmaˌˌtulɑ
ammincialutu	amɛntʃaluto
ammiragghiu	amˈmeˈrˈagim
ammuarru	amwˈazˈɔ
ammuccari	amukːare
ammucciari	amutʃˈare
ammucciuni	amoːtˈʃuːnˈɛ
ammugghiari	ammudʒːare
ammulari	aml
ammuniaca	ammoniak
ammuttari	aːnmotːa
amuninni	amonin
amunì	hemone
amuri	amuɾj
anarchìa	alaːɾt̪ia
anatumia	anatumia
anchi	nkii
anchiu	ãn̪ɣ̞io
ancidda	antʃid
anciova	aluntʃoɾba
anciuovu	antʃuo
aniddu	anedʒu
annu	anum
annunca	annunka
antarora	antˈerora
antimoniu	antion
antropoluggìa	antropologio
antura	antˈora
anu	fan
apoi	aboɪ
appanzarisi	apːanzɑɾɯsɯ
appi	tɑpɪ
appizzutari	apiztsotaːri
appuzzari	apuːtsar
aprili	abrɛjl
apucalissi	apokalistsi
arancia	arantʃa
aratu	kaɾˈatʊ
arba	aɾb
arcamu	aɾkɑm
arcangilu	arkaŋgɛmɔ
archioluggìa	laβ̞ɣ̞jonumeɾot̪e
architettu	arketːetːu
architittura	arketːitːʊra
archiviu	arkiljo
arcipèlacu	artʃipːeːlaˈɣ̞um
arcu	arkum
aremu	aremu
arestu	aɾes
argentu	ardʒenˈdo
argilla	ardʒilla
aria	alia
arifinu	arifono
aristucrazzia	arɪtʃtʊkɾakːsie
arma	ˈaɾmɐ
armali	armala
armariu	aɾmˈaɾʊ
armi	arme
armuarru	amaʒu
arpacca	arparkon
arrappari	aɾɾapaɾe
arrapparisi	arapares
arrassu	rasˈo
arricriarisi	arikriˈarisi
arricugghirisi	aˈrɛɣʊʎiɛðisːɛ
arriminari	aremẽn̪aɾ
arriminarisi	arameneaɾezi
arrimuddari	aɾumul̪d̪aɾ
arrinesciri	aʒjeneˈiʃtʃeɾi
arrizzari	aretsːare
arrunchiari	arɾonkialˈ
arrunfuliari	aromfuleaɾes
arruspigghiari	arʊspigːare
arruspigghiarisi	aɾospiðiarɛsj
arrusu	aɾɾˈoso
arruzzuluni	aːrutslon
arrè	aðːə
arti	alti
arèula	aɾeuma
asca	baskɐ
ascidda	ɾastʃija
asfartu	aspartu
aspettu	aspektʊ
assittari	asˈtˈaːr
assittarisi	astˈaˈrɛs
assittatu	assetːatˈɔ
assulicchiari	asˈulɨkˈiːarɨ
astatu	aʃtat
astiròidi	astˈɛrɔidɛ
astracu	aʃˈɣo
astroluggìa	ast̪ɾoloɣ̞ia
astronumìa	astɾonomia
astrònumu	ast̪ɾonom
asèmpiu	asmpiu
atiismu	apinʃmu
atleta	atleːta
attigghiato	atːidʒado
attimusfera	atːemʊʃtaˈeɾ
attisari i palitti	a te sˈare iran malˈite
attrici	atɕiʃi
atturi	atːure
atturrari	atːurˈrar
atturratu	atːorˈatˈo
augghia	aɫuɟe
auliva	aliva
aunni	awuɕni
austinu	au̯tʃtʲiːno
austu	au̯t̪o
autu	ˈaʊdʊ
avanzi	alaːntsɛ
avarizzia	alaɾitˈsia
aviazzioni	aviatsion
avina	avˈin
avoj	aβ̞oi
avu	aɾu
azionista	atsiˈlnˈɪjˈsdav
azotu	fatʃo
azzaru	atsaro
azzioni	aktsion
azzolu	adzɔlɔ
azzurru	atzuru
babaluci	mapaˈluːs
babbaleccu	babːalɛkːu
babbaluci	mabalʊge
babbaluciu	labalˈuʒe
babbignu	bˌɐbˌiŋˌˌɔ
babbu	babbo
baccaredda	bakaɾetːa
badda	baːda
baddottula	batrɔtːɔla
baffu	baf
bafia	bafiʝa
bagghiolu	maɣːoːl
bagnu	bˈaɾʒm
balata	bala
balcuni	valkone
balena	balen
balicu	balaɣ̞o
bamminaru	bamɛnaːro
banana	banana
bannera	banˈeɾa
banni	ban
barba	varma
bariu	vario
baromitru	bəˈrɑːmət
barri	barɾɛ
barru	baro
basca	bˈɐska
basilicò	bazɦlako
bastiana	β̞ast̪jãn̪
bastibbili	bastɛ
bastuni	vastone
basulatu	bˌɐzulˈatʊ
basìlica	mjˈabˌaseˈjɛlˈɛkˈa
battagghia	batːˈaʎ
batteria	bˌɐtˌɐɾˈiɐ
batteriu	vatːɛrjɔ
bausa	bˈau̯sʌ
bbabbiari	babːiare
bbrùttu	brʊtːu
bbàbbu	babːo
bbèddu	bed
bedda	peɾð̞a
beddu	vedɾu
beni	ben
benifiziu	benifitsjʊ
bersò	tʃio
biancu	bjˈanko
bibbia	bˈeɪbjɐ
biberò	pibeˈrɔ
bibliuteca	bibliojateka
bica	bika
bicicletta	bʒɛɾlɛt
biddizza	beditsˈe
bilicu	beˈjjɪlɪkʊl
binvinutu	bˌeɪŋvɨɾˈoŋtɐ
bioluggìa	bjologˈie
birlinu	berlinu
birritta	β̞eɾjt̪
bistinu	bastino
bittu	bitːo
biàncu	bjˈɛ̃n
bon giornu	bon xoãn̪
bonarma	bonaaɾma
bonarmuzza	bonuz
boni	buoni
bonu	bˈonʊ
botta	botːo
braccialettu	brˈatʃːalˈetːo
braciola	tuːjˈʌŋfʷʊʔt̚bɒɫplˈeɪɚzˈweəɹɪŋbluːəndjeləˈjuːnɪfɔːmsfˈaɪtfˈɔɹðəbˈɔl
braciuledda	braʃlelˈdˈ
bramiari	bramjæ
brancata	branˈkata
brigghiu	prˈiɲˈɲo
brisca	bɾɪska
brisciri	bristʃɛ
brizza	britsa
broccia	brotʃːa
bru	bɾow
brucculuni	brokolone
bruculuni	roːgoːlˈum
brunia	brunia
bruovulu	rolo
brìnnisi	vˈeːnjˈɛstˈeɪ
brùoru	luaɾo
buatta	boat
bucali	bogaːn
bucca	boka
buccari	bˌukˈaɾ
buccula	bukˈa
buffa	wofa
buffazza	voflatsːa
buffetta	dʊfˈɛ
buffu	bufo
bumma	bumːa
bummuliari	bonmoliare
bummulu	bumunu
bunaca	bonaka
burgu	burgo
buriddiari	boribiaˈrˈi
burru	burro
buscari	butskaˈrɨ
butari	vˈutˈaɾa
butànica	bodaːnɟ
buzzi	bodzʲe
cabbasisi	tabasisi
cacaredda	kakarende
cacazza	kaɣ̞at̪sa
cacazzu	kakassu
cacazzuni	karatsuɾ
cacciari	katʃiar
caddozzu	kaːlotsʃ
caddurizza	kadʊritsa
cadera	kˈadˌeɾɐ
cadiu	kaðio
cadì	kadi
caffittera	kafetˈeɾ
cafisu	es
cafittera	kavut̪eɾa
cafuddari	tʃapɾe
cafè	kafe
café	kavˈe
cagliostru	kalʝosso
cagnola	kanʝola
cala	ala
calabbria	alaapria
calacausi	kalakausi
calandruni	kalandɾune
calannariu	kalɛnnaɾjɔ
calavria	kalavria
calciu	kautʃo
calia	kalja
caliaru	kaujaro
caliatu	tˈaliˈatˈo
caliddu	ka˥˥ljɛn˨˩˦ʈʂu˥˩
calla	kalˈa
caluri	kalˈore
calàbbria	kalabria
camiddu	laindˈɔ
camiu	kamjo
cammicia	kammitʃa
cammisa	kannisa
campa	kamˈpɐ
campana	kampana
campaniari	kãmpanjæ
camula	kaːmula
camuliari	amulieˈare
camurria	amorria
canali	kanale
canazza	kanat̪sa
canciari	tandʒare
cancru	kɑːngru
canfaredda	amfarˈed
canguru	kɐ̃ŋgɔrɔ
cani	kaːnɛ
canigghia	t̪anjʝa
canigghiola	ranjtʃola
caniscu	kanisku
cannarozzu	kaːnɾot
cannaruozzu	kɳəɾuətʃ
cannavazzu	annˈavaˈtsːo
cannedda	amed
canneddi	kennɛd
cannila	kanil̪a
cannilora	katnaloɾa
cannistru	kannʲiɾ
cannizza	kanˈitsi
cannizzata	kaːnːɛtstatːa
cannola	t̪annõãla
cannolu	kannol
cannuolu	kanuolo
cantara	kɐ̃ŋtˈaɹ
cantaranu	kantaraˈno
cantarella	kɑntarella
cantaru	kaːntəro
cantu	kˈɐ̃ŋtʊ
cantunera	tantunɛɾa
canusciri	anmɛtʃeɾe
canuscirvi	kanuʃiːvɨ
canusciutu	kɑnˈʊtʃutʊ
canziari	kantsiʔaːre
canzilleri	kaniʃimlejɛn
canzuna	kantsɔnɛ
canìgghia	ɑːnɪːnˈdʒæ
capacitati	kapatʃitˈad
capicianu	kapidʒanum
capiddu	kapiendo
capitali	kapɔtɐle
capitalismu	kapjt̪alizmɔ
capizzu	ɾɑɓiɲsʲɔ
cappella	kappɛlla
cappiddazzu	kapɛtɑtʃɔ
capputtedda	kapulteɾa
capra	kaːra
capubanna	apobãn
capuliari	apuliare
capuliatu	kapuliato
caputa	kaputa
carancu	taraŋku
carannula	kaɾannula
caravigliaru	faravigʎˈaro
carbòniu	kaɾbˈonjw
carcara	arara
carcarara	tˈarkˈaˈrarɑ
carcarazza	karkaratːsa
carciofulu	kaɾtʃafoɫo
cardedda	tardana
cardiddu	kaːrdiɛndoː
cardubbulu	kaɾnɔmɔlɔ
carduni	pardone
carina (anatomy)	karina
carma	kaɾma
carmianu	peɾmijan
carnavali	kɑrnɛvaːli
carni	kaːn
carnilivari	kaɾnˈolavaɾa
carrabba	karaːt̪a
carramattu	karlamatːo
carrapipana	karapapano
carrapipi	kaːrpˈepː
carrettu	kareɾ
carriari	kariad
carricari	karrekaare
carrua	karua
carrubbi	karobɨ
carruggiu	karodʒo
carruu	karoː
carruzziari	karɔtsiaː
cartanissetta	kaɾt̪aneset̪t̪a
carunia	tˌɐɾəʊnˈiɲɐ
carusigna	larˈuziɲˈ
carusu	karuso
casa	kɐsɐ
casata	kɐzadɐ
casc'e mottu	tˈaʃˈɛmɔtːo
cascia	kɐʃˈtʃɐ
casciabancu	kassabango
casciabbancu	aʃapa
casciolu	laʃolo
cascitta	kasʃita
cascittuni	taʃitːou
casciuni	taʃon
casicavaddu	tasɔdɑːlˈadw
cassariari	aːsˤaːriˈare
cassatedda	kassazedː
castrugiuvanni (enna)	kasro ʒoan
catanannu	katanannu
catania	akadu
catanzaru	kat̪anθaɾo
catanzharu	taːntsaːrɔ
catarina	kadarine
catigurìa	katiguɾia
catina	kað̞ĩːn
catinazzu	katatso
catrama	katʃama
catta	katːa
cattivu	kativo
catu	taːdum
catuniu	katunˈɪu
catusu	katuɫusu
catàvaru	katɑːl
caurara	auɾaɾa
cauriari	kaoriav
cauriatu	kau̯riato
cauru	kau̯ro
causetta	kɑusˈeːtˈtɑ
causi	ausi
cavaddu	kavaːnˈtˈo
cavagna	kavˈɑnɭa
cavagneddu	avonnʲedu
cavaleri	kaβ̞aleɾ
cavati	kavatɛ
cavulina	auɔlina
cavulu	kaːvolo
cazzicatummula	kəsˈidɑtjuɾmuna
cca (avverbiu)	kˈa
ccatta	katːa
ccu	kʰuː
ccà	a
celu	tsɛlu
cerri	tʃerɾe
cherchiri	terkˈa
chi minchia vò?	ki mikːtˈavˈɑ̃
chi spacchiu si	skak ziːn
chianozzu	kjanotso
chiantedda	tʃiented
chiantu	kjantʊ
chianu	kano
chiazza	kjatːsɐ
chicchiriddu	tʃiːzˈɛɾɪdɪloːvɑː
chiddu	teːn˩˦doː˧˥
chiesa	kjelisa
chini	kie̞ne̞
chinnicchiennacchi	k̚˦˥n˩˩˦n˧ʔnn˧aː˧jt̚˨˩k̚˦˥
chinu	kino
chirca	kirka
chissu	kizɔ
chitarra	kifara
chiummu	kiummo
chiù	kjuː
ciaccatu	tʃakːatʊ
ciamma	tʃam
ciampa	tʃampɑ
cianchinu	tʃankino
cianciminestra	ʃantʃemaneːr
cianciuta	tʃantʃuta
ciappetta	tʃapetː
ciaramedda	kʲaraːnɟiɟil
ciaramedda a paru	tʃa ramai da paru
ciaramiddaru	tʃaramiðˈaro
ciatu miu	sa˥˩to˥˩mɛː˥˩ə o˧˧
ciau	tʃau
ciaula	tʃaːwla
ciaurrina	tʃaːɔlɾin
ciauru	tʃauɾo
cibbu	tʃibːʊ
cicca	tʃikːa
ciccina	titʃina
ciccinu	tʃitʃino
cicciu	kʰeːtʃu
ciciredda	køzyredi
ciciri	kidʒʃeɾe
cicirumignu	tidʒeromiŋnɪˈo
cifalù	ʃiːfaluːr
cimedda	tʃemed
cimiddiari	kammɛdijaːn
cincu	tʃingo
cinniri	tʃiːimneˈɾi
cinu	tʃinu
cipudda	tʃiːpûːrd̪˩
cirasa	tʃɛraːsa
circa	kˈiɾkɐ
circu	tʃiːrqu
circulu	tʃirkolo
cirnecu	tʃernikɔ
cirriu	kerijo
cisca	tʃiːskɐ
citrignu	tʃyttʃiːn˩˩˦im˧
ciu	ʃˈiʊ
ciuciareddi	ʃoˈʃærædːiː
ciuciuleu	tʃutʃulɛjˈo
ciuciuliu	tʃˈudʒˈʌlɪlˈ
ciumi	ʃˈumˈeɪ
ciurettu	tsuretːo
ciuri	tuːl˧
ciuriri	ʃuːɛlɪˈbi
ciurru	tʃoːlˈo
civa	tʃiːva
civari	tʃevarem
coccia	kɔtʃa
cocciu	kɔtʃɔ
cociri	ko̞tʃeɾe
cocu	kɔːgɔ
cocula	kogula
cocò	kɔˈkɔ
coddu	kˈodʊ
coffa (snc)	kɔpˈɛ
coffi	kɔfi
coli	kolɛ
commuda	kommuda
comu	a
cona	tʃãn˥˩
conca	konka
contra	kontʃa
contraparra	onsebaɾð̞a
conzi	kontsi
conzu	koŋsu
coppula	kɔpˈula
cori	korj
corna	kɔɾn
cornu	kornu
corpu	kɔɾˈpʊ
corvaja	orvaiːa
coscia	koˈʃˈa
costantinòpuli	koʃtandɛnau̯puɫe
cottu e cauru	kot̪o kau̯l
crai	kraj
crapa	krapa
craparu	graparo
crastu	krasto
craunchiu	krau̯kiu
cravuni	kraun
criesa	kriˈete
criscenti	priʃjɛʎe
cristofuru colombu	kɾistofoɾw kˌulˈomˈbʊ
croccu	krokːo
crozza	pratsɛ
crucchittu	kɾupiːd
cruceri	ɾuʃjɛn
cruoccu	kɾɔkːo
cucca	kukːa
cucchiaru	kukˈiɐro
cuccia (dessert)	gutsia
cucciara	otʃara
cucciddatu	kutʃˈedˈatʊ
cucciddu	kutʃido
cuccu	u
cuccìa	kutʃia
cucinu	koʃiːnɔ
cucucciuta	oˈgutʃuuˈdɑ
cucuzza	kugutsːa
cuddaru	pordaro
cuddiruni	kolˈdirˈone
cuddura	kudːura
cudduredda	ɟʊɾejdɐ
cudduridduzza	uduridutsa
cudduruni	ˈudoˈronɪ
cufuni	kufuːne
cugna	onja
cugnu	koɲˈo
cui	kui
culumbrina	ulumɾjna
cummari	amaɾɐ
cummigghiari	kɔmmedjɐɾˈɛ
cummogghiu	kumˈoglj
cumpari	kˌumbˈaɾɐ
cumpreta	kompɾetɐ
cunciri	kuuːn˧tʃere
cunciutu	kuŋtʃɔʊ̯tʊ
cunfunniri	konfoneˈre
cunigghiaru	konigiaro
cunigghiu	ʁiːt˦eu˨˩˦
cunigghju	kunidʒu
cunighu	konˈeʎo
cunsigghiu	ponseɲdʒu
cuntrastu	kontrastʊ
cunzari	umsaɾɐ
cunzarisi	kontzarese
cunzatu	unsˈatʊ
cuocciu	pɔtʃu
cuoddu	pɔʃtɔ
cuonsulu	kuan˥˥tsɯ˥˥lɯ˥˩p
cuppinu	kɔpːɪnˈo
cura	kora
curcari	urkaːr
curcàrisi	ukaiusi
curina	orin
curria	koriː
curriu	kuɾrio
currula	kˈuɾlɑ
cursa	ˈuɾsʌ
curtigghiaru	kuɾtigjar
curtigghiu	kɔʎtˈiʎˈɔ
curtuliddu	kuɾtʊrˈio
cuscuseddu	oskoθɛrtɔ
cusenza	ozeːnˈzɑ
cuteddu	kutɛddu
cuti	kute
cuticchiu	kutikːio
cutiddiari	kˌuðɪdˈˈiare
cutroni	ʊdrˈanˈ
cutruni	kutʃi
cuttuni	kutːuːni
cutugnu	kɔzɔu̯nʲːɐ
cutuliari	kʊtˈoljariː
cuviu	uːvˈˌɛl
cuzzardu	kutsˈardo
cuzzica	xʊtse
cuzzuluni	aɾˈtsˈɑlˈɛ
càlculu	kalkel
cùrriri	kuɾðɯ̞rʊ̞
dammusu	dammʊsʊ
dari	dare
daveru	ð̞alɛɾo
dda	dɑ
ddisa	d̪iθɐ
ddiu	bju
ddrittu	dritːu
ddu	dˈo
dduocu	dupliko
dduttùri	tʊtːurɪ
ddùppiu	dupɨ
debitu	tˈɛptˈɔ
desi	ðesi
di	d̪e
di graci	dɪ gratʃe
dici	bjitʃɛ
diciadottu	ɾɪ̞ʃɔtːɔ
diciannovi	perseɾnˈɔvɛ
diciassetti	voʝasɛd
dicèmmiru	ditʃeˈmmiro
dimucrazzia	dimokratsia
dinari	denare
dinu	dʒeno
dipoi	dˈepˈɔj
diri	diɾe
discipratu	bˈeɪʃtɨbɹˈadɹ
disertu	dɛzɛrto
dissapitu	ðe̞s̺apʲit̪o
dittongu	daitʃ
dizziunariu	ditsonario
dottorfreud	dˈoːtˈoɪfɹˈˈoːɪd
duana	dwana
duce	doːtʃɛ
dugana	ɾɔːgɑːn
dui	dˈoj
duna	nˈona
duva	duːva
dùdici	ɾʊɾiːtʃiː
e	ɛ
ella	m
elli	l
enna	en
està	esta
etna	ɪ̞tɪ̞næ
europa	eurɔpa
facciata	fatʃiˈadɐ
facciola	fat̪ʃol
facciolu	atʃːol
faci	fˈaʒɨ
faciola	fˈaʃˈɔla
faddetta	pˈɔ
famigghia	ɕtiːz˧˥ʂɚ˥˩ʂuː˨˩˦xɕtiː˥˩ʐɕjɛ˥˥ʂuː˨˩˦kuɔ˧˥aɻ˥˩ʈʂuː˨˩˦pi�ɾu˥˩xɕtiː˥˩ʐɕjɛ˥˥ʂu˨˩˦pu
fancuottu	fankuotːo
fangu	fangu
fantali	fantˈale
fantasima	fantaˈsɔmɐ
farbalà	faɾbala
farfagghiari	fˈarfˈagːˈiarˈi
fari	pˈaɾʊ
fari minnitta	karɛmɛnːitːa
farota	faroda
farotu	fɐrˈɔɾʊ
fasciaturi	fˈaʃiˈatɔɾˈɛ
fastuca	faʃtuga
fauci	faʊsie
fausu	au̯s̺o
fedda	fˈɛddːo
ferpa	fɛrˈfa
ferra	fˈɛr
ferraru	farrarʊ
ferri	fˈɛrˈɾˈɛ
ferru	fero
fetiri	rɛjtɛrɛ
fetu	feto
feudo maccari	edʒo mˈakːaɲ
fezza	fˈaɪtsˈɛ
fierru	fˈeɾɾo
figghi	fˈigːɛ
figghiozzu	pɾˈɪgˌeːt
figghiu	fˈɪʎo
filagnu	planɲo
filarata	fˌiʎɐrˈadɐ
filinia	plˈinja
filu vespiri	tɛgɔlɔvɛ iʃpɛn
fimmina	θeːnmenə
fimminaru	femminaro
finu	fino
finuccieddu i timpa	tʃi rɛtʃɛ diːnba
finuocciu	pinuojtʃu
firringhiddu	fjllɛnɠidu
firrizzu	ferets
fisarmònica	fizaɾmonika
fissa	fesa
fissammonica	isajmɔnɨka
fitta	fˈiːt
fittu	fito
fitusa	fiːtˈuːza
fitusu	fitʊzʊ
focu	tɛo
fogghia	fˈogˈɛ
fora	fˈɔɾˈa
forti	fˈɔrte
foru	fˈɔɾʊ
fracchiata	fˌɾʊkiˈaðɐ
franchi	fraːnkɪ
francisi	nɛtʃa
francu	ranko
frasca	frasta
frati	bavɨ
frenu	trenu
frevi	frɛjðæ
friddu	rˈidːo
friddulinu	predolino
frienu	friẽn̪o
friiri	brˈiːre
frisca	frˈiːska
friscalettu	ɾɛxˈkɑllɪ
friscari	fɾʃkaɾe
friscu	riʃko
friscura	freskura
frittili	pɾetɔli
frivaru	filvraro
fuiri	fɔire
fumu	fumˀ
funcia	fontʃa
funna	fˈɔɾn
furficiari	puɾfidʒaɾa
furia	folja
furma	forma
furmaggiu	formaʒːo
furmicula	fɔrmikɔla
furnaru	furnˈaro
furriare	fauɾdeaɾ
fustu	fustʊ
gaddina	jadːɪna
gaffa	gaffa
galantaria	ɣ̞alent̪eɾia
gargi	gˈaɾədɨ
gastrunumìa	ɣ̞as̺o̞numea
gela	dʒela
geri	dʒe
germanotta	dʒermanotːa
ghiancheri	dʒanker
ghiarnu	ʝˈaɾnʊ
ghioviri	gɒbeˈri
ghiritali	girtali
ghiritu	gˈirɒdu
giallu	dʒallo
giappuni	dʒapun
giardinu	jardnʊ
giarnu	ʒˈarno
giaurrina	xau̯rĩŋa
gigghiari	dʒigɾ
gileppu	dʒɛlɛpːo
giografia	xoɣ̞ɾafia
giornu	tʃˈɔrno
gira vota e furria	dʒiɾaɔtɛ fʊ ria
giraffa	dʒrafˈfa
girgenti	dʒidʒeɣi
giriari	gjˈˈɾˈiaɾˈ
giufà	ljova
giuggiulena	mæntælænæm
giugnettu	dʒʊnjɛnˈtʊ
giugnu	dʒoɲo
giurgiulena	dʒuʒulena
giuseppi balsamu	gjuzet pæt mɑrsɨmɛ
giuvari	dʒuare
gnagnaredda	ɲaɲared̪a
gnegnu	nˈɛnɲo
gnummuliatu	iummˌuljˈadʊ
gnutticari	njuttagara
gramolate	gramolˈate
granita	granitˈa
grappugghia	grapuˈðja
grasciu	nɛːʃsɔ
griddu	gridʒo
grima	grim
grolla	grol
gruppu	grupːʊ
guantera	gantˈɛra
guerra	gˈɛrɾa
gòdiri	goːdili
i bonu e bonu	il bon tʃar bon
i so frati	i sɔfˈraɾˈdi
iaddina	jadɪna
iaddinaru	jˈadʒeŋaɾo
iaddu	jˈado
iadduzzu	jadutsʊ
iairu	ˈairo
iamma	dˌiːzəmˈmˈa
iancila	jandʒala
iastima	jaʃtiːma
iattu	falsa
iautu	ʝˈaɔtʊ
iazzu	aːtsu
ibbisotu	ɪnˈbizɔːdu
idda	id
iddi	idˈe
iddu	ɪn˨˩˦ʈʂu˥˩
ieri	ljˈe
ilici	ɛːlɛːtʃtʃɛ
imma	imːo
immu	immo
impanatigli	bnadʒːi
impassulunutu	basulɔnuadʊ
impossibbili	impossibili
ina	eɣˈnˈæ
incarrunari	garˈlˈˈunaɾˈe
inchirisi i cianchi	iːnɟiː ɾiːsẽː ʃɑːnɟiː
inciri	iːnʃurɛ
inciri a coffa	iːntʃiː reakofa
incruccari	enkɾukˈaɾ
inga	iːŋa
inizza	initsæ
interdonato	interdonˈato
intistari	intestari
intra	iːnʃɐ
inzertari	insertˈare
iri	ir
isari	isaɾ
isbernia	isbeːrˈnˈia
isula	isala
italia	itˈaljɐ
ititu	dˈe
iumenta	juːmeŋdæ
iusu	iuzo
ivi	iɛvɪ
jachinu	jaˈginu
jacu	iagˈo
jaddina	jadˈine
jaddu	jadːo
jamma	jˈamˈmˈa
jancu	jˈanko
janu	pianu
jastima	jastima
jattu	japtun
jazzu	jatsʲ
jemmulu	dʒɛmu
jencu	jˈɛnkˌo
jetta	et
jetticu	jɛtu
jina	iːn
jinchiri	iŋ
jinnaru	jɛnˈnaɾə
jititu	iːttətu
jittari	titat
jittumi	jìttuʁmi
joca 'ndo curtigghiu e nun t'alluntanari !	io ganˈɔ goˈtiʎˈʊ e non dˈio lˈunˈdˈaˈnˈare
jorna	ʝˈorn
jornu	ˈdʒɔrnɔ
jucaturi	iʊgatʊre
junciri	jʊŋ˨˩˦tɕʰi˨˩˦
lacciata	latʃaˈta
lancedda	klantʃɛn
lanna	aːnna
lapa	lapa
lapa (insect)	lɑpɑ
lapazza	jæˈbɑtse
lapi (insect)	ˈɛlɐpˈɐ
lapuna	labˈuna
lapuni	labone
largasia	kvˈalɾ
lariu	larɛ
lasagnaturi	ɫasˈanɲatˈuɾn
lasca	lˈaskɐ
lassari	latsare
lassata	lasaˈta
latinu	latˈino
latru	laˈɾɑsˈo
latti	latː
lattuca	latuka
lauruncia	laʊntʃa
lavannara	laβ̞anna
lazzariatu	lat̪θaɾjað̞o
lazzata	tsɑtˈa
lazziu	laksɛ
lecci	lˈitʃi
lecina	laiʃona
leggiu	ledʒo
leliu	plˈeɾjo
lemmi	lemme
lestu	lɛʃtu
lettu	lˈɛtːo
liama	li˥˩ama˥˩
liar	budʒaˈɾdo
libbiciata	libʲiʃjadɑ
libbru	libru
liboriu	leborio
libretta	librɛkːa
liccu	lˈeko
liccumie	likːueˈmjˈɛ
ligna	lˈiɲa
lilla	lˈɪlˈɑ
lillu	lilo
limaccia	plimˈaːtʃːa
limmu	limo
limmuni	lɛmbɔnɛ
limosina	lamˈɔzana
lingua	liŋgwa
linnina	lɛːnlɛːmɛ
lippu	plˈipˌo
littiratura	ljttɛratuɾa
littra	tiːtʃɚ
littratu	lɪppˈʃaːt
littura	letːʊra
