'di	bi
aktibidad	tɑqtˤjˈbˈdˤad
aktibista	apːtːɪbˈisˈtˈa
aktibo	aktibo
akting	takt̪ɪŋ
akto	akto
aktor	aktor
aktres	aktɾˈɛs
aktuhan	aqtɑhɑn
aktwal	aktwãn
akuin	ɑqɑuːɛm
akurdyon	akuldʒoɳ
akusa	qɯ̞sɑ
akusado	aqasˈsaːdˤo
akusasyon	aːkwstiazsio̞n
akustika	ɑqustɪkɑ
akustiks	akˈustiks
akwaryum	akwaɾioŋ
akwatik	ɑqwaːtik
akwatika	akwaːt̪ika
akyat	ɑkɪjɑt
akyat-panaog	akjɑtpɑnɑɑɔ
akyatan	akjɑtæn
akyatin	akjɑtɪn
akyát	ɔqjɑt
ala	alaː
ala!	ala
alaala	ælˈlæːlæ
alab	alˈab
alabastro	tʃapelistobastro
alabok	alabɔ
alabwab	ɑlɑmɣwɑm
alaga	alaːga
alagaan	aːlaːgaʔan
alagad	jˈtˈegˈad
alagad ng batas	alagat nŋ batas
alagain	alagain
alagang-alaga	ɑlɑgɑnɑlɑgɑ
alagata	alagata
alagatain	alagataʔn
alagaw	alˈɐgɐl
alahas	alaːhasa
alahero	alafero
alak	ala
alak pula	ʔɑɫɑqnɛ ʔulɑ
alak puti	alak na pʊt̪ɪ
alak-alakan	ɑlɑqɑlɑːkɑn
alak-bigas	ælæbɪgˈas
alakalakan	alˈakɑlɑkɑn
alakan	ɑlɑːkɑn
alakbat	alakbt
alakbay	ʔalaqbaɪn
alakbayan	alaqbaːjaːn
alakdan	ælæqdæn
alala	ɑlɑlɑ
alalad	ælæn
alalahanin	ʔalaːlahaːn
alalaon	alalaon
alalawa	alawa
alalay	alaːlajna
alalayan	alaːlajan
alam	alaːm
alam na alam	ʔælɑm naʔʔlam
alamaam	maː
alamang	alamˈan
alamat	ælæmæt
alambre	alambɾe
alamid	ɑlɑmɪn
alamin	ælæmine
alaminos	alaːminʊs
alampay	alˈampaj
alampayan	aləmpajan
alan	alaːm
alang-alang	alɛŋɑlɑŋ
alang-alang sa	alɛŋ ɑːlɑːŋ sɑː
alangan	alɛŋan
alanganin	alaɠnhĩːn
alangas	ɑlɑmɑs
alangilan	alangilan
alap	ɑlˈb
alapaap	alaːtaːʔa
alapot	alapʰɔt
alarakas	alaraʄas
alarma	alaɾma
alas	ɑlɑs
alasas	ælæsæst
alasuas	alasuas
alat	ɑlɑt
alat-alatan	alat̪aˈlata
alatan	alatan
alatiit	ɑlatiʔit
alatwat	alatˈʔuat
alawihaw	əloːeɦaːu
alay	alˈlaɪn
alay-ay	əlaiːae
alayan	alaːjæn
alba	alba
albanya	albaːnʝa
albay	albaːi
alboroto	alboroto
albularyo	albulario
album	ˈalbʊm
albumen	alβ̞omẽm
aldaba	ald̪aβ̞a
aldabahan	aːldabhan
aldabis	aldavis
aldabisin	ald̪eβ̞isint̪
ale	ale
alegasyon	alˌeɣasjˈon
alegato	alegato
alegoria	alˈleɣoɾia
alegoriya	alegora
alegro	alˈɛgɾo
alejandro r. roces	ælˈohˈændrə ɚəz
aleman	al˦˥l˥man˧
alemana	ælæmæn
alemanya	alemãn̪ʝa
alerdyi	alɛɾˈʒi
alerdyik	alɜdʒik
alero	alero
alerta	alertˈa
alerto	alertʊ
alex c. delos santos	ˈælˈɛks tˈi ˈɪn ðə sˈaɪnz
algodon	alɣ̞oð̞õn̪
algopobya	algɔpɔbjɒ
alherya	alˈɣɾia
ali	əˈliː
alibadbad	ʔˈalibaːtˈbˈad
alibadbaran	alibat̪β̞aɾaːn
alibambang	ɦalibambang
alibangbang	alibæŋbæŋ
alibata	alibata
alibay	alibaj
alibugha	əgːugjaː
alicia	alˈɪkja
aligaga	ælʁg
aligamgam	aligamgam
aligando	aliɣando
aligasin	aliɠn
alige	ɦlɪɣæ
aligi	ɑlɛgɪ
aligid	aliːgid
aligin	aligjn
aligutgot	ɒlˈeɣotˈɔtˈ
alik-ik	ɑlɪkˈkeːk
alikabok	alekaboua
alikabukin	alikabokin
aliktiya	alikja
aliktya	ɑlɪktʃɑ
alila	anila
alilain	aliːlaːjn
alilang-kanin	aliːlaːnˈqɑːnˈjɪ
alilisan	alˈɪlˌiːθˈat
alilisin	alili˥˧sin˨˩
alimango	alimamo
alimapapayaw	alimapapaʝau
alimasag	ælimasak
alimbukay	alimbukaj
alimbuyugin	alimboiugin
alimis	alimˈisˈ
alimpungat	alimpoŋat
alimpungatan	alimpʊŋa˥tan
alimpuso	alimpuso
alimpuyo	alimpujo
alimulon	alimolon
alimuom	alimɛʔɔm
alimura	alimora
alimurahin	ɑlɪmˈuɾahɪn
alimuwang	alimwaŋ
alimwang	alimwan
alin	ælʲin
alin ba ang gusto mo?	alɪn ba ˈaɪ gustu mˈo
alindog	alimdoug
aling lapis	ali en la pis
alingasngas	aliŋasˈːas
alinlangan	aːlinnaːŋan
alinman	ælʲnman
alinsangan	ælinsaŋan
alipin	alipin
alipinin	alipiniŋ
alipusta	alipusta
alipustain	alipwstaiŋ
alisto	alisto
alisán	alizˈan
alisín	ɑlisˈin
alitan	alitan
alitaptap	alitʃaa
aliw	ɛlju
alkalde	aːlkaːldi
alkaldesa	alʲekalde̞sja
alkohol	alkohɔn
allan k.	əˈnʌn keː z
almusal	almɑsˈaːl
almusalin	ælmsjæiːn
alok	alˈo
alon	alon
alpabeto	albaveto
alpas	alpas
alsa-balutan	elssaβ̞alut̪ẽn̪
altanghap	aːl˥t̚˨˩aːŋ˧hɑb
alternatibo	alteˈɾnatˈjbo
alternatibong	altənatɪgɔ
alukin	ɑluɛkɛn
alulod	allɔd
alulong	alləlˈɔ̃g
alupihan	alupihan
alín	liən
ama't	amat
amado v. hernandez	ə bˈaɪdəl dɪ hˈɪmnædʒɪz
amado yuzon	aˈmado ɪnˈzən
amag	amag
amagin	amagin
amats	amat̪s
ambag	ambag
ambagan	nðæmæmmɒnɒgjɒn
ambisyon	æmˈbisˈi
ambisyosa	amβ̞isosa
ambón	amβ̞õn̪
amerika	amerika
amerikano	ameɾikano
amerikána	amiɾikana
amihan	mihan
amin	amim
aming	ɑ˥˥mɪŋ˧˥
aming mga	amɛn mɛŋa
aminin	amin
amo	amo
ampalaya	nei̯˩˧aː˧
amputa	amfɔta
amuyin	amɨjˈin
amóy	amoʝ
anaconda	ɑnɑqɑndɑ
anahaw	anaːhɐu
anak	anːaq
anak na babae	anak na bəˈbi
anak na lalake	anakna lˈlɑhɪ
anak na lalaki	ɑnɑnɑl ɑlˈkiːm
anak ng puta!	ʔanak naŋ pwt̪a
anak-dalita	anakdaːlita
anak-pawis	anakktʃaːwɪs
anakputa ka	anaktoɣa nɑqpu tɪgɑ
anakputa ka mamatay kana sana gago tarantado animal bugok	ɑnɑkpɔtɑ ɑmɑmatɑj kʼɑnɑ ɑsɑnɛ gɑdo tɛrtadɔ ɲmɑtɕuɣo
analisis	analysis
anarkiya	anarkia
anarkya	anaɾkeja
anay	ˈaɪnə
andrea veneracion	aðə ɾɪjaː ˈbɪnjɒŋaː ʃuː
andres bonifacio	aðɾes bõŋifakjo
ang	pau̯
ang aking asawa ay isang pilipino	ɑŋ ɑkɛŋ asawa ɑj isaŋ pilipino
ang baho ng kili-kili mo	ŋbaho nɛŋ kilɛkɪlɛ mɔ
ang baho ng kili-kili mo!	ombaho niligili mɔ
ang bango mo	ãŋ β̞aɣ̞omoo
ang baro mo ay bago	aɴbaro mo aj bago
ang bilis niya lumakad, hindi ko maabot .	ɓilis tʃə nomakat ɗi ko mabot
ang ganda ng kutis mo	ɑŋ gɑⁿɗɑ nɑŋ kotis mo
ang kasalungat na salita ng tambalan ay	aːng kasalwnʝat na salita nŋ tɛmblan ʔe
ang kiukok	ankjuko
ang kupal mo!	ʊpəlɔ
ang labo mo	la boˈmol
ang lagusan ng tubig ay itatayo na.	aːlagoːsa nɑntuːbi kɑitatɑjjʊna
ang laro namin kanina ay isang kadayaan	aːɴ laɾo nˈɑmɛn kanina ˈɑɪ isaˈŋ ˈkɑdɑjɑɦɑn
ang london ay ang kabisera ng inglatéra.	aːlondon ɛj aːŋkɑbɪseɾɑ nɛnˈgatɛra
ang mahal naman!	ɑŋ maħħɛlnaːman
ang munting prinsipe	aːŋg montiŋ prɪnsipɛ
ang paningin ko ay malabo na.	aŋ paniŋgin ko ɑj mɑlɑˈbuː na
ang pilipinas ay binubuo ng tatlong kapuluan	ang filipinas aɪ binao boʔo nang tatloŋ kapuluan
ang relo ni leroy ay rolex	aŋgɾɛlɔnj lɛɾɔj ajrɔlɛks
ang sarap naman nito!	ang sarap nəmɛn nɪ to
ang sawa ay nakalambitin sa sanga. translate: the snake(python) is hanging on a branch.	aːŋ sɑwɑ ɑj nɑkɑlɑmbiːtɪn sasaŋa
ang saya pala dito!	aːŋ sɑjɑp pɑlɑ dito
ang shitake ay isang uri ng kabute.	aʃitake ɑi isiŋ uri nɑŋ kabute
ang taglish ay ang paghahalo ng ingles at tagalog sa isang pangungusap.	agtagli ʃa jɛŋ pɑgahɑlɔnɛŋ ɛŋglɛs na tɑɣɑlɔg sa isean panguhusap
ang walis na iyan ay panggamit sa sahig	nʕəw ʃnʕ nʕjɑn ʃɛːn ʃɛːn
angel locsin	ˈeɪndʒəl lɑɣsˈin
angeles	angeles
angeles city	ˈaɪnəl sɪtɪ
anggulo	aːngʏlʏ
anghang	aŋhaŋ
anghel	amhel
angkan	panka˥n˩˩˦
angkat	qat
angkatin	aːnkatin
angkin	ɑŋkɪn
angkinin	ankimini
angkinin mo ako	aŋkiŋiŋ məʔako
angkop	aŋ˧kʰʊb˨˩
ani	ani
anibersaryo	aniversaɾio
anihan	a˦˥nihãn˥˩
anim	anem
animnapu	animnapɔ
animnapu't anim	anim na pɔt̪anim
anino	anino
anit	anet
anluwage	ændøagɛ
ano	alo
ano ang gusto mong almusalin?	ano ãmung g�anoonˈgoːsto mʊŋ ʔalmosolin
ano ang pangalan mo	ɑnˈnuː ɑmfɑgɑl ɑlfɑ
ano ang petsa ngayon	anu wɔŋ pɛtsɑ mɑɦɔɾ ɟʷɑ
ano ba	ɑnɯba
ano ba 'yan	nˌubˌaɪˈaɹd
ano pong pangalan niyo?	ano poŋ pɑŋɑlɑnɛw
ano sa ingles ang... ?	ana sa iŋgles aŋ
anonas	anonas
anong balita	anoŋ baˈlita
anong dala mo?	anon dɑ lɑmɔ
anong ginagawa mo	a nõŋ ginagɔvamo
anong iniisip mo	aˈniŋɪniʔiʔtmɛ
anong oras na?	qɑnɯ̞ŋ ɑrɑsɯ̞nɑ
anong pangalan mo?	la la pũn̪að̞a es la
antala	antala
antalahin	ɑntælaiːn
antayín	antajan
antibiyotiko	antibjotigu
anting-anting	ẽnt̪ĩŋkelst̪ĩŋk
antipolo	antipolo
antique	ẽn̪t̪ike
antok	ẽnt̪ok
antonie	antoni
antonino r. buenaventura	el tenˈino ˈaɾ a bwˈena bendˈuɾa
antonio abad	seːˈliːnəˌhəˈqə
antonio j. molina	antˈoɲo dʒˈeɪmolˈɪnˈɑ
antukin	antukin
antáy	antˈaj
anu-ano	anˈoanˈo
anu-ano ba ang mga pangalan ninyo?	anʊ ɑnɔ ba ɑmɑŋɑ paŋalɛn ni ɲo
anuman ang kalagayan	aːnəmən ɑŋkɑlɑgɑɛɾ
anumang	anumãn
anunsiyo	anunθo
anunsyo	amnotsʲa
anupa't	anupˈat
anurin	anurin
anyare	laʝaˈve
anyaya	laʝaja
anyayahan	lajɛː˧˥jɑː˧˥haɪ˧˥
anyo	anˈiwˌ
aníno	anino
anó ang gagawin mo?	ano wɑŋ gagawin mʊ
anó ang ginawá mo?	anɔvangina wɑmɔ
anó ang ginágawá mo?	anawang ginaˈgawaˈmɔ
anó ang ngálan ng báryong itó?	anooŋɑlɑ nɛm baɾjɔŋ ito
anó ba itó	anubajto
anóng bago?	anon bago
anóng oras ang datíng nitóng bus sa mayn	anʊŋ ɔɾɑs ɑŋ ɗatɪŋ ni tʊŋ bas sa mɑɪnilɑ
apa	pɑpɑ
apanay	ʈap˦˥t̚˨˩ɑʔn
apartamento	apaɾt̪amẽn̪t̪o
apartment	əˈpɑːtmənt
apat	apat
apatnapu	apɑtnɑw̜
apatnapu't	apaknəput
apatnapu't isá	apak d̪e põt̪ izˈa
apatnapu't pito	apatna bɨlɛt pɨtu
apatnapung	apatnapoŋ
apelyido	apellido
apganistan	apgaˈnɪstˈan
apila	ˈoːpilˌa
apir	apir
apisiyonado	apisionado
apitong	tapito
aplaya	aplajjɐ
apo	apok
apog	apom
apolinario mabini	apoljnario mavini
apoy	aːpoj
aprikot	faprikot
aprub	apru
apula	apula
apulahin	ʔapʰlaxn
apulahin ang apoy	ɑpɔlɛhiːn ɑᵑgɑpɔj
aquino	akino
arabyang saudi	ʔarab jaŋ saʊdi
aral	aral
aralan	araˈleni
aralin	ɾæ̹lʲɪn
araneta	aɾanet̪a
araruhin	araroːħiːn
araw	parau
araw ng kaluluwa	ɑrɑunɛŋ kɑlɛluɑ
araw ng mga puso	aɾaʊ nɑŋ maŋa puso
araw ng patay	ãráuʔnõŋ tʰaːtʰaʔe
araw-araw	aɾau̯aɾau̯
aray!	aɾaj
ardilya	aɾt̪jʝa
arhentina	arɦɛntˈina
ari	ari
ari-arian	ariariːan
arkidiyosesis	afableokesis
arkilahin	ɾɐkjlæhˈin
arkitekto	arkitˈekto
arkitektura	arkjtektwra
armadilyo	armadiljo
armenya	aɾmɛn̪ʝa
armonya	aɾmonʲa
arnis	ɑrnis
arosbalensiyana	ɾɔsalɛntʃɑnɑ
arroyo	arojo
arte	ˈaɾpe
artemio ricarte	aɾtemio brisaɾt̪i
artikulo	au
artista	aɾð̞ist̪a
arturo r. luz	arturo loko d̪us
aráro	araro
asa ka pa!	hɑsɑ kɑpˈʰɑ
asahan	æsæːhɑn
asal	ɑːsˈl
asaran	asaron
asarin	aːs̺aɾiːn
asawa	asava
asawang babae	asasawanˈgoɾawitʃ
asawang lalaki	assauẽn̪ ke lake
aseite	aset̪te
aselga	asˈɛlga
aserbayan	ɑsɛɾbajɑn
asero	aˈsɛnɔ
asido	aːsidˈo
asin	aθˈim
asiwa	asˌiwa
asno	asno
aso	pɑ˥swe
aspeto	ˈæftɚˈoʊvɚlˈɛntəlɛ
aspile	asbele
assumptionista	jʌj˩˦iː�ɛːtʰt̚˥˩t̚˥˩ʰʒoʊ˧˥ʐan˧˥pʰiːt̚˥˩
astig	astˈi
asukal	asukal
asul	æsˈoːl
asungot	asˈungə
aswang	asˈaoˈ
asya	aʃa
asó	ɑsˈo
at	oˈts
at sa wakás	atsɑwɑkɑs
atake	atakɛ
atakehin	atakɛɦɛn
atat	atat
atay	aːtˈai
atbp.	tnˈt
ate	ate
ateismo	pateismu
ateneo de manila	ʔaː jɑ zəmən la
ateneo de manila university	æt næil dæmɑnˈɛllə juːnɪˈvɜːsətiː
atensyon	˨ˀɔ̀t̚˨˩enʃʰon˧
atik	əkː
atin	atem
ating	ating
atis	atis
atlas	atlas
atomo	atomo
atribida	atribita
atsaka	otʃɑqaa
atswete	atsuete
atáy	ataj
aunt	dˈi
aurora	auɾora
australya	aʊʃtɹˈaljɐ
austrya	ˈaʊstɹɪa
autobus	otobas
avenida	abenida
aw (diphthong)	au
aw (diptong)	ˈaʊ
awa	awwa
awanggan	awangan
awayin	auaɪˈɛn
awit	aui
awitin	auiˈti
awiting-bayan	aːtʰĩŋʔbaː˥˩ɐn˥˩
awstralya	ˌaʊʃtɹˈaljɐ
awtoridad	awtoriðað
awítin	auikĩŋ
ay jusko!	aj dʒuʃsgɔɫ
ay naku!	ʔa jɛnɑqɑwɑ
ayala	ajjala
ayan na naman sila	ajˈan na namˈan sɪlˈa
ayaw	aɪˈaɪ
ayaw ko	ajɛʊ̯˨kɔːl˧
ayaw ko ng gulo.	ajɛʔo nɑŋ gulo
ayoko	æjˈoːqoːm
ayon	ion
ayon sa sabi ng tao, mabait ka raw	ajsasabi nɛ tawagtao mabait kaˈraw
ayon sa...	ajunˈsɑ
ayos	aios
ayos lang	ajɛzlɑn
ayusin	ajusˈin
aywan ko	ajwanko
aywán	wɑŋ
azkal	asˈkal
ba	vˈa
bababa	bbɑ
bababa ba	bo˩˥ː dɔdo˥˩ː dɔdo˥˩ː
bababa ba?	ba ba ba ba
babad	labˈað
babae	babaːɛ
babaeng	babãːˈɛl
babaero	vabaero
babagin	babaʄvi
babala	baːbala
babang luksa	bɑˈbɑŋ lʊkˈsɑ
babarin	mabɑːdɪm
babasagin	bəbasaːgin
babasahin	baɓasˈaħiːn
babatiin	bˈabatiːn
babaw	babau
babayaran	babəjaron
baboy	bˈɑːbˈoɪ
baboy damo	baboi da mo
babuyan	babujan
babà	babba
babá	babə
baclaran	qlɑrɑn
bacolod	bˈɑqɑɵlɑd
bading	β̞að̞ĩŋ
badminton	β̞að̞mĩn̪t̪õn̪
baduy	baduːj
badya	bat̪xa
bag	vagra
baga	vˈagɐ
bagabag	bˌaɣabˈaŋ
bagahe	bʱɣɑːɦeː
bagal	bˈagal
bagaman	β̞aɣ̞aman
bagamat	bˈagamat
bagang	bagaŋ
bagansya	bogãn̪t̪ʃa
bagay	plagaj
bagbag	bakak
bagbagin	β̞akβ̞akĩŋ
bagets	mˌaˈgəts
baging	ɓɑːgɪŋ
bagisbis	bagisbis
bagito	bˌeɣito
bagkus	baɣ̞os
bago	bagu
bago ka sumapit sa bahay na pula	oˈbago ka sumapit sa baˈhaj na pula
bagok	bago
bagong	vagou
bagong kaledonia	bagon aledonʝa
bagong mundo	vagun munðo
bagong selanda	baggɔ̃ sɛlɐ̃ŋdɐ
bagong-buhay	baɣuŋbˌuʁˌɐ̃
bagong-panganak	baɣoŋpɑŋanak
bagoong	baguom
bagsak	bagˈsak
bagsik	bagˈsik
bagtas	baktˈas
bagtasin	baktasˈin
baguhan	baːgəhan
baguhin	bˌɑgˈaʊhˈɑŋ
baguio	vagio
baguio city	magjoː˩˦ sitsi
bagumbayan	bˌɐgˌumˈbˌaɪˌˈa
bagumbuhay	balgˈumbʊɐ̃j
bagung-bago	bˈagʊmˈɛɾəbˈaʒʊ
bagutin	bəgəʈiːm
bagwis	bˌɐgʊˈiθ
bagyo	agio
bagyuhin	bagjoː˧˥hĩːn˨˩
bagà	baga
baha	bɑhɑ
bahag	ɑːlˈfahad
bahag-hari	fagadʒi
bahagdan	bɑhˈgɑn
bahaghari	baɦʱaːgʱaːɾiː
bahagi	bɑhɑgɪ
bahagi ng pananalita	bɑhɑɣi nɛm pɑnɑnɑlɪtɑ
bahagihin	baːgiːhm
bahagiin	bɦaːgiːʔiːn
bahagimbilang	bɦaːqimʲbiːələŋ
bahaginan	bɦɑːkiːnɑːn
