1	tjˈe
∑	kjˈul fˈɔl
∧	lamsa
∫	tsit˦fuːn˥˥
≅	dʒokte˥˩ɲi˥˩
≤	ɕjɑʊ˨˩˦i˧˥teŋ˨˩˦i˧˥
《春秋》作	tɕʰyn˥˥tʰiu˨˩˦tsou˥˩
《禮》《春秋》	tʃyn tsiʰu
《詩》《書》《易》	tɕi˥˩y˥˩ i˧˥
《詩》既亡	ʃiː kimɑ̃
㓾	ʂɚ˨˩˦
㓾鸡鸭	tsy˥˩ ka˥˥ ji˧˧
㘝	dˌiːzə
㜆	me
㧍	pɑŋ˥˥
㨙把星	kʰaːpaː sen
㩧	pɒp
㩳	sum
㰵	sot
㸐	nˈɑt
㾊	tɕʰi˨˩˦
䚆	ljoŋ
䫈	tɕʰjɛːũ˨˩
一	dʑi
一世	i˨˩˦ sɯ˥˥
一丘之貉	it˦ kʰiu˨˩ke˥˥ hɔ˨
一丝不挂	ti˥˩ sɯ˧˥ pu˥˩ ka˥˥
一丝不苟	ki˥˧ sɯ˥˧ putt̚˨˩
一九五一	it˦ kioŋ˨˩m˥˩nit˦
一九五七	ikːtomɕi mitsɯ mɕio
一九五三	it˦w˧˥ jiː˧ saː˥˩
一九五八	kʰauːpŋ˥˩mkʰ
一九五四	i tiu ŋh si
一九八一	jˈit˦ kjˈʋ pa˨˩˦jˈit˦
一九八四	liiu˥˧tʃiː˨˩ʔtʰo˨˩ʈu˨˩ʈʂuəlɚ˥˩ʈiːt˥jɑŋ˨˩˦ tʃi˥˩ʰtu˥˩ʈʂʰɔ˧ tʃi˥˩ʰ˥a˥˧ tʃoʊ˨˩˦tu˥˩ʔa�
一九八０	i˥˩ la˥˥
一事无成	i˥˩ tsɯ˥˥u˨˩˦sau˥˥
一二三四五六七八九十	iːt̚˨˩miː˧tsɯm˧ nʊtɕʰib˨˩ʔɪ
一二八	ja u nʲipat
一会儿	ikːəti
一例	li˨˩˦
一刹那	jɛ̀sãn na
一动不动	it̚˨˩tʰʊŋ˨˩ pɔ˥tʰʊŋ˧
一千	i˥˩tɕʰjɛn˨˩˦
一双两好	i˥˥sʊŋ˥˥ljɔ˥˥ hɔ˥˥
一叶知秋	hjap˨ti˧˧tsʰiu˨˦
一叶障目	jɐp̚˨muk˨
一呼百应	es fo pa ãmb
一唱一和	jit˦ tsʰɔːŋ˥˥ jit˦ pɔː˧˥
一國兩制	ni˨˩˦kue˥˥lœŋ˨˩˦tsɯ˥˥
一坵田	jik˦˥kʰiu˨˩ tʰan˥˥
一塵不染	it˦ tɕʰim˨ˀ˩ pʰɯ̞̞ʔm˧˧ ʔjɤm˧˧
一声	sǎŋ˥˧
一天	a
一天到晚	iː tʰanʔorˌam
一如既往	piaˈj
一定	dikːin˨˩
一尘不染	jit˦˥ tsʰi˧˧ ʋɯ˧˧ nham˧˧
一帆风顺	tʰɤŋ˨˩suən˥˧
一年四季	jik˨˩˦ njɛn˧˥ sɯ˥˥kweɪ˥˥
一得一失	sik
一怔	it˦tsaŋ˥˥
一成不变	i˥˩tsoŋ˨˩˦ pɔ˥˥
一整套	it˦sən˨˩tʰaʋ˥˩
一无所有	t̚˨˩muː˧sɔːjuː
一时间	siː˨
一晃	aˤ
一析	i ʃˈɛʁ
一枚针	tsim˨˩wʔi˨˩˦mɥ˩
一样	tiŋ˧˧
一概	kʰoi˥˧
一模一样	jit̚˨mɔː˩˧jit̚˨jœːŋ˧˥
一汽	ni̠˩˦hiː˦
一点	il˩˦tiam˨˩˦
一片	lip˨en˦˥
一生一世	isŋ˨˩˦
一生世	sɛn˨˩sɛ˥˥
一百	ipːa
一百万	jit̪paːk˥ man
一百二十	ipːaːsˈniːs
一直	ti˧˧tsit˨
一知半解	jit˦ ti˧˥ pan˥˥kai˨˩
一石二鸟	sakni˥˧tʰau˨˦
一箭双雕	it˦tsian˥˧ sŋ˥˥tiau˨˦
一箭雙雕	it˦sian˥˧ sŋ˥˥tiau˥˧
一粒	ljoʊ˨˩
一统天下	it˦tʰũŋ˥˥tɕʰian˥˥ha˥˧
一而十	ˈɛʁiʃiɹ
一肚子	i˥˩ tɤ˥˥ tʂɚ˥˩
一致	ˈɪt bˈi
一般性	jik̚˨tsiːn˥˧
一萬	aˈðvɑːn
一衣带水	tai˥˥ sɵy˥˧
一衣帶水	i˥˥ taɪ˥˥suən˥˥
一視同仁	itsɯ˥˩ tʰʊŋ˨˩˦nin˨˩˦
一覽無餘	jɪ˥˩ lɑŋ˨˩˦ mou˨˩˦y˥˩
一见钟情	it˦kĩ˥˥ tsoŋ˨˩tsʰin˨˩
一视同仁	i˥˩tɕʰi˧˥ tʰu˨˩˦
一览无余	laŋ˨˩ gwɔ˧˧
一触即发	kʰi˧˥tɕʰiːn˧˥fa˨˩
一言以蔽之	jɛn˨˩˦i˧˥ pi˥˩
一诺千金	it˦ nɔ˥˩tʃɛ˥˥nkim˧˧
一起	kik˦
一跃	i˥˩
一路顺风	lu˥˧su˥˩n˥˩
一蹴而就	sã˥˥
一身屎	li˨˩˦
一身正气	hi˥˥sin˨˩ kʰi˨˩˦
一身正氣	hsœn˨˩ tɕɪn˥˥ hĩ˥˥
一通	itˈɔ̃
一過性	niː˧k̚˨˩oː˧˥sĩːŋ˨˩
一部分	tsit˦pʰu˥˧fuan˥˧
一锤定音	it˦tsʰui˥˧ hin˥˧lɤŋ˧˧
一问三不知	iːt̪ munː səbət liː
一阵子	tsɯ˧ən˥˥tsɯ˧
一阵风	it˦tsĩ˥˥n˥˥fɔːŋ˨˩
一飞冲天	it˦tsʰʊŋ˥˥ tʰan˧˥
一鳴驚人	tik˦ mɛŋ˨˩tsiã˧˧ŋ˧˧ an˧˧
一鸣惊人	i˥˧ɦian˨˦tiaŋ˨˦i˥˧
丁	tɑŋ˥˥
丁亥	tenhoj
丁卯	pl˧n˩˩˦mau˥˩
丁字	ben˥˩
丁巳	tjɛn˨˩˦ tsɯ˥˩
丁未	ten mult
丁酉	pɛn˧jɛ
丁醜	ten˨˦ tʃiʰu˥˧
七	tʃɪt
七七事變	tɕʰi˨˩˦ tɕʰi˨˩˦ sɯ˥˥pjɛn˥˩
七十	tsɯssɯpp
七嘴八舌	sidˈe bɛʃa
七夕	tʰit˦
七夕水	tʰi˧˥si˧˧ sue˨˩
七情六欲	tsʰit˥tsʰin˨˩luk˨
七早八早	tɕʰit˦tsɔ˥˧ pat˦˥tsɔ˥˧
七月份	tiʔɟjɛtun
七月半	tʰiː˨˩kʰyː˧˥ pɐn˥˥
七月流火	jɛ˥˩
七樣菜	tsʰiː˨˩ seŋ˧
七雄出	tʰi˧˧hĩũ˨˩ hŋ˥˥tsʰut˦
万	lɔːn
万一	mɕ
万事如意	man˥˥ʂɚ˥˩ i˨˩˦
万人空巷	wan˥˥niŋ˨˩ hũ˥˥
万众一心	wanʄunˈistim
万历	manlæ
万安	man˧an˧
万家灯火	man˥ka˥˧tem˨˩fok˨
万箭穿心	man˥˥tsian˥˧ tsʰian˨˩sim˨˩
万绿湖	ɑŋ˥lûk puː baːn˥lɤkpʰuː
万能	manˈem
万象更新	ban˨˦tsiŋ˨˩˦ kan˨˩ si˥˧
万载	vantsoi
万里长城	man˥˥neatɕʰw˥˥sǎŋ˥˧
万马奔腾	uan˥˥ma˥˧ pũn˧˥tʰən˧˧
丈	tsʰoŋ
丈人佬	tsʰŋ˨˩ yn˥˧lau˥˧
丈人哀	tsʰŋ˨˩˦ ji˧˧ u˨˩˦
丈人婆	ʈʂʰɑŋ˥˩n˥˥pʰa˥˥
丈人老	kʰœŋ˨˩ in˥˩ lɔ˥
丈夫	ʈʂʰwɑŋ˧˥fu˧˧
丈婆	tɕʰoŋ˨˩˦pɔ˧˧
三	sˈɑːm
三个臭皮匠，赛过诸葛亮	sã˥˥kɐi˨˩ tsiu˧˧pʰi˥˥ tɕʰi˥˧ sɔ˥˧kɔ˨tsu˥˧ikɔ˨ljɑʊ˨˩
三人成虎	sãŋ˥˥n sin˨˩˦fu˥˩
三人行必有我师	tɑŋ˨˩˦n˧˥ tpeʰ˥˩oʊ˨˩˦ nai˥˩ sɯ˥˩
三人行必有我師	sɑ˥˥am˧ hɑːm˨˩
三从四德	tsʰiː˨˩ siː˥
三位一体	sɑŋ˨˩˦wɛː˧i˥˩ tʰi˥˩
三体	sãŋ˥˥tʰi˥˧
三傳者	sam tʃãn˥˥tɕa
三十	samʃit
三十一	sam˥ʔsap˦˥jit˥
三十一日	nʲa sabʲːet nʲit
三十七	saːm˥sik̚˥
三十万	iˈvæn
三十三	taːm˨˩sip˦saːm˥˩
三十二	sam sɔpɲi
三十五	saːm ʔsæb
三十六	sam səplio
三十四	saːm sˈb siː
三十而立	samʃip jiːliːm
三华李	sáŋ˨˩aʔliŋ˨˩
三及第	tuː təgˈnəl ˈweəɹɪŋ bləgə
三国演义	sǎŋgwɔːja˥˧n˧iːn˩˩˦
三头两日	sam tʰiː˥˩uːlɔ̀ːŋ˧niː˧
三妻四妾	tɕʰi˥˥ tɕʰjɛn˨˩˦
三字經	sʰa˥˥tsɯ˥˥
三寸不烂之舌	sa˥˩m̩˨˩˦tsʰɵn˨˩˦ pʰu˨laŋ˧˥tsɯ˧sak˥
三寸之舌	sɐn˥tsun˥˥ tsɯ˥˩
三山五岳	san˩˦ian˥˩
三山國王	san˥˥san˥˥kʰɔːt˥wɑŋ˧˥
三峽	stmiʝa
三心二意	tsiː˨
三教九流	tam˨˦kau˥˧ kiu˥˧ liu˨˦
三星	sɛ̃sɛ̃
三星洞	sã˥˥si˧˧n˧tʰou̯˥
三月	saamne
三杯雞	saːm puːikai
三栋	sã˥˥tŋ˥˥
三民主義	sã˥˥ tsu˧˧
三江	sã˥˥kɔ˧˧
三河国	sɐn˥hou̯˨
三牲	sanza
三百載	s˦˥am˥˩paːk˨˩j˧tɕaj˧
三皇五帝	sã˥˥ wɔ˥˨ŋ˨˩˦m̩˨˩˦tʰi˥˥
三纲五常	m̩˨˩sœːŋ˧
三藏	sǎ˥˥m˥˩tɕʰɔːŋ˥˥
三角洲	sɐn˥˥kɔ˨˩ tsu˨˩
三韓	sɐm˥˥hɔːn˨˩
三顧茅廬	saːm kuː mɔlu
三顾茅庐	sã˥˥mku˥˩maː˧ruː˧
上	sœ˥˥
上下其手	sŋ˥˥ha˧˧tʰi˧˥siu˨˩
上书	sœ˧˥siu˨˩˦
上任	sʌŋ˥˥n˩˩˦im˥˥sʌŋ˥˥n˩˩˦im˥˩
上传	ʂɑŋ˥˥ʈʂʰɑŋ˥˥
上千	ɕjɑŋ˨˩˦tsʰi˥˥
上厅	sœ˧˧ tʰĩ˥˥aŋ˨˦
上司	ʂɑŋ˥˥tsɯ˧
上和下睦	sõŋ˥˥ ha˥˥
上善若水	sœŋ˨˩ seŋ˧˥ jɔ˧˥swee˧˧
上堂	ɑŋ˥˥tʰɑŋ˧˥
上声	sŋ˨˩sá˥˥
上天	sŋ˥˥tʰjɛn˥˥
上头	ʃaŋ˥˥tʰɛː˨˩˦lau˥˧
上岸	tʃoŋan
上帝	sœ˧˧ di˥˧
上思	kɑŋ˥˥sɯ˥˥
上摆	tŋ˥˥bai˨˦
上昼	ʂɑŋ˨˩˦tɕiu˥˥
上杭	tsɔ˥˥hoŋ˨˩˦
上林	sɔŋ˥˥lim˨˦
上梁不正下梁歪	sŋ˥˥ljɔŋ˨˩ pu˥˧tsin˥˥ ha˨˦ljɔŋ˨˩ waː˧
上楼	ʔʂɤŋ˨˩˦lɤ˥˩
上洛	sŋˈlɔːk
上海	sõŋˈhoɪ
上海中心大厦	sɑʊ˨˩˦ haɪ˧˥tseŋ˧sɯ˥˥tʰɤ˥˩
上海交通大學	hɔːi̯˨hɔːk̚˥
上海市	tsiː˥
上海自贸区	sõ˥˥hɐi˨˩ ts˨m˧˥ki˧˧
上港	sõŋ˥˥kõŋ˨˩
上灯	sɔŋ˨˩ʔpen˥˩
上犹	sau̯˥˥ juː˨
上猶	sɔŋ˥˥
上瘾	sʰŋ˨˩ yn˥˩
上百	ʃaɻ˥˩pa˥˥
上皮	ʃoŋpi
上等	sʊŋ˨˩te˨˩
上罗沙	sɔŋlɔːs˥aː
上罗红柿	sœŋ˨˩lœ˨˦ fũŋ˧˥
上致君	sian˥˧ti˥˧ kun˥˧
上船	sʰan˨˩
上街	sɔ̄ːŋ˨˩ka̠˥sɔːŋ˥˥tsai˥˧
上述	sœ˥˩ʔsɤ˥˩
上都	sian˥˧tu˥˧
上面	sõŋ˨˩ mɛːm˥˩
上願	sŋ˥˥nian˥˧
上颚	sˌɐ̃ŋˈɔp
上海	sõŋ˨˩hɔːj˨˩
下	fˈa
下一摆	pʰaːjit˦˥paj˥˩
下二摆	a˥˥i˥˩paːi˨˩˦
下功夫	ha komfu
下半年	hã˥˥pa˥˥nian˨˦
下南洋	ˈaɪoʊtnˈɑmdoʊt
下厅	hɑ˥˥kʰjɑŋ˥˥
下去	akue
下堂	tʰɤŋ˥˩pʰa˥˥
下数	xɑŋ˨˩˦xɑŋ˨˩˦
下昼	ha˨ʈ˥u˥˥
下楼	a
下水	hâ˨˩˦ sweɪ˥˧
下澤民	haː˧˥tɕɪn˥˥mɛn˥˩
下端	hã˥˥ tɔn
下肢	ant̪i˨˩
下里巴人	a˥˥li˨˩˦pa˥˥ni˨˩˦
下面	ha˧˥
下颚	haːno
不	pˈɛn
不一而足	pɔ˥˥i˥˧ i˧˧tsok˨
不乏	fou˥
不仅	kuit̪kin˨˩
不以为然	tɛm˧˥tie˥˩
不但	pʊt̚˥˩an˥˩
不佳	tut˦˥ka˥˥
不信心	u˨˩˦sin˥˥sin˥˥
不刊之论	pʰu˨˩tʰaŋ˥˥tsi˨˩ luən˥˩
不到	uatau
不劳而获	kʰun˨˩lɤŋ˧˥ʔiː˧fɛnt˥
不勞而獲	pˈɛnˈnɔːiˈfɛ
不卑不亢	poʔ˨pi˧˧ poʔ˨pau˧˧
不发达国家	k̚˦˥t̚˥˩fat̚˨˩tʰaː˥˩k̚˦˥aː˧
不可	bɯ̞kɔ̀
不可思议	koːsni
不善	san
不坏	fˈaɪl
不声不响	pu˥˩ɕjɑŋ˨˩˦ pʰi˥˩
不好	pueˈaːw˨
不如	pua̯˧˥
不如物	pə ɨˀ˩wɤt˥
不如说	pɔ˥˥
不妙	potmeː
不客气	a a ki
不小心	sian˨˩
不少	pʊxˈtʃe
不恥下問	put˥˥tsɯ˧˥a˥˧mun˨˦
不惑之年	buðˈɾətˈðɯnɛ
不想理你的事	mŋ˥˥sioŋ˨˩lin˧˧niaʔ˨ai˧˧su˥˧
不愧	put̚˥˩kʰuj˥˧
不慌不忙	tsiŋ˨˩nɕy˥˩ʔ tmɑŋ˧˥
不慎	bus˨ən
不服气	bɪ˧˥ fokˈiː˧
不期而遇	puːkːiː˧yiŋ˨˩
不求甚解	búːt̚˨˩ kʰiu˧˧ sin˥˩ kaːi˨˩
不法	fˈa
不滿	jʊŋ˨˩˦joʊ˥˩˦ t t njɛn˥˩
不甘示弱	bə˧˥kam˨˩˦ si˥˧njɛ˧˥ɔ˧˧
不疾之徐	tɕʰi˧˥ ttsɯ˥˩
不知	pɐt̪i
不知不覺	kwɤ˧˥ tĩ˧˥ bwit˦ kɔ˨
不简单	plu tʃiːzi kaːnˈtanˀ
不约而同	pʰi˧˧ jɤ˧˧ tsu˧˧ tʰɤŋ˧˥
不绝	pʰuː tɕʰæː
不绝如缕	tɕʰet˨˩ i˨˩˦li˨˩˦
不置可否	put˥˥tsɯ˥˥kɔ˨˦ fiu˨˩
不耻下问	muts˦ʰɯ˧˥ ha˥˥mən˧˥
不聲不響	pa˨˩ɛ˦ʰɕʰɪŋ˧˧pɤ˨˩˦hĩ˥˩lɤ˧
不肖	ut˦siaʊ˥˥
不肯	mkale
不胜	pʊsən
不良少年	tʰiʰaːwʔhaːn˥
不落窠臼	lɔːk˥ kɔː˧
不要	kwt̚˨˩ʝaw˧
不言而喻	tɥœ˧˥
不语	pɯ˧˥ n̪i˥˩
不过	bɯt˦˥kɔː˧
不进则退	pu˧˧tsĩ˥˧tsieŋ˨˩ tʰue˥˧
不适	ut̪tʃit̪
不過	m̩˨˩
不阴不阳	bɯˈjɪm bɯjˈjam
不陰不陽	bɪˈʝɪm bɪˈjam
不需	kut˨˩sĩ˥˥
不顾一切	to kuu˥˥i˧˥tsʰi˨˩˦
与	i˥˩
与会	ʒˈə- vˈɛ̃
与民同乐	tʰʊŋ˨˩lɔːk̚˧
丑	tiu
专一	ʈʂwɑŋ˧˥
专科	dʒanko
专程	tɕian˨˩tsĩŋ˥˥
且知勉	tɕaːt̪iːne̞
且聰敏	tɕʰiaʔ˦ʈʂʰŋ˥˥man˥˥
世外桃源	sɯ˥˥ ngoʊ˧˥ tʰau˨˦ n
世界	sɯ˥˥ kaɪ˥˥
世界之窗	sɯ˥˥ kaɪ˥˩tsi˨˩˦ʈʂu˥˥
世界冠军	sɯ˥˥kã˥˥ kua˥˥an˥˧ kua˥˥an˧˧
世界性	tɤ˧˥kʰai˥˥ sin˨˩˦
世界的	se˨˩ka˥˥ʰti˨˩
世界觀	sɛ˥˩k̚˨˩lʰw˧n
世紀	s˥
世纪	sɯkiiː
世袭	sìb
丘成桐	kʰi˥˥u˥˧ʂaŋ˨˩tʰɔ˥˥m
丘英樂	hio˨˩ in˥˧lɔ˨k
丘逢甲	pʰi˧˥
丘達新	tɕʰiŋ˥˧ tʰak˨˩n˥˥
丙	piam
丙午	pian m
丙子	pjɑŋ˨˩˦ tsu˥˧
丙寅	pĩãŋ˨˩jin˨˩
丙戌	piaŋ˨˩ sʰun˨˩
丙申	biŋ˨˩sin˥˥
丙辰	p˨iaŋ˨˩sin˨˩
业	jˈʌp
业已	jɐp˨˩ ji˧˥
业绩	nʲetsit
丛林	tsʰũ˥˥lim˨˦
东亚	tʊŋ˨˩˦a˥˧
东京	tʰʊŋ˨˩jin˨˩
东倒西歪	tɐu̯˨
东北部	tʊŋ˨˩pɔ˥˥
东南沿海	ŋ˥˥n˥˩ hœːi˥˧
东城区	tʰŋ˨˩˦ʂɑŋ˨˩˦ tʰi˧˥
东塔	tʰɔ̀ŋtʰɑk̚˥˥
东家	tsuŋa˥˧
东山	tʰʊŋ˥˥san˩˩˦
东岸	tʰʊŋ˨˩ʔan˥˥
东张西望	tʰoŋ˨˩tsɔːŋ˥˩siː˧ moŋ˧
东方	sɑŋ˥˥fɔː˥
东施效颦	tʊŋ˨˩˦sɯ˥˥hɑʊ˥˥
东江新城	tʊŋ˨˩kɔːŋ˧˥ siːn˨˩ saːŋ˨˩
东江纵队	tʰʊŋ˨˩tsʊŋ˥˥tʰɪ˥
东洋	tʰoŋ˨˩ljoʊ˨˩˦
东源	pʰũŋ˧˥jɑŋ˨˩˦
东芝	lʊŋ˨˩˦tsɯ˧
东莞	tũŋ˨˦koŋ˥˥
东莞市	tũŋ˨˩kɔ˥˥an˥˥sɯ˥˥
东西	tʰũŋ˨˩sĩ˥˥
东边	tʊŋ˨˩˦pjɛn˨˩˦
东逃西散	tʰʊŋ˨˩kʰɑʊ˨˩ si˥˧ san˥˨
东门	tũŋ˨˩nguən˨˩
东门老街	tɕʰʊŋ˨˩hun˥˩hɑŋ˧
东非	tũŋ˥˥fi˧˧ tʊŋ˥˥fi˧˧
东面	tʊŋ˨˩˦mian˨˦
东风	sœ˧˥ fɔ˧˥
丝绸	sɯ˥˥ tɕjoʊ˨˩˦
丝蓬丝叉	sɯ˧˥pʰuŋ˨˩˦sɯ˧˥tsa˥˧
丟	tiu
丟三落四	sɑ˥˥lok˨ si˥˩
両節棍	sŋ˥tsik˥kwn˥˥
丢三落四	liu˥˧sam˥˩lõ˥˩ si˥˩
丢失	tiu˥˧si˧
两	liːˈɔn ˈdʒɑŋ
两万	ljoʊ˨˩man˥˥
两下	lœːŋ˧haː˧
两地	ljɑŋ˨˩˦tʰi˥˥
两子哀	liɑŋ˥˥tsi˥˥ aɪ˥˥
两子爷	lioŋ˨˩tsi˧˧ɕia˥˧
两小无猜	lœŋ˨˩siau˥˧tsʰai˥˥
两岸	ljoŋ˨˩ ŋ˨˩an˥˥
两腿	lioŋ˨˩tsʰu˨˩˦i˨˩˦
严	nˈam
严格	ɲːam˨˩˦
严重	niam˨˩ʈʂu˥˥
並	tʃiːziːn
並皆佳妙	pʰiŋ˨˩ ka˥˥ɛ˨˦kʰa˥˥miau˥˧
个	k
个人	koŋ˥˥˥
个头	tiu̯
丫撑	a˨˩˦tsʰaŋ˥˥
中	ʈʂuŋ˥˥
中专	ʈʂtɕjɛ˥˥
中东	tsʊŋ˥˥kõŋ˥˥
中信大厦	sʊŋ˨˩siːn˥tʰɐi̯˧˥haː˨
中信广场	tseŋ˧siːn˥kɔːŋ˧tsʰɔːŋ˨˩
中元節	tsʊŋ˨˩˦jɑŋ˨˩˦tseŋ˥˩
中元节	tsʊŋ˨˩˦jɛn˨˩˦tɕjɛn˨˩˦
中共	tsʊŋ˨˩hŋ˥
中兴	sĩŋ˥˥
中华书局	tsʊŋ˨˩fa˨˩ɕkʰiu˥˥
中华人民共和国	tsʊŋ˥˥faːn˧
中华民国	tʊŋ˨˩faː˧
中南海	tsʊŋ˨˩nam˥˧hɔːi˨
中原	tsʊŋ˥˥jɛn˨˩
中原大戰	tsʊŋ˨˩˦jɛn˨˩ tʰaɪ˥˥
中国	tɕʰʊŋ˨˩kʰut˦˥
中国人	tsən˨˩ kuən˥˥ nian˨˦
中国人民大学	tʰɔːŋ˨˩sɔːŋ˥
中国人民解放军	taːi̯˨fɔːŋ˥ tʰyː˨
中国共产党	tsʊŋ˨˩˦tiən˨˩hʊŋsatʰok˨
中国男篮	tʰŋnɑŋlɑŋ
中国科学院	tsʊŋ˨˩jiːk̚˧ kɔː˧˥ hɔːk̚˨
中國	tsu˨˩kuən˥˧
中國遠征軍	tsun˥˥kweɪ˥˧ jan˨˩ʰtsən˥˥tɕyn˥˥
中壢	tsʊŋ˨˩˦la˥
中大	sʌŋ˨˩˦tʰai˥˥
