0	nɔla
abonirati	aboːniːˈrati
abonman	ɑbɑnmɑn
abort	aboɾt
abortiv	aboɾtɪm
abortivan	abɔrtjan
abortivnost	abortiːvnasts
abortus	abortos
abradirati	abradirati
abrahija	ambraːɦja
abrakadabra	abrakaːdaːbra
abrazija	aːbɾaːzjɐ
abrazijski	abraːzidʒki
abraziv	abɾaːsid
abrazivan	abraːzivaːn
abreakcija	aabɾeaktsija
abrevijacija	abreˈviaˈ
abrevijatura	aːbrɛvjatˈura
abrevijaturni	abrɛvjaˈturni
abrihtati	aabristati
abrihter	abrɪftɛr
abu dabi	apudab
abuličar	abɔɫɯ̞tʃaɾ
abundantan	abundantˈɾˈ
aceltikolin	atsɛrtilkɔʎɪŋ
acetali	atsɛtaːlɪ
acetat	atsɛtat
acetatni	atsɛtatni
acetiklorid	atsɛdɛkɫoɾid
acetilen	tˈɪkˈɔlɛn
acetilenski	atsɛtjlɛnski
aceton	atsɛːtɔn
acetonemija	atsɛtunɛmja
acetonski	atsatonskaj
acid	atrɛzɨ
acidimetar	aʲtsidʲimætar
aciditet	atsɨdɪtɛt
acidobazičan	atsiˈdɔbazɛtʃan
acidofil	atsɨdofɛɫ
acidorezistentan	aːtsidorezizdɛntɨn
acidoza	atsidɔzɐ
aciklički	atsikltʃki
adalet	adaːlɛt
ademir kenović	aðə miɾ keːnət
adis	adzʃ
admir	admɪr
adnan zahirović	ɑtnɑn zɑhʁɛnɾumidʒ
adrenalin	að̞ɾenaliŋ
adresa	aðɾɛsa
adrian	adriːaːn
aeronautika	ajranutka
afganistan	ɑfgɑnɪstˈɑn
afroazijskа	afɛæsisko
agencija	agɛntsja
aida	aʲidau
ajdina	ajdina
akcionarskа	aktsionaːrska
aksesoari	akkesuar
aksiom	akθio
aktinijе	propra
aktivnost	aktˈivnˈɔst
akva park	akva park
akšam hajrula	akʃa˩˥ːm hajrola
alahimanet	alaχmaːnət
albanija	alˈbɑːnja
albanski	arbenizkɛ
album	ɑɫβum
alegorija	aɫɛgɔria
aleja	alɨa
aleksa šantić	aɫɛksa ʃaːntitʃ
aleksandar iii makedonski veliki	aʝɛɣ̞sãn̪d̪aɾ t̪ɾet̪ʃʝ maket̪on̪s iβ̞elki
aleksandrijska biblioteka	alɛksandr ji s kɑ˥ bɪbʎɛtɛka
alel	alɪm
alen	alˈɛn
alen halilović	alɛn xalilɔvitʃ
alergija	ɔwɾɛɾɟia
alfabet	ɑlfɑˈbɛt
algebra	ɑɫgeˈbɾo
algoritam	ɑlgɔrɪtɑm
ali	ali
alibunar	albona
alija izetbegović	aɫja ɪzɛ tɛːgɔvitʃ
alžir	alʒˈiɹ
amazonija	ɑːmˈɑːzˈoːnˈɪa
ameba	amˈɛb
amel tuka	ameɫ tuka
amer osmanagić	amir osmanogitʃ
amidza	amɛtʃɛ
amir spahić	ɑːmjʊɾsɑpɑhiʧ
amurski tigar	amurs kí tíɣ̞ar
ana rucner	anə ɾɔtsneɾ
analiza	analiθa
ananas	anɯnɯz
anatema	ənãmbt̪em
anatomija	anat̪mja
angažovana	aŋgaːʒɔvɑːnɑː
angola	aːŋgoːla
anion	anion
anksioznost	anktsiokiams
antibiotik	antˈibˈjotik
antifon	antifon
antikvitet	antsikvitˈid
antonio rukavina	antˈonˈiɔ rɔkˈavina
antropologija	antropologˈia
anđeo	angˈo
anđeo čuvar	andʒɛʊ tʃuvar
apeninsko poluostrvo	a pɛmɪn skopo la strvɔ
aplaudirati	apɫau̯dirat
aplikacija	apɾɪkɑːtˈsʲa
april	apɾel
aragonit	aɾa
arapski	arɛpski
arapskа	arapska
arbitraža	ɑrpɪtraːʒa
arbitražni	ɑrbitraːʒniː
arbitražnа	arbitraːʒna
argentina	aɾgent̪ina
arhangijeljska oblast	arɣaŋdjska oblats
arheologija	ˌɐrxɨʊˈlɔgjɐ
arhitektura	paːrɣitɛktuːra
arimateja	paɾmapej
aritmetika	aritmɛtɪkˈa
armenija	aɾmɛnja
aršin	arʃiːn
asaf	aʃas
asim	ɑˈsim
asistent	ˈasˈistˈɛnt
asmir begović	asmʲir pɛːgɔvitʃ
astečka	astɛtʂka
astečki	astɛtʂki
astrolab	astrolaːb
astrologija	astraloɣ̞ja
astronaut	astroŋauːt
astronomija	astronomia
atlantski okean	æðlæntsgˈi ˈɔkˈaɪn
atlas	atˈlas
atmosfera	ɐtɾɐsfˈɛɾɐ
atribut	atːɾibut
audio kaseta	aːldjɔk ɑsɑtɑ
audio vodič	au̯dijovɔtitʃ
audioknjiga	au̯diɔkniga
auditorijum	aʊditorjum
australopitek	aʊstralopjtɛk
australska	aʋsrɑska
australski	awstrasgɪ
autentičnost	au̯tɛntˈitʃnost
autić	autiks
auto	aʊto
autobus	ˌɑltˈobˌuʒ
automatija	awtɔmatsjɛ
autoput	au̯t̪opuʲts
avdija vršajević	auɖi apr ʃaːiwtʃ
avgust	au̯gust
avio karte	ap jɔ kaɾt
avitaminoza	avitːamɪnˈoza
avlija	aːblia
azerbejdžan	azərbeːjdʒaːn
aztečka	astɛtʃka
aztečki	astɛtʃˈki
baba	baba
babo	babo
babušnica	pa˥˥bo˥˩˦stutsa˥˩
bagra	vagra
bagrenica	bˈɑɹkɾekˈejts
bahamska ostrva	baxaːmskaː oʂtrva
bahrein	bħriːnbɑhriːn
bajina bašta	baajum abasdo
bajmok	bajmok
bajram	baɪram
bajram mubarek olsun	β̞ajɾa mubarɛk oltsʊ̞n
baka	ta˩˥ːka˥˩
bakalnica	makont
bakir	bakir
baletske čarape bez stopala	pɔɫɛtsge tʃatʃɔɹ pɨz doˈpalɔ
baljevac	paːlɛnɛts
balkan	balkan
balkansko poluostrvo	pɒlkaːns kɒpɒl ɒˈstɒrvɒˈ
balončić	balont̪is
banana	banana
banatski karlovac	baːnaːts gɛtaːrloɣats
bangladeš	baŋglað̞æʃ
banja duhovnog života	baɲja duɣuɾnɨ u̯ʂɨvat
banja luka	banʲa luka
bankomat	bankomat
baskijski	vaskijski
batajnica	batajnɨts
bazalt	bazɑɫ
bazen	bazen
bač	pat
bačka palanka	baːtʃ pˈopalaːn
bačka topola	baːtʃka ta pɔlɔ
bačkavić	batʃkarɛtʃ
bašča	baʃtʃ
baščaršija	baʃtʃaɾtʃjɑ
beba	beːba
behar	bæxˈar
benin	pˈɛnin
benjamin	beɲami
benzin	benˈzin
benzinska stanica	bɛnzinska stanɛtsɨ
beograd	beˈɑlgrˈant
beorol	dˈɛɔroːv
bezopasan	piːˈtʃoˈpasaˈn
bezosjećajno	bezosɪˈatʃajnˈo
beč	bˈeɪtʃ
bešić	bæʃtʃ
bh telecom	biːɛ̀haː tɛlɛkɔ
bi	b
biber	bibær
bibliografija	biblioˈgraːfija
biblioteka	miːbɛljɔtɛka
biciklo	bʲetsɪkɫæ
bihać	biχa
bijača	bjatʃa
bijela	bjˈɛlabjˈɛla
bijeli luk	bjeˈli lˈuk
bijeljina	bjɛ̀ːlɪnæ
biocenoza	biːˈjɔtʃɑnɔʒɑ
biofizika	geofɪsika
biogeografija	bjɔʒɛʊ̃gɾafia
biohemija	miohemia
biologija	bjologia
biotop	birtəp
biro	biro
bismillah	biːsməloɾ
bjelanjaka	vjɛlaːɲːaka
bjelave	bjɛ̀ɫæbæ
bjelorusija	bjaloɾˈusja
blatina	platɛna
bobice	pɔbitɕsɛ
bobičasta torta	bɔbitʃɐstaː tɔrta
boca	bɔtsa
bocvana	batsɔvɛna
bog	bok
bogataši	bogataːʃi
bogdan belaković	ɣɑgˈdɑn beʁar kɑːrst
boje	bɔɪ
boju	bˈoju
bolesnik	bolɛsnɛk
bolest	bolɛst
bolestan	bolɛstɛn
bolivija	bolivja
bombon	bonbon
bor	boːr
borba	bɒrba
bori se	bɔrsʲ
boro primorac	bɔru primɔrats
borovnica	boro˥˩ːʋnitsa
bosanac	bo˩˥ːsaː˩ːnats
bosanka	bɔsanka
bosanska	pɔsaɲska
bosanska krajina	bɔsɛnska kraj in
bosanska krupa	bosnskaː kruːpa
bosanski	bɔsɛnski
bosanski jezik	bɔsɛnskiː jɛzik
bosna	bɔsnɔ
bosna i hercegovina	bosna i hɛrtsɛkɔvʲina
bosnjak	pɔʃɲːak
bošnjaci	bɔʃɲaːtsi
božiji anđeo	bozi ã ɑŋsɛ
božo rajić	boʒo raːdʒ
brada	brata
branko	branko
branko lukić	bankɔ luukitʃ
branko ćopić	bankɔ tʃɔpitʃ
braon	brau
brat	brat
bratunac	braːtunats
brazil	bɹɐzˈil
brdo	brdo
breskva	frɛskva
breza	ɾɛse
brijeg	bik
brod	bˈɾˈoːd
brojati	broːjati
brotnjo	bɾotɲɔ
brunej	pɾunej
bručka	brutʃka
brzo	brza
brčko	brtʃkɔ
buditi se	buditi sɛ
bugarska	bugaɾska
bugojno	bolgojna
bukva	bukvɑ
burkina faso	bɔlkiːne fɑsˈfɑ
burundi	burundi
busovača	busovatʃa
butan	buta
cazin	tsazin
celularni	tsɛluːlaːrni
centar	tsentɛr
centimetar	sentimɛtɛr
centralna afrička republika	tsɛntɾɑlna afɫitʃka rɛpublika
centriole	sentɾiɔvɛ
cijena	sˈiːɛnˈa
cipela	tsipɛla
cipele	sipɛlɛ
cipelice	sɪpensˈe
cockta	kɔkta
crijeva	tslˈɛva
crkva	srkɾa
crkvenoslavenski	srkvɛnˈoslaˈvɪnskɪ
crljenak	tsrlne
crna	tsɛnna
crna gora	tsɛr na gɔra
crvena	tsɪrvɪna
crvene	tsrvɛne
crveni	sɛrvɛnɲːiː
cuko	tsɔka
cura	s̺uɾa
cvijet	tsiːt
da	dˈa
da li me još uvijek voliš?	dɑɫɪ mɛːr ʃuɛjɛk vorɪʃ
da li to zvuči poznato?	dɔlʲe teɫo sɔu̯tʃi pɔznatɔ
da, malo	da mal
dabar	nʲtabar
daidza	dai̯dʒa
daltonizam	d̪elt̪onism
damir dzumhur	daːnɪ̞dʒ mɦr
damir džumhur	baːmiːr dzumhoɾ
damir vrančić	damɛr vranʲtʂɛtɕ
dan	da
danas	tanas
dar	dar
darivati	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
datum	daːtum
decembar	datsɛmbar
decenija	dɛtʃe
deda	dɛda
dedukcija	ðəduːktsjɐ
deen	dˈim
definicija	dɛfinitsja
definitivno	definiˈtɪrno
definitivno da	be˥˩ːtimiti˩˥ːvno˥˩ːta˥˩
delfin	ð̞elfin
delija topčagić	gaˈli jaˈ tabˈtʃakˈitiˈ
deminutiv	dɛmmɨnokti
demokratska arapska republika sahara	dɛmɔkratska ɑrabska rɛpuˈblika saʃara
demokratska republika kongo	demɔkraska republika kɔŋgo
derventa	ˈɜːvɛntæ
deset	ˈdeset
desetak	d̪esɛjɑtak
deseti	deseti
desno	dastno
deva	dɛva
devet	dɛvɛt
deveti	dɛvɛti
devetnaesti	dɛvɛtnaɛsdiːv
devon	davon
dečko	tʲɛtʃk
dešavati se	dɔʃaːvɔtɛstvɪ
dignuti	ðignɔti
dijalekt	dialekt
dijamant	diamˈant
dijete	bʲet
diktator	diktatɔr
diktatura	diktatura
dinja	deɲːa
dino merlin	d̪ino̞ mẽɾlin
dinstajte	ðinˈsðajde
dionički	tioniˈtʃki
direktor	ðirektɔr
divizija	tˈɛjlˈisiɑ
divlje životinje	diːviː ʒiːvɑːtiːŋ
djed	djæd
djeda	djɛda
djevojka	djɛːvɔjka
dječija paraliza	ɟʲɑtʃɛ pɑrɑˈliza
do	dɔ
do viđenja	dovidʒɛjɲɛ
doba jure	do ba jure
dobanovci	dɑːbænˈɑːse̞
dobar dan	dobr daːn
dobije	dɔbjɛ
dobijene	dojenɛ
dobijete	nobjɛte
doboj	dapoi
dobra večer	dɔbrɔvɛtʃɛr
dobrinja	dobrɛnʲa
dobro	dɔbrɔ
dobro jutro	dɔbrɔ juːtrɔ
dobro se provedi	dobrɔs sɛ prɔvɛdi
dobro veče	doˈbrɔ vɛtʃɛ
dobrodošli	dɔbrɔdɔʃɫi
dodaj	dɔdaj
dodajte	dɔdajtɛ
dodaju	dodaju
dodali	do˩˥ːdaˈli
dodano	dɔdaːnɔ
dodati	dɔdɑt
dok	dok
doktor	ɟɔktoɾ
dolaziti	doːnˈʃæˈʃt
dolje	dɔʎe
dolomit	dolɔmit
dom	dom
dom za vešanje	dom zɔwɛsʂɛnnjɛ
domaća zadaća	da mɑtʃaːza dɑ tʃa
domaće životinje	dɑː mætʃ ʒiːvɑːtiːnʲe
domovina	dɔmɔvina
doručkovati	dɑːrtʃqoːtj
dovidjenja	dovidʒɛɲːa
dragan	dragan
dragan kapčević	dragan kaptʃɛvitʃ
dragan stojković	dragan sdo˥˩ːjkovi˥˩ːtʃ
drago mi je	drago miː jɛ
dragojević	dragoebiliʃ
drama	drama
drina	drina
drug	drug
drugih	drugix
drugovi	drugɔvi
drvar	brwaːr
drvo	trvɔ
duboki glas	dubɔkij ˈglas
dugo se nismo vidjeli	duˈgo sɛ niːsmɔ vidjɛl
dunja	dˈʊnʝa
dunja mijatović	dˈʊnˈɲa mˈiatɔvˈitʃ
dva	dvˈa
dvanaest	dvarnɛst
dvije	dvjɛ
dž	dʒʊ̞
džamija	tʃamija
džanan	dʒˈɑnə
džeko	dʒɛkɔ
džem	tʂɛm
dženan	dʒænaːn
dževad	ʒɛvad
džezva	plɛzɫo
džibuti	ɟibutj
edem	eɫɛm
edikti	tɛd̪ik̟t̪ɛ
edin dzeko	edinʝeko
edin džeko	ˈaɪ diːn dʒˈɛjk
edin višća	ɛdin viʃtʃa
edita malovčić	et̪it̪a mal ɔtʃtʃ
efektivnost	efektivest
egipat	ɛgipət
ehinokaktus	æhɪnɔkaktus
ejup ganić	ɛ ɛp gaːnitʃ
ekliptika	ekliptika
ekologija	ekɔlɔʒiːa
ekonomija	ɛkɔnɔmjɑ
ekosistem	ekɔsistˈɛ̃
ekran	ɛkraːn
ekskomunikacija	ekskomunikatsia
eksperiment	ɛkspeɾimɛnt
ekspert	ˈɛkspɛrt
eksplodirati	ækspɫɔdiːratti
ekspresionizam	ɛspɾesionjsam
ekvador	ɛkwaðɔr
ekvatorijalna gvineja	ɛkvatɔriaːlnaː kvinɛjɑ
elegantna	ælʲikɑntˈ
elektrotehnika	ɛlɛktrɔtɛnika
elias-bursać	latiambursatʃ
elipsa	eljbsa
emir spahić	ɛˈmiːr spahidʒ
emisarstvo	ɛmisaːrstv
ena	ˈana
enciklopedija	ẽnsiklɑpɛdia
engleski	ɛŋgleski
entuzijazam	entuziazam
epidemija	æpɪdɛmjɑ
epistemologija	ɛpistɛmologiæ
eritreja	ɛɾitɾeja
ermin bičakčić	ɛɾmɪn bʲitʃak
ermin bravo	ɛrmɛ imbrado
erna	ɛrnɛ
esad	sat
etika	tika
etimologija	ɛtimɔlɔgiɑ
etiopija	e̞θipːia
eto me odmah	ˈɛtəmøːdmov
etrurski	atrurski
eukaliptus	ˌɛukˌɐ̃liptˈuz
euridika	auɾitika
everest	æberɛst
evo kurac	ɛvɔkɔɾˈats
evolucija	evolutsija
fadil novalić	faɾd̪il novalit̪ʃ
fakultet	fakultat̪
farmakologija	faɾmakolɔʒiɑ
fatima	ftˈimˈɑ
fašizam	fɒʃˈɪzɒm
februar	fɛbɾuaɾ
federacija bosna i hercegovina - fbih	sedəɾɑtsijɑ bɔsnei̯tʃ ɛɾtsɛgoil
ferhadija	karħidʒiː
ferida duraković	tˈeˈrˈɛdaˈ dˈɔɾagos
festivali	fɛstivalɪ
fildžana	t̪o̞aɾna
filipini	fjlipiːni
film	fˈɪlm
filogeneza	fjlo˩˥ːgɛnɛ˥˩ːza
filozofija	fˌilozˈofja
finski	kinski
firma	firm
fizika	fɪzɪkɑ
fiziologija	fisiɔlɔgˈiɐ
fleka	fleta
fluorit	flˈoɾɨ
fojnica	fojnitsa
forum	foɾum
forvo	soɾzo
fotelja	fokteɛlʲa
fotografija	fɔtɔgɾafjɐ
fotosinteza	fˈotˈɔsˈintˈɛzˈa
fovizam	fofizem
foča	fɔtʃa
foča ustikolina	fɔtʃa uːsti koˈlina
francuski	ffrantsuskʲi
frizerski salon	friza eski salo
frižider	friʒɪter
fudbal	fwt̪bɒl
fudbaler	fwt̪β̞aleɾ
fudbalski	fudbalski
funkcija	fˈʊŋktsɪˌɑː
gabon	arabon
gacko	gatskɔ
gajenje bobice	ga je ɲe pɔbtsijɛ
gajenje šumskih jagoda	kaːj jɛnʲɛ ʃʲumskʲix jaɣoːda
gajenje šumskih plodova	gajɛ ɲɛʃumskix pʎɔdɔfa
galama	galaˈma
gambija	ganˈβia
gana	gana
garuda	arou̯da
gastritis	gasleθis
gdje je toalet?	miðˈeːjɛ tʊɑlˈɛt
gdje se nalazimo?	ɪt jɛst ɪn ɑːl ɑzɪ ɪmɑ
gen	gɛn
genetika	ɣeneˈpika
genom	kennɔm
genomika	ɣ̞anomika
geofizika	gˈɛʊ̃fjsˈikɐ
geografija	ɣeɔgɾafia
geologija	ʒˌeɐlɔgˈiɐ
geometrija	gˈɛomətˈɾˈiˈ
geomorfologija	gɛlmɔɾfɔlʊgiː
gimnazija	gimˈnɑzjɑ
gladan	glaːdan
glagoljica	plaɣ̞oljts̺a
glamoč	gɫamutʃ
glas	glas
glasan	ɣlasan
glava	glava
gljiva	gljva
gljivama	ilnˈəvˈamˈɛ̃
gljive	bjɪlɪvɛ
gmizavac	gimizɛvɛts
godina	kɔːdina
godišnje doba	gɔdiʃɲeː dɔba
gojko	gojko
golub	gɔlub
gora	gɔra
goran kostić	ɣɑːræn kɑstʃ
goražde	gɒrˈɒʃdɒ
gordan bunoza	gɔrdan bu nɔza
gornji	gornʲ
gospodin	goˈspɔdin
gospođa	gɒspɒdʒɒ
gostinska soba	gɔstin skaz sɔpɑ
govedina	ɟɔvɛtina
govorite li bosanski?	goʋɔritɛli bɔsɛnski
govoriš li engleski?	gɔvɔriʃ li ɛŋglɛːski
grad	gɾav
gradačac	gɾɑdaːtʃɑts
gradilište	gratɛlistɛ
gradina	gɾadna
graditi	gratj
gradić	graːditʃ
gradiška	grɑdɛʃka
gradnja	graːdnʲa
grahovac	graɦɔvats
gračanica	gɾatʃɛnitsa
građani	gɾadʒami
građevina	jˈrˈadʒvɪna
grašak	graːʃak
grbavica	grbavit̪sa
grozno	roːznɔ
grožđe	grɔʑdʒɛ
grude	gruða
grupa	grupa
gruzija	gruʒja
grčka	gɾtʃka
gumica	gumitsa
gurabija	gʊɾaːbjɐ
guska	ɣuska
gušteri	guʃtɛri
gušterica	kuʃtɛrtsa
gušterice	kˈuʃtʌritsɛ
gužva	guʒva
gvajana	gvajana
gvineja	vɨjavɨ
gvineja-bisau	gvinˈeiabisˈaʊ
hadžibegić	hadʒibijgitʃ
hadžići	adʒit
haljina	a
han pijesak	kan pjeˈsok
haris medunjanin	haaːrjs smɛ duːnja nɛ
haris pašović	xarɛs paʃɛts
haris seferović	har sɛ fɛɾɔtʃ
haris silajdžić	haːrɪs sɪlˈaj dʒyːtʃ
hebrejski	ɦɛbrɛjski
hemija	hemiɑ
hemijska olovka	hɛmijska ɔɫɔvka
hemičar	hemiːtʃar
hemoglobin	ɛmɔglɔbiːn
hemon	hemon
herceg-bosna	xɛrtsɛkbɔsn
hercegovačka	ɦɛrtsɛkɔlɛtʃka
hercegovina	xɛrtzɛgɔvina
herzegovina	ɦɛrtsɛgɔbjɲa
hibernacija	ɦibɛrnatsijɐ
hidrologija	xidrolɔʒia
hijena	tʃo
hipnoza	ɦɪpnˈoːzɑ
hipoteza	ipoteza
hirurgija	ʃiɾuɾʒiɐ
histerija	tistoɾia
histologija	istʃɔɫɔʒjɐ
historija	istˈoɾjɐ
hladan	tlaːɾ
hladno	xɫadno
hladno je	xlaːdnɔj
hljeb	tʃˈɛp
hlorofil	xlorofil
hobiji	obʲi
hokej	ok
holandija	oɾlãn̪d̪ia
holandski	ɦoɫaŋski
holocen	aɫˈoəðəsˈɪn
homologija	xamɑlɑʁjɑ
hong kong	hˈɔ̃ kˈɔ̃g
hotel	atɛl
hoću	xotʃu
hrabre i lude sreća prati	hrapre ˈe lˈude srˈatʃa prˈati
hrabre sreća prati	hrabri srɛtʃɛ prati
hrasnička	xrasdɔtʂka
hrasno	praːsɨm
hrast	xrast
hrvatska	xrvatska
hrvatski	ɦrvaːtskɪ
hrvatsko-srpski	xrɛvaːtskosʲrpsʲːi
hrčak	grtʃak
hum (zahumlje)	fʊ̞m
humor	mˈaɪmˈlˈɛɹ
humoreska	umˈorestˈa
humska zemlja	χuːm skazemlʲa
husein	ɛuzˈæne
hutba	butsba
hušidić	ɦuʃɪdɪc
hvala	vaːlˈlˈa
hvala lijepa	faɫa bjɛp
hvala ti mnogo	xvaɫo ti mnoɣo
i	iːv
i car dolaf za hedije ima	tsɑr dɑlɑts ðɑ hɛtɛtniɛn
ibrahim	kˈatɪgˌaːn
ibrahimović	iprãĩ̯nuvimʃ
idealizam	ð̞ealizm
idi	id
idi u kurac	ˈiðɨ ˈɔkrɛts
iftar	ɪftɑːr
igman	ɪgman
igrač	igratʃ
igračica	igratʃɪtsa
ih	ˈix
ilidža	jɛlɛdʒa
ilijaš	ilias
ilić	dilitʃ
imam samo jedmo pitanje	imam samo jɛnupiːtaːn
imamo	imamo
iman	imˈan
imanje	imɑːnɛ
ime	am
imenjak	imɛɲɑk
imovina	imɔvina
imperijalizam	ɛmpɛrjalism
impresionizam	impressoˈnism
imunologija	imunologija
inačica	inatʃitsa
indija	ˈɪndiɑ
indonezija	indonˈezja
ines fančović	miːnəs ɑːhənd ʃɔp
infrastruktura	ˈiŋfɾastˈrˈuktˈurˈa
insan	insˈan
insekat	jˈsɛkə
insekt	iːnsek
ion	ion
irak	irak
irena mulamuhić	jɛrɛjɛnɛm mʊla bɔuʋiʃi
ironija	iɾˈoːnja
ironično	iːɾɑnɪtni
isjecite	isijætɪtæ
iskaz	ɪskas
islam	izlɑːm
ispržite	izprzjɟɛ
isto	istɔ
istočna	istɔtʃnaː
istočni	istɔtʃnɛj
istočnо	istotʃno
ivica vrdoljak	ʲimitsa bərdɔlʲag
ivo andrić	ˈivo ʔandritʃ
iz	kiv
izbačen	ˈɪtsbˈɑɹtʃɪŋ
izbjeglica	izbjɛglitsa
izet	izˈɑːt
izet hajrović	izɛt hajroˈvitʃ
izgleda da je tako	izglʲeda da jɛ takɫo
izgovor	esɣ̞oβ̞oɾ
izgovori (imperative[slash]imperativ)	bizɛnɒvɒri
izgovori (noun[slash]imenica)	izgovori
izlaz	izɫɑs
izlazim	izwˈɑziːm
izmiješati	izmiːjæʃati
izmir	sɨmˈiɹ
iznijeti	iznjeti
iznutrice	iʑnutrɪtsɛ
izrael	izrˌaˈel
izriban	izrɛban
izudin bajrović	ʊ sɔteioŋ taˌiɾɔ diʒ
izvaditi	iːzvəˈdiːti
izvinite!	izviːjinte
izvještaj	izvɛʃtaj
izvještaji	izdæʃtæj
izvrstan	æzbɪ̞rstæn
ići	itʃi
i̇stanbul	ɪstænbɔl
ja sam ...	jɑːsɯm
ja sam dobro, hvala	ja sam do˩˥ːbr xva˥˩ːla
ja sam iz ...	ja samiz
jablan	jˈaːblam
jablanica	jadɫɑnitsa
jabuka	jabuka
jabukе	jabokˈɛ
jadransko more	jadren skɔmɔri
jagnjeće	jaknɛtɕɛ
jagoda	jagoda
jagode	jagodɛ
jahorina	jɑhɔrnɑ
jahtе	jˈaxtə
jajce	jajtsʲe
jaje	dʒaːj
jak	ak
janjetina	japavʲerɨɫatɨna
japan	jɑˈpɑn
japanska	jɑpaɲska
japanske narodne pričice	japaŋskɛ naːrɔdnɛj prɪtʃɛtsɛ
jaran	jæˈrɑːn
jasenko	jasˈinko
jasmila žbanic	jasnɛ la ʒbanitʃ
jasmin burić	jasmin buːritʃ
jasmin fejzić	jɑsmiːn feːzɪtʃ
jasmin mešanović	jasmiːl mɛʃaːnɑːvɪtʃ
jastrebica	jɑstrɛbitsɛ
jastrebinja	jɛstrabɨɲɛ
javascript	javɑskrɪp
jaz	gˈaz
jazavac	jazovɛts
je	jˈɛ
je li smetam?	jɛ̀lɛ smɛj tam
jebem vam mater	lɒnˈdɒn maːɾtɒiːɾ
