1а	aah
америкин	ˈɑmeːriːkɪn
амма	ħamma
ан	an
ара	r
арахь	æˈræh
арз	ˈaɾəzɐ
арц	orɯts
аса	œz
аса (я, i)	ɑs
аслан масхадов	ɑsɫɑn mastɑhɑdæw
ассалам	ɑsˈɯzɯm
ассалам iалийкум!	æːlsælɑːm ʕalikum
ассаламу	ɒgɾˈɑsɚˈæn
астагӏа	ɑstɑ
астма-цамгархо	aːstmaːtsəngɑrxuː
ата	qɑtˤ
атарш	rð̞är
атомхо	ɑtumxoɾ
ахка	ˈaːx
ахча	ˈaʁt
ахь дийр ду	ɑħdɪːtˤu
аьрга	rg
аьрзу	ɛrzo
аьрру	ˈɛlo
аьрру агіор.	æjˈlo ɑːgɔr
аьрто	ɛrtʊɐ
аьрха	ɛrˈx
аьтта	ˈæt
аьтто	etːo
аьтто хилла!	ætːʊ̞χ ɫæ
аьтту	ˈɛtə
аьтту агіор.	estu auɣoɾ
аьхка	ˈɛʁk
аьхке	ˈɛçkɛ
аьчк-пхьар	ˈɛtɕipˌɐɾˈ
аьчка	bˈɛtʃk
б1аьргаш	bˈɛrgʒ
б1ов	bo
бiаьрг	bærk
бiаьсте	bɛstɪ
бага	bʊg
бага дахна	bag daːxna
бад	bad
бай	baj
байракх	əjrq
бакъ	maq
бакъо	bˈɤqu
бакъхиларан билгало	bǎkʰɯlɑn bɪ̞ɫgɑɫɑ
балг	bɯ̞ɫg
бамба	bamb
барам	baːrəmbaːrəm
барз	bˈaɾʒ
баркал	bärɯ̞kɑɫ
баркал хьун	borkoɫ
баркалла	bɑrqɯ̞ɫːʊ̞
барт	bəɾt
барх1	bɐr
барх1алг1а	brɦoɫ
бархӏ	bɛ
басар	bəsar
басе	bˈʌsə
батт	bˈʌt
баха	bˈax
бахам	bˈaɣɯm
бахархой	baxərxoj
бахтар	baxtar
бахчалелор	fˈaxtʃɫˈiɭˈɔr
бахчалелорхо	bɑxtʃɫjɯˈlɑrxuˈɑ
бахьана	maħæn
бацо	baːtsuɫa
башхалла	bɑʂχɑl
баьхьа	bæˈħ
баьццара	ðetsʲɛda
баьццарниг	β̞atsʲtʃtʃɦ
баӏ	va
бегаш	bijɯɟʃ
беда	bˈɛdˈe
бедар	edˈɛr
бежана	bəʒən
бежаӏу	dʒuʕ
безам	bizim
бекх	bɛx
бекхам	bɪ̞jɑqæm
бекъа	bɯ̞q
бел	bˈɛl
белхало	kjalˈɣlˈo
белхахо	pjɛn˥˩xuɔ˧˥
белхи	bˈɪlɾi
белш	bɛls
бен	bʲen
бепиг	beːpec
бер	bˈeɾ
берам	bijɾn
бераш цахилар	bɛʃ sɑhɯ̞ɫɑr
берийн беш	beɾ iːn beʃ
берийн мачаш ю	berin maːtʃu
беркат	bigɑt
беса-цiениг	biztsɛnɪc
беснаш	bʲesnas
бесни	besnˈe
беттан	bətːən
бехк	bˈɛʁk
бехк ма билла.	bʲæxk mɑbiʎɑ
бехк ма биллалахь, хiара сан меттиг ю.	beʁmɑ biɛlːlɑ hærɛsæn mɛjttɛjguju
бехк ма биллалахь,со охьавуссуш ву.	bʲærk mɛbʲiɫlɑj sɑwɑh vuxʂu
бехказваккхархо	bʲaxkɛzʲvɑqqɑrxu
беш	bɛʃ
билет эца меги кхузахь?	bɪ̞ɫʲɪt jɛtsmɛgʲi kʏzɑ
биллахь	bila
бираьнчиг	bɪræntʃɪk
биргӏа	bɪrˈðɯ
бирдолаг	bɪrduʁ
биши	bɪˈʃiː
бо	bua
бога	vˈʊdʒ
бода	bodɛ
бож	bosʲ
божал	boʒɛɫ
божарийн коч ю	bo˩˥ːʒa˥˩ː ɛɾɛj ko˩˥ːtʃu
божарийн мачаш ю	boʐɨ nʲa
бой	bɔj
болам	buɫum
болат	bɔɫɑt
болх	bɔʁ
боргӏал	borɣo
борз	bˈɔɾz
борш	bɔrʃ
бос	bˈɔs
ботт	wɒt
бохам	boɣim
бохча	boːxtʃ
бохь	boːʔ
бошхап	bɑʃχæb
боьмаша	bøjømøʃ
боьрша йоцу хiума	bɜːʃɒt hæm
боьхалла	ðɪojχoo
бу	bu
бугӏа	bˈoɣɯ
буй	bʊɪ
букъ	bq
бумзи	bumzi
бун	bun
буппаз	bupːəz
бутт	puːt
буту	bɔtɔv
бух	bʊ̞
бухка	buxka
буц	buts
буьйда	byid
буьйр	bɪr
буьйра	bɛn
буьйса	byːz
буьйса декъал йогӏийла	mʏ̞jzɫɛj qɑɫɯ̞ oɢɪ̞jɯ̞l
буьйсан	myːsan
буьрка	bølk
буьрса	bʏ̞rð
буьртиг	byrteg
буьхьиг	bɑħɛg
буьччалг	bytʃtʃɯld
бӏагор	mˈaguɹ
бӏаьрг	bʱɑːrg
бӏаьрганегӏар	bɛrginigɑɾ
бӏаьрзе	baʕaːrðijæ
бӏаьсте	bɛstɪ
бӏов	nˈoː
бӏогӏам	mo˩˥ːvam
бӏоржам	boɾʒɐm
ваба	wˈɛb
вадархо	vadorxo
вай	wˈaɪ
вас	væs
ваша	vˈɑʃ
ваӏда	ɑːdˤ
ведар	vjador
веддарг	vˈɛdɔrk
вежарий	ðədʒrɪ
везара	beːzɾə
везарг	vje˩˥ːzɛrg
векал	vikɫ
велало	vˈeɭu
вена йоккхо ю линцел	vˈiən ˈɔø ˈlɪnˈɛtˈ
верас	ʋʲæɾɐs
весет	læst
вета	vˈet
ветнаш болу коч ю	βʲet næʃ bɔɫɔquɑ tʃu
веччалг	wʲɛtʲtʲʃʲɐlg
вир	vˈɪr
вирбекъа	vˈɪləbˌɛɾ
вирнехча	ʋʲirnʲaxt
вовшийн	voʊtʃɛjn
воккха стаг	oːxtɑg
воло	uɔluː
вон лелар	voɫʲiɫɑr
вон леларг	βo̞ʲːiɛ ɫærg
ворда	voɾda
ворта	uɔɾt
ворх1	uɔːr
ворхӏ	wˈɔɹ
ворхӏалгӏа	wɔrhɑɫʁɑ
вотанча	votandʐ
воттана	wˈʌtˈtˈɑ
воӏ	wɒː
вуьрхӏитта	børɣit
г1айг1а	ʁˈɛ
г1ант	ɢɑnt
г1ап	ɢat
г1апакх	ɢɑpɑq
г1улкш муха ду?	ʁulqs bɑr
гiабали	ɾˈɑblɛ
гiайба	ɣaʲib
гiала	qɑːdɑ
гiалитiа	ɣɑːlita
гiант	qɑnt
гiелий	ʁˈɛlˈɛ
гiера	vˈɛr
гiудалкх	ɣudɑɫɯ̞q
гiуллакхаш	ʁuɫɯ̞qʂ
га	g
га тiepa 1аж охьабожо	gʲɪtʲiɾɪ̞ ɑʒ ɑʊhɑbäuzo
газа	gaz
гай	gɐ̝j
гайта	gajð
гайтам	gɛjtɛm
гала	gɑːlɑ
гали	gali
гар	gˈɛr
гарза	gɒɾˈzɒ
гата	gat
гаьнгали	aŋgɫi
гезгамаша	gʲɛlsgmaːʃ
гена	dʒen
геналла	gɛnɨl
генара	gænɛr
гергара	lŋgˈeˈɾˈ
герз	gˈɛrz
гиба	gibɑ
гидолла	gidɔl
гилгаш	gʲɪlʲɪks
говза	gau̯s
говзанча	gˈɔ̃uzˈɐ̃ŋtɨ
говр	oɫɯ̞r
говрахь	gora
гола	guɫa
гома	gɔːm
гомаш	gɔmʃ
гонаха	ɣoɔnɑx
гора	guɫɯ̞r
горгали	gʊ̞rgəli
горгам	gɔrgɐm
готта	gɔt
гоь	a
гоьмукъ	gʏ̞mʊ̞q
гулам	bʊ̞ɫɑm
гуьйраг	gʏrg
гуьйре	gyiʲlɪ
гуьржи	gʏrʒiː
гӏа	ðɯ̞
гӏабакх	zɑːbɑq
гӏабуц	ɣabuz
гӏад	ɢɑd
гӏаж	rˈʒ
гӏаз	ɣˈaz
гӏазакхи	væsqi
гӏайба	ɢajb
гӏайгӏа	vˈʌɪv
гӏайракх	ɢɑjra
гӏала	χala
гӏалагӏазкхи	ʁalʁaasqi
гӏалат	ɢaːlɯt
гӏалмакх	ɢɑɫmɑq
гӏан	ɢan
гӏант	qɑnt
гӏап	ʁˈap
гӏара	ɦr
гӏарол	ɢɑːrwɑl
гӏатта	ɢɯt
гӏашло	bɣaʃɫo
гӏебарто	ɣæjbɑrtʊɫ
гӏерта	ɣeɾt
гӏийла	ɢɯj
гӏиллакх	ʁi̠ɫɫɑq
гӏирс	gɪrθ
гӏо	ɦo
гӏовгӏа	ʁauɣ
гӏогӏ	rɔʁ
гӏодаюкъ	ɢoːdɵɵq
гӏоргӏа	ɫorx
гӏорза	ɢorˈz
гӏорта	uɫɑrt
гӏоьнча	ɢænʒ
гӏуда	rˈud
гӏуй	ʁuːiː
гӏуллакх	ʁullɑq
гӏуллакхаш	ʁuɫaqɯ̞ʂ
гӏум	ɣum
гӏумки	ɢumke
гӏургӏаз	ɣuɾqɑz
гӏуркх	ʁurq
гӏурт	ɣ̞urt
гӏутакх	ɢutk
гӏучӏа	gutʃ
д1алакъ	nɑɫɯ̞q
дiавуьжу чоь ю	na viztʃoju
дiадала	dadɑ
дiадаста	dadast
дiадерзо	dadɛɾzoɾ
дiадехка	dadˈɛʁkˈ
дiаида	daiːd
дiакъовла	zˈæqəl
дiахьовзо	mʲtaʂaw�uzoɔ
дiаяздийрa дацара ахь иза суна.	nâi̯æz dʲìːrtʲæ̀ːtsʲər ʲɛr ʲɛr un
да	dˈɑ
да-нана	dɑnɑn
даiам	dˈɑːˈɑːm
даiамийн iуьргаш	daʔɑmɪːl ʔøylykʃ
даархо	daerxu
дагахь	daga
дагаэха	dˈɑːgəˈɪç
даго	dagˈua
дада	dˈɑd
дажа	bˈɛʒ
даза	dˈɛz
дазо	dazoa
даим	dɑːeːm
даймохк	dˈɐjmˈort
даккха	dɑq
дакх	dak
дакха	dˈɯst
дакъа	dˈɑg
дакъо	dækʊ̞ɫä
далла	dɑːl
далло	daɫo
далмукълахь	daːmukla
дало	tɐlɔ
далхо	d̪aːxua
дао	dæˈu
дарба	d̪aɾbə
дарж	dæɾʒ
даржа	dˈɑrʒy
дари	dˈaɾɨ
дарс	dˈɔrs
дарсан	ðˈɚsˌe
дарц	dˈɛrts
дата	dˈɛd
дато	dɐtˈo
датониг	datoanig
датта	ðət
датӏа	dˈɑd
датӏо	dɑːtɔ
даха	dˈaʁ
дахка	dɑqt
дахко	daxkɔ
дахча	daχtʃ
дахьа	dˈɑ
дахьо	dapɔ
дац	ðæt
даш	dˈɵʃ
даша	dæʃ
дашо	daʃo
даьгi	tˈɛʁ
даьгiнийса	dˈɛʁnˈjˈs
даьгiнийсстаг	dernˈistok
даьллуш	d̪eɫˈɛz
даьндарг	ðəndərg
даьрз	dˈɛrs
даьстошдийца	bɛstɔʃteːts
даьтта	dˈɛt
даьхни	daxne
даьшстаг	dæʃstak
даӏ	dˈɑ
даӏам	dˈɑ
де	d
де дика дойла	dedek nɔjil
де дика хуьлда хьан!	dɛdɪkɾiɫa
де-буьйса	dadʒuz
деба	dˈeb
дебо	bjebu
деваша	dɛjʋaʃ
девзина	dʊ̞znʊ̞
девзина хаза хета	da u̯znɑhˈxaz xɛtɑ
дегiастан	dɛŋdɔstɑ
дегiашардам	dæɾʃældæm
дега	dˈɛg
дегаза	dˈeːgəs
дегазза	diːgəza
дегазстаг	dijˈegɐstʌg
дего	dˈjɛgʊ
дегӏ	dˈeʒa
деда	d̪e̞ð̞a
дедолуш	d̪eð̞olz
деза	dˈiːz
деза де	ðezde
дезачу дийнан	dˈɛstʃˈɛ
дезде	gɛzde
дейтта	dˈeːt
дека	ðiːk
деко	dˈiɾˈɑkˈuɐ
декха	dʲigɑ
декхар	jɑqɑr
декъа	dijˈeˈq
декъаза	beːqiz
декъазстаг	dʲigɯ̞stʊ̞g
декъал	dɛɾ
декъала	dɪ̞jɑqɑɫæ
декъалдан	dæjqʊ̞ɫdʊ̞
декъан	dˈiɪst
дела	deio
дела реза хуьлда	ˈdeːriːs xɯl
делах а, динах а цатешар	délˈxla diːnaxla səˈtiːə ʃaɾiː
делкъе	dɛlqija
делкъе йу	la
делкъехь	dʒɑqqua
делла	dɛldɛlˈlɑ
дело	bˈeɭʌ
делха	dlɪɣ
делхо	dælˈhuː
демагалнаш	demʲgɑɫŋɯ̞ʂ
денана	de̞naːn
дендала	dændæl
дера	bˈeɪɹ
дератуопп	dˈeɪstɒp
дерза	dejɑɾɯzɯ
дерзана	dˈɛɾzɐn
дерзо	dˈɛɾzˈˈo
деста	bˈɛst
десто	dˈɛstʊɾ
дети	dˈeːtˌi
детта	dæt
деха	dˈɛɾbˈiɾ
деха пхьош ду	dˈɛ pˈɔʃtu
дехархо	daxarxa
дехка	bɛrk
дехьавала мегар дари со?	dʲæːh væl mɛːgardɐrʲisːɑ
дехьадаха	d̪iːħðaːħ
деча	geːtʃ
дечиг	dˈɛstʃˈig
дечиг-пондарча	pɛcpɔndɔrtʃ
деша	dʲejatɨ
дешархо	tiːe̞ʃɾχo
деши	dˈeˈʃi
дешнаш	dʒuʃtʃɔsɔ
джовхар-гiала	dʒuːhuːruaːl
диг	dˈɛk
дига	dig
дижа	dʒ
дижо	dˈe-ʒˈuɑ
дийна	dˈeːn
дийнахь	diːna
дийр ду а бохуш	dˈiʒ dʊ ɐmˈɔʒ
дийцархо	diːtsɛrˈhuɑ
дика	dik
дика дiаяла	diːkidaː zˈdɑm
дика цалуу	kɛntsɑɫuu̯
дикка гена ду.	dˈikˈeɪŋdʊ
дила	dio
диларш	ɫɯ̞ʂ
дилла	dˈɪl
дилха	dɪlˈɯx
дин	d̪in
динахь	dinˈah
динберг	dinberg
диса	d̪is
дита	did
дитт	dˈɪt
дитта	dˈit
дицдала	ð̞itsð̞ɾl
диъ	dˈi
доакхкха тукар	doːq tʊkˈɐr
дов	dou
довза	dou̯z
довла	dɔˈɫɑ
довха	dˈoɫ
дог	blˈog
дог1а	dˈoɾ
доггах	nˈogah
догӏа	dɔgadɔɣa
догӏа (дождь; rain)	dˈɔʁˈɑ̃
дожа	dʊʒ
доза	dˈoz
дозалла	ðozəl
дозалча	dˈuɐzˈaʊtʃ
дозанхо	doːɾzænˈkoːɾ
дойла	dɔjɛɫa
доккха	nɔk
докъар	dɔqaɾ
дола	dˈoːl
долла	dwˈɑl
долма	doɫam
доло	tɔɫɔ
досса	dˈos
дотта	dwˈat
доттагіалла	dotrɑp
доттагӏ	duːɑtˈtˈɑgɯm
доха	dˈuɐx
дохдан	noχda
дохка	dˈɔɾt
дохо	dˈoɣo
доца	tˈoːt
доца пхьош ду	a prɨdumaju aʃtu
доцца	dots
доцчул тоьла	tˈot tʃˈul tøjˈɬ
дош	d̪uɾʃ
доьалгӏа	dælˈʁ
доьзал	dʏezl
доьла	dʉjɯɫ
доьналла	dyønɑɫˈɯla
доьхка	dˈœʁk
доьхна	dˈɔxmɔ
доӏа	dˈʁɑʕ
доӏах	dwˈɑ
ду	dˈo
дуга	dˈogʌ
дудин	a
дуза	dˈozɨ
дуззалц	duzˈzɑuts
дуй	dˈoɪ
дукхаллин терахь	tuqa lɪntərɑ
дукъ	duq
дукъа	dʊk
дукъарц	duqɑrs
дукъо	duqˈlua
дула	duɫ
дуса	dˈos
духа	dˈuʁ
духар	duɫxɑr
дуькъа	dˈʌk
дуьне	dynˈe
дуьра	dʏ̞r
дуьрста	dʏrst
дуьххьал	daxau
дуьххьалдіа	dˈɛdˈe
дуьхьало	døhɑlˈo
дуьхьиг	dˈɛfˈtˈʁ
дӏаала	baːl
дӏадотта	dˈadʊɐ
дӏатаса	datas
дӏовш	bˈaʊʃ
еара	jɛr
еара де	je ɛrɛde
евзина	jɒuzin
еддарг	jadɑrk
ез	ljˈe
еза	jˈɛz
екха	jæq
екхоъ	jɪːqq
ели	jˈɛn
еса	ˈɛs
ет шура	jætʃʊ̞r
етт	jet
ехк	jæχk
ж1аьла	ʃaŋ
ж1ов	zau̯
ж1ов цани хьастум те тоха	zʁɑuːtsɑnɪ hɑs tɔntɛ toɦ
жа	ʒˈɛ
жагӏа	ʒa
жайна	ʒain
жаргӏа	ʒarɨx
жаӏу	ʒˈˈʁɒnˈtˈ
жерахь	ʒiːra
жеро	ʒɨɛɾɔ
жигарала	ʒigɒrɒl
жигархо	sɪgɐrˈɦˈo
жигархой	bʲiʂɪkarxoi
жижиг	ʒʒʒk
жима	ʒimɐ
жима волуш дуьйна	ʒˈim wˈɑl ʒtˈyn
жима тукар	ʒim tʊkˈɔr
жимо	ʒˈɛmwˌa
жимчохь	ʒˈɛmdʒˈiʁ
жиргӏа	zywˈa
жовхар	ʒoɫɣɑrɯ̞
жовхӏар	ʒuɫhɯ̞r
жоп	ʒˈɒp
жоьла	ʒˈyvʌ
жоьра-баба	ʒyɛrbab
жухарг	ʒuɣardʲe
жӏаьла	dʒʕæl
жӏаьлийн	nʒʕaliːn
жӏов	ʒˈau
жӏонк	ʒˈɑ̃k
забар	zˈabr
забарча	zabartʃ
забарш ян	zabər ʃəiː
заза	zaza
зайл	zɛjl
зайла	zajim
зама	zæn
захал	zaxl
заьлгӏа	zˈɛlɣ
заьӏапхо	tsa˥˩p˥˥oʊ˥˩
зезаг	zʲizak
зингат	siŋgæt
зов	zɔʎ
зока	sɔvak
зорба	zorba
зорбатохар	zæˈrɑːbdæftæɾˈfɑː
зорх	zorah
зу	zo
зуда	zud
зударийн коч ю	zudri tak koʲtʂu
зударийн мачаш ю	zo drimatʃo
зударшха	tudɑrs
зулам	zʊˈlɑm
зуламхо	zʊɫamxuːa
зурма	zurmɯ
зӏаьнарш	zʕanʃ
зӏок	zɑk
зӏокберг	zˈakbˈærg
зӏуга	sʁuʁ
и	iː
и хiун ду ахь динарг?	aˈjˈɛ dˈiʁ ˈʔaħd nk
и хiун ю?	ʁixuʁ
идархо	idoːrɔxu
ижу	ˈiʒu
иза	izˈa
иза сол воккха ву	iztʃaːl voq bu
иза хьуна пайдехь ду	izˈɑhomˈaː pʌjtˈe adˈoj
иза ч1ог1а доьналла долуш хиллера.	izɑtʃ ɒˈʁɑ døˈven ɒˈllɒdɒˈʃ xellˈ eɾɒm
ийза	iz
ийзо	izu
ийман	iːman
илланча	ʃtˈomˈanʃ
илли	tili
имам	ɛmaːm
инженер болх беш ву	inʒɛnʲer ˈbɫɑːlɑx bˈɛʃvu
ирс	ɪrs
ирхдаха	irχdɑq
ирча	erɯtʃ
искогберг	iskogbærg
ислам	islam
исс	ˈis
иссалг1а	æizˈsæv
истанг	istˈaŋ
исхар	iːsxor
итт	ɪt
итталг1а	etˈo
иту	itu
иччархо	igtʃarxo
иштта	liʃˈt
йажор	ɪːvaʒuːr
йалх	lx
йерриге	ɪ̞jɪ̞rgæ
йетта шура	et ʃor
йийсар	jejɪeɾ
йис	iːs
йисар	ɛsɛr
йисархо	aːjsarxo
йиша	iʃ
йоi	lɛjˈuː˧
йовлакх	jɑwɯlɑq
йовсар	jɛusar
йовхо	jauːxuːa
йогiийла	juɣiɫɯ̞
йоза	jˈuz
йойла	jɔjlɑ
йокхкха чоь ю	jɒq tʃuɒjuq
йол	jɑːl
йолхалг1а	lɔ˥hou˨˩˦
йома	jum
йорах	jʊrˈax
йоргӏа	joɾ
йочуна	ljˈoːtʃˈvˈ
йоӏ	dˌiːzə
к1иранде	kerãmde
к1ошт	kɔʃt
к1удал	udɛ
кiади	adˌe
кiайн	tʃoz
кiант	kɒnt
кiира	kɪ̞r
кiирана денош	kʲirãŋdʲinuʃ
кiиранде	kameranda
кlант	ant
ка	kˈa
кавказ	kau̯kɑs
кавказхо	kafˈkɑːsxoːr
кагдала	kaːpkiˈdala
кагдан	kagda
кад	kad
кад-ӏайг	kɑtʕæk
кадам	kadɑm
кало	kɫua
кан	kan
карадаха	kʌrdax
карадерза	kaɾdeɾsɐ
карахь	kˈæɾa
караэца	kærɪ̞jɪlts
каро	kæɾuː
картол	kaɾtol
карча	kartʃ
кач	katʃ
каш	kəʃ
каяла	kajal
кегий	kɛgˈi
кего	pˈeɣu
кеманаш дар	kijem nˈoʃtar
кемс	kemz
кемсаш	kems
кеп	kep
кеп хилла	kæp χɪ̞ɫɑ
керла	kærl
керста	kɛrst
керт	krt
керча	kijɑrʊtʃ
кесира	kessi
кеста	kɛst
кехатпондар	kʲiːxtpɔndɯr
кибарчиг	kɛˈbarˈtʃɪk
кийра	kijɾ
кийсак	kisk
кийча	kidʒ
килс	kils
киртиг	kirtjig
кирша	kʲirʂ
киса	kˈis
кица	kit
ков	hou˥
ковказ	kau̯kaz
ког	kwˈɑt
когаш чуьра са дiадаьлла	kɔ ˈkɪʃtʃul sɛ dadɛld
кол	qɔll
комар	komar
копаста	opst
кор	kɔr
кор дiаделла[slash]дiакъовла мегар дуй?	qwˈɒˈɾ dɒdeˈlˈɒ dɒq ɒˈvlɒ mˈgɒɾduˈj
коржам	kˈˌɔɾəʒɐ̃ʊ̃
корта	kwaɾt
кортали	kʊˈʊrtli
котам	kvətəm
кофта	ftˈ
коч	kwˈatʃ
коча	kɔːtʃ
коча iамор	kuʃ amu
кочаниг	kɔtʃnik
кочар	kɔtʃar
коьжалг	hʏ̞ʏ̞ʏ̞ɫg
коьрта туьллу йовлакх ду	kørtʃtyyl wɑqtɯm
коӏа	kuːaː
кроссовкаш ю	kɾsɑwɑw kʃɯ
куз	kuz
кузза	kuz
куй	kui
кура	kuɾ
куралла	kwral
курза	kɒɾuˈzɒ
куц	kʊts
кучамаш	kɔtʃmɔʃ
куьг	kˈɛg
куьзга	køzygø
кхаара	qara
кхаара де	qɑʕuʕo
кхаба	qɑːb
кхаж	qɑʒ
кхакха	kɑk
кхала	kɑːw
кхаллар	qɑʊ̞ɫɯ̞r
кхалха	qɑɫɯ̞q
кхана	qɛn
кхана дуьйна	kaːnˈdyn
кхане	qɑːnjɑ
кхарда	qɑrd
кхарза	qaɾuz
кхарста	qɑrɯ̞st
кхача	qɑtʃ
кхачам	qaːtʃam
кхаъ	qɑtˈʁɑn
кхел	pl
кхелли	dæɾ
кхема	qɪ̞jɪ̞m
кхера	kijɯɾ
кхес	qijas
кхета	tiet
кхетам	qɪ̞jɯ̞tɯ̞m
кхехка	qˈɪç
кхин гена а дац.	qɪngæ nɑ ɑdæt qɪgɪ̞ nɑ ɑdæt
кхисса	qɪs
кхоалгӏа	qoːlɑlɢɯ
кхойтта	ojtɯ̞
кхокха	qoq
кхолла	qɑl
кхор	qɔ̀ɾ
кхосса	sqwˈɑs
кхохка	qoqa
кхоъ	aʁ
кхоь	qɵɛ
кхуза хiотто меги ас?	qɒz hɒˈt tʃiːzi v mɒgj æst
кхузара дiа гена дуй?	qʊ̞zʊ̞rdɑgæn tuj
кхузахь	uzˈa
кхузахь цигаьрка оза ца мега.	qwsɑ tsiˈgærk uˈz sɑmɪˈg
къага	qɑg
къажа	kˈaʒ
къайлаха	ʔilˈlɑx
къайле	iːliː
къам	am
къамел	aml
къарза	qarɑzɯ
къаста	astɐ
къахка	ɛʁkə
къахь	ɛa
къахьега	jægɑ
къега	qijˈgˈ
къежа	ɛjeʒe
къекъа	qjeq
къемат	qɪ̞jmæt
къена	plˈeɪn
къехой	χie˩˥xɔj˧
къийдала	ɛːlidɔm
къийса	bˈaː
къилбаседе	plibsiʲeʲidi
къинхетам	ojɛnɦɛjtɛn
къинхьегам	χʼenxɨlgɑm
къовла	aɫːɑ
къолам	ɢɔɫɑm
къонахий	uːnuzˈxˈlɑq
къора	χur
къохцал-сара	qwɑqtsɑlsɑr
къоьжалла	qʏ̞jʏ̞ʏʂɪ̞ɫ
къу	q
къубба	ɔːmbɔ
къурд	ɣoːrt
кіайн	ɑ̃n
кіира	æ
кӏа	qˈa
кӏаг	ak
кӏади	kaːdj
кӏажа	kʲæˈʒɛ
кӏажар	kadʒr
кӏайн	kʰajˀ
кӏалд	kʌld
кӏант	ant
кӏарх	ɑrχ
кӏеда	kɪːda
кӏеза	iːθ
кӏеззиг	tʃɛzdʲik
кӏел	ˈeɪʊ
кӏелахь	kela
кӏело	kjoːo˧˧
кӏентан	kjentɐ
кӏентан йоьӏан йоӏ	kʰiːtənjɔː˧ɑnjw˧˥
кӏентан йоьӏан кӏант	kʰent jɔnˈgɔnt
кӏентан йоӏ	ent̪eɲo
кӏентан кӏентан йоӏ	ɛntənkj ɛntˈɛnˈvˈɑ
кӏентий	enfˌɛ
кӏиллб	ljup
кӏир	i̠ɾu
кӏира	kʲireː
кӏомсар	ɑnsɑr
кӏора	kora
кӏорга	kork
кӏорни	kvarne
кӏоршаме	arʃmi
кӏудал	udɑlɯ
кӏужал	uʒɛl
кӏур	kʊrv
ладогӏа	ɫædwʊ̞ʁʊ̞
ларвархо	wnɑrwɑrχu
ларлуш хилалахь!	uɫɑr w̜ʂχɯ̞w la
лата	ɫat
латта	tɑ
латталелорхо	ɫatɫelaːrxu
лачдийцар	latsʲdiːtsɔr
лачкъа	atʃiqa
лаьтта	lət
лаьхьа	nˈɑhˈa
лаьцнарг	lʲatsnark
лерг	lɛrk
лергаш долу куй бу	lʲerʂ dou̯ku jɛbu
лийр яцар им	liːrjansər ˈɛn
лийчo	lˈiːtʃuɔ˧
лийча	lidʒ
лилула-сийна	laluːlsiːn
ло	ɫɔ
ловза	lowsʊ
ловзар	nˈoːtʃtˈeɾ
лом	wˈʌn
лор	lɔr
