's avonds	saɾvons
bedrogen	tˈytˈynˈoːɣə
bedroog	bʏ̞ðrɔx
beenhouwer	benaːbɯɾ
beerschot	bˈeːrʃkˈɑt
beet	pˈeːts
beetje	betʃe
beginnen	bəxˌɪnə
begod	bɐxˈot
begoed	vɨxud
begon	fixum
begonnen	ɛtjˈɛtnˈə
begot	bˈˈɛ̃ʒˈanˈt
begrafenis	bɪxraːfɪnæs
begroeten	bəɣrˈutə
begrotingsconclaaf	bɛsɫoːtɪŋsgɔmklaːv
begrotingsput	bɐxɛloːtiːngpʰiːtˢ
begrotingswaakhond	baflɔtɛngsvaːkompt
behalve	bɛhɑlʒɛ
behalve dat hij erg druk doet, is hij ook nog eens onbeschoft.	bəhˌɑlvə dˈɑ hˈɛɪ ˈɛrx drˈɵk dˈut ˈɪs hˈɛɪ oːk nˈɔx eːns ˈɔnbəsxˌɔft
beheerraad	bəɦərat
beiaardcantus	bæ̝jjæ̹skæmtʏ̞s
beijveren	ðəɛrrˈɵn
beitje	bejtʃ
bekampen	bəkˈampəl
bekende	bekindi
beker	peke
bekermatch	β̞ʝjkɪrmæk
bekeuzeld	bəkøzəlt
beklaagde	bəklˈaːɪxdə
bekommernis	bɛkɔmɛrnjs
bel-étage	bˈʁeɪtˈaʒ
belangrijk	lˈɑŋrˌeːɪk
belastingsbrief	plastˈiŋzbɹˈif
belbus	be̞lbʏs
belegram	bˈeːlˌɵrˈɑmm
belfort	bˈɛlfˌɔɾt
belg	bɛlx
belgisch compromis	ber iːskuː prɔ mi
belgisch voetbalelftal	bˈɛlɣiz fʊtbˈɛl ˈɛləftˌɑl
belgisch witblauw	bɛlhˈi swˈid blˈaʊ
belgitude	bɛlʒitˈyd
belgië	bˈɛlgiə
bellekentrek	bɛlɛkɛntrɛkk
belleman	bˈɛlman
bellen	beˈla
belofte	bəlˈɔftə
beloftevol	bəlˈɔftəfˈal
belotten	bˈɛlˈɔtˈn
beluik	tələk
belwaarde	beːlvaːʒlɛ
ben	ben
benoît poelvoorde	tɑj mɑ puː vɔːrdɛ
bent	bent̪
bereikte	vˈərˈɛktə
bergen	bɛrɣe
berk	bˈɛʁk
berlijn	berˈlˈeɪn
berlinde de bruyckere	bɛrlɪndɛ dˈə brˈɛɪkərə
beroep	ɾup
bescherming	bəsxˈɛrmɪŋ
beschreven	bɪsxrˈivən
betekend	bətˈeːkənt
beten	beːtɛ
betoging	bətˈoːɣɪŋ
beul	bˈʊl
beurten	bˈʏɾtən
beval	befˈal
bevalen	bizala
bevelen	yvˈeːlə
bevredigen	bəfrˈeːdɪɣən
bewerkn	bˈɛʋɑːrɛn
bhv	bavˈɛləvˈɛprˈisɛɫkˈɑlɑfˈilsˈoɾtən
bibbergeld	βiβɯrjɛnd
bibberpremie	biːtpɛstrimiː
bibliotheek	biblioːtˈɛkˈ
bidden	bid
bieden	bid
biefstukkensocialisme	biztʏkynsɔsjalizmɛ
bier	bˈiɹ
bierbeek	piɾbeɣ
bierkaartje	birkartɪ
biesbroeck	bizbɾuk
biet	bˈiʁ
bij	bˈeɪ
bijen	bˈeɪən
bijna	beina
bijten	bˈeɪtə
bil	bɪl
binden	bindi
binnenland	bˈɪnənlˈɑnt
bit	t̪e
björn leukemans	bˌɪˈoːrn lˈøːkəmənz
björn vleminckx	spiorn fˈlˈɛmɪŋz
blaasmarathon	plasmaratun
blanc bleu belge	lˈɛ̃ blˈø bˈɛlʒ
blankenberge	lˈɑnkənbˈɛrɣən
blauw	blˈoʊ
blazen	laˈsˈe
bleef	plˈeːf
bleek	plˈɪk
bleken	blˈeːkə
bleven	plˈeːvə
blies	pliːs
bliezen	bælˈise
blijde inkomst	blaːdə inˈkomst
blijken	lˈeːkə
blijven	lˈeːvən
blink	blˈink
blinken	plˈɪnkə
bloed	plˈɔt
bloem	plʲum
bloemen	blˈumə
blokskes	bloʃkʲiz
blomkôle	blˈumkol
blonk	lɔnk
blonken	plˈoːmkˌɛ
bob de moor	op d̪e moɾ
bob vrieling	bˈɔp frˈiːlɪŋ
bob-campagne	vˈɒpkɒmpˈɛni
bobbejaan schoepen	bˌɑbɪjˈaːnt sxˈupən
bobbejaanland	pobijaːnlˈans
boden	boɫdi
boek	bˈuk
boer	bʊ̞ʃ
boerderij	buɾdɒɾɒˈ
boerenbond	bˌoːrənbˌɔnt
boerentoren	buːɾətɔɾɛn
boeynaems	buiːnˈams
bogen	boːɣə
boktand	bɔktant
bolsens	β̞olsʊnz
bom	bom
bomen	boːmɛ
bomma	boma
bommen	bɔmɛ
bompa	bompa
bompie	pompi
bond	wˈɔnt
bonden	bˈɔnd
bood	bots
boog	bx
boom	bum
boor	bʊɾ
boos	bɔs
boot	bˈoʊθ
bord	pɔɾts
borg	borix
borgen	borʒe
bos	bos
boskap	pɫʊ̞ʃkʊ̞p
bossuyt	bɔsɔɾt
bot	bˈɔt
boterbloem	vˈɔtɜblˌʊm
boterham	bolˈtˈarˈam
bouchout	buxɔlt
bouckaert	bukaːrt
bourdau	burdo
bourgondië	buzɔnˈnɪ
braadde	rˈaːdə
brabant	braːbənt
brabantse	brˈaːbɔntsɛ
bracht	prˈaxt
brachten	brˈaxtə
braden	radɛ
braekeleer	brˈaːkəlˈeːɹ
brak	rak
braken	raːkɛ
brandnetel	bɾˈaŋknˈeːtoːw
brecht	brˈɛxt
brecht dejaegere	brˈɛxt dˈi jˈaːɣərən
breekbaar	brəɛkbˌɑːr
breendonk	braaːnˈon
breken	bˈrɛkə
brengen	bɾˈɛŋɐ
briek schotte	blik sxˌɔtə
brievenbus	bʁˈilˈɛbˈœs
bril	bɾˈɪl
broek	bɾˈuk
broeksriem	brʏ̞kʰstˈrʲiːm
broer	bˈuʁ
broere	bɾˈuːrə
brood	prots
broodje	brotʃa
brugge	brahɛ
brugges	brɪgɪ
bruid	brˈœyt
bruidegom	rˈɛɪdəgɔm
bruin	brˈaɪn
bruistablet	brˈœstɜblˈɛt
brussel	brusˈul
brusseleer	brˈʌsæˈdeˈ
bruyninckx	brˈœnɪŋz
buigen	bɛjgɛ
buiging	bəˈgɪŋ
buitenaards leven	ʋˈɑtənˈaːrlds lˈeːrən
buitengewoon	bˈœytənɣəʋˌɔn
buitenland	bˈeːtəlˈɑnt
bureaucratie	bˌiɾokɾˈasi
buren	yɾɛ
burgemeester	bˈɵrɣɛmˌeːstər
bus	bˈus
buurman	bˈyrmən
buurvrouw	biːrzrɑuw
caberdouche	kaβ̞eɾt̪uʃ
cadeau	adˈow
caenegem	kaːnˈeːgəm
café	kfˈe
camionetteverhuur	kamˈiːˈɔnətnfyrˈør
carbon	kɑɾbõŋ
carice van houten	kˈɑrɪs vɑn hˈʌʊtə
carll cneut	kərˈɛl knˈœt
carll cneut is een bekende vlaamse tekenaar en illustrator.	kˈɑrl knˈøːt ˈɪs ən bəkˈɛndə vlˈaːmzə tˈeːkənaːr ˈɛn ˈɪlˈɵstrˈɑtˌɔr
carnaval	kaɾnafal
cauwenberge	kɑɫumbɛrgɪ̞
centrum	entrˈum
ceremonieel	tʃiɾemuɲil
ch	siːkʰaː
chagrijnig	ʃæjræːnɪ̞ç
chambrang	ʃambran
chaos	xaos
charlotte leys	ʃɑɾlot lejɣs
chikong	ʃikˈon
china	ʃina
chloor	flˈoːɾ
chris maene	kɾˈɪsmɐnˈɛ
christian dotremont	kristjˈɑn dˈɔtɾəmɛn
christiane wuyts	kristjˈɑnə ʋˈɛɪt
chronischevermoeidheidssyndroom	kroːnɪsʃeːvɛrmˈojthəɪdsʒɪnˈdruːm
cigarette	sikaret
cinema	sjnˈɛmˈa
citroen	sʲitʲrʲyn
citroenmelisse	situinmilˈisˈɛ
claerbout	klˈaːrbˌouwt
claeys	klajs
claude verspaille	kloð fˈɚstspˈiɹˈɛ
cleopatra	kleopatra
clijmans	klˈɛjmɔns
clovis	kluvis
cluysenaar	kˌɫœzˌɛnˈɑˈr
collega	kɔlegˈa
collegium vocale gent	kɔlɛdʒum vokaliː xants
combinatoriek	kɔmbinatorik
competitiematch	kɔmpɛtisɪmætʃ
complex	kompleks
complimenten	kɔmplimˈɛntən
cooreman	kɔrmɔn
cornelis huysmans	poɾ nilis äus mɔns
corniche	kɔrmɪʎ
correctioneel	koreɣ̞sioɲeõ
cortvrint	kˈɔrtfrˈint
covid-19	ko˩˥ːfitnɛxtin
croissant	kɾˈuaˈsˈɑ̃
cruysberghs	krˈœyʃbˈeːks
crème	krˈem
cuberdon	tˈybɜdˈɔ̃
cultuur	kultˈyɾ
curieuzeneus	kjɾˈjɛzɛnˌeːz
cuyckens	kagɯnˈs
césar de paepe	kzɛzɔr dˈə pˈap
d'hondt	dˈoːnt
d'oude kaars	ðakest
daar	dˈaɾ
daarachter	dˈaːrrˈɛçtɪx
daardoor	dˈaːrdˌɔr
daarrond	dˈaʁˈu
daarstraks	t̪eɾst̪ɾɛks
dacht	dˈɑxt
dachten	dˈɑxtən
dag	dˈax
dagpauwoog	dˈaxpˈɑwˈuχ
daguitstap	dagːeːtˢstap
dan	dˈoːn
daniël termont	daːn jˈɛl tʏɾmˈuŋls
dank uwel!	ðankɯ belo
dansen	dˈɑ̃sə
dany verlinden	dˈɑn nˌi vərlˈɪndə
dat	dˈot
dat doet pijn	dˈɑ dˈut pˈɛɪn
datum	daːtən
david goffin	navi dˈə gofˈɛl
davy de fauw	dˈeːvj dˈə vˈʌʊ
de	dˈø
de batterij is plat.	dˈə bˈɑtərˌɛj ˈɪs plˈɑt
de bil van de kip	dˈə bˈɪl vɑn dˈə gˈɪp
de brand valt niet meer te temmen.	dˈə brˈɑnt vˈɑlt nˌit mˈɪx tə tˈɪmən
de brucyker	dˈə bˈrˈaːkər
de fauw	dˈø fˈaʊ
de gasten kunnen nu ieder moment aankomen.	dˈə ɣˈɑstən kˌɵndən nˈy ˈidər mˈɑmənt ˈœynkˈɔmən
de haan aan zee	d hæn ˈændzˌe
de hete aardappel doorschuiven	ðˈə hˈeːtə ˈaːrdɑpəl dˈoːrsxˌɑvə
de honden bassen.	dˈə hˈɔ̃dyn bˈasim
de jonge tovenaar heeft een nieuwe toverstaf gekregen	jˈɔŋə tˈoːvənˈaːr hˈeːft ən nˈibə tˈɔvərstˈɑf ɣəkrˈeːɣən
de keyzer	dˈə kˈɛɪzər
de kruisafneming van rogier van der weyden word beschouwd als een meesterwerk.	dˈə krˈœyʃˈɑfnˈeːmɪŋ vɑn rɔɣʝˈeː vɑn dˈərʋˈɛɪdən ʋˈɔrt bəsxˈʌʊtən ˈɑls ən mˈeːstərʋˌɛrk
de maand maart	dˈə mˈaːnt mˈaːrt
de muziek staat te luid.	dˈə myzˈik stˈɑːt ˈoːlˈoːvd
de mérode	dˈə mi ʁˈoːl dˈə
de paepe	tsɯ pa
de punt van je potlood is scherp	hˈət pˈɵnt vɑn jˈə pˈɔtloːət ˈɪs sxˈɛrp
de receptionist	dˈø sˈɛt epsˈɛ̃iz
de schildpad eet traag een blaadje sla.	dˈə sxəltʋˈɑt ˈeːt drˈaːx ən blˈaːˈɑtjə slˈaː
de schrijver	t ˈɪs ɣrˈɛɪvə
de struise brouwers	estɾaʝs ãmb bɾɔβɾes
de vlaamse gaai	tə vlaːms sə xaj
de waase wolf van brouwerij boelens	dˈə ʋˈaːsɛ ʋˈɔl vɑn brˈoːeːrˌeːɪ bˈɔəlˈeːs
de waelhens	dˈə ʋaːlˌeːns
de wulf	dˈɛvɔpˈtˈ
december	dɛsɛmbɛɾ
deceuninck	dˈə-kˈøːnəŋ
deceunink	dˈə-kˈøːnɪŋ
deden	dˈeːd
deed	dˈeːt
degoutant	dʒʃɛɣutamts
dekbed	dekbet
dekbedovertrek	dˈɛkpətˈɔvɛrtrˌɛk
deketelaere	dˈʏkːeːtˌeːlˈaːrˌeː
delaere	dˈɛlˈaːrˈɛ
demeulemeester	dømølɛmijistɪ
demeyere	dˈømˈɛ̃jʁˈœʁ
den	tɛn
denderwindeke	tendɾwẽn̪d̪e̞kge̞wẽ
denijs dille	dˈə nˈɛs dɪlˈeː
denken	ðenkjˈ
departement	d̪ipaɾt̪amẽn̪t̪s
depuydt	dˈə-pˈœʁ
derborgher	dˈəbˈˈɔlʒˈə
derde	dˈɛrdə
dertien	tertĩŋ
dertiende	dertˈeldˈe
dertig	ðɛrtɪx
dertigste	ðertikstə
derving	deɾˈvim
desem	neːsum
dessert	dɛsɛrts
destexhe	dˈəstəksɛ
destrooper	dˈɛstɾoːpəʃ
deur	dˈøʁ
deurklink	tøvklɛnk
devriendt	dˈəvrˈint
dewitt	dzəvˈɛts
deynze	gˈeɪnzə
dichting	tʃtˈiːm
die swaene	disvame
die vrouw daar, is mijn zuster	dˈi frˈaʊ dˈaːr ˈɪs mˈɛɪn zˈɵstər
diederick	dʲidægɪk
dieet	dˌeˈeːt
diepenbeeck	dipənbek
dievenbenden	tivənbɛndən
dikke nek	dikːeːnˌeːk
dikwijk	dikʋeːk
dinsdag	diːn˧zdɑ˥˩
dirk kuyt	dɪrkː kài̯tʃ
distel	ðˈɛstoʊ
dit	tˈits
django reinhardt	tʃˈaŋgoːrˈajnɛrˈst
dochter	doxtœr
dodentocht	tˈɔldəntˈɔxt
doe	dˈu
doe maar normaal he dan doe je al gek genoeg	dˈoːmənoːrmˈɑlhəːt dˈɑn dˈoː jˈə ˈɑl ɣˈɛk ɣənˈux
doen	tn
doet	tut
dokter	dˈɑktər
dokteur	dˈɑktˈœr
dominique deruddere	dmiˈnik dyˈɾyˈdyɾy
donald muylle	tʃoːn oɫd møːdø
donderdag	dˈɔndərdˈɑx
dood	dˈot
doofpotaffaire	doːvpˈotˈafərɛ
doop	dˈɔp
dorp	tɔrp
dorst	dˈɔɹst
dossier	dˈosˈiɹˈ
douwe	dauɛ
dovenetel	ðˈɔ̃vənˈeːtəʊ
draagmoeder	drˈaːsmˈudˌeːr
draaiknop	trˈaɪknˈɔp
dragen	trˈaɣə
dranouter	ðʲerɑnɯtsɯ
dreef	dʁˈf
dressing	dɾesim
dreven	tˈrɪvə
drie	dʁi
drieentwintigste	drˈiˈɛntwintɪçstə
driessens	ðɾiːfels
drijven	trˈeːvə
drinken	drɪŋkə
droef	druf
droeg	tɾˈuːx
droegen	trˈuɣə
droglandt	rˈɔxlants
droogkast	droːɣkˈɑst
droogkuis	rokkas
droom	dˈɾˈɔm
drugs	rʏks
druifje	dʁˈafjˈø
dubbelparkeren	dubɛlpaːrkɛɾe
dufrasne	tyfˈrˈɛsdˈə
duif	dˈaɪv
duinekerke	denkætkæ
duits	dˈeɪts
duivelsblauw	dˈʌvəlzblˈaʊ
duizelig	tau̯zɫɯ̞
duizend	dˈeːzənt
duizend achthonderd	thˈøzənt ˈɑxt hˈɔndər
duizend dertien	ə dˈɛɪzən dˈɛrtin
duizend en een	dozɛ dɛ nɛjn
duizend en elf	tˈøːzɪnt ˈɛn ˈɛlf
duizend en twaalf	ðˈeːzənt ˈɛn tʋˈaːlf
duizend en twee	døz mɛtɛn dvɛj
duizend honderd	dˈɛzənt hˈɔndərt
duizend negenentwintig	tˈœyzɛnt nˌeːɣənən tʋˈɪntəx
duizend veertien	ˈɵizˈɛnt fˈɪrtˈin
duizendblad	ðəhˈazˈɵtðəplˈɑt
dul	bˈɛl
dun	dˈœ̃
dus	dˈøs
duur	dˈyʁ
duutsland	dˈœytslˌɑnd
duuve	dyvˈe
dwaas	dwˈas
dwars	d̪uɾs
dwars door vlaanderen	dˈə ʋˈɑrsts doːr vlˈaːndərɛn
ecaussinnes-d'enghien	ekɔsimdɔ̃gjɛ̃
echt	ɛçts
echtpaar	ˈɛxtpaːr
economie	ekonomˈi
eddy merckx	eð̞i mɛrks
edmar	æi̯ɾˈeiːmɑɾˈdeɪ
