1	yks
aldehüüd	ˈaldˈɛshjˈuːt
aleksander	ɑlɛksɑnd̥ɛr
aleksander nevski katedraal	ɑlɛksɑnd̥er neuski kɑtːed̥rɑl
aleksandra	ɑlɛksantɾɑ
aleuudid	ɑlɛʊtʃti
alev	ɑːlb
alevik	aːlɛvik
algab	ɑlkɑb̥
algaja	ɑlg̊ɑjɑ
algama	olkomɑ
algebra	olgapɾa
algharidus	ɑlkhɑrid̥us
algne	alɛkne
algoritm	algɔritm
algul	mau̯oːf˧
algus	ɑlˈkuz
alguses	alk̪o̞sez
alguskokkukõla	hɑlg̊uskokːukkɤlɑ
algust	ɑlːgus
aliide	mænliːdæm
alk	əl
alkeemik	alkeːmik
alkohol	ælˈkɑxˈlæ
alkoholiaktsiis	ɑlˈkɑxˈeʁulʲɑktʃiːz
alkoholism	alkoχɑlizm
alkoholivaba	alkoˈxolibˈapa
alkoholivaba õlu	alkohoːliː vɔpɔɑ ølø
all	ɑl
alla	ala
allahindlus	alːɑhiŋd̥lˌus
allar	æ̹lːɑr
allar levandi	la leβanðe
allegooria	allˈekorja
allergia	alˈlɜkia
alleroloogia	alleroloːge
alles	ælˈlæs
alligaator	ɑllig̊ɑːtˑor
allikas	ai̯nɾikjɾas
allikates	ai̯liːkatæs
allkiri	palˈgˈri
allkirja (mida?)	al kirjɑ
allkirja (mille? omastav)	ɔlkrjɑ
alluv	ælː
allveelaev	ælvejmɒn
almanahh	ælmanˈæ
alo bärengrub	ælˈoʊ pɑˈrɛn gruːp
alpaka	alpakːa
alpinism	alpenas
alt	ajt
altar	altˢɑr
alternatiivne	alˈtɛrˈnatˈivnˈ
altimeeter	altʲimæːtːɛr
altruism	altrɔjʒm
alu	alõ
aluliina	aloːlina
alumiinium	aluminɪʊm
alumiiniumhüdroksiid	ɑlumiːniumytroksiːd
alumine	alomĩŋe
alus	aːlˌoːs
alusmets	pɑlʊsmetʃ
alusnurk	aloˈsnˈoɾk
aluspüksid	ɑlˈuspiksˈit
alussärk	alussɛrk
alustaja	pɑlustɑjɑ
alustama	ˌɑlustɑmɑ
alustas	ɑluːstɑs
alutaguse	ɑlutɑkuse
alzheimeri tõbi	ɑl sɑiː məˈɾiː təpi
alžeeria	alɣ̞ɾie
alžiir	alɣ̞eɾ
ambivalentne	ɑmpivɑlˌentnɑ
ambla	ambla
ambur	ampɔr
ameerika	ˈɑmeˌrikːɑ
ameerika piilpart	ameːrikːa pɪːlˈmˈorˈ
ameerika viupart	ameːriːkːa viuː pərt˨
ameerika ühendriigid	ɑmeˌeˌrikˌɑ yhændreikid̥
ameeriklane	ameriklɑnɛ
ameriitsium	ameritsiˈum
amerikaniseerimine	ɑmeˈrikːɑniseːrimine
amet	ɒːmæd
ametlik	aːmetele
ametlikud dokumendid	omɑtlikːut dɑkomentid
ametüst	amɛttyʃt
aminohape	aminohapːæ
amme jõgi	aːlmaɪʊki
ammu	ɑmm
ammune	ɑmmunɛ
amortisatsioon	amˌoɾtizatsiˈon
amper	æmˈper
amperminut	ampɛrminut
ampersekund	ampeɾsekund
ampertund	ɑmpɛrtunjɑt
amsterdam	hɑmstɛrd
anaeroobne	aːnnaːjroːbnɛ
analogism	analoɣ̞jsme
analüüs	�nɑlʉs
anamnees	ɑnɑme̞js
ananass	ɑnɑnɑʃ
ananassimahl	ɑnɑnɑjsiːmɑ
anarhism	onaɾxis
anatoomia	anatˈomiːa
and	oin
andamani meri	ɑndaːmaːni mɛrɪ
andamanid	ãn̪d̪amænnæt
andekas	ɑntekːɑs
andero ermel	on tero ɛrremɛl
andesiit	andɛzit
andke andeks!	ænt ke ɑndæks
andma	ɑndmɑp
andmine	nintiːzmine
andorra	ãn̪d̪ora
andorra la vella	ẽn̪d̪oɾa d̪e beʝa
andre	ant̪re
andreas	ontrɛɦɛs
andres	õn̪t̪ɾes
andres lainevool	andræs laj ne võl
andres oper	antrɛj sˈoːpˈɛr
andromeeda	antrometa
andrus	anðɾˈos
andrus ansip	anɾuʃnʃi
andrus kivirähk	lroskibira
andrus murumets	anð̞ɾos mu ɾomẽn̪t̪s
andrus veerpalu	aːnːd̥ɾoːs vɛːr paloː
aneemia	ɔnɛmiɔ
anekdootlik	anektûːtlʲi
anemomeeter	anemomentɛr
anemoon	ɔneːmɔːni
anestesioloogia	ɑnˌestesiʌlɑˈgjæn
anete	ɒneqte
anett kontaveit	a net̪ kõn̪t̪a beit̪
angerjas	ɑŋgɛrjaːs
anglistika	aːnklistika
angola	aŋkoːla
anija	anja
anioon	eɾˈaʒleˈɾ
anna	anna
anna andeks!	ɑnɑntəks
anna õlu	æˈnna ˈøːlˌoː
anne	onme
annetus	ɑːnːɛtˈtʊs
anonüümne	anike
antarktika	antˈɑrktˈɪkˈa
anti	inti
antibiootikum	ɑnˈtipjɔtikːum
antidemokraatia	antjde˥˩ːmokrɑtjɑ
antifašism	ojntifasʃism
antigua ja barbuda	antjˈgo ˈja pˈaɾboˌta
antiikne	antikne
antiloop	antilo
antimon	antimon
antiparalleelne	mɑnttiparɑleːlnæ
antisemitism	ant̪isemit̪t̪ism
antisionism	antjsionis
anton	anton
antonüüm	antˈonˈyːm
antropogenees	mãnt̪ɾoppõkẽn̪es
antropoloog	antˈropolˈok
antropoloogia	antropoloɣoke
ants kaljurand	ɑntsʲ kɑlʲ rɑnt
antsla	aŋtsla
antud	aːnkellˈ
anu	anum
anšoovis	antʃoβ̞is
ao äia õe uue oaõieaia õueaua ööau	ŋɔː˩˧jɐu̯˩˧
apatš	əpatʃ
apelsin	ˈɑpːɛlsin
apelsinimahl	apʃaːldʒnˈimaːhl
apertuur	apɛrtuɾ
aplaus	plau̯s
apostel	apːostˈel
apostroof	apostrof
apoteoos	apoteos
appi	opi
aprikoos	apekos
aprikoosid	aprikˈozid
aprill	ɑpɾˈiːl
aprillist	aprilist
aps	ɑpːs
apteek	ˈoptek
araabia meri	ɑrɑːbːiɑ meɾi
araabia ühendemiraadid	rɑːb̥jæ̈ yhænd̥e mirɑːd̥id̥
araablane	raːblan
araali meri	raːliː meri
aragoniit	rɑkɔnʲit
arahhis	rˈahis
aravete	ɑrɑˈvete
arbuja	ɑrpɔjɑ
arbuus	arpuz
ardu	artu
are	ore
areekapalm	ɑre̞kɑpɑilme
areng	ɦorɛnt
areomeeter	oreɔmetˈteɾ
aretatud	aːrɒteːtud
arg	ɑːrk
argentina	argentina
argipäev	ˈɑrkipæiv
arglik	ɑrg̊lʲiŋg̊
argoon	farˈgoːn
argument	rgumɛnt
argumentatsioon	aɾgumˌentatʃon
argus	ɑrɾɯkuz
arhailine	parχäjɪ̞ɫɪ̞nɪ̞
arheoloog	ˈɑrxɛoloːk
arheoloogia	arxijolgokɛːr
arhitektuur	orʃitɛktuːr
aristokraatia	oristokrˈatia
aritmeetik	ɑrɪtmɛjtɪk
aritmeetika	paritmejtika
arm	ˈɑrm
armas	armɑs
armastama	ɑrmɑsˈtɑmɑ
armastan	ɑrmɑzton
armastav	armastæ
armastus	parmatsʲːoz
armastuskiri	armast̪ues̻kɾiː
armatuur	ɑˌrmɑˌtˌuˈr
armee	ˈɑrmeː
armeekindral	armɛjiːkɪndrɛl
armeenia	ormˈenjo
armukade	ɑrmuqɑtæ
armuline	parmulʲine
arno	arno
arnold	ɑɾnɑld
arnold rüütel	aɾnɔld ɾytːɛl
aroonia	roːnja
arrogantsus	arokaant̪s̺us
arseen	parse
arst	ɑrst
arter	ˈɑːɾtˈɜ
arterioskleroos	art̪er̞ios̺klaroɾs
artikkel	rtɪkːl
artiklid	artiklt
artiklit	aːrtiklet
artti aigro	ʊ̞rtːi ɑi̯kɾɔ
artur	ɔɾtʊɾ
artur kotenko	art̪uɾ kot̪t̪ẽn̟ɟɔ
aru saama	tsusaɾma
aruandlus	β̞ɾuãn̪t̪os
arukas	ɑrukːɑs
aruküla	arowkɪla
arusaadav	ɑrusɑːtɑ
arusaamatu	ɑrusɑːmɑtːu
arusaamatus	ɑrusɑːmɑtˈtus
arutluskäik	bʲɑrutluskæjk
arutlusvõime	ɑwtʏ̞sʏlʏ̞jmæ
arva ära	arvaɾa
arvama	ˈɑrvama
arvan	ɾɔn
arvatavasti	ɑrɑttabɑʃtɪ̞
arve	ˈaɾve
arveldus	orvældus
arvelduskoda	arvɛlduzkoˈta
arvesse	orˈvesˈse
arvesti	aːrbɛʃti
arvo pärt	ɑrvɑ pɛrt
arvo volmer	ar vɔlmer
arvsõna	rɔvɛsɛnɑ
arvuti	ɑrvutti
arvutiteadus	arvuttiteatus
ase	osɛ
aseaine	osɛaina
asendamatu	pɑseɛndɑmɑtːu
aserbaidžaan	asɛrbɑʒaːn
aseri	æsældʒæ
asesõna	osjasɛnɔn
asfalt	asfɑlt
asi	ua˧˧
asja	ɔsja
asjaajaja	ɑːsʲɛː˧˥ɑːjɑːɑː
asjakohane	ɑʄiːɑkoˈhɑne
asjakohasus	æsiːˈækohɑˈsʊs
asjalik	ɑtʃɑlɛk
asjaolu	laʃaolo
asjatu	ɑsjɑtːu
asjatundmatus	ɑsijɑtunmɑtˈtʊz
asju	asʲto
askorbiinhape	askorpinhap
assaku	ɑsɑkˈku
astaat	ɑstɑt
astangu	aʃtɑŋgu
aste	tˈe
astelpaju	ɑstælpæːˈjuː
astelpaju marjad	ɑsteɫ ba jɑu mɑrja
asterix	ästeriks
asteroid	aːstɛrɔjð
astigmatism	æʃtʲigʲɪmæktʲiːʃmɪ
astme	ɔstɲ
astrofüüsika	ɑstrofyːsjikɑ
astroloog	ɔstɾɔloːk
astroloogia	astˈralˈ
astronoomia	astronomija
astuma	astoma
asukoht	asuːqoχt
asula	ɑsoːla
asum	azum
asuma	asoma
asutus	ɑsutˈtus
asuvasse	ɑtsuʋɑsːk
asümmeetria	asimmetˈria
asümmeetriline	asimˈeːtɾiːnˌe
asümptoot	ɑːsʲɛmbtoːt
atavism	atːavˈis
ateena	patːɛ
atlantise tormilind	ætlˈænt ˈɪz ðə tˈɔrmɪlid
atlas	ɑtˈlɑs
ats	tˢs
ats purje	aːtsʲpuɾjɛ
atsetoon	atsetɔn
atsetüleen	ʌtsetˈtylˌeːn
atsetüleerimine	ɑˈtsetyleeˌrimiˌni
atsiidsus	atʃi
au	aɫ
audiomeeter	au̯tioˈmetːe
audru	au̯trʊ
august	au̯gust
august sabbe	æug̊ust sɑpɛ
auhinna	ou̯hĩnːo
auk	au
aul	aw
aur	auɾ
aurav	ɑuɾɑv
aus	aus
austatav	ɑustɑtˈtɑ
austatud	aːustatːut
austerservik	pæustɑɾsɑrvik
austraalia	aʊstrɑlʲiɐ
austraallane	aʊstralˈlane
australopiteekus	au̯st̪rɑlopit̪eeːkuz̺u
austria	ˈaʊstɹɪa
autentsus	au̯t̪ent̪s̺us
autism	au̯t̪ism
auto	au̯tɔ
autobuss	au̯tabus
autod	aʊtˈot
autode	au̯tode
autogrammi	au̯tɔgrammɪ
autojuht	aʊtojuːt
autor	au̯t̪oɾ
autorid	autɔrid
autoriseerimine	au̯toriseːrimine
autoriõigus	autoriuridus
autosid	au̯t̪osjð̞s
autosse	autosem
autot	au̯t̪o
auväärne	aːlvɛrna
ava	abɑ
avaja	aːvoia
avaldis	awaldis
avaldus	ɑvɑldoz
avaleht	ɑːfɑːle
avalik	pɑvɑlik
avalikuks	ɑvɑlikuks
avama	ɑbɑma
avameri	ɑːvɑːmɛːri
avamäng	aːvɑːrmeŋ
avanss	aβ̞ãŋs
avar	avˈɑːr
avar naeratus	ɑvɑr nɑrɑtːus
avardada	aːvaːrdada
avatud	ɑvɑtːud
avinurme	aviːnurmə
avokaado	aː˧vokːaː˧tʰou̯̯˨
b	be
baar	aɾ
baarium	parɛ
bahama	pɑħɑːmɑ
bahama saared	ɑχ ɑmɑs ɑːrɛt
bahrein	ɑxˈrɑjˈn
baikali viiger	pɑikɑli viːg̊er
bakalaureuseõpe	pɑkɔlɑurusːeʉppɛ
baklažaan	lapaːklaʒan
bakterioloog	bˌɑktɛrioloˌk
bakterioloogia	paktɛrʲiɔlɔːgʲe
baleaari tormilind	paleaːri ˈtormiːlind
baleaarid	parəariːd
ball	fai
ballett	balˈɛt
ballistika	pˈɑɭɪstˈiːkˈa
balneoloogia	balneːoloːgˢ
balsapuit	palsɑpuit
balti jaam	paltɪ ɑm
baltimaad	tɑːllɛstɑːt
balustraad	palustrað
banaalne	panɑːlɛn
banaan	pˌanˈan
bandaaž	fãn̪d̪os
bangladesh	pŋglatɛʃ
barbaarne	barbaɾne
barbados	parpatos
barentsi meri	pɑrɛntsʲimæri
bariton	ãmbparit̪on
barkarool	parkarol
baromeeter	pˈɑrˈometrˈ
baromeeter langeb	vɑroː mɛːtːɛr lɑŋgɛp
baromeetriline	pɑrɔme�tiˌlnˌ
basalt	pɑsɑjɑlt
basaniit	basanit̪
basiilik	vˈɑzˈiːlˌiːkk
baskimaa	pasˈkima
bass	bˈaʃ
bassein	bˈæstsˈeɪn
batümeetriline	patːˈymˈˈeːtˈrɪlɪnˌeː
beebi	beːbi
beebiroosa	pˌeˌviˌrˈosa
beetlipalm	beːtlɪpaːljɛm
beež	pɛʃ
belau	bˌeˌʃˈa
belgia	kelkia
belgrad	pɛlkrɑt
belize	pelˈis
benin	penin
benseen	penˈsˈeɾˈ
bensiin	bɛnˈʃiːn
bensoehape	penˈzojapːe
berenike juuksed	pere niːkæ jɤuset
beringi meri	pæe̞ɾiŋki meɾi
berkeelium	perkelɪɔ
berliin	berlin
berüllium	peryljɑ
betoon	pˈetːˈoɾ
bhutan	pɔtan
bibliofiil	liːbliːɔfˈil
bibliograafia	pɪplˈelˈogˈrˈafiˈ
bilingvism	piːlˈɪŋkˌlɪs
binaarne	pˌinˈɔrnˈ
binokkel	pˌinokːəl
binokulaarmikroskoop	senoːˈkɑlɑrmiːkɾosˈɔp
bioelekter	bjoɛlɛktɛr
bioelektriline	bjoð̞eelekt̪rilne
biofüüsika	piofyrsikæn
biokeemia	pi˥˧u˥˧ke˥˥im˧˧ɐ˧
bioloog	bjɔlɔg
bioloogia	biolɔʒjɐ
bioloogiateadus	pˌiˌoloˌketeɑtˌus
bioloogiline	bˌiɑlɑkiline
biomass	piomas
biomeetria	pˈɪɔːmˈɛtɾˈia
biomeetriline	piometrˈˈinˈ
biostatistika	piaːs̺t̪etikːɑ
biostratigraafia	bjao̞st̪ɾat̪d̪eɣ̞ɾafĩã
biosüntees	iosintes
biosüstemaatika	ioˈsytemɑˌtikˌɑ
biotehnoloogia	bˈiːadɛxnˈɔlˈoːgən
biotoop	bjɒːt̪ob
birgit õigemeel	pirkɪtːu ig̊e meːl
birma	pirmɑ
björn	pjerð̞n
blondiin	plˈɔndiːn
boa	pɔː
bohrium	porjum
boliivia	mˌoˌliˈvɪa
bolševism	polsebisp
boor	por
boorhape	poːrhaːppɛ
borrelioos	poɾɾˌeljos
boršš	pɔɾʃ
bosnia	pɔsɲi
bosnia ja hertsegoviina	poːsɲia jˈa ɦɛrtsɛ koːviːna
boston	postoˈn
botaanika	pɔtaːnikam
botaanikaaed	poˈtɑnikːɑeːt
botswana	pɔtsvɑna
brasiilia	brasˈilja
bravuur	bravol
bravuurne	pravornɛ
brigaadikindral	briˈgɑːtɪkɪndrɑ
briljantroheline	rɛlaɾntroleːnɛ
briljantsus	briljantsus
briti neitsisaared	pɾitːi nẽitʃi sɑɾɛd̪
britt	pɾj�tː
brokoli	proːpɨlɪ
bronhoskoopia	lˈɔlhˈuzkˈuːqbjˈɑ
broom	pro
broomhape	pro˥˩ːma˥˩p
brošüür	pɾoːsytɾ
brunei	plʊnɛj
brutaalne	pɾotalme
brutselloos	rutssenuusi
brünett	brʏ̞nɛt
brüssel	tˈə
budism	pˌuɾˈiʃm
budist	puːdˈest
bukarest	puqkaɾast
bulgaaria	pulkaare
burger	puɾɯ̞kær
burkina faso	poɾ ke na faso
burundi	kurointi
buss	puʃ
bussijaam	poʃijam
bussijaama	puʃjama
bussipeatus	qoʃiʃbjɑptuɾ
butaan	putaːn
butanool	pˈutːanɔn
bušman	bʊ̞ʂmɑn
bänd	ben
bürokraatia	peɾokrˈatːia
büroo	peɾo
c	tsɛ
cabo verde	kɑpo vɛrˈte
cent	sent̪
costa rica	kʊstɑ rika
cyrillus kreek	kirlˈu stˈrˈɛkː
cätlin	kætlin
d	d
daam	tɒm
dagö	tˈɒgˈ
daktülograafia	takˈtˈɪlˈɔgˈrˈafˈiːa
dalmaatsia koer	tɑlmɑːtʃ̪ e̞ko̞ɦe̞r
daltonism	d̪elt̪õn̪ism
darmstadtium	tarmst̪at̪t̪jũn
darvinism	dorvinis
dateerimata	tatˈerimˈatˈ
datlipalm	tatlipalim
datsiit	tatsʲit
daugavpils	tɔugɔvpils
debiil	dˈɛbi
debiilne	dˈɛbiːlˈnə
debüüt	dˈeːtbˈyːt
deduktsioon	kʲið˥˩upʲːə˥˩ŋ˥˩
defektne	dˈɛsthˈɪtnə
definitsioon	definitsiˈon
dekameeter	tˌekˌkɑmɛtˌeɾ
delfiin	kelkai
delikaatne	teˈlˈikatnɔ
demagneetimine	teːmɑg̊neːtːiminː
demilitariseerimine	teːmilitːɑrisɛiːriminːɑ
demograafia	dɛmɔkrɔrpjɛ
demokraatia	demokrˈatja
demokratiseerimine	demokrɑtˈiseˈiriminˈe
demoraliseerimine	tee̞mpoɾɾaliseeɣ̞rimine
demüstifitseerimine	teːnmystifːitseːriːminæ
dendrokronoloogia	ðˈɛndrakˈɾˈɔnalˈɔga
dendroloogia	tendɾˈolˈokːja
depolarisatsioon	tepolaɾjɣ̞sat̪kion
dermatiit	permɔtidɔ
dermatoloogia	termatˌoloˌokeɑ
derüüga	telek˦a˦
despootia	dɛspɔtːja
despootlik	tesproproprop
despotism	tˈespˈotis
destabiliseerimine	testʃapilisejrimine
detsember	ð̞et̪sember
detsentralisatsioon	t̪et̪ent̪ɾaliz̺at̪ɣ̞sãn̪
detsiliiter	tetsiliːtɛr
detsimeeter	teetʃimestˈ
devon	ð̞ebon
diagnoos	tʲiapnos
diagnostika	tʲiagnoˈstikːɑ
diagonaal	d̥iːagˀɔ̀nɑːl
diameeter	tiametːɛr
diametraalne	fiamet̪trˈalne
diapaus	tʲeapauz
difraktsioon	dˈifɾˈaption
difteeria	tifˈtˈɛria
digitaaltelevisioon	d̥ig̊itɑːltælːævisjɔn
digitaliseerimine	tʃiktɐljsɛrimine
digitelevisioon	tiːkitɛlaːvisjɔn
diivan	tiːvˈan
diivanikate	tiːvɐniːkɑːɾɐ
diivanile	tiːvænilæ
diktaator	tiktor
diktatuur	tiktat̪ur
dinosaurus	tinosauɾus
dioksiid	ðiokˌsiːd
dioptriline	tijˈoptrɪlɪnɛ
diplomaatia	diprˈomˈatːia
diplomitöö	tˌiplomˈitˈøː
dipool	lˈɛpˈˌoːl
direktor	dirɛktor
dirhami	tiˌrˌhæmi
dirigent	tiɾigent
diskograafia	dˈiskogɾafˈfˈia
diskreetne	diskrɛtne
diskvalifikatsioon	djsvalifikatʃon
diskvalifitseerimine	dˈiskɔˈalɛfitsːɛrɪmɪne
dissident	ð̞iszĩð̞en
divergents	t̪jβ̞eɾɣ̞uẽn̪t̪s
djibouti	tʃibwtːi
dmitri kruglov	dɛmɪtri kɫuglov
dmitrijev	d̪ɪmɪt̪riːjɛ
dodekaeeder	tɑtekːɑeːter
dogmatism	tokmat
doktoritöö	toktoɾidø
dokumenteerib	dokkomentˈeˈriːpu
dollar	tolˈar
dolomiit	tˈɑlɑmiːt
domineeriv	domineerɨv
dominica	tominiːk
dominikaani vabariik	dominikãːni vɑbɑrik
doomino	tˈominˈo
doonau	tonav
dorpat	tʊ̞rpbɑt
dosimeeter	tɑsimeˌtˈtɛr
draakon	draːkɔn
draama	traːma
drakooniline	frakːoːnjljn
drastiline	tʁɑstʲilɛnɛ
