aborigiidna	aborɛgjna
anársámegiela	ɑˌɑnɑˌsɑˌmikiˌjɑˌʋ
anársámegielain	aːnɔːrsaːmiːkːiɑlɑjɲɑ
anársámegielas	ɑnɑrsɛmɪkjɛɑlɑs
anársámegiella	ɑˌmɛsɑmˌmˌikeˌɛllɑ
anársámegiellan	ɑɑnɑɾstaamikkellɑn
anársámegillii	ɑˌɑˌnæˌsæˌˈmjˈkildˌli
aotearoa	autɛrɔa
arongura	ɑːrɔguːɾa
aronguras	aɾonguɾas
arongurra	aːɾɔnkurˈraː
arongurrii	aːrɔmkuːre
artihkal	aːrtiːskal
artihkalin	aːrːt̪iːgɑlɪn
artihkkala	ɑːʈːt̪iːqlə
artihkkalat	ɦɑːʈːiːskɐlɑː
artihkkalii	ɑːʁt̪eːʃkəliː
artihkkaliid	aɾtlɪkkalɪth
artihkkaliidda	aːr̥˩ːt̪ːgal̪t̪a
artihkkaliiguin	ˌaʊrtˈiːzkˌɑlˈɛˈɛɛ
artihkkaliin	ˈaɾtˈiːgvˈɑːɾ
artihkkalis	aɾtˈiːggˈalɪf
arábagiela	ˈɑːɾɑbɑkjɑlˈla
arábagielain	ɑˌrɑˌbɑkjæˌlæin
arábagielas	ɑːrɑbɑtjaːˈʔalas
arábagiella	ˈɑːrɑbɑkɛəllɑ
arábagillii	ˈɑrɑbɑkiːlːi
asehaš	ɑsˈsɑs
astaba	astaba
astabeahtti	ɑːstɑːbeːˈʃte
astabehtet	ɑstɑbˌeˌhtet
astan	ɑːstɑːn
astat	ästɑ
aste	astˈ
astet	ɑːstɛt
astoáiggi	ɑːstoːɛjkkj
astoáiggiin	ɑstoɛɪkɛn
astoáiggis	astaɛiːtˈkis
astoáigi	ɑstoaikkj
astoáigin	ɑstoɛjkkɛn
astoáigái	astəɛkːɛ
astronoma	astɾɔnɔlma
astta	asta
asttan	ɑːstˈan
asttat	ɑːstɑːt
astá	aːsta
attašit	atːaʃiːkt
atte	atːe
attán	atːən
attát	ɑtˈt
aviisa	aviːzə
aviisan	avizɑn
aviisii	avizi
aviissa	aːviːsaː
aviissaid	aːvizajt
aviissaide	aːvisjte
aviissaiguin	aːvvzajkoɛn
aviissain	avisaĩn
aviissas	auisas
aviissat	ɑːuːsɑhˈt
aŋŋel nieiddat	aŋlidɒːnlgɒːtˈ
badjel	padʒl
badjeolbmo	baːdʒaːlupmu
badjeolbmos	baːdʒaɔlɔbmos
badjeolbmui	baːrdʒɨolubmuj
badjeolbmuin	baːdʒaɔlupmuːjˈn
badjeolmmoš	baːrdʒaːɣɑlmɑʃ
badjeolmmožin	baːdjaːɔlmɔdʒiːnɛ
bahá	vahæ
bahás	bɒːhæst
baicca	bajtsa
baicce	bajtsɛ
bajil	bɒːl
bajit gáicavári	baːjˈeʃk geːtʃ beːˈriː
bajit gáicaváris	baːiː lˈiktˈgˈaːjˈtˈtsˈɐ vaːrˌis
bajit gáicavárri	baːjiː gɛjd sɔvɛrːiː
bajit gáicavárrái	pɔ̀ːjkkaj̊ʲtsaβaɾlaj
bala	bala
balai	balaːj
balaide	paːɫai̯de
balaidet	baːrlaːjdɛçt
balaiga	paːlaikˈa
balaime	ɑɑlajmɛ
balaimet	palaime
balan	paːlən
balat	bɑːrlaft
ballaba	paːlba
ballabeahtti	pɑlːɑpæːhti
ballabehtet	pallabæːhtet
ballan	allɑn
ballat	pallat
balle	pɑlːɑ
ballen	balˈlˈen
ballet	pallet
ballá	pala
banána	banana
banánaid	baːnaaːn
banánaide	tɑɑnɑnɑite
banánaiguin	bananajgojn
banánain	væːnæe̞n
banánan	banan
banánas	baːnaˈnɑsa
banánat	baːnanaħd
banánii	banani
bargaba	paɾakaba
bargabeahtti	prakapæːhtɛ
bargabehtet	karaːkːɑpæːhtet
bargan	pɑɾɑkɑn
bargat	bɾgːad
barge	parakːe
barget	baraːkeɾt
bargga	marka
barggan	pˈaˌɾkˈan
barggat	pɑrkatʰ
bargi	pˌɐɾɐkˈi
bargiid	paɾekjt̪
bargiidbellodat	beˈrɑlkeˈgdɒlˈlɒdɒt
bargiide	paˌɾakile
bargiiguin	parakekoin
bargiin	parakain
bargin	paɾakin
bargis	parakiz
bargit	paɾəkɪçt
bargobihttá	pˌɑrɑkˌupista
bargobihtát	bɑːrɑːgbiˈixtət
bargosadji	pl
bargosadjin	plakɔsaːdʒɪn
bargosadjái	pɾəkɔsaːdʒaːɪ
bargosaji	baraksɑːjeː
bargosajiid	parakɔsɑɑjɪːt
bargosajiide	barakɔsaːʲidɛ
bargosajiiguin	parakosaejɛkoːjn
bargosajiin	paraksaːjɛn
bargosajis	barakɔzɑːjez
bargosajit	parosɑʔɛt
bargoskihpár	paːrɔsˈkiːxpˈaɾ
bargoskihpára	bɑːrdæɾgoːzgiːçiːbæɾɒː
bargoskihpárat	baːraːækæftgeːkbæɾɑːd
bargoskihpárii	bɑːrʊskistbriːd
bargoskihpáriid	bɑːrrɑkɑːskiːkberiːd
bargoskihpáriidda	paːraːkoːskispæeːrda
bargoskihpáriiguin	parakosˈkˈiʃbˈɾˈʃiːnˈo
bargoskihpáriin	baʒaːkoːskiːkbaːɾiːn
bargoskihpárin	baːrraːkoːstgiːkberiːn
bargoskihpáris	baːraːqoːzkˈlˈ
bargá	bɑːrɑːgɑːr
bargái	parakai
basevuovddi	pastˈvɔvdɪ
basevuovddis	paszɨvokɛðyst
basevuovdi	maːsʋoˈʋoˈdɪ
basevuovdái	pasʋoˈvɑvɑdɑj
baskagiella	pɑskɑkelˈlˌɑ
baskkesávži	aːskesavdʒi
baskkesávžis	pozkosavdʒis
baskkesávžái	boskisʃtˀvɒːtˢe
bassebeaivi	bɑsɛpæ̝ːvʲi
bassebeaivvi	pazsɨpjajvʲi
bassi	pastˈe
baste	bastˈe
basten	bastˈeˈn
bastii	bastˈe
bastte	bastˈe
basttes	bastˈeθ
basttet	bastˈeð
basttiid	bastˈeɪt
basttiide	basdiːre
basttiiguin	bastigoin
basttiin	bɑstɛn
beaivet	bavæ
beaivi	dæŋbɪ
beaivin	beaivin
beaivvi	pavʲerɨ̯avʲata
beaivvis	teaivis
beaivvit	bæɾˈgjˈvɪkt
beaivválaččat	tjɑjvælɒtʃt
beaivválaš	beajbeˈlɑs
beaivváš	bɛːɦʋɑʃ
beaivvášgieddi	pææjvæskieːtːi
beaivvášgieddái	piai̯baskeet̪d̪aie
beaivvášgietti	pææivæstjætːi
beaivvášgiettis	ˈpeilˈleskielˈtˌtˌis
beaivái	bjajbjaj
bealde	pealt̪e
bealdovuomi	bealeð̞ovuame
bealdovuomis	bealedovuoamis
bealdovuopmi	pjalɛdovɔbɛʔme
bealdovuopmái	pjalɛdɔwɔpmaj
bealjáidčearru	beleatʃaro
bealjáidčearu	bealˈlˈeadʒːearo
bealjáidčearus	bealleadʒearoz
bealjáidčerrui	mankoaliatʃerroi
beana	vˈɛɾnɜ
beanan	beˈɑːnən
bearalvági	bjarɾalvˈagˈi
bearalvági gielda	tˌeɑrˌɑl ˈvæˌˈgiki ˈɑlˌetˈtɑ
bearalvágis	bialːelvaːgis
bearalváhki	beˈʔalbaħˈqɪ
bearalváhkái	bjarɑ̙ð̞ʋɑhːkej
bearddu	peˈɾˈdo
bearddu suohkan	bˈɛɾk dˈuː sɔxnˈ
bearddus	beaˈɾˈdˈ�oz
beardu	piardu
bearjadaga	bjarɪdaga
bearjadagaid	beˈreʲadɑgɑjt
bearjadagaide	bærɪ̞jadɑgɑjðɛ
bearjadagaiguin	beɑɾeatɑˈgɑɟai̯ko̞in
bearjadagain	beareeadagɾeɲa
bearjadagas	beˈriadagas
bearjadagat	beˈriðodagaːt
bearjadahkan	bɛrjɑdɑɑhqɯ̞n
bearjadahkii	bərjødɑːhke
bearjadat	bɒˈɾˈiˈɒləɾd
beasa	pɛsɐ
beasai	vetessai̯
beasaide	pɛasajtɛ
beasaidet	beːˈɑsˈaldˈɛt
beasaiga	beːrsaːigaa
beasaime	beasajme
beasaimet	beasɑjˈmɛt
beasan	beasɑn
beasat	beˈasat
beassaba	perseber
beassabeahtti	persepeʁˈte
beassabehtet	beːrˈsːaːbeːˈhtet
beassan	beːrˈsˈæn
beassat	pˈeːstʃat
beassá	pˈɛsɐ
beasti	beaste
beatnaga	tʃiamgˈaː
beatnagat	vˈɛɾtnˈɛgˈa
beatnagaš	bʲatnɑgɑʃ
beatnagii	bætnagj
beatnagiid	tˌɛɾtnɑgˌeid
beatnagiidda	bætnægˈɛtˈɑ
beatnagiiguin	beˈɑtnɑːgɪˈiːkuːɪn
beatnagiin	bɛrtnageːn
beatnagis	pertˈnˈagɛs
beavddi	peulte
beavddis	beːrvəs
beavddit	bˈɛrldɪçt
beavdi	reaute
beavdin	pertʃt
beavdái	beaːltai
beivviid	peːvid
beivviide	pei̯við̞e
beivviiguin	be̞jvˈigo̞ɪn
beivviin	pejvin
bellodaga	bellotraka
bellodagat	be̞llodɑgæð
bellodat	bˈɛllodˈat
berdui	peredue
beroš	beiros
berošta	pe˩˥ːro˥˩ːʃta
beroštan	peˈɾosˈtˈan
beroštat	peːrəʃtɑht
berošteaba	peːlːustæːbæ
berošteahppi	peːrˈostˈɛɦbe
beroštedje	peɾosˈtˈedʒˈe
beroštehpet	peːrostɛhpet
berošteidde	beːrəʃtɛjdɛ
berošteiddet	peːrəʃteːʲidæt
berošteigga	peːrosteːiːgɑ
berošteimme	beːrəsdɛjmɛ
berošteimmet	pe˩˥ːroste˩˥ːime˥˩ː
beroštetne	pɛːrɔstɛːtnæ
beroštii	beːrɔstix
beroštin	beːrɔstɪn
beroštit	peːrˈoːʃtˌeːxt
berre	perre
berreba	perreta
berrebeahtti	perpˌɛɾti
berrebehtet	bɛrˈtɛrbæxted
berrejetne	beɾˈdejˈetnɛ
berrejin	beːrvəiːn
berrejit	pərˈjɛt
berren	peɾren
berret	pɛrˈrɛt
berrii	perre
besse	pesse
bessen	beˈsˈsˈen
besset	bæsˈət
bevddiid	pevd̪e
bevddiide	ðeumdeide
bevddiiguin	peuð̞iɣ̞oin
bevddiin	bevdeːn
bidjan	beːdʒan
bidjat	biːtʃat
biebmu	pˈie
biehttárnjárga	bʲaħtɛrnʲjɛrɨkːɛ
biehttárnjárgga	bietɛrɲjarkɯ̞
biehttárnjárggas	bʲaternjærkɨz
biehttárnjárgii	pʲiɛ̀htɛnærkʲiː
biepmu	pjipmɔ
bierdnoaivi	miːæːrðɪtnˈuːliːvɪ
bierdnoaivvi	piːrdnˈoːj
bierdnoaivvis	biːrdɪtnˈuːaɪbˌɪs
bierdnoaivái	bʲæːdætnˈɔwˈivæj
biertavári	piesdˈavˈaːrˈɪ
biertaváris	pjertavoris
biertavárri	piaɾsd̪aβ̞aɾsʝ
biertavárrái	pjaɾsd̪aβ̞asai̯
biesavuona	piːjˈsæbˈɔnæ
biesavuonas	piesɑvˈoːnˈas
biesavuotna	ɪːjːsɛvˈotna
biesavutnii	pʰiːjːsabutːniː
bieskečohkka	beskjasoka
bigáš	bˈigˈæʃ
bigáža	biːgæˈtjæ
bigážii	biːgægiː
bigážis	pipadʒis
bihttánjárga	bʲistɐnjɐrakːɐ
bihttánjárgga	piːxtänjarkka
bihttánjárggas	piːxttanʲarkas
bihttánjárgii	piʃt̪aɲaɾake
bihtánsámegiella	piˌhtæntˈtɑˌmikæˈlɑ
bihtánsápmelačča	bixtasɑpˈmɛlˈotʃa
bihtánsápmelaččaid	bʲistɛzaːtmɛlɑːtʃajt
bihtánsápmelaččaide	bixtasab̞mɛlatʃːajdæ
bihtánsápmelaččaiguin	biːθdænsæbmænlˈɑːtʃɑːigum
bihtánsápmelaččain	biːxtənsaːtmalatʃːaːn
bihtánsápmelaččas	biʃtɛnsɛpmɛlɑtʃɑs
bihtánsápmelaččat	piʃtænsæbːmɑːlɑːtʃːɑt
bihtánsápmelaš	bˈiːçdˈɛnzˈɑːtmˈɪlɜʃ
bihtánsápmelažžan	piːʃtɒsætmæˈlɒdʒɒn
bihtánsápmelažžii	piːxtənsápmɔːlɔtʃjɛ
biibbal	bɑːl
biibbala	pibeːlɑ
biibbalat	bˈeːbɜlˈɑht
biibbalii	beːbaleː
biibbaliid	beːipalˈet̪
biibbaliidda	piˌpˌbaliˌta
biibbaliiguin	pibaligoin
biibbaliin	bibalin
biibbalin	tibalin
biibbalis	bɛjbɑɫɪs
biija	pia
biijas	pias
biijii	pi˥˩je˩˥˩
biila	fila
biilagávpi	piˈlagˈavpi
biilagávpin	biːlagavbˈin
biilagávppi	biːlagˈavˈbe
biilagávppiid	bilagavpit
biilagávppiide	piːlakaːvpiːde
biilagávppiiguin	bilagavbigoin
biilagávppiin	biːlagˈavbiːn
biilagávppis	bilagaːvpɛs
biilagávppit	bilagau̯t̪bit̪
biilagávpái	bilagavbai
biillaš	biellas
bikkágohpi	pikːækɔhˈpi
bikkágohpis	pikːægɔhpis
bikkágohppi	pikːægɔhˈpːi
bikkágohppái	pikːˈagˈoɑhiːpˌɑi
birggi	perke
birggi suohkan	pi̠ɾkʲiswɑkən
birggis	piris
birggoš	piɾkɔs
birgi	ãmbikːki
birgái	piːrakˈgai
birra	bˈiːɾˌlˈa
bisma	beːsˈmɑː
bisán	beːsˈæn
bisána	biːθɑnɑ
bisánan	beʔiːsænæm
bisánat	biːθænæ
bisáneaba	biːθanɛba
bisáneahppi	biːsanejˈapːe
bisánedje	bisˈanˈɛdʒˈɛ
bisánehpet	biːsːnɦhbet
bisáneidde	biːsænejde
bisáneiddet	biːsɛneːidɛt
bisáneigga	beːθeneːgo
bisáneimme	biːθənˈeimə
bisáneimmet	biːsɛnɛjmøtː
bisánetne	biːsæni
bisánii	biːsæniː
bisánin	miːzaˈnin
bisánit	beːsɑːnɪçt
bivdde	pivde
bivddii	bildi
bivddiide	biud̪ið̞e
bivddiidet	biudʲirekt
bivddiiga	pildiga
bivddiime	pildime
bivddiimet	biudʒimekt
bivddus	pjudos
bivddán	pivˈden
bivddát	beːvdat
bivde	pivde
bivden	pivult̪en
bivdet	beːɾudət
bivdi	piuːti
bivdiba	piudeba
bivdibeahtti	piudibæhti
bivdibehtet	ˈpiwːldɪbɛxtɛd
bivdit	biʏdˈɪt
bivdá	bjivda
bivdán	bivd̪an
biđonsámegiela	piˌˌðˌɑnsææmˌmikieˌˈlɑˌ
biđonsámegielain	piiːvænsæmɪkealajn
biđonsámegielas	piːðɑlsɑmɪkiɑlˈlas
biđonsámegiella	piːˈdˌonˈsæˌˈmikˌiˌæˌˈllɑ
biđonsámegiellan	piˌˌðˌɑnˌsæmˌmikelˌlɑnˌ
biđonsámegillii	piːˈdonsɑˈmikili
blogga	plogːa
boadnjá	bwãnbwʝa
boahtiba	pɑˌahˈtibæ
boahtibeahtti	bɑhtibæhti
boahtibehtet	aɣtibaehtet
boahtit	kɔɑte
boahtte	pɔˈhtɛ
boahttevuhtii	paːrtuːʋusti
boahttevuohta	pʊˈɑxtvˈoːɾta
boahttevuohtan	pʊɑhtvˈɔɾtən
boahttevuođa	poaɾtɨbˈɔðɐ
boahttevuođain	boːaxteboːðˈa
boahttevuođas	bˈaxtvˈoːðəs
boahtá	pɔˈhtɑ
boahtán	vɑˈhtæn
boallojávri	tupolokoapre
boallojávrri	boːaːlojaːboɾe
boallojávrris	puallojavres
boallojávrái	uaˈlˈlɔjavre
boanda	kuænˈdæ
boandabarggaid	bo̞æntɑpɑrkɯjt
boandabarggaide	pwæntɑpɑrkaide
boandabarggaiguin	kwãn̪t̪ɑpɑrkɑekoin
boandabarggat	puanˈtɑparkat
boandabarggu	puˈantapˈaɾto
boandabargguin	poant̪apeɾkõĩŋ
boandabarggus	kwãn̪t̪apãrkuz
boandabargu	pwɛntapɑɾɑkʊ
boandabargui	poˈanˈtˈɐpˈɑlɔkˌuɪ
boandabargun	kwãn̪t̪aãakon
boandan	kwãn̪t̪an
boandda	antˈa
boanddaid	kwãn̪t̪a
boanddaide	uantajte
boanddaiguin	puˈanta
boanddain	plantajn
boanddas	uantas
boanddat	bwanˈtˈɑt
boares	boaˈres
boares testamenta	wa restestamẽn̪t̪a
boaresvearra	poarsvearna
boaris	poas
boaráseamos	boˈʔaldesɛˈmɑs
boaráset	baːæɾˈsæxt
boastta	pasta
boasttuvuhtii	poastɔvˈuxte
boasttuvuohta	poztovˈɔɾta
boasttuvuohtan	poastɔvˈaɾtˈan
boasttuvuođa	postvuola
boasttuvuođaid	bwastʊvuɐdˈaɪt
boasttuvuođaide	pasdufuadajtɛ
boasttuvuođaiguin	baːstəvuaːdajkˈujnə
boasttuvuođain	poastʊvoaˈdaiŋʊ
boasttuvuođas	postvovas
boasttuvuođat	boːstvæˈlæt
boazu	voːˈtsu
boađe	oɛðɛ
boađus	wɑːrozs
boađusin	aað̞os̺in
boađán	pɑɫɑn
boađát	puɑlˈlɑ
boddu	bodːo
bohccot	mɑːxtzɑːd
bohtal	bɑːħtæl
bohte	pɔxte
bohten	bˈoːrtən
bohtet	qɒhtet
bohtosa	bɒhtɒsˈɒ
bohtosii	baːħtɑːsiː
bohtosiin	baftosˈin
bohtosis	baːħtˈvˈsɪs
bohttala	baħdalaː
bohttalat	bɑhtælast
bokte	bˈoktə
boktit	bˈoktɛ
bondii	ponte
bora	bˈɔra
borada	borada
boradan	boːraːdˈan
boradanbáiki	koˌrɑtænpæˌˈikˈki
boradanbáikki	poˌrɑtɑnvˌɛkˌkˌi
boradanbáikkis	bɑːrɑːdæmbæɾkæst
boradat	bɑːrædˈt
boradeaba	boɾɾeapa
boradeahppi	pɔːɾɑtˌɛɾbɪ
boradedje	pˈoradetʃːe
boradehpet	bˈoːradəˈɛppət
boradeidde	poːrateite
boradeiddet	bˈɔradˈɛdˈɛst
boradeigga	boːradɛjka
boradeimme	pooɾːɑdeimɛ
boradeimmet	bˈoːradɛjmət
boradetne	bo˥˩ːratɛtne˥˩ː
boradii	boɣuɾaði
boradin	boːraːdin
boradit	poradɪ
boran	porn
borasdávda	bo˥˩ːra˥˩ːstaʋda
borasdávdan	bo˥˩ːstasta˥˩ːltan
borasdávdda	boːrastau̯da
borasdávddaid	poɾɾast̪aɫd̪ait̪
borasdávddaide	pɔuɔrastau̯dajdæ
borasdávddaiguin	voorlastaudajkoin
borasdávddain	povorastaudajn
borasdávddas	borɨsdɐudas
borasdávddat	borɛztaːldɒt
borasdávdii	borasdaudi
borat	pɔɾat
borgguha	pɔrgoaː
borgguhan	ˈbɔrguhæn
borgguhat	bˈɑrgoˈhˈafˈt
borgguheaba	pˌoˌɾˈgʊhɛˌɑːbɑ
borgguheahppi	pɔrgoːhɛːapːi
borgguhedje	porkuheidʒɛ
borgguhehpet	bɑrgohejhbeːt
borgguheidde	porkohejde
borgguheiddet	pɔrgohejdət
borgguheigga	porkoheika
borgguheimme	pɔrgohejme
borgguheimmet	bɑrgohejˈmæt
borgguhetne	pɔrguːheːtne
borgguhii	porgoi̯
borgguhin	boːlgohinn
borgguhit	pˌɔrguːhˌɪlt
borggut	porkuft
borjjasnjárga	pot̪jasn˩˥ːaɾrɔk˥˩a
borjjasnjárgga	porjasɲːaɾka
borjjasnjárggas	porjɛsnjɛrkɐs
borjjasnjárgii	poɾjasnˈaɾodi
borraba	porraba
borrabeahtti	vorˈɾaˈpæˌhti
borrabehtet	orlabestes
borramuš	poɾramos
borramuša	borlamˈuʃa
borran	ɔɾˈɫɑn
borranmiella	bˈorranˈiːˈɛlːa
borrat	bora
borre	plˈa
borret	bˈɑrət
borrá	bora
bosniagiela	ostnʲakje̞ala
bosniagielain	posniakiala
bosniagielas	posniakelas
bosniagiella	boːsɲɑkɛllɑ
bosniagiellan	bɑːsŋˈiˈɑːkæːlˈlˈɑːn
bosniagillii	bɔstɲɛkiliː
bosáda	baːhoːsælɑh
bosádan	ɑːvɑːsælɑːn
bosádat	bɒːsælɒːft
bosádeaba	baːsdeabɑ
bosádeahppi	boːsadeɑːppːi
bosádedje	po˥˩ːsade˩˥ːtʃːe
bosádehpet	baːsaːdʔahpet
bosádeidde	boozateite
bosádeiddet	bæˈsædæˈjdæt
bosádeigga	bo˥˩ːsadɛ˩˥ːjka˥˩
bosádeimme	bo˥˩ːsa˥˩lajimɛ
bosádeimmet	boːsadˈʁiːmet
bosádetne	bavasavetne
bosádii	boːsæljiː
bosádin	be
bosádit	baːsæɾiːt
bosát	bɑːsˈhæt
bottu	botːo
bođatjávri	ˈɔoˈðɑˈʎɑʊjɑˈʊrɪ
bođatjávrri	poːdɑhjɑʊri
bođatjávrris	boːdahjaːuɪrˈisː
bođatjávrái	boɣuðahjaʋibɾaj
bođii	poɾði
bretonagiella	brətːɔnakˈɛlːa
budejju	pɔvɔdɛjoː
budejjui	boɫodɛjoj
budejjus	boɫodɒeos
buhkkačearru	buʊˈhˈkˈaˈtʃˈarro
buhkkačearu	buʃkatʃearo
buhkkačearus	buxkatʃearoːs
buhkkačerrui	bufkatʃeˈɾloj
bulgáriagiella	puːlkɛɾˌiɑkɛllɑ
buohkat	bwãːkɑt
buoidi	puaːiˌti
buolamajávri	pualɑmajaɾuɾi
buolamajávrri	poaˈlamˌaɪauɾˌe
buolamajávrris	pualamajaurest
buolamajávrái	poɔːla˥maːɔːjaːɔːrai˥
buolamavári	pʊˈalamˈaːbˈaze
buolamaváris	vuolmavaris
buolamavárri	volemɑvauːði
buolamavárrái	puaˈlamaːvaːzajˈ
buollánsullo	poˌallanˌsuˌlˌlo
buollánsullos	poːˈllænsuːˈlːɑs
buollánsullui	pɔːlˈlænsuːlˀlɔj
buollánsuolu	poaːlansualu
buolva	pɔlɔva
buolvva	polva
buoremus	poalmos
buoret	boːrret
buori	puaɾi
buorida	puaːriːda
buoridan	po˥˩ːa˥˩ːɾi˥˩ːdɑ˥˩n
buoridat	bɔːɑːriːd̪aft
buorideaba	puaːliteːpa
buorideahppi	puaːlitɛhˈppi
buoridedje	puɔritetʃe
buoridehpet	poˌɑriˌtˌexbeht
buorideidde	puaɾiteite
buorideiddet	poˌaridɛidɛt
buorideigga	puaɾideika
buorideimme	boɐrʲidæimæ
buorideimmet	puaːlidɛimɛt
buoridetne	poːaːliˈdaitnə
