aai	ajn
chanchal	ʈʂɤŋ˥˥ʈʂɤŋ˥˩
chandani	sanð̞əniː
chandi	saːnˈdiː
chandra	tɕendrə
chandrama	tɾeɣ̞
chapekar bandhu	safiː kəɾ beːnd ɦuː
char	tʃɑːr
chatupule	tʃtuːpːle
chaturthi	tʃatʃurti
chavan	zɒvhanˈɾˈ
chintamani	tʃɪn˨˩˦tɑŋ˥˩mɤŋ˧˥
chota	tʃuɾtɑm
chotasa	tʃiːzitˈsɑːm
chowkon	sɐu̯˥kʰon˧˥
dabbawalla	dˈəbˈɑbaˈlə
dada	dɑːdəm
dadabhai naoroji	nɑːdɑːbʱɑːɪ̃ nɔʋroːʒiː
daha	laħm
dahshat	d̪əˈeːʃət
daivat	daibwt
dakshin	dapʃiɫː
dalimb	nalimbo
dand	n̪əɖəʋ
daridrya	daːrid̪riːa
dasgupta	tazuta
dashmi	d̪ʃmiː
dattatreya	datatajˈɛ
davi	daːvi
dawbindu	d̪eβ̞jnð̞u
delhi	diliː
desh	bæʃ
deshantar	dʃɑntɔɾ
deshastha	ɖeʃʃɐsʈʰ
deul	deu̯e
dev	deu
devdatta	deodɕto
devi	deːviː
dinkram	ð̞jnakrəm
diva	tiva
divas	ɖɪvɚz
diwali	diːvaːliː
dole	duə
don	dˈɵn
doodh	duːd
doodhi bhopala	d̪u d̪i boːpɾa
dr. babasaheb ambedkar	ɖəkʈɚ bəbäː səɦɪb əmpɾiːɾ kər
dwadashi	duːaːdʃiː
dwitiya	d̪et̪ja
ek	kˈæˈ
ekadashi	ikad̪eʃi
fulkobi	bɨlʲkɔdʲːe
gaadi	gaːɾiːŋ
gaatha	gɑːt̪ʰɑː
gaav	gau̯
gadabadgoonda	kəɖbɖguɳɖa
gadhav	gɑːɭəɦ
gana	gaːləʊ
ganapati	ɣ̞ɳpʌt̪i
gandharva	gɐnd̪ʱɐrovɐ
gangotri	gʌŋgoːtriː
ganit	gɾiːt
gaud saraswat brahman	gʊɳ saːɾətʃʋət̪ bɾaːmɦɳ
gavaskar	ɟabaskɛr
gawar	gʊːʋaːr
geeta	ljˈtˈɑ
ghadyal	gʱəɳɑːl
ghar	gɔːr
ghei	gˌeːiː
girijatmaj	gʲɾɪdʒɑtˈmɯdʒ
girish	ʰt̚˨˩e˧˥ʰʊŋ˨˩˦tjɛ˥˩ʐan˧˥tɕʰiː˨˩˦ʂɕtʰi˥˩ʂɕtʰi˥˩ʂɕtɕjɛ˥˥ʈʂu˨˩˦tɕʰi˥˩ʂɕjɛ˥˥ʈ�
gitanjali	giːt̪nʒliːð̞
gopal	gˈopˈaɪɚ
gopal krishna gokhale	gʊpəɾkɾʊʂən gʊpʰli
gotra	gˈotɾo
gotya	gutˈɛɹ
govindraj	koβ̞jnt̪laɾajɣ̞
gramin	gɾaːmiːɳ
gulab	gˌulˈaβɐ
gunvant	guɾɛɣ̞ɐ̃nˈtɔ
gupt	gˈut
haat	hə˥˩
hajar	həˈdɑ
haridika	arɪdika
hariyana	ɾɪaːɳ
harshada	miː˧˥ŋ˥˥tʰʊə˥˩pʰi˧˥ʈʂɚ˨˩˦nʈʂu˨˩˦
hast	χastˈ
hasya	ɦatʃɪːn
hava	avvɑ
hindusthan	hnd̪ut̪kʰon˧
hirvagaar	ɦəroːɑːgaːr
hivala	kibãn̪a
hodi	ɦoːliː
hridaynath mangeshkar	ɾude naːtɑmɑː geːʃtʰ pʰæːd
hridima	ɾɪltima
hridyesha	ɾɪdɪdʒɑ
hrithika	ɾɛtika
imarat	ɪmaːrət
ishanya	nʃaːnlɪ
jambhul	zæmbuɾ
jamin	zæmɪn
jejuri	dʒezuliː
jhad	d̪ʱaːɖʱ
jhaga	tsagˈɑs
jhendoo	dʒenɖu
jhopala	nʃʰoːpaːɐlaː
jwari	ʃʋɑːriː
jyotiba phule	dʑoˑt̪iˑbɔd̪ pʰɔle
ka	dˈaɪmˈɪtˈɛstˈɑːmˈɛ
kaan	kɑːn
kadachit	qadaːtʃiːt
kadhi	kəˈdiː
kadipatta	kɐɽiːpətːɑ̃
kagad	kaːgəd
kaizala	kai̯dnð̞
kaka	kaka
kaki	kɑfkiː
kakoo	kakˈu
kala	kaːr
kale	kalɛ
kalingad	fæˈlæŋgˌoʊd
kamal	kʌmˈɑl
kamdhenu	qlɑqniː
kanak	ɑ̃kɑnɑk
kanda	ka˩˥ːnə
kankeshwar	kəŋkeːʃʋʌɾ
kanyadan	kəˈnˈɟˈn
karhade	kəɾɦeː
karna	tɛʁlˈɛ̃
kartik	kartik
kase	tˈɛstˈe
kaya	uɣaɣam
kel	fw˧
kela	kioɾo
keshav baliram hedgewar	kʰeːʃoː bəɽɪrəm ɦɪɖgeː baːn
kevha	kɛ˥˩mɯ˩˦
khabadur	kɑbadoːˈʁæm
khag	kaˈda
khali	kʰɑːliː
khandoba	kʰɑnˈdʊbɑ
kharbuj	fɛrbəlts
khup	kɔm
kiran nagargoje	kɪrnːnadər goːˈdʒe
kiti	kipˈi
klesh	glˈeʃ
kobi	tukobi
koknastha	koːˈkɔnɔstʰɔ
kolhapur	kolhapur
kolsa	koːˈlˈɛstɑːn
komal	kˈɔman
kon	kɔːl
konkani	koːŋkəɳiː
kothimbir	kɔtɪml
krishi	kɾʃni
kriya	kɾˈiɐ
kuber	uβeɾ
kudal	ku˨˩da˧˧i˥˩
laakh	lˈak
laal	laːl
lagna	lˈɔgnɚ
lahan	laħɑn
lai bhari	ɭːəjːbaːriː
laksh	nˈabʃa
lasun	lasˈuːn
lata mangeshkar	ɭːt̪t̪aːm əɳeːʃgər
latan	lanˈə
laxman	ləksmaːn
laxmi	ləkʃmi
lekh	ləkˈɛ
lekhani	nˈeɪkmˈeɪ
limboo	lɪnˈbu
lokmanya bal gangadhar tilak	loːkmaːɳjə bəɭa ɣəŋɑːd̪ʱɑɾiː t̪iːd̪ʱ
maage	magi
madhe	mɐd̪ʱeː
madhukar	məd̪ʱʊkəɾ
madhur bhandarkar	əmɐɖʱuːɾ bʱɑɳɖaːl pər
mage	mage
mahaag	mɑhɑːg
mahabharata	mʰɦɑːbʱɑːɾʊ̃
mahadev	mʰɑːdʒæ
mahadev govind ranade	mɑhɑ dev gʊŋɪndəɾɑːn ɾɛ
mahaganapati	mɑhɑːgəɳpət̪iːnɑː
maharashtra	maɣɑraːʃtʃu
maharshi dhondo keshav karve	məʋəɾʃiː d̪ʱʊɳɖõː keːʃw kɾʋe
mahatma jyotiba phule	mʰɑːt̪mɑː ʒiːwʈiː baːɾ foːli
mahesh elkunchwar	mɦeːʃ ɛː kʊɳt̪ʋɑːɾ
maitrin	majtrɛɲo
makrand anaspure	makrnd ʔənaːs pʊre
malak	məˈlək
malvani	maːlʋɑːnɪ
mama	mama
mami	mɑmi
manish	maniz
manthan	mɑn˥˩tʰən˧
marathi	mˈɾaːʈi
masa	masa
mata	mˈaːtˈa
mavshi	mawʃi
mayureshwar	maːbeʃʃʋeɾ
methi	mˈeɪbi
mishi	misji
mistry	mestri
mitra	mɪ̞t̪ɾʊ
morshi	mˌuɾʃˈin
mosambi	mʊ̞sʊ̞nbʊ̞
motha	muta
mrudu	mrdˈu
mukti	muːqː
mulga	mulgə
mulgi	boːlgiː
mumbai	mˈʌmbˈæj
murlidhar	mʊɾlʲiːdʒɑːr
nabh	nabɔ
nadi	nedæɾ
nagin	nɑːgeːɖ
nagpur	naːkpuːl
nairutya	najrɯtːɪl
najuk	nazˈo
nakh	nɔ̃k
nako	nako
nakshatra	nakɕɛtrɛ
namashkaar	nomˈɑskə
namaskar	nʋɐˈspaːr
narahar vishnu gadgil	ŋɾɦɾʋʂnːuːgɑːɽbĩː
naral	nɑɾuɾ
nartak	mærətək
nashik	nɑːʃiːm
nau	nˈo
navami	naːvmi
navin	nabˈin
navin varshaachya hardik shubbheccha	n̪əʋiːn̪ ʋəɾʂətɕaː ɦɑːɾd̪iːk ʃʊbʱeːtʃ̪ʰa
navra	naurˈa
navri	nɔuɾig
nayan	naɟʝana
netra	nˈetˈɾˈɐ
nisha	ni˥˩ɕjɑŋ˥˩
nokar	nʊkɤr
nritya	nˈʌtk
nutan	nˈotˈɾˈɛn
oshtha	ɔxtɞ
oshthashalaka	oʃtʃɒʃɒlɒki
pach	pɑts
padm	pˈɛʁdəmˈɑ̃
pakshi	pəkˈsi
palak	plq
panchamrut	pʌnˈʃɑːmɾˈt
panchang	kuən˨˩˦ʈʂaŋ˥˥ʐən˧˥
panchkon	panʲtʲeːkõːn
pandava	pɑːɳɖʊ
pandharpur	pəɳɖʱɾpuɽ
pandit jitendra abhisheki	peːɳɖɨtsʃgiːɾn̪ɾɐn̪ əbʰiʃeː
pandurang athavale	poɳɖurng əʈʰɐwlɛ
pani	naːn˧
parat	fəɾt
parvati	p̪aːɾʋt̪iː
pashchim	t̪e
pathi	pɑːɾt̪iː
pati	pati
patni	pʌt̪niː
pavitra	pabit̪ɾe
pavsala	tʰou̯˨tsaː˥
pawar	təlaːr
pay	mai
peshwa	beːʃuaː
phale	fɔːlə
phanus	loːtˈaˈˈɑz
phule	puli
pidhi	ˈʌˈʁi
pimple	tiːm˨˩pə˥˩j˧
pishavi	bɐʃˈim
pishvi	tʃlɛ
pita	pˈɛtˈɛn
pithla	eɣiɬ
poli	ɔɾi
polpat	pʊlpaːj
poojari	gugɑːriː
pornima	poɾlɪ
pothi	potʰik
pradnya	pɾʌd̪n̪ɪjɑ
prarambh	pnaːɾəmbʱ
prasad	apɹˌɨsˈadʊ
prashant	mæne̞ʃɒːnt
pratyek	əpɾət̪jɛːk
prithvi	ʁɛːpːˈtˈwˈi
priyaranjan	jəɾe̞pəgən
pruthvi	tˈɾˈɛtvi
pudhe	ʊɽe
pudina	wˈdina
pune	puɾe
punjab	bandjaðɐ
puranpoli	oɾanpoli
puri	puɾiː
purva	fɔːnˈa
pustak	bustˈɑk
raigad	ɾaɪ̯gɐn
raj thackrey	jɑrɑm kʊr
rajarshi shahu maharaj	dʒɾʃiː ʃɑːhʊ məɦɑːrɑːdʒ
rajasthan	gradʒɛstɑn
rakta	rʊktoː
ram	am
ramayana	ɾaːmaːjɳ
rasta	rastˈa
ratnagiri	t̪ət̪məɾɪ
ratra	rɑːt̪ɾʊ
rutu	d̪uɾt̪im
saal	nˈaɪn
saat	sɑːt̪
sabha	sɑbɑ
sachin tendulkar	səitʃɪn taɪnəɖuːlkəɾ
safarchand	satˈaɾəgɑndo
saha	sɑhˈhɑ
sahal	sɯ̞hʊ̞n
sai baba	saĩːbama
sakshi	sakʃi
samiksha	sɛ̃ˈmɛ̃kˈsˈaf
samor	sˈɔmɚ
samrudhi	sʌmˈrˈadtʰiː
sankashti	səŋkɐʃtiː
santra	n̪t̪ɾə
saptami	toftɪmiːˈ
saraswati	sarəszətdi
satara	satʰra
saubhagya	sʊbʱʊ̃gjɔ
saundarya	saunˈdorjɛ
seva	seɪvɑn
sex	sˈɛks
shabbir	tʃabːira
shabd	tʃʊt�tɯ
shailesh	ʃˌeɪlɪʃ
shakha	ʃɑkɑ
shala	ʂa˥˥
shalaka	ʃɒlɒkɒm
shambhar	sambe
shant	ʃˈaŋto
shastra	ʃɑːsæɾoːnʃæst
shatkon	ʃɛːlkn
shepoo	ʃaɪ˥˥tʰau˨
shikshan	ʃiːkʃɛɾim
shirdi	ʃeːɾɐɖigaː
shital	tʃiːtæl
shiva	tʃiːv
shivaji	ʃiːwˈaɪd
shree swami samarth	ʃɾiːnɪsʋɑnʲiː ʃmrt̪ʰɑ
shrigonda	siːrvoglɑn
shrikhand	ʃriːkʰɐɳɖ
shubh	ʃubi
siddharth jadhav	sind̪ʱaːɾt̪ gẽːd̪eːʋ
siddhivinayak	dʒɑsdʒaːrdʒaː
sita	sʲit̪a
sitaphal	siːtaːpːʰɪl
sixty six	sˈɪksti sˈɪks
sona	sona
sudhir raikar	ɪbˈi rˈaɪkən
suhasini	suːhɑːsiːniː
sunil gavasker	suːnɪl kaːʋɑskar
surya	suriːa
suryafool	suɾiɑkul
sushant	sʏˈʃɑːnd
swapnil deshmukh	sapnil dæʃmug
swarga	svɛɾɢɔ
swarglok	swəɾgəlɔː
swast	svˈeʃtˈo
tai	taːi̯
tali	ta˥˩i˨˩˦
tamilnadu	tɑːmiːnəɽuː
tanhe	ta˥˩n˩˩˦i˥˩
tarbuj	tɾˈɾdujtsˈ
taware	t̪au̯re
teen	tɛam
thali	t̪ɑːriː
thecha	tɕeʰˈtˈsˈɑ
this is chicken's egg :हे कोंबडीचे अंडे आहे	ɦeː qʊŋbʱɭiː t̪ʃeː əɳɖɪə ɦeː
this is in the book: हे पुस्तका मध्ये आहे : he pustka madhe aahe पाया मध्ये पांढरे मोजे आहेत.: there are white socks on feet: paya madhe pandahare moje aahet	he pʊstʃə kaːmɐdʒʰjə aːɦe pɑːjɑː mɐd̪ʱe pɑ̃ɳɖɾe moʒjə ɐɦe
thrity umrigar	ð̞ɾeʈiː ʊmbɾiː gəɾ
trikon	trikˈoːn
tripurari pornima	t̪riːpːuraːriː poːr ɲimaː
tripuri paurnima	t̪i̯pu̯riː poːɾnimaː
tritiya	t̪ɾet̪ie
tukaram	ogɾəm
ujvi	udvi
ujwala raut	ʊdʒɪwɑlɑː ɾaːʋt
unhala	unhaːla
ushi	koˈsiː
ushma	uʃma
uttar	ɵtːɛr
vaanga	vˈaŋgəl
vaati	ʋɑt̪iː
vad	ʋəɺ
vadal	vˈɑdʌɭ
vaishakh	ʋəiːshɑːk
vanar	ʋaːnər
varadavinayak	bɑrɑdɑʋinɑääk
varan	vɔɾn
varsa	ʋɑːɾsäː
vartaman	uaɾt̪eman
vartul	vɛrtˈuːl
vayavya	lajɯpvjev
vidarbha	ʋɪd̪ʱɑːɾbʱɑː
vidyalay	ʋeːt̪jɑːlʱeʔ
vidyalaya	vidjˈaleː
vidyut	viːnʝud̪
vighnahar	ʋəgnɦɑːr
vihir	ʊvˈiʒiɾa
vimal	vimɔl
vinanti	vinanti
vinayak	ʋynɑjɑk
vinayak damodar savarkar	peɪnɑjɑ pɔdɑmɔzɑr ˈsɑvɯr
vinoba bhave	winoˈba bʁavˈe
vishnu	vʂɳuː
vivian dsena	ʋɪvʲiən dɪsɪnɑː
vritti	brɛtɪ
wada chirebandi	ʋɑːɖäː tʃiːre bɐndiː
wardha	ʋərd̪ʱa
yama	dʒamo
अंगठा	anˈtɑ
अंगण	aŋgoɾn
अंगणात	əŋgɺɑːt
अंगुली	aŋguːlˈi
अंडे	əɳɖɛ
अंतरंग	antərəngu
अंतिम	ant̪im
अंत्य	antˈiːɾ
अंधारात	ə̃ːn̪d̪ʱɑːɾɑːs
अंबारी	əmbɑːriː
अंमलबजावणी	ɦəmməlbʱdʒɑuːɳiː
अकस्मित	kʏ̞slʏ̞t
अक्षयतृतीया	əkʂɛjːt̪ɾʊt̪iːə
अखंड	ɑkɯndɯɫ
अगम्य	gɑmmˈmɪ
अगोदर	agutɛr
अग्गबाई	əgəbiːəgəˈbiː
अग्न्याशय	əgnaːʃjɛ
अजाणता	lazaːnata
अजिंक्य रहाणे	ədʒiːn kijɑ rəɦɑ ne
अजिंठा	aːdʒintʰaː
अज्ञानत्व	adnjanatva
अटक	ətoːɭ
अडकित्ता	əɽkʊt̪ːa
अडुळसा	ədoːrˈsə
अड्डा	ɑːd̪ɑː
अण्णा हजारे	ɛnˈnaːp sakˈa
अति तेथे माती	ətiː t̪eːtʰe maːti
अतिशय	akviɣ̞e
अतुल कुमार	ət̪ol̪l kʊmaːr
अत्तर	ətoɾ
अत्तराचा फाया	gətːaraːdzə fʱɑjä̃
अत्यंत	atjɛntɑ
अत्यानंद	ət̪jɑːn̪əm
अत्युत्तम	atjɯtːam
अथवा	ətːʰəvɑː
अदभूत	ətˈbuːt
अद्भुतरम्य	atbutəɾəmmi
अननस	ɑnɑnɑs
अनादि	ənaːbi
अनावश्यक	anavəʃok
अनिवार	əɳɪʋəɾ
अनुकूल	anukul
अनुभव	anubau
अनेक	rmɕrm˥˩sɑ˥˥ʂu˥˥ʂan˥˩wɑŋku˥˩tɕʰjɛn˧˥ʐɤŋ˧˥ʐan˧˥pɔ˥˥
अनैसर्गिक	ɑnɛjsɛrkiːk
अनोळखी	ɔːnˈɔːlki
अन्वर	ãmbnoaɾ
अपटा	bʱɑːp˔
अपत्य	əpət̪jə
अपयश	ˈɑpɯjˈɪʃ
अपराध	apɾaːdˈo
अपराधांचा	opraːdantsɔ
अपरिमित	opaɾimit
अपाय	apaːje
अपेक्षित	ɒpˈiksˈ
अफाट	əpˈɑɹt
अबाधित	əbɑːbɪk
अब्ज	ʔɑːbdʒɑː
अभिव्यक्ती	abɪvijatːi
अभ्यास	əːbd̪ʱaːs
अमर्याद	ɦɑːmɑːriːɑːd
अम्ली	omˌliː
अयोग्य	jʊ̞gʲi
अय्या	ajaaja
अराजक	ɾɑːək
अर्चना	ʔɛr
अर्थशून्य	rtɯjʒymlɛn
अर्भक	ərbə
अर्शद वारसी	ɑɾʃɑd vɑɾsi
अलगद	ælgɑt
अलगूज	ælgˈuð
अलिकडो	alʲekrɔ
अलिस	alˈes
अलौकिक	əˈlokeːk
अळी	ɑɻˈiː
अवघड	pɔːgər
अवज्ञा	aːwdia
अवलोकन	ɑˈvɑlɔˈkɯnɯm
अवांतर	ɐʋvaːnʈːəɾ
अवाजवी	aʋɒzvi
अवाढव्य	ɑuɑːɖɦoːe
अविर्भाव	aːʋiːɾbʱʱ
अव्यवस्थित	ɒbiʃtipːdiː
अशी	ɑːʃiː
असंबद्ध	əmbd̪ʱ
असंस्कृत	asɐ̃nskɾut̪
असत	ɑsɑt
असतात	ɑːst̪ɑːt̪
असल्याचे	asˈljaˈtsi
असावा	aːsaːla
असुर	ɑsˈuɾ
असे	ɑːsɛ
अस्वल	ɑsˈbɑl
अस्वाभाविक	ɑːsˈvɑːbaːbiː
अस्सं होय?	ässɑːɦoːɪh
अस्‍त्र	astro
आंतरराष्ट्रीय	ant̪eɾɾaest̪ɾiʝa
आंधळा	anaja
आंबट	əmbːəɹd
आंबेडकर	əmʋeːɖgə
आई	nˈə
आईला	ajla
आईशपथ	aʃapɑt
आकलन	aklɛn
आकस्मिक	akasmik
आकाश	akaʃ
आक्षेप	aːkʃeːp
आग	aq
आगकाडी	əgkɑːɽiː
आगाऊ	agɑu
आग्नेय	agniːja
आघाडा	ɑːghəɾəm
आचरण	əːtʃr̪ɳ
आजी	adʒi
आजोबा	aːzobo
आजोळ	adʒəue
आठ	aɻ˥˩
आडदांड	əɺd̪aːɳɖu
आणि	aːriː
आतडे	ətɐɽeː
आतल्या बाजूला	ɑkˈleɑ pɑˈɻeɑ
आता	aːtˤa
आत्मविश्वास	hɑtmvæʃtæˈvɑːz
आत्मसात	atmɒsɒt
आत्महत्या	atmatɟːɑ
आत्मा	atma
आदर्श	ɒdɒriˈʃɒ
आनंद	jʌnsumiwˈɪθmˈeɪˈeɪˈɛmˈɛ
आनंदी	ɑːnndiː
आनंदीबाई	ənndbaʋɐɪ
आपटा	ɒv
आपण	əpaːɳ
आपुलीच	apolis
आभाळ	ɑːbɑːl
आमटी	əmtiː
आम्र	aːmɾ
आम्ही	ˈeˈɛm
आयुष्य	mei˥˩lɤ˥˩
आरसा	aɾæsæm
आरोग्य	ɑːɾʊkj
आर्य समाज	aːrjɔzɑmɑdʒi
आर्विभाव	aːvirbʱav
आळूचे फदफदे	ɑːɭʊtʃe bʱɑdbʱɑdʒe
आवड	auːɾə
आवडणे	awɐɻni
आवाज	ɑwɑz
आवाहन	ɑʋɑhɯ̞ŋ
आवेग	ʔaːwˈid
आशिया	aʃiː
आश्चर्यकारक	aːtʃtʃɛrjɑkaɾɯɟ
आसवे	asvi
आहुती	aːhuːtiː
आहे	ɑːhẽː
आहेत	ɑːlɑːhe
आहेस	həz
इंद्रधनुष्य	iˈndiɾadɯnɯʃɯ
इंद्रधनू	ɪn̪d̪ɾɐd̪eːnɯ
इच्छा	id̪ʰaː
इच्छित	ɪtʃɪb
इजा	idzə
इडली	ˈɛʁʒyːɛ
इतका	itˈkɑː
इतिहास	ɪdːiːkhæs
इथुन	yp˨˩u˥˩n˥˩
इमला	imla
इमारत	ibːaɾːt˨
इशारा	kiʃɑːɾɑ
इश्श	ise
इसम	isˈɛm
ईशान्य	tisˈɔɲə
उंच	puntzɯ
उंट	unt̪a
उखळ	uk˨a˥˧l
उघड	unkʰaːn
उघडझाप	ogəɾd̪aːb
उघा	oga
उचल	utsʲoːl
उच्च	tutːʃa
उच्छृंखल	utʃlunˈkɑl
उजेडात	moːzʱeːɾaːt
उडविला	ɔɖʊˈla
उत्तम	ʊtːɑm
उत्पन्न	utpɐnː
उत्साह	aːtsaaːh
उत्साही	ʊtsʰɑːliː
उत्‍तर	rtːɑɾ
उद	ud
उदात्त	udatːɨ
उदार	dˈɑɹ
उदाहरण	ʊdɑːgək
उद्दाम	ˈudam
उद्धट	ʊt̪d̪ʊɐt̪
उपयुक्त	upajupta
उपलब्ध	ʊpʰɐʋdʱʊ
उपाहारगृह	ʊpɑːhɑːrgəɾʰɪh
उभी	ubi
उष्ण	uʃnu
उष्णता	ʃɛnˈtˈa
ऊस	bʊs
एक	ɪk
एकमेकांच्या	ɒˈkmeˈkɒntʃɒˈ
एकमेकांशी	ækmiːkænʧiːm
एकसारखा	ɪkˈsɑrɯkɑ
एखादया	ekʰa˥˥ːljɛn˨˩
एखाद्या	ˈekadə
एप्रिल	epl
एरवी	ɛɾvj
एस्टोनिया	estonja
ऐक	eːk
ऐकीव	ajɣo
ऐशीं	ãisim
ऐश्वर्य	aːʃwˈeɾˈijˈ
ऑक्टोबर	ɑkˈtɔbɯɾ
ऑगस्ट	ogɛst
ओळखिता	oːjtʃiːda
ओहोटी	ɦʊt̪iːm
औद्योगिक	awwk
कंजूष	kanʝuɕ
कंटाळवाणे	kɐːnːt̪aːɭgɑːɳt̪eː
कंटाळा	kɔ̀ːnˈdaɾː
कंठ	kã˥˥tʰ˥ɤ˧˥
कंठलंगोट	kəɳtʰəlŋgoːt̪
कंप	ko˥˩ːniko˥˩ː
कंबर	kɐ̃mˈbɐl
कट्यार	kʈːjɑːr
कठीण	kaʈiːn
कडू	kəɽu
कढई	kəɽːai̯
कण्हेरी	kɐɳɦeːri
कदंब	kaːdaːmba
कपाळ	kɒpɒl
कब्जा	kɐm˨˩tsa˨˩
कमनशिबी	kɐmnəʃɪbi
कमळ	kɑmɑlɑ
कमाल	ɢomɒn
कर	kɔɾ
करवंद	kɐrʋɐnˈda
करशील	kɾʃiːl
करायला	kɾaːɭa
करार	gøɾaɾ
करुण	kɾuɳə
करुणा	kəɾuɳa
कर्ण उदार आणि दानी होता. सरकारचे धोरण उदार असावे अशी नागरिकांची अपेक्षा असते. उदार मनाचे लोक मोठे असतात. तू इतका उदार कधीपासून झालास ? त्याच्या उदारपणाचा लोक फायदा घेतात. उदार स्वभावामुळे त्याला कोणालाही नाही म्हणता येत नाही.	kaːrn odaːr aːndaːni odaːr tʃərkaːr le do odaːr aːsad
कर्णधार	kɾɳɑːd̪ʱaːɾ
कर्तव्याचे	e̞kuað̞t̪abiβ̞aθi
कल	kɔːl
कलह	kəˈlə
कला	kˈala
कलात्मक	qɒlɒtmɒˈ
कलाबतू	kɐləːbt̪u
कल्पना	klna
कल्लोळ	kaloːr
कळ	kɔːl
कळलं!	kəɭːəmkəɭːəm
कवण	kɔːɾɳɔː
कवायत	kaβ̞aiat̪
कवी	kɔˈviː
कशाला?	kʃlakaʃlakaʃla
कशी	kʃiː
कसब	kɑsəm
कसा	ləlˈsœm
कसोटी	kɐsɐɾtiː
का	aɻ˥˩
कांदा	kã˥˥
काखेत कळसा आणि गावाला वळसा	kɑːkʰjʈ kɐɭsə ɑːɳɪ gəʋaː la ʋəɭsə
कागद	kagɯn
काजूगोळा	ʔazugˈra
काडतूस	kəɽtʊs
काडी	kaːriː
कान	san
कापूर	kɐpˈuɾ
कापूस	kapus
कामाचं	kɑːmɑːtʃʰ
कामाठीपुरा	kaːmaːʈʰipuɽaː
काय	kaj
काय चाललंय	kaːjː tʃɐlːe
काया	kaja
कारण	pau̯rn
कारागीर	kˌɐɾɐgˈiɹ
कारुण्य	kəɾuːnjə
कार्यकुशल	kɑːrɪ̯eːkwʃəl
कार्यक्रम	kaːɾijəkɾəm
कार्यक्षम	kɑːɾiːəkʃəɳ
काल	qɑːl
काळजी	kaːrdʒiː
काळजीपूर्वक	kəɾɟiːpuɾʋk
काळा	kɑːrɑː
कावळा	kau̯ɾa
कावा	kɑːvɑ
कावेबाज	kɑːʋiːbäːz
कासव	kaso
काही	qɑːqyiː
काहीतरीच काय!	kəɦɪ ʈəɾitʃ kaːɭe kəɦɪ ʈəɾitʃ kaːɭe
किंवा	tiuˈm�a
किती	kiti
कित्ता	kitaː
किरण नगरकर(kiran nagarkar)	kɪɾəɳ ɳəgərəkəɾ
किसन बाबुराव हजारे	kiːsn bɑɣuɾaːd pə aːr
कीर्ती	kirti
कुंजरी	konzəri
कुजबुज	kuzˈbuz
कुटुंब	ku̞t̪õ̞mb̪
कुठल्याही	ʊt̪leːˈjiː
कुत्रा	kutra
कुरूप	kɾuːp
कुऱ्हाड	gɾɑːɺ
कुशल	kˈʃl
कुसुम	kuzum
कुसुमाकर	qusumaaqaað
कृती	pɾuti
कृत्रिम	kɾudtɾjm
कृषिविद्या	kɾuːʃiːvɪdːɪd
कृष्णशिष्टाई	kɾuʂnʃɪs̪ʈäːiː
केंव्हा	kiau˥˧u˥˧a˥˧
केवढा	ke˥ːo˨˩˦ɽa˥˩
केशरी	eːʃriː
केस	kiz
