"сэ" жызыӏэ	sˈa ʒˈɛzˈa
абы ищӏыӏужкӏэ	amβujiztʃ ɔɫgɔʑˈdʑɛ
абы къимыдэкӏэ	aːpɯ ejme dɛ dʒaːr
абы къыкӏэлъыкӏуэу	nɑdɯ̞ ʊ̞dʲɑʃɫʲɪ oɫ
абы нэмыщӏкӏэ	abɯnɛmɯzdʒɑ
абы нэхъ лажьэ акъужьым къимыхькӏэ («ар ӏуэхукъым» - жыхуиӏэщ).	ɑbɪnæx lɑæzæ qɑzɑm qimħtʃæ ʔaːrʔuf mʒuːx ʔiːˈʔæs
абы нэхъ хэмылъмэ	hɛpɪ̞n äχχ χæmɪ̞ʃmæ
абы нэхърэ	abɨ nɑχra
абы сырикъуэщ	hɒbbi sɒɾiˈjɒ qwɒʃ
абы ухуеджэн хуейщ	a bˈyw xɛj dʒˈɛn xɔjɛɕ
абы фӏэкӏа	tˈə bˈœf fˈaʃaʁ
абы хуэдэ	abˈtˈ bˈa ldˈ
абы хэту	abxatˈv
абы щхьэкӏэ	abu suːhɑtʃˈɑ
абы щыгъуэ	maː ʃuɣa
абы щӏыгъуу	a bˈɛ ʃˈɛʁ
абыжми	tˈepˈøʒmˈi
абыкъу	ɛ̃nɔk
абыми	apmi
абыхэм	æbːɑm
абыхэм я цӏэхэр пщӏэрэ?	abɨ həm ja atsɫa harb plʲorɨ
абыхэми яӏэщ	æbːam jaː ʃa
абэ	akompano
абэзэхэ къафэ	ab ðax qaqftʃa
авос	avɔs
авосыпкъэ	hɑvuszɯpqa
агуэ	aˈgwɐ
агъзэрагъыж	ɑɣzrɑɣʊ̞ʒ
агъэ	ɣˈɯ̞
агъэ жыӏэн	aʁa ʒʁan
агъэ щӏын	hɑgɑswn
агъэбыгъэ	aːgapɯzə
агъэн	ɑːgæn
адагъэ	adˈava
адакъэ	ʔɑdˈaːq
адакъэ мэзынэ ещӏ	hætɑ qɛmɛzɪ̞nɑ jaz
адакъэбгъурыс	tɒtɒqɒbɒɾɒs
адакъэжьыр тепкӏэри ипӏытӏыжащ	tɛqɑzɯr tep dʒirɪjɑ pɯtɑʒas
адакъэкӏэ	hæddɒqɒdʒi
адакъэпщ	atakɑps
адакъэщӏэрэ хущӏэ пӏастэрэ.	adtɒqɒz vɒˈɾɒh χutsvɒb pˈɒˈstɒɾˈiˈb
аджар	ɑgɑr
аджыдэ	adˈidˈœ̃
адкӏэӏуэкӏэ	taːdjətwəzjˈɑ
адрей	aðɾeʝ
адрейм	aˈdɾem
адрыщӏ	atrɯz
адрыщӏ щопщӏыпщӏ	ðrˈɪs ʃoˈpsuˈps
адыгагъэ	adigara
адыгагъэ зепхьэмэ укъегъэдахэ	adgaːɣə zeb həmaw qeˈja daxe
адыгагъэншэ	hətɪqaχɑŋʃa
адыгей	aːdiːgeːj
адыгэ	atɨɣa
адыгэ видео	a tɨ nʲa vʲidzʲeɫa
адыгэ къамэ	atɣqaqama
адыгэ къэб	ðætgɑ qɑm
адыгэ лъэпкъ.	χɑdɪkæ ɬapɢɔ̙
адыгэ республикэм сыщыщщ.	adiga rɪspublikam sˈuʃʃ
адыгэ тхыгъэхэр	aːdɯgət hˈeːɾə hæŋ
адыгэ фащэ	atɣafaʃa
адыгэ хабзэ	atɣxabza
адыгэ хабзэр адэ щӏэиныжьщ	adgxab zɪr adɪˈʃ ɔjniz
адыгэ цей	atɦɛtsɛji
адыгэ цӏыхубз	at ɣɛtsɛ xups
адыгэ ӏэнэ	atɣaona
адыгэ-хьэблэ	adʁaħabʒa
адыгэаму	antigaːmu
адыгэбжьыныху	ħɑtiːχbdʒenuh
адыгэбзэ	atɣɨbzə
адыгэбзэ зызогъащӏэ	adigab zæz zɑˈrɑʒl
адыгэбзэ зэгъащӏэ	adgab zaza aːrjaː
адыгэбзэ пщӏэрэ?	hətga bɪ̞ðɛ pʊ̞r ɑɾæ
адыгэджэд	advˈedʒed
адыгэжыхампхъэ	atɪˈɣəʒɪxampəxˈa
адыгэкъуэн	atɪ̞gɪ̞qwɑn
адыгэкъэб	ʔɑtɪkʁɑqˈɑb
адыгэлӏ	ħɑtɪkgɑːr
адыгэм я нэхъ тхьэмыщкӏэри бысымщ	ɒdigim jɒ nɒqtʃˈ hɒmiʃtʃɒɾe bˈisimˈiʃ
адыгэнартыхугъуэжь	ɑdiɣenɛrtoɣoʒ
адыгэнартыхухужь	ʔadɨgɪnartɨχudʒ
адыгэнартыхушыдзэ	adiɣɛnɛrtuxʂɨtzæ
адыгэншагъэ	estastʃampionoakompanovasʃara
адыгэу нобэ ущытыныр гугъущ.	atigɛl nɔbɨwʃɛt ɛnd ɛɾ gɔʁs
адыгэудзщхьэху	adʒɪçɛwʊdzˈtʃaʊx
адыгэхэм	ædigɑhæm
адыгэш	atɣaʂ
адыгэшрэ лӏы бэшэчрэ	adgaʃ rɑ tʃiːzi baʃɑtʃra
адыгэшыр бэшэчщ	aːdga ʃa d ba ʃaːtʃ
адыгэщӏ	atiɣas
адыдыд	aːddɪd
адыкӏэлэн	ɦɑtʃɑʃɑn
адэ	aːldi
адэ къуэш	adakˈabˈʃ
адэ хэку	aːdħq
адэ шыпхъу	a dˈə ʃˈɛpʁ
адэ-анэ	adːan
адэ-модэ	aðamota
адэ-модэ хэмылъу	a dˈə mˈɔ̃ dˈə hˈmˈɛkˈtˈ
адэ-мыдэ	adømɛdðøn
адэжкӏэ	atestʃa
адэжынэ	adɒˈginɒ
адэжынэхужь	adʒˈinˈə-pʒʊʒ
адэжынэцӏыкӏу	adldʒenatwk
адэжынэшхуэ	atˈɪdˈiʁnˈɑʃxwˈa
адэжь	atːˈɛz
адэжьхэр	atːeʃxai̯r
адэкъуэш	adakɒʃ
адэкӏэ	hadɒtʃɒ
адэкӏэ-мыдэкӏэ	aːdɑdʒɑmɯdɑdʒɑ
адэм	adæm
адэм къыдалъхуа	adm qɵdæʃ χɔ̞
адэмрэ	ɒdɒmri
адэмыгу	adɾnˈigˈu
адэмыдэкъуейнакъ	ɑdˈimidhɑjinaq
адэмыущий-анэмыущий	adˈə-mˈoːʃi
адэнэпӏэс	aːdənapas
адэпалъэ	adəpˈaʃə
адэпэлъытэ	adəpətʃitta
адэт	ʔˈdˈt
адэцӏэ	atːatsˈa
адэш	ʁˈɛzʁˈaʃ
адэшхуэ	aːdəʃkwə
адэшыпхъу	aːdəʃibxoːr
адэщӏэмыӏу	adɯ̞ʃɑmɯ̞
ае	ˈaɪe
ажал	aʒɑːl
ажал егъэгъуэтын	aʒgɑs jɑʁɑ sɛn
ажалзехьэ	ˈɑʒuzˤiːˈħɑ
ажалым «сынокӏуэ» жиӏэркъым	aʐaː zɪm sɪnɑq wa ʒæːr ɪm
ажалыншагъэ	ʒˈasinʃaːrˈa
ажалыншэ	aʒazintʃo
ажалыр зэмыпӏэщӏэкӏым къэмысын фӏощӏ	hɑʒɑlʲïr zɛmɪp pɑsˈʁɑnʲitʃɯm qæmisɪn poz
ажалыр ныбжьэгъукъым, къыпхуеймэ, къоупщӏыркъым.	hɑʒɑjlirɨnɪ̞p zɑʁʊ̞m ɢɯ̞p χʏ̞mɑ qɔɫɯ̞p sɵɾʲɪm
ажалыфэ	aʒælʲfɐ
ажалышэ	aʒalʲiʃa
ажафэ техыну елъагъу	ˈaʒafatˈexinˈwˈjˈʃaɑg
ажджэрий и къуэ кушыкупщ	aːʒdʒaˈliː ˈo kwa kɔʃˈe kɔps
ажджэрий кушыкупщ	aʒdjɔɾˈikwʃɐ kˈops
ажмыж	ægmʏ
ажокъуэ	aʒoɣwa
ажьмыжь	azimiz
ажьмыжьыгъэ	ʔɑʒmɛzʁ
ажэ	aʒɐ
ажэгъафэ	agerafa
ажэгъуэмэ	aʒaʁwamɛ̃
ажэгъуэпщ	aʒɑ̃wˈap
ажэжь	aʒaz
ажэр мэлым я пашэщ	æ ʒʲɛrmæ̹lʲɪm jɑ pɛʃɪ̞s
азалыхь	ʔazɑlɑh
азбар	bɑɣu
азыныкъуэкӏэ	ɒziˈniqɒkˈɒ
азэлыхь	äzælˈlɑħ
азэн	azen
азэнджакӏуэ	nɑzənˈdʒɑːkwɑ
азэнджапӏэ	ɑːzɑːnʒɑːpɑ
азэт	hazet
азэт хьэблэ	a zˈɛt lħabdˈ
азэхуэм дыкӏуэм щыпӏуэтэжынщ	as a fˈɔ̃ dˈɛkwˈam sə pˈɔ̃ tˈɛʃ ʒˈyn
айомэ	aiooma
акацэбанэшхуэ	akatsebanajʃvɑ
акуандэ	akwandə
акъ	ɑq
акъмыкъ	ɑqmɯ̞q
акъмыкъ щӏын	haqmaqsˤin
акъмыкъыгъэ	ɑqmɑqɯ̞ʁä
акъужь	aquz
акъуш	aquz
акъыл	ɑqɯ̞ɫ
акъыл гъэпсыкӏэ	hɑq elʃɑqχpsɯ tʃø
акъыл кӏэщӏ	hɒqizdʒɒz
акъыл нэхурэ бзэ нахуэрэ	aqɯ̞ɫnæ ɵrɵb zɛnæ ɵrʊ̞
акъыл псынщӏэ	hɑqɯ̞zɪ̞p sɪ̞nʃɫɑ
акъыл хэхын	ɐqɯ̞ɫ χɛχɪ̞n
акъыл ӏуэнтӏа	hɑqɯ̞ʒ ɑn tæ
акъылпсынщӏэ	ǎqɯlpɯsɯmʁɑlɑr
акъылцыдж	hɑqɯ̞ɮsɪ̞tɕ
акъылым икӏын	aqɯ̞zɯ̞m zetʃɪ̞n
акъылым къитӏэсэн	ɑqɯ̞dʒɯ̞m qʲitɑsɛn
акъылым хуэгъэдурыскъым	hæqɪ̞llɪ̞m fʊ̞äʁæ dʏ̞rʏ̞sɪ̞ɴ
акъылыншагъ	ɑɢɯ̞ʎinʃæːχ
акъылыншагъэ	aqazinˈʃaɾa
акъылыншэ	aqtinʃa
акъылыншэн	hɑqɯzɯnʃɑn
акъылыншэу	aqazinʃou̯
акъылыр жыжьэу маплъэ, нэр абы и лъагъуэм ирокӏуэ	aqɯ̞zɪ̞r ʒɪ̞zæʊ̞ mæpʰsʲɪ nɐrɛbɪ̞ isɐʁɐ mʲirokwɪ̞
акъылыр къызэрыгъуэтыжын	aqɯ̞ ʒɪ̞r qɯ̞zɯ̞rʊ̞ʁɑ tʲeʲʂɪ̞n
акъылыфӏагъ	ʁaqqaalfæːr
акъылыфӏагъэ	háɣ̞ezefriska
акъылыфӏэ	ɑqɯ̞nɫɯ̞pbä
акъылыфӏэ хъун	hɑqɨzɪ̞w wɑχʊ̞n
акъылыфӏэм делэми бзэ къыхуегъуэт	aqqizøf ɑmdɛ zɛmɪ bizaq ʃojowat
акъылыфӏэн	hɑqɪ̞pɑn
акъылыфӏэу	hæqɯ̞ʲɪwɑu
акъылэгъу	aqallɑɢu
акӏэ	kɛn
алабгъуэ	asazbʁ
алабгъуэ ныбэ	æʒab gˈɑnəs dˈa
алаушын	äˈsæˈʊsʲɪn
алащэ	asʲaʂɨ
алащэм уеуэмэ, мэлъэхъу, мылъэхъухэр шыдщ	aziaːsam wa oma masaxh masaxh har ʃidz
албан	ɑɫban
албэч	hadʒbɒːtʃ
алейбылей	ʔaziʔibːɛlˈlɛ
алейкӏэ	jæ̹l̥e̞j
алейуэ	æʒiːwa
алмэсты	æ̹lmæstɪ̞
алмэстым и щхьэцыр къыӏэрыхьащ	ʕizmastm ʃˈɑsˈsˈrq ʔalaħaʃ
алмэстын	ædʒmastɛn
алмэстынщхьэц	ælˈmɑstɪnʃħæts
алъандэм	aːʃandim
алъандэрэ	aːsiaːndaɾa
алъп	pˈaʃt
алъпжьей	aspʃiː
алъпым дыгъужь хуэлъэщ	ˈaʒ pˈym dˈoʁozˈ zˈɛʁvˈɛkˈtˈ
алъпыр къалъ-къулъкӏэ ягъашхэ.	æs pɯ̞r qætʃquʃtʃɛ jɑʁaʃhɯ̞
алътес	æʃtæs
алътмакъ	æɮtæmɑq
алътыкъуей	aʃkue
алътыншыкъ	ɐɮtʰnʃɪ̞k
алъэсчырей	æʃtæstʃiːɾe
алыгъэ	æ̹lɫɪ̞ʁɑ
алыдж	æzidʒ
алыркъэб	hæzɪ̞rqæb
алыфбей	ælʁfbi
алыхь	ælʁɑ
алыхь-алыхь	hælˈlɑhhælˈlɑh
алыхь-билыхь	æ̹lːɪ̞hbiʎi
алэмастэ	agɛmastɛ
алэмастэм	ɑːllmaːstæm
алэрыбгъу	æ̹lɑrɪ̞bux
алэрыбгъущӏ	æ̹lɫɛrbʁuz
амал	ɦamɑs
амалшы	amɛtʃy
амалшыгъэ	amalsyʁˈa
амалыншэ	amadniːʃˈɛ
амбар	hæmbˈɑr
амдж	amɨ
амдэгурэ	æmdɑkˈorkɑn
амдэч	ɑmdaˈtʃ
американ	ɑmeɾikɑn
америкэ жьынду	ameriˈkaj ʒɪˈnduː
америкэ къру	ameri̯ka bɾuːn
америкэ къыу	ameɾikˈɑkɔv
амкӏыщ	hemdʒuz
аму	amu
амудэгу	hemdɤgɔ
амунэпцӏ	ɑɔmɔːjnˈabst
амылыкъуэ	hæmʒɒqoj
амыщ	ɛmmiʃ
анагъэ	anaɣa
андез	ændæz
андезыпс	ændɛzɪps
андемыркъан	ændæmɪ̞rqän
андзыш	kɑndzɯʃ
андзышбаринэ	antzəʃbˈaːrɪnˈɛ
андыдз	ɦɛndiz
андыжь	ʔɑndˈʒ
андыз	ændæz
андэгурэ	aːndaːgara
андэгурэдэгу	aːndguɾadɣu
андэгурэхьэ кӏуэн	handɑ qɯ̞rɑhɑk wɛn
анжыкъуей	anukkai
анзорей	anzɔri
антӏырэ	antra
аныхъ	ɑnɯ̞q
аныхъам	ɑnɑçˈam
анэ	aːn
анэ дэлъху	aːnadʔlɔ
анэ зиӏэ нэхърэ ӏэ зыпыт	ʕnzi ʔanaxra ʔazap ʔut
анэ шыпхъу	aːna ʃˈɛpˈro
анэ-адэ	anad
анэбгъэ	anˈabra
анэбзу	ħanbzuʕ
анэгу	ɑ̃nɑːgˈgˈ
анэгу-анэпсэ	ɑnɛgvʁɑnəpsɛ
анэдэкӏуэ	aːnadkwa
анэдэлъху	ɑlɑdʒuʃʊ
анэдэлъхубзэ	anedʒχxuβzæ
анэкъилъху	ɑnɑɣˈjsh
анэл	œ̃nˈaʒ
анэм и хабзэр пхъум и бзыпхъэщ.	anæ miχɑb zər pə xwm jebzi pə xaʃ
анэмэт	ʔɑnɪmɑt
анэнэпӏэс	ɑnɑælˈnæfæs
анэпалъэ	aːnapaʃːa
анэпэлъытэ	ɑnɑpæʃtæ
анэрэ-анэнэпӏэсрэ	ɑnɑraɑnɑnɑqɑsɾa
анэш	ænæh
анэшхуэ	aːnaʃˈwa
анэшыпхъу	ɑnɑʃɯp
анэщӏэ	anɑŋsɯn
апхуэди къохъу	a pwˈa dˈe gʁˈɔʁ
апхуэди мэхъу, шкӏэхъужьи малӏэ	hˈab pɔtdi mˈaː xoʃ kˈa χoːzimzɢ
апхуэдиз	apɣwadˈs
апхуэдизкӏэ	abxodzʒʈgə
апхуэдизрэ	apxoˈdizra
апхуэдизу	abxadizˈo
апхуэдэ	abxˈod
апхуэдэ къабзэу	ab xoːd qaːb zoɣo
апхуэдэ цӏыху нэхъыбэ щыӏарэт	hapxwa dɛts ofnɑxə bɪʃe ɑrɛt
апхуэдэ щӏыкӏэкӏэ	ab xaˈd̪e sɔ tʃetʃe
апхуэдэу	apʁwadˈo
апхуэдэу жаӏэрэ?	apʁˌoːtˈoʒˈaːɾˈa
апхуэдэу укъысхущытыну къэзлэжьакъым	hæpχʊ̞j dɪ̞uɢ ʊsxʊ̞jsɪ̞tɪ̞nɪ̞w qazɯ̞ðɯ̞ʒɑ ɪ̞m
апхуэдэу укъысхущытыну къэзлэжькъым	apˈoˈj dˈə- ˈoˈʁəs fuʃˈɛ tˈinˈoˈ qazdɛʒ ˈɛm
апхуэдэу щыщыткӏэ	ab xoj tolʃa ʃɨtɨtʃa
апхуэдэурэ	apxodweˈra
апхуэдэхэм	apwˈadˈiʁhˈam
апхуэдэхэм деж	a pʁoˈdˈ kˈam dˈeʒ
апхуэдэхэурэ	abxaˈdaχɔra
апщий	apsi
апщыгъуэ	absogwˈa
апщӏондэху	abzˈɑːˈandəf
апщӏондэхукӏэ	hatsɔndoːχdʒɑ
апщӏондэхункӏэ	patʃotʃʰɞnwndʒa
апщӏэндиз	apʃanˈdiz
апэсищкӏэ къызощэху, сом ныкъуэмкӏэ сощэж – фейдэр здэкӏуэр къэщӏэж!	aːpsiʃ tɕɛq zɑɵʃɑw sɔmnɪqlɑmdʒɑ sɔʃajʒ fʲadɛr tɛkwər qazɑjʃ
апэсы	aˈpɑsɯ
ар	hɑɾ
ар адыгэбзэкӏэ дауэ зэрыжыпӏэнур?	har dɪɣə bɨzadʒo da waˈzar ˈʒəpənər
ар дауэ?	ar dauɯ
ар зэфэну псыр иджыри къэжакъым	ɦɑr zɛf nɔbsɪr ɟɛlj qaːdʒaːm
ар мыхъуа	hær mwaχua
ар пщӏы хъунущ	hɒˈr pˈɒʃɒ χuniˈʃ
ар си щхьэм къитӏасэкъым.	ʔaʔrs jæʃħam ɣaːtaːs m
ар сымыдэу щытыххэкъым.	rsɛ mɪdˈɛl ʃɛtiχˈɛ ɛm
ар тэмэмщ	ɒˈrt tɒmɒmˈʃ
ар уи шынакъым къихъуэнукъым	ʔɑrwiʃinɑːqim qiqwanːɯm
ар уи щхьэузыхьщ	ʔaːrw iʃ hauːzɑħs
ар фӏыкъым	ħarfɑqim
ар фӏыкъэ-тӏэ.	hɑrɛvɛ atːɑ
ар хъунущ	hær χwnʊ̞ʂ
ар ӏейщ	ar eʃ
ара	la
ара фӏэкӏ умыщӏэну	hæˈrɑ fajtʃ vimˈzɣanə
ара фӏэкӏа умыщӏэну	harafatʃaːh omɪ sɔnˈnu
аракъым	araːɯ̞m
аракъэ-тӏэ	aɾaːqɑta
арамэ	aɾama
аранэ	ɑrɑnɯ̞
арат	ɑrɑt
арати	aːrɑːtˈe
аратэкъым	ɑratɯ
арахъэ	araːxa
аращ	aɾas
аращ абы пэуи кӏэуи иӏэр.	harˈaːr ʃʰabd pə wojtʃ aw weje ˈʌr
аращ-тӏэ	arasto
аращи	aɾaʃi
аргуажьэ	pˌaɾʒˈaʒɐ
аргуэру	hˈarguwˈarˈu
аргуэрыжьу	aːrguɔrɨʒu
аргъеил	ɑrɑgɪl
аргъей	arɣ̞eð
аргъей хугу	are fˈug
аргъуей	ˈaɪdˈoʊntwˈɚ
аргъуей зэз, бзу кхъуей	hɑrʁɑjzɑz bizɑqˈhɑj
аргъуей мыдзакъэ щыӏэкъым	haroɣe mdzəqqə ʃuaim
аргъуейм и куэпкъ щыхахым: «3ыхэпхми еплъ, хэпхми еплъ» жиӏащ.	hɑlɑgɑjɛm jɛkwɛb qoʃu χɑqɪm ziχ χɛpkmjɑps xɛpkmjɑps dʒyʒʔaʃ
аргъынэ	hɒɾɒhɒnɒ
аргъынэр бгъуфӏэ защӏэу сохь	har ɣɑnər be ɣəv ɢaza ja ʃoːh saːh
арджэн	argin
арджэн удз	ɾədʒən wʊdz
арджэнудз	ärdʒænwɪ̞ð
арджэныпс	härdʒenip
арджэныхъу	tʃorknɤq
арджэныщӏ	haɾʒɑnɯz
ари дэгъуэщ	harj dɣeʃ
ари хъарзынэщ.	ɦæri χrzɪnɑʃ
аркъыу	ärqɯ̞u
аркъэ	ɑrtɑ
аркъэжь	kɾæz
аркъэн	ärqän
аркъэнкӏэ жьыр къэубыдын	ɑrqɑntʃɛ zɯr qɑw bɪ̞ðːɪ̞n
арму	ʔɑrmu
армуугъэ	harmɪʋˈɑ
армыра	hɛrmɪ̞rɑh
армырами	armˈraːmi
армэ	ɛrmɑ
ару	aɾˈo
аруан	ʔaɾuan
арупсыгъуэ	aroozɛua
арусыр	aɾuziɾ
архъуанэ	ʔːtʃtoːɑːnɑ
арщ щӏытхуищӏыр кӏагъэпшагъэ ди псэукӏэ дахэу гъагъэр.	ɑrs sˈɔ̃t fwˈizˈe dʒˈaːʁɑ pʃˈaːɣɑ dipsˈɛw dʒˈadɑkə ˈo ɣaːɣaɾ
арщхьэкӏэ	härʃχɒˈtʃi
арщын	ɑrʂɯ̞n
арыкъ	hɑrɯ̞q
арыкъ папцӏэ	laɾəq kaːptsaj
арыкъшу	harqʃu
арыкъыщхьэ	hærʊ̞qʊ̞ʂhɑ
арыншауи	arnʃaui
арыншэу	hɑrɯ̞nʃeu̯
арыншэуи	harɪnʃɛue
арысей	aɾʃ
арыххэти	arɨxatsʲi
арыххэу	rɨxˈjav
арыхъ	ɑrɪ̞h
арыщ	ʊ̞rɪ̞ʃ
арэзы	harazɪ
арэзы хъун	hareze xun
арэзы щӏын	hærðˈɪ̞ sʏn
арэзын	arazɯn
арэзыныгъэ	aːraziliːhə
арэф	ɦarɛf
арэфыпс	arefɨps
аслъэн	asˈtˤʃan
аслъэнсолыкъу	ɛslɛnsɔdʒuq
аслъэнсолыкъуей	ɑsɪlɑnsɔʐɪqwɛj
аслъэнхьэблэ	ʔɑslɑnχɑbʒɯ
аслъэныбз	hæslinibɪz
аслъэныр мэзым ехъумэ, езыми мэзыр ехъумэ	hæslænɪ̞r mæzɪ̞m jæχʊ̞mæ jɛzɪ̞mʲi mæzɪ̞r jæχʊ̞mɑ
асмушкӏэ	æsmʊʃke
