(й)езуитщина	ɑːwezoːliːˈstænæm
авиатор	avijator
авиаторка	aðilatʊrka
авиация	afiati
авизо	avizˈo
авиобаза	avjɔbɑzɐ
авиобилет	aviobilet
авиобомба	aviobonboɾ
авиокомпания	awiokompɑɲːɛ
авиолиния	avjulʲinʲa
авиоманиак	abjomɑpavʲerɨɫajak
авиомеханик	ɑviomixaːniːk
авиомодел	aviumʊdɛl
авиомоделизъм	javjomɔdɛlizam
авиомотор	avjˈuːmˌutɔɹ
авион	avion
авиопоща	avioopoʃtɐ
авиопътник	avjɔpɔtˈnik
авиотакси	ˈaːvivtaksˈi
авиотехник	aːbjɔvteknik
авиотранспорт	abjutɾanspɔɾt̪
авитаминоза	avitˈamɪnˈɔzˈɐ
авиценит	avi˥˩ːtsð̞jnit̪
авлига	avˈlˈiːgˌa
авоари	aːvɔaːri
авокадо	ˌɐvukˈadw
аврам	abram
аврамово	ɛvramuɫo
аврора	avroɾa
аврорит	avɾuɾeit
австралиец	apʃtrljets
австралийка	afstrɑɫjka
австралия	afstrɑlʲija
австриец	afstrʲiɛtsʲ
австрийка	afztriːkɑ
австрия	afstrɛ
австро-унгария	astrʊŋarɪa
автентичен	aftɛntivtʃɛn
автентичност	aʋtɛntiːtʃnɔs
автобаза	aʊtubɐzɐ
автобиография	afˈtobjɔgɾˈafja
автоблокировка	aftɔblˈokˈirɔvkˈa
автобус	avtobˈus
автобусна спирка	au̯tobusna spʲirga
автогара	aftogˈarə
автогол	aftɔgo
автограф	aːftˈograf
автодрезина	tˈotˈotˈa
автоинтоксикация	atɔɛntuksikaɑtsia
автоинфекнция	afable
автокран	afdukrɑn
автократ	ɑfˈtʊkɾat
автокрация	au̯tokratsʲa
автология	aftolˈogija
автомагистрала	automɑɣistrɑlɔ
автоманиак	aftoˈmˈaniaˈk
автомат	ɑfˈtʊmɑt
автоматизирам	aftomˈɑtizirˈɑm
автоматика	au̯tomɑtiko
автоматичен	aftomatitʃɛn
автоматчик	autumatʃik
автомашина	ɒftɒmˈɒʃini
автомобил	ˌɑvtoˌmuːbˈiʊ
автомобилен	afthomobilen
автомобилен сервиз	ɑfˈtɑmˈobilˈlɛn sɛrˈviz
автомобилна свещ	ɑvˈtɔmɔbˈil na svɛʃt
автомобилни	afthomobjɪlni
автомобилно	aftomobjlno
автомонтьор	afˈtˈuːmˈuntˈor
автономен	aʁtˈunˈdˈoːnə
автономист	aɾtɔnɔmɪst
автономия	ɑftɔnomijɯ
автопилот	afɣɛpɔˈɔt
автопортрет	afəpoɾtɾət
автор	ɑːftuːr
автореферат	aftoɾɵfərˈat
авторизация	afturɨzatsʲija
авторизирам	ˌɐftuɾˌizˈiɹˈɐ̃ʊ̃
авторитарен	afturitaːrɛm
авторитет	aftɔɾitˈæt
авторитетен	aɛtɔritɛtɛn
авторство	afturstvu
автостоп	autostop
автострада	aftostrata
автотранспорт	afotɾanspɔɾt
автотренинг	aftotrɛnjink
ага	aga
агата	atɑta
агент	ˈagent
агентство	agɛnsto
агенция	agentsia
агитатор	æˈgʲitæpoˈr
агитационен	ˈɑːbɪtˈatsˈjɔnˌ
агитационна	aɣitatsiona
агитация	aɟitatsija
агитирам	agis̺t̪iram
агитка	agitka
аглика	ˈaglika
агне	agnɛ
агнес	ɑgnɨs
агнец	agnɛts
агнешко	agnɨʃqo
агностик	agnustik
агонизирам	ʌgˈuˌniːvirˈom
агония	aːgonja
аграрен	agraraj
агрегат	agɾɛgat
агрелит	agrɛlit
агресивен	agræsʲivɛn
агресивност	ʌgretitˈivnʌst
агресия	andræjsja
агрикултура	ɐgrikˈoɛtˈorˈa
агро-лесомелиоративен	agrolɛsjɔmɛdˈioɔratidɛn
агроном	agronom
агрономство	agrunomstvˈu
агротехник	agrɔtɛxniːk
агротехника	agrɔtɛxnika
агротехнически	agrotɛxniːtʃɛski
агрохимик	agruximik
агрохимия	agruximja
ад	ad
ада	aðɑ
адамит	ad̪emit̪
адамов	adamov
адамова ябълка	adamɔ vɔj abɔlka
адаптация	ɑdɑptɑtsijɛ
адаптирам	ɑdɑptiːram
адвокат	advokat
адвокатство	adɫokatstvɔ
адвокатът не пуши	ˈadvokatɐt nɛ poˈʃi
адекватен	adɛkvatɛn
аделина	abɛlʲina
аделит	adalit
адепт	fadet
адет	adet
аджамия	atʃaˈmja
аджар	t̪ːʃəɾ
аджеба	adʒiba
аджемлер	atʃɛmgaɾ
аджиларе	adʒoˈvarɪ
адидас	adidas
адиектив	ˈeɾadiːɾktˈɪf
административен	admjɲistrativɛ
администратор	administratuɾ
администратор в хотел	ɐdministrˈator v ˈotɛɫ
администратор на хотел	administratur na xotɛɫ
администрация	administratsia
администрирам	adminʲistrɛram
адмирация	atmɪratsjɛ
адмирирам	atmjirjɨram
адмонтит	atmɔn̪t̪eð̞
адоптирам	adoptajam
адреналин	adrˈenˈaˈlɪn
адрес	adrɛs
адресант	adresant
адресат	atrɛsat
адресирам	atrɛfʲiran
адресна регистрация	a trɛs na rɛkistratsia
адресник	atrɛsnɪk
адресът на гарата	aːdrɛsat na gˈaɾata
адриан	adriːan
адриана	aˈdriˈɑnˈɑ
адриана будевска	ɐˈdɾianɐ budɛvska
адриатика	adriːatika
адски	atskʲi
адски мъки	atsʲkʲi mɨkʲi
адски скъпо	atskis kɛpɔ
адулар	að̞oaɾ
адютант	adjutant
аерогара	ajrogaɾa
аеродинамика	ajɑrɑdiːnɑmika
аеродрум	aeɾodɾum
аерология	ajɾɔvogʲeʊ
аеромеханика	ajromexanika
аероплан	ɑjɯruplɑn
аеростатика	ɛrɔstɑtikˈa
аз	as
аз включвам gps-а	as fkɫutʂwɔm gˈpiɛsɑ
аз говоря български	az goˈvɔrje bɔlgrski
аз дишам	mæn diʃm
аз дърпам китарата	aːs tɐrpɐm kʲɪtɛradɯ
аз живея в хладилник	ast ʒivɛjɛ v xɔdilnjk
аз заминавам със самолета	as zaminavam sa samoleta
аз зная	as najd
аз изключвам gps-а	hasi skɾuːtsu vɨjavɨ dʒbjsɑ
аз използвам чужди езици	as izpouzon tʃozdɛ zitsi
аз казвам	as gasmum
аз купувам ризи	as kɔpuˈvɔm riˈzi
аз летя	as lɛtja
аз не съм луд	asnɨsem lʊ̞t̪
аз не съм упълномощил превода	ɑs ne sɤ mu pɛnɫom ɔʃtiɫ prɛvoda
аз нямам коса	as nʲe jamon kusa
аз обяснявам състоянието си	ˈas ɔbjɐznjˈavɐm ˈsɤ stojˈaniɛ tɔ si
аз печеля пари	as petʃela pari
аз печеля турнир	as petʃela turnir
аз питам: важно ли е?	as spitam vaʒno lʲe
аз подарявам на правителството	as poˈdarjavam nɐprɐvitɐɫstvotˈo
аз подарявам ризи	as poˈdɐrɛjˈavɐm riˈzi
аз постигам	jɑs pɔstjˈgam
аз притежавам информация	ˈas priteʒˈavam ˌimfɔrmˈatsijɐ
аз свиря на китара	as fʲirena kɪˈtɛrɛ
аз се изпарявам	ɑːsɑ ispɐrjɑvɐm
аз се къпя вън	as as iʃ kɯp jɑ βɯn
аз се надявам	as seno diavon
аз се превръщам във въздух	as se prɨvrɨʂtam vɨ vɨzdux
аз съм	asˈɐ̃
аз съм американец	as ʃɑm ɑmeɾikanits
аз съм архитект	ˈas sɤm ˈɑrxitɛkˈt
аз съм крал	as sɨmkrau
аз съм млада жена	astɑm muʁɑdɑ ʒɯnɑm
аз съм мокър	asa mokeɾ
аз съм на почивка в испания	a stɨm na pɔtʃɨfʲa v jɪspɑɲiɛ
аз съм онзи	asamonzi
аз съм от софия, българия.	a sɑmutsɔfiɐ bɛlɣaɾja
аз съм отзад	asa mə dzat
аз съм отляво	asam ot ɫaˈvo
аз съм предишният крал	ˈas sɤm prˈɛdˈiʃnijɐt krˈal
аз съм тъп	ɑsɯntɯp
аз съм тъпа	asamtəpa
аз съм уморен	aːtsmumorən
аз удрям китарата	as ʊdrɪm kiːtɑːrɯsː
аз харесвам морето	as xaˈrɛtsvam oˈrɛtɔ
азбест	asbɛst
азбука	asbuka
азбучен	azputʃɛn
азбучна	azbutʃnə
азбучник	azbutʃnjk
азиатец	əldʒiːtˈɛ
азиатски	azjatskʲi
азимут	aːzinut
азия	adjˈa
азопроит	azupɾoit
азот	ɑzɔt
азотна	azadna
азотогена	zotogɛnɐ
азурит	azoɾejt
аибунар	ɑjˈbunɑɾ
айвар	ajvar
айде, бе!	jdebe
айляк	ajlɑq
айналит	ajnɛllit
айнштайний	aɲʃtai̯næ
айрян	ajrn
айтелит	ajtɛlits
айтос	ai̯t̪os
айфелит	aifælgit
акаганеит	akgəgəneit
академик	akad̪emik
академичен	akadɛmʲiʲːen
академически	akadɛmʲitʂeskʲi
академия	akadɛnio
акантит	akant̪et̪
акапулко	akapulko
акация	akatsi
аквакултура	ʔɑkɑqɑltsuːra
аквамарин	akvamarin
акварел	akvaɾel
аквариум	akvaɾjum
акватория	akɫətɔria
аквитания	akvitanija
акимов	akimov
акламации	aklamatsi
акламация	aklamàːtsʲi
акламирам	pokɫomjram
аклиматизация	aklimatizatsiːjɛ
аклиматизирам	ækliːmɑtθɪrˈm
аклиматизирам се	aklʲimatʲiðʲiramtsɨ
ако (`ако)	ako
ако (ак`о)	akːo
ако не греша	al kun ekreʃa
ако не лъжеш	akoniʝaʝis
ако обичате	akum aβitsiti
акомпанирам	akompəniɾəm
аконкагуа	akomkaɣua
акорд	akoɾð̞
акордеон	akˌɔɾdjˈɔn
акордеонист	akoɾð̞eonest̪
акордирам	akɔrdiːram
акостирам	akostjram
акрил	akɾjɨɫ
акробат	akɾobat̪
акроним	atronim
аксаково	apsakovu
аксесоар	akθɛsuaɾ
аксиома	aksioma
акт	ɑkˈt
акт за административно нарушение	ak zɛnmi ɪstɹɛtivnɪ uˈʃɛni
акт за раждане	ak zɨrazniˈnɤ
акта	aktɨm
активен	aktive
активен въглен	əkʈivən ʋˈuglɛn
активизирам	aktɨvizʲiram
активирам	arktɪvjram
активна	aktɨvna
активност	aktivnʌst
актиний	akˈtini
актинолит	akˈtɪnoletˈ
актриса	ɛktrisa
актуален	aktualen
актуализация	aktualizɑtsia
актуално	apɨwaɫnɨ
актуалност	aktwaɫmust
актьор	akt̪ʝoɾ
актьорите ядат зеленчуци	ak tijɔritɛ jɛdat zɛlɛnʃɛvtsi
актьорът променя киното	ak tsʲorat prɔ menʲe kɛjnɔtʊ
акула	akua
акумулатор	sakomawatu
акумулирам	akumuliam
акупунктура	akupunt̪ura
акуратен	akuraten
акустика	akustika
акушер	akustʃaɾ
акушерка	akuʃɛrkˈa
акцент	atsˈɛnt
акцентите	aktsentite
акционер	akt̪sʲonær
акция	aktsʲi
акъл	akɯl
акър	akɯ̞r
ала	ɑwɑm
алабастър	aːlɑbasˈtɯɾ
алабаш	aɫabɑʃ
аладжа	aladʒa
алактит	awaqtæt
аларма	ɑuɑrmɑ
алармирам	ɑɫɑrmʲiɾɑm
албания	aɣ̞o
албена	albɛna
албена ставрева	albɛna staːbrɪba
алберт айнщайн	ˈɑlbɜt ˈaɪnʃtaɪn
албинос	albinos
албум	ɑɫbum
алванит	auvˈanit
алгебра	au̯gɛbra
алгоритъм	aɫguɾitɐm
алегоричен	aleguritʃen
алегория	alegˈoɾjɐ
алеко	ale̞ko
алеко константинов	ale eko koːnstantinov
алекс малеев	aːlɛks mɑlɛʁv
алекса	alɛksa
александра	alɛksandro
александрина	alɛksantrʲina
александрия	alɛksandria
александър	alɛksandɔr
александър богориди	alɛksaˈndal bu goˈridi
александър воронов	alɛksaŋdɛr voɾɔnɔf
александър кашъмов	ɑlʲɛksɑndɑr kʏ̞ʂæmʊ̞v
александър николов	lˌɛksˈɑndər nikoːv
александър сано	alɛkzãnˈdˈɛr sˈanov
алексей	ælɪksɛj
алекси	aleɛkse
ален	aliːn
алергичен	aleːrgitsʃan
алергичен съм към ядки	alɛrgitʃɐn sɤm kɤm jadki
алергия	alɛrgijɛ
алея	alea
алжир	au̯sjɾ
алианс	alljˈans
алиби	ɒɾɒˈliːdi
алигатор	aligator
алилодидакт	alʲiɫuðʲidakt
алилодидактик	alilunidɯtɯktʲik
алинея	aliːnejˈa
алиса	alisa
алит	alit
алитерация	aljteratsija
алкохол	ɑɫkɔxˈo
алкохолизъм	ɑʊquhʊɫïzɯm
алкохолик	awqɯ̞χʊ̞ɫʲɪk
алкохоличен	aukaxolj
алманах	ɑu̯manɑx
алое	alˈoɪ
алой	ɑlɔj
алоклазит	au̯oɣ̞lazet̪
алофан	auofɑːm
алпака	au̯paka
алпинизъм	pɒvpiˈnizim
алпинист	au̯piˈnist
алпите	alpitɛ
алт	alt̪
алтаит	autaʝit
алтернатива	al̪t̪eɾnat̪iβ̞a
алтернативен	al̪t̪eɾnat̪jβ̞ẽn̪
алтруизъм	altɾuʲiðɯ̞m
алтруист	alt̪ɾuist̪
алтупит	au̯t̪opit̪
алуминий	au̯mĩːniː
алуминит	æuːmˈniːt
алумотантит	aomɔt̪ent̪it̪
алумохидрокалцит	aɫomuhidrukaotsɛd
алфа	jˈu
алхимик	awχɛmiːk
алчен	altʃɛn
алчност	au̯tʃnʊs
алчост	au̯tʃɪnst
алъш-вериш	ɑɫɯ̞ʃvæɾʲiʃ
алюзия	aluziːn
ама	ɑmɑ
ама че педераст!	ama tʃe pe dɾast
ама че работа!	ama tʃɛraːɓuta
ама че трън в задника!	ɑmɑ tʃɛ trɛnɔt zaˈdnika
амазонит	amazanid
амакинит	amakinið
амалгама	amaugama
амалгама златна	amalɣɑmɯ zɫɑtmu
амалгама оловна	ɑmɑɫgamɐ uɫɔznɨ
амарантит	amaɾantit̪
амарилит	amaːriːliːt
аматьор	amat̪oɾ
аматьорски	amatʃoɾzti
амбалаж	hæmˈbˈɒlɒʒ
амбалирам	ambalʲirom
амбарица	ambaritstsa
амбивалентност	ambivalentnʊst
амбициозен	amβiˈtioˈsˈɛ
амбицирам	ɑmbetsɪjɾim
амбиция	ambitsija
амблигонит	ambljg̞wnjt̪
амбразура	nˈtˈɛstˈrˈɑ
амбреаж	emfɾaz
амбулантен търговец	anbuɫantɛntɛr gɔvɛts
амбулаторно	ambulatorno
амеба	amata
амелия	amilia
америка	amerika
американец	ɑmeɾikɑnɛts
американец в европа	amɛriˈkɑnɛts ve ʋroˈpa
американиста	ameɾikanistə
американка	ameɾikanka
американски	ɑmeˈɾiːkɑnski
америций	ameɾitsi
аметист	unmitˈist
ами	ami
амин	fˈʁɑ̃
амнезия	amneˈzja
амнистирам	omnizdijeram
амнистия	amnistija
аморален	aamoralen
амортизация	amortizatsia
амортисьор	amoɾtjsioɾ
аморфен	amorfen
ампер	ampeɾ
ампликация	amplikatsia
амплификация	amplifikaˈtsia
амплоа	amplwˈa
ампула	ampua
ампутация	amputati̯jɯ
ампутиран	amput̪iɾan
амулет	amulet
амуниция	amonitsia
амур	amuɾ
амфиболия	amsipolʲjn
амфитеатрално	amfitetralno
амфора	amfora
ан	an
ана	ano
анаболи	anabɔli
анаконда	anɑkɔnda
аналгин	anɑɫgin
анали	ɑnɑli
анализ	analis
анализирам	anˈɑlizirɑm
аналитик	analitik
аналитичен	anɑlitetʃin
аналог	ħɑnɑvɑk
аналогичен	analuɣʲitʂan
аналогия	anawogijɐ
ананас	anˈɑnəs
ананасна	aːnaˈnasna
анархия	anarħija
анархокритик	manarxukɾitik
анастас	anastas
анастасия	anɑstɑsija
анатема	anatɪma
анатемосвам	anatɛmosan
анатолий	anatoli
анатолия	anatoˈlʲiːjɑ
анатомия	anatˈoːl
анафора	anafora
анахронизъм	anaχronʲizam
анблок	anβ̞lk
ангажимент	mẽn̪ɣ̞aɣ̞imẽn̪t̪
ангажинам	ŋgdʒiɾam
ангажирам	aŋgaʒiɾim
ангажиран	æŋgadʒiɾæm
ангажиране	ǎngɯzʲirɐnɪ
ангария	əŋgɾiːə
ангел	angɛl
ангел георгиев	aːnge o kyrkiːe
ангел караньотов	aŋgɾ okaɾãn i otof
ангел тодоров	ˈɑŋgiʌl tˈoˈdʌrʌf
ангелина	angkelina
ангелски	aŋgjɛlski
ангина	angɪnɐ
английски	ɑːŋliːskiː
английски език	anglɛjs ke˩˥ːsɛk˨
англичанин	aŋglˈidʒanˈiːn
англичанка	aːnˈɣlˈɛtʃˈaːnˈkˌɑ
англия	aŋgria
ангола	aɣoɣo
ангро	angro
ангросист	aŋgɾosist
ангстрьом	aːnˈfrim
анджак	manzok
анди	and
андора	anðoɾa
андрей	ãn̪d̪ɾeʝ
андрей слабаков	andrɛj sɫabakov
андрей чапразов	andrɛj tʃaprazʊf
андрея	andrɛjɐ
андрофилия	andrˈofilia
андъка	akompano
анекдот	anɛkdɔt
анелия	anelio
анемичен	anemˈitʃe
анемия	anmaːjɛmɪjæ
анестезия	anɛstɛzja
анестетичен	antʃititʃin
анета	anɛta
анета сотирова	a nɛta sɔtirɔva
анжел вагенщайн	ẽn xeu β̞aɣ̞ẽn̪zt̪ĩŋʝ
анилит	aniljt
аниме	anime
анита	anita
анкета	angkɛta
анкетирам	ankeˈtjɛrɑm
анкетиране	ãn̪t̪et̪ie̞rãn̪ɯ̞
анкх-морпорк	anknoˈrpˈork
анна томова-синтова	ana tomovo sintuva
аномален	anumalɛn
аномалия	anumˈalɨ
анонимен	anonɪmɨn
анонимник	anonʲimnʲik
анонс	anˈɔns
анонсирам	anunθeɾɐm
анорексик	anurɾɛksik
ансамбъл	ɑŋseˈmbɔl
антагонистичен	antagonistitʃen
антарктик	antʊ̞rpʲit
антибиотик	antibjotik
антика	ɑːmt̪ɪkə
антиквар	ant̪ik̟var
антиклерикален	antjklaiɾiˈkalˈeˈn
антиклимакс	ɑntiklimiks
антиметабола	antimetɔvɔl
антимон	antimon
антипатичен	antipotiçan
антипатия	antipˈatja
антисептичен	antˈisˈepˈtitʃˈen
антисоциален	antisotsialen
антитеза	antistesa
антифриз	antifrˈis
антихрист	amtʲiχrɪst
антициклон	antitsiklon
античастица	antitʃastitsa
античен	antitʃen
античност	antitsʃnʃt
античовек	ɑnɑdzitʃɔvɛk
антишамбър	antˈiʃambɯr
антоанета стефанова	anˈto ɐnˈɛtɛ stɛpɐnˈo və
антон	antˈon
антон радичев	antˈon rˈaditʃɛx
антонимен	antɔnimen
антония	antˈonja
антония полименова	antonjo pɔlimenʱɔ
антоново	antonovu
антономасия	antunomasʝ
антракт	ant̪rakt̪
антре	antraj
антрефиле	antrefile
антрополог	antropolog
антураж	antoroas
анулирам	anulʲeram
анулиране	anulʲiranɨ
анцуг	aːnsu
анюйит	aɲoit
аня пенчева	anja pɛnˈtʃɛvɑ
апарат	aparat
апаратура	aparatura
апаратчик	äpɑrɑtʃɯ̞k
апартамент	apɔrtəment
апартамент под наем	apɾtament pɔbnaɛm
апартаментче	apaɾtamentʃe
апатичен	apatitʃen
апатичен съм	apatitʃanˈsɐm
апатия	apatia
апел	apel
апелирам	apellram
апенински полуостров	apjninskij poluostrof
аперитив	apberpˈtˈiv
апетит	apetˈit
апетитен	apetitem
апогей	apogʊj
апокалиптик	apokaliptik
аполитичен	apolititʃɛn
апоплектик	hapopləktik
апорт	apoɾ
апостил	apustiu
апостол	apostu
апостол карамитев	ɛpɔstɔ kɑɾamitɛv
апотема	apɔtɛma
апофтегма	akust̪eɣ̞mã
април	apɾil
април носи радост	apɾiil nɔ seɾaduʃt
априлското въстание	a prijɛlʃkotovo stonʲeʲe
априлци	apriuːtsi
аптека	aptajkə
аптекар	apteˈkaːr
аптекарка	apdɛkɑrkɑ
аптекарката ги изпи	abtekarkatakɨ ɨspi
ара	ara
арабия	arabia
арабски	arapskʲi
арабски език	ɑrɑpsiːkːɛ ziːk
арагонит	aragɔnit
аранжирам	aɾɾanɣ̞iɾam
арбалет	ɑrpält
арбалетчик	ärbaleʲtʃi
арбанаси	arboˈnɑsi
арбитраж	ʌrbitrˈɑʃ
арбитър	aɾbjt̪eɾ
аргатин	argatsi
аргентит	arʒentit
аргир	arɣir
арго	argo
аргон	aɾgɔn
аргумент	argumɛnt
аргументация	argʊmɛntatsia
аргументирам	argʊməntjram
аргутит	arguˈtɪt
арда	taɾða
арденит	ardɪnɪt
арена	areno
арест	arɛst
арестант	arɛstan
арестувам	arestuvan
аржентина	ɑrgɛntˈinɑ
арзакит	aɾza
аристократ	aristokɾat
аристократичен	aristokratitʃen
аристокрация	aliztokratsjɛ
аристотел	ɐristɔtɛl
ария	area
арка	arka
арктика	arktika
арктит	härksɪt
армаган	aɾmagaŋ
арматура	armatura
арменец	armenets
арменит	armejnit
арменският геноцид	ʲɛrmʲɛnskʲi ɐt ginʲɔtʲsʲid
армирам	armiram
армия	aɾmjɐ
армстронгит	armˈstˈrˈoːngid
арогантен	arugante
арогантно	araitokanto
арогантност	arugantnuz
аромат	peˈrɔmauː
ароматен	aromatɨ
ароматизирам	rmɑtizˈiːraːm
ароматичен	aromatitsʃɛn
ароматна	hɑrɔmatna
арпаджик	aɾpədʒik
арсен	arsɛn
арсенал	arsenao
арсеник	ɑrsɛnjk
арсения	arsɛnʲio
арсеноклазит	arsenukoazit
арсенокрандалит	arsenugrandadʒo
арсенолит	arsenolið
арсенопирит	aɾsẽn̪wpiɾit̪
арсенсулванит	arsenˈtsovˈaːnit
арсенуранилит	senoˈɾɑnniːlɛt
арсенцумебит	asomɛnbɪt
арсо	arso
артелчик	artɛutʃek
артерия	aɾtˈeɾja
артефакт	artɛfakt
артикул	aɾtikul
артикулация	artikulatsija
артикулирам	aɾtikuliam
артилерия	tɑɾtjlɛrjɛ
артинит	aɾt̪init̪
артисвам	artistɔvɑm
артист	ɑɾtʃɪst
артишок	ɑɾtjsok
артрит	art̪ɾit̪
артурит	arturit
арупит	arupit
арфа	arfa
арфведсонит	arfvɛtsʊnˈɛt
архаизъм	arxizm
архаичен	arxaʲitsʲen
архангел	arxangʲɛuː
архангели	arχaŋgjlə
архбарит	arxabˈarit
археолог	arʃˈeɭˈɑk
археолози	arxioˈlozi
археоптерикс	arxʲeptɛriks
архивар	aɾxibaɾ
архивирам	arxiviran
архивиран	arxiviron
архиеретик	ärχʲiɛrɪ̞tʲik
архипелаг	arxipelag
архитект	ərxitˈɛkt
архитектура	arxʲitɛkturam
арчерит	artʃerit
ас	as
асамблея	asmblia
асансьор	ˌasoðˈioɾ
асбекасит	aspekˈasɪt
асболан	asboˈɫan
аселборнит	asio˥˩lβɔrnit
асен	asen
асен блатечки	aː sen boːtetʃk
асен караславов	a seŋkɐɾa slavʊ
асен кисимов	asɛn kisimɔv
асеновград	asənˈovgrˈat
асеновец	tˈastˈɛnəvˌɛts
асиметричен	asimetritʃən
асимилация	asˌiːmjwˈatsjɐ
асимилирам	asˌimiɫˈiɾam
асинхронен	asinxrɔnɛn
асисит	asjsi
асистент	assistent
аскетизъм	kaskɛtism
аскетичен	asketitʃɛn
асонанс	asˌunˈɐˈɐ̃nθɐ
асортимент	assoɾt̪imẽn̪t̪
асоциация	asotsiˈatsiːɑ
аспарух	asparoɣ
аспарухово	asurokoɣo
аспект	aspɛkt
аспержи	aspeɾʒe
аспидолит	asˌpidulɛd
аспирация	aspjɛratsjɛ
аспирин	baspiɾin
астатин	astatim
астероид	astɛrʊit
