. རྡོ་གྲུབ་ཆེན་དགོན	dutɾ tʃəŋ keːˈŋ
ཆོས་ལ་དད་པ་ཆེ་བ།	tɕʰi˥˩ lɤ˧˥ tɕʰi˥˩ wɑŋ˨˩˦
ཆོས་ལྡན་ཞིང་ཁམས།	tɕyn˥˥tian˥˧sĩŋ˨˩kʰɑŋ˥˥
ཇ	tʃa
ཇ་	tʃa
ཇ་སྲུབ་མ	tʃasumma
ཇོ་མོ་གླང་མ།	tɕjoʊ̯mɑʊ˥˩ʰɑkɯ˥˩
ཉ་ཤ་	nˈaːtˈɕˈ
ཉན་	nʲa
ཉལ་	ne
ཉལ་ཁང་	nʲexɛn
ཉལ་ཁྲི་	nʲe tɨ
ཉལ་ཆས་	nɪtɕjɛ
ཉིང་ཁྲི་གྲོང་ཁྱེར།	ni˨˩˦tɕʰi˨˩˦ʈʂʊŋ˨˩˦tɕʰjɛ˥˥
ཉུང་ཉུང་	ɲoɲo
ཉེ་བའི་བཟོ་བཅོས	nʲe˥˩weɪ˥˩ so˥˥ tɕʰiː˨˩˦
ཉེ་འབྲེལ	nɪ̞ ɪ̞ɾɪ̞l
ཉོ་	nʲo
ཏ་ཱལའི་བླ་མ་	talelama
ཏཱ་ལའི་བླ་མ	talelama
ཏཱ་ལའི་བླ་མ།	taːlɛːnɑmɑ
ཏོག་ཙམ་	tɔzɔm
ཐབ་	tɑp
ཐུགས་རྗེ་ཆེ	tu dʒitʃe
ཐུགས་རྗེ་ཆེ་	tu dʒitʃe
ཐུགས་རྗེ་ཆེ་།	tʰuːtʰtʰieːkʰeʔ
ཐུགས་རྗེ་ཆེ།	tuʒe tʃe
ཐུབ་བསྟན་	tubten
ཐོ་ཞིག་འགོད་པ	tʰɔ̀ːsik˨ kɔː˧e˥paː˧
ཐོ་འགོད	tok˨
ཐོག་མར་དཀོན་མཆོག	tɒmɒɾɒb qɒntʃɒ
ཐོས་གྲོལ་	tʃʰapʃa
ད་འགྲོ་རན་ཤག།	taːduːr ɾaːʃa
ད་འགྲོ་རན་སོང་	tadoɾas
ད་ལྟའི་བྱ་བ	tʰanʔtɕʰawa
དཀའ་ལས་ཁག་པོ་	kliː kʰɑboː
དཀར་ཆག	qɾtʃʰa
དཀར་ཆགས།	kɑrʧæ
དཀར་མཛེས་བོད་རིགས་རང་སྐྱོང་ཁུལ	kɑn zɛ pʰeɾe roxuŋ kɑlɑl
དཀར་མཛེས་བོད་རིགས་རང་སྐྱོང་ཁུལ་	kəndze pʰəɾi ɾaːntɕuŋ kɪŋ
དཀར་མཛེས།	kãn̪zɯ
དཀོན་མཆོག	gyŋ tʃok
དག་སྣང་	tʰǎŋ˨˩˦nɑŋ˥˩
དགུ་	kˈu
དགེ་ལུགས་པ	elˈɔk
དགོང་དྲོ་བདེ་ལེགས	oŋtɹɯz ðe lɛk
དགོངས་དག	kˈontɐ
དགོངས་པ་མ་ཚོམས།	kunbo mantso
དང་པོ་	tɴbɯ
དངུལ	ŋɛ
དངུལ་ཁང་	nuːkə
དངོས་གནས་	ŋˈʌnˈɛ
དངོས་གནས་རེད།	un̪ne̞ɾe
དཔར་ཐུབ་པའི་དྲ་ངོས	kwaɾtʰuː beːtʰɵnwe
དཔེ་མཛོད་ཁང་།	pen˨˩˦tsu˥˧kʰɑŋ˥˥
དཔེར་ན།	pena
དཔྱིད་ཀ	tʃika
དབུ་ཞྭ་	vˈɒdʒɒ
དབུས་གཙང་	ɾɯtsɑŋ
དབུས་གཙང་།	y˨˩˦tsan˥˥
དབུས་བོད་མིའི་སྒྲིག་འཛུགས་	lə pə mititˈsu
དབྱར་རྩྭ་དགུན་འབུ་	jɛrsɑ gyn bu
དབྱིན་ཇི་	iːntsɪ
དབྱིན་ཇི་སྐད་བརྒྱབ་ཀྱི་ཡོད་པས།	ɛ̃dˈikː ˈo dˈə ɹˈil
དབྱིན་ཡུལ་	i˥˩
དམག་མི་	mami
དམར་པོ།	mabu
དར་མདོ།	taːrto
དུང་དཀར་	t̪õŋgɐr
དྲ་མཚེས།	tsʰi˨˩
དྲ་འབྲེལ་ཅི་ཞིག	tʰaʔ˨tsiŋ˥˥ tɕiʃi˨˩
དྲི་ཟའི་གྲོང་ཁྱེར།	tʲɪsɪ̞ tʊ̞nkɪ̞ɾ
དྲི་ཟའི་དྲོང་ཁྱེར་	kike tʃoŋ keʃ
དྲུག་	tˈu
དྲེད་	tˢe̞
ནག་པོ་	na pɔ
ནང་འཛུལ	lɑŋz˨
ནང་ལ།	naŋla
ནོར་བུ་ཡིན།	nubɨ
པན་ཆེན་བླ་མ།	pʲɪɴtʂʲɪn muɫɑmɑ
པེ་ཅིང	pˈatˈtˈsˈɑ̃
པོ་ཏ་ལ	potala
པོ་ཏ་ལ།	oːdɑla
ཕ་གི་	bˈɒgi
ཕ་མ་	paˈma
ཕ་ཡུལ་	tʁaˈy
ཕ་ཡུལ།	pʰyː
ཕུན་སུམ་ཚོགས།	pʰiːn˧sʊm˥˩tɕʰɔːp˥
ཕྱག་ཕེབས་གནང་བྱུང་	tʃavenantʃo
ཕྱིར་འབུད	tɕiɾɯ
ཕྱུག་པོ་	tʃupo
བ་ཕྱུགས	patʃo
བཀྲ་ཤིས་བདེ་ལེགས	tsuzul
བཀྲ་ཤིས་བདེ་ལེགས།	tʃoːs˦ teːˈnikː
བག་ཆགས་	pʰaːk̚˨˩ʈʂʰaː˥˩
བཅུ་	dʒu
བཅུ་གཉིས་	dʒuːniː
བཅོ་ལྔ་	tjaŋ˨˩
བཅོམ་ལྡན་འདས་	dʒoːmdɪnˈde
བདག	tˈak
བདག་	spa
བདག་ཉིད	da n
བདག་མེད་རྟོགས་པའི་ཤེས་རབ་	tsiŋ˨˩mi˥˧tok˨pɛ˨˩˦ tɕiŋ˨˩˦
བདག་འཛིན་	tʃiŋ
བདུད་ཀྱི་གཆོད་ཡུལ་	dutʃtʃi dʒuː
བདུན་	dʒənˈ
བདེ་བ་	deo
བདེ་འབྱུང་	te xiongˌ
བཞི་	ʃtʃ
བཞི་བཅུ་ཞི་བདུན	si˨˩ tʂu˥˥ xi˨˩˦tean˨˩˦
བཟའ་ཟླ་	sãnˈdã
བར་དོ	pɐrtɐ
བར་དོ་ཐོས་གྲོལ	paːrtɬ
བར་དོ་ཐོས་གྲོལ་	paɾtɔ tʰeʈɔɹ
བརྒྱད་	tɕʰjɛ˨˩˦
བརྙན་འཕྲིན་	ni˨˩an˧˥tɕɪŋ˥˥
བརྡ་བརྒྱུད་	taw˧˧
བརྡ་སྤྲོད།	taakɔ
བརྩེ་བ།	tsɪɛva
བཤད་	ʃˈɪt
བསྟན་འཛིན་རྒྱ་མཚོ་	benˈziːn gɒtsˈoː
བསྟན་འཛིན་རྒྱ་མཚོ།	te̞n̪ts̺iːn̪t̪ kiat̪z̺e
བུ་ཕྲུག་	puː tʃoː
བུམ་པ་	pumbɑ
བོད་	hæ
བོད་ཀྱི་ཆོས་ལུགས།	heˈʁi tʃʏlɯp
བོད་ཀྱི་རིག་གནས་ལ་དགའ་ཞེན།	jʏˀ˩˦tʰiː˧ ɫæ næw˧˥aː˧fɑŋ˥˩ siː˨˩
བོད་གཞས།	tʰœ˧˥
བོད་གཞུང་	tˈɛstʃˈɔ̃
བོད་ཆས་	pe
བོད་པ	pɛːpaː
བོད་པ།	tʰoːpa
བོད་པའི་ཟ་ཁང་	bɛbɛ sɑɣa
བོད་བརྒྱུད་ནང་བསྟན་	pʰi˨˩ nŋtɕjɛ˥˥
བོད་བརྒྱུད་ནང་བསྟན།	føˀgyˀ nɑŋ ˈʋ
བོད་མིའི་ལས་དབང་།	fimiːl˧
བོད་ཟས་	kwˈɛs
བོད་ཡིག	te̞ɪk
བོད་ཡུལ	pøː˨ juː˩˦
བོད་ཡུལ།	dˈɛkjˌeːn
བོད་རང་སྐྱོང་ལྗོངས།	tʰæi˧˥sŋ˥˥tsʊŋ˥˥
བོད་རིགས་	pri
བོད་རིགས་ཀྱི་ལ་རྒྱ།	kuzuləkɪ
བོད་རིགས།	fiːrikː
བོད་རྒྱུད་ནང་བསྟན།	tɛn˧ kyi laː
བོད་ལྗོངས།	tɕʰøːn˧˥ʈʂʰw˧
བོད་སྐད་གཅིག་བུ་བརྒྱབ་ཡོད།	sɛ kiʧ mədʒəgi it̪
བོད་སྐད་བཤད་ཀྱི་མེད།	tʃiɴmei m
བོད་སྐད།	føkæ
བོད།	pʰ
བོན་	hŋ˥
བོན་ཆོས།	fɔːŋ˧tɕʰyː˨
བྱང་ཐང	tʃaːm taːm
བྱང་ཐང་	tʃŋsʰɑŋ
བྱང་ཨ་མེ་རི་ཀ་	tʃaːmjɾka
བྱེད་	tɕʰe
བླ་མ	la
བླ་མ་	lˈamˈa
བླ་མ་མཆོད་པ་	la mʊnʧˈe pa
བློ་བཟང་གྲགས་པ་	lo saːn tɕʰapːa
བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན་	lo˧˧sɑŋ˥˩tɕʰy˧˥ʑi˨˩˦ʈʂən˥˩
བློ་སྦྱོང་	lɑdʒɔn
མ་གཅིག་ལབ་སྒྲོན	tɕja˥˥ ɕja˥˥tɕja˥˥
མཁའ་འགྲོ་མ་	kɑːnmɑː
མགོ་བོ	gooːoɾ
མགོ་སྨན་	komẽn
མང་པོ་	mɐ̃ŋpʊ
མངའ་རིས།	laːɾi
མཆོད་པ་	tʃʰyː fɑː
མཉམ་འཇོག	niam
མཉེས་པོ།	pavʲerɨɫa pɔː
མཐེབ་གཞོང་	tʃiɔ˨˩˦
མཐོ་པོ།	tɔ̙mbɔ
མཐོང་	tɔ̃
མཛོད་ཁང་	ntsɛ˥˩lɑ˥˥kɑ˨˩˦
མར	mˈɑːr
མི་	mi
མི་རིགས་སློབ་གྲྭ་ཆེན་མོ།	miɾiːk loko tʃe moʁlo
མིང་ཚིག་གསར་པ།	mĩ˧˥k˥ sɑ˥˥paː˥˥
མེ་ཏོག་	meto
མེ་འཁོར་འབབ་ཚུགས་	mɛ̃ːnˈkoː˧ pɔːtsʰuː
མེ་འཁོར་འཛིན་བྱང་	mæn kʰuːt dzɪʒuːn
མོག་མོག་	mɔːmɔː
ཙོང་ཁ་པ།	tʃoŋp˨˩ap˦
ཚ་པོ་	tsavo
ཚལ་	tsɛl
ཚལ་ཟ་ཡི་ཡོད།	seːsag ɯ
ཚིག	tsik˦
ཚིག་མཛོད	seɴzɯ
ཚིག་མཛོད།	sɛnˈzˈɛ
ཚིགས་ཁེབས	tsike
ཚོང་	tsʰɔ̃
ཚོང་ཁང་	tsʰũ˥˥kɑŋ˥˥
ཝ	wˈʌt
ཝ་མོ	vamã
ཝ་མོ་	vˈamu
ཞ	nˈɛnbɔng
ཞ་མོ་	ʃamˈɔ̃
ཞལ་པར་	ʃeˈbɑɾ
ཞལ་འདེབས	ʃɛntip
ཞལ་ལག་མཉེས་པོ་གནང་གོ	tɕjɛl˥˩npnɑŋguː˥˩
ཞིང་ཁ་	sɪŋˈʒɑ
ཞིང་ཆེན་	ɕɪŋ˨˩˦tɕjɛn˥˥
ཞོགས་པ་བདེ་ལེགས།	siwˈ pə dˈe- le
ཞྭ་མོ་	ʃamu
ཟ་	sˈa
ཟ་ཁང་	sɑrɑm
ཟངས་དཀར་	saŋɟəɾ
ཟི་ལིང་།	si˥˩lɪŋ˧˥
ཟླ་གཉིས་པ	tɑɴiba
ཟླ་གསུམ	tɑːzɯmɑ
ཟླ་དང་པོ	ta˥˩tʰɑŋ˨˩˦kʰu˥˥
ཟླ་བ་དང་པོ་	tawɑtambʊ
ཟླ་བཞི་བ	ta˨˩˦sipa˨˩˦
ཟླ་བོ།	dao
ཟླ་ལྔ་བ	taːnlɑba
འཆར་ངོས་	tɕʰjɛng
འཇའ་	dʑa
འཇར་མན་	dʒɑːmɛn
འཇར་མན།	dʒɑmɛn
འཇིགས་མེད་ཕྲིན་ལས་འོད་ཟེར་	tʃɯmlɛʔwe se
འདས་	dˈe
འདས་པ་	tɛpa
འདི	d̪e
འཕགས་པ།	papa
འཕར་སྣོན་བཀྲ་ཤིས་དང་བློ་གྲོས།	pɾhnan tɾaːʃi dalɬoʈe
འཕྲུལ་འཁོར་	tʃuŋgɔ
འཕྲེང་བ་	tsyŋa
འབུམ།	bom
འབྲས་ལྗོངས།	tientɕiong˨˩˦
འབྲི་	dʒyj
འབྲི་དེབ།	tiːt̪ipː
འབྲི་མར	tʃimar
འབྲུག་ཡུལ་	dʒuːbiː
འབྲེལ་བའི་བཟོ་བཅོས	dʒeuaːˈsɔtˈtʃiɑ
འཚོལ	tʃa
འཛིན་གྲོགས་	tsʰiŋ˨˩˦ʈʂuɔ˥˩
འཛིན་པ་	dʑi̠nˠba
འཛིན་བཟུང་	tse sˈɔ̃
ཡ	dˌiːzə
ཡ་ཆེན་སྒར་	ja tʃiŋgaɾ
ཡ་ཡ	jæjˈʈ
ཡག་པོ་	jɑq puɦ
ཡབ།	jˈɛp
ཡར་ཀླུང་གཙང་པོ་	ja˨˩lʊŋ˨˩tsaŋ˥˥pʰɔ˥˥
ཡར་ཀླུང་གཙང་པོ།	naʈʂɚ˨˩˦ ɑŋ˥˥bɑ˥˥
ཡར་འཇོག	kʲɛrtʃøɾ
ཡུ་རོབ།	jʊ̞rʊ̞p
ཡུམ་ཆེན།	iʊŋtʃʰin
ར	ra
རང་མི་རིགས་ལ་ཤ་ཞེན་ཆེ་བའི་མི་སྣ།	kʰɑŋ mililæ tʃaʃn tʃø tʃøŋ miːnɑk
རང་མོས་ཤོག་ངོས	ʒˈɑ̃ lə ʃˈɑ̃ lə
རི་པིན།	ʒʲinti
རིང་པོ་	ʒˈɪnbʊ
རེ་བ་	ʒɪva
རེད	ðˈɪ
རོགས་རམ	ʃˈɛlz lɑˈʁˈam
རོལ་ཆ	ɾoʃa
རྐང་པ་	kˈanβa
རྐང་ཤུབས་	kɔːm ʃuːp
རྒན་གསོ་ཁང་	kjɛn˨˩˦sok˨ kʰan˨˩˦
རྒྱ་ནག	tjanɑ
རྒྱ་ནག་	dʑana
རྒྱ་ནག་གཞུང་	tɕˈan nˈoʃu
རྒྱ་མཚོ	ɟjɑttsɔ
རྒྱ་མཚོ།	tɛː˥ːtsʰuː˨˩n˥˩ʈʂʰuː˨˩
རྒྱ་རིགས།	dʒəri
རྒྱལ་ཁབ།	tɕʰʰap
རྒྱུད་	tut
རྔ་བ་བོད་རིགས་དང་ཆང་རིགས་རང་སྐྱོང་ཁུལ་	naapɔ pɔɛɾɛ tɑŋ tʃʰɑnɮiː rɑŋdʒɔŋ kɔɹ
རྔན་པ།	nˈɛmba
རྗེས་ཐོ	tɕi˥˧tʰʊ˨˩˦
རྗེས་མ་	tʃɪmmo
རྗེས་མ་མཇལ་ཡོང་།	tɕjɛnman dʲiɛ˥˥juː˨
རྙིང་པ་	nˈimba
རྙིང་མ་	nʲa nʲima
རྟག་བརྟན་གྱི་དྲ་འབྲེལ	tak̚˥ tsʰi˧˥ tɕʰi˥˧
རྡོ་རྗེ་	tudʒi
རྣ་ལོང་	nˈa lˈɔ̃
རྩོམ་འདི་འདྲེན་པ	sʊŋ˥˩ti˧˥ tɕɪn˥˥ ba˥˥
རྩོམ་ཡིག	sɔ̃ mˈi
རྩོམ་སྒྲིག	suŋˈgidʒik
རྫུན་མ་	tɕiˈmɛ
རྫུན་མ་བཤད་	tsez̺n batʃe
རྫུན་མ་མ་བཤད།	sɛ mˈɛt maʃˈe
རྫོགས་ཆེན་	zək tʃɛn
རླུང་འཕྲིན་ཁང་	luntɪn˧kɑː
ལ་རྒྱ་	laːdʒɑ
ལག་ཆ	lak˨
ལག་པ་	lapa
ལག་པ།	la fa
ལགས་རེད་	laze
ལས་	lɛ
ལས་སླ་པོ་	lˈɛlˈabˈo
ལྗང་ཁུ།	tɕɪŋ˨˩˦ku˥˩
ལྗོངས	tɕjʊŋ˨˩˦
ལྷ་མོ་དོན་འགྲུབ་	sama tɨm ʒɔβ
ལྷ་ས་	tʃlɑːsɔ
ལྷ་ས།	dɑː sɑːf
ལྷམ་	sɑːm
ལྷོ་ཨ་མེ་རི་ཀ་	la ameɾika
ཤ་ཟ་ཡི་མེད་པས།	ʃasajmewe
ཤ་ཟ་ཡི་མེད།	tʃa seɾme
ཤར་པ་	ʃæɾbɑh
ཤོག་གུ	ʃuko
ཤོག་བུ་	ʃuː
ས་མཚམས།	santsam
སངས་རྒྱས་	tɕjɛ˥˩
སངས་རྒྱས་ཆོས་ལུགས།	sɑŋgɛ tʃylyx
སམ་སོང་ཁ་པར་	sansʊŋ kʰɑ˨˩bɑ˥
སི་པན་	spen
སུ་	sˈu
སུད་སི་	sʏ̞s
སེ་ར	sɪra
སེམས་	sɛm
སེམས་བསྐྱེད	semkɛ
སེར་པོ།	sɛrvo
སོ་	sˈo
སོག་ཡུལ་	sɔji
སོང་	sʊŋ˥˥
སྐད་	kˈa
སྐད་ཆ་	ke tʃao
སྐད་ཆ་བཤད་	kˈet˦tɕːaɪʃi
སྐད་ཡིག	kʰei˧˥
སྐུ་ཁམས་བཟང་	kukum san
སྐུ་གཟུགས་	kuzˈɯ
སྐུ་ཟླ།	qunda
སྐྱེས་པ།	tʃepa
སྐྱོ་པོ།	tʃo˩˥ː bu
སྒང་ཐོག་	tʰɤŋ˨˩˦ tʰɤŋ˥˩
སྒོམ་པ་	qɯ̞mɯ̞nqɑ
སྒྱུ་མ་	aɣ
སྒྱུ་རྩལ	tʃʊtsɪ
སྒྱུར་	dʒuɾ
སྒྱུར་གནང་	tʃurna
སྔ་དྲོ་བདེ་ལེགས།	maːʈːoː dɪle
སྔ་འགྱུར་རྙིང་མ།	ŋa ɲðr næmæ
སྔས་མགོ་	ɲæ̀ːnko̞
སྔོན་པོ།	ŋoo̞nbo
སྙན་པོ།	nɛmbɔv
སྙིང་རྗེ་པོ།	nʲindzjɛvo
སྟོང་།	tˈɔ̃
སྡུག་བསྔལ།	tune
སྡོད་	dˈɛ
སྤོར	fr
སྤྱན་རས་གཟིགས	tʃiɛn˧˧ɹes˨˩
སྤྱན་རས་གཟིགས་	tʃarisi
སྤྲུལ་པ	tɕyba
སྤྲོ་པོ།	tɕoɣo
སྨད་ཚོང་ཁང་	mʲetsʲoŋhʲaŋ
སྨན་ཁང་	mʲanga
སྨྱུ་གུ་	nˈoːx
སྨྱུག་གུ	mjˈukˌu
སྲས་	se
སྲས་མོ་	sɛmɔ
སྲུ་མོ།	smɔ
སྲུང་བ	sˌumˈɑ
སློབ་གསོ།	lˈobso
སློབ་གྲྭ་	lɑptɑ
སློབ་དེབ	wtf
སློབ་ཕྲུག་	la tˢoˀ
ཧ་གོ་སོང་།	ækjɔzum
ཧྥ་རེན་སི་	fɑɾnθ
ཧྥིན་ལན།	filiːn
ཨ་ཏི་ཡོ་ག	atik tʃɔfa
ཨ་ནི།	anne
ཨ་ནུ་ཡོ་ག་	qɑn˥˥
ཨ་མདོ།	aːmdɔ
ཨ་མེ་རི་ཀ་	amɛriˈka
ཨ་མེ་རི་ཁ།	ɑːmiː rɪkˈɑɹ
ཨ་རག	ɑːr
ཨ་རི།	ari
ཨ་ལན་ཟླ་བ་སྒྲོལ་མ་	nə kəwˈʌtəgə
ཨི་ཊ་ལི་	et̪al̪e
ཨུ་རུ་སུ།	ʊɾuʃsʊ
ཨེ་ཤེ་ཡ།	esia
ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	el kukupazsile
