×	peke
あいてにとって不足はない	aitenitotːeɸɯsokɯhanai
あいの子	ainoko
あいの手	ainote
あいの風	ainokaze
あいまい制御	aimaiseigjo
あいまい度	aimaido
あいまい性	aimaisei
あいまい検索	aimaikeɴsakɯ
あいまい理論	aimaiɾiɾoɴ
あいまい論理	aimaiɾoɴɾi
あいまい量	aimaiɾjoɯ
あいや	aija
あい変らず	aikaɰᵝaɾazɯ
あい変わらず	aikaɰᵝaɾazɯ
あい昧	aimai
あい路	aiɾo
あうんの呼吸	aɯɴnokokjɯɯ
あえか	aeka
あえぎ声	aegigoe
あえの風	aenokaze
あえ物	aemono
あおがら	aogaɾa
あおぎ見る	aogimiɾɯ
あおた	aota
あおなぎ	aonagi
あおば	aoba
あおばせせり	aobaseseɾi
あおり止め	aoɾidome
あおり立てる	aoɾitateɾɯ
あお向け	aomɯke
あかし暮らす	akaɕikɯɾasɯ
あかね色	akaneiɾo
あかの他人	akanotaniɴ
あかまた	akamata
あかまち	akamatɕi
あかんべ	akaɴbe
あかんべい	akaɴbei
あかんべえ	akaɴbee
あかんべー	akaɴbeː
あか抜ける	akanɯkeɾɯ
あがぁな	agaana
あがり性	agaɾiɕoɯ
あがり湯	agaɾijɯ
あがり牌	agaɾipai
あがり症	agaɾiɕoɯ
あがり目	agaɾime
あきたこまち	akitakomatɕi
あきまへん	akimaheɴ
あきれて物が言えない	akiɾetemonogaienai
あきれ返る	akiɾekaeɾɯ
あきれ顔	akiɾegao
あき場所	akibaɕo
あくあく	akɯakɯ
あくが強い	akɯgatsɯjoi
あくの強い	akɯnotsɯjoi
あくる日	akɯɾɯçi
あくを取る	akɯotoɾɯ
あく促	akɯsekɯ
あく抜き	akɯnɯki
あく洗い	akɯaɾai
あぐう	agɯɯ
あぐら鼻	agɯɾabana
あけおめ	akeome
あけおめことよろ	akeomekotojoɾo
あけっ放し	akepːanaɕi
あけ烏	akegaɾasɯ
あげあげ	ageage
あげくの果て	agekɯnohate
あげ物	agemono
あげ足とり	ageaɕitoɾi
あげ足取り	ageaɕitoɾi
あげ間	agemaɴ
あこう鯛	akoɯdai
あごが干上がる	agogaçiagaɾɯ
あごで人を使う	agodeçitootsɯkaɯ
あごで使う	agodetsɯkaɯ
あご割れ	agoɰᵝaɾe
あさぎり型護衛艦	asagiɾigatagoeikaɴ
あさだ	asada
あさひ	asaçi
あさま山荘事件	asamasaɴsoɯdʑikeɴ
あさ湯	asajɯ
あさ飯	asameɕi
あざとい	azatoi
あざーす	azaːsɯ
あざーっす	azaːsːɯ
あざ笑う	azaɰᵝaɾaɯ
あしきり	aɕikiɾi
あしらい	aɕiɾai
あしらう	aɕiɾaɯ
あし毛	aɕige
あじゃじゃしたー	adʑadʑaɕitaː
あじゃぱあ	adʑapaa
あずま屋	azɯmaja
あぜ道	azemitɕi
あそばせ言葉	asobasekotoba
あそび女	asobime
あたう限り	ataɯkagiɾi
あたかも好し	atakamojoɕi
あたご型護衛艦	atagogatagoeikaɴ
あたふた	ataɸɯta
あたぼう	ataboɯ
あたま来る	atamakɯɾɯ
あたり一帯	ataɾiitːai
あたり一面	ataɾiitɕimeɴ
あたり前	ataɾimae
あたり構わず	ataɾikamaɰᵝazɯ
あだ事	adagoto
あだ名	adana
あだ花	adabana
あだ討ち	adaɯtɕi
あちゃー	atɕaː
あちら立てればこちらが立たぬ	atɕiɾatateɾebakotɕiɾagatatanɯ
あっ	a
あっかんべえ	akːaɴbee
あっかんべー	akːaɴbeː
あっけに取られる	akːenitoɾaɾeɾɯ
あっけらかんと	akːeɾakaɴto
あっさり	asːaɾi
あっせん業者	asːeɴgjoɯɕa
あっそ	asːo
あったま来る	atːamakɯɾɯ
あっちゃ	atɕːa
あっち系	atɕːikei
あっち行け	atɕːiike
あってこその	atːekosono
あってなきがごとき	atːenakigagotoki
あっての	atːeno
あっと	atːo
あっという間	atːoiɯma
あっという間に	atːoiɯmani
あっとゆう間	atːojɯɯma
あっとゆう間に	atːojɯɯmani
あっと言う間	atːojɯɯma
あっと言う間に	atːojɯɯmani
あっと言わせる	atːoiɰᵝaseɾɯ
あっはっは	ahːahːa
あっぱっぱ	apːapːa
あっぷあっぷ	apːɯapːɯ
あっぽ	apːo
あっ倒	atːoɯ
あっ制	asːei
あっ勝	aɕːoɯ
あっ化	akːa
あっ搾	asːakɯ
あっ旋	asːeɴ
あっ死	aɕːi
あっ殺	asːatsɯ
あっ気	akːe
あっ砕	asːai
あっ縮	aɕːɯkɯ
あつらえ向き	atsɯɾaemɯki
あてなき旅	atenakitabi
あて先	atesaki
あて先変更	atesakiheɴkoɯ
あて名	atena
あて外れ	atehazɯɾe
あて字	atedʑi
あて馬	ateɯma
あで姿	adesɯgata
あと一歩	atoipːo
あと口	atokɯtɕi
あどけない	adokenai
あな	ana
あない	anai
あなじ	anadʑi
あなじ風	anadʑikaze
あなぜ	anaze
あなぜ風	anazekaze
あなた任せ	anatamakase
あなた方	anatagata
あなや	anaja
あに図らんや	anihakaɾaɴja
あねさん被り	anesaɴkabɯɾi
あの	ano
あのう	anoɯ
あのさあ	anosaa
あのね	anone
あのねえ	anonee
あのように	anojoɯni
あのー	anoː
あの世	anojo
あの世に行く	anojoniikɯ
あの世千日この世一日	anojoseɴnitɕikonojoitɕinitɕi
あの人	anoçito
あの声で蜥蜴食らうか時鳥	anokoedetokagekɯɾaɯkahototogisɯ
あの子	anoko
あの手この手	anotekonote
あの方	anokata
あの様	anojoɯ
あの頃	anokoɾo
あはは	ahaha
あばよ	abajo
あばら家	abaɾaja
あばら屋	abaɾaja
あばら筋	abaɾakiɴ
あばら骨	abaɾabone
あば擦れ	abazɯɾe
あふれ出す	aɸɯɾedasɯ
あふれ検査	aɸɯɾekeɴsa
あふれ表示	aɸɯɾeçjoɯdʑi
あふれ返る	aɸɯɾekaeɾɯ
あぶくま型護衛艦	abɯkɯmagatagoeikaɴ
あぶく銭	abɯkɯzeni
あぶない橋を渡る	abɯnaihaɕioɰᵝataɾɯ
あぶな絵	abɯnae
あぶみ骨	abɯmikotsɯ
あぶらそこむつ	abɯɾasokomɯtsɯ
あぶらとり紙	abɯɾatoɾigami
あぶら虫	abɯɾamɯɕi
あぶら身	abɯɾami
あぶり出し	abɯɾidaɕi
あぶり出す	abɯɾidasɯ
あぶり料理	abɯɾiɾjoɯɾi
あへん法	aheɴhoɯ
あべこべ	abekobe
あべし	abeɕi
あほうの一つ覚え	ahoɯnoçitotsɯoboe
あほう鳥	ahoɯdoɾi
あほの一つ覚え	ahonoçitotsɯoboe
あほ毛	ahoge
あぼおん	abooɴ
あぼん	aboɴ
あぼーん	aboːɴ
あまえん坊	amaeɴboɯ
あましいら	amaɕiiɾa
あまに油	amanijɯ
あまりと言えば	amaɾitoieba
あまり物	amaɾimono
あま味	amami
あま噛み	amagami
あみ出す	amidasɯ
あめ玉	amedama
あめ色	ameiɾo
あや	aja
あやかし	ajakaɕi
あやかり者	ajakaɾimono
あやす	ajasɯ
あやふや	ajaɸɯja
あや取り	ajatoɾi
あや織り	ajaoɾi
あゆの風	ajɯnokaze
あら	aɾa
あらいやだ	aɾaijada
あらげ木耳	aɾagekikɯɾage
あらせいとう	aɾaseitoɯ
あらぬ事	aɾanɯkoto
あらへん	aɾaheɴ
あらまあ	aɾamaa
あらまし	aɾamaɕi
あらやだ	aɾajada
あられもない	aɾaɾemonai
あられ餅	aɾaɾemotɕi
あらん限り	aɾaɴkagiɾi
あら塩	aɾadʑio
あら挽き	aɾabiki
あら捜し	aɾasagaɕi
あら探し	aɾasagaɕi
あら汁	aɾadʑiɾɯ
あら熱	aɾanetsɯ
あら熱を取る	aɾanetsɯotoɾɯ
あら皮	aɾakaɰᵝa
ありえんてぃー	aɾieɴteiː
ありがた味	aɾigatami
ありがた涙	aɾigatanamida
ありがた迷惑	aɾigatameiɰᵝakɯ
ありがと	aɾigato
ありがとうさん	aɾigatoɯsaɴ
ありがとさん	aɾigatosaɴ
ありき	aɾiki
ありし日	aɾiɕiçi
ありなさい	aɾinasai
ありはしない	aɾihaɕinai
ありゃしない	aɾjaɕinai
ありんす	aɾiɴsɯ
ありんすことば	aɾiɴsɯkotoba
あり付く	aɾitsɯkɯ
あり切れ	aɾigiɾe
あり合せ	aɾiaɰᵝase
あり合わせ	aɾiaɰᵝase
あり合わせる	aɾiaɰᵝaseɾɯ
あり地獄	aɾidʑigokɯ
あり得	aɾiɯ
あり得ない	aɾienai
あり得ないほど	aɾienaihodo
あり得ない程	aɾienaihodo
あり得べからざる	aɾiɯbekaɾazaɾɯ
あり得べき	aɾiɯbeki
あり得る	aɾieɾɯ
あり方	aɾikata
あり触れた	aɾiɸɯɾeta
あり金	aɾigane
あるある	aɾɯaɾɯ
あること無いこと	aɾɯkotonaikoto
あるとき払い	aɾɯtokibaɾai
あるに	aɾɯni
あるに任せる	aɾɯnimakaseɾɯ
あるに従う	aɾɯniɕitagaɯ
あるに違いない	aɾɯnitɕigainai
あるに違い無い	aɾɯnitɕigainai
あるらしい	aɾɯɾaɕii
ある事ない事	aɾɯkotonaikoto
ある人	aɾɯçito
ある意味	aɾɯimi
ある意味で	aɾɯimide
ある意味では	aɾɯimideha
ある日	aɾɯçi
ある時	aɾɯtoki
ある時払い	aɾɯtokibaɾai
ある程度	aɾɯteido
ある程度まで	aɾɯteidomade
ある種	aɾɯɕɯ
ある限り	aɾɯkagiɾi
あれあれ	aɾeaɾe
あれから	aɾekaɾa
あれだけ	aɾedake
あれっきり	aɾekːiɾi
あれで	aɾede
あれへん	aɾeheɴ
あれまあ	aɾemaa
あれよあれよ	aɾejoaɾejo
あれよあれよという内に	aɾejoaɾejotoiɯɯtɕini
あれよあれよという間に	aɾejoaɾejotoiɯmani
あれよあれよと見る間に	aɾejoaɾejotomiɾɯmani
あれよあれよと言う間に	aɾejoaɾejotoiɯmani
あれ以来	aɾeiɾai
あれ性	aɾeɕoɯ
あれ程	aɾehodo
あれ肌	aɾehada
あろうとなかろう	aɾoɯtonakaɾoɯ
あわせ鏡	aɰᵝasekagami
あわてん坊	aɰᵝateɴboɯ
あわや	aɰᵝaja
あわよくば	aɰᵝajokɯba
あわ立つ	aɰᵝadatsɯ
あんがと	aɴgato
あんがど	aɴgado
あんぐり	aɴgɯɾi
あんこ	aɴko
あんこ型	aɴkogata
あんこ形	aɴkogata
あんさん	aɴsaɴ
あんじょう	aɴdʑoɯ
あんす	aɴsɯ
あんだ	aɴda
あんだぎー	aɴdagiː
あんだけ	aɴdake
あんだんすー	aɴdaɴsɯː
あんだーぎー	aɴdaːgiː
あんちょこ	aɴtɕoko
あんな	aɴna
あんなあ	aɴnaa
あんなに	aɴnani
あんなー	aɴnaː
あんな風に	aɴnaɸɯɯni
あんね	aɴne
あんべし	aɴbeɕi
あんぽ柿	aɴpogaki
あんま	aɴma
あんまし	aɴmaɕi
あんま機	aɴmaki
あんよ	aɴjo
あん分	aɴbɯɴ
あん摩	aɴma
あん摩マッサージ指圧師	aɴmamasːaːdʑiɕiatsɯɕi
あん肝	aɴkimo
あん馬	aɴba
あーあ	aːa
あーた	aːta
あーん	aːɴ
あ段	adaɴ
あ然	azeɴ
い	i
いい	ii
いいか	iika
いいかい	iikai
いいかっこしい	iikakːoɕii
いいから	iikaɾa
いいからいいから	iikaɾaiikaɾa
いいぞ	iizo
いいとこ	iitoko
いいとこのお坊ちゃん	iitokonoobotɕːaɴ
いいとこの坊ちゃん	iitokonobotɕːaɴ
いいところ	iitokoɾo
いいとこ取り	iitokodoɾi
いいとも	iitomo
いいようにする	iijoɯnisɯɾɯ
いいカモ	iikamo
いい事	iikoto
いい交わす	iikaɰᵝasɯ
いい人	iiçito
いい仲	iinaka
いい加減	iikageɴ
いい加減にしなさい	iikageɴniɕinasai
いい加減にしろ	iikageɴniɕiɾo
いい加減にする	iikageɴnisɯɾɯ
いい勝負	iiɕoɯbɯ
いい天気	iiteɴki
いい子	iiko
いい子いい子	iikoiiko
いい子になる	iikoninaɾɯ
いい子ぶる	iikobɯɾɯ
いい年して	iitoɕiɕite
いい年をして	iitoɕioɕite
いい度胸	iidokjoɯ
いい後は悪い	iiatohaɰᵝaɾɯi
いい感じ	iikaɴdʑi
いい所のお坊ちゃん	iitokonoobotɕːaɴ
いい所の坊ちゃん	iitokonobotɕːaɴ
いい気	iiki
いい気になる	iikininaɾɯ
いい気味	iikimi
いい気持	iikimotɕi
いい気持ち	iikimotɕi
いい線	iiseɴ
いい線いってる	iiseɴitːeɾɯ
いい線を行く	iiseɴoikɯ
いい線行く	iiseɴikɯ
いい線行ってる	iiseɴitːeɾɯ
いい薬になる	iikɯsɯɾininaɾɯ
いい話	iihanaɕi
いい迷惑	iimeiɰᵝakɯ
いい頃	iikoɾo
いい顔	iikao
いい鴨	iikamo
いぇい	iei
いえごきぶり	iegokibɯɾi
いかいか	ikaika
いかがお過ごしですか	ikagaosɯgoɕidesɯka
いかさま師	ikasamaɕi
いかさま裁判	ikasamasaibaɴ
いかす	ikasɯ
いかなる場合でも	ikanaɾɯbaaidemo
いかり氷	ikaɾikooɾi
いかり肩	ikaɾigata
いかるちどり	ikaɾɯtɕidoɾi
いかれぽんち	ikaɾepoɴtɕi
いかれる	ikaɾeɾɯ
いか物	ikamono
いがいが	igaiga
いがみ合い	igamiai
いがみ合う	igamiaɯ
いきがけの駄賃	ikigakenodatɕiɴ
いきが良い	ikigajoi
いきり立つ	ikiɾitatsɯ
いき値	ikitɕi
いくつかの理由から	ikɯtsɯkanoɾijɯɯkaɾa
いくない	ikɯnai
いくら何でも	ikɯɾanaɴdemo
いく人	ikɯniɴ
いく日	ikɯnitɕi
いく日か	ikɯnitɕika
いく日もいく日も	ikɯnitɕimoikɯnitɕimo
いく種類	ikɯɕɯɾɯi
いく重	ikɯe
いけ	ike
いけしゃあしゃ	ikeɕaaɕa
いけしゃあしゃあ	ikeɕaaɕaa
いけず	ikezɯ
いけぞんざい	ikezoɴzai
いける口	ikeɾɯkɯtɕi
いけん	ikeɴ
いけ図図しい	ikezɯɯzɯɯɕii
いけ好かない	ikesɯkanai
いけ年	ikedoɕi
いけ面	ikemeɴ
いごっそう	igosːoɯ
いさぎ良い	isagijoi
いささ小川	isasaogaɰᵝa
いささ小笹	isasaozasa
いささ川	isasagaɰᵝa
いさら井	isaɾai
いさら小川	isaɾaogaɰᵝa
いさら川	isaɾagaɰᵝa
いざ	iza
いざこざ	izakoza
いざさらば	izasaɾaba
いざという時	izatoiɯtoki
いざとなったら	izatonatːaɾa
いざとなると	izatonaɾɯto
いざとなれば	izatonaɾeba
いざと言う時	izatoiɯtoki
いざなぎ景気	izanagikeiki
いざなみ景気	izanamikeiki
いざ知らず	izaɕiɾazɯ
いざ鎌倉	izakamakɯɾa
いしかり型護衛艦	iɕikaɾigatagoeikaɴ
いし海豚	iɕiiɾɯka
いじいじ	idʑiidʑi
いじくり回す	idʑikɯɾimaɰᵝasɯ
いじける	idʑikeɾɯ
いじましい	idʑimaɕii
いじめっ子	idʑimekːo
いじめられっ子	idʑimeɾaɾekːo
いじめ自殺	idʑimedʑisatsɯ
いじらしい	idʑiɾaɕii
いじり回す	idʑiɾimaɰᵝasɯ
いす取りゲーム	isɯtoɾigeːmɯ
いずれの場合においても	izɯɾenobaainioitemo
いずれ劣らぬ	izɯɾeotoɾanɯ
いずれ菖蒲か杜若	izɯɾeajamekakakitsɯbata
いそいそ	isoiso
いたこ	itako
いたし方	itaɕikata
いたずらっ子	itazɯɾakːo
いたずら坊主	itazɯɾaboɯzɯ
いたずら好き	itazɯɾazɯki
いたずら書き	itazɯɾagaki
いたずら盛り	itazɯɾazakaɾi
いたずら者	itazɯɾamono
いたずら電話	itazɯɾadeɴɰᵝa
いたせんぱら	itaseɴpaɾa
いただき物	itadakimono
いたちの道	itatɕinomitɕi
いたちの道切り	itatɕinomitɕikiɾi
いたみ悲しむ	itamikanaɕimɯ
いため飯	itamemeɕi
いた椎	itadʑii
いちい樫	itɕiigaɕi
いちこめ	itɕikome
いちさかき	itɕisakaki
いちびり	itɕibiɾi
いちびる	itɕibiɾɯ
いちゃいちゃ	itɕaitɕa
いちゃこら	itɕakoɾa
いちゃつく	itɕatsɯkɯ
いちゃもん	itɕamoɴ
いちゃもんを付ける	itɕamoɴotsɯkeɾɯ
いち押し	itɕioɕi
いち推し	itɕioɕi
いち早く	itɕihajakɯ
いっかくじゅう座	ikːakɯdʑɯɯza
いっけ	ikːe
いっせいの	isːeino
いっせーの	isːeːno
いっそ	isːo
いっその事	isːonokoto
いったい何なんですか	itːainaɴnaɴdesɯka
いったい全体	itːaizeɴtai
いってら	itːeɾa
いってらあ	itːeɾaa
いってらー	itːeɾaː
いって参ります	itːemaiɾimasɯ
いって来ます	itːekimasɯ
いって来る	itːekɯɾɯ
いっらしゃいませ	iɾaɕaimase
いつかそのうち	itsɯkasonoɯtɕi
いつになったら	itsɯninatːaɾa
いつの日にか	itsɯnoçinika
いつの時代にも	itsɯnodʑidainimo
いつの時代も	itsɯnodʑidaimo
いつの間にか	itsɯnomanika
いつの間にやら	itsɯnomanijaɾa
いつまで経っても	itsɯmadetatːemo
いつもいつも	itsɯmoitsɯmo
いつもの通りに	itsɯmonotooɾini
いつも通り	itsɯmodooɾi
いつ何どき	itsɯnaɴdoki
いつ何時	itsɯnaɴdoki
いつ頃	itsɯgoɾo
いて座	iteza
いで	ide
いでや	ideja
いで湯	idejɯ
いと	ito
いとこ半	itokohaɴ
いとこ婚	itokokoɴ
いとこ煮	itokoni
いとこ違い	itokotɕigai
いとし子	itoɕigo
いとど	itodo
いとはん	itohaɴ
いとも	itomo
いとも簡単に	itomokaɴtaɴni
いないいないばあ	inaiinaibaa
いなか味噌	inakamiso
いなか者	inakamono
いなくなった	inakɯnatːa
いなくなる	inakɯnaɾɯ
いぬ年	inɯdoɕi
いのころ草	inokoɾogɯsa
いのちの電話	inotɕinodeɴɰᵝa
いのちを捨てる	inotɕiosɯteɾɯ
いの一番	inoitɕibaɴ
いばらの道	ibaɾanomitɕi
いばら姫	ibaɾaçime
いひひ	içiçi
いびり出す	ibiɾidasɯ
いびる	ibiɾɯ
いぶし銀	ibɯɕigiɴ
いぶし鮭	ibɯɕizake
いぶり出す	ibɯɾidasɯ
いぶり漬け	ibɯɾizɯke
いぼた	ibota
いぼた蝋	ibotaɾoɯ
いぼ痔	ibodʑi
いま一つ	imaçitotsɯ
いま一歩	imaipːo
いみじくも	imidʑikɯmo
いめいめしい	imeimeɕii
いもち病	imotɕibjoɯ
いもづる式	imozɯɾɯɕiki
いもづる接続	imozɯɾɯsetsɯzokɯ
いも虫	imomɯɕi
いやが上に	ijagaɯeni
いやが上にも	ijagaɯenimo
いやだ	ijada
いやはや	ijahaja
いや増す	ijamasɯ
いよいよという時	ijoijotoiɯtoki
いよいよと言う時	ijoijotoiɯtoki
いようが	ijoɯga
いよやか	ijojaka
いらか段	iɾakadaɴ
いらしてください	iɾaɕitekɯdasai
いらしゃい	iɾaɕai
いらしゃいませ	iɾaɕaimase
いらっしゃい	iɾaɕːai
いらっしゃいませ	iɾaɕːaimase
いらっしゃってください	iɾaɕːatːekɯdasai
いらっしゃる	iɾaɕːaɾɯ
いられないくらい	iɾaɾenaikɯɾai
いら立たしい	iɾadataɕii
いら立ち	iɾadatɕi
いら立つ	iɾadatsɯ
いりがしら	iɾigaɕiɾa
いりちー	iɾitɕiː
いりやね	iɾijane
いり卵	iɾitamago
いり玉子	iɾitamago
いるか座	iɾɯkaza
いろは楓	iɾohakaede
いろは歌	iɾohaɯta
いろは歌留多	iɾohagaɾɯta
いろは順	iɾohadʑɯɴ
いろ鬼	iɾooni
いわく付き	iɰᵝakɯtsɯki
いわし雲	iɰᵝaɕigɯmo
いを用いる	iomotɕiiɾɯ
いんげん豆	iɴgeɴmame
いんじゃん	iɴdʑaɴ
いんちき	iɴtɕiki
いん石	iɴseki
い文字	imodʑi
い段	idaɴ
い辛っぽい	igaɾapːoi
う	ɯ
うぃる	ɯiɾɯ
ういっす	ɯisːɯ
ううむ	ɯɯmɯ
ううん	ɯɯɴ
うお座	ɯoza
うお氷に上る	ɯoçininoboɾɯ
うかうか	ɯkaɯka
うかがい知る	ɯkagaiɕiɾɯ
うかぬ顔	ɯkanɯkao
うかぬ顔をする	ɯkanɯkaoosɯɾɯ
うかび出る	ɯkabideɾɯ
うかれ歩く	ɯkaɾeaɾɯkɯ
うがい薬	ɯgaigɯsɯɾi
うがん	ɯgaɴ
うき目	ɯkime
うき身	ɯkimi
うぐいす張り	ɯgɯisɯbaɾi
うぐいす色	ɯgɯisɯiɾo
うぐいす菜	ɯgɯisɯna
うぐいす餅	ɯgɯisɯmotɕi
うけ取る	ɯketoɾɯ
うこん茶	ɯkoɴtɕa
うごろもち	ɯgoɾomotɕi
うさぎ小屋	ɯsagigoja
うさぎ座	ɯsagiza
うさぎ跳び	ɯsagitobi
うさを晴らしに	ɯsaohaɾaɕini
うさん臭い	ɯsaɴkɯsai
うさ晴らし	ɯsabaɾaɕi
うざい	ɯzai
うざがる	ɯzagaɾɯ
うざっこい	ɯzakːoi
うざったい	ɯzatːai
うしかい座	ɯɕikaiza
うしろ倒し	ɯɕiɾodaoɕi
うしろ手	ɯɕiɾode
うしろ暗い	ɯɕiɾogɯɾai
うじうじ	ɯdʑiɯdʑi
うじゃうじゃ	ɯdʑaɯdʑa
うじゃける	ɯdʑakeɾɯ
うじゃじゃける	ɯdʑadʑakeɾɯ
うすめ液	ɯsɯmeeki
うす口	ɯsɯkɯtɕi
うす塩	ɯsɯdʑio
うす緑	ɯsɯmidoɾi
うず	ɯzɯ
うずうず	ɯzɯɯzɯ
うずまき管	ɯzɯmakikaɴ
うずまき線	ɯzɯmakiseɴ
うずら豆	ɯzɯɾamame
うず巻き形ガスケット	ɯzɯmakigatagasɯketːo
うず巻く	ɯzɯmakɯ
うず巻形ガスケット	ɯzɯmakigatagasɯketːo
うず形式	ɯzɯkeiɕiki
うず高い	ɯzɯtakai
うず高く	ɯzɯtakakɯ
うぜえ	ɯzee
うそうそ	ɯsoɯso
うそつきは泥棒の始まり	ɯsotsɯkihadoɾoboɯnohadʑimaɾi
うそも方便	ɯsomohoɯbeɴ
うそやん	ɯsojaɴ
うそ寒い	ɯsosamɯi
うそ泣き	ɯsonaki
うそ臭い	ɯsokɯsai
うぞうぞ	ɯzoɯzo
うたい文句	ɯtaimoɴkɯ
うたせ湯	ɯtasejɯ
うたた寝	ɯtatane
うた沢	ɯtazaɰᵝa
うた沢節	ɯtazaɰᵝabɯɕi
うだうだ	ɯdaɯda
うだつが上がらない	ɯdatsɯgaagaɾanai
うだつの上がらない	ɯdatsɯnoagaɾanai
うちなあすば	ɯtɕinaasɯba
うちなんちゅう	ɯtɕinaɴtɕɯɯ
うちなーすば	ɯtɕinaːsɯba
うちの人	ɯtɕinoçito
うちの奴	ɯtɕinojatsɯ
うちの者	ɯtɕinomono
うちわやんま	ɯtɕiɰᵝajaɴma
うち抜く	ɯtɕinɯkɯ
うち捨てる	ɯtɕisɯteɾɯ
うち湯	ɯtɕijɯ
うち破る	ɯtɕijabɯɾɯ
うち立てる	ɯtɕitateɾɯ
うち続く	ɯtɕitsɯzɯkɯ
うち解けにくい	ɯtɕitokenikɯi
うち解ける	ɯtɕitokeɾɯ
うち連れる	ɯtɕitsɯɾeɾɯ
うっかり	ɯkːaɾi
うっかりミス	ɯkːaɾimisɯ
うっそり	ɯsːoɾi
うって変わる	ɯtːekaɰᵝaɾɯ
うっとい	ɯtːoi
うっとり	ɯtːoɾi
うっとりさせる	ɯtːoɾisaseɾɯ
うっとりする	ɯtːoɾisɯɾɯ
うっとりとする	ɯtːoɾitosɯɾɯ
うっぷ	ɯpːɯ
うっ滞	ɯtːai
うっ血	ɯkːetsɯ
うっ血性心不全	ɯkːetsɯseiɕiɴɸɯzeɴ
うつけ者	ɯtsɯkemono
うつつを抜かす	ɯtsɯtsɯonɯkasɯ
うつぼ	ɯtsɯbo
うつらうつら	ɯtsɯɾaɯtsɯɾa
うつろな目	ɯtsɯɾoname
うつろな表情	ɯtsɯɾonaçjoɯdʑoɯ
うつ伏す	ɯtsɯbɯsɯ
うつ伏せ	ɯtsɯbɯse
