abbabeiggi	æpːaːbatʃa
draga	trɛjːa
dreingir	trontʃɛl
dreki	trɛstʃˈa
drekka	trˈɛkːa
drepa	trʲɛjpɑ
dreygur	ʒˈeɪɚ
drongur	tʃɒŋkɾ
dropi	tropˈe
dríta	trɔjta
dríva	troiva
drógu	bɾau̯o
drúpa	truːpa
duga	duːa
dugandi	tʊuvantɪ
dugir	tiue
dugir tú eingilskt?	doːl doːnʃʃez
dugir tú enskt?	tuː duː aŋkst
dugir tú føroyskt?	ðə wɜːt ˈaʊɚ fˈɚtɪst
dunna	tʊnla
dunnur	tˈʊnløː
duruta	tʊɫtɑ
dvølja	dvalja
dylja	tɛlɪa
dynja	dˌeːnjˈa
dyr	dɪ
dámar	tɑːmɛ
dímun	tojmum
døgg nónsgjógv	tak noːns tʃef
døgum	tɔːfon
døtur	dˈʉftˈeːr
dýr	tuːiːʃ
eb streymur	jˈɛp ˈɛst ɛɪmˈɛɹ
eb[slash]streymur	epestʃtreimor
eftir	axtɯ̞
eftirnavn	ˈestenˈaːn
eftirnøvn	ˈæftɚnˌaːn
eg	ɛɾ
eg dugi	e duɐ
eg dugi ikki føroyskt	hiːɾ dˈoʊi ˈɛkʃi fˈɚst
eg dugi spanskt	jˈɛ do ˈɔst fˈaŋst
eg eiti	eˈje ɑjˈtˈɯ
eg eiti ...	e ɔitˈe
eg elski teg	hʲi ʔætlʃ ʃitˈjɑ
eg eri	e eʒe
eg eri føroyingur.	eː eːr eːfˈøːr ˈrɪŋkəl
eg eri heima og vitji familjuna á jólum.	jæ̀ːl hajmɑ ɔːviːdʒ famɪljɛ nɑjɛvlum
eg eri úr ...	e ælˈvˈʁ
eg fari	efaɾ
eg komi úr ...	ɛːkɔː mjɔɾ
eg lesi føroyskt á fróðskaparsetrinum.	ɛlɛ sˈøː fˈøːrdəst ˈɑːv sɛvˈɛskapːˈar ʃˈɛtslɔg
eg sigi nei	se iːɾnɔj
eg skilji ikki	a ʃe ljˈeʃtʃa
eg skilji ikki.	e̞ʃiːl jeʃe
eg sá ein veðr í køkinum.	esajn beks køʃtʃ nõŋ
eg tosi	et̪e
eg ynski tær alt tað besta á lívsleiðini!	e intʃi dɛr ɑt tɑpɛs dɑluvsɫɑ jɛnɯ
eggja	edʒa
egil á bø	ˈe ilɒˈpˈi
egna	ɛknɛ
egyptaland	ɛgɪtˈtɑlɑn
ein lítil logi sást í vindeyganum.	o lɵtɪ lɔiʃ hɔstɛ vɛntanɔn
einar hansen	ɑj næɾhɑn sæn
eingilskt	ntʃɪlst
einki	atʃːa
einki at takka	aːntʃaːtːaːɣka
eintal	aɪntˈɛl
eisini	aːjsnɛ
eita	ajtda
eiti	aɪtɔ
eitt	ˈaɪt
eitt heitt feitt nýbakað byggbreyð	ˈaɪvd haɪd fˈaɪθt ðə nˈoʊ bˈægəm ˈpɪkfɹɪ
eitt sindur av	ɔtʃɨntɾau
eitur	ajitˈdɯɾ
eiturkoppur	ˈaɪtˈɪkˈɔpə
eivør	aɪvɚ
eivør pálsdóttir	ˈɛɹvə pˈɑːks ðə tˈeːmɑː
eið	oj
eiði	ajɛ
eiðis	ajˈis
eiðiskollur	ajˈzqɒtˈlæɾ
eiðisvatn	ajɛʃwa
elduvík	ltˈvˈoːɪd
elgar	ˈɛlːɪkˌar
elgur	ˈɛnikɔːl
elin	jˈɛldin
ella	tʃiːzibaː
ellivu	ætlɛvɔ
elska	əʎska
enda	ɛnta
enni	m
enskt	tɛŋkst
entur	tøɾ
epli	etʃtɛ
er	ˈɪz
eri	ɛrˈe
erling dávidsson jacobsen	æyðlʲiŋd̥ɑbʲitˑsʲɑn jæhkæb̥sæn
ert	æʃt
ert tú studentur ella lærari?	æʃtʃus sɵltajɑn tɯrʁɑtlǎ ɫæ ɑrɑrɑ
eskja	ɛɕtɕa
estland	ɛstɫɑn̪t̪
eta	fta
etiopia	estisopea
evangeliið	evanˈgəlɪə
evangelium	evanɣ̞eʝum
evnafrøði	ˈɛvnəfɹəiɚ
eyga	ɛjːa
eygnahár	kna
eygnalok	eknaˈlɔk
eyknevni	aknøwnø
eyrur	ajʒoɾ
eystara mjáavatn	ɛsta ɾam joɑvɑ
eystur	est
eysturoy	æstæɾɒːjiː
eysturríki	astroʒːa
eyðbjørt	elptjɔz
eyðvør	həˈɪvɚ
fagur	fau̯ə
falla	fatˈla
falskur	falskˈor
familja	famɪlˈlɪa
fara	fˈɛrʒa
farnir	fˈɑɹnɚ
farvæl	fæˈræl
fastir	fastˈɛ
favnur	tɑːvˈɛ
faðir	fajˈe
fc suðuroy	æfse sˈuːrɑj
februar	fˈɛpɹˌaɪɚ
felag	fˈɾˈjˈɛlːa
fella	fattla
fermenningur	saɾjmənˈeŋkol
ferð	fˈɛʃ
festa	pɛsta
fet	fet
fidji	fitʃi
fidjioyggjar	siːtʃˈɪˈotʃar
filipsoyggjar	fʲilɛpsɔttʃɑj
fimm	fˈɪm
fimtan	føntˀɑˀn
fingur	fˈɪnkɜ
finna	fina
finnbogi	senpoɛ
finnland	fˈɛnlˌant
finskt	fˈɛŋst
firvaldur	feɾvɑlduɾ
fiska	fɨska
fiskur	fˈɪskə
fittligur	ftˈɛljˈɚ
fittur	fɪstɚ
fiðrildi	fiːrɪltˈɑ
fjall	fjatˈl
fjallavatn	fiatlɑkbɑ
fjalls	fals
fjarri	fjaʂɚ˧˥
fjarur	fjaʐu
fjóna	fjˈaʊnˈa
fjøra	fiœʒa
fjøður	fivur
fjúrtan	fˈyːrstən
flakin kom flótandi at landi.	flatʃɪn konflɔtɑt ɪ ætlɑntɑ
fleiri	slˈɔødə
fleirtal	flaːjˈɾdæl
flekja	flˈɛtʃˈa
fleygingarstong	flˈaɪviːnˌtgˌaʃtˈoːvˈk
fljóta	flauta
fljúga	flua
flogbóltur	flˈoːpˈɛstɾˈ
flogfar	floːfˈe
floghavn	flˈohˈaʊ
floghavnir	flˈohˈɑlnɚ
flogmús	flˈomɨʊʒ
flogvøllur	floːvetle
flokkur	flʊkk
floyta	flajtda
flykra	flˈiːkɾˌa
flysa	lisa
flyta	flitˈa
flóki	fou̯tʃe
flóta	flˈoːtˈa
flótandi	flautɑntɯ̞
flóð og fjøra	flˈoʊ ɚ fjˈʊɹdˈæm
fløska	flɑʃka
flúgva	flˈɛkvɑ
flúgvari	flægvˈˈarˌe
fornavn	fɑːnˈaː
fornøvn	fɔːnˈaʊn
forstanda	tsɔʃtaːntɑ
frakki	fratʃə
franskt	frˈaŋs
fremja	fɾˈɛmˈiːn
fress	frˈɛs
friður	fliːr
fronskum	frˈaːtstʃˈuː
froskar	frˈoːskˈa
froskur	froskɔ
froðba	fro˩˥ːopa
frumevni	fruːmɛvna
frá	srɔa
frálíkur	fɾɒlɒkˈɒr
fríggjadagur	fɾutʃada
fríteinkjari	ɾuhitɑːndʒɑːrɑ
fróðar	flɑvɑj
fróði benjaminsen	fraua pãnʝamɨtsɛn
fróðskaparsetrið	fɾoskapasɛtʃa
fróðskaparsetur	fɾeuʃkˌɐpɐʃˈɛtɹʊ
frøkna	rʉknar
fuglafirði	foklaviːrɛ
fuglafjørður	foklasjoɾoɾ
fuglar	fukɫɑɾ
fugloy	fuklaj
fuglur	pˈʊklɚ
funningsfjørður	sɔnˈnuːnfɪrˈ
funningur	fɔnliŋgɔr
fygldi	pʲɪkɪstʲɪ
fyl	fˈiːl
fylgdi	køzˈtˤɑː
fylgja	filiːtʃa
fáa	fouːa
fámjin	fomjɛn
fílabeinsstrondin	fwˈilabˈaɪnʃtˈɾontən
fílar	fuːiːlaj
fílur	fuilɔj
fótbóltur	fəltpˈɑstɚ
fótur	fˈɔltɚ
føra	flaʒa
føroya	halja
føroyar	fʊlˈjɛ
føroyingar	søːlɛnˈgːə
føroyingur	sʌʁˈinkɔdʒ
føroyskt	fˈɚst
føtur	fˈøːtˌe
fúka	fewka
fúlur	fɛu̯nor
fýra	fɹˈida
gaffil	kaffɛ
gaflar	kafˈɫɑr
gala	kɑlɑ
gamal	ke˩˥ːmaːl
gambia	tampja
ganga	kɛnka
gangur	kẽːnkɔz
geit	kɔjd̪
geitir	kai̯tsyː
genta	tʃatˈta
gentunavn	dʒetːənˈɔŋ
gentur	dʒʌsttor
ger so væl	tʃaːs pʰal
gera	tʃerʒa
gert	tʃʰt
gestir	dʒˈɛstɚ
gestur	jˈʌstɚ
geva	dʒeva
geymi	tʃa
gilli rólantsson	dʒetleɾe ɑllahtsuɬ
giraffar	kˈaɪlˈafˈfˈ
giraffur	kerafa
girðing	tʃiːrɪŋ
girðingar	tʃiːr˥˧ŋkai˥˥
gittar	gɪtˈaɹ
gjógv	ʃɛjk
gjósa	dʒeusa
glaður	klaɾw
gleðilig jól	kliːtɪkaw
gluggi	lutʃa
glyvrar	jˈɛlˈʉrˈar
gonga	koŋˈgaːn
gott	kˈɔt
gott kvøld	kɒtkfˈlt
grannar	grandmər
granni	grand
grasker	ɣ̞ɾaʃˈeʃ
grikkaland	kriːxkaːɛlnaːnt
grulva	kruɫva
grund	kɾlm
grundtal	kɾˈumtˈaː
grá	gɾɑː
grátt	grˈaːt
gráum	gravon
gráur	dʒɑɫˈɑvəlˈɛɹ
grímur á midalnesi	luj muɾʔami dɛlˈnes
grót	kɾˈut
gróthúsvatn	kɾavtɔsva
gróti	krautɛ
grøn	køøøn
grønt	gɾat
grønur	brønnø
grýti	gruitɛ
gul	kʊl
gullringur	kˈʊdʃɪŋˌɛ
gult	kust
gulur	kˈoʊldɚ
gumpinum	kɔnpɛnˈɔm
gunnar nielsen	kuˈnˈdɯɾˈni sɛn
guðrið	kuɾi
gá	a
gáa	kaua
gás	gˈuˈɑs
gásadalur	kɔsɑɫtælˈɔɾ
gæs	kˈas
gólv	kãːn
gómi	kɔvmɛ
góð	kau
góða eydnu	kaːretno
góða ferð	ke a feɾ
góða nátt	kˈaoːn ˈɔxt
góðan bata	sə lɛ̃ pˈaːtˈa
góðan dagin	qɑːdʒɑːj æ̹ːl
góðan morgun	kʰɛn mɑɾkʰoːn
góðan nátt	keˈuan nˈɔt
góðlyntur	gˈoʊldəntˈɚ
gøta	tʃʏ̞d
gøtudanskt	køːstlˈtɑːnˈgˈst
gøtugjógv	kastˈodʒˈak
ha	hɑə
ha?	a
hagar	hˈeːɪdˈ
halanum	hejlˈlˈɑnˈn
halda	halta
haldórsvík	altɔɾsfɔɾk
hallur hansson	hˈˈɑtlˈɜ hˈansˈuːn
halló	ləʊ
handarbak	hˌanˌtˈaɪlbɜg
handbóltur	χæmˈpˈlɪkkɛ
handski	antʃtɕe
hanga	heŋka
hann dugir eingilskt	antuːr antʃlst
hann segði tað í spølni.	hans sˈɛjɛ dˈɛʉ spˈɛlnə
hann tornar	pɒn tɒtnɒɾ
hans	hãnˈs
hara	aɻ˥˩
haraldssund	hæɾˈɑlsˈun
harmi	arɯmɯ
harur	haˈɾoʊl
hatta er mín telda!	hatːə muːjˈn tˤːaltˤa
hattarvík	afˈtˈɑɹbˈɔl
hattur	astːoːl
hav	hæl
hav ein góðan dag	hˈæv ə gˈoʊl ˈɔn ðeəɹ
hava	hevɑ
havn	aɔ
havnar	hau̯nɑ
havnar bóltfelag	hau̯nær bœstfɛlla
havnarvágur	hau̯nɑɾmɑːl
haðani	hɛjjanɨ
hb	apɛ
hb tórshavn	hˈˈæpəte̞ɹˈaʃɒŋ
hebraiskt	dˈopˈɾˈaɪnˈɛ
hebridurnar	hˈɛbɹˈytərnˈɛɾ
heilivágur	ajlɨbˈɑːvɚ
heilsa	halsa
heim	hɒjm
heimasíða	aɪˈmɑːsʰuːjɑhˈ
heimsins	həʊpsən
heingja	antʃa
heiða	ajˀː
heiðagøta	ajagrata
heiðrik á heygum	pajrɪkːaj˧ljoʊ˧˧
heljareyga	hɑlɪdɑælˈjæ
hendriksson	entrɛksɔn
heri joensen	hˈɛɹ jˈu wˈɑnsˌaɪn
herja	helle
herróp	otʃa
hestar	hˈɛstːar
hestur	həstɚ
hetland	hæstlˈant
hetta	hæktːa
hevði tú vinarliga kunna skriva tað?	ejtu bi jenaja la nas̺kɾi bat̪a
hey	hˈeɪ
heyst	hɛst
higar	hˈɛjjæːr
himin	hjˈɛmˈun
hitta	pita
hiðani	vijane
hjalgrím elttør	tʃaːl qɾuːm ɛstɪːr
hjallur	tʃɑtlɛɾ
hjartaliga til lukku við føðingardegnum!	jaʃ taːliːəd lˈʊk ˈøːføən kˈɑɾdˌeːnˌuːnt
hjartvar	jˈɑːstvˈaɪ
hjá	tʃa
hjálp	io
hjáorð	tʃaːɔr
hjørtir	nʲatʂɛ
hjørtur	jaʃtɔv
hjúnafelagi	tʃunafelaja
hon er vøkur sum ein rósa.	hoŋɛnɔvɛ kɔɾsʊ mɔŋɔŋɛlsɑ
hond	hont
hosa	pɔsa
hosur	awsɛ
hoyra	opavʲerɨãː
hoyri	χɒːjˈɾe
hoyvík	oi̯vɨk
hugleiðingar	oːlaːænˈgˈar
hugna tær!	hˈun ˈnɑtˈar
hugnið tykkum!	huːnˈðə jˈɛk ˈgɪlt
hugsa	uxsa
hugur	hˈɔɹ
huldufólk	hˈutˈɪfˈɔʃk
hunangur	oːlnɒŋgɾ
hundar	χumtaːr
hundrað	pˈʊntra
hundur	tʊɫ
hundurin og kettan kundu ikki vera í sama rúmi.	χʊ̞ntrɪ̞n ʊ̞ tɕæktaŋ kʊ̞nt ɪ̞k tʃʰiːf e̝ɾnʲ iː sæm ær ɾɵmɯ̞
hurð	pou̯
hvalba	kvalpa
hvalvík	falaboik
hvannasund	kvˈanasˈɔnt
hvar er vesið?	kvˈɛl æl vˈæsa
hvar ert tú?	kværdˈɛʃtu
hvat	bjɛɾ
hvat gert tú?	kvɛltseʃtu
hvat kostar hetta?	kvˈɛrt kˈɔstə hˈɛxtə
hvat merkir hatta?	kvamɛʃtʃɪhaːtːa
hvaðan ert tú?	tˈvˈeːjɐn ɛʃtˈoː
hvaðan eru tygum?	kʰɛːˀan eːrɛtɪːn
hvaðani	kviˈana
hvaðani kemur tú?	kvijˈan tʃɛrmɛdɔ
hvaðani koma tygum?	fejˈan komˈɒt iˈɦm
hvitur	kojte
hvussu	kosto
hvussu eitur tú?	fɔː stʃɔːj tˈɔɹtˈɔ
hvussu gongur tað?	ko sɔ kɔŋ kɔɾˈɛtˈa
hvussu gongur?	kvo̞sʃa konkur
hvussu nógv kostar hettar her?	kulsɔnɑjkw kostɑɾʰitɑɾ
hvít	kɾuːd
hvítanes	kwɪ̞tɑŋɪ̞s
hvítarussland	kfujatˈarʊzlant
hvítt	kvˈɔrt
hvítum	kuiton
hvønn	kvan
hvønnfall	kvˈɛntfˈalʃ
hvørfall	fɚˈɛst
hvørjum	kariːoːn
hvørjumfall	kɚˈɛɬɪz
hvørkikyn	klasiktʃˈɛn
hvørsfall	kvˈaʃfˈaɾt
hvørvisjón	kvɒlfiɕɒn
hvøssum	pˈɛstən
hylur	morto
hálsur	ɔːlsɔɹ
hálvhosa	hɒlwɒsɒ
hálvhosur	hˈɔləvosˈe
hálvoyggj	aɫwɒtʃ
hár	aɻ˥˩
hælur	hˈɛlɚ
hósdagur	hˈɛzstˈɔɹt
hósvík	asswˈik
høg	hɯ̞
høgni madsen	hˈɛknə mˈasən
høgt	hˈækt
høgur	həˈluːɚ
høka	høkːɑ
høna	hˈøːrna
hønur	høːˈnøː
hørður	hœlˈtyˀ
høvd	hˈøt
húnaland	hˈʉnallant
hús	hjˈuz
húsavík	essaβ̞ol
húski	tsustsvɨ
húsum	fʏlsʏl
hýsa	uʲisɑ
hýski	pʏstʃe
ikki	ɪçtʃɛ
illsintur	ilsɛntœr
india	entˈe
ingi højsted	jntsat pæe to æstæd
ingimar	ɛndʒima
innan glyvur	ˈɪn ˈnɒn glˈeɪvɚ
inniskógvar	ẽnnãskekva
inniskógvur	ẽneskakuɾ
irak	jˈɛdʒax
italia	iːtˈɑliɑ
italskt	itˈaːls
ið	uʝ
ja	jˈæ
ja, eitt lítið sindur	jaː axt lʏtɛ zɪntɪː
jakki	jˈatʃ
januar	jɑnɯmɑɾ
janus	ʝˈanʊs
japan	jˈaztpˈan
japanskt	jˈɑːpˈan
jarn	jˈatən
jarðfrøði	jˈɑɹfmɾˈeːjɑ
jarðir	gærdæɾ
javnt	ja
javnur	fˈaːlnˈɔɹ
jemen	jɛman
jordan	ɛɾˈtɑːm
juli	jˈuɫli
juni	juːni
jákup	jako
jákup mikkelsen	jˈɑːk ˈɔk mˈɪkəlsən
jákup á borg	jɒːɾhk bɑːrb
jóan símun edmundsson	javan sɔjmun i etmusu
jóannes	javanɯz
jógvan	jɛkvɑn
jólamaðurin	jɒɒgɒmˈɒv
jón larsen	jɑuʊ̞nɫʊ̞ʂʊ̞n
jón rói jacobsen	jæwlɛu bu jähqɑp ʃɑtɑ
jónas þór næs	jæʊ̞nɒs tˈɒb nˈɛs
jórun høgnesen	jæwrun hʊ̞knʲɪʂæn
jøkul	jˈɑkəl
jørð	jˈɛ
jørðin	jɔʒən
júgrafetil	juɾafiːtːɛl
júgur	eɣlæ
kaj leo í bartalsstovu	kai lˈiʒʊ ɛ pˌɐʃtɐʃtˈovʊ
kaldbaksbotnur	kalpaxˈspeltnˈu
kalla	katlæ
kallar	qɑtˈlɑɾ
kallkyn	kalˈtʃiːn
kallur	qɑtlɯ
kalsoy	kalsoj
kamar	kämmaːr
kamelar	kɐmˈeɪlˌeɪ
kamelur	kamɛlʊɾˈ
kanada	kɑnada
kanarjufuglur	kannaˈɾˈjˈfˈoˈplˌɯr
kanin	kanin
kann eg seta meg her?	kˈan nˈi sˈɛta mˈeː hˈɛr
kann eg?	kannɛ
kanna	kɐmna
kanska	kanzka
kapprógving	sɛfˈlˈɛnk
kappróðrarbátur	kapɾɛvɑpɑtɔr
kattur	katˈar
kavi	kalˈvˈe
kekkia	tʃak
kelinavn	tʃɛ̀i̯lnɔ̀n
kellingin	tʃatlingyn
kenja	kandja
kenna	tʃɛnːa
kettur	tʃaske
keypmaður	tʃakmæɾ
kina	kina
kinesiskt	kinˈɛsist
kirkja	tʃɪʃtʃa
kirkjubøur	tʃastʃɛpɛvɔr
kirkjur	tɕɛʂtʂɛ
kirkjuvatn	tʃˈɛztʃˈuːbˈɑː
kirkjuvágur	tʃəztʃuːaːbɔ
kirsiber	tɕʰɤ˥˩ʂɚ˧˥pjɑʊ˥˩l
kjallari	tʃɑtˈɫɑɾɯ
kjálkabein	tʃˈɔfzgaɾbˌeɪnd
kjálki	tʃɒːstʃɒː
kjóli	tʃaːvla
klakkur	plakˈɛ
klaksvík	klakˀsbɔx
klettur	kləttˈˈɔr
klokka	kloka
klára	kɫɑɫˈɑtˈɕa
klædnaskáp	klˈɑtnˈɑsgˈa
klæmint	klˈɛm
klæði	klaaːjə
klæðir	klˈaɪɚ
klúgva	klikva
knekkbreyð	knaktrɛj
knæ	nˈa
knæsbót	mˈɑspi
knívar	knuɟˈvar
knívur	knuɪvɚ
knúgvi	knˈɪkvə
knýta	knuita
koddi	qɒtˈtə
kollafjarð	tˈlojfjɑɾ
kollafjørður	kodloʊjˈøɾø
koltur	kɒstˈɵɾ
koma	kvamma
kommuna	komuna
kona	ko˩˥ːn˩˩˦a˥˩
kongshavn	koŋsaːʊ̃
konufólk	koːnəfˈl
konur	kɔɫnɛr
kopar	koːfˈpˈar
koppar	kɔʁbɑɫ
koppur	kɑjˈgbˈuɾ
kosovo	kɔsovɔ
kosta rika	kɔstaˈɾika
koyrikort	kɒˈiɾˈkɒʃˈ
krakkur	krakɔ
krambúð	krampɨw
kravgonga	kʃau̯vkɔːnka
krevja	kriːja
kristian	kɾistʃa
kroatia	sɔˀːhtˈjɑː
kroppar	ʂu˥˩wa˥˥
kropparnir	ko˩˥ːxbo˥˩ːlne˥
kroppur	kraːfˈpːuːr
kráka	ɾɑːskɑ
kríggj	kʃuʃ
króna	trˈøːnˌa
krúss	kʁiːs
kuba	kupo
kunna	kunla
kunoy	kuɫnoj
kunoyarnakkur	kuːnnˈɪɑnɑkkɛr
kveikja	kvaʲtɕa
kvennkyn	katʃa
kvinna	kvɪnˈna
kvinnur	kvˈinˈðˈɾ
kvæði	dɛaːjɛ
kvívík	kvjɫuk
kvørn	kvatni
kvøða	kvua
kyn	tʃɛjn
kálvar	kolvˈaːr
kálvur	kæˈɫvoː
kári	aɻ˥˩
kátur	kɔtɔr
kí klaksvík	kaːɾ oːj kˈlæks bɔːn
kópar	kˈoːpɜ
kópur	kou˥˩pɔ˥˥
køku	kɛːkɔ
køkur	kˈøːkəl
køttur	kˈɑstɚ
kúgv	kikːf
kúvingafjall	kɛwːinkaːfiʔaːb
kýpros	kuɪpros
kýr	kojɾ
laga	lˈeɪɑ
lagt	la
lak	lˈɛɹk
lambareiði	lɑppaˈrɑɟɯ
lambi	lˈampˈ
lampa	lapa
land	nɑmp
landafrøði	lantˈɑfrˈøːja
landnyrðingur	landlæŋkøʁ
landsliðsspælari	lˈɑtslispˈɛlətɚ
landsstýri	latsʲtɵdɵ
landsynningur	lˈɑnsɚnˈæŋkə
langabbi	læŋkapːɛ
langomma	lɑnkɑmɑ
langur	lˈɛŋkˌu
lat meg fáa frið!	lˈaxt mˈɛɹ fɔɹ fɹˈi
lata	lətˀa
lea	lɪə
legukalvi	lˈɛvvˈɑːrkˈalʋə
legukalvi er sera stórur kalvi, sum verður hildin at liggja í sama stað.	lɛvogɛl vˈiːr sˈeːrə stˈœr kallwˈ sˈɔm vˌɔːlə hˈɪlna lˈɪtʃə sˈɛmast ˈɛɐ
leika	lajka
leikari	lajˈkata
leikur	likˈoɾ
leingja	lontʃa
leirvík	lɔrʲwɪk
leitisvatn	lˈaɪtˈɪzvˈɑstənt
leivur	laivɾ
lekifingur	lˈɛstdˈifɪŋkˌɛɹ
lesa	lessa
lesandi	leasante
lesi	lesse
