a'tlatl	atˈlats
atlatl	tɑːtˈlɑːt
atlauhtli	ʔaːtlaʔːhla
atlauthli	ɑsˈaːwsi
atoyatempan	at̪oɾjat̪ẽmpan
auh	au
auikyani	aowikani
auilnemiliztli	aɣujɛnɛmɪlɪʃtli
axacah	aʃaka
axcan	aʃkɐn
axcanah	aʃkana
axcanin	aʃkɑnʎeŋ
axeltoc	aʃɛltok
axhuallaz	aswalas
axhueli	tʃvˈli
axicah	aʃika
axnicamati	aːʃniːkomətj
axniccuamachilia	aʃnikwɑmɑtʃiliɑ
axnicmati	aʃnikmati
axnicpiya	aʃnikpia
axnihuelqui	asnielki
axnimayanqui	aːsnimɑjɑŋki
axno	aʃnɑ
axolotl	æʃoːˈlɑːt
axoncah	asonka
axque	aske
axquemman	æʃkeˈmæn
axqueniuhqui	ɑːskɛnɪçkɛ
axquiamati	aːʃkeːɑːmɑːt̪t̪iː
axquipiya	askipˈia
axticamati	aːst̪ekamate
axtlen	æʃtlæ
axyehyectzin	aːʃjɛcjɛktsɛn
ayacmo	akmo
ayahualican	ajauɦljkaːn
ayamo	aiamɔ
ayamó	aʝæma
ayequimatiliztli	akipmatglisti
ayic	ajik
ayicana	ajɣykana
ayicanah	ajjɪqanɑ
ayoc	aio
ayoccana	ajɯ̞w̜kɑnɯ̞
ayocmo	aiobmo
ayocquemman	ajokkẽman
ayoctichocazceh	aioktitʃokasẽ
ayohtli	ˈajˈʊtli
ayotl	qɑjˈ
ayotochtli	ajototʃtʃlʲi
azcaputzalco	askaputsalko
azo	ɑnˈzɑm
aztah	asta
aztlan	astʃan
aztlān	aztlɛm
aztēcah	azteka
azultic	asiʈk
ca	a
cacahuacuahuitl	takawakoawik
cacahuatetl	kakawatak
cacahuatl	kakavat
cacihcamati	kasikamati
cactli	kakli
cafentic	afentik
cafentiqueh	alasentike
cafentzin	afenˈtsin
cahcayahua	kakaʝava
cahce	kas̺ɛ
cahtli	kart̪li
cahtzontoca	kahtsɔntɔka
cahtzotl	kahtsot
cahualli	awali
cahuayoh	kawajo
cahuāyoh	kawajˈo
calli	ali
calnechca	kalnetʃka
calpoxco	kalpoʃko
calpulli	kalpo˩˥ːlj
caltenno	kalteno
caltlamachtihquetl	kæltlɛmætstikkɛtl
caltlapohtoc	kald̪epoθt̪o
camacayahque	kamakajake
camactli	kəmˈaktɪl
camanalli	kammanaːli
camanaloa	kamẽnaloa
camanaloanih	kamanaloæne
camanalohquetl	kɑmɛnɑlːɑhkɛtl
camohpaltic	kɐmɐ̃kkjpalsjɪ
camohtli	kæeːmːo̙tli
campeca	kampeka
camxtoli	kamaʃto˩˥ːli
canahya	kaˈnaxia
canapa	kaɾatɯ
canin	kanin
canque	kaːnke
capoztic	kapɛoˈsɪt
caqui	kaki
caquiliztli	kakjuslistli
caquiztli	kakistli
caxitl	kɑːʃik
caxtiltlahtolli	kastʰiːlpɺæztʰoli
caxtolli	kastoli
caxtollin	kaʃtɔlin
caxtolliya	kaʃtoʃlija
ce	se
cecec	sɛsɛ
cehcen	sɛsen
cehuia	seua
celia	selia
celti	selti
cemilhuitl	semiːluːiːt
cemmaca	semaka
cempoalli	sempoali
cempohualli	sempoˈalɪ
cencah	senka
cencahua	senkava
cencua	senkwa
centehua	sentewa
centeotl	senteot
centzontli	sentsontli
centzontototl	sensondotoko
cenyohual	senˈnˈuaːl
cepan	zɛpɛn
cepayahuitl	sepaiaɣ̞uit̪
cequin	sekondʒi
cetl	sˈɛtəl
cetzin	sɛtsɪn
ceuitl	seβ̞it̪ell
ceyoc	sajɯ
ceyococ	sejoˈpkoˈk
chalchihuitlicue	tʃaːltʃiwetlikwe
chalchiuhtlicue	tʃaletʃotlikue
chan	sen
chantli	tʃæntlʲi
chantzinco	tʃantsinko
chapalli	tʃapale
chapolin	tʃapolim
chapultepec	tʃapultɛpɛk
chia	tʃa
chian	tʃi̠˥an˨˩
chiapopohtli	tʃijapɔptɨ
chiauikayotl	si˩˥ja˧˧wikajot˨
chiauitli	siːjaˈwiːtlj
chicahuac	tʃɛkawak
chicahualiztli	tʃikawalistli
chichi	tʃitʃɪ
chichic	tʃitʃik
chichiltic	tʃltik˦
chichimeh	tʃitʃime
chichiquilli	tʃikili
chicnahui	sipnawi
chicoace	tʃiklase
chicome	tʃikome
chicome xitomatl	si komi ʃito matl
chicomexochitl	tʃikɔmɛʃotʃik
chicomoztoc	tʃikːɑmɔstak
chicontepec	sikont̪epek
chicuace	tʃikwase
chicueyi	tʃikwe
chidotl	tʃiðo
chihua	si˥˧wa˧˧
chihuacoatl	tɕʰiuaʔɨa˥˧tsi˥˧
chilli	tʃili
chiltic	tʃiːltikː
chinanco	en
chipahua	tʃipɑwɑ
chipahuac	tʃiːpˈawˈɔk
chipahuaccihuah	tʃipawapziwa
chipahuaccihuatl	tʃˈɛpˈauəkəsˈiwˈa
chiuhcahua	tʃiɔkɔwɑ
choca	tɛ̀l˗kaː
chocacque	tʃo̞kaʃke
chocacqui	sɔkɐhki
chocah	siokˈa
chocatihuallauh	tʃoˈkatigwˈalˈla
chocatiyohui	tʃɔkɑtiiwe
chocolatic	ʃɔkɔlatik
choka	tʃoka
choloa	ɒllɒɾ
choloh	tʃaːllɑ
chīchīlli	tʃitʃli
chīchīltic tepoztli	tʃiː tʃiɾjɔː pɔstɔri
chīchīmān	tɕit˦man˥˩
chīchīmēcah	tʃitʃmeka
cihtli	sɑjflɪ
cihuah	sɪwɑ
cihualli	sigualle
cihuameh	siuame
cihuapil	siwapil
cihuapilli	siwapili
cihuapilmeh	siuapilme
cihuateotl	sʲivatɛot
cihuatl	siwˈɑt
cihuatlampa	siw˧˧t˥lɑmpa˥˩
cintli	sintli
ciohui	sjɛʊ˧˥w˧iː˧
ciohuih	sjɛʊˈi
ciohuiliztli	sjɛ̀uilistli
ciohuiltia	seˈɔbiltja
cipactli	sipakte
citlalicue	sitlalikue
citlalin	sjtlælˈljˈn
coahuiltecah	koˈawiltəkˈa
coaixtlahuacan	koajʃtɬawakan
coatl	kɔˈʊt
coatlicue	koakikue
coaxihuitl	kua˥˥la˥˧si˥˧weɪ˥˧
cochi	kɔtʃi
cochicahua	kotʃekavo
cochiquih	ko˥˩ːtsi˥˩kɪ
cochitinemi	katʃitinemi
cochiz	potʃis
cochizceh	koːtʃiːse
cochmiqui	ko˩˥ːtʃmi˩˥ːki˩˥
cocho	kotʃo
cochotl	ko˩˥ːtɕot˥˩
cocoa	kokoa
cocolia	kˌoːkɔlˈaɪɑ
cocoliztli	koːkolistli
cohua	ko˩˥ː
cohuia	koːˈʝˈa
cohuilia	koβ̞ilð̞ia
colli	koːlɪ
con muchos guachichiquis a favor.	tɾˈes mˈutʃos atʃikˈiks a faβˈoɾ
conetl	kɔnˈnɛt
conetzin	koˈnetsin
conetzitzin	konetsetsin
cotomitl	kotomitʃ
cotontia	tʃitʃi
coyochichi	kojatsʲitʃʲi
coyohuacan	ãɛɔɹkɛn
coyolxauhqui	kʰo˥˩˦jos˩˥ːau˳˩˦piaʊ˧˥
coyolxauqui	kɔlʃafˈtʃi
coyolzauhqui	koːˈloːlʃɑːuːbkiː
coyomeh	koiome
coyotic	kɒdʒɒldi
coyotl	kojot
coyotlacatl	ko̞jʊ̞tlakaatʰɢ
coyotzi	koio˥˩ːtsi˩˥ː
coyōtl	kʲæjˈt
coztic	kɔstik
coztiya	kɔstia
coztli	koztili
cuacezo	kuasesso
cuachichiltic	kʷaːtʃtʃiːltʃiːk
cuaciyah	kwasja
cuacocoa	kwakokoa
cuaeztli	kwaˈestlɪ
cuahuitl	kwãˈit
cuaitl	kwaɪt
cualli	kwˈali
cualli tlanezqui	kual li tʃlameski
cualtitoc	kualtitʃak
cuapuertah	kwˈapwˈeɾta
cuauhnáhuac	koːˈawnaːˈuɛk
cuauhtemoc	kɔltɛmɔ
cuauhtepecopa	kuauʲtʃapɛkopa
cuauhtlatoatzin	kuautlatoatsʲin
cuauhtli	ɛatle
cuauhtémoc	kau̯t̪emoz
cuauhtēmallān	ɣuβ̞ee̞malan
cuayolotia	koaiʊlɔtia
cuetlachtli	kwˈitlˈæɹtʃtli
cuetlaxcoyotl	kɵt̪t̪las̺ko̞jɔ̙t̪
cuetzpalin	kwetspalin
cuezolli	kwɛsɔlˈlɪ
cuicani	kujkani
cuicapeuhcayotl	kuikapɛoskajot
cuicatl	klikat
cuicuilco	kwikɔ
cuiloa	uilo
cuitlacoche	tuˈtʃtʃapkotʃ
cuitlatl	kuitlatː
cuix	kwiʃ
culhuatecuhtli	kʼoːswəteːˈʋkliː
cē	sˈe
cītlalli	titlali
cītlallohtihca	sidlaloktika
cītlalpōl	sjt̪lalpɔl
cōztic teōcuitlatl	gɔstʃˈik deʊgwˈiðlæt
cōātlīcue	koˈʊatlˈikwˈə
dios	dˈos
ehecatl	efekatʃ
ehēcatehuiltic	tẽhe̞kat̪t̪e̞wiltik
ehēcatl	tɑħuːtˤɑtˤ
ehēcayoh	nekaio
el colibrí recibe distintos nombres: chupamirto, chuparrosa, huichichiqui, etc.	el kˌoleβɾˈi ɾɾesˈiβe distˈintos nˈombɾes tʃupamˈiɾto tʃˈupa rˈonθa wˌetʃitʃˈike ˌetsˌeteɾˈa
el jinicuil es un fruto muy refrescante.	el kinquilˈlˈɛ ˈuna ʊn fɾuto mɔytʊ fɛʃˈkɑnte
epatl	epak
etl	ak
ezhuahuacatl	ess̺oawakas
eztic	el
guachichiquis	uɑtitikis
huacax	akas
huahca	oahkˈa
huallauh	ala
huan	wˈʌn
huaznenqui	vasnẽnke
huehhuehcayomatiliztli	wewekiomateliksele
huehue	wˈeɪwˈˈɛ
huehuecoyotl	uauekoˈjotu
huehues	uɨuɨs
huehueteotl	luːatːelt
huehuetl	akest̪
huehuetlahtolli	weguetlaktoli
huehuetzin	ueuetsiŋ
hueliz nipano?	ualis ni pano
huexolotl	bastabˈt
huey atlixcáyotl	ue atlis̻ka jɔt
huey atlixcáyotl, el festival cultural de atlixco, puebla.	oiak ljs̠ka xotʃ el fˌestiβˈal kultuɾˈal de atlˈiks kˌopueβlˌla
huichichiqui	wˈɛtʃitʃiki
huichilopoztli	ntʃilopostli
huichilopztli	auɛˈtˈɛˈɛstˈʃˈɛɹs
huihui	wjˈwj
huipilpoxco	u
huitlacoche	uitdlakɔtʃi
huitzilopochtli	huitʃɪlɔpɔʃtʰli
huitzlampa	itˈslamˈpˈa
huitznaua	oitsnaua
huixachtlan	uʃɑːtʃlɛn
huixquilucan	miskilokan
huixquilucan, mēxihco	mˈɪtʃ gəlˈuːgənt nˈɪçt
huāxyacac	wasjakak
huīpīlli	ul̪pili
iamox	dˈiːsˈmˈos
ic	ik
icampa	ikɑmpa
icauhtica	ikaua
ichcatl	itsʲkat
ichpocatl	itʃpɔkɔtʊ
ichpolcatl	idʒpɔkak
icxitl	itʃik
ihcuac	iχqat
ihtitl	dʒiqtɕ
ihuan	xwan
ihuaya	kjɣ̞uaia
ijkuak	pˌikːwˈak
iknotl	iknok
ilamatecuhtli	i̞l̪əma̝t̪aw̜ki̞t̪li
ilhuicaatl	ʁɛŋgɧɑt
ilhuicateōtepoztli	iɣwikatɛpɔsli
ilhuicateōtl	ilgʊikatːɛotl
ilhuicatl	ʔjlwˈjˈkˈat
in	ˈeɪ
in aquin	ĩːnː aːkĩːn
in ihcuac	iniːk
in zacatecah, itoca acameh tlacameh in tlein nemia ipan in zacatecapan, ce tlahtocayotl ipan mexhico.	insɑkɑtɛkɑ neɛmjɑ ɛpɑninsɑkɑtɛkɑpɑn zɛta tɔkɑjɔ tipɑnmɛʃi
inic	nik
inmohhuantin	inmufontin
inoma	ljnoma
inon	iẽn
inquipiyah	rinkɪpɪa
ipampa	ipampa
ipan	pan
ipohual	andapɔuɛl
iquitihuatli	ikutikapɔjʃoan
itecac	itɛkak
iteuh	iːtɛ
itic	itʲik
itich	kitek
ititl	itˈɪd
itla	itlɑ
itlacual	tˈˈakɔ̃ˈ
itlajtol	gitlæhtbɑd
itocah	litɔka
itomin	itɔmin
itskuintli	ˈɪtsˈʌɪntli
itzcoatl	itsˈkɔɹ
itzcuintli	iskvintli
itzpapalotl	it̪spapaloɾ
itztoya	kistoja
iuccic	ikːsiːk
iuh	io
iuhquin	lukkiŋ
iwan	jˈæn
ixachitlan	ʃatʃikla
ixachitlān	esatʃitlɛn
ixataccihuatl	itstakziwats
ixiptla	iʃipitla
ixquich	eskwtʃt
ixtaccihuatl	akompanovastʃarwulʃarwul
ixtapaluca	ɲistapaluka
ixtelolohtli	iʃtɛlɔlɔhtlɛn
ixtlahuacan	istɾawɑkɑn
ixtlán	gɒstlɒn
iztac	istak
iztaccihuatl	ist̪aks̺iɣ̞o̞t̪l
iztaccíhuatl	istaksiwat
iztactlāltepoztli	istɑktlaltɛpɔstli
iztapalapa	istʃapalapau
iztāc teōcuitlatl	istak te okuit̪ latl
iztāctepoztli	istaktepostri
jinicuil	himˈikwˈljum
juiquilpan	koːˈkɪlˈpˈɑŋ
kahlua	kɑɫɯɑ
kalli	kˈæːli
katej	kate
kautik	kautik
kema	kema
kenime katika?	kɛ neme kɑtikɑ
kichiua	kip˦˥ʃw˧˧
kokolistli	kokolistli
koli	koˈlˈlɪ
komali	komali
konetl	kɔnˈet
koyoli	koːˈliːoːliː
kuix	wˈɪʃ
kwawitl	kwaɕik
kwawtli	kaxtli
la larva de mosquito también se llama acuicuiyachi.	la lˈaɾβa de mˌoskɪto tˌaɾmbjˈen ˈes ʎˈama akwikwˈjxatʃˌ
lalaxtli	lalaʃli
lorocco	gʊɾˈɔkˈqu
lusotlahtolli	tusotʁatˈɛʁ
macah	maka
macehual	masewan
macehuallahtolli	mastɛwaˈlaħtɑːli
macehualli	maseguˈalˈi
macehualmeh	mɛnselwalme
macihui	lasiɣ̞wi
macpalxochitl	mætpæˈleʃaːtʃiːtl
macuahuitl	makuaɣ̞it̪
macuilli	makwili
macuilxochitl	makueilʃotʃitl
mahcuilli	makwili
mahpilli	maʕpiːli
mahtlactli	maːhtəˈlɑgli
maitl	majd
malintzin	malinsin
mantzanatl	mantsana
mapilli	mapili
mapiltin	mapɪlˈtiŋ
masheepacteneemee	maːʃipɑkˈðenɛmɛ
matachín, matachínes	matatʃinj matatʃimes
mati	mati
matlactli atl	atla kliaˈk
matlalli	matla
matlaltic	matlɛt
maxtlatl	mʃtænt
mayahuel	majaɣ̞wel
mazatecah	masateka
mazatl	mæsd
mazatli	masaiːtli
mazātl	mæsæd
mecaxochitl	mikaʃoˈtʃitl
metstli	mˈeɪdəstlˈɛ
metzli	mɛtsli
metzonalli	metsoːnali
metztli	mˈɛkstli
mexica	møʃik
mexicah	mʲaʂʲika
mexicas	mɛʃːikaa
mexicatl	mˈesˈikˈat
mexko	mæʃko
mexticacán	mˈɛxtviˈkækˈlæn
michhuah	mˌitʃbwˈa
michin	nitʃin
michoacán	miʃkwɔkɔŋ
mictecacihuatl	mikt̪ek̞as̺io̞ak
mictlampa	mˈiːkɛtlˈɒmpˈaˈn
mictlan	miklæn
mictlancihuatl	niːkaːn˩˩˦sitw˧aːt
mictlantecuhtli	migrlantaupŋ
mictlāntēuctepoztli	miklɛndtɛʊ̞gtɛbostlɪ̞
mikisiluitl	tˈokˈisˈilwˈiːt
mitl	mig
mixcoac	miʃˈʃkɔk
mixcoatl	miːʃqoːt
mixtli	mʃtlʲi
mizton	miston
moamox	moʔəmʃ
mocehuia	mosseuja
mocuepqui	mugkvæbki
mocuiptzinoua	mokueptʃiinoa
molli	moli
momachtihquetl	mumatpæetaçikkæetɢ
momahuisotzin	momawiθotʃin
motah ihuan monan miec acencuayah	məwtaʁ kwan mɔnad miːak ˈkasənʃaːnʃoː
motecac	mɔtɛkak
motechmoneki	moteŋmɔnɛki
moteuh	mote
moteuhzoma	mɔtɔsɔm
motlacuitlahuiani	mˈɔtlakuitˈɑlawɛjɑnɛ
motlecuilpan	motlekwilpan
motocah	mˌotˈoka
motomin	mˌotoˈmˌinˈ
motēcuhzōma	mʊtɛʊksɔmɑ
motēuczōma	mʊtɛːʊkˈsɔma
motēuczōma xōcoyōtzin	mɑtɔusuɑ mɛʃokɔʁɔtsiːn
motōcāitia	motojtia
moyolotzinco	moʎolotsinko
moyote	moɣoˈte
moyotl	mˈɔjʊt
mèxhica	mɛʃˈɪkˈa
māneltic	manəɭtik
mētztli	mestli
mēxihcah	mɪʃˈikaː
mēxihcatlahtohcāyōtl	meʃikatlˈɑtˈɔvkajˈot
mēxihco	mˈeʃisto
mēxihco tenōchtitlan	beˈʃɪkat ˈeˈnɑˈtʃtjt lɑnˈd
na	na
na notocah	na no toka
nacaztli	nakastli
nah: nicpiya mahcuilli nomahpil es: tengo cinco dedos. en: i have five fingers.	nekː pˌiˌɑ mˈæn mˈɑgweli ˈno pahˈɑl tˈɛŋgles sˈiːn ko teg̊ʌs ˈaɪ hˈæv fivˈɛ əv θˈiŋgəʊ
nahualli	nauali
nahuatl	awak
nahui	nawi
nantli	mentəli
nantsin	nantsin
nauatl	navat
nawatl	navat
nehnemi	neneʃatas
nehuatl	neʁwãːtˈsɛ
neki nikwas mole	neke ɲiko asmol e
nelnextictepoztli	neːlnæstigtæpˈoski
nemiliztli	nɛmiːlisli
nemontemi	nɛmontɛmi
nenemi	nenemi
nentlacatl	nˈeːtlˈʌˈkan
netzahualcóyotl	nˈɛtsɑwˈalkɔjˈʱul
neuatl	nˈəhˈwɒt
neuctli	nˈɛktli
neuctzin	nˈɛksə
nextic	neʃtik
nextictepoztli	nətʃaːstʃaːztʃaːztʃaːsləːn
nezahualcoyotl	mʲiseb̞aɾkoʝot̪s
nezahualcóyotl	nitsavolɛkɔjʊti
ni mits neki	nˈemˈitsˈnˈke
nican	nˈikən
nichoca	nitʃoka
nicihuatl	nisiwak
nicualantoc	nikwalantok
nicueciuhtoc	nɛnxusɪçtok
nikwasneki tlahtlaoyo	nikː waːs nɛkɪt lɑθlɑ uju
niltze	niltsɛ
nimacehualli	nimɑsɛwɑli
niman	nimɛn
nimantzin	nimantsin
nimayana	nimajana
nimayanazquia	nimajanaskija
nimechcuamachilia	nimitikwɑmɑtiliɑ
nimechilliz	nemetʃilis
nimechitta	nimeˈtʃita
nimehuaz	nikauas
nimihtotia	nˌimˌisˈtotˌiˌa
nimihtotihquetl	nimistˈotˈiːgˈkeːt
nimihtotiz	imistodes
nimiquiz	vinikis
nimitzahcicamati	nimitsʔasikaimati
nimitzchiyaz	nomatastʃias
nimitzcocolia	nimitskokolja
nimitzcuamachilia	nimitsjikuɛmɑtʃiliɑ
nimitzhuetzquiltia	nemitsuetskiltia
nimitzihxitizquia	nemitsiʃikonduktorokia
nimitzillia	kaitsilia
nimitzitta	nimitsita
nimitzittaz	nemitsitas
nimitzmacaz	nemitmakas
nimitznequi	nimitsneki
nimitznequilia	nimitsnekilia
nimitzonittaz	nemitsonitas
nimitzpalehuizquia	nimitsalɛwiskia
nimitzpanoz	nomatamitspanos
nimitztlahpaloa	nemitlabaloa
nimitztlahpaloz	nimisdanapalos
nimitztlanehuiliz	nimistsvaneilis
nimitztlaniz	nemitlanis
nimitztlazohtla	liːmitsilətɑtrɑːn
nimoahui	nimoawi
nimocehuia	ɑ̃nˈɔsˈɛwˈia
nimocehuih	nimosewi
nimocehuihtoc	nemoko˥˩ːsitɔk
nimocehuiz	estasosevis
nimocicinia	nimosisiku
nimocicinih	nemosisini
nimocicinihqui	nˈɪmoˌsiˌsiˈnˈiki
nimococoa	nˈimˈokokoˌa
nimococoh	nˈimˈokoko
nimococohqui	nimokokokːi
nimocuapoloh	nɛmɔkwaplo
nimocuatacania	nimɔkɔtɑkɑɲɪɑ
nimocuatacanih	nimokuatakani
nimocuezohtoc	nɛmɔkwɛsɔxtok
nimocuezoz	nurmokuesos
nimoitta	nɛmɔitɐ
nimomachtia	nemomatʃtia
nimomachtiani	køzkøzistigoni
nimoquetza	nɛmɔkɛtsa
nin tlale la tlamochiwa	nins la le la tlamo tʃiua
ninehnemi	niːnːɛtnɛ
nioquichpil	niokitʃbil
nipatzmiqui	nipatsmiki
niquinamati	nikinəmati
niquinnequi	nəkɪnɛkɪ
niquintlaxtlahuiliz	kiontlastʃiuila
niquitta	nikita
niquittac	nikitak
niquittaz	nikitas
niquizqui	nkʊsˈkeː
niteitta	niteita
nitelpocatl	nitelpokat
nitepahtia	ˈaɪtepaˈxtia
nitequiti	netˈekjpˈte
nitequitiyaya	netekitijaja
nitequitiz	protestastekitis
nitequitizquia	nitekitiʃkia
niticiz	nestisest
nitlacatl	nitslaka
nitlacohuaqui	nitlakɔwaki
nitlacua	nˈetˈjˈaːtˈsˈ
nitlacuaco	nitʃlakwako
nitlacuahquetl	nitlaːkwaːrket̪l
nitlacuahqui	nitlakwaki
nitlacuaqui	nitlakvaki
nitlacuati	tʃartʃapelistokvarth
nitlacuatiz	netʃapelistokatis
nitlacuato	nitlakuata
nitlacuayaya	nitlaːkwajaja
nitlacuaz	nitlakwas
nitlacuazquia	nitlakwaskia
nitlahcuiloz	niplakylos
nitlaihyohuih	nˈɪçtglˈaɪçjˈuːj
nitlamachtia	nitlamataja
nitlamamahquetl	nʲitɮɛmɑmɑːkkæek
nitlanamaca	nitlaːnnamɑkɑ
nitlanamacaco	nit̪plannamakako
nitlanamacatoc	nitslanamɛkatɔk
nitlaoniz	tʃarlaonis
nitlapohua	nitlapɔua
nitlapohuaz	tʃarotʃastʃarpavas
nitlaxcalcuatica	nitlaʃkalkwatika
niyauh	nˈeː
niyaz	nˈias
niyohua	nijuwa
niyolcueciuhtoc	nijolkosiçtok
niyolcuezohtoc	niolkwesottok
niyolpactoc	niolpaktoj
noahui	nˈoa
noahuihuan	nat̪eʝˈzwˈɑn
noamox	nˈoˈamos
noauh	naa
nocahuayohhuan	nokˈaɣoaʝˈoɣoan
nocalnechca	nokannɛtʃka
nocca	nˈoθkə
nochan	nˈoːtʃɑːn
nochi	nˈotʃi
nochichi	notʃitʃʲi
nochichihuan	nˈoːtɕitʃˈjˈvˈa
nochimeh	notʃime
nochipa	nˈotʃˈipa
nochocho	natʃatʃa
nochtin	nˈɔtʃtiːm
nocihuapil	ˌaɪsewˈapiʎ
nocihuauh	nosiwa
nocitzin	nositsin
nocoltzin	nokoltzɨm
noconetzin	akompanokonetsin
noconeuh	noko˥˩ːnə
nocoton	nokotan
noeuh	nˈoˈe
noezzo	noestso
nohuahca	nɔuakɐ
nohuampoh	nˈowˈampo
nohuampoyohuan	nauanpʊˈʝɛuan
nohuanya	nˈobˈaɪnˈaɪ
nohuehpol	nˈowˈɛçpəl
nohuehue	nabwˈeβwˈ
nohuehuenantzin	nublɛnantsin
nohueltiuh	nˈoelte
nohueyinana	nəuenanna
nohueyitata	nɔʋɛjtɑtɑ
nohuez	nˈoʊwˈɛst
noichpocauh	nojtʃpɔkɐ
noicnihuan	nˈoːtkniː˧wan˧
noicniuh	nˈoiknˈe
noicxi	nˈoikʃi
noicxopil	naekʃopiʎ
noihqui	noiraske
noihti	nˈoˈɪçtɪ
noixco	nɔiskɔ
nojquiya	nˈoːtkia
nomacehual	nɔmasɛwɛl
nomacehualpoyohuan	nˈomˈaseˈgwalpoʝˈuan
nomachconeuh	nˈomˈatˈikɔhˈnˈe
nomah	nˈoma
nomahpil	nɔːmħpiːl
nometz	nˈomˈɛt
nomimi	nɔmimi
nomomachticahuan	nomomɑtʃtekawan
nomomachticauh	nˈoːmoːmatʃtˈikːa
nomomachtihcahuan	nɔmɔmɑtʃtiːxkawan
nomomachtihcauh	nˌɐ̃ʊ̃mˌɐ̃ʊ̃matˈjtˈɛkˈa
nomonnan	nˈomˈɔ̃nmɑˈɛn
nomonta	nˈomˈonta
nonacaz	nanakas
nonacaztlan	nomɑːkɑslɑ
nonanan	nɔnnɐ
nonantzin	vʌnˈvɑlˈandərəseɪnd
nonquez	nˈokˈets
noomiyo	nˈoˈomˈeɪo
nooquichpil	naɑːkɪtʃɪl
nooquichtiuh	nokitʃte
nopa	nopa
nopayo	nopajʊ
nopayoh	napajo
nopi	nopj
nopil	nˈopˈiʎ
nopohual	napo˥˩ːn
nopona	napɔnla
noponi	nəpwnə
notamal	ˈaɪtˈamˈal
notatah	notatˈa
notatahhuan	notˈatˈaxvˈan
notecac	notɛkaˈk
noteicauh	nˈoteˈika
notelpocauh	lat̪eelpoka
notepotzconeuh	notepɔtsukɔne
notepotzicniuh	natɛpɔtsikni
notepotznanan	notepotsanan
notepotztatah	nɔtɛpɔtstata
notequixpoh	natɛkispo
notequixpoyohuan	notẽkispojoan
noteuh	note
notex	numeɾotepeɾ
notlacauh	natlaka
notlagaicnin	nʲotlʲagaj̠knʲen
notlahtol	tˤkləxtl
notlamachticahuan	nat̪elamað̞zt̪jkaõẽn̪
notlamachtihcahuan	natlamɑtʃtjkɑwɑn
notlamachtihcauh	nˈotlaːmˈastˈika
notlayi	natlˈajˈe
notocah	nˈotˈoka
notomin	nɔtɔmin
nototatah	nototata
nototatahhuan	natɔtatɑjˈvɑn
notza	nˈɔtsa
notzoncal	nɔtsɔnkɑl
notzontecon	nostsʃontekon
nouhquiya	nˈɔxkia
noxayac	noɕajak
noyacatzol	nojakat̪s̺o̞l
noyexnan	nˈojˈɛʃnˈan
noyexta	nˈojˈɛʃtɑ
noyeyohhui	noje˩˥ːdʒoxwaj
noyeyohticapoh	noʎeiot̪ekapo
noyollo	nojolo
nozo	nˈoθo
nāhuatl	nauet
nāhuatlahtōlli	nawatəlxtle
nāhuatlācatl	naʃwatlaːgadɨl
nō	nˈo
oaxaca	uːʃˈɑktəvˈuːʃˈɑktə
oc	ɒk
ocachinepa	okatʃipava
ocelotl	beˈsɑjlaːæti
ocozocoautla	ɔkɔsɔkɔtla
ocuilimeh	okwilime
