caihongzi	tsʰaɪ˧˥kʰʊŋ˨˩˦tsɯ˧
宋敎仁	sən˥˥tɕjɑʊ˥˥in˨˦
宋楚瑜	sən˥˥tsʰɑʊ˥˩y˨˩˦
宋祖英	san˥˥tsaː˧˥
官	kũŋ˥˥
官方	tŋ˨˩˦fɑŋ˨˩˦
定王台	tɪŋ˥˥wa˥˨ta˨˩˦
宝气	tɕi˥˧
宪法	ɕjɛ˥˩ɪn˧˥fɑ˥˥
家娘	uɫnːjɐm
家当	tɕja˥˥tʊŋ˥˥
家爷	k˥˥o˨˩˦
家爷（老子）	ɔːjoː
宾夕法尼亚德裔高地语	pjn˥˥fnia˥˩ ɑʊ˥˥ti˨˩˦y˧˥
寧波	n̪im˩˦pɔ˥˥
寶氣	pɑʊ˥˥
对不起	tɤp˥
寻	tsin˨˦
寻一下	dʒenio
寻丝觅缝	tɕɪŋ˥˥ sɯ˥˥ mɪ˥˩ hən˨˩˦
寻短路	jẽn̪d̪oːn˧la
射尿	sãn̪ʲa
尋絲搣縫	tɕɪŋ˥˥ sɯ˥˥ mɪŋ˧˥ hən˧˥
小砵仔甜酒	ɕ˥ɑʊ˥˩ pu˨˩˦ tsɯ˧ ɪn˥˥tɕjɐu˥˥
小馬屁	siaʊ˥˥ma˥˩pʰi˧˧
尤自可	joʊ˨˩˦tsɯ˥˥kʰu˥˥
尿桶	hjˈaʃu
屁眼	pima
屋场	utʃo
屋门口	ulˈɛnˈɛ
屑子	ʂɚ˨˩˦i˥˩tsɯ˧
屙尿	koɲˈio
屙屎	toʃi
屙稀	pʊŋ˨˩ʰsi˥˧
屙粑粑	uðoːpoː
山峰	sãːaːn
山川	sɑːntɹʰiː
山河	ʂan˥˥xɤ˧˥
岳	joʊ˥˩
岳母娘	joɯmɯɾɛ
岳老子	jo˨˩˦u˥˩
岳阳	juː˧jɛː˩˦
岳麓山	joʊ˨˩˦lɔ˥sǎŋ˥˥
崔	tsʰaɪ˥˥
崔健	tsʰæ˥˥ tɕĩ˥˥
崔护	tʰaɪ˥˥fɔ˧˧
崽不	tsa˥˥e˨˦pu˥˩
崽伢子	tsaino˥˩tsɯ˨˩˦
崽女	sa˥˩ɛ˧˥nyː˩˦
崽子	tsa˥˥
川菜	tɕʰy˨˩˦ i˧˥tsʰa˥˥
工作	ganːzo
左右邻舍	u˥˩
左宗棠	su˥˧tsən˧˧ tʰu˧˧
巴黏的	poːˈniːndi
布粘布	pu˥˧nɕʊ˥˥bu˥˧
带厌	tɑŋ˥˩ i˥˩
带笼子	tan˥˥an˥˩tsuɔ˥˥
带迅干	ta˥˩ɕk˥˥ɑŋ˥˥
帮派	pa˥˥
帮老倌	fãːnɑːgum
常	ʂɑŋ
常年四季	saɴnitsɯdʑ
常建	ʂʊŋ˥˥tɕɪŋ˥˥
平安	bɪŋ˧˥an˥˩
平素	lɪn˧˥ʂu˥˥
床铺	tɕʰɥœn˧˥pʰu˥˥
廖	lio˥˧
廣州	kwɔːn˧
开坼	kʰaɪ˥˥ʈʂʰɤ˧˥
开洋荤	kʰa˥˥ jɛ˨˩˦ ɕ
开花	kʰa˥˥fɔ˧˧
开裆裤	saidauːguː
弄钱	nan˨˦tsĩ˥˧
弄饭	nuː fˈaʊt
弗尔兰语	fu˥˥ u˨˩˦ la˥˥y˨˩˦
张祜	ʈʂɑŋ˥˥
张籍	tsa wan˨˦ti˨˩
強	tɕjɛn˨˩˦
強詞夺理	tɕjɛn˨˩˦tsɯ˧tu˥˩li˥˩
弹四郎	tan˨˩˦ sɯ˥˥ w
弹棉花	taːmiː infɔ
归元	kweɪ˥˥y˧˥
归家	uevˈu
彭	pˈɛ̃
彭德怀	bɐ̃ŋ˧tʰɔ̀faː
影子戏	jˈɛ̃zsʁˈi
很多吧多	xɤ˥˩ tʰu˥˥pɔ˥˥ tʰu˥˥
律师	li˨˩˦i˥˩
徐	tsi˨˩˦
徐凝	ɕy˨˩˦ nɪŋ˧˥
得瑟	ɯ̟ᵝsɯ̟ᵝ
得路	tja˧˥lu˥˩
復習	fɔːsˈi
德国	tegu
快乐	kʰua˥˥lu˨˩˦
快乐大本营	kʰua˥˥ lu˧˥ta˨˩˦kuɔ˧˥n
快讯	tɕjɛ˥˥
念常[slash]扯常	ĩŋ˥˥ʂʊŋ˨˩˦tsʰa˥˥ʂʊŋ˨˩˦
怀孕	tɑyn
怄气	mou˥˩
怎么办	mo˥˩kɔ˧˥paː˧˥
怎么得了	bote le˨˩˦ ɔː
怕丑	p˨˩a˥˧tsʰɤ˥˩
怕懒得	pɔɾlɑːn dø
怯伙	tʃʰeː huː
悔奶	ʔt̚˨˩n˧
悟空	tu˥˥kʰan˥˥
惯实	kwan˥˥
惯肆	kwˈanˈsˈ
惹不起	niːwa buːtɕiː
惹是非	joʊ˨˩˦ʂɚ˨˩˦feɪ˧˥
感恩	ka˥˥ŋ˨˦
感恩戴德是我们的传统美德。	kan˥˥ŋ˥˥ttaɪ˥˩ tɤ˧˥ tɤ˧˥ sən˨˩˦ʰu˥˩mɤ˧˥lɤ˥˩ tɕyn˨˩˦tʰɤŋ˥˥ meɪ˥˥ tɤ˧˥
感謝	a˥sia˥˩
慢点	mɛntitsa
慶雲山	tɕɪn˥˥ʐən˥˩satʰa˧˥
憨子	jˈɑ̃s
憲法	tɕjɛn˨˩fɑŋ˥
懂味	trɛ̀ɱw ã
懒人屎尿多	la˥˥  ʂɚ˥˩ ɑtu˥˩
成	ʂən˧˥
成绩好衰	ʈʂɤŋ˨˩˦n˥˥tɕi˥˥ʂu˥˥
成绩差	saɴdʑiswa
成都	tsɛntɤ
我	gˈu
我不是孫悟空	ŋɔ˥˩pu˨˩˦sɯ˥˥ sən˥˥u˥˥kʰɤŋ˧˥
我不是当官的料	ngɔ˥˩u˨˩˦ pu˨˩˦ ʂɚ˨˩˦ tɑŋ˥˥ku˥˥ŋ˥˥ti˥˩ li˨˩˦
我人	tɥœn˧˥
我住台北市。	ngɔ˥˩tɕy˨˩˦ tta˧˥tɕʰi˧˥  aɪ˥˥
我喜歡看電影	mo˥˩ɕi˥˩ uən˧˥kʰan˥˥ti˥˩ tsu˨˩
我嬲	goɲa
我就是喜欢玩电子游戏。	u˨˩˦ tɕjɑʊ˨˩˦ʂu˨˩˦ ʰta˥˩ ti˥˥jɑʊ˧˥
我屋里	maːˈoli
我敤你两下啦	gu
我肚子餓嘎噠。	ngɔːtɔːtsɯ˥˥ŋɔː˩˦ga˥˥ta˨˩˦
戥子桥	tən˥˥tsɯ˥˥tɕja˧˥
戳巴子	tsʰu˨˩˦pɔ˧˥ʈʂɚ˧˥
戳贵	tsʰuɔ˥˥kʰe˥˥
戴叔伦	ta˥˥ lən˧˥
戶口簿	fugɯ bˈɪn
手把子	sˈeɪˌpɔːtˈvɔː
手板	sa˥˩ba˥˩
手艺	sɔːnj
才不得	nˈɐnte
打一顿	tejɛ ɛndin
打啵	tɐpˈu
打摆子	tɔ bazu
打流	ljoʊ˨˩
打流子	ta˥˩ljoʊ˨˩˦tsa˥˩
打浮泅	ta˨˩
打眼	toŋa
打讲	pˈoʊkə
打赤脚	taː˥˩tsʰʰaː˥˥
打跑和子	sweə˥˩ pʰa˥˥ ʂɚ˧˥
打转	tˈa
打转身	tɑʊ˥˥tɕyn˥˥sən˥˥
扮俏	an˥˩çʰaː˥˥
扯卵谈	sɯɾɑːn˧t̚˥˩an˧
扯抻	tsʰɯ˥˥ʈʂʰan˧˧
扯抻敨	tsʰɯ˥˩ʈʂʰan˧˧tʰɑʊ˥˥
扯湿气	tʰɤ˥˩ ʂɚ˧˥ɕ
扯痧	tsʰɯ˥˥suɔ˨˩˦
扯白	tsa
扯间	tsʰɯ˨˩˦ ka˥˥
扯麻纱	tsʰɵ˥
扳俏	bãn˧
扳手	pĩ˥˥aʔ˨
把事	pɔ˥˥
把個信	poʁaː koːsian˥
