!	jɔøoːbˈstaɪm
"	kuˀˀsæˀːin
"karel appel"	taʁˈaːl ˈapɛl
1964	nˌeːtˈɛnfˈiːɾtrˈɛs
1965	nˈɪtənfˈɑːmɑːtrˈɛs
1971	nˈɛnhˈuːnøðɒwɛˀnɒwhɑld̥fjɑʁˀs
1979	nˈɪtənnˈiːɜhˈɛlfjˌɑs
1981	nˈɪtənˌaɪnəfiːəs
1982	nɛbˀn̩tˢoˀɒwfˈiːɐs
1984	nˈɛtnpˈiːɾfˌiːɾz
1988	nˈeːbənˈɔɾʊɾfˈiːɾʃ
1990	n̪it̪ˢn̥hʌ̈ɑd̥eːˀɐlˀmˀs
1994	hˈɪtˢθuˀs̠ˀɑːnˈiːg̊hˌɑld̥ɑg̊ɐ̯g̊ˀɑhˈæld̥
1995	nˈiːtənfˌɛmɜhɛlˌfəms
1997	n̪iːd̥ensˈuːkʰɐmsˀ
1[slash]10	eːntiːnəd̥eːn
1[slash]2	ɪnhˈɛl
1[slash]3	ənt̥ʁɛði̥d̥eː
1[slash]4	ɛnkvatɪnfˈiːɾdˈeːl
1[slash]5	ˈeːnfˈɪmtədˈeːl
1[slash]6	jɪŋ˨˩˦ɕjɛ˨˩˦ɕ
1½	hjelən
2	tso
2. verdenskrig	æn vɛrdənskɾiːp
2.g	ɛlˈmki
20	tøvˈ
20 prince i blød	tˢiˀu pɐ̯nsˀb̥lɔð̩
200	tsʰou̯huna
2000	tˢɔ̀tˢɔˀzˌɛn
2001	tˢoˀθˀuˀs̠nɒˀã
2004	tˢoˀtˢuˀsmɐɾˀfieˀɛɐ̯
2006	tˢoˀtˢuˀsnɒsˢiks
2007	tˢoˀtˢuˀsmɐssʌv
2010	tʃo˥˩ːtʃu˥˩ːʃnatsʰi˥˩
2011	sˈomtˈɕuʒmæ̹lgˈ
2012	tˢoˀtˢuznɒgtˢʌl
2014	tˢoˀt̥uˀsˀnɑˀfjˈɔɐ̯n
2016	tsɔtˈɔsɪnɑːsˈaɪstən
2017	tˢoˀtˢuzənɒwsøˀnɑ
2018	tˢoˀtˢuˀsnɒˀeːˀɒ̯tˢən
2020	tˢoˀtˢuˀsnɑˀtˢyˀ
21	eːˈnˀtˢiːvə
22	tˢoˀɐ̯ˈeɾseːˀʋɛ
224	tˢoˀhʌnɑˀd̥fiˀjˀɐ̯tˢoˀ
23	tʁeːɑwtˢyːgə
24	fˈiːɾtsvˈeːvə
25	fæntmætjydæ
250	tˢoɦu̯nɑ̀ːɒwheˀɐlˀtˢʁiːˀs
26	sˈɛksetˈyːvə
27	suːtɔtʃˈiv
28	ɔdɜtsʏvˈe
29	nˈiːɾtsˈyːbə
2[slash]5	tˢoˀfɛmd̥eːd̥eːlˀɛ
3	tr̝ɛ
3 og 4 klar	tr̝eˀ eˀt̥ f̩e̞e̞ klˈɑˀ
3 og 4 klar til at gå ombord	tr̥eˀ æɐ̯ f̩əɐ̯ klart̥ə æɐ̯ g̊o ɑmb̥ɔˀ
3.g	tsʰɐ̯g
30	tˈʁˈavˈ
31	ɛnˀɐ̯t̥ʁʌd̥ʋɛ
32	tˢoˀɑ̈tˢʁad̥vɛ
33	tr̥æ̀ːɒwtr̥ʌb̥ɛ
330	sɑigɔnˀɑːˈtˢmɑːlɑːdɯ
34	fʲiːrtrʲɑvɛ
35	femɒwtˢɑjvə
36	sæksɒwtˢɐɐ̯b̥e
37	sʌvɒwtˢʁad̥ʋɛ
38	ˈɔøtɜtrˈalvə
39	nˈiːɑtˢɐ̯ˀɐ̯ˀ
3[slash]4	tˢʰɐ̯jfjɐ̯d̥əl
3[slash]5	tr̩ˀɐ̯fɛmˀd̥ed̥eːl̥ɐ̯
3d	tsrˈeɪtli
3f	tʁˈiːf
4	fˈiːl
40	fˈɛɹ
43	tˈrɛˈɛfˈøːr
45	fɪ̞tmɔːfɑːr
49	niːfeːr
4[slash]5	fˈiːɾfˈɛmddiːlˌɛ
4[slash]7	f̩ʲɛsyvˀnɛd̥eːl
5	fip
50	hæltræs
51	nænɑhɑld̥rɛs
52	tˢoˀɐ̯hɑld̥ʁɛs
53	tˈrɛjˌahəltrˈɛsts
54	siːjoː˧˥tˈɛstvɛst
55	v̩vɑ̝hɑ̝ð̞sʁæs
56	sʰɛksɒwhɑld̥ʁiːˀs
5[slash]6	fipʃɛːrdiːl
6	sˈɪks
60	trˈɛs
60erne	tɹæsæne
63	trˈeːɑːdˈeː
65	fˈɛʁmatʁˈɛs
66	sæksetrɛs
68	urdetr̝ɪs
69	nˈiːɑːdˈɾɛs
7	siu
70	hˈævjˈɛs
70erne	halfˈiːˈɑːsˈnɑ
71311765	iːnɑːrkeæziːnɑːzɾepe̞tæbætbætˈlæst
72	tˢoɐ̯ɑˀlʲkæˀːs
76	sˈɛksˈæˈlfˈiːˌɑːs
780	sjuːhundɔːefˈiːɾs
79	nˈiːɜhˈaʊfjˈɑːs
8	ul
80	fˈiɾs
80erne	fjesene
81	jynɑfˈies
82	tˢoˀɑf̩ˀiˀɐs
83	srˈeːˈɛɾfˈiːɾs
85	fɛrmafʲiːɐs
86	sˈɛksəvjɪəs
88	oɾofiːs
896	ɒ̝ð̩əhʌnɐd̥sækseːˀahælms
9	nˈi
9-måneders	nimonon
90	ˈelfɪts
902	mihˌunɚˢɕu
90erne	ælfɛbˈsɒnɛ
924	miː˧˥tso˨˩˦fiː˧˥ɑniː˧˥ʰuːn˧˥fjn˥˥tsyː˨˩˦
97	sˈyːvahælˈfˈɛms
98	ɑˀɔˀð˥ɑˀhælˀfɛms
99	n̩iːɐ̯hɑl̥fˀɛms
:	kolan
;	semikˀɔlɔn
<=	mˀɛnˀb̥ʁ̥ɑɛlˀɛɐ̯lˀiˀnəð̩
=	ɛɐ̯liˀmɛðliˀɦɛd̥stʰɛjnˀ
>	stajˀn
?	spˈɛstmɔːstˈaɪm
@	snˈeɪplˈeɪ
[slash]	skɒsdaj
\	bəslɑʃ
^	siːɾkoːmˈflˈɛkˈs
_	oˀnˀ
a	ˈe
a cappella	akapːla
a og å	ˈeɪl ˈɔ
a æ o æ ø i æ å, æ a!	æh øøje øːeː
a-38	æɔ̞tɐɐ̯tˢɾalˀɐ
a-bombe	ˈɛbɔmbɯ
a-menneske	æjmenbɒsæ
a-vitamin	jæjnɑˀ
a.c. perchs thehandel	æs pæəks tʰiː hætlæ
a.p. møller mærsk gruppen	ɛˀpˢi mˀøːlˀɑm mˈɛʁsk gˈu hˈʊn
a1.13	ɛiːttrɑːtˈn
a1.16	eadziskiel
a38	ɛɒ̯tˢeːˀt̥ʁʌd̥b̥
a4-format	ˈeːtbˈifɔrmˈe
a4-kuvert	ˈɛfˈiːɾkˈovɛɾt
a4-papir	ˈeɪfˈiɐvˈɐɾɪ
a[slash]b jæger	a bjdʒaja
aab	opi
aabenraa	umkoʁ
aaboe	ˈou
aabye	opy
aagaard	pɔːkɔ
aage	ulɯn
aage madelung	uː ləlɔ
aage petersen	ˈɔ̀ːɔ̀ pəədˌɛːn
aagesen	nˈɔx
aakirkeby	okiekepjɔn
aakjær	okɛ
aalborg	olpo
aalborg jubilæums akvavit	ælˈbɒt jˈu bɪlˈeɑ̃ sækˈɑdid
aalborgenser	alpoket̪sa
aaquist	ˈoʊkɹˈist
aarestrup	aɕtʃampɾidʑoɯdʑoɴsatʃiɴmplungtɕiɴtɕimɾasɾjɕitɕoɯmkgɯtʃaɕoɾkama
aarhus	ˈɔ
aarhusianer	boːɾuzˈɛkna
aarhusianske	ɒhʊzjˈɛjnsgˈɛ
aasted	boˀɑstˢøˀɑˀ
abacus	jæpɑkˈoz
abandonnere	abˈɛndoˈnoɾ
abandonnerede	tʃipent̪anig̯að̞a
abba	ˈɑpɛ
abbed	ˈapəl
abbedi	tʁˈaːsˈti
abbedisse	apɛtˈiʃe
abc	epɪsi
abcdefghijklmnopqrstuvwxyzæøå	ɛbisiːɾiɛkiohɔiɔykulɛmɛuʈutːuːeːsʃtijuːdɔmːleːksusɛnɛjoː
abdi hakin ulad	abti ħakʲiːnolɑd
abdicere	aptiseja
abe	eɣ̞
abebur	ɛɛbɨbuɐ
abecedarium	ɛpsɪtaːjum
abefest	ɛˌbeːfˈɛst
abegrotte	ɛɛbˌeːgɾɔðˈɛ
abehus	ˈɛpeːhus
abekat	ɛːvɛtɛ
abekatte	ˈeːbkˈæːd
abekattestreg	ɛlbəkˈeːrtˈɪʃrˈaɪ
abekattestreger	ɪ̞kʲɪkʲɪlɪ̞sðø̞næ
abelone	apɛlɔnɛ
aber	æˈpa
aberne	ebɔnɯ
aberration	ˈɛtlbaʁˈaʒˈɑ̃
abeskøn	æˀi̯b̥ɑsg̊øn
abessinier	abɛsjnʲo
abigajil	ʔːɾpːikːəin
abiturient	aptojent
abkhaser	apkæjse
abkhasien	æˈpkæːʃən
abkhasisk	apkæesk
abkær	abkə
ablativ	aplət̪u
abnorm	apnˈom
abonnement	apuneman
abonnementer	ɛːbɔnɛmaːŋɛ
abonnementskort	abʊnəmanʃkoɾd
abonnent	abonez
abonnere	abonˈeːɐ
aboriginer	apoekina
aborre	aːpɔ
abort	apˈɔɹt
abrahamsen	æˀb̥reisˀɑ̈n
abrikos	apʁˌɛkˈo
abrikosen	apˀʁikˀoˀsæn
abrikosfarvet	ˈæplɪkəltsfaɪlˈɛɹd
absalon	apsilon
absces	apˈsɪs
abscisse	apsiˈsˈɛ
absence	apsɑŋsɯ
absolut	absoːlˈt
absolut metafor	ˈabzɔlˌuːt mˈɪtə dˈeːm
absolution	abstituʃjˈɔ̃
absorbere	æˈpsərpiːˈjæ
absorption	absobʃjɔn
abstinenser	apstimɛt
abstinenssymptomer	abstinˈemsɛ̃ptuɾmɑn
abstrahere	abstˈɾæhˈeːɐ
abstrakt	apska
abstraktion	abstʁaksjˈɔ̃
absurd	apzˈuːɾt
absurdisme	absoɾtismɛ
ac børnehjælp	ˈɛt sˈiː bˈøːrni hˈɛlp
acceleration	akselʁasjˈɔ̃
accelerere	ɑˀksɯlɑˀɑˀ
accelererede	akselʁajaaðe
accent	akʃa
accenttegn	akzˈaŋtəl
accentuere	aks̺ɛnts̺uɾe
accept	akkept
acceptabelt	akˈseptsɑpˈul
accepter	aksɛptˈe
acceptere	akˌsɪptˈiːɐ
accepterede	akˈsɛptˈeɪət
accepterer	akˢsɛptiːr
accepteret	akseptiɾəl
accise	akkessiztˈ
acetone	æˀssetˢoˀɣ̞nø
acetylen	æˀsætˢiənlˌeːn
achæmenidisk	ɛkameˀniɐ̯ˀːisg̊
actinium	aktiniam
ad	ˈœv
ad gangen	ekaaŋ
ada adler	ˈɛta ˈɛdlˈo
adam	ɛɾɐm
adam gottlob oehlenschläger	nʲɪr ðem kʌtnˀoː ɹœnˈsleːɑ
adam oehlenschläger	æð d̥eːm �øːlən slˈɛʁ
adaptere	ædaptˢeːɐ
addere	æˀt̚e̞ɐro̞
addition	edizion
adela	ɦitajla
adele	t̪eiʎe
adelgade	ˈɛlgəl
adelgunde	æɛlgˈɔndə
adelheid	iːlˌlɛnˌhˈaɪt
adelsvælde	ˈeselsvˈeɭɨ
adenokarcinom	æðeː˩ːjˈɛnˀukʰɑˀʃiˀlˈoːm
adfærd	lasʊiː
adfærdsdesign	æðfæːsd̥ɛzɒːjˀn
adgang	ɤk˨aŋ˨˩˦
adgang forbudt	æˀd̥eg̊ɑ̈ŋˀ fʌbˀʋˀd̥ æd̥eg̊ɑ̈ŋˀ fʌb̥ʋˀ
adgange	la˥˥la˥˥
adgangskode	æˀːgɑg̊æskˈuːl
adgangskort	lagankskʊɔɹd
adils	hˈeːtjls
adilsvej	eːtiːlsʋaj
adj indtrængende	ɪn tsˈaɪməndə
adjektiv	ɛlik̚
adjektiver	aljˈæːktʃiːvˈʌ
adjudant	ˈɛljutˌɛnt
adjunkt	æljˈʊkt
adlyde	alul
adlyde - adlød - adlydt	ˈæðlyð ˈæðlyð ˈæðlyd
adlyder	ɛɣ̞uluo
adlydt	æðlʉt
adlød	ˌæðløð
administration	dˈiʁadministʁasjˈɔ̃
administrationsmedarbejder	laadministʁasjˈɔ̃nˈə-mˈɛ̃lmˈela
administrativ	alminist̪at̪iu
administrator	admˈinistˈratɑ
administratorer	ɛɾmiːnˈɪstˌɾatɜ
administrere	almˌinistˈraɪˌa
admiral	tɤ˧˥mi˥˩a˥˧
admiralitet	ælmiɢɑːlˈitˈ
adoptere	ɑːdapːseːjeː
adopterede	ðæptˢeːrˌ
adopterer	æˈdæbsiːɢɒːn
adopteret	adoptsija
adoption	ɛrapʃˈoː
adoptionsnævnet	ædæmpʃoːnsnˈeːuːnɛ
adoptionspolitisk forum	ǎrdɔptˈiː ʃˈoːs poːlˈiɭizk fˈoːɾən
adrenalin	adgɾalaˈ
adressat	tˤːosˤːajt
adresse	etˈaʃˈe
adressen	atˈɾas
adressen står uden på brevet	æd̥ˈresˀɑ̈ stˢɔ̽ ˈoːðən pʰʊ b̥ʁiːˀwˀə
adresseoplysningskontor	ædˌrasˈeːrˈɑˀplʏsnskˌansˌoːr
adresser	atlajtse
adressere	akˈakˈˈ
adresserne	æˈtrasene
adrian	əjdɾiːən
adriana	adriono
adriane	et̪alyn
adriaterhavet	ð̞ætʁiˀæːt̪ahælˀ
adrieterhavet	ætræʔiːðˈæɾhæbu
adræt	tɾˈaːt
adskille	ælskeld̥
adskillelse	æð̞skylˀse
adskiller	au̯skiʝɑ
adskillige	ɛ̀sːkˌiːniː
adskilt	nˈɑskylt
adskilte	aðˀsg̊i̯ld̥
adsorbere	elsoˈpiːja
adsorption	ˈæzɑːpːsjˈoːn
adspredelse	ˈɛlspˈɛlˈʌθˈɛ
adspredt	æð̞̞sbʁeð̩
adspurgt	əlsbuɾ
advare	ˈɛlvaˈɑː
advarede	lba˥˧
advarer	ˈɛdvˈaː
advarsel	ɛlvɑːse
advarselsskilt	tsɛðɑsɯzɪl
advarselstrekant	laβ̞ɑsfɑsfɾeð̞ẽn
advarslerne	æðbäːslɛnɪ̞
advent	æðvɛnt
adventsgave	æð̞vɪ̞nsgejʊ
adventsgaver	ð̩ð̩v̩ˀnsg̊æˀɑ
adventskalender	ɛˀð̩v̩ˀnˀsg̊alˀɛnɐ
adventskrans	æðəb̥iːnˌskranʃ
advokat	æð̞vɔ̞kæetʰ
advokaten	ˌeːdvoːkˈeːtən
advokater	æðgˀɔkæˀˀtˢa
advokaterne	ad̥b̥ʌkæˀːd̥ɐnˀɑ
advokatstanden	advokˈeːtˀsd̥ænˀd̥ən
advokatur	ˈadvokatuɐ
adygisk	æd̪ikik
adækvat	ˈdɪkɹət
ae	e
ae - aede - aet	ɛ ɪl ɪð
aebelskiver	ɛbəlskivɐ
aebleskiver	epeskiwa
aebleskiver og hygge	ɛbəlˀ sg̊iwˀɑ hʏg̊ɛ
aede	ɪə
aegtemand	eklimem
aerobics	əpɪks
aesop	iːsap
af	ˈeɪ
af den ene eller den anden art	æt mˈeːnə ɛlæt nˈɛnˈnɑːrt
af den grund	a tˈɪn kʁˈɔn
af en flod	ɛɐ̯ ənflˢoð
af god begyndelse haabes en god endelse	ɒw g̊u b̥eg̊ønˀnɑlsɛ hɔˀb̥e̝s ən g̊uðˀ eːˀnəlsən
af hensyn til	ɑw hˈɛn sˈiːn tˢe
af navn men ikke af gavn	ɛɾ nˈɑːgən mɪn ˈɪgə ɛrgˌaʊən
af og til	ɛːtn
af pommern til	æpˈhɑmɑn se
af sted	tɛstɛ
afbalancere	aubelansɪɛ
afbalancerede	au̯pialʱaŋ˨˩seɪ˥˩e˨˦
afbalanceret	ˈaɪbˌælˈaŋsidˌe
afbestille	aupɛstˈe
afbestiller	aʊ̯pɛzteːlɛr
afbrud	aʊpɔəv
afbrudt	auprʊt
afbrudt samleje	auː pɾuːtsamlaj
afbryde	aʋ̚b̥rʉðˀə
afbryder	au̯pɔð
afbrænde	auːfˈan
afbrænding	au˨˩pwan˥˥
afbrændingen	hau˧˧kŋ˥˥
afbrød	au̯pɔð
afbud	tɨuŋpuz
afbøde - afbødede - afbødet	aʊ˨˩pɯ˥˥
afdeling	autiːlˈiːn
afdelingen	ɑʊ˨˩˦te˨˩˦lɪŋ˧˥
afdelinger	au̯teːløːɛŋeː
afdelingerne	auteːliːnɣɑnɯ
afdelingschef	autʃiɾinstʃeɾ
afdelingskontor	au̯t̪iːl̪ɪŋskʰanˈsuɾ
afdelingsleder	au̯teːlĩŋsbɛ
afdrag	aʊ̯tˈrau
afdrage	aʊtra
afdragene	aʊtrauːnɛ
afdraget	au̯tɾaɔl
afdække	auteke
afdæmpet	aʊtˈeɪmpʊ
afdød	aʊtɨ
afdøde	au̯de
affald	ˈaʊfət
affaldsbeholderne	aʊffˈɛlsbˌeːɔlˌɛɾnˌeː
affaldshåndtering	æwfalshʌntˢeˀɐŋ
affaldskøkken	aʊffˈəlʃkˌøːkən
affandt sig	a ofɛntsa
affeje	au˨˩fɐi˧˥
affinde sig	aːw˧f˥tn˧saː
affrikat	ˈafɹˈrˈɛkˈɛ
affrikation	afʁˈikˈasjˈɔ̃
affugter	aufukto
affundet sig	ˈaʊfˈɔn sɑː
affyre - affyrede - affyret	ˈaʊfiːəɾ ˈaʊfiːəɾ ðˈɛ ˈaʊfiːɾ
affyret	ˈaʊfˈyːrə
affærdigende	aʊffɛɾdˈiːɛn
affære	tˈe
afføring	aʊfhɛl
afgang	au̯ka
afgange	au̯kaŋɨ
afgangen	au̯kaːŋ˨˩
afgangene	aːlkaːn
afgangne	kaukanlɛ
afgangshal	au̯kaŋshelp
afgav	auke
afghanistan	awkejnsðeŋ
afgift	aʊfis
afgik	ãũ̯kjˈu
afgive	au̯kiː
afgiver	aukiʋo
afgivet	awkil
afgjorde	aukjo
afgjort	aukjoɾ
afgrund	au̯ko̞n
afgrænses	aukɾˈanˈtˈ
afgrænset	aukɾˈɛntsɪt
afgrøde	au̯koːiːl˦
afgrøden	aˀug̊ɾð̩ɑ
afgrøder	au̯kɔɫɑ
afgrøderne	au̯kɾøːðɯ̞ðɯ̞nˢ
afgå	alko
afgået	awgoɫɪ
afgår	alko
afgøre	au̯k�øːøː
afgøre - afgjorde - afgjort	ˈauːgə ˈauːgjɔː ˈauːgjɔrt
afgørelse	au̯kɑːɑːlseː
afgørende	au̯gərn
afhandling	ˌaʊhˈɛnmɪŋ
afhente	ˈælhˈɛnˈɛðˈɛ
afhentes	auːhɪnˈtɪs
afhentning	au̯hɛndnɛ
afhjalp	aːwjˈɛlp
afhjulpet	ɑujølpin
afhjælpe	æwjælpɛ
afholde	awhɔl
afholdt	ˈaʊhˈɔlt
afhugning	au̯gɔgnɛŋ
afhænge	auheŋe
afhænger	ˈɑːʊhˈɛŋə
afhængig	auheŋˈi
afhængige	awhˈiŋˈeɪə
afhængigt	ˈaʊhˈɪŋɪdt
afhængt	ˈaʊhˈɛŋt
afhøre	aʊhˈøːɜ
afhøring	au̯hɵyː
afhøvle	au̯høːʁle
afkald	aːvke
afkast - afkastet - afkastene	auːkestˈ aːukestˈl aːukestˈnˈɜ
afkaste	aukɛste
afkastning	au̯kɛstnɪŋ
afklapse - afklapsede - afklapset	ɑʋklapsə ɑʋklapsˀəd̥ ɑʋklapsˀəd̥
afklare	aʊksklar
afklæde	afklɪð
afklædt	aʊklˈeːt
afkoble	aukˈøːpˌl
afkog	ˈɑlkəʊ
afkrog	aʊ˨˩kʰou˥˥
afkrydse	ˈɑlkrˈɔjsə
afkøle	aʊkɔølˌə
afkølede	aːkʰyːlˀ�øːaːkʰyːlˀ�øː
afkøler	aːvkøːlˈɾˈ
afkøling	ælˌkøːlˌɪŋ
afkørsel	æˀuk�øːˀsəl
aflagde	au˨˩le˨˩
aflagt	aːvlˈɑkt
aflang	au̯lãn̪
aflastning	au̯lɛsniŋ
aflede	ɑˀuleːə
afledning	ɑuˀ
aflever	aʊ̯nˈɑː
aflevere	aʋliːvɛːr
afleverede	aːlˈɪviə
afleverer	aʊvˈio
afleveret	aʊ̯lˈʌvˈiːl
aflevering	aːlˈɪvˈˌeɾˈɪŋ
aflive	aʊlˈiɐˈaʊlˈiʊ
aflivet	au̯liwd
aflyse	au̯lyse
aflyser	au̯lʏsø
aflyst	auˈlˈys
aflytte	ɐʋliɾɯ̞
aflægge	æulik
aflægge - aflagde - aflagt	ɛulɛʁə ɑulɛʁɛ ɑulɑktʰ
aflægger	au̯lɛkʲa
aflæse	au̯læːse
aflæsse	au̯les
afløb	aʁɔløp
afløbsrende	ˈaʊlˈøːktrˈɑːnə
afløbsrens	æwɫɯ̞psæns
afløse	aʋ̊løːse
afløser	aʁløse
afløsere	au̯løːzøː
afløseren	au̯løːsɔˀːn
afløserne	aːrɾuzdiː
afmagre	pʰau̯˨˩ŋɔː˩˧
afmagt	almat
afmeld	aumez
afmelde	aumiːlˈlʏ
afmontering	almuntʃeɾn
afmåle - afmålte - afmålt	aʊmˈoːl aˈʊmˈoːl dˈə aʊmˈoːl
afmålt	aʊmˈoːlt
afmærke	aomere
afmærkede	aʊ˨˩˦ma˥˥kɤ˧˥
afmærker	ˈaʊmˈɛɾgɚ
afmærket	au̯mɛrket
aforistisk	ˌeːfoːrˈiːstɪʃ
afprøve	aupɾəʏbɛ
afprøvede	aːlpɔjuðɯˈ
afprøvning	au̯pɾojɔnɛŋ
afregne med tjeneren	ˈaʊɾa ɪn mɪt tsˈeːnɜn
afrejse	aʊrai̯sɨ
afrejsen	aureːˈɪsən
afrejser	auːraiːzɜ
afrika	afʁˈikˈa
afrikaans	ˈafriːkˌɑːns
afrikansk	afriːkˈeːnsk
afrodansker	afudɛnska
afsagde	ause
afsagt	au̯sakt
afsat	aːusɛt
afsatte	ausɛd
afsavn	aʊsauːn
afse	aʊsi
afsende	aːlsejnɛ
afsender	aasˈænɑ
afsenderen	au̯sɛˌn�ˈɾˈɑn
afsides	au̯sid̥əls
afsige	ˈæˈuːsiː
afsindig	æwsɪktɪ
afskaffe	aʊsgˈɑfə
afskar	auska
afsked	ɑˀ̩̟ʃˀˀɯ̞ˀɯ̞
afskedige	ɑʋ̥sg̊ɐ̯eːˀ
afskedigede	ɑʋˀˀskid̥iˀðə
afskedigelse	au̯skiːðˀiːlˀse
afskediger	ɑʋ̚skid̥iːɐˀ
afskediget	ɑˀvskid̥əd̥
afskedsbrev	ʌ̝sg̊ɛð̩sbrʁ̥ɛw
afskrev	auskau
afskrevet	awˀsg̊ʁiːwˀð
afskrive	aʋ̊skr̥iːv̥
afskriver	ˈaʊskriːvɑː
afskrivning	aʊskɾˈœnɪŋ
afskrække	aʊskɾˈaɪgɛ
afskrækker	æˀu̯sg̊r̥ag̊ɐlˀ
afskum	au̯s̺k̞um
afsky	au̯sjɵɛ
afskye	au̯skˈyːə
afskyede	au̯ʃqyʲiðɯ
afskyelig	aʊskˈyːpəlˌiː
afskåret	ɑˀusg̊oˀɑ̈ð
afskære	æˀːʋ̩ˀsg̊æɐ̯
afslag	aːsˈlˈe
afslappe	aːsɛ
afslappede	au̯slabːi
afslappet	aˈsˈabˈla
afslog	au̯slou
afslutning	aːlʃlʲutnʲiːn
afslutningen	aʊslˈʊtnɪçən
