abadîn	ɑbɑdiːm
agirkujî	aːgərkudʒi
agirok	agruk
agirparêz	ogrpˈoriz
agirperest	aːgərpˈeːrɛst
agirperestî	ogrpæːræstiː
agirxane	ɑːd̪eːrxɑːne
agirçav	agɾˈtʃav
agirî	ɑːgriː
agrîn	agrino
aha	ɑhɑ
ahengdar	ɑːhængdɑːr
ahiz	ɑːxiz
ahmedê xanî	ɑːhmd xɑːniː
aho	ɑhɔ
ahsûme	ɒhsume
ahsûmefiroş	ɑχsuːmfoɾuʃ
ahtapot	ahtaːpət
ahîn	ɑːhiːm
ajalê barkêş	aʒɑli barkeʃ
ajardil	ɑːdʒaːrdəl
ajawa	ɑːʒɑː
ajeng	að̞ʒɨm
ajik	ɑʒiːk
ajinî	ɑːdʒiːniː
ajneber	æʒnebɛr
ajneberî	ɑːdʒneːbæɾi
ajneberî kirin	aʒnebariʁ ekriŋ
ajotî	ɑːʒɑːoʁti
akademîk	akademik
akam	ʔɑːkɑm
akar	ɑːkɑːɾ
akerdeyîş	akest
akronîm	akruːnim
aksan	ɑˈksɑn
akvaryum	ɑkvɑrjum
alandin	ɑɣlandɯn
alayiş	ɑlɑːˈiːʃ
alaz	ɑlɑs
albalû	bʔɑlɓuːluv
alek	ɑːlɛk
aleng	ɑːlɑːn
aleşt	ɑːlɑʃt
alfabe	pɒlfˈɒbe
algûnî	ælguːniː
alif	ɑˈlɪf
aliqandin	ʔɑliqɑmdaːn
aliqîn	ɑqɯn
alisandin	aːlisandin
alizî	ɒːlziː
allah	ælˈlɑh
allahu akbar	la aːl ʝˈoːaːk bˈɑɾ
allel	alˈɛn
alman	ɑlmɑn
almast	ɑlmɑst
alole	ɒˈlɒlɒˈlɒ
aloq	ɑːlɑːq
alos	ɑːlɑːs
aloz	ɒːlæz
aloş	ɑːlɑːʃ
alqol	halqul
altax	ɑfɑh
altaxî	ɑlˈtɑxˈhi
alunça	ɑlɯnʧɑ
aluçe	ɑɫutʃæ
alîdan	ɒːliːdɒːn
alîgirtin	ɑligɾtʰɛn
alîgirî	ɑːliːgːriː
alîkarî	ɑːliːkɑːriː
alîkarî kirin	ɑɾi kɑɾi kʲirɛn
alîn	ɑːliːm
alînegir	ɑːliːnægæɾ
alînegirî	alinegriː
alîsor	ɑːlɪsor
alîzarîn	ɑːlizɑːæˈɾiːn
alû	ɑlˈuː
alûde	aːluːde
alûdetî	ɑludɛti
alûl	ɑlul
alûmînyum	aluminjo
alûmînyumî	ɑlumˈinjʊmɪ
alûs	ɑːlˈʊz
alûsî	ɒːlusiː
alûç	aːlˈutʃ
alûçe	aluqe
amade	ɒɒmɒde
amade bûn	ɑːmɑːd̪eːbun
amade kirin	aːmaː de kren
amadekar	ɑːmædkɑːr
amadetî	ɑːmɑːdti
amadeyî	ɑːmɑːdʔeː
amaje kirin	aːmaːʒɛkɾin
aman	ɑmɑn
amanc	ɑmɑnts
amanj	æmænʄ
ambargo	nˈbɑrgo
amedekar	ɑːmɑːdɛkɑr
amediye	ɒːmdiːe
amoj	ɑːmɔʃ
amojgeh	ɑmuʒgæ
amojgerî	ɑːmʃgæ
amojî kirin	amutʃi kren
amojîş	aːmoːʒiʃ
amper	ɑmplɛr
amperpîv	ɑmpɛrpiv
ampul	ɑ̃pul
amraz	ɒːmrozo
amraz kirin	amraz kren
amrazdar	amrazdar
amuriziş	ɒːmʊˈɾˈizˈiʃ
amurziş	aːmuziʃ
amîn	ɑːmiːn
amîşk	ɑːmiːʃk
amûd	ɑmuːt
amûde	amuda
amûjkarî	ɑːmuːʒkɑːriː
amûr	ɒːmuːɾ
amûret	ɑmuːɾet
amûrsaz	ɑmuːrsɑs
amûşkar	ɑːmuʃkɑːr
an	n
anarşî	ɑnɑrʃiː
anarşîst	ɔːnɑːrtʃeʃt
angaşt	ongˈɑst
angaştdar	aŋgaʃtaɾ
ango	a�ŋgo
anku	ˈɛnkˈu
antîbiyotik	ɒntibɾˈijotik
anîn	ɑːn�n
anîşk	aniʃk
anûha	ɑnˈhɑ
ap	ʔ
aqasya	aqasijæ
aqil	ɑːɢɯl
aqilane	ɑqɯlɑne
aqîbet	ɑqibæt
ar	ɑːr
aram	ɑːrəm
aramcan	ɑɾɑmdʒɑn
aramdil	aːrmdil
aramî	ɑːɾɑːmiː
arandin	aɾandɯn
araq	ɑːrɑːq
arasta	aɾastɑ
arastin	aːrsˈtæn
arastî	ɑːrɑːˈstiː
arav	ɑːɾɑv
arayî	ɑːɾɑːiː
arayîş	ɐɾɐ̃ʃ
ard	ɑːɾt
ardel	aɾdæl
ardik	aɾdiq
ardvan	ɑːɾdvɑːn
ardîn	ɑːrdiːn
arengî	ɑːɾˈɛnˈgɯ
arestek	aːrstˈek
arguş	ɑɾgʊʃ
argîn	aɾqin
argûn	ɑrgun
arifte	ʔɑrɪ̞ptæ
arik	ɑɾɯk
arikî bûn	ɑɾɯkibun
arinc	ɑːɾɯntʃ
aritandin	ɒɾitɒndin
aritîn	ɑːrtʰiːn
ariz	ɒɾiz
ariş bûn	əɾəʃˈbun
arişt	ɑrɯʃt
arişî	ɾʃiː
arjin	əˈrʒiŋ
arkeolojî	ɑɾkeˈvɑlɑːʒi
armanc	ɑrmɑːnʒ
armanc kirin	ɒɾmɒntʃkɒˈɾˈin
armatûr	ɑrmɑtʏr
arpêj	ɑɾˈbæj
arpêt	ɑːrpˌe
arpêç	ɑːrpeʃ
arq	ɑrq
arqîn	ɑːɾqˈin
arteşî	ɑːrˈtʃæi
artilandin	ɑrtɯˈlɑndɯn
artilîn	ɾtælʲin
artêş	ɑːlˈkæʃ
artêşgeh	ɒɾte̞ʃgæ
artîşok	ɑːrtiːʃok
arvan	ɾuːɑːn
arvane	ɑrvɑne
arvend	ɑːrvɛnd
arxetk	ɑɾxætk
arz	ɑrɯz
arzankirin	ɑɾzɑnkɪrɪm
arzendam	ɒɾzɒndaˈm
arzenî	ɑrˈzæni
arzing	ɒɾzɒˈnk
arziz	ɑːrzɯz
arzêl	ɑːrˈzeːl
arî	ɑːri
arîk	ɑːɾiːk
arîkar	bɑːriːkʰəər
arîkarî	əriːkʰaːri
arînijad	ɑːriːne̞ʒt
arînok	aːrinok
arîş	ɑːɾiːʃ
arîşte	bɑristɛ
arûf	ɑːruːf
arûk	ɑːɾuːk
arûm	ɑːɾum
arûng	aːruːng
arûs	ɑɾuz
arşivkar	ɑːrʃɪvkɑːr
arşiyan	ɑːɾʃiːɑːn
arşîn	ɾʃiːn
arşît	ɾʃiːd
arşîv	ɑɾʃiv
asan	ɑːsɑːn
asansor	ɑsɑnsuɾ
asar	ɑːsɑːr
asgêr	ɒsgɒɾ
aspur	ɑspuːr
aspîrîn	ɑspiɾˈin
asrim	ɑsˈɾim
ast	ɑst
astane	ɑstʰɑˈnɑ
astengdar	astæŋgdæɾ
astengker	æstænkæɾ
asya	ˈaʊsja
asyayî	ɑːsijɑːɪ
asîme	ʔɑsɪmæ
asîstan	ɑˈsistɑˌn
asîstanî	ʔasistani
asîtan	ɑːsitɑːn
atarzan	ɑːt̪ɾˈzɑːn
ataşe	aːtâːʃɛ
ateran	ɑtɛˈrɑn
attar	atɔɾ
attarî	ætˈtɑːri
av	ˈɑ
av kişandin	ɒv keʃandɒˈnˈ
av lê kirin	avlɪj
av reşên	ɒvɾaˈʃiːn
ava	ɑvɑ
ava bûn	aːvɑː buːnt
avadanî	ɑːvɑːdɑːniː
avahîsaz	ɑːbɑːhisɑːz
avahîsazî	ɑːvɑːhe̞sɒːæziː
avanî	ɑːvɑːniː
avar	ɑːvɑːr
avareş	ɑɒɑɾeʃ
avayî	ɑːvɑːiː
avaşîn	abɑːʃin
avaşîrîn	ɑːvɑːʃiːrin
avberdan	ɒvbeɾˈdan
avciqandin	ɑwdʒɑqnɤtɨn
avdan	ɒvdɒːn
avdang	ɒvdɒŋˈg
avdanî	ɑːvdɑːniː
avdar	ɑvˈdɑr
avdarî	ɑːfdɑːri
avder	ɒvdɒɾ
avdest	ɑːvdæst
avdestxane	ɑːvd̪e̞stxɒːne
avdev	ɒvdevv
avdozek	ɒvdozɒk
avdîn	ɒvd̪iːm
avdûn	aːvdoːn
avdûng	afdunək
avedar	ɒːvɒːdɒːɾ
avgir	ɑvgʊr
avgoşt	ɒvgɒst
avgîr	aːvgiːr
avis bûn	aːl β̞ɯ̞sbõːn
avis kirin	aːbəz kɾim
avisî	ɒvvsi
avkêş	ɑfˈʃæ
avreş	aːvrʃ
avru	aːvruː
avrud	aːvrut
avruh	ɒvɾɒ
avrêjk	au
avrêl	ɒvɾil
avtang	ɑftɑnk
avtav	ɑftɑv
avzan	ɒvˈzaːn
avzirift	ɑfˈzæɾift
avzê	ɒvzij
avzêl	ɑfˈðɪl
avzên	afzen
avzêr	ɒvzeɾ
avzêrbûn	ɑfˈzərbun
avzêrbûyî	abzeɾbwˈji
avzêrkirin	ɑvzɪrkɾɪ̞n
avzûng	afzʊŋ
avêtî	ɑːvˈtiː
avî	pɑði
avîn	ævjɢ
avûqat	avukat
avûqatî	ælqɑtɪ
awa	qɔva
awakî	ɑwɑkɪ
awante	aːnta
awantexor	ɑuʊ̞ntæχʏ̞r
aware	ɔː
aware kirin	aːl aːr ə kɪrɪ̞n
awarebûn	ɑuɑɾbun
awareyî	ˌɐlɐɾˈeɪ
awarte	ɑwɑrtæ
awartin	ɑu̯
awartî	ɑuəɾtʰi
awatexwaz	ɑwɑtxoːz
awaze	ɑˈvɑzɛ
awazî	ɑːvɑːziː
awesta	aɛsta
awêne	ɒvɒjene
ax	ax
axaftin	ɑχftɨm
axayokê bêdarî	ɑɣəjʊ ke beːdɑːriː
axir	ɑːxɯr
axire	ɒχiɾe
axiret	ɑːxɪrɛt
axivok	ɑːxvoq
axivîn	ɑxˈdˈin
axme	ɑχˈmɑ
axovokî	axvokj
axpirak	ɑχpɾɑk
axîn	ɑːxɪn
axîn û nalîn	ɑχʲiːn uːnʔlʔalim
az kirin	azˈgˈiˈɾˈin
azad kirin	zɑtkɯ̞rɯ̞n
azadbûn	ɑzɑdɯn
azadi	ɑzɑːdi
azadî	ɑvɑːdˈiː
azadîxwaz	ɑːzɑːdiːxɑːz
azerbaycan	ɑzərbɑjdʒɑn
azerî	ɑːzɑːri
azmûn	ɑːzɯnɯm
aşbetal	ɑʂbætæɫ
aşe	aːʃiː
aşharîş	ɑʃɑːriːʃ
aşkerayî	ɑːʃkʰeːrɑːjiː
aşkû	aʃq
aşme	bɒʃme
aşnab	bɑʃnɔb
aşpezxane	bɑʃpezˈxɑnɑ
aşpêj	ˌɐʒpeɪʒ
aşt	ɑːst
aştî	ɑːst̪iː
aştîperwer	ɑːʃtiːpæɾvæɾ
aştîxwaz	ɑːʃtiːxwˈɑːz
aşvan	ɑʃˈvɑn
aşvanî	ɒːʃuːɑːniː
aşxane	ɒːʃxæˈne
aşîkar	ɑːʃiːkɑːr
aşît	ɑːʃiːd
aşîtiyane	bɑʃiːtjɑːnæ
aşîtîxwaz	ɑːʃiːtiːxʊz
aşîtîxwazî	ɑːʃiːtiːxoʊʔæziː
aşûrî	ɑːʃoːri
aẍozî	ɢɒːzˈi
ba kirin	bˈɒkɾˈɒˈnˈ
ba'rîn	bɑːrĩːn
bab	bˈʌb
baba	bɑˈbɑ
babelîsk	bˈˈabˈlaɪlˈsk
baberdan	babæɾdɑn
bablekanî	bɑblɪkɑne
bablîsok	bˈɑːbˈliːsoːq
babole	bɑbɔˈlæ
babûle	bɑbujlæ
bac	bʊdʒ
bac girtin	bɑʒgirtɪ̞ɴ
bacanê reş	bɑːdʒɑːn e̞ɾe̞ʃ
bacanê sor	bɑːdʒɑːn ɛsoɾ
bacar	bæˈʒæɾ
bacgir	bɑtʃgeɾ
bacxwer	bɑʃχʊ̞ɾɑr
bacxwerî	bɑʃχʊ̞æɾiː
bad	bɔd
badayî	badaj
bade	bɑde
badek	baːdɛk
badînî	bd̪eːni
bafik	bafɯk
bafrû	bafɾu
bag	pˈɛg
bager	bɑˈgæɾ
bagur	bɑˈgɯr
baharwar	bʱɦarʊɑːr
baharê	bʱɑːɾe
baharî	bʱɑːɾiː
bahoz	bˈɒɦos
bajale	bʊˈgɑːlɛ
bajar	bɑːdʒɑːr
bajarok	bəˈdʒaɾoːk
bajarî	bəːdʒɑːriː
bajen	bɒʃɒˈn
bajo	bozum
bakirî	bakri
bakurê roava	bakuːr e roʒaːva
bakurê rohilat	baːkuːre roʒtɾaː
bakû	vˈakʊl
bakûrî	bækʰoːri
balafirok	balafrɔk
balanî	bɑːlɑːniː
balbalîsk	balbalˈisˈk
balcane	bɒldʒani
baldar	bɑɫdɑɾ
baldarî	bɒldɒriˈ
baldirêj	bɑldɯɾeʃ
baldirêjî	bˈɑːlˈɾedʒi
balekan	bɑːlɑːkæm
balgeh	bɒlgɒ
balkêş	bɑlkɛʃ
bamya	pamja
baneşan	ɑːnɛsæːn
baneşîn	bɑːnʃiːn
bangdan	anˈdˈan
bangdêr	bɑŋgdeɾ
bangewâzî	bɒnguˈvɒːzi
bangêrî	bˈangɾˈi
baq kirin	bˈɒq kˈɾˈɒˈn
baqil	bɑqɯn
baqle	bɑqɫɑ
baran	bɑːrɑːm
bask	bɑsk
basketbol	maskɛt̪bɔl
baskistan	bɒːskʲiːstɒːn
baskî	bäːskiː
batînok	baːtiːnok
bav	fauː
bavfille	bafile
bavik	bo˩˥ːʋɯk˥˩
bavpîr	bafɯr
bavtî	bafti
bawer kirin	bawɜɾ kɪ̞rɪ̞ŋ
bawermend	bɑɫɑrmen
bawermendî	bɑwɜmɛndj
bawerî	balerˈi
bawerîn anîn	buːjaːˈɾiː ne ˈnæˌiniːn
bawesîr	balasiːr
bawesîrî	bueˈsɪˈsiːri
baweşîn	bɑːbʃin
bawî	bʊˈbiː
bax	bˈax
baxaj	mænxaʃ
baxdenûz	bɑxtənuz
baxtiyar	bɑɣtijɑr
baxtiyarî	bɑxˈtijɑːri
baxçe	bɑxtʃɛ
baxçevan	ɑɣtʃvɑn
baxçê zarokan	baxtʃe zɑːɾok hɑn
baxşandin	bɑxʃɑndɯn
baxşî	bˈˈɒʃi
baxşîn	baxʃiːn
baxşîwaz	boːˈʃiwˈɑs
bayezîdî	bajeziːdi
bazarkar	bazaɾkɑɾ
bazarkirin	bazɾkɾn
bazartîj	bäzɑrˈtiːʒ
bazartîjî	bæzæɾtiːʒiː
bazarî	bɑːzɑːri
bazbend	bæzbænt
bazdan	bazdan
bazirgan	balzeɾgən
bazirganî	bɑːzrgaːni
bazîd	bɒːziːd
baçîk	bɑtʃik
baçîkîn	batʃikin
baçûrê	batʃoːre
baş im	bˈɑːsən
başbûn	baʃbɔʃbɔj
başî	bɑːˈsiː
başûrê rohilat	baː ʃuːr roʒlat
başûrê rojava	baʃuːr e̞ɾɒːʒɒːvɒː
başûrî	bʃoːriː
bedel kirin	bæðæl kɪ̞rɪ̞n
bedesten	vædæstæn
bedew	bedau
bedewî	baoi
bedilandin	bædælandɯ̞n
behdînanî	beːˈhædiːnɑːniː
behdînî	bɾaːdini
behr	bħr
behre	beˈʃre
behîv	bħiːθ
bejan matur	beʃɒm maˈtʃuɾ
bejinxweş	beʒinxwæʃ
bejn	bæʒn
bejn û bal	beʒ nubɒl
bejnbihust	bʒnˈbøˈhʏst
bejndirêj	bajs̠e̞n̪d̪ɾejɣ̞s
bekiran	bˈɛkɾam
belalûk	bælɑːlʊk
belavbûn	bɒlafˈbuˈ
belavbûyî	beˈlˈɑfbuˈji
belavkirin	beˈlaːfgrɪn
belavok	tʃinioavuk
belengaz	beleŋgɑz
belloq	bˈɛloːq
belqitandin	bɑlkɑtɑndɯ̞ŋ
belqitîn	bɑlˈkɑtˤim
bendewa	bəndwa
bendewarî	bndwari
bengîn	beŋgin
benik	benig
benzîn	benˈziːn
benîşt	beniʃt
beq	bˈɑk
beranîk	bæɾˈaːnik
berav	beˈrav
beravêtî	beravˈeːti
berbang	bərbɑnˈk
berbangî	berbɑngi
berbat	bɛrbat
berbatkirin	bɛrɓɑtkɾˈŋ
berbatî	bæɾbɑːti
berbejn	bɒrbæʒn
berberî	bɾˈbɾˈi
berbijor	bərbʒoɾ
berbijêr	bæɾbæʒiːr
berbisk	bˈɛrbəsk
berbiçav	bɛrbətʃɑv
berbiçûn	bærbʲetʃun
berbûk	bɛrbuk
berd	dˈɛd
berdan	bæɾdɑm
berdberden	bɛrtbɛrˈden
berdestî	berdɒsˈti
berdevk	tɾˈtˈlk
berdewam	berdoːvɑm
berdewam kirin	baɾdauaːm kʲirən
berdewamî	berdoami
berdêl	bæɾðel
berdêlî	berdeːlj
beredayî	berdaj
berevanî kirin	berɛvɑn jkɾin
berfşo	baɾʃo
berg kirin	bærkʲɪrɪ̞ŋ
berhem	bɑrhæm
berjîn	bæɾʒiːn
berken	bæɾkæn
bermal	bæɾmɑn
bermalî	brmɑːliː
bername	vɛrnaːmɛ
bernav	bɾɾoɾo
beroş	be̞ɾoʃ
berpaşçûn	berpɑʃtʃun
berpirsiyarê leşkerî	ar pruːsiaːrj lʃːkaɾiː
berr	bˈɛɾ
bersiv dan	bæɾsældɑ
bersîle	bæɾsjlæ
berwext	bərˈvɪxt
berx	pɛr
berxwe ketin	bɒr χɒkɒtiˈm
berxwedan	darxada
berzex	bɛrzæx
berçavik	bɛrˈtʃɑlk
berçelan	bæɾtʃælɑm
berçem	bærtʃæm
berîn	bˈeɾiːn
berşîv	bæɾʃiv
bestin	bɛstɨn
betilandin	bɒtɾɒndˈing
betilî	bɛtili
betilîn	bt̪l
betlane	betlɑnɛ
betlaneya havînê	bʊ̞tlɑːnʲɪʔa ħɑʋiːne
bexdenos	baɣ̞ð̞amez
bext	bˈɛxt
bextewar	baxtwaɾ
bextewarî	baxtsaˈwɑri
bextewer	bqtaˈvɑr
bextiyarî	axtiaːri
bextreşi	bxtəɾtʃi
bextreşî	nɪˈtʃtʰʃaʃiːf
bextyar	beɾˈtiːjæɾ
bextê kesekî birîn	qɑfˈse kʰæˈkʰe jsɛke̞ doɾiːn
bexçe	bɒqtʃɒ
beyanîbaş	bejɑːniːbaʃ
bi gelekî	beˈgɛl eki
bi hemî	ba hæmiː
bi hev re (präp.)	bʲɛʋra
bi kêmahî	bˈekeːmɑːhɪ
bi nav û deng	bˈiˈnɑvudæŋ
bi paş ve	luːpɑʃ be
bi pêkanî	d peːkaːniː
bi rastî?	brastˈi
bi tenê	betnɛ
bi xatirê te	bxat ɾiːtə
bi xatirê we	bexɒtˈɾewe
bi xelet	bixtʃ
bi xeletî	bexla te
bibûre	bɔblɛ
bidestketin	bɪ̞ðæsttʃætɪ̞m
biharat	bʱɑːrɑːt̪
bihok	maʕu
bihîstin	biχistim
bihîstin tîpa i bi kurmancî ı tê xwendin î bi kurmancî i tê xwendin ê tîrkî bizanin min fêhm kirin	beˈstˈen
bijang	beʒɑ̃k
bijîjk	bəˈgisk
bijîjkî	β̞jxisla
bikaranîn	bɯkarǎnɯm
bikarnêr	bˈekɚnˈert
bilbil	bəlbəl
bilindeka paşîya keştîyê	pɾiˈndek apaːʃiː keʃtiˈje
bilindî	bɪ̞ɾindi̞
binav	bnaf
bindestî	bɛndɛstʲiːm
binefşî	fˈaːsˈfˈi
binerd	bæn�ɾæd
binevş	bɑnɛvʃ
binê aşan	ene ɑːʃɑːn
bira	brˈa
birajtin	bɾɑʃtɯ̞n
birazava	bɾazava
biraştin	bɾaʃtɯm
birinc	bɛrˈɛntʃ
birincê kelandî	brəndʒe e kəlɛndi
birjandî	brʒaːnˈdi
bisekine	bizsɛkmɛ
bismil	bismil
bivir	bˈɪvɪr
biwêj	bˈoɪʒ
bixe	baxwa
bixwe	bˈaχwa
biyofîzîk	bˈioˈphysˈk
bize	bɯzɛ
bizin	bˈɯzən
bizmar	bizmɑːr
bizêke	bizɪkɛ
biçûk	beˈtʃikoːlæm
bişar	bʃɑːɾ
bmw	bjˈenðe
bo çi	vutsɨ
bokan	buːlkan
borîk	bɔɾik
botanî	otʰæˈniː
boukan	buːkæn
bra	bra
brakujî	brakok
brazî	bravi
burhan berken	buɾ hɒmbærkæn
bê ba	beːba
bê guman	beːguma
bêbav	beˈbɑː
bêbext	beˈbæxt
bêcirman	beːgdʒiɾman
bêdeng	bʲɪɾðæŋk
bêdeng be! hişe!	beːd̪enb ɯzʃa
bêder	bˈeːdæɾ
bêdil	mˈeɪdɪd
bêguman	iːgumɑn
bêhempa	beːˈʔeːnpɒ
bêhemsal	behæmˈsɑːl
bêhnteng	beːˈhəntˈaːnk
bêhvil	beːˈʃvil
bêjename	bʃɒnˈɒmɒ
bêjenasî	beʒeˈnɑːsi
bêjewan	beʃɒˈwan
bêjing	beʃi
bêpar	beːpɑːr
bêperwa	beːpæɾˈvɑ
bêreng	beˈræŋ
bêrîtan	beɾiːtɑːm
bêrîvan	berˈavˈaˈn
bêrîvanî	beriβ̞aːni
bêrîya kirin	beɾi ja qiˈɾiŋ
bêrûmet	berumat
bêtir	beˈtɪr
bêçî	beːtʃi
bîjî	bʁˈi
bîlbo	ilbo
bîok	bjˈʊk
bîr	bɪr
bîra	bɾɒ
bîrdarî	peɾdɑːriː
bîrnebûn	biɾnæbɔn
bîrov	bjˈrov
bîst	bif
bîstmal	biztəmɑl
bûk	bˈuk
bûka	buka
bûm	bum
camî	dʒɑːmæ
canbeg	dʒˈɑmbæk
carek	ʒˈɑrik
carek dî	dʒoɾk diːk
cebirxane	dʒbrxɑne
cehter	dʒɛhtær
cejn cejna kûrdaye	dʒɛdʒin dʒɛdʒnɑ kurda je
cejna dayikbûna îsa pêxember	ʃʌgːnɑːt̪ dɑːɾiː kɔŋnːəːt̪ kiːsaːt̪ keː fɔːn beːɾ
cejna nohel	dʒaʒnˈa nwal
cejna nohel derbasbu	dʒdʒnaːnv həl dd̪r baːs bu
cejna zayînê	dɛnˈaːnˈʃˈaː
celadet ali bedirxan	dʒlɑd ʔalˈi be diɾxɑn
celadet alî bedirxan	dʒlɑdɑd ɑli bad̪r xɑn
celal	dʒenɑːn
celal talebanî	zælæd tɑːdæb æ
cemaet	dʒamaːʕat
cewher	tʃauher
cezayî	zəˈzɑː
chawany	tʃaːn˧iː
cihûtî	dʒəɦoːtiː
cilşo	dʒɪlʃo
cilşoxane	dʒlʃoːxɑːne
civakî	dʒəvəkii
cixare	bʒigɑrɛ
cixarekêş	dʒaxɑːrkɛʃ
cizîrê	dʒizirɪ
cizîrî	dʒuziːri
cohtkar	dʒoːtgaɾ
cok	dʒɑːk
colemêrg	dʒɔlɛmiɾ
cot	dʒot
cot kirin	dʒod dʒoɾin
cubbe	dʒubːɛ
cure	zʏɾe
cuzdan	dʒyzdɒm
cêr	dʒeɾ
cêvî	dʒevi
cîhan	kihãn
cînav	dʒiːnoːv
cînavk	dˈiːnˈɔk
cîran	tʃiːˈɾɑn
cûcik	dʒidʒik
cûdî	ʒʊˈdi
dadgeha leşkerî	dɑːtgeː hɑlɑʃ kʲeɾi
dadger	lˈɑtgˈɛl
dagirkerî	bˈɑːrkæɾˈiː
dagirkirin	dagɯrkɛrin
dagirtin	dækɪ̞rtʲɪŋ
dahol	dɑːhʊl
dan dûv	dɑ̃ dˈov
dara hênê	dˈɑrˈa ˈne
daristan	arɨstan
darker	dɑːɾkæɾ
darkutk	d̪aːrkutk
darniklok	dardɯdɯlɯk
darvan	bɐrˈvɑːn
darçîn	dartʃiːn
darî	daːriː
dastan	tɔstɔn
dawervandin	davɑɾvandɯn
dawî	bali
dawîya hefteyê	zəvjɑː hʊˈbeː e
daxwaz	baxʊs
daya	taja
dayik	ðäɪ̞k
dayza	dɒiza
dayîn	dajˈn
daçek	batʃek
daşir	aʃɯɾ
de'we	daʕwɑ
def	bent
defne	dæfne
dehem	dhem
deleverge	tɒlɒvɒɾˈgɒ
delfîn	delfin
dem û dest	dam u dɛst
dema niha	dman ha
demeke salê	dmke sɑˈli
demjimêr	demʒmeːr
demokrasî	demokrɛtsij
demokrat	d̪emokɾat̪s
demên salê	demen sɑli
deng kirin	ðænkjɾim
dengdêrên dirêj	t̪anβ̞eɾa ẽn̪d̪ɾeʃ
dengdêrên kurt	ðeːreːn kɵrt
dengubas	t̪ẽn̪ɣ̞omas
dengê êzîdiyan	ð ge̞ æzˈidiːɑm
depîn	dapːain
deqîqe	daqa
derbas	bɾaːs
derbas bûn	dɾbaːs bujn
derbasname	dæɾbɑtsnɑme
derd	dæɾt
dereng	dærenk
derengî	dæɾæŋgi
derew	dɛʁɛw
derew kirin	ðər ɪlkrɪm
derewkar	darawkar
derewçîn	daːraːqin
dergevan	beɾgevɒn
dergûş	dærgʊtʃ
dermanfroş	darmɑnfʁoʃ
dersxane	dæɾsxɑnɛ
derya	dˈɾiːa
deryavan	dəɾˈjɑːvɑːn
deryavanî	drjɑaːne
desgîn	tɛsˈgin
dest	bɛst
deste	dɛstɛ
destgirtî	testkɾtiː
destnîşankirin	ðəsniːʃaːnkɪrɪn
destpêkirin	dæspɛjkæɾiːn
destveng	dˈɛstvˈɛŋk
destê sibê	dastelse be
devang	davæng
devkî	ˈdeːvki
devok	dˈɛstˈɔ̃
devqîç	ðəfʲitʃ
devçarox	daftʃaɾoːχ
dew	dˈo
dewar	dɒˈɫɒr
dewlemend	dæwlæmænt
deyn	dane
deyn dan	deɪnðɑn
deyndar	ðeɪ̞ndɑr
deşt	dˈeʃt
di carekî de	ðɒdʒɒɾekide
di cî de	de ʒide
di nav xwe de	lid̪ mɒn qɒhɒdɒː
