0	zɛru
afroixón	afɾɔjʃˈɔ̃
afundir	afwdˈiɹ
aga	aga
agaitar	agai̯tsov
agardar	aɣ̞aɾð̞aɾ
agarimar	aɣaɾimaɾ
agarimo	aɣaɾimo
agasallar	aɣaθaʝaɾ
agasallo	aɣasˈaʎo
agnosticismo	aːnˈnˈostisˈsˈmˈˈo
agnóstico	aɣnstiko
agochar	jɑxʧæ
agoiro	aɣojsʊ
agora	aɣoɾa
agora ben	aɣoɾɐ bˈeɪŋ
agora xa foi(, marica non chores	aɣoɾa ʃafoi maɾikan on tʃoɾis
agosto	axostu
agra	aːgɾa
agradecer	aɣɾaðeθeɾ
agricultura	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
agro	alɾo
agromaior	aɣɾomaʝoɾ
agromar	aɣ̞ɾomaɾ
agronomía	agɾonomia
agua	aɫa
aguaneiro	aɣuɐnˈejsʊ
aguia	agie
aguia calzada	ɣ̞ja kalθað̞a
aguiacho	aɣiatʃo
aguiar	aɣ̞uiaɾ
agulla	ɑxˈuɟˈæ
agás	agas
agás que	a ɣ̞as ke
agás se	aʒˈas se
ai maruxiña non vaias á herba! que vén o vento e toda cha leva!	ai mɾuʃiʎa nõŋ βaia sɐ heɾβa ke βeŋ ʊ βeŋtʊ tɔdɐ tʃaleβa
ai maruxiña non vaias á herba[slash]que vén o vento e toda cha leva	aj maɾwʃiɲa nõŋ βaia sɐɛɾβa ke βɛŋgʊ ʊ bɛŋtʊ e tʊða tʃaleβa
aira	bajɾe
airexe	ajɾeʃ
airoá	ajɾoa
aixa (gl)	ajʃa
alakazam	lakaːfaːm
alaxe	ælʃ
alazá	alafˈa
alazán	aɾaθan
albarellos	alβ̞aɾellos
albaricoqueiro	alβ̞aɾjkokẽi̯ð̞o
albariño	alβ̞aɾiɲʊ
albatros	alβ̞at̪ɾos
alberte	albeɾte
alberto núñez feijóo	tskɾ
albino	albino
albiscar	albˈistaɾ
alborada	algoɾað̞o
alca	alke
alcatraz	kapkat̪ɾaθ
alcrique	alkalik
alcume	alkume
aldar	ald̪aɾ
aldea	alð̞ea
aldea de abaixo	al̪d̪ea d̪e β̞aiɣ̞so
aldea de arriba	al̪d̪ea ð̞ariβ̞a
aldea de baixo	alð̞ea d̪e lajɣ̞so
aldeá	alð̞eɑ
aldeán	al̪t̪eãn̪t̪
aldraxe	alɣ̞ɾat̪t̪
alemaña	alemãn̪ʝa
alemparte	alempaɾte
alemá	alemˈa
alemán	alemˈan
alende	alende
alerxia	aleʃˈa
alexandre	alleʃandre
alexandre bóveda	aləʃaːn seɾɛ βojɾa
alfabeticamente	alfaβetikaminti
alfanumérico	alfanomeɾjkʊ
alfoz	alfos
alfándega	alfandɾja
alga	alɣa
algo	alɣo
algodón	alɣ̞oð̞onk
algoloxía	alɣ̞oloʃia
algoritmo	ɑlɣɔɾjðæˈmuː
algunha	alɣ̞una
algures	algoːɾe̞s
alguén	alɣ̞ẽn̪ʝ
algún	alɣ̞ũm
algúns	alɣ̞uns
alicerce	alipeɾte
alicia	alˌiθˈɑ
aliciente	aliθjente
alimentador de papel	alimnetaðɔɾ dɛ papel
alimento	alimentɔ
aliteración	aljteɾaθioŋ
aliñar	aliɲaɾ
allariz	baðaɾi
allea	adʒea
alleo	aɲeo
almacenaxe óptica	aɾmɐθenɐtʃjʊ pˈtjka
almofadiña	almɔfadɪnʝa
almorzo	almɔrθɔ
almude	almuð̞e
almudena	almoð̞ena
almuíña	almoĩɲa
aloumiñar	alowmiɲaɾ
alta densidade	alt̪a d̪ẽn̪t̪siɾað̞e
altamira	altamira
alternancia	alteɾnansia
altilocuencia	altiðʊkuenθi̯a
altitude	altitute
altofalante interno	alto falante interno
altruísta	al̪t̪ɾuist̪a
altura	al̪t̪uɾa
altísimo	altisimo
alucar	alokad
alude	aluzˈe
alugar	lalumeɾ
alumnado	alumnado
alumno	alumnʊ
alvarín	alβ̞aɾiɲ
alxibeira	alɣ̞sibeliɾa
alá	alaː
alén	alem
alén de	alend̪ d̪e
alí	ad̪iː
aló	alo
amabilísimo	amabeliθimo
amable	amabli
amais de	a mez d̪e
amarela	amaɾela
amarelle	ɐmɐɾˈeʒa
amarelo	amaɾelo
ambas	ambas
ambiente	ambientˌe
amboaxe	amboaʃe
ambos	ambuz
amedo	ameð̞o
ameixa	tʃãːm
ameixa babosa	la meiɪsau a β̞ossa
ameixa fina	la meiɣ̞sa fina
ameixeira	ameɪˈseɪɾa
amencer	əmˈaɪfɪr
amendoeira	nenɾɯeːrjɯɯː
ameneiro	amɛneil
americano	ameɾikano
amicto	amikto
amido	amido
amieiro	ɑːmiːɑːɑːgum
amigdalite	amist̪d̪alit̪e
amigo	amiko
amigos da terra	amjɣ̞os d̪e t̪era
amnesia	amnɛsʲijɛ
amnios	ɛmnjuːz
amnistía	amnist̪ja
amodo	ɑmɑzu
amolar	amɔla
amor	amon
amora	namˈora
amoreira	amˌoːɾˈeire
amorodo	amoɾoðʊ
amosar	amʊsɐɾ
amábel	amaβ̞el
amén	ʔamen
améndoa	amendɔ
anaco	anako
anaerobiose	anaerobiozi
analista	analist̪a
analista de sistemas	analist̪a d̪e sist̪emez
analista programador	analist̪a pɾoɣ̞ɾamað̞oɾ
analóxico	analoʃiko
anamnese	anamnesɪ
anarquismo	anaɾkˈsm
anatomía	anˈatomˈia
anatomía comparada	anatomia kɔmpaɾaβa
anca	aŋka
ancestral	anfestɾal
anciá	ant̪sj
ancián	anfian
andarríos	anð̞aɾius
andazo	andˈaθˈo
andesita	ant̪esita
andoriña	anurinˈe
andoriña dos penedos	mãn doɾiɲa dɔs pɾemizos
andrade	enðɾadɛ
anduriña	antˈwˈrɪɲˈa
anecdotario	aneɣ̞ð̞ot̪aɾio
anecdótico	aneɣ̞ð̞at̪iko
anexar	ɦnɛksaɾ
anfibio	amfibio
anfibios	amfiβ̞ios
anfictionia	elsfjkt̪jnia
anfictión	elsfjktioŋ
anfitrioa	afit̪ɾjɔ
anfitrión	ansitɾiɔn
angarellas	angarellas
angazo	aːlgˈastum
anglicano	anɣlikanɔ
angrois	anʝɾɔjs
anguiacho	aŋgiatʃo
anguía	angˈeɾa
anhelar	anelaɾ
anilina	anɪliːne
animais	animais
animais sociais	animaʝs sofjaʝs
aniversario	aniβ̞eɾsaɾjo
ano	ano
ano novo, vida nova.	ˈɐ̃nw nˈovʊ vˈidɐ nˈɔvɐ
anoitecer	anojt̪ke
ansemil	semil
anseriformes	əndsˈɚfˈɔɹmɪŋs
ansiedade	antʃedadʃ
antano	ant̪ãn̪t̪
ante	ante
antergo	antˈɛrgo
antergos	antˈeɾɣos
antes	antes
antes de	antes dˈe
antes de antonte	antes d̪e ãn̪t̪õn̪t̪e
antes de que	antes dɛ ke
antes que	antistˈɛ
antibiótico	ˌantiβjˈotiko
anticonceptivo	antikõn̪sept̪jbo
antifascismo	antifasθismo
antigas	ant̪iɣ̞ues
antigo	antigo
antigos	antjɣʊs
antigüidade	antˌiɣwiðˈaðe
antiquísimo	antikissimo
antivirus	ant̪iβ̞iros
antonte	antonte
antroido	antɾɔjðʊ
antropoloxía	ant̪ropoloɣ̞ia
antropomorfismo	baːltæbɑːziːʃkæn
antártico	antˈatiko
antártida	ãn̪t̪aɾt̪iɾa
antítese	antitese
antón	antˈon
anuencia	anwẽn̪fia
anuente	anuẽn̪t̪e
anuncio	anunθjo
anxina	anʃiːne
anxo	anʃo
anxo quintana	aɲn ʃaː keˈltan
análise	anˈaliθe
anécdota	aneɣ̞ð̞ot̪a
ao	o
ao amigo co seu vicio débeselle querer e atender	aʊ amiɣʊ kʊsew βisio dɛβese ʎɛ keɾeɾe atendɛɾ
ao amigo hai que aturalo co seu vicio	ʊ amjɣʊ aj katwɾalʊ kʊseʊ βjθi̯ʊ
ao boi vello non lle busques abrigo	o bo j beʝ e nõŋ ʝe buske seβ̞ɾiɣ̞o
ao dereito	ˌɔ dˌɨɾˈeɪtʊ
ao escaravello, os seus fillos parécenlle ouro fino	a bəskɐrabeʎɐ os seus fiʎos paɾesin ʎe ɔeuɾɔfinɔs
ao feito, brazo e peito	ʊ fɛitʊ bɾaθʊ e pˈeɪtʊ
ao feito, peito	ofeito peito
ao home ousado, a fortuna vénselle á mao	ʊ omɛʊsado a foɾtuna bensi ʎamaw
ao mal tempo, boa cara	ʊ mal t̪empʊ bo a kaɾa
ao redor	ɾeðoɾ
ao revés	oɾɾeβ̞es
aos	ʃtˈe
aparecer	apaɾeθeɾ
aparello circulatorio	a paɾedʒi ɣ̞sirkulatorio
aparello dixestivo	apaɾeiɣ̞s ɟʝsest̪iβ̞w
aparencia	apaɾiɛnθi̯a
apenas	apenas
apendicite	apendisite
aperta	apert̪a
apesar de que	apikeɾ d̪e k
apetecible	apeteθiβle
apetecíbel	apeteθibl
apezar	apesaɾ
aplicación	ˌaplikaθjˈon
aplicouse	aplikowsʲe
apodíctico	apoð̞ikt̪iko
apotegma	apotema
apoteose	apoteosi
apoxeo	apɔsseʊ
aprazar	apaɾaθaɾ
aprontar	apɾõn̪t̪aɾ
aproximación	ˌapɾosˌimaθjˈoŋ
aproximar	apɾoɣ̞simaɾ
aptitude	aptitʊðe
apto	aptu
apupos	apupos
após	apost
apóstolo	apostulu
aquel	akell
aquela	akela
aquelar	akest̪
aquelas	akeles
aqueles	akeles
aqueloutra	akest̪alt̪ɾa
aqueloutrado	ˈatɪvɑʊtrˈavɐ
aqueloutrar	akest̪lõt̪numeɾot̪ɾas
aqueloutras	lakelout̪ɾas
aqueloutro	akelowtro
aqueloutros	akelowtros
aquilino	aːgillˈiŋˈu
aquilo	pakilo
aquén	akĩŋ
aquén de	akest̪ d̪e
aquí	akˈi
arado	aɾað̞o
arameo	almejo
arao	aɾau
araña	laɾaːnˈne
araúxo	aɾaũsʊ
arbusto	arbusto
arbórea	aɾβ̞oɾja
arbóreo	aɾβ̞oɾio
arcano	aɾkãn̪o
arcebispo	art̪emez
arcos	arkuz
arder	aɾð̞eɾ
ardora	aɾð̞oɾa
areoloxía	areolosia
arestora	aɾestora
aresá	aɾesam
aresán	aɾɾisãn
aritmética	aɾigmetika
armaría	aɾmaɾia
armental	aɾment̪al
arnela	aɾˈnˈɛlˈa
arnoiao	aɾnoʝau
arnoiá	anoja
arosa	arɔʃa
arousá	aroosa
arousán	aɾau̯sãn̪t̪
arqueoloxía	aɾkeoloɣ̞ia
arqueolóxica	arkeolɔʃika
arqueóloga	aɾkeouɐ
arqueólogos	aɾkeʊlogos
arquipélago	aɾkipleɣ̞o
arquitecto	aɾkjt̪ekto
arquitectura	aɾt̪jt̪ekt̪wɾa
arquivar	æɾkjbɑːr
arquivo	aɾkivu
arrabaldo	araβ̞alð̞o
arranxar	arãn̪xaɾ
arrastrar	arast̪ɾaɾ
arredor	areð̞oɾ
arredor de	areð̞oɾð̞e
arreo	areɔ
arriba	arjβ̞a
arriba de	ariβ̞að̞e
arrincar	arrĩŋkaɾ
arroaz	aɾˈɾɑs
arroaz pinto	arɾospintɔ
arrogancia	aɾɾoɣ̞ɑn̟θia
arrotar	arot̪aɾ
arroubo	arɔuɣʊ
arroutada	arolt̪að̞a
arroxo	aɾɾoiɣʃo
arroz	aros
arroz de marisco	aʁˈt dˈə maɾˈiʒ
arruxo	aɾuʃo
artefacto	aɾt̪efakt̪o
arteixo	aɾt̪eʃo
arteriosclerose	aɾteɾioeskleɾɔsej
artes	aɾtes
artesiano	aɾt̪ekjano
artesá	aɾtisa
artesán	aɾt̪esãn̪om
artificio	ˌaɾtifˈiθjo
artillaría	aɾt̪iaɾia
artiodáctilo	aːftjdktiːlə
artrite	artritˈe
arufe	aɾufe
arume	alume
arxemil	aɾkemiɫ
arxentina	aɾʃent̪ina
arxibebes	aɾtʃjbɛbiz
arximiro	asimjro
arxéntea	asentia
arxénteo	aɾgenteʊ
arzuá	asˌtˈa
arzuán	asoan
arzúa	aɾsua
arácnido	ɑrɑkniːdo
arén	aɾãĩ̯
as	as
as airas	asaiɾez
as ameixeiras	asamejɣ̞se iɾes
as antas	as alta es
as areas	as aðeas
as casetas	tɾas kasetas
as cuncas de viño desta taberna sonche moi enxebres	els kõm kas d̪e β̞jnw d̪e t̪at̪aβ̞eɾna fõn se moj ẽn̪ɣ̞seɾt̪s
as demais	as dɛ majs
as encrobas	asempɾimas
as estrugas pican na pel, mais tamén se poden comer	les est̪ɾuɣ̞ues pikaɾ bat̪aʝa pell malʝst̪amẽn̪t̪ se poð̞ẽŋ komaɾ
as laxes	as laʃes
as maus	els maos
as máis	asmais
as neves	les neβ̞es
as quintás	æs kim tˈɑs
as raíces	as ɣeθes
as ánimas	pasaɾimas
asasino	asassinʊ
ascendencia	askɛnðensia
ascender	ast̪ẽn̪d̪eɾ
ascensor	asθensioɾ
aseitar	aʃajtɑɾ
asemade	au̯sɛumhaɾei
asexar	ɒsɒʃɒɾ
asinar	asin
asistente dixital persoal	assizt̪ẽn̪t̪a d̪iɣ̞it̪al peɾsoal
aspecto	aspekto
aspirina	asperiinɛ
astano	estano
asteroide	ast̪eɾo̞ið̞es
astrolabio	astɾolabio
astronomía	aʃtɾɔnɔmjɐ
astroxeoloxía	astrokeoloʃia
asturiano	astroiˈano
asubiar	asˌuβ̞iat̪
asunción	asʊmθi̯oŋ
asunto	assˈunto
así	asˈi
así como	asˈi kˌomo
así e todo	asˈi a tˈoðo
así mesmo	asi mezmɔ
así pois	asi pojs
así que	asˈi ke
ata	hata
ata mañá	tɐmɐnˈa
ataque	atakɛ
ataúde	atauð̞e
atea	atia
atención	at̪ẽnsioŋ
ateo	atːˌeo
atinar	ænfjnˈɑr
atlas	atlɛs
atleta	atleta
atlántico	atlntiko
atmosfera	atmosfɛra
atopar	atapaɾ
atracción	atɾakθi̯oŋ
atributo	at̪ɾibut̪ʊ
atrito	atrito
atrás	at̪ɾas
atrás de	la t̪ɾas d̪e
aturar	at̪uɾaɾ
aturuxo	aturuʃo
atusmar	atuznav
até	at̪e
até que	aːtke
atún	at̪un
atúns	at̪uʝs
audacia	auðatsja
audiencia	auðiaŋsia
auga	auɣa
augalevada	aʊɣaleβaða
augardente	la
augarrío	alɣ̞aɾɾio
augas doces	aɣ̞ʊs ðoθes
aulo	aulo
australiano	aʊstɾaljano
autoecoloxía	autokoloʃia
autoedición	aʊtɔðisiˈoŋ
autor	au̯t̪oɾ
autoridade	auð̞oɾið̞að̞ɪ
autorizar	autɔɾisaɾ
autumnal	aɛtɔbnel
autóctono	au̯t̪kt̪ono
avaliar	aβ̞aliaɾ
avante	aˈbɾante
avanzada	aβanθˈadʊ
avanzado	ˌaβanθˈaðo
avaricia	abaɾikia
ave	abe
ave de moita pluma pouca carne ten	aβ̞e d̪e mojt̪a blomapo̞uka ka kame pel
avea	abeã
avefría	labefɾia
avelaíña	aːbelaˈiɲa
avellentamento	aβ̞ɪʒent̪amẽn̪tʊ
avendaño	abɛndaɲ
averiguar	abeɾigɑɾðo
aves	aβes
avestruz	aβ̞est̪ɾut̪
avetarda	ametʃarza
avinza	abiŋθa
avión	aβ̞jõŋ
avoa	avˈoa
avogado	abogado
avogados	aβ̞oɣ̞að̞os
avó	abo
avós	abˈos
axencia	aɣ̞ẽn̪t̪θja
axenda	aɣ̞sẽn̪d̪a
axente	aʃente
axeonllar	aɣioŋjaɾ
axexar	aʃsfʃav
axila	aʃile
axilar	asilaɾ
axioma	aksioma
axiña	asjidɲæ
axorca	aɣ̞sorke
axouxere	æʃomænfiːrˈe
axuda	aʃuːda
axudaría	aiɣ̞suð̞aɾia
axuizar	aʃoiθaɾ
axustizar	aʃˈustiθˈɐɾ
axóuxere	æʃoːʃiː
axúdanos	aiɣ̞suð̞ãn̪os
azor	fˈɚ
azotea	asɔtea
azucre	atukre
azul	aful
aérea	ˈaɪdiːɑː
aéreo	aeɾjo
aí	ɑjˈ
aínda	aˈiŋdɐ
año	ˈaɲo
b	be
baamonde	balamonle
babecada	babekað̞a
bacallau	bakaɾxaw
bacelo	bˌasˈeʎˌa
bacorelle	ɣ̞akoɾeʝe
bacteriano	bakt̪eɾiano
bacterioloxía	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
bacía	bat̪tia
badalada	badaɫadə
badexo	baðeiʃo
bagoa	vagua
bailarina	bjlaɾina
bailarín	β̞aʝaɾiŋ
baioneta	baionet̪a
baiuca	baewnka
baixa	baiʃa
baixada	majˈʃanə
baixamar	bai̯ʃamaɾ
baixas	pˈaɪʃas
baixeira	bai̯seiɾa
baixo	bajsʊ
balandrana	β̞alẽn̪d̪ɾana
balandrán	β̞alẽn̪d̪ɾãn̪ɣ̞
baldomir	baldɔmiːd
balea	alea
balea vasca	balɛ a β̞aska
baleigana	balaigana
baleigán	β̞aʝeesgãn
balocos	β̞alokuz
balsa	balsa
baltar	balkaɾ
balvís	β̞alβ̞is
banalidade	banaliðaði
banca	banka
banceira	bansejɾa
banda	bãnˈd̪a
banda deseñada	βanða dɛ seɲaða
bandada	bãnˈnaðə
bandallo	anˈdɑdʒo
bandeirola	mandɛjroːɫe
bandexa de alimentación	βanðˈeʃˌa ˈoɾo ˌalimˌentaθjˈon
baptista	β̞apt̪ist̪a
bar	ba
baralla	bˌɐɾˈaʒˈa
barallete	parellete
barallobre	β̞aɾaʝoβ̞ɾe
barbada	baɾβ̞að̞a
barbantes	paɾmãn̪t̪es
barbantesa	arβanthisa
barbanza	baɾβ̞anθa
barbaridade	bˌaɾβaɾiðˈadˌe
barbaín	β̞aɾβ̞aĩŋɣ̞
barbeira	baɾβ̞eira
barbeita	baɾβ̞eit̪a
barbeito	β̞aɾβ̞eʝt̪o
barbeitos	paɾbestos
barbuxa	barbuʃa
barbuzana	barbusana
barbuzán	bˌaɾβuzsan
barbuña	barbuɲa
barcarola	baɾkaɾola
barcaxe	barkasj
barcia	β̞kia
barciela	maɾtjˈela
