(หนึ่ง)ทุ่ม	hŋ˨˩tʰʊm˥˩
kai yang	tɐj˧jaːŋ˨˩
kalasin	la seɲ
kamala	t̪emalaɾ
kamphaeng phet	k̚˦˥am˧ʔpʰʔŋ˩˩˦ʔpʰt̚˥˩
kamphaeng saen	kam˧ʔpʰŋ˧ʔsrn˧
kamphoo	kʰam˥pʰuː˧
kanchanaburi	kãn̪t̪a na ɾiʝ
kaob kun ka	kʰɔ̀ːbkʰun˧kaː˧
kaolao	kau˥˥laː˧
kaprow	n˩˩˦ap˥raː˧
kasem rat	k̚˦˥ɪʰmraːt̚˥˩
kasetsart university	mahâː˧ʋit̚˨˩ja˦˥rai˥ ka˨˩rk̚˨˩saːn˩˩˦
kasit piromya	kʰɛːsit̚˨˩pʰiː˧ʁom˧
kata noi	kaː kaː kɔjˈ
keereechotikun	kʰiːriːtɕn˩˩˦tikn˩˩˦
keun	kʰeː˥˩an˧
kfc	kʰfʃ
kha nom jean	kʰan˧hm˥˩ʈʰn˧
kha-nom krok	kʰɔːn˧om˧kʰrkʰ
khai khao	kʰaː˥˩
khai yat sai	kaj˥˩ jasaj˥˩
khan koen	kʰɔ̀ːn˧k̚˨˩a˥n˩˩˦
khan na yao	kʰa˥naːjaː˥˩w˧
khanom chin namya	kʰn˩˩˦n˧ʔnt̚˨˩iːʰn˧amʔjaː˧
khao chae	kʰaːtɕʰɛː
khao khai chiao	kʰau˥˧kʰa˥˨e˨˦tsiaʊ˨˩
khao khluk kapi	kʰaː˥˩lwk̚˨˩ ka˨˩rp̚˨˩
khao lak	kʰaː˥˩lǎŋ˧˥
khao man kai	kʰaː˥˩man˥k̚˨˩j˧
khao na pet	kʰʰaː˧ʔhn˧aːʔr ʔt̚˨˩
khao niao	kau˥˧niau˨˦
khao pad	kʰaːw˥˩pʰan˨˩
khao phanom	kʰaːpʰn˥m
khao phat	kʰʰaːp̚˥˩at̚˨˩
khao phat amerikan	kʰaːw˧pʰtʰ ʔrm
khao phat kaphao mu	kʰaːw˥ʔpat̚˨˩bʔraːŋ˧uː
khao sam roi yot	kʰaːsaːm˧rɔːj˥jɔːt̚˨˩
khao san	sǎn˥˥
khao soi	kʰaː˥˩sɔ̀ːj˧
khao tom	kʰaːtŋ˥˩
khao tom mat	kʰaːw˥tom˥˩matʰ
khao yai	kʰaː˥˩w˧˥saː˩˦
khet	kʰeːt̚˨˩
khlong	klɔ̀ŋ
khlong bang bon	kʰl˧ŋ˥baːŋ˧p̚˥˩ɔ̀n˧
khlong bang phran	kʰl˧ŋ˧baː˥˩ŋ˧p̚˥˩raːn˧
khlong sam wa	kʰn˥saːmwaː
khlong san	kʰlɔ̀ŋ˥˩sǎːn˧
khlong toei	klɔ̄ːŋtɔj
khon	kɔːn
khon kaen	kʰɔ̀ːn˥kɛ̀ʰn˩˩˦
khon kaen university	maːhaː˧tʰiːʰa˦˥rai˥kʰɔ̀n˥kɛ̀ʰn˩˩˦
khop khun	kʰɔ̀bkʰun˧
khor khai	kʰɔː˧kʰaj˨˩
khothai	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
khua kling	kʰua kɹ˥ɪm
khua kraduk mu	kʰuaː˧k˥ra˨˩ duː˧ muː
khuang abhaiwongse	kʰw˥˩ŋ˧pʰɔːn˧
khun	χˈu lˈmi
khun ying	kwnʄĩŋ
khwae	kʰua̯˨˩
khwaeng	kʰua̯˨˩ŋ˨˩
khwap khun khrap	kʰɔ̀ːkʰun˧kráp
kinaree	ibˌɑriː
king bhumibol	kʰiŋ˥˩ʔkʰu˥˩mip̚˥˩ʰl
king kaeo	k̚˦˥ɪŋ˧˥kɛ̀ːw˧˥
king taksin	t̚˨˩kʰŋ˥˥taːk˨˩n˧
king vajiralongkorn	tɕʰiŋ˧wɑtʰiːraːlŋkɔːn˧
kinnara	k̚˥˩n˩˩˦raː˧kin˩˩˦n˧ɔ̀n˩˩˦
kiradech aphibarnrat	k̚˦˥raːdeːt̚˨˩ɔːn˧ɔːn˧rtʰ
kittipol munkatitum	kʰɪp̚˨˩ʔpʰlman˧k̚˨˩raː˧m
kittiratt na-ranong	k̚˨˩tiːraːt̚˨˩ n˩˩˦aːra˨˩n˧ɔː
klai	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
kluay	ʔk̚˥˩n˩˩˦ʔua̯j˧
kluea	klɤ
ko chang	kɔː˧˥tsʰaːn˥˥
ko kut	qɑː ʔuːn
ko lanta yai	kʰɔ̀ːn˧t̚˨˩aːjaj
ko mak	kʰakma
ko pha ngan	k̚˥˩a˥˧haːŋ˥˥an˥
ko phi phi don	kʰaːʔpʰiːtɔ̀n˥
ko phi phi leh	kɔːkpʰiːpʰiːlɛ
ko rang	k̚˦˥a˥˥ráŋ˥˩
ko samet	k̚˦˥k̚˦˥sa˨˩mɪt̚˨˩
ko samui	k̚˥˩ok̚˨˩sa˨˩mɔːj˧
ko similan	kʰŋ˥˩si˥˩milelllɤn˧
ko talu	kɔ̀ tʰalʊ
ko tao	pɔ˥˥p̚˨˩ta˥˩ɔ˧
ko tapu	k̚˥˩aːta˨˩ puː
ko tarutao	k̚˥˩ta˥˩ɔːta˥˩ɔː
kob khun khaa	kʰɔ̀ːbkʰun˧kʰaː˧
koh	a
koh chang	kʰɔːk̚˨˩saːŋ˧
koh kood	tapau
koh nangyuan	kɔːŋ˧naːŋ˧j˥˩ʋ˧n˧
koh phangan	kɔ̀pʰaŋ˥˩an˥
koh samui	to̞˦˥smue˥˩
kongdej jaturanrasamee	kʰŋ˩˩˦deːtɕat˥˩kʰun˧n˧ra˨˩sa˨˩m˥˩iː˧
kop khun	kʰʔpkʰun˧
korea	kaːu˥˧lĩ˨˩
korn chatikavanij	kɔːn˧tɕaːt̚˨˩kaː˧ʔwan˧
kosolkitiwong	ʔɔːnknt̚˨˩n˧
krabi	numeɾo bi
krachao	kɾa˦˥tɕaːw˨˩
kratiem	rathia
krating daeng	k̚˦˥ra˨˩ŋ˧dɛːŋ˧
kriangsak chomanan	kriːjŋsak
kritsanakorn sangaroon	k̚˦˥ʈs˥naːkɔ̀n˧ʔsŋ˩˩˦a˨˩run˧
krom phrarachawangbowon	kʰrm˥˩pʰlaːʃa˨˩wŋ˧ʔw˧n˧
krung	kɾuːŋ
krung kasem	kɾˈŋka seɪm
krung si ayutthaya	k̚˦˥n˩˩˦ŋ˧srj˧ɔ̀ːj˧t̚˨˩ʰaː˧jaː˧
krung thep	kŋtʰb
krung thep kritha	k̚˦˥n˩˩˦ʔtʰbk̚˦˥rk̚˦˥aː˧
krung thep maha nakhon	pʰŋ˩˩˦tʰeːp̚˨˩âːkrkʰon˧
krung thon buri	kŋ˩˩˦tʰn˧briː˧
krung thonburi	kʰŋ˧ʔtʰn˧buː˧riː˧
krungthep	k̚˦˥ŋ˧tʰeb
kuai tiao	kue˧˧te˨˩jɐu˨˩
kuai-tiao hang	kuaː˧˥te˨˩a˦˥hŋ˥˥
kuai-tiao nam	kʰua̯j˥˩tiau˨˩n˧aam˥
kuai-tiao rat na	k̚˨˩ʔtiːa̯w˧raːt̚˨˩n˧aː
kuai-tiao ruea	oi tiau rea
kuaichap	kʰua˥˧ei˨˦tsap˦
kukrit pramoj	kʰɪŋpʰliːk˥ dɑːm˥˩
kulapat yantrasast	kʰunːləp̚˥˩d jɑːn˥˩ʈɛɹɔːn˧
kung thot krathiam phrik thai	kŋ˥˩hʰkra˥ʈim˧prk̚˨˩n˧ajn˧
kuptimitr	kʰʊb˧tìmɪtʰ
kusiri	kʰuːsɪlɪ
kwanchuen	kʰwan˩˩˦tɕʰyː˥˩
kwanhlar	kʰwan˩˩˦laː˥˩
laab	laːp
lad krabang station	stʰaː˧niːʰrat̚˨˩kɑra˨˩baŋ˧
laem tong	læŋ˧tʰɔ̀
lalida	alida
lampang	lâmpaːl
lamphun	lampʰun˧
lang suan	laŋ˨˦ tsu˥˧an˨˦
laos	lau˥˩
lap	la
lap isan	laː˥˩p̚˨˩ɪʰsaːn˧
lap lanna	p̚˥˩laːp̚˨˩n˩˩˦aːn˧n˧aː
larb	wˈʌn
lat krabang	laːkʰra˦˥baːŋ˧
lat phrao	n˧aːt̚˨˩k̚˦˥raːʋ
lin ping	lĩŋ˨˩fɪŋ˥˥
loei	lɤj˧
loi krathong	lɔːj˥k̚˨˩ra˨˩tʰŋ˧
lomprayah	lʊmkrajaː
london	lɔ̃dɔ̃n
lop buri	lˈɔb bˈri
lopburi	lʊ˥˩pʰri˧
loy krathong	lɔːjkra˥tʰŋ
luang prabang	hwŋ˨˩pra˥baː˥˩
luk pra kop	luːkp̚˥˩ra˨˩kʰp
luksika kumkhum	n˧ak̚˨˩k̚˦˥taː˧kʰam˧kʰam˧
lumphini	lm˥˩pi˥˧niː˧
m-150	nrɔːj˩˩˦hɛːsìb
mae hia	mʰɛːhʲiːɛ
mae hong son	mɛːhoŋ˧sɔn˨˩
mae klong	mɛːklɔ̀ŋ
mae ploy	naːn˧rɔj˧
mae rumphueng	mærâːm˧
magha puja	mak̚˨˩kʰaː˥˩uːʃaː˥˩
maha sarakham	mahasara˦˥kaːhm
mahanakhon	maː˧haː˧n˩˩˦kɔ̀n˥
mahasathan	mahas˥aː˥˩aːn˧
mahidol	ajʔdon˩˩˦
mai bpen rai khaa	ajʰpenrai˥kʰaː˧
mai khao jai khaa	ajʰkʰʰaːtɕaj˧kʰaː˧
mai pen rai	ajʰpenʔrai
makkasan station	sa˥˩tʰaːn˧iːʰmaːk̚˨˩ra˨˩n
malika kanthong	maːɹa̯kaː ən
mangkut	aŋ˧kʰuːt̚˨˩
manila	maːnilaː
manit sriwanichpoom	baː˥˩n˧t̚˨˩ fsiːwaː˧n˩˩˦tʰt̚˨˩
maow	miau˨˩
maria poonlertlarp	maːrʔjaː˧ pʰun˧rtʰrapʰ
mario	mˌɑɹiˈoʊ
market	traːt
mayuree	maːn˧
mee krob	mˈikro
meechai ruchuphan	miːʰtɕʰaj rɯʔpʰan
mekhong	me˩˥ː ko˥˩ː
mi krop	miːkʰrɔː
miang kham	miŋ˨˩kʰam˥˩
michael shaowanasai	ajʔtɕʰaː˧wnsa˨˩j˧
min nan	mɪnːæːn
minburi	min˦˥buː˧˧riː˨˩
