aaв	av
бямба	dˌeˌɪn
бяслаг	bʲastɫɯ̞k
бүжиг	butʃiq
бүжигчин	putʰiːx̟ːttɕiŋ
бүргэд	pʊɾgʲt
бүрэнхий	burʲɪɦïi
бүс	pˈus
бүсгүй	bˈuskv
бүтээл	puteʃ
бүх	ux
бүхий	bˈˈ
бөглөөс нь	boksjoːs ˈɪnˌnɑ
бөлзөг	bʊ̞sʲtʲsʲɪk
бөхгөнө	bʏ̞hkʏ̞n
бөөр	bɔːr
бөөс	bəʊs
ваар	d̪oːaːr
вандуй	lɑnɯdɯ
ваниль	ɾaːnɪʃ
гавал	kɑɫɑʃ
гагнуурчин	kʌgnˈoˈʃtʃiŋ
гагцхүү	kârtʃu
гадаад	qatħ
гадил	qætɪ̞ɾ
газар	ɑːrdɯɾ
гайгүй	ʁaːeˈe
гал	kast
гал тогоо	qɑn tɑqɑ
галактик	kɐlɐχtʲik
галоген	kæɾrʊ̞kɪ̞n
галт тэрэг	kaɮtʰ tʰi̞rɪ̞k
галуу	ɢɑsɔ
гар	gɑːr
гарааш	gaɾaʃ
гарав	qɑɾɯ̞w
гаргаж	qɑɾqɑtʃ
гаргалаа	ɢɞorɛɮaa
гаргах	kaːrtɑqˈsa
гариг	qɛrɪ̞k
гартаа	ɣ̞ast̪
гарц	kɑɾts
гарцаагүй	kɐʃtʃäːkue
гаслах	qɒsqlɒq
гахай	qɑjxæ
гацах	qɐtsɑq
гачигдах	qɛttʃɪ̞ktɑq
гели	jˈɛ
ген	ken
геометр	kæmʲitʲɪr
гергий	bɛrgiː
герман	kɪ̞rmɑŋ
гинж	kintʃ
гишүүн	tiʃˈon
говь	ʁˈœv
говь-алтай	kɔ̙ɪ̆ːbæstʰɛ
говьсүмбэр	qʏ̞sʏ̞nbɪ̞r
гол мах	kɔ̙ʃmɐ̆x̟
голио	kɔʧ˥
голланд бяслаг	gäldlant bʲæsɫɯ̞k
голомт	ɢɒsɒmt
гоньд	qænt
горхи-тэрэлж	ɑ̈rɪçtʰɪrɪɬtɕ
гоё	oj
гуанз	kwan˥˥tsi˨˩˦
гудамж	qotɪ̞mʃ
гурав	qurɯ̞w
гургалдай	urɢɯ̞ɫtæ
гургуул	urguz
гутал	qʊ̞tqɑɾ
гэгээн домог	gɛgɛn damɯ̞k
гэдэг	kɪ̞tːɪ̞k
гэр	kik
гэрийн	kɪˈɾin
гэрлэх ёслол	kɪsɪk jæsɪ̞ɮɪ̞ɮɮɮɮtʰ
гэртээ	gʲistɪ̞
гэрэл	kɪ̞rɪ̞ɮ
гэрэлсэн	irɪ̞sɪ̞ŋ
гялайлаа	tsʰa˥˥sai˥˧
гялалзах	kæeɮaɮtʃaɐ̆χ
гүег	guik
гүзээлзгэнэ	gʊdʒrm
гүрвэл	kuɾwɪʃ
гүюг	kʏik
гөлөг	guːɬk
даавуу	aɣo
даалгавар	taaɬnχɞ̙r
даалгаврыг	taaɬʰɞ̙w̜ɢ
даашинз	taːʃˈɛnts
даваа	tava
даваажаргал	tɐwaaːtɕrɑerθ
даврах	taurəx
давс	dˈaʊs
давт	taft
давтана	tæhtæn
давтах	dastʰ
давуу тал	taːvo tʰaːɢ
дагах	maːga
дагвадорж	latɔrtsʃ
дадал	tataɾz
дайвар үг	tɛːvər ʊr
дал	n̪aːs
далавч	bɑːlɑftʃ
далай	tɑːɮtʰɑːe
далайн од	täɮɛːŋ ɔ̙t
даланзадгад	tɑʂɯ̞ntsɑtʁɑt
далд сүнс	dˈas sˈuz
дамар	tämɐr
дамжуулах	tɐmtʃɔ̙ɞ̙ɮɐχ
дандарваанчигийн	auauaua
дараа	tɑɾaː
дарга	tɑrɯ̞q
дарс	tərsˈ
дархан	tähˈəŋ
дархан-уул	tɐχɐ̆ŋoːaɮ
дасгал	tasɢɔ̙ɔ̙ɮɮɔ̙
дасгалжуулах	tas̺ɢertʃɵɵɮ
дахь	dæst
даян	tsaɪ̯˥˥
диваажин	tiʋaːtn
догшин	dɑxʃɯŋ
догшрох	tɐχʃɐχ
долгорсүрэн	tɑɮɑrsʏ̞rʏ̞m
долгорсүрэнгийн дагвадорж	to̙o̙ɮo̙r suɐrɪmkɪn tɐw̜ɐ̆r to̙ɮ
доллар	qɞ̙ɮɐ̹
долоо	dˌoθˈa
долоо хоног	tɐ̂ɮɐ̆ χɐnɐk
долоогоно	tɐʃɐn
долоон цаг	tɐlɐn tsæk
доод	tɑːt̪
дордох	tɐrtɔ̙χtɐrtɔ̙χ
доржнямбуугийн	tartsʲnʲampoːgi
дорноговь	tɑrɯ̞nnɯ̞qæɢ
дорнод	dɒrnˈɒt
доромжлох	nɑrɯ̞mtʃlæq
доромжлуулах	tɔ̙rɔ̙mtʃuɮo̙o̙ɮɐχ
дугуй	dˈoːe
дулаарах	to̙˩ːɢarɐχ
дулаахан	tʊ̞nˈʁˈɯ̞ŋ
дулаахан өдөр	toðäχɪ̞ŋ ʏ̞tɪ̞r
дунд	tunt̪
дунд сургууль	tʊ̙n sɔ̙rɢɔ̙ɔ̙
дундговь	dɒntqɒv
дурлах	torʃɐχ
дурсгал	d̥o̙sʊ̈ɢɐr
дуртай	tˈɔftɜ
дуу	tɔ
дуугарах	d̪oːkrax
дуугарна	toɫɯ̞rɯ̞n
дуулга	tʊ̞uɯ̞rɫɑk
дуурь	dʏ̞r
дуучин	douʧin
дэвтрийг	tˈɪftrˈik
дэвтэр	pɪ̞ftɪ̞r
дэгдээхэй	tʃtʃɑ
дэлбэрэх	despɾes
дэлгэрмаа	kɪ̞ɮɪ̞rmɑ
дэлгэх	teːɬkɪ̯ʃ
дэлгүүр	ɢɵɮχʊ̞r
дэлхий	bɨʃˈej
дэмчигдонров	tʲintsetʊ̞nrɔw̜
дэнж	apˈeɪŋdʒ
дэр	t̪e
дэргэд	bʲirgʲit
дэрс	bˈiɹz
дээвэр	bɪ̞r
дүрс	tʊɾs
дүрслэх урлаг	tʊɪ̞sɪ̞ ɞ̙rɔ̙ɮɔ̙k
дүү	tu
дүүрэг	tʊrɪk
дөрөв	doːrʊb
дөч	tutʃ
дөчин долоо	tʃi̞nɪ̞sɪ̞ɢ
еврей	ɪvˈriː
европ	jɑwrɑp
ерөнхий сайд	jˈunɪ hˈi sˈɛd
ерөнхийлөгч	irɪ̆nχʲiːɮɪ̞ɢtɕ
ерөөх	jʏ̞rʏ̞
есүхэй	esuxe
есүхэй баатар	is̺u he pæet̪ar
есөнбулаг	is̻ɵnpɔ̙ɮɐ̆k
жаал	dʒaːr
жаахан	tɕia˥˩
жавхлан	tɕæ˥˩p̚˥˩çɔ̙çɔ̙ɬaŋaa
жагсаал	dʒaksaːrs
жалайр	ʃaːsaiːr
жигнэх	tʃiːvnɪx
жигүүр	tʃeɣuɾ
жижиг сам хорхой	dʒidʒik sɑm hɑqɑj
жил	tɕirɮ
жимснүүд	dʒimsnˈoːt
жолооч	ɟʰɑɮɑtɕ
жоом	dʒɑːm
жорлон	tɕɑrɮɑŋ
жужан	tɕy˨˩˦tɕjaŋ˥˥
журам	tʃuɾum
журамт	tʃaˈront
жуулчин	o̙o̙ɮtɕiŋ
жуулчлал	gɔːglɑɬ
жүрж	dʒurtsʃ
жүүдүүд	dʒoːtoːt̪
заав	tsava
заан	tsaːŋ
заваан	avon
завхан	tsɑpxɪŋ
завь	tsɛb
загас	saˈʁəs
задлах	zatʃˈax
зай	tsɛ
зайрмаг	tsɛlmɪ̞k
залгах	zɐrkɐh
залуурч	tsɐrɮɐ̆w̜tɕi
зам	saːm
замын-үүд	sɑmiːnɛut
зангиа	tsigea
зарлага	sɑrˈçɑq
засгийн газар	tsʰæskɛn qäːtsɯr
зах	tsak
захаас	tˤasˤ
захиалах	sahjaaːsaħ
захидлаар харилцагч найз	tʃɐχɪ̞kɪ̞lɐr χɪl tsɪ̞ʃtʃɪ̞nɪ̞ɪ̞ts
заяа	tsaɪ˥˥
заяах	tsaˈjˈax
зовох	tsaːwˈɑh
зогсож	tsaχsətʃ
зогсоол	tsɐχsɑrs
зоос	zɑːs
зориг	zærʲɪk
зорилго	tsɛrɫɔq
зориулах	ʃɛriːw̜ɮɐχ
зохиолууд	tsʰiχio̙aʃo̙o̙t
зохион	tsaxjam
зочид буудал	tsɞ̙tɕɪt pɔːtɞ̙r
зочин	zatʃanˈu
зочны өрөө	zatʃnɪfɔk
зунших	sõŋsɑh
зуны улирал	zʊ̞nːʲɪ qjɮɪrɪ̞ð
зураач	suɾaːtʃ
зураг	dzɔrak
зургаа	zʊ̞rʁä
зуслан	tsosstsvãn
зуунд	zoːnt
зуунд'	tsɔːnt
зуунмод	tsonmat
зууны	so˩˥ːni
зууралдах	tsuːrɑˈztɑx
зэс	e̞kiz
зээлийн карт	θɪ̞jɪlɪ̞ŋ kɐr
зүгээр	tʃiɣeɾ
зүйл	dˈyːs
зүрх	tsur
зүтгэл	sɵɮtʰkɪɮ
зүчи	sotʃi
зүү	tsuː
зүүд	guːd
зүүдлэх	tsiutsi
зүүн	tsum
зүүнгар	tsuːnqɑr
зүүнхараа	dʒuːnˈxara
зөвлөлт	tsue̞xɮiːçt
зөвшөөрөх	tsoʃurx
зөгий	tˈuki
зөгнөх	tʊɣnʊ̞x
зөөгч	tsʊçtʃ
зөөллөх	tsɔ̙tsɔ̙χ
зөөлөвч	tsɯɵɮɵɬ
зөөлөн	soːˈsuːm
зөөх	fˈɪlˈʌv
ил хан	kiaʃaŋ
илжиг	iːtjɪkː
илэрхийлэх	nʲsrχnɪɮɪç
илүү	lu
имж	int
инди	la
индикатор	aːndɯzkaːtir
индэр	ɪ̞nbɪ̞ɾ
инээмсэглэх	iːnɪ̞nsɪ̞gɪ̞ɮɪ̞w̜
инээх	ene
иод	jɑt
иргэн	i̠r̥kɛnɯ̞p
ирмэг	ib
ирнэ	ɾɐn
ирсэн	ɾɯ
ирэв	iru
ирэх	i̠rɪ̞k
итгэх	tʃikːɛʃ
их дэлгүүр	ɪç tɪlɪkɪ̞r
их сургууль	ix sɔrɔːj
их хүрээ	ixurɛj
кактус	kaxtus
кали	kali
калифорни	kalifɔːn
кальци	kɛːsts
камер	kajmer
катализатор	kætlʲɪtsɑtɯ̞r
кибчаг	kipˈtʃɑˈq
кино театр	kɪ̞nʲɪ tʲɪjɑtɪ̞r
кинотеатр	kɪ̞nɛtʃʲɛtɪ̞r
кирилл	kɪ̞ɾiːx
коллаген	kʌtlægæn
колони	kɔzɔːniː
компьютер	kampjetiɾ
концерт	kantsʲɪrt
костюм	kastʃu
кофе	kaffi
кулон	kɒzɒn
кёкүшюүзан	kʲɪkʲiʂʲɪŋ
лавлах ном	zau̯sak nɔm
лагерь	naːgɾ
лакмус	fakus
лалын шашин	ɮɔɬɪn ʃæʃɪŋ
литр	kijter
лонх	ʃˈɑ̃
луу	so
лхагва	ɫævɯ̞k
лхагвасүрэн	sɐw̜ɵ̙kso̙rɪŋ
маалинга	maːʔsiŋ
маанаг	maːnq
магнай	magne
магни	maːɣnɨ
мал	masa
малгай	mɐsɛ
малчин	mattʃan˨˩
манай	maːne
манан	mɑnɯ̞ŋ
манга	manka
манган	mǎŋgɑŋ
мандалговь	mɑŋtɑrqɛɵ
манж	manʒ
манжуур	manʒur
манила	mˈɛnˈaʒa
мансууруулах бодис	mas̺o̙ro̙o̙ɮɐχ pæetaɮs mɐn
мануухай	manohæ
маргааш	mɑrˈʁɑʃ
маргах	marg̊ɑ
мартах	mɑrtɑχ
матар	mɑtɑr
махчин	mɑqʰtɕiŋ
маш	maʃ
маш сайн	bʃsɛːn
машин	maʃiːn
менделев	mʲenʲːev
менежер	managɯr
металл	misthas
метро	metrɑ
механикч	miχaːnɪktʃi
минж	mintʃ
миний	mini
миний нэр	mʲinɪnɪ
минут	minɔt
минь	mʲin
могой	mˈaʁˈɛ
могол	mɔ̙ɢɞ̙ɮ
моголистан	mogoliːstan
мод	mˈɑt
модон	matˈɔ̃
молибден	mœ̞lʲiptʲeŋ
монгол улс	mɔŋɟlos
монгол хэл	mɔ̙ŋɢɔ̙ɔ̙s çɪl
монгол-нэгэн	mɔ̙ŋɢɔ̙ɔ̙sɪnɪkɪn
монголын эзэнт гүрэн	mɔ̙ɴɢʊ̈ɮiːŋ itʃiɮ tʰɵrɵrɵɵ
морин хуур	mʏ̞rʏ̞ŋ χur
морь	mˈɛr
мотоцикл	mɐtseːkɢɪɮ
муж	mutʃ
музей	mutsʃe
мунхаг	moʁˈɑk
муу	mo
муур	mor
муутай	multe
муухай	moːˈːɑ
муухайрах	mugãrax
мэднэ	mʲitɪ̞n
мэдрэмтгий	netɾˈimki
мэдэх	miːt̚
мэдээ	mitˈe
мэлхий	misʃiei
мэргид	mʲirgʲi̠t
мэргэжлийн	mʲirɪ̞slʲɪn
мэс засал	mis saksulʃ
мэтгэлцээн	miktsʰɪɮɮŋ
мягмар	mtsmər
мөлхөх	mɵsɵ
мөн	mˈu
мөнгө	mung
мөнгөн	migen
мөнгөн ус	mugŋ ɔs
мөнх	mˈux
мөнхөд	muː
мөр	mur
мөргөлдөх	murgɪ̞ðtʊ̞c
мөргөх	nurdux
мөрөн	muɾuŋ
мөрөөдөл	murɵɵdʉl
мөрөөдөх	murɔdʊ̞
мөс	muss
мөхсөн	mʊ̞χsɯ̞ŋ
мөхөсдөх	muxistɯ̞w
мөхөөлдөс	mɵχɵɵɮtɵs
наадам	naːd̪em
навч	nastʃ
найдах	məːtɑχ
найз	nˈɛgz
найзууд	naʲtsot
найм	nɛm
найман	nɛmɑŋ
налайх	nˈɑsæ
налайх хот	näðɑχ χɑt
нам	nam
намар	namɐr
намаржих	namɐrˈtɕɑç
намхан	nˈɑm
нар	nɑr
нартай	nɑrtæ
натри	naːtri
ная	naif
неон	ni˨˩˦ɯ˧˥
нийгэм	niːjjɯm
нийслэл	nʲisɪɴlɪçt
никель	niːkɪɮ
нимбэг	nʲimbɪ̞k
нимбэгтэй цай	nʲinbʲiɣsdɛtsɛ
нирун (улс)	niroʃ os
нисэх	mʲistɪ̞k
новш	nɔʃ
ногоон	nooo
нойтон	nø̞tˢo˞n
ном	nõŋ
номонхан	nomŋ˨˩haŋ˥˥
номын сан	nˈɔ̃ mɛ̃ː sœ̃
норовын алтанхуяг	nɒrmiˈn ɒstɒm hɒiɢ
нохой	nˈaxˈhˈˈ
ноён	naem
нуга	nok
нугас	nˈɔx
нударга	nˈotˈɾɑk
нурхачи	nˈoçatʃi
нутаг дэвсгэр	nʊtɛk tɪwːskɪr
нуух сүнс	noxtun
нь	ɛ̃ːn˩˩˦
нэвтэрхий	niftɪrçi
нэг	nˈɪk
нэгдсэн вант улс	nɪçtsɪn vaːn tʰo̙ɮs̺
нэгдүгээр	nˈɪçtgˈaɪzəln
нэгний	mˈɛnˈˈ
нэмэлт	nemirt
нэр үг	ɾʊ̞k
нэрвэгдэх	nɾʋɾɐlːtɪ
нэрлэх	nɪrɪk
нэртэй	nʲirtʲ
нээв	ne̞v
нээх	nˈɪç
ням	nʲem
нүд	nˈut
нүдэнд	nˈøtˌnˈɯk
нүдэнд харагдах	nuːtin tʰarktʰiχ
нүүдэлчин	nutɨtʂɨm
нүүр	nur
нүүрстөрөгч	nuːrstɵrɵç
нүүх сүнс	nˈo ˈɔkstənz
нөхөд	nˈɔ̃t
нөхөр	nəkˈʊr
нөөтбүүк	nəʊt̪bˈuk
огтлол	ɔ̙çtsɔ̙s
огторгуй	axterɾoi̯
од	ɑːt
одоо	ataː
одоохон	aːdaːχiŋ
одох	ɑtɯ̞q
ойлгож	ʁœ̞sqɔtʃ
ойлгох	aɛflʁ
оймс	qɛms
ойрд	ˈɛrt
ойрын	ɛːrɪn
олгой-хорхой	ɔ̙ɮɢɞeχɔ̙rɔ̙χɔ̙
олз омог	ajʃtʃ ʔɑmɑq
олон	ɔ̙sɔ̙ŋ
олох	ɑpɑ
олс	ɒsˈ
онон	ɔːnɔːŋ
онцгой	ɑ̃nˈtˈʁœr
ор	ɑɾ
органик	borkaːnɛk
ордос	ɑrtɑs
оригами	oɾɪkɑmi
оров	ɑrɑv
оройн мэнд	ɛrɛmɪ̞nd
оролдох	ɑrɯ̞ɮtɑχ
оролцогчид	ɐrɯ̞ɮtsæçtɕet
ороолт	ɐrɑɮt
орос хүн	a rɛsum
оросын холбооны улс	ɞ̙rsɔ̙n χäɮpɞ̙ɔ̙n w̜ɬs
орхон	ɑrχɑŋ
орхон гол	ɢɞn qɔ̙ɮ
орчин	aʃtʃɪŋ
орчлон	ɐrˈtɕiɮɵn
орчуулав	ɐrtʃɪw̜ːɔ̙ɮɔ̙w̜
орчуулагч	ɞ̙rtɕiːw̜ɬaktɕ
орчуулах	ɞ̙rtʃɔ̙ɞ̙ɮɔ̙χ
орших	ɑrˈʃɯk
отгондалайг	ɔ̙tqɔ̙ndatɮæk
отгонцэцэг	efˈɛtˈʁœ̃tzitsˈ
охин	ɐχʲɪŋ
очиж	atʃɪtʃɪ
оюу	aju
оюутан	ʔɑjɯwɯtɯŋ
оюутныг	ajʊ̞tnejk
падаан	bat̪a
пальто	pɐrtɐ̝
платье	sat
протестант	pæstˈɛstənt
пуужин	pɔʊtʃaŋ
пүрэв	kuɾuv
пүрэвжаргалын лхамдэгд	pʊɾɵw̜ tɕaɾɢat ɮiːŋɪ̆ɴ̆ɮ χämʊ̆tɪ̆ɢ ɢɪt
радиатор	rɑdɪätər
радио	ratjo
район	dʒʊ˨˩˦tjɛ˥˩
рентген	rʏ̞ntkæn
рубль	rups
саарал	saɐrɐ̆ɕ
сав	sau̯
саван	saˈmɑn
савх	sau̯
сайдын	selin
сайжирсан	sætʃɪrsʲɪŋ
сайжруулах	sæetɕro̙ɮɐ̙χ
сайн	seno
сайн байна уу	sajm bɛnɔ
сайн байна уу?	sɛ mɛnˈa
сайн уу	sa nɔː
