cачара	satʃara
айаҡ ырып йыҡты.	ə jɑʁɯ̞rʊ̞p jɑqtɑ
айаҡланҡалы	ʊ̞jɑqɫɑnqɑɫɯ̞
айаҡларым шәүләп утыраты.	ʊ̞jɑqɫɑrɯ̞n ʃɛjwɫæp ʊ̞ðrɑtɯ̞
айаҡлы болыт	ɑjɑqɫɯ̞ bʊ̞ɫʊ̞t
айаҡтун	ʔɑjɑqtʊ̞n
айаҡцу	əjɑqtsʊw
айбалта	ɑjbɑɫtɑ
айбат өйөрөм	əj batɯ̞jɯ̞rɯ̞m
айбатаҡ	ɑjbɑtɑq
айбағар	ɑjbɑʁɑːr
айбағыр	ɑjbɑːgɯr
айбыну	ajbãnõɾ
айбынышу	äjbɯ̞nɯ̞ʃoː
айбынышып	äjbɯ̞nɯ̞ʂɯ̞p
айбынышып кәпләшмәйтеләр.	ɑj pɯ̞nɑ ʃɯ̞p kæplæʃmæjtjɪlɛr
айбыту	ajbatu
айдап	ojap
айдау	ojlau
айдын	ɑjdɑn
айла	jʊ̞ɫɑ
айламан	ɑjɫɑmɑn
айлана	ajɫˈɑnˈlɑ
айлана алып түшкәле алташманым ҡолда йоҡ.	ɑjlɑrɯnɯn ɑɫɯ̞p tʏ̞ʂkæ ɫæɫtɑʂmɑnɯ̞n qoɫdɑ jɔq
айлантыра	ajlɑntɯ̞rɑ
айлантыру	ajlãn̪t̪aɾu
айлану	ajlɑno
айланып	ojlɑnɯp
айлау	hlɔːv
айлац	ɔjlats
айлач	ajɫɑtʃ
айлаған	ɑjɫɑʁɑn
айлаған ҡунаҡ пулмаҡма?	ʔɑjlɑʁɑn qunɑq pɵɫmɑqmɑ
айлу	ajɫo
айлы	jˈɫɯ
аймалу	aɪmɑɫu
аймам	ajmam
айманышу	ɑjmɑlɑʃuɫ
аймас	əjmɑs
аймату	ɑjmɑtʊ̞w
аймау	ɔi̯˧mou̯˨
аймаҡ	ʊ̞jmɑq
аймаҡлау	ɑjmɑqɫɑu
аймаҡҡа	qɑjmaqqɑ
айналар	ɑjnɑɫˈlɑr
айналу	ɑjnɑlɔ
айну	ajnɔ
айнытым	ajnatɯm
айнышу	ajnasˈu
айнәк	ʔɑjnɛk
айра	ɑjˈɾɑ
айрыйаҡ	ɑjˈɾijɑq
айрылмаса	i̠rɑɫmɑsɑ
айрылу	ajɾɯ̞ɫo
айрыц йул	ajɾatɯjɯl
айрығойрыҡ	ɑjrɑgɑjrɑq
айрыҡ	ɑjrɯ̞q
айтаҡ	ɑjtɑq
айтыш	ɑjtɯɾ
айтышу	ajtɑʃuɫ
айу	ɑːjuː
айу капчығы	ɑjuq ɑpɪˈʃɯɣɑ
айу пестән алын йөрөп цыҡҡан.	ɑjɯw pɪ̞stæn ɑɫɯ̞n jʏ̞rʏ̞p sɯ̞tqɑn
айцыҡ	ɑjtsɯk
айыба күрмәң.	aːjba kɵrmɛn
айыл	i̠jɯ̞ɫ
айылбаш	ɑjɯ̞ɫbɑʂ
айыллау	aːjælæv
айылу	ajɛlu
айып	dˈiʁ
айыплау	a
айыплу	ajɯ̞pɫʊ̞u
айыплы	ɑjɯ̞pɫɑ
айыр	æjjæɾ
айыртатығын	ɑjɯ̞rtɑtɑʁɑn
айыру	jæruː
айырыт	ɑjrɯ̞t
айырытлану	ɑjrɑtɫænɯ̞
айырға	ɑjɯ̞rʁɑ
айыҡ	əjɯ̞q
айыҡлап	ɑjɯ̞qɫɑp
айыҡлап ҡарап пағайын.	ɑjɯ̞qɫɑp qɑrɑp pʊ̞ʁɑ ʲɪn
айғалам	ɑjʁɑɫɑm
айғалам та йөрәйем тауыҡлар пелән.	ʊ̞jʁɑɫɑm tɑjrɛj ɪ̞m tɑwʊ̞qɫɑr bɪ̞ɫɛn
айғалашу	ɑjʁɑɫɑʃuɫ
айғалашып	ʊ̞jʁɑɫɑʂɯ̞p
айғалу	ɑjgɑɫoɯ̞
айғаца	əjɢɑtsɑ
айғаш	ɑjɢɑʃ
айғаштыру	ʊ̞jɢæʃtɑrɵɵ
айғаштырып	ɑjɢɑʃtɯ̞rɯ̞p
айғолаҡ	ʔɑjʁʊ̞ɫːɑq
айғыраҡ	ɑjɢɯ̞rɑq
айғырцаҡ	ʊ̞jʁɯ̞rtsɑq
айҡасан	ʔɑjqɑsɑn
айҡау	oi̯qlʊw˨
аксурка	aqʂuɾqä
активистлар	aktɪvjstɫär
ала	ɑlɑ
алабатан	ɑɫɑbɑtɑn
алабытан	abɑbɯtan
алабыға	ɑɫɑbɯ̞ʁɑ
аладзаҡ	ɑɫɑtsɑq
алай	ɑɫɑj
алай тимәгән итем тә, пылай тимәгән итем тип... [йыр, “тусҡасан”]	ɐɫɛj tʲiːmægæn ʲitʲɪm tæp ɫæj tʲiːmægæn ʲitʲɪm tʲip
аламаға	ɑɫɑmɑʁɑ
аламуға	ɑɫɑmuʁɑ
аламыш	ɑlɑmɯz
алан-йалан	ɑɫɑnjɑɫɑn
алап	ɑɫæp
алапчаҡ	ʊ̞ɫʊ̞ptʃaq
алар әйтеп сөйдәгәнне эшетеп ҡалған ҡартлар. [клара кучковская]	ɑɫɑr ɛjtɪ̞p si̯jɫɛgænɪ̞ æʂʲɪtɪ̞p qɑɫɢän qɑrtɫɑr
аларны	ɑlɑrnɑ
аларту	ɑlɑrtʊ̞
аларға	ɑɫɑrʁɑ
алас	ɑɫɑs
алас сикерү	la fˈikɾˈu
алаты	æɫɑtæ
алатылар	ɑɫɑtɯ̞ɫɑr
алаца	ɑlɑtsɑ
алацыҡ	ɑɫɑtsɯ̞q
алаша	ɑɫɑʂɑ
алаша йер	ɑɫɑʂɑ jɛr
алашару	aːlaʃarux
алашитәк	ɑɫɑʂɪ̞tæk
алағарға	ɑɫɑʁɑrʁɑ
алаҡан	æɫæqɑn
алаҡанлау	ɑɫɑtɑnɫɑu
алаңнадзыл	kʊ̞ɴnætzæɫ
алаңнау	ɑlɑŋlau
албарты	ɑɫbärtɑ
албастаҡ	ɑɫbɑstɑq
албаштаҡ	ɑɫbɑʂtɑq
алборон	ɑɫbɔrɔn
албурғандыру	ɑɫbʊ̞rʁändɯ̞rɯ̞w
албырап	ɑɫbʊ̞rɑp
албыру	ælbɾu
албыға	ɑɫbɯ̞ʁɑ
алдар	ɑɫdɑr
алдар цалғадан йығылып.	ɑldɑrt sɑɫɢɑdɑn ɟeɢɯ̞ɫʊ̞p
алдағы	ɑɫdɑʁʊ̞
алдағы йылның үләне	ɑɫdɑʁɯ̞ jɯ̞ɫnɯ̞ŋ wlæ̹lɪ̞
алды	qɒldi
алзын	ɑɫzɑn
алимнар	ɑɫimnɑɾ
алиш	ɔlis
алйапма	ɑljɑpmɑ
аллам пәғетемә ник пирмәте йаннарыңта ғына ҡалғалы?	äɫdɑn pæɢɯ̞ tɪ̞mæn nʲik bʲirmætɪ̞ jɑmɫɑrɯ̞ŋ tɑʁɯ̞nɑ qɑɫʁɑ dɯ̞
аллама	ɑllɑmɑ
алма	ɑlmɑ
алмагацҡа	ɑ̹lmɑʁɑtʃɪqa
алмалар	ɑɫmɑɫɑr
алматыҡ	ɑɫmɑtɯ̞q
алмашынтыҡ	ɑlmɑʂɯ̞ntɯ̞q
алны	ɑlmɑ
алнында	ɑˈlɯnɯndɑ
алпағыт	ɑɫpɑʁʊ̞t
алсу	ɔːlsɔː
алт	ɔlt̪
алтам	ɑɫtɑm
алтамнау	awtamnau̯
алтану	ɑɫtænɔ
алтар	ɑɫtɑr
алтау	ɔltɔv
алташманым	ɑɫtäʂmɑnɯ̞m
алташҡыр	ɑltæʃqɑr
алтйапкыц	ɑltjɑpqɯ̞ts
алтйапҡыц	alpjɑpqɯts
алтларымнан	ɑɫtʊ̞jɑrɯ̞mdɑn
алтмыш	altmɯʃ
алтмышындзы	ɑɫtmɑʂɯnʲtsɯ
алтта	ɑlttɑ
алтты	alttɑ
алтылар	ɑɫtɑɫɑɾ
алтым	ɑɫtɯ̞m
алтын	ɑltæn
алтын йырғанаҡ	ɑltɯ̞n jɯ̞rʁɑnɑq
алтын саплы пәгем сынты алмалар пүлешкәнтә, тип... [йыр, “тусҡасан”]	ɑltɯn sɑpˈlɯ pɛgɪm sɯntɯ ɑlmɑllɑr pɯrɯʃkæˈntɛ dʲip
алтында	altɑnˈdɑ
алтытан	ɑltætɑn
алтҡары	ɑltqɑrvɑ
алтҡы	ɑltqɑ
алу	ɑːlɔ
алутан	ʊ̞ɫtæn
алцайту	ɔtsajtu
алцаҡ	ɑɫtsɑq
алцаҡ кеше нимә әйтсәң дә үсенә алғынып китәте.	ˈɑɫtsɑq kɪ̞ʃɪ̞ nʲimæ ɪ̞jtsænʲ dæ ʏ̞sʏ̞nʲɪ ɑɫʁɯ̞nʊ̞p kʲitætɪ̞
алцаңнама	ɑwtsɑŋnɑmɑ
алцаңнама, йәнне көйтөрөп.	hɑltsɑŋnɑmɑ jænnɪ̞kɪ̞ ʲitʲɪrɪ̞p
алцаңнау	ɑɫtsɑŋnɑu
алцу	ɔlsu
алцыған	ɑltsɯʁɑn
алцыҡ	ɒltʃɒq
алым-салым	ɑˈɫɯmsɑˈɫɯm
алымсаҡ	ɑɫamsɑq
алын	ɔːlɑːm
алынйапҡыц	ɑlɯnjɑpqɯts
алып	ɑɫɯ̞p
алып цығып китмәсеннәр, кем эстәйте — алар табаты! [клара кучковская]	ɑɫɯ̞p tʊ̞ʁʊ̞p kʲitmæsɪ̞nɪ̞r kɪ̞m ɪ̞s tæjtɑɫɑr tɑbɑtɯ̞
алыпкилгәле	ɑɫɯ̞pki̠ɫgæðɪ̞
алыплыҡ	ɑɫɯ̞pɫɯ̞q
алыплыҡ истәп китте.	ɑɫɑplɯ̞q ʲistɛt kʲitːɪ̞
алыппарғалы	ɑɫɯ̞ppɑrʁɑɫæ
алырсың	ɑɫɯ̞rsʊ̞ŋ
алыссынмайбыс, йөрөп ултырабыс.	ɑɫɯ̞sːɯ̞nmɑjbɯ̞s jɪ̞rɪ̞p oɫtɯ̞rɑbɯ̞s
алыстағыны	ɑwɯ̞stɑʁɯ̞ŋɑ
алыстағыны айыҡ күрмән, кешене таныман, йәш кәнәйеп китте ғуй.	ɑwɯ̞sɑʁɯ̞n ɑjɯ̞k kʏrmæn kɪ̞ʂɪ̞nʲɪ tɑnʊ̞nämɑn jæʃkænæjɪ̞p kʲitːɪ̞ qoj
алышынман	ɑɫɯ̞ʂɯ̞nmɑn
алышынматым	ɑɫʂɯ̞nmɑtɯ̞m
алышынмаған	ɑɫɑʂɑnmɑʁɑn
алышынҡан	ɑɫʃɯ̞nqɑn
алыҡмас	ɑɫɯ̞qmɑs
алың	ɑɫɯ̞ŋ
алға	ɑlʁɑ
алға ғату	ɑɫ ɢɑʁɑ tuw
алғалы	ɑlʁɑlɯ̞
алғантайын	ælʁæntäjɪ̞lɪ̞nt
алғасатым	ɑɫʁɑsɑtɯ̞m
алғасау	ɑɫʁɑsɑu
алғасаҡ	ɑlʁɑsɑq
алғы	ɑɫʒæ
алғынаты	ɑɫgɯ̞näθɯ̞
алғыну	ɑɫɢɯ̞nʊ̞
алғынып	ɑɫɢɯ̞nɯ̞p
алғыр	ɑɫgɯ̞r
алғырлану	äɫʁɯ̞rɫänu
алғыры	ɑɫɢɯ̞rɑ
алғыш	ɑɫgɯ̞r
алғышлу	ɑɫʁɯ̞ʂɫoɵ
алғышу	ɑɫgɑʂuɫ
аман-аман	ɑmɑnɑmɑn
анта асфальт йул йуҡ. алай пулса та ауыллар пөтөр ҡәлтә түгел.	ɑntɑ ɑsfalt jol jɔq ɑɫɑjpul sɑtɑ ɑvulɑr petɪr qeltɛ tigel
анта сыйыр йөрөп киткән ибенә.	ɑnˈtɑ sijir jyryp kʲitkæn ʲibɪ̞nɛ
антағы	ɑntägt
ап-аҡ	æpɑq
апаҡа	ɑ̃pˈɑ̃qˈa
аппа	apːa
аппағым	äpɑʁɯ̞m
аппаҡа	ɑpɑqä
апсаҡ	ɑˈptsɑq
апцыҡҡан	ʊ̞ptsʊ̞qqɑn
араларынтағы	ɑräɫɑrɯ̞ntɑʁʊ̞
арасынта	bɑrɑsʊ̞ntɑ
араҡ	ɑrɑq
арттырышмаҡ	ɑrtɑrɑʂmɑq
артыҡ	ɑrtɑq
артҡаул	ɑrtqɑoɫ
ару	rʊ̞
арцуылымны	ɑrtʃuɑɫˈɑmlɑ
арцуылымны пылый ыуыратыған.	ɑrtʃɯŋɯ̞ɫʊ̞mɯ̞ bɯ̞ɫɯ̞j ʊ̞vʊ̞rɑ tʊ̞ʁɑn
ары	ɑrɑ
арып	ɑrɯ̞p
асис	asiz
асма	ɑsmɑ
асман	ɑsˈmɑn
асты цүпләй	aːstʃa tsuklej
асфальт	ɑsfæld
ат	ɔt
ата	ɑtɑ
ата-инәдән	ətainæden
ата-инәдән тыуған пала айрылмаса пулмай ма? [йыр, “тусҡасан”]	ɑtɑ ïinɛðɛn tɯwʁɑn pɑɫɑɢ ɑjrɯ̞rʊ̞ɫmɑsɑ pwɫmɑjmɑ
ата-пабалар	ɑtɑpɑpɑɫɑr
атам	ɑtɑn
атамасы	atamazsɑ
атасы	ɑtɑsɯ̞
атйал	atjɔv
атлар	ɑtɫɑr
атлар сыман йерсеп пер мәйтанҡа йыйылырбыс әле, кем пелгән. [булат сөләйманов]	ɑtlɑr sumɑn jɪrsɛ pɪ̞r mæjtɑnqɑ jɯ̞jɯ̞ɫɯ̞r bɯ̞s ɛ̹lækɛm pɪ̞ɫgɛn
аттан	qadtɔn
атҡа	ɑtqɑ
атҡа төмән-төрле шыңғырцаҡлар байлайлар.	ätqʊ̞ tʏ̞mæn tʲɪrɫɪ̞ ʂɑŋgɯ̞r tsaqɫär bɑjɫɑjðɑr
атҡанта	ʔɑtqɑntɑ
атҡыц	ɑtqɯts
ауаралап	ɑuɾäɫɑp
ауаралау	auɾʊ̞lɔu
аул	ˈaʊɫ
ауланцаҡ	ɑwɫɑnʊ̞q
аулау	aʊlɔ
аулаҡ	ɑɫˈɫɑq
аулаҡсу	ɑuɫɑqsuɫ
аулаҡсы	ʊ̞uɫɑqsɯ̞
аулаҡсырау	ɑwɫɑqsʊ̞rɑu
аулцығац	ɑwɯltʃɯgɑt
аур	auɾ
аурайу	auɾaj
аурамын	æwrɑmɯ̞n
аураҡ	ɑuɾɑq
аурт	ɑuːrt
ауртлау	aʊrtlaʊ̞
аурттың	ɑʋɯ̞rtːɑŋ
аурту	ɑwɾtu
ауртҡы	ɒvɒɾtqe
ауру	ɔuɾo
аурцыҡ	ɐʋɯ̞rtsɯ̞q
аурчыҡ	ɔ̙rtʃɯ̞q
аурыҡай	ɑwrɯ̞qäj
аус	awus
аусану	ɑlsɑnʊ̞w
аусанырсыс	hɒvlɒnˈɾˈisɒz
аусаҡ	ɔusɑq
аусаҡтан	ɑwsɑqdɑn
ауслану	au̯sɫanou̯
ауыл	awwɚl
ауыл-мауыл	æu̯ɫmɔˈʋɔl
ауыллап	ɑˈvɯlnɑp
ауыллар	ɑwɯ̞ɫɑr
ауылларныңҡы	ɑwɯ̞ðːɑrnɯ̞ʁqɑ
ауылларта	ɑuʊ̞ɫɑrtɑ
ауыллартан	ɑwɯ̞ɫɑrtɑnɯ̞
ауыллартан киткәннәре тә пар, әммә ауылларта йәшәп йатҡаннар та кән кенә.	ɑwɫɑrtɑn kʲitkɛnlɛrɪ̞tæ pɑɾ ɪ̞mmɑ ɑwɯ̞ɫɑrðɯ̞ jæʂæp jɑtqɑnɫɑrʊ̞tːɑ kæn kʲɪnæ
ауыллары	ɑwɯ̞ɫɑrʊ̞
ауылларға	ɑwɯ̞ɫɑrʁɑ
ауыллашып	ɑuɯ̞ɳɫɑʂʊ̞p
ауылмәцәк	ɦɑuɯ̞ɫmɛtsɛk
ауылны	ɒvɒlnˈɒˈ
ауылны су алды, ҡайбер өйләр ығып китте.	ɑuɯ̞ɫnɯ̞sɯ̞w ɑɫdɑ qɑj bɪ̞ɾ ilær ɑʁʊ̞p kʲitːɪ̞
ауылныңҡы	ɑʁmiŋqɑ
ауылта	aʋɯltɑ
ауылтан	ɦɑwɯltɑn
ауылтағы	ɑwɯ̞ɫtɑʁɑ
ауылға	ɑwɯzɑ
ауырайаҡ	ɑuɯ̞rɑjɑq
ауырайаҡлы	ɑuɯ̞rɑjɑqɫɑ
ауырайҡлы	ɑwrɑjqɫɑ
ауырлы	ɐʋɪ̞ɾɫɑ
ауырлығы	ɑuɯ̞rɫʊ̞ʁɑ
ауыртҡы	ɑwɪ̞ɾtqæ
ауыруға	ɑwruːɣa
ауырыту	ɑuɾətu
ауыс	wˈɛz
ауысаҡ	ɑuɯ̞sɑq
ауыту	ɑwˈɑtˈu
ауыц	ʁuːt
ауышҡа	ɑwʊ̞ʂqä
ауҡ	au
ауҡта	auqtɑ
ахирәт	ɑxjiːɾæt
ахырғар	ɑχɪ̞rɢær
ац	atsʰ
ацаип	ɑtsɑjɪb
ацамай	atsɑmaɪ
ацамайлау	atsɑmɑjlɑu
ацаҡ	ɑtsɑq
ацаҡ ҡыс	qɯ̞tsʊ̞rqːɯ̞z
ацлау	atslɑv
ацтау	atstau̯
ацу	atsu
ацу-ғыцу	atsuːgətuː
ацулаңҡыр	ɑtsʊ̞ɫɑnqɯ̞r
аццы	ɦatsɯ
ацы	ʁɑtsʁɛ
ацылма	pɑtsɯlmɑ
ацылмамны	ɑˈtɯlmɑmðä
ацыну	atsɨnu
ацып	ɔtsɯb
ацыр	ɑtsʊ̞r
ацырғану	ätsʊ̞rʁɑnʊ̞
ацырғанып	ʁɑsʁɑnɑp
ацытҡы	ɑtsɑtqɑ
ацыу	ɑtsɑu
ацыш	ɑtsɯɾ
ацығ	ɑːtsʊh
ацығай	ɑtsʁɑji
ацығу	ɑtsɑɣu
ацыҡ	ɢɑtsɑq
ацыҡсырау	ɑtsɯ̞qsɯ̞rɑu
ацыҡыс	ɑtsɑqɯz
ацғылтым	ɑsʁɑltɑm
ацҡан	ɑtsqɑn
ацҡуц	ʊ̞tsʊ̞qʊ̞ts
ачарлау	tʃärlɑu
ачмас	ɑtʃmɑs
ачытбаш	atʃatbˈaʃ
аш	ɑːs
аш шийгәле	ɦɑsʃiː gɛlɛ
аша	ɑʃˈɑ
ашалау	ɑʃɑɫau̯
ашантырмайсың	ɑsɑntɯ̞rmɑjsʊ̞ŋ
ашану	aʃanˈoːx
ашанған	ɑʃɑnmiːqɑn
ашанҡалы	ɑʂɑnqäɫɑ
ашатып-эцереп	ɒʃɒtɒbɒtˈseɾɒb
ашатыңысмы	ɑʂɑtɯ̞ŋɯ̞smɑ
ашаға	æʃɑːgɑ
ашағауылға	ɑʂɑɢɑuɫ
ашағы	æʃɑːgɑ
ашағыта	æʃagɯ̞tæ
ашлар	ɑʂˈlɑr
ашлары	pɑʂɫɑrˈɯ̞
ашлау	enʃlɔw
ашлыҡ	ʊ̞ŋʂɫɯ̞q
ашмалау	asmɑlɑu
ашмацы	aʂmɨatsɨ
ашны	ɑʂnɑ
ашра	ɔːsɔːɾa
ашу	aʃuː
ашыра	β̞ɾɯ̞
ашыры	ɑːsɯɾ
ашыт	ɑːsat
ашытпаш	ɑsɑtpaɾ
ашығы	ʔɑʃ
ашығыну	æʃagænˈoː
ашыҡ	ɑʂɯ̞q
ашыҡматыҡ	ɑʂɯ̞qmɑtɯ̞q
ашыҡсырады	ʊ̞ʃʊ̞qsɯ̞rɑdæ
ашыҡсырау	ɑʂɯ̞qsɯ̞rɑu
ашыҡцан	ɑʂɯ̞qtsɑn
ашҡара	ɑʂqɑrɑ
ашҡаралау	ɯ̞ʂqɑrɑɫɑu
ашҡаҡ	ɢɑʃqɑq
ағалап	ɑʁɑɫɑp
ағац кимерү	aɣatskima rɯ
ағацланып	ʁɑʁɑtsʁɑnʊ̞p
ағацлыҡ эцтә цебен кән.	ɑʁɑtʃulɯk ʔɪstætʃɛ bɪnkæn
ағацҡа ағыну	ʁɑtqɑɢɯ̞ nʊ̞
ағацҡа ағынып ҡара.	ʊ̞ʁɑ tʊ̞ʁɑ ɢɑnɯ̞p qɑɾɑ
ағош пала цығараты, күбесе икәү йөрөйте аның.	aʁɯ̞ʂ bɑɫɑt sɯ̞ʁɑrɑtɯ̞ kʏ̞bɪ̞sɪ̞ ʲikæ jʏɾʏ̞jtɪ̞ ɑnɯ̞ɴ
ағуын тал	aɣuβan tɑl
ағы	ɦgə
ағыллашу	ɑʁɯ̞ɫɑʃuɫ
ағыллашып	ɑʁɯ̞ɫɑʂʊ̞p
ағымпаҡ	hɑħɑmpäq̚
ағын арт	ɑɢɯ̞nɑrt
ағын арт килгәнтә өц сәғәт, ағынға отыры — пиш сәғәт.	ɑɢɯ̞nɑ tʲilgæntæ ʏ̞tsæʁæt ɑʁʊ̞nɢɑ ɑtʊ̞rɯ̞ bʲiʂsæʁæt
ағын юғарыға	ɑˈgɯn juˈʁɑrɯˈʁɑ
ағынлап	ɑʁɯ̞nɫɑp
ағынның	ɑʁɯ̞nɯ̞ŋ
ағынның отырысы	ʔɑqɪnniŋ ʔatirɑsɑ
ағынның ығы	ɑɢɑ næn ɑʁɑ
ағынға отыры	ɑʁɯ̞nʁɑ ʊ̞tʊ̞rɑ
ағып	ɑˈgəb
ағысым	ɑɣɯzsɯm
ағытып	ɑɢɯ̞tɯ̞p
аҡ	ɑq
аҡ гөристә	ogriste
аҡ йаудым	ɑq jɑwɯ̞ðɑm
аҡ таумашҡа	ɑq tɑwɯ̞mɑʂqɑ
аҡа	qa
аҡам	ɑqɑm
аҡиаҡ	ɑqɪ̞ɑq
аҡйар	ɑqjɑr
аҡйаҡ	ɑqjɑq
аҡкүл	akːuʁl
аҡлау	ɑqɫɑu
аҡма	ɑqmɑ
аҡмасы	ɑqmɑsla
аҡмаҡ	ɑqmɑq
аҡорт	ɑqɯ̞rt
аҡпалыҡ	ɑqbɑɫɯ̞q
аҡрайу	æqræjˈjuː
аҡрап	ɑɫqrɑp
аҡру	ɑqrux
аҡсағаллар	ɑqsɑʁɑɫdɑr
аҡсымал	ɑqtʃɑmɑl
аҡтарылу	ɑqtɑrɯlbu
аҡтарылып	ɑqtɑrɯ̞ɫɯ̞p
аҡца	ɑqtsɑ
аҡцайту	ɑqtsʰɑjtu
аҡшайту	χɑqʂɑjtuu
аҡшам	ɑqʂɑm
аҡы	qqæ
аҡыйҡ	ɑqˈiq
аҡыл	ɑqɯ̞ɫ
аҡылдан	ɑqɯ̞ɫdɑn
аҡылтана	ɑqɯ̞ɫtɑnɑ
аҡырайма	ɑqɾäjmɑ
аҡырайма миңа!	ɑqɯ̞rɢæj mɑmʲiŋɑ
аҡырайу	ɑqraju
аҡырт	ɑqɯ̞rt
аҡырыҡ	ɑqɯ̞rɯ̞q
аҡҡа	qaqqa
аҡҡантай	ħæqqɑntɑj
аҡҡацы	ɑqqɑtsɯ
аҡҡру	ɑqruh
аҡҡруаста	ɑqqɯ̞rʊ̞ästɑ
аң	ɔŋ
аң айырға килеп йыйыла игән, күп булсалар кешене таптыйлар игән.	ɑŋɑ jyrʁɑ kelɪ̞p jʲigɪ̞ ɫæ ʲikæn kʏb bwsɑɫɑr kɪ̞ʂɪ̞nɪ̞ tɑp tʲe ʲikæn
аңнай	ʔɑŋlaj
аңнаматым, ник төнкә ҡалып кән таналар эстәйтеләр? [клара кучковская]	ɑŋɑmätɯ̞m nʲiktʲɪnkʲɛ qɑɫɯ̞p kæn tæŋɑɫɑr ɪ̞stæjtjɪlɛr
аңнап алғац пәстүк көлгән ошлай ошлай ҡатыуын... [клара кучковская]	ɑɴnɑ bɑɫʁɑs bæstʲɪk kjɪlgɛn ʊ̞ʃ�ɫɑj ʊ̞ʃʊ̞ɫɑj qɑtɯ̞uɯ̞n
аңнашылаты тыңнагац — алар суғым эстәйтеләр. [клара кучковская]	ɑŋɫɑʂɯ̞ ɫæ tʊ̞tːʊ̞ɴɫɯ̞ʁʊ̞s ɑɫɑr suʁɯ̞n ɪ̞θtæ ʲitjɪlɛr
аңтыу	onfðau
аңтығалы	ɑŋtɯ̞ʁɑɫæ
бабай башы	bɑɓɑj bɑrʃɑ
баиш	bɑːˈiʃ
баки	bˈaki
бала	vɑlɑ
баланы	bɑɫɑnɯ̞
балта	bɐɫta
балыҡны	bɑɫɯ̞qnɑ
бараба	bɾɑba
бармаҡ	bʊ̞rmɑq
башта	bɔsta
башта гешегә әйткәнне үсенә алғынаты.	bɑʂtɑ gɪ̞ʂɪ̞gɪ̞ æjtkænɫɪ̞ ʏ̞sʏ̞næ ɑɫʁɯ̞nɑtɯ̞
башыннан	bäʃɯ̞nɫɑɫ
баҡ	bɑq
бет	bˈɛt
бетмәс	bɪ̞tmæθ
бигәтен	bʲigætæn
бик	mik
бикинәй	bikːnit
биология	bˌiɔlˈogija
бир	biʒ
бирәтегәннән	bʲigætʲɪgænlnæn
битең	biːtˌɛng
битең албырап китте.	bʲitɪ̞ŋ ɑɫ bɪ̞rɑp kʲitːɪ̞
бичәзенә	bʲitʃɛzɪnɛ
бригата	brigata
бу	bu
буйлы	bujlɑ
буйғат	bʊ̞jɢät
булайын	bʊ̞ɫɑjɯ̞n
булат	buɫɑt
булды	bwɫdɑ
булмаса	buɫmɑsɑ
булсалар	buɫsɑɫɑr
булыр	wʊ̞ɫɑr
бумайыр	bumɑjɯr
бурбар	burbɑɾ
бухара	buxarɑ
бы	bˈa
бы йигиткә бирәтегәннән айамағын, ни сураса, бир.	bɯ̞jɯ̞ gʲitkæ βiɫætʲɪgɛnɪ̞n ɑjɑmɑʁʊ̞n nʲe suɾɑsɑ bʲir
бәгәрәк	bæɣæɾæk
бәйләгәле	bejðegele
