abang	apãŋ
gampang	kamp˥
ganda	kondo
gandhut	ŋanˈdud
gandum	kanˈdum
gangsal	kɛ˥˥a˥˧ŋ˥˩sǎl
gangsir	kaŋsir
gantung siwur	ankanðo unsi bɔrn
gari	ariː
garing	kaɾen
garisan	kaːriˈsən
garwa	kɾɣ̞o
gasik	ikaːsiː
gatot kaca	skaːrtʰtʰbɔt̚˥˩kɔːn˧
gawa	koːˈo
gawe	kɛːwiː
ge	fˈi
gedhang	ket̪rŋ
gedhe	kɪːt̪ˢiː
gegayuhan	kɑkɑjɔj
geger	kɯ̞kɯ̞r
gelaran	kɛˈlaran
gelem	kəlˈm
gembelengan	k̚˦˥am˧ʔlŋ˧an˧
gembyang	kɐnˈbiːˌaŋ
gembyung	kɐ̃mˈpjuː
gender	kəndˈər
genderuwo	kandɨroo
gendhing	kɛn˩˥ti˥˩ŋ˧
gendhis	koːndis
geni	lˈnˈiː
gerdhu	ərdˈwˈ
gerong	kiroŋ
gesang	kɪ̞sæŋ
gethuk	akestˈo
getih	kat̪t̪e
getun	kertun
gilo	dˈø
githok	kisto
godheg	kɔtɛk
godhong	koːˈtŋ
gogor	kɔkɔr
golek	koˈlˈe
gong	kõŋ
gorokan	ko˨˩rɔ˧˥an˥˩
greja	kriːtʃo
grepak senthe	ke pə ˈsɪnˌde
griwa	gɾiːvɔ
griya	trio
gubug	kɔpɔk
gudel	tɛlˈ
gudheg	kˈutˈəkˈ
gula	tulo
gulu	kulˈu
gumbala	kumbolo
gumujeng	kʰɯ̀ːmʊ̄ːtɕʰɪŋ
gumuyu	kuːmuːjˈʌpiɪiː
gundhul	kuŋdɔɭ
gunung	kunˈɔ̃
guwa	kuɔ
hanyakrawati	aɲokroavot̪i
ho'o	aɒˈ
ibing	ˈɪtbeŋ
ibu	epuʁ
idep	tˈɪp
idu	itˈa
ijem	itʃiːm
ijo	atʃu
iki	ikːi
iku	ˈaɪkˈu
ilat	ilat
ilmu	lmˈu
imba	imbo
imbal	imbal
indonésia	jˈŋdɾˈʌnisˈiˌɑ
ing	en
ing ngriki	en gɾiki
inggih	ingi
ingkang	ɛːŋ˨˩kâŋ˥˥
ingon	iːngon
irama	irromo
ireng	iːɾən
irung	i̯ɾŋ
isin	�iːzən
itil	itˈeɪl
iwak	i˥˩wa˥˩
iwen	iːven
jagad	t̚˨˩at̪
jago	tʃaku
jagur	tʃakːuɾ
jaja	tɕˈoːtɕˈoː
jakarta	tsakarta
jalaran	dʒəɭaɾən
jam	tʃaːm
jampi	tiaŋ˨˦bi˥˧
jancuk	tɑntu
janganan	tɕaŋɑːn
jangga	tɕɔːŋgoː
janggut	tɕaŋ˨˩ngut˦˥
jangkah	tɕaŋga
jangkrik	tʃankrɛ
jarak	tʃara
jaran	tɕa˦˥ran˧
jaranan	tsʰarakan
jarit	tɕaɾɪt
jawa	tɕio˨˩˦wɔ˥˩
jawah	tɕa˥˥wa˥˧
jaya	tʃoio
jayaningrat	tiaːjɑːnniːŋɾɑb
jebeng	tʃəpŋ
jedhing	tɕit˦˥ʔĩŋ˧˧
jejel	tʃe̞tʃel
jembar	dʒɛmbaɾ
jembut	tˌeˈbyt
jemuwah	tɕamua
jene	dʑnn˩˩˦eː
jeneng	tɕinːiŋ
jengkel	seŋkeɾ
jengku	tsiŋ˨˩ku˥˩
jepang	ʔt̚˨˩bpŋ˩˩˦
jer	tseɾ
jeram	tsjram
jero	tʃerɔ
jeruk	tsɛru
jro	trʊ
jujur	tsʊtʃur
jumeneng	tjuːmanŋ
jumurung	tɕuːm˧˧uːroŋ˨˩
jupuk	tʃupo
jurang	tɕʰuːraŋ
juruboga	tupɛ
juruladi	tsʊ˨˩ru˥˩lɑt˥ti˨˩
kabobotaken	kaːpʊɔpʊt̪akən
kaca mobilé pecah kena bandheman watu	kɔʧomɔ bila pətʃah kɛˈnɔb aːnˈd̪eman watu
kacetha	kə˥˩tɕ˥əʈːɔ̄ː
kacihna	katʃa
kadadeyan	kat̪t̪ean
kadhung	ta˥˩tʊŋ˨˩˦
kadiparan	kaˈtiparan
kados	kaːtˈos
kados pundi	katɾə zkunɖi
kados-kados	kasθalt̪oskaθas
kadurjanan	kat̪urdʒanən
kae	kai˥˥
kaget	kakˈet
kahanan	kahãːnɑŋ
kajang	kâ˥˥tɕáŋ˥˥
kajeng	kâːŋ˥
kakiyatan	kəˈgijətan
kakung	kakum
kakung saha putri	kakoŋ sɔhɔtri
kakus	kakˈos
kakuwatan	kə˥˥kɔ˥˥a˥˧tan˥˩
kala-menjing	kɔːlɔmɔːnʔŋ
kalangan	k̚˥˩laːŋ˥˩an˥˩
kalawan	k̚˦˥aːn˩˩˦awǎn˧
kaleresan	kalaːrəsan
kali	kali˥˧
kalih	kalɛ
kaliyan	kalian
kalodhangan	kaluadaŋan
kaloro	kaluru
kalung	k̚˦˥alŋ˥˩
kamar	kamar
kanca	kɔ̀ːnˈtsɔː
kanca estri	kontʃa tʃiam tri
kancane	kâːn˥˩tɕaː˥˩n˩˩˦ʰ
kandha	kondɔ
kandhang	kan˥˥dŋ˨˩˦
kang	kãŋ˥˥
kanggo	kaŋgu
kanjeng	kan˥˥
kanthi cara	k̚˥˩aː˧rtiːʔtɕorɔ
kanti	kã˥˥ti˨˩
kantun	kã˥˥ntun˩˩˦
kanyatan	kɑ˥˥ɲa˥˥tan˥˩
kaos	kaˈos
kapal	kapau̯
kapan	kʰa˥˥pan˥˩
kapatah	apɑta
kaping kalih	kapˈenˈkˈaʎˈe
kaprah	əprat̪
karawitan	k̚˥˩araː˩˩˦witan˩˩˦
kareben	kaɾapen
karentya	kaɾalað̞io
kari	kari
karo	karo
karya	karjo
kasebut	ka˥sa˨˩put
kasep	ka˥˥sɛp˨˩
kasil	kasil
kasmaran	kasmaran
kasur	kasur
katelah	katəla
kates	katɛs
kathir	kater
katon	k˧a˥ton
katur	tʃu
kawedhar	kau̯vəˈdɑːr
kawruh	kauro
kawujud	ka˥˩w˧ːtʃtʃut˥˩
kawula	ka˥˩ulo˥˩
kayu	kiu
kayungyun	aɪ˧˧ʊŋ˨˩˦jʊn˨˩˦
kebo	tupˈtɕi
kecoh	t̚˦˥t̚˦˥t̚˥˩
kecut	ke̞t̪ʃt̪
kedah	qatːa
kediri	koːt̪t̪iːriː
kelakon	kakons
kelas	klas
kelingan	kʰɛːliːŋan
keluwen	kʰəluːn
kembang	kãmpanɣ̞
kemiri	kamiɾi
kemis	kəmˈis
kempal	kampal
kempol	kẽnpol
kemproh	kəmproh
kempul	kapul
kempyung	kãmpioŋ˨˩
kemutan	kemutant
kenang apa	ko˥˩nɑ˥˩ŋɔ˨˩po˥˩
kencana	kntɕo˥n˧
kencur	tʃauɾ
kendel	gəndəl
kendhang	kaˈnˀdak
kenong	t̪e̞n̪nõŋ
kentel	kɛntɛl
kenthu	kəntu
kenya	kaɲˈo
kepenak	kapina
kepengin	kʼapŋin
kepiye	kapie
kerawitan	k̚˥˩raː˧wtan˩˩˦
kerep	kəˈrʊb
keri	kaɾri
keris	kares
kertas	krt̪as
kesah	kejsa
kesenengan	k̚˥˩aːsa˨˩nəŋan˧
kesrakat	asraːka
ketara	katˈoɾo
ketawang	k̚˥˩taːwāːŋ
kethek	kɛːʈːɛ
kethuk	katˈo
ketingal	kɤ˥˩tiŋ˥˩a˥˧
ketipung	katipoŋ
ketok	ke˥˩tok˨
kewan	kwan
kewetu	au̯atːu
kidul	kit̪ul
kilen	ʔkʰlɤn
kina	kino
kinabekten	kinapekt̪an
kinanthi	kinaldi
kinurmatan	kɪˈnʊrəmaːtɑŋ
kirang	i̠ɾãŋ
kirik	kˈɪɾˈɛ
kita	kisto
kitab	ki˥˧tap˨˩
kitha	kito
kitha sala	kito sa˥˩lɑŋ˨˩˦
kiwa	kibo
kiyai	kiai˧˧
kiyat	kijat
klambi	klanbi
klapa	klopo
klasa	klosˈo
klawan	k̚˥˩laːw˧n
klentheng	klən˥˥tæŋ˨˩
klentu	klâːn˥˧tʰɔː
kleru	klaro
kliwon	kliːvon˩˩˦
kodhok	tʃoto
kok	tɛːm
kondur	kunduɾ
kongsi	onsˈi
kono	koːnˈoː
konten	kɔːn˥tʰɐŋ˧
konthol	knt̪ɻ
kothak	kuːta
kowe	kʊ˥˥eː˥˧
kraton	kraːtɔn
krecek	kɾetʃe
kreteg	kɾatok
krikil	kɾikel
kringet	kriŋɛt
krungu	kɾumu
kucing	kʰoʔtɕŋ
kuda	kutːo
kudu	kutu
kukila	kukilo
kula	kulo
kulawarga	kuloɑɾkɔ
kulina	kulˈinˈo
kulit	kuˌlet
kulon	kulˈon
kumitir	kumite
kumpeni	kumbani
kuna	kuno
kunca	k̚˥˩un˩˧ts˦tsu˥˧
kunir	kuːne�ʲːɾ
kuping	kupˈeɪŋ
kurang	koɾal
kutha	kupo
kutha surakarta	tʃiɔ̯tʃɔ̯rɔːkaɾtɔ
kuthuk	kuːʈːo
kuwat	kuaːt̚˨˩
kuwi	kui
kyai	iaj˥˩
ladi	plati
lados	latos
ladrang	latrɛŋ
lagu	lakˈu
laku	lakːu
lambe	lamˀbi
lami	lami
lan	plau̯
lan sapiturute	lɑn ˈsatʰitʰuːrɔtɛ
lancar	lant̪ʃar
lancaran	n˩˩˦aːntɕaː˥˩n˧
landhep	laːndəb
langgar	lngɛr
langgeng	ɫæn̪g̊ɯ̞m
langkah	laŋka
langkung	laŋ˥kũŋ˥
langsung	laŋ˨˩sʊŋ˨˩
laras	laːrˈas
lare	la
lathi	lati
latu	latu
lawang	laːwāŋ
lawas	lauas
lebur	lapuɾ
legi	lakiː
legi banget	ləgi baŋit
lelungan	lalũŋan
lembu	lɛmbu
lembut	ləmbut
lempeng	lãmpanɣ
lengen	lŋ˩˩˦an˥˩
lenggah	ləŋga
lengser	lɛŋsɛr
lepat	pat
lepen	lapen
ler	ler
lerem	plɾem
leren	larɛn
leres	lazs
lesan	lɪsan
let	lət̪
lima	limɔ
limalas	havismoras
limang	lizmãn
limang atus	limaŋatʊs
limrah	ɬbrˈah
lintang	n˩˩˦tâŋ˥˩
lir	ɛɾ
lombok	lˈombo
lor	plˈoɾ
lor wetan	loɾwit̪an
loro	loːroː
luh	lo
luk	lo
lumrah	lumbra
lunga	lungɔ
lungguh	lungu
lungkrah	lũŋkra
lungset	n˩˩˦ʔst
lunjak-lunjak	lunʝalunʝa
lunyu	lˈʊɲˈʊ
luput	luːp˨˩ot̪
luru	luɾu
lutung	luton
luwih	luːʔ
mabur	apur
maca	mˌoːtɕˈoː
macan	maːtɕan
madu	matu
maesa	malso
majapahit	moː˧˥tsiː˧˥ŋ˨˩baːiː˧
majeng	matʃin
maju	matʃu
makarya	makario
malah	malah
manah	mana
mancanegara	monʲːoɔːnkoɾnɔ
manci	maːn˩˩˦ci˥˧
mandheg	mnd̪uk
mandhegani	mandekani
maneh	manˌe
mangan	maːŋɔ̀n
mangayubagya	mau̯juɛpɔkɪl
mangga	mˈɔ̃go
manggar	mangɑr
manggen	maːŋgɪn
manggon	maːŋ˧k̚˥˩n˧
mangkat	mâːŋ˧kʰap˥
mangke	maŋki
mangkene	maːnkini
mangkunagara	maŋkuːnkɔːr�u
manira	maniːro
manjing	mantɕiŋ
manten	mǎn˥˩ʈæn˧
mantun	mǎn˧tʰun
manuk	manu
manut	maːnʊt
manyura	aɲurɔ
maos	maʊs
marahi	mˌɑːrˈaɪ
marang	malraŋ
marasepuh	mˈorɑnsɛpuˈh
mareka	maɾko
margi	mˌaɾkˈi
mari	mari
maring	maːrˈinˈ
maruta	malutɔ
masku dolanan bal balan	ˈmɑtˈskuːt wɔˈdɔe̞mˌmɕ pəɾuː toˈlaːnj
maskumambang	masˈkumambank
masuh	masʊ
masuk angin	masʊ̄ˈ
mataram	maːtaː˧ráp̚˨˩
mataram (jawa)	matt̪əɾam
mati	mati
matur	matʊɾ
matur nuwun	mator nuol
mawa	moːˈʊ
mawar	maaˈwaːr
mawon	mavɔn
mayang	maːjɑŋ
mayangkara	majaˈnkoːroː
mbabar	bapaɾ
mbadhog	bˈædg
mbalela	balelo
mbarang	bˈaɾˈa
mbebayani	bapəjaniː
mbengkerok	bəŋɟəra
mbeta	bettaw
mbok	bo
mbok menawa	bo manvos
mbok ya	bo jo
mbrana	dˌɾˈonaɾ
mbrene	breni
medal	met̪al
medhot	matʊt
megatruh	maːkaːtrʊ
meja	mitʃo
melathi	malaːtiː
melu	maː˧lŋ
memela	mʔmhlɔ
memitran	m˧ɯ̄ːm˧j˧tn
menapa	manopo
menawa	mɐn˧ʔaːw˧
menawi	maːn˧n˧aː˧w˧iʔ
mencok	mentːʃa
menda	mundo
mendem	manːd̪um
menek	me̞nˌe̞
menertawakan	mə̞nr̥t̪awəaŋ
menggah	mɐ̃ŋˈgːa
menggok	ne̞ŋgo
mengko	mǎŋ˧˥kou˥˥
mengkono	maŋ˧kħn˥w
menika	manjˈkok
menit	manet
menjangan	mǎn˧tɕaŋ˧an˧
mentas	məntas
menthog	mintʰ
mentri	məntri
menur	manuɾ
menyang	manʲæm
merga	maɾko
meri	meri
mesin	m˧ɛː˧sin˩˩˦
mesjid	mɑstʃit
mesthi	mʌstːiː
meteng	mast̪ɐŋ
methuk	matok
metu	matːu
miber	mipə
midhangetake	nidaŋkɛtake
migunani	mikunani
mijil	mitʃil
mikat	mika
mimpin	mimpin
minangka	mʲinɔ̄ːnko
minggah	miga
minggu	mɪŋˈʌ
mingkur	minkuɾ
minulya	minuliˈo
mipil	mipl
mirah	miːra
mireng	miːɾæŋ
mirengake	mirenake
mirengaken	m̩iːrŋ˧ŋ˥ŋ˥
mirunggan	mi˥˧nɔːŋ˧˧an˥˩
mitra	mitro
mitra darma	dormo trotarmon
mitran	mi˥˩tran˥˩
miyos	mios
mlajeng	mlaːtɕiŋ
mlaku	aku
mlaku-mlaku	mɛːlakuːmɛːlakuː
mlampah	ɛɴpa
mlathi	mˀ˥lati˥˧
mlayu	mlaju
mlebu	malapu
mleset	mʰajsæt
mletho	m˩˩˦lɛːp˥˩lo˥˩ː
mligi	mliki
mobil	up
mojopahit	mortsovaib
monggang	lungan
montor	mʊ̃ɔ̃tɔɾ
montor mabur	munt̪oɾ mɾupoɾ
mosik	musi
mrajak	bratʃa
mrica	mritʃa
mriki	briki
mripat	brɪ̞pʌt
mudha	muto
mudheng	muːtuː
mudhun	n˩˩˦uːtən˧
muka	mˈˈuko
mula	mulo
mulang	m˥˩
mulat	mula
mundhak	munda
mung	mon
mungel	mung̞al
mungguh	mungu
muni	muni
munyuk	mˈuɲʊ
murang tata	murantoto
murih	mure
murugi	muruki
mustaka	mustoˈkom
mutih	upi
mutusake	muːtɛʃkɛ
mutusi	mutosi
muwun	muːvon
muyeg	mˈujak
nalika	naliko
nama	nomo
nambani	nabani
nanging	naa̯ŋˌiŋ
nangis	nangis
nata	noto
ndara	doro
ndelok	d̪elak
ndhana	donom
ndhelik	dˈɛlˈlˈɛ
ndhene	dne
ndherek	are
ndhredheg	drɛtɛ
ndi	dˈi
ndondomi	dˈɔ̃doˈmi
nedha	neto
nedya	natjo
negara	nkʰoːrɔː
nek	nˈe
nem	naːm
nem atus	neˈmatus
nembang	nɐ̃ʊ̃bˈaŋ
nemlikur	nəmlikoɾ
nendra	nendro
nengga	ləŋgo
nesu	nasˌu
ngabei	apei
ngadeg	nɛːtəgɛ
ngajeng	nʲatʂɨŋ
ngandhap	n˩˩˦ɑ˨˩an˧dap˦˥
nganggit	ŋangit
nganggo	naːgu
nganten	ŋantɛn
nganti	ŋanti
ngantos	ŋantɔs
nganu	ŋaːn˩˩˦uː
nganu 'i	na nuʲ
nganu 'ok	ŋaːn˩˩˦lua̯
nganu ki	na luɣ̞i
nganu kok	ŋaːnˀnuːko
ngarep	ŋarap
ngarsa	narsɔ
ngasta	nasto
ngatos-atos	ɲatɔsɑːtɔs
ngayogyakarta	najkiokarto
ngelak	nˈɑ̃
ngelik	ɲala
ngendi	nnd̪i
ngenteni	ŋanteni
ngetok	njɔːtok
nggaglag	gaklak
nggawa	gɔuɔ
nggawe	gawe
nggih	gˈe
ngglimpang	glimpang
nggo	gu
nggubel	gupɾ
nggujeng	guːtɨŋ
ngguyu	bujˈu
ngiring	n˩˩˦iː˧ɾeŋ˧˥
ngiris	niiris
ngisi	nˈe
ngisin-isini	nisinisini
ngisor	ɣ̞ajsor
ngladeni	lɑtɛniː
ngladosi	glat̪asi
nglamar	laːmɑr
ngono	manu
ngorok	nɔro
ngrajang	ŋgratʃa
ngrancang	ŋ˩˩˦raː˧n˥tɕaŋ˥˩
ngranggeh	granˈgɛ
ngraosaken	ngrau̯sakan
ngrasakake	raːsɐaˈke
ngrembaka	nɛnboko
ngrencana	ɾɛntʃɔnɔ
ngrika	gɾˈiko
ngriki	gɾˈiki
ngrowot	rɑuɑt
ngrungokake	tʊŋɔː˧a˥˧ke˥˩
ngukur	ukor
ngulandara	unlanð̞oɾo
ngundang	munˈdunˈ
ngunggahake	munɣake
ngungsi	ŋ˨˩si˥˩
nguntal	munt̪al
nilar	niːlar
ning	lɪŋ
ning endi	neŋan di
ninggal	nˌiŋgˌalˈ
niyaga	ni˥˩oko˥˩˦
njejegaké	dʒtʃtʃɐkɐɟgj
njengkelake	dʒeŋ˧˧kẽ˥˥laki˧˧
nongkrong	nˈoːŋkˈrɔŋ
nonton	n˩˩˦ton˥˩
nuli	n˩˩˦uːliː˧
numpak	nʊ̃ŋpä
nunggu	nˈoŋgʊ
nuntun	nuːntun
nusantara	nusaˈntɔrɔ
nuswantara	nʊsˈwantɔrɔ
nuswantoro	lˈusvandˈɔru
nusântara	nʊˈsantəra
nuwun	nˈuːɔn
nyambut gawe	ɲaːnbut qawii
nyamping	n˥˩am˥˩pɛŋ˨˩
nyandhak	nanda
nyanyi	nʲaɲi
nyaosi	niausi
nyata	nʲoto
nyebat	nˈɛptæˈɫ
nyebut	nˈepˈyt
nyekek	nˈɛkːa
nyeluk	mialˈo
nyidik	nite
nyigar	nˈikar
nylamur	njəlˈamʊr
nyolot	ɲːɔːlɔt
nyopir	nupiɾ
nyunggi	nˈuːgi
nyuwun	n˩˥ːuːuːn˥˥
omah	maɾ
ombak	omba
ombèn	omben
ompak	pomp̚
ora	ora
orak	ora
pacul	paːʈʰol
padha	potɔ
padha-padha	pot̪oˑp̚ʈ̟o
padhang	p̚˥˩raŋ˧
pados	ptuz
padupan	tɑjtɾupan
pagesangan	paksaŋan
pahing	tɑː˥
pait	bua̯i˥˩
pakan	paːk̚˨˩an˥
pakenira	pokɯ̞n˥˥iɾʊ̞
pakulitan	pakuljtan
pakunjaran	pakundʒaˈrɑn
palaran	aːlaːran
palarapan	palahrapan
palawija	polouitʃo
pamarentah	tɑmbɾent̪a
pamidhangan	pamiˈtnŋan
pamitran	paːmiːtran
pamiyarsa	pamiarso
pamrayogi	pamrajoki
pancadriya	pontutrio
pandadaran	paːndaːtarən
pandulu	pandel
panen	paːn˧ɛn˧
pangambu	pangambu
pangan	baŋan
pangaribawa	paˈlaːlˈsiːpo
pangastuti	anastuti
pangenyam	paːŋ˧n˥jam˨˩
panggah	panka
panggonan	paŋgo˧˧n˥˩an˥˩
pangkur	pankuɾ
pangrasa	pagroso
panguripan	aŋuripan
paningal	paːnːiːngaː
panjenengan	paː˥˩n˩˩˦ʔnn˩˩˦ŋ˧n˧
pantun	antun
panuwun	ɔːnˈʌvˈuɔːn
papat	pa˥˥pat˥˩
para	poro
parem	paːɾum
pari	paˈri
paring	aɾˌɪŋ
paro	parʊ
pas kae	tʃiːrkj
pasa	po˥˧sau˥˧
pasar	pasar
pasugatan	paʃugət̪an
patang	pa˥˥tãŋ˥˥
patang atus	pat̪aŋ atʊs
patang puluh	pot̪aŋ bulo
patbelas	patplɛs
pathet	pa˥˥
pati	pati˥˩
pating	pateŋ˨˩
pawakan	pawna
pawarta	pau̯art̪o
pawon	paːlfon
