a	aɾ
aver-çûn	aːvɛrˈtʃuːn
averêtî	ɑːbˈriːtˈi
averî	ɑːvˈriː
avesta	ɑːvɑsto
aveze	ɒːvæzɒː
avgirtin	ɑvgɪ̞rtːɪ̞n
avik	ɑʁzɯk
avis	ɒvæs
avjenî	tʃo
avjenî kirin	ɑwʒənijkɪ̞rɪ̞m
avkevir	ɒvgɒvɒɾ
avkêşî	ɑfkeʃiː
avmerwarî	ɑːvmarwaːri
avnosk	avnˈosk
avor	aˈvoɾ
avorî	voɾi
avpenk	aftq
avpêgermbûn	afbegəɾˈmˈbun
avreşk	ɑwɾaʃ
avro	avro
avrêj	au̯re̞ʒ
avrêjgeh	ɑʋrʊ̞ʒgæ
avser	afsɛr
avsîr	afˈsˈɾ
avsûn	afsuːn
avzêm	ɑːbziːm
avêtin	avɛtɨm
avîn	ɑːvviː
avşor	afʃoɾ
avşîn	ɑfʃiːn
aware	ɑʊɑˈrɑ
awat	ɑwɑt
awaz	ɑwɑz
awe	elvɒ
awelmaw	ɑuːælmæv
awerte	aːwħrtə
awertehî	ɑuərtə
awez	qɔzɛs
awezeyi	ɑːvˈæzðeˈɣiv
awiqandin	ɑɑwɯ̞qɑntɯ̞n
awiqîn	ɑwɑqˈin
awir	aɫɯ̞ɾ
awistî	ɑːusdiː
awlik	ɑuʲliq
awoçyar	ɑɔtsʃiɑr
awrîşim	ɑuɫɯ̞iʃɪ̞m
awête	ɒlwede
awîşan	ɑu̯iːʃɑn
awşîn	ɑːvʃiːn
ax	ax
axavtin	ɑhxtæm
axlewîk	axlawiːk
axoşî	ɑːxʃiː
axte	ɑxta
axur	ɑːpɑːr
axze	ɒˈxzɒ
axên	ɑːxɪːn
axîrke	ɑχiɾkɑ
aya	ˈɑjɑ
ayane	ɑːjɑːnɑː
ayar	ɑɫɯɑɫɑɾ
ayende	iːɯˈnˈda
ayenden	ɑjɛnden
ayij	aʝeʒ
ayil	ɑːjl
ayilî	ɑjˈviː
ayî	a˥˩i˥˩
aza	ɑːzɑː
azabûn	ɑːzɑːbun
azabûyî	ɑzɑbuei
azad	ɑzɑd
azakirî	ɑːzɑːgriː
azar	ɑːzɑːr
azardan	ɑːzɑːrdɑːn
azardil	ɑːzɑːrdɯl
azeh	ɒːzɒːh
azep	ɑːzɯp
azerdedilî	ʔaːzrddliː
azfendak	ɑsfɑndɑk
azib	ɒzɒb
azibî	ɑːzbˈi
azim	ɑːzɯm
azimandin	azimandɯˈn
azimîn	ɑːzæmɪn
azinc	aːzɪnˈdʒi
azlû	azluːh
azlû kirin	ɒzluˈgɾˈim
azlûbûn	ɑzlæbun
azman	azman
azmanî	ɑzˈmɑːni
azmayiş	ɑzmaːjɯʃ
azmayişan	ɑsmaːjæʃɑn
azolê	ɑːzuːle
azoxe	ɑːzɑːxɑ
azwer	ɑzvɑr
azwerî	ɑːzwæɾiː
azê	ɑːziː
azîze	azˈiθɐ
azîş	ɑːziːʃ
azûxe	ɑːzɔːxæ
aş	dʒuʃ
aşitî	aʃtʃ
aşîtî	ɑːʃiːti
aşûfte	ɑːʃouːfte
ba	bˈɑː
ba da	bada
babbonej	babːonaʒ
babergirtin	mɑbɛrkɪ̞ʃtʲɪn
babet	babət
babik	babɯk
babirek	bɑbræk
babûne	baːbuna
babûtan	bɑːbuːtan
bacalanî	bɑːgæˈlɑːniː
bacan	bɑːdʒɑːm
bacgirî	baːdʒgriː
badan	bɑːdɑːn
badar	baːdɑːʃ
baderek	bɑːdɛræk
badoke	bad̪uɣ̞a
badîn	badɪn
baecandin	vɑːdʒɑndɯn
baecîn	faʕaːdʒiːn
bafile	baːfla
bafûn	aːfˈwan
bafûnî	baːfuzniː
bagas	ɑːgɑːs
bagban	boːgboːn
bahoz	balˈɣuz
bahre	bħra
bal	bɑl
balafir	balaːsər
balafirgeh	balaːforˈgə
balafirşkên	balafərʃkeːn
balan	bɑːlɑːn
balar	bɑːlɑːr
balende	bɑɫandɑ
balgî	bɑːlgiː
balicin	baːlɑdʒɛn
balme	bɒlmæ
bamerd	baːmrt
bamerdî	baːmrd̪i
ban	baːn
bandor	baːnˈd̪uːr
bang	bɑːŋ
bang dan	bæŋgðæn
bangewazî	baːngwaːziː
bangor	boːŋoːɾ
banêşipla	baːniːʃbˈlɑ
banî	baniː
bapîr	bapiɾ
baqbaqon	bqoːn
baqîman	baqiman
bar	bɑːr
bar danîn	voiː
bar girtin	bärgʲɪrtʲsʲɪŋ
bar kirin	bɑr kɪ̞rɪ̞m
barbasel	bˈaɾbˈaˈsæl
bargodan	bʱaːrgoːdaːn
barisil	bɑːrʃil
barîn	baːɾiːn
basqil	bˈɒsql
bastîq	bo˥˩ːstj˧q
bav	bov
bavnelimalik	bɒbnɒlmɒlˈlɒˈk
bawer pêanîn	bawr pe aːnɪn
bawerd	baɫɛrd
baxçê zarokan	bɑxtʃɪj zɑɾɯkɑn
baxê delme	baːxjd ðəlma
bayê başûr	bɑː ɑːbɑː ʃoːr
bayê cenûb	boj dʒənub
bayê dijwar	baːjæd dʒuɑːr
bayî	bˈaɪ
baz	bɑːz
bazar	bɑːzɑːr
bazbût	baːzbuːd
baş	bˈaʃ
başaq	ɑʃɑːk
baştir	bɑʃtɯr
baştirîn	baʃtæˈriː
başûr	bˈaʃuːɾ
be	be
bedbîn	bˈɑtbˈiɪn
bedkar	beːtkaːr
bedlîs	beˈdlˈis
bedxwah	bˈaːtlʁwˈa
bedyomî	padiumi
beecandin	daːɑdʒaːndiːn
beecîn	daʕadʒin
beg	bɛg
beh	b
beha	dahˈʔ
behremendî	baħramndiː
bejn	baʒɛm
bejnbî	bˌɐʒˈnˈbi
bek	bˈak
bel	bæl
belalûk	beːlɑːluːk
belazîz	beːlɑːziːz
belaş	bælæʃ
beledî	baladɪ
belqitî	balqti
belê	balˈe
bemo	baˈmˈo
bend	bend
bendava batmanê	beːnd ɑl ɢɑ batmanj
bende	bɒndɒ
bendewar	bɛndɑoaːr
benî	dˈɛnˈi
ber	bær
beran	berɑːn
berate	varaːʃa
beraz	berɑs
berbend kirin	bær bænd kɪ̞rɪ̞n
berberoj	berberuʒ
berceste	berˈzastɑ
berdest	berdɑst
berdil	berdæl
berdilk	bærdɪlˈk
bereh	bæɾa
berepêç	barapeks
berevajî	beˈrɑːʊdʒiː
berevanî	berˈvɑːnid
berf	bɛrθ
berfîn	berfˈin
berg	berɣ
bergeş	bərgəʃ
bergirî	berˈgɾi
berjeste	bɒrdʒɒsta
berjor	berʒur
berjêr	bæɾgʲiːɾ
berkar	berkaj
berkjorkirin	bɒɾkidʒɒɾˈkelin
berkurr	bærkʏr
bermîl	bermiːl
bernamenûs	bernaːmenus
bernamenûsî	beɾnɑːmnuːsiː
berrik	bɑrːɯ̞k
berrî	brɾˈi
bersiv	barsɪw
bersivandin	bʲɪɾsʲvɑndʲɪn
bersêl	barsil
bertîl	bɾaˈti
berx	bɑrx
berxweneketî	darxwaˈnukati
berzik	bærzɪ̞k
berçîs	berˈtʃiz
berê	are
berî	bˈɛri
berû	bɾuː
beser	basər
betaniye	bʊ̞tæːnjæ
betlaneyan	nˈɒtlɒnnˈɒjˈan
bexda	baħda
bextenîz	baqtn
bextreş	bɑqtrɑʃ
bexçevan	baxtʃoˈvɑːn
bexşende	bɒʃɒndɒ
beyar	beːjˈɑːlɑːʃ
beybûn	bejˈbun
bezîna drêj	baːziːna drjʒ
beş	bæʃ
beşdar	bʃɖɑːr
bi dizî	bdˈzi
bi rastî	bˈɾɑːsti
bi xatirê we	bexadri ˈwe
bi xêr	beː xeɾ
bi zarokatî heta niha	bzɑːrʊkʰəat̪iː ħtɑnɑhɑ
biaxivin	beɑxɪvən
bibîr anîn	bɑbr ɑːnɪna
biguman	boːgmɑːn
bihare	bhɑːrə
bihîv	beːˈʔiːv
bihûşt	bɣoːst
bijarte	bʒaːrta
bijdil	bʒdæl
bikêrhatî	bqɪrɦɑːt̪iː
bilandin	bɪlandɪn
bilbil	pʰeː˨˩˦
bilbizênk	balbæzɪn
bilind	bɪlind
bilindlutke	bɪ̞jɫɪ̞nbʊ̞tkɑ
bilêc	plˈɪdʒ
bilêv kirin	be̞ɫevkʲirɪ̞n
bilûr	spɛlˈoːj
bilûrvan	beˈdudvaj
bimbarek	dɪ̞mbaːrɪ̞k
bimîne	bˈmina
binav bûn	ɓ̞ẽn̪aːlβ̞õːn
binav kirin	bunɯnɯnɯm kørymm
binav çûn	ɑbeˈnɑfdʒul
bindest	bɪ̞ntæst
binefş	be̞næfˈʃ
binevşî	bɪˈnɛvˈtʃiː
bingeh	bɪ̞ŋgæ
bingehîn	bngæhiːn
bintar	beːntɑr
bintas	bntas
binê arêyan	ə bneː aːrʲiːan
bira	brɑ
biranewenî	branwmi
biraza	braza
birazî	brazi
biraşîr	bəˈrɑːʃiːr
birehm	ɾɑh
birh	bɪr
birin	bɪ̞ræn
biriqandin	bereqɑmdeŋ
birrek	bɯ̞rːɯ̞k
birsî	bersi
birsîtî	drsiti
biryar	briːaːr
birçî	brtʃiː
birêve çûn	breːʋətʃul
birêveber	bɾɛjʋebɛr
birêvebirîya bacê	breːʋa bria bɑːgɪ
birêz	breːs
birîn	brˈi
birînsaz	beriːnɛsɑz
bisekène!	lesene
bizav	beˈzɑːv
bizdandin	bizdaŋˈdɯm
bizin	beˈzɪn
bizmîk	bizmiːk
bişkov	bɐʃkʊd
bo	bum
bokan	bolkaːn
boleh	bʊ̞ɫæ
bolvir	bɒlve
bombe	bumba
bombe barandin	bɒmbɒ baˈɾɒndim
bombebaran	baləbsɑːrn
bong	mˈaɪzəl
borr	bɔɾ
borîzan	bæɾizɒːn
bostan	mɔstɑm
botan	bɔtɑːm
botî	bo˥˩ːti˥˩
box	bɔx
bratî	gɾati
brîn	brˈiːn
brîndar	dˌeˈɾˌiŋdɐɾ
brîndar kirin	bɪ̞ɾ ï̞ndɑːr kɪ̞ræm
brûsk	brusk
burc	buntʃ
buroya serraf	bˈoɾojɒ saraf
buxar	buxɑːr
bêar	beːˈɑːr
bêcirman	be˥˩ːgərmɑn
bêdeng an hiş bûn	beðən ʁɑn χɯ̞ʃbun
bêfêhm	bifˈe
bêfêr	beːfˈər
bêgane	beːɣɑnə
bêgav	beːˈgɑːv
bêhiş	beːɦʃ
bêhn	be
bêhn dan	bæɦɪ̞ndɑːn
bêhn kirin	bˈeːhæn kɪ̞rən
bêhtir	bɪ̞xtɪ̞r
bêhêvî	beːˈheːviː
bêje	bˈeʒə
bêkes	beːkæs
bêmal	beːmɑːl
bêmejî	bˈɪmɪdʒiː
bênamûs	benamuz
bênijîn	beneɣ̞in
bêqiram	beːkɾɑm
bêr	bˈiɾ
bêrî	bəriː
bêrî kirin	bæɾi kɪ̞rɪ̞n
bêrîvan	beriːwan
bêstûn	ðestuːl
bêtewş	beˈtɔʃ
bêvil	beːvel
bêxwedî	beːxobeː
bêyî	bˈeɪ
bêzar	beːzɑːr
bêînsaf	beɪnsuð
bîbariya	biːbaːriːɑ
bîber	bibær
bîjî	bɪʒˈi
bîner	biːnæɾ
bînxweşik	bnχʊ̞ʃːk
bîr	biz
bîrikê	bɪɾkeː
bîro	biro
bîst	bist
bûjdan	buʒˈdɒn
bûm	bum
bûn	bun
bûyer	bujɒˈɾ
c	dʒɯ
camêr	gɒːmˈiːɾ
cange	dʒaŋe
car	dʒɑːr
caran	gɑːrɑːn
cardar	dʒɑːɾtɑːr
carinan	dʒɑːrʲnɑːn
casûs	dʒɑːsˈus
cawbirr	ɟɑɫbɯ̞r
ce	dʒoː
cefan	dʒefˈɑn
cehcehik	ɟːĕħɑhɪ̞k
cejn	dʒʌʒi
celadet ali bedirxan	dʒlɑdɑt ɑliː bd̪r xɑn
celke	dʒˈalkˈˈ
cem	dʒɛm
cembelîsk	dʒambˈˈlˈsˈk
ceng	dʒang
cerdevan	dʒrdævɒːn
cerrah	dʒarˈra
cewane	dʒoɑːnə
ceylan	dʒɑjlɑn
ceyran	dʒeːˈrɑːn
cezîr	dˈɛziɾ
cigerxwîn	dʒigarxwiŋ
cihû	dʒɦuː
cil	dʒen
cinet	dʒˈɛnˈat
civak	dʒivag
civat	gəvɑːt
ciwan	dʒuːɒːn
ciwanmêr	dʒoːˈɑnmeːɾ
cizme	dʒizmɑ
cizîr	dʒazeːr
coht	ʒˈo
cok	dʒok
colemêrg	dʒoːlˈmeːrk
conega	dʒonɣa
cotkar	ʒɑˈtgɑr
cotmeh	dʒɔtmɛ
cotyar	dʒodˈjɑr
cuda cuda	dʒudˈa dʒudˈa
cuda kirin	dʒudɑ kɪ̞rɪ̞m
culemêrg	gylɛmɛʁ
cumhuriyet	kymhuɾijæt
curebaranek	dʒuɾabaːɾaːnək
curev	dʒʊˈrɑf
cêwî	gˈɛ
cî	dʒiː
cûr	dʒuɾ
cûtin	dʒutiːn
da	dˈɑ
dad	dˈɑ
dadgeh	tadtigɒ
dadvan	daːdvɑn
dadwer	dadəβeʃ
dagdeviran	daktɔvrɔn
dagir kirin	daː gɪrgɪrən
dagirker	dɑːgərkər
dahat	dɑːhɑːt
dalane	dɑlɑnɑ
daleqandin	dɑlɑqɑmˈdɯm
daleqandî	dlaːqandi
dan	da
danîn	daːnˈin
dapîr	ɖəpɪr
dar av çûn	dɑːr ɑːfdʒon
dara	dɒːɾɒː
darbest	dɑrbɛst
darbesthelgir	dɑrbɛsthælgr
daretirî	dˈɑɾɑtɹiː
dargoşt	dargɔʃt
darijtî	dæɾʃtig
darika zavê	ɖaːrkaːz ɑːwe
dartaş	dæɾˈtɑʃ
darterm	dɑrtɑrm
dartewl	dartɑwɯ̞ɫ
darve kirin	ðˈɑɾʋˈæjɪrɪ̞ŋ
darçik	därtʃɯc
das	dɒːs
dasok	dɑsoːk
dasî	dɑːsiː
dasûle	daːs˦oːla
dawervandin	davɾaːnːdɯn
daxistin	daxɯstɯn
daxuyanî	daxoːjɑːni
dayik	dajik
de	dˈɑ
defter	dɒfˈtɒr
deh	dˈɑ
dehlî	daħl
dehm	ħæh
dehêk	daːheːk
dehî	dahiː
dehşik	dˈahʃɪk
dek	dˈɛk
dekor	dɒːkɒr
del	dæl
delal	dælˈlæn
delov	dˈelˈov
dem	dˈɛm
dema boriya têdeyî	d maː boːrjaːt daj
dema niha	dmaːnəa
demsal	damˈsɑl
demûş	dˈəmˈuʃ
dendik	dʊ̞ndʊ̞k
deng	dˈɛŋk
dengbêj	dankbeʃ
dengbêjî	dagbeːʒiː
depe	dapæ
der	dæɾ
der kirin	dæɾkjɾˈɪ̞n
dera kevir lê zêde	daːraː kaːˈbr leːzeː da
derb	de
derbakut	dɑrbakoːd
derbar	dɛrbar
derdor	darˈdoːr
derederg	dardarˈg
derhal	darˈhal
derheq	darħaq
derhêner	d̪aɾee̞ne̞ɾ
derinan	dæɾˈnɑn
derketin holê	tærkɛtin ɔvjɛlɛj
dermale	dɑrmɑːlɑ
ders	dærs
derve	darvo
derxitin	därχʲɪtɪ̞n
derzî	darzi
derênce	dorindʒa
derî	deˈri
desmal	dæsmɑn
destan	dɒːstɒːn
destar	ðəstˈɑr
destdrêj	dastðerɕ
desteger	dastˈatˈɾˈ
desthine	dastħana
destilmêj	dˈɛstlˈimɪːg
destperîn	dkepeɾiːn
destpê kirin	bʲɪ dæstʲik tʲeː pɪ̞rɪ̞n
destpêk	dastəbiːg
destteng	dastɣ
destxweh	dastʁwˈˈ
destê kirin	dastɪi kɪrin
dev	dav
devmasî	dəvˈmɔːsi
dewam	dɑˈvɑːm
dewsandin	ðəwessaːnde
dexl	ɑxˈl
deydik	dæjtɪ̞k
deza	duzˈa
dezgînvan	dzʝnˈvɑn
di	dɯ̞
dia	dɔa
dibistan	dˈəbəzstan
dido	ðədˈoʊ
dihok	dafog
dijwar	dʒuˈaʁ
dijîm	dʒiːm
dijîn	beʒˈiːn
dijûn	dˈɛstʒˈwnˈ
dikan	dakɔm
dikandar	tikandai
dil	dæl
dilgîr	ɖəlˈkiːr
dilmaqan	dmaqan
dilopên baranê	d loːpeːn baːrɑːni
dilreq	dˈebˈɾˈa
dilxweş	dɛlʁœʃ
dilêş	dˈælʔiːtʃ
dimbil	ɾiːmdʒə
dimbilî	ðmbəli
dimil	deməl
dimilî	dɪmɪlˈliː
dims	dems
dinan	dˈɛnə
dingilhewa	tɪrgjlhɑwɑ
dinêbir	ðəneɪbɛr
diraxe	draːxə
direh	d̪eræ
dirg	bɛrɪ̞k
dirokî	dˈɾˈoki
dirrî	dˈeɾɾi
dirêj	driz
dirîn	drˈin
dirûşm	ruːʃ
diya me	ðijana
diya min	diamɛn
diya te	d̪iat̪a
diya wa	djɑvɑ
diya we	diava
diya wê	diaːwe
diya wî	diavjˈnˈ
diyarbekir	ðijjɑrbøkɛr
diz	ðɪˈz
dizandin	ðɪzændɪm
dizok	bɛsɔk
dizênî	dˈɪzeːniː
dizî	dˈæzˈiː
dizîn	beziː
diçe	detsʲe
diçim	deˈtʃem
diçime	be̞tʃɪmæ
dişem	deʃem
do	do
dojeh	doʒa
doktor	oˈktoɾ
dolaba avê	donabɑ ɑːbhæ
dolav	dælˈv
dolmik	dolmɯk
dorarmancî	dæɾrmɑːndʒiː
dotmam	tutmum
doxîn	dɒːxjæd
dozdeh	tozda
draw	drɔːl
drefş	drafʂ
du	dˈu
duan	doːan
dubare kirin	dubara kəˈrɪn
duhî	toːɦiː
dukan	dukˈɑn
dukandar	tɔˈkɑndɑɾ
dunbal	dnbaːʎ
dunk	dunq
duwazdeh	dubɑzda
duwem	doːvɒːm
dê	d
dêl	biv
dêlik	ɖeːlik
dêrsim	beɾˈsɛm
dîk	dˈik
dîlok	dilˈoːk
dîmen	diːmæn
dîndar	ˈdiːndɑːr
dîndarî	d̪iːnɖɑːriː
dîrok	diːroːk
dîtin	ditʃ
dîwan	diːn
dîwar	tiːʋɑːɾ
dû	dˈu
dûlik	dujlik
dûr	duɾ
dûstan	dustam
dûv	dˈuz
dûzdan	duːzdaːn
e	e
ecêb	ʔɑdʒiːb
ecûr	aːdʒuːr
edab	ˈadːɐt
edebî	ædˈbi
edilandin	ɑdɯlandɯn
edilîn	ʔaðlˈim
efrîn	afrin
efrînê	afrinj
efrîqaya başûr	ɛfɾiːqɑː jɑ bɑːʃuːr
eg	œk
egal	agˈaɾ
ehmeq	æħmæq
ekrad	ʔɛqːrɑːn
elcewas	ælˈdʒoːɑːs
elimandin	ɑleˈmɑnˈdin
elîfbêtik	əlifbeːtək
em	m
em in	ɛːmɛn
emr	ɛˈmɛr
enbar	umgamə
endam	ɛndɑm
endamîtî	ændæːmiːtj
endamîye	ɑndɑːmija
endazyar	enˈdɑːzɪaːr
enqere	ænqɑrɑ
entab	æntɒp
entandin	æˈmtændiːm
entîke	antika
enîs	ɛniz
erdnîgarî	əˈrnikaːri
erdxefk	aɾtaxq
erdêxan	ardexaːn
erdîş	ərdˈiʃ
ereb	ɐɾɐ
erebî	ɑːɾɑːb̪iː
erebîstan	ɑɾɑbistɑːn
eren derdiyok	ærændærði ɔk
erez	ɾɑz
erk	ærk
erzan	ɑrˈzɑn
erzerom	ɛrzɛrɔn
erzingan	ərzəŋan
erzirom	arzum
erê, ez wî nas dikim.	aˈrɛzminas dɛqim
eslî	asli
est	ɛst
estîm	astɪm
ev	f
evdal	ˈavdɑːl
evor	avˈoɾ
evîndar bûn	ævindɑːrˈbun
ew	au
ew der	aw dar
ew e	ˈɛwːɛ
ew in	ɛwn
ewesandin	ɒvɒsandɒˈn
ewil	aw
ewk	auk
ewr	ɑuːr
eyan	ˈe̞jɒn
eyar	ɦajɑr
eyb	pai̯
eynî	ajni
ez	z
ez dereng mam	æz dæɾænʲkɪ̞ mæm
ez im	ɛzɨm
ez mamostê me	la mɑmustana
ezika jor	azɛkaːrˈdʒoːr
ezika jêr	azkaː dʒer
farisî	fɒɾsˈi
farqîn	fɑrˈtiːn
feal	fɑːr
fena	fɑ̃ˈ
feqîra	fatira
feran	fæˈrɑːn
fereh	faɾa
ferehî	frɑhiː
ferengî	fæɾʌnɣiː
ferhen	frħan
ferheng	fnhænd
ferisandin	fæɾsɒːndim
fermî	fermi
ferîşte	fæˈrʲiːʃtæ
festîval	køstˈvɑl
feyde	feidɐ
fileh	fɑnˈlɑ
filistîn	fˌɛlˈstˈiːn
filitîn	tˈɾˈɒfðˈn
filîzan	xliːzɑːn
findiq	fɯ̞ŋdɯ̞q
firax	fraːr
firdik	filtɪk
firfirk	frkɾk
firokevan	fɛroːkjɛvan
firokxane	fəroːkxɑːna
firoşer	fɾoːʃær
firoşgeh	fruːʃkɛ
firoşkar	ɾʊʒkɑːr
firqe	sɯrqɑ
firr	fˈr
firçe	frtʃɐ
firşgeh	fɪrtʃkæ
fis	fˈaːst
fiss	fˈeʃ
fistaq	fstq
fizîk	fɛizˈik
fleh	fah
flehî	falaħiː
fors	fɔɾs
fransî	franci
fravîn	fravin
frotin	froːtɛn
froştin	fruːʃtɪn
fêhm kirin	seɦim køryn
fêlbaz	fe̞lbɑːz
fêlreş	feːlɾæsʃ
fêr bûn	feɾˈbun
fêrgeh	fˈɛrdʒano
fîrewn	fraʕaːn
fîrk	fˈiːrk
fîrkandin	fiːrkandɯn
fûm	fum
ga	gˈɑː
gabelek	gabɛlˈɛk
garan	gˈɑːrɑːn
gavan	gavɑːn
gayê xesandî	gɑːˈhiː xʔəˈnɛd
gazin	gazɯn
gef xwarin	gafˈɣɑrɯm
gelale	gælaːla
gelek	dʒɒlɒt
gelerî	galeːˈrin
gelicîn	galadʒiːn
gelî	gəˈliː
gemar	gamɑːr
genaw	ganau
gengazî	gngazˈi
genî	ganiː
gep	gˈɑb
gerandin	gɑrɑnˈðˈɯn
gerden	gɒrdan
gerger	gärˈgær
gerh	garħ
germ	gærm
germapîv	ɦɑrmäːpːiː
germyan	gərmjan
gerrav	ɣəav
gerrusî	garoːsi
gerzel	gærzæl
gerîn	gʊˈrɪm
gerînende	jeˈɾiiˈnendɛ
gewrik	gɐwrɨk
gewî	gajˈe
gewîj	gɐlˈiz
gezgezok	gazgazoːk
gezik	gɛzɪ̞k
gezmax	gæzmɑːg
geznik	gəznik
giftûgo	goftugˈo
gij	gʒ
gilh	gæl
gilor	gloɾ
gilî	gəliː
gindirandin	gʏ̞ndʲɪɾɛɑndɪ̞ŋ
gindirîn	gəndəriː
ginî	gnˈjˈ
gir	gɪ̞r
giran	gɾn
giranî	grani
girar	gɾar
girav	gɾav
girawe	gɾɑːɫɑ
girexîz	ɾe̞ɾæxˈjz
girtin	girtˈin
girtî	gəɾtiː
girêdan	gæɾiːdɑːn
girênîşk	grɛŋiːʃk
giya	gijˈa
go	o
gohar	goɦɑːʃ
gohgilo	goɦgəlɔ
gok	guk
gola wanê	gælɑːuɑːniː
golik	gɒlik
gon	gˈon
gona	gɔna
goran	gɔːrɑːn
goranî	gɾɑːniː
gorî	gori
gotin	gɔtɛn
goz	guz
gozvan	gɔzvaːn
gozêr	gozɪr
goşepîv	goʃapʲiːf
goşt	gost
goştê golik	gʊ̞ʂtɪ̞ gɔlk
grêsîra	gɾɛsˈirˌɐ
grîzok	gɾizok
guh	gø
guh dan	gʊ̞hˈdɑn
guhdar	ghdaːr
gul	gʏl
guldexûn	gldxon
gulik	gʏlːʏ̞k
gulnar	gʊlˈnɑːr
gulor	gʏlʏɾ
gulsosin	gylsossiˈn
guman	gumˈan
gumlek	gʏ̞mlʏ̞k
guncaw	gʊnˈdʒɐˈow
gund	gynd
gundik	gʏ̞ndʏ̞k
gundî	gundiː
gunehkar	gənɑhkɑr
gunik	gymɪ̞k
gur	gur
gurandin	gʏrɑŋdʲɪŋ
gurcî	gʊɾdʒiː
guregur	gʊ̞rɑgʊ̞r
gurg	gʊ̞rʊ̞k
gurgum	gʏɾgʏm
gurgîn	bɚgjˈn
