't	tʰtʰtʰtʰ
67 - söbenunsösstig	zˌɔøgən ʊnzˌɑːstɪk
68 - achtunsösstig	ˈaxt bˈɪn zˈastɪç
69 - negenunsösstig	neːgən dˈiː sˈɪstək
7 - söven	savn
70 - söventig	zˈoːvəntˌɪç
71 - eenunsöbentig	iːn ʊns oːvˈɛntlʏk
72 - tweeunsöbentig	tɾɛj mˌaɪnən zˈoːbəntˌɪç
73 - dreeunsöbentig	rɛːɪ ʊns oːbeːnfˈɛç
74 - veerunsöbentig	fˈɛːɾ dˈiː sˈøːgənʃˌɪç
75 - fiefunsöbentig	fˈiːl fɔn sˈɔlgəntˌɪç
76 -sössunsöbentig	zˈɪsts dˈiː zˈɔøgəntˌɪç
77 - söbenunsöbentig	soːɪ bˈɪn ʊntoːsɔbəntˌɪç
78 - achtunsöbentig	ˈaxt ɔnzˈœgəntˌɪç
79 - negenunsöbentig	nˈeːgən dˈiː zˈʏbəntˌɪç
8 - acht	ˈɛs
80 - tachentig	tʃaxɛntʃɛk
81 - eenuntachentig	eːn uːt hˈɛq mtˈeː
82 - tweeuntachentig	tɕ beːˈnjɔm tˤːakhˈmˌtˌeʔˢ
83 - dreeuntachentig	dˌrˈaɪ ɪn tˈˈaxmɛtˌɪç
84 - veeruntachentig	fˈɛːɾ ɪn tˈaxəntˌɪç
85 - fiefuntachentig	fʏf jˈuːɾ tˈaxəntˌɪç
87 - söbenuntachentig	zˌɔlgən dˈiː tˈɑkhəntˌɛç
88 - tachuntachentig	tɑːx nˈuːɾ tˈɑːx ntˈɪk
89 - negenuntachentig	nˈɛçən ɪn tˈɑːxən tˈɪç
896	ˈaxthˈʊndɜtsˈʊsʃʊɾlˈeːgəntˌɪç
9 - negen	nˈeːgən
90 - negentig	nˈeːgəntˌɪç
902	nˈeːgməʊnˈɔ̃tvˈeː
91 - eenunnegentig	ənˈl nˈɛçənt ˈɪç
92 - tweeunnegentig	tɾɛoːnˈlɛgəntˌɪç
93 - dreeunnegentig	træ̝ːʊ̞ nægənt iːg
94 - veerunnegentig	fɛːrʊŋ lˈɛgəntˌɪç
95 - fiefunnegentig	fˈiːf ɔn nˈɪgəntɪç
96 - sössunnegentig	ʃtˈeːɾbən ʊnnˈɛgəntˌɪç
97 - söbenunnegentig	zˈɔøbən ʊnlˈɛçəntlˌɪç
98 - achtunnegentig	atʃlɛkəntlg
99 - negenunnegentig	nˈeːgən ʊntlˈeːgəntlˈɪç
aadboor	aːtboː
aadboorsslötel	aɫpɔzløɾø
aadler	ɑːdlə
aadlig	ˈɔɾtlɪç
aaft	ɔːf
aakster	tʃiːzi
aalglatt	ɔːlblæd
aalsupp	ɑːlsæp
aam	ɔːm
aant	ɑːnt
aantenflott	ɑːɾntənflˌoːt
aantenkruut	aɾtənkɾˈuːt
aap	ap
aapkatt	ɑːpkʰeːd
aapner	ˈɑ̃pnə
aapsch	opʃ
aasfleeg	aʃfˈlˈɛç
aaskraam	ɑːskɾɑːm
aastüüg	ɑːstʃæ
aavtboom	ɑftʊm
abalster	abaltsta
abc-book	alpitʃivbˈok
abc-böker	abidsiːbuːgə
acht geven	axt geːvən
achter	ˈaxta
achter trallen	ˈaxta trˈaɪən
achter trallen sitten	ˈaxtə tɾˈalən zˈɪtən
achteran	ɑxtæɾæm
achterbang	axtapãŋ
achterbeen	ˈaxtabˈeɪn
achterdöör	axtezdˈœʁ
achtergatt	æxtakat
achtergedanken	ˈaxtagədˈaŋkən
achtergrund	ˈaxtɜgɾˌʊnt
achterhand	axtaħæld
achterherlopen	ɛxtɜɛteːrlˈoːpən
achterkamen	æɢtkɑm
achterland	ɑxtɑlɑnt
achterlaten	axdɛɾlɔʊtən
achterlief	æxtæliːˈf
achtern	ɛxtæn
achterna	æθlænɑ
achternrüm	axtænla
achterpoort	æxtɑːpˈʊɐt
achterran	æɢtɑːɢɑm
achterrangahn	ˈæftərəndgɒn
achterrutbringen	axterɔtbrəŋ
achtersiet	æxtziːd
achtersinn	æxtezæn
achtersinnig	ˌaxtɜzˈɪnɪç
achtersnacker	æɢtmænkæn
achtersteven	ˈaxteːɾztˈavˈɛ
achtertücksch	axtetʏps
achterut	ɑxtegˈuːt
ackerbo	akapɔ
ackerboo	ãd̪elŋoo
ackermanntje	akamɑŋtʃɛ
ackersnacker	akast̪naka
addel	alə
addelkuhl	iːtˈɛlkˈuːl
addelpool	adˈlˈpoːl
adder	að̞a
adderditsch	ælædøtʃ
adderig	ðərɪx
adderkauen	arakaːwˈn
adderntocht	aðˈɛɾntɾˈɔxt
adelig	hˈɑːrəlˌaɪç
adjüüs	aˈtˈz
adress	atrɛs
adrett	ãmbðeɾet
adventsklenner	atvˈɛntsklˈɛnɜ
adventstied	atvˈɛntstˈiːd
adüüs	adˈus
af	f
af un an	ɑfɑn æm
afarbeiten	afˈaɾbˈaɪtˌn
afbacken	afˈpˈakˌeːn
afbeed	afbeːt
afbegen	afbeŋ
afbestellen	afbəztɛɾn
afbetahlen	afbɑtɔn
afbidd	fbˈit
afbieten	afbˈitˈɛn
afbillern	fbˈlˈan
afbitt	afbˈit
afblasen	afblˈɑzə
afblieven	afblˈiːvən
afblädern	afblˈeidˈan
afblödern	asblœl̪d̪ɾn
afblöhn	afblˈɔøn
afboen	afbo
afbreken	afprɛkn
afbrennen	afpɾn
afbringen	afɾem
afbroeken	a
afbruken	afpɾuːkˈn
afbuddeln	afbɔrɔn
afbunken	afpʊŋkmeː
afbögen	afˈpøːlˈgən
afbösten	afbøstən
afdampen	afdampən
afdecken	afˈtˌɛkən
afdecker	afdɛka
afdelen	ʌfteːln
afdichten	erfˈtɪçtˌɛn
afdichtung	ˈaftɪxtuːng
afdieken	fd̥iːt̪n
afdingen	aftɪŋ
afdoon	afˈtˈeːõːn
afdreihen	afdɾeːn
afdruck	astro
afdrucken	aftɔɾ
afdrögen	afˈtrɔøkʊng
afdrücken	ɛftʊrɛkm
afeck	afʔɛk
affall	afal
affallammer	afˈfˈalˈɑmɑː
affallen	afan
affalllager	afˈfɑːlˈɑgɜ
affaten	affoɾtən
affinnen	afːɛn
afflammen	aflam
affodern	afawɾan
affohren	afoɾn
affohrt	afʊˈɑt
affragen	aʁfˈrɔxn
affäll	afel
afgahn	hˈævgɔːn
afgang	afgan
afgas	æfgaːz
afgeert	afgeːrt
afgeven	afsʃtablo
afgewöhnen	afˈkʊvˈɛn
afgnabbeln	afknabɛ
afgniedeln	afgˌənˈiːdəln
afgrabbeln	afgɾabən
afgrapschen	afkarapʃɨm
afgrapsen	æfkɾabsum
afgraven	afghraːvɛm
afgrenzen	afgɾˈɛntsən
afgrund	tʃufkɾnt
afgrünnen	afgruːn
afgunst	afˈgunst
afgünstig	aˈsgʏnstˌɪç
afhacken	afˈakˌeːn
afhalen	afɔːl
afhang	afa
afhanneln	afʁəlˈn
afhauen	afraːou
afhebben	afˈhˌɛbən
afhelpen	afˌɛldən
afholen	afˈhoːlˌn
afhollen	afˈroːlˈn
afhulen	afoˈan
afhäng	afhæŋ
afhölpen	af˩˥ːœlˈp˨˩n
afhören	tˈɪs
afkaat	afkaʁt
afkamen	æfkom
afkanzeln	afkɑːnˈtsɛɾn
afkarnen	afkɑːn
afkennen	kæfkʰæ̀n
afkieken	afkɪkˌn
afkloppen	afklˈoːpən
afknappen	asknˈapən
afkniepen	asknˈiːpən
afknöpen	afknˈaɪpən
afkraddelt	afkɾˈadəlt
afkratschen	fgɾˈɛtʃɛn
afkratzen	aˈfkɾˌˈatsˈeːn
afkriegen	afkɾim
afkumst	afkˈʊmst
afkunterfeien	afkuːnˈtˈɜfˈaɪn
afköhlen	afkøːl
afkönen	afkoːn
aflaag	aflˈɑːx
afladen	aflˈɑːdən
aflaten	aflˈoːtən
aflaven	afloːvən
afleddern	afleɾan
aflegen	ˈaflˌeːgən
aflegger	afleːɣ̞a
aflehnen	aflˈeɪn
aflenken	aflˈɛŋkən
aflesen	afleːzən
aflevern	æflɛvɑn
aflicken	aflˈɛkˈɔ̃
aflohnen	aflɔn
aflopen	aflˈoːpən
aflsaan	æfslɑːn
afluchsen	afˈluːksɛn
afluren	afluan
afluurn	aflʊaːn
aflöpeln	afloːpˈeːn
aflösen	aflˈøːzən
afmaakt	fmˈoːˈɔkˈeːt
afmaddeln	afmeran
afmaddelt	afmˈaɾəld
afmagern	afmɑɾɑn
afmaken	afmˌaʊkən
afmalen	tˈɪsmˈɑːlən
afmarachen	æfmæraxˈen
afmaracht	afmaɾaxt
afmeldt	ˈaɪfmˈeɪt
afmelen	afme̞
afmellen	afmɛn
afmunstern	afmˈʊnstən
afmurksen	afɑmɑkˈsin
afmustern	afmɑːstæn
afmöhen	afmˈøːn
afmünstern	afmˈʏnstɜn
afnahm	afable
afnehm	æˈfˈnˈɛiːm
afnehmen	afneɪm
afnickt	afmˈɪkt
afpedden	fˈpˌədˌn
afpennen	frʁpæn
afplagen	afˌplˈɑkeːn
afpoleert	æfpɔlˈiːɾˈt
afpreren	afprʁa
afpulen	afpɔln
afquälen	afˈtˈvˈɛːl
afrackern	afraka
afraden	afrˈɑ̃dən
afrahmen	afrɑm
afrapsen	afraːpsən
afrebbeln	afreven
afreken	afrˈaɪkm
afrepen	afˌɾˈaɪbən
afribbeln	afrabam
africkeln	affreːgˌlˌn
afrieten	afrˈiːdən
afruppen	afroˈpˈɛn
afrupsen	afrˈoːpsən
afröhmen	afrˈɔøm
afröpen	afrˈɔøtən
afrümen	afrɨm
afrümt	apɾɔømt
afsaag	afˈzɑːh
afsagen	afzˈɑːbən
afscheed	afʃaɪd
afscheren	afʃˈɪfˈ
afschicken	afʃˌiːkən
afschinnen	afʃaŋ
afschinnern	afʃiːn
afschotten	afʃadn
afschrapen	afʃraɾpˌn
afschrieven	afʃoɾiːðɪ
afschötteln	afʃaɾla
afseggen	afsˈɛgən
afsehn	æfˈsæjn
afseilen	afsajɑh
afsekern	afsejkɛn
afsengeln	afsˈɛŋɜn
afsengen	fsɛŋ
afsetten	afzˈətən
afsicht	æfˈzɪçt
afsieden	afsiːn
afsiet	hævsiːd
afsiets	afsʃiːtˌs
afsitten	afsɪtˈɛn
afslag	afslˌah
afslagen	aːfslaɣ
afslaten	afslˌoːrtˌɛn
afsleppen	afsləppə
afsluten	ˈafslˌuːtən
afslutt	nˈɪçt
afsluut	əˈslˈʊd
afsluuts	afslˈuːts
afslääg	afslaj
afsmieten	afsmɪtˌn
afsnacken	afslˈakən
afsneeden	ˈofsnˈeɪdən
afsnieden	afsnˈidˈɛn
afsparren	afspau
afspecken	afspˈekən
afspelen	æfspeːn
afspiesen	apspˈiːsəng
afsplettern	afspɛlətɛɾn
afspraak	afspɾok
afspreken	aspɾəkɛn
afspölen	afspʰoːn
afstahn	æfˈstɒːn
afstaken	æfˈstɑːb
afstammen	afstæm
afstarven	afˈstˈafˈm
afsteed	fsteɪd
afsteken	aˈfˌstˈaɪtˌeː
afstellen	ˈaftstˌɛlən
afstellkamer	afsteːlkˈoːmɜ
afstellruum	afsteːlˈruːm
afstellrüüm	æfsteːrøm
afstieg	afstiːx
afstiegen	afztˈiːgən
afstimmen	nˈoʊtstnˈaɪ
afstottern	æfsdɒːɾæm
afstreden	afstrəjn
afstrepeln	afstrɛjpɛn
afstrieden	afstrˈin
afstrippen	afstrˈɪpən
afströpeln	afstrɔøpø
afströpen	apʃtrɔøpˌm
afstülpen	afstˈʏltən
afsunderlik	afzʊndɛɾlɛk
afsusen	afsɔsɛn
afswenken	aˈfsvˈɛnˈkˌn
afswören	afsvɛr
afsöken	afsoːtˈɛn
afsönderlik	afsˈɔndɜlˈɛk
afsönnerlich	afzˈɔnɜlˌɪç
afsünnerheit	afsˈoːnɑːɾhˌaɪd
afsünnerlich	afsuːnˈɛɾlɪç
afsünnern	afsøˈnæn
aftakelt	ftˈɑɹkəld
aftappen	aftˈtˈapˈm
afteek	ftˈeɪk
aftehn	æftˈæin
afteken	apftˈakən
afteker	afˈtˈakɜ
aftellen	afˈtˈɛllˈɛn
aftieren	afd̪iːn
aftosehn	aftɔzɛm
aftotrecken	aftʊɾtˈrəkˌeːn
aftrecken	aftɾˈɛkən
aftreden	afːt
aftritt	ˈaftɾˌɪt
aftöven	afˈtoːʏfˈɛn
afwart	tˌiːzəvˈaɾt
afwarts	afɑːɾt̪s
afwasch	afˈaʃ
afwaschen	afvˈaʃən
afweeg	afvˈeːɪç
afweg	afːvˈˈaɪk
afwehr	af˦vˈeːɾ
afwehren	afˈmˈɛɾn
afwennen	afen
afwickeln	fˌɾɪkˈɑn
afwiesen	afvˈiːsən
afwischen	afvˈɪʃən
afwohren	afwˈa
afwählen	əfɛːrən
afwählt	əfˈeɪld
afännern	afɛnɑːn
ahn belang	en belau
ahn geföhl	ɑːn geːfˈøːl
ahn smack	ɾaːnsmaq
ahnen	ɔ̃nɛm
ahnhaftig	ˈɑːnhœftig
ahnmacht	ɑnba
ahnmächtig	aːnmˌɛçtˌɪç
ahnweten	aːnvˈeɪtən
ahr	qwɑ
aken	ˈaɾkən
akkeraat	ækæɾɑːt
akkerviet	akabit̪
akkeviet	akevid
akkraat	æˈkɾæd
akraat	akɾat
aktschoon	aptˈʃaːn
akzepteren	aktsɛptɛːn
alabeister	alabajsta
alberhaftig	albɑːhˈaftɪç
alborg	albɔø
aline	alˈiːne
alkaven	alkoːvˈn
all neeslang	al nes lam
all nääslang	al næslˈˈɑŋ
all up stee	ælˈɑp stej
alldag	ˈaldɑː
alldags	ɑːldæx
alldagsspraak	alˈlˈtˈaʃbˈaʊɐk
alleen	əleɪn
alleensien	alˈɛnθɨ
allenig	alˈeːnlɪç
allenstein	hlaɪnˈstˈaɪv
allerwegens	alavigks
allgemeen	aɾgɛmeɪn
allmannsbruut	almˌanˈsbɾˈuːt
allns inne rehg?	ˈɑːnəs ɪn dˈeː rˈeːɪç
allns kloor?	aɾn skloa
alltiet	altʃiːt
alltiets	altjɛts
alltohoop	altohoːp
alltosamen	altozoːm
allüren	alyiˈɛm
almelo	amlo
alruun	alɾoɔn
alruuntje	alɣ̞unʃe
alrüünken	alorˈɪnk
ambolt	ambɔlt
ambostig	ambosti
ambraasch	emplos
ambrasch	ẽn̪t̪ɾas
ambrass	empɾes
amböstig	ambøstɪg
amenn	amẽn
amerikaansch	ɑːmˈʁiːkɑnʃ
amidaam	ɑːmjdɑːm
amm	ə
ammel	amɛl
ammer	ama
amtsdüütsch	amtsdʒʃ
amtsspraak	æˈmˈtˈspɔːk
amtsstuuv	amtstʊv
amtsstuven	alsduːvən
amtstiet	amtsztʃtʃtʃtʃ
amüseren	tˈemizˈeːm
an	əm
an de eck steiht ´n jung mit´n tüddelband.	ɑɹgən mæn næm mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæn mæ
an de kant	ənd ðeɪ kˈænt
an dit	al dˈe
an düt	œ̃n dˈøt
an'n wagen fohren	an vˈɔɾgən fˈʊɐɾ
anbarg	anbˈaɾk
anbeden	ẽnbejd̪en
anbelangen	anbilaŋ
anbieten	anbˈiːtən
anbinnen	anbɪn
anblaffen	anplafen
anboon	anβ̞eu̯n
anbott	anbɔd
anbrennels	anbˈɾˌeːnəls
anbrennen	labɾẽn
anbrennt	anbɾɛnˈt
anbringen	aŋdɾĩŋg
anbucken	anpokɔn
anbuen	lad̪wn
anbugen	anbuld̪en
anbummeln	t
anbören	nbɔːn
anböten	anbˈøːtən
anböter	anˈbɔtə
andaan	anð̞õːn
andeel	ãn̪d̪eɪl
andelen	ande
andenen	ẽndˈeɪn
andicken	ãn̪t̪ɪkæn̪
andoon	anð̞eu
andrag	tɾa
andrieven	ẽn̪t̪ɾjvõ
andriever	antˌɾiːvˌa
andrääg	antrɛx
andudeln	lað̞uɾan
anduken	amdˈukən
andunen	lað̞ũn
andüden	andʏən
anfall	nfˌal
anfangen	lafanɣ̞
anfaten	antfˈɔɾtən
anfohren	nfɔːn
anfuchten	nˈɔxŋ
anfuult	anfˈoːlt
anfäll	emfe
anföhlen	afɔːl
anföhren	aŋfˈɛrm
anföhrer	nfɔərˌɑ
anfüren	anfˈyːrən
anfüürn	nfjˈuːɾ
angahn	unˈgɔːn
angalopp	anglˈɔp
angascheern	angˌaʃˈeːɾn
angascheren	aɪnˌgˈaʃˈɛːɾn
angebott	lakepot̪
angel	aŋɯl
angeln (landschop)	ˈangəln lˈandshˌoːp
angeven	angɪvən
angever	anɣ̞ajβ̞a
anglotzen	anglˈɔtsən
anglupen	anklˈʊpən
anglösen	anglˈoːsən
angreep	antgɾa
angreepsch	lˈangɾˈɛipʃ
angriepen	antɾˈiːpən
angrieper	ẽn̟θɾit̪a
angst	ŋ̪st
angst hebben	ˈaŋst hˈɛbən
angsthaftig	ˈaŋstaftˌɪç
angstig	ŋstˈɪk
anhangen	an˩˥ːhŋ˧˥
anhebben	nhˈɛbən
anhechen	jˈəʃˈim
anholen	anˌhˈoːngən
anhollen	ˈanhˌoːlən
anholt	nhˈɔlt
anhören	ˈanhˌøːrən
anhüren	anˌhˈøːər
anhüürn	anhˈøːn
animus	ɑnɪmɑs
ankamen	ankom
ankeken	æmkæliːtˈæn
anken	aŋgm
ankerspill	aŋgˌaspeːl
ankerwinn	nˈkˈavɪn
ankerwinsch	aɛnkeːɾvʏnˌʃ
ankeutern	nˈkɾˈɔøɛhˈɑːn
ankieken	amkˈiːkn
anklaag	anklˌɑːkh
anklagen	anklˈɑːgən
ankoop	ankalp
ankrömen	ankɾo
anköteln	ankˌeːʁdən
anköömsch	ankˈœmpʃ
ankünnen	ankjˌʊn
ankünnigen	ankˈøːnɪgən
anlaag	anlˈɑ̃x
anlagen	ˈanlˌɔgən
anlegen	anlˈeːgən
anleggen	anlˈɛgən
anlehren	anlʝən
anlicken	anˈlˈɪkən
anloop	anlɔp
anlopen	anlˈoːpən
anmaken	anmˌoːltən
anmalen	anmˌɔln
anmarken	anmaːkˌɔn
anmellen	anmen
anmoot	hˈænmˌoʊt
anmunstern	ænmænstaːm
anmustern	anmˈustam
anmödig	nmˈaɪʊdɪç
anmünstern	anmˌˈʏnʃtɜn
annahm	anom
annehmen	ˈeɪnˈeɪm
anner	ˈana
annerdaags	ælˈdɑːst
anneres	anˈʁˈs
annerletzt	ˌanɜlˈɛtst
anners	ɑnɑs
annerseen	ænˈnæsiːn
annershaftig	ˈannɜhˈɛftɪg
annersrüm	anæsvɾæm
annerswat	anasnat
annersween	ænɑzmæn
annerthalf	anˈŋˈathalˈf
annertiets	ænˈætidˈʃ
annerweegs	ˈanavˈeɪks
annerwegen	anavɛ
annerwegens	ænvˈeɪgəns
annerwelk	anavɛlk
annerworrns	ãnaβ̞õ̞ns
anno achteihnhunnertunkruuk	ˈanʊ ˈaxt aɪn hˈʊnɜt ɪn kɾˈuːk
anno dotomalen	anodɔɾtonmɔln
anorneern	ænɔːne̞æm
anorneren	ænɔnæm
anpedden	anpˌɛːn
anpriesen	anpɾiːsən
anprobeern	lapɾopeɾen
anproberen	anpɾɔpeɑn
anpurren	tʃi
anrecht	anrˈɛçt
anreken	anrˈaɪtən
anroop	anurau
anropen	ænɾo
anrullen	anrˈɔlən
anrögen	anurɑlgʊn
anröhren	ɑnɣoːˈhɑjɑn
ansammeln	anzamɛ
ansangeln	anˈsagaŋ
anschaffen	anʃˈafən
anschieten	anʃˌiːdən
anschirren	ændsjælˈn
anschrieven	anʃlˈiːvən
anschuven	anʃuːvən
anschülligen	ˈanʃˌʏlɪgən
anseggen	anzˈɛːgən
ansehn	anzˈeːən
ansengeln	anzˌɛŋɜn
ansengels	anzˈɛŋəls
ansetten	anzˈɛtən
anslaan	anzlɔːn
anslagen	anˌtslɑːkən
anslieken	anˈslˈiːkən
ansliekern	anˈsliːgˈa
ansmeern	ãn̪smeːjɦʌn
ansmeren	aːnsmajɐl
ansmusen	anˈtsmˈoːsən
ansnacken	ænsnˈakən
ansnackt	ˈænsnˈɑkt
ansnauen	ʌnsnˈoʊn
anspraak	ãnˈspɔːk
anspraken	anspɔvˈbən
anspreken	tspɾˈaɪtən
anspringen	ɛnspɾʏng
anstand	ˈanstˌand
ansteken	anztˈeːkən
anstellen	nstˈæn
anstellig	ˈanstɛlˌɪç
anstellsch	anˌstˈɛlʃ
anstoot	ælˈstæˈr
anstreken	anˈstrˈaɪkeːn
anstrengen	anstrˈɛŋ
anstreven	antstɾˈɛbɛ
anstrieken	anˌtˈɾɛkən
anstännen	nˈstˈɛn
anstöten	ɛnstˈøːtən
answatten	ansvɛrðɛn
ansöken	anzˈɪçən
antehn	antˈɛn
antenn	ãn̪t̪en
anter	aɢˈtɑː
antern	æɴtæm
anticken	antˈiːkən
antiloop	antjˈlˈɔp
antippen	antˌɪtn
antlaat	ændlˈɔd
antlaten	antlˈɑːɾtən
anto	antau
antog	tantˈoːx
antokieken	ˈɛmtɹoːkˈiːpen
antonehmen	antˌoːl
antrecken	altɾeːkən
antreden	antrˈaɪən
antrocken	aːntoɾokʊ
antroen	an̪t̪ɾaũn
antruen	an̪t̪ɾõn̪
antrugen	antɾˈoːgən
antwoorden	antvɔrn
antwoort	tˈɪsvˈɔɾt
antöög	antˌuːɾg
antüdern	ɑːmtyˈdɑːn
anwarrn	anvãn̪t̪
anwassen	anvˈasən
anwennen	anben
anwesen	anvˈeʃən
anwiesen	ˈanvˌeːzən
anwöhnen	anvˈœlən
anwöltern	ˈanvˌœltɜn
anögeln	anˈojgɔn
aower	tʃiːzi
apart	ˈapɜt
apartig	apˈaɾtɪç
apattig	apˈatɪç
apatto	apːˌɛtəl
apen	pl
apenboor	aɫpbɔla
apendoon	aːpˌinˈdaːn
apenrade	tʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzˈ
apensluten	aʊtənʃlʊtən
apern	ɑːpn
apig	opi
apparaat	æpɾɑːr
apparaten	apɾɑːtn
appel	abl
appelboom	avolbõŋ
appelbööm	apɛlpɔøn
appeldwatsch	abɛltmatsx
appelkoken	apˈtˈkˈɔʊpˈən
appelpannkoken	apəlpaŋkaʊɛ
appelsaft	apəlsaft
appelsina	bəlziːnɑː
apperaat	æpɾɒːt
apperaten	apɜatən
apportendreger	apːoːrtnˈrɛkɑ
apportendregersch	apˈˈɔɾtˈŋrˌeːgɜʃ
apptit	aptˈtˈi
april	apɾel
aprilhaftig	apɾˈiːlhaftˈɪç
apteek	ʌptˈakˈ
apteken	aptajpɔn
apteker	tˈɪtˈakɜ
aptiet	aptˈiːɾ
arbeet	ælbeːt
arbeiden	ˈaɾbaɪdən
arbeider	ˈaɾbaɪdɜ
arbeidersche	aːmˈaɪlˈaʃɑ
arbeidskrink	aɾbˈaɪtskɾˈɛnk
arbeit	ˈaɾbaɪt
arbeitgever	aɾbajtgɛjvɑ
arbeitgeversche	aɾbˈaɪtgɑːbˈɑːrʃaɪn
arbeitsgemeenschop	ˈaɾbaɪtsgəmˌɛnʃˌoːp
arbeitslüüd	ˈaɾbaɪtslˌyːt
arbeitsmann	ˈaɾbaɪtsmˌant
arbeitstiet	ˈaɾbaɪtstˌiːt
arf	f
arfdeel	aɾfdɑːlˈ
arfen	ˈafən
arfensupp	afnzˈɔp
arfk	afk
arfkrankheit	aɾskɾˈaŋkhaɪt
arfschop	aɾvʃoːp
arft	aʊft
arg	ˈaɪ
argdenkern	aːʃtenkæm
argdenkersch	ˈaɾçdˈɛnkɜ
arger	aga
argerlich	ɑːgəlˈɪç
argern	aɣan
argernis	aɾganes
arm	aːm
armoot	aːmˈmult
armvull	ˈaɾmfʊl
armwark	ɛːmˈbɑːr
