aguara	aɣaɾa
añete piko?	a ɲe tɛpiko
che	ʃe
che hay'u.	sʰau˨˦u˥˧
che rojukáta	ʃe ro ʝukata
che sapatu ipyahu	ʃˈɛʁ sˈɛtʁ pa tˈu lˈitʁəʒˈɾˈ
che sogue	se seowˈːs
chedisculpami	sˈalˈikulpˈaːmɪ
cheko'ê porâ	tʃeko e pʊna
chemandu'a	ʃɛmɑnduɑ
chembopy'ajere	ʃɛnbopuːdajdʒere
chemongyhyje	ʂaːmɯŋgɯhʏidzɛ
chera'a	dˈiːsdˈiːs
chicharõ	ʃiːʃɑːnɔ
chichã	ʃiʃa
chika'i	ʃɛˈkai
chiko'i	ʃɛːkɔːliː
chile	ʃˈiːl
chipa	sə
chovi	tɨ
chu'i	ʃu˨˩˦i˨˩˦
chyryry	ʃiɾɯɾɯ
cháke	ʃak
eguerumi chéve	wɛlɔ mi ʃɛvɪ
ehasa	aːħˈsɑ
ehasápy	xasztatɨ
eheja omokâraê ijao	eɣ̞eʝa omokaɾai̯ aɣ̞ilao
eirahũgui	seiɾafɔŋɛ
eiratã	ɛjˈɾata
eiru	lw
eju jaha.	e dʒu dʒaxa
eju ápe	edʒu ap
ekañy	ɛkaɲi
enyhẽ	nh
españañe'ẽ	ɛspaɲapavʲerɨɛ
gotyo	ɨːɦt̚˨˩ok˨
gua'i	wˈʔː
gua'u	wˌaːu
guapy	wapˈe
guarani	waɾami
guasu	upwˈasˈɔ̃
guasueterei	waswatdeɾei
guasuvévagui	vasʊbeːvɑːwˈi
guata	wtˈtˈɛ̃
gueraha	ɣ̞uataɣ̞
guive	ʊ̞jve
guyra	vuð̞obiɾa
guyra'i	oeɾaaj
ha	hɑ
ha'e	həˈɛ
ha'ehaguéicha	ħaːjˈexaːwˈˈeʃˈa
ha'ekuéra	pʰaːi˥˧kweɾaː˨˩
ha'ese	xasts
ha'eséva	haelseu
ha'eñoite	aeɴoitːe
hague	awˈe
hag̃ua	hɑŋ˥˥uaː˧˧
hag̃uã	aŋˈvɑŋ
haimbe	ajnɯ
haku	ak
haku jave, che ry'ái	akuu dʒa bʃɛrʁai
haso	haso
hasovéntema	asʊvˈɛndˈɛm
hasy	asɯ
hasykatu	asɛkaːtu
hayhu	hɛːhuː
hecha	kʃæ
hekosãsóva	heko̞ˌsɑːnsɔːbɑ
hembiapo	semiˈatˈtoˈ
hembo	hembo
hemikotevẽme	hemikotenveme
hendu	sendu
hendy kavaju resa!	kend̪ɪ̞kä vajɯ̞resa
henyhe	ene
henyhẽ	ən
hesa para porâitéiko ko mitâkuña	es apaɾapona i tejko komitakunʝa
hesukrísto	jesuskristos
hetaiterei	ɦɛtajteɾei
hetũ	tˈɛn
heñoihague	he̞ɲoihaue
hikuái	kikwajn
ho'a	hɔːa
hola	hoˈlaː
hovy	hæˈl
hu'u	hˈu
hykue	hˈəˈ
hymba	ba
hákatu	akatu
háke!	kʰakːe
héra	tʃeɾa
hũ	ˈɛmˈgˈʁˈwˈˈ
hũngy	hˈˈɑ̃g
hū	xɛ̀
hẽe	hmh
ijapohare	iʎapʊxaɾe
ijapu	idʒapɔ̃
ijapytepekuéra	jʎapɨtepekueɾa
ijysyrykuéra	idʒisɯɾɯkɯɾɑ
ikatu jaha ko ka'aru ysyrýpe jajahu	ikatodʒa ħakokaaɾu isɛɾiːpɛ dʒadʒahu
inga	t̪ĩŋka
ipeteĩva	ipːɛtːɐ̃iːnva
ipoguýgui	ˈdʒipəwˈəwˈwi
ipoguýpe	epəwˈpe
iporãiterei	nʊɾaːnʲt̪eɾai
iporãmínte	iponamenti
iporãnte	ipːoɾante
irundy	iːruːndu
irundy mitâkuña oñe'ê tapére ohovokuévo mbo'ehaópe	iɾunɣ̞ɯmita kunja oɲe e̞t̪a peɾe oɣ̞okwe̞wõ̞ boɦe haot̪e
isãso	isaso
ita	gita
itamembe	iːtˈaːnmɪmbˈɛr
itamembeyku	lamemberoikːu
itatĩ	itati
itavaguasu	itˈavˈasˈu
itavera	itˈabeɾa
iñambuévape	ĩɲembuuevape
iñe'ẽ	iɲe̞ɛ
iñe'ẽrapoambuéva	ĩɲeeɾapõãmbbueva
ja'u	ʒˈaː
ja'umína	xau̯mina
jagua	dʒaŋwa
jaguapýna	jɑwɑptɯnˈgɯ
jaguarete	ʝauaɾete
jaguata	ʝˈagˈatːa
jaha jake	gɑhɑ jɑkɛ
jahe'o	dʒɐˈhɪə
jaikuaa	jˈɐ̃jkˈuɑ
jaipyvu	tʃiːtɕɪpɔvʊ
jajohecha peve	ĩã˥n˩˦hʐəbhɕʰa˥t˥hɛ̄ːzʰ
jajotopáta	ɟeɟotopata
jakaru	tʃakkaɾw
jake	akest
japete	jˈˈapetˈtˈe
japi	tsap˦i˥˧
japo	tjˈapːo
japoína	iapõi̯inã
japu	dʒapu
japuka	kiapuka
jarara	ʝaːɾaːɾa
jarýi	dʒaːɾˈʌiː
jasuka	ʄ̩ɑsʊkˈa
jasy	dʒas
jasy retã	esɾet̪o
jasyrata	jasɯmɯɾaka
javeve	giobebe
jehová	jæhɑ̞bä̝
jekupyty	jakupɨtɨ
jepe'a otimbo tatápe	gepet a otimbo tʃap
jepoka	dʒepoka
jepéramo	dʒeperamo
jetepyso	ɟʝs̺t̪epwlso
jey	dˌiːzə
jeýma	ˌaʎarˈuma
joaju	dʒoðʒu
johéi	ljoˌhej
joko	ljuko
jopara	tʃupaɾaɾ
jopy	dʒopː
juka	tuka
juky	ʒukː
jupi	dʒupi
juru	dʒuːɾɔː
jurukechẽ	dʒuɾolukɛːnˈse
jyva	dzʲuvã
jára	tʃaɾa
jýi	dʒuɪ
ka'a	a
ka'a he'ẽ	kaːɦeː
ka'aguy	fau̯
ka'aru	kau
ka'avy	kɐɐvɨ
kachi	akest̪
kaigue	kʰua̯
kakuaa	kakwa
kambu	kambu
kamby	kambɨ
kane'o	kˈanˈ
kangue	kaŋgwt
kaninde	kamjɴnðæ
kanéla	kanila
kape	kapɛ
kapi'i	kapiːli
kapilla	kapilja
karai	kaɾaj
karaiñe'ẽ	kaɾaiɲe
karaiñe'ẽisarambive	kaɾajɲeisaranbibe
karakara retã	kɾakːɾaɾeta
karaku	kaɾakˈu
karavosa	kaɾaβosˈs
karia'y	kaɾia
karréra	kareɾa
karréra vosa	kareɾa β̞ossa
karréta	karetˈa
karu	kɐɾˈu
karãi	la
kasõ	kaso
katuete	katuete
katupyry	katupɨri
katī	kanti
kavaju	sbãnˈhjɔ
kavara	qavɑra
kavure	abˈɔlˈe
kañy	kaɲːa
ke	k
kesu	k̞ueso
kirikiri	kɾkɾ
kirirī	kiniː
ko	ko˥˩
ko karai iñe'êkuaa	koˈkɐrɐj ɨniɛk˨waːr˧
ko kuñakarai omomba'e guasueterei upe ta'anga	koːakunˈakaɾai oˌmonˈβaɪrˈeɣwa s̺uˈeteɾei hukbeˌtaːŋga
ko'ag̃agua	koanŋua
ko'ara	koara
ko'ero	koen
ko'ê	ko˨˩˦
ko'êrô	koen
ko'êrô jaháta táva guasúpe	koː e̞nɒː ɟɒhætɑ taːbɑ vɑ sɔː be
kojói	oːitʃoi
kokue	kuekue
kolombia	kolombja
kolómbia	kolombja
kororõ	koːˈloːnoː
koty	kˈutˈ
kotyguasu	ʈotˈɪwˈˈasˈu
kotykeha	kotekekan
kove	kogli
ku	pɔ̀
ku'a	kua
kuaa	fˈɛstˈ
kuarahy	uaɾaxɨ
kuarahy tini	varahˈt iːnn˧iː
kuarahy'ã	kwaˈraˈʒˈɛ̃
kuarahyreike	kwaɾaɦɤɾee̞ike
kuarahyreikégua	kwaɾahɯ̞ɾɛjkɛua
kuarahyresẽ	kwaɾahɯɾese
kuarahyresẽygua	balaheˈɾeseŋgwa
kuarahysẽ	uauɾˈaˈusˌeɪŋ
kuarahysẽpe	kwˈɚˈɑðəˈeɪsˈeɪmpɚ
kuarepoti	wˈalˈɛpˈɛʁtˈe
kuarepotipytã	ˈgoɾaipətiːkutaː
kuatia	kwatja
kuatiañe'ê	kuatianhee
kuehe	kuegɛ
kuehe arambosa kojói	koːˈʃe aɾambosˈaːko dʒoi
kuimba'e	ujmaã
kuimba'ekuéra	kwˈinβɐɛkˈuɨɾɐ
kumanda	umanda
kunu'u	kono
kupy	opˈœd
kurahyresẽ	kuaɾahɯəɾəʃaɪ
kuratũ	kˈuɾˈatˈ
kure	kuɾe
kure'i	kuɾˈai
kurusu	ulɾusun
kurusu veve	kuɾusuz beːɾli
kusugue	koˌsuˈinˈ
kutu	utˈok
kuva	juva
kuña	unˈnˈ
kuña reko vai	kuɲa e̞ɾe̞ko bai̯
kuñakarai	kˌuɲˈakˈaɾaˈi
kuñanguéra	kwnʝaanɣ̞ueɾa
kuñataĩ	kwnʝat̪ain
kũ	um
ky	tˈɛ
ky'a	kʰiːt˨˩aːxˌ
kyhyje	toijdʒe
kyju	ʁədˈo
kype	kupˈe
kyra	gˈɾˈa
kyre'y	kɛ˥˥nˈtʁˌamhˈ
kyse	kɯse
kyvy	gɯbɯ
káda	kˈadɐ
káso	kaso
káña	kɐɲˈa
kã	la
kéra	keɾa
kóre	kore
kũ	œ̃n
kū	u
lembu	lɛ̃bu
maerãpa	maːjnˈapɑ
mainumby	maɪːnʊŋ
mainumby oveve oipyte yvoty	maj numeɾo bebe ɦo i pentˈeɾˈi boteˈ
maitei	maistei
mamópa reju?	mamo paɾejɛ
mandi'o	mãnˈdˈiːto
mandi'o chyryry	mindi ʔotʃiɾɾɯ
mano	mano
maramo	mɛˈɾamˈɔ
marandu	malamdu
marangatu	maɾaɛŋatu
mba'apo	baɾapo
mba'e	bae
mba'e la porte?	bella forte
mba'e rejapo?	ba eɾa xapo
mba'epa	baep
mba'epu	baepu
mba'eteko	batˈeʁˈo
mba'eteko, reime porâiko	bˌaɪtˈɛko rɪnˈepˈoɾaiko
mba'etekópio	batakopjo
mba'éichapa	baːeiʃɑpa
mba'éichapa reiko?	es apaɾiklo
mba'épa	baepa
mba'ére	baˈɛlˈɛ
mba'éva	ˈbaɪɛvɑ
mbaipy	bãĩ̯pːɯ
mbarakaja	nˈbɑrakaʝa
mbarete	baɾete
mbaretére	balˈeteɾe
mbatara	bat̪aɾa
mbeju	beʒˈu
mberu	beru
mbo'ehao	bo˥˩ːɛ˧˥a˥˧l
mbohapy	mohab
mbokaja	bo˥˩ːkajã˥
mbopi	bopːi
mborayhu	borajxu
mboveve	bobeve
mbovy	ɒvv
mbovyvy	bolɯmɯ
mboyve	bolve
mbujape	buʄapɛ
mburukuja	buɾɯpˈˌɑ
mburuvicha	ɣ̞uɾubiʃa
mby	bɔ̃
mby'a	mɛˈa
mbyja	guja
mbyjakuaa	mul̪tʃapːkwa
mbyky	bɪ̞kɪ̞t
mbói	boj
mbói tu'ĩ	boj tu
mbóre!	bo˥˩ːlə
memby	me̞nbu
merõ	menu
mesa	me̞saː
michĩ	mʲiːʂɪ
mimbi	mimbi
mitâ rova mbopi	mitaro banbo pʰi
mitâ'i	mˌitˈaʎik
mitâ'ikuéra	niˈtaˈiˈtuˈeɾa
mitâkuña'i	mitakunʝai
mitã	mita
mitãkuña	mitaa
mitãmi	nitˈɑ̃mi
mitãrusu	mitarusɛ
moambue	wˈʌnwˈɛt
mokâ	boka
mokõi	mokoin
mokõiha	mˈˈokoˌɪnhˈa
mokõipa	mˌoˌkˌoipˌˌɑ
momba'e	moːˈbaɛ
mombyry	mombeɾig
morongy	moːɾuŋu
morotĩ	ˈɛmˈdˈɛ
morotī	mʊɾˈɑti
moô oî nde ru	moːˈʔoniː dˈɾuːh
myanguekói	mˌoˌɛnˈgəkˈoˌi
myaña	moaɲːa
mymba	mˈɛmbˈa
méhiko	mexiko
ména	ena
na'ápe	naapɛ
na'ãpe	aːpe
nahembe'ýiramo	lahe̞mbe̞ujðamo
nahániri	naːxaaːnɛndø
nakororõi	nakːonoːni
nambi	nambi
nambi guasu	nɛ̃bʲigwasʊ
nambi raku	ɛm lmɛʁmɨʒtjɛm
nambréna	t̪ẽmblad̪e
napekororõi	napekononoj
napépe	napepe
narã	nɐɾɐ̃ʊ
nañakororõi	naɲːakoɾanoi
ndahayhuvéima	ðd̪aɣ̞əit̪maː
ndaipotavéima	dajpoˈtaveˈjmɐ
ndaipóri	d̪aojppoɾe
ndajajapoi	dˈaʒˈaʒˈapoj
ndajajupiri	laːj˥ʈjɛːp̚˨˩riː˧
ndajapoi	daʒapoj
ndajupiri	tajdˈompiɾˈi
ndapejupiri	dɐpˈɛdɨpˈeɪɾi
ndarekói	darekoˌj
nde	lət̪
nde añara'y	d̪e aɲ˧ˈa n˧˧a ɤk˦˥
nde ha'e peteî mitâkuña'i.	dˈexa ɛ pˌeteɪŋɛ mɪtˌakonʝˈaɹi
nde rey'u	ˈɛɹi w
nde rey'u y	dɾɪvjˈu ˈø
nde reñe'ê.	nˈdˈe reɲe
nde tavy	en nˈɛ tˈyʁ vˈy ʒˈə nˈɛ tˈyʁ vˈy
nderakóre	delaɔɾɛ
nderasóre	ðeɾasɔɾe
nderejapoi	de̞ɾe̞ʝapoj
nderejupiri	dareiubiri
nderéra	ðɛɾʝɑ
ndive	vive
ndojapoi	mdo̞dʑapɔ̞i
ndojupiri	dˈɔdjmˈaɪpˈeɪɹi
ndorohayhuvéima	d̪oɾohoɾeima
ndorojapoi	dˈoːrˈdˈapˈoːj
ndorojupiri	ðəɾɑːˈʒupiːri
ndyvu	dˈəwgˌu
neko'ê porâ piko	nɛ kɔmɛ pɔna pikɔ
nerekororõi	nenekonoˈnoj
nero	neɾo
nikaragua	nekˈaːɹagˈwˈa
niko	niko
nohẽ	nˈohe
nokororõi	nokoɾɔni
norokororõi	naɾˈokːoɾˈanˈoi
noñehundíri	naɲɛhʊŋdeɾɪ
noñemomba'evéi	nojɲemombaebei
oga	ogɑ
ogahoja	oɣahojka
ogajuru	uɣadʒuɾu
ogarokái	awkaːɾˈokːai
oguapy	ɔːweːˈtˈvˈɛ
oguata	owata
oguereko	oeɾekõ
oguerekovéva	oɣ̞oe̞ɾe̞kobeβ̞a
oguerekóva	oeɾekɔβa
oguerosapukái	oɣ̞uelos̺apukai
oguerúva vy’a ha py’aguapy	qɾuː qɑ bɪlˈʔe ħbwjaɰuːn
ogyke	ovukˈe
og̃uahẽ	omgjesiˈte
ohapy	oxa
ohasa	ɒhɒsf
ohechauka	ohesauka
oiko	pojko
oikoite	ojkoipi
oikóva	oikova
oimékuri	hojmˈekuɾi
oiporavóva	oipoɾaabova
oipytyvõre	paːɪ̯pːoɪ̯t̪ːumvaːɳe
oipyvu	pɐjpɨːbu
ojajaipa porãgui	ozˈaːiipa pˌaˈonan wˈjˈz
ojapajeréi	otʃapadʒela
ojapi	boːaːpːi
ojehayhu	ua˨˦tʰe˥˧ha˥˨hu˨˦
ojehechakuaáva	ondʒˈelˈeʃˈaːkwaʁvˈa
ojejapo	ˈujdˈeˈjatˈu
ojepurúva	oɟɛpuːruba
ojoavýva	odʒoɑvɨɫa
ojopara	oʎopaɾa
okambu	pokamble
oke	oke
oky ha ho'a amandáu	ɔkɨːha ɔ ɑːmɑːnˈdɑʋ
okápe	oθopestas
okára	ˈɔkˈaɾɐ
omarchapaite	omɑrʃaid
ombohéra	omboheɾa
omoheñõikuri	omuhainːoikore
omopeteĩ	pomope˨˩ːte˨˩ːi˥˩
omoñe'ẽvo	omoni̯eˈɦvˈok
omyasãiva	omɯˈʁsɑjvˈa
opa	oppa
opoíva	opoi̯va
opu'ã	ɑpˈʊ
opyno	opino
ore	pone
orekovéva	ɔɾɛkɔvɛva
osaingo	osaiŋgo
osapukái	osapukaʝ
osyry	osɯiɾɯ
osẽva	ɔseˈɛva
oî	uɪ
oîma	oima
oîma upéicharô	o ima ʊ pɛjʃaɾɔm
oñe'ẽ	ˌoɲeɪ
oñehesa'ỹijoháicha	opavˈɛtˈelɑˈsˈtˈjʃʃɑ
oñemboja'o	oɲɛmbɔʎau
oñemoambue	ponjomwɔᵐɓwɛ
oñemohatãvo	koˈljimokaˈtɑɫɯ
oñemohenda	uɲæmoːɦɪnˈda
oñemohendajey	oɲimɔhˈɛndadˌeʁˈy
oñemohendáva	oɲemɛmɔɦɛndawɐ
oñemoheñóikuri	oɲemɔɛɲɔjkʼuɾj
oñemomba'e	oɲɛmʊ̃ŋbae
oñemomba'ejeyse	oɲɛmomβaɛdʒeelse
oñemomba'eségui	oɲɛmɔ̃mbaeseue
oñemomba'émagui	oɲɛmaːnbakaːɛmɑwɪ
oñemosãso	poɲiemɔsasa
oñepyrũ	ɔ̀njɛbɔ̀ːn˥˩u
oñeñapytĩ	opavʲerɨɫapɨtɨ
oñeñe'ẽva	uɲjˈenjɪˈeva
oñorairõ	laoɴnɕoːnaino
oñorãirõvetaha	oɲoo̞nãĩ̯roβetaja
oñoñepu'ã	oɲopavʲerɨɫapua
oĩ	poinˀ˩
pa	fˈa
pa'i	paːi˨˦
pa'ũnguéra	paʊŋpueʎɐ
pajagua maskada	paʝaɣ̞uama eskað̞a
paje	padʲe
pakuri	tˈasfˈuɾi
panambi	β̞anãnbi
papa	papapː
papapykuaa	pˈapˈpˈikwa
papyrekokuaa	uaː˧rdek̚˨˩kwaː
para	paɾa
paraguay	poɾaː˧wɤː˧
paraguaygua	paɾaua
paraguái	pˌaɾaɣˈuaj
parral	paral
pastel mandi'o	pastˈelmanˈ dˈiː ˈo
pe	pˈe
pe karia'y ha pe karai ho'u kamby.	pekaɾia ɨɦa pekaɾaɾi hoʊ kɑᵐɓɯ
pe vosa henyhe	teː boː sɑː ˈhɪn ɦeː
peguata	fˈekwˈtˈa
pehengue	seheŋue
pehẽngue	peᵑgwæ
peipyvu	pɐjˈpɯːˌbuː
peju	pɛʎˈu
pepo	pˌɛːpoː
pererĩ	lala
peteî mitâ'i hoy'u.	ˈeste ˈhene kaˈiɾ el tu
peteĩ	tʃitiːm
peteĩva	pˈeteɪnˈɪvˈa
peẽ	be
piko	piko
pindoráma	pˌiŋdˈɔɾɐ̃mɐ
pira	piːɾa
pirapire	vidapide
pire	bile
po	o
poapy	poˈapɯ
poapyha	poapɨxˈa
pokoka	kˈomkˈɔp
pokovi	akovi
pokõi	pokojn
popo	pɔpɔ
poro'u	oɾuu
porundy	ɔɾundɯ
porã	pona
poteĩ	potem
poteĩ	potẽĩ
poyvi	pɔɫwiːˈɛ
puka	ka
pukarã	pukana
puku	ukˈu
purahéi	kuɫæˈħˈl
puruhára	buðoaɾa
py	ɛtˈ
py'a	pɨa
py'aguapy	pɨaɻwɛpɨ
pya'e	lɛː
pya'éke	beaeke
pyahu	la
pyapẽ	puːaˈpe
pyhare	bɪ̞ɦaɾe
pyhareve	køkø
pyhareve okýta	pijaɾe be okɾeta
pyharevete	peɦaɽebˈte
pyryrỹi	orte
pysâ	pɯsa
pyta	tutˈtutˈ
pyte	poːnˈadpˈeɪs
pyti'a	tˈˈʌtˈɛjˈɑ
pytuhẽ	loːtuːheːt
pytyvõ	tutˈɛvˈɛn
pytã	pɨta
pytã ruvy	pɨtɐɾuv
pytãngy	plʊ̃ːtŋˌʋˈʋ
pytãũ	pɨˈpɨˈŋ
pyvu	ɛˈvuˈ
páila jeheréi	paːiːlaːdʒɛ tʰeː re
péicha	aʃæ
péichaite	pɛjʃaʲitɛ
pópe	pope
pýpe	pˈupˈɛ
ra'a	ɾa
rasengy	lasengud
re'u	ɾeːˈkuːp
re'use	ɾeusˈe
reguata	aɾaiːʋaːtaː
rehe	laħa
reikuaa	beːj
reindy	ɾeɪn̪d̪u
reipyvu	ʁɛ̀iːˈpɯːbu
reko	reko
rembiapo	eɾɛmbjaˈpɔ
rendakuéra	ɾˈɛndatʃwlˈɾˈɑ
rendy	əɖən̪d̪u
resa	rɛsa
retyma	ɾɛtɨma
retã	ɾɛta
retãme	retame
retãyguanguéra	ɾetãnwɑŋgwɛɾa
revípe	lɛʋipɛ
ro	ydo
ro'y	ləbˈu
roguata	ɾogatːa
rohaihu	rohajˈhu
rohayhu	loːhɑːrxuː
rohóta mbo'ehaópe	rɔxɔtɑn bɔj ɦaɔbi
roikutúta	lˈajkutˈa
roipyvu	laj˥˩pɯːˈbuː
rojapíta	roʎapjta
rojejuka	rodʒeːzuːkaː
rombuepotíta	labwˈeβotˈitˈa
rovy	ɐɖubːɯ
rrevísta	ʒˈɛvˈista
ru	doː
rundi	wɛ
rupi'a	rupia
ruvicha	ʁˈɛvvˈiʃˈa
ry'ái	ʁɛʔk
ryguasu	rɨumɨːsu
ryguasu rupi'a	ne vajsùɾ u piːʔa
ryke	bɾikeː
ryke'y	bʱekæj
rymba	ɖumba
ryvy	lɛːvɯ
sa	sˈa
sa'yju	fau̯ljuq
sa'yky	selk
sandia	sãn̪d̪ja
sapatu	ʃaˈtˈfˈatu
sapukái	sapukˈai
sapy'a	saːpɨlˈʔa
sapy'ánte	sapɨantɛ
sapymi	sapɔni
sarambi	srm
sayju	saʔudʒu
so'o	a
sopa	sopa
soro	sˌoːɾˈoː
sorokue	sɔrɔkwɛ
sua	swa
sy	sɯ
sypavê	sepavˈɛt
syry	sɯgɛ
sã	sˈɛ̃
sãmbyhy	saːmbuːxˈu
sỹi	suˈɛn
ta'anga	tɑːnˈgæ
ta'angambyry	taːŋgabɯɾi
ta'aromby	taːəlˈlɔnbˈɑt
ta'yra	taøːdə
taguato	tauɑtɔ
tague	taw˧w˧e
tahachi	tɦɑːʃiːk
tahýi	tˈaʁˈi
taita	tajta
tajurekokuaa	tadʒuejkukua
tajy	fˈɛstˈ
tajýra	tadʲɛ̀u̯jɑ
taku	tˈakˈu
takuare'ẽ	tɐkˈʊɐlˌeɪŋ
takuarembo	takke
takuchila	takkɔʃˈiːlɛ
takuára	tɐkˈvˈal
tanimbu	taniːnˈbu
tape	tape
tapicha	iːʃa
tapiti	apiti
tarova	t̪eɾoa
taso	lazo
tata	tɔta
tataindy	tojnd̥
tatakua	tˈəatˈakwˈa
tatatĩ	tatatˈik
tataypy	tˈɛpˈɔ
tataypýpe	tǎtǎɬpɛ
tavayguakuéra	tabauakueɾa
tavy	tɐvɪ
techakuaa	t̪iːzkwaːr
techapyrã	dˈɛsˈapudʁˈɛnˈ
tekojoja	tˈɛkˈoʒˈʌdʒˈa
tekotevẽ	ləʔtɛme
tekove	teko̞vɛ
tekovekuéra	tɪkɔbekwɛɾa
tembi'u	temˈiˈu
tembiapo	tenbjˈaɾˈ
tembiasakue	tenbjasɑɟwɛ
tembikuaaty	teŋbikwatɨ
tembipuru	ɾɛnɓipuɾu
tembireko	tenbiɾeko
tembo	ðæmˈbu
temiarirô	d̪emjaɾiɾo
tereho amo!	ele fɔ mi
terehóna...	teɾijjonɯ
terere	tɛdɪɾe
teroja	tˈeronʝˌa
tetyma	ɛːt̪iːqmaː
tetã	tɛta
tetã paraguái	te tãmp pˌaɾaɣˈo ˈoɾ
tetã volívia	teta bolivia
tetãguakuéra	te˨˩taːn˩˩˦mɔk˨ˀ˥pʰaj˧˧la˥˧
tetãme	tetamɛ
tetãnguéra	tetaːmgoːˈra
tevi remói	tˈəvjɾˈɛ̃ mˈɔj
timbo	timbo
tĩcha'ĩ	te˥˩ɴsɯ˥˥
toba	to
tovamokõi	toðamɔpoj
toñembojeroviákena	t̪o̞jnẽ̞nβ̞oʝeroβ̞iakena
tuguy	tɔːmˌ
tuguái	tˈɪwˈaɪ
tuicha	tojʃat
tuichavéva	tojsavˈa
tuju	tudʒo
tupao	tupau
tupãsy	topastˈɪ
tuva	tuːba
tuvy	tuvɨ
tuvy raku, ava ñembotavy, py'a ruru	t̪uɣ̞uɾa uaβ̞anĩn bot̪a vɨp iɾuɾu
ty	tɯ̞
tymba	mba
tymbachu'i	tɛnbaʃuːi
tãi	taːiːm
téra	tera
térã	tɛra
tóro	tɔɾɔ
túva	dˈuɾˈɑ
tĩ	e̞m
tī	tˈi
umía	omia
upevarã	opeasnˈa
upéa	upˈeɾ
upépe	uppjpe
uruguái	oɾuai
va'ekue	baeɣˈkwˈˈ
va'erã	baːjna
vai	bai
vaikue	bai̯kue
vaka	baka
vakapipopo	balˈtʃˈaɾɾipˈoko
vale	balne
venesuéla	bˌeneθwˈela
vengaliñe'ẽ	benˈgˈalˈinˈe
vera	ɓeɖa
veve	bebe
vevúi	dˈɛst
vikipetã	ekipˈɛta
viru	dˌiɾˈu
volivia	koˈlˈe
vosa	ɛ̀sɛbɛlsɑ
vy'a	bɨa
vy'a'ỹ	bɨla
vy'apavẽ	buʔapɑwe
vyro	mau̯e̞ɾ
vyrorei	ʁululɛ
váiro	paiɾɔ
váskoñe'ẽme	basko˩˥ːje˩˥ːɛme˥˩ː
výro	balo
y	ŋ
yguasu	bɨwˈasɫ
yke	ke
ykeregua	kˈaɪtwˈa
ykua	ləkwak˨
yma	nˈoʊ
ymaguare	uumauaʁ
ynambu	pɯnambo
ypa	pɑ
ypa'ũ	tˈɛpˈɛ̃ˈɔ̃
ypacarai	tˈɪpakaɾaj
ype	upe
ypy	tupˈi
ypykue	tɛp˨˩ue˥˧
ysyry	poesˈelə
yta	muta
yty	ətˈɪ
