aah	ˈɑː
ablution	ɐblˈuːʃən
ablutions	ɐblˈuːʃənz
ably	ˈeɪbli
abnegate	ˈæbnɪɡˌeɪt
abnegation	ˌæbnɪɡˈeɪʃən
abnormal	ɐbnˈɔːməl
abnormalities	ɐbnɔːmˈælɪtiz
abnormality	ɐbnɔːmˈælɪti
abnormally	ɐbnˈɔːməli
aboard	ɐbˈɔːd
abode	ɐbˈəʊd
abodes	ɐbˈəʊdz
abolish	ɐbˈɒlɪʃ
abolished	ɐbˈɒlɪʃt
abolishes	ɐbˈɒlɪʃɪz
abolishing	ɐbˈɒlɪʃɪŋ
abolishment	ɐbˈɒlɪʃmənt
abolition	ˌæbəlˈɪʃən
abolitionist	ˌæbəlˈɪʃənˌɪst
abolitionists	ˌæbəlˈɪʃənˌɪsts
abominable	ɐbˈɒmɪnəbəl
abominably	ɐbˈɒmɪnəbli
abominate	ɐbˈɒmɪnˌeɪt
abominated	ɐbˈɒmɪnˌeɪtɪd
abomination	ɐbˌɒmɪnˈeɪʃən
abominations	ɐbˌɒmɪnˈeɪʃənz
abominator	ɐbˈɒmɪnˌeɪtɐ
aboriginal	ˌæbəɹˈɪdʒɪnəl
aboriginals	ˌæbəɹˈɪdʒɪnəlz
aborigine	ˌæbəɹˈɪdʒənˌi
aborigines	ˌæbəɹˈɪdʒənˌiz
abort	ɐbˈɔːt
aborted	ɐbˈɔːtɪd
aborting	ɐbˈɔːtɪŋ
abortion	ɐbˈɔːʃən
abortionist	ɐbˈɔːʃənˌɪst
abortionists	ɐbˈɔːʃənˌɪsts
abortions	ɐbˈɔːʃənz
abortive	ɐbˈɔːtɪv
aborts	ɐbˈɔːts
abound	ɐbˈaʊnd
abounded	ɐbˈaʊndɪd
abounding	ɐbˈaʊndɪŋ
abounds	ɐbˈaʊndz
about	ɐbˈaʊt
above	əbˈʌv
abracadabra	ˌæbɹəkədˈæbɹɐ
abrade	ɐbɹˈeɪd
abraded	ɐbɹˈeɪdɪd
abrades	ɐbɹˈeɪdz
abrading	ɐbɹˈeɪdɪŋ
abrasion	ɐbɹˈeɪʒən
abrasions	ɐbɹˈeɪʒənz
abrasive	ɐbɹˈeɪsɪv
abrasiveness	ɐbɹˈeɪsɪvnəs
abrasives	ɐbɹˈeɪsɪvz
abraxas	ɐbɹˈæksəs
abreast	ɐbɹˈɛst
abri	ɐbɹˈi
abridged	ɐbɹˈɪdʒd
abridgement	ɐbɹˈɪdʒmənt
abroad	ɐbɹˈɔːd
abrogated	ˈæbɹəɡˌeɪtɪd
abrogating	ˈæbɹəɡˌeɪtɪŋ
abrogation	ˌæbɹəɡˈeɪʃən
abrupt	ɐbɹˈʌpt
abruption	ɐbɹˈʌpʃən
abruptly	ɐbɹˈʌptli
abruptness	ɐbɹˈʌptnəs
abs	ˈæbz
abscess	ˈæbsɛs
abscesses	ˈæbsɛsɪz
abscond	ɐbskˈɒnd
absconded	ɐbskˈɒndɪd
absconding	ɐbskˈɒndɪŋ
absconds	ɐbskˈɒndz
abseil	ˈæbseɪl
abseiled	ˈæbseɪld
abseiler	ˈæbseɪlɐ
abseiling	ˈæbseɪlɪŋ
abseils	ˈæbseɪlz
absence	ˈæbsəns
absences	ˈæbsənsɪz
absented	æbsˈɛntɪd
absentee	ˌæbsəntˈiː
absenteeism	ˌæbsəntˈiːɪzəm
absentees	ˌæbsəntˈiːz
absenting	æbsˈɛntɪŋ
absentminded	ˌæbsəntmˈaɪndɪd
absentmindedly	ˌæbsəntmˈaɪndɪdli
absinthe	ˈæbsɪnθ
absolute	ˈæbsəlˌuːt
absolutely	ˌæbsəlˈuːtli
absolutes	ˈæbsəlˌuːts
absolution	ˌæbsəlˈuːʃən
absolutism	ˈæbsəlˌuːtɪzəm
absolutist	ˈæbsəlˌuːtɪst
absolve	ɐbsˈɒlv
absolved	ɐbsˈɒlvd
absolves	ɐbsˈɒlvz
absolving	ɐbsˈɒlvɪŋ
absorb	ɐbsˈɔːb
absorbable	ɐbsˈɔːbəbəl
absorbed	ɐbsˈɔːbd
absorbency	ɐbsˈɔːbənsi
absorbent	ɐbsˈɔːbənt
absorber	ɐbsˈɔːbɐ
absorbers	ɐbsˈɔːbəz
absorbing	ɐbsˈɔːbɪŋ
absorbs	ɐbsˈɔːbz
absorption	ɐbsˈɔːpʃən
abstain	ɐbstˈeɪn
abstained	ɐbstˈeɪnd
abstainers	ɐbstˈeɪnəz
abstaining	ɐbstˈeɪnɪŋ
abstains	ɐbstˈeɪnz
abstemious	ɐbstˈiːmiəs
abstention	ɐbstˈɛnʃən
abstentions	ɐbstˈɛnʃənz
abstinence	ˈæbstɪnəns
abstinent	ˈæbstɪnənt
abstracted	ɐbstɹˈæktɪd
abstracting	ɐbstɹˈæktɪŋ
abstraction	ɐbstɹˈækʃən
abstractions	ɐbstɹˈækʃənz
abstractly	ɐbstɹˈæktli
abstruse	ɐbstɹˈuːs
absurd	ɐbsˈɜːd
absurdist	ɐbsˈɜːdɪst
absurdities	ɐbsˈɜːdɪtiz
absurdity	ɐbsˈɜːdɪti
absurdly	ɐbsˈɜːdli
abundance	ɐbˈʌndəns
abundances	ɐbˈʌndənsɪz
abundant	ɐbˈʌndənt
abundantly	ɐbˈʌndəntli
abused	ɐbjˈuːsd
abuser	ɐbjˈuːsɐ
abusers	ɐbjˈuːsəz
abusing	ɐbjˈuːsɪŋ
abusive	ɐbjˈuːsɪv
abusively	ɐbjˈuːsɪvli
abut	ɐbˈʌt
abutment	ɐbˈʌtmənt
abutments	ɐbˈʌtmənts
abuts	ɐbˈʌts
abutting	ɐbˈʌtɪŋ
abuzz	ɐbˈʌz
aby	ɐbˈaɪ
abysmal	ɐbˈɪsməl
abysmally	ɐbˈɪsməli
abyss	ɐbˈɪs
abyssal	ɐbˈɪsəl
abysses	ɐbˈɪsɪz
acacia	ɐkˈeɪʃɐ
acacias	ɐkˈeɪʃəz
academe	ɐkˈædəmˌi
academia	ˌækədˈiːmiə
academic	ˌækədˈɛmɪk
academical	ˌækədˈɛmɪkəl
academically	ˌækədˈɛmɪkli
academician	ˌækədɪmˈɪʃən
academicians	ˌækədɪmˈɪʃənz
academics	ˌækədˈɛmɪks
academies	ɐkˈædəmɪz
academy	ɐkˈædəmi
acanthus	ɐkˈɑːnθəs
accede	ɐksˈiːd
acceded	ɐksˈiːdɪd
acceding	ɐksˈiːdɪŋ
accelerando	ɐksˌɛləɹˈændəʊ
accelerant	ɐksˈɛləɹənt
accelerate	ɐksˈɛləɹˌeɪt
accelerated	ɐksˈɛləɹˌeɪtɪd
accelerates	ɐksˈɛləɹˌeɪts
accelerating	ɐksˈɛləɹˌeɪtɪŋ
acceleration	ɐksˌɛləɹˈeɪʃən
accelerations	ɐksˌɛləɹˈeɪʃənz
accelerator	ɐksˈɛləɹˌeɪtɐ
accelerators	ɐksˈɛləɹˌeɪtəz
accelerometer	ɐksˌɛləɹˈɒmɪtɐ
accelerometers	ɐksˌɛləɹˈɒmɪtəz
accented	ˈæksəntɪd
accentuate	æksˈɛntʃuːˌeɪt
accentuated	æksˈɛntʃuːˌeɪtɪd
accentuates	æksˈɛntʃuːˌeɪts
accentuating	æksˈɛntʃuːˌeɪtɪŋ
accept	ɐksˈɛpt
acceptability	ɐksˌɛptəbˈɪlɪti
acceptable	ɐksˈɛptəbəl
acceptably	ɐksˈɛptəbli
acceptance	ɐksˈɛptəns
acceptances	ɐksˈɛptənsɪz
acceptation	ɐksɪptˈeɪʃən
accepted	ɐksˈɛptɪd
accepting	ɐksˈɛptɪŋ
accepts	ɐksˈɛpts
access	ˈæksɛs
accessed	ˈæksɛst
accesses	ˈæksɛsɪz
accessibility	ɐksˌɛsəbˈɪlɪti
accessible	ɐksˈɛsəbəl
accessibly	ɐksˈɛsəbli
accessing	ˈæksɛsɪŋ
accession	ɐksˈɛʃən
accessories	ɐksˈɛsəɹˌiz
accessorise	ɐksˈɛsɔːɹˌaɪz
accessorised	ɐksˈɛsɔːɹˌaɪzd
accessorising	ɐksˈɛsɔːɹˌaɪzɪŋ
accessory	ɐksˈɛsəɹˌi
accident	ˈæksɪdənt
accidental	ˌæksɪdˈɛntəl
accidentally	ˌæksɪdˈɛntəli
accidently	ˈæksɪdəntli
accidents	ˈæksɪdənts
accidie	ˈæksɪdi
acclaim	ɐklˈeɪm
acclaimed	ɐklˈeɪmd
acclaiming	ɐklˈeɪmɪŋ
acclaims	ɐklˈeɪmz
acclamation	ɐklɐmˈeɪʃən
acclimate	ɐklˈaɪmət
acclimated	ɐklˈaɪmətɪd
acclimatisation	ɐklˌaɪmɐtaɪzˈeɪʃən
acclimatise	ɐklˈaɪmɐtˌaɪz
acclimatised	ɐklˈaɪmɐtˌaɪzd
acclimatising	ɐklˈaɪmɐtˌaɪzɪŋ
accolade	ˈækəlˌeɪd
accolades	ˈækəlˌeɪdz
accommodate	ɐkˈɒmədˌeɪt
accommodated	ɐkˈɒmədˌeɪtɪd
accommodates	ɐkˈɒmədˌeɪts
accommodating	ɐkˈɒmədˌeɪtɪŋ
accommodation	ɐkˌɒmədˈeɪʃən
accommodations	ɐkˌɒmədˈeɪʃənz
accompanied	ɐkˈʌmpənɪd
accompanies	ɐkˈʌmpənɪz
accompaniment	ɐkˈʌmpɐnˌɪmənt
accompaniments	ɐkˈʌmpɐnˌɪmənts
accompanist	ɐkˈʌmpɐnˌɪst
accompanists	ɐkˈʌmpɐnˌɪsts
accompany	ɐkˈʌmpəni
accompanying	ɐkˈʌmpənɪɪŋ
accomplice	ɐkˈɒmplɪs
accomplices	ɐkˈɒmplɪsɪz
accomplish	ɐkˈɒmplɪʃ
accomplished	ɐkˈɒmplɪʃt
accomplishes	ɐkˈɒmplɪʃɪz
accomplishing	ɐkˈɒmplɪʃɪŋ
accomplishment	ɐkˈɒmplɪʃmənt
accomplishments	ɐkˈɒmplɪʃmənts
accord	ɐkˈɔːd
accordance	ɐkˈɔːdəns
accordant	ɐkˈɔːdənt
accorded	ɐkˈɔːdɪd
according	ɐkˈɔːdɪŋ
accordingly	ɐkˈɔːdɪŋli
accordion	ɐkˈɔːdiən
accordionist	ɐkˈɔːdɪənˌɪst
accordionists	ɐkˈɔːdɪənˌɪsts
accordions	ɐkˈɔːdiənz
accords	ɐkˈɔːdz
accost	ɐkˈɒst
accosted	ɐkˈɒstɪd
accosting	ɐkˈɒstɪŋ
accosts	ɐkˈɒsts
account	ɐkˈaʊnt
accountability	ɐkˌaʊntəbˈɪlɪti
accountable	ɐkˈaʊntəbəl
accountancy	ɐkˈaʊntənsi
accountant	ɐkˈaʊntənt
accountants	ɐkˈaʊntənts
accounted	ɐkˈaʊntɪd
accounting	ɐkˈaʊntɪŋ
accounts	ɐkˈaʊnts
accoutred	ɐkˈuːtɹəd
accoutrement	ɐkˈuːtɹɪmənt
accoutrements	ɐkˈuːtɹɪmənts
accreditation	ɐkɹˌɛdɪtˈeɪʃən
accredited	ɐkɹˈɛdɪtɪd
accredits	ɐkɹˈɛdɪts
accrete	ɐkɹˈiːt
accreted	ɐkɹˈiːtɪd
accretion	ɐkɹˈɛʃən
accretions	ɐkɹˈɛʃənz
accrual	ɐkɹˈuːəl
accrue	ɐkɹˈuː
accrued	ɐkɹˈuːd
accrues	ɐkɹˈuːz
accruing	ɐkɹˈuːɪŋ
acculturated	ɐkˈʌltʃəɹˌeɪtɪd
accumulate	ɐkjˈuːmjʊlˌeɪt
accumulated	ɐkjˈuːmjʊlˌeɪtɪd
accumulates	ɐkjˈuːmjʊlˌeɪts
accumulating	ɐkjˈuːmjʊlˌeɪtɪŋ
accumulation	ɐkjˌuːmjʊlˈeɪʃən
accumulations	ɐkjˌuːmjʊlˈeɪʃənz
accumulative	ɐkjˈuːmjʊlətˌɪv
accumulator	ɐkjˈuːmjʊlˌeɪtɐ
accumulators	ɐkjˈuːmjʊlˌeɪtəz
accuracy	ˈækjʊɹəsi
accurate	ˈækjʊɹət
accurately	ˈækjʊɹətli
accursed	ɐkˈɜːsɪd
accusation	ˌækjuːzˈeɪʃən
accusations	ˌækjuːzˈeɪʃənz
accusative	ɐkjˈuːzətˌɪv
accusatory	ɐkjˈuːzətəɹˌi
accuse	ɐkjˈuːz
accused	ɐkjˈuːzd
accuser	ɐkjˈuːzɐ
accusers	ɐkjˈuːzəz
accuses	ɐkjˈuːzɪz
accusing	ɐkjˈuːzɪŋ
accusingly	ɐkjˈuːzɪŋli
accustom	ɐkˈʌstəm
accustomed	ɐkˈʌstəmd
ace	ˈeɪs
aced	ˈeɪst
acerbic	ɐsˈɜːbɪk
aces	ˈeɪsɪz
acetate	ˈæsɪtˌeɪt
acetates	ˈæsɪtˌeɪts
acetic	ɐsˈiːtɪk
acetone	ˈæsɪtˌəʊn
acetyl	ˈæsɪtˌaɪl
acetylene	ɐsˈɛtəlˌiːn
ached	ˈeɪkt
aches	ˈeɪkz
achievable	ɐtʃˈiːvəbəl
achieve	ɐtʃˈiːv
achieved	ɐtʃˈiːvd
achievement	ɐtʃˈiːvmənt
achievements	ɐtʃˈiːvmənts
achiever	ɐtʃˈiːvɐ
achievers	ɐtʃˈiːvəz
achieves	ɐtʃˈiːvz
achieving	ɐtʃˈiːvɪŋ
aching	ˈeɪkɪŋ
achingly	ɐtʃɪŋlˈi
achoo	ɐtʃˈuː
achy	ˈeɪki
acid	ˈæsɪd
acidic	ɐsˈɪdɪk
acidification	ɐsˌɪdɪfɪkˈeɪʃən
acidified	ɐsˈɪdɪfˌaɪd
acidify	ɐsˈɪdɪfˌaɪ
acidifying	ɐsˈɪdɪfˌaɪɪŋ
acidity	æsˈɪdɪti
acidosis	ɐsɪdˈəʊsɪs
acidotic	ɐsɪdˈɒtɪk
acids	ˈæsɪdz
acidulated	ɐsˈɪdjʊlˌeɪtɪd
acing	ˈeɪsɪŋ
acknowledge	ɐknˈɒlɪdʒ
acknowledged	ɐknˈɒlɪdʒd
acknowledgement	ɐknˈɒlɪdʒmənt
acknowledgements	ɐknˈɒlɪdʒmənts
acknowledges	ɐknˈɒlɪdʒɪz
acknowledging	ɐknˈɒlɪdʒɪŋ
acknowledgment	ɐknˈɒlɪdʒmənt
acknowledgments	ɐknˈɒlɪdʒmənts
acme	ˈækmi
acne	ˈækni
acolyte	ˈækəlˌaɪt
acolytes	ˈækəlˌaɪts
aconite	ˈækənˌaɪt
aconites	ˈækənˌaɪts
acorn	ˈeɪkɔːn
acorns	ˈeɪkɔːnz
acoustic	ɐkˈuːstɪk
acoustical	ɐkˈuːstɪkəl
acoustically	ɐkˈuːstɪkli
acoustician	ɐkuːstˈɪʃən
acousticians	ɐkuːstˈɪʃənz
acoustics	ɐkˈuːstɪks
acquaint	ɐkwˈeɪnt
acquaintance	ɐkwˈeɪntəns
acquaintances	ɐkwˈeɪntənsɪz
acquaintanceship	ɐkwˈeɪntənsʃˌɪp
acquainted	ɐkwˈeɪntɪd
acquainting	ɐkwˈeɪntɪŋ
acquiesce	ˌækwɪˈɛs
acquiesced	ˌækwɪˈɛst
acquiescence	ˌækwɪˈɛsəns
acquiescent	ˌækwɪˈɛsənt
acquiesces	ˌækwɪˈɛsɪz
acquiescing	ˌækwɪˈɛsɪŋ
acquire	ɐkwˈaɪə
acquired	ɐkwˈaɪəd
acquirer	ɐkwˈaɪəɹɐ
acquires	ɐkwˈaɪəz
acquiring	ɐkwˈaɪəɹɪŋ
acquisition	ɐkwɪsˈɪʃən
acquisitions	ɐkwɪsˈɪʃənz
acquisitive	ɐkwˈɪzɪtˌɪv
acquit	ɐkwˈɪt
acquits	ɐkwˈɪts
acquittal	ɐkwˈɪtəl
acquittals	ɐkwˈɪtəlz
acquitted	ɐkwˈɪtɪd
acquitting	ɐkwˈɪtɪŋ
acreage	ˈeɪkəɹɪdʒ
acreages	ˈeɪkəɹɪdʒɪz
acred	ˈeɪkəd
acres	ˈeɪkəz
acrid	ˈækɹɪd
acrimonious	ˌækɹɪmˈəʊnɪəs
acrimoniously	ˌækɹɪmˈəʊnɪəsli
acrimony	ˈækɹɪməni
acrobat	ˈækɹəbˌæt
acrobatic	ˌækɹəbˈætɪk
acrobatically	ˌækɹəbˈætɪkli
acrobatics	ˌækɹəbˈætɪks
acrobats	ˈækɹəbˌæts
acromegaly	ˈækɹəʊmɡəli
acromion	ækɹˈəʊmiən
acronym	ˈækɹənˌɪm
acronyms	ˈækɹənˌɪmz
acrophobia	ˌækɹəfˈəʊbiə
acropolis	ækɹˈɒpəlˌiz
across	əkɹˈɒs
acrostics	ækɹˈɒstɪks
acrylic	ɐkɹˈɪlɪk
acrylics	ɐkɹˈɪlɪks
act	ˈækt
acted	ˈæktɪd
actin	ˈæktɪn
acting	ˈæktɪŋ
actinic	æktˈɪnɪk
actinide	ˈæktɪnˌaɪd
actinium	æktˈɪniəm
action	ˈækʃən
actionable	ˈækʃənəbəl
actions	ˈækʃənz
activate	ˈæktɪvˌeɪt
activated	ˈæktɪvˌeɪtɪd
activates	ˈæktɪvˌeɪts
activating	ˈæktɪvˌeɪtɪŋ
activation	ˌæktɪvˈeɪʃən
activations	ˌæktɪvˈeɪʃənz
activator	ˈæktɪvˌeɪtɐ
active	ˈæktɪv
actively	ˈæktɪvli
actives	ˈæktɪvz
activism	ˈæktɪvˌɪzəm
activist	ˈæktɪvˌɪst
activists	ˈæktɪvˌɪsts
activities	æktˈɪvɪtiz
activity	æktˈɪvɪti
actor	ˈæktɐ
actors	ˈæktəz
actress	ˈæktɹəs
actresses	ˈæktɹəsɪz
acts	ˈækts
actual	ˈæktʃuːəl
actualisation	ˌæktʃuːəlaɪzˈeɪʃən
actualise	ˈæktʃuːəlˌaɪz
actualised	ˈæktʃuːəlˌaɪzd
actualities	ˌæktʃuːˈælɪtiz
actuality	ˌæktʃuːˈælɪti
actually	ˈæktʃuːəli
actuarial	ˌæktʃuːˈeəɹɪəl
actuarially	ˌæktʃuːˈeəɹɪəli
actuaries	ˈæktʃuːəɹiz
actuary	ˈæktʃuːəɹi
actuated	ˈæktʃuːˌeɪtɪd
actuator	ˈæktʃuːˌeɪtɐ
actuators	ˈæktʃuːˌeɪtəz
acuity	ɐkjˈuːɪti
acumen	ˈækjuːmˌɛn
acupressure	ˈækəpɹˌɛʃɐ
acupuncture	ˈækjuːpˌʌŋktʃɐ
acupuncturist	ˈækjuːpˌʌŋktʃəɹˌɪst
acute	ɐkjˈuːt
acutely	ɐkjˈuːtli
acuteness	ɐkjˈuːtnəs
acuter	ɐkjˈuːtɐ
acyclovir	ɐkˈaɪkləvˌiə
ad	ˈæd
adage	ˈædɪdʒ
adages	ˈædɪdʒɪz
adagio	ædˈɑːdʒɪˌəʊ
adamant	ˈædəmənt
adamantine	ˈædɐmˌɑːntiːn
adamantly	ˈædəməntli
adapt	ɐdˈæpt
adaptability	ɐdˌæptəbˈɪlɪti
adaptable	ɐdˈæptəbəl
adaptation	ɐdɐptˈeɪʃən
adaptations	ɐdɐptˈeɪʃənz
adapted	ɐdˈæptɪd
adapter	ɐdˈæptɐ
adapters	ɐdˈæptəz
adapting	ɐdˈæptɪŋ
adaption	ɐdˈæpʃən
adaptions	ɐdˈæpʃənz
adaptive	ɐdˈæptɪv
adaptively	ɐdˈæptɪvli
adaptor	ɐdˈæptɐ
adaptors	ɐdˈæptəz
adapts	ɐdˈæpts
add	ˈæd
added	ˈædɪd
addendum	ɐdˈɛndəm
adder	ˈædɐ
adders	ˈædəz
addicted	ɐdˈɪktɪd
addicting	ɐdˈɪktɪŋ
addiction	ɐdˈɪkʃən
addictions	ɐdˈɪkʃənz
addictive	ɐdˈɪktɪv
adding	ˈædɪŋ
addition	ɐdˈɪʃən
additional	ɐdˈɪʃənəl
additionally	ɐdˈɪʃənəli
additions	ɐdˈɪʃənz
additive	ˈædɪtˌɪv
additives	ˈædɪtˌɪvz
addle	ˈædəl
addled	ˈædəld
addles	ˈædəlz
addling	ˈædlɪŋ
addressable	ɐdɹˈɛsəbəl
addressed	ɐdɹˈɛst
addressee	ɐdɹˈɛsiː
addresses	ɐdɹˈɛsɪz
addressing	ɐdɹˈɛsɪŋ
adds	ˈædz
adduce	ɐdjˈuːs
adduced	ɐdjˈuːst
adductor	ɐdˈʌktɐ
adenine	ˈædənˌiːn
adenocarcinoma	ˌædənˌɒkɑːsɪnˈəʊmɐ
adenoidal	ˈædənˌɔɪdəl
adenoids	ˈædənˌɔɪdz
adenosine	ˈædənˌɒsaɪn
adeptly	ɐdˈɛptli
adeptness	ɐdˈɛptnəs
adequacy	ˈædɪkwəsi
adequate	ˈædɪkwət
adequately	ˈædɪkwətli
adhere	ɐdhˈiə
adhered	ædhˈiəd
adherence	ɐdhˈiəɹəns
adherent	ɐdhˈiəɹənt
adherents	ɐdhˈiəɹənts
adheres	ɐdhˈiəz
adhering	ædhˈiəɹɪŋ
adhesion	ɐdhˈiːʒən
adhesive	ɐdhˈiːsɪv
adhesives	ɐdhˈiːsɪvz
adiabatic	ˌeɪdɪɐbˈætɪk
adieu	ɐdjˈuː
adieux	ɐdjˈuːz
adipose	ˈædɪpˌəʊz
adits	ˈædɪts
adjacent	ɐdʒˈeɪsənt
adjectival	ˌædʒɪktˈaɪvəl
adjective	ˈædʒɪktˌɪv
adjectives	ˈædʒɪktˌɪvz
adjoin	ɐdʒˈɔɪn
adjoined	ɐdʒˈɔɪnd
adjoining	ɐdʒˈɔɪnɪŋ
adjoins	ɐdʒˈɔɪnz
adjourn	ɐdʒˈɜːn
adjourned	ɐdʒˈɜːnd
adjourning	ɐdʒˈɜːnɪŋ
adjournment	ɐdʒˈɜːnmənt
adjourns	ɐdʒˈɜːnz
adjudged	ɐdʒˈʌdʒd
adjudicate	ɐdʒˈuːdɪkˌeɪt
adjudicated	ɐdʒˈuːdɪkˌeɪtɪd
adjudicates	ɐdʒˈuːdɪkˌeɪts
adjudicating	ɐdʒˈuːdɪkˌeɪtɪŋ
adjudication	ɐdʒˌuːdɪkˈeɪʃən
adjudications	ɐdʒˌuːdɪkˈeɪʃənz
adjudicator	ɐdʒˈuːdɪkˌeɪtɐ
adjudicators	ɐdʒˈuːdɪkˌeɪtəz
adjunct	ˈæddʒʌŋkt
adjust	ɐdʒˈʌst
adjustable	ɐdʒˈʌstəbəl
adjusted	ɐdʒˈʌstɪd
adjuster	ɐdʒˈʌstɐ
adjusters	ɐdʒˈʌstəz
adjusting	ɐdʒˈʌstɪŋ
adjustment	ɐdʒˈʌstmənt
adjustments	ɐdʒˈʌstmənts
adjustor	ɐdʒˈʌstɐ
adjustors	ɐdʒˈʌstəz
adjusts	ɐdʒˈʌsts
adjutant	ˈædʒuːtənt
adjuvant	ɐdʒˈuːvənt
admen	ɐdmˈɛn
administer	ɐdmˈɪnɪstɐ
administered	ɐdmˈɪnɪstəd
administering	ɐdmˈɪnɪstəɹɪŋ
administers	ɐdmˈɪnɪstəz
administrate	ɐdmˈɪnɪstɹˌeɪt
administrating	ɐdmˈɪnɪstɹˌeɪtɪŋ
administration	ɐdmˌɪnɪstɹˈeɪʃən
administrations	ɐdmˌɪnɪstɹˈeɪʃənz
administrative	ɐdmˈɪnɪstɹətˌɪv
administratively	ɐdmˈɪnɪstɹətˌɪvli
administrator	ɐdmˈɪnɪstɹˌeɪtɐ
administrators	ɐdmˈɪnɪstɹˌeɪtəz
admirable	ˈædməɹəbəl
admirably	ˈædməɹəblˌi
admiral	ˈædmɜːɹəl
admirals	ˈædmɜːɹəlz
admiralty	ˈædməɹəlti
admiration	ˌædməɹˈeɪʃən
admire	ɐdmˈaɪə
admired	ɐdmˈaɪəd
admirer	ɐdmˈaɪəɹɐ
admirers	ɐdmˈaɪəɹəz
admires	ɐdmˈaɪəz
admiring	ɐdmˈaɪəɹɪŋ
admiringly	ɐdmˈaɪəɹɪŋli
admissibility	ɐdmˌɪsəbˈɪlɪti
admissible	ɐdmˈɪsəbəl
admission	ɐdmˈɪʃən
admissions	ɐdmˈɪʃənz
admit	ɐdmˈɪt
admits	ɐdmˈɪts
admittance	ɐdmˈɪtəns
admitted	ɐdmˈɪtɪd
admittedly	ɐdmˈɪtɪdli
admitting	ɐdmˈɪtɪŋ
admixture	ɐdmˈɪkstʃɐ
admonish	ɐdmˈɒnɪʃ
admonished	ɐdmˈɒnɪʃt
admonishes	ɐdmˈɒnɪʃɪz
admonishing	ɐdmˈɒnɪʃɪŋ
admonishment	ɐdmˈɒnɪʃmənt
admonition	ˌædmənˈɪʃən
admonitions	ˌædmənˈɪʃənz
ado	ɐdˈuː
adobe	ɐdˈəʊbi
adolescence	ˌædəlˈɛsəns
adolescent	ˌædəlˈɛsənt
adolescents	ˌædəlˈɛsənts
adonis	ædˈəʊniz
adonises	ˈædənˌaɪzɪz
adopt	ɐdˈɒpt
adoptable	ɐdˈɒptəbəl
adopted	ɐdˈɒptɪd
