agaian	ɑːɣɑjɑn
shemomedjamo	ʃɛmmomɛtʃamɔ
sofiko chiaureli	sɔ pɛ koːˈtʃ i ɒuɾeˈni
sukhumi	soxome
sxvadasxva	sjˈvɑdˈʌsxˈvɑm
tamada	tamada
tbilisi	tipilisˈe
tchumburidze	tʃumubuɾitsɛ
telavi	tɛlaːwi
tengis kitowani	ta nɛ gi zəkitɔvɑni
tirilit’	tʃiːɾulit
tornike okriashvili	tʰɔrniki ɔkʰaɾi jaʃfili
tsereteli	tsɛɾeteɾi
tskhinvali	tsxˈinwaˈli
tskhovrebadze	tsʲoɣɾebatsʲen
tsolikauri	sonikori
uplistsikhe	upliʃtsixe
valeri qazaishvili	valeri azɑːifəli
vardzia	fartsja
zaza pachulia	zɑzɑ pətʃoːliːe
zaza uruszadze	zɑːzɑː oˈruːʃ æzæ
zurab azmaiparashvili	zuɾa bazmaj paɾa ʃoˈjli
çumburidze	tʃoŋgoŋtˈita
ა	a
აბაზანა	abazana
აბაზი	abazɯ
აბანო	abana
აბგა	abɯda
აბელ	abɨl
აბზინდა	abzɪmda
აბი	aːbˈi
აბიჟნიკი	apɪʒnik
აბლაბუდა	abɫɑbulda
აბრა	abra
აბრეშუმი	abrɛʃumɪ
აბუჩად	abutʃat
აბჯარი	abgɑːriː
აგარაკი	agara
აგენტურა	aɣentura
აგვისტო	agɔviˈʃtɔ
აგური	agur
აგურისფერი	agurispæɾi
ადამიანი	adˈamˈiːne
ადამიანის	adamias
ადგილზე	atgjɫzɯ
ადგილსამყოფელი	atkɪlsamɢɔpɛlɪ
ადგომა	atgoma
ადნობს	adnɔbs
ადრე	adre
ავ­ტო­ბუ­სი	atɑɓusi
ავად ვარ	ava dvar
ავადმყოფი	aboɾimqɔpim
ავაზა	ɑɫazɑm
ავეჯი	avidʒi
ავთანდილ ჭრიკიშვილი	ɑrtʰɑ dɪl tʃeɾe ke ʃuːj
ავთანდილ ხურციძე	ɑtɑn diːl xoɾæd sɛj ze
ავტობუსი	apˈtoˈbus
ავტორები	ˈaftɒɾˈɛbˈi
ავტორიზაცია	afableizatsija
ავღანეთი	afɣanati
აზარაშვილი	æzæɾˈæʃfˈiːrˌe
აზია	zˈɪɑ
აზნაური	aznaurɨ
ათი	at
ათქვეფა	atkvɛphaɾm
აი	ˈaɪ
აივანი	aːjvaːni
აირი	ɦajriː
აისი	aisi
აკადემიური	akademɨjuɾi
აკაკი	aːtakɪ
აკანკალება	akãnkaleta
აკვანი	akvɑn
აკვიატება	akvojatɛba
აკიდება	akʲiɟɛba
აკიდო	akido
აკინძვა	halcəntsɯvˈɑ
აკლდამა	aqoɫdɑmɑ
აკლება	akalaˈba
ალაგი	alaɣi
ალამი	alaːmi
ალანძვა	aːlɑnʒla
ალბათ	albøt
ალბათ ტაქსის გამოვიყენებ სახლში წასასვლელად.	al bat̪ aksis̻ kamo̞ viɣ̞ene̞p s̻aɣ̞t̪ʃits̻ as̺as̻ul elat̪
ალერსი	alesʃi
ალექსანდრე	alɛksantɾe
ალექსანდრე კორსანტია	aleksãn̪d̪ɾe ko sãn̪t̪ s̺ia
ალვა	ɑːlma
ალი	ali
ალიაქოთი	ɑliakot
ალიგატორი	aljikatorɪ
ალიზი	alaːsjˈ
ალიონი	alioni
ალისფერი	aliste
ალკანა	aqɑnˈɑ
ალკაპი	ɑlkəpi
ალლაჰ	allɑh
ალმასი	ɑːlmasɯ
ალმაცერი	almɑtsɛr
ალმური	almuːrik
ალო	alõ
ალუბალი	aluboʎ
ალღო	aɣo
ალყა	ˈalχa
ამ დილით	am delið
ამ ცხოველს იაპონურად რა ქვია?	ɑmtsʰɔvɛws ɪɛp ɔn uɾɑ tɾɑkɾi
ამაგი	maːmɑlgi
ამათი	ɑːmattiːn
ამანათი	ʔɑmɑnɑt
ამაო	ama
ამაოება	amaoˈweba
ამაოხრებელი	ammaʔuχrɑbe
ამარად	amaret
ამართვა	amaːrtuva
ამაღამ	ɑːmɑːxɑːm
ამაღლება	amaɣ̞leta
ამაყი	ɑmɑrqi
ამაყობა	amaqoba
ამაყობს	amakɔps
ამბავი	æmˈbɑːbɪn
ამბარი	ambari
ამბები	ampɛpi
ამბობს	æmˈbɒbs
ამბორი	ambuɾi
ამბოხი	ɦæmboːxiː
ამერიკელი	ameripl
ამთავრებს	æmtævɾæb
ამიერ	ɑːmiːeɾ
ამილახვარი	aːmjlxwaɾ
ამინ	ɑmin
ამინდი	amente
ამირბარი	ɑːmiːlbæɾkl
ამირეჯიბი	ɑːmiːɾedʒiːbʱi
ამირსპასალარი	ɑmɪ̞ɾstɑsɑɫɑr
ამისთანა	ɑːmistɑːn
ამისი	amisi
ამიტომ	amɪtˈom
ამლაკი	ɑmɯzak
ამო	amo
ამობრძანება	amobrɛzɑnɨba
ამოგდება	amɔgɔdɛba
ამოგლეჯა	amuklɛdʒa
ამოდგმა	aːmotːogimˈme
ამოვარდნა	aːmuvɑɾdɯnɑ
ამოვლება	amovlepam
ამოვსება	amovsepa
ამოზიდვა	amuziqtiva
ამოთლა	amutla
ამოთხრა	aːmutaħra
ამოკვეთა	amokɾetˈtˈɑ̃
ამოსრუტვა	aːmɯsultu
ამოქოლვა	ɑmuqɯ̞uðɑ
ამოღება	amokɛðɑ
ამოშენება	amʊ̞ʃenʲːada
ამოცოხნა	ɑmutsɔχna
ამოძრობა	amutzruba
ამოწევა	amutsɛma
ამოჭრა	amutʃra
ამპარტავანი	empaɾtaβ̞aa
ამრეზილი	amrezili
ამრეცი	aːmrɛtʃi
ამფსონი	æmˈpsuːn˧i
ამქარი	me̞jkʰæˈɾiː
ამყოლი	ɑmæxoːli
ამწე	namtsɛ
ამხანაგი	amχanˈg
ამხედრება	amxʃidrɪba
ან	an
ანა	ana
ანაბარი	ʕanːaːbariː
ანაზდეული	anəsdøøwlʲi
ანაფორა	aːnapxora
ანბანი	ɑnbani
ანგარიში	ɑŋgɑːrʃiː
ანგელოზები	anɣɛlozebi
ანგელოზი	aŋgeɫozi
ანდაზა	aːntasˈa
ანდამატი	aːndamɪd
ანდერძი	andəwtsĩ
ანთება	ɑntæb
ანი	aniː
ანიმე	anime
ანკარა	nkaɾa
ანკესი	ankes
ანნა	ɑnɪnä
ანტენა	ɒnˈtɒnɾ
ანტიოქია	antiokean
ანუ	anu
ანჩხლი	antʃli
ანცი	antˈsi
ანძა	anˈza
ანწლი	antsɾli
აოხრება	auːaχɾeɣ̞
აპარეკა	aparai̯ka
აპოკალიპსი	apokalps
აპრიალება	aprɨjɐlʲida
აპრილი	apqɔɾɛblɛ
არ	aɾ
არ შემიძლია	ɑrʃemitsʰél jɑm
არა	ɑːɾˈɑː
არადა	ɑɾɑda
არაკი	aɾək
არამედ	ɑɾɑmɪd
არამი	ɑrɑmɛ
არასოდეს	aɾasɔdɛs
არაუშავს	arau̯ʃaus
არაფერი	arɑpθæri
არაფერს	ɑrɑpˈɦæz
არაფრის	araprɨs
არაყი	ɑːraːɣi
არაწმინდა	ɑːɾətsəmiːnda
არგანი	aɾˈgɑnj
არდაბაგი	ɦaɾadabaːˈliː
არე	are
არევა	areva
არემარე	ɑːrɛmɑːrɛk
არეულობა	arevloba
არიან	aɾˈian
არის	aɾiʃ
არიფი	ɑɾiːk
არმაზული	armasuðæm
არმია	armia
არსება	aɾsida
არსებითი	ɑɾsɛbit
არსი	arsi
არტაანი	partani
არტალა	ɑɾtɑɑlɑ
არტახი	ˈaɾtoˌxˌiːn
არღვევა	ärɢɯ̞ðɯ̞bɑː
არშია	arʃia
არჩევანი	artʃevani
არჩვი	ɑrˈtʃe
არც	arts
არწივი	artsivi
არხი	ärx
ასაკრავი	aːsˌkɾɑːb
ასე	asi
ასევე	ɒsvɒ
ასველებს	asveleβs
ასვენებს	asvɛŋɛbs
ასვლა	asoːla
ასისთავი	aːsistˈaɾi
ასკილი	pazki
ასლი	bɑsli
ასო	aːsˤ
ასომთავრული	æskõmruːbiː
ასპარეზი	aspaːɾesi
ასპარეზობა	asfarɛzoban
ასპიტი	aspiti
ასტამი	ʔaztamiː
ასული	aːsˈvˈlˈɪ
ასწრებს	aztɔɾɛps
ასხმა	ʔazmɑ
ატამი	atam
ატანა	aːtˈlaːlˈlɑ
ატაცება	aːtatsʲeva
ატაცებული	atatsɛnulɪ
ატესტატი	addɛstapɪ
ატეხა	aːtsɛxja
ატლასი	aːtɯmɑs
აუარებელი	au̯are̞be
აუგი	ɑɫgi
აუგიანი	au̯gjãn̪ʲi
აუზი	ɑɫuzum
აურზაური	au̯rθau̯rɯ
აუცილებელი	autsilebeli
აფერადებენ	aferudeɣi
აფთარი	abtajɾi
აფთიაქი	aptʃiːzi
აფორიაქება	aːpvɾijɑkɪbɛ
აფრა	apʃa
აფრაკი	aprate
აფროდიტი	aproditif
აფხაზეთი	addʒazɛtɪ
აფხაზური ენა	abˈxazuːri ɛlɛ
აქ	ɑk
აქავება	ˈakabɪtlˈ
აქანდაზი	akãndɑzi
აქაური	ˈakauɹi
აქეთ	akɛ
აქეთ-იქით	akɾətɪkɪd
აქვთ	abæt
აქვს	aːbus
აქლემი	aklem
აქოთება	aːkɔtɨbɑ
აქოლვა	aqɯlma
აქცევა	aktsiva
აღარ	agɑr
აღარავინ	aːraːvim
აღბეჭდვა	aghbetʃɨdo
აღგვა	ɑʁqɯ̞bɑ
აღდგენა	äʁɯ̞tkɪ̞jkkæ
აღდგომა	aʁtqlma
აღება	aːɣeva
აღებმიცემა	aʁˈɛbmiθɛmˈa
აღელვება	aqɯ̞ɫdʊ̞ðɑ
აღვირი	aɣðiːr
აღვლენა	aɣbɨlɪ̞næ
აღვსება	aɣvseba
აღზრდა	aqizda
აღთქვეფა	artɔqpæ̝ːn
აღთქმა	aabtqme
აღკვეცა	aθkɐvɛtˈsɐ
აღლუმი	aɣlumi
აღმატება	aɣmatep
აღმაფრენა	ɑɣmɑpɾenɪ
აღმოსავლეთი	ɑɣnusɔwˈliːtʰi
აღმოჩენა	aɣimutʃɪkɪdʲɪŋ
აღმოცენება	aʁmutsʲenɪ̞bɪ̞
აღმოხდომა	aʁmuqtɔmɑ
აღმსარებელი	aʁmɯzarebɪrg
აღმქმელი	aːɣmkml
აღნიშნვა	ɑɢɯniʃinvaqtɑ
აღორძინება	aɣoɾtsiŋeba
აღსაზრდელი	aqsɑzɑʈˈɛ
აღსარება	aqsɑrɯp
აღსასრული	aqsasrul
აღსრულება	aqsuɾeba
აღტაცება	aptatʃɛba
აღტყინება	artɣinego
აღფრენა	aɣimtlæŋi
აღფრთოვანებული	aʁətuvasnebˈul
აღქმა	ɑqkm
აღშენება	ɑqʃɯn
აღშფოთება	aqɯ̞ʃpʊ̞tʊ̞pæ
აღწერა	ɑqɯ̞tsɯ̞jɾæm
აღჭურვა	ɑgdʒuɾˈduˈa
აყვანა	ɑqwɑnɯ̞
აყრა	ɑːgər
აყუდება	aqɯldɛda
აშენება	aʃaneda
აშიკი	aʃˈi
აშიკობა	aiɣ̞sikõmpa
აშკარა	baʃkaɾa
აშლა	aʃla
აშლილობა	aʃliɫɔva
აშუღი	aʃuʁˈi
აშუღობა	aʃuɣoba
აშშ	əˈʃisˈɛ
აჩემება	atʃemede
აჩრდილი	atʃadɪlʲe
აჩქარება	atʃkaɾɯvda
აჩხორვა	atʃxorva
აცილება	atsiˈɛn
აცმა	atsma
აცრა	aˈtsra
აძრობა	adʒrɔba
აწევა	atseba
აწინდელი	atsĩŋteɾni
აწმყო	atsɑmɨqɔ
აწურვა	atsʊrva
აჭარა	atʃara
აჭარის ავტონომიური რესპუბლიკა	atʃeaɾis autɔnɔmɛuɾi ɾɛ stupnika
აჭიმი	adʒive
აჭრა	atʃɯɾa
ახ!	ˈax
ახალგაზრდა	ɑχɑɫdɑtɯ̞rðɯ̞
ახალი	ɑxɑl
ახალი გეორგია	axaːliː geːorʲɪaːm
ახალუხი	aχaloχi
ახალქალაქი	äχɑlkɑlɑkʰe
ახალციხე	axaltsixẽn
ახდენა	axtene
ახედვა	ɑχɪtˈbɑ
ახირება	ɑçjɪlɪbla
ახლა	ɑχɫɑ
ახლავე	axlabˈe
ახლეჩა	axletʃem
ახლო	æxˈlɑb
ახლო-მახლო	axlomɑxlo
ახლოს	axvɔs
ახო	axo
ახოვანი	ɑːxˈvɑːni
ახოვნება	axoβnepan
ახსნა	ʔaqsla
ახსოვს	axsaʃ
ახტომა	aqtom
აჰა!	ˈɑhə
ბ	pɛ
ბაადურ ჯობავა	maːh doːr ʒobæ wa
ბაასი	paz
ბაბილონი	apɪljɛnj
ბაბუ	bɐbɔ
ბაბუა	tɑːbua
ბაგე	agæ
ბაგირი	paːgəɾiː
ბაგრატი	agratʲi
ბაგრატის ტაძარი	pagradist azari
ბადაგი	padajdi
ბადე	ade
ბადია	bad̪iɐ
ბადრიჯანი	patrʲidʒanim
ბავშვი	pɑʊʂu˥˩
ბაზა	qɒzɒ
ბაზარი	baːsiaːtˤeːb˧
ბაზიერთუხუცესი	vziːrtʃiːzixuːtsʰæˈsiːm
ბაზიერი	bˈdʒiːtɪd
ბათუმი	batuːmj
ბაია	paja
ბაირაღი	baiːrɑhˈxiːm
ბაკუნი	takunib
ბალავარი	balabale
ბალანჩივაძე	pa˥˩ːlatʃi˩˥ːvazɨm
ბალახი	balaxxæ
ბალახის	balaxʃ
ბალზამი	pɒlzɒˈmiː
ბალთა	pau̯ta
ბალი	ali
ბალიში	paˈles
ბალღამი	balʁɑmɪ
ბამბა	pampɑ
ბანაკი	pɑnɑkɛ
ბანი	ane
ბანკი	pɑːnkɪ
ბანოვანი	panovani
ბარათი	parati
ბარაქა	baraːqa
ბარბაროსი	barbarɔsɨ
ბარბაცი	parpatsɛ
ბარგი	parɟi
ბარდა	parta
ბარემ	barɛm
ბარვა	arva
ბარი	pari
ბარკალი	parkali
ბარტყი	bɑrtʁɪ
ბარძაყი	bʊɾːtsʊɑki
ბარძიმი	bardzɪmɪ
ბარხანა	varxana
ბასილაშვილი	asjɛɫɑʃujɛlɛ
ბასრი	basri
ბატი	pate
ბატიბუტი	patɛputi
ბატკანი	patkanɛ
ბატონი	vatoni
ბატონო	patonau
ბაქანი	əkəni
ბაქმაზი	pakmazi
ბაღი	ɑɣi
ბაღლინჯო	baɣ̞aɦlinð̞ʒu
ბაღჩა	paːxtʃa
ბაყაყები ყვავილში	baga tajbɨɾ ɟɔ aːlɨ muʃi
ბაყაყი	qɑqɑqiː
ბაყაყი წყალში ყიყინებს	bɑɢɑɾ ɢɾitsʔ kɑlʃit wɛtɬe ɛp si
ბაყაყი წყალში ყიყინებს лягушка в воде квакает	aɣaɾʔits gɔlʃi ɛkɛr nips
ბაწარი	vaːtsaːri
ბაჭია	patʃe
ბახალა	paːxaˈla
ბაჯი	baʒi
ბგერა	kakˈeɾa
ბე	p
ბებერა	pɛpɛra
ბებერი	beˈrɪ
ბებია	pebja
ბებო	bevo
ბეგარა	apaɾa
ბეგვა	pɛkvɔ
ბეგი	peki
ბედაური	bɛdauɾi
ბედი	pɛdi
ბედისწერა	pɛdistɛra
ბედნიერება	beˈdiniˈreːba
ბედნიერება და სიყვარული არ მოგაკლოს ღმერთმა.	pe tiniere pɑtɑsijɣa roɾi ɑrmokagloz ɣmirtʰe mɑ
ბედნიერი	pɛtɨniɛli
ბევრი	pɛvɫi
ბევრისთვის	befrɛstvizt
ბევრმა იცის, რომ ძილის წინ ჭამა არ შეიძლება - многие знают, что перед сном нельзя есть.	be urmaʲitsʲis romtsʲilɪtsʲin tʃama ʃɛitsʲ beba
ბევრჯერ	berdʒir
ბეზღება	pɛzˈʁɛ
ბეითალი	beːtali
ბელადი	tɛlˈadɪ
ბელტი	pɛltɪ
ბერვა	pervam
ბერი	peri
ბერია	beˈlja
ბერიკაცი	beːrnikatsʰ
ბერიძე	bɛrɪtʃɛ
ბერძნები	tɛdznɛdi
ბერძნული	peɾdzɨnublɪ
ბერძნული ენა	perts nuli ena
ბერწი	ɛɾtsɛ
ბესარიონ	pesaɾion
ბეღელი	beʁɛlæ
ბეღურა	tɾɛguɾa
ბეჩი	beːtʃi
ბეცი	etsi
ბეწვეული	beːtsːavau̯lʲ
ბეწვი	alɛtsɔvɪ
ბეჭდვა	pɛtʃɛtoˈva
ბეჭედი	peˈtʃɛdi
ბეჭი	peki
ბეჰემოთი	behemmɔtˈti
ბეჰემოტი	pɛgɛmmotɪ
ბზა	piza
ბზარვა	bzarba
ბზარი	pɪˈzɑrɪf
ბზე	bizɛ
ბზიკი	pəzˈiki
ბზინვა	zˈɪnvˈ
ბზინვარება	ziŋvarɛbɑ
ბზობა	zoba
ბია	pia
ბიბილო	pibil
ბიბინი	pipini
ბილეთი	pileti
ბილიკი	pilike
ბილწი	pjlt̪sʲi
ბინა	pina
ბინდი	�
ბინიანი	peniːne
ბინძური	beninzʏrɪ
ბიურო	biʊɾo
ბიუჯეტი	bjodʒeːtɪm
ბიცოლა	bʲitsʲovo
ბიძა	pɪtse
ბიძაშვილი	bit̪zəʃʋiːlɪ
ბიძგება	bit̪sgɛba
ბიძინა ივანიშვილი	iːd ziːnɑɪ uːɑːn uʃɪ
ბიჭი	pitʃe
ბიჯი	plidʒi
ბლაგვი	plagvi
ბლანდვა	plandva
ბლანტი	lante
ბლუ	bɯɫːu
ბნედა	pˈnˈɛta
ბნედიანი	pnɛtionɨ
ბნელი	pɯ̞nɑɫæ
ბობღვა	bɔlpɔqɔbɑ
ბოგანო	bogɑnɔ
ბოდვა	podva
ბოდიში	pɔdiʃ
ბოთლი	pɔtʃni
ბოკვერი	ofokavari
ბოლი	poɾl
ბოლივუდი	poli-vuːdi
ბოლო	bɔːlɔ
ბოლოკი	bɔɫoki
ბოლონდელი	bɔlɔndɛrlɪ
ბოლოს	ɑwɯldost
ბოლქვაძე	bolʲkɫadzʲa
ბოლქვი	pɔlkri
ბორა	ora
ბორანი	boroni
ბორბალი	bɔrbali
ბორი	pɔri
ბორიალი	poral
ბორკილი	forkil
ბოროდინი	pɔrɔdiːɲi
ბოროტი	pɔˈrɔti
ბოროტსვიანი	pɔrɔtɕuɔjɑnɨ
ბორცვზე	kʊ̞rtʃvizːɛm
ბორცვი	pɔrtsʲɪ
ბორძიკი	pɔɾtsiki
ბორჯომი	ɑre̞ʒæmjæm
ბორჯღალი	mortʃali
ბოსელი	po˥˩ːsɛrlɪ
ბოსტანი	pɔʃtɑˈni
ბოსტნეული	pɔstɔnˈaːɔbli
ბოტი	pɔtɨ
ბოტოტი	pɔtɔtɛ
ბოქვენი	bukvɛni
ბოღლიწო	pɔvɣɔlitsɔ
ბოყინი	poqin
ბოჩოლა	bɔtʃola
ბოძება	pɔtzɛpɑ
ბოძი	potʃi
ბოჭკო	pɔtʃkɔ
ბოხი	oɣe
ბოხოხი	poχi
ბოხჩა	boχtʃa
ბჟუტვა	ʒutva
ბრაზი	pˈɾˈazˈɪ
ბრაზიანი	brazjani
ბრალდება	brau̯depa
ბრალდებით	brau̯dea
ბრალი	rali
ბრბო	prpɔ
ბრგე	brɛgæ
ბრდვინვა	pertuːziːnva
ბრდღვინვა	ɾɨtɛxviːnva
ბრეცა	prɛtsa
ბრიალი	prealʲ
ბრილიანტი	briljante
ბრინჯაო	pɾˈinʒəl
ბრინჯი	renji
ბრიყვი	prkvi
ბრმა	brma
ბროლი	roɫʲ
ბროწეული	prɔtsɛul
ბრტყელი	tˈɪtʁɛlˈi
ბრტყელი ზედაპირი	pə pɣɛli zɛta pɛri
ბრუნება	brunæbːɑ
ბრუნვა	prunva
ბრუტიანი	prutean
ბრუციანი	brutsianɛ
ბრძანება	pɛrtsanɛpa
ბრძენი	prɨtsɛnɨ
ბრძმედი	bɾˈtˈɒmɒdi
ბრძოლა	brɪtsɑla
ბრწყინავს	ʃtˈsˈiːnˌ
ბრწყინდება	brɪtsɪgɪndɛba
ბრწყინვა	ɾutskɛjnʲuba
ბრჭყალი	tʃkaɾdæm
ბუ	pu
ბუდე	pude
ბულატ ოკუჯავა	tʊ̞ŋʲɑt ɔkʊ̞ dʒɑo
ბულგარეთი	unkaɾet̪ɳ
ბულგარულად	luqɑnulɑt
ბულგარული	bulʒarʊlʲ
ბუმბული	bulu
ბუნება	punɛp
ბუნებრივი	unabruː
ბუნიათიშვილი	boːniaːtʃiːʃil
ბურთი	pˈˈɛlˈtˈə
ბურუსი	voruʃi
ბუჩქი	kɔtʃkɛ
ბღავილი	ɒvinˈɒ
გ	v
გააადვილებ	ˈgɑːdwɪləb
გააახლა	gaːɑxvɑθ
გაამოთ	gamut
გააფრთხილა ოთახი	kɑːb skʰil ɑːtˈtɑːxj
გააჩერეთ	kaːɑtʃɛɾɛt
გაბრწყინვებული	gɑbɯɾtsʰkɛjmɛɳibuli
გაგება	tagɛ
გაგექცევი	gɒgɒktsɒvi
გაგიმარჯოთ	kagimaɾdʒot
გაგიმარჯოს	kagimæɾdʒos
გადაადგილება	ɣɑɾdɑːɑːbkiːlɛbaː
გადაგდება	kadaktʲæba
გადაკვეთა	kɑːrɑːfliːət̪aː
გადაკრული	kað̞akɾun
გადარჩენა	kadɔrtʃɛn
გადაფურთხება	kaðapʊɾtχɛba
გადაღება	kadai̯ɣeβe
გადაცემა	ka˥˩ːda˥˩tsema˥˩ː
გადაცურვა	ɣadɾzʊrvɑ
გადახდა	agdaxta
გადიდება	gadiˈdeba
გადმოსაკონტრრევოლუციონერებლებისნაირებისა	cãn̪d̪oːmd̪eːkõːppaeoːd̪oːtɕʰeeɾiʰbista
გადმოცურვა	kadmoːtsuːrva
გაეცით	kâi̯tsɪt
გავაგრძელებ	gavagɤrdzɛleba
გავიგე	tavigem
გავიგო	gaviko
გავლა	kɑˈbɫɑ
გავხარ	gɑfxaˈr
გაზაფხულზე	nazappuːzɛ
გაზაფხული	kɑzɑp
გაზეთი	gazet
გაზრდა	tɑːrˈdɑm
გათენდა	kat̪ɦɛnde
გათრევა	katʃreva
გაიმარჯვებს	kajimboːdʒuβ̞z
გაიმეორეთ	kaime̞ɔrit
გაისად	gajsadʒ
გაისი	ɣajsi
გაიცანი	kajtsʰɑni
გაიხადა	kajxadam
გაიხარე	kɑːˈʰexɑːlʔ
გაკეთება	age̞t̪e̞ba
გაკვეთილი	la˥˥kʰo˥˩tʰi˧˥um˧˥
გაკონტრრევოლუციონერებულებისნაირებისათვის	nɒkɒntɾˈɾɒvuˈlutsionerebuˈlebitnɒˈniɾˈebisili
გალია	galia
გალობა	kaluba
გამარჯვება	kaːnmargɛtɔ
გამარჯვებული	tamadʒɨkbudzʲe
გამარჯობა	tamərdʒoba
გამარჯობათ	voːˈhɑːtɾomaːn
გამგე	kaːmgeːr
გამო	kamu
გამოთქმა	ɣamutkma
გამოიცანით	kamuɔjtsʰamit
გამორთვა	kaamotʃa
გამორიცხული	kamuritsʃoŋi
გამოსავალი	kammɔsavɑmi
გამოსახულება	ɣamɔsaaxuleba
გამოსვლა	kamusua
გამოტოვა	kamotoɣa
