anowr	ənˈɔɾ
অনুসারে	unnuʃaˑre
অনুস্বার	onuʃaɾ
অনূর্ধ্ব-১৯	ɑnuːltʊɔnʃ
অনেক	aʝneke
অনেক এলাকা	oɲɛkj e˩˥ːlaka˥˩
অনেক দামে কেনা	ɔneɔek dɑmɪke naː
অনেক দেশ	ˈoɲəg dˈeʃ
অনেক প্রাণী	na pɾani
অনেকখানি	nekːlˈi
অনেকগুলো কারণ	ɔneɔ gul karon
অনেকে	aneke
অনেকেই	ˈoːnɛkˌeː
অন্তঃশীলা	ɔntuʃɪla
অন্তঃসার	ɑntɑsˈʃæɾ
অন্তত	ontɔto
অন্তরে	antore
অন্তর্ভুক্ত	antɔɾɔbʰaktɔ
অন্তর্ভুক্ত থাকা	ɔɳt̪oɾ bʱukt̪ t̪ʰaˑkaː
অন্তর্যামী	ont̪ot̪ɟʝami
অন্ধ	ɔndɔ
অন্ধকার	ɔndʒɔkaɾ
অন্ধ্রপ্রদেশ	ænd̪oːpɾoːd̪eʃ
অন্নপূর্ণা	ɔnːɔpuɺnaː
অন্বেষণ	ɔɾoɳeʃɔm
অন্য	ˈonnə
অন্যজন	onnodʑɔn
অন্যতম	unotomo
অন্যতম প্রবক্তা	unːutamu pɾobokta
অন্যত্র	onnɔtrɔ
অন্যথা	onˈnoːtaa
অন্যথায়	ɔnˈnuːtaj
অন্যদিক	onmezd̪iθ
অন্যদিক থেকে	onːoː d̪iːk t̪ʰeke
অন্যান্য	onnˈɛnno
অন্যায়	onnaj
অন্যায়ের সূচনা করা	ɔŋnaˑɛɹ ʃuɔtʃnaˑ kɹaɹ
অন্যের	ɔːnmeɾ
অপঘর্ষক	ʊ̃gɔʊ̃ɔ
অপটু	apɔtu
অপদার্থ	ɒpoːdɑːrˈto
অপপ্রচার	ɔppɾotɕaɾ
অপপ্রয়োগ	apopprojog
অপবাদ	apobad
অপবিত্র	apobjˈtˈɾo
অপব্যবহার	apobbebʱoɦaɾ
অপব্যয়	apoˈbe
অপভ্রাংশ	puːm˧ɾam˧ʃuː
অপমান	ɑtæmæn
অপমৃত্যু	aːboːreɣ̞toː
অপর	ɒˈpuɾ
অপরাজিত	opɹaʑit̪o
অপরাজিতা	pəpːuraːziːtaː
অপরাজেয় বাংলা	aːpoɾaːdʑe oˑ baŋlaˑ
অপরাহ্ন	ɔpuɾaˑɔnːoˑ
অপরিহার্য	aːpunihaːrtʃo
অপরের	apoɾer
অপর্যাপ্ত	apoɾdʒɑptu
অপর্যাপ্ত ব্যবস্থা	ɔpɹ dʑabɔtʰuˑ bɛbostʰaˑ
অপসারণ	ɑːpoʃæˈrɑːn
অপহরণ	apɔɦɔɾon
অপারগতা	oparugɔta
অপার্থিব	ˌɔpɐʃtˈivɨ
অপু	opu
অপু ত্রয়ী	o pɔtɾɔi
অপুর সংসার	oˑpuɾ ʃɔŋʃɔˑr
অপূর্ব	aːpuɾboː
অপেক্ষা	ope
অপেক্ষা করা	ope˥˩kʰa˥˥kɔra˥˧
অপেক্ষাকৃত	wabeːkχdbːɾiːt̪nˈu
অপেক্ষাকৃত উপযোগী	kʰakʰːit̪ː ʊbʊ̯dʑogi
অপেক্ষাকৃত উপযোগী ব্যবস্থা	oˑpeˑk̚ kʰaˑpɹit̪oˑ upɔdʑogiʱa bɔst̪ʰa
অপেরা	ˌopeɾˈa
অপ্রত্যাশিত	aprɔt̪aʃit̪o
অপ্রাসঙ্গিক	apraːʃuŋgik
অফিস	ɔːˈfɪs
অফিসের	ofiːseɾ
অফুরন্ত	aːfuːronˈtɔ
অবকাশ	oːvˈəʊkˈaʒ
অবতরণ	aːbutoːrwn
অবদান	abodan
অবধি	ʔobod̪ʱiˑ
অবনতি	aːlbonõt̪i
অবনমন	ɑbɑnɑˈmɑn
অবনীন্দ্রনাথ ঠাকুর	ɔ obaˑneˑɳzɔ nantʰ tʰaˑkɔzʰɔ
অবমূল্যায়ন	æbɔmɔlɔjɔn
অবর্তমান	abortuman
অবশেষে।	oːbɔːʃeʃe
অবশ্য	aboʃːo
অবশ্যই	nurʃoʝ
অবশ্যই!	æbˈoʃuːiː
অবশ্যকর্তব্য	ɔboʃːoˑkɾt̪b
অবসর	ɑːbɑːʃɑːr
অবসান	ɑːbɑːʃæːn
অবস্থা	abɔsta
অবস্থা দেখা	ɑːbustadɛkʰe
অবস্থান	ɑbostɑn
অবস্থার	ɑːbosteɾ
অবস্থায়	ɑːbɑːstʰæː
অবস্থিত	obustʃito
অবহিত	alboɦitˈo
অবহেলা	oːʊhˈla
অবাক	obak
অবাঞ্ছনীয়	ɔanːnts̺o̞ni̠o̞
অবাধ	ʔabad
অবাধে	oːbɑːd̪ʱiː
অবিকল	ˈoːbɪkoːn
অবিচার	oːbiːtʃɑːr
অবিচ্ছেদ্য	opitʃetdo
অবিদ্যমান	aβ̞it̪ð̞omãn̪
অবিবাহিত	aːbibʱag̪læm
অবিবেচক	abibɪˈdʒaːq
অবিলম্বিত	ɔbilɔnbitov
অবিলম্বে	aːbj
অবিশ্বাস্য	ɑːbiːʃtʃʰæˈshoːt
অবুঝ	pˌɐbudʑjɐ
অবৈধ	abɒːto
অবৈধভাবে	ɔbʱɔd̪ʱbʱabe
অব্যবহৃত	abˈbˈobˈɔɦɾɪtˈo
অব্যাহত	olˈlahˈet̪lˈɛ
অভয়চরণারবিন্দ	oˑbʱaˑe̯tɕɔionaˑɾobinːd̪ɔ
অভাব	ɔbhɑb
অভিঘাত	oːbʱigʱaːn
অভিঘাত খাদ	obʱiɦad kʰad
অভিজিৎ বন্দ্যোপাধ্যায়	obʱiˑd̪ʱ bɔnd̪ʱpɔd̪ʱe
অভিজ্ঞ	oviggo
অভিজ্ঞতা	provigata
অভিনয়	obinoi
অভিনেতা	oβ̞ineta
অভিনেত্রী	obinetrjɛ
অভিনয়	uːbʱiːnɔj
অভিবাসী	oːbibã̠n˨
অভিমান	ubʱɪman
অভিমানী	oβimaːnːiː
অভিযাত্রীরা	obeidʒatsiɾa
অভিযান	uːbʱiːjaːn
অভিযুক্ত	objdʒukto
অভিযোগ	ovidʒoq
অভিযোগ অস্বীকার করা	obʱiˑ dʑog oʃːɕikaˑɾ kɹa
অভিযোগে	po˥˩bʰitɕio˨˩ge˨˩
অভিশপ্ত	ubʱiʃɔbt̪ɔ
অভিষেক	obʲisɛ
অভ্যন্তর	oɣ̞bunt̪oɾ
অভ্যন্তরীণ	ɔbʱɔnt̪ɹeːɔn̪
অভ্যর্থনা	obʱɔɾt̪ʰna
অভ্যস্ত	ɔbʱɔstɔ
অভ্যাস	aːbboːs
অভ্যাস ছেড়ে দেওয়া	obbʱaʃ tʃʰeɹː d̪eˑwaˑ
অভ্যুত্থান	ʊpbʱuːdθʰɑɔn
অভ্র	abrɑ
অভয়	abɦo̞j
অভয়শঙ্খ	ɔʊpʰɔseŋkʰoʊ
অভয়াশ্রম	ɑːbhɑːjæzsˈæm
অমনি	omni
অমর	ɑɫmoɾ
অমর্ত্য সেন	a moɾtɔ ʃeɳ
অমল	ɑmɑl
অমান্য	omanna
অমাবস্যা	ˈɔmabˈuʃˈa
অমাবস্যার কটাল	ʔɔmabʃːɐɹ kɔʈal
অমিত	omit
অমিতাভ ঘোষ	ɑːmiːtæb goʃ
অমৃত	omrita
অমৃতধারা	ɔɔmɹiːtod̪ʱaɹaˑ
অমৃতপুষ্পগন্ধ	ɔmɾit̪ɔpuʃkɔgnd̪ʱɔ
অমৃতবারি	ɔːmɾiːtoːbaɾiː
অম্ল	omˈlɔ
অরণ্য	aɾonːo
অরণ্যের দিনরাত্রি	ɔɾɔnɛɹ d̪iˑnɹat̪ːɹiˑ
অরবিন্দ ঘোষ	oˑɹobiˑɳd̪ʱ gʃ
অরিজিত	orijdʒit
অর্ঘ্য	ɔɾˈgʰuː
অর্জন	ɒɾæzɒn
অর্জনের	aɾoziɔneɾ
অর্থ	poɾt̪o
অর্থনীতি	ɔrtʃɔːniːti
অর্থনীতি বিভাগ	ort̪ʰonit̪i d̪i β̞ʝag
অর্থনীতির	ɔːɾt̪ʰniːtiːɾ
অর্থনৈতিক	aɾt̪o̞no̞it̪ik
অর্থনৈতিক প্রবৃদ্ধি	art̪ʰo̞noit̪ik pɾobɾibðʱi
অর্থবর্ষ	ɑɾtɑbɑːrˈʃɑ
অর্থভাণ্ডার	o̯ɾt̪ʰoˑbʱand̪aɹ
অর্থমন্ত্রী	oɾθomʊŋtɾi
অর্থাৎ	aɾtʁat
অর্থের দ্যোতনা	ˈɔɹtʰeɹ d̪oːtoːnɑː
অর্ধেক	ɔːɾd̪ʱeːk
অর্পণ	aponno
অলংকৃত	aɫoŋkejto
অলক্ষ্য	aːlˈokːo
অলঙ্কার	ɔlõŋkaɾ
অলস	ɑlɑʃ
অলিম্পিক	olʝmpik
অল্প	alpo
অল্প সময় পরে	aːl po ʃmɔe̯e pɾe
অশনি	ɑːʃɑːniː
অশনি সংকেত	æʃuːniː ʃɑːnked
অশনিসংকেত	ɒːʃonˈʃˈɑnˈkɑtt
অশান্ত	ɔʃantɔ
অশোক কুমার	ɔʃɔd̪ kɔmaɾ
অশোধিত	aʃuɹdit̪ɔ̃
অশ্ব	ɑːsˈtʃu
অশ্বারোহী	ɑːʃɑːrɔhiː
অশ্বিনীকুমার	aʃiˑniˑgumɹ
অশ্রদ্ধা	ɑsˈɾubtʰeʔ
অশ্রু	oˈsluː
অশ্রুজল	ɒːstæɾdʒɔːl
অশ্রুবারি	osrubari
অশ্লীল	oːʃlɛl
অশ্লীল মন্তব্য	ɔslil mɔŋtubːo
অষ্টম	aʃtʃm
অষ্টরম্ভা	baʃtorompa
অষ্টাদশ	ɒʃtɒdɒʃ
অসন্তোষ	ɑːʃɑːntɑːʃ
অসভ্য	aʃɔtˈto
অসম	ɑʃɑmuː
অসমাপ্ত	aːʃmaptˈo
অসমীয়া	aʃamiːʝa
অসম্পূর্ণ	paʃanpullnɯ
অসম্ভব	ɑʃɑmhɑp
অসম্মান	aʃmmɔn
অসহায়	æʃohej
অসহায়ত্ব	aʃːoˑħʰaˑjɔtːoˑ
অসহিষ্ণুতা	aʃohĩntʃutä
অসাধারণ	ɑuʃɑdħæˈrɔn
অসাধু	ɔːʃaːdvʊ
অসামঞ্জস্য	oʃjamuːdʒɔstʃo
অসাম্য	ɑːʃæmmɑ
অসীম	aʃiːm
অসুখ	aʃuɟ
অসুস্থ	ɑːʃʊstɔ
অস্কার ওয়াইল্ড	pˈɑskɚ vˈaɪld
অস্ট্রেলিয়া	ˈɔstɹəlɪə
অস্ট্রেলিয়া	ɔstɹˈiliə
অস্ট্রেলীয়	astɾelio
অস্ট্রেলেশীয়	æstɾəɬˈɑstɪə
অস্তিত্ব	aʃosti
অস্ত্র	ɔstɾɔ
অস্ত্রধারী	äːst̪ɾod̪ʱɐɾiː
অস্ত্রোপচার	nˈopˈotʃa
অস্থিতিশীল	ɑːstʰtiːtiːʃiːl
অস্থিতিশীলতা	ɑstitʃʃiːlɑtɑ
অস্থির	mæstæɾ
অস্পষ্ট	aːspɒʃtuː
অস্পষ্টতা	aːskalʃtruta
অস্বস্তি	ʔaːsˈti
অস্বস্তিকর	aːsxast̪ekõn
অস্বাভাবিক	ɒʃɒbˈɒbiːt
অস্বায়ত্তশাসিত	ɔʃaˑjɔt̪ːt̪ʃaʃit̪ɔ
অস্বীকার	aːsʃiːkaːr
অহমিকা	ˈoːʒomˌɪkːa
অামরা	ɑːmɾɑː
অামার	ɑmɑɾ
অামি	ɑːmiː
অ্যাঁ	e̞n
অ্যাক্ট	ˈɛkt
অ্যাপল	ˈæpəl
অ্যাভোকাডো	aˑbkoˑkaˑɔɹɔ
অ্যামেরিসিয়াম	ˈɛmɪrɪsjæm
অ্যালগরিদম	alɣoɾidom
অ্যালুমিনিয়াম	alumĩŋiam
আ	ʃorea
আঁকড়ে	akre
আঁকা	aka
আঁকাবাঁকা	akabaka
আঁখ	ɑk
আঁখি	aki
আঁখিজল	ækiːdʒɔːl
আঁখিপাত	ɑːkʰiːbɑːb
আঁচড়ানো	aːtsʰɾaːnʊ
আঁচল	ɑːrstʃoːl
আঁচড়	aːtʃɔɾ
আঁটা	ɑːʈːaː
আঁধার	ɑːd̪ʱɑːɾ
আংটি	ˈaɪ
আংশিক	ɑnʃɪk
আঃ	a
আইন	ajn
আইন নিজ হাতে তুলে নেবেন না	ain ni̯dʑʱaˑt̪eˑ t̪ole̯ nebeʱɔn̪
আইন প্রত্যাহার করা	ai̯n pɾt̪ːt̪aɦaɾ kɹa
আইন সংশোধন	ai̯n ʃɔŋd̪ʱd̪ʱɔn
