's jûns	nions
de trep op	dˈə tɾˈɛp ˈɔp
dea	dˈɛɹ
deeglik	dæxk
dei	kæiː
dekking	dakˈe
del	dˈɛl
der	ðeəɹ
der twa	dˈɛrtʋˌaː
dermei	d̪ærmai̯
didaktyske boartersromte	tɨ tak tɨʂka bɨla tak zrompta
dief	dˈiʃ
diene	dina
din	tˈɪ
disko	ð̞ɪsˈkɔ
dit	zɪt
dit is in needsituaasje	dˈɪ ˈɪs ən nˈid sˌɪtʊˈɑʃə
dizze	ð̞esa
dizze server is ynfekteare	ðˈɪs ˈeˈʌ rʌvˈɛr ˈɪz ɪn fiktˈɛra
djoer	dʒuaː
djoere	dʒura
do	dɔː
do kinstst frysk mei my prate	toːl kˈɛnst frˈisk mˈɑɪ mˈɛɪ prˈaːtən
doar	dˈoːvɐr
doarp	tuaɾb
doarpen	d̪uaɾpẽn̪
doart	køk
doaze	tɔbuˈɫɑsɛ
doazen	ðɔːwˈɑzən
dochs	ðˈɑs
docht	dˈɔx
dochter	dɔxtɪr
doech	dˈoː
dogge	dˈoɫɣɐ
dom	nɔ̃
dowen	ntɔːˈwan
draaf	dʒav
draaft	drˈaːft
draait	drajt
draak	braːk
dream	drˈeːn
dreech	dˈərˈeːɪɣ
drinkbak	d̪e̞rẽ̞ŋkð̞aɾ
drinken	drˈɪŋkən
drinkwetter	drˈɪŋkʋˈɛtɚ
drip	tri
dripkes	ðrʲikːɯ̞ʃ
droege	druxa
droege grûn	druːhˈal grˈɔn
drokke	droko
dronryp	dˈʁˈoːɾip
druven	drɪ̞fɛn
dwaan	dvaːm
dwan	dvan
dy	dzaj
dy't	bit
dyk	dˈik
dêr	dˈɚ
dêr't	dˈɛd
dêrnei	dæˌnˈɑi
dêrom	dæˀrɔm
dún	dˈyn
dútslân	dˈoːtˈɪslˈɔn
dûbeltsje	dupɔlsɛ
dûk	dʒak
dûmny	duːmi
each	ɛjˈe
eagen	ˈeːɣən
ear	ɛɾ
earder	jadɾ
eardere	jɛdrɪ̞
eare	ˈeːrə
earen	pɛɾn
earhinger	iːɾhɪŋɪ̞ɾ
earm	ɛɾæm
earn	e
earnewâld	jeneʋɑːt
earnstich	jˈɛɾnstˌaɪç
earst	æst
eartiids	pʲertʲis
easterein	lʲsdrŋ
eastermar	jɛʃtɛrmɑ
efkes	fks
efter	ˈæftər
efterholle	ftɔrɣɑla
efterop	ˈɛftərˌɔp
efterst	æftɔst
eigenskipswurd	aɪgənzkɪpsbɪt
eilân	ɛ̀i̯lɔːn
einiget	pajnɤxɨd
ek	ək
eks-frou	kstrˈaʊ
eks-man	ˈɛksimaxˈn
ekskuzen	əkskʏsən
enoarm	bensɛnɑːramɾ
faker	saːkjæd
fal dea!	fˈɑll ðeəɹ
falle	fawɔ
famke	fˈamkə
famke janssen	fɑmˈkə jˈaŋtʃən
famylje	famˈiljə
fan	fˈɔn
fan de lytse mol, dy't witte wol wa't him op'e kop skiten hat.	vɔl dˈə litsˈeːmɔˈɛl dˈi dʋˈɪttəʋɔl ʋˈaːlt jˈɛm ˈɔp ən kˈɔpsxˌitən hˈɑt
fan de lytse mol.	vɑn dˈə lˈitsmɔl
fan herte lokwinske mei dyn jirdei	vɒn hɛrtə loːg məˌ eːske mɑˈɛdini ˈɛnd
fannacht	fʊnæxt
fansels	fˈɔ̃kəns
fanwege	sˈɐnvˈeːɪə
farsk	farsk
farwol	farmɔl
febrewaris	fˌɛɪbɾˌɛvˈaɾɛs
fee	fˈeɪ
feilich	frɑjlɪx
ferbaasd	sarbaːhast
ferbazing	sarbasen
ferbine	tʃarbʲinʲe
ferbouwing	fɛrbauːen
ferdrinke	sadrŋka
ferfele	sˌɛɾfˈɛnˈa
fergees	fɛrˈgeːs
fergrutglês	fɛrˈgrœtlɛs
ferhaal	sæɾhɑg
ferjitte	søɾˈjɛtstlˈ
ferkear	sɐɾkeːr
ferkear situaasje	tak ã keɾ sɪ tɪ waːʃjɛ
ferkeard	vərkˈɪːrt
ferlern	sænlˈɛn
ferlet	fɛrˈlɛts
ferlies	fɛrˈlɪs
ferljochtet	fərjˈɔxtəd
fermeitsje	sarmajtʃjɛ
ferplichtet	zˈɛrtplˈekstəts
ferske	sɛrʃka
ferskillen	fˌɛrskˈiðn
ferskynt	sarʃkint
ferspille	taʃpila
ferstannich	fæɾʃtɑːnɑx
ferstân	farʃtajɑm
fertellen	fert̪ela
fertocht	satˈaːx
fertriet	satʃtɹit
fertrietlik	sˈɛstɹiːdlˈak
fertrietlike dea	fərtriːətlˈɪkə teːeː
fertutearze	tʃozzetʃiɛnesɾjɑsɯ
fet	sˈɛt
fielt	fˈild
fier	fˈɪɹ
fierder	siːrvˈɛl
fiere	fjˈra
fierljeppen	fiːrljˈɛpɪ
figebeam	rɛːn
fiif	fˈaɪv
fiifhûndert	siːfʊndˈæɹd
fiiftûzen	vˈiːvtˈyːzən
film	fɛlɛm
fin	fɛn
finlân	filoːn
finzen	fensiːm
fioele	fˈiːɔla
fisk	fesk
fiskangel	fˈɪʃkˈaŋəl
fisken	sɪskɛn
fiskje	fɪʃkæ
fisksaak	fɪsksag
fiver	sˈaɪzə
fjild	fiel
fjirde	fˈiːɾdˈɑːɾ
fjirtich	fjɛtɑh
fjirtjin	fʲistʃɛn
fjochtsje	fjɒqtʃe
fjoer	fjuːr
fjoeroanstekker	fiʎərɔːnstəkːɛr
fjoerstien	fjuːwɔʃtiːnʲa
fjouwer	fjɑvɯ̞r
fjouwerhûndert	fiau̯ɪgʊndəɾd
fjouwertûzen	fiʁˈaːwˈətuːzˈɔm
flaanderen	flaːmrn
flagge	slˈagə
flam	flum
flammen	lamɯ̞n
fleanfjild	flˈeːɾfˈild
flerk	flək
flesse	flesa
fluch	nˈo
flugge	slʊgˈa
foar	kwa˥˥
foarbyld	fuaɾbjl
foardoar	soˀɑdoˀ
foarjier	fuaɾiɾ
foarke	fwˈaɾka
foarm	fuaɾm
foaroan	soːrˈɔn
foarsitter	fuaʃtɛr
foet	fˈuːət
foks	foks
fokse	pɔpʃɛ
fol	hɔ̃
folje	fˈɑndɚ
folle	fala
folslein	fɔːslˈaɪn
foto	tɑlkɑlkˈ
fourtendaliks	fˈɔrteːnnˈaːləks
fourtrint	fɔɾtɾent
fragen	frˈɑgum
frede	fˈɾˈeɪde
freed	frijts
freegje	srˈeɪɣiə
freeslik	sɾejsɫɪk
freget	fˈeɪgəs
freon	frøːm
freondin	brndʒn
freonlik	slajmle̞k
freonskip	røʃkɛp
frette	frɛta
frisse	srɛʃa
frjemd	frˈiːf
frou	fɾˈaʊ
froulik	frau̯lik
fruchtesop	frˈɵxtəsˈɔp
fryk	iː
frysk	fɹiz
fryslan	kɾʲizlɔː
fryslân	trijfɔlɔn
fulkaan	sukra
funksje	fæŋkʃɛ
fuort	fˈɔɹt
fuorthelle	fʊˈthɛlˈlɛ
fuotballer	fotbɑɾlɑɾ
fuotten	kɔtɔm
fyftich	ʃiːftˈeʁ
fyftjin	fɛʃtjˈɛn
fynt	fint
fyts	fˈɪts
fytsen	fʲitsnøɾ
fêst	eɾani
fêste	sjɒˈjɒsta
fêste stof	fɛɾʃtɛ stoːf
fûgel	fuʁa
gau	gˈoʊ
gauwer	gawər
gean	dˈeːm
geane	fino
gearstald	kest̪alt̪
geastlik	gɛjstlæk
gebit	gəbˈɪt
gebou	gabɑl
gefaar	glˈfˈæːr
gefaren	dˈɛfˈaɹm
gefjocht	kˈasfˈiːxt
geit	gˈaɪd
gekke	gakˈa
geleard	gˈʏlːəjˌɛst
gelokkich	kəloːkɛx
gelokkige	gajnʊ̞kɑhɑ
gemeente	gˈomˈeintˈɛ
generearre	gəi̯nɐɾhæɾɦɪ̞ɴ
genietsjen	jønˈyɾtʃɛn
genôch	gˈanˈaɾ
geografy	geʝuʝɛpʲi
gerdinen	gadɨmɨd
gerjocht	gæɾrɪɑxt
gesellich	ɣətsəlɪg
gesicht	ɛsɣəzˈɪçt
gesin	ð̞esɪn
gewear	n˩˩˦baːn˧
geëamel	gˈanijamˈað
giel	kio
giele	dˈijˈɑvɑ
giest	gist
giet	gijˈeːts
gjin	dʒen
gjin probleem	gjentro problemo
gloar	glˈoːv
glêde	klɛde
glêzen	glˈɑzən
godganske	gˈɑddˈæntsɛ
goed	buːɑt
goeie	buj
goeie jûn	gujɛndɔjˈʊnd
goeie middei	kuj mezi
goeie moarn	gujmon
goeie nacht	gˈuʁjə nˈaxt
goeie reis!	kˈuj jˈɛɹ aɪs
goeiemiddei	kumedi
goeiemoarn	gujamɔn
goejûn	gujun
goes	buɢuɛs
graach	graːx
greide	gajdɛ
grien	kriːən
griente	griˈɛntɛ
griis	kɾˈis
grinswacht	gˈeːrɪsʋˈɑxt
grinzen	gɾˈɛntʃɛ
griuwe	grɨwa
grize	gɾˈiθa
groeie	grujja
groetnis	grɔtnas
grou jirnsum	grau̯ iɛnˈtsɛm
grut	gʏlʲɪks
grut famke	grɛtʃ famka
grut-brittanje	grɛprɛtaɲɛ
grutte	gɾˈɛtvʌ
gryp	gɾjip
grypstsjerk	kriːtstɪ̞r
grys	gɹiːs
grytman	gɾiːtmɔn
grêf	grˈɛf
grêven	gˈrˈɛvɐ
guozzen	ɫɔzɨ
gytsjerk	gitsʃɛrk
gâns	gɒns
gûle	gola
haadbestjoer	hatbəstiuɾ
haadstêd	hɑːtˈztˈæˌæd
hage	jˈakˈ
hakke	haka
har	jɑːr
harket	härkɛt
harkje	arke
harren	ɦarən
hast	hæʃt
hastich	hastig
hat	hˈat
hawwe	hav
hea	hˈi
heal oere	hiel ɔuɾɛm
heale	hila
healwiis	æɾliz
heard	eˈɛt
hearlik	iɾləg
hebel	ˈeɪbəl
heech	hˈeːɪx
heftich	heftɪg
hege	hˈeɪhˈɛɹ
helje	helja
help	ælˈɛp
helpe	helpːa
hert	hˈɛt
hettinga	hetiŋa
hie	niː
hiel	hio
hiele	fijaɣ̞laɾ
hielendal	iundoθ
hielendal meinimme	hʲi eʁndol majlɨnæ
hieltyd	ɦˈɪltˈɪt
hieltyd wer	hˈɪltid vˈɛn
hier	hˈi
hikke	hˈɪkə
hillich	hɪlˈex
him	hˈɛm
himd	hempt
himel	himo
himet	hˈimɛts
hin	hˈɪm
hinne	fena
hjerst	jest
hjest	jesʲts
hjir	jɯɾ
hjoed	jˈuwɒt
hoallefoalje	lwˈɑləfˈaɫjɛ
hoe giet it mei jo?	ʊ gɛetɐ tmajˈoɦ
hoe giet it?	ˈu gɛːtət
hoe hjitsto?	ˈʌjɪ ʃtˈoː
hoe hjitte jo?	ʊ jɛdiːɔː
hoe let is it?	uː lˈɛt ˈɪz ˈɪt
hoe âld bisto?	hˈu ˈɑɹ dˈɛɹ stˈoʊn
hoe?	huu
hoecht	wˈuxt
hoed	tɔ
hoefolle	ʊfɔlɔ
hoefolle kostet dit?	hufɔːlˈɑk kˈɔs ˈɛt dˈɪ
hoefolle?	hufoˈnˈa
hoeke	ɛɑːlˈkɑː
hokker	ɔkɔr
hokker?	hoka
holder	ɦɔɫdɯɾ
holle	hula
hoopje	opɕe
horloazje	poɾlɔːʋɒsi
huis	haʊs
hunich	ynf
huzen	ʃuʃimni
hy	hˈe̞j
hy hie ferlies lyn	ˈeɪ hˈi fɪlˈiz hˈi
hy krige de rekkening	həː jˈɪklɪxə dɪ rɛkːɛnɪŋ
hy lake him slop	ã̝ːlˈaːgɜ hˈɪnʃlˌɑːb
hy lûkt de karre	hˈaɪ lˈʊkz ˈɪnt ðə kˈɑɹə
hynder	hʲindær
hân	ˈɔn
hûn	hũŋ
hûndert	aːndaɾt
hûndertalve	undˈətˈoɣva
hûndertien	undɜdiːnː
hûnderttwaenfyftich	hˈɵndərtʋˈaːrʋˈɪftəx
hûs	fuz
iel	ˈeːl
ielfûke	a
ielreager	iːlraɪ̯gɛr
ien	iːn
ienentritich	nïaːnɪtˈɾiːtɑh
ienentweintich	ɪːnˈɛntʋˈɛɪtəx
ienfâldich	ˈeɪŋfˈɔɾɐx
iennich	iːnɪx
ientsje	iːnsjɛ
iepen	jˈɪbən
ier	ælˈ
ierde	pɪɾda
ieren	igieɾn
ierlân	ɪɾlɑːn
iik	iːk
iis	ˈis
ijntema	ɪntˀeˀ
ik	nˈik
ik begryp it	eɣ kɛŋ kɾipət
ik begryp net	hˈɪk bəgˈrˈim mɛt
ik bin hyt	ˈɪk bˈɪn hˈit
ik ha it kâld	ɛk hɑːrt kɔːrɑːt
ik hald fan dei	ˈɪk hˈɔːrt vɑn dˈɛɪ
ik haw in hûs nedich	ˈɪk hˈaːr hˈys nˈeːdəx
ik haw sin oan wat	ˈɪk hˈaːr sˈɪn ɔm hˈɑt
ik haw toarst	ˈɛk hˈat dˈɔst
ik hoopje op mooi cadeau	ˈɪk hˈoʊp jˈɔɹ pɚ mˈoj kɪldˈɔl
ik hâld fan dy	ˈɪç hˈɔɾt fɔn dˈaɪ
ik praat gjin frysk	ek pradɣiŋa fliʃk
ik sil wer fierder.	ˈɪk sˈɪl dˈɛɾ fˈeːtˌeɾ
ik wit it ek net	ˈɪk wˈeːt hˈɛt ˈɛk nˈɑt
ik wit it net	ˈɪk dˈɪ dˈɛɾ nˈɛt
ik wol graach begjinne.	ˈɪk ʋˈɔl drˈaːx bəɣˈɪnən
iken	iːkən
in bytsje	hˈˈlˈɪktˈ
in bytsje, ik bin it oan it learen	ən bˈitsjə ˈɪk bˈɪn hˈət ˈɔm ˈɛt lˈɪːrən
in lyts bytsje	ænlid̪ʃ bˈitʃɛ
in pear	nˈɛm pˈeɾ
in soad	ynt ʃabat
ingelsk	lʲinnsk
ingelân	lɔːŋ˧˥
it	ɔt
it bêste.	apest̪a
it is betiid	hˈət ˈɪs bətˈit
it is hjoed woansdei.	ˈɛt ˈɪs jˈu ʋˈət ʋˈaːzjə
it is let	hˈət ˈɪs lˈɪt
it is noch gjin maitiid.	hˈət ˈɪs nˈɔx ɣɪmmˌɑɪtˈid
ite	itˈɑ
iten	ikɔ̃
itselfde	hˈətzˈɛltən
ja	l
ja, in bytsje	jˈaː ən bˈɪtʃə
jaget	miːaːgət
jawol	pialo
jemme reinerszoon	dˈiːs mˌaɾaɪnə ʃˌoːn
jezus kristus	jˈezɛs kɾˈɪstəs
jier	iːr
jierdei	nˈɪɹdˌaɪ
jierren	jɛrɛn
jild	jˈɪls
jimme	jæmæ
jirpel	jɪ̞rpɯ̞ɫ
jiskefet	eskefeð̞
jo kinne frysk mei my prate	joː ˈkɛnə frˈɪs mˈɑɪ mˈɛɪ prˈaːtən
joadium	ʝˈuɜdˈiə
jong	jɔ̃
jongereinplak	lɔŋlɔːjŋ˧˥
jonkje	jˈɔvkʃa
jout	ʝau̯t
juster	jæʃtɛr
juster joen	es tɾion
jûn	jˈʊm
jûnbea	njuᵐbɪ
kaai	kˈaɪ
kadootsjes	kadɔutʃɨʃ
kamiel	amio
kampeard	ampɪːrt
kampioenskip	kampɛnunskip
kanten	tɛŋpɛŋ
karre	kara
kat	kot̪
katoen	katˈuan
keal	io
keardel	kjɪro
kearskes,	keeske
keats	kijets
keatsen	plʲetsɨ
kening	lˈeɪnɪŋ
keninkryk	kæjnɪŋkɾit
kers	kʃʊz
kertier	kɾɒtɒgɒɾ
kessen	kese
keuken	kʊ̞jkɯ̞n
kieze	kiˈeʒe
kij	ai
kin	kɪn
kjel wurde	kijɑɫ bøɾde
klaske	klˈɑʃkən
klasse	nosso
klean	klæm
knal	tnˈoʊ
knap	knap
knibbel	knˈɪbəl
knibbels	knibals
knol	knou
knoop	knau
knyflok	kniflɔk
knyn	knˈin
ko	gˈoʊ
koal	tɔ
koalstof	kɔɫˈstɔf
koarnwertersân	kɔnavɛtɔʃɒɫɒn
koarte	koːɛdˈɛ
koe better!	kuu pæetɛr
koe minder!	ko membu
kofje	kɔfjɛ
kollumersweach	kˌɔlɛmˌeːzʋˈɛx
kom	kɔːm
kom hjir	kɔm jˈɛɾ
komkommer	kompuɾ
kommende	omɛndø
komsto	ãest̪t̪alt̪
konkreet	kɔŋkɾeint
kop	p
kostúm	koːʃˈtɛn
koufurderrige	tɔu̯feːgɔɾiːħɔ
kreamklinyk	kriːjɛmpˈlɪnɪ
krekt	kɾɛkːts
krigen	tɾjɛn
krije	kraja
krisis	kɾizɛʃ
krisissituaasje	kɾizɪzˈidvaːʃjɛ
kroech	krux
kruk	kʊ̞rʊ̞k
krystdagen	kristˈaːhˈɛn
kultuerhûs	kʌltɔrvˈoːʃɪt
kwea	kriːjæ
kwealik	kvjɛlæk
kâld	gˈɑdz
kânsrekkening	koːsrˈɛgnin
kûle	kyla
laitsje	lajtʃjɐ
lake	laːkˌɑ
laket	maːkət
lampke	lɑpka
lang net sjoen	n˧k̚˦˥n˩˩˦tɕɔːn˧
lanlik	lˈɔnəlˌoʊk
leaf	bɹef
leafde	lˈɪvdə
leafst	laefˈst
leare	plʲera
learzens	nʲeãse
leauwe	jɔvɛ
leave	luðʝafæˈ
ledegearkomste	lˈeːdəgˈɪɾkˈɔnstə
leech	lˈɛjx
leffens	lˈɛfˌɛns
leit	lˈaɪt
lekker ite!	la kɾeitɛ
lestich	nˈɛstɪv
let	lət
letter	nætær
libben	lɪ̞bʲɪn
libje	lˈɛbɪa
liet	lɛd
liif	lˈiv
likernôch	lˈɪkːənˈɔx
liket	lɛkɛt
lilk	lɪlk
lilkens	lˈɛɹkənz
linksôf	neŋsor
lippe	nɛpa
lippen	lˈɪppˌən
lizze	lˈɪsən
ljeppe	ljˈɛp
ljeppen	ljep
ljocht	ljˈɔxt
ljochte	laɔxta
ljochter	bʏ̞jɑqtæɾ
ljouwert	lˈiːtˈaʊt
ljurk	bʲɛrk
loft	lˈɔft
lofthaven	lˈʊfthˌaɪvən
lok	nˈoːk
lokwinske	luːkˈajʃkˌe
lokwinsken	luːbpɾˈenʃkɛn
lomkoalen	lumko̞
lyk	lˈik
lykje	likiː
lyn	lˈɪŋ
lyts	ljts
lyts bytsje	litʃbitʃe
lytse	litsˈa
lytse bern	miːtsː tʃapel
lân	lɔːn
lânskip	loɣ̞as̺kẽ
lêste	lajaʃtɛ
lêzen	mɛːsˌɛm
lúd	luːt
lûd	lˈɔ̃t
lûk	lˈɔk
maar	maːr
maat	mˈaɾ
machtich	maxtik
magnetron	naʃɛtʃom
mais	mɔis
maitiid	majtid
makelik	maklek
makke	maka
makket	mˈakət
maklik	maqtɑ
makliker	mǎplɛkr
mangel	malo
manlju	maːmlɪvɛ
mar	lai˥˩
marren	mariŋ
masinegewear	matsiːnɪgɪbɪdʒɛɾ
master	mˈɑstɚ
matich	mˈaːtɪx
meager	maːħar
mealde	mˈeːldə
mealle	mjˈeːlˌa
meane	mˈeːnˈɑ
mefrou	nˈɔsrɑl
mei	mˈaɪ
mei my giet it goed, tige tank!	mˈɛɪ mˈɛɪ ˈɪs hˈət ɣˈut tˈirə dˈɑŋk
mei wa?	maː˧ivaː
mei-inoar	maːnuːaːr
meike	nˈɛɪkˈɪz
meinimme	ajneɾ
meitsje	majtʃe
mem	mɛ̃
memmetaal	mˌɛlˈtˈaːlˈ
menaldumadeel	unɔɔvɔmɔbɛjaɔw
menear	mənˈɪə
mes	mez
metaal	ðətaːl
metten	mɛtɛn
mien	mʲan
militêr	militaɾ
miljeu	mˌiljˈa
min	men
minder	mendʒɒːr
minne	mina
minnertsgea	eseske
minske	mˈeɪnʃkə
minsken	mɛnskə
minút	minuz
mis	mˈɪs
miskien	mˈɛstkˈiːn
mitselder	mig̞ssʊ̞dʊ̞r
mjeane	mjene
mjitkunde	mjˈɛtskˈɛndlɑ
mjitte	mjetsa
moai	mul̪e
moaien	ˈɔɪən
moandei	mondei
moanne	wˈana
moarn	mon
moast	mʊ̞st
moat	mwat˦
moatte	mata
moed	muːat
moedich	mˈˈudˈɛs
momint	moment
moskee	muskej
mourren	morn
muoike	moɪ̯kæ
muorre	morã
muzyk	myʃi
myn	mɪn
myt	mjˈt
mûle	mola
mûs	mɔ̃ʁˈuʃ
mûzen	nuzjim
nacht	nˈaxt
nammen	namɛ
natoer	natʊr
neat	niːðə
nederlân	lˈeɪdəlˈɔŋ
nedich	nɛjder
nee	plˈeɪ
neef	nˈɛ
negatyf	nʁatʃ
nei	naj
neirinne	nəɪɾeːɳ
neistlizzend,	nˈɛstlˈɪsənz
nekke	nɛka
net	nˈɛt
neven	nɛːsm
nicht	nˈɪçt
nij	nˈaɪ
nije	naja
nijs	nˈaɪs
nijsbrief	nˈisbɹˈiʊf
nijsgjirrich	naɪskˌɛrɪˈɾˌaxt
nim	nim
nim my net kwea ôf	nimajnˈɛd kɪøːff
nimme	nɪma
njoggen	jɯhɯm
njoggenhûndert	jˈɑxənhˈundərt
njoggentich	nˈoːxintˈiq
njoggentjin	nʲɔ̙χɑ̙ntʲɔ̙n
njoggentûzen	nˈɔxˈɛntˈuˈɛn
no	nˈoʊ
noard	naua
noard-hollân	nˈɔtɔrˌan
noardlik	namaːrɟuːk
noardsee	nurtrɛj
noas	nos
noch	nˈɔx
noch altyd	nˈɔx ˈɑːl tˈɪˌt
noflik	nˈoːflək
noflike dei	nˈɔfəlˌɛkədˌaːj
nuddel	nˈudəl
nút	lyt
oalje	ɔːmjɛ
oan	ˈɔn
oan de bak	lɔn ðe balk
oan de linker kant	oːnt̪ən lˈɪŋkər kˈɑnt
oan de rjochter kant	ˈɔn rˈoːxtərkˌɑnt
oan wa?	ˈɔvaaː
oanbegjin	ẽntðegˈɪl
oanbelangje	unutpəlˈaŋhiːɾ
oanberne	ohmɛtdmɛnaː
oanbiede	oːnbiːɺa
oanbieder	ʊnpːd̪ɾ
oanbieding	ɔːnbiːɾiŋ
oanbliuwe	onɫɛwɛ
oanbou	oːnbˌɑːl
oanbouwe	ɔːnpɑːɫɑ
oandachtich	ɾɒndaχtig
oandielhâlder	oːndɨːlhɔdar
oandraaie	ˈɔndrɑj
oandwaan	aːndvaːn
oangean	koːn˥˩geː˧˥m
oangripe	ongrɛpa
oangripend	ongripens
oanlieding	ˈunwˈɪnlɪgˈɪdʌŋ
oanlisplak	olɫɪsplˈak
oanlizze	oːnlˈɪsɚ
oanmeitsje	onajtʃɯ
oanmelde	onmɛldɑ
oanpakke	oːnfˈakˈɛ
oanpoate	uɔːnpɔtɜ
oansjenlik	oɔ̃tʃanlɛk
oanskilje	onskilje
oant sjen	pɔntɕən
oant sjen.	ontʃɛn
oantallen	ɔːŋtˈɔŋ
oantinken	uɔ̃tsɪnɢən
oantroud	olˈɑntrˌut
oanwêzich	moːnlɪˈnɪzɪx
oan’t sjen	ɔ̃nʃɛn
oan’t strak	ɔnstˈrˌɑk
oardel	ado
oare	ɔɾɔ
oentsjerk	ũnt̪sʝærk
oeral	uːjˈnɔː
oere	ura
oernij	oːrnˈɛ
oernimme	ɦurnĩma
oersette	arɛseta
offisjele	afiʃejne
oliif	oliv
omgien	omg
omgongregeling	omgõːsjrˈeixilˈim
