114	θentodetsekvaro
attingibile	ətiŋˈgɪiːbɪlɪ̞
attitude	atːitʊtˈe
attraction	at̪ɾakkioŋ
attractive	atraktsive
attraher	atraʒe
attrappar	atɾɐpˈaɹ
audi	au̯di
audientia	al̪d̪ĩŋkia
audiophono	pobriasthˈno
audir	au̯de̞
audira	aud̪iɾa
audirea	elð̞iɾeɾ
audita	audita
audite	audite
auditorio	aʊditorio
audiva	aud̪iɣ̞a
augmentar	auð̞mẽn̪t̪aɾ
augusta	au̯gusta
augusto	alɣ̞usto
aurate	aorate
aure	auɾ
auricular	auɾikulaɾ
auriculares	auɾjkulaɾes
auro	aoː
auster	au̯st̪eɾ
austeritate	aosteɾitˈaːte
austral	ekt̪�i
australia	au̯st̪ɾlia
austria	austria
austriac	au̯striːak
austriaco	aʊstriako
austro	auɾtɾo
authenticar	au̯t̪ent̪ikaɾ
authentication	aut̪nt̪ikaakkiõn̪
autismo	autismo
autista	auːtista
autistic	au̯t̪ɪstɪk
autobus	au̯t̪oβ̞us
autocratia	au̯t̪okat̪ia
automatic	automatif
automobile	automobile
autor	au̯t̪oɾ
autores	autɔɾɛs
autorisation	autorisatsiˈon
autoritate	aʊtɔritate
autostrata	autostrata
autumno	autumnʊ
auxiliar	au̯ksilijɑɾ
avantage	avantadʒe
avantagiose	avantadʒoɾse
avante	aβ̞ãn̪t̪e
avantia	avantsia
avantiar	aβ̞anθjaɾ
avar	aβ̞ãŋ
avaritia	aβ̞aɾikia
ave	a
avellana	ɑðəlɑnɑm
aventura	aventura
averter	aˈvɛrteɾ
avion	avˈioːn
axilla	aksˈjˈlˈa
azerbaijan	azɛɾbajdʒan
b	d̪e
baba	bˈɑːbˈɑ
babel	β̞aβ̞el
babordo	bordo
babuino	abuino
babylon	babiʝom
baca	daka
baccalaureato	bakalaːriatˤo
baccalaureo	kalaβ̞ɾeu
bacchanal	β̞akkanal
bacchanalia	akkanalia
bacchante	akːante
bacterio	baktɛrjɔ
bacteriologia	bakteriɔlɔgia
baculo	baːkulu
bagage	baˈgˈagˈə
bagatella	bˈˈagˈaːtˈella
bahamas	bħamas
bahrain	baxrʁajn
baia	paialespaia
balalaika	palaɫajka
balancia	balnkia
balanciar	bælɑːnsiːjɑːr
balena	balenːa
balla	a
ballerina	valleˈrɪna
ballistica	ballistika
ballon	baloːn
balneari	balneari
baltic	baltsʃik
banal	bãnˈaʊl
banalitate	banalit̪at̪e
banana	banana
banca	d̪anka
banchero	bankero
banco	danko
banda	vanda
banda de gaza	baŋda de gasa
bandiera	β̞ãn̪d̪ieɾa
bandito	bald̪ito
bangladesh	baŋɫadɛʃ
baniar	baːnjaːr
baniar se	banjaɾsɪ
banio	avanjo
baptisar	baptizar
baptismo	baptizmʊ
bar	bˈaɾ
barba	barba
barbados	baɾβaðos
barbarismo	barbarizmo
barbaro	barbaro
barbero	baɾbeɾo
barca	barka
barcarola	bˌaɾkaɾˈolˈa
barium	barjum
barometro	barometro
barra	bara
barraca	bæɾˈɑːkæ
barrica	bɾika
barriera	barriara
basar	bazaːr
basco	vasko
bascula	vatskɯla
bascular	ð̞askulaɾ
base	baze
basiar	bazjaɾ
basic	bɑːsɪk
basificar	basifikaɾ
basio	bˈɐ̃zˈɨʊ
bassa	bassa
bassar	bæsˈɑːr
basse	basse
bassessa	vˈassˈɛssˈa
bassetto	vasseto
bassino	destino
bassista	bˈasˈsˈɪztˈɑ
basso	basso
basta	basta
bastante	bæstæntæ
bastantia	dastelsja
bastar	bastˈaɾ
bastimento	bastimento
bastir	bastˈir
baston	aston
batave	batav
batavo	batavo
battalia	zatˈaːliːa
battente	batente
batter	bãt̪eɾ
batter moneta	kvat˦er mˈonˈigata
batter se	la tɛeɾsɛ
batteria	bˌɐtːɛɾˈia
bava	bava
bavar	bavar
beate	beate
beatitude	biatletu
becco	bˈɛkːo
becco de gas	beːkkol dˈə gˈas
beduin	bedwˈin
beige	beˈlˈɛʒˈɑ
belarus	bˌɛlaɾˈuʃ
belga	belˈgˈaː
belgica	bɛlɣ̞ika
belgrad	elgɾad
belize	belize
belladona	bˈɛlladˈona
belle	bele
bellemente	be̞llɛnæntæ
bellicismo	bellitsismo
belligerente	beˈlˈligrˈente
belligerentia	beˈlˈligueˈrˌentseˈa
bellissime	beʎˈissime
bello	beˈlˈo
beltate	bəlt̪ʰaːt̪t̪e
ben que	ben ke
benedicer	beneditser
benedicite	eneðitsite
benedicte	berɛdɪkte
benedictino	benediktino
benediction	b̞ẽn̪et̪ikkiõn̪
benedicto	benediktɔ
benefacer	benefatser
benefactor	benefaktor
benefactrice	benifaktritse
beneficentia	benɛfitsientsi̯a
beneficiar	benefitsiar
beneficio	benevitsio
beneficios	benefitsius
benevole	benejebɒlɒ
benevolentia	ðenevolɛntsia
benigne	benignɛ
benignitate	benignitate
benin	benin
benvenita	benvenita
benvenite	benvˈˈniːtə
benzene	benzene
benzenee	benˈzɪnɯː
benzenic	benzenik
benzina	benzɪna
berbere	berberɛ
bergamota	berˈamɔtˈa
berillos	brilˈos
berkelium	berkelion
beryllium	ðeɾɾiliu
besoniar	besˌoɲaɾ
besonio	beˈzɔnjo
bestia	bestja
bestial	bestjˈaːl
betablocator	bet̪ablokator
beton	bet̪on
bhutan	bʁutˈan
biauricular	bʲiau̯rikulaɾ
biber	ðɪdɛr
biberage	biberaʒe
biberon	bibʲeron
bibitor	bibitor
bibliographia	bibliografˈia
bibliographo	bibjljˈogɾafʊ
bibliomaniaco	piːblioːmmaːniːjɑkoː
bibliomantia	bipliomantja
bibliotheca	biblioteka
bibliothecario	bibliotekario
bicolor	bʲikɔlɔr
bicultural	bikult̪uɾal
bicyclar	bitikɫar
bicycletta	bitsikleta
bicyclo	bitseklɔ
bidimensionalitate	bidimezsionalitat̪e
bidirectional	bidiːrɛkˈtɪˈoːnaːv
bielorussia	bˌeloɾˈusja
billet	beˈlˈeˈt
billiardo	biljˈardo
billion	biliˈan
binoculo	binoːkulu
biogenesis	bjɔɣ̞ɛnɛsis
biologia	bjoloɣ̞ɛa
biologia molecular	bjoloɣ̞ia molekulaɾ
biosynthesis	biosintesis
bira	bira
birmania	gɪrmaɲːa
biscuiteria	biskviteria
bismuth	bɪsmɔt
bivac	bɪvak
blanc	blank
blasmar	glasˈmaɾ
blasmo	blasmʊ
blasphemar	blasfeɾmaɾ
blau	blau
blocada	blokaːda
blocage	blokˈatʃe
blocar	blokaˈr
bloco	blɔkɔ
bobinar	bobinaɾ
bohrium	borjum
bolivia	bolivia
bomba	bomba
bombar	bomβ̞aɾ
bon	bon
bon die	bon dˈiə
bon die!	bon ð̞je
bon matino	bon matino
bordo	bordo
boreal	boreal
boro	boro
bosco	bɔskɔ
bosniac	bɔsnɪjak
bosniaco	bosnijɑkɔ
botanica	bɔtɑnika
boteca	boteka
botswana	bɔtsɔaɲa
botta	botːa
bottilia	βotilia
bouquet	bokej
bove	bove
bracio	bratsio
branca	banka
brasil	bɹɐzˈil
brasilian	braθiliˈan
brasiliano	braziliano
brassica	brasˈsika
bravada	bravada
bravar	bravaɾ
brave	brave
bravo	bravo
bravura	bravura
breve	brɛve
brevete	brɛvɛte
breviario	briːjəbiˈɑːɾiːuː
brevitate	brɛvitatˈe
bric-à-brac	bˈɾikabˈaɪ̯s
bricca	bɾika
brillantia	bɾilˈanθja
brillar	bˈɾˈjˈlˈaɾ
briquette	bˈikˈtˈ
brochure	bˈɾˈɒˈʃiɾ
bromo	broma
brossa	brosa
brossar	brosaɾ
brun	bˈɾˈʌn
brunei	brˈuːnəj
brutal	brutˈal
bucca	bukːa
buclar	buklaɾ
bulbo	bolbo
bulgare	bulgare
bulgaria	bɔlgaria
bulgaro	bʊlgɑːrɔː
bullir	bolˈi
bureau	vˈʁɒ
bureaucratia	bʊrɔkˈrɑtia
burkina faso	burkina faso
burundi	burundi
button	bot̪õn̪
butyro	dɔtiro
c	sɛj
cabana	kɑbanɑ
cabaret	kaβ̞aɾe
cabestan	kapɛstɑn
cabina	sˈtˈabɪnˈɛ
cabinetto	kabinetːo
cablar	kɑblɑɾ
cablo	kablo
cacar	kakaaɾ
cachalote	kɐʃɐɫˈɔtɛ
cacophone	kakofone
cacophonia	kɑkɔfˌɔnˈiːɑ
cacto	kaktɔ
cadavere	kadavere
cade	kante
cadentia	kad̪ẽntsia
cader	ad̪eɾ
cadita	kad̪it̪a
cadmium	katmiu
caduc	aduk
cafeteria	kapet̪eria
caffe	kafe
caffeiero	kapheiero
caffeina	kafeĩŋa
café	kafe
calamo	gɑɫˈlɑmu
calcar	kalˈkˈar
calcea	kalθia
calceones	kalθeones
calcetta	kaltsetːa
calcium	kalt̪s̺iõ̞n
calco	kalko
calculabile	kɑlkwɫɑbʲeɫɛ
calculabilitate	kalirkulabilitat̪e
calcular	kɑlkwlar
calculation	kalfqulatsijon
calculator	kɑlkjulat̪oɾ
calculo	kalcolo
caldario	kaldario
calde	kalˈdˈe
caldera	kaltera
caldiera	kalˈtˈieˈɾa
caledonia	katedonja
caledonian	kalˈedonˈian
caledoniano	kaledoniano
calefacer	kalesatʃe
calefaciente	kalefatsiente
calefaction	kalɛfaktsiɔn
calefactor	kalɛfaktɔr
calendario	kalendario
calepina	kalɛpˈina
caler	kaleːr
calfatar	kalfãt̪aɾ
calibrar	kalibraɾ
calide	kaljde
californium	kalɪfˈorniˈum
calligraphia	kaligrˈafia
calma	kalma
calmar	kælmɑːr
calme	kalme
calor	ɣkoloɾ
calvinismo	galvjnismu
calvitia	kdalviːtsia
cambiar	kanβ̞iaɾ
cambiar moneta	kãmbjaɾ moneta
cambio	nabio
cambodgia	kamboxa
camera	kameɾa
camerun	kameron
camino	kamˈiːno
camion	kamjon
camisa	kamisa
cammina	kanmina
cammino	kamino
campana	kampana
campania	kampania
campar	kɐ̃ŋtˈaɹ
campo	ampɔ
campo de battalia	kamˈpɔ dˈə batˈalia
can	kam
canada	kɑnad
canal	kanal
candela	kãn̪d̪eʝa
canna	kanna
cantar	kantau
cantion	kanθjon
canto	kanto
capace	kapatʃe
capacitate	kapatsitate
capello	kapˈɛllo
caper	kapɛ
capillo	kapiʎo
capital	kapitˈale
capitano	kapjtaːno
capite	kapite
cappella	kapˈɛlla
cappello	kapˈelˈnˈɔ
capra	dapra
captivo	kaptivo
captura	kaptuɾa
capturar	kapːtˈorˈaɾ
car	kaːr
caraca	kaɾaka
carbohydrato	karbohˈydratˈo
carbohydratos	karbohedratos
carbon	dʒaɾvon
cardiac	kaɾðiak
cardiaco	kalˈdijakˌo
carentia	karɛntsja
carga	kɑrgɑ
cargamento	kargamento
cargar	ka˥˥
carnal	kaɾnal
carne	kaɾne
carosello	arɾosˈɛllo
carpo	kalpo
carretta	karɾet̪a
carro	karro
carta	karta
carta de credito	kaˈrta dˈos kɾˈeːdito
cartomantia	kaldomantia
carton	kartˈon
casa	kasa
casaca	asaka
caseo	kasio
caso	kazˈo
cassa	asˈsa
casserola	kasɾuːla
castania	kast̪aɲa
castello	kastˈɛllo
casual	kaswal
cata	kaːta
catalano	katalano
categoria	kategoˈria
catena	katena
cathedral	kat̪eð̞ɾal
catholic	katˈoːl�ək
catoptromantia	katˈopːtrˈɔmantjˈˈa
catto	katʃo
cauchu	kau̯tʃu
cauda	kau̯da
causa	kau̯sa
caute	kaut̪e
cavallero	kavalˈɛro
cavallo	kavaɫo
cave	kaβ̞e
cavo	kavo
cec	tsik
cecar	ksekkaːr
ceco	sɛːkɔ
cedilla	sed̪iʝa
cedro	tsedro
celar	tʃɛlar
celebrante	selɛbrˈante
celebrar	seleβɾaɾ
celebre	tsɛmedɾe
celeritate	seleritate
celeste	tsɛnɛste
celiac	selijak
celibe	se˩˥ːlibe˨˩˦
cella	tsɛla
cellula	tsɛlɔla
celo	tseno
celtic	tseltik
cena	tsjɛnɑ
cento	θɛntɔ
centrifugar	tɕentrɛfʒar
centrifugation	tsɛntrjfugatsiɔn
centrifuge	sent̪rjfʊɣ̞ue
centro	tsentro
cera	tʃera
ceramo	sɛːramɔ
cercar	seɾkaɾ
cerebro	tsɛrebro
cerebrocardiac	tsɛrebrokaɾdijak
cerium	sɛrim
ceromantia	tsiromantia
certe	tʃɛrte
certificato	tsertifikaˈtˈo
certitude	sɛrtɪ̞tʊ̞ɫʊ̞dʊ̞
certo	sertɔ
cervo	tsɛrvɔ
cesium	seɾseɾ
cessar	tʃaʃaɾ
chaco	ʃako
chad	tʃɑːɹ
chaise	ʃˈɛz
chance	fʃantsɨ
chaos	kauːs
chaotic	kaotik
character	karaktɛr
characteres	karakteres
characteristica	karakt̪eɾist̪ika
chassa	ʃasa
chassar	tʃasaɾ
chef	ʃˈɛf
cheque	tʃɛk
chile	ʃile
chimera	timera
chimia	kimia
chimic	kʲimik
china	ʃiːnɑː
chinese	ʃinze
chiromantia	ʃiːrˈomantja
chloro	kloɾa
choc	ʃok
choccar	ʃokˈaɾ
chocolate	ʃɔkɔlatːɛ
christophoro	kristoforo
chromatic	kramatik
chromo	kramɔ
chronologia	kronologia
chronometro	kronometro
ci	sˈi
cicada	sikˈadɐ
cifra	sʲifra
cifrar	sefɾar
cifrate	tsifratːa
cigaretta	t̪siɣ̞aret̪a
cigarro	tsigaro
cilio	tsiljo
cimice	tʃiːʋeˈtʃɛ
cinctura	tsɪngtura
cinema	tsijɛnɨma
cinere	tsiːnør
cinquanta	kĩŋkãn̪t̪a
cinque	sɛnkɫɛ
cinque centos	θˈinkwe θˈɛntos
circa	tsiɾka
circo	tsɛrkɔ
circular	θɪɾkʊlˈɑːɾ
circulation	tsirkˌulatsion
circulo	tsirkulo
circum	tsirkum
circumerrar	θiɾkumeɾaɾ
circumferentia	tsˈɪrkomfərˌɛntsija
circumferer	tsiɾkõŋfeɾeɾ
circumstantia	tsiɾkɔmstantsia
