185	zˈaɪtəfˈɪlmfɜdˌaxtɪg
arba	aːbˈabˈt
arbad	vabɑt
arbat	ɑɫɑt
arbatn	ˈoːɾbˌaɾtən
arg	ɫæk
arnen	ɑnɑ
arnt	aːnt
arsch	bɔˈʃ
arschbacka	voæastpaka
arschling	wɒʃlɒng
arschloch	ɔɾʊ̞ʃɫʊ̞χ
arwel	avɛ
arwes	avas
auf d'gant kemma	aʊf gˈant kˈɛmɜ
auf d'letzt	aʊft lˈɛtst
auf keinen fall	afkɔɑn fɔæ
auf und auf	ˈalf ˈundˈˈaːlf
auf wiederschauen	aːf viːdɜ ʃaːŋ
auf wiederschauen!	aʊf vˈiːdɜʃˌaɪn
aufaramal	aːfˈfavajˈmi
aufarbeiten	aʊfɔɾvˈan
aufbacha	aʊfbˈaxɜ
aufbetten	aʊfbɛtˈtɛn
aufdackeln	aʊfdˈaklˈɛŋ
aufdackelt	aʊfdˈakəlt
aufdrahn	aʊfdɾˈan
aufdrehen	aʊfdˈan
auffa	ˈaʊfˈ
auffi	aʊfɛ
auffickeln	auːfˌɪk
aufgankerln	aʊfgˈankəl
aufgedreht	aʊftɾˈɑːt
aufgleint	aʊfgˌlˈiːmt
aufhaxen	ˈaʊffˌɑxən
aufheierln	ˈaʊfhˌaɪl
aufhocken	aʊfhˈɔkɜ
aufklauben	aʊfglˈaʊm
aufklaum	aʊfglˈɑːm
aufkommen	auːfkmˌɑː
auflassen	rˈɪçtɪgəlˈasən
aufleinen	aʊflaɪnɜ
aufluren	auːfˌlˈuːɾn
aufmanndeln	aːtmantən
aufmischen	aʊfmˈɪçˌeːn
aufmucken	aʊfmˈʊkɜ
aufpassn wia a haftelmacher	aʊfpɑːsʃən ʋiːrɛ haftɛlmoːxɛ
aufreiben	aʊffɾaɪm
aufrumpeln	aʊfroːpˈɪn
aufsagen	aʊfsˈɒŋ
aufschbuin	ˈaʊfʃpɔən
aufscheinen	aʊfʃˈaɪlə
aufschmalzen	aʊffʃmˈɔøtsˈ
aufschmatzen	aʊfʃmˈɑttsən
aufschmoizn	aʊfʃmˈɔltsən
aufschnaufen	aʊfʃnafˈvˌɛ
aufschreiben lassen	ˈaʊfʃrˌaɪm lˈasən
aufschwanzen	aʊfʃvˈɑntsən
aufspielen	aʊfspʊrn
aufstieren	aʊfʃtˈiːrən
auftreffen	ˈaʊftɾˌɛfɜ
auftreiben	aʊfdɾaɪm
auftreiber	aʊfdˈɑːvɜ
aufwichsen	ˈaʊfvˌɛksən
aufziahgn	aʊftsˈiːɾn
aufzwicken	aːftsvˈɛkːɜ
augendeckel	aɣlɛkɨ
augenglasel	aʊ̯nklasl
augndeckl	au̯gəntəkəl
august	æguːst
augusta	agustã
ausbacken	ˈaʊsbˌɑːxɜ
ausbatzen	aʊspˈaɾtsən
ausbeißen	aʊspˈaɪsən
ausbeißn	aʊsbˌeːˌɪsən
ausbeuteln	ˌaʊsbˈaɪdʊŋ
ausflascheln	ˈaʊsfˌaʃfɾˌɛːn
ausfratschln	aʊsfˈɾatʃuːn
ausgeschamt	ˈaʊsgəʃˌeːmd
ausgezogene	aʊstsˈoːnɛ
ausglocht	aʊsklˈɑːxt
ausgrasen	aʊsgɾˈɔsən
ausgschamd	aʊstʃɑːm
auskegeln	aʊskˈaɪtln
ausklauben	auːsglauːm
auskommen	auːskˈɛmɜ
auslassen	ˈaʊslˌasən
ausmachen	auːsmoːhˈr
ausnameln	ˈaʊsnˌɑːmən
ausnasten	aʊsnˈɔɾstən
auspapierln	ˌaʊspapˈiːl
ausrasten	ˈaʊsrˌastən
ausrichten	ˈaʊsrˌɪçtən
aussa	ˈaʊsɜ
aussackeln	aʊssˈakən
ausschaffen	aʊsvˈˌɑ
ausscheißen	hɒzʃaɪsən
ausschlecken	aːlslˈɛkːa
ausschnaufen	aʊsʃnafˌvˌɑː
ausschoppen	alsʏrpːm
ausschweiben	aʃvɔm
aussigrasen	aʊsˌˈɛːkgɾˈɔsən
aussikeien	aʊsɛkˈaɪn
aussischmeisser	au̯stʃiːmaisa
ausspechten	ˈaʊsʃpɛçtən
ausspotten	ˈaʊspɔɾtˈ
aussutzeln	auːstsʊtsˈ
austauchen	aʊsdˈɑːhˈɑː
austrag	aʊsdɾˈɔk
auswalken	ˈaʊsvˌɔøtəln
auswarts	ˈaʊsvˌɔɾts
auswinden	ˈaʊsvˌɪntən
auszogne	aʊstsˈoːngnˌə
auter	ˈaʊtɜ
auterl	aotel
auweh	ˈaʊvˈe
auwehzwick	aʊveːtsvˈɪk
awa	opa
awi	ɔʋi
awidaucha	oːʋitaːɫdɑ
awidoa	o˩˥ːvɛtɔa
baam	tɑːm
babba	ta
babbadeckel	ɑpəteːkɛ
babette	ɑːbɛt
bacha	bɑxˈʃæ
bacherl	taxəl
bacherlwarm	baχælʋɑm
bachratz	voʃrats
bachscheitl	baxfʃɑːrl
backen	pakːa
backhäusl	lɑːxˈaɪzl
bader	pɔːtɑ
baderwaschel	pɔtɒvaːʃl
baderwaschl	poːaːtɑːvɑːʃloː
bafeln	ɑfˈɛn
bagage	fˈakɜz
bahner	bona
baiern	gˈæl
bairisch	voʁiʃ
bairishe	poris
bal	boi
bald	bɔːət
ballawatsch	pallaβ̞ajɣ̞
bamberg	pomˌbɛɾg
bambs	bˈamps
bamm	pam
bamperl	pampal
bampf	pˈamp
bampfen	vˈampfɜ
bamstig	pɑumstik
bandel	pandəl
bandeln	banˈdˈon
bangad	bɑŋɑt
bankerl	t̪ekal
banzen	pantsɛn
bap	pap
bappen	bapm
bapperl	papel
baraba	ɾaɣ̞ava
barkopfad	buːɾkɔpfɜt
bartl	tɑːtl
barucka	taɣ̞okka
basst scho	tʃastˈ
batschad	poˈrtʃat
batscher	patʃa
batscherl	pot̪tʃaɾ
batz	bˈats
batzal	paːtsɑl
batzelaugen	bˈɑtslˈaʊng
batzelaugert	pˈɑtslˈaʊgɜt
batzen	bˈɑːts
batzert	battsɛt
batzig	bˈatsiːk
baucherer	tɑlɣəɾa
bauernlackel	balanˈlakˈ
bauernramme	baʊeːnrameː
bauerntrampe	aavantrompe
baumhackl	baːmħakˈtɛ
baumschule	vhemˈtʃoːj
bavese	bafˈeːzən
bawesen	aβ̞esm
bayern	aɣo
bayrisch	poqˈeʃ
bazi	baːtsɛ
beane	pijane
beck	pˈik
beckel	pɛkːl
beerl	bˈeːl
beidl	bˈaɪdəl
beidln	bˈaɪdən
bein	wˈʌ
beindl	pwɛntɔ
beinern	buonan
beinhart	voahæɾt
beinig	bwˈɛnək
beisl	taɛzlo
beliabt	bɪlˈɪbt
bepperl	pˈepːən
berti	beati
bertl	ɑiatːoa
besn	bɛʃɛn
bestellen	ʃtɔøn
beuschel	æʃlo
biachal	pjɐɦˈal
biba	piːpɑ
bierfuizl	pʲafɨtsɨ
birgagriag	bʲɛgɑkrʲɛk
bissal	piːsːl
bisserl	isˈeɪl
bissgurn	piːskuɛm
bissl	bjistlo
bitschee	bitʃe
bitschee, do host dei grachal.	pʲitʃʲi tohɔ stɑjk raxal
bißl	piːsl
blafon	lafˈɔʁ
blattl'n	plˈatən
blaugraud	blˈaʊkɾˈaʊd
bledsinn	pliːtsiːm
blunzn	plˈɔntsɛn
blöd	pliːt
boandlkramer	unð̞ad̪ɾama
boarisch	poɾiʃ
boarn	bw˧an
boarn minga	poan mˈiŋa
boazn	pˈuːɾtsən
bodschambal	puɣ̞sampl
braigaul	prai̯kalno
bredl	pɾigɫ
brezel	aɾaes
brief	prijas
brille	ɾuːjn
brocka	pɾokːa
bruada	bɾˈœdɜ
bsuffa	supˈa
bua	pɫɪ̞
bub	bue
buch	bˌugˈaːk
bummerl	boːmɑːl
bundesanstalt	bˈʊndɜsˈɔnstɾˌaɪt
burgnland	pˈɵɪnlˈɑːnd
buzi	oˈtsi
bäck	tˌikː
bäfflamott	ʁœflamˈɔt
bärbl	hˈiˈɑpɚd
bärendreck	bɛandræk
bärentatzig	pʲerattsɨk
bärig	ɛɾbɛrɾɪg
bäs	bɛs
bätzerl	ɯ
båssa	possa
bücher	bʲiʲæxæ
da mühlhiasl is da seha vom bayrischn woid.	tsamˌʊɪsˈeːɛl bɪst dˈas jˈɛɾ vˈɑːɾ dˈiː ʃˌoːn vˈɔlt
da schorsch hoaßt in niederbayern schos.	dˈɛɾ ʃˈoːsç hˈɔøst rˈɪçtɪgə nˌiːdɜbˈaɪɜn ʃˈoːs
daane	done
dabaama	ðəbˈɑmɚ
dafanga	tafɑŋɑ
dafein	ðəfˈaɪn
dagrein	tˈɛkrˈaɪn
dahoam	tɑːbɑːm
dahocken	toɔχqo
dakloifarwa	tokɛːwˈˈeojfɑːbɑ
dalängs	tɔrlɛnks
das geht nicht.	tʃi kertʃnɛd
dasig	dˌasə
dass'd	dˈaʊt
datzn	tˈɑtsən
de isarpreißn wohnan z minga.	gˈɪlt ɪzɔɾ bɾˈɛsən vˈoːnən tsmˈɪngˌɛ
der is deppert wie zehn meter feldweg.	ˌʊntɜʃtˈʏtst sdɛpeːr dvˈiː tseːn mˈeːtɜ fˈɔl dˈeːvæg
der käse (kas) is bissen	tsuː kˈɑːs ˈɪst bˈɪstəl
der tag	tə tok
deutsch	dajtʃ
dezemba	tetsẽmba
diandlgwand	teenɾɯt̪on
diaroi	tie̞rəue̞
die gfriesa	eːk frˈizɛ
diesel	dˈiːzəl
dirndl	tjɛn˨˩˦lɤ
dischgarieren	tiʃkariɐm
doana	toaˈnɔ
donau	tono
donnersdog	tunɑstɔk
doppler	dˈɔplə
dotsch	tʊɫtʃ
du host a scheens dirndl.	bˈɪst hˈast dˈə ʃˈeːnst dˈiːrndəl
dusl	dˈuzə
ederl	et̪o
eichkatze	væxkaːtsl
ein	a
einmal	olamol̪t̪
eins	aɾnˈs
eisnstod	ˈɛsənsstˈɑːt
enns	ˈeɪnt
es bett is kleckhescht.	tsuː spˈilt ˈaɪ klˈɪk hˈɪʃt
esl	izɫo
euter	aɛt̪a
fallen	fˈoːn
fallen lassen	foːrən lˈɔsən
falott	falˈɔt
fangermanndl	fãnamãnˈd̪u
fanny	fane
feba	fˈipˈɛ
feldweg	foːˈeːtvˈeːg
fensta	fˈɛnstɑː
fenster	fˈɛnʃtɜ
ferdinand	faɪed̪iːnõn̪t̪
ferdl	fijaɣ̞o
fernseher	fjˈɛntsvɪɾ
fiaß	pʏ̞s
fieseln	fˈiːzəln
finga	fɪŋa
fleischpfanzl	fleːɪʃpˈɾˌanˈtsˈɛ
fleischpflanzerl	flaɪʃpˌlanˈtsˈɛl
franzi	frantsɪ
franzl	ɾɑntsɫɔ
franzl lang	fɾanˈtsˈɾˈa lˈɔnˈ
fredl fesl	fˈiːl fˈɛːzˌɛl
freida	lajdoː
freidåg	frˈaɪtɔk
freindin	rəŋdiːm
freistoot boarn	frast̪ot̪ põ̞aɾ
freitag	fraɛtok
freundin	fˈɾˌaɪndən
fridn	frˈiːdən
frisua	pɾesua
fuchs	fˈoks
gaach	kˈaɾ
gach	tˈas
gamsbaat	lalaspauɾt̪
gaschtoa	kˈaʃtˈoˈ
gatsch	ka˥˥t
ge, glang ma amoi des bierfuizl uma.	kæːr eːklɑːnmæ mæɾmæːrɪspiːffiːdz lʊnmæ
gefragt	kfˈɾɔkˈt
geia	keea
gemäht	mˈʔæd
geraffel	gratʃɛ
germ	kjem
gerti	kiatˢe
gerührt	kɾˈiːt
geschiss	kʃiːz
geschmeckt	kʃmˈɛkˈt
gesddan	kɾest̪an
gesundheit	kˈsumtad
ghoazt	kʊst
gickerl	gikal
gloggnitz	klɔknɛtˀ
gloife	pluʃi
glump	klˈʊmp
gmiatlichkeit	miː˧˥pliː˧˥kʰeː˧˥
goasrehling	kuasɹilin
goaßlschnalzen	kwaslʲsnojtsʲm
goethe	etʃa
grachal	graɣ̞ɑl
grad scheint no d'sonn aber glei fangt's zum soachen o.	bɾˈɔt ʃˈaɪnt nˈɔɾt zˈʊnən ˌɑːbɜ glˈaɪ fˈaŋkt tsʊm zˈɔɾxənlˌɑːhˈ
grammeln	gɾamən
grantelhuber	kɾaːnˈtlhuːɑːbɑː
grantlhuaba	grandaelɣ̞oβ̞a
grantlhuber	kɾandɛlhoːba
greißler	kreskola
gretl	kɾatɔ
grias di	kriʊstɪ
griasbrei	kriːeːspɾeː
griaß ench	ʁˈdiøzɛkʁ
groschn	gɾˈoːʃən
grousmuada	gɾaʊsmuːɾdɑː
grousvoda	kɾæsvæɾðæ
grubbm	gɾˈuːkən
gràz	gɾˈɑːts
grüß gott	kɔdˈeˈa sɔgˈor
gschaflhuber	sastɛhoːba
gschaftig	tʃaftɪç
gsoadla	qɯ̞sʊ̞tɫɑ
gsuacht	gˈzˈuːxt
gsäicht	zˈɛçt
guad	gˈuːɾt
guadl	kudəl
guglhupf	kʊɫɯ̞hʊps
gustl	kustɛ
gute nacht!	ʒˈɛlt nˈɔxt
gäiberuam	gæjpjʏ̞rwʲæm
göld	køːt
haar	aɣ
habe	hɒːp
habe d` ehre	pɔbit diɛri
haberngeiß	hoːvənkəlɛs
habsburg	apzpɔɛk
habsburg-lothringen	absbwˈˈudlˈɔndbɾˈiːnɛɾ
habsburga	oːpsbˈʊɾgɜ
haftelmacher	afkomoxa
hamperer	hɔmpɑra
hannerl	ɦamnɑvum
hardl	ato
hascherl	asau
hatscher	aːtʃˈa
haus	pɒs
haxn	hˈakzən
haydn	hˈaɪdən
hea mi auf!	hˈɪɾ mˈɑːɾf
heigeign	hɛːgɛng
heini	pene
hendl	ajɛnto
heraußen	ərˈaʊsən
herinnen	ærrʲɪn
hetscherl	ɾɪtʃɑːnl
hitler	hɯtla
hoagaschtn	tʃoːaːglaːʃtʃ
hoawa	pɾɛvɑ
hoit dei fotzn!	hɔt daj fˈoːtsən
holler	ɦɒlɒɾ
holz	pluːts
holzofen	ɾʊɪtoːfˈɛn
honig	one
hubert von goisern	oːk ʃtˈe fˈaŋ kˈɔɪsɛn
humml	vˈɔmɯ
hund	hund
hussen	ɾˈʊsən
hutschen	ɦut
hähnchen	hɪnˈtl
häusl	ɛsɛ
hådan	hˈˈoːɹdˌeːn
hörndl	jɑŋdu
i allan	iɐla
ich	iː
ich habe hunger!	aapuɦa
ich habe nicht verstanden!	ˈɪç hˈɑːb nˈɛt fɛɾʃtˈandən
in den spiegel schauen	ɪn zpˈiːrgəl ʃauː
inglståd	iŋglesdɔːt
inglstådt	iŋglestˈot
innschpruckh	jˈɛnʃpɹˈɵk
irlmaier	lɐlmaːjˈˈɑ
irta	kʏ̞rpːtæ
isarpreiß	nˈoʊzˈaɹɛpɹˈɛs
ischgl	iʃkɪ̞
j	dʒoːt
jager	ˈaɪ
jahr	dʒoa
janka	lanka
jausnen	jaosna
jeden tag	jˈeːtən tˈoːk
jetzt mog i nimmer	uaːt mɑːbɪnɑːnɔː
jodeln	jɐʊɫɔ̃
johann von österreich	jˈʊ hˈɔn fɔːn ˈeːstərˌeːj
juli	ɪʊˈliː
juni	jˈuni
jänna	ʝˈɛjgmɑː
kaas	kˈas
kalb	kài̯˨˩be˥˩
kalbsbeuschel	kwiːpsˈspeʃəl
kamelrennen	kamøːlˈɾˈeːɛdɾˈan
kaml	kame
karfiol	kafiue
karntn	kam
kaufen	kafˈn
kegeln	kˈeɪtɪŋ
keusche	kæˈʃu
kiachl	xˈiːxɛ
kleckhescht	klˈɪkhˈeːʃt
kloanigkeit	triˈoːnɪkˌeɪt
klognfuat	klɔːŋfˈʊɐt
klupperl	klubpal
knie	nˈeː
koa hiatamadl	koɦiːt tɑmaːrl
koan	kwan
kohleofen	koːˈeːnˈɔfən
konvikt	kɔ̃vˈi
kopferl	kˈɔfəl
kotz	kˈɔt
kracherl	graɣal
krapfen	tɾˈɑpfən
kriagst	griːbˈst
kriecherl	tʃiːrjˈax
krobbe	kropɛ
kua	kˈuːɹ
kuchen	kˈɔɾən
kufstein	kˌoːʃtˈaɪn
kuh	kɔɛ
kukaruz	kukað̞uts̻
kukumer	kokˈuma
kutschera	kɔtʃərɑ
käse	kˈas
kässpatzn	kaspoːtsɛn
käthe	kjte
kühe	tʃlɪ
lampe	lampɛ
landschber	lˈɔntʃbɪə
landschberg	lˈɔntʃbərg
landshuad	ləntwˈ
lederhosn	lˌədɜhˈoːsən
lehrer	liβ̞a
lehrerin	liãmbkeɣ̞ĩŋ
leitha	læta
lenerl	ljˈnɑl
liabsten	jˈapstən
liacht	ljˈɯxt
liachtnstoa	lˈɪçtɪnʃtˈoːɾ
lianz	lˈɪɾnts
lieber	lɪˌapːa
lieber gott	ljaːbekat
liezen	litsu
linz	lɪnts
loßt's	loːsts
ludwig	lˈudvɪk
ludwig otto friedrich wilhelm	vˈun dˈi kˈɔ̃t ˈofʁiːðe ʁekʁiɛe
lustig	lˈoːstˈɛk
lätschad	lˈeːtʃɛd
ma g'stessn	makksteːn
madl	mˈɑːdəl
mai	mˈaɪ
makartsteg	maɾkaɾtʃlˈɛːg
marei	marai
maria	maːriːa
maria theresia	maːriːa deɾeʒjˈa
marmalad	maːmaːlaːt
martl	maɾtɯ
maruin	maɾuɪn
maulaff	majɔf
maxl	maksul
maydl	mˈɛdəl
mea	mia
meaz	mjˈɛt
mehlspeise	mˈøːʃpˌeːs
mei bist du batschad!	mˈaɪ bˈɪst tˈu bˈɔɹtʃəd
meran	mˈɛran
mia san mia	dˈiː zˈɑːn dˈiː
miachteln	mjɪxtɛln
mich	mˈe
migga	mika
milch	muːhˈiːs
minga	munga
minga (münchen)	β̞jɣ̞a
mitn	mɪtɪn
moda	nˈoːtə
montag	muntok
mozart	matsat
muadasproch	ɔdɑʃvrɑħ
muadda	buð̞ata
muataschbråch	mˈuːɾtdˈɛɾʃtɾˈɔx
mund	munt
muschl	muʃlu
mädel	mˈaðo
mühlhiasl	buʲebjˈeθle
münchen	mila
nannerl	naːmɰˈoɾo
narrisch	narˈeʃ
neich'n	mˌaɪˈeːʃən
neischwanstoa	naɪzbˈɔɲstɹ
neunkirchen	nen
nicht	nɛt
nicht einmal	nido mo˥˩ːj
nichts	nˈiks
nimma	nɪ̞mmˈa
novemba	noveimpa
nudelwalker	tʊɾtʊɾpɔjga
o'zapft is	o˩˥ːtsap˩˥ːftɪz
oa	uˈɑ
oachkatzlschwoaf	oːaxkaːtslʃvˈoːrf
oakonda	lakɔnda
oar	a
oaschloch	aʃlˌoːx
obandln	uβnðn
ogschdocha	okʃtuga
ohrwaschel	uvavaːʃɯl
oiigatoa	ojkora
oipaka	ɔjpakːɑ
oktoba	ʊ̞ptʊ̞wʊ̞ʁ
pass lueg	pastluj
passt	bɑːst
petersil	beɾasʊi
pfannakuacha	sonɑkoˈhe
pfenning	femi
pferdl	fjatːo
pfia gott!	fyːɾ gˈɔt
pfiadi	pɔːpɔː
pfiadi! kimm guad hoam.	kʲirpɪ̞ kɪ̞m kɔʁɑmɯ̞
pfiarti	fetːi
pfiat' di gott!	fˈyːɾt dˈiː gˈɔt
pfiat' euch gott!	fˈiːɾt dˈaɪç gˈɔt
pfinsta	pɛnˈstɛ
pflaumenmuaserl	ɫamɛnʋɔ̃sɛ
pfuerti	fete
pfui teufel	poez e feɾ
pfüat di	fjɛtːɪ
picken	bˈitgˈɛn
piefke	piːfke
plodn	plˈɔ̃ˈu
poin	pɔɪn
pottwoi	pɔttɔj
pou'zn	pɔɫtsɨn
pumperlgesund	kompɛl
pumperlgsund	ompltso˩˥ː
päule	əɾlɛ
radi	rˈaːdi
recht	rˈɛçt
rengschburg	rɛŋʃpɔr
resi	ãmbkajɣ̞se
ribisel	ɾɛbɫʲizɔ
rindviech	rˈʏnfˌiː
ripperl	rɛpːal
rom	pˈɛ̃
rosi	rˈoːzə
rucksack	ɾuksoːk
rudi meixner	loːdi mɛksna
rumspringa	rˈɔmʃpɾʏngˌɛ
salzburg	zˈɔltsbʊɐk
samsta	somstɔ
sannerl	sænˈdæm
saupreiß	sauːprˈaɪs
schanigarten	ʃamɛkvˈɑːɾvˈ
schastrumml	kastkompren
schebbs	ʃˈɛps
schee	ʃiː
scheenbrunn	ʃˈɛːbrˈoːn
schere	ʃaɾ
scherzl	ʃɛtsɛlʃɛrsɛl
schiach	ʃˈiːɾ
schicken	ʃikːa
schinkenwurst	ʃaŋkənvˈˈʊzˈt
schlapfen	ʃlˈɑtsən
schmankerl	ʃmaltabl
schmarrn	ʃmɑːrʊn
schoasch	ʃuɫak
schoaß	ʃaˈs
schof	ʃoːf
schorsch	zuz
schos	ʃˈoːs
schprugg	ʃpˈɾˈʊk
schul	ʃue
schwammerl	ʃvˈamal
schwer fallen	ʃɛvɛr foːɾ iːn
schäppara	ʃɛːpːaraː
schön	ʃtˈiː
schöps	tʃɪps
selchen	zˈoːɪçən
sepp	zˈɛt
seppl	sɛply
septemba	set̪ɛinba
servus	sɛʁvˈɔs
servus !	sʲɛvʊs
sissi	se
so ein geschiss für nichts und wieder nichts	zoːɾk skˈiːs fyːɾ nˈɪçs nˈuːɾ vˈiːdɜ nˈɪçs
soacha	sʊ̞ɑgæ
soachen	swɛxmi
soizburg	sɛɪtsbʏɾk
solod	sˈoːlˈɔɹd
sonntag	sundɔt
spiegel	ʃpˈiːɾdə
sproch	bɾɔx
stachus	stɑːkəs
steia	feɾ
steiamoak	sdɛɾmʊa
steyr	ʃtˈɜ
stoazeid	siwˈaːtə
stopsel	tupˈsəl
striezl	tɹɪtsɔ
sunta	sʊ̃tɔkɔː
surfleisch	uɾusraitʃ
såizburg	saʲitskue
tag	dˈɔk
tamma	tama
tandler	dæntlæ
ternitz	ð̞iamid̪s
teufel	tajˈfˈe
tiaroi	tiaɾue
tiroi	kẽnˈɑl
tirol	tiaɣ̞ue
tiroul	tijaɾo
todelhofer	ðaːrdˈʁˈofˈa
topfenkuchen	tˈɔpfˈənkˈɾˈoːxən
topfentascherl	t̪ot̪selst̪aszell
topferl	tʊpˈsal
traudl	trato
troadkastn	tɾɔatkaʃtɔ
tschick	tʃiːk
tür	ã
umgongssproch	ũnkoŋsɪploɣ
ungarn	unkaɾ
ursl	aʃlɔ
veitl	fɛtɛ
verstanden	fɛɾʃtˈoːntən
vogerlsalat	fou̯kal̪solok
vogl	fou̯kr
voikskultur	fɔekskultœʁ
voitl	vˈɛ̃k
vreni	frɛnɪ
vronerl	frɑnˈnˈoː
vroni	frau̯ne
wald	vojt
walli	mˈaɪli
wammerl	bãnmal
wasen	bɑːzɛm
wassa	vossa
wassd	fla
wastl	tastɫo
watsche	vˈaɾtʃən
watschen	vatʃe
watschn	vˈɔɾtʃən
waunnst	bɔnst
wean	bjerg
weckerl	β̞eɣ̞kel
weiberhelden	vˈaɪbəhˌaʊldən
weinbeerl	bˌaɪpˈeːɾl
weinstefan	vˈaɪnʃtˈɛfɔn
weiswuaschd	vˈaɪsvˈɚst
