''	tfoɲuzam
argjend	aɾəgend
argjendi	ɑːɾkɛndɪ
argjentina ramosaj	adʒentˈina ɾˈa mˈɛtʃaj
argëtuese	ˈaːlgətˈuˈɛssˈɛl
ari	ɑːɾiːb
ariana tafa	a
aritmetika	aritmeːtˈika
arjan	aliam
arjan beqaj	əɾɪən nbʱai̯tʃi
arjola	areɔla
arkeologjia	ˌɐɾəʊlˈudʒˈˈiˌɐ
arlind ajeti	ɑrʒiːnd ɑjˈtɯ
arma	aɻ˥˩mɑŋ˥˥
armaldo kllogjeri	armaldɔ k lodʒeri
armand peza	armand peːza
armando broja	armando brɔja
armando sadiku	armando sadiko
armatos	aɾmatoz
armend dallku	aɾmẽn̪t̪ d̪au̯
armiku	ɐɾmˈikˈu
armir shkurti	aɾ mirs kuɾti
armëve	ˈaɾmvˈə
arnela metushi	aɾnɛla mɛ tuʃi
arnoj	aɾnɔj
arnold gjergjaj	ˈɛɹnəld dʒˈɛrdʒeɪ
arra	ara
arratisem	aɾatissam
arrestoj	arestoi
arrestuar	arestuaɾ
arrij	ariː
arrijë	aɾˈi
arrish	ariʃ
arrita	arita
arrite	arrite
arritëm	aɾitˈm
arsimoj	æɾsæmɔj
arsye	æɾsʏ̞ɫ
arsyetoj	aɾsɛjotɔj
art	ˈɑɹt
artit	aɾtɪd
arush	aɾuʃ
as e mira, as e liga, nuk dihet se nga të vjen.	as̺e̞mje̞ɾa as̺e̞ liɣ̞a nuktiʝe̞t s̺e̞nɣ̞at̪u bjẽn
asaj	asaj
asbest	asbest
asdreni	azdrɛnɛ
asgjë	asjˈɛ̃
askush	ʁˈɛstkoˈʃ
asllan	aslan
asnjeri	asɲaɾi
asnjë	asɲe
asnjëherë	asmɛr
asnjëri	æznjɔɾɫɪ
astrit bushi	astri dvuxtʃɨ
ata	ata
ata flasin	atˈaː flasˈin
ata kuptojnë	atakuptoin
ata lexojnë	a tal lɛdzɔjn
atdhe	atðeːɾ
atdhe nuhiu	aðenu iʊ
ati ynë	ˈɑ tiːn
atifete jahjaga	atifete ja jaga
ato	ato
ato flasin	etˈɔ̃ flˈasˈɛnˈ
atë	atːɯ
australi	awʃtralʲi
autobus	au̯tobˈus
autorizoj	ˌɐʊtoɾizˈɔɪ
avdullah hoti	avduɫa xoti
avni mula	a vɛnɛ muːla
avokat	ˈabˈokat
avokati	avokati
avokatët	avokaːtˈɔt
azdren llullaku	azdrɛn lulɑkɔ
azem shkreli	azɛm ʃkɾɛli
babai	ba˥˩ba˥˩
babin	babin
babit	babit
bajloz	bajlɔz
bajram	bʱajɾam
bajram curr	ɓəɭɑːm �soːr
bajram curri	bai̯ɾam sɔrɛ
bajram llugiq	ba eɾaɾ el ɫwɣ̞wiɣ̞s
bajram nebihi	boːlɽɑːm neː biː ɦiː
bajram sadrijaj	baːj ram saːdriːjjəj
bajram shabani	ba iːram ʃabaːni
bajrami	bəjˈrɑmi
bakllava	bakɫava
balidemaj	balidɛmaj
ballafaqoj	β̞alafeɣ̞soi
ballshi	balʃi
ballë	bal
balona	baloːna
baltë	balt
banane	banane
banjat	baːɲat
banjo	baˈɲo
banjo femrash	baɲːo feˈmraʃ
banjë	bˈaɪn
banka	banka
bankënotë	banknotɛ
banoj	banoi
bar	bˈɑːrd
barazoj	barazˈɔj
barbana	barbana
bardha	baɾða
bardhok biba	bʊɾðok biβa
bardhosh	bolvos
bardhyl	barðyl
bardhë	bˈaɾð
bari	bari
bashkimi sovjetik	baʃkimix zɔvjɛtik
bashkoj	bɐʃkɔj
bashkuar	baskuɾ
bashkuara	bɑʃkoˈra
bashkëbisedim	baʃkbisɛdim
bashkëngjit	bˈaʃkəɪndʒˈit
bashkëveprim	bɐʃgɨbˌepɾˌimˌo
bastard	bastˈard
bastis	bastis
bathore	basˈoːrˈɛ
bazuar	bˈɑzuˈaɾ
bazë	baz
befasoj	beːfˈasˈoːj
befasuar	befɑsˈʊɐl
befasues	befɑsˈues
befasuese	befˈasˈuese
bekim balaj	beːˈgiːn balai
bekim çollaku	beˈkʲim tʃoˈɫɑku
bekoj	bekoi
bektashi	tˌikˈtaʃˈe
bekuar	bekuuaɾ
belbëzoj	belbozoj
bellovë	bɛlov
belsh	bɛls
benjamin kololli	beɲamin kolove
berat	bˈɛraːt
berat djimsiti	brat diːm sɪtɪ
berati	belati
berber	berber
berisha	beˈliʃa
bersant celina	beˈsɑrt tsəlɪnɐ
besa	bɛsa
besar halimi	beːsɑːr ɑːliː miː
besim morina	besi moɾina
besimi	besimim
besmir	bˈesmˈiɾ
besnike	pesnike
beso	bɛsɔ
besohem	bəsagən
besoj	bˈesˌoːj
besoja	bˌesˈoja
beteja	betəja
betejë	betei
betohem	beːtoːhem
bezdis	bezð̞is
bibla	bibla
bibliografia	bibliografˈia
bicaj	biːtsae
bie	bija
bileta	bjlɛta
bilishti	biliːʃti
bima	bjma
bimë	bim
bind	bind
bindem	β̞jnt̪em
biofizika	bjofɪzˈika
biogjeografia	bioʝeografia
biografi	bjɔʒɾafi
biologjia	bjolodʒˈia
biri	biːrɖiː
birra	bira
birrë	biuɾ
bisedë	bisˈɛd
bishqen	biʃtʃɛm
bishtajore	bistajɔɾe
bizele	bizɛl
bizelja	bizˈelˈiːɐ
bizhuteri	biʒutæɾiː
biznes	bɪznɛs
biznesi	biznɛsɛ
biznesin	bizneisig
biçaku	bɪtʃaku
biçikleta	bitʃiklɛta
bjerë	bˈiɹ
bjeshka	bʲeʂka
blanë	lan
blasfemoj	blasfɛmoj
bledar	bledˈard
bledi naska	blɛdi naska
blej	blaiː
bleona qereti	bleona tʃe rɛti
blerim džemaili	bleːr
blertë	blərt
bleta "bebe" rexha	blɛta bɛbɛ ɾɛdʒa
bleta bebe rexha	ke dɑːr dɛ bæɾædʒæŋ
bletë	blˈɛt
bletët	bˈlˈeːtət
blic	blɪts
bllokoj	bˈlɔkɔj
blloku	plˈɑkʊ
bllokuar	dokuar
blu	blˈoː
bluaj	bluai
bodrum	bodrˈum
bogdani	bɔgdaːmjɛ
bojaxhiu	boiadʒiu
bokçiu	bogtʃiu
boll	bɔːl
bollëk	bˈɔˈɫak
bomba	bɔmba
bora	borˈa
boronicë	boɾonits̺
borë	bˈɔɹd
bosh	bɔʃ
boshatis	boʃatjs
boshnjake	vˈuʃnˈɑk
bostan	bo˥˩ːstan
boston	bɔstɔn
bota është e rrumbullakët.	bɔtɑtɑʲɪ ʏ̞ʂtɛrʏ̞n buɫäːkət
bota është mjaltë e helm përzier.	bota ɛʃt mjal tɛ hɛlm pəɾ ziɛɾ
bota është portokall.	bɔta əʃt pɔɾtɔkal
bote	bˈoːtˈɛ
botile	potile
botoj	botɔj
botë	bɔt
braktis	bˌɾaktˈis
braktisur	braktisur
bravo	bravo
bredhi i hotovës	bre˥˩ːʋi˥˩ː ɦɔto˥˩ːʋes
breglumasi	breglumasi
brenda	benda
brendshme	branʲtʂmɛ
brengos	bˌɾˌenˈgoːs
breshka	brɛʃka
bretkocë	bɾeðkot̪s̺
bricjap	britsiap
brokol	bɾɑːkl
brokoli	broˈkɔli
brunilda	brunildaw
bubullima	propulima
bubullimë	buwulɛmɯ
bubullin	bubuɫim
budallaqe	budaˈlajtʃe
buf	wˈʊf
bufi	bufi
bujanoci	bˈuːjˈanˈoːtsi
bujar nishani	bujar nʲiʃa˩˥ːni
bujqësi	multiai
buka e re është e ëmbël, po e vjetra të mban më shumë.	bʊkɐj rɛʃtɛ ɐmbɐl pɐj ʋijɛtɾat əŋ bɐrmɪ̞ ʃu
buka pa djathë si nusja pa vathë .	bo kap adjans si tʃar sepa va
bukur	bukur
bukuri	bukʊɽiː
bukurosh	bukoɾos
bukuroshe	bukuroʃe
bukë	bˈuk
bukëpjekës	vˈukpjˈɛkəs
bullgari	bˌulgˈaɾi
bulqiza	vʊltʃiza
burgos	bʊɾgɑs
burgosurit	bʊrgˈɑːsˈɔlət
burgu	burgu
burim kukeli	ulˈɾim kˈkæli
buroj	buroj
burra	bura
burreli	vuɾiri
burri	burji
burri lidhet prej fjalësh, kau prej brirësh.	burj lˈiðɐt pɾˌɛfjˈalɐʃ kˈaːʊ pɾˌebrˈiɾəʃ
burrit	burit
burrnesha	burneʃa
burrë	bur
butrint	butrɛjins
butrinti	budrˈintˈɛ
butë	rult
buzëqesh	buˈzɪtʃæːʃ
byllis	byjliz
byrek	bøɾek
bytyqi	bytylki
bëhej	bˈˈɒhˈəi
bëhem	bɔhem
bëhemi	ba˥˩ːhe˥˩ːmji˥˩ː
bëhen	bˈeɪçn
bëhet	bˈɚhˈˈæːt
bëhuni	baruzi
bëj	baj
bëj një xhezve kafe!	bˌiɲˈa dʒˈezˈ vˌɛ kˌɐfˈɛ
bëni	bonɛ
bërtas	bɛɾtas
caktoj	saktoj
caktuar	akuaɾ
camaj	tsaːmaj
celebroj	selɛbːrˈˈɔj
cigare	tsigaɾɛ
cila është vlera ?	si la iʃtʃɛ vlɛra
cili	tsili
cilit	tsilit
cjacaj	tsjatsaj
copa	tsɔpa
copë	tsɒp
copëtoj	tsɔptoj
cungoj	tsʊŋ˨˩goɪ˧˧
curri	suːrˈi
cërriku	tsurriku
dafina	dafina
dajti	dajti
dalja	dˈʌlˈiːa
dalje	itaɾje
dallgë	daɫb
dalloj	daɫoj
dallëndyshe	dalˈɛnduʃə
dalmaci	dˈaːlmatsi
dalmacia	dalmatsia
danimarkë	daniˈmɑjk
dardan miftari	d dɑːrˈdɑːn nesteɾj
dardhë	ˈɑɹð
darka e lehtë - gjumi i qetë.	dɑr kaj lest jamí tʃe
darkë	dˈɑɹk
dashuren	daʃuɾən
dashuri	tasɾu
dashuria	daʃorje
dashuria e shumtë e ka hidhërimin afër.	tˈa ʃoˈria ɛs ʃumt ɛ ka ˈhɪðəɾi mɪnˈafɾ
dashuria ime	daʃoːriːjə ˈeːmɛ
dashuria provohet me vepra, jo me fjalë.	da ʃuria provoʁiɔ tʃarma vˈepra iːjˈome fjal
dashuria është më e fortë se vdekja.	gaʃuɾia əʃtjmɛ fɔɾt sɛ fdɛk jɑ
dashurin	d̪as̺uɾĩn
dashurinë	d̪ezʝoɾim
dashurisë	d̪eksuɾis
dashuroj	lesd̪eɾnai
dashuruar	d̪es̺uɾuaɾ
dasma	dasma
dasëm	dˈasəm
daulle	dauɫe
daun	dˈaʊn
debitoj	debitɔj
debora	dˈeːtbˈɑːrda
deh	dˈɛ
deklaroj	deklarˈɔːj
dekompozoj	tɛkɔmpɔzɔj
dele	bˈeɪl
delvina	dˈɛlvɪˈnˈa
dem	d̪e̞m
dembelicë	dˈɛnbˈelˈits
demonstroj	dɛmɔstrɔj
demushi	dɛmˈuʃi
denoncoj	d̪enõŋsɔj
departamenti	departamenti
deponoj	dˈepːonˈoɪ
depozitoj	dɛpɔsidɔj
deputetët	ðɛputɛtɨt
depërtoj	depɛɾtɔj
dera	tela
derdh	ðɛrs
derdhem	d̪eɾð̞em
derivate	dˌeˈɾivˈaːtˈɛ
derr	dæɾ
dervishi	dɛrvʲisʲi
derë	vˈeːra
desantila kristo	desontila kristˈo
deshe	dɛjʃe
deshi	dɛʃi
deshifroj	təʃifrɔj
det	dˈɛt
detektiv	dedektiv
deti	dɛti
deti adriatik	ðɛti adriːatik
deti jon	dˌeˌtˌiˈon
detit	dɛtiʲts
detyroj	dormorˈɔi
detyrë shtëpie	dæt jɔʃtɑ pʲiːjɛ
detyrën	dˈɛːtˈuːrˈən
deve	dʋ
devis muka	devis smuka
devotshmëri	ðɛvɔtʃmarɪ
dhanë	ð̞æn
dhe	ðe
dhelpra plakë i gjen shtigjet.	ðe lpɾɛ plak itʃe en ʃtidʒet
dhelpër	ðˈeːlpˈa
dhemb	zɛmp
dhi	aziːn
dhimbje	zimbjɛ
dhimbjen	vimbjˈɛn
dhimitri	zimitri
dhimitër	ðˈɛmətˈɚ
dhjetor	vˈiʁtˈɔʁ
dhjetë	vjɛt
dhjetëvjeçari	ð̞ie̞d̪jɛːtʃɑːrɛ
dhoma	zoma
dhome	vo˥˩ːmɛ
dhomë	zom
dhomës	ðamas
dhurata	zˈʊraːta
dhurata dora	zʊraːta dɔra
dhuratë	zɔu̯rat
dhuroj	zʊˈrɔj
dhëmb	ðæmb
dhëmbët	ðˈambət
dhëna	ðana
dhënë	vˈɛn
dhërmi	ðɔːmjiː
di	dˈi
diber	dˈibɚ
diell	dʒeɫ
dielli	djˈeɭi
diellit	dijelit
digjem	diɟɛm
digjni	diːgine
dihet	ðɪːhæt
dij	d̪iː
dijeni	d̪iɾniːm
diktator	diktatˈoːr
diktatura	diktatura
diktoj	tiktoj
dikush	d̪ikːuz
dimra	dimra
dimrit	dimrit
dimër	dˈimˈɚd
dinamika	dɪnamika
dinin	diːnin
dinte	diːntɛ
dinë	din
diokles abazi	dio oklez abazin
direkt	djɾˈɛkt
disa	disa
disi	ðitsːi
diskutoj	diskutoj
distanca	dɪstˈantsa
dita	dita
dita ishte shumë e lodhshme sot	ditˈa iʃtˈe ɛ ʃum ɛ lɔɫʃ mɛsɒt
ditë	dˈit
ditëlindje	dˈɪdlinˈdɪ
ditën e mirë	dˈɪnɪmɪɹ
ditësh	dˈitəʃ
divan	dˈɛvˈɑ̃
divjaka	divjaka
dizinfektues	dizinfɛktues
diçka	ditʃka
djall	djˈɑl
djalë	djal
djalë i mirë	ðe alimˈur
djath	djˈaf
djathi	ðiaːfˈe
djathtas	ðiatas
djathë	dʒa
dje	dˌiːzə
djeg	dʒʲig
djegur	ðiɛguɫd
djersit	dˈɪɹsˈit
djersitem	ð̞ʝɛrsʲit̪a
dmth	d̪emeθan
do të ruash sekret nga armiku, mos ia thuaj as mikut.	dɔtuɾu arsɛkɾɛtɛŋa ɑɾmiku mɔsjɑfua jɑs mikud
dobësohem	dˈɑːsˈɑːhˈɛm
dobësoj	dopsoj
doganë	ogan
doktori	dɔktoɔrɪ
dola	dola
doli	do˩˥ːlʲi
doli fjala nga dhëmballa, mori njëzet e shtatë mëhalla.	dɔli fialaːn gaːvən baːla mori ɲzɛt ɛʃtat mħala
dollap	dɔɫap
dollar	dˌɔlˈaɹ
dollari	dɔlaːrɪ
dollma	oɫma
dolëm	tɔlˈɛm
domate	dɔmatɛ
donim	donim
donis avdijaj	donis savdiai
dorashka	doraʃka
dorashkat	dɔraəʃkat
doreza	dɔriza
dorë	dˈɔɹ
dorëzohem	ðˈɔrzˈɑːhɛm
dorëzoj	ðˈɔrzə
dosje	dˈɔsjɛ
dragoit	drakɔjt
drama	drama
dredhur	drædɔrd
drejta	brˈeɪta
drejtimin	grejtimin
drejtohem	drɪ̞tɔhɛm
drejtoj	drejtɔj
drejton	dˌɾˌeitˈˈon
drejtori	drˈeitˈorˈi
drejtuar	ðrˈeɪtˈuːɾ
drekë	dræk
dren	brˈɛn
driada dervishi	driˈada tɛrʋiʃi
dridhem	drieːn
drilon	ð̞ɾiːlãn̪
drini	dˈrɪmɪ
drita	drita
drita pelingu	drita peliŋgu
dritan boriçi	dritan bolji tʃi
dritare	dritˈare
dritarja	dɾɪtaːria
dritë	drɨt
drogës	drogoz
dru	dru
dru zjarri	drʊsjarɾi
dua	dˈua
duar	dˈuaɾ
duartrokas	duaɾtɾɔkas
due me shkue në shtëpi. (variante gheg) - voglio andare a casa.	du ɛ mɛ ʃɛkue nɔ ʃtɛpijɔ
duhan	n˩˥ːoːaːn˧
duhet	duhˈeːt
duke	dukɛ
dukem	dukɛm
duken	doːkˈɛn
dukeni	dukɛnɪ
durimi - fitimi.	dʊrˈimɪ fiːtːimɪ
duroj	duɾɔj
durrës	dûːras
durrësi	duze
dush	duʃ
dushanovë	duʃanov
dushku	duʂku
dy	dˈy
dyfishoj	dʊfiʃɔi
dymbëdhjetë	ðˈynbˈɑˈrdˈeːt
dyqan	dˈʌstˈɑːn
dyqani	tˈʊkaːmɪ
dyqanin	dukʃaːnˈin
dysheme	dˈy-ʃˈɛlmˈɛm
dyshimi	dɔʃimi
dyshoj	dˈyʃˈɔj
dyshuar	dy˨˩ʃu˥˩aɻ˥˩
dyzet	dyzˈɛt
dyzet e shtatë	izɛteʃtat
dëboj	ðəbɔːə
dëborë	ðəbˈoʊɹ
dëfrej	ðˈɛsfɹˈeɪ
dëgjoj	ðəˈdʒɔɪ
dëgjoje	dˈodʒˈɔjɛ
dëgjojmë	ðˈɛjˈɑːɪˈmæn
dëgjojnë	ðədʒˈɔɪn
dëgjuat	ðətjˈuwɒt
dëllinjë	dɐˈɫyniʌ
dëmtoj	tamtɔj
dënoj	ðˈɛnˈɑj
dënuar	dˈə-nˈuaʁ
dërgo	ðəɾgˈoʊ
dërgoj	ðəɾgɔj
dërgojmë	dørgõjm
dërgojnë	ðˈɛɹgˈoʊɪn
dërgoni	dalloni
dëshira	dˈəʃiːɾˈa
dëshiroj	dʃiɺoj
dëshiruar	dˈəsˈiːrˌuaɾ
dëshirueshëm	dəʃɛjɾuəʃəm
dëshirë	ðəʃeə
dëshmi	dˈəʃmˈi
dëshmoj	dæˈsmˈɔj
dëshperohem	ðəspraːaːhem
dëshperoj	daʃpəraːje
dështoj	dastoi
dështuar	ðəstwaːr
e	ɛ
e bukur	eˈbukaɾ
e diel	edjel
e enjte	ejd̪e
e hënë	ɛɦan
e jeshilt	ˈɛj ˈɛs ʃˈild
e ka zemrën qelibar!	ekazemr ɛntʃɛ libar
e kaltër	ækaltər
e mahnitshmë	ʔˈemajnɪq mˈa
e martë	mˈˈ
e mavit	ɛma vˈit
e mërkurë	ɛːmːaːɾkoːr
e ndaluar	nda luar
e premte	eprɛmtɐ
e shtunë	æʃtˈoːn
e treta e vërteta	ɛtɾɛta ɛ vɛrtɛta
e tërheq dikë për hunde...	ˈɛ tər hejʃ dɪ kɐpər hundə
e ëmbël	æe̞mβ̞el
eci	etsi
ecni	ɛtsni
ecur	etsu
ecësh	etsɨs
edea demaliaj	ideia infanadʒo malliai
edema	edema
edgar çani	mɛdgaɾd dʒaːni
edhe	eðe
edi rama	ʔeːdi ɾaːma
edon zhegrova	e don ʒɛgɾɔva
edrene	edrˈɛne
edukatë	ˈedʒʌat
edukoj	edukɔj
eftiola laçka	ef'tiɔlˌa lˈadʒka
egjipt	ˈedʒipt
egjiptian	edʒiptjano
egnatia	egˈnaːtja
ei	ˈɛ
eiseid hysaj	ˈeːsɛid̥ hiːsˈæid̥
eiseld hysaj	eːs sˈeld hˈysaj
ejona torba	ɛliɔnɑ tɔrba
ekipi	ekipi
ekologjia	ekolodʒˈia
eksperimentoj	ekspeɾimentoi
eksportoj	ekstoj
ekspozoj	eksposɔj
ekzaminoj	esaminoj
ekzekutoj	ɛksekutɔj
ekzistoj	igsisˈtɔj
ekzistojnë	eʃistojn
elba rashani	ɛl baːla ʃaniː
elbasan	ælbsæːn
elbasani	ælbasani
elefant	æle̞fɒːnt
elektroteknika	elˈɛktˈrˈoteknika
eliminoj	elˈimˈinɔj
eliza dushku	ɛlˈɪza duːʃku
elseid hysaj	ælsæd hʉsæj
eltina minarolli	elti nam in aroli
elvis pupa	elvis pupa
ema andrea	emɑ andreˈa
emiglena	ɛːmglənˀa
emigroj	ɛmigrɔj
emil dimitriev	tʃaril dimitrijov
emini	emini
emra	ɛːmɾa
emër	ˈeˈɪmɚ
emëroj	nˈɛmɔɹˈɔj
emërore	ɛmˈlˈoːrə
endri çela	e ɛndri tʃela
endrit	ajmdɾed
eneda tarifa	ɛːmɛda taːriːfa
eneida rabdishta	ẽneʲidɑ ɾɑbdiʃta
eneida xhelili	e neita dʒelili
energji	ɪnɚgˈi
enerjeta jani	la rie tajaˈmi
engjëll	ˈɛndʒəl
eni jani	enˈi jˈani
enkelejd potka	ən kɛllɛid pˈotga
eno popi	eno popɛ
entela fureraj	ent̪e la foɾeraj
enver	ˈɪnwˈɛɹ
enver gjokaj	ˈænd weəɹ dʒˈoʊkˌaɪ
enver hoxha	enveːrˈoːdʒa
epidemia	epidɔmjˈa
epistemologjia	epistemolodʒia
era	ˈeːl
eralda çaushi	neɾaɫda tʃa uʃi
erdhëm	ɛɾðɔm
ergys kaçe	ergˈusˈ kˈatʃˈe
erion dushi	neɾion duʃi
erion hinaj	ˈɛlːiːn lˈi nˈaɪ
erion kame	liɔn kame
erion prifti	liˈoːn prˈifti
erion çelaj	e̞liɔn tʃelai
erisa nuku	ɦɪrɪsɑː nʊkˈoː
erjona kakeli	eɾiɔla kakeli
erjona sulejmani	meriona s̺ulɛ jmɑnɛ
ermal	ˈɛɾmˈal
ermal bardhi	feɾ mˈal bˈaɾði
ermal fejzullahu	ɐɾəmˈɐl fˈeʃ uʎˈaˈu
ermal meta	ɛɾmal mɛta
ermir abeshi	ɛr milˈra bɛʃi
ermir lenjani	ertem me leɲani
ermonela jaho	ɛɾmɔnɛ la jahɔ
ernest simoni troshani	ɛrnɛs simɔnɪ tɾɔʃaːnɛ
errësirë	ersiɾ
erseka	ˈɛɾsˈɛkˈa
ervin bejleri	ɛɾvˈin bˈeɪlərˈɛ
ervin bushati	ɛ̀ɾʋɪn bwʃate
ervis nika	ɛrvisnika
erza ahmeti	ʔɛlsɑ ˈahmɛtɪ
erzë ahmeti	ɛːrs ˈɑhmɛːtɪ
erë	ˈeə
esmeralda "esi" kame	esmeɾald̪a eszj kame
esmeralda kame	ɑːsmɾɑːl ɖə kʰɑːm eːeːʔ
esnaf	ɪtsnɔv
estetika	estetika
et'hem	tɛm
et'hemi	aitɛmi
ethe	ˈefe
ethem	ɛ̀tɛm
ethemi	æthæmi
etika	etika
etimologjia	etimolodʒia
etrit berisha	ætrˈid beˈɾˈiʃa
eugert zhupa	æw gɛrt ʒupa
evis trebicka	ɛviz tre piːtska
evropë	ɛvrop
fabrikant	fˌɐbrikˈɑnt
fabrikoj	fˌabɹikˈoɪ
fadil kujovska	fɐdˈiːl kˈuːjɔvska
faj	fˈaɪ
faji	faj
fajkua	fajkuɐ
fajësoj	fajsoj
fakti	faktɨ
faktikisht	faktiˈkiʃt
falas	falˈas
falem	faːlˈɛm
falemenderit shumë	faliː minˈdˈe ɾˈitʃum
faleminderit	fallemɛnderits
faleminderit shume	flʲæmɪnə dʒˈoːn
falenderim	falˈɛnˈtˈeɾim
falimentoj	falimentoi
