a-má	a.ˈma
abandonaria	a.bã.do.na.ˈɾi.ə
abandonariam	a.bã.do.na.ˈɾi.ãʊ̃
abandonará	a.bã.do.na.ˈɾa
abandonava	a.bã.do.ˈna.və
abandonavam	a.bã.do.ˈna.vãʊ̃
abandonem	a.bã.ˈdõ.nẽỹ
abandonos	a.bã.ˈdõ.nʊs
abandonou	a.bã.do.ˈnow
abandonou-os	a.bã.do.ˈnow.ʊs
abandoná-los	a.bã.do.ˈna.lʊs
abandou	a.bã.ˈdow
abanto	a.ˈbã.tʊ
abarcam	a.ˈbax.kãʊ̃
abarcando	a.bax.ˈkã.dʊ
abarcar	a.bax.ˈkax
abarcava	a.bax.ˈka.və
abarcavam	a.bax.ˈka.vãʊ̃
abarcou	a.bax.ˈkow
abarrotado	a.ba.xo.ˈta.dʊ
abará	a.bə.ˈɾa
abaré	a.bə.ˈɾɛ
abastada	a.bas.ˈta.də
abastadas	a.bas.ˈta.dəs
abastado	a.bas.ˈta.dʊ
abastados	a.bas.ˈta.dʊs
abastança	a.bas.ˈtã.sə
abastecedor	a.bas.te.se.ˈdox
abastecem	a.bas.ˈtɛ.sẽỹ
abastecendo	a.bas.te.ˈsẽ.dʊ
abasteceram	a.bas.te.ˈse.ɾãʊ̃
abastecerem	a.bas.te.ˈse.ɾẽỹ
abasteceria	a.bas.te.se.ˈɾi.ə
abasteceu	a.bas.te.ˈsew
abastecia	a.bas.te.ˈsi.ə
abasteciam	a.bas.te.ˈsi.ãʊ̃
abastecida	a.bas.te.ˈsi.də
abastecidas	a.bas.te.ˈsi.dəs
abastecido	a.bas.te.ˈsi.dʊ
abastecidos	a.bas.te.ˈsi.dʊs
abastecimento	a.bas.te.si.ˈmẽ.tʊ
abastecimentos	a.bas.te.si.ˈmẽ.tʊs
abatedouro	a.ba.te.ˈdow.ɾʊ
abatedouros	a.ba.te.ˈdow.ɾʊs
abatem	a.ˈba.tẽỹ
abatendo	a.ba.ˈtẽ.dʊ
abateram	a.ba.ˈte.ɾãʊ̃
abatiam	a.ba.ˈtʃi.ãʊ̃
abatida	a.ba.ˈtʃi.də
abatidas	a.ba.ˈtʃi.dəs
abatido	a.ba.ˈtʃi.dʊ
abatidos	a.ba.ˈtʃi.dʊs
abatimento	a.ba.tʃi.ˈmẽ.tʊ
abatimentos	a.ba.tʃi.ˈmẽ.tʊs
abaulada	a.baw.ˈla.də
abaulado	a.baw.ˈla.dʊ
abaulamento	a.baw.la.ˈmẽ.tʊ
abaxial	a.ba.ksi.ˈaw
abaza	a.ˈba.zə
abaças	a.ˈba.səs
abaçaí	a.ba.sa.ˈi
abaíba	a.ba.ˈi.bə
abaíra	a.ba.ˈi.ɾə
abc-zinho	a.be.se.ˈzĩ.ɲʊ
abca	a.be.se.ˈa
abcde	a.be.se.de.ˈɛ
abcesso	ab.ˈsɛ.sʊ
abcessos	ab.ˈsɛ.sʊs
abcissa	ab.ˈsi.sə
abcissas	ab.ˈsi.səs
abcs	a.be.ˈses
abcz	a.be.se.ˈze
abcásia	ab.ˈka.zi.ə
abda	a.be.de.ˈa
abdal	ab.ˈdaw
abdala	ab.ˈda.lə
abdalá	ab.da.ˈla
abdas	ˈab.dəs
abdel	ab.ˈdɛw
abdelaziz	ab.de.la.ˈzis
abdera	ab.ˈdɛ.ɾə
abdero	ab.ˈdɛ.ɾʊ
abderramão	ab.de.xa.ˈmãʊ̃
abdi	ab.ˈdʒi
abdias	ab.ˈdʒi.əs
abdica	ab.ˈdʒi.kə
abdicado	ab.dʒi.ˈka.dʊ
abdicando	ab.dʒi.ˈkã.dʊ
abdicar	ab.dʒi.ˈkax
abdicara	ab.dʒi.ˈka.ɾə
abdicaram	ab.dʒi.ˈka.ɾãʊ̃
abdicaria	ab.dʒi.ka.ˈɾi.ə
abdicasse	ab.dʒi.ˈka.sɪ
abdicava	ab.dʒi.ˈka.və
abdicação	ab.dʒi.ka.ˈsãʊ̃
abdicações	ab.dʒi.ka.ˈsõỹs
abdicou	ab.dʒi.ˈkow
abdin	ab.ˈdʒĩ
abditus	ab.dʒi.ˈtus
abdo	a.be.de.ˈɔ
abdol	ab.ˈdɔw
abdome	ab.ˈdõ.mɪ
abdominais	ab.do.mi.ˈnays
abdominal	ab.do.mi.ˈnaw
abdominalis	ab.dʒo.mi.ˈna.lɪs
abdu	ab.ˈdu
abducente	ab.du.ˈsẽ.tʃɪ
abdul	ab.ˈduw
abdulaziz	ab.du.la.ˈziz
abdur	ab.ˈdux
abdus	ab.ˈdus
abdutor	ab.du.ˈtox
abduzida	ab.du.ˈzi.də
abduzido	ab.du.ˈzi.dʊ
abduzidos	ab.du.ˈzi.dʊs
abdução	ab.du.ˈsãʊ̃
abduções	ab.du.ˈsõỹs
abdômen	ab.ˈdõ.mẽỹ
abeba	a.ˈbe.bə
abecedário	a.be.se.ˈda.ɾi.ʊ
abecásios	a.be.ˈka.zi.ʊs
abegoaria	a.be.go.a.ˈɾi.ə
abeiro	a.ˈbey.ɾʊ
abela	a.ˈbɛ.lə
abelaira	a.be.ˈlay.ɾə
abelardo	a.be.ˈlaɣ.dʊ
abelha	a.ˈbe.ʎə
abelha-rainha	a.be.ʎa.xa.ˈĩ.ɲə
abelharucos	a.be.ʎa.ˈɾu.kʊs
abelhas	a.ˈbe.ʎəs
abelheira	a.be.ˈʎey.ɾə
abelhinha	a.be.ˈʎĩ.ɲə
abelhinhas	a.be.ˈʎĩ.ɲəs
abelho	a.ˈbe.ʎʊ
abelhudos	a.be.ˈʎu.dʊs
abeliana	a.be.li.ˈã.nə
abelianas	a.be.li.ˈã.nəs
abelianos	a.be.li.ˈã.nʊs
abem	a.ˈbẽỹ
abendana	a.bẽ.ˈdã.nə
abençoa	a.bẽ.ˈso.ə
abençoada	a.bẽ.so.ˈa.də
abençoadas	a.bẽ.so.ˈa.dəs
abençoado	a.bẽ.so.ˈa.dʊ
abençoados	a.bẽ.so.ˈa.dʊs
abençoando	a.bẽ.so.ˈã.dʊ
abençoar	a.bẽ.so.ˈax
abençoava	a.bẽ.so.ˈa.və
abençoou	a.bẽ.so.ˈow
abera	a.ˈbɛ.ɾə
aberje	a.ˈbɛɣ.ʒɪ
aberrante	a.be.ˈxã.tʃɪ
aberração	a.be.xa.ˈsãʊ̃
aberrações	a.be.xa.ˈsõỹs
aberta	a.ˈbɛx.tə
abertamente	a.bɛx.ta.ˈmẽ.tʃɪ
abertas	a.ˈbɛx.təs
abertos	a.ˈbɛx.tʊs
abertura	a.bex.ˈtu.ɾə
aberturas	a.bex.ˈtu.ɾəs
abesni	a.bez.ˈni
abeto	a.ˈbe.tʊ
abetos	a.ˈbɛ.tʊs
abgar	ab.ˈgax
abi	a.ˈbi
abias	a.ˈbi.əs
abiatar	a.bi.ə.ˈtax
abiaí	a.bi.ə.ˈi
abidal	a.bi.ˈdaw
abidarma	a.bi.ˈdaɣ.mə
abide	a.ˈbi.dʒɪ
abido	a.ˈbi.dʊ
abidos	a.ˈbi.dʊs
abila	a.ˈbi.lə
abiocor	a.bi.o.ˈkox
abiogênica	a.bi.o.ˈʒẽ.ni.kə
abir	a.ˈbix
abismado	a.biz.ˈma.dʊ
abismo	a.ˈbiz.mʊ
abismos	a.ˈbiz.mʊs
abissínia	a.bi.ˈsĩ.ni.ə
abissínio	a.bi.ˈsĩ.ni.ʊ
abissínios	a.bi.ˈsĩ.ni.ʊs
abitibi	a.bi.tʃi.ˈbi
abitureiras	a.bi.tu.ˈɾey.ɾəs
abiótico	a.bi.ˈɔ.tʃi.kʊ
abióticos	a.bi.ˈɔ.tʃi.kʊs
abjads	ˈab.ʒəds
abjeto	ab.ˈʒɛ.tʊ
abjurar	ab.ʒu.ˈɾax
abjuração	ab.ʒu.ɾa.ˈsãʊ̃
abjurou	ab.ʒu.ˈɾow
ablação	a.bla.ˈsãʊ̃
ablução	a.blu.ˈsãʊ̃
abluções	a.blu.ˈsõỹs
abm	a.be.ˈẽ.mɪ
abma	ˈab.mə
abnegada	ab.ne.ˈga.də
abnegado	ab.ne.ˈga.dʊ
abnegados	ab.ne.ˈga.dʊs
abnegação	ab.ne.ga.ˈsãʊ̃
abo	a.be.ˈɔ
aboadela	a.bo.a.ˈdɛ.lə
aboazar	a.bo.a.ˈzax
abobada	a.bo.ˈba.də
abobadada	a.bo.ba.ˈda.də
abobadadas	a.bo.ba.ˈda.dəs
abobadado	a.bo.ba.ˈda.dʊ
abobadados	a.bo.ba.ˈda.dʊs
abobadas	a.bo.ˈba.dəs
abobo	a.ˈbo.bʊ
aboboreira	a.bo.bo.ˈɾey.ɾə
abobrinha	a.bɔ.ˈbɾĩ.ɲə
abocanhar	a.bo.kã.ˈɲax
abocanhou	a.bo.kã.ˈɲow
abolicionismo	a.bo.li.si.o.ˈniz.mʊ
abolicionista	a.bo.li.si.o.ˈnis.tə
abolicionistas	a.bo.li.si.o.ˈnis.təs
abolida	a.bo.ˈli.də
abolidas	a.bo.ˈli.dəs
abolido	a.bo.ˈli.dʊ
abolidos	a.bo.ˈli.dʊs
abolindo	a.bo.ˈlĩ.dʊ
aboliram	a.bo.ˈli.ɾãʊ̃
aboliu	a.bo.ˈliw
abolição	a.bo.li.ˈsãʊ̃
abomaso	a.bo.ˈma.zʊ
abomina	a.bo.ˈmĩ.nə
abominava	a.bo.mi.ˈna.və
abominação	a.bo.mi.na.ˈsãʊ̃
abominações	a.bo.mi.na.ˈsõỹs
abominável	a.bo.mi.ˈna.vew
abonado	a.bo.ˈna.dʊ
abonados	a.bo.ˈna.dʊs
abonos	a.ˈbõ.nʊs
aboral	a.bo.ˈɾaw
abordada	a.boɣ.ˈda.də
abordadas	a.boɣ.ˈda.dəs
abordado	a.boɣ.ˈda.dʊ
abordados	a.boɣ.ˈda.dʊs
abordagem	a.boɣ.ˈda.ʒẽỹ
abordam	a.ˈbɔɣ.dãʊ̃
abordando	a.boɣ.ˈdã.dʊ
abordar	a.boɣ.ˈdax
abordaram	a.boɣ.ˈda.ɾãʊ̃
abordarem	a.boɣ.ˈda.ɾẽỹ
abordaria	a.boɣ.da.ˈɾi.ə
abordará	a.boɣ.da.ˈɾa
abordava	a.boɣ.ˈda.və
abordavam	a.boɣ.ˈda.vãʊ̃
abordem	a.ˈbɔɣ.dẽỹ
abordo	a.ˈbɔɣ.dʊ
abordou	a.boɣ.ˈdow
aborim	a.bo.ˈɾĩ
aborreceu	a.bo.xe.ˈsew
aborrecia	a.bo.xe.ˈsi.ə
aborrecida	a.bo.xe.ˈsi.də
aborrecidas	a.bo.xe.ˈsi.dəs
aborrecido	a.bo.xe.ˈsi.dʊ
aborrecidos	a.bo.xe.ˈsi.dʊs
aborrecimento	a.bo.xe.si.ˈmẽ.tʊ
aborrecimentos	a.bo.xe.si.ˈmẽ.tʊs
aborta	a.ˈbɔx.tə
abortada	a.box.ˈta.də
abortadas	a.box.ˈta.dəs
abortado	a.box.ˈta.dʊ
abortados	a.box.ˈta.dʊs
abortamento	a.box.ta.ˈmẽ.tʊ
abortando	a.box.ˈtã.dʊ
abortar	a.box.ˈtax
abortiva	a.box.ˈtʃi.və
abortivas	a.box.ˈtʃi.vəs
abortivos	a.box.ˈtʃi.vʊs
abortos	a.ˈbox.tʊs
abortou	a.box.ˈtow
abos	a.be.ˈɔs
abotoada	a.bo.to.ˈa.də
abotoado	a.bo.to.ˈa.dʊ
abou	a.ˈbu
abr	a.be.ˈɛ.xɪ
abra	ˈa.bɾə
abracadabra	a.bɾa.ka.ˈda.bɾə
abrace	a.ˈbɾa.sɪ
abragames	a.bɾa.ˈgẽỹ.mɪs
abragão	a.bɾa.ˈgãʊ̃
abraji	a.bɾa.ˈʒi
abram	ˈa.bɾãʊ̃
abramo	a.ˈbɾã.mʊ
abranches	a.ˈbɾã.ʃɪs
abranda	a.ˈbɾã.də
abrandada	a.bɾã.ˈda.də
abrandado	a.bɾã.ˈda.dʊ
abrandamento	a.bɾã.da.ˈmẽ.tʊ
abrandando	a.bɾã.ˈdã.dʊ
abrandar	a.bɾã.ˈdax
abrandaram	a.bɾã.ˈda.ɾãʊ̃
abrandou	a.bɾã.ˈdow
abrangem	a.ˈbɾã.ʒẽỹ
abrangendo	a.bɾã.ˈʒẽ.dʊ
abrangente	a.bɾã.ˈʒẽ.tʃɪ
abrangentes	a.bɾã.ˈʒẽ.tʃɪs
abrangeram	a.bɾã.ˈʒe.ɾãʊ̃
abrangeria	a.bɾã.ʒe.ˈɾi.ə
abrangerá	a.bɾã.ʒe.ˈɾa
abrangeu	a.bɾã.ˈʒew
abrangia	a.bɾã.ˈʒi.ə
abrangiam	a.bɾã.ˈʒi.ãʊ̃
abrangida	a.bɾã.ˈʒi.də
abrangidas	a.bɾã.ˈʒi.dəs
abrangido	a.bɾã.ˈʒi.dʊ
abrangidos	a.bɾã.ˈʒi.dʊs
abrangindo	a.bɾã.ˈʒĩ.dʊ
abrangência	a.bɾã.ˈʒẽ.si.ə
abranhos	a.ˈbɾã.ɲʊs
abranja	a.ˈbɾã.ʒə
abranjam	a.ˈbɾã.ʒãʊ̃
abrantes	a.ˈbɾã.tʃɪs
abras	ˈa.bɾəs
abrasax	a.bɾa.ˈzaks
abrasileiramento	a.bɾa.zi.ley.ɾa.ˈmẽ.tʊ
abrasiva	a.bɾa.ˈzi.və
abrasivas	a.bɾa.ˈzi.vəs
abrasivo	a.bɾa.ˈzi.vʊ
abrasivos	a.bɾa.ˈzi.vʊs
abrasão	a.bɾa.ˈzãʊ̃
abravanel	a.bɾa.va.ˈnɛw
abraveses	a.bɾa.ˈve.zɪs
abraxas	a.ˈbɾa.ksəs
abraâmica	a.bɾa.ˈã.mi.kə
abraâmicas	a.bɾa.ˈã.mi.kəs
abraão	a.bɾa.ˈãʊ̃
abraça	a.ˈbɾa.sə
abraçada	a.bɾa.ˈsa.də
abraçadas	a.bɾa.ˈsa.dəs
abraçado	a.bɾa.ˈsa.dʊ
abraçados	a.bɾa.ˈsa.dʊs
abraçam	a.ˈbɾa.sãʊ̃
abraçando	a.bɾa.ˈsã.dʊ
abraçar	a.bɾa.ˈsax
abraçara	a.bɾa.ˈsa.ɾə
abraçaram	a.bɾa.ˈsa.ɾãʊ̃
abraçava	a.bɾa.ˈsa.və
abraçavam	a.bɾa.ˈsa.vãʊ̃
abraço	a.ˈbɾa.sʊ
abraços	a.ˈbɾa.sʊs
abraçou	a.bɾa.ˈsow
abraçá-la	a.bɾa.ˈsa.lə
abraçá-lo	a.bɾa.ˈsa.lʊ
abre	ˈa.bɾɪ
abre-alas	a.bɾi.ˈa.ləs
abre-campo	a.bɾi.ˈkã.pʊ
abreiro	a.ˈbɾey.ɾʊ
abrem	ˈa.bɾẽỹ
abreu	a.ˈbɾew
abrevia	a.bɾe.ˈvi.ə
abreviada	a.bɾe.vi.ˈa.də
abreviadamente	a.bɾe.vi.ə.da.ˈmẽ.tʃɪ
abreviadas	a.bɾe.vi.ˈa.dəs
abreviado	a.bɾe.vi.ˈa.dʊ
abreviadores	a.bɾe.vi.ə.ˈdo.ɾɪs
abreviados	a.bɾe.vi.ˈa.dʊs
abreviando	a.bɾe.vi.ˈã.dʊ
abreviar	a.bɾe.vi.ˈax
abreviatura	a.bɾe.vi.a.ˈtu.ɾə
abreviaturas	a.bɾe.vi.a.ˈtu.ɾəs
abreviação	a.bɾe.vi.a.ˈsãʊ̃
abreviações	a.bɾe.vi.a.ˈsõỹs
abreviou	a.bɾe.vi.ˈow
abri	a.ˈbɾi
abri-la	a.ˈbɾi.lə
abri-lo	a.ˈbɾi.lʊ
abri-los	a.ˈbɾi.lʊs
abria	a.ˈbɾi.ə
abriam	a.ˈbɾi.ãʊ̃
abricó	a.bɾi.ˈkɔ
abridor	a.bɾi.ˈdox
abridores	a.bɾi.ˈdo.ɾɪs
abriga	a.ˈbɾi.gə
abrigada	a.bɾi.ˈga.də
abrigadas	a.bɾi.ˈga.dəs
abrigado	a.bɾi.ˈga.dʊ
abrigados	a.bɾi.ˈga.dʊs
abrigam	a.ˈbɾi.gãʊ̃
abrigando	a.bɾi.ˈgã.dʊ
abrigar	a.bɾi.ˈgax
abrigaram	a.bɾi.ˈga.ɾãʊ̃
abrigarem	a.bɾi.ˈga.ɾẽỹ
abrigaria	a.bɾi.ga.ˈɾi.ə
abrigariam	a.bɾi.ga.ˈɾi.ãʊ̃
abrigará	a.bɾi.ga.ˈɾa
abrigassem	a.bɾi.ˈga.sẽỹ
abrigava	a.bɾi.ˈga.və
abrigavam	a.bɾi.ˈga.vãʊ̃
abrigo	a.ˈbɾi.gʊ
abrigos	a.ˈbɾi.gʊs
abrigou	a.bɾi.ˈgow
abrigue	a.ˈbɾi.gɪ
abriguem	a.ˈbɾi.gẽỹ
abrigá-la	a.bɾi.ˈga.lə
abrigá-lo	a.bɾi.ˈga.lʊ
abrigá-los	a.bɾi.ˈga.lʊs
abril	a.ˈbɾiw
abril-junho	a.bɾiw.ˈʒũ.ɲʊ
abrilada	a.bɾi.ˈla.də
abrilhantando	a.bɾi.ʎã.ˈtã.dʊ
abrilhantar	a.bɾi.ʎã.ˈtax
abrilhantaram	a.bɾi.ʎã.ˈta.ɾãʊ̃
abrilhantou	a.bɾi.ʎã.ˈtow
abrilongo	a.bɾi.ˈlõ.gʊ
abrimos	a.ˈbɾi.mʊs
abrindo	a.ˈbɾĩ.dʊ
abrir	a.ˈbɾix
abrira	a.ˈbɾi.ɾə
abriram	a.ˈbɾi.ɾãʊ̃
abrirem	a.ˈbɾi.ɾẽỹ
abriria	a.bɾi.ˈɾi.ə
abririam	a.bɾi.ˈɾi.ãʊ̃
abrirá	a.bɾi.ˈɾa
abrirão	a.bɾi.ˈɾãʊ̃
abrissem	a.ˈbɾi.sẽỹ
abriu	a.ˈbɾiw
abro	ˈa.bɾʊ
abrocoma	a.bɾo.ˈkõ.mə
abrolhos	a.ˈbɾɔ.ʎʊs
abrota	a.ˈbɾɔ.tə
abrunhais	ə.bɾũ.ˈɲays
abrunheira	a.bɾũ.ˈɲey.ɾə
abrunheiro	a.bɾũ.ˈɲey.ɾʊ
abrunhosa	a.bɾũ.ˈɲɔ.zə
abrupta	a.ˈbɾup.tə
abruptamente	a.bɾup.ta.ˈmẽ.tʃɪ
abruptas	a.ˈbɾup.təs
abrupto	a.ˈbɾup.tʊ
abruptos	a.ˈbɾup.tʊs
abruzos	a.ˈbɾu.zʊs
abrã	a.ˈbɾã
abrão	a.ˈbɾãʊ̃
abrótano	a.ˈbɾɔ.ta.nʊ
abrótea	a.ˈbɾɔ.te.ə
absa	a.be.ɛ.si.ˈa
absalão	ab.sa.ˈlãʊ̃
abscessos	ab.ˈsɛ.sʊs
abscissas	ab.ˈsi.səs
abscisão	ab.si.ˈzãʊ̃
abscísico	ab.ˈsi.zi.kʊ
absenteísmo	ab.zẽ.te.ˈiz.mʊ
absentia	ab.ˈsẽ.tʃi.ə
absentismo	ab.sẽ.ˈtʃiz.mʊ
absidada	ab.si.ˈda.də
absidal	ab.si.ˈdaw
abside	ab.ˈsi.dʒɪ
absides	ab.ˈsi.dʒɪs
absidíolos	ab.si.ˈdʒi.o.lʊs
absinto	ab.ˈsĩ.tʊ
absolutamente	ab.so.lu.ta.ˈmẽ.tʃɪ
absolutas	ab.so.ˈlu.təs
absolutismo	ab.so.lu.ˈtʃiz.mʊ
absolutista	ab.so.lu.ˈtʃis.tə
absolutistas	ab.so.lu.ˈtʃis.təs
absolutivo	ab.so.lu.ˈtʃi.vʊ
absolutos	ab.so.ˈlu.tʊs
absolvendo	ab.sow.ˈvẽ.dʊ
absolver	ab.ʃow.ˈvex
absolveu	ab.sow.ˈvew
absolvida	ab.sow.ˈvi.də
absolvido	ab.sow.ˈvi.dʊ
absolvidos	ab.sow.ˈvi.dʊs
absolvição	ab.sow.vi.ˈsãʊ̃
absorbância	ab.soɣ.ˈbã.si.ə
absorto	ab.ˈsox.tʊ
absorva	ab.ˈsoɣ.və
absorvam	ab.ˈsoɣ.vãʊ̃
absorve	ab.ˈsoɣ.vɪ
absorvedor	ab.soɣ.ve.ˈdox
absorvedora	ab.soɣ.vi.ˈdo.ɾə
absorvedores	ab.soɣ.vi.ˈdo.ɾɪs
absorvem	ab.ˈsoɣ.vẽỹ
absorvendo	ab.soɣ.ˈvẽ.dʊ
absorvente	ab.soɣ.ˈvẽ.tʃɪ
absorventes	ab.soɣ.ˈvẽ.tʃɪs
absorver	ab.ʃoɣ.ˈvex
absorveram	ab.soɣ.ˈve.ɾãʊ̃
absorverem	ab.soɣ.ˈve.ɾẽỹ
absorveria	ab.soɣ.ve.ˈɾi.ə
absorveu	ab.soɣ.ˈvew
absorvia	ab.soɣ.ˈvi.ə
absorviam	ab.soɣ.ˈvi.ãʊ̃
absorvida	ab.soɣ.ˈvi.də
absorvidas	ab.soɣ.ˈvi.dəs
absorvido	ab.soɣ.ˈvi.dʊ
absorvidos	ab.soɣ.ˈvi.dʊs
absorvância	ab.soɣ.ˈvã.si.ə
absorção	ab.sox.ˈsãʊ̃
absorções	ab.sox.ˈsõỹs
abstenham	abs.ˈtẽ.ɲãʊ̃
abstenção	abs.tẽ.ˈsãʊ̃
abstenções	abs.tẽ.ˈsõỹs
absterem	abs.ˈte.ɾẽỹ
abstergo	abs.ˈtɛɣ.gʊ
abstinência	abʃ.tʃi.ˈnẽ.si.ə
abstiveram	abʃ.tʃi.ˈve.ɾãʊ̃
abstivessem	abʃ.tʃi.ˈvɛ.sẽỹ
abstracionismo	abs.tɾa.si.o.ˈniz.mʊ
abstracionistas	abs.tɾa.si.o.ˈnis.təs
abstraindo	abs.tɾa.ˈĩ.dʊ
abstrair	abs.tɾa.ˈix
abstratamente	abs.tɾa.ta.ˈmẽ.tʃɪ
abstratas	abs.ˈtɾa.təs
abstratos	abs.ˈtɾa.tʊs
abstração	abs.tɾa.ˈsãʊ̃
abstrações	abs.tɾa.ˈsõỹs
abstém	abs.ˈtẽỹ
abstêmio	abs.ˈtẽ.mi.ʊ
absurda	ab.ˈsuɣ.də
absurdamente	ab.suɣ.da.ˈmẽ.tʃɪ
absurdas	ab.ˈsuɣ.dəs
absurdo	ab.ˈsuɣ.dʊ
absurdos	ab.ˈsuɣ.dʊs
abu	a.ˈbu
abuda	a.ˈbu.də
abuelo	a.bu.ˈẽ.lʊ
abugida	a.bu.ˈʒi.də
abugidas	a.bu.ˈʒi.dəs
abuja	a.ˈbu.ʒə
abulafia	a.bu.la.ˈfi.ə
abulfeda	a.buw.ˈfe.də
abuna	a.ˈbũ.nə
abunda	a.ˈbũ.də
abundam	ə.ˈbũ.dãʊ̃
abundancia	a.bũ.dã.ˈsi.ə
abundante	a.bũ.ˈdã.tʃɪ
abundantemente	a.bũ.dã.tʃi.ˈmẽ.tʃɪ
abundantes	a.bũ.ˈdã.tʃɪs
abundava	a.bũ.ˈda.və
abundavam	a.bũ.ˈda.vãʊ̃
abundância	a.bũ.ˈdã.si.ə
abundâncias	a.bũ.ˈdã.si.əs
abusa	a.ˈbu.zə
abusada	a.bu.ˈza.də
abusadas	a.bu.ˈza.dəs
abusado	a.bu.ˈza.dʊ
abusador	a.bu.za.ˈdox
abusadores	a.bu.za.ˈdo.ɾɪs
abusados	a.bu.ˈza.dʊs
abusam	a.ˈbu.zãʊ̃
abusando	a.bu.ˈzã.dʊ
abusar	a.bu.ˈzax
abusaram	a.bu.ˈza.ɾãʊ̃
abusava	a.bu.ˈza.və
abusir	a.bu.ˈzix
abusiva	a.bu.ˈzi.və
abusivamente	a.bu.zi.va.ˈmẽ.tʃɪ
abusivas	a.bu.ˈzi.vəs
abusivo	a.bu.ˈzi.vʊ
abusivos	a.bu.ˈzi.vʊs
abusos	a.ˈbu.zʊs
abusou	a.bu.ˈzow
abutres	a.ˈbu.tɾɪs
abá	a.ˈba
abádidas	a.ˈba.dʒi.dəs
abássida	a.ˈba.si.də
abássidas	a.ˈba.si.dəs
abão	a.ˈbãʊ̃
abílio	a.ˈbi.li.ʊ
abóbada	a.ˈbɔ.ba.də
abóbadas	a.ˈbɔ.ba.dəs
abóboda	a.ˈbɔ.bo.də
abóbodas	a.ˈbɔ.bo.dəs
abóbora	a.ˈbɔ.bo.ɾə
abóboras	a.ˈbɔ.bo.ɾəs
abô	a.ˈbo
aca	ˈa.kə
acaba	a.ˈka.bə
acabada	a.ka.ˈba.də
acabadas	a.ka.ˈba.dəs
acabado	a.ka.ˈba.dʊ
acabados	a.ka.ˈba.dʊs
acabam	a.ˈka.bãʊ̃
acabamento	a.ka.ba.ˈmẽ.tʊ
acabamentos	a.ka.ba.ˈmẽ.tʊs
acabamos	a.ka.ˈbã.mʊs
acabando	a.ka.ˈbã.dʊ
acabar	a.ka.ˈbax
acabara	a.ka.ˈba.ɾə
acabaram	a.ka.ˈba.ɾãʊ̃
