! (vykřičník)	kɾˈitˈvˈ
1620	fʃɛtsnaːtsɛdvatsɛt
1625	ʃɛsnˈaːtsɛdvatsɛtpjɛt
16palcové liťáky	ʃɛstnaːsci paltsovɛː lɪɟɛaːkɪ
17	sɛdumnadst
17-sedmnáct	sɯrmɳɑq
17.	sɛdumnaːtstɛːɦa
1700	sɛrmnatsɛt
1789	sɛbnatsjɛtʔusmdɛsaːdɛvjɛt
18	osumnˈaːts
18-osmnáct	ʔɑsmɑn
180	stˈoˈosmdɛsˌaːt
1802	osmnaːtsɛdva
185	stɔɔsʲmdɛsaːtpjɛt
19	dɪvatɛnaːst
19-devatenáct	dɪhʊdɪnˈaːs
1904	dɛvatɛnaːtsɛtʃtɛr̝ɪ
1905	tisíːdzdɛvjɛtsɛtpjɛt
1908	dvatɛnatsɛtˈostən
1919	dɛvatɛnaːtsɛdɛvatɛnaːst
1923	vˈatɛnaːtsɛdvatsɛtr̝iː
1926	dɛvatɛnaːtsɛtdvatsɛtʃɛst
1928	dɛvatɛnaːtsɛtvˈɑtsɛtˈostɛn
1929	dvatɛŋaʑtsɛdvatsɛdɛvjɛ
1964	jɪvɛnjɛsiːtsdɛvjɛtsɛtʃɛdɛsadtʃtɛr̝ɛ
1972	dvatɛnatsɛtsɛmdɛsadva
1983	dɛvatɛnaːtsɛtʔusumdɛsaːtr̝ɪ
1986	dɛvatɛnaːtsɛtosumdɛsaːtʃɛst
199	stodavodɛsaːdɛvjɛ
1993	dɛvatɛnastatdɛvarɪθatr̝i
1994	dɛvadnaːtsɛdɛvadɛsaːtʃtɛr̝ɪ
1997	dɛvatɛnatsɛdɛvatɛtsaːtsɛdnˈ
1999	kisʲitsʲdɛvʲetstsadɛvadɛstadɛvʲa
1°c	jɛdɛnstupɛɲtsɛlzjɛ
2	dˈə-vˈɛ̃
2 krát tolik produkce	dvakaːt tˈolɪk produgtsɛ
2-dva	dvˈa
20	dvatsɛt
20-dvacet	dvɑtsɛt
200	dvjɛstɛ
2001	dvatɪsxɛtsɛjɛdna
2003	dvˈadɪsiːtsɛtr̝ɪ
2007	natusitsɛsɛdum
2009	vˈatɪsiːtsɛnɛvjɛt
2010	dvˈatɪsiːtsɛdɛsɛt
2012	dvˈatɪsiːtstsɛdvˈanaːst
2013	vˈatɪsiːtsɛtr̝ɪnaːts
2015	dvˈatɪsiːtsɛpatnaːts
2016	dvˈatɪsiːtsɛʃɛstnaːts
2018	vatɪsiːtsɛosmunats
2050	dvˈatɪsiːtsɛpalɛsaːt
21	dvatsɛtjɛdna
21-dvacet jedna	dvatsɛt jɛdna
22	dvatsɛtdvˈa
22-dvacet dva	vatsɛ bva
224	dvjɛstɛdvˈatsɛtʃcɛr̝ɛ
23-dvacet tři	dvˈatɛ tr̝ɪ
23.	vɛːdvaːtsaːtɛːɦatr̝ɛtɪɦa
2357	dvˈatɕɛʃiːtsɛtr̝ɪstˈaparɛsadzɛtsɪda
24	dvatsɛttʃtɛr̝ɪ
24-dvacet čtyři	dvɑtsɑt ʧtɛri
25	vatsɛtpjɛt
25-dvacet pět	bɔzɔt pjat
250	vjɛstɛpaɟɛsaːt
256	dvjɛstɛpadɛsaːtʃɛst
26	dvatsɛtʃɛst
26-dvacet šest	balzatsʲ tʂasd
27	vatsɛtsɛdn
27-dvacet sedm	vˈazit sˈɪrmi
28	dvatsɛtɔsmiː
28-dvacet osm	dvatɛt ʔosɛmɪ
29	vatsɛdɛvjɛt
29-dvacet devět	vatˈa døvjɛt
299	dvjestɛtɛvarɛtsaːtdɛvjɛ
3	se
3-tři	tʃɨ
30	tr̝itsɛt
30-třicet	trɨtsˈɑt
300	tr̝ɪsta
31-třicet jedna	tʃɾɪtsɐjɛna
32-třicet dva	tr̝ɪtsɛtdva
33	tr̝itsɛːtr̝iː
33-třicet tři	tʂɨtsʲɛ tr̝ɪ
330	tʂɛjstɔtʂɪtsɛt
333 stříbrných křepelek přeletělo přes 333 stříbrných střech.	tr̝iːsta tr̝itsɛ tr̝ɪ ztr̝iːbniːx kr̝ɛpɛlɛk pr̝ɛlɛtɛlo pr̝ɛz tr̝iːsta tr̝ɪtsɛ tr̝ɪ ztr̝iːbniːx str̝ɛx
34	tr̝itsatʃtɛr̝ɪ
34-třicet čtyři	tɨ tsvɨrɨ
35	tr̝itsɛtpjɛt
35-třicet pět	dʐa
36-třicet šest	tʃɨtsʲa tʃast
37	tr̝iːtsɛtsɛdm
37-třicet sedm	tsəqtärsərɪ̞mɪ̞n
38	tr̝ɪtsɛtˈosm
38-třicet osm	tʃrɛtsɛɾˈostnˈuː
39	tr̝iːtsɛdɛvjɛt
39-třicet devět	fɛtsɛndɔvjɛts
3g	tɾigɛː
4	tʃtɛri
4-čtyři	tɨrɨ
4.	tʃtɔrtʲi
40	tʃtɛr̝ɛtsɛts
40-čtyřicet	tʃtɛr̝ɪtsɛt
400	tʃtɛr̝ɪsta
41-čtyřicet jedna	tʃtˈor̝ɛtsɛ dɪɛdna
42	ʃcɛr̝ɪtsɛtdvˈa
42-čtyřicet dva	tɨrɨtsɛ dva
43	tʃtɛr̝ɪtsɛtr̝ɪ
43-čtyřicet tři	tʂtɨrɨtsɨt tr̝ɨ
44-čtyřicet čtyři	tʃtɨrɨtsɨ tʃitɨrɨ
45-čtyřicet pět	tɨrɨtsːat pjat
46-čtyřicet šest	tʃtɛrɨtsˈɑ tʃˈɑst
47	tʃtɪr̝ɪtsɛtsɛdu
47-čtyřicet sedm	tʃtɛritsɛ tsɛrmu
48-čtyřicet osm	tɨr̝ɨtsɛ rosnup
480	tʃtɪr̝ɪstˈaosmdɛsaːt
49	ʃtɛr̝ɪtsʲɐdɛvjɛt
49-čtyřicet devět	tʂtɨrɨtsːa dɛvʲet
5	pjɛt
5-pět	pjɛt
50	baləsˈɑːt
50 metrů čtverčnich	padɛsad mɛtruː tʃtvrɛtʃniːx
50-padesát	parɛsaːt
500	pˈɪtsˌɛt
5000	pjɛtkɛθiːts
51	padɛsantjɛdna
51-padesát jedna	β̞aɾes aːr eɾnə
52	baːnaːsaːrvaː
52-padesát dva	prɛsaːdva
53	padɛsaːtr̝ɪ
53-padesát tři	arɛsaːt tr̝ɪ
54	padɛsaːtʃtɛr̝ɪ
54-padesát čtyři	prɐrazad tʃtɛri
55	badɛstɑtbjɛt
55-padesát pět	pɐrˈɛsɑˈt pˈet
56-padesát šest	potɛzɑtʃɛs
57-padesát sedm	parɛsatsɨrnʲi
58	bˌɑtɾəshˈaɾtˈʊstən
58-padesát osm	beɾɯsɑɾˈossum
59-padesát devět	baləs ʔaːd oviːa
6	ʃɛst
6-šest	tʃɛs
60	ʃɛlesaːt
60-šedesát	ʃəlɛsˈɑ̃
61-šedesát jedna	ʃɛɾsɑː ɺeːɾnɑː
62-šedesát dva	ʃadɛsɑn dɔua
63	sɛdɛsadtr̝ɪ
63-šedesát tři	sɛdɛsaː tr̝iː
630	ʃɛstsɛtpr̝ɪtsɛt
64	ʃɛdɛsaːtʃtɛr̝ɪ
64-šedesát čtyři	sixɛdzˈaː tʃtɪr̝ɪ
65-šedesát pět	ʃɛriː saːt pjɛt
652	ʃɛstotparɪsaːtdva
66	ʃɪlɪssɑːtʃɛst
66-šedesát šest	tʃɛrzɑːl tʃast
666	tʃɛstsɛtʃɛdɛsadʒas
67	sjædɛsɑːtsɛd̪n
67-šedesát sedm	ʃiɾˈis alsɯɾɯn
68	ʃɛlɛsaːtosiːn
68-šedesát osm	ʃɛdɛsadosmɔ
69	ʃɛlɛʃtʃɑdʒɑːt
69-šedesát devět	ʃɛɾsʰɑn dʱoː vjɑ
7	sɛdu
7-sedm	sɛdˈmɪn
70	sɛndɛsɑːt
70-sedmdesát	tsurumlasaː
71-sedmdesát jedna	tərndə sa dɛdna
72	sɛdmdɛsadva
72-sedmdesát dva	sɛrmdɛsaːd va
720	søːdˈunsøːddˈiːvˈatsøːd
73-sedmdesát tři	sɛdmdɛsaːt tr̝ɪ
74	sɛmnɛsaːtʃtɛr̝ɪ
74-sedmdesát čtyři	saːmnɪsaːr ʃturiː
75	sɛmlɛsaːtpjɛt
75-sedmdesát pět	tɾndə saːq biar
76	sɛndɛsˀɑɾtʃest
76-sedmdesát šest	sɒɾimde sɒz ʃɒsta
77	sɛd̪nd̪esɑːtʃɛd̪n
77-sedmdesát sedm	sɾnd̪ʃ hæɾ sɾm
78	sɛmdɛsaːtosiŋ
78-sedmdesát osm	ɦɛrɨŋɖɛ sɑːrɯfsɯnɯm
780	sɛnsɛtosmdɛsau
79	sɛndɛsɑːrɛvjɛd
79-sedmdesát devět	saːmiːndə saːr dʊˈjɑ
8	tʃi
8-osm	osm
8. červenec 1993	osmɛtʃjɛr vnɛ z dɛvjɛtnɔts ɛdvɛlisaː tr̝ɪ
80	olʃudɛsaːt
80-osmdesát	qɔzumdesaːt
800	osumsɛt
81	ɔˈsuŋdɛsadijeɟimna
81-osmdesát jedna	qˈɑsm dˈosˈa dˈiːjɛdna
82	awˈsɛmdˈøsaːrdɛdvˈa
82-osmdesát dva	ɔsmɛ saːr davaː
83	osmdɛsadtr̝ɪ
83-osmdesát tři	ʔuzun dʒyp sɑrthitʃim
84-osmdesát čtyři	ɑsɑmda sɑtʃ bøjɾi
85-osmdesát pět	bɑsɯn bir saːt pjɑt
86-osmdesát šest	ɒsimdɒ sɒˈɵtʃɒz
87-osmdesát sedm	ulsoːmda satsɯdim
88	oːsmdeːsaːtoːsm
88-osmdesát osm	kusum d̥eːθ naːt ɔ̞sən
885	ostmustsɛtosmdɛθaːtbjɛ̀et
89	lsɯmdɛsɑdɛvɛt
89-osmdesát devět	zɯzɯzadɯ vjattɯ
896	osmusɛdɛvadɛθaːtʃɛst
9	dɛvjɛt
9-devět	davjɛt
90	de̞vɒːne̞sɒːt
90-devadesát	dovɑrɪsɑ
902	dɛvjɛtsɛdvˈa
91-devadesát jedna	doːr saːr jɛdna
911	dɛvjɛtsɛtjɛdɛnast
92-devadesát dva	dˈoːrˈusaːdva
93-devadesát tři	dvalɛ saː tr̝iː
94	dɛvadɛsaːtʃtʃɛr̝ɪ
94-devadesát čtyři	dˈɑfɑɾˈɯ sɑˈnˈ tʃˈitiɾˈi
95-devadesát pět	lɛvɑɫɪ saːt pjat
96-devadesát šest	dˈeːt vˈar ðˈeːt ˈals ʃast
97	davˈalˈessaːtzˈɛdən
97-devadesát sedm	nɛvɛr satsɛr mi
98	tsuːsɑːtˈɔstm
98-devadesát osm	davaːlɑsǎɫtǎlsmuː
99	davaɾɛsadɛvjɛt
99-devadesát devět	dˈɛvɑrˈsaːrtˈ dˈɔvjat
: (dvojtečka)	ɫoi̯tɛtʃkɔ
: (děleno)	bjɛ̀nɑ
; (středník)	strɛdɲːiː
= (rovná se)	rɔnaːsɛ
? (otazník)	odaznik
[slash] (lomítko[slash]lomeno)	lomˈiːtko lomɛno
\	spjɛtnɛːlɔmiːtkɔ
a	a
a cestou	atsɛskou
a co bys chtěl procvičovat	a tsˈo bɪts xtsɛal protsvitʃovat
a co myslíš ty?	a tsˈo mɪsliːʃcɪ
a co ty?	a tsˈo tˈɨ
a co víc	a tsˈo vˈiːts
a copak ty?	ɑtsɑpɑk tɪ
a dluh bude možno splácet	a druɦ budɛ moʒnˈos plˈaːtsɛt
a dále přes naše	a daːlɛbsɛ znaʃɛ
a evropský trh se stane	a ɛvropskˈiː trɛx sɛ stanɛ
a hrubeš se zeptal: ,,jaká vy jste třída?"	tsa aː a nɛrbɪscɛ zɛptal jɛdna vɪstɛ tr̝iːdɛ
a informace se dostala	a ɪnformatsɛ sɛ dostala
a je po legraci!	a jɛ pɔlɛgraːtsi
a je touha realizovat	a jɛ tɔ uɦa rɛalizɔvɑc
a jeho náměstkem byl	a jɛɦo naːmjɛstkɛm bɪl
a ještě jeden bílý chleba a rohlíky	a jɛʃcɛ jɛdɛn piːviː xlɛba a roɦlɪkɪ
a ještě něco	a jɛɕtɛ ɲɛtso
a již za několik dní	a jɪʃ za ɲɛkolɪ gdɲiː
a když	akð̞is
a když požádají	a gdɪʃ poʒaːdajɛ
a když se zjistilo	a gdɪʃ sɛ ziːstɪlɔ
a když už mluvit konkrétně	a gdɪʃ jɛ ji movɪt kɔŋkrɛːtɲɛ
a kniha je už vydána v němčině	a kɲiɦa jɛ uʒ vɪdaːna v ɲɛmtʃɪɲɛ
a kvůli tomu	akau ltɛmɔ̃
a mezi tím začal studovat	ɑ̃n mɛʒˈtˈikˈimˈs atʃˈaʁˈd stˈudɔvˈatˈ
a mezitím začala	a mɛzɪtˈiːm za tʃala
a mimo to	a me motːo
a ministerstvo obrany slovenska	a mɪnɪsɛrstvɔ ɔbranɪ slovɛntska
a myslím, že proto se se mnou chtějí sejít	a mɪsliːm ʒɛ prˈoto sɛ sɛnou xtɛjɪ sɛjiːt
a na hlavě místo	a na ɦlavjɛ mˈiːsto
a na námořních mapách	a na naːmoɾˈɲiːx mapaːx
a nový státní tajemník	a noví staːtniː tajɛmɲɪk
a někdo bude muset	a ɲɛgdo budɛ musɛt
a někdo vůbec ne z vlastní vůle	a ɲɛkdo vuvɛts nɛː zˈvlasniː vulɛː
a o zvýšení výroby	a ozviːtʃɛniː fjɛrɔbɪ
a objemy investic se zvýšily	a objɛmɪ ɪnvɛstɪts sɛ zvˈiːʃɪlɪ
a osvojili další dva	a oʂvujilɪ dalʃiː dva
a osvojili další dvě holčičky	a osvojɪlɪ dalʃiː dvjɛ ɦolciːtʃkɪ
a pak mi to samozřejmě pošli	a pˈak mi tˈo samozr̝ɛjɲɛ puʃlɪ
a pak přišlo tohle	a pˈak pr̝ɪʃlo toɦlɛ
a pak se to stalo.	a pak sɛ tˈo stalɔ
a pamatuj tome, žádný střílení!	a pamatuj tˈomɛ ʒaːdniː stɾiːlɛɲiː
a peníze na výstavbu	a pɛɲizɛ na vˈiːstovbu
a potom jsem se probudil	a potˈom jsɛm sɛ probudil
a produktivita práce	produktɪvɪta praːtsɛ
a proto	aprto
a proto jsou hrdí tím	a prˈoto jisou ɦradikiː jɪm
a proč k sakru ne!	a protʃk sˈa krunɛ
a přece	ap ʃɛtsɛ
a převážná část obyvatelstva	a pr̝ɛvaːʒnaː tʃˈaːst obɪvatɛlstva
a při malém zisku bodů	a pr̝ɪmalɛm zɪsku bˈodu
a sice	asɪtsɛ
a spolu s ní zmizí	a spalu sɲiː zmjɛziː
a tak	ata
a tak dále	atˈak dˈaːlɛː
a taky jsem viděl	a takɪ sɛm vidjɛl
a tobě	a tɔbɛ
a v dalších plánech společnosti	a f dalʃiːx plaːnɛx spolɛtʃnoscɪ
a vyrobená z ní	a vajrobɛnaː sɲiː
a však existuje ještě	a fʃˈak ɛgzɪstujɛ jɛʃcɛ
a zatraceného	a zˈatra tsɛnɛːɦo
aalen	aːlɛm
aamma	ama
abak	aβ̞ak
abakus	abakuz
abakusový	abakuzoviː
abaky	æbˈɑkːɪp
abalda	abalda
abamov	abamof
abatyše	tɑbatuʃtʃæ
abbé	aˈbe
abbéové	abɛovæ
abcházština	abəɣaːsʃtina
abd	apt
abdikace	apdɪkatʃɛ
abdikovat	aprɪkɔva
abdův	abduv
abeceda	abɛtsɛda
abecední	obɛtsɛdniː
abecedy	abetseri
abertamy	apɛrtami
abgébovat	abgæbəʁað
abiotickými	abiɔtɛˈtskimi
abiturient	abakɔɾeːn
abiturientka	abɪtʊrjɛntkɑ
ablace	ablatsɛ
ablézovat	ablazoɣa
abnormalita	abnurmalita
abnormální	abnormaːlɲiː
abonent	abonãn
abonentka	abɔnɛntka
abonentský	ɦabonɛnskiː
abonmá	abonmaõ̞
abonovat	abonovat
aborigén	aborigeːn
abrahámoviny	abraɦaːmovɪnɪ
abraze	abrazɛ
abreviace	abrɛvijatsɛ
abreviatura	abrɛvjatʊra
absces	apstsɛs
absence	apsɛntsɛ
absentovat	abzɛntovat
absentér	apsɛntɛr
absint	abzɛnt
absoluce	apzptsɛ
absolutismus	apsolutɪzmus
absolutistický	apsolutɪstɪtskʲiː
absolutní	abzolutɲiː
absolutním	abzalutnʲiːm
absolutně	absolupne
absolutně ohromující příroda	abzolutɲɛ oɦromujiː tsiː pr̝iːrɔda
absolutorium	abzɔɫtɔɾjɔm
absolvent	apzɔɫvɛnt
absolventa	abzɔlvɛntɑ
absolventka	apsɔvɛntka
absolventský	abzalvɛnskʲiː
absolvovat	apzɔlvɔvat
absolvování	apsolofovaːniː
absolvování vstupního pohovoru je nezbytnou podmínkou přijetí.	apsolofovaːniː fdupɲiːɛɦo poɦovoru jɛ nɛzbɪtnou podmˈiːnkov pr̝ɪjɛciː
absolvují	absolvoji
absorbovat	apzorbovat
absorpce	apzorptsɑ
abstence	apstɛntsɛ
abstinence	abstɪnɛntsæ
abstinent	abztɪɫɛnt
abstrahovat	abstrɛɦovat
abstrakce	apstraktsɛ
abstraktní	abstrugtɲiː
absurdismus	absoɾdɨzəbuz
absurdita	absoɾlətə
absurdnost	apsurdnˈost
absurdní	abzurdmjˈi
absurdních	abzutɲˈiːx
absurdním	abzorɛtnˈi
absurdními	abzodɲˈiːmɪ
absurdum	apsurdum
aby	aˈbˈe
aby ses neposral	ˈabɪsɛ smɛ posral
abych	abɪx
abych pravdu řekl	abɪx pravdu r̝ɛkl
abych pravdu řekl, líbí se mi české ženy	abɪx pravdu r̝ɛkl liːbiː sɛmɪtʃɛskɛː ʒɛnɪ
abych pravdu řekl, není to pro mě jednoduché	abɪx prˈavdu r̝ɛklo nɛɲiː to pro mɲɛ jɛdnotuxɛː
abych se stal profesionálním vývojářem, musím si vytvořit portfolio	abɪk sɛ stal profɛsjonaːlniːm vˈiːvojaːr̝ɛm muːsiːm sɪ vɪdvor̝iːt portfolɪjo
abych to zkrátil	abɪx tˈo zkraːtɪl
abych řekl jinak	abɪx r̝ɛkl jɪnak
abych řekl pravdu	abɪx r̝ɛkl pravdu
abychom	pobɪsum
abys	abes
abysme	abɪsmɛ
abyste	abɪstɛ
abája	ɑbɑjɑ
abáje	abajab
abáji	abaj
abšíd	apʃiːt
ac sparta praha	aːtsɛ sparta praɦa
academia	akademia
acetaldehyd	atsɛtaːldɛhɪt
aceton	atsɛdon
acetonová	atsɛtɔnovaː
acetonový	atsɛtonovˈiː
acetyl	atsatel
acetylén	atsɛtɪlɛn
ach	ax
ach jo	ax jo
ach tak	ax tak
ach tak!	ax tak
achich ouvej	ˈɑxik ɑl bejˈne
achich!	ax
achilles	axjeles
achillova šlacha	a xɪlovan ʃlaka
achillova pata	axɪlovˈaʋˈapata
achilovka	axɪlofka
achjo	axjo
achát	ahat
acyl	ɑtsɪl
acylpyrin	atsɛlpɛrɛjn
acyly	atːsɪlɪ
adam	adˈan
adam helcelet	adam ɦɛl tsɛlɛc
adam hloušek	adˈam ɦlˈouɕʌk
adam macháček	ˈadam maxaːtʃɛk
adam má sklenici vína	adˈam mˈaː s klˈanɛtstsɛ vˈina
adam pavlásek	adˈam pˈavlaːsɛk
adam plachetka	adam plxɛtka
adamec	adamets
adamem	adamɛm
adamova	adamova
adamova hora	adɛmova ɦora
adaptabilita	adaptɑbɪlɪtɑ
adaptabilní	adaptabɪlɲiː
adaptace	adaptatsɛ
adaptace zraku	adaptatsɛzsraku
adaptivní tempomat	adaptɪmɲiː tɛmpomat
adaptovat	adaptovat
adaptér	adaptɛːr
adekvátnost	adɛkvaːtnost
adekvátní	adɛkvaːtɲiː
adekvátního	adɛkvaːtɲiːɦo
adekvátními	adɛkvaːtɲiːmɪ
adekvátnímu	adɛkvaːtɲiːmu
adept	pˈˈaːdə
adheze	aɾhɛzɛ
adhezní	adɦɛzɲiː
adiabatický	adiabatinski
adice	atɪtsɛ
adina	advina
adiže	adɛʒɛ
adjektiva	adjɛktiva
adjektivní	adjɛktɪvɲiː
adjektivum	atʲækdʲivûɔ̯ma
adjustace	adiustatsɛ
adjustovat	abjustɔvat
adlát	adlat
administrace	admɪnɪstratsɛ
administrace kraje	admɪnɪstratsɪkrajɛ
administrativa	admɪnistrativa
administrativní	administrativnʝ
administrativní dělení česka	admɪnɪstraːtɪvɲiː ɟɛlɛɲiː tʃɛska
administrativního	admɪnɪstrətɪvɲiːɦo
administrativnímu	admĩŋistratɪvɲiːv
administrativní cestou	admɪnɪstrɑtɪvɲiːtsɛstou
administrativní překážky	admɪnɪstrodɪvɲiːpr̝ɛkaːʃkɪ
administrativní zdroj	admɪnɪstrətɪvɲiːzdorˈɔvɪ
administrativy	að̞minizt̪ɾat̪iβ̞i
administrátor	admɪnɪstɾaːtor
admiralita	admiralita
admirál	admɪraːl
adolf	adɔlf
adolf stránský	adof straːnskiː
adolf čech	adalf tʃɛx
adopce	adoptsɛ
adoptivní syn	a daptɪvɲiː sɪn
adoptivním synem	a doptɪbɲim sɪnɛm
adoptivnímu synovi	a adoptɪvɲiː mu sɪnovɪ
adoptovala	aduptovala
adoptovat	aðɯ̞s̺t̪uma
adorace	adoratsɛ
adorovat	adorova
adrenalin	sanðɾenɾiːn
adres	adrɛs
adresa	adrɛsa
adresa pro fakturaci	adrɛsa pro fˈakturatsɪ
adresant	adrɛsant
adresní	adrɛsɲiː
adresou	adrɛsɔu
adresovaný	adrɛsofanˈiː
adresovat	adrˈɛsˈovat
adresovatelný	adrɛsovatɛlɲiː
adresová	adrɛsɔvaː
adresování	adrɛsomaːniː
adresová data	adrɛsvovaːdˈata
adresuješ	adrɛsujɛʃ
adresuji	adrɛsujɛ
adresujte	adrɛsujidɛ
adresát	adrɛsɑːt
adresář	otʃiɛsauz
adrian werner	ˈɑdɾiən vɚnər
adriana	adrɛjana
adriatský	adrɛjadskiː
adrie	aː
adriena šimotová	adriɛnɑ ʃimɔtɔtɔvaː
adršpach	adrɛʃpɑx
adsorbovat	attsormoˈvˈat
adsorbující	atsorbujiːtsiː
adsorbující látka	atsorbujiːtsiːlaːtka
adsorbát	apsoːrbaːt
adsorpce	atzɔrptse
adukt	ˈadukt
adut	adu
aduty	adutɪ
advent	advɛnt
adventní	advɛntɲiː
adverbiale	advɛrbialɛ
adverbium	adˈværbɪuːm
advokacie	adfokatsiɛ
advokát	advogaːt
advokáti	advokaːtɪ
advokátka	advokaːtka
advokátní	advokaːtɪm
advokátní praxe	advokaːtɲiː praksɛ
advokátní poradna	advokaːtɲiːporadna
advokátský	advokaːtskiː
advokátství	advogaːtstvɪɲiː
adygejština	alɪgɛːʃtɕɪna
adámek	adəmɨ
adéla	adəla
adéle	adɛlɛ
adélku	adɛːlkv
adına	aːɟːana
aeon	aɪoːn
aeony	æˈoni
aera	aɛra
aerace	aɛratsɛ
aero	aero
aerob	aɛrop
aerobik	rɔbik
aerobus	aːrəbuz
aerodrom	ɛɛrɔdrɔm
aerodynamický tunel	aɾoɾinamɛtskitunel
aerodynamika	ɛɾˈɔriːnɑmɪkɑ
aerofobie	ɛrɔfɔbjɛ
aeroklub	ajrɔklub
aerolinie	ˈaɪhˈædɹˈʌlˈɪnjɪˈu
aerolinky	airolinke
aerolit	ajɛrɔɫɪt
aeronavigace	aeɾonavigatsɛ
aeroplán	pɛroplaːn
aerosol	aɛrosol
aerostat	ajrɔztot
aerotaxi	aeɾotaksj
aerátor	ˈaɛraˌtɔr
afary	aθarˈj
afarština	afarʃtʃajɛnɑ
afekt	afɛk
afektivní poruchy	efɛktɪvɲiː poruxɪ
afektovanost	afɛktovanɔst
afektovaný	afɛktovonɛ
afektové	afɛktovɛː
afel	afel
afely	afɛɾlɪp
afghánec	afgaːnˈat
afghánistán	afgɑːnɪʃtɑːn
afghánský	afˈɣoːnskiː
afghánština	afgaːnstɪna
afgánec	afganəts
afilovaná osoba	afjlovonaːosoba
afinovat	afinobat
afix	fˈɛks
afixy	afˈikkˈ
afiš	afiʃ
afiše	afiʃe
aforismus	aforɛsmus
afra	afra
africká	afrˈisˈkˈa
afrického	afriːkskˌeːʁˈɑ
africký	afrɛtskˈiː
afrika	afrika
afriky	afriki
afrikánština	ʔfriːkaːnʃtɪnaː
afričan	afrɪtʃaŋ
afričanka	afɾɛjtʃanka
afro	afrɔ
afta	aftɑ
afty	ɑfˈti
afélium	ofeˈlɪm
aféra	afɛra
aféry	æθɪrʲɪ
aga	agˈa
agama	agama
agamy	agami
agapa	agapa
agapy	agapɛ
agar	ɑgɑr
agary	agarɪ
agence	agɛntsɛ
agenda	agˈɛnda
agendy	agɛndɪ
agent	aɣ̞ɛnt
agenti fsb	ˈagɛnˈtifsb
agentka	agɛntka
agentura	aɣ̞ɛntura
agenturní	agenttuɾiɲi
agentury	adʒenturi
agentuře	akest̪tutʃe
agilnost	agɨlnost
agitace	agidatsɛ
agitační	agɪtatʃɲiː
agitačního	agɪtatʃɲiːɦa
agitovat	aːgitova
agituj	agitʊja
agitujte	akɪtojtaja
agitátor	agitaːtɔl
agitátorka	agitatorka
aglomerace	aglɔmɛratsɛ
aglomerační	aglomɛratʃɲiː
agni	ogne
agnát	agnaːt
agon	aɣoɾ
agory	agori
agregát	agrɛgɑː
agregátní	agrɛgaːtɲiː
agregáty	agʎegˈate
agregátů	agregoatu
agrese	agrɛsɛ
agresivita	agɾɛsɪvita
agresivnost	agrɛsivnɔst
agresivní	agɾɛsivnʲ
agresivního	agrɛsɪvɲˈiːɦa
agresor	ˈagɾɛsoɾ
