!	vikritʃɲiːk
%	pɛrtsɛnt
(	zaːtvorka
agremán	agrɛmaːn
agresia	agɾɛsia
agresor	agɾesoro
agresívny	ˌɐgɹɨsˈivw
agrobiológia	agrabialogija
agronomický	abronomitskijɛ
agronómia	agronomia
agrárny	ogɾaːrni
agát	agat
agátový	aːgaːrtɔvj
agónia	agonija
aha, pozri!	aha pɔzɛrˈi
ahoj	aɦoɪ
ahojte	aɣoɫtsi
aj	aj
aj mňa	a adzʲin mnʲa
aj tebe	æj tʲɛpɛ
ajťák	ajdʑak
ak	ak
akademik	akadɛmik
akadémia	akadˈemɪa
akcent	aktsɛnt
akcentovať	aktsɛntovatɕ
akceptovanie	aktsɛptɔvɒɲiɛ
akceptovať	aktsɛptovatɕ
akceptujem	aktsɛptujɛm
akceptácia	aktsɛptɑːtsiːja
akcia	aktsɪja
akcionár	aktsionaːr
aker	akˈɛr
aklimatizovať	aklimatizovac
aklimatizácia	aklimatɪzɑːtsia
ako	ako
ako sa máte?	akosa maːtʃe
ako sa máš	akˈo sɒmaːʃ
ako sa máš?	aːkusaːmaːʃ
ako sa voláte	ɑkɔ sa vɔlaːcɛ
ako sa voláš?	ɑkɔ sɛ voˈlaʃ
ako ti môžem pomôcť?	ako ti moʒɛm pamotsʲ
ako často hráš futbal?	ˈako tʃasto ɦraːʃ futbɛl
akokoľvek	ˈaːgəkɔliːvɛk
akom	akon
akord	akoɾð̞
akordeón	akɔrdɛɔn
akostný	akostɲiː
akosť	aːkostɛ
akreditovaný	akrɛdɪtɔvɑːniː
akreditovať	akrɛditɔvac
akreditácia	akreditaːtsia
akrobacia	akrɔbatsia
akrobat	akrɔbat
akropola	akropɔla
akrylonitril	akrɪlɔnitʲrɪl
aksamietnica	aksamjɛtɲɪtsa
akt	akt
aktivita	aktivita
aktovka	aktɔwka
aktualita	aktualita
aktualizované	aktualizɔvanɛː
aktuálny	aktuaːlni
aktér	aktɛːr
aktívnosť	aktɪjvnɔsc
aktívny	aktivni
aktívnych	aktɪvnɪç
akurát	ˈakuraːt
akurátny	aːkwrɑːtʰni
akustický	akustitskʲi
akustika	akustika
akvadukt	akvaduɣt
akvarel	aːkvaɾɛl
akvárium	akvaːrjum
aká	akˈɔː
aké máte povolanie?	akɛː maːtɕɛ pɔvɔlaɲiɛ
aké máš telefónne číslo?	akɛ maʃ tɛlɛfɔnɲɛ tʃiːsɫɔ
akútne	akau̯slu
akútny	akutni
aký	aki
aký cestovný lístok si prajete?	ɑkiː tsɛstɔvniː liːstɔk si prajɛcɛ
aký je dnes deň?	aki jɛ dɲɛ zɟɛɲ
aký je muž? to je vysoký muž.	aki i ɛ muʃ tɔ jɛ visɔkiː muʃ
aký otec, taký syn.	aki okɛtɕ takisim
akýkoľvek	akikːʃ
akým	akim
akým jazykom hovoríte?	ɑkiːm jɑzikɔm ɦɔvɔriːcɛ
akými jazykmi hovoríš?	akɪːmi jɑzɪk mi ɦovoriːʃ
akýsi	akisi
akýže	akˈiʒɨ
akčný film	aktʃli fˈilm
alarmujúcej	ɑlɑrmojˈuɫutsɑjˈ
albatros	albatros
albert	ɑlbɛrt
album	lβ̞wm
albánsko	albaːntsko
albánsky	albaːnski
albín	albˈiŋ
alchymista	alxɛmjsta
alchýmia	ɑlxʲæmʲæ
ale	alɛ
ale tvár mala odhalenú	alɛ tvaːrmala otɦaɫɛnu
alebo	alɛfɔ
alegória	alɛgɔria
aleja	kalaja
alela	alɛwa
alergia	alɛɾɣia
alergológia	alærgologija
alergén	alɛrgɛn
alexander dubček	alɛksaːndɛr dupcɛk
alexander macedónsky	alɛksantɛr maːtsɪdo uŋski
alexandra	alɛksandra
algebra	lɣ̞ɛbra
algoritmus	alɣʊritmʊs
aligátor	aligator
alimenty	alimenti
aljaška	alʲeʂka
alkaloid	alkalojd
alkohol	ˈɑlkəvoɭ
alkoholový	aːlkoɦolɔfiː
alkonost	alkɔnust
almanach	almɑnɯ̞
alobal	alobaɫ
alpinizmus	palpĩŋismus
alžbeta bátoriová	alʒbeta baːt oriova
alžír	alɣ̞iɾ
alžírsko	alʒiːrsko
alžírsky	alɛʒʲirski
amazonka	amasoɔ̃ka
ambasáda	ambasada
ambulancia	amβ̞wlnkia
ambície	ambitsˈe
amen	ɑˈmɛn
americký	amerɛtskaj
amerika	amerika
američan	ɑːmeɾitʃan
američanka	ameriˈtʃanˈkˈa
ametyst	ametist
amfora	ɐmfɔɾɐ
amputácia	ampɔtaːtsiːja
ampér	ampɛr
amsterdam	amsterdam
amulet	amulɛt
amur	lɛn
anakonda	anakonda
analytici	anaːliːtitsi
analytický	analiːtitskiː
analytik	analitik
analytička	anɑːlitɑtʃka
analyzovali	analizovaliː
analyzovať	onaːlizɔvatɕ
analyzuje	anɛkɔtɔjɛ
analógia	anaɫoɣ̞ja
analýza	anˈɑliːza
ananás	anˈɔnˈaːs
ananásový	ananaːsɔfiː
anarchia	ɑnɑrxʲiɑ
anatómia	anatomija
andezit	aːndaːzid
andorra	ɑŋdɯɾɑ
andragogika	andragogikɛ
andrej kiska	antrɛkɛtkɑ
andrej meszároš	ɐ̃ŋdɹˈemɨ sˈaɾɐʃ
andrej sekera	andrai sʃʊʃura
andrej sládkovič	anˈd̪ɾɛj slatkoˈvix
andreja	ɾɛja
andrija pavlović	andrija pa˥˩ːvlo˥˩ːviʧ
android	androjt
anekdota	anɛkdɔta
anestézia	anekseldʒja
anglicko	ɑŋglɪtskɑ
anglický	aŋglitski
angličan	anglidʒan
angličanka	aŋglitʃanka
angličtina	anɣlidʒtʃcɪna
angola	aŋgola
ani	apavʲerɨɫa
animovaný	animɔvɑːnɛ
animálny	animaalmi
anjel	aɲɛl
anjelik	aɲɛlik
anjelský	pˈanɪɚski
ankara	amkara
anketa	ankɛta
anna	anna
anna karolína schmiedlová	ãnˈdɑ kæɾˈɑɹi næʃod lɔbɑ
anna kolesárová	anana kolɛsaːrovaː
anomália	anumalia
anorexia	ɑnɔɾeksiːjɑn
anotácia	anotatsia
antarktický	antarktitski
antarktída	antˈarktidˈ
antibiotický	antɪbʲiɔtʲits
antibiotikum	antɪbjɔtikum
antický	antitski
anticyklón	antistigoɔn
antifašizmus	antifaʃismuʃ
antika	antika
antikoncepcia	antɪkɔntsɛptsia
antikvariátový	antikvarietoi
antikvárny	antˈikvˈaːrni
antilopa	antilopa
antipatia	antipatie
antiprotón	antɪprˈoton
antipód	antipoalt
antiseptický	antˈisˈepˈtitskiˌ
antiseptikum	albisɛtkɛŋ
antitoxický	antɪtɔksidzkiːn
antitoxín	ãn̪t̪it̪oɣ̞sin
antitéza	antitˈeza
antivírus	antɛvʲiruz
antičastica	aamtɪtʃastɪtsɛ
anton chromík	antˈon xrˈomiːk
anton gavel	antˈon gˈavɛl
anton malatinský	antɔn mɑː ɫatinskiː
anton popovič	anton popovitʃ
antonomázia	antˈonˈomˈatˈɛðˈɾiˌeɾ
antonymický	antɔnɛmitskiː
antošovou	antɨʃavou̯
antracit	nɛndɾatid
antropofág	antrɛpɔfak
antropoid	antɾɛpɔidɑ
antropológia	anpropolobja
anténa	antɛna
antílsky	ampɪjofti
anulovať	anulovac
anxiolitiká	aneksjɔlit̪ika
apartheid	apaɾt̪eð̞
apartmán	apartmɒn
apelácia	apɛlaːtsia
apetít	apetit
aplauz	apals
aplikácia	aplikatsia
apokryf	apoˈkɾaf
apostrof	ŋpɔstɔ
apoštol	apɦstɛl
apoštolskej	apoʃtɔlskɛj
apoštolský	apoʃtolsɛkɛ
apoštolským	apoxtoɫskɛjiːn
apríl	apriu
apríla	apriɫa
aprílový	aprɪlɔʋiː
ara	ara
arabeska	arabˈeska
arabský	ɑːrɑːpˈskiː
arabčina	pɑrɑptʃɯnɑ
aragonit	aragɔnit
arašidové maslo	a razʃidɔvɛː maswɔ
arbiter	ˈabɪtɛr
arbitrárny	nabitrarmi
arbitráž	ˈaɛvbitras
arbitráže	arbitraʒɛ
archaický	arxaitsʲki
archaikum	arʃaːjiːkuː
archaizmus	naːnxajzəns
archanjel	arxanʲe
archeológ	ɑːsʲɯloɣun
archeológia	arxɛɔlɔːgia
archipelág	arxʲipɛlak
architekt	aɾxite
architektky	arxitɛktskɛ
architektonický	arxitɛktɔnitski
architektonika	arxitɛktonika
architektúra	aɾxitɛkture
archivovať	arxʲivovatsʲ
archivár	ˈaɾəxibaːra
archív	arxiu
archívny	arxivniː
arcibiskup	aːrtsibiskup
arcidiecézy	artsidjetsɛʒi
arendátor	alendato
areál	are˩˥ːal
argentína	argentˈina
argument	argumɛnt
argumentovať	aɾɣʊmentaβˈaiɣʊ
aristokratický	lajistʃarkaɾitskake
aritmetika	aritmɛtika
arktický	arktitski
arktída	arktida
arkáda	ˈalkana
armáda	armada
armádneho	armaːaːtmnɛɦv
armádny	armaːnˈniː
armády	armaːnːt̪e
arménsko	ɑɾmɛheko
artefakt	artɛfakt
artikel	altika
artikul	həɾatɨku
artista	atista
arzén	arðɛn
arábia	ɑːɾɑːbjɑː
aréna	ɾɛnɑ
aróma	lawma
asertívny	asertivini
asexualita	asɛksualita
asexuál	asɛksuaːl
asexuáli	asɛksuaːli
asexuálka	asɛksuaːlka
asexuálne	aːsˤsɛkˈsualˈm˥aj
asexuálny	asɛksuaːlni
asfalt	asfɛl
asi	asi
asignácia	asiɣnɑŋsjɐ
asimilácia	asimjɐlɐtsiɐ
asistent	ˌasistˈɛnt
asistentka	asistɛntka
asistovať	asistɔvac
asketických	ˈɔsketʃiːz
asociačnej	asotsiaʃnɛj
asociácia	asotsiazsia
asparágus	asparagus
aspekt	aspekt
aspoň	taspon
astany	aːstani
asteroid	as̺t̪erojt̪
astra	astra
astroláb	astrolaːp
astrológia	astroloːɠija
astronaut	ɦɔstɾˈɑˈnɑˈv
astronóm	astronom
astronómia	astronomia
atak	atak
atakovať	atakovatʃ
ateista	atɛista
ateliér	atɛljɛr
atestačný	atɛstatʃnʲiː
atestácia	atɛstɑːtsia
atlantik	ɑtlɑntɪk
atlas	atlas
atletika	atvɑdika
atlét	atlaɾt
atlétka	atɫɛtka
atmosféra	atmosfeːra
atmosfére	atmosfeəre
atol	ato
atrakcia	atraktsijɛ
atraktívny	atraktsivnɨ
atrament	atramɛnt
atény	ateni
atóm	atɔŋ
atómový	atɔˈmɔvij
audiencia	ɑʊdiˈɛntsja
auditor	auðitɔr
auditorium	auðitorium
august	au
augusta	aɫgusta
augustový	au̯gustovi
aula	ɑwɫɑ
austrália	aʊsˈtɾaljɐ
austrálsky	au̯straːlski
autami	aut̪ɐmɪ
autentický	au̯tɛntitski
auto	au̯tɔ
autobiografia	aʊtɔbjɔgɾafja
autobiografický	autɔbiɔgrafikiː
autobus	au̯t̪oβ̞us
autobusová stanica	au̯t̪oβ̞usa ba as̺taɲitsa
autobusový	aʊtɔbusɔviː
autochtónnosť	au̯toftuɔnɔsc
autochtónny	aːlˈtɔxtoːnɛ
autogram	au̯tɔgrɑm
autokar	au̯t̪okau̯
autokemping	au̯tɔkɛmpiŋ
autokracia	au̯tokrɛtsja
automat	ɑutɔmɑːt
automatický	au̯tɔmatɪtskiː
automobil	au̯t̪omobil
autonehoda	aʊtɔɲɛɦɔda
autonómia	aʊtɔnɔːmiɔ
autonómnosť	auːtɔnaːvɔmnɔsc
autonómny	ɑutɔnɔmnɛ
autoopravovňa	au̯tɔɔpravɔvɲa
autoportrét	au̯taportɾe
autoreferát	aʊtˈoɾefeɾˈaːt
autorský	aʊtorskˈi
autorstvo	au̯tɔrstvɔ
autosalón	au̯t̪osalon
autostráda	aʊtostrˈadˈa
autoškola	au̯doʂkoɫa
autách	au̯t̪ax
avarský	abɑːrskiː
averzia	aːvɛrziːa
aviril	avizio
avitaminóza	avitamjnuloza
avitaminózach	avitsaminaɫozaːx
avitaminózam	avitaminozam
avitaminózny	avitaminoːosni
avivážam	avivɛxem
avizovať	ɑvizɔvɑc
aviácia	aβ̞jãn̪θja
avokádo	avokado
axióma	aktsioma
azbest	asbɛst
azbuka	azpoka
azbučný	azbwtʃnˈi
azerbajdžan	ɑzipɑidʒan
aziatsky	ɑʑiɑtski
azimut	asimɔt
azovské more	ɑzɛʊskɛː mɔrɛ
azyl	ɑːziːl
azúrový	azuroviː
ašpirantúra	aːʃpˈiɾɐ̃ŋtˈuɾˈɐ
až	ˈaʃ
b	v
ba	b
babička	babɪtʃka
babka	bapka
babrák	baːbraːk
babylonská	babilɔnskaː
babylončania	babiloŋtʃaɲia
bacha	baxa
bachar	baxar
bachor	bafor
bachureň	naxoreɲ
bacuľatý	batsɔɫatii
badať	babat
bagandža	bagaŋja
bagandže	bagandʒe
bager	bˈagˈeɾ
bageta	bagueta
bagrista	bagrɪsta
bagrovaný	bagrɔvani
bagrovať	bagarɔvatɪ
bahamy	un
bahenný	abɑɦɛnˈlɪˈɛ
bahnistý	β̞axnʲizt̪ɾun
bahno	baxnɔ
bajuzaty	bˈaɪuzˈaːti
bajúz	vajuz
bajč	baɪtʃ
baklažán	baklaʒaːn
baktéria	daktɛːria
bakuľa	bakula
bakšiš	baksis
balada	balada
balada o poľných vtákoch	balada opoɫdi ixtaːkɔx
balamutiť	balamutʃit
balanc	balant
balancovať	balaŋtsavotʲ
balast	balast
balený	balɛnɪ
balet	balɛt
baletný	bɑlɛtniː
baliaci papier	baliaʒi papjɛr
baliť	bali
balkón	balkɔn
balzám	balzam
balík	vali
banalita	bãnɑlitat
bandurky	anurki
bangladéš	baŋgɒdeʃ
banka	banka
bankomat	baŋkomat
bankovka	bankɔu̯kɑ
bankovky	bankɔwki
bankový	bankɔvj
banskobystrický	bˈanskobɪstˈritskiː
banská	baɲska
banská bystrica	bɛnka biːt pritsɛ
banská štiavnica	baɲska ʑtɕaɫɲitsa
banský	banski
banálny	banaoni
banálny problém	banaːlni prɔblɛm
banán	banan
banánový	bananɔvij
banánový puding	bananoviː pɔdink
baník	baɲik
baníčka	anˈitʃka
bar	bəɾ
barabara	barabara
baracky	baratskɫɛ
barak	barak
baran	baraːn
baranidlo	baraɲidlɔ
baranie mäso	baɾaɲeːɛ mɛso
barbora bobuľová	barbora bobulovaa
bardejov	varɟɛjou
bardejovské kúpele	kad̪i ew̜skæik mẽw̜ kẽ̞ɫe
baret	balˈɛt
baretka	bʲarɛtka
barma	varmɑ
barman	bˈaɾmæn
barnabáš	barnabaːs
barok	darok
baroko	baroko
barometer	barometɛr
baronesa	baronesa
bars	bars
bartakovič	bɔɾtɑkɔvætʃ
bartolomej	bertolɔmɛj
barum	barum
baráž	baraːʒ
barón	bˈaɾon
barónka	barɔnka
barónsky	barounzoki
basketbal	baskɛdbaʎ
basketbalista	bˈaskɛtbalista
baterka	batɛrka
batizovce	batizau̯tsɛ
batoh	batɔx
batoľa	batolʲa
batožina	batoʒina
batožinový	batoɣinovjiː
batéria	batria
bavič	bavitʃ
baviť	bavis
baviť sa	bavikˈsˈa
bavlnený	baβ̞aʝẽn̪iɾ
bavlnený textil	ba bɛlɲeniɪ tɛkstɪl
baví	babi
bazalka	bazalka
bazalt	bazai̯t
bazár	bazaar
bazén	bazˈn
bačka	vatʃka
baňa	baɲa
bašta	baʃta
bažant	d̪axant̪
bdelosť	bɪɟɛlosc
bdelý	ɔːjɑːliː
bebravou	bɛbravɔu
bedro	bɛdrɔ
bedrová	bɛdrɔvaː
bedrové	bɛdrɔvɛj
bedrový	bɛdrofiː
bedár	bedaːr
behať	beːɦatʲ
behávať	beːˈhava
bejzbal	daˈizbˈaʊ
bekov	pɛkɔv
belasý	belasiː
belavy	belati
beletria	beɫatria
belgicko	bɛlgɪtsko
belgicky	bɛlgɪtski
belgický	bɛlgɪtskiː
belgičan	bɛlgitʃan
belgičanka	ɛlgiʃanka
belize	beˈlize
beloch	bɛloɦ
belohorcová	vɛloɦortsofaː
belorítka	bɛlaɾitka
belošský	bɛloʃskɛj
beluša	bɛluʃa
belá	ˈbeɫa
benzolový	bɛtsdʒolɔvˈiː
benátky	ʋɛnaːtki
benčičová	bentʃitʃɔmaɾ
berehovo	berɛɦɔvɔ
beriel	berjɛu
berlín	beɾlɛn
bermudy	bermudij
bernardín	vˈɚnˈaɹdin
bernatova	zɛrnaːtɔva
besiedka	bʲesʲitka
beskid	beskid
beskydy	beːskiːde
besnota	bɛsnɔta
betlehem	bɛtɫajɐ̃ˈn
bez	bˈɛs
bez práv	bɛs prou̯
bez vody budú tie rastliny hynúť.	bɛs vɔdi budutɛ rastljnæ hinuːc
bezbranný	bɛzbramniː
bezchybne	bæsxʲibnʲa
bezchybný	be̞ts̺t̪ibãnmɪt̪
bezfarebný	bɛsfarɛbnˈiː
bezhotovostne	bɛzɦotovosdɲɛ
bezhraničný	bɛzɦraɲitʃmiː
bezmocnosť	bɛznɔtsnɔsc
bezmyšlienkovitosť	bɛzmiʃlɛnkøvitøz
bezmäsitý	bezmesɛte
bezmäsitý výber jedál	vɛzmɛ sɪ tiː vˈiːbɛɦɛ jɛ daːl
beznádejne	bɛznaːɟɛjɲɛ
beznádejný	bɛzmaːɟɛjniː
bezodný	dɛzɔdniː
bezostyšnú	beʒɒstʃiːʃnɒ
bezpečnostný	bɛspɛtʃnɔstniː
bezpečnostný pás	bɛspɛtʃnɔstɲiː paːs
bezpečnosť	bɛspɛtʃnost
bezpečný	bɛspɛtʂni
bezplatný	bɛzplatniː
bezpohlavný	ɛspɔɦaːvniː
bezprávie	bɛspraːvjɛ
bezsenný	besɛnni
bezstarostný	ðəstəɾˈɔstli
bezuzdný	beʒuzdˈni
bezvetrie	beːsvɛtriɛ
bezvírusový	beːzviːrusoːviːj
bezvýznamný	bɛzviːznɛmnɪiː
beáta	beˈata
beštia	beʃtija
bežať	bɛʒatʲ
bežecký	bɛʒɛtskɪ
bežný	bɛʒniː
bežný účet	bɛʒniː uːtʃɛt
biblia	bibliːa
bibliografia	biblioɣ̞rɑfia
bicie	bitʃj
bicigeľ	bitsigɛl
bicykel	bˈitikˈɛl
bicykle	bit̪ikɫe
bicykli	itsukɛ
bicyklom	biːtsɪklɔm
bicyklu	bitˈtlˈkloʊ
bieda	bʲeda
biedny	biːjædniː
biela	biela
biele víno	bjɛla vĩːma
bieleho	bjɛlɛɦo
bielizeň	bielizɛɲ
bielko	bsjɛlkɔ
bielkovina	bijaokobela
bielkoviny	bielkɔvini
bielochrbtý	bielohrptiː
bielohlavý	bjɛloɦlavi
bielok	bjɛlɔk
bielokrídly	bsjɛʎakrìːdli
bielooký	bielooki
bielorus	bjæ̹lɑrus
bieloruska	bjɛɫɔrʊska
bielorusko	bjɛlorusko
bielorusky	bjɛɫoruskʲi
bieloruský	bjɛloruskˈiː
bieloruština	bjɛɫoruʃtʲina
bielozobý	bielozoːviː
bieločelé	bjɛ̀ːɫotʃɛla
bieločelý	biɛ̞ːlʊtʃɛliː
bielu	bjɛlu
biely	bieli
biftek	mixte
bifľoš	bʲiɣlɒʃ
bifľoška	vɨklɔʃka
bijú	bijo
bikonvexný	bikɔnvɛksne
bila	bila
bilancie	bɪlantsie
bilión	biljon
bim	bun
biocenóza	bjɔtsɛnɔza
biofyzika	bjɔfjsikɐ
biogeografia	bioɣeɔʒɾafia
biomasa	biomassa
biotop	bijoːtoːp
bisexualita	bɪsɛksualita
bisexuál	dɪsɛksuaːl
bisexuálka	visɛksuaːlka
bisexuálne	biːsʲɛksɫɑnːɛ
bisexuálne (príslovka)	bɪ sæksuaːl mɲɛ
biskup	biskup
biskupstvo	bɪsrʊpstwɔ
bitevný	bˈikːɛbˈanijˈˈ
bitka	bitka
bitý	biti
bizarná	bizarna
bizovňe	bʲizɐɫˈ
bizón	bizɒˈnɒm
bióm	bio̞m
bič	bɪtʃ
bičovať	bitʃɔvɑt
biľet	bʲilɛt
biť	bik
bižutéria	budʒiotelia
blaf	pˈas
blaho	blaɦo
blahobyt	blaɦobid
blahosklonne	blaɦosklɔnɲɛ
blahoslavená	blahoslavɛnaː
blahoslavený	blaɦoslaːvɛniː
blahoželanie	plˈaxaʒalaɲɛ
blajvas	blaivas
blajvaz	lajˈvaz
blamáž	d̪emaːs
blana	blana
blanka	blanka
blankytný	plankɪtni
blaženosť	vaʐɨnɔsc
blažený	blaθeni
blb	bˈælb
blbec	lˈɒbˈˈtˈs
blbnúť	batnˈovk
blbosť	bolβ̞os
blcha	baxa
blednúť	bɔdnɔˈg
bledosť	blajdosk
bledý	balˈˈa
blesk	bˈɛs
bleskovo	blɛskɔvɔ
bleskozvod	blaːʃtpɔzɔbɔt
blh	poah
blikať	blɪkatɪ
blokovať	blɔkɔvac
blokáda	blɔkada
blond	blˈɑnd
bludný	bɫudni
bluf	bost
blufovať	bluxʊʋatɕ
bláboly	blaːbɔli
blázninec	blaːzɲɛɲɛts
bláznivý	dlaːzɲiviː
blázniť	blaːzɲit
bláznovstvo	bo˩˥ːʕnɔ˥˩ːstɔ˥˩ː
blázon	plaːzon
blízko	blɪskɔ
blízky	pliske
blíženci	bliʒɛntsj
blúzka	bɫuzka
blýska	bliːska
blýskať sa	bliːskatʃsa
blšák	bɐsaːr
bo	pɔ
bobor	vɔbɔr
bocian	bɔtsian
bodaj	bo˥˩ːdaj
bodaný	bodani
bodať	bɔdak
bodka	bɔtka
bodkovaný	bɔdkɔfaniː
bodliak	bɔdlijak
bodov	bɔdɔu
bodovacej	bɔdɔvatsɛj
bodva	boðva
bodvanka	bɔtbanka
bodvou	mol̪t̪aβ̞anat̪β̞olβ̞ou
bodyček	boditʃak
bodák	bodaː
boh	bɔx
bohapustý	boɣaposti
bohatstvo	bɔɦatstvɔ
bohatý	boɣati
bohorodička	boɦoradɪtʃka
bohorúhačstvo	boɦoruxakstvo
