1	jæːj
一会儿哭一会儿笑	je ʃɛjkʰo ɛʃɛʃio
一体	iai˧˧ tʰɛː˨
一個	ikai
一億	i˥˩
一共两万两千两百廿二块，谢谢。	ɥœ˨˩˦kuŋ˥˥ ljɛŋ˨˩˦wʲ˩˦ ljɛŋ˨˩˦ tɕʰi˥˥ ljɛŋ˨˩˦pɤŋ˥˥ɪn˧˥ni˧˥kʰe˥˩ sa˥˥ja˥˥
一分	li˨˩˦fɑŋ˥˥
一分鐘	ifndʒu
一刻	jˈakːa
一千	itɕi˥˥
一卯	jɐ̃mɔː
一厢情愿	jɛ˨˩˦ ʰjy˧˥
一发	jˈɛst
一只飞机	jɛ˨˩˦tsʰaʊ˥˥ tɕʰi˧˥
一叶障目，不见泰山	jyː˩˧tsɔːŋ˥ mɔːk̚˨ fɐt̚˥tsiː˨tʰaː˥sɛːŋ˥
一吟一咏	aɪ˥˥ɪŋ˥˥ aɪ˥˩jʊŋ˧˥
一品南乳肉	i˥˩  lɤ˨ ʂu˨˩˦njoʊ˨˩˦
一嗰	ikaj
一嗰人	niː˧˥kai˥˥lau˧˧
一國兩制	ekuaʎeˈentro
一圤烂恶账	jˈə pˈɔlə ˈɛt pəˈtɪn
一块钱	jˈʌɹ ˈkwɑːzɪ
一埭	lɛːt˦a˥˥
一堆	daj
一塌刮啦	et̪a kwala
一塌刮子	jɛ˨˩˦ tʰak˥˥a� tsu˨˩˦
一塌括子	etːakɰᵝatsɯ
一塌糊涂	jɛː˩˦ tʰaː˥˥ uːˠ˦tuː˥˩
一墣恶	jˈɛːpum
一声	dˌiːzə
一夜	i˥˩
一大歇	ˈi dˈi ˈuʒi
一天世界	jˈɛt ʃiːstlˈikːɑ
一夭两	jɛ˨˩˦ ju˥˩ ljɛn˨˩˦
一头	idou˨˩
一家人	jækːɑni
一家门	kakamen
一寣	mjɛn˨˩˦xwa˥˩
一對	daj
一對一	jætːijɛ
一尘不缁	jɛ˨˩˦  pt˥tsɯ˧
一帆风顺	jez fenˈzˈɐm
一幢碗	jetsowɛ
一干子	ekuitsɯ
一年	ʁenˈ
一年四季	tse˨˩˦ni˨˩˦ sɯ˥˥ tɕi˨˩˦
一廿	ɛn
一彻万融	nʲatsʲanʲːoŋ
一往情深	jɐt̚˥
一往无前	je˨˩˦kɛ˨ ɛ˥˥fu˧˥
一径	it˦in˨˩
一心一意	e iasˈiŋsj a iʒy
一念之差	tjɛn˨˩˦ ttsit˦tsʰɑŋ˨˩˦
一念念	jɛnjɛ
一户人家	jɛvɲɪŋka˥˥
一手遮天	jɛ˨˩˦ sɤ˥˥tsu˨˩˦tʰi˨˩˦
一抈二	ɳə ɑːliːhɑː
一把剪刀	je˩˥ː po˥˩ːtɕi˥˥tɔ˧˧
一挙一動	e˨˦n˥˥tɕy˥˥ tõ˥˥˥
一揢	jˈaka
一搨括子	et˦˥t˦a˥˥kwã˥˥tsɯ˥˩
一摑搭出	jɐ̃p̚ kɔ˧˥a˥˧tatʃhaː˨˩
一撮胡	jɛtsʰɪm
一无事事	tjɛ˥˩ tsɯ˧˥
一无所有	jˈɛ˨ʋ˧˥sɤŋ˥˩y˧˥
一无所知	jeʋ˥˩ sɤŋ˥˩tsɯ˧
一无所获	ja mɔ̃sɑuːa
一日	inei
一日到夜	tɨ pavʲerɨɫa toja
一日弗间	njˈu la k
一日搭	ˈi nˈe tˈɑ
一星半点	jˈɛsɨm pˌudˌi
一晌	dˈɛizɔ̃tˈ
一晌工夫事体	tɕʰi˨˩˦ ʈʂʰwɑŋ˥˩ kʊŋ˥˥fu˥˩ʈʂɚ˨˩˦tʰi˥˩
一月	jˈɛˈ
一朝一夕	lət˨˩ tsʰu˥˩ ɛm˨˩˦x˨˩˦x˨˩˦i˥˩
一朝权在手，便把令来行	j˨˩˦tsɤ˥˩ tɕʰu˥˥tɕʰi˨˩˦ ɕɥœn˨˩˦xu˨˩˦la˥˥pɑʔ˥˥lɪŋ˧˥te˨˩˦i˥˩
一本正经	je˨˦mãn˥˥ tsən˥˥tɕĩŋ˨˩
一杯	tɛpɛ
一样	jˈɛjˈɑ̃
一梗	vˈɛˈaɪxˈtˈ
一歇歇	es kæsʲa
一步	dˌiːzə bˌɔtˈeɪm
一氧化碳	jɛːnɑː xuː tʰeʔ
一波三折	ja puː se˨˩e˨˦ts˦
一流	jˈɛlˈlɛi
一涿眼泪水	jˈtˌoʊŋˈɛdˈis
一淘	iːˌdɔː
一溜歪斜	ɪ˧ʰlaːj˧kʰua̯aː˥˩tʰiaː˧
一点弗差	ɦik va tˤuk
一爿桥	jˈɛpːe̞ɨtʃˈɔ
一特骨子	ɛt˦a˥˥kwan˥˥tsɯ˧
一独自	dˌiːzˈti
一瑲	it˦ja˥˧
一瓶三得利啤酒，谢谢。	pe˥˥be˥˧ŋ˨˩sɛ˥˥tɤ˧˥li˥˩ pi˨˩˦tsioʔ˨ ɕiaʔ˨
一生世	is aˈseˈ
一百	jˈa pa
一眼	jɛnjɛ
一眼眼	no
一种豆制品	ʔtsiːp˥
一秒	imˈy
一笔一划	kip̚˨˩sip˦˥jŋuaŋ˧
一管枪	j˨˩˦kweɪ˥˧jɛ˨˩˦ tɕʰjɛn˧˥
一粒	ilˈøː
一级了	kɪtːʃɪle
一缕烟	ɛlyː˧ iː˥˩
一老一实	tʃiɛr˧˥lɔː˧it˦tsjɛŋ˧˥
一脚	mʰɛː˨
一舉一動	jˈakˈtˈtˈtˈʁiːt˺aldˈɑŋ
一般	ipːe
一色	jesa
一色一样	fsɛjɐ
一见如故	et˦˥ tsit˦ku˨˩˦
一览无余	jal ɛ vwaj
一角	ikːu
一言一行	jɛ˨˩˦ jɛ˥˩ jɛ˥˩
一言既出，驷马难追	jɛn˨˩˦i˥˩ sʰɯ˥˥ sɯ˥˥mɔ˥˩ lɪŋ˧˥ tsaɪ˥˩
一言难尽	jæ̹˨ji˥˧ næ̹˥˩ seŋ˨˩
一跃而起	jɛ˨˩˦
一道	dʒada
一针一线	jɛ˨˩˦ tsɤ˧˥jɛ˥˩ si˧˧
一钱如命	jedi jyːz miːn
一长界	tja tɕaka
一闄两	jˈ˩
一门心思	i˨˩˦mən˧˥sɪŋ˥˥
一问三不知	jɛ˥˥ma˥˩n˥˩sɯ˥˥ɕi˥˩ɪ naʈtsɯ˧
一隅之地	jɛ˨ y˧˥tsɯ˧ti˧˥
一頓	mitˈɛ̃
一飞冲天	ɛːfˈiː˧ ttsʰiː˨˩˦
一鼓作气	a˥˥ke˥˥w˧˧tsuɔ˨˩˦tsʰi˥˧
丁	tdʒuːŋ˥˥
丁蓮芳千張包子	teŋ˨˩li˥˧fɑŋ˨˩˦ tɕʰi˥˥tsaŋ˥˥ po˨˩˦
丁頭	tɯ̞nːdɯ̞
丁香	tiŋ˥˧sia˥˧
丁香萝卜	keən˥˥ɕjɑŋ˥˥lə˥˩ bu˥˩
七	tɕʰa
七三八四	tɕʰt̚˨˩soɯ˥˩
七上八下	tsɛnaːboːl
七元四角八分	tɕʰɛ˥˩kʰe˥˥sikw˧˥pap˥˥
七十二行	tɕʰi˧˥sɤ˥˩ njɑʊ˥˩
七子八婿	tsit˦tsit˦pɔ˥˥
七拣八拣	tsˈɪkˈæetakˌeɪ
七星岩	tɕʰɛː˧˧sɪŋ˧˧
七纵七擒	tsʊŋ˥˥ tsʰy˥˩
七讲八讲	tsakon pekoɔn
万	fˈaː
万不得已	fˈɛ pˈɛ tˈaʒˈi
万事如意	vˈɛzɪz iː
万宝全书缺只角	tʰpɔ˥˥ tɕy˨˩˦ sɯ˥˥  tɕʰɤ˥˩ kɔ˨
万岁	a iˈsɯˈ
万年青	veni˥˧tsʰɪŋ˧˥
万能	vɛn̪ɪ̞m
丈	zˈa
三	sɛ
三七廿一	tsʰan˥˩tʰnɑ˥˥
三元二毛六分	sè˥kʰeʎ˥˥a˥˧liãŋ˨˩˦ kʰuən˥˥lɔ˥
三兩手	sæ˥˥ liãn˨˦ sɪoʊ˥˧
三十	sˈɛʒɚ
三十是狼，四十是虎	sɤ˥˩ tɕj˥˩ lɑŋ˧˥ ʂɤ˥˩ xu˧˥
三味书屋	savisoko
三国志	seːkatsɯ
三国演义	sɛ˥˥kɔ˧˥ie˨˦ni˨˩
三头两日	sʲerʲɪlʲaʲ˥˩nʲə
三弄四弄	tsɯ˥˩ lʊŋ˧˥ sɯ˥˥lʊŋ˧˥
三得利	seː tˈaˈliː
三思	se̞ːsɯ
三日两头	sæˈɛni˧˥n˧ata˧˧
三星	fã˥sɛm
三更半夜	seˈrkˈanˈpeːɑ
三更天	sɛːkˈʰtiː
三月	sˈeɪɲɐ
三权分立	suɔ˨˩˦ tjy˨˩˦ fan˨˩˦li˨˩˦
三權分立	sɕʰt˥fɑŋ˧˥ bjˈæn˧
三潭印月	nur i˥˩
三絲敲魚	sˈaːs kˈɔn
三缺一，搓麻雀。搓好后，吃麻雀。	tsɤ˧˥mɔ˧˥tɕja˥˩ ʈʂʰu˥˩pʰɔ˥˩aʈʂʰu˥˩ mɔ˧˥tɕja˥˩
三角	sɔku
三角形	sɔkuʎa
三角洲	sɯː˧ kɔː˧tsyː˨
三言两语	sɛ˥˥i˨˩˦ljɛn˨˩˦y˧˥
三长两短	seˈsaˈniatˈø
三門蟶子	sian˥˥tɕʰi˧˥
三门	sæɾmæn
上	sɔː
上下	sɔ˥˧ɔ˨
上下左右	sʰoŋ˨˩˦ hɔ˥˥tsu˨˩˦e˨˦
上代	sɨde
上传	sˈaɻtʃˈɛ
上升	ˈeˌɪsən
上半天	dʒoːstˈiː
上半日	ɛfniː
上卯	tɕʰaːmʰɔː
上古	ɛkːu
上向	zæɒːhemb
上场	sɔːŋ˧˥tsaːn˨
上坦村	sǎŋ˨˩tʰʰeː˥˥tsʰɤŋ˨˩
上天	sɔːˈtiː
上头	sɔːnɔj
上学	sɔ̃ˈwˈa
上官	ʈʂɤŋ˨˩˦kwa˥˥
上岭	saːlɪŋ
上嶺	ielo
上市	saɴ˥˩ ʈʂɯ
上帝	jɛtej
上当	sãn̪t̪
上日	saˈwɛn�wɛ
上昼	saɫadʒu
上月	zæɒːniː
上有天堂下有苏杭，苏州真正好白相	sǎ˥˩ y˧˥tʰi˥˥ tɤ˧˥y˧˥ sɤ˥˥ sɔ˥˥ sɔ˥˥tsweɪ˨˩˦ tsuən˧˥tsɤ˧˥ han˥˩ pə˨˩˦sian˨˩˦
上树拔梯	laxˈu tkʰiɑ̃
上横头	zænˈvɑːnduː
上海	sɑŋˈhɛ
上海东方广播电台	tsaŋ˨˩˦xaɪ˥˥   ʰ
上海东方艺术中心	sɑŋ˥˩   ʈʂtfɑŋ˥˩i˨˩˦tsɯ˧ʈɕɪŋ˥˩
上海中学	sɑŋ˥˩ he˥˥tɕjɛ˥˥ʈʂu˥˩
上海交大	sɑŋ˨˩˦ heɪ˥˥ tɕjɔ˨˩˦ta˨˩˦
上海交通大學	tɕi˥˥ɕjɛ˧˥kɔ˨˩˦ tʰʊŋ˨˩˦ta˧˥u˨˩˦
上海人	saɦani
上海外貿學院	sɔː˧hɛːŋ˥aː˧˥ jyː˩˧
上海市	saɴ heizɯ
上海申花	lɑŋ˨˩˦ hɛ˥˥ sən˥˥
上海言话	saŋˈhɛːwˀ
上海話	jˈɛçjə
上海话	sahˈew
上海财经大学	tau˨˩hia˥˥lɔ˨˦e˧˧tsĩã˥˥tau˨˩
上海闲话	sanhe̞w
上湯螺絲	sɑŋ˨˩˦tʰɑŋ˥˥lu˨˩˦tsɯ˧
上火	sa˥˩xoʊ˥˩
上班	sǎŋ˥˩pe˥˥
上知天文，下知地理	sɑŋ˨˩˦ tsɯ˥˥tʰi˥˥ u˧˥tsɯ˥˥ti˨˩˦li˧˥
上空	saˈt kˈom
上级	saːɬt˦ə
上网	sɐŋ˥ mɔːŋ˨
上胜村	sɑŋ˨˩˦sɤŋ˥˥tsʰɤŋ˥˥
上臂膊	sɔ̃ pə
上艺术班去伐？	so˩˥ːnisa˥˩be˧˧tɕiva
上虞	sɑŋ˨˩˦y˥˩
上访	sˈɛ̃fˈɛ̃z
上趟子搭	sa˥˩tɑŋ˥˥tsɯ˥˩ta˥˩
上輩	nʲepaj
上间	zɒːngˈgɒː
上面	sie˥˧mai˨˦
上高下墈	sa˥˩lɤkɑ˥˥u˥˩tɕʰi˥˥
上海	sɔ̙hɪ̞
下	u
下世	vosɛ
下个星期	aːlipa
下人相	kuaɫnˈzæ
下代	ɔːde
下作	pu˨˩˦tsw˧
下半天	u˨˩˦ u˨˩˦
下半日	aːpn˩˩˦əmiː˧
下半身	aˈpˈusˈa
下句	otʃɨ
下向	œ̃˨ɕjɑŋ˥˥
下呈村	pɔ˥˥
下头	oːdˈe
下川村	u˨˩˦ tsʰɯ˥˥
下巴	ˈɔpɔ
下年	o pavʲerɨɫa
下数	os
下日	ɦoːniː
下昼	uː˧˥tsɐj˨˩
下月	ʊ njɛ
下来	ˈoːle
下横头	boːoːndoː
下水	u˨˩˦ʂɚ˥˩
下沙	poθo poθo juːˈmɛnʒoːs̺o
下班	ŋ˩˩˦f˥la˥f˥la˥
下章村	pukɨtsː
下级	tɕˈak
下趟	tʰɔ˥˩
下載	ɛˈʌtsɛ
下輩	dʒuɛntsɯdʒoɯsdʒɚtdʒɚtdʒɚtdʒɚtdʒɚtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒɾtdʒ
下轉子搭	tsuɔ˥˧tsɯ˥˥ta˨˩˦
下车	u˨˩˦tsʰɪ˥˥
下载	poti
下遭	utˈzˈa
下降	vokɔ
下雨	bɔʒu
下雪	lɤ˨
下面	umai
下飯	ove
下饭	ove
下（ho2）	u˨˩˦
不	pˈɛ
不一样	dɐjɪe
不乜死健	ʂɚ˨˩˦ ʂɚ˥˩
不二不三	baˈniːt˥baː˧sɛ
不二法门	fãnˈniːfamɨ
不伦不类	valˈɐ̃m vˈɑʎeɪŋ
不冻港	fɤˈt˥au˥˧qaw˧˧
不到黄河心不死	tɑʊ˥˩ wɑŋ˧˥ʔɤ˨˩˦ tsu˥˩ ʂɚ˥˩
不动声色	naˈtɔˈŋ sɛn˥˥sa˥˧
不動明王	padon lua
不厌其烦	va jitsi vɛ
不及格	β̞eð̞ʝaka
不可开交	pakau˧˧ke˥˥tsieŋ˨˩
不可思議	ˈo kˈu ʃlˈi
不可思议	fukʰɔ˨˩˦sɯ˥˥n
不可理喻	ˈoˈɛssˈ dˈi ˈo
不可置信	p˨˩pə˥˩kʰɤ˥˩u˥˩tsɯ˥˥sĩŋ˨˩
不可能	sekonˈøː
不好意思	vɒˈhɒˈiˈs
不学好	tvaːɔ˧˧
不得好死	batˈa isˈi
不想说了	fˈi kˈoːn
不成体统	la zæn tʰiː tʰoː
不方便	wˌɔ̃fˈaːlˈmˈˈb
不是	fuzi
不清不楚	fatsʲiːn˥˩tsɐːtsʰau̯˨
不然	fazˈy
不甘心	vəˈkeɪʃən
不知不觉	pɯ̟ᵝsɯ̟ᵝpɯ̟ᵝtɕː
不知所云	pa˥˥tsu˥˧sɔ˥˥joʊ˨˦
不知所措	va˨tsɯ˥˥ lɤ˥˩ʂu˥˥tsʰu˥˥
不老神雞	la senki
不行	fɪ˧˥
不要去想它	pi˧˥ɑ˥˥ tɕʰi˧˥ʰɑŋ˥˥ i˥˩
不要嘛	sama
不要客气	lak ɑtʃɪ
不要緊	tsʰjɛ˨˩˦
不识	fesˈe
不读书你想干什么？	vat˦toʃ˥˩ tsi˥˩ nʊŋ˨˩˦ɕjɑŋ˨˩˦tsu˨˩˦sa˨˩˦
不费吹灰之力	baɪ fɪʈʂɚ˧˥
不足	patsʊ
不错	wˈɛːt˧sˌoːˈ
与	iz
与众不同	tzˈoʊ̃sˈ ttaʊ̃
与民同乐	y˧˥mĩŋ˨˩ tʊŋ˨˩lɔːk̚˨
丑	y
专	se
专家	tsy˥˧tsʰjɑʊ˨˩˦
专心	tsy˥˧sĩŋ˨˩
专有名词	tsɔimimi
专访	dʒuː fɔːm
专门	sɛmɪ̞n
专门介	tsɛeɑmɯ̞ŋka
世	se̞
世博会	sɯ˥˥pɔ˥˥
世态炎凉	sʰɯ˨˩tʰɯ˥˥i˧˧ lia˧˧
世界	siba
世界杯	ʃɪ˥˩ ka˥˥ pe˨˩˦
丘	kjˈu
丙烷	pɪŋ˥˥uən˧˥
业	nʲa
东	tɔ̃
东京	tʰŋ˥˥ tʰaŋ˥˥
东北	tɔːmˈpɔ
东南欧	dˌeˌɾˌan nˈə ˈɛtʁ
东南西北	tʊŋ˨˩n˧aːi˥˧
东南风	tˈoːn nøːfˈoːn
东坡肉	tumɛnɔ
东城区	tɔ̃˨sɤ̃˥ tɕ˥yː˧
东宫	tʰʊŋ˥˥kʊŋ˨˩
东家	tʊŋ˨˩˦kɔ˨
东山再起	tʊŋ˥˥ʂan˥˥tsaɪ˥˩tɕʰi˧˥
东方	sʊŋ˥˥fɔː˧
东方明珠	tʰŋ˥˥fɔ˥˥mɤŋ˨˩˦tɕi˥˥
东方航空	tŋ˥˥fɑŋ˥˥ an˨˩˦kʰʊŋ˥˥
东方面孔	tʊŋ˥˥faːn˥˧mikʰ
东欧	tʰʊŋ˨˩a˥
东汉	tʊŋ˥˥hɤ˥˥
东海	ton he
东芝	tʊŋ˨˩˦tsɯ˧
东西	tʂɚ˥˩
东边	tɔ̃˨pi˨˩˦
东郭	t̪ompo
东门口	tũŋ˨˩mɤŋ˥˥kʰɤ˨˩˦
东阳	tũŋ˥˥
东风	tʊŋ˨˩˦fʊŋ˥˥
丝	fɔ˥˥
丝瓜	sɯ˥˥ku˥˩
丝瓜筋	sɯ˥˥ku˥˥tɕɪŋ˥˥
丝绸	sɯ˥˥tɕy˥˩
丢	dʊːiː
丢手帕	ti˨˩n˧sɯ˥˥pʰa˥˥
两	lɛ˨˩˦aː˧
两下半	laʊpˈɛ
两公老太	li˨˩aː˧ kʊŋ˨˩ lɔ˥ tʰa˨˩
两爿店	liã˥˧be˨˦tʰi˧˧
两百廿二	lraːpn˩˩˦aniː
严	ni
严密	nˈimˈe
严格	niːka
严肃	nis
严谨	nitʃi
並	pɯŋ
个	ga
个人隐私	ko˥˩kɔn˥˩i˥˩ɴsi˥˩
个只	ɣ̞ɾʝs
个头	taːʊˈteː
丫叉	u˥˥tsʰu˥˥
丫头	kˈuðɯ
丫裆	uːtˈɛ̃
中	tsʊŋ˥˥
中亞	tsʊŋ˨˩˦u˨˩˦
中介	tsʊŋ˥˥a˥˧
中元節	tsʊŋ˥˩ny˥˩tɕjɛŋ˨˩˦
中医	tsʊŋ˥˥i˨˩˦
中午	sjɛː˥sip˦a˥˧
中华	tsuŋ˥˥
中华人民共和国	tʰou̯̯˥miːn˨ kɔːŋ˧˥
中华民国	tsən˥˩ u˥˩mɪŋ˧˥kuɔ˥˥
中华民族	tsɔːmjz
中古	tsuɴkːu
中和	tsʊŋ˥˥
中国	sɔ̃ka
中国人	tsʊŋkwan˨˩nɪŋ˧˥
中国人民大团结万岁	tsʊŋ˥˥ku˥˩sən˨˩˦mɪn˧˥ta˨˩˦tɕjɛ˥˥ʈʂue˥˥feɪ˨˩˦tɕɪŋ˥˥
中国城	sʊ̞ŋgɑsˈɛn
中國	tsʊŋ˥˥kwɑ˥˥
中國人	tsʊŋ˨˩pʰi˥˧nɪŋ˧˥
中土	tsʊŋ˨˩˦tuː˧˥
中场	tsʊŋ˨˩˦tsa˨˩
中央	tsʊŋ˥˥ja˥˧
中子	tsʊŋ˥˩tsɯ˧
中学	ʈʂʊŋ˥˥
中山路	tsʰoŋsɛ˥˥ loŋ˧˧
中巴車	tsʊŋ˥˥pa˨˩˦ʈʂʰu˨˩˦
中年人	tsʌŋnini̯
中心	tɕʰŋ˨˩˦sian˥˧
中意	tɕiŋ˨˩˦ hŋ˥˥
中文	tsʰũ˥˥an˥˩
中楷	tsuŋ˨˩˦kʰa˥˥
中正	tsuŋ˨˩˦tsən˨˩˦
中秋節	tsʰũ˨˩˦ tɕʰi˥˧
中秋节	tsʊŋtɕʰɥœ˧˧tsiːn˨˩˦
中立	sɔ̃ˈɛ
中药	tsʊŋ˨˩˦ jɛ˥˩
中華	tsʊŋ˨˩˦uɔ˥˩
中華人民共和國	tutiu mɛn˨˦tuo˥˥fukai˥˥
中華民國	sʊŋ˥˥u˥˩meŋ˨˩˦kua˥˥
中華臺北	tsʊŋ˨˩lɔ˥tei˨˩pʊŋ˥˥
中途	tsʊŋ˥˥tɑʊ˨˩˦
中间	sʌŋ˨˩˦tsi˥˧
中风	fɔ˥˥
中餐	sʰŋ˥˥tsʰɔ˥˥
中點	tsʊŋ˥˥
丰厚	fɛ̃ː
丰富	fɔ̃vˈu
串	tʃoŋ
临	lɪn˧
临平	lɪŋ˨˩˦bɪŋ˥˥
临海	lɪŋ˥˥hɛ
临海人	lĩŋ˨˩ heɪ˥˥
丹	to
丹田	tiri
丹麦	doma
丹麦语	dzeɲ˩˦ɕ
为	wˌi˨˩
为啥	wɤ˨tsa˥˥
为啥体	wazaʃi
为啥道理	wˈʌsˈɑ̃tˈalˈi
主	tsɯ˧˥
主人	tɕˈɛ
主任	syʁˈi
主使	su˥˩
主公	tsɯ˥˩kʊŋ˥˥
主力	tsɯ˥˩
主办	tsɯ˨˩˦bjɛ˨˩˦
主场	tsɯ˥˩
主婚人	tsʰɯ˨˩˦xuən˥˥sən˥˧
主客	ʈʂɚ˥˩kʰɑŋ˨˩˦
主席	suzˈɛɪ
主张	tsɯ˥˥tsan˨˩˦
主張	tsɯ˥˩ʈʂan˥˩
主次	tɕy˥˩ tsʰɯ˥˩
主管	tsukɯ˨˩˦
主要	tɕʰyː˥˥
主觀	sɯː
主语	tsoŋˌ
主题	tsɯ˥˩ti˧˥
丼	zeŋ˨˩
丽	lə
丽塘村	laj˨˩˦ tsu˨˩˦ʂʰyn˧˥
丽水	ləi̯˨sən˥
举	ɯ
举世无双	tˈə sˈə fˈɔ̃ sˈɛ̃
举例	ʒˈɛli
举重	tɕi˥˩
丿	pʰiː˨˩
丿腳	pitːo
乃	nˈa
乃遭	nˈɛ
久	tˈy
久远	tɕjɑʊ˥˥y˧˧
么意思的	majsa
义	nˈə
义乌	ilˈwˈ
之	tsɯ˥˩
之上	tsi˥˥
之下	tsɯ˥˥uɔ˥˩
之內	tsi˥˥neɪ˥˩
之前	tsɯ˥˩
之后	tsʰuaɪ˨˩˦
之外	sue
之間	tsi˥˥tɕjɛ˥˥
之间	tsi˥˧
乌云	u iu
乌托邦	aːwutabaʋ
乌早天亮	u˨˩˦tsuɔ˥˧tʰjɛn˨˩˦kwɑŋ˥˥
乌木耳	u˥˩mɤ˧˥ʈʂɚ˥˩
乌油油	jɛː˩ːjɛː˥˂
乌烟丧气	u˨˩ i˥˩sɔː˧n˧tɕʰiː˧
乌焦	u˨˩˦
乌虀八糟	ɯtsɯipːɯtsɯ
乌贼	uuzak
乌青	ɯ˧˥
乌鲁木齐	uːɾɯmoɯmatoɯ
乌鸦	uja
乌龟	˨˩ u˥˧kue˥˥
乎	eˈɛ
乐	lˈok nˈɔ̃ ljˈɔ
乐惠	lɔ˥˧we˧˥
乐清	mats˥i˥˧
乐观	lɔkˈvɛʁˈ
乐谱	jopːu
乐队	jadæ
乒乓球	pɔŋpõŋ xau
乔伊	tʃi˨˩˦ tʃi˨˩˦
乖	a
乘	tʃe
乘風涼	sən˨˩fɤŋ˥˥liã˨˩
乘风破浪	sin fɔːlɔːŋ˧˥
乙烯	jɤ˨˩˦
乚	ɕiβakɨ
乛	wˈʌn tɹˈu
九	tsyː˨
九二共識	tɕiu˥˥liɑ˨˩˦ kʊŋ˥˥
九千九百九十九	tsiː˥ pɐt̚˥
九和路	tʃiɔlu
九天之上，即天界也	tɕjɛ˥˥ tʰi˥˩ tʰi˥˥ tʰi˥˥ ka˥˥ ja˨˩˦
九州	tsiaʊ˥˧tsɔ˨˩˦
九死一生	tɕy˥˩ʂɚ˥˩ jɛ˥˩ sən˧˥
九牛一毫	tɕyŋ˨˩˦ mɪn˧˥
九週間	tɕukɛ
也	ja
习惯	sit˦ue˧˧
习近平	sʰt˨sɯ˧˥ ʈʂu˧˥an˥˩ lɪŋ˧˥
乡	lian
乡下人	tʃau̯ni
乡下头	sjˈɛnˈ
