.ئاسلان	bɑzɫæ
ئاتا-بالا	pɑtɑpɑɫɑ
ئاتا-بالىلىق	pɑtɑpɑlɪlɯ̞q
ئاتا-بوۋا	ɑtɑːbɔvɑ
ئاتارمەن	pɑtɑrmɛn
ئاتارمەن-چاپارمەن	ɑtbɑtɑrmɛntʃɑpɑrmɛn
ئاتاغا	pɑtɑːɢɑ
ئاتاق	qɑtɑq
ئاتاق-ئابرۇي	ɑtɑqɑpɯ̞rɯ̞j
ئاتاقسىز	qɑtɑqsɯz
ئاتاقلىق	ɑtɑqɫɯ̞q
ئاتاكا	ɑtɑːkɑ
ئاتالغۇ	ɑtɑlʁumjʏ̞ŋsɯ̞
ئاتالما	bɑtɑlmɑ
ئاتالمىش	ɑtɑlmiʃ
ئاتامان	batːɑmɑn
ئاتامانلىق	qɑtɑmɑnliq
ئاتانماق	pɑtɑnmɑq
ئاتايىن	ʔɑtɑjɯn
ئاتاۋىزم	ɑtɑbɯzɯm
ئاتخانا	aːtxɔːnɑ
ئاتخۇمار	qɒtqχumar
ئاتروپا	aːtropa
ئاتروپا ئوتى	a tɾɔpa ɔ tɛ
ئاتروپىن	ɑtrɔpɪ̞n
ئاترىنا	atrɪnɑ
ئاتسىل	tsɯtsɯl
ئاتسېتات	atʃətɑt
ئاتسېتات كىسلاتاسى	atsɪtat kisatasi
ئاتسېتالدېگىد	atɛztʃɛjtɑɫdɛkɪt
ئاتسېتون	atsetˈɔn
ئاتسېتونېمىيە	ɑtsiːtoːneːmiːjæ
ئاتسېتىلخولىن	aːtsiːtɪlxolin
ئاتسېتىلېن	hɒtsitiliˈn
ئاتقۇرۇلماق	tquruɫmɑq
ئاتقۇزماق	pɑtquzmɑq
ئاتقۇلاق	ɑtqulɑq
ئاتقۇچى	aːtqutʃe
ئاتقۇچىلىق	ɑtqutʃilɑq
ئاتكرىتكا	atkrtka
ئاتكوس	akas
ئاتكىرىتكا	ɑtkɪ̞rɯ̞tkæ
ئاتلاتماق	ɑtˈtɑtmɑq
ئاتلاس	ɑtlɑs
ئاتلاشماق	ɑtlɑʃmɑq
ئاتلانتىك	ɑtlɑntɪk
ئاتلانتىك ئوكيان	ɑtlɑntik ɔkijɑn
ئاتلاندۇرماق	qɑtlɑndurmɑq
ئاتلانماق	ɑtlɑnmɑq
ئاتلىق	tɫɑq
ئاتلىماق	ɑtˈlɪmɑq
ئاتلېتكا	atlɛjtkæ
ئاتما	ɑtmɑ
ئاتما نەيزە	tmʏnæjzæ
ئاتماق	ɑtmaq
ئاتموسفېرا	atmɔzɟeɾa
ئاتمىش	ɑtˈmɪʃ
ئاتمىشىنچى	ɑtmiʃˈʃintʃi
ئاتمېتكا	otmetkɑ
ئاتول	patʊɫ
ئاتوم	potun
ئاتوم بومبا	ɑtom bumbaː
ئاتومسىز	atɒmsiz
ئاتىدارچىلىق	hɑtɪdɑrtʃilɯp
ئاتىقى چىقماق	ɑtɯ̞qkɯ̞ jχmɑq
ئاتىكاچى	aːtkaːtse
ئاتىكاچىلىق	ʔɑtkaɑtʃilɑq
ئاتىلا	ɑtɯ̞ɫɑ
ئاتىلارچە	ɑtɯllɑrɯttʃɛ
ئاتىلىدۇ	atɯˈɫɯdɯ
ئاتىلىق	ɑtɯ̞ɫːɯ̞q
ئاتىلىق يىپ	ʔɑtlɨq jɨp
ئاتىلىقسىز	ʔɑtlɪqsiz
ئاتىماق	tɯ̞mɑq
ئاتچوت	atʃot
ئاتچى	aːtˢ˩jɛː˧
ئاتچىلىق	ɑtʃɯlɑq
ئاتۇش	aːtuʃ
ئاتۇش شەھىرى	ɑːtuiʃ ʃæhˈri
ئاتۋاز	ɑːtvɑːz
ئاتېئىزم	aːtɛzɪm
ئاتېئىزملىق	aːttʰɪzɪmniq
ئاتېئىست	atist
ئاتېئىستلىق	ʔɑtɪstlɨq
ئاتېبرىن	atɪpɪrɛn
ئاتەش	aːtˈes
ئاتەشدان	ateʃtan
ئاتەشكۈ	ɒtɒʃkø
ئاتەشلىك	ɑteʃlik
ئاتەشىن	ɑtɑʃˈin
ئاتەشپەرەس	ɑːt̪eʃpeɾe̞s
ئاتەشپەرەسلىك	ɑtɛʃpərɛslɪk
ئاجايىبات	ɑdʒɑːibat
ئاجايىپ	qatajz
ئاجايىپ-غارايىپ	ədʒɑːibɣarɑːjib
ئاجايىپخانا	χʊˈʒɑːjˈbxɔnɑr
ئاجراتماق	ɑdʒrɑtmɑq
ئاجراشماق	padtʃɪrɑsimɑq
ئاجراق	pɑdʒrɑq
ئاجرالما	ɑdʒɯrɑlmɑ
ئاجرالماق	ɒdʒɾɒlmɒq
ئاجرىتىپ ئالماق	ɑdʒɪrɯtɯp qɑlmɑq
ئاجرىماق	hɒdʒiɾimɒq
ئاجىز	aˈdʒiz
ئاجىز ئاساس	ɒːdʒiz ɑːsɑːs
ئاجىز ئىشقار	ʔɑdʒiz ʔiʃqɑr
ئاجىز كىسلاتا	ɒːdʒiz kiːsˈlɒtˈdɒ
ئاجىز كەلمەك	ʔɑdʒɯz kɛlmɛk
ئاجىزلاتماق	gɑdʒɯzlɑtmɑq
ئاجىزلاشماق	ɑdʒizlɑʃmɑq
ئاجىزلانماق	ɑːdʒizlɑnmaq
ئاجىزلىق	ɑdʒizlɯk
ئاجىزلىماق	ʔɑdʒizlimɑq
ئاجىزە	ɑːdʒizæ
ئاخبارات	ɑχfɑrat
ئاخبارات ئىزدەش	ɑχbɑrɑt ʏ̞zdɛʃ
ئاخباراتچى	ɑχpɑrɑtːʲe
ئاخباراتچىلىق	ɑχmɑrɑttʃilɛq
ئاختا	ɑxta
ئاختارما	ɑqtɑrmɑ
ئاختارما سۈيى	ɑqtarmɑ syjɪ
ئاختارما قىلماق	ɑqtɑrmɑ qɨlmɑq
ئاختارمىدا چالما تالاشماق	ʔɑxtarmɪdɑ tʃɑlmɪ tɑlɑʃmɑq
ئاختارمىلىق	ɑχtɑrmɪ̞ɫɑq
ئاختاما	axtɑma
ئاختىخانا	ɑqtxɑnɑ
ئاختىچى	ɒχtˈtʃe
ئاختۇرتماق	ɑχtʊ̞rʊ̞tmɑq
ئاختۇرغۇچى	ɑχturʁutʃi
ئاختۇرغۇچى كورابل	axturʁutʃi kʌrɑl
ئاختۇرماق	ɑχtʊ̞rmɑq
ئاختۇرۇشماق	ɑqturuʃmɑq
ئاخشام	ɑxsʲo
ئاخشامقى	aχʃiʔɑmqij
ئاخشاملىق	ɑχʃamlɯ̞q
ئاخىر بىر كۈن	ɑχɪ̞ɾ bɪ̞ɾʏ̞ kɵn
ئاخىر زامان	ɑːχɪr zɑmɑn
ئاخىرقى	ɑχɪ̞ɾqːɯ̞
ئاخىرقى باھا	ɑχɪ̞ɾqɯ̞ bæhɑ
ئاخىرقى سوت	ɑχɪr qisˈut
ئاخىرقى قىراۋ	ɑχɪ̞ɾqɯ̞ qɪ̞ɾɑw
ئاخىرقى كوررېكتور نۇسخا	ɒːxɾqiiː qɔɾɛktɔɾ nusqɑ
ئاخىرقى مۇسابىقە	ʔaxraqːj mɔsɑbɪqˈhɑ
ئاخىرقى نۇسخا	aχrqin usqɑ
ئاخىرقى پەللە	ɑχɪrqɨ pæ̹lːɛ
ئاخىرقى گۈل-بېزەك	ʔɑχɪrqɯ gʏl bezɛk
ئاخىرقى ھىسابتا	ɑχɪrqɨ jɯsɑb ta
ئاخىرقى ھۆكۈم	ʊ̞χʊ̞rqʊ̞iʏʏʲɪkʏ̞m
ئاخىرلاشتۇرماق	ɑχɪrlɑʃtʊrmɑq
ئاخىرلاشماق	ɑχɪrɯ̞ɫɑʃmɑq
ئاخىرى	ɑːxɾe
ئاخىرىدا	aχaɾaˈda
ئاخىرىغىچە	ɑχɪ̞ɾɪ̞tʃæ
ئاخىرەت	ɑːχɾet
ئاخىرەتلىك	ʔɑχʁætlɤk
ئاخىرەتلىك دوست	ɑχɪrɛtlɪk dost
ئاخۇنباش	pɒhunbɒʃ
ئاخۇنلۇق	ɑːxumnːuq
ئاخۇنياغلىق	ʔɑχunɑjɑʁliq
ئادا	ɒdɒ
ئادا بولماق	ɑdɑ bɔlmɑq
ئادا قىلماق	ʔɑdɑ qɨlmɑq
ئادا-جۇدا	ɒdɒdʒudɒ
ئادا-جۇدا بولماق	ɒdɒdʒudɒ bɒlmɒq
ئاداش	ɔdɔsʲ
ئاداشتۇرماق	bɑdɑʃtʊrmɑp
ئاداشقان نېرۋا	ɑdɑʃqɑn nejiɾ bɑr
ئاداشماق	ɒdɒˈʃmɒq
ئاداغ	adˌaːx
ئاداق	pɑdɑq
ئاداققى	qɪ̞
ئاداققىچە	ɑtɑqɟitw
ئادالاتماق	ɑdɑɑlɑtmɑq
ئادالاشماق	ɑdɑlɑʃmɑq
ئادالىماق	ɑdɑɑɫɯ̞mɑq
ئادالەت	ɑdɑlæt
ئادالەتسىز	ɑdɑlɛtsɪz
ئادالەتسىزلىك	qɑdɑlɛtsizlik
ئادالەتلىك	ɒdɒlɒtlik
ئادالەتپەرۋەر	ɒdɒlɒtpɒɾbɒɾɒ
ئادالەتپەرۋەرلىك	ɑdɑlɛtpærværlɨk
ئاداپ	ɑːd̪ɑːb
ئاداۋەت	aːd̪ɑːvæt
ئاداۋەتخور	ɑdɑvɛtχɔr
ئاداۋەتخورلۇق	ɑdɑvɛtχorluq
ئاداۋەتلىك	ɑdɑvɛtˈlɪk
ئاداۋەتلەشمەك	ɑdɑvɛtlɛʃmɛk
ئاددىي ئاتالغۇلۇق سان	ʔadtɪ ʔatɑlʁuluq sɑn
ئاددىي ئامفىبول	ʔɑdd ɑnfu bɔl
ئاددىي ئۆسۈم	ʔadtɪ jɔsum
ئاددىي ئەسكەر	pˈoddi ˈɛskær
ئاددىي تاناسىپ	ɑːdiː tɒːnɒːsæb
ئاددىي تەكرار ئىشلەپچىقىرىش	ʔɒddj tækrɒɾ ɒʃlæb tʃiqirɒjst
ئاددىي جۈملە	ʔɑddɪ dʒymlɛr
ئاددىي خەت	ɑːdiː χd
ئاددىي خەلق	ʔaːddi xaˈliq
ئاددىي زاكاز	aːddiz zæˈkæz
ئاددىي كۆز	ɑːdiː køz
ئاددىي كەسىر	ɒdiˈ kɒsɒr
ئاددىي ماددا	a dˈdi mɑˈddɑ
ئاددىي ماياتنىك	ʔɑddɪ mjɑtˈnɤk
ئاددىي مۇقاۋا	otde j muqɑlɑ
ئاددىي نوتا	a d̪iː nõːta
ئاددىي نىسبەت	a dn spet
ئاددىي يىل	ɑddijl
ئاددىي پىروكسېنت	adːiː prˈoksent
ئاددىي گارمونىك ھەرىكەت	ʔɐtːiː gɑrmɑːniː kærket
ئاددىي گەپ	ɒddigap
ئاددىي ھۆكۈم	ʊ̞dːʲi hʏ̞kʏ̞m
ئاددىي-ساددا	otdaːsadaː
ئاددىي-ساددىلىق	ɒddjsɒdlɒq
ئاددىيلاشتۇرماق	ɑdːilɑʃtʊɾmɛk
ئادراسمان	aːtrasman
ئادرۇق	adruk
ئادرېس	ɒːdrɒs
ئادرېسى	aːdvˈesi
ئادسوربسىيە	aːtzoɾbisˈe
ئادىئاباتىك	ɑːdiːɑːbatək
ئادىل	ɑːdɯl
ئادىلانىلىق	ɑdɯlɑniliq
ئادىلانە	ʔɑdʔanɛ
ئادىللىق	ɑdɯnˈlɯq
ئادىلە	ɒdilɒ
ئادىم	ɑːˈd̪ɪm
ئادىمىساق	ɒdimˈsɒq
ئادىمەتچىلىك	ʔɑdɪmɛtʃtʃilik
ئادىنە	ɒːdiːnæ
ئادۇۋكات	atulkat
ئادۋوكات	advokat
ئادۋوكاتلىق	ʔɑduvukɑtlɤq
ئادۋۇكات	advokat
ئادۋۇكاتلىق	aːdujqatlɯq
ئادېنوزىن	adenozin
ئادەت	ɒːdæt
ئادەتتىكى	ɑdætkʰi
ئادەتتىكىچە	ʔɑdɛtlɨktʃɛ
ئادەتتىن تاشقىرى	ʔɑdɛttim tɑʃqiri
ئادەتتە	ɒːdɒtˈðɒ
ئادەتلەندۈرمەك	ɑdætlændyrmæk
ئادەتلەنمەك	ɒːdɒtlɒnmɒk
ئادەم ئاتا	ɑdæm ɑtːɑ
ئادەم ئاناتومىيىسى	ɑdæm ɑnɑtomisɪ
ئادەم ئايىغى باسمىغان	ɑdæm ʔɑjʁi bɑsmʁɑn
ئادەم ئۆز قاياشى بىلەن	ɑdæm ʔøz qɑjɑʃɪ bilɛn
ئادەم ئېيىقى	ɑdæm ʔijqiqɪ
ئادەم ئەتمەك	adæm ʔɛtmæk
ئادەم بالىسى	ɑdæm bɑlɯsɯ
ئادەم بولماق	ɑdæm bɔlmɑq
ئادەم سالماق	ɑdæm sɑlmɑq
ئادەم سىياق	ɑˈdæm siˈjɑq
ئادەم قويماق	ɑdæm qojmɑq
ئادەم قىلماق	adæm qɨlmɑq
ئادەمئاتا	ɑtɛmɑtɑ
ئادەمئاتامدىن قالغان	ɑdæm ʔɑtɑmdɨn qɑlʁɑn
ئادەمخور	ɑːdæmxɔr
ئادەمخورلۇق	ɑdæmxurluq
ئادەمخۇمار	ɑdæmxʊmɑr
ئادەمزات	ɑːdæmzɑːd
ئادەمزاتسىز	ɑːdæmzatsɯs
ئادەمسىمان	ɑːdæmsɪˈmɑn
ئادەمسىمان مايمۇن	bɑɾadɛmsman majmun
ئادەملىك	ɑdæmlɪk
ئادەملەشتۈرمەك	ɑdæmlæʃtyrmɛk
ئادەمنىڭ ھۆ بولغۇسى كېلىدىغان	ʔɑdɛmniʁ bøwɛlʁus kirtɨʁɑn
ئادەمىي	ɑːdæmiː
ئادەمىيەت	ɑːd̪eːmiːʔæt
ئادەمگىياھ	ɑdæmgijɑ
ئادەمگەرچىلىك	ɑdæmgɛrtʃilik
ئادەمگەرچىلىك قىلماق	ʔɑdæm gɛrtʃilɪk qɨlmɑq
ئار	ɑːr
ئار ئالماق	ɑr ɑɫmɑq
ئار كۆرمەك	ɑˈr kørmɛk
ئار-نومۇس	ɔɾnomuz
ئارا	ɑɾɑ
ئارا ئاي	ɑːɾɑː ɑːj
ئارا ئوچۇق	ɑɾa ʊtʃˈ
ئارا ئىسكرىپكا	ˈɑɾa skɾˈɯpkɑ
ئارا بولماق	ɑɾɑ bɔɫmɑq
ئارا بۇلۇڭ	ɑrɑ bɔlɔŋ
ئارا بەت	aɾa bet
ئارا تام	ɑːɾɑːtˈhæm
ئارا تۇرماق	ɑɾɑt tuɾmɑq
ئارا دولقۇن	ɑrɑ dʊ̞ɫqʊ̞m
ئارا سوزۇق تاۋۇش	ɑrɑ suzuqtɑwʃ
ئارا قاپىيە	ɑrɑ qɑpijæ
ئارا قوشۇق	ɑrɯz qɯʃuq
ئارا قەۋەت	ɒˈɾɒ qɒwɒt
ئارا لېچىنكا	aːrɑl ɫetʃinkæ
ئارا يول	ɑɾi jɔl
ئارا-تۇرا	ɑˈrɑˈtˈrʊˈɾˈa
ئارا-سىرە	ɑɾɑsɯra
ئارا-گۈرجەك	ɑrɑgʏrdʲɛk
ئاراتورىيە	ɔrɔtɔrjɛ
ئاراتۇر	aɾottɔɾ
ئاراتۇرلۇق	ɑrɯ̞tʊ̞rɫʊ̞q
ئاراز	ɑːɾɑːz
ئارازلاشتۇرماق	ɑrɑzlɑʃtʊrmɑq
ئارازلاشماق	ɑrɑːzlaʃmɑq
ئارازلىق	ɑɾɑzˈlɯk
ئاراش	ɑɾas
ئارال	ɑɾɑl
ئارال دېڭىز	ɑrɑldɯŋiz
ئاراللاردىن	ʔɑrɑllɑrtɯ̞n
ئارالىيە	ɑrɑliːjɑ
ئارام	ɑrɑm
ئارامبەخش	ɑrɑmbæxʃ
ئارامخۇدا	ɑramxudɑ
ئارامخۇش	ɑrɑmxɔs
ئارامسىز	qɑrɑmsiz
ئارامسىزلانماق	ǎramsizlɑnmɑq
ئاراملىق	ʔɑrɑmliq
ئارامگاھ	aɾaɴa
ئارامگاھلىق	ʔɑrɑmgɑhlɯ̞q
ئاران	ɑɾɑn
ئارانژىروۋكا	aɾaːnzyrwɑlkɑ
ئاراچ	ɑrɑtʃ
ئاراچلىق	ʊ̞rɑtsʲɪɫɯ̞q
ئاراگونىت	ɔraguŋt
ئارتتۇرماق	qɑrtturmak
ئارتس	ɒɾtˈiz
ئارتسلىق	ʔartɪslɤq
ئارتقىمال	bɑrtqimɑl
ئارتماق	ɔrtmɑq
ئارتىزىيان	ɑrtiˈzijan
ئارتىس	pɑrtɪs
ئارتىسكا	arˈtˈzka
ئارتىسلىق	ɒɾtˈslik
ئارتىق	ɑrtɯ̞q
ئارتىكل	pɑrtɪkɪl
ئارتىلماق	ɑrtɯlmak
ئارتىم	ɑrtɯ̞m
ئارتۇق كەتمەك	ɑrtɪq kɛtmɛk
ئارتۇق چىقىم	ʔɑrtɨχqɨm
ئارتۇقلۇق	ɑrtɯxluq
ئارتۇقچە	ɔrtʊqtʃæ
ئارتۇچ	ɦoɾtutʃ
ئارتېرىيە	ɑrˈteɾjɛ
ئارخائىزم	ɑrχɑʔizim
ئارخات	ɑrxɑt
ئارخىپ	bɑrχʊ̞b
ئارخىپلاشتۇرماق	ʔɑrɯqʔulɑʃturmɑq
ئارخىپنى	ɑrɯqpnɪ
ئارخېئولوگ	ɑrxijɑˈlɯk
ئارخېئولوگىيىلىك	ʔɑrxijologɪlik
ئارخېئولوگىيە	arxjologjɛ
ئارخېئولۇگىيىلىك	ɑrxijologijlik
ئارخېتېكتور	ɑrxʲitʲɪktʊ̞r
ئاردىسىيە	ɔːˈdisiˈɑ
ئارزاڭ	ɒɾizɒŋ
ئارزۇ	pɒrzuˈ
ئارزۇ قىلماق	ɑrzuː qilmɑq
ئارزۇ-ئارمان	ɒːɾzɒːɒɾmɒn
ئارزۇ-ئىستەك	ɒrzuˈstɒk
ئارزۇ-ئۈمىد	ɑrzuʔymɛt
ئارزۇ-تىلەك	ɒɾzutˈilˈɒg
ئارزۇ-تەلەپ	ɒɾzutɒlɒb
ئارزۇ-خىيال	ɑrzuχijɑl
ئارزۇ-نىيەت	ɑrzuːnjɛt
ئارزۇ-ھەۋەس	ɑrzuhɔwɛs
ئارزۇلىماق	ħɑrsuːlmɑq
ئارزۇلۇق	pɑrzuluk
ئارزۇمەن	ɑrzʏmɛn
ئارسىز	bɒɾsiz
ئارسىزلىق	ɒɾsizliq
ئارسېنىد	ɑrsˈɯnd
ئارشاڭ	aːrsɐ̃ɐ̃ŋ
ئارغامچا	pɑrˈʁɑmtʃa
ئارغامچا توسىماق	ɒɾɒgɒmtʃɒ tɒsmɒq
ئارغامچا سەكرەش	ɒrqɒmtʃiˈ sɒˈikɾɒʃ
ئارغامچا-توقۇناق	ɑrɢɑmtʃatʰɔqiniq
ئارغامچە توسىماق	ɒɾgɒmtʃɒ tɒsmɒq
ئارغامچە شوتا	gɒˈɾˈiˈqɒmtʃɒ ʃuˈɒta
ئارغىماق	ʊ̞rʁʊ̞mɑq
ئارغۇچە	ɑrʁutʃæ
ئارفا	ˈɔrfɑ
ئارقا	ɑrɯ̞qä
ئارقا ئىشىك	ɑrqäː ʃɛk
ئارقا بوي	arq bɔj
ئارقا بەل	ɑrqɯ̞bæn
ئارقا تىرەك	qɒttiˈɾˈɒk
ئارقا تېرەك	ɑrqä teˈrɛk
ئارقا سوزۇق تاۋۇش	rqɯz sɔzuqtɑ v�ʃ
ئارقا سەپ	ɢɑrqɑ sɛb
ئارقا سەپ تەمىناتى	ɑrqisɑp tɛminatɯ
ئارقا سەھنە	bɑrqʊ̞ sæhɪ̞næ
ئارقا كۆرۈنۈش	ʔɑrq kørnøʃ
ئارقا مۇھاپىزەتچى	ɒrqɒ mɒˈɒb zɒtˈki
ئارقا مېڭە	ɑrqɯ̞m eʁæ
ئارقا پۇت	ɑrqqɯ̞ pʊ̞t
ئارقا پېشاب	ɑrq piʃɑp
ئارقا پەش	rq pejs
ئارقا چاك	bʊ̞rqʊ̞ tʃak
ئارقا-ئارقىدىن	ɑrqäɑrqɯ̞ðɯ̞n
ئارقا-ئارقىلاپ	ʔɑrqaʃqɨlɑp
ئارقاق	ɑrqɑq
ئارقاقلىق	ɑrqɑtlɯ̞k
ئارقاقلىماق	wärqɑqɫʊ̞mɑq
ئارقاندىماق	ɑrqɑntɯmɑq
ئارقانلاتماق	ɑrqɑnɫɑtmɑq
ئارقىدا قالماق	ʔarkqɨdɑ qɑlmɑq
ئارقىدىن	ʔɑrqidɪk
ئارقىسى	ɒlqse
ئارقىسىدا	ɑrqisɯdɑ
ئارقىسىغا سالماق	ʔɑrqisɪʁɑ sɑlmɑq
ئارقىسىغا چۈشمەك	pɑrqisɯʁɑ tʃyʃmɛk
ئارقىسىچە	arqistʃa
ئارقىغا بۇرۇلماق	qɑrqɯ̞ʁɑ pʊ̞rʊ̞ɫmɑq
ئارقىغا سۈرمەك	ʔɑrqɪʁɑ syrmɛk
ئارقىلىق	ɑrqiliq
ئارقىمۇ ئارقا	ɑrqɯ̞mɑ ɑrqä
ئارقىمۇئارقا بۆلۈش	ʔɑrqimʔɑrqɑ bilyʃ
ئارقىچە	ɑrqtʃɑ
ئاركاباشى	rkɑβɑʃi
ئاركتىكا	pärkteke
ئارمادىل	ɑrmɑdɯɫ
ئارمان	ɑrmɑn
ئارمانسىز	ɑrmɑnsɯz
ئارمىيە	ɔrmiɛ
ئارىدىن سۆز ئۆتمەك	ɑrdɯn søz ʔøtmɛk
ئارىدىن قىل ئۆتمەسلىك	ʔɑrdɯn qilɑ ʔœtmɛslɯk
ئارىدىن گەپ ئۆتمەسلىك	ʔɑˈrðin gɛp ʔøtmɛslɯk
ئارىسالدى	aɾɯsaldi
ئارىسى	ɑɾɯzsi
ئارىسىدا	ɑɾɑsɯdɑ
ئارىغا ئادەم قويماق	ɑrʁɑ ɑdæm qojmɑq
ئارىغا ئالماق	ɑrɯzɑ ɑlmɑp
ئارىغا تىكەن ئۈنمەك	ʔɑriʁɑ tɪkɛn ʔimɛk
ئارىغا سوغۇقچىلىق چۈشمەك	ɒˈɾiɒ sɒquqtʃiˈlɒq tʃiˈʃmɒk
ئارىغا قاتماق	ɑrɯ̞ʁä qɑtmɑq
ئارىغا چۈشمەك	ɒˈrɒˈɾˈiʃmɒk
ئارىفمېتىكا	arfɪmɪtka
ئارىلاش	ɑrlas
ئارىلاش ئورمان	pɑrɯɫɑʃ orman
ئارىلاش ئوزۇقلىنىش	ɑrɯlaʃ ʔɔzliqlɪnæʃ
ئارىلاش تالالىق توقۇلما	ʔɑrlɑʃ tɑlɑrliq toqulmɑ
ئارىلاش-قۇلاش	bɑrɫɑʃqulɑʃ
ئارىلاشتۇرغۇچ	pɑrlɑʃtorʁutʃ
