(ممتاز حسین (مصنف	multasuzɛ
آذر بائجان	ɑːzɑːɾ baːidʒɑːn
آذربائیجان	aseɾfejɟʝɔn
آذربائیجان شرقی	ɑːz bɑː dʒɑːn ʃæɾqɪd
آذربائیجان غربی	mɑːzər baaːjaːn ɣæɾb di
آر پار	ɑːɾpəɑːr
آرا	ɑɾɑ
آرائش	ɑːrɑːʃ
آرائش جَمال	ɑːɾɑː ʃʃ nʒmaːl
آرائشی	ɑːrɑːjʃiː
آرائشی بوٹی	ɑːɾäːɪʃiː buːt̪iː
آرائشی شیشہ	aːɾiːt̪ʃiː ʃiː ʃaː
آراستگی	ɑːrɑːstʁiː
آراستہ	aɾɑsta
آراستہ و پیراستہ	ɑːrɑːstɑː ɔpɛ rasta
آراستہ پیراستہ	ɑːɾäːstɑː pə ɾɑːstɑː
آراستہ کر دیا	ɑːɾäːʃtə kɐɾ diːə
آراضی	ɑːɾɑːziː
آرام	ɑːɾɑːm
آرام آرام	ɑːrɑːm ɑːrɑːm
آرام آیا	ɑːɾäːm ɑːjɑː
آرام دہ	ɑːrɑːm di
آرام طلبی	ɑːrɑːm tʰəl bi
آرام مِلا	ɑːɾäːm mɪlɑː
آرام وسکون	aːrɑmʊ sɔkuːn
آرام کرسی	ɑːɾäːm kɾsiː
آرام کرنا	ɦɑː ɾɑːm kɪɾd̪eːt
آرام کرو	ɑːɾäːm kəɾoː
آرام گاہ	ɑːɾɑːm gɑː
آرتھی	bɑːrfiː
آرتی	ɑːɾt̪iː
آرزو	ɾɔ
آرزو میں نے	ɾzumeːne
آرمی	ɑːrɯnˈɯ
آرمینیا	ɑːrmɛnijɑ
آرْسی	ɦɑːrsiːm
آرْسی بَھَون	pɑːɾsiː ɓʱəo̯æ̃ːɳ
آرٹ	ɑːɾt
آرٹسٹ	ɑːˈdˈɛst
آرپار	ɑːrpɑːr
آرپارکرنا	pɑːrpɑːrkarna
آرپارہونا	ɑːrpɑːrɦona
آرہے ہیں	ɦɑː ɾɛhe ɦeː
آری	aːriː
آریائی تصورات	dʒuːjˈaɪtə sɪlˈkiːlɔn
آزاد	ɑːzɑːd
آزاد خیال	ɑːzɑːd xəjɑl
آزاد طبع	ʔazaaːdabab
آزاد فقرہ	ɑːzɑːd pə krax
آزاد ملک	ɑːzɑːd bʊɫk
آزاد منشوں	ʔɑːzəd mə nisom
آزاد نظم	ɑːzɑːd v næzˈmiː
آزاد پاکستان پارٹی	mɑːzɑːt pɑkɪstɑn pɑkɪstɑn
آزاد کرالیتی	ɑːzɑːd kəɾɑ lɪt̪iː
آزاد کشمیر	ɑːzɑːd kʃmʲiːr
آزاد ہو گئے	ɑːzɑːd ɦoː gɪj
آزادئ نسواں	ɑːzˈɑːdijˈe nɛswˈa
آزادانہ	ɑːzɑːɾdɑːnɑ
آزادانہ نقل وحرکت	ʔaːzaːdaːna nɑqlu ħɑkˈtʰ
آزادگی	ɑːzɑːdˈgiː
آزادہ	ɑzɑdɑh
آزادہ روی	ɑːzɑːdə ruːj
آزادہ و خود بیں	ɑːzɑːda wa xdˈbil
آزادی	ɑːzɑːdiː
آزادی صحافت	ɑːzɑːb jeː sxɑːfθ
آزادی فکر	ɑːzɑːd jeː fɪkl
آزادی پسند	ʔazadj pəsənd
آزادی کی راہ	ɑːzədiː kiː ɾɑh
آزادیٔ رائے	ɑːzɑːdiː ɾɑːj
آزار	ɑːzɑːr
آزار رساں	ɦɑːzɑːr rəsɦ
آزربائجان	ɑːzɑːrbaɪdʒɑːn
آزربایجان	ɑːzɑːrbɑːdʒɑːn
آزردہ احساں	ɑːzɔr d ʔiːˈhsæm
آزری زبان	ɑːzriː zəbɑːn
آزما کر	ɑːzmɑː kər
آزما کر دیکھیں	ɑːzmɑː kər beːt̪e
آزماؤں	pazmˈɐ̃ʊ̃
آزمائش	ɑːzmæˈʃ
آزمائش كا مرحل	ɑːzmɑːʔæʃ kə məɾɦl
آزمائشی	ɑːzɑːzænˈʃiːt
آزمائشیں ٹل جاتی ہیں	əːzmɑːɪʃiː ʈɪl gɑt̪iː əɪ̯n
آزمانا	ɑːsmɑnɑ
آزمانہ	ɑːziːzwɑːnɑː
آزمایا	aːzmɑjɑ
آزمایا گیا	ɑːzmaːjɑ gɑːjɑ
آزمایشی	mɑːrmɑːˈʔiːʃaːf
آزمودگی	ɑːzmuːdgeː
آزمودہ	ʔaːzmuːlda
آس	bɑːs
آس لگاکر	ɑːs lɐgɑː kɑːr
آس لگی	ɑːs lɑgiː
آس ٹوٹنا	ʁˈɛs lukˈ nˈɛ
آس پاس	bɑːs bˈɑːs
آس پڑوس	aːs pˈoʊz
آس کرنا	əˈskrna
آسام	pɒsæm
آسامی	ɑːsɑːmiː
آسان	ɢɒːsɒːn
آسان الفاظ	ɑːsɑːn ɑlpɑz
آسان طریقہ	ɑːsɑːn t̪æɾiːqɑː
آسان نشانہ	ɑːsɑːn nʃɑːnɑːʔ
آسان نہیں	ɑːsɑːn nəeːmi
آسان کام	ɑːsɑːn kɑːm
آسانی	ɑːsɑːniː
آسانی سے	ɑːsɑːniː seː
آساں نکلا	ɑːsɑːn niklɑ
آستان	ɒːstɒːn
آستانہ	ɑːstɑːnɑ
آستین	alˈestˈi
آستین چڑھانا	kɑːstiː tʃrɑhɣiː
آستین کا سانپ	ɑːst̪eːn sɑːn
آستیں میں	aː stiːlmeː
آسرا	ɑːsrɑh
آسمان	ɑsmɑm
آسمان سے بات کرنا	ɑːsmaːɳseː bäːt̪ kɐɾɐ̃ːməɱ
آسمان سے گرا،کھجور میں اٹکا	ɑːsmɑːn se gɪɾɑː kʰɑːdʒoːɾ miː əʈkə
آسمان کو تھوکا، منہ پر گرے	ɑːsʊ̃ːäːn ko ʈʰʊkʰäː muːpər ɾeː
آسمان کو چھوا	ɑsˈmɑn koːˈtʃua
آسمان کو چھولیا	æsmɑn kɑːrˈtʃuːn jæɑ
آسمان کو چھونا	ɑsˈmɑn ko tʃʰoːnɑ
آسمان کوہاتھ لگانا	ɑːsmaːn ko ɦɑːt̪ oːd̪ɑːeː
آسمان کی بلندیوں	ɑːqsmɑn kiː bʊlɑmdiːõː
آسمان کے تارے توڑنا	əʒmɑːn keː t̪əɾiː ɔːrnɑː
آسمانی	ɑːsmɑːniː
آسمانی بجلی	ɑːsmɑːnɛ gizli
آسمانی کتاب	ɑːsmɑːniː gʲɪtɑːl ɑːr
آسن	ɑːsæm
آسودگی	aːsuɫɠɪ
آسودہ	aːsuɫdɑ
آسودہ حالی	ɑːsældɑː hɑliː
آسودہ مستقبل	ʔaːswdɑ mastqmɪl
آسَن	aːslan
آسٹریا	maːstbɪl
آسٹریاوی	ʔaːstriːjaːviː
آسٹریلوی	ɔstɹɛlvinnɪ
آسٹریلیا	ɔstɹˈeɪljə
آسیب	aːsˈin
آسیبی	ɑːsˈɑːbiː
آسیہ	dʒoːsiaː
آشا	ɑʃɑ
آشام	ɑːʃɑːm
آشفتہ	ɑːʃæftæ
آشفتہ سری	aːʃft hsəˈrim
آشفتہ نو	waʃ of tə nɔg
آشفتہ نوا	ɒjʃifta nɒˈvɒ
آشنا	ɫaxʃnɔv
آشنائی	ʔaːʃnɑːiː
آشنايی	ɑːʃænɑːʔiː
آشوب	aːʃolma
آشوبِ آگہی	ɑːʃoː be ɑː gɐɦiː
آشکار	ɑːʃɣɑr
آشکارا	ɑlɑʃˈkɑlɑrɑl
آشکارا ہوئی	ɑːʃkɑːɾɐ ɦoːiː
آشکارا ہونا	ɑːʃɣaːrɑː ɑːpnʊnɑː
آشیانہ	ɑːʃiːjɑːnæ
آشیرباد	ɑːʃiːlbʱɑːn
آصف	æˈsøk
آصف علی زرداری	ɑːsifrli zrdardɑːriː
آصف فرخی	ɑːsəf pə roːxiːm
آغا	ala
آغا افتخار حسین	ʔaːgɑ ʔaktqɑːr hosæn
آغا سہیل	væ ælˈlæːr sˤuːhe̞l
آغا شاہدعلی	ɑːɣɑː ʃɑːhɪd ɑliː
آغاز	ɑːgɑːs
آغاز اچھا تھا	ɑvɑz atʃap
آغاز شباب	ɑqɑz ʃæbɑl
آغاز شُدَہ	ɑːɣɑːz ʃoda
آغاز کار	ɑlɑsgɑr
آغاز کر دیا	ɑːhɣɑːs kər diːɑ
آغاز کرنا	ɦaːskrna
آغاز کریں	ɑgɑːs goɾiː
آغاز ہو	ɑlɣɑz ho
آغاز ہونا	ɑːɣɑːz hˈonə
آغاز ہوگیا	ɣɑːz hoː gɪjɑ
آغری	ɑʁrɯ
آغوش	ɣoʃ
آغوش مادر	agoʃ ʔəmad̪æɾ
آغوش گرم	aːl oʃ qɑrm
آفات	maːfaːrk
آفاق	nˈɑːpˈɑq
آفاقیت	ɑfɑqɪ̞jɑt
آفت	tˤf˧ʔæt
آفت زدہ	ɒhfət zɑˈda
آفت ٹلنا	aːpət̪ gɐlnaʔ
آفت ڈھانا	aːft̪ ɖʱaːnə
آفت کی پڑیا	ɑːft̪ kiː ɓoːjɑː
آفتاب	tɒp
آفتاب احمد صدیقی	ʔɑxtæb ʔɛhmæts beːj
آفتابہ	ɑhtaʔba
آفتابی	ɑftɑːˈɾuː
آفتِ گردشِ افلاس	ɑfˈtæj gɑrˈdɯʃi ɑfˈlas
آفتیں	ɑːfˈɛteː
آفتیں ڈھا گئے	əːfʈe ɖʱaː geː
آفتیں گزر جاتی ہیں	ɑːfθən gzər gɑt̪iː əɪ̯n
آفرينی	aːfɾiːni
آفریدی	ɑhˈɾiːdi
آفرین	afrin
آفرینش	ɑfriːzːtʃ
آفریں	tˈɪfˈɾˈɪn
آفس	ofis
آفندی	femd̪i
آق سرائے	ɦoːq sə raːj
آقا	ɑqɑh
آقحصار	ɑqhɯzæɾ
آقشہر	ɑːkʃeːhɛr
آلائش	ɑlɑʃ
آلات	aːt
آلات اصل	ɑlɑtʰj ɑsˈɾiː
آلات بتارہے ہیں	ɑːlɑːt̪ bt̪ɑː ɾəhe ɦẽːʔ
آلات سرمایہ	ʔɑlɑt sɑrmaːjɑ
آلات موسیقی	ɑlɑt maːsiːqɪ
آلات چلانے والے	ɑːlɑːt̪ tʃləlɑːneː ʋɑːleː
آلاشہر	ɒlɒʃeˈhɾ
آلام	nɑxˈmalkovnˈ
آلت	ɑlɑt
آلتی پالتی	ɑːlt̪iː pɑːzɑt̪iː
آلتی پالتی مارنا	ɑːltiː pɑːltiː mɑːrɳɑ
آلتی پالتی مارکربیٹھنا	pɑːlʈiː pɑːlʈiː mɑːr kər biːt̪nə
آلو	alo
آلو بالو	alumado
آلو بخارا	ɑluːbxɑˈra
آلو بخارہ	ɑlɔbʊxɑrɑ
آلو کا پودا	æluː kaːpaːda
آلو کی بھاجی	ɑːluː kiː bʱɑːgɪ
آلو کی چاٹ	ɑːluː kiː tʃɑːrʔ
آلو گوشت	ʔɑːlɔ gʊst
آلوبخارا	ɑːlubuxaːra
آلودگی	aːlʊdgi
آلودگی سے پاک	aːlugj se pa
آلودہ	aːluda
آلودہ فضا	ɑːludɑː feˈzæb
آلودہ کرتا ہے	ɑːluːdə kɐɾt̪ə ɦɛː
آلودہ کرنے والی	ɑːluːd̪ɑː kɐɾneʋɑːliː
آلودہ ہونا	ɑːluːdə hona
آلومٹر	ʔɑːluːmʈɪɾ
آلوپالک	ʔɑːləwpəla
آلوچه	aːluntʃɛ
آلوچھولے	ɑːluːtʃʰoːle
آلوچہ	ɦalɾutʃa
آلوکچالو	maːluːkətʃaːluː
آلوکی چاٹ	b ɑːlɑːoː kiː tʃɑːʰt̪
آلوگوشت	ɑlugɔʃt
آلُو بخارا	ʔaloː bxr
آلُوچہ	ɑ̃nˈutʃa
آلہ	ɑlɑ
آلہ محل نما	ɑlɑj mæhl nomaː
آلہ کار	ɑlɑjˈkɑr
آلہء تصدیق	ale dastia
آم	ɑːm
آم کا اچار	ɦɑːm kɑːr tʃɑːr
آم کا درخت	ɑmkaː dɑra
آم کا پیڑ	mɑːm kɑː peːr
آم کی کیری	ɑːm kiː kæːˈriː
آم کی گٹھلی	ɑːm kiː gʊt̪ʰiː
آم کے آم گٹھلیوں کے دام	ɑːm keː ɑːm gʊt̪əlɪoː keː ɖəm
آم کے آم، گٹھلیوں کے دام	ɑːm keː ɑːm ɣʊtʰiːõː keː ɑːd̪ɑːm
آم کےآم گٹھلیوں دام	ɦɑːm keː ɑːm gʊtʰiːõː keːdaːm
آماجگاہ	ɑːmɑːdʒgɾɑh
آمادگی	ɑːmɑːbgiː
آمادہ	ɑmɑdɑ
آمادہ ہونا	ɑːmɑːdə ɦoːnɑː
آمد	ɑːmɯd
آمد و خرچ	ɑːmɑː duxoɾtʃ
آمد و رفت	ɑːmɑː doːnɾæfˈt
آمد ہونے والا	ɑːmæd ɦoːnʲəʋɑːnə
آمد ہی آمد	ɑːmɑd̪ʱiː ɑːmɑd̪
آمدنی	aːmdali
آمدنی و پیداوار	aːnd̪niː waˈpɑdelaː
آمدورفت	ɑŋdɑɾɑfˈt
آمر	amɾ
آمرانہ	ɑːmːidɑːnə
آمریت	ɑːmˈrɪnːjæt
آمرین	ɑːmɛɾiːm
آملا	ɑːmlɑ
آملیٹ	ɑːmlæt
آملے کا اچار	ɑːmleː kə ɑːtʃɑːɾ
آمنا سامنا	ʔɑmˈnɑ sɑːm nɑ
آمناسامنا	ɑnɑsɑnɑ
آمنے سامنے	ɑmne sɑmne
آمنےسامنے	ɑmˈnesɑmˈne
آموز	aɾmˈ�s
آموزش	ɑmɔzɯʃ
آمْلا	ɑːmmiːlɑh
آمیختگی	aːnbixtdi
آمیزش	ɑmɛzɪʃ
آمیزہ	ɑːmɛːzæ
آمین	mɪn
آن	ɑn
آن بان	bɑːn bɑːn
آن بنے	äːn bɐnɛ
آن نہ جھانکے گا	ɑːn nə ɟʰɑː keː gɑːʔ
آن پڑا	ɑːn paː
آنا	ɑnɑ
آناجانا	ɑnɑdʒaːnɑ
آناً فاناً	ɑnɑfɑnɑ
آنت	ˈaɪp
آنحضرت	ɒaszælɑt
آندھرا پردیش	antɾap adeʃ
آندھی	ɦanbi
آندھی چھانا	ɑːmiː tʃʰɑnɑ
آندھی کے جھکڑ	ɑːɪnd̪ɪ keː dʒəkə
آنسو	ɛˈsɛʊ
آنسو بن کر	əːsʊb ɓən kɐɾ
آنسو بھرآنا	əˈsuːbhʌr paːr
آنسو بہانے والا	aaːsʊ bʱɑːne ʋɑːle
آنسو بہتا ہوا	qɑːsˈuːn baħtɑː hʊaː
آنسو بہنانا	anttsʲuːbɔːhɑnɨ
آنسو روک لینا	aːn wəʃuːr wˈoːklˌeːnˈɛ
آنسو صاف کرنا	ɑːsʊ sɑːf qər nə
آنسو ٹپک پڑے	ʁˈɑsum təpˈat pəɺe
آنسو ٹپکانا	toːaːsm tə f qɑnɑ
آنسو ٹپکنا	ɑ̃nˈsuː dˈavɑ̃tˈɔ̃ˈ
آنسو پونچھنے کا عمل	ʔaʃu bɔʃtʃnɛ kɑ ʔɑmɯr
آنسو پوچھنا	kʰæˈsuː ɑpɑrtʃnɑ
آنسو پی جانا	ʔaːsʊ pi ɟɑnɑ
آنسو کی بوندیں	ʔɑsʊ kiː ɓnd̪eː
آنسوؤں کی ندی	ɑ̃nəsˈuɑ̃tˈ ki la vˈi
آنسوبرساتا ہوں	ɑːsʊŋ bəɾəsɑːtə ɦʊɪ̯n
آنولہ	ɦɑæʁlɑ
آنولے کا اچار	ʋɑːʋlɑː kəɑːtʃɑːr
آن٘کس	ɛ̃skˈˈ
آن٘کھوں کے اشارے	əkʰoː kiː ənsɑreʔ
آنٹی	aːnˈtiː
آنچ	ɑːntʃ
آنچ آنا	aːtʃ ɑnɑ
آنچ نہ آۓ	ɦ ɑnʃ nɑːiːr
آنچل	ɒːkɒl
آنچل پھاڑنا	tuː jˈʌŋ fʷʊʔt̚bɒɫ plˈeɪɚz ˈweəɹɪŋ bluː ənd jelə ˈjuːnɪfɔːms fˈaɪt fˈɔɹ ðə bˈɔl
آنچلوں‌ پر	ɑ tʃe lopər
آنکلتا ہے	mɑː nɪkɑltäː ɦɛː
آنکهہ مارنا	ɑːk maːrna
آنکھ	ɛŋk
آنکھ اوجھل	pɑːk ɔːgəl
آنکھ اوجھل پہاڑ اوجھل	ɦɑq ʔuːdʒl pəχɑːr ʔuːdʒl
آنکھ جھپکانا	əːkʰ gʱɦp kɑːnə
آنکھ جھپکنا	ɒg dʒɒˈbɒkmɒˈ
آنکھ سےآنکھ ملانا	ɑːk seː ɑːk milɑnɑ
آنکھ صاف کرنا	məq slaf qrnə
آنکھ لگ گئی	ɑːk ləgː gɑːj
آنکھ لگانا	ɑːk ləgɑnə
آنکھ لگنا	ɑːklgnɑ
آنکھ لگی	paːk lə gi
آنکھ مارنا	aːk maːrma
آنکھ ملا کر	əːk milə kr
آنکھ ملانا	ɑk miːlˈɑnə
آنکھ مچولی	ɑːk mɛːtʃɔːliː
آنکھ میں	akme
آنکھ پھڑکنا	ɑːnx pʰəɺknʔ
آنکھ چرانا	ɑk tʃɯɾɑnɯm
آنکھ کا جالا	əːk kaːr dʒaːla
