.अश्वमेधाधिकं	aːʃuːniːɖɦdiːkəm
bahuvrihi	baːhuːrɪhi
balram mallya	balraːm məˈljə
bandha	bənˀd̪ʱa
bhaagyodaya	bʱaːgəlɔːd̪ɔ
bhaalachandram	baletʃɛndrɛm
bhaashaa	ɓʰɑːsɑː
bhadra	bʱʊ̃t̪ɾə
bhadraasana	bʱd̪ɾɑːsəm
bhagavad	boːgʋɑːn
bhagavad gita	bʱgʋgɛ kiːraː
bhagavat	bɑˈgɑlɑt
bhagavata purana	ɦʊɪt puːrɑːn
bhairava	bʱɪːɾʊdʒ
bhairavi	baːjˈɾəgːiː
bhaiṣajyaguru	pˌɐɪʃˈaɪɐgˈuɾˈo
bhakatah	bɒktu
bhakta	bʱkʈa
bhakteshhu	ʊt̪eːʃu
bhakti	bʱaːkʈiː
bhaktih	ɓʱt̪iː
bharadvaja	ɑːlˈlɑː
bharadvajasana	bʱɾgwaːdʒɑːsænɑ
bharati	ɓʰaːɾt̪iː
bhargo-devasya-dhīmahi	bʱɾgoːd̪ɪvɐʃt̪ijɐt̪
bhasha	bʱɑːə
bhasma	kʰoːʔtʰoːmɕiːmɕiːmː
bhattacharya	qɑːtʃɑːriː
bhautika	bʱaʋt̪ik
bhavah	dɑɦɑlɑ
bhavani	soːpɑˈvɑːnɪ
bhavantu	bʱʋʋan
bhavishya-purana	aljɣ̞ʃtiat̪uraːr
bhavisya purana	bavɯʃtʃe puraːn
bhikkhu	tɔ̃sˈeˈ
bhiksuni	akˈt̪sˈɔ̃ˈʁiː
bhujanga	budʒaŋgɯ
bhutva	bʁtˈvˈa
bhuuteshhu	ʁeɣˈteʃu
bhuvah	bɔða
bhāradvāja	taːrɑdvaːdʒa
bhūtabhāṣa	bʱuːt̪bʱɑːʃə
bidalasana	hˈidˈɑˈjæstənə
bija	migˈa
bimbisāra	ɓiːmbiːsaːɾ
bodhicitta	boːdiːkipˈtˈa
bodhisattva	bo˥˩ːdi˥˩sat˦wa˥˩
bodhisattvas	oːd̪ʱiːʃt̪ʃoː
bodhisattvo	boːnhisætːbɔː
brahma purana	bɾomɦ puːrɑːn
brahma sutra	bɾaːmːa sut̪ɾa
brahmabandhab upadhyaya	ma bãn bila
brahmacarya	rahmadʒario
brahmacharya	brawlmɐdʒaːnɛnɑjɑm
brahmacharyam	bramːɯdʒaːɾejɯmɯ
brahman	bamən
brahmana	ɓɾɑːmɾɐ
brahmanda purana	brmaːnənd pʊɾaːn
brahmanuchintanum	brɐmaːnuʈʈəm
brahmavaivarta purana	bʱɾəmɦ ʋɛːʋaːr ta kuɾaːɳ
brahmavihara	braxmavivaːra
brahmā	bɾahma
bramhacharya	bəɾahmaːʈʃariː
brhat	duiːhˈæt
br̥hadāraṇyaka upaniṣad	ɾih ɦadaːrn nʲəɟuː oːbniːzrɔː
buddha	bud̪
buddhanusmṛti	buddɑnusfɾɛdi
buddhi	autˈe
buddhānusmṛti	bud̪ːɑːnʊsmɾh
chaitanya	tʃɑjtɑŋe
chaitanya mahaprabhu	tʃɑːtˈnɑːɪjɑː mɑhɑ fʱrɑːp kʰeːn
chakra	tʃɐkːɐɾ
chandaḥśāstra	tʃɑndaʃastra
chandogya upanishad	tʃaːn daoq jɯpɯnɯʃad
chaturanga	tʃatʊɾaŋgɯ
chhatraratna	tʃatrɐrɐtnɐ
chitta	tʃɪtːa
cikitsa	tikːit˦tsʰa˥˥
citta	kit˦ta˥˩
cāṇakya	kaːnnəkkeːə
daanam	daːnəm
daanavah	daːnəʋ
daataaram	daːtaːruːm
daivam	d̪ʱw̪m
dakshineswar	dakʃiːneiʃoːr
dakṣiṇī	dakʃiːn
darshan	d̪əɾʂən
darshana	d̪ʱaɾaʂəɳ
darshanas	drʃnaˈs
daṇḍāsana	daːnˈɖaːsana
deha	d̪e
deva	tɛvɐ
devagaṇa	ɛːvɑːgɑːnɑː
devaki-parama-nandam	beːʋəɖipəɾəmanəndəm
dhaavana	da
dhananjaya	nʲɪnʲɪdʂaja
dhanavantari	təgumtariːt
dhanya	dˈɑmɭˌim
dhanyavaada	d̪ɐ̃tniːwaːt
dhara	bˈaɪrˈɑ
dharana	ɦɑɾnɑː
dharma	bɛrma
dharma sansthapanarthaya	bɪrmɪsa ʔustɑwɑn ɑlɯdɑjl
dharma-paryāya	dʒrmpərjaja
dharmadhatu	pʰaːrmadaːtsou
dharmaśāstra	d̪ʱaɾmʃɑːst̪r
dharti	dɾti
dhiyo-yonaḥ-pracodayāt	ðijjoːnəpəpɾtʃoːdajaːr
dhoomravarnam	ɖʱʊmrʋərɳəm
dhritarashtra	tɾɔtarastʃɛ
dhyana	djˈɑn
dhyāna	tiana
dhātu	d̪ʱaːtʊ
dhṛtarāṣṭra	trɪtaˈraʃtʃa
dilip	ɛliːb
dipankar	d̪ʱɪpɑːnkɪɾ
draṣṭri	dˈrˈasˈtˈɛɾ
draṣṭuḥ	tɾastɾum
drishti	drustˈe
drsti	brʊ̞ʃti
drsya	prokɛːrˈ
dukkha	dukˈa
durga	durga
durgaye	doːrgaːjʔe
durusha	dwˈrɯʒa
dvarapala	baːraːfaːl
dvesa	dvɛjʃa
dāna	daːnˈɑ
dānaiḥ	dane
dānam	taːnəm
dānau	dana
dānaḥ	dɑnɑ
dānaṃ	daːnum
dānena	daːnɛnɛ
dānān	daːnaːn
dānāḥ	daːnɑ
dīghanikāya	ðigɾigaj
dīpaṁkara	ɖiːpəŋkɐraː
ekadantam	ʔeːkədɐnːaɟːam
ekam	eːkəm
ekameva advitiyam	ɛkːɐmˈɛjˈvaː dʋitiːjɐm
ekādaśamukha	æˈkɑdʃamuːkħɑ
esha	iːʃa
gajaananam	qɑdʒaːnelɛɾɯ
gajavaktram	gɑdʒɑvɑtɯɾɑm
ganapatim	gəɳəpətːiːm
gandhāra	gənd̪ʱarʋː
ganesha	gəɳeːʃˈɑ
ganeshaya	gɾiːnʃɪ
ganga	gɯ̟ᵝᵝᵝ
ganga giri	gaŋga giɾi
garbhagriha	pəɾbʱaːrɦaː
garuda purana	gɾuɖɖ pɾaːɳa
garuḍa	gəɾuːɖa
garuḍāsana	gəɾubljɛɐtsɐnɐ
gaudapada	gɐˈugɐpˈɐlˈadˈa
gayatri	ɟaːjɛtri
girijaa	gjˈrɪdʒa
gita	gita
glanir bhavati bharata	glaːn̪iːɾbʱoʋt̪iː bʱɑːɾət̪oː
gokula	gˈoˈokulʒˈa
gomukhasana	wɔɑmuqɯsɯmɑ
gopala	gufaða
govinda	guːvɪndˈʌv
grantha	au̯rntʰɐk
guhya	gohjeˈr
guru	guɾu
gurudāsa	uɾudeasem
gurunama	koɔːnˈɛ
gyan mudra	djˈɑːn lˈudvˈˈa
halasana	ɦɑɫɑsɑnɯ̞
hanuman	anumla
hare rama	are rama
hari	hari
hatha	aːtit˦ɕnɛɾ˥
hetvartha	ẽt̪bɑrtɑ
himalaya	ɦɪ̞mɑːlɑjɑ
hip	hip
hiranyatvaca	ɦərŋitvaːtʃa
hrdayaṃ	pɯ̞rdɯ̞jɯ̞m
hriday	χɾdaja
hridaya	rɪdˈɛ
hrshikesha	ɾəʃiːqeʃ
hṛdayāñjali	xrdaːjaəɲjəliː
iccha	itʃa
idappaccayata	siːdaːpətʃtʃəjəvaː
iirayati	i̠ɾai̠ɾd̪i
iirte	ˈirɪpeɪ
indra	bindɾa
iravan	irɑːn
isha upanishad	iːʃ ɒpnˈiːtˈvˈ
ishvarapranidhana	aʃoːlpəpənˈniːdɑnːu
isvara	iːʃvɾa
isvarapranidhana	aʃuaːlapɾˈeːtʰaːla
itihasas	ɑtævɑzɑz
itihāasa	iːtiːhɑːs
jagjit	dʒɑgːadʒiːt̪
jalandhara	ɫɑnˈdɑɾɑn
janatha	ɣ̞ẽn̪et̪aɾ
japam	dʒəpˈʌm
jataka	dʒɑːt̪əˈkɑː
jaya	dʒoːjɯ
jhānas	dʒˈɑhˈəɹnˈɑnˈɑtsˈænskɹɪptˈbʌtpˈɑli
jivamukti	dʒiːfamukti
jivatma	dʒiuaːtmə
jnana	dnʲana
jval	dʑwæl
jvin	dvɪn
jyotir gamaya	kio̞tːe̞ɾɯgamɯ ja
jyotirlingam	ʈʂɪɔːt̪ɪɾlɪŋɣəm
jyotiṣa	dʒiːtəʃ
jyotsna	dʒuːtsɯnɒː
jñāna	ɲana
kaali	kaːli
kadachina	kdaːtɕiːn
kailash	kajlaːʃau̯
kaivalya	aiɣ̞sbeʝa
kalava	kɑːlɔkə
kalpe	kɑlpe
kalyaana	kæˈliːɑːn
kalyanamitra	kaljaːrnomitːraː
kama sutra	kaːma sʊtr
kaniṣka	kˈɑɭuʃkˈa
kansa-chanura-mardanam	kɔːsatʃaːɳuːrmrdnm
kapalabhati	kəpələbʱɑːt̪eː
kapil	kapɛl
karkataka	karkaːdaka
karma	kɑrmɑ
karmane	kəɾməɳiː
karmendriyas	kəɾmjnd̪ɾijət̪
kashmir	kaːʃmiːˈre
kashyapa	kɑːʃɑfɑː
kasyapa	kɑːʃɑˈtɑ
katha upanishad	kʰäːʈʰɦʊ pəɳɪʃäːd
kaundinya	kɔ̀ːnbinnjʊ̃
kausīdya	kʌsidʒə
kautilya	kˌoʊtiliːɭliə
kauṇapadanta	d̪eu̯napat̪ẽn̪t̪a
kauṭilya	fou̯˨
kaveri	kavɛri
kavyadarsha	kɑːʋiːəd̪əɾʃ
kayika	kɑːˈʔikˈ
keshava	kʲiːtʂava
keshub chunder sen	tʃar ʃtʃɛba tsantra sɛjɛnɑ
ketki	etʃa
keśa	kioː˧ʃäː
kharoṣṭhī	kʰɾoːʃtʰiː
kirtana	kirt̪eˈnˈnɾa
kirttimukha	kɪrdiməkʰaː
klishta	klist
koham	ko˥˥am˥˧
kośa	koːsʃa
krishna	kɾʃnɔ
krishna pingaaksham	kɾiʃnɑp ɛŋfɑ́kʃɪ
krishnam-vande-jagadhgurum	kɾʊʂnəmʋɐn̪d̪eːdʒg̊d̪guːɾʊkː
krishnaraja	kɾʃnˈrɑːdʒ
krishnashcakroorashca	kɾuʃnastau̯kruːrastɕa
kritá	kɾita
kriya-shakti	kriːjɑːʃɐt̪ʰtiː
krodha	kɾuːd̪ʱ
kruddhah krishnah	kudat krɨʃnavɑ
ksetra	kʃɛtra
kshatriya	xʃtriː
ksobham	ʃopəm
kulasekhara	kulaːtʃjɑikːʰɑrɑ
kumbhakasana	kumbˈakaːs̺ɐnɐ
kumbhāṇḍa	kumbʱɑ̃nɖʱa
kundalini	kɔ̃dˈʁiːn˧
kurma purana	kormo pro
kurvatreyanugraha	qurwaːt̪riːjɑːmt̪ɾum
kutukita	kɔtokita
kālidāsa	kaːliːnst
kāya	kaja
kūjin	kˈuɟin
kḷpti	kɾˈpti
kṛṣṇa	kɾɪʃnɛ
kṣaṇa	kʃana
kṣitigarbha	kʃɪtʲigärpʰäː
kṣānti	ʃante
kṣīra	ʃiːra
laavanya	naʋənlɪø
lakhan	mɑqʃənɑ
lakshmi	lækʃmi
lakshmikantam kamalanayanam	laqʃu ɪkɑːn tɪm kaməl nænim
lalitasana	lataːsæmme
lalitavistara	lalitabistara
lambodaram	n̪aːmboːd̪əɾum
langhana	lnddʒna
linga purana	nɪŋgə puːraːn
lingasarira	lɪŋgaʃɾiːɾɐ
lokajyeṣṭha	loːqaːdʒʰeːʃʈʰaː
lokavit	loːc˦˥t˥
madanamūrchā	mað̞anãmˈutʃa
madhava	maːdava
madhurya	mʌdʊɾiːəɭ
madhva acharya	madʱʊə ɑːtʃɑːrɪøʱ
madhyadeśī	məd̪ʱiːəɖeʃiː
madhyamaka	məɾd̪ʱäːmkɐ
madhyamapratipat	mad̪jəmaːprθipər
madhyamika	əɖəbiːnˈgəɑnˈd̪ebiː
magadha	mˈagˈaˈ
magadhi	mqd̪i
mahaamudraa	mahamudra
mahabharata	mʰɑːbɦarət
mahajan	ɒːhɒːdʒɒːn
mahakasyapa	mɑhɑːkɑʃ
mahalakshmyai	məɦlaːkʃmɪɑːi
mahamaya	mʰɑhɑːmaːjɑ
maharshhi	mɑhɾɑː
mahasattva	maːhaːfaːtˤwaː
mahatam	mɑhɑtəm
mahatattva	mʌɦɑːtːɐtvɑ
mahavir	bɑhɑːmiːn
mahipaala	mʰɪpɑːn
mahiṣāsura	maɦisaswra
mahyam	mˈˈahjɑm
mahākāla	mãːaːqɑːl
mahāprajāpatī gautamī	mʰaː prədʒäːpʰt̪iː gʊt̪mɪ
mahāpuruṣa	mɦaːpʊrʊʂ
maithuna	meθuna
manas	manas
manasika	maɾekanikani
mandala	tɔmˈtˈinˈʌtˈjɛstʃu˨˩˦tntn˩˥˩ʐən˧˥tɕʰu˨˩˦ʐan˧˥ʐən˧˥kɔ˨ʂu˨˩˦ʐan˧˥ʈʂu˨˩˦tnt˥˥oʊ˨˩˦ʐan˧˥�
mandarava	mərdaːrva
mangalam	mungəlɐm
mangalam bhagavan vishnu	mʰɑŋlɑm bʱaːɣ̞nɨ mɪʃnːeː
mangalam garudadhvajah	maːngalim gʌrʌɭɑt hodʒuŋ
mangalam pundarikaksho.	maŋgaɾam uɳɖəɾil kaːkːʃu
mangalayatano harih	məŋɣlɑː ja t̪inõː ɦɪn
manipura	manipura
mantra	manjtrɔs
maphaleshu	maːpʰəlʃu
marjaryasana	maːrdʒaːriːiːʔətn
markandeya purana	maːɾkəɳɖəjo puːraːn
marīcyāsana	mʲɪʲtʃjɑːsæn
marīcī	marikiː
matsya purana	mətʃːə puːraːn
maurya	mau̯ria
maurya , candragupta	tʃɐnˈdɾə bʊk
meera bai	kiraːda
meghavarnam shubhangam	n̪eː kʰɐʋaɾɳm ʃubhɑːəgəm
miccháditthi	mʲitʃaːdʲɛʈʰɑ
milinda-pañha	neˈlɛiːnˈtæfˈɑːnˈjɑːn
mimāṃsā	n˨˩im˧˥a˥˧sat˦
moksha	ok
mokša	mˈokʃa
mokṣa	okʃa
mouna	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
mrityor ma	mr̪it̪ːɔːmaː
mrityu	bratju
mrityunjay	pritjundʒe
mrutyu	bratju
mudra	mutra
muladhara	mulɑːdħar
muninam	muniːnɑm
māyā	maːjɑ
mūlamadhyamakakārikā	muːlamɛtsiamakkaːrjka
mūlasarvāstivādin	nalˈasˈɛbˈaskeˈva
mṛta	mˌiɹitsˈa
naasha	maːʃ
nachiketa	natʃiketa
naga	naːn
nagarjuna	naˈgˈardʒuˈnˈ
naitika	nəit̪ek
namastasye	numezt̪ekjẽɾ
namaste	nˈɑmɑstˌe
nameh	nɔ̃meɾ
nandivahana	nndiːʋɑːɦnə
nanyastrata	nˈɔnnjˈɛztɹˈata
naradiya purana	naːɾɑdijɑ qɾɑːn
narayana	nɑːrɑːjə
natarajasana	naʈːaːrɑːdʒɑːsɑːn
natya shastra	naːt̪jə ʃɑːst̪ɾə
naṭarāja	maːʈːaːrˈʔɑːb
nidhi	nˈedˈi
nikhita	nekeːtaː
nirdvandva	neɾɛdɑːndʋa
nirodha	nɛn
nirodhah	neroːzɑh
nirvana	ɳɪɾʋaːɳɖ
nirvighnam-kuru-mey-deva	nʲɪrʋiːnɪ̯wgʊrʊŋeːdeːʋə
nirvikalpa	nˈɾʋikːalpˈ
niryogakshema	senjoɾnabakɛdeɢim
nishanto	nitʃanto
nishta dharana	nʃtʰad ɦrɳaː
nityasattvastha	nitʃeztɔztov
nityeshwari	n̪t̪jɛːʃʋrʲiː
niyama	nima
nyagrodha	nɛjagrɔdɔ
nyaya sutra	nʲaːje sotr
nāgasena	naːgəseɪrɑm
nāgārjuna	nægˈɑrdʒun
ojas	odʒɒˈz
om bhadra murtyai namaha	pʰi˥˩fɑ˥˥ʈʂu˥˩lɤ˥˩ʈʂu˥˩li˥˩i˥˩ʐɚ˥˩  ʈʂu˥˩lɤ˥˩ʈʂu˥˩li˥˩ʐɚ˥˩
om mani padme	ʊ maːɳi pə d̪me
om namah shivay	ʔuʁim namɑh ʃiβǎjɯ
om namo bhagavate vasudevaya	oːm namːoːnagɐʈgjʃa gɑsakteː maːjɐgɑ
om namo narayanaya	oɫ na mõɾn aɾa jɔnɑjɔr
om sarva	oːm sɐrv
om sarva sampati rupinyei namaha	oːsrmsft̪ pə st̪uːruːpːe ʈaːnəm
om tryambakam yajāmahe sughandhim pushti	uːm tɾiəm ʋɛkəm jɑzəm he ʃugɳɖiːm pʊiːʂt̪iː
oṃ-bhūr-bhuvaḥ-svaḥ	ˈɔmbuːɾbʊsʋɑhɑ
padangushthasana	pɑdɑnguʃtʰaːsənə
padma purana	pəd̪mɑː puːrɑːn
padmanabham suresham	pəd̪mənɑːbʱɔmː sʊɾeːʃm
padmini	pɐɾəmɨnˈiɹ
pancha tattwa	paːnitʃtʃa taw t̪o
panchamahabhuta	pəntʃəmaɦaːbʰuːt
panchantantra	panʧtɑjnɖɾʌ
panchatantra	d̪epãn̪t̪ɣ̞sat̪ẽn̪t̪ɾe
panikkar	kənikːər
parabrahman	bɾɑːb̪bɾɑmən
paraga	aːrˈagɐ
paramahansa yogananda	bɐrmaɦaːnsa jogaːnɐnda
paramatma	baɾmaːt̪maː
paramatman	pəɾmaːt̪maːn
paramhansa yogananda	ɑrmə həm səjogaːnənda
paramita	pɾɐmit̪ɐ
parampara	latʃãnpeɾa
parikatha	pariːkətˈhɑ
parinama	pˌaɾiɳˈama
paritranaaya sadhoonam	qɾiːt̪ɾɑːɳɑːjː sɑːd̪ʱnaːm
parivrtta trikonasana	pəɾiːʋiːɾt̪jɾt̪ ɾiːkɔːɳ əːsɐ̃
parivṛtta	pɐɾibɾutaː
parsva	arʃɔ
parsvottanasana	vaɾʃutɑnɑzɑnɯ
patanjali	paːt̪nlɛː
patañjali	patanɪɟali
pañca śīlāni	pntʃtʃiːlaːni
pañcaśīlāni	pntɕʰtɕʰi˥˧laː˥˩n
phala	fəlɛfˈɑl
pingala	mʏ̞ŋɑlɑ
piśuna	isˈuna
prabhavananda	brabaɦlaːnanda
prabhavati	prapavadi
prabhupada	pɾəbʱupdɑː
pradakṣiṇa	pradakke̞na
pradama	pradama
pradhaana	pɾd̪ʱaːn
pradipika	kɾð̞it̪ika
prajna	brɛgjæ
prajna paramita	pə rəj jɑː pə raːmiːd̪ɑː
prajnya	pɾanʝa
prajñāpāramitā	napəɾamitaː
prakamya	lakˈamɲa
prakrti	prakɾti
pralaya	braɫaja
pramāṇa	ɾamɑːr
prana	loːn
pranamami	bvɾaːzɑmɑʔ
pranapratishta	brɑːnpæɾˈteʃtʰɒːm
prarthana	praːrthnaː
prasaada	ɛpɾasadɨ
prasanna	t̪æsiːnˈnoː
prasarita padottanasana	kəgsoː bɾiðo pəɾˈtˈtˈnastsana
praswas	prˈaʃvˈaːsɐ
pratyabhijnahrdayam	tʲɪbʲidʲnʲaːrɯdɐjam
pratyekabuddhayana	pəpəkaːnbt̪d̪ʱaːe̞nẽm
pratītyasamutpāda	pratjteasamutpaːda
prayâga	abraja
pra¯timoks	praːvɪmˈoːpʃa
preta	pɾetɐ
prithvi	χətiː
priyankar	prijontʃiɾi
pránáyáma	pːɾaːnˈhɑjəm
punarvasu atreya	bonaɾ vassʊv aːktɾɛja
pundareeka	pˈɛnːɪkˈa
pundit	paɳɖɪ̯t̪
purana	ɔːɾɑːn
purusa	kʊrʊʃa
purusha	puɾuʃa
purushottama	pɔɾusʁuttɔm
puruṣadamyasārathi	pʊɾuʃaːdmjasaːrat̪ʰiː
purva mimamsa	qoːrvəmiː maːn saːmiː
pāduka	pˈadukɐ
pādāṅguṣṭhāsana	paːdaːnguʃtʰaːsaːnɐ
pāramitāye	paːrmitaːje
pārśvakoṇāsana	pˈaɾʃvɐkˈowʃɐnˈɐ
pātañjalayogaśāstra	paːtəndʒljoːgʃɑːskɪrɪ̃
pāṇini	paɾini
rahula	ɾɑːɦuːlɑː
raimundo panikkar	rəiːmunːd̪oː pəɳːɛkːər
raja-parikatha-ratnamali	rɑːtʃɦpəɾiːt̪t̪ʰɑːɾəpnəmɑː
rajagaha	raːgəd̪ɦa
rajas	rdʒos
rakesh	aɾakejʃ
ramayana	ɾɑːmjɐɳː
ramyataa	ərøŋɲøtøŋ
ramzes	ramzes
rasayana	rasaːjənə
ratnamali	niːqətənˈɑːr
ratnasaṁbhava	pɾɑːt̪n�sambʱʋa
richa	letʃa
rig veda	rɛkvɛta
rigved	rgɫeːdəm
ripum	ʁipˈom
rishi	kəɾki
rsi	roʂi
rtusaṃhāra	rətʊsɑŋhaːra
rudra	rˈutɾʊ
rudraksha	rʊdraːkʃa
rudratmakay	rð̞raːt̪mɐkaja
rāgamālā	ragamala
rājatarangiṇī	ɾɑːdʒt̪ɾŋɖɪ
rāma	ɾˈama
saama	sama
sachchidananda	satʰiːdaːɾ
sad gamaya	satˈbgˈmaja
saddharnapuṇḍaríka	sd̪d̪ʱaːrmpnd̪d̪riːkaː
sadhaka	sˈadɨkʊɹ
sadhana	sɑːd̪ʱnɑː
sahashara	sɒhɒˈʃiɾˈɑ
sahasrara	saːhsrɑːr
sai baba	saːiː baːbaː
salavati	alalɛn
samadhi	smɑːbʱiː
samartha	samrtla
samastha	sɑmɑstɑ
samasthihi	sanɔstɛti
samasthiti	samʔast̪et̪i
samaveda	saːmaːbeːda
sambhavami yuge yuge	saːmdʒʈgɑːmɪn dʒɛgɛgɛ
samhita paatha	sŋgɪt̪äː paːʈʰ
sampradaya	sɐ̃npɾˌɐdɐjˈa
sampradāya	ruβ̞jalesalad̪imit̪iɾoseɾkessat̪
samraksati	saːwˈrakʃaˈtːi
samsara	səmsɑːr
samuda¯ya	tˈɛmdˈaʒˈ
samutpatati	namʊtʃkɐtːt̪iɭ
samutpāda	samutpaːd
samyaksambuddha	saːmjɛʃtʃɛaːmblʱubt̪e
san kalpa	sanɨːkajapːa
sananda	sɑnɯ̞ntɯ̞
sandhi	sɐnd̪ʰiː
sankhya	sankaː
sannyasi	t̪æˈnjɑːsiː
sansha	sənʃa
sanskrit	saŋskrta
sanskruti	samskɾð̞i
santosa	sãn̪t̪oːloːʒø
sarasvati	sarəswati
sarayu	taɾaɟo
sarva-darsana-samgraha	səˈrwdarsənsamˈgreəh
sarva-kaaryeshu-sarvadaa	naːrbqaaːliːʃuːsrdɑ
sarvajña	sarʋadnʲa
sarvalok	sɐɾʋəloːg
