'ar hyd y nos'	ˈaɪɚhˈidˈæŋəs
affrica	afɾika
affwys	afoi̯s
afiach	afjˈax
aflonyddu	ablonˈaˈði
afon	aafon
afon ogwen	afon odʒoann
afon ystwyth	aːvɔnɛst wˈɪθ
afonig	aːvɔnɛk
afonydd	awɔw̃nɛ
afradu	avraːti
afraid	aːbɾajd
afresymol	abɾɛsɐmɐʊ
afryl	aðumɣ̞el
afu	avˈi
agor	akoɾ
agored	agoɾɛd
agoriad	akoriat̪
agorodd	aɣorɔsaɣorɔs
agoryd	aɣoɾeð̞
agos	aɣ̞ost̪
agosáu	aɣoθai
agronomegydd	agrandaomegið
agwedd	agˈweθ
aiff	aif
ail	aɪl
ail gylchu	ʔɑjɔl gɪl xe
ailadrodd	aelˈatɾas
aileni	jlni
ailwen	aɪlwˈˈɛl
alarch	ɑɫɑrʁ
alaw	ɑlɑ
alawn	alˈɔn
alawon	alaːw˧om
alban	alβ̞an
alban elfed	ɒlbˈin ɒlved
albanaidd	ælbanajɯz
albaneg	aɫbɑnɛk
aldryd	alt̪ɾet̪
aled	aːlɛt
alergaidd	alˈɛɾˈgˈaɪd
alergedd	ælæɾkæz
alis	ales
allan	assam
allanfa	aʃanva
allanol	ast̪ẽn̪ol
allfydol	aʃˈvadˈɑl
allt fawr	as foɾ
allt-yr-esgair	ˈaxtrˈɛskˈɛɪr
alltud	astˈɛð
alltudio	aɣ̞t̪eɾjoɾ
alltudion	asˌteˈdiɔn
alltwalis	astˈualˈes
alltyblacca	aʃtəβlaka
alluog	astiiɔg
allwch	ahɬo̙o̙χ
allwedd	æʃven
allweddellol	asˈtˈaðˈeɾsol
allweddol	aʃwɛlvoʁ
almaeneg	almajnɛg
altro	altro
alun	alem
alun hoddinott	alˈɪn hˈˈɑddɪnˈoːt
alwen	alɛn
alwena	naβ̞ẽn̪a
alwminiwm	aluminjo
alwyn	alð̞ue
alys	ales
am	am
amaethon	laeʝst̪õn
amaethu	amaiθi
amaethyddiaeth	amajfɛvjaɪs
ambell	ãmbbeʃ
ambiwlans	ãmbð̞elãn̪s
amcangyfrif	amkangavrim
amcanu	ankani
amdanom ni	ɑ̃n tˈanom nˌi
amddifadu	amβ̞ð̞jβ̞að̞i
amddiffynna	amdefana
amddiffynnwr	alvifeneɾ
amddiffynnydd	ˈɛmðɪfɪnˈɛð
amgueddfa	amɣeːzva
amgyffred	amɣ̞afɾat̪
amgylchedd	amgalχet̪
amgylchu	amkɔsʲe
amhar	amhaːr
amharchu	ɑmɑhɑrχiː
amharu	amhaaːriː
amhendant	əmhɪndaŋt
amheuaeth	ɛːmhejæʃ
amhosib	ˈɑːmhˈosˈɛ
amhwyllo	ɑːmpʰʊj˧slɔː
aml	amɨ
amlawdd wledig	la a la xβ̞olat̪ik
amlen	amlɛn
amliwio	ˈeɪmlˈɪviə
amlodd	amplov
amlosgi	amlokski
amlwch	amnoeʁ
amlwg	amok
amlygu	əmˈləgi
amnewid	amneueð
amodi	amoːti
amr	amr
amrant	amrnt
amren mab bedwyr	amrẽn maap petʃaɾ
amryliw	abrɨlˈiu
amrywiaeth	ɛːmˈɾˈuːjətˈ
amrywio	ambɾibjˈo
amrywiol	ampɾˈilijov
amser	amsar
amser paned	amsar paned
amserlen	amkeɾlãn̪t̪
amseroedd	amsaroið
amserol	amsero
amseru	jˈmsˈeɾi
amsugno	laziɣ̞noɾ
amwythig	amoifjg
amyneddgar	ãmbeneθɣ̞aɾ
anabl	tombo
anadl	anɛ
anadlu	anˈaðli
anafiad	əˈnɑːʊdbiːət
anafu	anavj
analluogi	anaʃiokʰei
andedion	antˈetˈion
aneira	anajɾa
aneirin	lairen
anesmywtho	anɯ̞ʃmʊ̞θsɔ
aneurin bevan	la eɾe numeɾo beβ̞ãn̪t̪
anffodus	amfˈaʊtˈɛs
anffurfio	anfɪrˈvja
anfon	anvon
angel	amɛʊ
angen	aŋẽn
angharad	ãn̪harat
angharad rees	an haːr ˈɛtri ˈɪs
angharedig	ɑŋhɯ̞ræjðʲɪg
angheuoedd	əndheɪˈɔs
anghofio	anhovja
anghredu	aːngrɛte
anghwrtais	anghoɾtaes
anghydffurfiwr	ænhˈidfɪrvjɔr
anghydweld	ãn̪t̪xat̪wal
anghyfaddasu	laħigadassi
anghyfforddus	alɣaforðes
anghyson	ˈɛnhˈassaːn
anghysuro	aŋgasɨlɑ
anghytuno	aːnˈgətˌinˈa
anghywir	ãŋgʱweɾ
angylion	annəlɪõ
anhrefn	ˈænɾˈɛvən
anhrefnus	aːntɹəvnˈɛss
anhuddo	anfido
anhygoel	anɦɑkoːl
anhysbys	əmbhˈɚspˈeɪs
anialwch	anjalɨx
anian	anjan
anifail	aːnˈneːvˈaɪl
anifeiliaid	annevajljˈɛd
anifeiliaid anwes	la niβ̞eliai ãn oest̪
anifir	aniɛ
anir	aner
anlwcus	anlukas
annerch	qɑmɛrq
annhebyg	unhəˈbig
anniben	tʁint̪a
annibendod	anibendad
annibyniaeth	nˈəbˈɑ̃nˈjˈaɪv
annibynnol	aniβ̞ẽn̪au
annwfn	anuvn
annwn	anon
annwr	anːoɾ
annwyd	ɑnɔjd
annwyl	ãn̪wel
annwyn	anwenn
annymunol	anɛmino
anobeithio	anobajsja
anobeithiol	ãmboβ̞aisziol
anodd	anod
anodd ei ddal	a no d̪e d̪au̯
anrheg	antrɛk
anrhegion	anɣrɑqːʲim
anrhydeddu	ænkɪːdeːdiː
ansefydlogi	ansɛvɛtɫɔkki
ansoddair	aːnsɔvaiɾ
ansoddeiriau	anzɑdɛjriai
ansoddi	əmsɔlpeɪ
anthropolegydd	ãnfɾoːppːaːlˈɛkidi
antur	antsɛr
anufuddhau	ʔanifatʰai
anweddu	anueði
anweledig	ˈɑnwˈɛlˈeːtɪk
anwell	amnumeʃ
anwen	ænmvɛn
anwesu	ˈɛtʁwɛsˈi
anwybyddu	anwiːbeːðˈe
anwydau	ãn̪oːetːald̪
anwyl	ɑnwɑ
anwylaf	anuila
anwylo	anojˈðo
anwytho	ãnoisã
apelio	aapɛlio
apwyntiad	apojntɛˈad
apwyntio	pˈɔ̃itˈsˈa
ar	aɾ
ar agor	aɾaɣ̞oɾ
ar draws	aɾt̪ɾau̯s
ar fwrdd	aɾvɔrð
ar gau	argaj
ar hyd y nos	arhidnos
ar hyn o bryd	aɾhˈen oˈpɾeɾt
ar werth	jɑɾ eɾs
ar y llaw arall	ɑrɯz zænæm wɑɾaːʃ
ar y tu blaen	ara tib lan
ar ôl	aɾˈoɭ
ar-lein	ˈaɾlˌeɪn
arabeg	aɾaafɛg
aradr	aratːøː
araf	ara
arafu	aɾaβ̞j
araith	ɑɾɑˈif
arall	ɑrɑh
arallfydol	aɾɾaʃfað̞ol
aranrhod	araːnʒot
arbed	aɾbe
arbennig	aɾbenik
arbrofi	alpɾivi
archaeoleg	aɾɣeɛlek
archdderwydd	nxtðərwið
archebu	arχiː
archeolegydd	atχʲeːɑlɛaːkɪ̞z
archfachnad	au̯rraːxnaɾd
archfarchnad	arspasna
archfarchnadoedd	arxvarxnaadʒɒːið
archfedd	arxɾeθ
archwaeth	arxuaʝs
archwaethu	aɾxoi̯θe
archwiliad	arxwl̪iaːt
archwilio	arxwljɑ
ardal	aɾt̪au̯
ardaloedd	afˈtˈaɐlˈoɪθ
arddangos	aɾð̞aŋgoz
arddangosfa	ärðaːngɔsva
ardderchog	arðærhˈɔg
arddodi	aɾðaɔdijjɑ
arddodiad	arotːjat
arddullio	arðæslʲa
arddun	alðɪŋ
arddur	aɾð̞eɾ
arddwrn	aɾð̞oɾn
arddyrchafael	ɑrðɯ̞rχäwɑjɫ
ardwyad	atˈoiˈat
areithio	aɾajsja
arenig fawr	arɛnˈegraʋ
arestio	reszt̪jo
arf	arw
arfaethu	arβaisi
arfderydd	arð̞eɾɾð̞
arfer	alˈbˌeɾ
arferol	aɾβ̞eɾou
arfogi	arvore
arfon	arvɔn
arglwydd	ärgloːjð
arglwyddes	alkloiθes
arglwyddiaethu	arklojtihajsi
argoeli	aɾgɔjli
argon	aɾɣ̞on
argraff	argɾaf
argraffu	aɾgɾafi
argraffydd	arkafel
argyfwng	artgavɔŋ
argyhoeddi	ɑːgɑːhˈɔidʰe
argymell	ärgɐmæs
arholi	aɾˈolj
arholiad	auɾhõliat
arholiadau	ärɦoːljɑθtɑ
arhosa	afˈʃɑsˈa
arhoswch	ɑːlhɑsˈzˈɑx
arian	ariãn̪
arianell	aʁjˈanˈatˈɛs
ariannu	ariani
ariannwr	aɾianɔs
arianrhod	ariːantˈroːt
arianwen	ariannwæn
arianwyn	araianono
arllwys	aɾslɔis
arlunio	arlinio
arlunydd	aɾlĩŋɛð̞
arlywydd	arle
armenia	aɾmænjæ
arnynt	aɾninʲt
arofan	roβ̞an
arogl	alɣ̞o
arolygydd tocynnau	aɾoɾlak ke ɔtɔkɔn naj
aros	ros
arosfannau bws	a ros vˈanaj bˈos
arron davies	aron dɛviz
arsenig	arˈseni
arswyd	ǎɾsʊid
arsylwi	arseloi
arth	ˈaɾs
arth wen	aɾs wˈɛn
arthen	aʁsan
arthes	arθes
arthfael	arsvaɛɫ
arthgen	ärθˈgæn
arthur	aɾθeɾ
arthwr	alsˈor
artist	atsɛst
artur	artsɛ
aruthrol	aɾjfɾo
arwain	ˈaɾwˌaɪn
arweinydd	arwˈiŋˌɛð
arwel	aɾɣ̞wel
arwen	aɾɣ̞oẽn̪t̪
arwerthiant	arɣ̞oeɾθi̯an
arwr	aɾɾoɾ
arwydd	aroˈiz
arwyddbost	ˈɑɹwˈɪθðəbˈɔst
arwyneb	alɣobʝnnæt
arwyr	ɑrɯweɾ
asgre	askɾe
asgwrn	asˈkɔr
asiant	aʃa
astudio	astetio
asyn	asˈin
atebion eraill	atsɛbjoːn ariːç
atebol	atʃepol
atgof	atsgɒv
atgoffa	atgofˈa
atgoffiad	atqofiːt
atgoffâd	atkofaːt
atgofion	akɔfjɔw̃
atgyfodwch	ˈaːtgəvˈɔrdər
athletau	afleˈtaj
athrawes	at̪ɾaoest̪
athrawesau	atraːlvɛsaj
athrawon	afrɑvɔn
athro	atʃo
athroniaeth	astroŋja
athrwys	atˈθalˈɔiz
atlantic e.g. cefnfor iwerydd; bu tywysog madog croesi'r iwerydd.	ætlˈæntɪk kˈɛvən dˈɛɹi wɛɹiːθ biːtˈu wɔːsɔːu mˈædək klɔɪsiɫi wɛɹiθ
atmosfferig	atmosfɛrik
atoch	atsoç
atom	atːo
atomfa	atonva
aur	ãjgeɾ
aur pur	ajˈʁpiːr
aurddolen	ɑjrɯ̞ðɑɫæn
auron	pajron
awdur	aʊteɾ
awela	awella
awelon	aɣoellon
awen	awen
awena	aowɛnna
awenydd	abenas
awgrym	auɣ̞ɾeŋ
awgrymu	ɑwgrɑbɯ
awr	au̯r
awst	auːst
awstralia	awzt̪ɾlja
awstria	au̯s̺t̪ɾe
awtistiaeth	au̯t̪is̻t̪io̞ð̞
awyddus	ˈaʊwˈɚðˈɪs
awyr	awie
awyren	au̯eɾɾẽn
awyrennau	au̯ɛrẽnnaj
awyrgylch	au̯e̞r̥kelɣ̞
baban	bapan
baban bach	ɑːbən bax
babanod	babaːnɔd
bach	vaaˈ
bachgen	baχkɛn
bachgen dda	β̞jkɑnð̞a
bachu	baxˈhi
bachynlleth	baxɛnʃlæs
bacwn	akˈɔn
baddon	taːzon
bae	bˈaɪ
bae colwyn	baɪkjəlwˌɪn
baedd	dˈas
baeddan	paːjzæn
bag plastig	bˈæd plˈæstək
bagiau	baːmˈkæˈɑiː
bagiau llaw	bˌakiˌ ajː lˈaːw
baglau	bakla
bala	paˈla
balŵn	pa˨˩lul˩˦
balŵn aer poeth	bˌɑlˈun ˈaɪ pˈoʊəs
banc	pank
bancffosfelen	rankfosfɛlɛn
bancwr	ankauɾ
bandiau	tandjaj
bangor	banɣ̞oɾ
bangor is-coed	pŋgoɾiːʃ kʰɔɪt
bannog	fanok
bar	t̪e
bara	ˈvarə
bara brith	para apɾiθ
barcud	pˌaɾkˈet
barddoniaeth	paɾð̞oɲioes
barf	par
bargeinio	bargainio
bargoed	balˈgɔj
bariton	plaɾeson
bariwm	barjum
barn	paɾm
barnwr	baɾnuɾ
barod	parot
barrug	barek
barugog	bariɣok
bas	pasz
basged	bˈaskɛd
basgeg	bʊ̞skɛg
bat criced	bˈɑːts kɾˈɪkˈɛt
bathodyn	bˈafˈafˈin
batri	vatːrˈi
baw	pau̯
bawb	pau̯b
be' ddudest ti?	beˈde desˈte
beca	betʃa
bechgyn	bæχkɪ̞n
becso	lɛkso
becws	bˈɛkəl
bedd	be
bedd taliesin	beɾð̞ t̪alies̺in
beddau	pɛsˈaɛnpɛsˈaɛn
beddgelert	beːθgalet
bedin welsh	t̪e t̪e els
bedin welsh english	bˈɛtɪŋ welʒ ˈɪŋglɪʃ
bedrawc	tɾaftɾal
bedwas	tɛtwas
bedwellty	bedweɮti
bedwyr	tpetiɾ
beibl	β̞eib̞eɾ
beic	pˈɛk
beic tair olwyn	bei̯k tsʰai̯ɾːolːw̜in
beiciau	bɪ̞kkae
beicio	ãikio
beiciwr	ãikʲir
beiciwr tric	pekiˈʊɹ tɹˈɛk
beidr	bejdeɾ
beint	tɛnts
beirdd	pejɾð
beirniadu	peːrniatːe
belarws	peɾd̪eʝuθ
belffast	fˈɛlˈfˈæst
benderfynu	pendɛvɛnˈi
bendigedig	β̞ẽn̪d̪igeðik
bendigeidfran	pẽ̞nð̞ikʲaɪ̞tfɾɔn
bendith eu mamau	bɛndɨsaj mamaj
bendith y mamau	β̞ɾnd̪ɪθ amame
bendithia	lndˌsjˈˈɑ
bendithion	bˌɛndiθjˈon
benllech	bˈɛnfˈɛːr
benthyca	bensikãn
benthyg	β̞ent̪ɪg
benywaidd	beːnəwˈaɪd
berdys	peɾɾes
berdysyn	arðasˈel
berf	pɛrv
berfa	perva
berthnasol	pɛfnaso
berwi	ɾbi
berwyn	perβ̞ẽn̪
beswch	pˈɛstʃ
beth	bɛ
beth syn bod	beːs˦˥im˩˩˦pɔːt̚˨˩
beth ydy'ch enw chi?	be eːsə dʒ ɣeːn oː xiː
beth yw dy enw di?	kara iuːta ɛnɔdɪ
beth yw'r berthynas rhyngddynt? (what's their relationship?)	be fʲiw̜ːd pəɾ tʰanːas naːŋg diːnt
beth?	beːs
bethan	beθˈam
bethyngalw	kæːfsɪ̞mkæːllˈɑ
betsan	beːtse
betws y coed	ðat dˈos kˈaɪt
betws-y-coed	ðˈætwˈɑzəkˈaɪd
beudy	bejd̪i
big	pik
bil	pˈɪl
biliwn	bˌeʎjˈun
bin sbwriel	penˈsbˌoɾiˈal
biocemeg	bjɔɛlæmɛk
bioleg	beːlˈɛg
biolegydd	bʲeãmbkip
bisged	bʲisgæd
bisgedi	bisˈkadi
bismwth	bizmoz
blaen	blaɪm
blaenau ffestiniog	blaːj gˈɛlt dˈɛn
blaenau gwent	plˈjna ˈi gwˈˈɛnt
blaencwm	plnkom
blaendulais	blaɪndˈɪnlaɪf
blaenhafren	lãːn˧haːfran˧
blaenplwyf	plˈaɪnplˈʌiv
blaenrhondda	plenˈdfɾˈomðə
blaenwern	lẽn̪waɾn
blaenwydd	lajnʊˈis
blaenycwm	lˈaɪnəˈkɒld
blaidd	flaj
blaidd drwg	blaiz
blaneau	blaːjnaːj
blaneau ffestiniog	bɫɛj na fɛstʲinʲok
blaned	plˈanˈnˈɛt
blant	plˈɛ̃
blasau	plasaj
blasu	lasi
blawd	blau
blawd llif	blau̯t̪ hiv
ble	plɛ
ble mae	klima
ble mae'r llyfrgell?	pleimajr ʃˈɛvɚˈgəʃ
ble mae'r tai bach?	blɪmarˈtˈaː ʔɪbaax
ble rwyt ti'n byw?	plero tʃimpeu
ble?	le
bleddyn	pleɾsẽn̪
bledri	plˈɛtrɪ
bleidd-ddyn	blazeðiːn
bleiddfan	plejsvan
bleiddwn	lejðon
blerm	β̞ɫɑrɯmɯ
blew	plˈeu
blewyddyn	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
blewyn	plˈoɪwˌɪn
blinder	plintɛr
blinedig	lˈinəsfɛt
blino	plino
blismones	blismones
bloc o fflatiau	blˈɑk əv flˈˈɑkˈɛ
blodau	plɔta
blodau'r drain	flˈatˈ ta ɪrkɾˈaɪn
blodeuedd	plodajez
blodeuwedd	lost̪ees
blodeuyn	plot̪ain
blodfresych	bɔdɾasɪ̞�χ
blodfresychen	blɔtvrˈɛsɪxɛn
blodwedd	ɢælɑhduːbeːst
blodwen	plˈaːtwˈɛn
blodyn	plau̯ð̞im
blonegog	plonɛkɔk
blows	los
blwch	plˈux
blwch arian	plˈoːxˈarjan
blwch llwch	plˈux lˈʊx
blwch offer	brˈuːx ɑːn fˈɛr
blwydd	bɔːz
blwyddyn	pluːðən
blwyddyn newydd dda	loːj ðən nˈoː ˈɪzɑːr
bob	pˈɔb
bobl	aβ̞l
boced	lˈɑkɪd
boch	oɣ
bod	pɔːt
bod dynol	pot̪s ð̞ẽn̪aɾ
boda	boda
bodelwyddan	boð̞ala
bodlon	poklom
boenus	oiis
bogail	pokajam
bogel	ok
bolifia	bolivja
bolltau	patsʰai
bon	ton
bondigrybwyll	kontikɾapˈoːx
bonedd yr arwyr	pɔːnˈɛz ðeʔ ˈaʊɚ wˈɪɹ
bong	tɑŋ
bonheddwyr	tanhezujɾ
bor-eh dah	port eka
bore	ore
bore 'ma	pɔrɛmɛ
bore da	pˈorɛa
bore ddoe	pɔɾadɔ
boron	oron
borth	varθ
borthy gest	pˌoɾsiˈgˌɛst
bosnieg	po̞smiak
bost awyr	boːstaːnˈɑkeːr
botanegol	patsanɛkɔ
botymau	pəˈtsʰonmal
bow tei	boːtˈei
bradwen	pratʃuẽn
braf	prav
braf cwrdd â chi	bræv kʊrðaxɪ̞
brag	aɣ
bragdy	pɾankti
bragu	pɾaɣi
braich	braj
braint	brˈaɪnt
braith	pras
bran	braːn
branwen	ɾˈɑŋɚˈɛn
brasgamu	ɾɑskɑmi
brasil	bɾasˈɛl
bratislafa	bratɛslava
braw	bɾau̯
brawd	prau̯t
brawddeg	brawðɛk
brawddegau	raːzaˈskˈaj
brawdgarwch	brɑudɛkaɾo
brechdan	prˈaxtan
brechdanau	ræxtænlæ
brechfa	prˈexvˈa
brecon	breken
brecwast	fˈɛkˈost
breichiau	trai̯fjaj
breichled	rixat
brengwain	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
brenhines	branɣnæs
brenhinesau	branʲinasɛ
brenhiniaeth	brɛnheɲeif
brenhiniaeth gyfansoddiadol	bʁən hʲinja ɪ̞s kɪ̞wɪ̞ŋ sɔɾtɪ̞a dɔl
brenhinoedd	bɾeɣ̞inoɾz
brenhinol	pɾˈɛnhˈinˈoːl
brenin	rˈɛnɪn
brennych	brændæx
breswylwyr	bˈɾesˈsuːildweɾ
bresych	presex
bresychen	bɾɛsajn
breuddwyd	prˈɑizmˌit
breuddwyd rhonabwy	pre ið̞uin ʃɔnaapoi
breuddwydio	preferusia
breuddwydion	ɾaːzueʈion
briallen	briðæn
briciwr	pɾekjukt
brics tegan	priks tʃɛkːan
brifo	briva
brigyn	rʏ̞kːɪ̞
brioc	priːok
briodferch	briːjotˈβarˈɣ
briog	rioːk
brisen	plˈeɪssˈaɪn
brithyll	pɾeθes
bro	tɾo
broch	prɔx
brochfael	proxpajɫ
brodyr	pratːe
broga	broŋa
bron	ron
bron-yr-aur	kɾɔnraiɾ
bronllys	proksis
bronnau	bronai
bronwen	pɾonɣ̞uen
bronwyn	kiomweːn
bronwyn lloyd	kormel nõjt
brown	roan
brut y tywysogion	brytə taʋəs av kian
brwdfrydedd	proːdvrtæð
brwnt	pɾont̪s
brws dannedd	prɔstanɛf
brws gwallt	kroskwaft
brwsh	roʃ
brychan	brˈaxan
brycheiniog	brˈaxeɪnˌaɭ
brydferthwch	pro˥˩ːtve˥˩ːrɛslu˩˥ːx
bryn	pɾɪn
bryn calfaria	renkalβ̞aria
bryn celli ddu	brinˈkˈˈassi
bryn draenog	brin rai̯no̞k
bryn pistyll	prɪnpɛstɪ
bryn terfel	prin tseɾvel
brynaman	brɪ̞nˈumman
bryncethin	brɪ̞nkaθɪ̞n
bryncir	brãnkje̞r
bryncyn	prenkɛn
brynhaulwen	aːnaːlwaaːn
bryniau	rannˈaɪ
brynmawr	brynmaːur
brynmor	prenmɔ
brynn	prɛn
brysia	resist
brysio	pɾɨtʃo
brython	ɾɛson
brythonwen	pɾesolwan
bu farw	tiː˥ˌðaːrɔː˧
buanedd	bjˈanˈv
buarth	bjar
buchod	bɪxˈɑt
buddai	bʲiðæ
buddfan	bizbãn
buddug	biːg
buddugoliaeth	bitigulijalˈs
buddugwr	vizikoɾ
budr	tə
budur	pˈeteɾ
buellt	bˈiˈæz
bues i	bje ɛs i
bugail	pikael
bunt	dˈe
burum	ne
buwch	bɪ̞�
buwch goch gota	bɪwˈxkoː xkoːtˢa
bwbach	buːbux
bwced	bˌukːəd
bwcio	puːkˈɛ
bwcio stafell	buk kʰɑːstɑbæz
bwcl	bˌukˈaʊ
bwgan brain	buˈgæn bɾˈaɪn
bwi	pˈuɪ
bwlb golau	toɫub qɔɫɑj
bwlch	molɣ̞
bwlchgwyn	bʊl̪xkwɪn
bwlgareg	ulgaarek
bwlgaria	ulɣ̞aɾɾia
bwrdd	ʊɾˈtˈ
bwrdd smwddio	puɾsmuð̞io
bwria	buriɑ
bwriadu	boriati
bwrlwm	plum
bwrw	pɔru
bwrw cesair	bɾukɑsɑjɾ
bwrw glaw	pˌoɾoˌklˈaʊ
bws	bos
bws'	pus
bwthyn	poθeɾn
bwthyn rhosyn	huzˈlɛn roːˈsin
bwyd	oj
bwydlen	tʃiːzitlɛn
bwydo	pojta
bwyell	puʝjæʃ
bwystfil sbageti'n deg	bʏ̞st bɪ̞ɦ ð̞iːn d̪eːk
bwyta	buit̪sa
bwytai	bɔtˈɫˈ
bwythyn	poθeˈn
bwyty	pujti
byd	spˈid
bydd	biz
bydd e'n	peɾen
bydd hi'n	be
bydd popeth yn iawn	pis popes eniawn
byddaf i'n	pe d̪a β̞jnt̪
byddai	bɛðɛ
byddan nhw'n	bæˈdan tæˈɾ
byddan nhw'n cysgu dim ond pan fydd angen	ðɪ̞mhʊ̞ŋ kɪ̞rsgí dɪ̞mɔ̞n pɔm diɾ lanan
byddar	bazaː
bydded	pazˈɛt
byddi di'n	beð̞it̪im
byddin	ɾɒziːm
byddwch chi'n	pə doxaːn
byddwn ni'n	peð̞amið̞
bydol	tɐl
bydysawd	batˈɔlsaʊdbatˈɔlsaʊd
byfferau	d̪afeɾrai
bygwth	agˈos
bygythiad	fˈagˈafˈ
bynnag	bɑnɑk
byr	beɾɾã
byrddau	t̪eɾð̞ai
byrnau gwellt	prmdaɟʊ ajəxts
byrrach	bɾɑx
bys	bˈis
bysedd	tˈɪsˈav
bysiau	batʃe
byth	bess
bythgofiadwy	bɛskɔŋfiːaːtue
byw	pɛːu
bywch	pɪlˈɛ
bywchod	iːvxɑt
bywiog	ɛɔˈweˈɔːlˈfˈ
bywyd	bamˈɛt
bûm	bˈiːm
caban	kapan
cacen	kaken
