1	bɛrˈe
amallă-hĕrlĕ	ämɑɫdäjærɫɛ
amalăh	amaː
aman	man
amancăk	ɑmɑnʒɯk
amant	amant
amasăr	amazɑr
amavus	aːmaːvuz
amaşuri	amajuɾe
amaška	amaska
amerikkan	ʌmˈerikˈɑn
amettis	amitˈeˈs
amffipĭ	amθiːbi
ami	am
amma	ʔamma
ammonal	amonal
ammonĭ	amonʲe
amnisti	amnistsʲe
amnistĭ	amnʲisʲtsʲe
amorflă	amoɾfla
ampar	amβ̞aɾ
ampper	ãn̪t̪eɾ
amppir	pɪr
amppŭlă	ampl
ampăs-tĕmpĕs	ambeʃtɛnbis
amulet	amulʲet
amunizzĭ	amonʲitsæ
amutke	aːmɔtk
amöpă	amjoba
amăš	li
amăšaj	lamazaʝ
amăšlăh	ɑmɯ̞ʂɫɯ̞q
ana	anna
ana-şaran	anɑɣɑrɑn
analoj	anaɫoj
analăh	ɑnɑlɯ̞x
ananas	anˈanəs
anappĕst	anapɕ
anarhhĭ	anɑɾʃe
anarhhĭllĕ	anaɾʃjlla
anarhillĕ	ɒnɒɾgjlli
anas	ɑːnɑːf
anasla	anasla
anaslu	anɑsɫɔ
anat	ɑnɑːt
anatri	anatɹi
anattŏm	anatɯ̞m
ancah	anʝˈak
ancăk	ɑnˈdʒɯk
anemĭ	aɲeˈmjɛ
anexxĭ	annɛkse
anis	anis
ank'ăl	aŋgɛl
anka	anga
ankar	angar
ankarti	angardʲi
ankă-minkĕ	gʲɪmʲiŋgʲɛ
ankĕl	aŋgɛɫ
anla	ɑnˈla
anlan	anɫɑn
anlă	anla
anlăš	anɫɯz
anne	anja
anneksĭ	alləgsi
anomalĭ	anamˈɑlʌ
anonim	ananʲim
anpuşşi	abɔsi
anra	dˈra
anra-suhra	amrazumpra
anrat	ˈaɪnɹˌɑːt
anraš	anraːʃ
anrašu	anɾaʒul
ansat	anzat
ansatlantar	anɯzatɫändær
ansatlăh	anzɑtɫɯ̞
ansuh	sux
ansuhla	ansɔxɫam
ansăr	qɒnˈsɒɾ
ansărlattar	ɑmzɯ̞rɫätːär
ansărlăh	anzɯrlɯ̞x
ansărăš	ænzæɾɯ̞ʂ
ant	ant
antar	pãn̪d̪aɾ
antra	anˈdɾa
antti	antɨ
antton'ăm	antˈonim
anttonĭm	antˈonim
antăh	ɑˈndɯx
antărlăh	ɑndɯ̞rɫɯ̞q
antăs	ɑŋdɯz
anăra	ɑnɯ̞rä
anăraš	anɯ̞ɾaʂ
anărašu	anrazum
anăş	anæs
anăš	naʃ
anăš-tănăš	aːnɯʃtɯnɯʃ
anšarli	anzet̪li
anšlak	aslak
apaj	aːbai
apapap	ababap
apaslan	abafwan
apat	aˈbwˈak
apat-şimĕş	abatʃimɨs
apatlan	abatla
apatlantar	abatlaŋdaɾ
apav	abau
apchu	abtʃu
apla-kapla	aplakapla
aplam	aplam
aplikkazzĭ	oplɭikˈɑtsʌ
appa	apa
appaj	əpaj
appalancăk	ɑpɑlɑnʒɯk
appalantar	apalamdaɾ
appallă-jămăklă	apɑɫˈɑjɑmɑkɭˈɑ
apparat	aparaːt
appelssin	apiɫseŋ
appentĭks	apˌɛnzˈiks
appentĭx	atpɛnziks
appett'yt	apitˈe
appettit	apʲitʲit
apport	apɔrt
appostol	apɔstɔ
appostăl	apɔstɔl
appostŏl	pɔstɔ
appăn-tĕppĕn	aːpənˈdzepin
aptekkă	aptˈjakˈka
aptra	aptraː
aptratmăš	θɾatmis
aptrav	aprɑːv
aptravlă	aptravɫa
aptăra	aptɯraːm
aptărat	trat
aptăratmăš	tɾatmɯz
aptăravlă	aptravɫa
aptări	aptɑdi
apărša	aβ̞ɾs
apăs	abas
apšur	apʃuɾ
ara	ɑɾaː
arahhĭs	ɑɾaːxˈis
aran	ɾɑm
aranşă	ɒrɒndʒɒ
arap	ɑɾɑp
ararah	aɾaɾaχ
araslan	slam
aravasăr	aɾaoazɯɾ
arca	aɾˈdʒa
arenă	aɾiama
arestle	ˈɛtlɛr
arffă	arfa
arhar	aɾɣaɾ
arhasăr	arɣaħazɯ̞r
arhheolokĭ	arxʲɑlʊ̞g
arhhittektăr	ɑrχɪtɛktur
arhhittektŏr	prɐçitsʲɐktʊr
arhhiv	arxiv
arhhivşă	arxivʒa
ari	aɾɪ
arkan	argan
arkancăk	ɐrgaːnʲtʃɪ̞k
arkanu	arˈgaŋɯm
arkat	aɾgat
arkattar	ɑrgɑtːar
arkatu	aɾgadu
arkatullă	argaduɫa
arkaš	algˈaʒ
arkkan	arkam
arkkanla	ɑɫkɑnɫɑ
arkuş	aɾgˈuʃ
arkă	rgɐ
arkăllă	aɾgɐla
arla	parla
arlan	ɑrɫɑm
arlaşşi	aɾɾasi
arlă-arămlă	ɑrɯ̞ɫɯ̞ɑrɯ̞mɯ̞ɫɯ̞
arlă-jyšlă	ɑrɑjɯslɑm
arlăh	ɑrɫʊ̞w
arm'an	t̪ɐmjan
armak-carmak	rmɑktʃarmak
arman	armaːn
armattură	armatˈuɾa
armuti	armɔdɛj
armĭ	aɾmi
arpa-tĕrpe	esbaãmbɣ̞eɾβ̞iaɾ
arpalăh	rbaɫˈɑx
arpaš	bɑs
arpašu	aɾbazoo
arpašăncăk	ɑrbäʂɯ̞ntʃɯ̞k
arpus	ʔɑrbuːs
arssenal	arʂɛnɑl
arsăr	aɾzɯ
arsăr-jyšsăr	aɾzəɾijeːʃtʃɯɾ
arsărlăh	ɑrˈzɯɫɯ̞k
arta	aɾða
artak	ɦartɑk
arttel’	aɾˈtɛl
artterĭ	artˈɛria
arttikkul	aptsiːkɔl
arttilerĭ	arˈtɪleˈri
arttis	tʃiːz
arttăntan	tɛndaːn
aryk	ʌrriːd
arăm	ɑːrm
arămlă	la
arămlăh	ɐrɐmlɪ̞x
arăslan	araslam
arăš-pirĕš	aɾuzpiɾes
arĭ	aɾɨ
arşuri	aʃˈɯɾi
arşyn	ɑrʒiːm
aršăn	ɑrɯzɯn
asailü	asɛla
asam	azam
asamat	azamat
asamlă	zɑmɫɑ
asamlăh	azamlax
asamăş	asaːmɨʃ
asamşă	azamʐɨ
asan	azam
asanne	azanɲːe
asanşă	azanʒɛ
asap	azap
asapla	azapˈla
asaplantaru	azapɑndaˈro
asaplă	azapɫɨ
asaplăh	azaplɯx
asar-piser	azɑrbizjar
asat	azat
asatte	asˈatk
asav	azav
asfalt	asfaɫʲt
asfaltlă	asfɑːɫtla
asfal’t	asfɑlt
asfal’tlă	asvaɫta
askăn	æskɐm
askăn-tĕskĕn	paztɛmɛtadʒɛɾsɛke
askăncăk	aːskintʃɯc
askăncăklă	ɑˈskintʃɯkˈlɯ
askănlăh	ɑskɯnɫɯ̞q
aslamăšĕ	äslɑmɯ̞ðːʊ̞
aslan	ɑslɑm
aslat	asɫat
aslati	azɫadɨ
aslatille	asadilʲa
aslatillĕ	aːsɫatˈilɭˈe
aslaşu	aslɛʒu
aslaššĕ	asɫɑʃːɑ
aslă	asla
aslăk	azɫɯ̞k
aslăla	aslava
aslălan	ɑslɯɫɑm
aslălat	asɫɑɫɑt
aslăš	asɫɯ̞ʂ
aspirant	aspeɾant
aspirin	aːspiːrjɛm
asra-tĕsre	asradisre
asran-tĕsren	astradɛsren
assa-hĕsse	aːslɑgɯzse
assa-tĕsse	asˈsadˈisˈe
assem	ɑˈs˦em
assi	ase
astar	aːstɑr
astarmăš	aːstɑrmɯz
astaru	astaro
astarullă	astarola
asterojt	astɛrojts
astiv	asti
astivter	astiudzjɛr
astmă	ɑstmɑ
astmăllă	aztmɑɫdɑ
astronavt	astrɑnaft
astronom	astranom
astronomĭ	astronomʲa
astră	aːstra
astul	astɔɫ
asăh	ɑːzɯp
asăhtar	ɑzˈʊxtaːr
asămlă	azɯmla
asăn	azim
asănmalăh	azɯ̞nmäɫɯ̞θ
asănu	azɨnˈow
asărha	aszˈɐɣaɾ
asărhamasla	azɯrʁaːmasɫa
asărhan	azɾɣan
asărhanu	asrɣanul
asărhanullă	azrɣanuɫa
asărhanullăn	azɯ̞ʁänoɫɯ̞n
asărhanulăh	ɑzɯ̞rɢɑnuɫɯ̞q
asărhanusăr	azərɣanozar
asărhanusărlăh	ɑzɪ̞rʁɑnʊ̞zɯ̞rɫɯ̞χ
asărhattar	bɪ̞rˈʁætdɑr
asărhattaru	aːtsrxaːtːarop
asărhattarullă	ɑsɯ̞rʁɑttɑrɯ̞uɫːɯ̞
asărhattarullăn	ɑðɯ̞rχɑtːɑroɫɯ̞ŋ
asărhavlă	asarɣaavla
ataha	aðaχa
atalan	dalˈan
atalanu	adavɑnum
atalăh	adaːləx
ataman	ataman
ataslan	adɑslɑn
ataš	adaʃ
atašlă	ataʃɫo
atašu	adaʒu
atašullă	ataʒuɫva
atlant	atˈlant
atlas	ɑtlɑs
atlăs	aplɯz
atma	atma
atna	atna
atomlă	atɯˈmɯ
atrĕs	adrɯs
attakkă	atˈak
attan	atam
attata	atada
attašše	ataʃɛ
atte	atʃʲe
atte-anne	atsʲaɲːa
atteisăm	atɛʲizm
attejysăm	atɨjizm
attelje	atɛlʲje
attestat	atistˈɑt
attu	ato
attăk	atɯ̞k
attŏm	atəm
att’u	ai
atvit	atvit
atykej	aðɨgˈeɪ
ată	adɐ
ată-pušmak	nɒrdɒpuɵʃlɒ
atăl	adu
atăşă	aːdɑʒɯm
atăš	adəs
at’semĕr	atsɪvɛr
at’ăr	aːtɪr
aul	aˈu
aut	aʊt
aval	abol̟
avalhi	əʊˈaʊxhˈi
avallăh	avaːnlok
avaltanpa	abɑldɑmbaːr
avan	ɑːmɑːl
avanlantar	avanɫandar
avanlat	avɑnlɑɾt
avanlăh	aːrwɑhəmloːx
avanmarlan	avonmaɾlan
avari	avˈaɾˈɨ
avarĭ	avˈaɾɨ
avarĭlĕh	avarjlɛx
avarĭsĕr	alaːɾisˈe
aviazzĭ	awiɛtsɨ
aviaşul	aviaxo
avkala	afqɑla
avkalancăklan	jɑlɑnʒɯclan
avkăc	aftɣətʃ
avkăş	avgʊʃ
avlan	havlɑn
avmaka	amatoro
avra	avra
avra-şavra	avraːʒavraː
avran	avran
avraš	aβ̞ɾaz
avrăş	abɾʃ
avstri	afstrɪ
avstrĭ	astri
avsăm	aɣizim
avtan	afdɑm
avtanccen	aːldaːntʃeɾ
avtar	ɑɣdɑɾ
avtarki	art̪aɾɣ̞i
avtobus	aˈftoˈbʊs
avtohuşalăh	aftɐɣuzˈɑdəx
avtor	ɑˈftər
avtotarasa	aftadaraza
avtoşul	aftaʒul
avtă	tæftɕiafte
avăk	aːvok
avăklan	alaklãm
avăn	avn
avăncăk	avɛnʧɨ
avăr	aːvɛr
avărlan	avaɾla
avărlattar	ɑʁɯ̞rɫätːär
avărlă	aːveɾlɯ
avărt	aavɑrt
avărttar	aːvɯrtar
avăs	avas
avăstar	avɐstaɾ
avăsăm	aɣvizim
avăt	avut
avĭălinĭ	adiaˈjni
avĭăşul	avjɐʒuɫ
avĭăşyhănu	afʲazʲiɣnˈu
aşa	aʒɑ
aşa-ama	azama
aşa-şişĕm	æʒæsiʒiːm
aşa-şişĕmlĕ	æʒæsʲidʒɪmlɛm
aşallă	axˈal
aşallă-amallă	aːtʃaːllaamɑllɑm
aşam	laxam
aşasăr-amasăr	əʒazrəˈmɑːzr
aşlăk	ɑːʃˈɫɯk
aştaha	aʃtaka
aşu	aʒˈo
aşu-annü	aʒˈoan
ašak	aʐak
ašakla	aʒakla
aškăn	ɑʂqɯ̞n
aškăncăk	æʃkɛnʒɪ̞k
aškăntar	ɑʂqɯ̞ndɑr
aškănu	aʃkɐnɔ
aškăr	aʃkɾ
ašlan	aʃlam
ašlantar	aʂɫändäɾ
ašă	aʒɛ
ašăk	aʐɯ̞k
ašăklattar	aʒɨkɫatar
ašăm	aʒɨm
ašămla	aʒɔmula
aššĕ	aʃːɯ
aššĕ-amăšlĕ	aʂamɯzlɯ
aššĕ-amăšĕ	aːsaːmɯzɯ
aššĕ-amăšĕsĕr	aʃaːmɯzɯr
ciper	tʃibir
ciperkke	tʃibɛɾkæ
căvash	tɕevas
căvaš	kɛŋvãʂ
căvašlat	ʃɛvaʃlat
husan	xuzɑn
japala	jɑbɑla
kükeş	køgæʃ
murkash	mˌuɾˈgaz
măk	mok
popl'a	poplɑ
puple	puplʲe
shupashkar	ʂuβaʃkɑr
vaj	vaj
vajkalan	wajɣaɫan
vajkalantar	vˈaɪgˈalˈanˈdˈa
vajkăn	wˈaɪgɯn
vajkăntar	vˈaɪgundaɾ
vajkăš	lajguz
vajput	bajbud
vajăkla	vˈaɪəkɭˈɑs
vajăklan	wɑjɯklɑn
vajăn-šajăn	vaʲenʐaʲen
vak-tĕvek	avˈaktəvˈɛk
vak-tĕveklen	vatʃɪbʲeklʲen
vak-šak	laɣ̞sak
vaka	vaga
vakkanssĭ	vakantsɨ
vakkat	vakat
vakkăn	vakɯ̞n
vakkăn-tĕvekkĕn	vˈɒqindʒivejkeˈn
vakkŭm	vakum
vakla	vˈakla
vaklan	laklat
vaklancăk	vˈɑkɫɑnˈdʒɯk
vaklancăklăh	vˈɑkɫɑnˈntʃˈɯkɫˈɑ
vaklattar	vaklataɾ
vaklaš	aklas
vaksal	ɾakˈsaɫ
vaksă	vˈaktsɑ
vakun	agɔn
vakzinazzĭ	vaktsɨnatsa
vakzină	vaktsɛna
vakzinăla	vatsɯnɯla
vakă	vˈagɐ
vakă-vĕtĕ	vˈɑgavˈedzʌ
val'	vˈɑl
valak	β̞alak
valaška	laːʃka
valek	vˈɑlɛk
valem	valʲem
valemle	valʲemlʲa
valerjana	voʎerʲan
valet	vˈɑlɛt
valeş	baleʃ
valeşter	β̞alʲest̪er
valeşü	balʲeʒɨ
valeşĕn	ɔ̂ɫeʒin
vali-šali	vaʲiʐaɫʲij
valinkke	vˈɑlinˈkˈɑ
valli	valʲi
valt	bat̪
valtărt	vˈaɫdɚ
valĕ	vˈaʎɐ
valĕn-šalĕn	valʲena
val’kăš	w̜aɫgɐs
val’t	vˈalt
van	vˈan
vancăk	vanʒɒk
vancăkla	vanʒɯkɫa
vanil	vanˈiɭ
vanilin	banʲiɫjn
vanillĕ	vaniʲlʲa
vannă	vˈan
vannăj	vannaj
vantal	vˈandˈɑɫ
vantă	vˈaŋdə
var	var
vara	vara
varak	vɑrak
varakla	vˈˈaɾaklˈa
varala	wˈɑrɑlˈa
varalancăk	β̞aɾaɫanʒɯk
varalattar	bʊ̞rɑɫɑtˈtɑr
vararahpa	araɾahpa
vară	varm
varăn	ɫɑrɯ̞n
varăntar	β̞ɑrɯ̞nd̪är
varăš	varɨs
varăšlan	βareʁʁɫan
văhăt	væɢɯ̞p
văhăt-văhăt	vaɣɑdvaɣɑd
văhătăn-văhătăn	ʁɑgɯ̞rðɯ̞nʁɑgɯ̞rðɯ̞n
vărmansărlăh	wɛrmanzərlɑx
vărmanti	ormandɪ
vărmanşă	ʋeɾmanʒe
vărt	v̩ːrt
vărt-vart	vɔrtvaɾt
vărtah	vrdax
vărtlat	vrtlat
vărtti-vartti	vartɛvartɛ
vărttin	β̞eɾt̪en
vărttăn	wɜːtən
vărttăn-karttăn	wrtɯ̞ŋʊ̞rɯ̞tʊ̞n
vărttănlat	wɯ̞rtɯ̞nɫät
vărttănlăh	ʁʊ̞rtʊ̞nɫɯ̞q
vărştar	wrʂtar
vărşu-harkašu	bəɾxwaɾgɑzw
vărşă	vɐrʃɐ
vărşă-haršă	vɛrʒjɛɣaɾʒe
vărşă-tĕrkĕš	bɐrɪ̞ʃɪ̞tsʲɪrkɪ̞r
vărşăccen	ʋɒtdɪdjˈɛttʃˈeɪnd
vărşăccenhi	voɾdʒaatʃeɾigi
vărşălla	bɾaʒula
vărşăllă	værʒælːɑ
vărşăš	β̞eɾɣ̞es
văršăl	vrˈʒɑl
văsi	vaziː
văsilet	vʌʑiɭˈet
văslattar	zɫætɑɾ
văslatu	nuzˈlˈaduɫ
văta	vada
vătalăh	vadaɫʌx
vătam	vadam
vătamla	udɑmɫɑ
vătamlan	ɫɯ̞tɑmɫæn
vătammăn	damˈn
vătamran	vudamran
vătan	ɔdan
vătancăk	ʋtntsʲɪk
vătancăklăn	aːtisʁkɫɑn
vătantar	ʊ̞dɑndɑr
vătanu	vˈodˈɑnˈo
vătanulăh	vɨdonuɫɯx
vătanăş	vɤdɐnˈɑtʃ
vătaşĕr	ubdɑʒr
vătăr	vˈadr
vătăr-vatăr	ʊdrʋadr
vătărmĕš	βɯ̞ðɯ̞rmʊ̞s
§	pɑɾgɾˈɑf
çăкăр	sʲɛgɯ̞r
çăкăр-тăвар хире-хирĕç.	ɕokɔrtʊˈɫɪr ɦʲirʲiʲiːlʲiʃ
çăл	ʃo˩˥ː
çăлтăр	ʃɯ̞ɫdɯ̞r
çăмат	ʃumˈbɑt
çĕвĕçĕ	ʃɪvɪʒi
çĕкле	tʃuqlɛ
çĕкленчĕк	sʏ̞kɫeːnˈdʏ̞k
çĕкленӳ	ʃtʃɛklʲiɲːo
çĕлĕк	ʃiːlik
çĕле	ʃiːljɛ
çĕлен лаши	fisɫin vaʐɨ
çĕлен-хура	ʃelɑŋβ̞uɾaɾ
çĕленле	ʃelɛnˈli
çĕлет	ʃaːleːt
çĕмĕр	ʃømr
çĕмĕрĕлӳ	ʃɛwɛɾɛlɛ
çĕмĕрт	ʃmʏ̞rt
çĕмĕртлĕх	ʃʲɪmʲɪrtlʲɪç
çĕмĕрттер	ʃømɯrkær
çĕмĕрӳ	ʃemeˈɾˈy
çĕмрĕк	ʃɛmrɛk
çĕмрен	ʃɛmbɾiːn
çĕмренçĕ	ʃɛmmʲrʲnʲtɕʲi
çĕмренĕн	smɾiːn
çĕн	ʃtʃɛnʲ
çĕнĕ	ʃenʲːo
çĕнĕ çул	ˈʌnˈɛsˈʌnˈ
çĕнĕлĕх	ʃtʃɛnʲɪɫe
çĕнĕлен	si˥˩lɛn˥˩
çĕнĕлет	ʃiːnɯjɯ
çĕнĕлле	ʃiːmɪlɪ
çĕнĕрен	ʃuˈnˈerˈejm
çĕнел	ʃiˈnˈl
çĕнет	ʃaimɛ
çĕнеттер	tʃotʃe
çĕнетӳ	ʃˈamˈɛtʁ
çĕнетӳçĕ	ʃiːnɪdjyːʃiːn
çĕнни	ʃaʁmˈelə
çĕнтер	ʃimdir
çĕнтерӳ	tʃiŋgɛɾɯ
çĕнтерӳçĕ	ʃimdʒeɾiynsym
çĕнтерӳллĕ	ʃindiɾiyliːle
çĕнтерӳллĕн	seŋgˈeˈylyl
çĕпре	ʃɪbrɛt
çĕпре чулĕ	ʃˈɛpʁɛ dʒˈaʁlɛ
çĕпреле	ʃikɾeɣi
çĕпрелентер	ʃɛbrɛjlʲɪndzʲɛr
çĕпрелет	ʃɪpɾˈili
çĕр кашкăрĕ	kʃɪ̞r kʃkɯ̞rɯ̞
çĕр мулкачĕ	ʃɪ̞rmʊ̞w gɑdʒɯ̞
çĕр тĕкĕлтури	sˈœʁ tˈœʁ dˈiʁ
çĕрĕк	ˈʃeɾek
çĕрулми	ʃɛrˈʊlni
çав	ʃau
çав-çавах	ʃabʃaba
çавă	ʃaːvɔ
çавă-ку	ʃavɐkˈu
çавăн	ʃaɾn
çавăнпа	ʃɑːgʊnbaːɾ
çавăнта	ʃabunˈda
çавăнталла	ʃɑbɯndɑlɯɫɑɾ
çавăнталли	saβ̞ɯ̞ndɑɫdɯ̞
çавăнтан	ʃabɔndaːn
çавăнтанпа	ʃɑbɯ̞ntɑnbɑɢɯ̞
çавăнтарахра	tʃaβ̞ɣ̞ɾɟʝd̪aɾaɣ̞ɾað̞
çавăнтарахран	tʃaβ̞anð̞aɾakfɾãm
çавăнти	ʃɐbʊ̃dʲiː
çавăнччен	ʃaːlˈmˈˈɑmtʃaɪnˈ
çавăншăн	ʃɑbɯnʒuŋ
çавăр	tʃaːβɔr
çавăрăн	ʃamuɾum
çавăрăнăç	ʃafɾamɨʃ
çавăрăнăçсăр	ʃɑwɯrɔnɯʃtɔɾˈum
çавăрашка	tʃaboɾaʃka
çавăрлан	tʃɑbrɔvɑm
çавăрна	ʃɒvɒɾnɒ
çавăрни	ʃabɾniː
çавăрттар	ʃabɔrt̪tar
çавăт	ʃɑvɔt
çавăтăн	ʃɑbudum
çавăттар	tʃaɾãt̪aɾð̞
çава	ʃaba
çава хуçăкĕ	ʃɑː wɑ ɣuːtʃiː diːlɑː
çавах	ʃabɑs
çавнашкал	ʃabnaʃkɑl
çаврăм	ʃaːvrom
çаврăн	ʃavrɔm
çаврăнăç	ʃaːbɾˈɔmɪʃ
çаврăнăçлă	ʃabrɔlɨʃɫot
çаврăнăçсăр	ʃabrɯmɯ̞ʃtɯ̞r
çаврăнăçу	ʃabɾɑmɑʃu
çаврăнăçулăх	ʃɑwɾɯnɯiʃiwɫɯ̞r
çаврăнăçуллă	ʃabrɯnɯʃiuɫli
çаврăнăçусăр	ʃɛwːrnɯʃuːzɯɾ
çаврăнăçусăрлăх	ʃæwɾɯ̞nɯ̞χjʊ̞wʲɪrɫɯ̞χ
çаврăнăçусăрлан	ʃavrɯnɯʃuʒrɯɬɯn
çаврăнăçусăрлат	xaβ̞ɾanaxut̪eɾlat̪
çаврăнăш	ʃɑbɾɔmuʃ
çаврăнаслăх	ʃavrɯ̞mɑslʊ̞χ
çаврăнкалăш	ʃabrɛnkaːʋɯz
çаврăнтар	ʃabrɯmdaːr
çаврăну	ʃavɾʊnu
çаврăнулăх	ʃaðrnuloq
