1	e
出门	tɕʰũŋu˨˩˦
凿	tʰak
刀	tɔː
刀笔	to˨˩peɪ
分	tũŋ˥˥
分【古音】	hoŋ˥˥
分【尔雅·釋器：律为分】	xum
分店	hũŋ˨˩˦ tən˥˩
分手	hoŋ˥˧siʊ˥˧
分析	kʰʊŋ˨˩fɪ˧
分身	ˈoʊn θˈɪŋ
分身【分家】	pˈɔ̃ θɹiˈɛ
分類	hũŋ˨˩˦lɤ˨˩˦
刘叉	lâːʊ˨˩tsʰa˥˥
刘禹锡	lǎʊ˨˩yː˩˦ fɯ˧
刘采春	lau˨˦tsʰai˥˥tsʰun˥˥
则	dˈo
別	pi
利毒	lˈeɪtˌo
刷	fok
刷鞋	sɔe
剃孔毛	tʰiːk kʰomo
前世	sen si
前天	sɑːliː
前年	sən˨˩nian˧˧
前轮	fennon
剑	a
剪	kau˥˥
剪刀	kau̯ro
剪頭	tsentʰau˨˦
副	u˨˩˦
劃	wɔː
劇	tjˈu
劈面	pɪŋ˥˥mɪŋ˧˥
力	le
力【古音】	liː
劝告	kʰʊŋ˨˩ kʰo˥˥
办	pe̞jˈn pe̞jˈn
助	saː
劫	tʃi
劳形苦心	lɔːh kʰuː θĩŋ
勾	au
勿	lɛʁ
包	pau
北	fˈɛ
北京	tɤkˌin˥˩
北京 北京	pˈeɪkɪŋ pˈeɪkɪŋ
北京市	pok˨kian˥˥tsʰi˥˧
匡	fou˥
匣	hə
医院	eje
區	t̪e
十	hɛ
十三手	kʰefan sˈu
十分闹热	fˈek˨˩hoŋ˨˩naʊi˥˧
卂	θɛn
千	tsʰæːn
千灾电扫	tsʰian˥˥tsai˥˧ tiŋ˥˧sau˥˧
千金小姐	tʃɛ̀ːnkʰeːn˧fiu˧ʔi˧
升級	θiːn˧˧iː˧
午	lu
半	p˨˩an˥˥pu˥˥ an˥˥
半夜	wɔːŋ˧man˥
半熟	pũã˥˥tsɯ˨˩
华	pɔː
华【古本音】	aɦ
卒	tso
卓	tok
卓躒	tɔli
南	naaː
南京	nãŋ˨˩kĩ˥˥
南京市	naŋ˨˩ ɪn˥˥tɕʰi˥˧
南平	nʱnbĩ˥˥
南昌	laŋ˨˦sioŋ˥˥
南邊	na˥˩spi˥˥
博	tpˈɑ̃
卢纶	lo
危險	ŋua˨˦e˨˦hian˥˧
卵	lɔːn
卸	se
厂	tʃʰŋ˨˩˦
厉害	li˥˩xan˥˥
厌恶	nia
厝	tsuɔ˥˧
原	un
原谅	ŋu˥˥lioŋ˨˦
去	t ty
去年	kini
叁拾	sanse
又	u
又【快慢】生日快樂	tɛ
又古音中心为点	seŋˈ
又跳又躒	ʈʰoːlɛ
又音拍电影	pʰ
又音相信	tioŋ˨˦
友	iu
发	xwɑŋ˨˩˦ fu˥˩
发现	fakːiŋ
发芽	umma
发财	hua˥˧tsai˨˦
发钱 头发	fa˥˥tɕĩŋ˨˩ tʰau˨˦
发霉	fa mui
叔	se
变故	pj�n˥˥kɔ˨˩˦
口	kio
古	m
古代	lɔːi˨˩
古早味	kuzai̯
古时	ulɛ
古田	kʰu˨˩weɪ˥˥
古田人	˧wɤ˧˧ i˧˥lɤ˧˥
古田人说古田话。	kuɣweŋlɨ kõŋ kɔᵑgwɛŋɔː˧
古田县十字街圆圆圈。	koenke dʒuʃeʃe ʔɨnjinʃko
古田话	u˨˩ u˨˩˦an˥˩ʔ
古老	ɔgɔ
古音又心	fian˥˥
古音梦	bˈeɪŋ
古（宁德古田县古田语）	kʰuː ninweŋsɯ˥˩weɪ˧˥nyː˧
另一种	lĩŋ˨˩ pʰi˥˧tsu˥˧
另一音尽也 朝【鲜】	sin
可乐	kʰɔː˧lɤk˥
可爱	qɑːˈʔɛ
台	daj
台北	ta˥˩l
台北101大樓	taipakitʰkʰuaŋ˨˩i˨˩ taik˨˩lāː˥˩
台北市	tai˥˥kak˨ tɕʰi˨˩˦
台南	dˌiːzəlnˌɑːm
台州	taidʑu˥˥taidʑu˥˥
台湾	tʰaivæn
右	ljoʊ˧˧
叶	tɾˈaɪ
各	kɔː
合	sap
合作	ha˨˦tsɔ˧˧
合唱	hæpˈtʃuː
合家平安	tʰak˦˥ka˥˥tŋ˨˩a˥˧
吉祥如意	tsi˨˩˦ʂuɔ˥˩y˨˩˦lɤ˧
吊	pau̯
同	tɐ̃ŋ
同時	tʊŋ˥˥si˧˧
同类	tɛn lũ
后	a
后年	tɑʊ˥˩njɛ˥˥
后日	aːw˧
后生仔	xɑʊ˨˩˦ljɛn˨˩˦
吐痰	tɔuta
向	tɕʰjɛn˨˩˦
吞气	tʰɔ̀ŋ˥˥hĩ˥˥
吠	fouˌ
听不懂	tjɛn˨˩mɛː˥ty˨˩˦
听歌	kʰŋ˥˥kɔː˧˥
启	kʰiː
吳	ngˈoː
吵	tsa
吸	e̞t̪
吹	tsʰu˥˥i˥˧
吾家	go kˈa
呆	naɪ
周	kiu˨˩
周宁	iu˨˩neɪŋ˧˥
周寧	ˈkeʊnˌeɪ
味	lɪ˧˥
味精	tɕi˥˥
味道	tsi˥˧tɔ˨˩˦
呵	hɛ
和	xu˥˥
和(起哄)	œ̃n
和尚	uliũŋ
咖啡	kai˥˧
哈爾濱	ɦɑːpɪŋ
哥	fou˥
哭	hɔ
哶	ˈeɪ
唐	tɾãm
唐僧	auŋ˨˦tsĩã˥˥
唔啻	nˈe
唔明白	m̩˨˩be˧˧m̩˨˩˦pa˨˩˦
唱	siũ˨˩˦
唱歌	tɕʰiŋ˨˩˦kɔ˨
啄	tˈɑ̃
商量	sioŋ˨˩ljoʊ˨˩˦ŋ˧˥
啜	pˈɔ
啡	tɕʰi˥˥
啻	ti˥˩
喉嚨	hɛlɛ
喙	tsɔj
喙焦	sue˥˥ta˥˩ tsʰuaɪ˥˥ta˥˩
喜	hˈi
喝	hã˥˥
嗅	eww˧
嗽	fau
嘆氣	tɑŋkʰɛ
嘴	tsʰoːiː
嘴唇	tsʰi˨˩weɪ˥˧
嘴舌	sʰiːl
器	t
囚	tiu˨˩
四	a
四眼	fika
囝	tian˥˥
囝孙	tɛnnɔn
回	ui
因	eɪ̯n
囥	kɔ̀ːn
困难	kuna
困难 落難	kʰʊ̃a lɔnaŋ
固	ku˥˥
固定	kuu˨˩tĩã˥˥
国	ku
图书馆	tʰu˥˥y˧˧kwɑŋ˥˥
图纸	to˥˩tʰə˥˩
圆圆圈	nʲung˨˩ʰi˥˩ɛnkʰuaɔ˧˥
國	tuk
國家	kɔˈkɑ
國民黨	kumai̯na
國際	kut˦tsi˨
圖	dʒiːn
圖書館	tu˨˩ji˥˧ u˥˧an˥˧
土	tʰu˥˥tʰu˥˥
在古代，人出行很不方便。	takulaj nɤŋ˨˩˦ tʃu˧˧ heɲ˧˧ hɔːm˥˩li˨˩˦ hɔːm˥˩li˧˧
地球	tˈə
坚	kin
坡	tʰɔ̀
垃圾	latsːa
垃：盧合切 圾：忌立切 垃圾	laːˈke
埃	ˈaɪ
埘	fˈi
堆	tɔj˧˧
堆积	tɔ˥˥it˦tsit˦
堡	pˈa
塌	tʰa˥˥
塔	tʰa
塞	fˈɛst
塢	u
填	pen
墓	bu
墙壁	tʃũã˨˩m˥˩tia˥˧
墨	mɛ
墨筆	bo˨˩˦pi˨˩˦
壁	pip
士	fɔː
声音	seŋ˨˩ni˧˥
壳	sˈɛst
壽	fiu
壽寧	fjuːniː
外公	n˧ue˧˥kõ˥˥
外婆	voj po
够	tɑw˥˥
夠	teu
夢	mãˈeɪŋ
大	tɐi˥˥
大厝有小门	pʰu˥˥ʊ˥˩tiʊ˥˩mʊŋ˥˩
大学	tioi˧˧
大峡谷	suɔ˥˧hap˨˩tu˥˩
大门关门	tɔmʊ kʊmˈu
天	tʰiŋ
天下私亲	tʰiŋ˥˥pa˥˥ sɔ˥˧
天光	tʰjɛn˨˩˦kuŋ˥˥
天冷为g寒，中医为h寒	tʰiŋ˥˥kɑŋ˨˩ hãŋ˥˥ siã˥˧
天地	tʃiŋdˈˈeɪ
天安門	ti˨˩n˧a˥˧mum˥˩
天安門事件	tʃiːn˥˥amɔːtsiːkɔː
天安门	kĩ˥˥ an˥˧ mɔːŋ˨˩
天旦白	tʰiːn˧tam˧
天暗	tŋ˥˥
天氣	tɪŋ˧˥
天津	tʰiŋ˥˥tsĩŋ˥˥
天烏烏	tʰjɛn˨˩˦u˥˩
天禄	tʃiːmˀlˈɑː
太上隐者	tʰa̠˥˥i˥˧tŋ˥˥ ɕ
太后	hɐi˥˧ew˨
太山	tʰa̠i̯˧˥sǎŋ˥˧
太平洋	tʰaipĩŋ˨˩jʊŋ˥˥
太监	tʰam
太監	seŋseŋ an
太阳	tɐlˈo
太阳落山	pʰaː˥˩ua̯˧lɔːŋ
头	tʰaʊ˥˨
头先	tʰau̯vɛn
头发	tʰa˥˥
头疼	tʰau˧˧tʰĩã˨˩
夹漻泪	kiau˥˧ bui˧˧ lo˧˧e˨˦
奈何	náj˧kʰɔː
奏	tʃau
女	lˈy
女人	nɪˈɹaː
女孩	dʒuːŋ˨˩ning˥˩ jɑŋ˧˥
奴	nˈoʊ
奶	ne
奶娘	nˈeɪnjə
奶茶	nɛ̃n˧˥da˧˧
奸	kâŋ˥˥
她	tɛːm˧
好像是	patŋ˨˩i˥˧
好味	pɔ˥˥i˨˩˦
好天	ho˧˧lian˨˦
好食	hɔ̀i˨
如	miu˨˩
如果	jˈɛ kˈu
妇	fu˥˧
妈	bu
妙	mˌeʊˈ
妙手	miu˨˩tɕjɛ˥˥
妹	boi
妻	tɜː
姊	i˥˩
姊妹	tsiŋbue
始	i˥˩
姐	tɕĩã˨˩
姑娘	kuɲa
姜	kioŋ˨˩
娛	n
婊	pau
婥	sˈu
婦	tʃiw
媒	muːj
媽祖	mɑːzum
嫩	nˈo
嫩明 嫩英 嫩妹	naw men en noŋ ɕɔmɛj noŋ ɛm noŋ mui
嬭	ne
嬲	nɪ˥˩ɔː
子	tsu˥˩
孔子	pʰu˥˥tsu˥˩
字	tɕʰi˥˧
孙	sõŋ˨˩sõŋ˨˩
孤竹	qudu
学习	koʃi
学堂	ho˧˧ tʰɔŋ˨˩˦
学校	puxa
学生	t̪e
孩	həˈɪ
孫	sɑ̃
孵	po˥˩
學	xok˨
宁德	nˈɪnˈte
宁德古田县	nia˥˧le˥˩
宁德话	lĩŋtikua
守	fiu˨˩
安乐	la
安亭	ante
宗	tsʊŋ˥˥
官	t˥kwã˥˥
定	tĩã˥˥tĩã˥˥
定型	tĩã˥˥ heŋ˨˦
定金	k˨˩ã˥˥keŋ˥˥keŋ˥˥
宝丸	pau̯m
宝剑	pokˈin
宝钗	pɔ˥˥tsʰa˥˥
客	kʰa˥˥
客人	nˈoːɪ
客氣	akːiː
宪法	siŋ˨˩kwa˥˥
宫	kũŋ˥˥
宫【五音中聲曰宮】	kũŋ˥˥
害	hǎi˨˩˦
家	a
家世	koːs
容	ljoamʃ
宾夕法尼亚德裔高地语	iːt̪ˈʁupˈˈiaːt̪ taˈhˈəə kˈɑːd̪iːtʃ
密	me̞
密芬	ləhun
寒	kâ˥˥
寞	ma
察	sak
寤	u
實	fˈaɪv
寮	leu
对不住	tɔn pɔtsil
寿司	falfo˧
寿宁	plene
封	hˈu
封伊做官	kuŋ˥˥sit˦kũã˧˧
封建社会	fou˥˧ xioŋ˨˩˦ vi˧˧au˨˦wj˧˥
将	tsiŋ˨˩tsiŋ˨˩
尋	fˈɛm
對	tɔj˥
小	siu
小事	fau̯tɔ
小伤	seŋ˨˩siŋ˧˧
小心	fiu˥˥ siŋ˥˧
小门	iu˨˩ŋ˥˥
少	fiu˥˥
尺	tʃa
尼	nˈe
尾䐹䐹	bui t̪eu̯ t̪eu
居家生活	kue˥˥ka˥˥sẽŋ˨˩fa˨˩
屆	tai̯
屌你	tɛʁnyː
屍	tɕʰi˥˥
屎	fˈaɪv
屑	pa
展	tɪŋ˥˩
屙屎	naːˈrai
山	fˈɑːn
山上有山	san fiu ʔã˥˥sã˥˥
山河	fan˥˥
山顶	sã˥˥sĩŋ˨˩
岛	o
岩坑	jɑŋ˨˩˦kʰan˥˥
峰	tɔ̃m
島	tɔː
崔护	tsui˥˧hou˧˧
嵩口	sœ˧˧ kʰau˥˥
巅	tɪŋˈ
川	ʃoːn
州	tiu˥˧
工头	kŋ˥˥tʰau˨˦
左海	tsʰo˥˧hi˧˧
巧克力	ki kaˈnɛ
差不多	samutou
已經	ikːeː
巴	a˥˥
市	sə
市政府	tɕʰi˨˩˦ tɕɪŋ˥˥ u˥˩
布	pɔ
希	hˈi
帥	fauː
帮人出头	pɔ˥˥neŋ˨˩˦ tsʰuɔ˥˥ tʰa˥˧
帮工	p˧oŋ˨˦kən˥˥
常建	siŋ˨˩kioŋ˨˦
干	kãŋ˥˥kãŋ˥˥
平	fãŋ
平实	aɪnsi
平常时	tiŋ˨˩ljoʊ˧˧mi˥˩
年	ne
幼	ew˨˩ la˥˩˦ siŋ˨˩hɑŏ˥˩lɑ˥˩w˧˥
幼容	ɛ u jɔm
幼年	eʊnɨŋ
幽	ajoo
幾點	kʰi˨˩ liən˧˧
广东	kundoŋ
广州	uŋtɕeu
度	tou˨˩
度船 十三度	tu˥˧ sot˨ʂa˨˩˦ tɕja˥˥ sa˨˩˦n˩˩˦tu˥˧
廈門	aːm˧ʊ
廣州	bon˨˦ tiu˨˦
建筑	kintɯ
建陽	kiən˥˧jʊŋ˥˧
廿七	dʒɨk
廿九	nikau
廿八	gˈapˈpˈɛ
开会	tsʰu˥˥fu˥˥i˥˩
开发【头发】	kʰɤ˥˥fat˦tʰɑʊ˨˩˦kuɔ˥˩fɑʊ˥˥ tʰɑʊ˨˩˦kuɔ˥˩
开花结果	kʰɤ˥˥ kik˥˥ u˨˦
开车	kʰe˥˥tsia˥˥
弄	ləʊ
弍	nˈe
式	sˈɛt
引	ɪŋ
弗尔兰语	kʰʊŋ˨˩lâːn˧
弟	t̚˨˩e˨˩˦
张祜	tiu˥˧ku˥˥
张籍	ʈʂtɕjɛ˧˥
弹一曲	taːn˩˩˦siː kuː˥˩
归家	tuk˨a˥˥
当兵	tʊŋ˨˩˦pɪŋ˥˥
形	ˈaɪn
彩	tsʰaɪ˥˥
律	nɔ̃
律师	lueder
後日	au nˈe
後生	aʊ˥˧laŋ˧˧
徐凝	fyni
得	hə
得力	tɛnˈliː
得失	tə θɪl
復習	huˈti
德	tɑk
德国	tə ku
德國	tɤk˥u˥˩
徽	u
心	θˈeɪn
心【人心】	fim
心宽	fɛːn˧˧kʰw˧˧a˥˧
心思	sĩ˥˥
心火	sɪŋˈfuːjˈ
心理	fɪnˈlɪː
必	pˈi
忒	tʰak
忖	fʊˈʋ
忠	tũŋ˥˥
快	kæ˥˥
快出门	tʰɯ̞˥˩kɯ̞˥˩ tɕʰum˥˩
快活	kauo
快跑!快!有危險	tsʰapʰaː kʰeː oŋihiŋ
念	ne
思	fɔː
急	k
急：居立切	e̞k̚˨˩ k̚˥˩
性	tɛ˥˥sã˥˥
总领天下	tsʊŋ˥˥ljɑŋ˨˩˦tʰɪŋ˥˥a˥˧
恐龍	kʰʊŋlɔ
恥	tɕʰi˥˩
恨人	hɐ̃ŋ nˈoʊ
恩情	tʰĩã˨˩
恭喜	kʰoː˧n˧
恭喜発財	kʰɪŋ˥˥ hat˨˦tsai˥˧
息	pet
恼人	nˈɔnə
悟空	nˈoːkˌum
惜	fˈy
惱	nˈaʊ
惹事	jɛ˨˩˦ tsu˨˩
愁	tɛːl
意气	ikː
意气尽	it˦k˥tsiː˨
愛	aɪ˥˥
愛拼才會贏	ai˥˧pjɑŋ˨˦ tsia˥˥ iam˥˥
感恩	tɔ̀ŋ˧ʔõŋ˥˥
感謝	sã˥˥tia˨˩
感谢	kɾanfeɾ
慢	ben
慮	nˈu
憨	nɔːn
憲法	sŋkʰon˧
應	ɪŋ ɪŋ
懷	huaɪ˥˧
懸頂	tæˈrɪŋ
成	fiam
成績	fɪn˥˥tɕi˨˩˦
成都	tian˨˩tu˥˥
我	a
我是古田人。	ua˧˧hɛ˨˩sĩ˥˧ kʰu˨˩ hɛn˥˥
戒	k
战争	tɕĩŋ˥˥ʈʂɤŋ˨˩˦
截	sɛ
戳	tɤ˧˥ t˥ʰau˥˩
戴望舒	tpau˨˩˦uən˧˥fu˥˥
戴綠帽	tai̯˨luːm˥˧
戶口	ku kel
戶口簿	tsuβ̞e o˧˧bo˨˩
户	huu
戸	xu˥˩
所	fˈɛ
所以	sa˩˥ːi˥˧
扁食	imɛ
手	ɕiu˨˩˦
手指	tɕʰiu˨˩˦sai˥˧
手机	tʃau ke
手段	siw˨˩tʰʊŋ˨˩˦
手艺	tsioŋi
手镯	kʰoːnaː
扎	sat
扑	hɔːk˥ həʊˤ˳pʰə˥˩
打	ta˥˩
打击	ta˥˩ke˥˩
打底	taːt̪e
打手	ta
打擊	akːi
扚	dju
扣錢	kʰi˥˥au˧˧tsian˨˩
扭	neɔ̃
扳	tein
批	pjɛ
抄	tsou˥˧
抓	su˥˩
投	tau
折	tɕi
报名	po˥˧mĩã˨˩
报道	pɔ˥˥ tɔ˨˩
抹	ma˥˩
担	tɑŋ˨˩˦ tɑŋ˨˩˦
拈花惹草	n˥˥ ho˨˦jɛ˥˥ʈʂʰoʊ˥˧
拍	hah
拍【拍照片】	hˈˈ
拍孔	pʰak˨
拍算盘	tʰa˥˧sã˥˥m˥pua˧˧
