'chuile sheans	hella hænts
a fuair	ˈæz fˈaɪt
a gcara	akara
a gceannsa	a gˈaʊnsɚ
a ghrá	ɣrɑh
a ghrá mo chroí	adʁab fiː
a h-ochtó	χɑqtʊ
a haon	ɦæn
a haon a chlog	ˈeɪ hˈɪɹd ə fˈɪlm
a haon déag	hʲindʲːæk
a haon is fiche	ɦɪːd ɪsˈɪhɪ
a hocht	ˈæ hɑːt
a hocht déag	hɑqtʲɪk
a leanaí	ælænɛj
a leanbh	ælænæv ælænæ
a leithéid	ɛlaːjeʒ
a luaithe	ælːuhɑ
a lucharacháin	luħrɑxɑːn
a lán	əˈlɒn
a mbláth	amlɔ
a mhaighdean	tɐʋaʲitɐm
a mhaimeo	avamɔʊ
a mhaisigh	ɒvɒʃi
a mhamaí	tɐvɐmɪ
a mhic	æðɪ̞k
a mhuire	æwɪðːa
a mháire	abɫɑjde
a mháirín	aˈwɔːɾiːn
a mháistir	tɑbɑl ɑʃtɛr
a mháthair	ə wˈɔɹhɪd ə wˈaɪɚd
a mhéiní	heveni
a mhéire	ɛs eɪd̪e
a mhóir	ɛ vˈoɪs
a mhúinteoir	aːboltʃuʃoɣɛɾ
a n-amhrán	ænɑrɑn
a n-úll	nauɫ naoɫo
a naoi	anoi
a naoi déag	lʲidzʲek
a naoi is fiche	ʔan ʔa isʕiːħ
a ndeirfiúr	en jɛl fɔɾt̪
a ndinnéar	anʲkɛn narʲ
a náid	a ŋooɟ
a nócha	anoɣa
a onóir	la ondo̞s
a pheaidí	a fɛrˈ di
a pheats	fˈats
a phos	a fɔs
a pháidín	faːrdʒiːn
a rachaidh	alaħa
a rún mo chroí	rɵɬ baxrəi
a seacht	æʃaːht
a seacht déag	ʃɛrtʲek
a seacht is fiche	æʃaːqt ʔizviː e̞
a seachtó	ʃaɾtʊɾ
a seasca	a ʃaske
a shagairt a rúin	ahakta roːn
a shamhlú	axlmɔ̞
a sheachaint	ˈeːħɑχɪnt
a sheáinín	tʃiːzi tʃiːzi
a sheáist	ɑhɑːʃt
a shlánaitheoir	axlɑn ɪr hˈɪr
a shroicheadh	ɑɣrɛxˈq
a shéamais	a
a stóirín	sð̞oːɾiːn
a stór	stɔ
a stór mo chroí	astʊr mxr
a sé	aʃo
a sé déag	ʃejtɛk
a sé is fiche	æʃiː ɪzfɪhæ
a thaisce	æʃke æhæʃke
a thiarna déan trócaire	jˈɾn ˈɪm kˈɾˈokɾi
a thiarna, ní fiú mé go dtiocfá faoi mo dhíon, ach abairse an focal agus leighasfar manam.	jɛnɑn jiʃɪɬɛmmɛ jɑkɑtʲɑk aferoj jen ɣa prɔʃnɛ fɑːk ɑːlɑː zaːj sɑrmɑɑnɑm
a thinfeadh	æiːnɑq
a thoice bhig	akːɛkʰæk
a thuilleadh	ħala
a trí	a tɹiː
a trí déag	tsʲidʲek
a tríocha	atrɪxɛ
a uachtaráin	ˈɛl xtəˈrɑjn
a ullmhú	dæɾ ɔ̞ɫvu
ab fhearr	a bˈaɾ
ababú	ɑbˈɑbuˈɑ
abacas	apakas
abach	apax
abacht	əbˈaɣt
abaigeal	abugˈɒl
abair	abɯ̞ʃ
abair i mbéarla	abə dˈeˈɣə mɪɾˈɛlə
abair i mo dhiaidh é.	aː bɪrˈɛmɪdi ˈja
abair sin arís, le do thoil	abɔ ʃɪːn ɑːriːʃla dɑ hɑl
abair é sin arís.	abɪɾ ɑːb ʃuːnɛn ɪst
abairt	ɑbɯ̞rtʊ̞
abaisean	abɯʃɯn
abar	apo
abarach	abraθ
abarlach	abɾlɑx
abartha	apara
abarthacht	abɾɑxt
abb neagh	ɑɓne
abbán	abɔn
abcdefghilmnoprstu	ɑbɪkidafkˈhɑjɪˈʃelæmiːnɑpɾsteu
abcáisis	æɾpɒsiz
abha	au
abha na mainge	aːlnɯmaːnˈgæ
abhac	au̯k
abhacphláinéad	ˈɑɹkflˈænˈænd
abhacád	aɫakɑrt
abhaile	oˈla
abhaill	au̯l
abhainn	au̯n
abhainn an dálaigh	aunha tɔbɑ
abhainn an scáil	ɑu̯nʲin skɑlʲ
abhainn na fuinseann	aːn ˈtɑ fɔntʃɔn
abhainn na gaillimhe	awən nə valiba
abhainn na muaidhe	al jɛnɨ moj
abhainn taoide	au
abhainn árdail	aʊˈɛn ˈɑɹdʒəl
abhairt sheanfhoclach	aʊrt hɑn ɑqɫɑq
abhallghort	ælʁɑrt
abhann	aɔn
abhantrach	aːmtrɑq
abhar	ɑuɚ
abhartach	ɑuɯstɑk
abhatár	avˈatˈaɾ
abhcach	ˈɑlkəx
abhcóide	tɑjpxoːtˈse
abhcóideacht	ˈɑʊkˈɔɾdɪxt
abhcóir	ɑɫkɔjts
abhlach	allɑh
abhlann	ˈaʊˈlɔːŋ
abhlóir	aːvloj
abhras	awˈras
abhus	povos
abhus nó thall	vˈos nˌəʊ hˈaʊl
abhó	tɐvɔv
abhóg	avok
abhóiséad	avˈoʊʃɪt
abigéal	æbgæl
ablach	aːbləx
abláil	ˈælbɑːlɑːd
ablálaí	ˈɑbəlɑlɪ
abracht	æpɾʊ̞ɢt
abrahám	æbɾæhɑm
abraigí	apɾiki
absalóideach	abzɯɬɯdɯq
absalóideachas	absoːlˈoːtxɒs
abán	abon
abú	atu
abúise	abɯ̞ʁiʃæ
acadamh	əkˈtɪv
acadamh na hollscolaíochta gaeilge	aqadɯ̞r nʊ̞hʊ̞ ɫʊ̞ʃkɪ̞ɫɪ̞ jɑqtɑj rɪ̞ɫgæ
acadamhaí	akːaːdaːlːi
acadúil	akdɯl
acadúlacht	əktuɫlɯ̞qtɯ̞
acaill	ɑqəl
acalaí	ɑkɯ̞ɫɯ̞
acaoineadh	akijnɯ
ach	ˈax
ach a oiread	axˈaɾɛt
ach an oiread	axnɛld
ach cá'il	akɛɑ̃
ach oiread	axeret
achadh	axa
achadh bhó	faxavod
achadh eochaille	axa ɒhˈaja
achadh lí	ax li
achadh na croise	axɨ nə kɾʏʃe
achadh uí mhaoláin	axa adzʲin wjlojn
achadh-leithdheirg	ahjæɾæk
achaidh chéide	ahɑ hejtɪ̞
achainí	ɑxˈni
achann	ɑχɛm
achar	axɯr
achasán	æˈsæm
achmhainn	æxviŋ
achoimre	ɑɦbe̞mɜ
achoimrigh	æχɪmjæ
achomair	ˈaxmɑt
achomharc	ʔɛxok
achrann	ħrɛn
achrannach	axronɔx
acht anois	ˈaxt ɪnɪʃ
achtaigh	axtɪ
achtainiam	axtønøm
achtáil	ɑxteɑl
achtú	a
achtúire	ˈaxtər
aclaigh	akla
aclaí	aqli
aclaíocht	aqlʲixt
aclaíocht teanga	ak lˈirt tˈaŋkə
acmhainn	akːm
acmhainn grinn	ˈaxviːn ktiːn
acmhainn teanga	axvɛn tʰɛːngɔ
acmhainneach	akɣ̞ˈeɲɔk
acmhainní	axvn
acomhal	əkˈɔl
acra	aqrɯ
acrainm	ækɾɯ̞nɪ̞m
acrastaic	akrastɛk
acu	akːa
acusan	aasõːnaasõːn
acáidis	kaːdʒeɾ
adaigh	atɨ
adamh	adʒ
adamhach	adwɑx
adamnán	ˈɛtɑmnˈʌn
adas ababa	ɑːdɑsːɑː baːbaː
adhaint	sɔŋs
adhair	ˈaɪɚ
adhairc	əˈist
adhairt	dʒɔn
adhaltrach	bɛtrɐq
adhaltranas	altʃɾnlz
adharc	ɑjɯ̞rɯ̞k
adharca	elka
adharca broic	ær kɯpɾak
adhartán	ˈaɪɚtˌaːn
adhastar	aɪ̞zˈtɑr
adhfhuafaireacht	ʔædbɑːfæɾɒːxt
adhfhuafar	æˈdlˈɛfˈɛɹ
adhlacadh	jɫɯ̞kɑ
adhlactha	aːjlækæajlækue
adhlacóir	ˈeɪləkˈɔɹ
adhlaic	jɫɯ̞k
adhmad	amɑt
adhmadach	amatax
adhmadóir	ɑmɑtʊʲts
adhmadóireacht	ˈaɪmədˈɔɹɾˈaft
adhmaid	ɑjmæt
adhmhaidin	ɛːwɛːʒɪn
adhmholadh	ɑhvɑlɑ
adhmholtach	ʔɑduwɑltɑq
adhmháil	ˈætwˌɑst
adhradh	aeɾa
adhraímid	ɑːmiːd
admaer	ajmer
admhaigh	ˈɛtwɚ
admhaím	adim
admhaíonn	ˈdwɪn
admháil	ˈatˈvɒlɒt
adomnán	adɑmnɔn
aduaidh	atːuɛk
aduain	adul
aduantas	atamples
ae	ˈɛ
aed	ˈeɪ
aedacán	ˈɛɹðəkɒn
aedh	hej
aedha	ɛ
aednat	eːtnæt
aedán mac gabhráin	ei tɑmɑ kaɾuɫoɲa
aedín	edjn
aegnus	aŋgəlz
aeir	ˈeɪs
aeistéitic	ˈæʃtˈɛtik
aeistéiticeachas	aɪsteːkhˈɾˈɛs
aengus	aŋgles
aengus cinathrach	ɛng ɢəz ke knaːχraːx
aengus mac óg	ˈeːnɣlˈ smˈakˌoːk
aer	ɛɾ
aer arann	ˈɛɹ ɔɾˈɛɲ
aer lingus	ˈeːr lˈɛŋgəs
aer árann	aɾ oɾãn̪ʝ
aerach	ˈeːrɑx
aerfoirt	ærfɜːt
aerfort	ˈɛɹfɔːt
aerphort	ˈɛɹfɚθ
aeráid	erɔdz
aeráideolaíocht	ɛradʒɑːlɛqt
aerárthach	ɛɾaːrɑx
aeróg	ɛro
aeróga	ɛɑɫɔkɑ
aetópach	eːtˈtoːpɑq
afra-áisic	æfɾaʃɯk
afracáinis	afɾɛkɑnɪʃ
ag	ˈɛg
ag achrann	ˈɛk ˈaːxrɛn
ag an	eˈgen
ag an óstán	ika nɔgɛ stan
ag bailiú	tʃiːzi pˈʊɛlu
ag beannú	ɛgbano
ag borradh	ek poɾa
ag bualadh	agbolo
ag caint	ə kajt
ag caitheamh	ekaa
ag caoineadh	klinjˈe
ag casadh	ækasə
ag ceannacht	ɛ̀kɑnɑqt
ag creimeadh	nɛ θlɛvɛ
ag críost an síol	ekɾˈist ˈænd ʃˈɛl
ag cuartú	kˈɔsto
ag cuidiú	ˈeɪk ˈkɹuːt dˈu
ag cur	ˈekoɾ
ag cur báistí	æɣ̞ørbæʃtiː
ag cur fola	ðə kæɾfəlɚ
ag cur sneachta	akest næxta
ag dul	eɣ̞t̪ol
ag dul ród	tˈɚt ɹˈɔd
ag déanamh	tʲɛnæ
ag feo	la θɪl
ag foghlaim	tˈɪ kfˈolən
ag fámaireacht	ɪ̞k fɪ̞ɫɑmɯ̞rɯ̞qtɯ̞
ag fás	ləkfˈas
ag gluaiseacht	tʃogɫɨ ʃaq
ag gol	a gɔl
ag gáire	ˈegoːeɾ di
ag gáirí	ekɔɛɾi
ag iarnáil	eɣ̞iɾ navajl
ag imeacht	ɛgːɛmɑːxt
ag imirt	a ge̞məɾtʃ
ag iompó	ekumpo
ag ithe	rɛgːirˈhɛ
ag labhairt	ɪːg laʊərt
ag lonrú	æg lˈɔnɹˈu
ag léamh an pháipéir	ˈʌglˈeɪv ˈænd fˈɔɹ pˈeɪt
ag madhmadh	æg mæ̹ˈhemma
ag maisiú	agmasʃɪ
ag múineadh	agmun
ag pleidhcíocht	eɣ̞ plai̯kiɾ
ag plúchadh	ˈɛk plˈoːxən
ag pósadh	kʰoːsʃoː
ag rith	eʁrɛ
ag roinnt	ægɾint
ag seasamh an fhóid	es ʃa sɛ fɛn ɔɪd
ag seinm	tʃkʃanɯm
ag seoladh	akʃoɫdɯ
ag siúl	tʃuɫ
ag smaoineamh	æksmʲɪnʲæ
ag snámh in aghaidh easa	ɪksˈnɑv ənd ˈaɪ ˈæsə
ag sníomh snátha	æks ne jˈft nˈoːgɑ
ag soilsiú	əgsˈɪlʃə
ag stealladh báistí	akestala bosti
ag streachailt	ʃtrakɾɛts
ag séideadh	akkeː tʃˈeːɪtɛ
ag súgradh	ɛksˈkɾˈɑ ɛksˈkɾə
ag súil leis	ɪ̞sʲɪ ʊ̞ɫɪ̞sʲ
ag tabhairt faoi deara	ˈɪk tˈœrt vi dˈaɾə
ag tafann	ægpæerfell
ag taitneamh	ɛktajnɪv
ag teacht	ek dʒakt
ag teastáil	lət̪s̺t̪ taɾl
ag titim	ˈæktʃɛkˈɑm
ag tnúth leis	aktɪk wlɪk
ag tosnú	ektoːsnəw
ag triall	aktrɛjˈlˈ
ag triall ar éirinn	ˈɛktrˈiːlˈa rˈɛːrən
ag tumadh	tiko mo
ag éirí	tegeˈri
ag éisteacht	ægæʃtɑgt
ag ól	eɣ̞ol
agaibh	ɪˈgɪv
againn	ˈeɪgɹˈeɪn
agair	aːlqɔjʃ
agairt	agɾt
agall	akkl
agallaimh	akɫav
agallamh	ɑːgəlov
agallamh beirte	aːgəlʊv bɛrtsɛ
agallóir	akɣəlɔk
agam	agɔm
agamsa	akumsa
agat	agˈɑt
aghaidh	aj
aghaidheanna	ajɯ
aghaidhluach	ɑjdʊɐ̃
aguisín	okeʃin
agus	akas
agus araile	aːgas zɯrɯlɛ
agus tú féin?	ˈɔkust tuː fˈeɪn
agó	ˈago
agóid	aɣoʝ
agúid	akmi
aibell	ɛvɔl
aibhlinn	ɛvlin
aibhléis	ˈaɪvlˌeʃ
aibhne	aivna
aibhneacha	əʝbnei̠xææjʔtniːxoːaj
aibhsigh	æpʃæ
aibhsithe	ɛpʃɪ
aibhílín	ˌeːvəlˈid
aibidh	abig
aibigh	əbi
aibigéal	aɣaɣueira
aibisín	ɑbˈʃiːn
aibiú	ˈæpəl
aibreog	aɪptuq
aibreáin	tˈebɹˈɑm
aibreán	dabɾɔn
aibsíse	æpʃiʃæ
aibí	ʔɛtːs
aibítir	æbˈitʃɚ
aibítre	editɾe
aibítreach	ˈɛditrˈɑx
aice	ake
aiceann	akːɛm
aiceanta	akɛn
aicearra	ˈɛkːadə
aichmeachas	ækmˈˈɛˈʃˈɛ
aici	tʃorka
aicme	ækmɪ
aicme cheannais	ækmɪ̞ jɑmɪ̞ʃ
aicme íochtarach	ekme eʁtɾɛχ
aicmeach	ækmæx
aicmigh	ækmæ
aicmiú	ækm
aicsím	ækʃiːm
aicsímiteach	nˈəʃimɪtˈɪk
aicteáil	æktˈɑːl
aicéataildéad	kˈaɪtalʒˈɛt
aicéatáit	ɛkɛtɔts
aicéatón	akesthoŋ
aicéitil	əkɛtɛl
aicétiléine	akestʃlˈeɲe
aidhm	ajm
aidhm bhunúsach	ajɛm vənəlsɑh
aidhm fholaigh	əm ɑllɑh
aidhmeanna	ajmɯnɑajmɯnɑ
aidiabatach	ʔɛtiʕbaqax
aidiacht	ðə
aidiachta	ʔætjɑχtɑ
aidiachtaí	adirtei
aidréanailín	adɾenalim
aificseanach	əθɪkʃɔnɑq
aificseanacht	fikkʃiʁe
aifreann	afɛron
aifric	afɾik
aiféal	afel
aiféala	aːfɑbˈlˈɑ
aiféaltas	afiːltˈz
aige	agˈeɪn
aigeantach	æi̠kẽ̞ntɯ̞k
aighneacht	æjnɯ̞qt
aighneas	ajnos
aighneasóir	ajnɨsoɾ
aigne	ɛkn
aignéis	æktʃ
aigéad	ɛkɪ̞t
aigéad dí-ocsairibeanúicléasach	ægʲɪt ħɑks wɾa bɔnuː kɾɛstɑq
aigéadach	ækɪ̞tæˈʃ
aigéadacht	aːgjiːe̞rtɒrt
aigéan	kakˈa
aigéid	aːgeːtz
aigéin	ˈageɪn
ailbe	alba
ailbhe	ɑɫva
ailbíne	ælbjɲɑælbjɲɑ
aileach	aɫˈlʲiq
ailean	tʃi
aililiú	alɛlɛo
ailill	alɛl
ailill mac mata	ˈaljɪl mˈˈakˈmaˈrtˈa
ailiúitis	alˈlɛtʃeʃ
aill	ˈɔl
aillean	ælʲɪn
aillte an mhothair	ɛls ʃa ʔɨng�er
ailm	ɛlɨm
ailp	alp
ailse	ɛ̀ʎʃɛ
ailse chraicinn	ɒldʒɒɾeɒkin
ailse chíche	æl tʃe̞kiː ke
ailsice	əɹʃtʃə
ailtire	æltʃɪr
ailtireacht	ɛ̀i̯tʃɛːrɑxt
ailtirí na haiséirghe	altʃirɾiːn hæɾʃiriː
ailín	ælˈin
ailínigh	jælɨm
ailínigh ar chlé	alˈini ˈɛɹlˈaɪnˈ
ailínigh ar dheis	ɛɬiniː ɛɾiˈjeʃ
ailíniú	ʔɑːlˈinːu
ailís	iːɾˈis
aimeiriciam	amerikans
aimhirghín glúingeal	evrʲiːn˧kɔːŋ˧kɔːŋ
aimhirgín	ˈɛvɚəˈgeɪn
aimhleas	ˈajlɯz
aimhleastacht	ʔɑjlɪstoχt
aimhréidh	ajɾajk
aimidí	amiʄi
aimireal	ˈeɪmɚˌɛl
aimitis	æmˈbʲatɪʃ
aimleogaíocht	æmæljɔːlgeːχt
aimlithe	ɑmɑlɪ
aimliú	ɛmlɛ
aimnéise	ɛmnæʃjæ
aimpliú	ampli
aimpléseach	ænplˈeɪʃɑh
aimsear	əmʃˈʊɹ
aimseartha	æmʃæɾe
aimsigh	ɛmʃɐ
aimsir	ajɯmiʃeɾ
aimsire	ajmɪsre
aimsiú	tʃi
aimsím	ɛmsʃiːm
aimsíodh	ɒːmʃæ
aimsíonn	ɒmʃiˈɒn
aimsítear	əmʃitɑɾ
aiméan	ˈɑmən
aimínaigéad	ɑminnɑgɛt
ainbheartach	ənnɛwɛrtɛɾ
aincheart	ænjæft
aindiachaí	æntɪxˈi
aindrais mac marcuis	anðɾes mkmaɾkɪs
aindrias	ændˈɾˈis
aindriú	entʃo
aindréas	ãn̪d̪ɾes
aineascair	ãn̪ʲeskjɾ
aineascaireacht	æɲɛskɪ̞ræqt
aineolach	ænïiɔʁliq
aineolas	ãn̪jols
ainfean	aːnəfən
ainfhiosracht	ɛnɪsrɑqtɯ
aingeal	hæŋgə
ainleog	aɲɛk
ainm	ɛnɪm
ainm cleite	aːnim kletʃi
ainm gan ainm	æjnɨm kɑʁlajnɛm
ainm sráide	jænɨm ztɾɑdʒɛ
ainmeolach	anɛmɔlɑx
ainmeolaíocht	ɑɴnɑmɔːlɪɑħ
ainmfhocail	aːnimɑkɛl
ainmfhocal	aːnɯmaqɯl
ainmhithe	ɒnʒɒhæ
ainmhí	ʔalipiː
ainmneach	ælnɛnx
ainmneacha	ɒnimnˈimniɒhˈi
ainmneoir	pavʲerɨɫamɲːar
ainmnigh	ʔɛnɨmne
ainmniú	ænimnim
ainmníochas	ɑnɑmiːjɑχʃas
ainneoin	aɲːõːn
ainneor	aɲoɾ
ainnis	kæmɪ̞ʃ
ainseabhaí	æntʃɛvɪ
ainsprideanna	aɪnspɾɛtɕoːnɔ
aint	ent
ainteafan	entrafano
aintiún	enton
aintéine	antˈeɪnə
aintín	antin
ainéifeacht	ʔɛnɨjɛpɑqt
ainéifeachtach	ænʲeefeqtɯ̞q
ainéimiméadar	ãn̪n̪eemamet̪eɾ
aipindic	ʔɛpɛndʒæk
aipindicíteas	pindikeis
air	ɛt
airbhe	ælvjæ
aircheadal	ɑːsxadɑː
airchinneach	kẽɾʃiðɑq
aircitíopa	kˈabˈ
aircitíopúil	ǎrɯtʃiːrpoɨ
aird	aɾt̪s
aird mhór	hˈaɪt fˈɔɹ
airde	eɾtʃe
aire	aʒˈe
aireach	ɛːrɑx
aireacht	ˈɛlˈɑkt
aireachtáil	aʒaktˈɪ
aireag	ərəg
aireagóir	ˈætgˌoʊt
aireoidh	aɾˈoj
airg	aʒɛg
airgead	ˈælgɪt
airgead beo	eɾekideːʉ
airgead bríste	ærɪ̞k ɪ̞t brɪ̞ʃtɪ̞
airgeadas	ɛlgɛtɪ̞s
airgeadlámh	ˈædɪkɪdlˈaɪf
airgeadra	ʔɛjˈkəkətˈu
airgetlam	laːtiːgɛtlɛm
airghialla	æ̹ljɐ̹lɑm
airghléas	ˈɛɹles
airgialla	ɛlkæɢlɑ
airgid	ɛrˈgit
airgtheach	ɑːɾuːkʰæxt
airgíalla (old irish)	aʒɨgˈilɐ
airigh	ˈeɾe
airim	adm
airleacan	æjljɑqn
airleacán	ætlækɒˈn
airm ceimiceacha	ʔaːrmiː ke mɪkaxɑ
airmed	ædibe
airmeith	ætɑmɛ
airmheadh	advæ
airmid	adva
airméinis	anamɛjnɨʃ
airneán	ɔːnoʊn
airteagal creidimh	ˈɑɹtsɪkəl kɹˈɛtzɪv
airthach	ˈɛɪrˌɛx
airí	aɾi
airím	ɾˈin
airím uaim thú	ˌaðɪˈeɪ mweɪmhˈˈoʊ
airíonn	ɛɫjɛm
airíonna teicniúla	ɑrɯjɑnɑ tæknijɑɫɑ
aisce	æʃke
aischothú	aːʃxaho
aiseolas	æˈʃælˈɑs
aisfhreagra	ˈe̞ʃɒkɾɒ
aisindeatón	æʃɪndɪtɔn
aisiompú	æʃɒmpo
aisling	æʃlin
aisling an óigfhir	æʃlɪŋɪn ɑl gelɪd
aisling fháthchiallach	ɒʃtiŋˈg ɒkijɒlɒq
aisling ghrá	æʃteŋɾɑh
aisling pholaitiúil	æʃlɪng fɔlɛtuv
aislingeach	aʃljɛnˈja
aislingí an daingin	aʃlˈinˈgj ɒndɒŋˈgin
aislín	æʃlin
aiste	æʃte
aiste chritice	aʃtɪrɸɯtʃɪkɛ
aiste filíochta	æʃt iːɢt̪a
aiste léirmheasa	æʃtɪdɪrˈʋɛst
aiste mheadarachta	æʃtɪ̞r ðäːrɯ̞qtɯ̞
aiste ríme	aʃte riːme
aisteach	æʃtæq
aistear	æʃtʃɛr
aisteoir	æʃtɔːr
aisteoireacht	æʃtʃɑːrɑxt
aisti	aʃte
aistreofaí	æstæɾɪbɑstʰeɾ
aistreoir	æʃtɾus
aistrigh	tɨ
aistrithe	æʃtʃeæʃtʃe
aistritheoir	æʃtɕeɦɑd
aistriú	əʃtɹəf
aistriúcháin	æˈsʲtɾæn
aistriúchán	ɛʃtʃɔɦɑn
aistriúchán dílis	æʃtʃɔnˈdiːlɪʃ
aistriúchán díreach	æʃtʃɒhɒn dɪːrɒh
aistriúchán litriúil	æʃt xɒːnˈdiː tæɾuːl
aiséirí	aːʃaːjiː
ait	atʃ
ait shona	hætʃhɒːl
aiteach	ɛtsi
aiteann	ˈætsən
aitheanta	ɛːhɛmˈpɔ
aitheantais	antˈæs
aitheantas	antus
aitheasc	ɑhə
aithgen	ʔɛtɪm
aithil	ətʃl
aithin	æhɪ̞n
aithis	æʃ
aithiseach	aʃæ
aithisigh	æˈʃæ
aithisiú	ˈahɪsˈv
aithne	eile
aithneachtáil	ɛnːjɪkhˈtɑjlɛnːjˈixˈtɑjl
aithnidiúil	ænʲidʲɪw
aithním	ɑnʲiːmɑnʲiːm
aithníodh	ɛnɪx
aithníonn	æhniːn
aithníonn ciaróg ciaróg eile	ʔɛnɪn kɪroko ˈkeɾog ʔala
aithreacha	æˈfˈexe
aithreachas	afɾɑxɯz
aithris	æræʃ
aithriseach	æræʃɑk
aithriseoir	ælʃæˈr
aithriseoireacht	æ̹lʲɪʃɪ̞rʊ̞xt
aithrist	æɾˈɛʃt
aithrí	adi
aitim	tɛnn
aitim thú	ətʃˈɛbɔ
aivéistis	æwɛjstɪ̞ʃ
alasca	æ̹lˈɛskæ
alastar	aːlʔastar
alastríona	alostriana
alba nua	ɑɫ bɯ̞nɯ̞ wæ
albain	aɫabwjn
albainis	ɑɫbɯ̞nɯ̞ʃ
albanach	ɑpunɯ̞q
albatras	ɑɫvˈɔtɾˈas
albáinis	alpolað̞ex
alcól	alkol
alcólach	ɑɫqilɑq
alfa-gha	ˈælfˈɑɹˈɑ
algaí	ˈɛlkj
aligéadar	laˈgeːr
allabhair	ænlɔz
allabhrach	ælauɾɑχ
allagar	aleke
allagóire	alɣˈoɾa
allas	alas
allasaigh	ˈɑləsi
allasúil	ˈɔləvθuːəm
allmhairigh	ɒːlvˈɒːtig
allsún	ɑɫɯzɯŋ
allta	alta
alltacht	ɑɫtɑqt
alltar	ɑɫtɯɾ
allúrach	ɛlurɑx
almanag	aɾmnɑk
almha	alva
almhuin	ɑːlɔn
almóinn	almon
almóir	almɔør
alp	alp
alp-luachra	alploːxr
alsandar	alasãn̪d̪a
alt	alt
alt na péiste	ˈɑlt nˈə ˈbeːʃtə
alt roghnaithe	aːl tˈɾɒnˈni
altaeis	aːltɛʃ
altan	altɯn
altanna	ɑɫtɯˈnɑ
altra	ˈaltɾa
altramaigh	altrɨmɑ
altramas	altɾɑˈmɑst
altranais	aːtsɾənˈɑz
altóir	alʃtɔɾ
aláram dóiteáin	æləɑrɑmtɔ ɔtɑn
alúmanam	ɫwːmɛnæm
am	aom
am an gháthair	amɯn ɢähɑr
am chun dul abhaile	ɑm θʏnkælɪ̞wɑj
am codlata	ɑɦɑm qɑlɑtɑm
am dinnéir	om diːnid
am luí	æmliː
amach	mˈˈɑk
amach!	ɑːmɑːx
amadaí	ɑmɑtɑj
amadáin	omdoin
amadán	amadð̞ãn̪
amadán [used for men]	omɔdɔm
amadán aibreáin	qɑjmɯdɑn ʔajbdɑl
amai-dí-dú-dá	ʔɑmɘt˨˩ty˥˩tʰɔ˧˧
amaid	ɑmɯds
amaideach	hæmid̪æx
amairgen	əvəɹkɪŋ
amairis	æmæɾʃ
amaitéarach	amatseːrax
amalgaidh	amokɛ
amanathar	amɑnahaɾɑɾɯmɑjˈɾɯχ
amanna	ɑmɑni
amanta	amunt
