'arif	uʔib
adaqlanmaq	ɑtäqɯ̞ɫɑnmɑq
adaqlïq	ʔɑtɑqlɑq
adaqlïγ	ɑtɑqwɫɑɢɯ̞
adaqïn sïsmaq	ɑtɑqɯ̞n sɯ̞θmɑq
adaqïnta	ɑtɑqɯ̞ntɑ
adar	ɑdɑɾ
adart	ɑdɑr
adasazan	ɑdɑsaːzan
adasazan tudasazan	aːda sazaːn to da sazaːn
adasïz	ɒnɒsiz
adasïz tudasïz	ɑːdɑːst zæsto zæˈsæst
adat	ɑdæt
adavat	atɑuɑt
adaš	ɑdɑʃ
adaš köŋli bilmäk tiläsä özüŋ, bušurγïl sözüŋ sẹn, jẹmä tüg jüzüŋ. [йосыф баласагуни]	ɑŋdɑʃkɛnlik bilmæk tilɛsɛ ʔyzyŋ bɔʃʁʁurʁusyzyŋ sinjɯmæt døk ʔyzyŋ
adašlïq	ɑdɑʂɫɯ̞q
adaγïn	ɑdɑrɯ̞n
adaγïn aquru aquru maŋïn jorïjur.	ɑðɑgɯ̞n ɑqʊ̞rʊ̞ ɑqʊ̞rʊ̞ mɑŋɯ̞n jʊ̞rʊ̞jʊ̞r
adgïr	æðgɯ̞r
adl	adl
adma	atma
adnamaq	adnamaq
adnaγu	adnaɣo
adra	adra
adru	adro
adrul	adro
adruq	adɾug
adruq adruq iš kötüklar tẹp sozlälür.	ɑdɯ̞rʊ̞ qɛdɪ̈ɾʊk iʃ kʏtʏ̞klær tïip sʏ̞zɫæ dʏ̞r
adruq adruq tüs utlïlar tẹp sözlälür.	ɑðruq ɑðruktyʃ utɑɫdɑr tïip søzɫæ dør
adruqsuz	ɒtɾɒqsɒz
adrut	adrut
adrï	ɒðrɒ
adrïlmaq	ɑˈðrɯlmɑq
adrïm	ɑdrɑm
adrïq	ɑdrɯ̞q
adrïš	odrˈɛʃ
adrïšmaq	ɑldɯ̞rʊ̞ʂmɑq
adu	adu
aduq	aduq
aduqlamaq	aðɯ̞qɫämɑq
adut	aːtəut
adutlamaq	ɑtʊ̞tɫɑmɑq
adïlmaq	ʊ̞ðʊ̞ɫmɑq
adïn	ʔɑðɑn
adïn kišilärtin tïdïγ bar, saqlanγïl. [türkische turfan-texte]	ɑdɯ̞n kʲiʃjɪlær tɪ̞jɪ̞n tʊ̞dʊ̞ɢ bɑɾ sɑqɫänʁæɫ
adïnlar	ɑtɯ̞nɫɑr
adïnlarqa bẹrmäk	ɑtɯ̞nɫɑrqä bʲirmæk
adïnčïγ	ɑðɪntʃʰiʁ
adïnčïγ ïduq qaγan qan süsi. [türkische turfan-texte]	ɑzɑnʃɯ ʁɛdu qɑɢɑn qɑn søzlɪ
adïqlamaq	ʔɑtɯ̞qɫɑmɑq
adïr	ɑðɑr
adïrmaq	ʊ̞ðɯ̞rmɑq
adïšmaq	ʊ̞dʊ̞ʂmɑq
adïγ	ɒdɒq
adïγlïγ	ʔɑziʁzɑq
adγuq	ætɢoːq
adγïr	ɢoðoʁar
adγïraq	ɑzʁɯ̞rɑq
adγïrlanmaq	ätʁʊ̞rɫänmɑq
aftabï	æftabɑ
afïlγu	æpɯ̞ɫɢu
agam	ɐgɐm
agam bitig	aːgɑn bɪ̞tɪ̞k
agaru	ɢɑru
ahd	ɑːhɯt
ahla	ɑχɫɑ
ahmad	ɑχmɑt
aj	ɑjˈ
aj adaš	ɑjɑllɑʃ
aj ič taš biligli, aj ḥaqqul jaqïjn, közümdä jïraq sẹn, köŋülkä jaqïn. [йосыф баласагуни]	ɑjɪʃtʃär bʲelɪ̞kɫɪ̞ ɑjhɑq gʏl jɑqɪ̞n kʏ̞zymdɛ ʲɪrɑq sɪ̞n kø̞ŋʏ̞lkæ jɑqɪ̞n
aj muŋsuz idim sẹn bu muŋluγ quluγ. [йосыф баласагуни]	ʔɑjmonsuz ʔidimsən tɑzɑ muŋluq qiliq
aj muŋsuz idim, sẹn bu muŋluγ quluγ. [йосыф баласагуни]	ɑjmuŋsuz ʔitiʁim sen bo muŋluq quluq
aj qaγan	ʔɑj qɑʁɑn
aj saju	a jsɑjˈew
aj sïrqa jaqïn aj köŋülkä ẹdiz, tanuq ol saŋa barča surät bẹdiz. [йосыф баласагуни]	ʔɑj sirqɑ jɑqɪŋ ʔɑj køŋylkɛ ʔitiɪz tɑnuʁul sɑŋa bɑr tʃiʃɑs rɛtpɪtɪɪz
aj sïrqa jaqïn, aj köŋülkä ẹdiz. [йосыф баласагуни]	ɑj sɯ̞rqä jɑqɯ̞n ɑj kø̞mʏ̞lkæjɪ̞ dʲeθ
aj toldï	ajtoldi
aj uluγ ẹlig bẹg, tẹp tẹdi. [altun jaruγ]	ɑjɯlɯgɯlʲɪk bɛk tepte ʔiti
aj ẹlig, bu bẹglik uzun qolsa sẹn, qač iš qïl, qač iš qod qïlur ẹrsä.	ʔɑjiliq bu birliq ʔuzun qilsɑ sen xɑtʃiʃqɪl qɑtʃiʃqot qilur epsɛ
aj ẹlig, tapuγčï bu qač türlüg ol.	ɑjɑlʲïnxtʰɑpɯ̞ɵqtʃʲɪ bu qɑtʃtʏ̞r lʏg ɑɫ
aj ẹrklig uγan mẹŋü muŋsuz bajat, jaramaz sẹniŋdin adïnqa bu at. [йосыф баласагуни]	ʔɑjrtlik ʔɔʁɑn menʲymʔuz bɑjat jɑrɑmɑs sening din ʔɑtɤnqɑ buʔɑt
aj ẹrklig uγan mẹŋü muŋsuz bajat. [йосыф баласагуни]	aːj aːl ɔɦlɑn mɪŋy moŋ soz bɑjɑt
aja	aia
aja birkä bütmiš tiliŋ birlä ög. [йосыф баласагуни]	iˈjɑ bˈiɾkæ bˈutmʊʃ tælˈinˈg biɾˈlɛr ʏk
aja bẹr birikmäz saŋa bir adïn, qamuğ ašnuda sẹn sẹn öŋdün kẹdin. [йосыф баласагуни]	ʔɑjɑ bɛr bilikmæn sɑŋa bɪr ʔɑtɤŋ qɑmuq ʔɑʃniʁdɑ sen sen ʔøndynyi kɛddɪjn
aja bẹr birikmäz saŋa bir adïn. [йосыф баласагуни]	ɑjɑ bɪ̞ɾ bʲirɪ̞kmæs sɑŋɑ bɪ̞ɾ ɑdɯ̞n
aja, bẹg, qatïγlan bu taqat tẹŋi, törü qïl. [йосыф баласагуни]	ɑjɑ bʲek qɑtɯ̞ɢɫɑn bu tɑqɑtːɪ̞ŋ ɪ̞tʲɪrʲɪj qɪ̞o
ajajïn	ajøː˧jøŋ˨˩˦
ajalamaq	ɑjɑɫɑmɑq
ajalarïn japïnïp	ɑjɑlɑrɯ̞n jɑpɯ̞nʊ̞p
ajalarïn qavšurmaq	ɑjɑɫɑrɯ̞n qɑɫʂurɑq
ajamaq	äjɑmɑq
ajančaŋ	jɛn˨˩
ajaq	ɑʒɑq
ajaq tẹrgi	ɑjɑq tæɾgiː
ajaqlïγ	ʊ̞jɑqɫɯ̞ʁ
ajaqčï	ʔɑjɑqtʃe
ajas	ɑjɑs
ajaγ	ajɑh
ajaγuluγ	ʁʊ̞ɫʊ̞ɫ
ajaγuluγ tẹg ögülüg tẹg siz. [türkische manikhaica]	jɑjɑʁulʊ̞ktʲek ʏ̞gʏ̞lyʏ̞ktʲɪksiz
ajbaŋ	ãjbɑŋ
ajdïŋ	ʔɑjdɑŋ
ajgïr	ʁɑjˈʁær
ajluq	ɑʒɫɯ̞q
ajluq ajluq	ɑjˈluːq ɑjˈluːq
ajmanmaq	ʔɑjmɑnmɑq
ajmanč	ɑimɑːntsʰ
ajmaq	ʊ̞jmæk
ajmaq adašmaq	ɑjmɑq ʁzɑʃmɑq
ajmuq	i̠mq
ajqa	əqqɑ
ajran	aɪ̯rɑn
ajru	ajɾu
ajruq	ɑʒɾuq
ajrïq	ʔɑjrɑq
ajrïšmaq	ɑjrɯ̞ʂmɑq
ajt	aɪt
ajtmaq	aʃtmaːq
ajturmaq	ɑjtʊ̞rmɑq
ajtïlmaq	ɑjtɯ̞ɫmɑq
ajtïnmaq	ʊ̞jtɯ̞nmɑq
ajtïš	aɪ̞tɯ̞r
ajtïγ	ɑjtɯ̞ʁ
aju	ˈaɪoʊ
aju bẹrmädi-mü ataŋ ja anaŋ, aj oγlum, bẹgiŋkä özüŋ qïlma tẹŋ. [йосыф баласагуни]	ʔɑju bir mɛdimɪ ʔɑtɑŋ jɑʔɑnɑʁ ʔɑ jɔʁlɪm bigynkæ ʔøzɪn qɪlmɑtiŋ
aju, bẹr qan alsun aŋar ülgülüg. [йосыф баласагуни]	ɑju bɪ̞ɾqɑn ɑw sɯ̞näʁɑr bjɪlgjɪlʏ̞k
ajun	ɑjˈun
ajur	æjʊ̞r
ajva	ɢɑjva
ajïl	ajˈo
ajïl tartarmẹn	ʊ̞jʊ̞ɫtɑrtðɑr mæn
ajïl tarttum	ɑjɯ̞ɫtærðtʊ̞m
ajïlmaq	ʊ̞jʊ̞ɫmɑq
ajïq	ʁɑjɯ̞q
ajït ẹtmäk	æjˈɯz ɛtmɛk
ajïtmaq	ʊ̞jʊ̞dmɑq
ajïtγan	ojeðɢoɾn
ajïŋa	qɑjɯŋɑ
ajïγ	qɒjˈɒˈ
ajïγ qïlmaq	ʔɑjɯ̞q qɪ̞ɫmɑq
ajïγ qïlïnč küči	ɑjɯχ qɯ̞ɫɯ̞ntʃ kʏ̞tʲi
ajïγ qïlïnč küči artuqraq küčlüg ẹrmäs-mü?	jɑq qiɫntʃ kytʃi ɑɾtɔqrɑk kytʃlyk ʔirmæsmɪ
ajïγ qïlïnč qïlmaq	ɑjɯq qɯlɯ̞ntʃɪ qɯ̞ɫmɑq
ajïγlï	ʔɑjɯqlɑ
ajïγqa tavranmaq	ɑjɯ̞qqɑ tɑuɾänmɑq
ajïγqa tavranur ẹrmägü tïnlïγlar üküš, täŋrim. [türkische turfan-texte]	ʔɑjɯqqɑ tɑwɯrɑnur ʔirmɛgʁy tɑmɫɯʁlar ʔøkyʃ tɛŋrʲim
ajγučï	ojɣutʃe
ajγučïsï	χɑlʁutʃizsɯ
ajγïl	ɑjˈʁɯl
akmaz	akmaz
al	ɑl
al čüvit	ɑɫtʃʏwʲit
al čüvüt	ɑɫ tʃiːbimit
ala	ɑ̝ɫɑ
alam	ɑɫdɑm
alambana	ɑɫɑmbɑnɑ
alap	ɑɫɑp
alar	ɑɫɑr
alarmaq	ɑɫɑrmɑq
alart	ɑɫˈɑɾ
alartmaq	ɑɫɑrtmɑq
alavan	ɑɫɑβɑn
alaču	aɫatʃu
alačulanmaq	ɑɫätʃulɑnmɑq
alaŋ	hʊ̞ɫˈɑŋ
alaŋurmïš	äɫæŋurmɯ̞r
alaŋïr	ɑɫæŋɯ̞r
albal	ɑlbɑɫ
alban	ɑɫbɑn
alban jasaq	ɑwβɑn jɑsɑq
alban tutnaq	æɫpɑn tʊ̞tmɑq
alda	ɑldɑ
aldamaq	ɑɫdɑmɑq
aldum	ɑɫdum
alduz	ɑɫdʊz
alduzmaq	ɑɫdʊzmɑq
aldï	ɑɫdɑ
alma	ɑlma
almaq	ɑlmɑq
almïla	ɑlmɑllɑ
almïšïmqa	ɑlmɯ̞ʂɯ̞mqæ
alp	alp
alp tutuq	ɑˈɫɯp tʊtɔq
alp tẹgin	ɒltvʃiˈgin
alp ẹr	alp ɛɾ
alp ẹrdäm	a pɛrdɛm
alpal	alpɑl
alpaγut	alpoɣ̞ut̪
alq	ɑɫq̚
alqa	ɑɫqä
alqal	ɦalkɑl
alqalmaq	ɑɫqäɫmɑq
alqamaq	ɦɑɫkɑmak
alqan	ɑlkɑn
alqat	ɑɫqɑt
alqašmaq	ɑɫqɑʂmɑq
alqmaq	ɑltmɑq
alqu	auqu
alqu tïnlïγ oγlanï adasïz uluγ qutrulmaqqa tẹgsünlär. [uigurische sprachdenkmäler]	hɑlqutunqtɯlɯq ʔɔʁlɑrnɯ ʔazɑsus ʔulʁ quturuldmɑqqɑ teksemlɛr
alqu tïnlïγlarnïŋ baγlarïntïn ozγurdačï. [uigurische sprachdenkmäler]	aːlqo tɯmliʁlɑrmiŋ bɑʁlɑrɯn tɯn ʔizdɛp tʃi
alqu türlüg	aɫqʊ tːrlʏk
alqïn	ɑɫqɯ̞n
alqïnmaq	ɑɫqɯ̞nmäq
alqïnmaqsïz	ɑɫqɯnmɑqsɯz
alqïnmaqsïz tükämäksiz	ɑlqɯnmɑqsɯz tʏ̞kɛmæksiz
alqïs	ɑɫqɯz
alqïš	ɢɯ̞r
alqïšmaq	ɑlkɯ̞ʂmɑq
alsa	ɑlsɑ
alsamaq	ɑlsɑmɑq
alsïqmaq	ɑɫsɯ̞qmɑq
alta	ɑɫtɑ
altaγu	ɑltæɣʊ
altu	ɦɔɫtɔ
altun	ɑɫtʊn
altun arγu uluš	ɑɫtunarʁʊ̞ uɫʊ̞ʂ
altun jaruq	ɑɫtɯm jɑruq
altun jultuz	ɑɫt̪unʒuɫt̪oz
altun jïš	ɑɫtun jɯ̞rs
altun jïšda oluruŋ.	ɑɫtun jˈɯz dɑ ɑlɯrʊŋ
altun küzäč ẹrsär, ornaγlïγ idiš ol. [türkische turfan-texte]	ɑltun kyzɛ tʃɪrsær ornɑglɯʁ jedi ʃɔl
altun qara	ɑɫtun qɑɾɑ
altun qazuq	ɑltun qäzuq
altun qaγan	ɑɫtɔ nɑtɑgɑn
altun tamγan tarqan	ɑltum tamɢɑn tɑrqɑn
altun özük	ɑɫtʊn ɵzɪ̞k
altunlašmaq	ɑɫtɔnlɑʃmɑq
altunluγ	ltoːnlˈʊx
altunluγ bẹlbaγï	ɑɫtˈinluːq bel bɑˈʁˈɯ
altunluγ örgin	aːlt ondɔx ɵrɣiːn
altunluγ örgin üz	ɑɫtunlɯq ʏ̞rgimʏ̞z
altunluγ örgin üzä olurtï.	ɑɫtˈuŋluˈq ʏrgʲin ʏ̞zæ ʊ̞ʊ̞rtʊ̞
altunï	ɑltænä
altunčï	altuntʃa
altur	ɑɫtur
alturmaq	ɑɫtuɾmɑq
altï	ɑɫtɯ̞
altï atqanγular qamaγun öz qačïγda sanlïγïn öŋin öŋin tururlar.	altɑ ʔatʁɑnʁulɑr qɑmɑʁun ʔøz qɑtʃɯqdɑsɑnlɨʁin ʔøŋʲinɪŋ nen tuɾurɫɑr
altï baγ	altɑ bɑɣ
altï baγ bodunqa bẹg ẹrtim. [runic manuscripts]	ɑɫtɑ baq bɯ̞ðɯ̞nʊ̞nʊ̞nʊ̞n tɛjgɪ̞r tʲeem
altï jẹgirmi	ɑɫtɯjɯ gɯrmɛj
altï otuz jašïna.	ɑɫtɑwɯ̞ tʊ̞z jɑʂɯ̞nɑ
altï paramit	altɑ paɾamijt
altï qap jarašmazï	ɑɫtɯ̞ qɑp jɯ̞rɑʂmɑðʊ̞
altï qačïγ	ɑɫtɯ̞qɑ tʃɯ̞ʁ
altï qačïγlarnïŋ, altï atqanγularnïŋ ẹzüki igidi. [altun jaruq]	ɑltɑ qɑtʃɪʁlɑrniŋ ɑltɑ ʔɑtqɑnʁulɑrnɪŋ ʔizyklɪ ʔigiti
altïn	ɒltin
altïnqï	ɑltinqɯ̞
altïnč	ɑltøntʃ
altïr	ɑɫtɑr
altïrar	ɑɫtɯ̞rɫɑr
altïz	ɒltiz
altïzmaq	ɑltæzmɑq
aluq	ɑɫɯ̞q
aluq ẹr	æɫo qɯ̞jɯ̞r
alurmẹn	ɑɫɯ̞rmʲen
aluč	aɫˈutʃ
alučïn	ɒvutʃɒn
aluš	aɫuz
alvïr	ɑɫbˈɪr
alvïrmaq	ɑɫgɯ̞rmɑq
alïm	qɑɫˈɯ̞m
alïmlïγ	ɑɫɑmdʒɑq
alïmsïnmaq	ɑɫɯ̞mzɯ̞nbɑq
alïmčï	ɑɫɑmtʃɑ
alïmγa	ɑŋɑmʁɑ
alïn	ɫæn
alïn qaš čatmaq	aːlɯn qɑrʃ tʃatmaq
alïn qaš čïtmaq	ɑɫɯ̞n qæʂ tʃʊ̞tmɑq
alïn üzä jaqmaq	ɑɫɯ̞n jyzæ jɑqmɑq
alïnmaq	ɑɫɯ̞nmäq
alïp	ɑˈɫɯ̞p
alïq	ɑllɯ̞q
alïqmaq	ɑɫɯ̞rqmɑq
alïš	ɑlɑs
alïšmaq	ɑˈɫɯzmɑq
alïštum	alɑʃtɯ̞uɯ̞m
alïšturmaq	ɑɫɯ̞ʂtʊ̞rmɑq
alïšïrmẹn	bɒlɒʃɾˈmen
alïšγan	ɑwɑʃχɑn
alïšγïl	ɑɫɯ̞ʃkɯ̞ɫ
alïγ	ɑɫɯ̞χɯ̞
alïγsamaq	ɑɫɯ̞qsɑmɑq
alčaq	ɑɫtʃɑk
alım	ɑɫˈɯn
alγu	qɑlɢu
alγïl	ɑɫgɯl
alχat	ɑ̝ɫχɑt
alχu	ɣoχu
alχïn	ɑ̝ɫkɑn
amal	ɑmɑl
aman	ɑːmɑːn
aman bẹrdi ẹrkä sälam qïlγučï, sälamät bulundï ‘alajk alγučï. [йосыф баласагуни]	ʔɑmɑn birtɪ ʔirkɛ sælɛmʁɑlʁusʰɯ sɛlɛmɛt bolundɯ qɛlɛk ʔɑlʁuʃi
amanat	ɑmɑnɑt
amač	kɑːr
amačlamaq	ɑmɑtʃɯ̞ɫɑmɑq
amačlïq	ʊ̞mɑtʲʊ̞ɫʊ̞k
amaš	ɑmɑʃ
amran	ɐmɐrɐn
amranmaq	ɑmɯ̞rɑnmɑq
amraq	ɑmɾɑq
amraq isig	ɑmˈraˈqisik
amrta	ɑmʊrtä
amru	amɾo
amrul	amɾo
amrulmaq	ɑmruɫmɑq
amsaq	ɑmsɑq
amu	amo
amul	amɔɫ
amul bolmaq	ɑmɔɫ bʊ̞ɫmɑq
amurt	amʊrt
amurtmaq	amurtmɑq
amuč	ɑmˈut
amušmaq	amuzmɑq
amäl	amˈaːl
amïl	ɑmɯ̞ɫ
amïl bolmaq	ɑmɑɫ bʊ̞ɫmɑq
amïr	ɑmɑr
amšuγ	amʃuːx
an	ɾɒn
an bitig	anbitig
an qu	ɢɑnqu
ana	ɑnɑ
ana ata	ɑnɑ ɑtä
ana bala	ɑnɑ bala
anadïn nẹ tẹg toγdum ẹrsä bügün, anïŋ tẹg barïr mẹn jalïŋïn muŋun. [йосыф баласагуни]	ɑŋɑzɯn nek dek tuɫdɯm ʲisæbɪ̞ gʲɪn ɑnɯ̞ŋ tɪ̞k bɑrɯ̞r mʲen jɑɫɑŋɯ̞n muuŋɯ̞n
anadïn toγmaq	ənɑtɯ̞n tʊ̞ʁmɑq
anakam	ɑnɑkɑm
anala	ɑnɑɫæ
analamaq	ɑnɑlɑmɑq
anand	anand
anant	aːnɑnd
anar	ɑmɑr
anasï babasï	ɑnɑsɯz bɑbɑsɯz
anasï tẹvlüg: juvqa japar; oγïl tẹtik: qoša qapar.	ɑnɑsɯ̞ tɛβɫɪ̞k jʊ̞fqä jɑpɑr ʊ̞ʁʊ̞ɫ tætʲik qʊ̞ʂɑqa bɑɾ
anavam	ɑnɑvɑm
anač	əntʃ
anaŋ	ˈɔl
and	aːnˈd
anda	ɑmda
andam	ɑndɑm
andan	ˈaɪmdˈʌn
andan soŋ	anðɞŋ sɒng
andan soŋ üčagüsü taŋ sarïγa bardïlar.	ɑndaːsɯn ʏtʃe gʏsʏ tɑŋ sɑrɯ̞ʁɑ bɑrtɫɑr
andaza	anˈdɑza
andaγ	ɑndɑg
andaγ küčlüg mẹn. [runic manuscripts]	ɒndɒɾ kˈutʃluˈk meˈn
andïn	aːndiːn
andïqmaq	ɑnɯ̞qmɑq
andïγ	ɑnˈdɯk
andγarmaq	hɑŋzʁärmɑq
anlaju	ɑnɯdlɑrʒu
anlar	ɾaːmɯlaɾ
ant	ant
anta	ɑntɑ
anta munta	antɑmʊːɑnː
antada	ɑntɑda
antaq	ɑntɑq
antata	ɑntɑtɑ
antaγ	ɑ̃nˈtɑːg
antra	entrɑ
antra ötrü	antˈra ˈɛtrʊ
antsu	aˈnsu
anu	anu
anumaq	anummaq
anumï	ɑnɯmɑ
anun	anon
anunmaq	ɑnɯnmɑq
anunγu	enˈɔ̃go
anunγu pusuγčï ölümkä tükäl. [йосыф баласагуни]	ɑŋɔŋɔgɔ pʊsʊʁ tʃe ʔylym kɛtɔkɛl
anupadat	anowpadato
anuq	anok
anuq tut	a noktot
anuqla	ɑnɯ̞qɫɑ
anuqlamaq	ɑnɯ̞ɫqɫämɑq
anuqluq	ɑnɑqluq
anuqun	anɑqɑn
anurat	aːnuːrɑt
anurd	anʊɾd
anut	aot
anutmaq	anʁɑtmɑq
anutul	anotuɾ
anutγan	æniːftuɢaːn
anvam	anvam
anvant	aːnvˈant
anï	oɫˈla
anï jẹtip süŋülädi, bašïn jandru jaŋïladï. [мәхмүд кашгарый]	ɑnɯ̞n jɪ̞tjɪ̞p sʏ̞ŋjɪlɛrðʲi bɑʂɯ̞n jɑndrʊ̞ jɑŋɯ̞ɫɑdɯ̞
anï qan küčämiš bolur bẹlgülüg. [йосыф баласагуни]	ɑnɑqɑn køtʃæmɪ̞ʃ bɑɫɯ̞rɯ̞ bɪ̞ɫgʲɪlʲɪk
anï üčün	ɑnɑy tyn
anï üčün mẹni qapïp ẹltdi.	ɑnɑ ytʃyn meni qɑpɯp ʔelttɯ
anïn	ɑnɑn
anïŋ	ɑŋɑŋ
anïŋ baχšïšïndïn bulut uvtanïr. [әхмәд йүгнәки]	ɑnɯ̞ŋ bɑχʂɯ̞ ʂʊ̞ndɯ̞n bɫʊ̞t uɫtɑnɯ̞r
anïŋ köni qurïdï. [мәхмүд кашгарый]	ɑŋɯn kønɨmɪj qoɾuldɑ
anïŋ oqšaγï joq azu mẹŋzägi, nẹtäglikkä jẹtmäz ḥalâjïq ögi. [йосыф баласагуни]	ɑnɯ̞ŋ ʔoχʃɑjɯ̞ jok ʔɑzu mʲen zægʲi nʲetæglɪ̞kːæ ɪ̞j tmɛs hæɫɑjɯ̞q ʔøgɪ̞j
anïŋsïz orun joq bütün bol muŋar. [йосыф баласагуни]	ɑŋɯŋsɯz ɑrum jɔq betyn bɔɫmuŋɑr
anča	aɴtʃa
ančulaju	ɑnʧɑʊɑjʊ
ančulamaq	ɑnʲtʲiwɑmɑq
ap	up
ap jẹmä	ɑp dʒɪmæ
apa	apa
apa tarqan	əpatərqan
apam	apom
apamu	apamo
aplan	ɑpɯ̞ɫɑn
apranamaq	əpɾlamɑt
apsmar	æpsmɑr
aq	aq
aq saj	aqsɑʒ
aq saqal	ɑq sɑqɑɫ
aq saqalluγ	ɑqsɑq ɑɫdɔɫχ
aq tẹrmäl	ɑq tɪrmæl
aq tẹräk	ɑq tɪ̞rɛk
aqa	ɑqɑ
aqa ini	ʔaqqɑ ʔinˈni
aql	ɑqɯ̞ɫ
aqla	ɑqɫɑ
aqlïšmaq	ɑqɫɑʃmɑq
aqmaq	ɑqmaq
aqor	ɑqɑɾ
aqru	aqru
aqru aqru	aqrɔaqrɔ
aqru aqru maŋïn jorïštïlar.	äqɾuɫäqɾuː mɑŋɯ̞ŋ jʊ̞rʊ̞ʂtʊ̞ɫɑr
aqrun	aqɾuːn
aqturmaq	ɑqtʊ̞rmɑq
aqur	ɑqɫɯ̞r
aquru	aqru
aquru aquru	aqɔrɔ aqɔrɔ
aquru-qïja	ɑqɾuːqjɑ
aqï	qqɯ̞
aqïjajaq	ɢɑqjɑjɑq
aqïlamaq	ɑqɯ̞ɫɑmɑq
aqïlmaq	ɑqɯ̞ɫmɑq
aqïlïq	ʊ̞qɯ̞ɫɯ̞q
