abhidhamma	əbd̪ʱm
ākaḍḍhati	əːkəɖʰt̪iː
ākaṅkhati	ɑːkəɑt̪iː
ākāsa	akasa
ākhu	ˈako
āloka	aloka
āmanteti	amenteti
āmasati	aːmasˤtˤiː
āneti	aːnʱt̪iː
āpaṇa	aːpəɳ
ārabhati	ɑːɾɑːbʱɑt̪eː
āroceti	aːroːtʃɛtʃi
āruhati	ɑːruɦʰt̪iː
āsana	aːsɑnɑ
āsiñcati	ɑːsintʃɑːt̪iː
āvahati	ɑːvɑhtʰiː
āvāṭa	aːvaːʈə
aṅgulimāla	ʔaŋulmaːla
aṅguttaranikāya	aŋgotaɾanikaɪa
aṇḍaja	aɳdaadʒa
aṭavi	əʈːəj
aṭṭha	akta
aṭṭhakathā	ət̪ʰəkət̪aː
aṭṭhakavagga	ʈːakːaːkːda
aṭṭhamaka	ɑːt̪ʰəməkə
bahiddhā	bɦd̪ʐɑː
bahu	bɦu
balavantu	balˈɑβanˈtˈu
balī	baliː
bandhati	bən̪d̪ʱt̪iː
bandhu	bəɳɖɦʊ
bhadanta	batanta
bhagavato	bʱaɣʊʋatʊ
bhagavā	bʱɔːgəvˈɑ
bhagavā	naːw˧kav˧aː˧
bhaginī	d̪ʱaːgɳiː
bhajati	bˈʒɑtʃi
bhante	bʱaɳt̪eʋ
bhañjati	bʱɳɖʃət̪iː
bhaṇḍa	d̪ɐ̃n̪ɖɐ
bhariyā	ɓʱɾiːɑː
bhatta	bata
bhattu	batu
bhavati	bʱoːat̪i
bhavaṅga	bʱɑlɑŋgɑl
bhānumā	bʱaːnumäː
bhāsati	bʱɑːsɐt̪iː
bhātu	bʱaːtuː
bhāyati	bʱɑːiːət̪iː
bhikkhu	vˈikːʊ
bhikkhuni	bʱɪkːuːniː
bhikku	pikːu
bhindati	ɖʱɪnd̪t̪iː
bhojana	bʱoˑdʑanaː
bhojanīya	bʱoːɾgɛniːɛ
bhuñjati	bʱoːɳdʑəiː
bhuñjanti	bʊ̃ːɳgənt̪iː
bhūmi	bʱoːnˈiː
bhūpati	bʱoːpʰt̪iː
bhūpāla	bʱuːpaːlə
bhāvanā	pɑːvɑːnˈaː
bhūpati	bʱoːpət̪iː
bīja	bizɛ
bodhi	poti
bodhisatta	pɾoːd̪ʱiːsɐt̪t̪aː
bodhiññāṇa	boːd̪ʱiːn̪nɾə
bojjhaṅga	bʊdʒʰɑŋga
brahma	brahmɑ
brahmacariyā	ʋɾʱmʊ̃ːɑːɾiːɑː
brahmavaṃso	bɾahməwŋsɔl
brāhmaṇa	bːraːɦməɳ
brāhmaṇī	bʱɑːmɐnˈiː
brāhmaṇa	ɾaːhmn
buddha	bud̪ːa
buddhacarita	ʋʊd̪ʱːatʃɐɾiːt̪ə
buddhadatta thera	buð̞d̪ʱð̞at̪ːa t̪eɾa
buddhaghosa	butakɔvˈsə
buddhavaṃsa	bud̪dʑowampɑ
buddhaṃ saraṇaṃ gacchāmi	bud̪ʱsərəɳ aːngətʃʰaːme
buddhi	bʊt̪ːʰiː
buddhānussati	pʊd̪ʱaːnʊst̪iː
ca	tʃa
cakkhu	tʃak
campā	tɕampa˥˧
canda	tʃɑndɑ
caṇḍāla	tɕɛndaːlɛ
carati	t̪ʃaɾaːt̪iː
caraṇa	tʃarɑɳaː
cariyāpiṭaka	tʃɾiːɑːpʈkə
cattāri ariyasaccāni	tʃt̪aːriː ariʝa sɐtʃɑnʲiː
cattāro	tʃatːarʊ
cavati	tʃaːt˦a˥
caṅkama	tʃaːmaː
caṅki	tʃɑŋki
cetanā	tʃɪt̪ɑnɑː
cha	tɕja
chaḍḍeti	tʃɐt̪t̪eːt̪i
chādeti	tɕʰaːdeːdiː
chāyā	tsʰa˥˥ja˨˦
chindati	tɕʰiːmdʒɔːɹiː
cintayiṃsu	tɕintɛjinsu
cinteti	tʃinteti
citta	t̪ɕit̪a
cīvara	tˈivra
cora	tʃoɾa
coreti	t̪oːɾeːti
cullavagga	tʃʊlːwaħːa
cumbati	tʃuᵐbt̪i
cātumahārājika	tʃaːtʊmmaːɦarɑːtʃka
dabbhapuppha jātaka	dbʱpʰaːtʃaːtaka
dadāti	dadati
daddabha jātaka	ɖəd̪ɖə bʱaːdʒaːt̪kɑː
daddu	dadˈu
dadhi	ɖəd̪ʱiː
dakkha	dˈakːə
damma	dumˈma
dasa	d̪asːa
dassati	dastˈti
dāna	dɑːnɑː
dāraka	dˈaːraka
dāru	daːruː
dāsa	daːsa
dātu	datu
dāṭhī	daːɖiː
daṭṭhabba	datˈʌbˈba
deseti	deːseːti
deti	dɛti
deva	dˈeɪvɐ
devadatta	ˈdeɪvɑˈdɑtˈtɑ
devamanussānaṃ	eːʋamanusaːn̪ɐ
devatā	deːvataː
devi	a
dhamma	dɦumma
dhammacakkappavattana	d̪ʱamatʃakːapːʋt̪t̪ənaː
dhammacārī	ɖʱməmatʃaːɾiː
dhammapada	dhmˈmaːpad˪aː
dhammapāla	d̪ʱmtaːla
dhammasaṅgaṇī	d̪ʱə̃ːəmːsəŋgɐniː
dhammavinaya	dmaːvnjaː
dhammaṃ saraṇaṃ gacchāmi	d̪ʱmːaː saːraːnaːŋgaːtʃaːmi
dhammena	d̪emena
dhammo have rakkhati dhammacāriṃ	dʱɐmːoː haʋe ɾɐkʰt̪iː d̪ʱɐmːəːtʃɑːrim
dhana	d̪ʱana
dhanu	d̪ʱənuː
dhañña	dˈɐnja
dhātu	d̪ʱaːtuː
dhāvati	ɖʱaːvət̪iː
dhenu	gẽːnum
dhītu	d̪iːtuː
dhīvara	dˈivara
dhovati	dɦɔɔtʃaː
dhutaṅga	d̪ʱʊtʃaŋaː
dhāraṇī	ɖʰaːrɐɳiː
dhātukathā	d̪ʱaːtoːkət̪ʰäː
divyāvadāna	ˈdivjaːvðana
dīghajīvī	ð̞iːgdʒiːviː
dīpa	ˈdepa
dīpī	dpiː
diṭṭhi	dˈɪtˈhˈi
doṇi	dˈoːni
dosa	dou̯sa
dubbala	dupˈbala
duggati	duːgːati
duhati	duɣutˈiv
duhitu	doçitːu
dukkha	dukːə
dukkhaṃ	tukˈan
dussa	dusa
dūseti	duːseːsiː
dūta	dʊta
dvāra	dvara
dvi	dvˈi
dvādasa	d̪oaːt̪asɤ
dvādasahi	ɖʋɑːdsˤiː
dvādasākāra	dvaːdɛsaːkaˈra
dāna	bɑnɑ
dāyaka	daːjaka
dīghanikāya	diːgɐniːkaːjaː
dīghaṃ	deːgʱɐm
dīpavaṃsa	diːpazanˈsa
ḍasati	dɑsɑt̪i
ehipassiko	ahipasjkou
eka	ˈeːkɐ
ekāyana-magga	iːkɑːiːnæmɬgː
etaṃ maṅgalamuttamaṃ	eːt̪a mŋgəl ʋt̪ːumaŋ
evaṃ	evan
evaṃ me sutaṃ	ævæmˈ meː sʌtˈam
gacchati	gɐtʃɐtiː
gahapati	gɦpət̪iː
gantu	gɐntu
gaṅgā	gɐŋˈgaː
gaṇhāti	gʱɳɦaːt̪iː
garu	gəru
garudhamma	gəɾud̪ʱəmːə
gāma	gama
gāvī	gavi
gāyati	gaːjjɛti
geha	gˈeʁɐ
ghara	gʱɾɐ
ghaṭa	gʱʈ
gilāna	gɪlaːna
giri	dʒiːɾiː
gīta	gitˈa
gīvā	ɟiva
goṇa	gona
gotama	kˈɔtˈeɾmə
gottarabhū	gotːt̪rbɦoː
guhā	goʊˈʃaː
guṇavantu	gʊnabəntu
gāthā	tɑːθˈtˈɑ
hadaya	ɦadɒja
hanati	ɑnɑti
harati	haraːti
hasati	həsɛtiː
hattha	hatːa
hatthī	atːiː
himavantu	imˈkˈimentˈəl
hirikopīna	iɾikoːˌpiːnɑ
hīnayāna	hiːnjaːnɑ
icchati	it̪ʃat̪iː
iddhi	iti
isi	aiʃe
iti	iti
itivuttaka	ɪtiːvut̪taka
itthi	giːt̪t̪iː
jala	dʒala
jalābuja	gɑlɑːnpoːgə
jambu-khādaka jātaka	gəmboː kʰaːt kaːdʒaːt kaː
janapada	dʒaːnapadak
jaṇṇu	dʒanːu
jarāmaraṇa	dʒɾaːmɾna
javasakuṇa jātaka	dʒʋəs koɳə dʒaːt̪qaː
jāleti	dʒɑːliːtiː
jānāti	dʒɑːnɑːt̪iː
jāta	dʒata
jetu	dʒeːˈtu
jetā	dʒeːtaː
jeṭṭhā	dʒɛtːʰa
jhāna	dʒɑnə
jināti	dʒinati
jivhā	dʒivˈʁaː
jivhā	dʒu˨˩ha˥˥
jīvati	dʒivati
jātaka	xatˈaka
jāti	dʒɑːt̪iː
jīvaka	dʒiːvækæ
kacchapa jātaka	kə ˈtʃʰe pə aːtka
kaccānagotta	katːʃaːnagɔtːa
kadalī	qɑdˈliː
kadā	kada
kadāci	kadatsʲi
kakaca	kakˈaːt˦a
kalyāna	kaliːana
kalyāṇamitta	kəljaːɳmɪtːɐ
kamma	kamˈma
kamma-vipāka	kɐmˈmavɪpaːka
kaññā	kaɲːa
kaṇeru	kəɳeːluː
kapi	kapj
kapilavatthu	kpʰilvot̪t̪ʰu
karahaci	kɾɑhtʃiː
karī	kɐriː
karoti	kɾoːt̪i
karuṇā	kɐɾuːnɐ
kasati	asati
kasmā	kɑsma
kathaṃ	kət̪hʌŋ
kathā	kɔt̪ʰäː
katheti	kat˦e˥˩ti
kathāvatthu	kətʰɑːvətˈtuː
kattha	kat̪ʰaː
kattikā	katːikaa
kattu	katːu
kaṭacchu	kɐt̪ːət̪ːtsʰuː
kavi	kavji
kañña	kaɲːe
kaññā	ka˥˥nja˧˧
kāka	kˈaka
kāruṇika	karɾuɳika
kāsu	kasow
kāya	kaja
kaṭhina	kɑtʰiːnɑː
kesaṃ	keːsən
ketu	keto
khagga	kagːa
khaggavisāṇa-sutta	kʰɑgɑvisaːɳasɤtːa
khandha	ka˥˥
khandhaka	kʰandkəː
khantī	kantiː
khaṇati	kʰaːɳaːtiː
khaṇḍa	kˈanda
khādanīya	kˌɐdˈaɲˈɐ
khādati	kaːdɐti
khetta	kʰetːa
khipati	kipɐtˈi
khippaṃ	kip˦pŋ˨˩
khīra	tʃiːɾɐ
khudā	kuda
khuddakanikāya	kudtaːkaːnikaɪa
khuddakapāṭha	xuddkpaːʈʰa
khujjuttarā	kʰutʒudˈdˈra
kilañjā	kandʒaː
kilesa	kalesa
kiṇāti	kɳɑːt̪ɪ
kiñci	kintʃi
kīḷati	tiːlati
ko	tɨ
koliyā	kʊliːaː
kopīna	koːpiːnˈɐ
kosala	kɔːsɑlɑː
kucchi	kutʃi
kuhiṃ	kɔɦiːm
kujjhati	kʊdʒʰt̪iː
kukkura	kˈukˈʊra
kukkuṭa jātaka	kʊːːkʊːʈaːtɐkɐ
kulavantu	kolaβ̞ẽn̪t̪t̪w
kumāra	kumɐɾɐ
kumārī	kumɑːriː
kumbhaṇḍa	kumbʱɑɳɖäː
kumārajīva	kʊmɑːrdʒiːwa
kusala	kɒsˈaːlə
kusuma	kusum
kuto	kutuu
kutra	kutra
kuṭṭhī	kʊt̪ːʰiː˨
kāma	tɐmaː
kāma-loka	tˈaɾmluːkˈɛ
kāmasugati bhūmi	kama si gati bo˥˩ːmi˥˩
kāra	kˈaɾɐ
kārī	kɑːriː
kāya	taja
kāyagatāsati	kaːjaːgt̪aːst̪iː
labhati	ləbʱɑt̪iː
latā	nata
lābha	lɑːbɦeː
likhati	nɪkːʰt̪iː
locana	lotʃana
loka	loka
lokavidū	loːkʋiduː
luddaka	nˈot̪dˈak
maccha	matsʲa
madhu	məd̪ʱu
madhukara	md̪ʱʰoːkɐɾäː
magadha	məgd̪ʱe
magadhabhāsā	mˈʌgdʒʌbˈʌˈsˈɑ
magga	mʊ̞gːa
mahābhūta	mʰɑːbʱuːt̪t̪
mahābodhi	mʰɑːbʊd̪ʱiː
mahāghosānanda	mahaːgoːsɑnɑndɑ
mahānāma	mʰɑhɑːnɑːmɑ
mahāpurisa	mahapʊɾiːsɑ
mahāsatipaṭṭhāna sutta	mɑhɑːsat pətʰɑːn sɤtːa
mahāsāṃghika	mɑhɑːsɑːŋgʊkə
mahāvagga	mahawːagka
mahāvaṃsa	mahɑvŋsɑ
mahāvihāra	mjháːvjhɑːra
majjhimanikāya	mːədʒʰiːmənːɪkɑjɑ
majjhimā	mattʃɪmaː
makkaṭa	mːɐkːʈə
mallikā	məlɭqaː
mama	mama
manopubbaṅgamā dhammā	mənʊ pʊbŋgəmaː d̪ʱəmmaː
manta	mãn̪t̪a
manteti	manteti
mantī	manti
manussa	manuʃa
mañca	mɐnˈtɕə
mañjūsā	mandʒusaː
maṇi	mani
maraṇa	mʊɾɑːnə
mattaññū	matːanːjɔ
mayaṃ	ma˥˩˦jɛn˥˩
mayhaṃ	majˈam
maññati	mæntˤiː
mā	ma
māgadhī	mɑːgd̪ʱiː
mālā	mala
māpeti	mapeti
māra	maːra
māreti	mˈɑːrɛːtɪ
mātu	mato
mātula	matala
mettā	meta
mettā	meta
micchā-sati	mɪtʃʰäːsɐtiː
miga	nˈigˈa
milinda pañha	mːɛlːɪndːadʒn
mināti	minati
mitta	nitːɑ
modaka	mɔtaka
modati	mortati
moha	moha
mokkha	moka
muditā	mʊdʲita
mukha	mukˈa
muni	un
muñcati	muntsʃatʃi
muṭṭhi	mutti
mūla	mulˈa
muṇika jātaka	monika xˈatˈaka
māgasira	maːgʊsʃɪrɑː
māgha	maːgɦ
mātula	maːtola
mūla	mula
na	na
naccati	natsʃati
nadī	nad̪i
nagara	nˈoːgərˈɑ
nahāyati	nɦaːjatiː
namassati	nˈɑmɑsˈti
nara	nˈaɾə
naraka	nˈaɾaka
nava	naβ̞a
nayana	næjena
nāḷi	naaɾli
nānā	nana
nārī	nˈaɾi
nāseti	nasejti
nāvā	nava
nāvika	naːvika
neti	ne
nettipakaraṇa	nˈtipːkːɐɾɐnˈ
netu	nɛtu
nibbindati	nɪbːɪndatiː
nibbāna	nɛbɑnɑ
niddesa	nidesa
nikkhamati	nikːamˈaːtˈi
nikkhipati	niʃːipɔt̪i
nikāya	nɪkaja
nilīyati	njliata
nimanteti	dʒimanteti
nimitta	nimistˈta
niraya	nɪˈɾajɑ
nirodha	nɾoːd̪ʱaː
nisidati	nis̺id̪at̪i
nivāreti	nɪzɑrɛti
nivāsa	nivˈasa
nīhareti	niːɦɾeːt̪iː
nālandā	naːlən˧˥taː˧˧
nīvaraṇa	niːʋeːɾ
obhāseti	ɔbʱɑːsɛt̪iːmɑː
ocināti	oːtʃiːnɑːti
odana	oðɑnɑ
ojavantu	ʊdʒɐbɐntuː
okāsa	aˈwkˈasɐ
oloketi	olaketi
opapatika	opəpˈˈika
oruhati	ʊɾʊɦt̪iː
otarati	oːt̪aɾːti
ovadati	kɔmʋatati
ovaraka	oɫoɾaka
ovāda	ovada
oḷārika	oɾaɾjka
pabbajati	tɾabbaðʒat̪e
pabbajjā	bəˈdʒa
pabbata	paːbbaˈta
pabhāte	pəbɦäːt̪ʰeː
pabhū	tapɦu
pacati	pat̪zat̪i
paccavekkhati	patʃaːʋegɑt̪iː
paduma	pˈatʊmɑ
paharati	pɦɾət̪iː
pahiṇāti	pəɦɪnəäːt̪iː
pahūta	pɐɦutˈɐ
pajahati	pədʒəɦtiː
pakkhipati	pəkːtʃiːpətːiː
pakkhī	takˈi
pakkosati	təkˈgosətˈi
palobheti	plobʱt̪i
pana	nˈe
pañha	pɐɲːɐ
pañjara	pan˩˥ːana˥˩˦
paññā	panʲa
paṇḍita	pəɳɖit̪ə
paṇṇa	panna
papañca	pɐpˈɐntʃa
pappoti	papiti
parājeti	pəˈrɑːgɛt̪iː
parikathā	peːɾiːkɐt̪t̪ʰɑːiː
parinibbāna	pariːnipana
parisā	bəɾˈisa
parivajjeti	prʲivadʑetʲi
parivāreti	fəˈriːuaːɑːɾeːt̪iː
parivāra	ʔuːaːrɑ
pariyesati	pəɪeːs̪t̪iː
pariññā	mʲets̺
pasenadi	pəsənədi
pasīdati	pasiːd̪et̪i
passati	pˈasztʃtˈi
pasu	pɐsˈu
patati	patati
pati	pat̪i
patimokkha	patimokːa
patta	patːa
patthanā	pot̪naː
pattharati	pət̪ʰaɾt̪iː
pattheti	pəd̪ʰeːtiː
paṭicchādeti	pəʈiːt̪ɕʰɑːɖɛɪt̪iː
paṭiyādeti	pəɖɪɑːɖeːt̪iː
pavatteti	poɔteːti
pavattu	tɑbatu
pavisati	pabisɐtˈi
pañca	pɐntɕa
pañha	paːnˈhɛ
paññā	panʝa
paññā-vimutto	paɲaːvɨmotuː
pāda	padɐ
pājeti	paːzɛt̪iː
pāleti	palitie
pānīya	pa˥˥nja˥˩
pāṇi	pɑːniː
pāṇī	pəɦniː
pāpa	pˈata
pāpuṇāti	taːpɔnaːnˈti
pāsāda	pɐsˈadɐ
pāsāṇa	pɑsaːnə
pāteti	pateti
paṇīta	pniːtə
paṇḍita	pəɳɖit̪aː
paṇṇāsaka	pnːɑːɑːsɐkə
paṭighāta	pəʈigɦɑt̪aː
paṭipadā	pɐtipːdaː
paṭipatti	pəɾiːpət̪ːiː
paṭisambhidāmagga	pəʈisəmbʱdaːmagɣ
paṭisaṅkhāti	pəɾiːsənkʰɑːtiː
paṭisevati	pət̪ːɪ̯ʃevɐt̪ːi
paṭivedha	pəɾeːʋeːd̪ʱaː
paṭṭhāna	pət̪ʰɑːnə
peseti	tese
petavatthu	peːt̪ʋət̪ː
peṭakopadesa	peːʈkoˈpɑːd̪eːs̪
phagguṇa	pʊgɔna
phala	tɑlɑ
pharasu	pɐɾɐsɨw
phassa	passa
phusati	fuʃɑtˈtiː
phussa	pusa
pi	tqi
pipāsā	tipasaa
pipāsita	pipasɪta
pitu	pitu
piṭaka	itˈaka
pivati	dʒuɣati
piyadassī	piaˈdˈeˈ
piyāyati	pliːjajti
pīḷeti	pileti
piṇḍapāta	bɪndɐbaːtːɐ
pokkharaṇī	toːkˈærəɳiː
poseti	tosɛti
potthaka	pʊ̞tːʊ̞kɑ
poṭṭhapāda	plʈʰpɑːdʒa
pubbaka	kubːɑkɑ
pucchati	pʊtʃʰtʰiː
puggalapaññatti	puglalapãn̪jɐt̪i
puna	kuna
puñña	pˈˈuniɐ
puppha	tʊpːa
pupphāsana	puːstsˈɑnˈɑ
purisa	pʊˈɾiːsæ
purisadamma	pʊˈrɪsadama
purisadammasārathī	parisədammasaːratʰe
purāṇa	pʊˈrɑːɳa
puthujjana	pʊt̪ːuʈʂanɑ
putta	tutːa
puttadāra	pˌutːɐdˈaɾɐ
puñña	pˈˈuniɐ
pūjeti	pʊɟʰɛtʰiː
pūreti	puret̪i
pāda	paːdə
pāpa	pɑpa
pārāyanavagga	paːɾaːjənʋg
pāḷi	paːɻeː
pāṭaliputtā	paːʈlipuɪt̪ːaː
rajaka	rəːtɕəkə
rajju	ʒˈˈatˈtˈə
rakkhati	ɾakːʰtiː
rasa	ʒʌsɑ
rasmi	dʒˈʌstmˈi
ratana	ɾatana
ratha	rˈɑtˈtˈɑ
ratti	zatːi
ravi	ɾəʋiː
rājinī	raːdʒiniː
rāsi	dʒaːsiː
rittaka	viːtːaka
rodati	roːˈdati
ropeti	ropeti
rukkha	rukːa
rukkhamūla	ruːkɑmˈulˈa
rūpa	lvupˈa
rāja	ɾaːdʒa
rājagaha	ɾɑːdʒgɦɑː
rājinī	ɾaːdʒniː
rūpa-jhāna	roːpədʒɑːnə
sabaññū	sabʔaɲiu
sabba	sab
sabbe saṅkhārā aniccā, sabbe saṅkhārā dukkhā.	sɐɓɛsŋkaːraː ɐnitɕaː sɐɓɛsŋkaːraː dʊkːaː
sabhā	sɑbˈhɑː
sacca	satːʃa
saccaka	satːʃaːka
sacchikaroti	sətʃkʰɾoːt̪iː
sace	satʃe
sadda	sadda
saddhamma	sdʒma
saddhā	sdʱaː
saddhiṃ	sɐd̪ʱiːŋ
sagga	sagːa
saha	sɑhɑ
sahāya	sjˈaɪə
sahāyaka	sɑhɑːjkə
sakala	sakala
sakaṭa	sakːɐtːɐ
sakhī	sakˈriː
sakkoti	sakoti
sakuṇa	sekundɔ
sakyapuṅgavo	sakʲapungabɔ
sallapati	salləpaːtiː
samaṇa	zˈmɾˈɳ
samassāseti	samaːsɑːseːeːt̪iː
samatha	ʃɐmˈtaː
samijjhati	saːmɪdʑʰt̪iː
sammajjanī	sɐmːədʒɐniː
sammajjati	smmt̪jɑt̪j
sammappaññā	saˈmaːpaˈɲa
sammā	sɑmɫɑ
sammisseti	samizsˈeti
sammā diṭṭhi	smaː d̪ɪt̪ʰiː
sammā kammanta	sˈɑmɑː kəntmˈɑnˈtə
sammā saṅkappa	smaː saːnkapːa
sammā vācā	sˈɑmɑ vˈɑtʃɑ
sammā vāyāma	smaː dʒmaː
sammā ājīva	samaːh ɑːgiva
sammā-samādhi	smaːsmaːdi
sammā-sati	sˈæmˈhˈɑsˈeɪti
sammā-saṅkappa	smaːsnpɑ
sammā-vācā	smɑvɑːgʈʰaː
sammā-ājīva	smaːʔadʒiva
sammāsambuddho	sammaːsambud̪ʱo
sampanna	sˈæmpəˈnɑh
samphassa	saːmpasa
samudda	saˈmuta
samādhi	smɑːdi
saṃharati	sɐ̃ŋɦɐɾt̪iː
sannipatati	sanipatati
saṅgaha	sngɦ
saṅghaṃ saraṇaṃ gacchāmi	sãŋgʰɛ̀ŋsǎɾaːnɑːn˧gɑʔtɕʰâːmɪ
sappa	sapˈtˤaː
sappi	sɐt̪ʰiː
sappurisa	sappuɾiːsa
sara	sara
saraṇa	sarena
sassu	satstso
sata	sata
sati	saːˈtiː
satipaṭṭhāna	sat̪ipaɕaːnɑ
satipaṭṭhāna sutta	st̪iː pət̪ʰaːn sot̪a
satta	satːa
satthi	sɐt̪ʰiː
satthu	sfʁ
sattu	apto
sayambhū	sɐjəmbuː
sayati	sajəti
saññā	sannja
sādiyati	sɑːd̪iatːiː
sākhā	sɑːkɑː
sālā	sɑlɑ
sāmī	sami
sārathī	saːraːteː
sāṭaka	saːrtɐkːaː
sāvaka	sɑːvɑkɑ
saṃsedaja	saŋˈseːdɑdʑa
saṃsāra	sæmzæɾɑ
saṃyuttanikāya	saŋjɛtːɔnˈikaɪa
saṅgha	sɑŋgɑː
saṅkhāra	tsaŋˈkʰɑːɾɑ
setu	se˥˩tu˥˩
seṭṭhi	sɪtˈi
sibbati	sipˈbˈaθi
siddhattha gotama	ɐst̪ʱɐt̪t̪ʰgɔːt̪mɐ
siddhi	sɪdˈdˈʁi
sigāla	sjgɑlɑ
sikhī	sˈɛki
sikkhamānā	sikːamana
sindhu	sintu
sippa	sipːˈa
sira	sˈiɾɑ
sissa	sˈitsˈa
sīghaṃ	zˈiːkən
sīha	sˈihˈɚ
sīla	sˈilˈa
sīsa	sˈiʃɚ
so	sɔː
soṇa	saːnɐ
sopāna	sʊoːpaːnɛ
sota	sɔˈta
sotu	sotu
sugata	sugata
sugati	sugati
sugato	sugato
suka	suka
sukhaṃ	sˈukhˈŋ
sukhī	sogˈliː
sukhāvatī	sʊkʰɑːʋt̪iː
sunakha	sunˈakːa
sunakkhatta	seynəkkɑtˈtɑ
suññatā	sʊnjɛtːaː
suṇāti	sonati
sura	sˈudə
surā	sˈura
suriya	sulɪa
susu	suzu
suttanipāta	sutːapɑːta
suttapiṭaka	sutːapitaka
suva	tʃuva
suvaṇṇa	sʊʋɐɳːnɑː
suvaṇṇahaṃsa jātaka	suʋɳː nːə ɦəŋ sɐdʒɑːt̪ɐkə
suvisuddha	sʊiːsʊd̪ʱːɐ
suññatā	suɲtäː
sūkara	sˈukɾˈa
suṇāti	sʊːnɑːti
sāmaññaphala sutta	saːmaːn jɑ pʰla sɤtːa
sāmaṇera	saːmnɛra
sāmaṇerī	saːmaːnɛlɛɾɛ
sārathi	sɑːɾtʰiː
sāriputta	sˤaːriːpːutːa
sāsana	sˈɑːsənˈɑ
sāvana	savana
sāvatthī	sabati
sīhacamma jātaka	siːɦ tʃmːʒɑːt̪q
sīla	sila
sīlabbata	siːlabatˈa
sīma	sima
tadā	dada
taṇḍula	tandula
tarati	t̪aɾat̪i
taru	tɑruː
taruṇi	təˈrʊnəi
tasmā	tasmaː
tathā	tatʃa
tathāgata	t̪at̪ʰaːgɐtaː
tathāgata	tɐtˈʰaːgtɐ
tato	tato
tatra	tatra
tattha	tɑtˈtɑ
tayo	dajo
tāpasa	taːpasa
tāva	tˌɐvɐ
taṃ	dæm
taṇhā	tɐɾɳaː
tela	tea
thaketi	tʰɐkɛːtjː
thera	tɪɾa
theragāthā	t̪ʰəɾɣɑːt̪ʰaː
theravāda	tˈɛɹɪvərdˈɛɹ
therīgāthā	t̪eɾiɣ̞at̪t̪a
thūpa	tʃoːpə
ti	ti
tilakkhaṇa	t̪iːlaxna
tiṇa	t̪iɾa
tiparivaṭṭa	t̪iːpəɾiːʋʈːa
tipiṭaka	t̪ipit̪akaː
