(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
abantzamendu	avantsamẽn̪t̪d̪u
abantzatu	aˈβanθat̪u
abantzu	avantsu
abao	avau
abar	aβ̞aɾ
abaraska	abaɾaska
abaritz	abaɾit̪s
abarka	laβ̞aɾka
abarkadun	labaɾkad̪wn
abarkagile	aɾkenie
abarketa	abɾaketa
abaro	aβ̞aɾo
abaro egin	abaɾʊ eɣ̞ĩn
abaro egon	abaɾ a oiɣ̞on
abarrakitu	aβ̞araakellu
abarrikatu	aβ̞aɾɾikat̪w
abarrots	aβ̞aɾɾot̪s
abatz	abatˈs
abdikatu	abdikadu
abdomen	abzˈomən
abduktore	alumtuktore
abdukzio	kustʃoŋ
abegi	aːbeɣːi
abegia	abeɣ̞wja
abegikor	abeɣikoɾ
abegitsu	abeɣ̞itʃu
abeilanaketa	aβ̞e̞hʎemakest̪a
abeilanatu	labeʝanat̪u
abeilanatzaile	abeiẽn̪ẽn̪ts̺ajẽp
abel	aβ̞ell
abelazkuntza	labed̪es̺o̞n̪t̪s̻a
abelbide	abelbide
abelburu	aβ̞elbuɾu
abeldun	abelldʊlˈtːo
abelera	aˈbeleɾa
abeletxe	aβ̞elletʃe
abelgorri	aβ̞elɣ̞oɾɾi
abeltegi	abelteɣ̞ujj
abeltzain	aβ̞elt̪s̺ain
abeltzaintza	abeltajnkda
abeltzantza	abeltsantsa
abemaria	abemaɾja
abemarietako	aˈbemaɾjetako
abenda	abenð̞a
abendu	laβ̞ẽn̪t̪d̪u
abendua	aβ̞ẽn̪d̪ua
abendualdi	abɛnð̞ualð̞i
abenduaren	abẽnd̪uaɾen
abenida	abedʒda
abeniko	abenjko
abenitu	abenjˈutˈu
abenka	abˈɛnka
abentura	aβ̞ẽn̪t̪uɾa
abenturazale	aβ̞ẽn̪t̪uɾasale
aberasbide	aβ̞eɾaasβ̞jð̞eɾ
aberasgarri	aβ̞eɾaesɣ̞ari
aberaskeria	abenaskeɾian
aberasketa	aβ̞eɾas̺ket̪a
aberaski	aβ̞eɾaeski
aberaskume	aβ̞eɾaʃkobeɾ
aberastasun	aβ̞eɾaest̪sũn
aberaste	aβ̞eɾaaste
aberastu	labeɾast̪u
aberats	aβ̞eɾat̪s
abere	aˈbeɾe
aberekeria	aβ̞eɾekeɾia
abereki	aβ̞eɾe̞ki
aberekoi	aːbeɾekoi
aberetasun	ɦoe̞ɾe̞kʰas̺um
aberezain	aβ̞eɾaes̺aĩŋ
aberezko	abˈerˈɛskˈo
aberia	aβɛɾia
aberin	aβ̞eɾem
aberkoi	abeɾkɔi
aberri	aβ̞eri
aberri gabe	aβɛɾjɣa be
aberri-egun	abeɾɾieɣ̞un
aberri-eguna	aberieguna
aberriratu	abeɾɾiɾatu
abertzale	aβ̞eɾt̪sale
abertzale sozialisten batasuna	ad̪eɾts̺ales̺ o̞s̺ialis̻t̪ẽ̞n bat̪as̻una
abertzalekeria	aβ̞e̞ɾts̺alehe̞ɾia
abertzaletasun	aβ̞e̞ɾt̪s̺alet̪as̺ul
abes	aβ̞es
abesbatza	abeʃmat̪s̺a
abeslari	abeslaɾj
abeslaria	abezlaɾia
abespeluan	abˈɛzpˈelˈoˈan
abestalde	aβ̞est̪alð̞i
abestaldi	aβ̞est̪ãnd̪iɾ
abesti	abˈɪstˈlˈɪŋd
abesti polit bat entzun dut gaur irratian.	tʃap kə tʃˈɛnd i polˈikiðˈað uðˈisinduz gˈaʊɾi irˈaʒɪnd
abestu	aβestʊ
abeze	abeθɪ
abiaburu	aabjãmuɾu
abiada	abiadˈə
abiada bizia	ɟʝ a d̪e β̞jzia
abiadore	aβˈiadˈoɾe
abiadura	aabiadˈyla
abiadura-aldagailu	abˈiadˈulˈaːldˈaʁa
abiagailu	aβ̞iaað̞aio
abiagune	abjaɣ̞ul
abialdi	abiald̪i
abiamen	aβ̞ĩãn̪t
abian	aβ̞jãn̪
abian ipini	aβ̞jãn̪j pĩŋi
abian jarri	aβ̞ien ʝari
abiapuntu	aβ̞iapũn̪t̪o
abiarazi	aβˌjˈaɾaθi
abiarazle	abiiərazlɪ
abiarazteaz	abiaras̻t̪e̞as̺
abiasari	aabjaseɾi
abiatu	abjatˈo
abiatzaile	abiatsaiʝe
abiatze	abjatʃe
abiazio	aβˌiaθjoˌ
abidjandar	aβ̞jt̪xãn̪d̪aɾ
abil	aβ̞iʝ
abilamendu	abiʎamenðɔ
abilezia	aːbɪʎeθi̯a
abilidade	aβ̞jlilad̪e
abilki	abjlki
abiltasun	ãmbkõmlazun
abio	aβio
abioi	abioi
abioneta	abioneta
abiotiko	abioteko
abisal	abisau
abisatu	abisato
abisu	abisu
abitu	aβ̞jtu
abixoi	aviʃõj
abizari	abisˌaɾi
abizen	abiz̺in
ablatibo	aβ̞lat̪ibo
ablazio	ablasio
abokatu	abokatu
abokatua	abokat̪ua
abokatuak	abokat̪ua
abokatutza	aboroxtsa
abolizio	ɑɣɔlisioʊ
abolizionismo	abɔlisijɔlismu
abolizionista	aboliʃtʃɛlista
abomaso	aːw˧˧mˈasˈom
abonamendu	aβ̞onamẽn̪t̪d̪uɾ
abonatu	abonatu
abondo	abondo
abonitu	abonist̪u
abonu	aɣonum
aborigen	aboɾiɣ̞ẽn
abortatu	aβ̞oɾt̪at̪u
abortatze	aβ̞oɾt̪at̪se
abortu	aβ̞oɾt̪u
abortza	aβ̞oɾt̪a
abots	aβ̞ot̪ɣ̞
abozeta	apos̺e̞t̪a
abrigo	aβɾiɣʊ
abrikot	abrikot
abrikotondo	abɾikotˈondo
absente	aβ̞sent̪e
absentzia	apsensia
abside	apside
absolbitu	apʃolβitˈu
absolutismo	aβ̞solut̪ismo
absolutista	aβ̞solwt̪ð̞ist̪a
absolutu	aβ̞solwt̪u
absoluzio	ˌaβsoluθjˈo
abstentzionismo	apstentionismo
abstentzionista	aβ̞st̪ẽn̪t̪s̺e̞ɾjst̪at̪
abstinentzia	abstjð̞ents̺ia
abstraktu	aβ̞st̪ɾakt̪oɾ
abstrakzio	abstɾakθio
absurdo	ˈaβsoɾðo
abu	abo
abudhabiar	aβ̞uð̞abjar
abulia	avuʎia
aburu	aβ̞uɾu
aburukide	abɾukið̞e
aburumenka	abuɾubɛnkaɾ
abusatu	aβ̞usãt̪u
abusu	abosu
abuztu	aβ̞ust̪o
abuztua	aβ̞ost̪wa
abuztuan	aβ̞ust̪uan
abuztuaren	aɣ̞ust̪uaɾen
abzesu	apsɛʃu
abzisa	apsiʃa
abzisio	apkɪkjɔ
activement	aktivɛmˈɑ̃
adabaki	að̞aβ̞aki
adabatu	að̞abat̪
adabegi	aˈðabeːɣi
adabegitsu	adabɛɣitʃu
adabeso	ãn̪aɾesum
adaburu	ad̪eβ̞uɾu
adaganeko	aðaħaniko
adagio	að̞asio
adaje	æˈvɑghej
adaka	alð̞aka
adaki	að̞aki
adapo	aðaploˌ
adaptatu	ðætæwˈbˈ
adar	ɒlɒɾ
adarbakar	að̞aɾβ̞akaɾ
adarbakoitz	að̞aɾbako̞its̻
adardun	aβ̞eɾd̪wn
adargabe	að̞aɾgabe
adarjotze	aˈðaɾɣ̞oθe
adarka	að̞aɾka
adarkada	að̞ɾked̪e
adarkadura	að̞aɾkað̞uɾa
adarkatu	að̞aɾkat̪o
adarki	að̞eɾki
adarra jo	a la raxo
adarra joko	að̞a ɾaʝoko
adarra jotzen	ad̪erai̯ot̪s̺ẽn
adarrondo	ad̪aɾõn̪d̪o
adartsu	að̞aɾt̪sʊ
adarzabal	að̞aɾsaβ̞al
adasdun	ad̪asd̪wn
adastu	adast̪o
adats	að̞at̪s
adatsa	að̞at̪sʝa
adausi	ad̪eu̯si
adausi egin	að̞a w siʲeɣ̞ĩn
adaxka	adʒka
adbentismo	adbemt̪ismo
adberbio	atðəɾbjo
addisabebar	að̞isaβ̞eβ̞aɾ
adegi	adˈegi
adei	að̞eɟ
adeigabe	adɛikaðɛ
adeitasun	ad̪e̞jt̪as̺un
adeitasunez	adetasunes
adeitsu	abejtʃu
adeitsuki	adzʲintʃukʃ
adelatu	aveˈlɑtu
adelazale	að̞elazalim
adelu	ð̞eˈluː
adendar	aβ̞ẽn̪d̪aɾ
adenina	alɛndida
adenitis	adentis
adenobirus	að̞e̞loβ̞iɾus
adenopatia	að̞e̞nopatia
adenosina	adɛdʊʃidɔ
adhesio	að̞akiu
adi	ad̪i
adi egon	að̞ieɣ̞on
adia	ad̪ja
adiabatiko	að̞iaβ̞at̪ikõ
adiada	aβ̞iad̪e
adiagile	að̞iaɣ̞ujeb
adiaka	að̞iaka
adiakari	ad̪iɐkaɾiː
adiakatu	ad̪iakatu
adibide	ad̪iβ̞ið̞e
adibidez	atiβ̞jð̞es
adiera	að̞ieɾa
adierazgailu	ãd̪iɾasɣ̞aio
adierazgarri	ãt̪iɾaesɣ̞aɾɾi
adierazi	abjeɾasi
adierazkaitz	að̞iɾaskaʝs
adierazkizun	að̞eɾaskis̺o̞nõ̞
adierazkor	að̞ieɾaeskoɾ
adierazkortasun	að̞ieɾas̺kɔɾt̪as̺um
adierazle	aðiɾazle
adierazmen	abjerazmɛn
adierazpen	abjeɾasɛn
adierazpenak	að̞ie̞ɾaspẽnak
adierazpide	að̞ieɾaskið̞e
adierazte	ad̪jɛɾaste
adierazten	að̞ie̞ɾaz̺ten
adierraz	aviras
adigai	að̞iɣ̞aj
adigaitz	að̞iɣ̞ait̪
adikatu	avˈɪkato
adimen	að̞ĩːmẽn
adimendu	aːrimendu
adimentsu	að̞ĩnentʃʊ
adin	aβ̞in
adina	ad̪inʝa
adinako	að̞jn̪ako
adinbat	ariːmbat
adindun	aɾjnð̞u
adinean sartu	að̞ĩŋʝa els aɾt̪u
adineko	aviɲeko
adingabe	labiŋgab
adingabetasun	að̞ĩnɣ̞abe̞t̪as̻uɾni
adintsu	avintʃu
adio	aðio
adio egin	að̞io eɣ̞ĩn
adio erran	að̞io eran
adio esan	aðiõs̺ɐn
adio!	adʒo
adiskidantza	abʃkʰið̞ãn̪t̪s̺a
adiskide	abis̺kiβ̞e
adiskide handi	pa ɟʝs̺ki d̪e la ni
adiskide kutun	abiski dɛ kuθul
adiskide mami	avɨsʲkʲiðe mami
adiskide min	həlɪʃti dɛmiʝ
adiskidea	að̞iʃkið̞ea
adiskideak zaindu beharrekoak	ad̪is̺kið̞ek s̻ãĩ̯n d̪u be̞harɾeko̞ak
adiskideki	ɑð̞isˌkiːɾeːt̪iː
adiskidetasun	að̞is̻kid̪e̞t̪as̺um
adiskidetu	að̞is̺kid̪et̪u
aditasun	að̞it̪ãsũn
aditu	avˈiktˈu
aditz	aβ̞jt̪s
aditz laguntzaile	a ð̞jt̪s la ãmb ũn sẽn̪ʝeɾ
aditz-izen	abitiθen
aditza	avitsa
aditzaile	að̞jt̪sat̪ʝ
aditzera	ad̪it̪s̺eɾa
aditzera eman	aditsɛram
aditzlaguna	að̞jt̪sd̪eɣ̞una
aditzoin	aðitsoĩŋ
aditzondo	ad̪its̺unt̪o
adizkera	adzʲikʲa
adizki	abiski
adizlagun	að̞islaβ̞ũn̪
adjektibo	atxatibo
adjektibo erreferentzial	adʒekt̪ivo e ɾefeɾẽn̪tsia
adjektiboa	ɦatjɛwa
adjudikatu	atxʊd̪ikatu
adjuntu	atxuntu
administrari	admĩŋistori
administratibo	administrativo
administratu	að̞minizt̪ɾat̪t̪o
administratzaile	atmɛnistrɐtˈaʎe
administratzailearengana	aɾminis̺t̪ɾat̪s̺aʝaɾaenɣ̞ãn̪a
administrazio	admĩŋist̪ɾakio
administrazioak	t̪at̪mĩŋiz̺t̪ɾas̺io̞ak
administrazioaren	anellistraʃtiare
administrazioko	adminiʃtrɛsɪlkɑ
adobatu	adɔbatu
adoleszente	adɔlestsent̪ɪ
adoptatzea	aːlˈtətseɾ
adopzioari	æɾbzioːɑːriː
adoratu	að̞oɾat̪u
adore	aɣoɾe
adoregabe	aðʊɾeɣaβe
adoregabetu	ad̪oɾeɣ̞aβ̞et̪u
adoretsu	adoɾetʃu
adoretu	aðɔletu
ados	ad̪os
ados egon	a d̪os segoŋ
ados etorri	a d̪oset̪ori
ados izan	aðɔs isaŋ
ados jarri	a d̪os jaɾɾj
adostasun	ad̪ost̪ɾasũn
adostu	naːn˧xtəgə
adreilu	aðɾeiʝw
adrenalina	adɾˌenalˈina
adrendu	að̞ɾẽn̪t̪d̪u
adret	að̞ɾet̪
adrezatu	adrɛsadu
adriatiko	adriˈatiko
aduana	að̞uaːnɐ
aduanazain	að̞uãn̪as̺ai̯n
adulteriogile	að̞ult̪eɾiɦoɣ̞ʎe
adulteriogilea	að̞wl̪t̪eɾeɔβ̞iʝea
aduna	að̞una
adur	að̞uɾ
aduritz	adɔɾiθ
adurti	alult̪i
aeb	ˈɑjbˈaɪnən
aerodinamika	aeɾoð̞inmika
aerodromo	ˌaeɾˈoðɾˌomo
aeronautika	aeɾʊnutika
aeronautiko	aeɾonɔtiko
aeroplano	ajɾoblanuɣ
aerostato	aeɾoestatʊs
afaldu	afalˈlˈ
afaloste	afaloste
afaltzera joango al gara egunen batean?	afal̪t̪eɾa xoŋgo alɣ̞aɾa eɣ̞unẽn bat̪eãn
afari	afaɾe
afari-lege	afaɾjle
afari-merienda	afajmeɾiet̪a
afaritako	afaɾit̪ako
afera	afˈeɾa
aferente	afˈerˈɛnte
afganiar	ɑfɣɑnɑː
afganistandar	afˈɣˈanˈiʃtˈãnˈdɾˈ
afixa	afis̺a
afoinu	afojnɛ
aforismo	afʊɾtʃmo
afrikaans	fɾkanz
afrikaerditar	afɾikaaeɾð̞it̪aɾ
afrikar	fɾikaɾ
afrodisiako	afroð̞isiako
afrodita	afroðit̪a
afusilatu	afuzilatu
afusilatu du	afʊzilatu d̪u
afusilatuko	afuz̺iɾat̪uko
afusilatzen	afuʃiɾat̪s̺ẽn
agata	aɣatə
agenda	avənda
agente	aɣ̞ɛnte
agentzia	axenˈtɪɑ
ager	aɣ̞eɾ
agerbide	aɣeɾβidɛ
agergarri	aːgeɾgaɾi
ageri	aːgeːɾiː
ageri izan	aɣ̞eɾi is̺ãn
ageri-agerian	aɣeɾiaɣeɾia
agerian	aɣ̞eɾian
ageriko	aːgeɾiko
ageriko parteak	aɣ̞ẽɾiko paɾt̪eak
agerkai	aɣoɾtaj
agerkari	aɣ̞eɾkaɾi
agerkera	aɣ̞eɾkeɾa
agerketa	agərke̞t̪a
agerpen	aɣerpen
agerraldi	aɣ̞ɾalð̞i
agerrarazi	ageɾɾalasi
agerri	aˈɣeɾɾa
agertoki	aɣeɾtoki
agertu	aɣɾtu
agertuta	aɣɛrtuta
agertze	aɣɛrtse
agi	ð̞ʌŋ˨˩˦
agian	agian
agidanean	akið̞anjẽn
agidanez	aɣ̞ið̞anef
agin	akest̪
aginagatarra	aginaɣ̞at̪ara
aginde	aɣrɨnde
agindu	aui̯n˧
agindupeko	aɣ̞ĩnd̪upeko
agindura	akompanograndad̪uɾa
aginduta	t̪eβ̞jnt̪d̪õt̪aɾð̞
aginpide	aɣeimpide
agintaldi	aɣ̞ĩnt̪ald̪i
agintarazi	aɣeŋtaɾasi
agintari	taːnjɛntəriː
agintariak	aɣ̞ĩnpeɾiak
agintaritza	agint̪aɾits̺a
aginte	aɣnte
aginte-makila	aɣ̞ĩnt̪emakila
aginteera	agɪnˈteˈeɾa
agintera	aɣ̞ĩn̪t̪eɾa
agintza	aɣinza
agintzari	aventsaɾi
agiraka	aɣ̞ueɾaka
agiraka egin	aɣ̞uiɾakaeɣ̞uj
agiri	aɣiɾi
agiriko	agɾɪkɔ
agirre	aɣiɾɾe
agirretxe	agiɾeʃe
agitatu	axit̪at̪u
agitu	aɣitˈo
aglomerazio	aglomeɾasio
aglutinatu	aglut̪inatu
agnus dei	agnos dˈeɪ
agoa	agoa
agogika	aɣoŋjka
agondu	aɣ̞õn̪d̪u
agonia	aɣ̞ɔn̪ia
agor	aɣ̞oɾ
agorraldi	aɣ̞oɾɾalð̞i
agorrezin	aɣoɾɛsin
agorril	aɣoɾɨli
agorte	aɣ̞oɾt̪e
agortezin	aɣoɾt̪efʎm
agortu	aɣoɾtʊ
agortzen	aortsẽn
agote	aɣotˈe
agresibo	aɣ̞ɾesziβ̞o
agronomo	agronomo
aguakate	aokɯ
agudo	aɣ̞uð̞o
agur	aʁˈoːt
agure	aɣ̞oɾet̪
agurgarria	aŋuɾgaɾɾia
agurgarritasun	akuɾaɣ̞arrit̪as̺ul
agurmaria	aɣ̞uɾmaɾia
aguro	aɣ̞olo
agurrak eta barkamenak	aɣ̞o̞ɾɾak e̞t̪a bat̪ka ame̞nak
agurtu	amurtu
agurtzane	aɣ̞uɾt̪s̺anef
agurtzen	aaguɾtsən
ahabi	arabii
ahabia	arabia
ahago	aɣo
ahaide	ai̯ðe
ahaidetasun	aidɛtson
ahaikatu	aːjtɐtu
ahaire	aeɾæ
ahal	al
ahal duzunean, mesedez	ɑːl doːst ɒnæn mækæɾd æst
ahal izan	alisaˈn
ahala	ɦlɑ
ahalbide	albiðe
ahalbideratu	alβidɛratʃu
ahalbidetu	aːlbiðətu
ahaldun	aldum
ahaldundu	aal̪d̪õn̪d̪u
ahalduntze	aldumtsɛ
ahalegin	ɑːleːgim
ahalegina egin	alɛɣ̞ɪn eɣ̞ĩn
ahalegindu	laeɣ̞ĩn̪ð̞u
ahalegintzen	aleɣ̞ĩn̪t̪s̻ẽn
ahalera	aɪ˥˩
ahalgo	aɪ˧˥
ahalguztiduntasun	algus̺t̪id̪wnt̪as̺on
ahalik eta azkarren	alek e̞t̪a as̻karɾen
ahalke	alke
ahalkegarri	ãmbkeɣ̞ari
ahalkeria	aːlkriːa
ahalketua	aːlkətoːɦ
ahalmen	almen
ahalordez	ˈaɪlˈaɪɹˈɛz
ahaltsu	ˈalzo
ahamen	amen
ahantzezin	aɑntsɛsɛ
ahantzi	antsi
ahari	ari
ahari-apostu	aɾaiapus̺t̪u
ahari-talka	aːɾit̪abe
ahariko	ariko
aharitu	aɾɾito
aharrausi	areʊsi
ahate	ate
ahatea	aːɾte
ahateari igerikan erakastea	ad̪at̪eaɾi iɣ̞e̞ɾikãn̪ eɾakas̻t̪ea
ahateari karrankaz ikasi nahi	að̞ate̞aɾi karẽ̞nkas̻ ikas̺i nahi
ahatebeltz	aːɾt̪e̞pəlts
ahazmen	tʃastʃi
ahaztezin	astesiɲ
ahaztu	aːrki
ahetze	aɛt̪e
ahi	aj
ahigarri	anɾinomi
ahizpa	aɪspa
ahizpaorde	aspaɔɾde
aho	ˈoʊ
aho bete hortz	aɣo bəteɔɾts
ahoa	ala
ahobero	wɔːwɔː
ahobizar	hæŋ
ahoeri	aɪ̯
ahogaizto	aɔʁaistɔ
ahogorri	aɣoɣoɾɾi
ahogozagarri	ahoɣ̞os̻aɣ̞aɾɾi
ahokadura	aokakua
ahokatu	aokatu
aholkatu	aɔlkatɛn
aholku	alɛkɔ
aholkulari	aolkulaɾi
aholkularitza	aolkuläritsa
ahomotel	aomot̪ell
ahope	ˈɔ
ahopeko	aubeko
ahopilo	nafɛda
ahorakin	aolakĩn
ahosabai	awsaβ̞ai
ahoskagaitz	aos̺kaaɣ̞aits̺
ahoskatu	aoskatˈo
ahoskera	aoskera
ahots	au̯tʃ
ahoz gora	aβ̞os koɾa
ahozko	aosko
ahozkotasun	aos̺kot̪as̺un
ahozpez	aɣaʃta
ahul	aʊl
ahulaldi	aulalð̞i
ahuldu	au̯ldu
ahuleria	au̯leɾia
ahulezia	aɣlətia
ahultasun	awl̪t̪as̺ũn
ahultasuna	awlkaso
ahultze	aultse
ahuntz	bˈaʊnt
ahur	aɾu
ahurbiko	ʔapudʒwpiːkɔ
ahurkada	auɾkað̞a
ahuspez	aʊspɛs
ahuspez erori da	au̯s̺pẽs̺ eɾo oɾi d̪a
ahutz	au̯s
ahuñe	ɛ̀u̯wɔː
ai	ˈaɪ
ai ene!	ajɛnʝ
ai enetxoa!	j jˈɛn ʒoˈa
aia	aja
aiara	ajɛɾa
aidanez	ajðaneɾs
aider	ajð̞eɾ
aidur	ai̯ð̞uːr
aiduru egon	ajdɔru egon
aieka	aʲɛkʰa
aienas!	aʝenas
aienatu	aiɛnat̪u
aieneka	ɑgwˈiləpe
aiert	aieɾt̪
aieru	aːgˌeɾu
aiestaran	aiɣ
aihenzuri	ajˈɛtʁuɾi
aiherga	aʝɛrɣa
aiherkunde	aiɾkundˈe
aihertu	ajertu
aiho	aɟʝ
aihotz	ajots̻
aiko-maiko	ajkːoːmajkːoː
ailegatu	atty
aimar olaizola	ajmaħ ʔolajsula
aina	aɲːa
ainara	ajnaɾa
ainara manterola	ajnaɾa mant̪eɾola
aingeru	aiɴgɛɾw
aingira	aiːngɪda
aingura	aɪnguːlˈla
aingurubat	aɪŋgwɾuɣaɾ
ainhoa	ajnɔɑ
ainhoa arteta	ai̯naua aɾt̪e̞t̪a
ainhoa etxaide	ajnwa etʃaidʒi
aintxintxika	antʃiːntʃika
aintza	aintsa
aintzaka	ai̯nʲtsaka
aintzane	ai̯nt̪ane
aintzane ezenarro	ai̯nts̺ãn̪e es̻ẽnarro
aintzat	aɪntsat
aintzatespen	aɪntsatɪspɪn
aintzatetsi	ai̯ntsatetʃi
aintzin	ain˥˧sin˧˧
aintzina	a
aintzinatu	ajntsidatu
aintzira	pˈaɪnzɪtˌa
ainube	anjuːbɛ
aio	aʝs
aipagarri	ãbaɣ̞areɾ
aipatu	aipatʊ
aipatutako	ai̯t̪at̪utako
aipatzaile	ãmbkõmpaszaʝ
aipu	aipu
airatu	aiɾatʊ
aire	aiɾeɾ
airea	ajre
aireportu	ai̯ɾepõɾt̪u
aireportua	aiɾepɔɾtua
aireratu	aiɾeɾatʊ
aise	ajse
aisia	aiɣ̞sia
aisialdi	æiːʃiːjɑːliː
aita	ai̯t̪a
aita-amaginarreba	ai̯t̪aamaɣ̞ĩn̪aɾɾe̞ba
aita-amak	ajtamak
aitabitxi	ai̯t̪abiʧˈi
aitaginarreba	ãĩ̯t̪aɣ̞ĩn̪arẽba
aitagurea	ai̯t̪aɣ̞oɾea
aitaita	aɪtaita
aitarekin	ɑjtɑɾɛkʲinn
aitari	ɑɪtɑɾiː
aitasantutza	ãĩ̯t̪essãn̪t̪t̪ut̪a
aitatu	ai̯tatu
aitatxi	ai̯t̪atʃi
aitatxo	ajtaʃo
aitita	ai̯t̪ita
aitita-amama	ai̯t̪itamama
aiton-amonak	ajt̪unamonak
aitona	aɣ̞t̪ona
aitona-amona	ajtonaamona
aitonak	ajt̪onak
aitor	ai̯t̪oɾ
aitor karanka	ai̯t̪oɾ kaɾanka
aitor mendiluze	ãĩ̯t̪o̞x a mẽn̪d̪i lus̻eɾ
aitorpen	ai̯t̪orpen
aitortu	ko˨˩ːsato˨˩˦
aitzakia	alt̪sakia
aitzi	ajtʃj
aitziko	asst
aitzin	ajtsʲim
aitzina	ai̯ts̺ĩn̪a
aitzinatu	ajtsɨɲatɔ
aitzindari	aitsʰi˥˧naɾiː˧
aitzineratu	ɛtsɛiɲɛratu
aitzitik	ãĩ̯t̪s̺it̪ik
aitzur	ajt̪uɾ
aitzurtu	ai̯d̪z̺uɾt̪u
aitzurtu du	ai̯t̪s̺urt̪u d̪u
aitzurtuko	ai̯t̪s̺urt̪uko
aitzurtzen	ai̯tsurt̪zɛn
aixkol	ajʃkol
aizarna	ajtsarna
aizarnazabal	ai̯saːrnˈosaːbəl
aizkolari	ai̯s̺kɾlaɾi
aizkolaritza	ajskoːlaɾitsːa
aizkora	ajskola
aizolbe	ajsolbe
aizpa	ajspa
aizpea	aɪspeɪɑ
aizto	aisto
aiztur	ajstur
aizu	ajsɯɫ
aizun	ajswn
aje	axe
ajuria	ɐxˈoːɾˈiɐ
akabagailu	akaβ̞aɣ̞aʝut̪
akabaila	akaβ̞aɟʝ
akabatu	akaβ̞at̪o
akabo!	ˌakaβˈo
akademia	akad̪emia
akademiak	akad̪emiak
akain	qaj
akaso	akaes
akats	akɒtʃ
akatsgabe	akatʃeɣaβe
akazia	akasja
akelarre	akelaɾe
aker	akeɾ
akerra	akest̪ɾa
akerrak adarrak okerrak ditu, adarrak okerrak akerrak ditu, okerrak adarrak akerrak ditu	aːkɛra kaðaɾɾak okaɾrak d̪it̪u aːkɛraɾɾak okaɾrak akaɾrak d̪it̪u
akets	akest̪s
akiakula	akiakula
akitania	akit̪enja
akitu	akituasɨktʃu
akize	akˈise
akonpainamendu	akompanʝamɛnd̪u
akordatu	akɔn̪d̪atʊ
akorde	akˈoɾðe
akordeoi	akoɾðeî
akordeoia	akɔrvjoja
akordio	akˈoɾðjo
akort	akoɾð̞
akotatu	akot̪atu
akotze	akoɾd̪s̺e
akre	akre
akriliko	akriliko
akrotera	akɾot̪eɾa
akta	akta
aktinioa	akteniva
aktore	aktorɪ
aktorea	aktodɛa
aktuazio	aktwakio
akuaforte	akafʊɾte
akuarioa	akwaːriː˧ua
akueduktu	akˈaˈsɔttˈu
akuikultura	ako˥˥i˥˧kʰu˥˥i˥˧
akuilatu	akwʝat̪o
akuilu	akuʝu
akuratzaile	akurat̪s̺aɟʝɛ
akuri	akuɾi
akusazioa	arkuʃasɛnˈ
akzesit	akːˈsessɪt
akziodun	akːsijɔdʊn
al	al
ala	alaː
alaba	alaβ̞a
alababitxi	alabaviti
alabaina	alabãn̪ʝa
alabaorde	alaβ̞aoɾð̞e
alaen	alˈaɪn
alafede	alˈaθedˈos
alai	alaj
alain	alajn
alaitasuna	ˈfalaːjtasˈonaɾ
alaitz	ala
alajaina	alaxaɲ
alajainkoa	alajɛnkɔ
alakaketa	alakakẽta
alamen	alam
alano	alano
alarau	alau
alarde	alaɾðe
