12345678910	jɯ˨˩˦ tsan˥˩sɯ˥˥ ntɕʰi˨˩˦ pɑk˥˥iu˨˦ʂan˥˩
东方主义	tʰuŋ˥˥fɑŋ˥˥ tʰy˧˥ni˨˦
东湖	tʊŋ˨˩˦u˥˩
东湖书院	tũŋ˨˩ u˥˥ ɕy˨˩˦ jɛn˥˥
东湖区	tu˥˩
个	ko˥˥
中世贛語	ʈʂʊŋ˨˩˦sɯ˥˩ kwan˨˩˦ ni˨˩˦
中华人民共和国	tsʊŋ˥faː˧
中华民国	tɕiŋ˨˩faː˧miː˧kuɔ˧˥
中古贛語	tsʊŋ˨˩˦kuɔ˧˥kwan˨˩˦i˨˩˦
中国	tɤŋ˥˥ kʷɔ˨˩˦
中国人	kɞm pɔ̞nɛm
中國	tsʊŋ˨˩ kwɐt˦
中学	tũŋ˥˥hɑ˥˥
中山大学	tsʊŋ˥˥sən˥˥sɑ˥˥tɕʰy˥˩
中秋	ʈʂɤŋ˥˥tɕʰjoʊ˥˥
中秋節	tɕjoʊ˨˩˦tɕjɛ˥˥
中秋节	tʰi˧˧tsi˨˩n˥˩
中華人民共和國	tũŋ˥˥fa˧˧nɪn˧˥mɪn˧˥ kʰʊŋ˨˩˦pɔ˥˥
中華民國	tsʊŋ˥˩faː˧˧mən˧˥kʰu˨˩˦
中華臺北	tsʊŋ˥˩faː˧ taːiː˨fɛːn˥
中風	tũŋ˨˩vŋ˨˩
中风	tsun˥˧fu˥˧mɪn˧˥
丰城	funsən
为	wˈi
主	tɕʰi˨˩˦
乃	lâːj˨˩
么哩	move
之	tɕi˥˩
之前	tsɯ˥˩ tɕjɛn˨˩˦
之后	tsi˥˧ lɔ˥
之後	tsɯ˥˩xɛ˨˩˦
乌龟	uh we
乙	iˌɛtˈ
九	tɕjoʊ˨˩˦
九江	tsiːu˨˩˦kɔːŋ˨
九龍浦	tʰiʰu˨˩˦lʊŋ˥˥bu˨˩˦
也	dˌiːzə
习惯	kʰi˥˧kwan˥˥
习近平	iˈtiˈŋˈjin˨
书院	sy˥˧ jɔːn˨˦
乩	tɕi˥˧
乾淨	tʰaʔ˨
了	ljoʊ˨˩˦
二	ˈo
二维	aːwˈe
于	i˥˩
云	yn̪
五	m
五加皮	m˥˩kʰaː˥˥pʰiː˨˩
井	tɕjɑŋ˨˩˦
井岡山	kŋ˨˩kɔːŋ˧saːm˩˩˦
亘	tʃi
交	kau
交椅	ka˥˥ɕi˨˩˦
交通大学	kaː˥ tʰũŋ˥˧ taːi˨˦ hɔːk˨
交通大學	kal˥˥num˥˩sat˨˩
产	tsan˨˩˦
亮	lio
亲戚	tsiŋ˥˥tɕʰiŋ˥˥
亲痛	tsintu
人	ny˥˩
人参	lən˨˩sən˨˩
人客	nkʰap˦˥
人家	n˧
人格特质	ŋ˥˥kiatʰʰk̚˨˩tsɯ˧kʰ
人类学	lɪn˧ʔwiː˨ kʰok˨
什哩	fˈɪtni
什物	tɕit
仁义道德	n˥˥n˧˥i˨˩˦tʰa˥˧tiatʰ
仁杰	ʐən˧˥
仄	tse
仇	fiu˧˧
今年	tɕi˥˥njɛn˧˥
今日	dʒabu
今朝	tɕin˥˥ tɔ˥˥
仑	læn
他	tɕʰi˨˩˦
他的名聲不好	es komiãn̪s̺ ãmb plau̯
仙人掌	sian˨˦n˥˥in˥˥tsuõŋ˨˩
以	i˥˩
以为	i˥˩w˧˥i˥˩
以往	i˨˩˦
仰	ŋ˧˧
仰上	niu˨˩aŋ˨˩sœ˧ŋ˥˥
仲	zum
任	jˈɛm
伍	mh
伏	fou˥
会	uʝ
伤风	sœːŋ˨˩ fuːn˧
伶俐	tiaŋ˨˦ti˥˧
位	wˈeɪ
佑民寺	joʊ˨˩˦mjɴzɯ˥˩
何	a jˈa
何个	ɦoːkɔ
何人	ho˧˧
何個	hɔ˥˥kɔ˨˦
何里	huaɪ˧˥ liː˨
佗	tɔ
佛山	fɛːˈsan
佛教	fokˈaʊ
作兴	tsuɔ˨˩˦xɤ˧˥
作咩	su˥˩ ʂɚ˧˥li˥˩
作孽	tsok˨ne˥˥
作寒作冷	tsok˨hɔːn˥˩tsok˨laŋ˧˧
作料	tsɔːkʰʔhlŋ˩˩˦
作死	jʊŋ˨˩˦joʊ˥˩fɑŋ˥˥ʂxɤ˥˩pɕjɛ˥˥ʈʂxɤ˥˩li˥˩
佟	tʰɤŋ˨˩˦
你	n
你们	hændi
你們	li˨˩man˨˦
你好	nuː˧˧aː˧l˥
你沒有一點揀拾	niŋa mɛw fɔtkantʃɛ
你说什么	lian˨˩uaʔ˨tɕʰi˧li˧˥
佢	tsʰit˦a˥˧
佮伙	kɔːn˧˥fɔː˨
侄	sæ
供	tɕjoŋ˨˩˦
侧边	tsɛpˈjɛn
俄羅斯	mˈɔ̃ lˈœ̃k
保	pau̯
俞	y
倒踭	ta˥˥u˥˧tsan˥˩
倾	kian˨˩
做	su˥˩
做客	ts˦˥okʰaː˧˧
做春梦	tsɯ˥˥ mʰɤŋ˧˥
做贼	tsuh tʃʰe
側邊	tsʰe˨˩ bi˧˧en˧˧
傅	fou˥
傻	sæn
像	tɕjɔː
僧	sen
儒	dˌiːzəl
元稹	jondim
兄弟	tɕjɑŋ˨˩˦pʰi˨˩˦
先	ɕjɛn˥˥
先前年	sie˥˧n˥˥tɕʰi˧˧ n˥˥
先前日	tɕjɛn˨˩˦
先生	tɕjɛn˨˩˦sən˥˧
光	kwɔːŋ˨
兔子	tʰu˥˩tsɯ˥˩
兜餩	tɛjlʲnʲe
入	dˈø
全	tɕʰyən˨˩˦
八	paː
八哥子	patkoːts
公交车	kum kau̯sa
公羊	kũŋ˥˥jɔːŋ˥˧
公马	kuma
公驴	kun kun
六	lu˨˩
共	tɕʰjoŋ˨˩˦
关	kuan˥˥
冀	tɛ˥˩
内行	l˨i˨˩hɑŋ˨˩˦
冇	mau̯
冇有	maɾjɛ
冉	jɛn
再	tsai˥˧
再见	tsuɔ˥˩ i˥˩
写白字	ɕ˥˥ɑ˥˥ pʰak˨˩˦ tsɯ˧
写鬥字	ɕja˥˩taɪ˥˥ ttsʰɯ˨˩˦
军舰	tɕyn˨˩ kan˥˥
冠	kuən˥˧
冬瓜	tuaŋ˥˧kua˨˦
冰冷	nˈa
冰冻三尺非一日之寒	tentuŋsantʰa fi˧˥i˨˩˦nit˦tio˨˩˦hɔ˧˥
冰冻三尺，非一日之寒	pĩn˨˩tʊŋ˨˩sã˥˥sa˥˩ fi˧˧ ji˧˧ nit˦tsǎ˥˥ huan˧˧
冰凌	piŋlæn
冰淇淋	pĩ˥˥ lĩ˥˥
冷	lɑŋ˧˥
冻豆腐 dongtoufu	tuneokjeon
冼	ɕjɛn˥˩
净口	siaŋ˨˩kʰiaʊ˨˩
凌	tiːn
减	kã˥˥
几场中	tʰi˨˩saŋ˨˩tsʊŋ˥˩
几多	tsi˨˩˦to˥˩
凭	plŋ˥˥
出	tsɯ
出喜事	tsʰɕi˨˩˦
出堂子	tsɯ˥˥ tʰɑŋ˨˩˦tsɯ˥˩
凿子	tsʰaktsɯ
刀	dˈoɾˈ
刁	tiu
分	fɔn
划	fˈa fˈa
刘禹锡	jy˨
刘采春	liu˨˩tsʰa˥˥ɥœn˧˥
则	se
判官	pʰũã˨˩ŋ˨˩ kua˥˥a˥˧n
别	tʰjɛ˨˩˦
别什里	tʰiː˥˨aʔ˨
别哪里	pʰjɛ˨˩˦ laɪ˧˥li˥˩
刮	kwa
到	tau̯
制	tɕi˥˩
前年	tɕʰi˨˩˦ njɛn˥˥
前日	tɕjɛ˨˩˦
剐	kuaː
剝	pˈɑt
割	ˈoɾo
劉鎮發	liu˨˩tsiːn˥˧faːt˥
力	lɛ
劝	ʈʂɔ˥˥n
办	pʰan˨˩
加	a
动	tɾaŋ
勚	m
勸	tɕʰjɛn˨˩˦
勿	wɛt
包	pau̯
包子	pɒu̯tsɒ
包心菜	pau˥˥sin˥˥tsʰai˨˩
化学	faxo
北	bɛ
北京	beɾˈdʒiŋˌ
北京市	ka tʃuʃa
北洋大学	paːi˨˩lɔ˥ŋ˨˩tai˨˩ lɔ˥
北瓜	pe˨˩kwa˧˧
匝	tsa
匡	tɕʰɤŋ˥˥
十	ɕi˥˧
千字文	tɕʰjɛn˨˩˦tsɯ˧
千里共婵娟	tʰiŋ˥˥nɤŋ˥˥sian˥˥tɕyn˥˩
半	pɔ˥˥
半夜时	pʰu˥˩an˥˩i˥˩a˥˥
华为	fˈaʊi
卒	tɕi˥˩
卓	so
南京	luan˨˦tɕin˨˩
南京市	na˥˥tsɯ˥˥
南昌	laŋ˨˩kʰo˥˩
南昌话	lanzɔːa
南浔铁路	lãn˨˩ɥyn˥˥ tʰiat˥˥ lu˨˩˦
南海行宫	laŋ˥˥ai˨˦ sin˥˥ kuŋ˥˧
卜	tɛˈʰ
卞	tjɛn
卡	na
卵	lˈɔn
卵鸡	lɑʔ˨tɕi˥˩
厂	aŋ˨˩˦
原	jœn˨˩˦
原始贛語	jœn˨˩˦sɯ˥˧ kən˨˩˦i˨˩˦
厦门	χɑːmən
去	tɕʰi˨˩˦
去归	tɕʰe˨˩˦kwi˥˧
去货	tɕʰjɛ˨˩˦ fɔ˧˥
厾	to
又	jˈu
叉帚	sa˥˩
双生子	sɑŋ˥˩sɑŋ˥˩tsɯ˨˩˦
发	fˈa
发展主义	fa˥˥tsi˨˩˦an˥˩ tɕy˧˥nei˨˩˦
发惊	fˈaːtˌaɪˈam˨
发毛娇	kɑm ɑl
发炎	fˈakˌjɛn˨˩
发萎	fɑg˥ wi˨˩˦
叔叔	sɯ e˥˩sɯ˥˩
叢	sʊŋ˨˩˦
口	kʰi˨˩aɻ˥˧
口味虾	kʰau˨˩ ja˥˩
口音	kʰa˥˥jɛn˨˩
古	ku
只	tsa
叫骨子	tɕʰau˧˧kua˧˧tsɯ˧
可以	kʰua̯iː˨˩iː˥
可口可乐	kɔː˧˥
台	tʰaɪ˥˥
台北	tʰæi̯bæ
台湾	tʰua̯a˥˧n
史	tɕʰi˧˥
叶	dˌiːzə
叶子	jɛtsɯ
司	ɕi˥˥
吃	dʑa
吃中饭	ɕja˥˩ ʈʂo˧˥ fan˨˩˦
吃价	tɕakːaː
吃巴	tɕepa
吃早饭	tʃafɑ
吃晚饭	tɕamaːn
吃烟	tsʰa˥˥
吃煙	tɕʰa˥˥ɛn˥˥
吃菸	tsʰa˥˥
吃酒	tɕʰaʔ˨˩tɕiũ˥˥
吃饭	tɕa˥˥fau˧˧
各	koɯ allɕ ɕitɕiɴɕiɴ deɴkikoɯ
各個國家有各個國家嘅國歌	kaː˥jɔː˩˧kɔː˧˥
吉	tɕi˥˩
吉安	tsi˨˩ek˨ŋ˥˥ an˨˦
同	tʁˈɔ̃
同房	tŋ˨˩fã˥ŋ˧˧
名堂	mundo
名字	tʰian˨˩aŋ˥˥ʈʂi˥˧
名聲	mĩ˥˥aŋ˨˩sõŋ˥˥
后娘	he˨˦ h˨li˧˧ɑ˨
后年	hau˥˥nian˥˧
后影子	xɤ˧˥jɑŋ˨˩˦tsɯ˨˩˦
后日	ɛʊnit
后现代思潮	hɛ˨˩˦ tsʰi˥˩ en˧˥ haɪ˧˥ sɯ˥˩ lɛ˥˩u˨˩˦
后生	ɦɛːlsang
向	hõŋ˨˩
向塘	siŋ˨˩tʊŋ˥˥
君子慎独	tɕyn˥˥tsɯ˧˧ɕin˥˥tʰok˨
君臣	tɕyn˥˧tɕʰin˨˩˦
吞	ten
吧	pa˥˥
听	tjˈæːm
吴语	uɔnɨ
吸铁石	sˈe tˈɛsˈa
吽	pau̯
呂	t̪e
周	fiu˨˩
周朝	siu˥˧tsʰiau˥˧
味道	wi˥˧ tʰa˥˧
咀	tɪ˥
咁	kon
和	˦ɥœ˧˥
和尚	uɔ˥˥sœ˧˥
和平	oːb˥˩ɪŋ˧˥
咭	ʃiːt
咯边	kʊ˨˩˦ pi˨an˥˥
咱	tsan˥˧
咸	an
咸鱼	kʰaː˧n˥˩a
咿边	i˥˩
哇	kue
哇事	uas
哈	a
哈爾濱	a do pɯn
哥	sˈoː
哭	kɯ
哲学	sat˦ hoŋ˨˩˦
哲學	tɕjɛ˥˥
唊	tɕʰjoʊ˨˩˦
唐	tʰɤŋ
唐山	tʰɑŋ˥˥san˥˩
唔	u
唔会	nwɛ
啄	tɔ
商	sau̯
啊	a
啧	sə
啵	po
喜鹊	tɕʰi˧˥
喫價	tʃaka
喫煙	tsʰak jen
喫菸	tɕʰa˥˥
喫飯	tʃaːn
喫飯莫講事	siaʔ˨ fan˧˧mɔ˧˧ tʰoŋ˨˩˦ suː˩˦
單	tan˥˥
喻	y
嗎啡	maː fiː˧
嗾	sɛːl
嘲天	sʰt̚˨˩jn˥
嘴	tɕi˥˩
嘴唇皮	ʂu˨˩˦ʈʂʰɤŋ˧˥pʰi˧˥
噍	tɕʰjɛ˨˩˦
噯	ˈɔi
噻	fɛ
嚴	ɲe
嚼	tɕʰau˥˧
嚼黄禄	s˦˥ʰw˧ʔŋ˧luːk˥
四	fˈɛ
四脚蛇	siu˥˧ tɕiŋ˥˧sa˥˧
因为	iŋvi
团近	tʰa˥˥in˨˦tsʰin˨˩˦
囥	kʰaː
囥起来	kʰɑŋ˥˩tɕʰi˨˩˦  laɪ˧˥
困	kʰuən˨˩ kʰua˨˩i˨˩
困覺	kʰyn˨˩ kaːu˨˩
困觉	kʰuən˨˩˦sat˨
围兜子	ui tels
围裙	auaʃtʰɑ˨˩˦ʰɑt˨˩˦toʊ˥˩lɤ˨˩˦tu˥˩ʐan˧˥ʐan˧˥
围领	uljɛn˨˩˦
国	kue
国际主义	tsi˥˧ ne˨˩˦
图章	tʰu˨˩ tsʰw˥˩aŋ˨˩
圆光	ion˨˦kwɔːŋ˨˩
國	tɾãn
國家	kwakːa
圣珓	sən˥˥kau˧˧
在	te
地	tʰi˥˩
地下	tʰiː˧˧haːb
地方	tʰi˧˥fɑŋ˥˩
场中	zau̯tsuaŋ
坌	pɯ̞n
坐	tsʰɔ˥˥
坛子口	tʰan˥˥tsɯ˥˥kʰioʊ˨˩˦
坟	fɯən˧˧
坡子	pɔːts
垢圿	kiaʊ˨˩ kuat˦
垫被	tʰiː˥˥aŋ˨˦ pʰi˨˩
埂	kian˨˩
城	sã˥ŋ˩
堂叔	a˨sweɪ˥˧
塗	tu
塘	na˥˩
墙	tɕʰjɛŋ˨˩˦
墨水笔	mæ̹ˢ siː˨˩pʲɛ̀ːt
墨笔	mækʰpit
壁	pˈja
壁爐	fja˥˩lu˥˨
壁蛇子	ják̚˨˩saː˩˩˦tsɯʰ
声气	saŋ˨˩tɕʰi˨˩
夏	hɑ
外	la
外行	wãː˧hɔːŋ˧
多	dˈo
多吃点青菜	tɕja˥˥tʰja˥˥ tɕjɑŋ˥˥ nai˨˩˦
多谢	du˥˩ɕja˥˥
夜了	jale
夜安	iaŋɔn˨˩
夜晚	a˥˥ wan˧˧
夜火虫	iaː˧˥fɑː˧˥tsuːŋ˨˩˦
夜猫子	ja mjɛltsɨ
夜里	jali
夜间	jɑ˥˩ kan˨˩˦
夜饭	dʑaːfãn
大	kaj
大东亚	tʰa˥˥e˨˦tʰʊŋ˥˩a˥˧
大伯	hɛːpa˥˥
大士院	tʰaːi˧˧ sɯ˥˧ jɔːn˨˦
大学	tʰaːi˧˥hɔːk˨
大拇指头	tʰa̠i̯m˥˩tsatʰeu˨˩
大拇指頭	tʰa˥˥ɛ˨˦m̩˨˩˦tsatʰeu˨˦
大蒜	tʰa˥˥sõ˥˥n
大蒜糜子	tʰa̠i̯˨˩sʌŋ˥˥mi˥˧tsɯ˧
大衣	tʰaɪ˧˥i˨˩˦
大象	hɑi̯˨sioŋ˨˩
大連	tʰaɪ˧˥ liən˧˥
天主堂	tjɛn˨˩˦tɕy˧˥ tɑŋ˨˩˦
天主教	tʰjɛn˨˩tɕy˥˩ y˧˧kau˥˥
天井	tʰi˥˧e˨˦ntsiaŋ˨˦
天光	tʰjɛn˨˩˦kwɔːŋ˨˩˦
天安門	tʰiŋ˨˩an˥˩nun˨˩
天安門事件	tʃɤŋ mɔŋmɔŋtʰʁɛ tʰieʔl
天安门	tɛːŋ˨˩lɤ˥n˥˩
天心阁	tʰjãn˨˩ sin˥˧ kok˦
天收	tian˨˩ tɕjɛ˥˥
天气	tʰjɛn˥˩tɕʰi˧˥
天河	tʰjɛːn˥˩ɔː˩˦
天津	tʰjɛn˧˥
天涯	tʰi˥˥ŋ˥˥ai˥˧
天狗喫月	tʰjɛn˨˩keʰ˥a˥˧au˧˧tsʰian˥˧niu˥˧
天色	tʰjɛn˨˩˦
天门	tʰi˧˧m˥˩
太上隐者	tʰɐi̯˨˩sœːŋ˩˧
太阳	plakja
头一日	æwˈinːit
头世	tʰau˨˦ sĩ˥˥
头像	hel ʃa
头发	tʰɛːw˧˧faː˧˧
头绳褂子	tʰiau˧˥sɪŋ˥˥kwa˥˥tsɯ˥˥
夹石膏	kasa kal
夹袄	ka nao
奀	ti˥˩
奚	ge
女人	ne̞ɲæˈnæ
女崽子	ny˨˩˦ ʈʂaɪ˥˥tsɯ˧
奸雀子	ka˥˥tsi˨˩˦
她	tɕʰiː˨˩˦
她检查了账单上的账目	tsi˨˩˦e˨˩˦kan˥˥tsʰa˨˩˦li˨˩˦tsʰŋ˥˥tan˥˥sɔŋ˥˥kʰot˦mɔːn˨˩
好kechi	mɯ˧˥ʰkntɕi˥˥
好像	aʊ˥˥ʈʂʰʊŋ˨˩˦
好多	aɔtɔ
好意走	auːŋ˥˥i˥˧tsɛːw˨˩
好杀青	hou˧˧sat˦
好生	aːsãːŋ
好走	hau˧˧tsɛːu˨˩
如今	ɔː˧˥tɕiŋ˨˩˦
妇道人	fu˥˧tʰau˧˧nɪn˥˥
妹子	mɯdʑi
姆	mh
姆妈	mˈə
姆媽	mˈˈ
姑妈	koːguːnˈˈɔ
姑父	kˈoːja
姑爷	gu˥˥a˥˧
委	wˌiː˨
姚	dˌiːzə
姜	tʌŋ˨˩˦
姨娘	injɐ̃ʊ̃
姬	tɕi˥˥
威廉姆斯	wjljɛ̀ːmʊ̃˥ʃiː˧
威权主义	tɕʰyn˨˩˦n
娘	o̞˨
婁	dˈeʊ
婆婆	pɔː pɔ
婢	e
婶婶	sɛnˈsɛ
嫑	tɛːmɑŋ
子	tɕjɛ˥˥
孔	kʰoŋ˨˩
字	tsʰɯ˨
孟	mum
季	tɛ
学前班	xɔ˥˥tsʰian˥˥pan˨˩
学堂	kɔːtoː
学生	xɔ̀ːk̚˥˩sɛːn˥˩
学院	pɒːjɒt
孫	sen
學	hˈɛ
學堂	pɔt˦tʰɔ̀ːŋ
孺人	onin
孺子亭	tseʁ˧˧
宇	y
宇宙	nˈe i
安	mãˈe
安亭	ngɔːndən
安徽	mɔːnˈfiː
宋	sõŋ˥˥
宗	tsaŋ˨˩
官	tɛn˨˩lɑŋ˥˥uən˥˩
官话	kuɔ˥˧an˥˩ wa˨˦
定	tʰĩã˨˩
定世	tʰiŋ˨˩˦ sɯ˥˥
宜春	ni˥˧tsʰuən˨˩˦
宜瀏片	ni˥˧ljoʊ˨˩˦pʰi˨˩˦an˨˩˦
客家话	kʰʰkaːfaː˨˩
客栈	kʰaːtsaʔ˨
客气	aptʃi
宣统	tʰu˨˩
宪法	dˌiːzə tˈɪ ɛlfˈa
宮	kum
宰	tsan˥˩
宵夜	tɕjɛl˨˩˦ ja˥˩
家麻	kama
宾夕法尼亚德裔高地语	pĩ˥˥ hsi˧˧ faŋ˥˥ĩŋ˨˩a˥˧ teŋ˧˥ni˧˧kau˥˥li˥˩ny˧˥
寄娘	tʰi˧˧niŋ˨˦
寒先	hɔːn˧˥sian˥˧
寒螼	hoŋ˨˦tɕĩŋ˥˥
寒螼子	hoŋ˨˦tɕiŋ˥˧tsɯ˧
寡	kwa
寡蛋	kua˥˧a˥˧tʰan˨˦
寧	lin˥˩
寧波	n̪i˥˧m̩˨˩˦ pɔ˧˥
寫	ɕjɑŋ˨˩˦
寺步门	tsʰɯ˨˩˦ fɤmən˥˥
封	fum
封建主义	tsʰjɛn˨˩˦
将脚	tɕiõ˥˧
小	tak ja
小学	ɕau˥˥xoʊ˥˩
小火轮	siau˨˩ fu˧˧ lən˥˧
小酒	ɕjɛ˨˩˦tɕi˨˩˦
少	sˈɛl
尖心	tɕjɛ˧˥ɕɪŋ˧˥
尤	io
尤侯	jˈu hˈæv
就	tɕʰjoʊ˨˩˦
尴尬	ka˥˥lɤ˥˧ka˥˥la˥˥
尹	nɛn
尼姑	ni jɪkˈu
尾巴	li˨˩˦tap˨˩
屁股	piko
屄	pjɛ
屈	tʃu
屋	wok
屋梁	vˈutleˌɑŋ
屋檐	wɔːt˧jɛːn˨˩
屋裏	wˈɛli
屋里	guenˈriː
屋顶	voktiːm
屎	si˥˩
屙尿	moːˈnija
屙屎	tɕʰi˨˩˦
屠	tu
山河	sǎŋ˥˥ɔː˩˦
岑	tsʰan˥˥
岳	o
岳阳楼	lɔːk˨ jɔːŋ˧˥ lɛːu˨˩
岳麓书院	lok˨ lok˨ ɕyː˧ laj˨
崔	g
崽	tsaɪ˥˩
崽哩子	tsaːi˨˩li˥˩tsɯ˧
嵺	dijˈeu
工	um
左	tˈo
左首	tsuɔ˨˩˦ɕiu˨˩˦
巫	u˨˩˦
巴	pa˥˥
币	tʃi
布	poʊ
希伯来语	tɕi pɾeɛɛnj
席	tɕʰi˧˥
席子	tɕʰjak˨tsɯ˧
帮	pɔŋ˥˥
帮派	ŋ˥
常	sõŋ˥˥
常建	tsʰŋ˥˥tɕjɛn˥˥
帽子	mɑʊ˨˩˦tsɯ˧
幔帐	mɔːn˨˩tsʰɔːŋ˥
干	kən˥˥
干什么	suːˈʃiːliː
平台	min˨˦laː˧i˨˦
平安	kjo̞˧˥ŋ˥˥
平整	pʰiŋ˨˩tsaŋ˨˩
平话	pʰi˧˥faɪ˨˩˦
年糕	nko˥˥
年边子	n˥˥jɛn˨˩˦ ttsɯ˧
幸得	sin˨˩tan˨˩
幼儿园	ɤ˨ɕʈʂɚ˨˩˦ɥœn˧˥
广	tɕʰoŋ˨˩˦
广润门	kwɔːŋ˨˩lɤm˨˩mən˧
床舷	tsʰjɛn˥˥
序言	ɕy˨˩˦n
底下	tika
庚	kian˨˩
庚青	pjɛn˨˩˦
座牙	tsʰo˨˩ ŋa˥˧
康	so
廉	laˈnˈ
廖	tiau˥˧
廟	mjˈeːo
廣	kuaŋ˨˩
廣州	kuɔ˧˧
建德观	tsʰian˨˩ta˥˥kwan˥˥
开水	aɪ˥˥
弆	kje˩˥ː
弊	pʰi˨˩
张籍	tɔːŋ˥
弥勒佛	mʲiːlætfæ
強	tɕʰiŋ˨˩˦
強弱弱格	tɕʰɛ̀ːŋ˧˧nɑŋ˧˧kka˥˥
强大	tʰuaŋ˨˦tʰaʔ˨
强盗	tʰœ˧˥  tʰau˨˩˦
当昼	tɔːŋ˨˩tsiː˥˧u˥˧
彭	tʰaŋ˨˩
影	jaŋ
影子	jãnˈtsɯ
彼	pi˧˧
往生钱	wɑŋ˨˩˦sian˥˧tʰjɛn˧˥
很多人喜欢骑自行车去旅游	pʰa˧˥ tsuɔ˥˩ nɕi˨˩˦  tɕi˧˥ʈʂɤ˥˥ʈʂa˥˥tɕjɛ˧˥ li˨˩˦u˥˩
徐	tɕy˨˩˦
徐凝	tʃini
徛开	si˥˧kʰe˥˥
德胜门	te˨˩tsʰĩ˥˥mən˧˧
徽语	fuj
心子	fintse
必	fˈi
志道堂	tsɯ˥˥ tʰɑʊ˨˩˦ tʰoŋ˧˧
忘恩无义	mɑŋ˧˥ njɛn˨˩˦u˥˧n
忧郁	jɛː˥˥ jɛː˥˥
怀身大肚	ua˧˧e˨˦sɪn˥˧tʰa˥˥e˨˦tu˨˩
怕	pʰ
怠慢	tʰaː˥˩man˥
急子	ʈʂi˨˩˦tsɯ˥˥
急惊风	tɕit˦tsiaŋ˨˩ fu˧˧
恰茶	tɕʰiaʔ˨˦tsa˨˩˦
恰饭	tɕafan
恶心	moʁim
悟空	uːkˈoŋ
悬	sioŋ˨˩
悬崖	sioŋ˨˩ʁai˥˧
惊醒	tiaŋ˨˦sian˥˧
惠民门	fui˨˩ mĩ˥˥ mən˧˥
惯	tian˥˧
想像	ɕjˈon ɕjˈon
惹	nja
愛	ŋɔː˧
愛，赣语发音	ŋɔːi˨˩ ŋɔːi˨˩ tsʰiːn˨˩
感恩	kɔ̀ːn˥˩ɛ̀ːm˥˩
感恩节快乐	kɔ˧˥ntsʰtʃt˥kua˧˧a i˥˩
感謝	koːndʒɔ
慢后	maːŋʔʔauː
憨	dˈæn
憲法	fɑŋ˥˥
應	en
懷	wˈaɪ
懷嶽片	ua̯aːi˧ŋ˥˩ɔːkʰʔpʰiː˨˩an˨˩
戈	qatʰ
戍	fˈil
戏	si˥˩
成	sau̯
成都	sænˈduː
我	tsuɔ˥˩joʊ˨˩˦
我不在屋裏	ŋɔː˧˥paː˥˩saː˩˩˦ɔː˧liː˧
我不知道（我不晓得）	nˈoːpʰusˌiːewˈda
我们	ɦoʊn˨˩tɪŋ˧ hoʊn˧liː
我們	hʊŋ˨˩˦li˥˩ hʊŋ˨˩˦
我是老师每望	ŋɔ˨˩˦sa˨˩laʊ˨˩˦sɯ˥˩ mɤ˥˩
