-abel	ɑːbəl
abc-våpen	obɛsˈejevɔpɪn
abc-våpenet	oβɛsɛjavɔpnɛ
abc-våpna	obesˈeːɛvˈopnʌ
abc-våpnene	oˈbisɛɛvoˈpnɐnɐ
abc-øyene	obesˈeɒjunˈɒ
abderitt	abdæɾit
abderitten	hˈɑːbdˈiɹˈɪtən
abderittene	havderɪtne
abderitter	abd̪elit̪iɾ
abderittisk	avdˈeːrˈɪtɪsˌk
abderittiske	abdˌeːrɪtˈtske
abdikasjon	abdˈɪkˈaːsˈu
abdikasjonen	abdɛkaʃoːn
abdikasjonene	abdikaʃuːlˈm
abdikasjoner	abðikaʃuːnɪr
abdiser	apd̪eseɾ
abdisere	abdisˈeɹ
abdiserende	abdiːsːeɾəna
abdiserer	apd̪esæɪɐr
abdisering	abdɨsˈeɾeɪŋ
abdiseringen	abdisiereɛn
abdiseringene	obdɨsˈeɪɹɪŋ
abdiseringer	apd̪esɛjrɛŋer
abdisert	ofð̞jssɛjlt̪
abdiserte	aːbðəsˈeɪt
abdomen	abdum
abdomena	optovomno
abdomenene	alptuaɫmeniŋi
abdomenet	abduumɨnɛ
abdomina	abduʋmʲna
abdominaene	abd̪ominaːna
abdominal	abdominal
abdominale	abdominal
abdominalt	abd̪omĩŋolt̪
abduksjon	apdɨkʂun
abduksjonen	apdəxkʃuːn
abduksjonene	abdɯdkʃuːnana
abduksjoner	abdɪkʃuːnɪ̞r
abduser	apdusɛjr
abdusere	opduseˈɛr
abduserende	aːvdusɛjɛrɛnɛ
abduserer	ˈɑːbdˈʉsˈeːrdˈʉ
abduseres	ˈɑlmdˈʉsˈeːrəs
abdusering	opd̪esˈeːɹiŋ
abduseringen	avdˈʉsərˈiːngˌiːn
abduseringene	aptusəjərˈiŋənə
abduseringer	apd̥usɛjɐŋer
abdusert	ʒˈɛɹidˈysˈɛst
abduserte	apdusˈeːt
abel	ʔabɐl
abelmoskus	aːbəlmoskels
abelmoskusen	aːbɾumˈuzkisɯn
abelmoskusene	ɒɒbɾˈiɾmˈɒsfiˈsənˈi
abelmoskuser	abɯrmõsgysər
abelmoskusfiber	ʔabəlmɔskusfiːbər
abelmoskusfibere	abrˈmˈoskusfiːbrˌe
abelmoskusfiberen	abomoskɛsfiːbɪlɛn
abelmoskusfiberne	albølmˈɔskˈɛntfˈibərnˈe
abelmoskusfibre	albɔnˈɔskˌɵsfˈibre
abelmoskusfibrene	ħˈɔbəlmˈɔsʃiːzˈfʲibʁən
abelmoskusfibrer	albɛrmɔskusfiːbrɛ
abelsin	hˈɛvəlsˈiːnt
abelsinen	ˈɔfəlsˌin
abelsinene	abelsina
abelsiner	abelsiːnər
abelsk	hɔbɛlsk
abelsk gruppe	aːbəlk kripːə
abelske	hˈabəlskə
abelske gruppa	avˈɛl skˈa gruːpa
abelske gruppen	hˈɑːbəlsgˈeː grˈʉpən
abelske gruppene	avəlskˈeː grʉpːənə
abelske grupper	avbˈɛlska grˈʉpːɛr
abelvær	apɐlvɐr
abengslig	apˈɛnkˈlʃlʃlʃlʃ
abengslige	hˈabˈɪnʃlˈeːɾ
aber	ɑːbɪr
abera	aːbara
aberdeen angus	abˈeːdɪ nˈaˌ
abere	abr
aberet	albeɾe
aberne	aːbɑnɑ
aberrant	abɛrant
aberrante	abɛrˈantˈɛ
aberranten	abɛɾan
aberrantene	ˈɑɹbərˈɑːntnə
aberranter	hˈabbərˈantər
aberrasjon	abərˈtʃu
aberrasjonen	abrˈɑʃuːn
aberrasjonene	abɯraʃɯʎɯnnɯ
aberrasjoner	abɯraʃɯlunɯr
abessinia	abɛsia
abessinier	abɛsˈiːniːr
abessinierbrønn	abəsiːnjɛrbrun
abessinierbrønnen	ˈɑbːɛsiːnˈiːrbrˈønnən
abessinierbrønnene	abˈɛsidnˈiərbˈrøːnənə
abessinierbrønner	abəsˈiːniːˀɛrbˈrœnər
abessiniere	aːbəsiːjiːnˈɪ
abessinieren	abesiːjˈniːjˈɛrn
abessinierne	abbe̞s̻iːt̪janna
abessinsk	opɛsinsk
abessinske	abəsˈinskə
abessiv	abesio
abessiven	abɛsivin
abessivene	abbesɪvˈen
abessiver	apəseːveɾ
abgeschmackt	apgəʃmˈakt
abgeschmackte	apkɛʃmakta
abgeschmackthet	apkəʃmˈɑːktˈɪd
abgeschmacktheten	ˈapgəʃmˌaktɛːtən
abgeschmackthetene	apkɛʃmaktɛːtnɛ
abgeschmacktheter	apkɛʃmaktætɪ̞r
abidjan	ɑːbɪjɑːm
abild	tˈɑːstbˈɪlt
abilden	ɑːbˈɪl
abiogenese	albjugʲɛnʲeːsa
abiogenesen	abɨjùːgʲiːnʲeʲɛsʲɛn
abiogenesene	opijuːgɲɛnɛsɛna
abiogeneser	apʲuʲːuːgʲɛnʲesɪ̞r
abiotisk	abijuːtˢɪs
abiotiske	abjotiske
abitur	abˈɪtˌur
abituren	ˈɑːbitˌaɪərn
abiturene	æˈbɪtyːrɛnæ
abiturer	aːbˈiːtˈyːrər
abiturient	abətˈʉrjˈɛnt
abiturienten	ɑːbˈʏtyːriːˀːɛnˀːin
abiturientene	avbˈitˈʉrijˈɛntənə
abiturienter	avvjøtˈʉrjˈɛntɛr
abjekt	abjɛkt
abjekte	abjˈɛktə
abkhaser	æbkɑːsæɾ
abkhasere	abkɑːrʃur
abkhaseren	abkosəl
abkhaserne	æbkɑːrˈsænæ
abkhasia	abkɑˈsjɑ
abkhasisk	abˈkɑrˈsisk
abkhasiske	æˈbkˈɑːrsɪskə
abkhasisken	ælbkaːrsɪzˈkɪn
ablasjon	ablˌɑzʃuː
ablasjonen	ablaɾʃuːm
ablasjonene	ablˈɑsʃalˈdˈɛnˈɛ
ablasjoner	ablˈasʃuːnər
ablativ	ɑblɑtiv
ablative	ablativ
ablativen	aplˈativˈ
ablativene	abɫot̪iv̪ɛn
ablativer	ablatˈiːvər
ablativform	ɑblɑtiːfʊrm
ablativforma	ablatiːvformɔ
ablativformen	ablatifrm
ablativformene	ablatifrmina
ablativformer	hˈablatˈifˈɔrmər
ablativisk	ablatːiːvɪsk
ablativiske	avlativiske
ablativt	ablativit
ablefynte	ablfintˈ
ablefynten	abəlˈɪfɪndən
ablefyntene	apləfiːlmpnˈə
ablefynter	ablofintər
ablegøye	ablɪkkjɛ
ablegøyen	ablɛgˈøːrjˈɛn
ablegøyene	ablɛkɪ̞jɪ̞næ
ablegøyer	ablægøjør
ablesin	oblɛsɪt
ablesinen	ablɛsiːn
ablesinene	ablɛsziːnɛn
ablesiner	abləsˈiːnər
ablusjon	apuʁʃˈon
ablusjonen	ablˈʃʊoˈnˈ
ablusjonene	æb̞lʲɪsʃuːglnɪnɪ
ablusjoner	ablusjˈoːvˈnˈɾˈ
abnorm	abnɔrm
abnormal	abnuɾmon
abnormale	aːbɯnɯmɑːlɯ
abnormalt	abɯnɔrmɑlt
abnorme	apˈnorme
abnormitet	abnˈuːlmɪtˈeɾd
abnormiteten	ˈɑpɔnɔrmɪtˈeːtn
abnormitetene	abumɔrmitijetni
abnormiteter	apn̪ormit̪eæt̪tiɾ
abnormskole	alnoɾmskulɛ
abnormskolen	abnɔrmskuˈn
abnormskolene	abnˈɔrmsxulnˈə
abnormskoler	abnˈɔrmskˈuːlər
abnormt	apnurmt
aboler	abɔleːr
abolere	abˈɔlˈərˈ
abolerende	tɑstleːrðieːrne
abolerer	abːolərɛ
aboleres	abolaɾis
abolering	aboˈlˈlɛiɾi
aboleringen	ˈɑbɔrleːjɛrɪŋiːn
aboleringene	abˈoɐlərˈiŋɛ
aboleringer	abˈoːlərˌiːɾ
abolert	abɔleːtˈ
abolerte	aboletː
abolisjon	ɑbɑliʃom
abolisjonen	aboːlʲiʃʲiəgoŋɪn
abolisjonene	aboːliʃuɫunɯ
abolisjoner	abːolˈiʃiːiːnə
abolisjonisme	ɑbɔliˈʃuːniːsmɛ
abolisjonismen	ɑbɔlʃuːnismɛn
abolisjonismene	ɑbɔliʃuːniːsmɪnɛ
abolisjonismer	ʔabolaʃunˈismər
abolisjonist	ɑːbəliʃuːnɛst
abolisjonisten	nˈɪçtvˈɔlˈɪçʃˌoːnnˈɪçstən
abolisjonistene	ɑbɔlɛʃuːnistæn
abolisjonister	ʌbˈolɪskˈuːnˈistər
abolisjonistisk	abolɛʃunɪstɪsk
abolisjonistiske	abolɛʃoˈniːsˈtiske
abominabel	abomiaβ̞ɯl
abominabelt	abˀumiːnabəlt
abominable	albomenobl
abominablere	ˈɑbɔmiːnˈɑblərə
abominablest	abɔmiːnnaːblɛst
abominableste	abuminɛblɛste
abonnement	aːbunɯmɑn
abonnementa	apɯnɯmoɑnno
abonnementene	hˈɑlbˈɯnənmˈɑngənˈ
abonnementer	abonimɑnmiɾ
abonnementet	æpɯ̞nɯ̞mænmʲe
abonnementskonsert	abˈɯnømɑˈʁiŋzkˈɔnsɛkt
abonnementskonserten	aːbunɯnmaːŋɯzkonsertin
abonnementskonsertene	abunamɑŋgɯzkɔnsakni
abonnementskonserter	æbɔnɯ̞mɑːgjɪlskʲɪnsɛrtɪ̞r
abonnementspris	æbːɔdðˈɛnmˈɑŋspʰˈiz
abonnementsprisen	abonemansprism
abonnementsprisene	abonemɑŋksprisɛnɛ
abonnementspriser	abonəmɑːkspɾisːɛr
abonnent	abɔmɛnt
abonnenten	abonˈɛntˈɛn
abonnentene	abonenteni
abonnenter	abonellɛtɛr
abonner	aboneɾ
abonnere	ɑbɯnɯeɾe
abonnere på	a tɯnɯ eɾebu
abonnerende	abunejeɾini
abonnerer	aˈbbunejeɾeɾ
abonneres	atɑzɑnejeɾez
abonnering	abˌanˈeɪɾɨ
abonneringen	aːbunejɛɾiˈgim
abonneringene	ɑbʊnmieːrʲiŋe
abonneringer	ˈɑːvvˈɔniːəɾiːŋjə
abonnert	abonɛːt
abonnerte	aa
aborder	abɔɾðeɾ
aborigin	abɔɾɛᵑgin
aboriginen	aboriˈgiˈnɪn
aboriginene	aboɾigʲiːnɨnɪ
aboriginer	aboriːgiːnɪ
aboriginere	abˈorɪgiːnərˌ
aborigineren	aburijgɛjinirɛn
aboriginerne	aboɾegjnana
aboriginsk	aboɾiginsk
aboriginske	abɔrʲiːgʲiːnsʲke
abort	abˈɔt
aborten	abˈorten
abortene	abɔrtɛnˈe
aborter	aboɾtˈtɯd
abortere	abˈɔrteːr
aborterende	ˈɑbɔrtˈərənə
aborterer	abɔrtɛl
aborteres	abɔrtɛres
abortering	abotːˈeɪɾˈiŋ
aborteringen	ˈabɔɾtɛrjɪŋɛn
aborteringene	ˈɑbːoːrtəjˌəlˌiŋənˌə
aborteringer	ˈɑːbˈɔrtəəriːɾ
abortert	æbˈoʊtˈæt
aborterte	æˈbɔːtæˈrˈtˢe
abortiv	aboɾt̪ib
abortiva	abˈɔʊtiva
abortive	abortˈiv
abortivene	abˈoɾtid̥ene
abortiver	abˈoɾtivər
abortivet	abotːivə
abortivt	apɔrtivt
abortlov	abˈˈɔrklˈoːv
abortloven	af˦bˈɔɾtlˈoːvən
abortlovene	abˈoːrtˈlˈoːvənə
abortlover	hˈɑːrbˈuːrtlˈoːvər
abortnemnd	abˈortnəmt
abortnemnda	abˈortnəmðə
abortnemnden	abˀortnəm
abortnemndene	aboɾtnemdɪnə
abortnemnder	æbːoɾnæmdæɾ
abortpilla	abˈortvɪlla
abortpille	abˈortˈpələ
abortpillen	æˈbɔrtbˈɪl
abortpillene	abˈortvˈɪlənə
abortpiller	abˈoːrtˈpəlˈlər
abortsøkende	æbɒrtsøːkɛnˀna
abortsøker	abˈoːrtˈsøːkər
abortsøkere	abːoːrtsˈøːkərə
abortsøkeren	abˀɔrtsˈøːkərən
abortsøkerne	abˈortsˈøːkarna
abortus provocatus	abˈortəs prˈoːvokatˈɵs
abrahamsen	abraːmsi
abrakadabra	abrakadabra
abrakadabraa	ˈɑɔbrakˈatːɔːbrɔ
abrakadabraene	aɔbɾakadaɫabrane
abrakadabraet	ɔbrakadobra
abrodd	abrˈot
abrodden	abrɔdn
abroddene	aprɔbna
abrodder	aprɔðˈder
abrot	abrˈot
abroten	abrˈoːtən
abrotene	abrˈoɫtnˈa
abroter	aprɔtɜ
abrupt	abrˈʉpt
abrupte	abrʏptɨ
abscess	ɑbsɛs
abscessen	aʊbsɛsən
abscessene	abseːsən
abscesser	abzˈessiːr
abscisse	apsisˈsˈe
abscisseakse	apsissɛakse
abscisseaksen	apsɪssaːksɛn
abscisseaksene	apsissaksana
abscisseakser	apːsissˈaksə
abscissen	apsistsim
abscissene	aʔapsissəŋˈa
abscisser	opsisɛt
absenter	abzintiːr
absentere	absnttʃi
absenterende	abz̺nt̪e̞rẽne
absenterer	apsɛntˌeːrər
absenteres	abstʃjɛrɪs
absentering	absentɛjrj
absenteringen	ɑːbsentˈəɾɪŋin
absenteringene	abzˈɛntɜgˈiːɾˌiːˌɛɾiŋənə
absenteringer	abzɛntɛrɪŋɛ
absentert	ɑːbsentθɪt
absenterte	ɑːbsɛntɑːrtə
absint	absint
absinten	hˈaʊpszɪmeːtən
absintene	abseˈntemi
absinter	abzintiːr
absolusjon	absoːlˈʃuːn
absolusjonen	abzˈɔlˈʃuːvən
absolusjonene	abzoɾɫusʃuːunɯme
absolusjoner	abˈsolˈʉʃiːoːnɛ
absolutisme	abˈsˈʌlˈtiːsmə
absolutismen	abzalutistʃi
absolutismene	abˈsɒlutteˈsmini
absolutismer	abzalutjsmɛ
absolutist	abˈsɔlˈʌtˈɛk
absolutisten	abzalutˈtɪstˈɛn
absolutistene	abˈsɒlitˈestɒne
absolutister	absolʲøtˈɪstər
absolutistisk	abˈsɔlˈʌtˈistˈisk
absolutistiske	abzalutistˈiske
absolutt	ˈɑbːɔlˌʉt
absolutt flertall	absoːlˈʉt flətˌa
absolutt gehør	ˈɑbːuːlˌʉtkə hˈøːr
absolutt komparativ	absoːlˈøt kəmpərˈati
absolutt majoritet	ˈɑbːʌuːlˌʉt mˌɑjoːriːtˈeːt
absolutt nullpunkt	abˈsɔlˈʉt nˈɵlpˌʊŋkt
