'ржена	rʒɛna
бидам	bidam
бидат	biːt˦at˟
биде	bide
бидеме	biɾeme
бидете	bʲidætæ
бидеш	bʲides
бидејќи	bi'deikːi
биди	biri
бие	bʲir
бизнис	bˈɪznɪs
бизнисмен	biznismen
бик	bik
бикови	bjkovi
бил	bɪl
била	bila
биле	vilˈe
бисер	bʲisɪ̞r
бисери	bisɛri
битие	bitiʲa
битка	bitka
битки	bipk
битола	bitola
бифтек	biftɛk
благо	bˈlˌagʊ
благовец	blaguʲts
благодарам	bɭʌgˈodʌrʌm
благородна	blaɣorodna
благослов	bɫaːɣɫosɫop
благословен	blaɣoslovɛn
благословена	bɫɐgɔslɔvɛnˈa
благослови	blaɣoslovi
благословиjа	blagoslovja
благословува	blɛkɔsɫɔvɔ
благосостоjба	blagosɔstʊɛba
благост	blaˈgoˈst
благота	blaːgət
благотворен	plagotvərən
благотворна	plagotvorn
благува	plˈagva
блаже конески	bɫaʒɫ kʊ̞nɯ̞sʲtʲɪ
блажен	blaʒɛ
блаженство	blɒʐɛw̃stwɔ
блажи	blaʒi
блажина	blaxina
блазе!	blaze
бланкет	plˈɑŋkɛt
блатен	platɛn
блатиште	bɫatiʃtɪ
блатна	bɫatna
блато	platɔ
блатска	platska
блатски	platskʲi
блее	bla
блен	blˈɛn
бленува	blɛnua
блеска	blˈɛsk
блескав	blɛskəf
блескава	bleskava
блескот	bɫɛskot
блескоти	blɛskuti
блесне	plɛsnɛ
блеснува	plˈɛsnʊɫa
блешти	plɛʃti
блештука	blestukˈa
ближен	pliːsjɛn
ближна	bliʒna
близина	pliːziːn
близината	bɫɛzɪnata
близнаци	pliznatsi
близок	blizok
близост	blizɔst
близу	blˈizʊ
блиски	blˈisk
блуе	d̪ue
блуза	bluza
блузи	bɫuzi
бог	ok
богат	poga
богата	bogata
богданци	vobɾansi
богови	burguj
боговиње	pɔgɔvjɛnɛ
богот	bɔɫot
богота	bogɔta
божилак	buzilak
божица	boʒitsa
божјата	bosjt̪a
бои	bɔːə
бокал	boka
болежлив	bo˥˩ːlɛʃlɛ
болест	bolest
болести	bolestɪ
боли	bolʲ
боливија	bɔl̪inia
болка	bɔɫka
болки	vˈok
болни	boni
болница	bonɛtɛn
бор	bor
бори	borim
бориум	borium
борко ристовски	borko ristofski
боровница	bɔrɔvneb
босна и херцеговина	boːs nˈˈa jˈˈtʃ
боцвана	bɔtsʋa˥ˈna
бочва	buts
бојан	bujan
брава	bɾau̯
брада	brˈadɐ
бразда	bɾazdɐ
бразил	bɹˈazil
брак	brak
бракови	braːkɔʋi
бракот	brakɔt
бран	bran
бранко црвенковски	bankov tsɔ ɾɔbɛŋkɔvsk
бранови	branɔvix
брат	brat
братислава	bratislaa
брачен	bratʃɛ
брачни	bːɾatʃniː
брачниот	bratʃnʲut
брачните	bratʃnitɛ
брег на слоновата коска	rɛk nasɫanuvat a kɔska
бремен	brˈɛmˈɛn
брз	brɛs
брза	brza
брзам	brɪ̞zɪ̞m
брисел	pɹizɐɫ
брише	brjjʃjɛ
бркови	brɛkɔʋi
брод	bɾoɾ
броеви	broɛvi
брои	bɾuɪ
брокула	bɾɔkɔla
бром	brom
број	brɔj
број на новинарска легитимација	brojna novinarska ligitimatsia
бројката	brojkata
бројот	ubrojɔsˈt
бруклин	bruklim
брунеј	bɾˈunei
брусница	zrʊznʲitsɐ
буба мара	uβ̞amaɾa
бубалица	kubalits̻a
бубалици	bubalitsʲe
бубрег	buːbrɛk
бугарија	bʊ̃gəːriː
бугарски	bugɛrski
будимпешта	budimpɛʃtɐ
буенос ариес	bwˈenos aɾjˈes
буква	buka
букурешт	β̞ukoɾest̪
бунтовник	buntɔvnɛk
бунтовници	untɔvʲnɨtsʲ
бурек	burɛk
буркина фасо	brɔke na fasa
бурно	vurno
бурунди	bolundɪ
бутан	butˈan
бутка	butka
бучни	kˈut
вавилон	vavɨlɔm
вагон	vagun
вадуз	vˈadʊʒ
важни	vˈɑʒny
важност	vaːʒnɔst
вака	tɨbaka
ваквата	dvakvatɐ
вакви	vakvi
ваков	vˈakɔf
валандово	valannovɑ
валентина	valentino
валета	valˈeta
валкан	valkov
ванадиум	vanadjum
вардар	aɾˈdɑɾ
варено	varna
варира	væriːrˈɑ
варшава	maːɾʃɐvɐm
ватикан	vatikan
ваучер	vult
вашингтон	væʃɪŋtən
вашите	vˈaʃite
вградува	vgɾadɔva
вдишува	vdiʃua
веднаш	vɪdnæʃ
ведро	vɛ˥˩ːdro
вежба	d̪espat̪
вежби	vɛːʒbɛ
век	vˈɪk
вековите	vɛko˥˩ːlida˥˩
велам	vjɪlɑ
велат	wɪlɛt
велеа	vɛlea
велес	vis
велешта	ðelesta
вели	vili
велигден	væliʁdæn
велингтон	vɛlɪngtʊm
величе шумуликоски	veˈɫitʃe ʃumʊɫikɔvski
велосипед	fiʁˈotʃipɛt
вена	vˈɛn
венециjа	venetsi
венецуела	venetsuela
вени	vim
венијамин	vanɛɑmɛn
вера	vˈeɾa
веридба	ʋeɾidbo
верифицира	berpetsira
верници	vɛrnitsi
веројатно	vɛrʊjɑtno
верски	beɾɢi
верува	vɛrɔva
веруваме	veruvamɛ
весна станојевска	wɛsna stɔnɔjɛrsko
весник	vɛsnɛk
весници	vɛsnɨtsʲ
вест	vˈɛst
ветер	veter
ветеринар	ðetʃɛrjnaɾ
ветувањето	vɛtfaɲet
вехорат	beːkoːratoː
вечер	vetʃər
вечера	ʋɛtʃa
вечери	vetʃeri
веш	vˈɪʃ
вештачки	ʋʲæʃtuts
веѓи	rɛgj
веќе	vɛkɛ
ви	vˈi
ви благодариме	vi ˈbɫɑgɔ daːr ɪmɛ
вид	viv
видела	videɫa
виделе	vidɛlɛ
видео	vidɛo
види	vidi
видиме	vˈiːdime
видовит	vidʊvit
видра	vidra
видување	vidʊvɑɲɛ
вие	vje˩˥ː
виена	fʲala
виза	viza
визуелна	vizuɛma
викам	vikam
викаше	ikassa
викенд	viːkˈɛnt
википедија	ikipɛdia
виктор	vˈɪktɔr
викторија	viktɔria
викторија лоба	vɪkto˩˥ːrija lɔba
вилнус	vɪlnus
вилушка	vˈiɭuʃk
виница	viˈnitsa
вино	vino
виновник	vinʊnjk
виновникот	vinˈovnikot
виножита	ɛnuʒitɐ
виножито	vinoʒito
виолина	viˈɔljna
виртуелниот	birocujulmɯjoɾ
вирус	ʋʲɛɾʊs
висина	bizɪnɐ
виски	viskɛ
висмут	vʲiʂmʲut
висок	visok
високиот	visokjot
високо	visokɔ
вистина	bistina
витамин	vˈitˈɪmˈɪn
витамини	vitɑmjimi
витаминот	vitanmʲinut
витебск	fidɛps
виткана	vitkano
виц	vits
вицови	vɪtsɔʋi
вклучува	kɫutsuɑ
вклучувајќи	vklutʃuvajkʲi
вкусeн	fkˈuːsɛn
влада	ɫɑdɑ
владеачка	vɫadɛjɑtʃk
владеачка коалиција	ɫatɛjɐtʃka koˈaɫitsijɐ
владее	bˈɔðɚ
владетел	vlotɛtɛl
владејачка	vɫatɪjˈatʃka
владимир	ɫadɛmir
владо таневски	ɦlɑdɔtanɛfski
влажен	vlˈaʒɨ
влакно	mˈʎaknˈo
власт	ɫæst
влегува	fˈɛstˈ
влезе	fˈɛlˈɛzˈa
влезот	vlˈeːzˈɔt
влече	vlɛtʃɛ
влијае	faliã
влијание	vlijaɲe
влоши	vlˈoʃ
влошува	vɫɔʃuvɑ
вмро-дпмне	vɨmarɔdopomanaj
внатрешен	saznatrɛʃɛn
внесувате	vnɛsuvatɛ
внимава	vnˈimava
внимание	vɛˈnimaːnɪə
вниманието	vnimaniɛto
во	vˈo
во 1971	vo iuʲaɫi da vestut i nisɛ dum ta sɛ tiprɛva
во право си	vopravosi
во сабота	vo saboto
во саботата	vusabotata
воведувај	tˌubʊvˈedʊvˈaɪ
вовлече	ʁuglə
вода	vɔda
водат	vulɔt
водата	vˈodata
водач	vɔdatʃ
водел	vɔdɛl
воден	voɾn
воденица	vodɛnitsa
водечко	vɔditʃko
води	vodj
водно	bodnɔ
водопад	buluda
водопади	vudupadɪ
водород	vodorot
водство	vɔtstvɔ
воена	bweno
воз	vos
возачка	vuzatsk
возбуда	vuzbˈili
возбуди	vozbudʲip
возбудлив	wozbwd̪lɛ
возбудлива	vuzbudljiva
возбудува	vɔzbɔduvɑ
воздржуваат	vozdrɑːʒuːvaːt
воздух	vozduk
воздушен	vˈoːzˈðæʃɑŋ
вози	vo˩˥ːzi
возможна	vozmuzna
вознемирува	vɔznɛmʲirʋɑ
вознемируваше	ɔznɛmiruʋɐʃe
вознемирување	vɔznɛmɪrʊvɑɲːɛ
вознемирувањето	vɔzɛmʲiruvaniɛt
возрасен	vozɾasɛn
возрасни	vɔzrasni
возраст	vozɨra
вол	vo
волга	vˈoɫka
волк	vˈoɫk
волку	wˈɑlk
вологда	vˈoɫokda
волфрам	fokɛra
волшебен	ʋuɫʃɛmbɛn
волшебник	wʊ̞ʂɛmɫɪ̞k
волшебнички	vilsimnʲitsʲ
волјата	vojata
вонсериски	bunsiɾizk
вообразува	boːbraːzua
воодушевува	ʊdoʃˈaʊ
воопшто	boːlɔpʃtɔ
воскресение	vuskreseni
восок	vˈosok
воспитувач	vɨspituvɨtsɕ
воспитување	vɔspituvɐɲɐ
воспитувањето	vɔspitʊvaɲɛt
воспоставам	vɔspɔstɔːn
воспоставена	ʋospɔstɑʋɛna
вошка	vˈoʃka
војските	vojskid̪e
војсководец	vojskoˈʋadɛs
впуштај	pʊˈstaj
врапче	tɾaptʃe
врапчиште	fraptɕiʂtɛ
врат	bˈɾˈat
врата	brata
вратата	vratata
врати	vrati
вратив	vratif
вратоврски	ʋrtɔʋɛrˈski
враќа	fraka
вредност	ʋrɛdˈmɔst
вредности	ʁʲrʲnʊsdʲɪ
врежува	vrɛzɔvam
време	vrɛjmɛ
временски	wˈriːmynskɪ
времето	ɔvrɪmjɛtɔ
времиња	vrɛjɛmijˈnʲɑ
врз	vrˈas
врзува	vɾzua
вриеше	vrijɛʃi
врне	ðɪ̞rnʲɪ
врска	wrska
врски	brɨstkʲi
вртат	bɯ̞rtɑt
врти	vɜːˈti
вртоглавица	grtugɫaˈvitsa
вруќо	bɾˈukɐ
вселена	selena
вселената	t̪elenat̪o
всушност	sutʃnɔst
вторник	ftornik
вулкан	vɔːlkɑːn
вујна	voina
вчитува	tʃtova
габон	gabon
гадолиниум	dradɔliniʊ
газе	gaze
галантен	ɣɑlɑntɑm
галатите	ɣ̞aɫatʲit̪e
галиум	ɣ̞aˈljum
галичица	gəliˈtʃ
гамбија	kɑ˥˥amɓɛa˥˧
гана	glˈanˈa
гаража	gˌɐɾˈazɐ
гардероба	gardɐroba
гасовитите	gasovititɛ
гвинеја	vɛnˈɛːɾ
гвинеја-бисао	jnɛɑbɨsɑɫ
гевгелиjа	gʲavgʲɛlʲe
гевгелиjа е град во макeдониjа.	gʲɛvgʲeˈlʲɑ ɛgrat wʊ mɐkɛdɔnʲiɑ
гевгелија	gˈaklɪ
ген	dʒen
генерализира	ne̞nalizira
географија	geografia
геологијата	gɨʊlʊgˈiɐtʊ
георгиевски	gɒlgeˈvsk
германиум	gɛrmaːnju
германија	gjermɑnja
германски	gɛrmɛnski
геј	ɟaj
ги	gɪ
гитара	gitara
глава	gɫaβ̞a
главен град	glˈɑvən grˈat
главниот	gɫɑvnɔjɔt
главно	gɭˈɑvnʌ
главното	gomot
глагол	klago
глаголи	gɫagulɨ
глад	glˈɑd
гладeн	bɫɑbɪn
глас	gwˈɛs
гласна	bɫasna
гледа	glˈɛda
гледаат	ɣlɪˈdˈɑd
гледиште	glɛdiʃɛ
глина	glina
глувче	gluftʃi
глумец	wˈɚ
глумци	glumtsi
глупаво	glupo
глупости	ɫupost
глушец	glˈuʃət
гнил	gɨmjˈu
го	gɔ
говедско	ɠovɛtskɔ
говор	govar
година	gʊˈdɪna
годината	goːd̪iːnaːt̪a
години	gɔdɪnʲi
годишната	ɣɔdiʃlɑda
годишните	ɟɔdiʃnitɛ
годишно време	gˈoˈdiʃnˈo vrˈemɛ
голем	gɔlɛm
голема	gɔlɛma
големи	golemi
големо	gɔleˈmɔ
гора (регион)	gora
горан пандев	gʊɾan pɑndɛf
горан попов	gʊɾan pɔpɔf
горд	kɔɾt
гордеам	gɔrdɛw
горе	gora
гори	gˈuɾɨ
горила	gʊɾjɪɫɐ
горица	kɔɾizɑ
горниот	gɔrniɔt
господар	ospodaɾ
господин	ˈgospˈoɾˈɛmˈ
гости	gust
гостивар	gost̪eɾakõm
гостин	gɔstɪn
готови	gotoj
грабеж	gɾaβes
грабливец	gɾabljˈe
град	grat
града	grada
градба	gradva
градежен	gradɛʒem
гради	grati
градина	bɾaːɗina
градиш	gɾadis
градови	gradɔvij
градоначалник	ɣ̞ɾað̞onat̪ɣ̞ealnjk
градска	gratska
граница	granda
границата	graɲitsata
граници	granditsi
гранка	grankɔ
гранки	gɾak
грб	gəˈrp
грбоносен	gɛrbowin
грдиш	gɤrdis
грдо	gɛrðo
гребе	gɫɛbæ
грижа	griˈʒɛ
грижи	ugɹˈiʒi
гризе	grɛizɛ
грицки	gɾˈitskij
грк	gərk
грло	gɤrlɔ
грми	grm
гроб	gromp
гробови	grɔbɔvɨ
грозд	grɔst
грозен	grozɯm
грозоморни	bruːzumur
грозје	kruˈzjæ
група	grupa
групата	grupata
грција	gɨrtsʲa
грчки	kɐritski
грчки јазик	grɛtʃki jˈazik
губење	gubenʲ
гума	ˈguma
гумено	gumˈɛm
густ	gust
гуштер	guʃtɛr
д	dɛ
да	dˈɑ
даблин	dˈɑblɪm
дава	dava
даваше	ðaβɑʃa
давид	david
даде	dade
далечен	ɟˈaleʒan
далечен исток	dalɛtʃɛn istok
далечни	dalɛtʃ
дали	dali
дали зборувате македонски?	kal ʒwɒɾuˈvatə mɑkjɛnˈz ke
дали сте гладни?	ˈda li sta gladnɛ
дама	dama
даниела	danjela
данска	anska
дарежлив	daːrəzjˈ
дармштадтиум	tɛrmʃtarpɪ̞wm
даска	dask
датум	d̪at
датумот	ðatunot
дај	daj
два	dva
дваесет	dvˈaɪsæt
дваесет и еден	dvˈa jˈtsɛ jˈɛvən
дванаесет	dvɐnˈaˈjsɛt
дванаесетпалачно црево	kɔna ɛse paːlɑtʃut trɛmɔ
двајца	dvajtsɐ
двајцата	dvajtsata
две	dve
движење	dviʒeɲe
движи	dʒʲi
двокреветна	dobukrɛvɛtna
двосмислен	dvˈosɛisɛn
двојки	dvɔjki
деан	dijan
дебар	beba
дебар маало	d̪e beɾmal
дебатира	ð̞eβ̞at̪iɾa
дебел	vibil
деведесет	daʋiːdɑsʊt
деветнаесет	ðɛɹɑtmaiz
девојката	dɛvojtata
девојки	dɛvɔk
девствени острови	ðə ɛste njˈu ˈsɹwe
дедо	dɛdo
дека	dˈɛka
декада	dɨkˈadɐ
декадентност	ðəkadentnɔst
декември	dɛkɛndɾi
дел	dˈɛl
делегира	dˈə-lˈɛɣuiɾa
дели	θili
деликти	dˈelˈikˈte
дело	dɛlɔ
делови	ɟɛlovi
делото	jʊŋ˨˩˦joʊ˥˩˦ttnjɛn˥˩
делчево	dɔltʃɛvɔ
демир капиjа	d̪e mjɾkapja
демир хисар	d̪e mjɾχʲθaɾ
демократска република конго	ɛt mˈogləʃka ləpˈʊblɪkɑː kˈɔ̃
демони	teamoni
