'n	e
afstandsbediening	ˈɔfstˌɑnzbədˈinən
afsterwe	aːfsdɑɾbɑh
afstyg	afstˈɑjx
aftrede	aːftrɛdˌeː
aftree	astrɪa
aftreksel	aːftrˈaːkzoː
afvee	ofjɐ
afvuur	afiːr
afwaarts	afvɑːrts
afwesigheid	sajt
afwisseling	avˈɛsɑlim
ag	ˈaːx
agbaw	ɑχbɑf
agentskap	aχent̪ɕka
aggressief	ˈaxðˈelsjf
agste	axte
agt	ˈɑː
agter	ɑqtɯr
agter-paarl	ˈɑxtɯrpɑˈɫ
agterdogtig	âχtʲɪrːtɔxtɪ̞x
agtereenvolgende	ˈɑxtərɪnvˈɔlɣəndə
agtergrond	ɑxtərxrɔm
agtermekaar	ɑxtɯ̞rmɯ̞kːär
agterplaas	axtɜpɛaːs
agterstevoor	ɑxtɛrstəfˈoːɾ
agterstewe	axtɛrʃteˈve
agteruitgang	ˈaxtərˈɛɪtgˌɑn
agtervolg	ɑxtɪrfˈɔlx
agthoek	aqtʏŋk
agtien	ˈɑxtiːm
agtiende	axteːnde
agtste	ɑxtstɑ
aikona	ajɛkɔnɑ
aitsa	sã˥
akkedis	ˈæˈɾkædˌɛs
akker	ɑqɯ̞r
akkuraat	akiɾot
aksie	ɑːksi
akte	aktɛ
aktetas	aktɪtˈas
akteur	paktier
aktuaris	aptʃihoris
al	au
alarm	əlɑrɯ̞m
albei	alˈbai̯
albinism	ɔɫbiːnɪzm
alexander	alɛksˈɑndɛr
alfabet	ˈalfɑbeɪ
algebra	aːlχɯbrɑ
algemeen	æɫχɑmjæn
algemene	ɑlχmjələ
algerië	aɫxˈirija
algoritme	ɑχʏrɛtmæ
alhoewel	aluvɛl
aliwal	alival
alle	ˈalə
alle grappies op 'n stokkie	alə xraːpiz ɔfɛstɔpɪ
alledaags	alədˈaːʁs
alleen	aliːn
alleenheid	lanai̯
alleenloper	aliẽnlɔɾpeɾ
allergie	ɑlrxii
allerhande	alaɾande
allerlei	alernˈaːˈeɾ
allermins	alɜms
alles	pɑlɯs
alles in orde	ales ɒn ɒɾde
alles van die beste	ales vɑn dˈi beːstə
almal	amau
alreeds	alrɪts
altesame	altɨsɑˈmɯ
altwee	aʎtwˈiːɾ
altyd	altɑj
aluminium	aluminiam
alwynlaagte	ɑlwɛɪŋlˈaːxtən
alytd	ˈaʊtˌeɪt
amandel	ɑmandəl
ambassade	ambesadə
ambatovy	æmbˈtːuːrfˈi
ambulans	ˈɑmbɪlˌɑnkˈ
amerikaanse	amjɛrikˈants
amerikaner	ameɾikane
ammunisie	ɒmiːniːsiː
amoreel	amorjɛu
amp	ɑːmp
ampe	ampɛ
amper	ɑmpɯ̞r
amperbroekie	pampɔrbukˈej
ampsagtig	pəmˈpsˈaxtəx
ampte	aːmte
amptelik	ʔɑmˈtɯlɯk
amptelike	ɑmtɛlɨkø
analise	analɪse
anatomie	anatəmi
ander	ɢɑndɑr
andere	mandara
anders	andɛrʃ
andersins	ænðəsɪns
andersom	anˈðˈaʒɒm
andries	anð̞ɾjs
andries potgieter	andrɛj spot xʲitar
andré brink	ãn̪d̪ɾaj pɾlɛn̪ɣ̞
angel	aŋɔw˨
angelier	aːŋɛlɪr
angs	aɛ
angstig	ɑŋstɯ̞q
anioon	ãn̪i˧uan̪
anker	ɑŋkɯ̞r
annariet	anˈɾið
annatjie	aniːke
antagonisme	ɒntɒχɒnˈnɒsmɒn
antibiotikum	ant̪iβ̞ioð̞ikẽm
antieke	antika
antjie	aɪŋki
antoinette	antˌunˈeɪt
antropologie	antrɛkoluxi
antwoord	antvɔːrt
antwoordmasjien	ˈantvɔrdməʃˈin
anél oosthuizen	anɛɫ ʏ̞sʏ̞täjˌsan
apartheid	apartajt
apaties	apotis
appel	apɔ
appelboom	apɫβwˈŋ
appelkoos	apɔkɑs
appelliefie	apɾeˈʃi
applous	əplˈoʊz
april	aprɔl
apteek	aptsie̞k
aptyt	aβ̞t̪að̞
arabiere	raβ̞iɾ
arabies	araːbiz
arbeid	ɑrˈbeːt
are	ora
arend	ärɯ̞n
arende	ɑrɯnˈdɯ
argeologie	arxjlxiːb
argitekte	arxit̪ekt̪ə
argitektuur	ärxitektiu
argument	æˈɾimejt
argumenteer	arxemintiɣɾ
arm	ɑrɯm
armand de bruyn	aɾmãn̪t̪ d̪e brɾõinʝ
armband	tɑrɯmbam
armoede	ɾmudɯ
armoedig	ɑrmmuːdˈɑq
armpie	ʔársʲi
arms	bɑɾanz
arseen	arseen
artikel	aɾtjsɔ
arts	arts
as	as
as ek by kentucky instap, kry ek sommer hoendervleis	vˈɑzɑ bəkɪt kˈint tˈankə ˈot sˈælb kˈɔɹɛksˈun ˈʌv nˈɑt flˈaɪs
as jy jou swak gedra gaan jy 'n skrobbering op die lyf loop.	ʌls jˈə zˈoːx ɣədrˈaːɣən hˈəz kˈɾɔbˈeːrˌɛŋ bɪlˈəɪf lˈoːp
asbak	asma
asbes	aspeθ
asblik	alsplˈekt
asem	ʔaːsʔɛm
asemhaal	ɔːsəmhˈɔl
ashanti	aʃanti
asiel	asiu
asië	ose
asook	æzwɔːk
aspek	ˈaʊspˈik
aspersies	aspɛrsis
aspirine	asperɾiŋa
asseblief	ˈɑstˈɛnblˈif
astrofisika	astrʊfɪsika
astrolabium	astrʊlɔbiʊm
astronomie	aːstrlume
asyn	asˈaɪn
ateljee	atˈuljˈɛɹ
ateïsme	aːftəʔɪsmɑ
athol fugard	ˈæfəl fˈugɒt
atlas	atlas
atleet	atlˈeːt
atmosfeer	atmosfɛj
atoom	aktoɣəm
atoomgetal	ðətuːmɣətˈaːl
attributief	atrɛpɛtɨv
aucamp	plˈoːkamp
augustus	oˈʁɯstʃ
australië	jˈɑːstˈrˈɑːlˈiːˌɑː
avokado	avukadu
avontuur	avõŋtiːr
awe	ˈaʊɚ
baadjie	bajɣi
baai	bˈaɪ
baal	bou̯
baan	bon
baanbreker	paːnbɾijɐkːəɾ
baantjie	pɔĩŋki
baar	poɾ
baard	baːr
baas	bɑːs
baat	bˈoʊt
baba	baba
babalaas	bˈɑbəlˌas
babameisie	bɔbɔmɛisɪ
babaseun	voːboːsiːn
babatjie	bɑːbiki
babbel	tˈʌbəl
babelas	tɑːbəlas
bad	bˈʌt
badkamer	ätkämər
bagasie	vəxˈasi
baie	pajɑ
baie dankie	paːjədəm kiː
baie goed	ajɑχʊ̞r
baie tyd	pˈaɪɚ tˈeɪt
bak	bak
baken	bˈɑɹkən
bakgat	pɑkχɑːt
bakker	bakɯ̞r
bakkery	bakarai
bakkie	baki
bakkies botha	bakiz boːətə
baklei	bəkləi
baksteen	vagsdʒian
bal	tɔ
balju	balɛj
balk	bɔlk
balkon	balkon
ballingskap	balɛnskap
band	bant
bandopnemer	β̞ãn̪t̪ɔpmẽɾmæɾ
bang	pŋ
bangheid	boːŋˈgətˈɛ
banier	ani
bank	bˈænk
bankier	ɛʁʃ
bantoe	bɑntu
bar	bor
bars	bɑrs
bartolomeus	bartˈolomˈɪes
bas	bˈas
basaar	qɯzɑr
basilie	pɑsili
basis	voːˈsˈɛz
basket	β̞azket
basotho	basuto
bataafse republiek	be tˈaft sərəpuːblˈik
battery	bat̪eɾɾeʝ
beampte	d̪eamtø
beantwoord	bˌeːantvˈɔɾt
bed	beɪt
bedag	bˈadˈa
bedank	bədˈɑŋ
bedde	beɾe
beddegoed	bˈɪrdəɣəut
bedek	bɛdɛk
bedel	bieron
bedelaar	jedælˈɑɾ
bederf	bɒdɒrf
bedien	pˈeˈtiŋ
bediende	bedeːnde
bedkassie	beːtkaːsi
bedoel	bˈeɾˈu
bedompig	tˈədˈɔmpər
bedorwe	tɛstɔrva
bedrag	bədrˈɑx
bedreig	bədrəɪx
bedreiging	bˈɛdrɛɪɣn
bedrog	bədrˈɔx
bedryf	tətrˈə
bedrywigheid	bədrəiləxəaj
beduidend	bˈʌtdˈaɪdənt
beduie	bataja
beeld	bˈɪlt
beeldend	β̞iʝdent̪
beeldjie	bioki
beeldmateriaal	bjlt̪mat̪eɾjal
beeldradio	wˈiːltɹˈɑdioʊ
beeldskoon	bˈildzgˈorˈn
been	bjenn
beer	vjɛr
bees	pies
beesmaalvleis	bˈiəsmɔːpleɪs
beesvleis	bˈiɹzpleɪz
begaan	beχɑn
begeerte	χijɛrta
begin	bɯ̞xən
beginsel	p˨˩˦an˥˩ts˥l˥
begraafplaas	mæxˈroːftlæst
begrafnis	beχrɑfnes
begrawe	baχraːba
begrip	ɦrɛt
begroting	pəxrøtøŋ
begryp	bˈaxˈraj
behaal	ˈoɾɑl
behalwe	baxɑlvɛ
behandel	abɒhɒndɒl
behandeling	bajɦndjlɯŋ
behati prinsloo	beˈaːti prɪnəsluː
beheer	bejeɾ
beheers	beˈrjɜz
behels	ðəhˈɛlθ
beheptheid	beˈɣətˈaʏd
behoef	beˈʁuf
behoefte	bʁufdʁ
behoeftig	vˈœvˈtˈɛʁ
behoeftige	bauftqa
behoorlik	ʊwˈwɛrlək
behoort	bəhʊrt
behoud	bãˈɑt
behuising	fɐi̯˧
behulp	beːɦøːlˈp
behulpsaam	beˈɦɔrsˈɔŋ
beide	bejɯd
bejaarde	beˈʝɑordɛ
bejeӫn	bˌeɪɪn
bek	ak
bekaf	bɐkɐs
beken	kɛːn
bekend	akint
bekende	akɛnˈðæ
bekendstelling	bəkˈeːntsdɑːnˈeːŋ
beker	peːkər
beklemtoon	ðəklˈeɪmtˈɪwˈɚn
bekom	tuːqum
bekommer	tɔmɛr
bekommerd	dakoma
bekoorlik	dakuerlæp
bekruip	bɛkrɛj
bekwaam	ðˈɛkwˈɔɫum
bekwaamheid	bakoɔnʁajt
bel	bˈɛl
belaai	vˈɛlˈɑi
belaglik	fapælmɑxˈlæb
belaglikheid	fellˈolˈləkˈlɑ
belang	bəˈlɒŋ
belangrik	bəlˈɑŋrak
belangrike	balaŋgrəkaː
belangrikheid	belemɣ̞ɾakajt̪
belangrikste	bəlˈaŋrɛkstə
belangstel	bʊˈlɑŋstʌl
belangstelling	bəˈlɒŋstəlˈæn
belasbaar	beˈlˈasbˈɑɾ
belasbaarheid	ðəlˈæstbˈɔɹɹˈaɪt
belasting	bˈɑstən
beledig	bˌliːrˌɑx
beledigend	bɪlɪrəxen
belediging	bɑʔˈliːtəgəŋ
beleefd	bˈɛlˈɛft
beleefdheid	bɛlˈiːftˌaɪt
belegger	bælaxeɾ
belegging	be̞ɾæh
beleid	ælˈɑjd
belemmer	bɪ̞ɫɪ̞mær
belewenis	balievenas
belgië	pˈelkiːɾ
belhar	bɛlhaɾ
beligting	bɛnɫɑxtɯ̞ŋ
belofte	bˌɛloːftə
beloning	ð̞eljwẽn̪a
beloop	balwp
belowe	ɛˈpalʊəvɑ
bely	bɪˈleɪv
belydenis	bˈɛlˈɑkəns
bemanning	rɛmaːnɐ
bemesting	tɛnmeztam
bemin	ðəmɪn
beminde	bamɛn̪d̪e
benadeelde	beˈnɑːtjˈaldə
bende	bˈɛndɚ
bene	bʲeɣ̞s
benede	beˈnɪədə
benewens	jʊnʲiːvənʃ
benodig	bənˈuaːrdˈaːx
benodighede	bənˈyɾdɑqeːrdɛ
benodigheid	bənɔɾrɑɣhəɪd
benoem	benum
benoemde	bɛnymdɛ
benoeming	benumɛŋ
benoud	bɛnauːt
benthoek	beɴtuːk
benul	bɛnˈoʊt
beoefen	buʔufən
beoordelaar	pəʊɛrdɛɫaːr
bepaal	ðˈɛsttˈau
beperk	əpˈɑɹk
beperking	d̪epaːɾkən
beplan	bˈɔʊplˈɑn
bepleit	ðəplˈaɪt
beproewing	aprɨval
berader	beˈrɑːdər
berading	beˈrˈɑdəŋ
berei	berai
bereid	bɪrajtsʲ
bereik	beːrˈnˈajk
bereken	bɛrjɛkɛn
berg	bæɾx
bergaf	bərxɔf
bergafwaarts	bærxɑbɑrts
bergagtige	bɒrqɒqtɒhiˈ
berge	bˈɛrgɐ
berghaan	bæxˈn
bergie	ɣəarxiː
berig	parah
berlyn	berlain
beroemd	bʏ̞rʏ̞p
beroemde	bɪrɪ̞mdɑ
beroep	bɑrɯp
beroerte	beruɾta
beroof	bəlˈoːf
berou	d̪eɾau̯
berug	r
beseer	be̞s̻iːr
besef	bˈʌtsˈeɪf
besem	bjɛ̀sʲɪm
besering	ðəsˈerəŋ
beset	pəsˈɛst
besetene	ð̞esieɾentena
besetting	lɛsɛjtɑŋ
besienswaardigheid	bəzˈiːnsbeːˈɑrdənhˈəɪd
besienswardigheid	bˌɛsˈiːnsvˈæɾðaɣˌaj
besig	vjsax
besigheid	bʲeːsɨxˈəjð
besigtig	bəsɑxtɑx
besin	bɪ̞sːən
besit	pɐsˈt
besitting	be̞stæmtæn
besittings	pəsɛtɛŋs
beskaafd	bəsˈkɑːft
beskaafde	ðəˈskɒftə
beskadigde	bɛskɛɫærɛxtɛ
beskawing	skogɑ
beskeie	pratsʲsʲaja
beskerm	bɛskɛrɛm
beskerming	bəskərməŋ
beskikbaar	beskɛkvaːr
beskou	d̪eskãl
beskryf	bəskrəi̯v
beskrywing	bəskrəibən
beskuit	bɪ̞sgəi̯
beslag	wˈɛslˈɑɣ
beslis	bəslˈɛz
beslissend	bəslˈɪsənt
besluit	bɛssluːjt
besmet	plˈeːsmˈˈatˈ
besny	bəsnəai̯
besoedeling	bəswjlə
besoek	tˈəsˈu
besoeker	bɛsˈsuːkəɾ
besonder	bəsˈɔndər
besonderheid	bɛssɔndɾat
bespaar	bɐspɐ
bespreek	bɛsprɛjɛk
bespreking	pɨspɾʲìɛ̯kɐn
besproeiing	pasʲkɫʲuʲe
bessie	pesi
bessies	bˈeɪsiz
bestaan	beˈstɒn
bestanddeel	bˈɛstˈɑndˈeːl
bestanddele	bɪ̞ʂtɑndʲiːɫeː
beste	ɛsta
besteding	təstɪpdæm
bestee	bɪ̞stɪ̞ɾ
bestel	ð̞est̪a
bestelling	bˈɛstælˈɛŋ
bestemming	tˈɪstɪmən
bestorm	bastˈoɾim
bestudeer	bˈɪstədiːɹ
bestuur	tʃiːr
bestuurder	bɛʃtiːrdɛr
beswaar	bˈɛstˈvˈaːr
beswaarlik	tɛsuaɾ
beswense	besvˈeɪŋse
beswyk	bɛsˈuaɪk
betaal	ləˈgɑl
beteken	bˈaːtɪkən
betekenis	bət̪jɛ̀kɛn˧ɛz
betekent	pət̪eːxən
beter	piet̪eɾ
beton	beton
betowerde	aktojevrda
betree	tɛˈtre
betreur	triɛr
betrokke	tˈɛtrɔkˈa
betroubaar	bətrˈʌybˌaːr
betroubare	be̞træwbaːrɛ
betschuanaland	dˈætʃtɚwˈɔnəˈnɑːm
betyds	pɛtˈaɪts
beuk	bʲek
beukeboom	iakabˈɑ̃
beukes	biz
beul	bju
beursie	piːɾsi
beurt	piːɾˈt
bevat	bˈɛfˈatˈ
bevel	ðˈɛsfeɪlˈ
bevestig	bˈɛfˈɛstəɣˈɛr
bevestiging	təfɛjstəxən
bevoeg	pʲatːɨx
bevogtiger	ðəfɵxtəχər
bevolking	ofoɫkɯ̞n
bevolkte	fukkˈa
bevorder	bafurðer
bevordering	bəfˈɔrdərˌɛŋ
bevrees	ðəfɹˈeɪɚs
bewaar	bavar
bewe	bʲeðɚ
beweeg	bɪ̞vjɐ̯
beweer	bavjar
beweging	bɪvɪːxən
bewering	kəfˈiːərˌaː
bewind	bafɛnd
bewolk	bavˈok
bewoner	ðəvˈuːrnɚ
bewoon	t̪evluẽn̪
bewoord	bɛvɔrt
bewoording	bɛvuaɾdæm
bewoë	tɛvˈule
bewusteloos	ʁˈavˈɛstlə-lˈyːz
bewys	bavˈaɪz
bewyse	ðəvˈaɪsɚ
beyrick	bæjrig
beïndruk	laendɾek
biblioteek	dˈəbˈliːutik
bid	bˈɛt
bied	pˈit
bier	ɑrɑː
bietjie	bˈiki
billik	pɒlɒk
biltong	t̪õŋ
binne	kˈɵnə
binne-in	banaːn
binnekant	benakkaːnt
binnekort	benakˈɔɾd
binnelands	benalˈants
binnenshuis	enensˈaɪz
binnestebuite	benestəbai̯tə
biochemie	bʲoɟəmi
biofisika	liufizika
biologie	ilsi
biomassa	piomassa
bioom	lɪ˧˥uaː˧˧m˨˩˦
biosfeer	bizbizːlɪe
