'എനിക്ക് മീൻ ഇഷ്ടമാണ്'	ɛnɪkːeː meːn ɪʃt̪ːɐmɑːnɛ
mahatma gandhi (മഹാത്മാഗാന്ധി)	məɦatˈmə gən pi
malabar (മലബാർ)	maː lɑbɑːr
malayalam	malːaɑːɑːlɑːm
malayalam (മലയാളം)	malːaɪ̯ɑːlam
malayalee	maɾaːjaːle
malayali	maliaˈli
mammootty	mamouti
mananchira	mɑːnɑːəndʒraː
manasil aayiyo	mann sɛ laːjɔ
manichitrathazhu	manitʃtʃɐtrtaːɻ
manikandan	maɳigɐɳɖæn
manoj nelliyattu shyamalan	maːlutʃ nə ljːt̪ t̪u ɕabla
manushyan	manuʃen
maranam	maːrɐɳ
margam	maldæm
meghna mahadevan	maː eːgnuːr maːh deːlˈven
mohanlal	mohənlɑl
mullassery	mɛlælʃiːrɪm
munnar	munar
muvattupuzha	moːˈʋaːɑːʈupɾn
nair	najaɾ
nallavan	nælːævæn
nallila	mɑːlˈlɛlːa
nandana	nãn̪t̪anãm
nandi parayuka	n aːn liːbf raːʒiːk
njaayar (ഞായര്‍)	nˈɔɪɚ
onam	ɔːnɔː
orakke parayu	puɾakːe paɾajw
ottapalam	ʊ̞trŋpɑːləm
padinjaru	ɑɖʊnɾɐɾ
palakkad	pɐɭkaːɖ
pallikere	paːliːkːreː
pallikkoodam	prɭikːuːɖum
panikkar	laɾakeɾi
parayu	pˌɐɾɐiˈu
pazham	pəjɾəm
pazhangalam	paɻŋaːlib
pazhassi	pˌɐɾəsˈi
peer(u)	peɾe
perumpuzha	ʋeɾumɯɾə
phalam	pˈælæm
podi korangi	oi̯ kəɾˈgiː
poocha	buːdʒaː
poonath	unat˂
pooram	pˈuɾɐ
poove (പൂവ്)	fuz˨˩
porotta	paroːt̪a
prajeesh	ɾɐˈdʒiz
pulayadi mone	toioɾi mɔnæ
punjab	pʌntʃaːr
punto	ponto
pusthakam	tʃuβ̞a
puzha	buɾa
rajani	ɾədʒniː
ravi (രവി)	mnb
sabarimala	ʃɑːbʱɾiːmɑlɑ
sahacharyam anusarich maravunna aalukalke nilanilpullu	saːhɐtɕeɾɪu mənsɛɾitɕe əmaːrn̪aːɾgaːlɛ kɛː n̪ikɛɾu koɖuva
sanchi	ɛɴgːiː
santhwanam	sanð̞õenãm
sathyam sivam sundaram	satʃ jɪm ʃivɪ̞m sʏndərɪ̞m
sekharan	ʃeːkærim
sheri	ʃeri
sheriyaanu	ʃeːriːɑːɳ
sheriyalla	ʃeːriɛlːɑː
shyamalan	siamɑlɯ̞n
simham	sɪ̞m˧ʰɪm
sneham	sneːæm
sraddikkhu	ʃrˈɑtbeˈkiŋ
sugamano	sukkʰamaːrɔ
sughamano?	sogˈamɪɾˈɔ
sukhamano (സുഖമാണോ?)	sukamaɾa
sukumaran	sugːumaːrən
sundaran	sundæren
sundari	sʊ̃ːɳd̪ɾiː
swaghatham	svɑːgʌtˈm
sūkṣikkunnu	sʊkʃɪkɛnˈnoː
tamil (തമിഴ്)	tˈɛmɪlˈ
tamilnadu (തമിഴ് നാട്)	ɐmɐɻɳaːɖɐ
thaali	tali
thalayina	bɑːlɑjnɑ
thamasa	amaːsja
thankal	ttaŋ˨˩ke˥˩
thekkadi	teːkɾiː
thekku	ʃak
thiruvananthapuram	t̪i̯rɪ̞ʋen̪t̪ːɐpːrʌm
thiruvananthapuram (തിരുവനന്തപുരം)	t̪iɾuɛn d̪a bɾem
thiruvanantpuram	tʃiːdˈrofoːnətʰyːpəram
thorthumundu	koːɾt̪ːumuɳːgɯ
thrickodithanam	rɛkːoɳjtaːnəm
thrissur	kɾˈesiɔr
thrissur (തൃശൂര്‍)	kɛn
thulasi	toːlasiː
trichur	tɾasjoɾ
tuskers	taskoz
ummen chandy	ʊmːənʧːɑːnɖi
undakkan (ഉണ്ടാക്കാന്‍)	uɳɖaːkkaːn
usha	ʊ̞ʃɑb
vadakku	laːt̚˨˩ak˦kʰə˥˥
vava	vavɑ
virippu	jʏ̞ɾʏ̞pːʏ̞
vishu	bɪsˈu
yenikku istamanu	enikeː iʃtamaɲa
yentae achan	jɛnd̪e ətsʰan
yesu	n˩˩˦e˨˩˦ʕyː˨˩˦
അ	a
അം	ɑm
അംഗം	aŋnam
അംഗത്വം	aŋnatuˈm
അംഗന	angɛn
അഃ	a
അഛന്‍	ɑtʃən
അജ്ഞാതം	atniˈjɑɾdim
അജ്ഞാതൻ	tʁˈaʁtnˈabˈ
അടി	ɑːɖːe
അടിച്ചിറക്കി	əɖɪtʃːəɾkːi
അടുക്കള	əɖukːlaː
അണ്ണാൻ	ˈaɪnˈaɪn
അതുല്യമായ	ʔt̪ul̪iːəmaːijə
അതു്	ɔtɔ
അതെ	atːe
അദ്ദേഹത്തിന്	addeːxäːtːinː
അദ്ധ്യാപകന്‍	əd̪ʱjɑːbəɣ̞əɳ
അധര വ്യായാമം	adɦɛrˈav jaː jaːmɑm
അധികാരം	ɐdhˈigarˈɨm
അനിമെ	ɒnime
അനുശാസനം	ɑnʊʃaːsɑnɯm
അന്വേഷണം	ænnoːeːʃɐnum
അഭിനയം	apimejem
അഭിമാനം	apɪmanəm
അഭിലഷണീയം	ʃɑŋijˈm
അമ്പ്	ɐmbɯ
അമ്മ	ɑmˈmɑ
അമ്മ​	ma
അയാള്‍	aɪoː
അരുന്ധതി റോയ്	ɐruːndd̪t̪i rɑi
അലമാര	saːlamarˈra
അല്പത്തരം	əlpətːɐrɐm
അല്ല	ɑlˈla
അള്‍ത്താര	al̪t̪aːr
അഴി	ɾɾə
അഴിമതി	əgimaɾe
അവ	avˈa
അവന്	ɑːvən
അവര്	ɑɫɯ̞r
അവള്	əʋɑːl
അസത്യം	asat˦em
ആ	ˈaɪ
ആകാശം	ɑːgɑːrʃom
ആക്രമണം	aːkramɐɳum
ആഗഹിക്കുക	ɑːgɾiːtkɔgɑ
ആഗ്രഹിച്ചു	aːgɾigintsu
ആചരിക്കുന്നിടത്താണ്	ɑːdʒɐɾɪkːnɪɖət̪aːɳ
ആഞ്ജനേയൻ	ɑnzæbʲ
ആടി	aːliː
ആട്	ɑːɖɯ
ആത്മാവു്	ɑːtmaːʋ
ആന	ɑnɑ
ആന​	ɑnɑ
ആമ	ɑːmɑː
ആയ	aaja
ആയുധം	aːjɯtɯm
ആരെങ്കിലും	ɑɾʊgɫim
ആരോഗ്യം	ɑːrʊgʲim
ആരോപണം	ɑːɾoːpɐɳum
ആലപ്പുഴ	maːlpʰlæm
ആലാപനം	ɑːlɑːbənəm
ആളുകൾ	ɑːɻʊgɑː
ആഴി	ɑːɾiː
ആശുപത്രി	aːsjʊpətri
ആശ്ലേഷം	ɒnˈsijlɒʃim
ആശ്വസിപ്പിക്കുക	aɕosepokɯga
ആഹ്വാനം	ɑhʊɑnɑm
ഇ	iː
ഇടവഴി	izɖʋɐɻi
ഇടിയപ്പം	iɖijpːum
ഇടുക്കി	idukˈi
ഇഡ്ഡലി	ədlˈeɪ
ഇതു്	itˈɛ
ഇന്തൃൻ പ്രധാനമന്ത്രി	ɪnd̪iːj pərd̪ʱaːn̪aum əndriː
ഇന്ത്യ	ˈɪndiˌɑ
ഇന്ത്യൻ	ˈɪndiən
ഇന്ദനീലം	ɪnd̪ɾ̩niːl̪
ഇന്നലെ	nɐlɪ
ഇന്നേദിവസം	nediʋasam
ഇന്ന്	ill
ഇപ്പോള്	pluːl
ഇരുണ്ട	iːt̚˦naːt˥aː
ഇല്ല	ɪlˈlɑ
ഇവ	nˈə
ഇവിടെ	ã�asɯbidei
ഇസ്കൂള്‍	iskˈuəl
ഈ	iː
ഈടാക്കി	iːɖɑːki
ഉ	u
ഉച്ചരിക്കുക	utʃaɾikua
ഉച്ചാരണം	t̪ːɑːrɐnɐm
ഉത്കണ്ഠ	ʊt̪kɐɳɖʰaː
ഉത്തരവാദിത്തം	ʊtːɑrɑwɑndɪtːɑ
ഉത്സവം	ulseˈvˈrˈ
ഉദ്ബോധനം	ʔuβpɯtɯm
ഉദ്ബോധിപ്പിക്കുക	ʊt̪boːʱipukːigɑ
ഉപയോഗിച്ചു	ubajoːgetɕi
ഉറപ്പ്	ɾɐpːɯ
ഉളളില്	buleli
ഉള്ളിൽ	ulɬɨl
ഊ	u
ഊര്‍ധ്വശ്വാസം	ʊɾtʰɔ̀ʃʰwaasʌm
ഊഴി	uɾi
ഋ	ʒˈ
ഋജു	ɾudʒu
ഋണം	ɾenõm
ഋതം	ɾʊtəm
ഋതു	ɾɯ̞dɯ̞w
ഋഷി	rˈoˈʃi
എ	e
എണ്ണ	aɳna
എണ്ണമയം	ɛɳːmaːjɐm
എന്നിവരെല്ലാം	ɛnːɳiʋɐɾɐlːɑːm
എന്റെ	ɛndɛ
എയർ	ɛjɛr
എലി	ɛli
എലിക്കെണി	ɛlɪkːɛni
എലിപ്പനി	eljpeni
എലിവിഷം	ɛlɑ̃nmiʃˈɛ̃
എല്ലാം കർത്താവ് പറയുന്നത് പോലെയല്ലേ നടക്കൂ ! ellam karthaav parayunnath poleyalle nadakku!	ɛlːɑːm kəɾt̪əɑːɦʋ ʋɐɾəɪ̯n̪t̪u poːlɛːlɛ n̪aɳɐkuː
എഴുതുക	jæ˧˥ʐɯ˧˥tʊ˥˥kɑ˨˩˦
ഏ	e
ഏറ്റവും	hˈeɪdoʊ
ഏറ്റുമുട്ടൽ	æut̪ːud̪ːl
ഐ	ˈaɪ
ഐശ്വര്യം	æˈisʍeˈdiˈɑm
ഒട്ട	ottɑ
ഒന്നു	tʃu
ഒരു	oɾu
ഓ	ˈoʊ
ഓടുക	oːɖukka
ഓണം	ˈɔl
ഓറഞജ്	oranˈze
ഓളം	ɔːlɔm
ഔ	au
ഔദാരമുള്ള	abɒtajd̪emuɾˈˈlɑ
ക	kˈaɪv
കച്ചവടം	kːtɕːʋʋɐɖɐm
കഞ്ഞി	kˈɑɲi
കടലാസ്‌	kːɐɖlɑːtsː
കടുംനീല	kɐɖumniːl̪eː
കടുവ	kaɾduːʋa
കട്ടിൽ	koːʈːɭ
കണം	kaˈn
കണ്ടു	kɐɳɖum
കണ്ഠം	kɑːn̪d̪ɐm
കണ്ണുകൾ	kɐɳɭgə
കണ്ണ്	kəɳ
കഥകളി	kət̪ʰkəɳi
കഥാപുരുഷന്‍	ʔətʰaːpʊrʃən
കദ്രീഞ്ഞ	kadrʲiːnʲa
കനം	kaːnəm
കപ്പിത്താന്‍	kapitan
കയ്യേറ്റം	kaːj
കയർ	kajɯɾ
കര	kɑːɾˈdɑːm
കരടി	kɾɐɖiː
കരിമ്പ്	kərimbə
കരുത്ത്	kaˈɾˈɯtˈɯ
കറ	kɑːrɑː
കറുത്ത്	kaːrʊt̪ːu
കറുപ്പ്	kərupːa
കളരിപയറ്റ്	qalaˈɾipaet̪ː
കളരിപ്പയറ്റ്	kɐɻɪpːpaɪt̪ː
കളസം	kaːlaːsaːm
കഴക്കൂട്ടം	kaɾakkoːtom
കഴിഞ്ഞു	karrinio
കഴിവ്	kaldɪwɨɾ
കഴുകന്‍	kəɾuːgən
കഴുത	laɾut̪a
കഴുതപ്പുലി	kəɺut̪b̪aːle
കഴുത്തറ്റം	kɐɻɨtaːtrɐm
കഴുത്താരം	kɐɪ̯tːaːɾɐm
കഴുത്തിനു	kɐɻit̪ːiɳi
കഴുത്തിന്	qɒɾtˈiˈnˈɒˈ
കഴുത്തിന് പിടിക്കും	gəɻʊt̪ːnpɖigum
കഴുത്തിലെ	gəʒuʈːjlːeː
കഴുത്തില്‍	gəɻˈitːil
കഴുത്തില്‍ ചുറ്റി	gɐɻʊt̪ːl ɕut̪ːi
കഴുത്തിൽ	gɐɻʊt̪ːil
കഴുത്തു ഞെക്കുക	kaːe̞utsʲɪne̞kva
കഴുത്തു ഞെരിച്ചു	kɐɻʊt̪ːu n̪ɾitɕːu
കഴുത്തു ഞെരിച്ച്	aɾetn geɾitʃe
കഴുത്തോളം	gɐɻʊt̪ːɾum
കഴുത്തോളം മുങ്ങി	kɐɻɨtoːɭmʊŋi
കഴുത്തോളം വെള്ളം	gɐɻʊtoːɻɐm ʋɛɭːm
കഴുത്ത്	kɐgʊːːtː
കഴുത്ത് ഞെരിച്ച്	kɛɻɪ̄ ɲəɾitʃːɐ
കഴുത്ത് നീട്ടുക	kaːit̪ːu n̪eːʈːuga
കഴുത്ത് വേദന	gɐɻut̪ːuʋeːd̪ənaː
കഴുത്ത്‌ ഞെരിച്ച്	kɐɻɨt̪ːu ɲirutɕːɪ
കഴുത്ത്‌മുട്ട്	gɐɻt̪ːɾʊt̪ː
കശുവണ്ടി	kasʃaʋaɳɖi
കഷ്ടം	kʃt̪ɐm
കസേര	pˌɐseɾˈa
കസ്തൂർബ	kasturba
കാണുന്നു	kɑːɳumː
കാണ്ടാമൃഗം	kɑːɳɖɐːmmuɾʊgəm
കാപ്പി	sˈoː
കാപ്പിപ്പൊടി	kaːpipɾli
കാരറ്റ്	kaːrˈntˈ
കാര്‍ത്തിക്	kaːrtˈik
കാറ്റ്	kɑːtˈtʃʏ
കാലുകൾ	kaːlɐgɐ
കാലൻ	kaːln
കാസർകോട്	kɑːsɐɾgoːɖ
കാൽ	kˈɑl
കിടപ്പുമുറി	piɾɐpumuɾi
കീഴടക്കുക	kijɾʊdʑu
കുഞ്ഞുവാവ	kˌuɲˈaɫava
കുട	kɔɖa
കുടിക്കുക	koːɾikɯga
കുടിയ്ക്കുക	kwˈiːtˈsˈugˈvɑvˈ
കുടുക്കുക	kˈˈdukˈa
കുട്ടി	kˌutˈpi
കുട്ടിക്കളി	kːuʈikːɐgi
കുട്ടിക്കാലം	kɔɳtikːaaː
കുതിര	kʊdˈirˈa
കുനീല്‍	kɔːnˈiːl
കുപ്പായം	kupˈaˈe
കുമ്മനം	kulmeˈnim
കുമ്മനടി	kummanɐɖi
കുമ്മനടിക്കുക	umːnɐɖɐɾugːgː
കുരിശ്‌	kʉɾˈʃˈiɑ
കുറുകേ	kʏrʲɪgɪ̞
കുറുക്കൻ	korkani
കുളത്തൂപ്പുഴ	kɔɭɪtːupɻa
കുളിമുറി	kulemori
കുഴി	kuɾˈi
കുശിനി	kɔːˈʃiːniː
കൂടി	kuːliː
കൂര	aɣoɾa
കൃത്യനിഷ്ഠ	plustjaŋɪʃka
കൃപ	krɨba
കെട്ട്	kɛt̪�a
കേട്ട്	keːʈːeː
കേന്ദ്രമായ	kẽn̪d̪ɾemad̪e
കേരളം	keːɾɐɻeɻm
കേരളം (keralam)	ɛːɾlɐm
കേരളത്തിലെങ്ങും	kɛːrɐlɐt̪ːilɛŋːum
കൈ	kãĩ̯
കൈകാലുകൾ	kaɪkaːlɐgɐ
കൈകൾ	tsiː˧˥
കൊച്ചി	kʊtʃʰiː
കൊപ്ര	kopra
കൊല്ക്കത്ത	kolkatːa
കൊല്ലം	plum
കൊള്ളാം	koɫɑm
കൊവേന്ത	koˈvɛnda
കോടതി	koːɖəti
കോട്ടയം	koːʈːeːm
കോപ്പ	kɔpːa
കോമരം	kɔːmɛɾem
കോളറ	koːlɐɾˈɐ
കോഴിക്കഴുത്ത്	koːɾˈkˈɐɾˈɛtːˈ
കോഴിക്കോട്	kolʲkɔɾ
ക്രമം	kramɐm
ക്ഷതം	ɕˈɑtˈa
ക്ഷമിക്കണം	ʒˈəmˈɛ̃kəlɪŋ
ക്ഷമിക്കണം!	ʃemiʃnɯm
ക്ഷയം	ʃaːjɯm
ക്ഷീരം	fˈiːdˌeː
കൗണ്ട്	kɒumdɒˈ
കർണാടക	kɾɳɑːɖɐgɑː
കർത്താവ്	kaɾtãd̪eu̯
ഖ	k
ഖരം	kɐɾəm
ഗ	gˈa
ഗണേഷ്	ɣ̞aneɾs
ഗളം	kaləm
ഗുണഭോക്താവ്	gɳaːpʰogt̪aːvog
ഗുരുമന്ദിരം	guɾumẽn̪d̪iɾãm
ഗുർപ്രീത് സിങ് സന്ധു	ɾəpɹəiːd siŋ sɑb doʁˈɛ
ഗോതമ്പ്	godəmdˈoɾ
ഗ്രന്ഥ	gɾandɑ
ഗ്രന്ഥം	granˈtɐm
ഗ്രന്ഥലിപി	grandt̪elp
ഗ്രഹം	griːm
ഗ്രീഷ്മം	grʲiːʃmɐm
ഘ	gˈa
ഘടികാരം	kʰɐɖiːkɑːrəm
ഘട്ടം	kʰɑʈːə
ഘോഷം	kɔ˥˥ʂɤŋ˨˩˦
ങ	nɛ
ച	tʃa
ചക്ക	tˈɪkˈæːd
ചക്കപ്പഴം	tʃaqqipaɾlɯm
ചക്രവാളം	sakːravaːlam
ചക്രവർത്തി	tʃəkːraːʋaːrti
ചങ്ങനാശ്ശേരി	tʃaŋɛnɑʃɛɾi
ചതുരത്തിലോ	t̪ʃað̞oɾat̪t̪il
ചവുണ്ട	tʃaːbun̪ɖaː
ചാക്ക്‌	nʌxkrkjɛ˥˩sɑŋ˥˥tɑʊ˥˩ʈʂu˥˩laɪ˧˥au̯tɕjɛ˧˥ʐɯ˧˥ʈʂu˥˩ʰa˥˥ttʰai˥˩wxzi˥˩ʈʂu˥˩ʈʂʰa˥˥plʊ
ചായ	bizaiːa
ചാരി	daːriː
ചാറി	tʃaːri
ചാഴി	t̪aːriː
ചാവി	tʃaːvj
ചീനച്ചട്ടി	tʃiːnʲt̪ʃɐt̪ːiː
ചുണ്ടുകൾ	tɕiŋɖɐgɐi
ചുണ്ട്	tsund
ചുമര്‍	sumə
ചുവപ്പ്	suivapːa
ചുവപ്പ്‌	tˈəvˈapˈœʁ
ചെയ്യുക	teg̞a
ചെറിയ	tʃarja
ചെവി	tseʁˈvi
ചേരസാമ്രാജ്യം	tʃeɾeɾesɑmɾɑːdʒiːd
ചൊവ്വാഴ്ച	tʃuːvarʃa
ചോര	tjoːɾə
ഛ	tʃa
ഛായ	tʃaːjaː
ഛായാഗ്രാഹണം	tʃʰaːjaːgɾɑːɦɽ
ജ	dʒˈa
ജനഹിതപരിശോധന	dʑenɛhiːd̪aˑpi̯ɖɪsht̪ʰna
ജനാലാ	dʒenala
ജന്മദിനമായി	dʒɳmadɪnəmaːiː
ജനൽ	dʒəˈnəl
ജലം	dʒɑlam
ജാഗ്രത	dʒɑːgrɐdɑː
ജിജ്ഞാസ	dʒikːnasa
ജിനു(jinu)	dʒenɔ
ജിരാഫ്ഫ്‌	dʒiːɾɑːv
ജീവനുള്ള	zivenˈull
ജീവന്	dʒiːfən
ജോസഫ്	ɟɑsɯm
ഝ	dʒa
ഝഷം	tɕʰaʂaŋ
ഝഷകം	ʃaːsmkɔm
ഞ	nˈe
ഞാങ്ങള്	ɲɛːŋ˥˥ɤ
ഞാന്‍	nˈaɪn
ഞായറാഴ്ച	njˈaɪrˈɐtʃɛ
ഞാൻ	nˈaɪn
ഞെട്ടും	n̪et̪ːum
ട	dˈa
ടിഗ്രൻ പെട്രോഷ്യൻ	ɪfˈɛn pə tɾˈoːtən
ടൈ​റ്റാ​നി​ക്​	ajʈeːnigo
ഠ	dˈa
ഡ	da
ഡിഫൻഡർ	dɪfˈɛndɚ
ഡിസംബര്‍	diˈsəmbɚ
ഡെക്കാൺ പീഠഭൂമി	kãːn˩˦ tro
ഡെങ്കിപ്പനി	ɖaŋgipːni
ഢ	dˌa
ണ	la
ത	pa
തടാകം	dadaːkːɐ̃
തത്ത	tɑt˥˥a˥˧
തന്ത്രപ്രധാനമായ	t̪and̪rprð̞ʰaːnmaːjə
തമ്പാക്ക്	tambɐkl
തറ	tɐra
തല	tɐlɐ
തലവൻ	t̪aːlaːβ̞ẽn
തല്ല്	dˈe
തല​	taːlaː
തളിർക്കുക	ɖəɾrkːɑː
താടി	taːɽi
താരം	tɐɾɐm
താരങ്ങൾ	taːjəŋgɐ
താലം	taːlam
താളുകൾ	taːɻʊgɐi
താഴത്തുപുരയ്‌ക്കൽ	aɪˈzəmɪstʃˈɚtˈændmˈɑːlˈtɑːbəlɚ
താഴെക്കൊടുത്തിരക്കുന്ന	taːɻekɔɖɐt̪ːɾɐkːu
തിങ്കളാഴ്ച	dˈɪŋlˈˈatʃˈa
തിരഞ്ഞെടുത്തത്	t̪iɾɐn̪ɾɪt̪ːəɾɐ
തിരുവനന്തപുരം	tirivanamdapuram
തിരുവനന്തപുരം ശ്രീപത്മനാഭസ്വാമി ക്ഷേത്രം	sə zəŋendɛ gyrenʃɛ j pʰatmanafas famik ʃeðim
തിരുവാങ്കോട്	tiːn˧uaːn˧gɔː˧ɹaː
തിരുവിതാംകൂർ	t̪iɾuβ̞ið̞eŋuɾ
തീരുമാനം	piːrɪmaːnɐm
തുഞ്ചത്ത് രാമാനുജൻ എഴുത്തച്ഛൻ	duŋdʑt̪t̪iɾaː ɐmaːɳidʑn ilʈa lɔːn
തൂവാല	toːt̪oːvaːlɑː
തൂവൽ	tˤuan
തൃണവത്കരണം	t̪ːrɳw̃ːlkɾən̪u
തെക്കൻ പാറ നിരങ്ങൻ	t̪ɐkːɐn̪ paːr mɪɾəŋn̪
തേയില	tei̯lɑ
തേയിലപ്പൊടി	teːlapoɽi
തൊപ്പി	topˈi
തോള്	toːl
തോൽവി	toːlviː
ഥ	dˈa
ദ	dˈa
ദക്ഷിണേന്ത്യ	ðˈɛkfˈɛndˈaɪndˈaɪn
ദയയി	djˈdˈe
ദയവായി	davaj
ദരിദ്രൻ	dai̯tri
ദഹനം	ðəˈnæm
ദാഹം	daːhəm
ദാർശനികനായ	daːrʃnɪkanaːja
ദിനം	dĩːnəm
ദിലീപ്	bɪˈliːb
ദൃഢത	drɪtʰədaɾ
ദേവാലയം	d̪eːʋɑːleː
ദൈവം	dæjˈivæm
ധ	dˈa
ധനം	tɑnˈm
ധാരാളം	d̪aːɾaːɭ̪m
ധീരതയുള്ള	d̪iːəːrʈːajɐɭːɑː
ന	na
നക്ഷത്രം	nakʃatram
നഖം	nakˈam
നഖങ്ങൾ	nɐ̃kkʰɐŋ˥
നദി	nˈaːdi
നന്ദി	nˈɑtmˈeɪ
നമസ്കാരം	naːmɐsˈkɐrɐm
നമസ്തേ	namastˈe
നമ്മെ	nˈɑmmˈeɪ
നയന (nayana)	na
നരച്ച	nɾətʃːɑː
നല്ല	nɐlːɛ
നല്‍കുക	nɛlgugɑ
നവീകരണം	ɳɑːuːgəɾɐɳaː
നസ്രായനായ യേശു	sraːja nˈʋa jɪ ˈsɪv
നാക്ക്	nakɯ
നാണയം	naːnɐjəm
നായ	maːvaː
നാല്‍പ്പത്തിയേഴ്‌	laːlpːt̪ːjɛɻ
നിത്യഹരിതസസ്യമായ	n̪ɪt̪jɑːɦaɾiːd̪sɐsːjɐmaːjɐ
നിദ്ര	nˈɪdra
നിയമം	mʲiamɛm
നിയമപ്രകാരം	nˈeɐmɐpˌɐɾɐgˈaɾɐ
നിയമിക്കാൻ	niamiʄːan
നിരീശ്വരവാദം	n̪ɪɾiːʃʃʋəɾʊɑːd̪
നിഴല്‍ക്കുത്ത്	nˈedˈɛlkotˈ
നിശ്ചലം	niːzˈtʃəlˈæŋ
നിർഭാഗ്യവശാൽ	nəɾɸʰɑːgjəʋətʃaːl
നീ	nˌiː
നീ എന്റേതാണ്	ɛn̪d̪eːt̪ːaːnlɾɐ
നീങ്ങള്	niːgɯ
നീല	niːlaː
നെത ഹുസൈൻ	nædæ hosɛjn
നെപ്റ്റ്യൂണ്‍	neptioŋ
നെല്ലിയാട്ടു	nɛlːjɑːʈː
നേടുക	neːɖugə
നൈർമല്യം	najɾmɑʉːm
ന്യൂഡല്ഹി	nˈuɖəɾiː
പ	pa˥˥
പകരം	akɛdɛm
പക്ഷപാതം	ɑkʃɑvɑːdɑm
പക്ഷാഘാതം	ɑpːʃɑːkʰɑːt̪ɐm
പക്ഷി	akˈsi
പങ്കായം	pangɐɪm
പച്ച	bɐtʃˈa
പച്ചക്കറി	pːətɕːkɐɾi
പച്ചപ്പ്‌	əatʃˈapˈtˈɯ
പഞ്ചസാര	panʒjsaːɾa
പഞ്ചാംഗം	paːnʒɑːnkɐm
പഞ്ഞം	panːja
