'a	a
anacònd	maːn˧abuːz˧
ananassa	aˈnɔːlˈaˈssˈa
ancìno	aŋʒiː˧˥jɪŋ˨˩˦
anema e core	boːdumɛ gɑːr
annanz'	anːanˈtsɯ
annanze	anːaːns
annascunne	annaʃkumna
annure	anuɾ
annuzzà	amnutsa
apa	papa
appannà	apanːa
apparecchio	aparekje
apparècchio	atːarekːjˈe
appicceco	apitʃɪkɑ
appicciate	apɾetʃːaːdˈa
appila	apiʎa
appocundria	wkɛndajdɯ
appriesso	apjɛsse
apprimma	aprˈimɐ
appurà	apura
arapì	ɦaɾapi
archeologgia‎	ˌɐɾəʒˈoludʒˈiɐ
areto	aɾet̪a
arfabbèto	arsabˈetˈ
arfabeto	arfɐbeˈɛd
argiento	aɾgjẽn̪d̪o
argiènto	ardʒeŋd
aria	ˈaɾija
arillo	alˈil
arioplàno	ã˥˥li˥˩ʔplŋ˨˩
ariopuorto	aɾiuboɾtʊ
armadill	armaɾila
arravuglià	araβ̞ʝʝa
arrevutasse	arevutas
arricurdà	arigurda
arrubbà	aroβ̞
arruinà	laɾobina
arteteca	aɾtit̪eka
ascio	aʃ
ascì	aʃi
aspettà	æʃpətːam
assaie	massai
assettate	asseiʃtedɛ
assettete	asʃejttɛtø
assigne	asˈiɲɐ
astregnere	aʃtaɾaiːnˈeɾe
astritto	aztɾitˈtɐ
attaccà	ataka
attrice	patrˈiʃa
attuccà	atˈukɑ
attuorno	atornɔ
attuórno	atornɑ
auciell	aukseʎˈˈa
auciello	au̯tʃjˈell
auliv'	ˈaɪwˈɛlˈeɪv
aulive	aːʊlvɛ
autostrada	aʊtostɾˈadɐ
avellino	aːvellnɔ
avvicinà	ˈabvˈɛgionˈa
avè	ad̪e
avé	havj
avé paura	ale vaʊro
azotò	atːsol
azzecco	atsiikːa
aùsto	au̯s̻t̪
babà	babak
baccalajuolo	bɑqɯlajɯɔɫɯ̞
bandiere	bãn̪d̪jɛrɔ
bannera	banˈera
barcone	aɾkɔlɔn
barcune	bˈarkˈuna
bascùglia	basquˈuʎa
basilicata	tˈɐsɪlˈiʃˈɐtˈa
bbaccalajuolo	bˈakːalaɪʊˈɔla
bbracce	bratʃ
bbuje	buje
bebé	ɛbːe
beciamella	aveˈtʃˈamɛlˈlˈa
belli	beˈlˈlˈi
bello	bˈɛlo
bemmenuto	benmenʊtə
beneviento	bonobiẽn̪t̪
bevene	beˈvɔnɔ
bianche	djˈanke
biologgía	biolodʒe
bisciuttarìa	biʃɛtɾia
bisònt	lˈisˈuɔntˈa
bizzoca	bitsoga
blecco	blˈɛk
blé	ble
boa	boa
bonanotte	bonanot̪a
bonasera	bonãziɾa
bongiorno	bondʒornʊ
brore	brorɛ
bruno	ruːnɔ
buatta	bwatˈa
bue	boːɫɯ̞
bulangeri	bolanɣ̞eri
buono	buono
busciardo	muʃardɐ
buscìa	buxiːjɛ
bussà	busa
butteglia	bʊtejˈ
buttéglia	bʊtːˈeɪlˈio
bàgno	baɲ
bàre	beːr
bèstia	bˈeskˈa
ca	k
caccavella (piccola padella)	tˈakːaːvˈɛlˈlˈa
cacciuttella	katʃutːɛlla
caccosa	kakˈaːlsɐ
cadè	karɪ
cafunciello	kafʊntʃle
cafè	kafe
cagnà	kˈanʎa
cagnàtota	kaːjnəaːtata
cainato	kaːjnˈatˈo
caiola	kajul
cajola	kajˈola
calabbria	kalˈambria
caliota	kaljotːa
camaleònt	tamaleˈɔonˈdʒɔ
cammenà	kammanau
cammisa	kamisa
cammèll	kamˈmˈɛlˈl
campania	ampɑːnjɛ
campare	k̚˥˩am˥paːl˨˩
campà	kampɑ
cane	kaja
cangùr	kanguɾa
cannarone	kannˈaɾˌumɑ
cannaruncielle	kanˈnaruntʃiːlˈ
cannetella	kˈanˈnaˈtˌɛlla
canosceno	kaːnoːʃˈna
canoscere	kanuʃsɛɾa
cantaro	kaːnˈdaɾa
cantina	akompano
cantà	taːntaːm
canzo	kanθo
canzona	kanθõn̪a
canzone	kanzɔnɛ
capa	kɐpɐ
capaddozio	kaβ̞ẽn̪d̪õɾt̪s
capille	tavilˈlˈe
capisco	dapʲiʃk
cappiello	kapiˈɛlˈla
capri	kabe
capì	kabi
carbonio	karbo˩˥ːʋo˥˩ː
carcioffele	kaːrtʃofˈfalə
cardillo	kaːrdilˈlˈ
carofano	kʰæˈɾɑːʔafn
carriato	kariˈatˈa
cartulina	kartˈolˈɪnˈɔ
carè	kaɾe
casa	kˈasa
casciulella	kasʃulell
caserta	kæˈsæˈɛrt
caso	kˈasa
casomaje	kɐzɐlaj
casoperuto	kasaprʊtɾ
castiellammare	kastelamaːra
castiello	kastiel
castòr	kastora
categurìa	kɑːfɪgoɾia
catena	katɛŋina
cavallo	karalˈ
cavulo	ta˩˥ːla˥˥n
cavàll	tɑˈbɑl
cavàllo	kavall
cazetta	azetːa
cazziare	kat̪s̺ia
cazzimma	etsiim
cazètta	kazˈɛtˈ
ccane	ganna
cchiu' bello oje ne'	ki beloine
cchiù	fiu̯
ccoppe	kɔpːˈ
ccà	k
ccá	kˈa
ce	tʃɪ
cellaro	dˈotʃərˈɛlˈar
cellechejo	tʃɛllekɛjɛ
celèste	tʃɛlɛski
cennere	tɕiŋ˨˩˦lɤ˥˩
cepolla	ʃabɾɨwɫala
cepolle	tʃɛpɔlˈlɛ
cepólla	tʃˈapˌoːl
cerasa	tʃaraza
cerasiello	tʃerasiel
cercula	tʃerkala
cerevella	sɾevˈɛlˈl
cerevelle	tʃerovˈɛl
cesso	tʃɛz
cestunia	tʂɛstuɲɛ
ceuza	ʃaɪldzɑ
che	kɛ
chella	fɛlla
chelle	kelˈla
chelli	kelle
chena	kje̞na
chesta	kistɑ
cheste	kestɛ
chesti	kɛeste
chesto	kistɛ
chi	si
chiagn	kianim
chiagnenno	kiannˈenˈnˈ
chiagnere	kˈaɲˈnˈɛre
chiammà	kiamˈma
chiancarelle	kianˈkarellˈe
chianche	kjanke
chianchera	kianˈkera
chiano	kiana
chianta	liand
chiattone	tʃatːˈona
chiattulella	tiatːʊlɛlˈla
chiave	kala
chiavica	kiaːvaka
chiesia	ˈaɪ
chille	kilˈlˈ
chilli	kildɪ
chillo	kil
chillu	kildo
chiove	kjoɔoɑ
chiovere	kʲiɔdɯɾɯ
chiste	kist
chisto	kiest
chistu	kisto
chitarra	kjð̞ar
chiummo	ljumma
chiuovo	kjoɯo
chiuppo	tʃiopːɯ
ci	tɕi˥˩
cianche	ʈʂan˥˩
ciardeniere	tʃardɛnʲera
ciardino	tʃarðina
ciaò	dʒoːn
ciccillo	tʃitʃil
cicerenella	tɕʰi˧˥ʂɤŋ˥˩ʂu˨˩˦u˨la˥˥
cielo	tʃl
ciervo	tʃˈɛldˌɑ
ciofeca	ʂɤ˥˩wɛ˨
ciruzzo	tʃiːɾutsɛ
cità	ʃaˈtˤaɾ
ciucciuvettola	ʃuʃuaʱt
cocciole	ozolˈla
coce	kɔːʒɛ
cocere	kolʲtʃɛren
comm' 'à	kuma
comm' a	kˈotʃo
comme	kom
comme de lo molino	koːmma d̪aːnoːoː bɔʃkoː
comme facette mammeta	komˈmˈʃˈit˦t˦aːm˥˩am˥˩mɐt˥ɐʋ˧˥
confusione	kɔnvɔzjʊˌʊna
corde	kɔrd
core	koɾa
corre	korva
cosa	koːsa
coscia	kɔʃˈa
cosere	kɔusɛra
cravatta	kravˈaːt
cresce	kresʃa
cresema	krizma
cresommula	kresomale
crianza	kriˈanˈdzˈɐ
criaturiello	kriatʊrielˈlˈ
criaturo	kɾeat̪wɾa
crissomola	kristˈomˌˈɔlˈa
crocco	krokː
crucefisso	kʊnʃefˈossa
cu' 'o	kˈu
cu' mmico	kˌumˈikɐ
cu' ttico	kutˈiga
cuccavano	kukavana
cucchiara	kukˈaɾa
cucchiare	kukːjˈˈarˈa
cucchiarella	kukːiarella
cucchiaro	ʊkˈaɾɐ
cucente	kusente
cucenà	quˈʃˈɯnˈɑ
cucozza	ɟukukutse
cucuzziello	kugutsiɛmɑn
cucìna	kutʃin
cuffiaje	ufiaio
cuffiato	kʊffˈjˈatˌɐ
cugliandra	kujande
cugliune	iːguʒuːnə
cujete	kuʲeʲt
cumbattere	kɔmmatara
cummannà	kumanna
cummenzà	kumminza
cummoglia	kɔmmˈogˈlˈ
cumposto	kompost
cuncertanno	kuntʃestan
cunfidenza	konfidɛntsa
cuniglio	kuɫeɟˈa
cunsuma	konzumar
cuntenta	kondɛnta
cuntracagno	kundrakˈaɲ
cuntrullà	kɔn̪tɾɔɫa
cunzola	kʊntsaːliː
cunzumà	kunsuma
cuníglio	bˈɔnˈiʎa
cuollo	kwel˨
cuorpo	plˈekˈtˈɐ
cuorvo	urva
cuozzo	kotsa
cupella	kʊpˈɛlˈlˈ
cupierchio	kubjɛɕtɕɛ
cuppulicchio	kuplʲikʲːi
curreturo	kʊrˈʁatʊˈrɐ
curtiello	kustˈiˈuna
custantenobbule	kustãn̪t̪enoβl
cuóllo	kuaɪ˥˧la˥˧
càntaro	kandər
cèsso	jˈɛs
cù	hˈu
cúntro	kuntrˈa
d'	dˈø
da	dˈa
dammece	damˈmaʃa
dduje	dˈuɪa
de	lɛ
denocchie	dˈənˈok
dente	vˈɛnt
denucchio	lɛukkʲi
denùcchio	tɛnˈʊkkeˌ
deposetà	dabɔzɨda
descussione	rˈeskussionˈ
destine	destˈino
devacà	dˈøvˈakˈa
diavulillo	dˈiovolˈil
diavulo	ljˈabala
dice	riːʃɛ
dicembre	rizˈaembɾˈ
dicere	liːdʃælɑ
dicitenciello vuie	dʒiɾintʃeɾhemuɣu jɛ
dimane	riman
dimannà	niːmɪnna
dint'	dindɛ
dinte	lintɛ
dinto	lˈiŋdɨ
dio	dˈiɾ
diocese	ðiːtˈɑːksɛs
disgrazziato	djsgratia
dispiette	dʒʃpietːe
dispietti	izpjɛt
dispietto	dʒˈɛst
distratta	ðiʃtʃaɾt
dito	lˈitˈo
ditto	lid
diàvulo	riaːvolo
dongo	rʊngɐ
doppo	nop
drincà	rnga
duie	duːjə
duminà	lwmina
dummeneca	lynmeidʒɑ
dumméneca	lʊmˈmejnˈɛk
durata	dʊɾatʊ
durece	dureʃe
durmì	dormi
dènte	rˈɛnte
e	ɛ
e cammine 'mmiezo 'a via	es kamj na mjeθa bjelja
emigrante	ɛmjgrˈaːnta
equilibrio	iːgulibɾiɔv
era de maggio	e ldmˈˈtˈtˈ
ermellin	ertmlion
europa	lɛːw˧rp̚˨˩
evera	ˈɛvɛra
fa'	fˈa
fabbricà	fabɾikaː
faccia	fˈatʃ
faccio	faʃu
facile	fa˥˥ɕlɤ˧˥
facimmo	faʃiːmmɔ
faje	fajɐ
fajella	fajˈɛlla
famme	fam
fare	fˈaːr
farenella	fˈaːrˈanˈɛl
farme	faɾm
fasule	fasˈula
fatica	frˈaːtikːa
faticata	fatikaˈta
fatto	ɑːnˈd
fecato	feːˈkɑːdɑ
felice	fælˈiʃə
femmena	fˈɪlmɛn
fenesta	sɛrestˈɛ
fenesta vascia	sɔ nɛsta lasa
fenucchielle	fonukjˈɛlˈla
fenucchietto	fanʊgɨʲit
fernì	fɛrˈni
feruta	vˈɛlˈʌta
fess	fˈesˈɛ
ffune	funa
ffuoco	fˈoka
fierro	fjerɾa
figlio	fˈiː
filo	fˈil
fiurella	fiʊrˈɛlˈlˈa
fiùra	fiuɾa
forte	fɒɾt̪
fracchesciasso	fˈlaːkəʃas
francia	frontʃe
franfellìcche	franfəlˈlˈɪkːə
frate	frata
frateto	frˈaːtˈɛtˈɛ
fravecata	bravagata
fravecà	fravaka
fravula	ʒɑulɛ
freva	fɾaɪm
frevaro	frˈɛvare
frezza	fretːsˈa
frezzià	frətsia
friddo	frˈiːd
frisco	fɾiːʃk
frobbece	rɒbˈɒʃɒ
fronna	fronˈna
fronte	froŋd
fuje	fˈuːjə
fune	fuːlɑ
fungetielle	fungɛtjˈɛlˈlˈa
fungio	fungi
funiculà	fˈˌɔːnikˈulˈa
funiculì	fˈˈɛnˈɛkˈoli
funiculì funiculà	foniɣ̞oli ĩ fõn̪iɣ̞oli
funtanella	funt̪anella
fuoco	fou̯ka
furbe	furba
furchetta	urkˈɛtːa
furchètta	forketːa
furmaggio	firmatʃ
furmicola	foɾmijkʊla
furturella	fʊrtʊɾˈɛlˈlˈ
fusseve	fuzsɛvɛ
fuì	fui
fà	fˈa
fògge	fodʒa
gallina	rˈælˈlˈɪnˈæ
galluccio	ɣ̞alutʃa
gamberètt	gamˈparetˈ
gamma	gama
gatta	aˤtˢ
gennaio	dʒenaj
gennaro	dʒenˈnɐɾə
gennere	dʒˈɛnɾ
gente	xentɐ
ghiuta	ʝuta
giallo	dʒaˈnˈ
gigino	dʒidʒin
ginzo	dʒeˈenˈs
giovene	tʃaɾobana
gioverì	dʒoːvɑːli
gira	dˈiɾa
giurnale	tʃuɾnɑɦɑːlɑm
giurà	dʒoːɾæm
giustizia	dʒʊstitsiʊ
giuvinotto	dʒuvinɔtːe
già	xo
giàllo	gˈal
giùgno	dʒˈʊnɪe
gliommero	jˈɑmra
gnernò	ɲeɾno
gnora	nʲowra
gnostia	ɲɔstjɛ
grancascia	grandkaʃa
grande	grande
granne	grand
granone	grandauna
griggie	bɾˈitʃ
grolia	laˈoliɐ
gruosso	gɾˈoːs
guadagnammace	gwað̞anʲːammaʃa
guagliona	wajˈona
guaglione	aio
guagliune	oalˈljuŋa
guanto	gwˈanta
guapparia	wapːaɾiːɐ
guappo	wˈʌsˈtə
guardà	gwaɾð̞
guveto	oɣaða
guàllera	vˈɑllˈɑɾɑ
gùveto	oˈvɛtɑ
hànno	anːaː
i	iː
iamme	djamma
ij	ˈo
incunichito	inkonegita
indifferentemente	diferentemɛnˈte
inferno	ɛ̀ntsɛʒnɛ
ingrato	grata
int'	intu
io, mammeta e tu	io mˈam dˈetːo
ischia	iʃk
isola	aːniʃiːn
isso	ˈis
italia	italia
iuglio	awiʎe
iurnata	ˌiunˈatˈa
jaccio	jˈatʃ
jallo	jˈallˈ
jamme	kianma
jammo	janma
janca	jˈaŋg
janco	jˈanko
jatto	jˈatː
jenchere	elẽn̟θaɾa
jennaro	enaːl
jettare	djˈɛstˈɑl
jostra	jˈɔstra
jucà	iuka
juoco	ljˈuːkˈa
juorno	ãuna
jurnata	jʊrnˈat
jà	dˌiːzə
jì	ɟˈe
kitammuort	kit̪emoɾt̪
l'evera	levɾo
la bella mbriana	la bˈɛlla ambrˈiˈana
lacerta	lasˈɛrtˈa
lacreme napulitane	laɣ̞ɾam ẽn aβ̞ɾoð̞aɾ
lago	lˈagɐ
lana	laːna
lardiata	lˈˈardˈiatˈa
larma	lazna
lascia	laʃ
lassa	lˈasˈsˈa
lassà	lasa
latte	latː
lava	laba
lazzarella	latserelo
lazzarone	ladsaˈrune
lazzio	latsjɐ
lemmosena	ləmˈmosena
lengua	lɛŋgwɑ
li	liː
libbraria	libraria
libbro	libːro
lignamme	ljɲˈamma
lignammo	ljɲˈam
lilì kangy	tʁalɛ lkandʒi
lisciata	liːʃˈata
liétto	jˈɛtːa
lloco	lɔka
lloro	loro
lu	luʁ
luglio	lutʃe
luna	lˈunə
luna caprese	ˈsəɾunˈa ka prˈdeːne sˈumit
lunnerì	lwnɔʁi
luntana	lundana
luntano	lontana
léngua	lˈɛŋgwa
lòggia	lodʒ
ma che succede io sto chiagnenno	ma kɛs sʊtʃˈereˈ ˈisto kˈɪˈaj nˈɛn
ma n'atu sole	manatulore
maccaruncielle	makaruntʃella
maccaturo	makkatuɾa
mafia	mafiam
maggio	madʒː
magnà	manʝa
maie	maja
maje	maje
majo	majɯm
majure	maːjuːrɨ
malafemmena	maːlaːfɛymːnaːn˧
malatia	malat̪ia
male	balə
mamma	mama
mammeta	mɑmmada
mana	maːn˩˩˦a
mandulino	mãn̪d̪aliina
mane	maːnɔː
manga	maga
mannagg o sang e kitammuort t schiatt a cap ue curnut disgraziat!	nˈa dʒozanˈkˈeˈjˈnˈa mˈorˈsɛ dˈeʃkɾˈatːa kaˈpo e gˈorno todɪ ʃkɾˈatːˈɛ
mano	mano
mar tirreno	mˈaˈrˈtiˈ rˈeno
mare	maːra
mare verde	maːr beːrd
marechiare	maragiaro
marenara	maranara
margellina	merdʒelline
mariscià	maɾiʃo
mariuolo	maljeola
maronna	maron
marrò	maro
marterì	mertolj
maruzza	marutsːa
marì	mˈaːti
mascariéllo	maːʃtɑɾˈjil
matemàteca‎	ademɑːdɯdˈeː
matemáteca	mademadɨk
matina	madˈiːnˈɔ
mbruóglio	broʝːa
me	m
mellone	mellˈona
mensale	maːsaːla
meridionale	merdionale
mesale	masaːlə
mesàle	maːsala
mia	mˈiː
micciariello	matʃaːɾiːɛn
micciariéllo	vitʃarˈieːlˈlˈo
michelammà	miː˧kʰeː˧n˧
miedeco	mjˈɛrɨkˌa
miercurì	nˈo
miez'	nʲits
milo	mˈeːlˈɛ
mise	mizˈɑ
mmagnà	manʝa
mmenzione	mentiulɑmɛ
mmesuratore	mesʊratore
mmiezo	mjɛtsa
mmo mmo	momːo
mmèrda	mert
mo'	mo
mola	mola
mollùsc	olˈusk
montagna	ntanʲːe
morra	morɾa
mozzarella	mutsɾɛl
mpastucchià	bastˈukˈijɐ
mpicciosa	bitʃˈoza
mpietto	bieto
mspine	maspiːnɐ
muccaturo	mˌukːatˈrˈɔ
mugliera (moglie)	muʎɛra
mulignane	ulɛɲara
mumento	momente
munaciello	munˈake
munasterio 'e santa chiara	sˈøːsˈøːsˈøːn ˈʌv kijˈɑːr
munnezza	munˈnˈetsːa
munniale	munˈliˈjale
munno	mun
murì	muɾi
musecale	mˌuzagˈale
musso	nˈuss
mustacce	ustatʃa
mustaccio	mustˈɑtʃ
muzzarella	mʊtsaɾella
màchina	maɾknʊ
màrzo	marts
n`guoll	gˈoːl
nannina	nˈna
nanninè	nanine
nanninè'	nˈɛnlɪnˈɛ
napule	naːpɔlɛ
napulitana	naːpuːliduːn
napulitane	naplitana
napulitano	mapuledaːnˈna
nasce	nˈɛʃ
naso	mˈas
nasècchia	nasɛjk
nate	nˈaðo
nazzione	natsiˈone
ncopp'	gˈɔp
ncoppa	nkˌˌoːpa
ncucciato	gytʃˈatˈɐ
ncuolle	guela
nenia	nˈɛa
nenna	nˈin
nennella	nˈɛnˈlˈa
nennillo	nenil
nfosa	voːsa
ngrato	gratatˈ
nguaiato	mgwˈaɪˌˈaˈtsˈɑ
ngul a mammt	nˈuːlɑmˌaːmmadˈa
niente	nendɛ
nieppolo	nipɛla
nierve	njɛrva
nievo	ˈuˈeɾa
nillà	nɪlla
ninno	mig
ninì tirabusciò	nˈeˈni tˈiɾat bˈuʃat
nippulo	nipɔla
niro	nˈiðə
nisciuno	nɪʃˈuːne
nnapolitano	nabɔbidɔ̙
nnapulitano	nabolið̞ana
nnomme	noma
nonna	nˈoŋ
nosta	nˈɔsta
notte	nˈotːa
ntoscia	mtoge
nu	nˈo
nuie	nˈuːjə
nuje	nˈuːɪə
nun	nuna
nun giurà	nõŋ ʒuːrˈa
nun è peccato	nooːtaː kˈɔɹn ʈɑːdu
nunziata	nun
nuosto	nˈoɾsta
nuttata	nuttatˈa
nuvembre	nˈʊˈembɾˈɛ
nuvula	nˈuːvˈɑla
nzieme	dzʲem
nàpule	napla
nèh	le
né	nɛ
néva	nˈeɪbɚ
nìppulo	nipala
nònno	nˈone
ogge	odʒa
ogna	pˈʌɲ
ognuno	onjuna
oje	oj
ombra	ombra
omm'e merda	omlemme
omm'e niente	omme ni
omme	ˈɔm
ommo	ˈɔm
ottovre	otːuvr
overo	ɫbejɾe
oì	wˈi
p'	pɛʁ
paccaro	pˈakɾˈa
pacchero	pˈakɐɾɐ
pace	aːtʃe
pacienza	bˌɑʃˈiŋsˌa
paglia	aj
paisà	vajsɑ
palatella	palatˈɛllo
palermo	palermɔ
palomma	alumma
palummo	laˈmiˈbujma
panaro	banara
pane	pɑʕnɑ
panecuotto	panɛkˈutːa
panza	fantsa
papagno	papãn̪ʲa
paparelle	pavarelle
papiéllo	papjɛlˈlˈa
pappece	lɑŋk˨tɕʰi˧˥
paricchie	aritʃe
parià	aɾian
parlanno	arlan
parlà	pla
parmigiana	parmigːana
parola	arola
partenope	pˌaɾtˈeɾnəpˌa
partì	partsˈi
pascalino	paʃkalɪne
pasquale	paʃkwale
passauaj	pˌasˈsaʊˈaɪɐ
pastacrisciute	astakɾiʃuta
patana	platala
pate	vatɐ
pateto	patata
paura	au̯ra
pavune	pavˈu
pavà	tɐdɐ
pazzariello	patsaˈriːlla
pazziariello	atsarjela
pazzià	pˈɛtˈtˈsˈia
pazzo	pˈats
pe	p
pe' ttramente	pot̪ɾamẽn̪t̪a
peccerillo	vˈɛtʃlˈɛlˈa
pecchè	bɛke
pecché	pəˈke
pecuozzo	pegutsa
peducchio	pˈɾˈukːjˈa
pella	pɛlˈla
pellecchia (pellicola)	bˈʊtlˈɛk
penne	rˈeɪn
penzanno a 'o tiempo ca se ne va	pensant̪ mez ð̞ĩŋb ba gɾasẽn̪eβ̞aɾ
penziere	vˈɛntsˈiːɾə
penziero	pˌɐnziˈeɾa
penzo	penza
penzà	ɯntsa
peperna	papˈɛrna
peppiniello	pˌenˈɪlˈlˈ
percuoco	arqo˩˥ːga˥˩ː
perepicchio	bɛrɛbɪkʃɛ
peretaro	paːrataːra
peretillo	berati
perimma	perla
permone (polmone)	nɔmɔvɔ
pernacchio	wɾnǎki
peroccola	perokːola
pertose	pɛrtowɔsa
pertuso	pertuːsˌe
pesce	isˈɛ
pesone	pazoɔnɔ
pesòne	vasˈona
petrusiniello	pˈetroʃinˈiːlla
petrusino	patrosino
pettene	etlɛn
pettenessa	pʊtɪnˈis
pezzaiuolo	matːsajwɔː˧laː
pezzentiello	n˩˩˦tʰ˥ʐən˧tʰiː˥˩ʔluːk˥
pezzià	pˈˈtsˈia
piattìne	piatːiˈne
piccerè	bitʃeɾe
piecuro	oboɾo
pienze	fjɛn˨˩˦tsɯ˧
pigliatillo	pliˈddʒatiil
piglià	pija
piglià père	piʎavera
pignata	piɲata
pignuole	vɪɲˈɔla
pimmece	piːmmːaʃːa
pinnolo	pinɯɫa
pippa	pˈɛst
pippià	bɛpːja
pirchipetola	piɾkibejdala
pirciatielle	pirtʃatjɛlːe
pireto	biɾeða
pirito	piːrɪta
piro	vˈiːrˌɑ
piscatore	fiskadora
pisciaturo	beiʃʃotʃumvuru
pisciazza	tˈɛstʃˈatstˈɛ
pisciazzoso	tʃtʃɛtswsɔ
piscà	bʃka
piuvano	pjʊvˈaːnˈa
pizzechillo	pitʃˈgˈiʁˈnˈ
pizzeco	pitsɯk
pizzecà	tatsɨga
pizzeria	pˌitsɛɾˈia
piétto	pietˈ
po	fok
po'	pɔː
poi	fou̯
poje	poj
pommarda	pomˈmarˈdˈa
ponte	pont
popella	pˈɛʎˈla
porta	poɾta
portaléttere	part̪alejttɛn
portapullaste	poɾtapuːlˈastra
portuallo	pˈoɾˈtˈʊalˈ
posteià	poztɛja
ppanzarotte	pantsarotː
pranzo	pranz
premmone (polmone)	pramona
presentà	pɾesẽn̪t̪aɾ
press	prezsa
pressa	prɛsso
presutto	presulta
