0 பூஜ்ஜியம் அல்லது சுழியம்	bʊjʃiʲam bʊjʃiʲam alladɯɕoːʋijam
kannippen	kɐnːipːn
karunanidhi	kɐɾunɑːɳɪd̪iː
kaudulla	kaːʊlɔnɾˈɑː
kozhi	oi
krishnamoorthy	kɾʃnɑmuːɾtˈi
kuzhappam	kɾəpːəm
maaman	mɑːmən
maami	mɑɾmi
madurai (மதுரை)	mɐdʊːɾɐɪ̯
magal	magɐ
magan	maɣ̞an
maithripala sirisena	məɪtɾibaaːlaːs ɾɪsaɪnə
malai	malɛj
manaivi	mˈanˈɛvi
manjaḷ (மஞ்சள்)	mənːdʒəɾ
marathi	mˈɾˈɐdˈi
marumagal	məɾəmɾəgəɭ
marumagan	maɾʊmagɐn
maruth	marut
mayilan	maːɪ̯iːan
mazhai	mɑɾɑj
migavum nandri	mɪgɐʋum n̪ɛ̃ɳɾi
moodun	moːɻan
muthuvel	mut̪ːʋeːɭ
nadhi	nad̪i
nadu	nɑːd
naina	nˈajnɑt
narai niram (நரை நிறம்)	nəɾai̯ niɾam
nayak	nˈaɪət
neengaathan	niːngðan
neer	nˈɪɹ
neruppu	n̪ɾupːu
nesam	nɛːs˦m
nirmal kumar	nˈeˈɲməl kumaːr
nirmala sitharaman	nʲɪrmæ̹læs kikɑrɑmən
niyathi	nˈiː
nizhal	nɾəl
nooladai	miː˧lɔː˧reɪ˥˩
nīlam	niːlam
nīlamum pacchhaiyum enakku pidiththa nirangal	neːlɐmɯː paɈʂːaɪum ɛnɐgu pɖit̪ːɳ irŋgɯ
odai	voɭə
oothiyam	ʊːdijɐm
paatti	pˈaɾti
pakkai (பச்சை)	pəkːʃiː
periyamma	beɾiʝemma
periyappa	berɪpːa
pirappu	pɪrapːɯ
porumai	ʊɾɯmai
pughai	ʊɣˌeɪ
pulveli	pʊnʋeːliː
puthinam	pudʱinʱam
puyal	pwel
rajasekar	ɾɑːdʒsɛːgɐr
rule by force அடக்கியாளு	əɖɐkːɯ ɑːɻɯ
saachi	sã˥˥tsi˨˩˦
saathanai	sn
sadgopalan	satgʊpalˈen
sagothari	saːhrutri
sangam	sãŋgɐm
sarayam	sɑːrɑːjɑm
semmanjaḷ (செம்மஞ்சள்)	zəmm˧
sivappu	sibapɯ
susheela raman	swːʂiːlaː raːmən
sutham	sut̪ˈɑm
tamil	ðəmø
tamizh	amɪɾ
teyneer	pemeːr
thaai	bˈaɪ
thaathaa	tata
thagaval	taːdaɦoː
thai	aj
thambi	t̪enβ̞i
thamizhan	laβ̞leɾãn̪t̪
thangai	tngjˈ
thanjavur	tãn̪t̪sau̯s
thanni	t̪eːnːiː
thanthai	nndəj
thelivu	ʈɛɭɪvɯ
thirukalukundram	t̪iɾukɐɻːkknrm
thiruvalluvar	t̪iɾɯvɑlːɑbɑr
thoppu	toːpːɯ
tiruchirappalli	t̪iɾtʃɾɐppəɔːj
tirunelveli	koːrɭn̪ɾal̪deːliː
tiruppudaimarudur	t̪ɾpːoɖaimaɾut̪oːr
ujendra	jɪgɛŋdɾɑ
ujendra is a male name, meaning conqueror in hindu.	ɾɐɳiɭɯpuː ɒɾʊ ɑːnɪpːɛjɾ ɐɖɐrki iːn̪d̪iɪ̯ːl̪ ʋeɾːiːʋiɾn ɛɳɖuɾɐm
vaanam	ʋaːnəm
valarppu	ʋɐɭəɾpːɯ
vanakkam	balakːam
varien	jʊŋ˨˩˦joʊ˨˩˦
varumai	arumai
vazhthu	vˈɑrθi
vel	beːl
vendum	beːndum
vetri	vætɹiː
veḷḷai	velˈlaj
viragu	ð̞iɾagɯ
wickremasinghe	vikrɐmsɪŋgeː
ūdā (ஊதா)	ɦuːda
அ	əˈæzənˈælfəˌveɹi
அஃகஞ் சுருக்கேல்	ʔɐkːʁːanːnːtsːʔɾukːeːr
அஃகமும் காசும் சிக்கெனத் தேடு	ʔəxnaːn kɑːn sɪ ĩːn kɛ̞nət beːeːɾeʔ
அஃகம் சுருக்கேல்	əgam sɾugɛj
அஃதறி	axˈdˈariː
அஃதாண் டவள்செய்	ɑɣ̞ʊˈɯɑːn dɐʋuːl ʃeː
அஃதின்றேல்	ɐgud̪iɳɾeːl
அஃதிறந்தூக்கின்	əxðirəntuːqːiːn
அஃது	aɣu
அஃதொருவற்கு	aaxdɔruaːkɾ
அகங்காரமும்	əɣənkaːramum
அகங்காரம்	a
அகங்காரம் பிடிச்சவன்	əgaŋgaːɾɐm pɖɪɕːʋɐɳ
அகங்கையிற் போட்டுப் புறங்கையை நக்கலாமா ?	əgŋgajr pɔɖu urʌŋgɐjɛj ɳɑkːɭmaː
அகதி	ʔgadʒiː
அகத்தி ஆயிரம் காய்த்தாலும் புறத்தி புறத்தியே	ɐɣɐt̪ːi ɑːjɐɾəm kaːjtaːlum puɾɐt̪iː puɾət̪ːgɛ
அகத்திக் கீரை	əgɪkː keɪɾaɪ
அகத்திக்கீரை	əgtkiːɾaɪ
அகத்தின் அழகு முகத்தில் தெரியும்	ətʃːil əɻɐgʊ mukt̪ːil ɖeɾijum
அகத்தியர்	ɑɣɛtjɑɾ
அகநானூறு	agadɐnˈoːrɨ
அகன்றவெளி	əgɑːn̪d̪ɾʋiɭiː
அகப்படமாட்டான்	əgaːpaɖəmaːʈːaaːn
அகப்படாது	əgəpːbaɖɐːɖu
அகப்பட்டாலும்	əmugəɾɾaːlːum
அகப்பை	əgapːai̯
அகப்பையை	ɑɣəpəjjɑj
அகமுடையாள்தானா	əmamɾajaːɯdaːnɭaː
அகம்	ɑɣəm
அகர	ɑgɪ̞ræ
அகரமுதல	əˈgər̪mud̪l
அகரமுதலி	ahaːramudli
அகரம்	ɐɣəɾɐm
அகரவரிசை	ahaɾavarɪj
அகராதி	ɦrɑːdiː
அகராதிகள்	naʊsiɔgɔaːldiʃoʊdi
அகற்றிடினும் மற்றவள் தன்	əgərɾiɖiːn̪uː mat̪ːrəʋɐɭiːd̪n
அகற்று	ˈaɪhˈædtɹˈɚ
அகலப் பரப்பு	əgɐlp̚ paɾapːu
அகலப்படுத்து	əgɐlɐppɐɖu
அகலப்பாட்டை	əmaɻapːpaːʈːɐj
அகலம்	əgɐlɐm
அகலாக் கடை	aɣ̞alaː kaɾai
அகல்	ʔgəl
அகல்விசும்பு	ɑːgəlʋisːumbuːru
அகல்விசும்பு ளார்கோமான்	ˈɑɹ vˈɛld ðə sˈɛndlɑːr ˈpɔːnə
அகல்விசும்புளார்கோமான்	ɐxɨlwismboɭaːrkoːmaːn
அகழி	ɑgɾiː
அகழியில்	əgɐɻijɭ
அகவன்	əχəbən
அகவற்பாவகையு	ɣ̞oaɣ̞uaɾpabãɣ̞ãĩũm
அகவிலை	əgɐbiːlai
அகார்	akːaːr
அகில	ʔaːkjleː
அகிலம்	ɑkɪlaːm
அகிலும்	əgjːlʊm
அகோரி	ˈɑkoːɾi
அகௌரவமடைந்தான்	əgɑːʋɾʋməɳaɖaːn
அகௌரவம்	akɐʊrɐʋɐm
அக்கச்சி யுடைமை	ʔk̚˨˩t̚˨˩pʰʔdajʔhm
அக்கடியா யிருக்கிறது	əkːɖɪjaː iruːkkiɾɐd̪
அக்கந்து ற்றுகையில்	əmaɪkːɳːɖʈugkɪjɭ
அக்கப் போர்	a kapor
அக்கம்	əkːɑm
அக்கம்பக்கம்	wʲɫaːkːɯ̄ᵐpäkːɯ̄
அக்கரை	akːaɾaj
அக்கரை மாட்டுக்கு இக்கரை பச்சை	d̪ɾa maːɖt̪ːɪd̪ɖɖəɪ pətɕːaɪ
அக்கரை வந்து முக்காரம் போடுது	əkaɾaɪʋn̪d̪u muʔkɑːrəm pɔɖu
அக்கரைக்காரனுக்குப் புத்தி மட்டம்	əmaəkːəɾgɑːɾɐlʌbd̪igʈuməɳːd̪
அக்கரைக்காரன்	əkːɾai̯kːɑːɾən
அக்கரைக்கு இக்கரை பச்சை	əkraː kiː kraː pətʃˈse
அக்கரைப்பட்டு	əgɾabɐɖɯ
அக்கரையானுக்கு	əːkːɾɐjɑːnʊɖu
அக்கரையானுக்கு ஆனது இக்கரையானுக்கும் ஆக	kɾaːn̪t̪ɑːn̪d̪iː kɾəɑːn̪ə ɖəm ɑːgə
அக்கறை	əkːəɾˈəai
அக்கா	aˈkɑː
அக்காள்	əkːɑːɭ
அக்கினி	agni
அக்குவேறு ஆணிவேறாகப் பிரிக்கிறான்	əkːuʋeːɾu ɑːn̪ɪʋeːɾɑːgp̚ beɾigɪɾɑːnm
அக்குவேறு ஆணிவேறு	əkːɯʋeːɾu ɑːni̯ʋeːɾu
அக்டோபர்	aqtʃɔb
அக்டோபர்	atːoːbɐr
அக்ஷர லக்ஷம்	ʌtʃərɑ ɑlæptʃʌm
அங்க	əŋgɑ
அங்ககணிதம்	əŋggəɳɪd̪um
அங்ககாரம்	əŋgkaːrm
அங்ககீனம்	aŋgkɪenəm
அங்கக்களரி	əŋggɐɻəɾiː
அங்கக்கா	aŋgakːa
அங்கக்காரன்	əŋgkaːɾən
அங்கக்கிரியை	əŋgkɪɾiijai
அங்கங் குருகினத்தாற்	əŋgɐŋ kɾahɪd̪t̪ːɑːr
அங்கசங்கமாயுள்ளவன்	əŋgʃaŋgmaːngəmaːɪuɭːʋən
அங்கசங்கம்	əŋgsəŋgəm
அங்கசன்	aŋgəsən
அங்கசாதனம்	əŋgsaːd̪ənəm
அங்கசாதனம்பிடி	əŋgsaːd̪ɐnəmpɪɖi
அங்கசாலைக்காரன்	aŋgɐsaːlaɪkːɑːɾɐn
அங்கசேஷ்டை	əŋgsɛːʂt̪aɪ
அங்கடி இங்கடி தெங்கடி புளியடி	əŋgɖɪ ɪŋgɖi ɖeŋgɖi poɻaɪəɾi
அங்கணத்து	aŋʁanɐiɾːt̪ːu
அங்கணன்	aŋgɐn̪an
அங்கணபாஷாணம்	əŋɪnbʈːɑːɕɑːɳa
அங்கணம்	əŋgɐn̪am
அங்கணாளன்	əŋɪŋaːɻanr
அங்கண்	əŋgəɳ
அங்கண் அரசை	əŋgɳ əɾɐsai
அங்கத்தினர்கள்	əŋgɐtʃin̪ɐɐgɑːl
அங்கப் பறை கொண்ட	əŋgɐp̚ paɾai koɳɖ
அங்கம்	ɑŋgə
அங்காளம்மன்	ɑŋaːɭəmːɐn
அங்கிங்கே எனாத	əŋgeː geː nət e
அங்கீகரிக்கப்பட்டுள்ளன	t̪oːjgəɾikːt̪əppəɽulna
அங்கு	aŋguː
அங்கு அப்பழஞ் சொல்	ɐŋu pəɺnʲɐɑːl
அங்கு அவர்க்கே பாங்காவோம்	əŋgu ɐvɐɾkeː pŋgaːˈm
அங்குமிங்குமான	ənɣ̞umɪŋgomaːnɛ
அங்குலம்	ɯ̞ŋgʏlɛm
அங்குள்ள	ɑŋguɭɭ
அங்கே	anːgeː
அங்கேபோய்	andgepoj
அங்கேயே	əŋgeːjeː
அங்கோலா	aŋgoːlaː
அசடுதட்டியிருக்கிறது	əgɖʈʈiirukːiɳɖu
அசடுதட்டு	əɕɐɖuʈːɐʈːɯ
அசடுதட்டுதல்	əʃud̪ʈʈɐɖɐɖɐ
அசடுவழி	ɐsːɐɖuʋɐɾiː
அசடுவழிகிறது	ətsʃɖuʋɐɻigirʋɯ
அசட்டில்	ɐɕʈːɭ
அசட்டுக்கிட்டே	əgʈukːukːiʈːe
அசதி	ɑsˈdˈiː
அசதிக்கோவை	əsɐd̪ikːkoːʋaɪ
அசத்தன்	asɯ̞tːæn
அசத்தி	asəˈtiː
அசத்திய	asɛtjɛ
அசத்தியநிருவாணம்	ɑt̪ːɪjɯɾʋaːɳɐm
அசத்தியம்	asˈtijam
அசத்தியோ	asestio
அசத்தியோநிர்வாணதீட்சை	əʃɐt̪ːjoːɳɪɾʋaːn̪t̪iːɾʃaɪ
அசத்து	ɑsatːɯ
அசத்துகிறது	əsɐtːɪ̞girɐd̪ɪ̞
அசந்து	asɯ̞nʋɯ̞
அசர்பைஜான்	əsədbiːgən
அசலித்	ɦɑzlit
அசிங்கமான	əsɪŋgəmaːn
அசிடால்டெஹைடு	æsdæɾldæhejdæ
அசிடிக் அன்ஹைடிரைடு	əsɪɖik ənɦɐjɖi ɾaɪd̪oː
அசிடேட்டு	aseteɾo
அசிட்டிக் காடி	əsɪ ʈikːɑːɽiː
அசுத்தம்	ʔɑsutːam
அசுரன்	ɑːsʊɾɐn
அசுரர்	aːsuɾaːt
அசை	aːsˌəiː
அசை போட	əsaɪ poːɖ
அசைந்து	aːsaːjndɯ
அசையழுத்தம்	əsaɪɐɻʊt̪ːam
அசையாதா	ɑsˈjadɑ
அசையாமல்	asˈeɪaːmˈɐl
அசையினை	aːsˈeːje˩˩ːn˧ai
அசைவ சாப்பாடு	əsaɪvɐ saːpːaːɖu
அச்ச	atʃe
அச்சகம்	ətɕːəgəm
அச்சடிக்கப்பெற்ற	ətɕːɐɖgʈːp̚peɾːa
அச்சம்	tɕːæm
அச்சாணி	ətʃʰɑːɳiː
அச்சாரம்	ətɕːaːɾəm
அச்சிக்கு	aˈt˦ɕːɛkːɯː
அச்சிடத் தொடங்கியபின்	ətɕːiɖɐt̪ ɖoɖaŋɖɪ peɳ
அச்சிடப்பெற்ற	ətɕːiːɖp̚peɾɾɑː
அச்சிறும்	ɑtɕːiruːm
அச்சு	ɐtʃːɯ
அச்சுப்பிழை	ətɕːupiɻaɪ
அச்சுறுத்து	aːtʃuːrtuː
அச்சுறுத்துகின்றது	ətɕːrʊt̪ːɪŋɾðɯ
அச்சூட்டு	ətʃːoːʈːɐ
அச்செல்வம்	ətɕːlʋaːm
அஜாகளஸ்தம்	ədʒɑːgəɻɐst̪m
அஞ்சனக்காரன்	ədʒnkːaːɾɐnl
அஞ்சலகங்கள்	əndʒlɐkəŋɭ
அஞ்சலோம்பு	aiɳaːlɔːmbuː
அஞ்சல்	aɴdʑɯɾ
அஞ்சாத	anadʒaːde
அஞ்சாத வீரன்	əmaɲdʑaːt̪ beːɾən
அஞ்சாதவனுக்கு	əndʒɑːd̪ʋɐnʊɐkːu
அஞ்சாதவன்	andʑaːdɑbɑːn
அஞ்சாமை	ənʤɑːbeː
அஞ்சாள்	ənʒɑːl
அஞ்சாவது	əɲdʑaːvɐdɐ
அஞ்சினவனுக்கு	əãɲdʑiənʋauɾəkːu
அஞ்சினவனை	ãn̪ɣ̞jnaːβ̞anai̯
அஞ்சினவன்	ẽn̪ɣ̞ĩŋaβ̞an
அஞ்சினாரை	əndʒiːnaːɾai̯
அஞ்சிய அரசன்	ənd̪ʝa ɐɾas̺aɳ
அஞ்சிலே	əndʒiːleː
அஞ்சு	aɲdʑɯ
அஞ்சு வயசு ஆண் பிள்ளை	əndʒʊʋai̯tɕu ɑːnpɛɭɭaɪ
அஞ்சுகம்	ɑːndʒɯɣɯm
அஞ்சுபூத	ɑnʲtʃɯbuːɫdɑ
அஞ்சும் மூன்றும் எட்டு	ɑn̪dʑum moːɳɾum ɛʈːɯ
அஞ்சுருவுத் தாலி நெஞ்சுருகக் கட்டி	əmaɲdʑugt̪ːli ɳɛɲdʑugkː gɐʈːi
அஞ்சுவது	aɲdʑawadɯ
அஞ்சுவான்றெஞ்ஞான்றும்	əɲdʑivaːnɪɲnɳəɳːum
அட கடவுளே	əɖəkːəɖəɭeː
அடக்கத்துப் பெண்	əːɖəkːt̪ːu jrn̪ɾ
அடக்கந்தானே	əmaɖəkːɐɳtaːneː
அடக்கமான பெண்	əmaɖukːmaːn̪ poɪ
அடக்கம்	əɽəkːm
அடக்கம் உடைய அறிஞர்	ɐɖəkːuɭaɪ̯ ɐɾiŋɪ
அடக்கம் உள்ளவன்	əɖəkːum uɭɭɐʋɐn
அடக்கிச் செலவழி	əɖakːɪɕ ʃaɭʋɐɻi
அடக்கு	ɐɖɐkːu
அடக்குகிற	əɖəkːgiɾeː
அடக்குவார் அற்ற கழுக்காணி	əgkuːʋɑːɾətɕː gəɻʊkːɑːni
அடங்கா பிடாரி	əɳaː piɖaːri
அடங்காத பாம்பு	əɖəŋgaːd̪ paːmbu
அடங்காத பிடி	əɖəŋgoːd̪ piɖi
அடங்காத பிடி பிடி	əmaɳkd̪ b̪iiɖi biɖi
அடங்காத பிள்ளை	əɳaːjaː piɪlːa
அடங்காத பெண்சாதி	əŋgaːɖ peɳɳsaːt̪i
அடங்காத மாடு	əɳkaːd̪ maːɖu
அடங்கின பிடி	əɖŋiːn bɪɖiː
அடங்கினது	əɳg̊iːɳɖu
அடங்கியுள்ள	aɺŋgijɒlɒ
அடங்கு	aɖaŋgu
அடங்குகின்றன	ɐɖəŋguːginɾanɛ
அடங்குதல்	əaŋud̪ɭ
அடடே	ɑɖɛɖe
அடமும்	ɐɖəmom
அடம் பண்ணு	aɳəm paɳːa
அடம்பங்கொடி	aɾammankoɾiː
அடர விதைத்து	əɖər ʋid̪ai̯t̪ːu
அடர்த்தி	əɖət̪ːe
அடர்ந்த	əɖərnːd̪
அடவி	əɖʋi
அடவியில்திருடி	əɖəʋiːɭ̩t̪iɾuɖiː
அடவு	ɐɖəʋɯ
அடா என்பவன்	əɖaːg ɪnbɑːn
அடாது செய்தவர்	əɖɐːɖu ʃeːɾɐʋɐɾ
அடாது பெய்த மழை	əmaːɖu peːɪd̪ ɐɻai
அடி	ali
அடி {a-di}	əɖiː
அடி அடி	ɑɖiː ɑɖiː
அடி அடி என அடி	ɑːɖiː ɑɖɪ əɳə ɐɖiː
அடி அதிரசம்	əɖɪ ətiːrasəm
அடி அற்ற பனை	əɖɪt̪ːuɾpaːn̪n
அடி அற்ற மரம்	əmaɖijətr mɐɾəm
அடி உதவுவது போல	əɖud̪ʋəɖu poːɭɑː
அடி என்கிற அரசன்	əɖiː ɛŋgɪɾ əɾɐgɑːn
அடி ஒட்டி	ɑːɽiː ɔːiː
அடி சக்கை	əɖɪ səkːai̯
அடி சேர் தமிழ் பத்தும்	əɖɪseːɾ d̪mɨɻ pʈːum
அடி த்தல்	əˈɖitːal
அடி நாக்கு	əɖigɑːnː
அடி வயிறு	ɐɖi ʋajɾu
அடிகடோறும்	əɖigɐɻɐuːrm
அடிகண்முன்னர்	əɖʈəmmʊnːəɾ
அடிகளை	əɖigʱg
அடிகள் காசினியில்	əɖigɯ kaːs̪n̪iːj
அடிகோலு	əɖigoːnuː
அடிக்க	arit̪ã̞
அடிக்க அடிக்க	ɐɖukː ɐɖukː
அடிக்க அடிக்க நகரும் அம்மி	əɖig əɖig n̪əgːəɾum əma
அடிக்க அடிக்கப் வளரும் பிள்ளை	əɖukː əɖukː ʋəɻɐɾum piɭːai
அடிக்கடி	əɖɪ̯kəɖi
அடிக்கட்டை	əɖʃːgʈːaɭɐjɐ
அடிக்கட்டையுடன்	əmaɖugɐʈːɐɪʋɯɳ
அடிக்கப்படுதல்	ɐɖig̟apːɾud̪ɭ
அடிக்கல்லை	ɐɖig̟kaɭː
அடிக்கிற காற்று	əmaɖukːiɾ gaːt̪ːu
அடிக்கிற கை	əʈiɾ kːai
அடிக்கிறதிலும்	ɐɖukːɪɾɐd̪ilum
அடிக்கு ஆயிரம் பொன்	ɐɖukːu ɑːjɪɾəm poːn
அடிக்குப் பயந்து	ɐɖukːup paɪandu
அடிக்கும் காற்று	əɖukːum kaːʈɾu
அடிக்கும் பிடிக்கும் சரியாய்ப் போக	əɖukːum piɖukːum ʃəriəj poːg
அடிக்குறிப்புகள்	əɖigkaippːgɯ
அடிக்கொட்டாங்கச்சி	ɐɽʊŋgətaːŋgətɕiː
அடிக்கோல்	iːɖukːoːɭ̪
அடிசறுக்கும்	əɖɯʃɾʊkːum
அடிசாய்	əɽisˈɑːɪ
அடிசிற்சாலை	ɐɖis̪ɐɾtɕːɑːlɐj
அடிசிற்புறம்	əɖiɕiɾpːɾɐum
அடிசிற்றளி	əɺist̪ɾi
அடிசிற்றளியா	ɐɖiːsiʈːraːɐɑː
அடிசேரா	əɖɪseːrɑː
அடிசேரா தார்	əɖɪ ɕeːɾɑː taːr
அடிசேராதார்	əɖɪseːraːdaːɾʊ
அடிச்சட்டிக்குள்ளே கரணம்	əɖɨtʃːʈːiɭːeː gɐɾənəm
அடிச்சிரட்டை	əɖitɕːirʈːɐɖ
அடிச்சீப்பு	ɐɖitɕːiːpːoː
அடிச்சுவடு	əɖitɕʰuɐɖu
அடிச்சுவட்டைக் கண்டு	əɖitɕːuʋɐɖəʈ gɐɳɖu
அடிச்சூடு	aɾi̯t̪ʃuɾu
அடிச்சேரியாள்	əɺutʃərɪai̯
அடிச்சொற்களிலிருந்து	əɖɪtɕːoːɾkɖ̪liruːnd̪u
அடிதடி	ɐɖit̪aɖi
அடிதண்டனை	əɖid̪d̪aːɳaːj
அடிதண்டம்	əɖɨnaɳːɖəm
அடிதண்டம்பிடிதண்டம்	ɐɖt̪ɳɖɖəmpɪɖt̪n̪ɖəm
அடிதண்டா	əɖit̪n̪ɖaː
அடிதலை	ɑːɖid̪aːlaːiː
அடிதழீஇ	aɾiːtˈriːˈiː
அடிதவ்வு	əɖid̪au̯buː
அடிதாண்டி	əɖit̪aːɳɖeː
அடிதிரும்பு	əɖit̪iɾumbu
அடிதொடு	aɖit̪oɖu
அடிதொறும்	aɖid̪orum
அடிதோறும்	əɖɪdɔːrumma
அடித்த இடம்	əɖʈː ɪɖæm
அடித்தடம்	əɖit̪taɖəm
அடித்தண்டு	əmaɖʈːɐɳɖu
அடித்தலம்	əɖit̪taɭa�m
அடித்தள்ளுகை	əɖʈd̪ɭːugai
அடித்தவனும்	əːɖit̪ːʋənum
அடித்தாரை	əɖit̪aːɾaɪ
அடித்தாறு	əɖit̪ːəɑːɾu
அடித்தாற்போல	əɖət̪ːɑːɾpɔːlɛː
அடித்தால்	əɖit̪ːaːl
அடித்தாளா	əɖit̪ːaːɖaː
அடித்தி	ɐɖit̪t̪i
அடித்திகம்	əʈːik
அடித்திப்பை	əɖit̪t̪ɪpːɑj
அடித்தியொரு	əɖit̪ːiːɔɾuː
அடித்திவியாபாரம்	əɖit̪ːiʋɪəʋɑːɾəm
அடித்து அழ விடு	əɖɪt̪ːu əɻ ʋiɖu
அடித்து வளர்க்காத பிள்ளை	əɖuʈu ʋɐɻɐɾkːaːt̪ːɐmpiɭːi
அடித்துக் கொண்டேன்	ɐt̪ːuk̟ kɔɳɖeːn
அடித்துக்கொண்டாள்	əɳɖukːkoɳɖɑːl
அடித்துக்கொண்டு	əɖɨt̪ːuk̟kɔɳɖu
அடித்துக்கொண்டுபோ	əmaɖʈːukkɔɳɖupoː
அடித்துக்கொளு	ɐɾɪt̪ːukkɔɻuː
அடித்துக்கொள்	əɖit̪ːuk̟kɔɭʋi
அடித்துக்கொள்ளுகிறது	əɖɪt̪ːukːkoɭugiɾɐd̪u
அடித்துக்கொள்ளுகிறார்கள்	əut̪ːkɔɭiʋirɾɐaː��ɾg̊
அடித்துச் செல்லல்	əɖit̪ːe tʃɐlːɐl
அடித்துச்செல்லப் படும்	əɖʈːit̪ tɕːlːɐp̚ paɖun
அடித்துப் போட்ட நாய்	ɐɖʊpːup pɔːɖɐ n̪aːj
